GEN.1.1	Könakönahiŋe Anutunöŋ Suep aka gölme miwikŋaim etkiyök. 
ACT.17.7	Kiaŋgöreŋ kayohotka Jeisonöŋ i etkömemba aŋgön köl etkiyök. Ambazip pakpak mieŋön kewö jimakze, ‘Azi kun qetŋi Jisös yaŋön kiŋ kembunini akza.’ Mewö jiba Rom sisa kiŋgö jimkutukutuŋi qetala memba eta alakze.”
ACT.17.8	Mewö qetketka ambazip kambu aka galömkölköl azi yeŋön mötketka uruŋinan eta raidimbom ewö siksauk ahök. 
ACT.17.9	Siksauk aiga Jeison aka urumeleŋ alaurup tosatŋi kuŋguba qesim eŋgigetka moneŋ ala meköm etkiba pösatketka eta anget. Mewö.
ACT.17.10	Eta angetmö, urumeleŋ alaurup yeŋön Pol aka Sailas miaŋgöreŋök melaim etkigetka mosöta suŋgem miri qetŋi Berea miaŋgöreŋ anohot. Anda aŋgota Juda yeŋgö köuluk miriŋine öŋgöyohot. 
ACT.17.11	Köuluk miriŋine öŋgöba Buŋa keu jiyohori, mi sihim ketaŋi möta möt aŋgön kölget. Juda könagesö Berea malgeri, yeŋön Tesalonaika könagesö eŋgoŋgita ölöp sorokŋi aket. Keu törörök jiyohot me qahö, mi wehön dop Buŋa Kimbigö keunöŋ kewöta oyoŋda eraum möta malget.
ACT.17.12	Buŋa keu jiyohotka Juda yeŋgöreŋök jesöŋgöŋan möt nariba uruŋini meleŋget. Grik ambazip yeŋgöreŋök mewöyök gwötpukŋan Jisös möt narigetka sutŋine ambi öŋgöŋgöŋi qetbuŋaŋinambuk mi gwötpuk malget.
ACT.17.13	Jisös möt narigetmö, Polnöŋ Berea miaŋgöreŋ mewöyök Anutugöreŋ Buŋa keu jim asariba malöhi, miaŋgö buzupŋan sehiba Tesalonaika anda Juda jitŋememe yeŋgö kezapŋine geyök. Kezapŋine gei möta wahöta Berea kaba mewöŋanök ambazip uruŋini esiba kuŋguget. 
ACT.17.14	Kuŋgugetka urumeleŋ alaurup yeŋön mi möta miaŋgöreŋök Pol melaigetka köwet jitŋe geyök. Geyökmö, Sailas Timoti yetkön toroqeba Berea malohot. 
ACT.17.15	Azi Pol umbulgeri, yeŋön toroqeba waŋgita anda Atens sitinöŋ aŋgotket. Aŋgotketka kewö jim kutum eŋgiiga mötket, “Iŋini mönö liliŋgöba Sailas aka Timoti jigetka ösumok nöŋgöreŋ kamahot.” Keu mi möta mosöta anget. Mewö.
ACT.17.16	Polnöŋ Atens sitinöŋ tata Sailas Timoti yetkö mamböta mala liliköyök. Liliköba siti mi tandö lopioŋi lopioŋi mieŋön kokolak qegetka köna töwokŋe töwokŋe kingetka eŋgeka awöwöliba tembula uruŋi könöp jeyök. 
ACT.17.17	Polnöŋ Juda yeŋgö köuluk miriŋine öŋgöba Juda kian ambazip aka gölme toŋi Anutu waikŋi memba möpöseigeri, yembuk kinda eraum mötket. Polnöŋ wehön dop rowoŋqeqe sombemŋini dop anda ambazip miwikŋaim eŋgiba yembuk aitoŋgöba eraum mötket.
ACT.17.18	Eraum mötketka Epikuros aka Stoik mötmöt jake yahöt mietköreŋök böhi tosatŋan kaba Polbuk keu siŋginŋi siŋginŋi jiba goranora aka jitnakölik erauget.
ACT.17.18	Polnöŋ Jisösgö Buŋaŋi jim asariba uruŋini kuŋguba kömupnöhök wahörök
ACT.17.19	Mewö laŋlaŋ jigetka Pol waŋgita maket sombem ketaŋi Areopagus
ACT.17.20	Göŋön kian kantri yeŋgöreŋ keu murutŋi memba kaba jinöŋga kezapnine gei mötzin. Miaŋgöra göhö keu areŋgahö könaŋi mi törörök mötpingö mötzin.” 
ACT.17.21	Atens toŋi aka kian miaŋgöreŋ malgeri, yeŋön pakpak öne laŋlaŋ mala mötmöt keu dölökŋi dölökŋi oŋgitgoŋgit aka jiba möta uruŋini miaŋgöreŋ ala nalöŋini ayuhuba malget. Mewö.
ACT.17.22	Polnöŋ wahöta Areopagus sombem bibiŋe anda kaunsöl yeŋgö jeŋine kinda kewö jiyök, “Atens aziurup, nöŋön ki kaba yuai pakpak eka könaŋini kewö ahöi mötzal: Iŋini bemurupŋini göda ölöpŋi qeba möpöseim eŋgiba malje. 
ACT.17.23	Nöŋön liliköba eŋgöreŋ miri kömbukŋi kömbukŋi eka mieŋgö sutŋine alta kulemŋambuk kun miwikŋaial. Miaŋgöreŋ kewö ohoget ahöi ehal, ‘Bem könaŋi qahö mötzini, yaŋgöra mein.’ Miaŋgöra iŋini bem kun könaŋi qahö möta töndup waikŋi memba möpöseimakzei, nöŋön mönö yaŋgö könaŋi indela jibi mötme.
ACT.17.25	Yaŋön nanŋak malmalgö könaŋi akza. Mi aka neŋön gölmenöŋ malbinaŋgöra sile, uŋa (imut) aka yuai tosatŋi pakpak neŋgiiga söŋgörö ösum örömakzin. Mewö neŋgimakzawaŋgöra aka nanŋak nene me yuai kungöra qahö osiza. Miaŋgöra ambazip nini gumohom waŋgibingö osizin. Nini böröninan yuai qahö memba naluk al waŋgiin ewö, yaŋön mönö qahö kömuma. Yaŋön azi tandök qahö malja. Qahö.
ACT.17.26	“Yaŋön mutuk azi mohot miwikŋaiiga yaŋgöreŋök sehiba deŋda gwala injaŋi aka sile tosatŋi aka gölmeŋi gölmeŋi pakpak dop köla maljin. Yaŋön nalönini pakpak törörök areŋgöm neŋgiiga miaŋgö dop maljin aka miri gölme denike denike ahöm tat ala maljini, miaŋgö göraŋi aka aiwesökŋi ala jim kutuiga miaŋgö dop maljin. 
ACT.17.27	Nini mönö Anutu nanŋi möt jarum waŋgibingöra yuai pakpak mi areŋgöba al neŋgiyök. Yaŋön körek pakpak kösutnineyök maljapmö, töndup mezaŋqezaŋ ala Anutu jaruba mala miwikŋaibin me qahö? 
ACT.17.28	Nanŋini Grik mötmöt ambazipnöŋ keu kötŋi areŋgöba ohogeri, yeŋgöreŋök yahötŋan mewöyök keu kötŋi kun kewö jiyohot,
ACT.17.28	‘Ninia kun yaŋgö gwölönarökurupŋi maljin.’
ACT.17.28	Azi mewöŋi kunŋan keu kötŋi kun kewö ohoyök,
ACT.17.28	‘Yaŋön mönö mem letot neŋgiiga yaŋgö aumŋe malmalnini malakzin, könanini anda kamakzin aka ahöm wahötnini ahakzin.’
ACT.17.29	Keu mieŋgö dop nini mönö Anutugö gwölönarökurupŋi mala kösutŋeyök kinjin. Kösutŋeyök kinjinmö, töndup yaŋgö könaŋi möt sohoba jaŋjuŋ akinbuk. Imut ohoho azi yeŋön mötmöt qakŋe kinda bem kungö tandökŋi mötmöriba goul, silwö me köt jamönjiŋ memba urorohoba tandö lopioŋi söhöba meŋölöba memakzei, yaŋön mönö mewö tandök qahö akza. 
ACT.17.30	Ambazipnöŋ gukmaulem aka jipjap mala kotketka Anutunöŋ nalö miaŋgöreŋ ahakmemeŋini möt böliiga likepŋi qahö meleŋda malökmö, nalö kewöŋe keuŋi indela kewö jiza, ‘Ambazip körek pakpak miriŋini dop tat anjei, iŋini mönö uruŋini meleŋda nöŋgöreŋ kaget.’
ACT.17.31	“Anutunöŋ nalö ketaŋi ali kam kuŋguma. Yaŋön nalö miaŋgöreŋ ambazip gölmeŋi gölmeŋi pakpak mal anjei, mi tokom neŋgiba keunini kewöta törörök jim teköma. Yaŋön azi kun keunini jim tekömapköra möwölöhöba jimtekötekögö kukösumŋi böröŋe alök. Yaŋön azi mi mem gulii kömupnöhök wahöriga mewö miaŋön kukösumŋi ketaŋi mi ambazip pakpak kondel neŋgiiga eka mötzin. Azi kömupnöhök wahöröhi, yaŋön mönö jimtekötekö Tonina akza.”
ACT.17.32	‘Anutunöŋ azi kun kömupnöhök mem gulii wahöröhi,’ tosatŋan keu mi möta mepaqepaiköget. Mewö aketmö, tosatŋan kewö jiget, “Keu jizani, nini mi kunbuk mötpingö mötzin. Miaŋgöra gi ölöp nalö kunöŋ keu mi toroqeba jim tuariman.” 
ACT.17.33	Mewö aketka Polnöŋ yeŋgö sutŋineyök wahöta eŋgömosöta anök. 
ACT.17.34	Anökmö, tosatŋan kaba Jisös möt nariba yambuk toroqeget. Möt narigeri, yeŋgö sutŋine Areopagus kaunsöl kambu yeŋgö jitŋememe azi kun qetŋi Dionisius malök. Mewöyök ambi ketaŋi kun qetŋi Damaris aka tosatŋan yetpuk toroqeba möt nariget. Mewö.
ACT.18.1	Yuai mi asuhuiga Polnöŋ Atens siti mosöta Grik siti kun qetŋi Korint miaŋgöreŋ anök. 
ACT.18.2	Korint anda Juda azi kun qetŋi Aqila miwikŋaiyök. Aqila yaŋön Eisiagö prowinsŋi qetŋi Pontus miaŋgöreŋ ahuba könaŋgep mindimindiri siti Rom anda malök. Miaŋgöreŋ mali sisa kiŋ qetŋi Klodius yaŋön jimkutukutuŋi kewö alök, “Juda ambazip iŋini mönö körek pakpak Rom siti mosöta deŋme.” Mewö jiyöhaŋgöra aka Itali kantri mosöta Grik geba nalö miaŋgöreŋ Korint kaŋgorök. Kaŋgoriga Polnöŋ miwikŋaiba i aka anömŋi qetŋi Prisila yetköreŋ anök. 
ACT.18.3	Malmalŋiri naŋgöbitköra opo koumŋi koumŋi meyohot. Polnöŋ mewöyök opo seri koum meme azia. Miaŋgöra yetköreŋ ani nupŋini öröröŋ ahöiga yetpuk mala ahöba opo seri koum nup mohotŋe meget. 
ACT.18.4	Memba malgetka Sabat kendon dop köuluk mire öŋgöba Juda aka Grik ambazip yembuk Jisösgö könaŋi erauba mesiŋda uruŋini meleŋmegöra kuŋgum eŋgiba malök.
ACT.18.5	Kuŋguba mali alayahötŋi Sailas Timoti yetkön Masedonia prowinsnöhök kaŋgorohotka Jisösgö Buŋaŋi nalö dop jim asariba malök. Mewö mala Jisösnöŋ Amötqeqe Toŋi Kraist akzawi, miaŋgö könaŋi aukŋe kondela keu miaŋön Juda ambazip uruŋini kuŋguyök. 
ACT.18.6	Uruŋini kuŋguyökmö, Pol tuarenjoŋ aka uruqeqe keu töhöreŋ jim waŋgigetka böröŋan jeŋine kuŋguba sölburamŋi tönjörari eriga kewö jiyök, “Nöŋön köpösihit qahö akiga iŋini ayuhuba miaŋgö likepŋi mi mönö nöŋgö qakne albingö osime. Mi nanŋinak bisime. Iŋini Buŋa keu qetalgetka nöŋön ölöp eŋgömosöta merak kinda öŋgömawi, miaŋgöreŋ kian kantri ambazip yeŋgöreŋ eleŋda anmam.”
ACT.18.7	Mewö jiba eŋgömosöta köuluk miri göraŋe azi kun qetŋi Titius Jastus yaŋgö mire öŋgöba malök. Yaŋön Juda azia qahöpmö, töndup Anutugö waikŋi memba möpöseiba malök. 
ACT.18.8	Göraŋe anökmö, köuluk mirigö galöm qetŋi Krispus aka yaŋgö anöm-moröŋi yeŋön körek uruŋini meleŋda Kembu möt nariget. Mewöŋanök Korint ambazip tosatŋi Polgöreŋ keu mötkeri, yeŋgöreŋök gwötpukŋan Jisös möt nariba uruŋini meleŋgetka o melun mem eŋgiget.
ACT.18.9	Polnöŋ suŋgem kunöŋ gaun ahöiga Kembunöŋ kutum wasöriga imut ehiga kewö jii mörök, “Gi keŋgötki kude mötmanmö, Buŋa keu mönö köhöiba jiba malman. 
ACT.18.10	Siti kiaŋgöreŋ ambazip kambu gwötpuk yeŋön nöŋgö buŋaya akze. Miaŋgöra nöŋön göbuk malbiga kunŋan yuai kun qahö könahiba mem bölim gihima.” 
ACT.18.11	Mewögöra Polnöŋ nalöŋi mem köriba yeŋgö sutŋine (yara) yambu mohot aka köiŋ 6 miaŋgö dop mala Anutugöreŋ Buŋa keu kusum eŋgimalök.
ACT.18.12	Kusum eŋgimalökmö, Rom yeŋön azi Galio kuŋgugetka Akaia prowinsgö kiap gawönö malöhi, nalö miaŋgöreŋ Juda jitŋememe yeŋön mindiriba Pol tuarenjoŋ ak waŋgiba öröba keu jakeŋe al waŋgiget. 
ACT.18.13	Keu kewögöra al waŋgiget, “Azi kiaŋön ambazip eŋololoŋ ak eŋgimakza. Rom yeŋön jimkutukutuŋini alget ahözawi, yaŋön ambazip köna mi qösököba Anutugö waikŋi memba möpöseimegöra uru kuŋgum neŋgimakza.”
ACT.18.14	Keu mewö sileŋe ala jigetka Polnöŋ keu jimamgö aiga kiap gawönö Galio yaŋön Juda ambazip yeŋgöra jiyök, “Juda ambazip eŋgö sutŋine kunŋan azi qei kömumbawak me pinjit bölöŋi kötökŋi kun akawak ewö, miaŋgöra nöŋön ölöp keuŋini kezap ala mötpileŋak. 
ACT.18.15	Mimö, eŋgö sutŋine mötnaripkö keu asuhuiga qet murutŋi murutŋi qeta aŋgururuk aka jimkutukutuŋini denöwö akŋei, mi mönö nanŋini lömbötŋina. Nöŋön yuai mewöŋi mi kewöta jim tekömamaŋgö dop qahö akzal.” 
ACT.18.16	Mewö jiba keu jakeŋeyök eŋguataŋgöiga etket. 
ACT.18.17	Eta nanŋinök mindiriba mohotŋe luhuba köuluk mirigö galöm qetŋi Sostenes mi qeraköba memba kaba keu jakeŋaŋgö köna numbuŋe ala qeget. Qegetka kiap gawönö Galionöŋ mi eka miaŋgöra möriga ölŋi kun qahö ahök. Mewö.
ACT.18.19	Anda Efesus taonöŋ aŋgota Polnöŋ Prisila aka Aqila etkömosörökmö, nanŋak köuluk mire öŋgöba Juda yembuk Jisösgö könaŋi eraum mötket. 
ACT.18.20	Eraum möta kewö qesim waŋgiget, “Gi ölöp nalö köröpŋi nembuk malman.” Mewö qesim waŋgigetmö, Polnöŋ miaŋgö urumohot qahö ahök. 
ACT.18.21	Miaŋgöra yaizökzök kewö jiyök, “Anutunöŋ miaŋgö Oŋ! jima ewö, mönö ölöp liliŋgöba eŋgöreŋ kamam.” Mewö jiba waŋge kunöŋ öŋgögetka opo seri öröba möröreŋgögetka luhutnöŋ naŋgöi Efesus mosöta anget.
ACT.18.22	Anda taon kun qetŋi Sisaria miaŋgöreŋ aŋgota waŋge mosöta gölme köna Jerusalem öŋgöyök. Öŋgöba liliŋgöba urumeleŋ könagesö jölöŋini jiyök. Mi jiba tata wahöta geba Antiokia sitinöŋ anök. 
ACT.18.23	Antiokia sitinöŋ anda mali sonda tosatŋi teköiga eŋgömosöta könanöŋ anök. Könanöŋ anda Galesia aka Frigia prowins yahöt mi oŋgita miri dop liliköba gwarek pakpak eŋgeka köl gulim eŋgii köhöiget. Mewö.
ACT.18.24	Nalö miaŋgöreŋ Juda azi kun qetŋi Apolos mi Efesus kayök. Apolos yaŋön Ijiptkö taon qetŋi Aleksandria miaŋgöreŋ ahuba mala mötmöt mire öŋgöi teköiga Buŋa Kimbi Walŋaŋgö keuŋi ölöpŋanök möt kutuyök. Mi möt kutuba könaŋi jii keuŋi tandökŋi miaŋgöra ambazip miri dop sihim gwötpuk möta söŋgaiget. 
ACT.18.25	Kembugö könaŋi wuataŋgöbingö könaŋi kusum waŋgigetka Anutugöreŋ könöp bölamŋan uruŋe jeyök. Jisösgö könaŋi törörök diŋdiŋi kusum eŋgiba Jonöŋ o melun mem eŋgiyöhi, miaŋgö könaŋi ölöp möt sölöŋgöba jiyök. Mi jiyökmö, miaŋgö likepŋi kun mosörök. Uŋa Töröŋan melun mem neŋgizawi, mi qahö mörök.
ACT.18.26	Yaŋön kaba köuluk miri uruŋe könahiba keu ösum-mumuŋambuk jiyök. Jiiga Prisila Aqila yetkön keuŋi möta kinda waŋgirohotka yetkö mire anget. Anda Anutugö könaŋi ölöpŋanök toroqeba jim asariba jiyohotka mörök. 
ACT.18.27	Apolosnöŋ Grik kantrigö bahöŋi qetŋi Akaia miaŋgöreŋ anmamgö möriga Efesus urumeleŋ alaurup yeŋön kötöngöm waŋgiget. Kötöngöm waŋgiba Akaia gwarekurup yeŋgöra kimbi kewö ohoget, “Azi ki mönö köl öröm waŋgime.” Apolosnöŋ kimbi mi memba Akaia prowinsnöŋ anda ambazip Anutugö kalem möriamŋi möt asariba uruŋini meleŋgeri, mi gwötpuk bauköm eŋgiyök. 
ACT.18.28	Bauköm eŋgiba “Jisösnöŋ Amötqeqe Toŋi akza,” jiba miaŋgö könaŋi mi Buŋa Kimbigö keuŋi keuŋi oyoŋda miaŋön kondel eŋgii mötket. Juda yeŋön keu mi möta jitnakölik aketka goranora (noragora) ahuyökmö, Apolosnöŋ Anutugö kukösum qakŋe kinda keuŋini aukŋe qeapköiga etket. Mewö.
ACT.19.1	Apolosnöŋ Korint sitinöŋ maliga Polnöŋ Antiokia siti mosöta prowins tosatŋi
ACT.19.2	Eŋgeka kewö qesim eŋgiyök, “Iŋini möt nariba uruŋini meleŋgeri, Uŋa Töröŋan mönö nalö miaŋgöreŋ uruŋine geyök me qahö?” Mewö qesim eŋgiiga kewö meleŋda jiget, “Uŋa Töröŋan maljawi, nini miaŋgö keuŋi qahöpmahöp mörin.”
ACT.19.3	Meleŋda jigetka kewö jiyök, “Iŋini mönö wani o melun mem eŋgigerawa malje?” Mewö jiiga meleŋget, “Nini Jonöŋ o melungöra jiba malöhi, mönö mi mem neŋgiget mein.”
ACT.19.5	Mewö jii mötketka Polnöŋ Kembu Jisösgö qetŋe o melun mem eŋgiyök. 
ACT.19.6	Mem eŋgiba böröŋi nöröpŋine aliga Uŋa Töröŋan uruŋine geiga kantri tosatŋaŋgö keu murutŋi murutŋi könahiba jiba kezapqetok keu jiget. 
ACT.19.7	Azi mi mindiriba 12 miaŋgö dop malget.
ACT.19.8	Polnöŋ köuluk mire öŋgöba kinda Anutugö bemtohoŋaŋgö könaŋi eraum möta awösamkakak kinda suahö ewö uruŋini kuŋgui keuŋi qeapköbingö osiba malget. Mewö malgetka köiŋ karöbut teköyök. 
ACT.19.9	Qeapköbingö osigetmö, tosatŋan yaŋgiseŋ aka qahö möt nariba Kembugöreŋ könaŋi aukŋe jim böliba ambazip jeŋine luasö jiba kinget. Mewö jiba kingetka Polnöŋ kewöta mendeŋ eŋgiba eŋgömosöta gwarekurupŋi eŋguaŋgiriga tikep anget. Tikep anda azi qetŋi Tiranus yaŋgö qenjarök mötmöt jakenöŋ silim dop (aua 5 tokoba) kusum eŋgiiga eraum-mötmöt aka malget. 
ACT.19.10	Mewö aka malgetka Kembugö Buŋa keuŋan sehiiga (yara) yambu yahöt teköyök. Mi teköiga Buŋa keu mi Eisia prowins uruŋe miri toŋi aka Juda ambazip pakpak yeŋgö kezapŋine gei möt teköget. Mewö.
ACT.19.11	Anutugö kukösumŋan Polgöreŋ aŋgoriga nup memba böröŋi ambazip nöröpŋine ali Anutunöŋ aŋgöletot murutŋi murutŋi meiga asuhuget. 
ACT.19.12	Mewö mali ambazip kawöl eŋgöhöi malgeri, tosatŋan Polgö sileŋeyök nöŋgöp mitimiti aka opo jöhanŋi tosatŋi mewöyök memba anda kaba qakŋine algetka kawölŋini eŋgömosöri ömeŋini kota angetka ölöwaket. 
ACT.19.13	Juda sile galöm tosatŋan liliköba öme eŋguataŋgöba anda kaba malgeri, yeŋön mewöŋanök könahiba ömenöŋ kölköljiŋjiŋ mem eŋgigeri, yeŋgö qakŋine Kembu Jisösgö qetŋi qeta ösumŋi köl öröbingö esapköget. Esapköba kewö jiget, “Polnöŋ Jisösgö qetŋi qeta uru kuŋgum neŋgimakzawi, nöŋön mönö Kembu miaŋgö qetŋe öme kota kesalmegöra jim kutum eŋgizal.” 
ACT.19.14	Jisösgö qetŋi mewö qetkeri, yeŋgö sutŋine Juda jike nup galöm bohonŋi qetŋi Sewa yaŋgö nahönurupŋi 7 yeŋön mewöyök malget.
ACT.19.15	Yeŋön ömewöröme kun mewö jim kutum waŋgigetmö, yaŋön meleŋda kewö jim eŋgiyök, “Ni Jisös möt waŋgizal aka Pol möt waŋgizalmö, iŋini mönö niŋia?”
ACT.19.16	Mewö jim eŋgiba azi uruŋe kinöhaŋön mönö luhuba qakŋine öŋgöba qeraköba eŋgömeyök. Mewö körek pakpak luhut ala yaijapaleleŋ mem eŋgiba sileŋini kutumutuba opo malukuŋini munjukunjurariyök. Munjukunjurariga nanŋik nanŋik sileŋine sepgwörörök eta kini tököba kesala miri uruŋi mi mosöta sileŋini gwamönŋi aukŋe eta angaiget. 
ACT.19.17	Mewö asuhuiga Juda kian aka gölme toŋi Efesus malgeri, körek yeŋön miaŋgö buzupŋi möta gwötpuk auruba awöwöliget. Awöwöligetka tosatŋan Kembu Jisösgö qetŋi kapaŋ köla möpöseigetka aködamunŋambuk ahök. 
ACT.19.18	Möt nariba uruŋini meleŋgeri, yeŋgöreŋök gwötpukŋan anda siŋgisöndokŋini indela jim köleŋget. 
ACT.19.19	Tosatŋan qarösoŋgo amötqeqe memba malgeri, yeŋgöreŋök gwötpukŋan buk papiaŋini memba kaba tokoba ambazip pakpak yeŋgö jeŋine kinda aukŋe könöpnöŋ gilget jeyök. Buk papia mieŋgö söŋgöröŋini oyoŋda mindirigetka mindimindiri jaŋgöŋini mi silwö moneŋ (Kina) 50.000 miaŋgö dop ahök. 
ACT.19.20	Tandök mewö aketka Kembugö Buŋa keuŋan mönö ösum-mumuŋambuk sehiba köhöiba anök. Mewö.
ACT.19.21	Yuai pakpak mi asuhum teköiga Uŋa Töröŋan Pol sölölöhöm waŋgii keuŋi jöhöba kewö jiyök, “Ni köwet kutuba Grik kantrigö likepŋi yahöt Masedonia aka Akaia miaŋgöreŋ liliköbi teköiga mosöta Jerusalem sitinöŋ anmam.” Mewö jiba toroqeyök, “Miaŋgöreŋ anda tata Jerusalem mosöta Rom siti mewöŋanök anda ekŋam.” 
ACT.19.22	Mewö jiba neŋakŋi yahöt Timoti aka Erastus melaim etkiiga Masedonia anohotka nanŋak toroqeba nalö tosatŋi Eisia prowins uruŋe malök. Mewö.
ACT.19.23	Efesus sitinöŋ Kembugöreŋ köna wuataŋgögetka miaŋgöra nalö miaŋgöreŋ eŋololoŋ göjupmajup keta bölökŋi asuhuyök. 
ACT.19.24	Silwö nup meme azi kun qetŋi Demitrius yaŋön silwö ohoiga kolkolgöiga qekötahöba bem ambi qetŋi Artemis yaŋgö jöwöwöl jikegö dop imut morömorö memba malök. Mi meiga bohonŋi memba malgetka moneŋ öŋgöŋgöŋi öröi kölköl-örörö alaurupŋan mendeŋda meget. 
ACT.19.25	Megetka Demitrius aka kambu tosatŋan nup mewöŋi memba malgeri, mi mohotŋe eŋgoholi kaba tokogetka kewö jii mötket, “Azi alaurup, nini nup ki meinga bohonŋi ölöpŋi asuhuba kamakza, mi mötzin. 
ACT.19.26	Mi mötzinmö, Pol azi miaŋön Efesus kiaŋgöreŋ kaŋgota ambazip uruŋini esiba ki aka Eisia prowins pakpak dop köla ambazip kambuŋi kambuŋi kuŋgum eŋgii jaŋjuŋ akzei, mi nalö kewöŋe ölöp eka mötze. Yaŋön kewö jimakza, ‘Bem börönöŋ memeŋi mi bem ölŋi qahö.’
ACT.19.27	“Mewö jiba maliga nini kölköl-örörö nupnini memakzini, miaŋgö qetŋi mem bölii jijiwilit akepukö urulömböt akza. Aka miyöhök qahöpmö, urulömböt kun kewö ahöza: Ambazip pakpak Eisia prowins uruŋe aka gölmeŋi gölmeŋi pakpak miaŋgöreŋ bem ambi öŋgöŋgöŋi Artemis waikŋi memba möpöseimakzei, yaŋgö bem qetbuŋaŋi ketaŋan ayuhuba ösumŋan etpapuk aka jöwöwöl jikeŋaŋgö qetŋan böliba ambazip jeŋine eta omaŋi akapuk. Urulömböt mewö ahöza. Miaŋgöra waimanjat möta keu ki jizal.”
ACT.19.28	Demitriusnöŋ mewö jiiga suŋgurum alaurupŋan mi möta irimŋini seholiiga kewö jiba qet gigilahöget, “Efesus neŋgöreŋ Artemis mi öŋgöŋgöŋi!” 
ACT.19.29	Qet gigilahögetka eŋololoŋ göjupmajup miaŋön sehiba sehiba siti körek dop kölök. Mewö aiga Masedonia azi yahöt qetŋiri Gaius aka Aristarkus Polgö suŋgurumyahötŋi mi qeraköba etkömemba örörahöm etkiba qezakqezak mirinöŋ anda totoko alget. 
ACT.19.30	Totoko algetka Polnöŋ mewöyök ambazip kambulelembe yeŋgö sutŋine anmamgö mörökmö, urumeleŋ ambazipnöŋ i aŋgön köl waŋgiget.
ACT.19.31	Eisia prowinsgö galömkölköl azi tosatŋan Polgö alaurupŋi akeri, yeŋön mewöyök kolek ala kewö ulet waŋgiget, “Qezakqezak mirinöŋ totoko aljei, gi mönö nangi miaŋgöreŋ kude kondel eŋgiman.” 
ACT.19.32	Totoko algeri, miaŋgöreŋ ambazip gwötpukŋan kinda tokogeraŋgö könaŋi kun qahö mötkeraŋgöra nanŋik nanŋik laŋlaŋ qet gigilahöba siksauk eŋololoŋ ketaŋi megetka sehiba anök. 
ACT.19.33	Mewö ani Juda yeŋön azi qetŋi Aleksander kuŋguba naŋgögetka kambu yeŋön öröba köna algetka qaikŋe eu öŋgöba kinök. Öŋgöba kinda ambazip jemesoholŋine keu likepŋi meköba jimamgö möta börö pözöŋ misiba aiwesök mem eŋgiyök.
ACT.19.34	Aiwesök mem eŋgiyökmö, Juda azia akzawi, mewö möt kutuba miaŋgöreŋök numbuŋini mindiriba körekŋan könahiba keu kewö qetket, “Efesus neŋgöreŋ Artemis mi öŋgöŋgöŋi!” Mewö qeta mala aua yahötkö dop silata qeta kinget.
ACT.19.35	Qeta kingetka siti pomŋan ambazip kambu uruŋine memba eta ali göröŋ algetka kinda kewö jiyök, “Efesus ambazip, nini nanine siti kiaŋgöreŋ Artemis öŋgöŋgöŋi mi möpöseiba maljin. Nini yaŋgöreŋ jöwöwöl jike aka köt imutŋi kömbukŋi Suepnöhök eröhi, mi galöm köla maljin. Keu mi iŋini körek ölöp mötze. 
ACT.19.36	Mi kunŋan qaŋ kölmawaŋgö dop qahö. Miaŋgöra iŋini mönö uruŋini ösöŋ memba eta ala bönjöŋ malme. Kezapjupjup yuai kun kude akŋe. 
ACT.19.37	Azi ki jöwöwöl jikenöŋ öŋgöba yuai kun qahö kiom qeba mem böliyohot. Bem ambinini qahö ilit waŋgiyohot. Iŋini töndup i etkuaŋgitketka ki kinjahot.
ACT.19.38	“Demitrius aka yaŋgö kölköl-örörö alaurupŋan tosatŋi yembuk aŋgururuk aka keu jim aŋgubeak ewö, kiap mönö ahöze aka keu jakegö totokoŋi totokoŋi mi keu mindiŋgöbingöra alakze. Miaŋgöra mönö ölöp miaŋgöreŋ anda keu jakeŋe al aŋguba aröŋda kingetka dop kölma. 
ACT.19.39	Iŋini yuai kun toroqeba jibingö mötpeak ewö, siti kiaŋgö toŋan mönö ölöp könagesö öröm eŋgiiga qenjarök sombemnöŋ tokoba keu kewöta jim teköme. 
ACT.19.40	Merak eŋololoŋ göjupmajup ketaŋi ki könaŋi qahöpmö, töndup imbisölöm asuhuzawi, mi Rom gawman yeŋön möta kewö jibepuk, ‘Efesus yeŋön Rom mindimindiri gawman qetala bim karim akze.’ Mewö jiba keu jakeŋe al neŋgibepuk. Miaŋgö urulömbötŋi akza, mi mötzal. Keu jakeŋe al neŋgiba karim kiaŋgö könaŋaŋgöra qesim neŋgibeak ewö, nini mönö likepŋi gagabe köla jibinaŋgö dop qahö mötzin.” 
ACT.19.41	Efesus siti pomŋan keu mewö jiba ambazip kambu köndeŋ eŋgiiga sörörauba deŋda anget. Mewö.
ACT.20.1	Efesus miaŋgöreŋ göjupmajup miaŋön sörauba teköiga Polnöŋ gwarekurupŋi eŋgoholi kagetka urugö naŋgönaŋgö keu qambaŋ eŋgiba yaizökzök jiba eŋgömosöta Masedonia prowinsnöŋ anök. 
ACT.20.2	Masedonia anda gölmeŋi gölmeŋi kutuba liliköba miaŋgöreŋ qambaŋ keu gwötpuk jiba mala Grik kantrinöŋ kayök. 
