MAT.1.1	Mokanda mobatata baYesu Masiya, mwana oDawidi, mwana oAbalayama. 
ROM.4.3	Misɔnɔ ibalaka bo? Mibalaka bo Abalayama ajima Njambe, na ejimeli emina elangama ai yo o bodongo. 
ROM.4.4	Moto akakɔ elomu, likonja lisɔkɔ yo liditi epeeli; abwani bosɔ likonja limina. 
ROM.4.5	Endele ko, moto akada na ejimeli ai Njambe yona longejaka bato babe, alongaka a mojɔ moejimeli ende, te a mojɔ moelomu ekɔkɔ yo. 
ROM.4.6	Dawidi pongono ajongoaka moto olongejaka Njambe, te nongo cina ebilomu. 
ROM.4.7	Abala bo,
ROM.4.7	Bojongoa ai bato baya basɔ boyɛ bojibe jibu, na mabunga mabu makundama.
ROM.4.8	Bojongoa ai moto,—Kumu akada pɛ bolanga koko bobe bonde o nongo.
ROM.4.9	Bojongoa bomina ko bodi oko ai bato babolena ganda pɛ, isa ai bato bamwea pongono? Mojɔ bo bobalaka bo ejimeli eAbalayama elangama ai yo o bodongo. 
ROM.4.10	Edaka boa mojɔ moye? Edaka boa yana adaka yo pɛ bopeta lenama ganda isa ngɔngɔ? Te nongo ngɔngɔ, oko yana adaka yo pɛ bopeta lenama ganda. 
ROM.4.11	Iyo asɔ mojɔ mobolena ganda o embete, a boneja bo amaka da na bodongo yana adaka yo pɛ bopeta lenama ganda. A mojɔ momina yo adi tata obato basusu baya bajimaka, na badi na bodongo a miso maNjambe a njea emina, nongo adi bo pɛ bolenama ganda. 
ROM.4.12	Oko boa pongono, adi tata obato babolena ganda baya baditi na bolena boganda pɛ, mojɔ bo badalaka a njea eejimeli eAbalayama tata osu, yena esɔ yo yana adaka yo pɛ bopeta lenama ganda.
ROM.4.13	Abalayama aisɔ sako elisango lingondo ai yo mɛnɛ na bana bande a mojɔ moMibeko, oko a mojɔ mobodongo boejimeli. 
ROM.4.14	Mojɔ bo isa basangoli badi oko baya bajimaka Mibeko, ejimeli edi eka engasa, na sako ebɔngiti. 
ROM.4.15	Suka eMibeko edi kɛnjɔ; endele ko, isa Mibeko miditi, bosopa boMibeko boditi. 
ROM.4.16	Mojɔ mosusu mocingi oko na ejimeli pɛ. Oko boa koko, sako emina edi mojɔ momonganji moNjambe, na edi ai bana basusu baAbalayama—te nongo ai baya bajimaka Mibeko pɛ, oko ai baya badi na ejimeli eAbalayama; mojɔ bo, yo adi tata osu basusu. 
ROM.4.17	Mosɔnɔmɔ koko bo,
ROM.4.17	Mbi nakɔi wɛ tata omakota manɛnɛ.
ROM.4.17	Adi tata osu a miso maNjambe yona ojimea yo, oko Njambe yona opaka bomɔ ai bagwake, na abeaka leka lua loditi, bo lodae. 
ROM.4.18	Abalayama, yana adaka yo pɛ njingo, ajima ko oko na njingo bo adi boda tata omakota manɛnɛ, o ama yo sɔ sako bo,
ROM.4.18	Bana bawɛ badi boda boa.
ROM.4.19	Yana alɛ yo bo mokuku monde modi o mogo, (mojɔ bo adaka na bianga mokama na dea) na yana alɛ yo bo Sala adi motete, ejimeli ende eimbɛ nongo. 
ROM.4.20	Aidaka nongo na mokakwano a mojɔ mosako eNjambe; ejimeli ende emopa ngulu, na akumeja Njambe 
ROM.4.21	mojɔ bo ajima na soti mɛnɛ bo Njambe adi bokɔ mojɔ mobala yo. 
ROM.4.22	A mojɔ momina, ejimeli ende elangama ai yo o bodongo. 
ROM.4.23	Bikenge bimina ko,—Elangama ai yo—biisɔnɔmɔ a mojɔ moAbalayama pɛ. 
ROM.4.24	Bisɔnɔmɔ a mojɔ mosu pongono. Bodongo bolangama koko ai so baya bajimeaka yona ongɔjɔ Yesu Kumu osu a bogwa, 
ROM.4.25	oko Yesu yona ogwa a mojɔ mojibe jisu, na angɔ a bogwa a bolongeja so.
ROM.5.1	Oko boa, adi so na lilonga a mojɔ moejimeli, bodi na bowi a tei esu na Njambe, a mojɔ moKumu osu Yesu Masiya. 
ROM.5.2	Iso bodi bambilimake a monganji mu moNjambe; bonɛ njea ebokwea a monganji momina oko a mojɔ monde; na bodi na sepi a mojɔ monjingo esu ebosɔ ekumu eNjambe. 
ROM.5.3	Mojɔ motongo koko, bosepaka a tei eminɔngɔ misu. Bojebaka bo monɔngɔ mobotaka lingbangba; 
ROM.5.4	lingbangba libotaka ekɔmɛli esoti; ekɔmɛli esoti ebotaka njingo. 
ROM.5.5	Njingo etakputoa nongo, mojɔ bo ngɛnjɔ eNjambe esopei a tei emilema misu, oko na Mwembo Mosɛnɔke mosɔ so. 
ROM.5.6	Mojɔ bo, Masiya agwea baya baijeba Njambe a ehole yena ebwana, oko yana adaka so pɛpɛ ngulu. 
ROM.5.7	Odi bogwea moto otongo nda, nongo akada moto obodongo? Isa okina adi bojima bo agwɛ a mojɔ momoto mopele. 
ROM.5.8	Njambe ko anejaka ngɛnjɔ ende ai so oko na mojɔ mu;—Masiya agwea so yana adaka so oko bato babe. 
ROM.5.9	Oko boa, bolongi edɛye a mojɔ momakia mande, na yo mɛnɛ adi boheleja so na soti a kɛlɛ eNjambe. 
ROM.5.10	Isa bogwa boMwana ’Njambe bodaka mokongo mobosiili bosu na Njambe, yana adaka so na Njambe soki; esingaiti bomɔ bonde! Adi so na bosiili bomina, bomɔ bonde bodi boheleja so. 
ROM.5.11	Mojɔ motongo koko; sepi esu edi oko ai Njambe, a mojɔ moKumu osu Yesu Masiya yona okwea bosiili a mojɔ mosu.
ROM.5.12	Oko boa, bobe bokwea a ngondo na moto omɔci, na bogwa bokwea a mojɔ mobobe. A mojɔ momina, bogwa bonangana ai bato basusu, mojɔ bo bato basusu bakɔ bobe. 
ROM.5.13	Bobe bodaka a ngondo oko Mibeko mipetakini da. Isa Mibeko ko miditi, lindo jiditi koko. 
ROM.5.14	Bogwa bodaka na kpaci a ngondo, donga oko a ehole eAdama oko a ehole eMose, kpaci ai bato baya baikɔ bobe o ama kɔ Adama, yona odaka elimo eyona odaka na sako ebodoa. 
ROM.5.15	Bobe bodi tungu emɔci; epeeli emonganji ko edi tungu etongo. Mojɔ bo, isa bato banɛnɛ bagwa cina ebobe bomoto omɔci, monganji moNjambe, na epeeli emonganji emoto omɔci, oko Yesu Masiya, ehɛ a mojɔ mobato banɛnɛ. 
ROM.5.16	Epeeli emonganji edi tungu emɔci; suka ebobe bomoto omɔci ko edi mojɔ motongo. Mojɔ bo bosambeja bobobe bomoto omɔci bosia na bodumba; epeeli emonganji ko yena elongejaka so, edi a mojɔ mojibe jinɛnɛ. 
ROM.5.17	Isa bogwa bosɔ bokumu ai moto omɔci a mojɔ mobobe bonde, baya basɔkɔ monganji moNjambe oko na bonɛtɔ, na epeeli ebodongo, badi bosɔ bokumu bobomɔ a mojɔ momoto omɔci koko, oko Yesu Masiya. 
ROM.5.18	Oko boa koko, suka ebobe bomoto omɔci edaka bodumba a mojɔ mobato basusu, na suka eelomu emɔci ebodongo emoto omɔci edi lilonga na bomɔ a mojɔ mobato basusu. 
ROM.5.19	Mojɔ bo isa bato banɛnɛ badi na lindo a mojɔ molipanga limoto omɔci, iboa koko bato banɛnɛ badi bolonga a mojɔ molisuma limoto omɔci. 
ROM.5.20	Yana adoa Mibeko, lindo jihɛ oko bohɛ. Bohe bodaka bonɛnɛ soti; monganji moNjambe ko monɔ. 
ROM.5.21	A mojɔ momina, o adaka bobe na bokumu bobogwa, monganji moNjambe modi boda na bokumu bobomɔ oko na bosusu, a mojɔ moYesu Masiya Kumu osu.
ROM.6.1	Oko boa bodi bobala bo? Bodi boyeyoa a bobe bo monganji moNjambe mohɛe ai so? 
ROM.6.2	Pɛpɛ nongo mweka. Iso bogwi a bobe; oko boa bobwaniti boda koko a tei ebobe. 
ROM.6.3	Otajebakani bo so basusu baya 
ROM.6.4	Yana abatisama so, bopuseama na nde a tei ebogwa, bo bodae na ekɔmɛli ebomɔ boyene o angɔjɔmɔ Masiya a bogwa na ekumu eSango. 
ROM.6.5	Mojɔ bo, isa bokatani na nde a tei ebogwa bonde, bodi bokatana koko na nde a njea ebongɔ bonde a bogwa. 
ROM.6.6	Bojebaka bo moto osu moyou abakeama na nde a mole-mo-bokea, bo mokuku mobobe mogwɛ, na a bocingoa so a libuli libobe. 
ROM.6.7	Mojɔ bo, isa moto agwi, bobe boditi koko na kpaci ai yo. 
ROM.6.8	Na isa bogwi na Masiya, bojimaka bo bodi bohela na nde. 
ROM.6.9	Mojɔ bo bojebaka bo, angɔ Masiya a bogwa, ataya gwa. Bogwa boditi koko na kpaci ai yo. 
ROM.6.10	Iyo agwa, na bogwa bonde bodaka oko ehole emɔci pɛ a mojɔ mobobe. Edɛye ko, adi mɔ; na bomɔ bonde bodi oko ai Njambe. 
ROM.6.11	Oko boa, toma jimani bo ino odini bagwake a bobe, na bo odini na bomɔ boNjambe a tei eMasiya Yesu.
ROM.6.12	T’ojimeni oko bo bobe bodae na bokumu a mikuku minu mia midi bogwa. T’osumeni oko posa jimokuku. 
ROM.6.13	T’opejaeni oko binama binu a bokɔ bobe. Odini bato baya badaka bagwake, na ohelani koko. Oko boa, sapejani ai Njambe; hɛngɛni binama binu ai Njambe a bokɔ ngando jipele. 
ROM.6.14	Bobe botada koko moswa’nu, mojɔ bo oditini cina ciMibeko; odini oko cina emonganji moNjambe. 
ROM.6.15	Oko boa, isa monganji moNjambe modi na kpaci ai so, na Mibeko pɛpɛ nongo kpaci, bobwani bokɔ bobe? Pɛpɛ nongo mweka! 
ROM.6.16	Okasumani moto, okasapejani ai moto, otajebakani bo odini babuli bamoswa omina? Isa odini babuli babobe, suka edi oko bogwa; isa odini babuli balisuma, suka edi oko bodongo. 
ROM.6.17	Mbi nasakoaka Njambe mojɔ bo osumakani edɛye bokoja bosɔ no boso na milema minu boya, oko no baya badaka boso babuli babobe. 
ROM.6.18	Asikoama no a bobe, odini edɛye babuli babodongo. 
ROM.6.19	Mbi nabalaka na monɔkɔ momoto, mojɔ bo odini na bwɛmbu a munu. Toma pejani binama binu o babuli babodongo na bosɛnɔ, o apeja no boso binama binu bo bidae babuli babosɔtɔ na bobe bua bonɔi. 
ROM.6.20	Yana adaka no babuli babobe, oidakani a libuli libodongo. 
ROM.6.21	Edɛye ko, odini na sɔni a mojɔ mongando jimina. Ndese enu edaka bo? Mojɔ bo suka engando jimina edi bogwa. 
ROM.6.22	Edɛye ko osikoamini a bobe, na odini babuli baNjambe. Mbuma jibotaka no jidi oko bosɛnɔ, na suka emina edi oko bomɔ bua bodi na bosusu. 
ROM.6.23	Mojɔ bo ndese ebobe edi bogwa. Epeeli ko epaka Njambe bopa edi bomɔ bua bodi na bosusu a tei eMasiya Yesu Kumu osu.
ROM.7.1	Baninga, otajebakani bo Mibeko midi na kpaci ai moto oko yana adi yo mɔ. (Nabalaka na bato baya bajebaka Mibeko.) 
ROM.7.2	Oko boa, mwali akalongana na momi, akatani na muma’nde a mojɔ moMibeko, oko a bogwa bomuma’nde. Muma’nde ko akagwa, mobeko mobolongana na muma’nde moditi koko na kpaci ai yo. 
ROM.7.3	Mwali omina ko akakɛ ai momi otongo oko muma’nde mɛnɛ agwakini, adi mwali obɔɔli. Muma’nde ko akagwa, mobeko mobolongana bomina moditi koko na kpaci ai yo; na akalongana na momi otongo aditi nongo moto obɔɔli. 
ROM.7.4	Baninga, mojɔ monu modi koko boa; Mibeko miditi na kpaci ai no, mojɔ bo ogwani na mokuku moMasiya, bo okataneni na okina otongo, oko na yona ongɔjɔmɔ a bogwa, bo so bobote mbuma a mojɔ moNjambe. 
ROM.7.5	Adaka so cina jikpaci jimunu, Mibeko misisoja posa jisu jibe jia jidaka na ngulu a tei ebinama bisu; na mbuma jibota so jidaka a mojɔ mobogwa. 
ROM.7.6	Edɛye ko, Mibeko miditi koko na kpaci ai so; bodaka a mbɔci jiMibeko, na bogwa bo bokɔe elomu esu na bomɔ boyene boMwembo, te a njea eMibeko miyou mimokanda.
ROM.7.7	Cina emina edi bo? Mibeko midi mibe? Pɛpɛ nongo mweka. Endele ko, mbi najeba bobe oko a mojɔ moMibeko. Eipeta da bo Mibeko mibala bo, T’odae oko na mbengea, ka naijeba nongo bo mbengea edi. 
ROM.7.8	Oko boa bobe boboloja njea a mojɔ moMibeko, na bosisoja posa jisusu jibe a tei embi. Bobe oko ngasa, pɛpɛ Mibeko, bodi oko bogwake. 
ROM.7.9	Yana adaka mbi, pɛpɛ nongo Mibeko, nadaka mɔ; yana ko adoa Mibeko, bobe bosɔ ngulu, na mbi nagwa. 
ROM.7.10	Mibeko mia midaka na sako ebomɔ miwa mbi oko bowa. 
ROM.7.11	Mojɔ bo bobe boboloja njea a mojɔ moMibeko, bokosea mbi na mowa mbi oko na Mibeko. 
ROM.7.12	Oko boa Mibeko midi misɛnɔke; na eleho edi esɛnɔke na bojo na epele. 
ROM.7.13	Mojɔ mua mopele modaka ai mbi oko bogwa? Pɛpɛ nongo mweka. Bobe ko botomba mojɔ mopele a boweja mbi. Oko boa ekɔmɛli ebobe eboloa na soti, na bobe bogbasoa a mojɔ moMibeko.
ROM.7.14	Bojebaka bo Mibeko micingi na Mwembo; mbi ko nadi moto omunu a mbɔci jibobe. 
ROM.7.15	Te nacingeake ekɔmɛli embi mɛnɛ. Nakapala bokɔ mokina mojɔ, nitakɔkɔ mojɔ momina; na nakalona mokina mojɔ, nakɔkɔ mojɔ momina. 
ROM.7.16	Oko boa, nakalona mokina mojɔ, na nakakɔ mojɔ momina, najimaka bo Mobeko modi mopele. 
ROM.7.17	A mojɔ momina, ekɔmɛli embi ecingiti na mbi mɛnɛ; ecingi oko na bobe bua bodi a tei embi. 
ROM.7.18	Mojɔ bo, najebaka bo pɛpɛ nongo mojɔ mopele modi a tei embi, oko a tei emunu mombi. Nadi na bolulea bo nakɔe bopele, pɛ ko bohɔnɔ bokɔ boa. 
ROM.7.19	Te nakɔke bopele bopalaka mbi bokɔ, na nakɔkɔ bobe bolonaka mbi. 
ROM.7.20	Nakakɔ mua molonaka mbi, editi mbi mɛnɛ yona okɔkɔ boa, oko bobe bua bodi a tei embi.
ROM.7.21	Oko boa, mojɔ monɛkɛ mbi moMobeko modi oko mu;—nakapala bokɔ bopele, bobe bodi na mbi. 
ROM.7.22	Mbi nasepaka na Mibeko miNjambe a tei emolema mombi; 
ROM.7.23	endele ko, nanɛkɛ bo mobeko motongo modi a tei ebinama bimbi, mua monaka na bolɛ bomolema mombi, na mopeaka mbi njango a libuli limobeko mobobe bua bodi a tei ebinama bimbi. 
ROM.7.24	Mbi moto ojɔɔlɔ soti! Odi boheleja mbi a mokuku mu mobogwa nda? 
ROM.7.25	Oko Njambe; a mojɔ moYesu Masiya Kumu osu; bosakoa ai yo! Oko boa mbi mɛnɛ nasumaka Mibeko miNjambe na molema mombi; nasumaka ko mobeko mobobe na munu mombi.
ROM.8.1	Bodumba boditi koko edɛye a mojɔ mobato baya badi a tei eMasiya Yesu. 
ROM.8.2	Mojɔ bo mobeko moMwembo mosikoa mbi a mobeko mobobe na mobogwa. 
ROM.8.3	Mojɔ bo Njambe aloma Mwana’nde mɛnɛ a mojɔ mobobe, o ekua emunu mobobe, a bodumba bobe a munu. Mibeko miibwana bokɔ boa a mojɔ moboyɛmbu bomunu. 
ROM.8.4	Akɔ boa bo bocingoame a Mibeko, oko so baya badalaka a njea eMwembo, te nongo njea emunu. 
ROM.8.5	Mojɔ bo baya badalaka a njea emunu balɛkɛ oko ngando jimunu; ibo ko baya badalaka a njea eMwembo balɛkɛ oko ngando jiMwembo. 
ROM.8.6	Molema momoto mokasusa njea emunu, suka edi oko bogwa; molema ko mokasusa njea eMwembo, njea emina edi njea ebomɔ na bowi. 
ROM.8.7	Mojɔ bo molema mua mosusaka njea emunu modi na Njambe soki; motasumaka Mibeko miNjambe mojɔ bo moditi na ngulu a bokɔ boa. 
ROM.8.8	Na baya basusaka njea emunu batahɔnɔkɔ bosepeja Njambe.
ROM.8.9	Ino ko oditini bato bamunu; odini oko bato baMwembo, isa Mwembo moNjambe modi a tei enu soti. Moto amiti da na Mwembo moMasiya a tei ende, aditi moto onde. 
ROM.8.10	Masiya ko akada a tei enu, miembo minu midi mɔ a mojɔ mobodongo, nongo adi mokuku eka ego a mojɔ mobobe. 
ROM.8.11	Isa Mwembo monde yona ongɔjɔ Yesu a bogwa modi a tei enu, yona ongɔjɔ Masiya Yesu a bogwa adi bopa no bomɔ a mikuku minu mibogwa, oko na Mwembo monde mua modi a tei enu.
ROM.8.12	Oko boa baninga, boditi na nongo a munu bo bosuse njea emunu. 
ROM.8.13	Mojɔ bo okasusani njea emunu odini bogwa. Okawejani ko bikɔmɛli bimokuku na ngulu eMwembo, ôdani na bomɔ. 
ROM.8.14	Mojɔ bo bana baNjambe badi oko baya basusaka njea eMwembo moNjambe. 
ROM.8.15	Ino ositini mwembo molibuli bo osumeni a mojɔ mobɔ; osini oko mwembo molisango; na bosembaka, Aba! Sesa! oko na mwembo momina. 
ROM.8.16	Na Mwembo mɛnɛ motataka na miembo misu bo bodi bana baNjambe. 
ROM.8.17	Isa bodi bana, bodi koko sangoli, sangoli jiNjambe, na bosangoanaka na Masiya. Bokadingoa na nde, bodi bokuma na nde pongono.
ROM.8.18	Mbi najimaka bo minɔngɔ miehole ye, na ekumu yena êboloa ai so ngɔngɔ, misangiti nongo mweka. 
ROM.8.19	Mojɔ bo ngondo esusu embaka na tɛndɛ bo bana baNjambe baboloe. 
ROM.8.20	Ngondo edaka a libuli lingando jingasangasa, te na bolulea bonde mɛnɛ, oko na bolulea bonde yona oekina boa, 
ROM.8.21	na njingo bo leka losusu lokɔ Njambe locingoame a libuli libopɔ, a bosangoa ekumu ebosɔmi bobana baNjambe. 
ROM.8.22	Bojebaka bo ngondo esusu ebemaka na bipeko bilibota oko edɛye. 
ROM.8.23	Te leka lokɔ Njambe pɛ, oko so bɛnɛ baya bajui mbuma jiboso jiMwembo, bobemaka a tei esu yana ambaka so lisiko limikuku misu, oko bosɔmi bosu. 
ROM.8.24	Iso bobela oko na njingo emina. Bokada na njingo eeka, na bokanɛ eka etnina, njingo editi koko. Moto ambaka na njingo eka epeli yo? 
ROM.8.25	Bokada na njingo ko a mojɔ moeka edi so pɛ bonɛ, bombaka eka emina na lingbangba.
ROM.8.26	Oko boa pongono, Mwembo mokɔmejaka so yana adi so na bwɛmbu; te bojebake bo’nga bua bobwani na su; Mwembo ko mongɔɔnɔkɔ a mojɔ mosu na mibemo mia miditi a kɔpi emoto. 
ROM.8.27	Iyona osisoaka milema mibato ajebaka mokano moMwembo, mojɔ bo Mwembo mongɔɔnɔkɔ a mojɔ mobasɛnɔke oko na bolulea boNjambe. 
ROM.8.28	Bato bakapala Njambe, bakabeama na mokano monde, ngando jisusu jikɔkɔ yo jidi a mojɔ mobopele bobu. 
ROM.8.29	Mojɔ bo ajeba bosoboso baya badi boda bato bande. Akolea eyou bo badae na elimo eMwana’nde, bo yo adae Mwana-sɔmi a tei ebananango banɛnɛ. 
ROM.8.30	Abahɛngɛ oko a mojɔ momina, na ahabea. Ababea na abalongeja. Abalongeja na abakumeja.
ROM.8.31	Cina emina edi bo? Edi oko bo, Isa Njambe adi na su, odi bolona so nda? 
ROM.8.32	Iyo aijuma Mwana’nde mɛnɛ; amopa a mojɔ mosu basusu. Oko boa, atabakea a epeeli ende, epeeli eleka losusu? Njambe akahɔ bato, odi bolanga bobe bobu nda? Njambe alongejaka. 
ROM.8.34	Odi bodumba nda? Oko Masiya yona ogwa, yona ongɔ a bogwa, na adi edɛye a ebɔ ebami eNjambe, na angɔɔnɔkɔ amojɔ mosu. 
ROM.8.35	Odi bobɔteja so na ngɛnjɔ eMasiya nda? Isa bodingoa, isa jɔɔlɔ, isa monɔngɔ, isa nja, isa mbundu, isa njupi, isa likɔngɔ? 
ROM.8.36	Mojɔ bo mosɔnɔmɔ bo,
ROM.8.36	Bodi a bogwa busa bosusu a mojɔ mowɛ;
ROM.8.36	Banjaka so o bata baya bahɛngɛmɛ a bogwa.
ROM.8.37	Pɛpɛ. Iso bogbokejaka a tei engando ji jisusu na bopipo mɛnɛ, oko na yo yona opalaka so. 
ROM.8.38	Mbi najebaka na soti bo pɛpɛ nongo eka emɔci ekɔ Njambe edi na ngulu a bobɔteja so na ngɛnjɔ eNjambe yena edi a tei eMasiya Yesu Kumu osu, 
ROM.8.39	isa bogwa, isa bomɔ, isa babwɛnji baDiko, isa makumu, isa ngando jia jidi edɛye, isa ngando jia jikɛkɛ adoe, isa ngulu oho Diko isa ya nase, isa ekina eka etongo.
ROM.9.1	Mbi nabalaka mojɔ mosoti a tei eMasiya. Nitakoseaka. Molema mombi mojimaka na mbi a tei eMwembo Mosɛnɔke 
ROM.9.2	bo nadi na jɔɔlɔ enɛnɛ a molema mobi. 
ROM.9.3	Mojɔ bo posa embi edi bo nalakejamembi mɛnɛ, na bo nabɔtɔne na Masiya, a mojɔ mobaninga bambi baya badi na mbi mbota emɔci. 
ROM.9.4	Ibo badi BaYisalaele. Lisango libu lidi oko bosɔmi, na ekumu, na mikongo, na mibeko, na bosakoa, na sako. 
ROM.9.5	Batata badi oko batata babu, na Masiya amana a mbota ebu. Bojongoa ai Njambe yona onɔi basusu, oko na bosusa. 
ROM.9.6	Ebaeli eNjambe ko etakputoa. Mojɔ bo bato basusu baya babotama a Yisalaele baditi bana baYisalaele. 
ROM.9.7	Na bato basusu baya badi bambota eAbalayama baditi bana bande. Mojɔ bo sako edi bo,
ROM.9.7	Bana bawɛ bada bambota eIsaka.
ROM.9.8	Cina emina edi bo bana baNjambe baditi nongo baya babotama na bato; badi bana bande na soti oko sangoli jindikeja. 
ROM.9.9	Bikenge bisako bidi oko bi,
ROM.9.9	Mbi nâhula a edidi ye, na Sala âbota mwana momi.
ROM.9.10	Te yo pɛ; Lebeka alwa demi koko boa na tata osu Isaka. 
ROM.9.11	Na yana adaka bana pɛ bopeta botama, yana adaka bo pɛ bopeta kɔ bopele isa bobe, yo asɔ sako bo,
ROM.9.11	Mosuku âda mokɔmɛli ombakɛli onde,
ROM.9.12	bo ekɔmɛli eNjambe ebohɔ bato edi boyeyoa, te a mojɔ mobilomu bibu, oko a mojɔ mobobea bonde. 
ROM.9.13	Mosɔnɔmɔ boa pongono bo,
ROM.9.13	Napalaki Yakobo; nalonaki Esau.
ROM.9.14	Ekada boa, bodi bobala bo Njambe aditi bojo? Pɛpɛ nongo mweka. 
ROM.9.15	Mojɔ bo Njambe abala na Mose bo,
ROM.9.15	Nakajima bo nakee bato wa, nadi boba’kea wa.
ROM.9.15	Nakajima bo nadae na molema moyɛmbu ai bato, nadi boda na molema moyɛmbu ai bo.
ROM.9.16	Oko boa mojɔ mosusu mocingi na monganji moNjambe, te nongo na bolulea bomoto, isa na bingi emoto. 
ROM.9.17	Ekenge yena ebalama na Palo esɔnɔmɔ bo,
ROM.9.17	Mbi nangɔjɔi wɛ bo nanejae ndangasa embi oko na wɛ, bo gala ekombe embi etunde a ngondo esusu.
ROM.9.18	Oko boa Njambe akeaka moto wa oko akajima bo amokee wa, na akapala bopingeja molema momoto akɔkɔ boa.
ROM.9.19	A mojɔ momina, odi bobala na mbi bo, Isa modi boa, abakeaka lindo ai so mojɔ moye? Odi bogbokeja bolulea bonde nda? 
ROM.9.20	Wɛ ko, wɛ moto, odi nda? Wɛ obwani boboma kitɛ na Njambe? Teni edi bobala na mobomi oteni bo, Okɔi mbi boa mojɔ moye? 
ROM.9.21	Mobomi aditi moswa ’libali? Akapala, adi botomba ekenge elibali bo abome na ekina teni a mojɔ moelomu eekumu, na teni etongo a mojɔ moelomu engasa. 
ROM.9.22	Bodi bobala bo, isa Njambe, nongo apalaka yo boneja kɛlɛ ende na bojebeja so bo adi na ndangasa, adi oko na lingbangba lmɛnɛ ai baya bamokejaka kɛlɛ, baya babwani oko na likundu linde? 
ROM.9.23	Isa apalaka boneja ekumu ende yena enɔi, ai baya bamokejaka wa? mojɔ bo abahɔ ehele a mojɔ moekumu, oko so; 
ROM.9.24	mojɔ bo abobei, te a tei eBaYuda pɛ, oko a tei ebapakano pongono. 
ROM.9.25	Abala boa a mokanda moOsea bo,
ROM.9.25	Baidaka bato bambi; mbi ko nâbabea bato bambi.
ROM.9.25	Nâda na epaeli ai yona osɔkini epaeli.
ROM.9.26	Na bâsɔ kombe ebana baNjambe obomɔ, oko a esika eka bo ekenge bo,
ROM.9.26	Ino oditini bato bambi.
ROM.9.27	Yisaya pongono abala a mojɔ moYisalaele bo,
ROM.9.27	Nongo etango ebana baYisalaele ekada o mbume jimadiba-mamukwa,
ROM.9.27	Badi bohela oko eketa pɛ.
ROM.9.28	Mojɔ bo Kumu ângameja ebaeli ende a ngondo Oko na bopipo na pɛlɛpɛlɛ.
ROM.9.29	Na Yisaya abala koko bo,
ROM.9.29	Eipeta da bo Kumu omandundu madiko akinea so bakina bana,
ROM.9.29	Ka so na Sɔdɔmɔ bodi amɛci,
ROM.9.29	Na bobwani oko na Gomola.
ROM.9.30	Cina emina edi bo? Edi oko bo, bapakano baisusa njea ebodongo; ba’si ko bodongo, oko bodongo bua bocingi na ejimeli. 
ROM.9.31	BaYisalaele ko baya baduka bodongo a njea eMibeko mibodongo, bakputoi, pɛ bobwana na Mibeko mimina. 
ROM.9.32	Mojɔ moye? Mojɔ bo baduka bodongo a njea ebilomu bibu bɛnɛ, te nongo a njea eejimeli. Basaka libaku oko a litai lia lisakejaka bato. 
ROM.9.33	Mojɔ momina mosɔnɔmɔ bo,
ROM.9.33	Anjani; mbi nasambeaka iitai a Siona a bosakeja bato,
ROM.9.33	Litai linɛnɛnɛ a bobadumba.
ROM.9.33	Endele ko, yona omojimeaka atasamboa nongo.
ROM.10.1	Baninga, posa emolema mombi, na bonga bombi ai Njambe bodi oko a mojɔ mobu, bo bahele. 
ROM.10.2	Najimaka bo badi na bingi ai Njambe; bingi emina ko editi na bocingea. 
ROM.10.3	Baduka njea ebu bɛnɛ ebodongo, mojɔ bo baimbetea njea ebodongo boNjambe, na baijima bodongo bonde. 
ROM.10.4	Mojɔ bo Masiya adi suka eMibeko, bo moto na moto yona ojimaka adae na bodongo. 
ROM.10.5	Mose asɔnɔ bo moto yona okɔkɔ bilomu bibodongo bua bocingi na Mibeko, adi bohela a mojɔ momina. 
ROM.10.6	Cina ebodongo bua bocingi na ejimeli edi bo, T’obale oko a molema mowɛ bo, Odi bowea oho Diko nda? (a botiteja Masiya nase); 
ROM.10.7	isa, Odi botita a ebubondo nda? (a bohuleja Masiya a bogwa). 
ROM.10.8	Pɛpɛ; bodongo boejimeli bobalaka bo, Ebaeli ebati na wɛ; edi oko a monɔkɔ mowɛ, na a tei emolema mowɛ. Ebaeli emina edi oko mwako moejimeli motɔndɔkɔ so. 
ROM.10.9	Okatata na monɔkɔ mowɛ bo Yesu adi Kumu, na okajima a molema mowɛ bo Njambe amongɔjɔ a bogwa, ôhela. 
ROM.10.10	Mojɔ bo moto ajimaka na molema, na alongaka boa; atataka na monɔkɔ na ahelaka boa. 
ROM.10.11	Misɔnɔ mibalaka bo,
ROM.10.11	Pɛpɛ nongo moto yona omojineaka odi bosamboa.
ROM.10.12	Mojɔ bo BaYuda na BaEla badi amɛci. Kumu omɔci adi Kumu obu basusu, na likabo linde iibwani na bato basusu baya bamongɔɔnɔkɔ. 
ROM.10.13	Mojɔ bo moto na moto yona ongɔɔnɔkɔ a kombe eKumu âhela. 
ROM.10.14	Isa bamojimeakini ko, badi bomongɔɔnɔ na ye? Isa bakakini mwako monde, badi bomojimea na ye? Isa motɔndɔi aditi, badi boka na ye? 
ROM.10.15	Na bato bamiti lomama, badi botɔndɔ mwako na ye? Mosɔnɔmɔ bo,
ROM.10.15	Baya batɔndɔkɔ Mwako Mopele—bibota bibu esɛngɔ!
ROM.10.16	Bato basusu ko baibokea Mwako Mopele. Mojɔ bo Yisaya abalaka bo,
