GEN.1.1	I början skapade Gud himlarna och jorden.
EZK.13.15	Så ska jag uttömma min vrede mot muren och mot dem som kalkade den. Jag ska säga till er: Muren är borta, liksom de som kalkade den, 
EZK.13.16	de profeter i Israel som profeterade om Jerusalem och såg syner att allt var väl, när det inte alls var väl, säger Herren, 
EZK.13.17	Du människa, vänd dig mot de kvinnor bland ditt folk som profeterar utifrån sina egna ingivelser. Profetera mot dem 
EZK.13.18	och säg: ’Så säger Herren, 
EZK.13.19	För några handfull korn och några brödbitar vanhelgar ni mig inför mitt folk. Ni dödar dem som inte ska dö och låter dem leva som inte ska leva. Ni ljuger för mitt folk som gärna lyssnar på lögn.
EZK.13.20	Därför säger Herren, 
EZK.13.21	Jag ska slita av era slöjor och rädda mitt folk ur ert grepp. De ska inte längre vara ett byte för er. Då ska ni inse att jag är 
EZK.13.22	Med era lögner har ni slagit ner modet på den rättfärdige, när jag inte ville bedröva honom. Ni har uppmuntrat den gudlöse, så att han inte vänder om från sitt onda leverne och räddar sitt liv. 
EZK.13.23	Därför ska ni inte längre se falska syner eller spådomar. Jag ska befria mitt folk ur era händer. Då ska ni inse att jag är 
EZK.14.1	Några av de äldste i Israel kom till mig och satte sig framför mig. 
EZK.14.2	 ord kom till mig: 
EZK.14.3	”Du människa, avgudarna har fått makt över dessa män. De har ställt framför sig en synd som blir deras fall. Skulle då jag låta dem be mig om råd? 
EZK.14.4	Tala därför till dem och säg: ’Så säger Herren, 
EZK.14.5	Jag ska gripa tag i israeliternas hjärtan som alla har vänt sig bort från mig för sina avgudars skull.’
EZK.14.6	Säg därför till israeliterna: ’Så säger Herren, 
EZK.14.7	Om någon israelit eller någon av de främlingar som bor i Israel överger mig och låter avgudar få makten över honom och ställer framför sig en synd som blir hans fall och sedan ändå kommer till profeten för att genom honom rådfråga mig, ska jag, 
EZK.14.8	Jag ska vända mig mot den mannen och göra honom till ett varnande exempel och ett ordspråk, och jag ska utrota honom ur mitt folk. Då ska ni inse att jag är 
EZK.14.9	Och om profeten förleds till att tala, så är det jag, 
EZK.14.10	De ska båda bära sin skuld, den som frågade är lika skyldig som profeten, 
EZK.14.11	så att Israels folk inte längre irrar bort från mig, inte längre orenar sig med alla sina överträdelser. De ska vara mitt folk, och jag ska vara deras Gud, säger Herren, 
EZK.14.13	”Du människa, om ett land syndade mot mig genom att handla trolöst, och jag räckte ut min hand mot det, stoppade dess tillgång på livsmedel och lät hungersnöd drabba det och gjorde slut på både människor och djur, 
EZK.14.14	om då dessa tre män, Noa, Daniel
EZK.14.15	Om jag lät rovdjur invadera landet och döda befolkningen, så att det blev så öde att ingen vågade färdas genom det för djurens skull, 
EZK.14.16	och om dessa tre män levde där, skulle de, så sant jag lever, säger Herren, 
EZK.14.17	Eller om jag lät svärdet drabba landet och befallde det att dra genom landet, om jag utrotade både människor och djur, 
EZK.14.18	och om dessa tre män levde där, skulle de, så sant jag lever, säger Herren, 
EZK.14.19	Om jag sände pest till landet och tömde ut min vrede genom ett blodbad där, för att utrota både människor och djur, 
EZK.14.20	och om Noa, Daniel och Job levde där, skulle de, så sant jag lever, säger Herren, 
EZK.14.21	Så säger Herren, 
EZK.14.22	Några kommer dock att överleva och föras bort, både söner och döttrar. De ska komma till er, och när ni ser hur de lever och handlar, ska ni finna tröst för det onda som jag har låtit drabba Jerusalem, för allt som jag har låtit komma över det. 
EZK.14.23	Ni ska finna tröst i att se hur de lever och handlar. Då ska ni inse att jag inte utan orsak har gjort allt vad jag har gjort där, säger Herren, 
EZK.15.2	”Människa, på vilket sätt är träet i en vinstock bättre än träet i alla andra träslag i skogen? 
EZK.15.3	Tar man virke av den för att tillverka något? Kan man ens göra en pinne av den för att hänga upp något på? 
EZK.15.4	Om den har lagts som ved på elden, och elden har förtärt dess båda ändar, och den är svedd även på mitten, duger den då till något? 
EZK.15.5	Om den var så oanvändbar medan den ännu var hel, hur mycket mindre kan den användas till någonting när elden har förtärt och bränt den?
EZK.15.6	Därför säger Herren, 
EZK.15.7	Jag ska vända mig mot dem. De har kommit ut ur elden, ändå ska elden förtära dem. Ni ska inse att jag är 
EZK.15.8	Jag ska ödelägga landet därför att de varit trolösa, säger Herren, 
EZK.16.2	”Du människa, låt Jerusalem få veta om sina avskyvärda handlingar! 
EZK.16.3	Säg: ’Så säger Herren, 
EZK.16.4	När du föddes var det ingen som klippte av din navelsträng, du blev inte tvättad ren
EZK.16.5	Ingen visade det minsta medlidande för dig och gjorde något av detta för dig, ingen hade förbarmande med dig. Den dag du föddes kastades du ut på marken, avskydd som du var.
EZK.16.6	Men jag kom förbi och fick se dig där, sprattlande i ditt eget blod, och jag sa till dig, där du låg i ditt eget blod: ”Du ska leva!” 
EZK.16.7	Jag lät dig växa upp som en planta på fältet. Du växte och blev stor och mycket vacker. Dina bröst formades och ditt hår växte, men du var naken och oskyddad.
EZK.16.8	Jag gick förbi och såg dig, och nu var din tid inne, tiden för kärleken. Jag svepte min mantel omkring dig och täckte din nakenhet. Jag svor dig trohet och ingick ett förbund med dig, säger Herren, 
EZK.16.9	Jag tvättade dig med vatten, sköljde av dig blodet och smorde dig med olja. 
EZK.16.10	Jag klädde dig i broderade kläder och satte på dig sandaler av delfinskinn. Jag klädde dig i fint linne och täckte dig med dyrbara kläder.
EZK.16.11	Jag prydde dig med smycken, satte armband på dina händer och en kedja om din hals. 
EZK.16.12	Jag fäste en ring i din näsa och örhängen i dina öron och satte en vacker krona på ditt huvud. 
EZK.16.13	Så blev du smyckad med guld och silver, dina kläder var av fint linne och siden med fina broderier. Du åt finaste mjöl, honung och olja. Du blev allt skönare och skönare. Du steg upp som en drottning. 
EZK.16.14	Det gick ett rykte om dig bland folken för din skönhet, för den var fullkomlig på grund av all den prakt jag försett dig med, säger Herren, 
EZK.16.15	Men du förlitade dig på din skönhet och utnyttjade ditt rykte till att prostituera dig. Så bjöd du ut din otukt åt var och en som kom förbi. 
EZK.16.16	Dina kläder använde du för att göra granna offerplatser för din prostitution. Något sådant har aldrig hänt tidigare och ska inte heller hända.
EZK.16.17	Du tog dina underbara smycken av guld och silver, som jag hade gett dig, och tillverkade bilder av män, som du sedan bedrev otukt med. 
EZK.16.18	Du tog dina broderade kläder och svepte om dessa. Min olja och min rökelse ställde du framför dem. 
EZK.16.19	Maten du fått av mig, det fina mjölet, oljan och honungen, ställde du framför dem som en ljuvlig doft. Så blev det, säger Herren, 
EZK.16.20	Du tog dina söner och döttrar, dem som du hade fött åt mig, och offrade dem till mat åt dessa. Räckte det inte med din prostitution? 
EZK.16.21	Måste du också slakta mina barn och offra dem åt avgudarna? 
EZK.16.22	Och medan du begick dina avskyvärda handlingar och prostituerade dig tänkte du aldrig på din ungdomstid, då du låg naken och sprattlade i ditt eget blod.
EZK.16.23	Efter all denna din ondska – ve dig, ve dig! säger Herren, 
EZK.16.24	byggde du en höjd åt dig och inrättade en bordell på varje öppen plats.
EZK.16.25	I varje gathörn gjorde du åt dig en höjd och smutsade ner din skönhet. Du spärrade ut benen åt varje förbipasserande i allt ökande otukt. 
EZK.16.26	Du prostituerade dig med egypterna, dina vällustiga grannar, och genom att du framhärdade i din otukt provocerade du min vrede. 
EZK.16.27	Då räckte jag ut min hand mot dig och minskade ditt område. Jag överlämnade dig åt deras lystnad som hatar dig, åt filistéernas döttrar, som är chockerade över ditt otuktiga leverne.
EZK.16.28	Du bedrev otukt med assyrierna eftersom du inte fått nog. Och trots att du bedrev otukt med dem var du ändå inte tillfredsställd. 
EZK.16.29	Du fortsatte med din otukt med handelsnationen Kaldéen, men inte heller nu blev du tillfredsställd.
EZK.16.30	Hur ursinnig är jag inte för din skull,
EZK.16.31	När du byggde din bordell vid varje gathörn och reste upp dina höjder på varje torg, var du olik andra prostituerade, eftersom du föraktade betalning.
EZK.16.32	Som en äktenskapsbryterska har du tagit andra män i stället för din egen man. 
EZK.16.33	Alla andra prostituerade får betalt, men du gav gåvor till alla dina älskare och mutade dem för att de skulle komma till dig från alla håll och bedriva otukt med dig. 
EZK.16.34	I din prostitution gjorde du tvärtemot vad andra kvinnor gör. Ingen sprang efter dig för att bedriva otukt, och du betalade i stället för att få betalt. Så annorlunda är du.
EZK.16.35	Hör därför 
EZK.16.36	Så säger Herren, 
EZK.16.37	Därför kommer jag att samla alla dina älskare som du har delat din njutning med, både dem du älskat och dem du hatat. Jag ska samla dem från alla håll och ställa fram dig naken inför dem, så att de ser all din nakenhet. 
EZK.16.38	Jag ska döma dig som man dömer äktenskapsbryterskor och mörderskor. Jag ska låta min vredes och svartsjukas blodshämnd drabba dig. 
EZK.16.39	Jag ska överlämna dig till dina älskare, och de ska riva ner din bordell och dina höjder, klä av dig naken, ta ifrån dig dina dyrbara smycken och lämna dig där naken och blottad. 
EZK.16.40	De ska samla en skara mot dig, som ska stena dig och hugga dig i bitar med sina svärd. 
EZK.16.41	De ska bränna ner dina hus och verkställa din dom inför ögonen på många kvinnor. Jag ska göra slut på din prostitution, och du ska inte mer ge några gåvor som betalning.
EZK.16.42	Så ska jag släcka min vrede mot dig, och min svartsjuka ska vändas ifrån dig. Jag ska få ro och inte längre vara vred.
EZK.16.43	Eftersom du inte tänkte på din ungdomstid utan provocerade min vrede med allt detta, ska jag också låta allt du gjort drabba dig själv, säger Herren, 
EZK.16.44	Alla som använder ordspråk kommer att säga om dig. ”Sådan mor, sådan dotter!” 
EZK.16.45	Du är din mors dotter, som föraktade sin man och sina barn. Du är dina systrars syster, som föraktade sina män och sina barn. Er mor var en hettitisk kvinna och er far en amoré. 
EZK.16.46	Din äldre syster var Samaria, som bodde tillsammans med sina döttrar norr om dig. Din yngre syster, som bodde tillsammans med sina döttrar söder om dig, var Sodom. 
EZK.16.47	Du har inte nöjt dig med deras leverne, så att du bara följt deras avskyvärdheter, utan snart överträffade du dem i det fördärvliga. 
EZK.16.48	Så sant jag lever, säger Herren, 
EZK.16.49	Detta var din syster Sodoms synd: hennes och hennes döttrars högfärd, överflöd av mat och bekymmerslös ro, och de hjälpte inte den svage och fattige. 
EZK.16.50	De blev högfärdiga och gjorde vad jag har avsky för. Därför gjorde jag slut på dem när jag såg det.
EZK.16.51	Inte heller Samaria har begått ens hälften av dina synder. Du har gjort mer avskyvärda ting än de, och genom alla dina förfärliga handlingar har du fått dina systrar att närmast framstå som rättfärdiga! 
EZK.16.52	Nu får du bära skammen för att du gett dina systrar en upprättelse. Dina synder har varit vidrigare än deras, och därför framstår de som rättfärdiga i jämförelse med dig. Nu får du skämmas och bära din vanära, eftersom du fått dina systrar att framstå som rättfärdiga.
EZK.16.53	Men jag ska återupprätta dem, både Sodom med sina döttrar och Samaria med sina, och även dig bland dem: 
EZK.16.54	du ska få skämmas och bära vanäran för allt du har gjort för att trösta dem. 
EZK.16.55	Dina systrar, Sodom med sina döttrar och Samaria med sina döttrar, ska bli vad de en gång var, och du och dina döttrar ska också bli vad ni en gång var. 
EZK.16.56	Under din högfärds dagar ville du inte ens nämna din syster Sodom, 
EZK.16.57	innan din egen ondska avslöjades. Nu hånas du
EZK.16.58	Du får ta konsekvenserna av din liderlighet och avskyvärda handlingar, säger 
EZK.16.59	Så säger Herren, 
EZK.16.60	Men jag ska ändå komma ihåg det förbund som jag slöt med dig när du var ung. Jag ska ingå ett evigt förbund med dig. 
EZK.16.61	Du ska med skam tänka på hur du har levt, när du får ta emot dina systrar, såväl dem som är äldre än du och dem som är yngre. Jag ska göra dem till dina döttrar, men inte på grund av ditt förbund.
EZK.16.62	Jag ska upprätta mitt förbund med dig, och du ska inse att jag är 
EZK.16.63	Då ska du komma ihåg det och skämmas och aldrig mer öppna munnen i din förödmjukelse, när jag bringar försoning för dig för allt du har gjort, säger Herren, 
EZK.17.2	”Du människa, ge israeliterna en gåta, berätta en liknelse för dem. 
EZK.17.3	Säg: ’Så säger Herren, 
EZK.17.4	Han bröt av toppskottet och tog det med sig till handelsmännens land. Där planterade han det i handelsstaden.
EZK.17.5	Han tog en planta från landet och planterade den i bördig jord. Han satte den som ett pilträd vid rikligt vatten. 
EZK.17.6	Det slog rot och blev en lågväxande, utbredd vinstock. Dess rankor vände sig mot honom, och dess rötter förblev under honom. Så blev den till en vinstock, som fick grenar och sköt skott.
EZK.17.7	Men det kom en annan stor örn med stora vingar och täta fjädrar. Då sköt denna vinstock sina rötter mot honom och sträckte sina grenar mot honom från den plats där den var planterad, för att han skulle ge den vatten. 
EZK.17.8	Den var redan planterad i god jord vid rikligt vatten, så att den kunde få rankor, bära frukt och bli till en utsökt vinstock.’
EZK.17.9	Säg: ’Så säger Herren, 
EZK.17.10	Den är planterad. Ska den komma att grönska? Kommer den inte att torka bort när östanvinden slår den, vissna på den plats där den var planterad?’ ”
EZK.17.12	”Säg nu till detta upproriska släkte: ’Förstår ni inte vad detta betyder?’ Säg till dem: ’Kungen av Babylonien kom till Jerusalem och tog kungen och furstarna och förde dem med sig till Babylon. 
EZK.17.13	Sedan tog han en ättling av den kungliga familjen och slöt förbund med honom och lät honom svära en ed. Han förde bort de mäktiga i landet, 
EZK.17.14	för att riket skulle hållas nere och inte kunna resa sig. Bara genom att hålla fast vid förbundet med honom skulle det bestå.
EZK.17.15	Men kungen gjorde uppror mot honom och skickade sändebud till Egypten för att skaffa fram hästar och en stark armé. Kommer han att lyckas? Kan den som gör så komma undan? Kan den som bryter förbundet komma undan?
EZK.17.16	Så sant jag lever, säger 
EZK.17.17	Farao och hans mäktiga armé och stora här ska inte vara till någon hjälp för honom i kriget, när belägringsvallar reses och stormningsramper byggs för att förgöra många liv. 
EZK.17.18	Han föraktade eden och bröt förbundet. Han gjorde allt detta, trots att han gett sitt löfte. Han ska inte komma undan.
EZK.17.19	Därför säger Herren, 
EZK.17.20	Jag ska breda ut mitt nät över honom, han kommer att fångas i min snara, och jag ska ta med honom till Babylon. Där ska jag döma honom för hans trolöshet mot mig. 
EZK.17.21	Alla hans flyende trupper ska falla för svärdet och de överlevande skingras för alla vindar. Då ska ni inse att jag, 
EZK.17.22	Så säger Herren, 
EZK.17.23	På det höga berget i Israel ska jag plantera det. Det ska få grenar och bära frukt och bli till en ståtlig ceder. Alla slags fåglar ska bo där, bland dess grenar ska de finna skugga. 
EZK.17.24	Alla markens träd ska förstå att det är jag, 
EZK.17.24	Jag, 
EZK.18.2	”Varför använder ni det här ordspråket om Israels land:
EZK.18.2	’Fäderna äter sura druvor
EZK.18.2	och barnen får ömma tänder’?
EZK.18.3	Så sant jag lever, säger Herren, 
EZK.18.4	Alla människoliv tillhör nämligen mig, fädernas såväl som sönernas. Den som syndar ska dö för sin egen synd.
EZK.18.5	Den som är rättfärdig
EZK.18.5	och gör vad som är rätt och rättfärdigt
EZK.18.6	håller inte offermåltid uppe i bergen
EZK.18.6	och ser inte upp på israeliternas avgudar.
EZK.18.6	Han kränker inte sin nästas hustru
EZK.18.6	och ligger inte med en kvinna under hennes menstruation.
EZK.18.7	Han förtrycker ingen, utan återlämnar låntagarens pant.
EZK.18.7	Han roffar inte åt sig,
EZK.18.7	utan ger den hungrige mat och kläder åt den nakne.
EZK.18.8	Han lånar inte ut pengar mot ränta
EZK.18.8	och ockrar inte.
EZK.18.8	Han avhåller sig från det som är orätt,
EZK.18.8	och han dömer rätt mellan människor.
EZK.18.9	Han lyder mina bud och följer troget mina stadgar.
EZK.18.9	En sådan man är rättfärdig.
EZK.18.9	Han ska få leva, säger Herren, 
EZK.18.10	Men om han får en våldsbenägen son som är mördare, eller gör något av detta mot sin broder, 
EZK.18.11	som han själv aldrig gjorde:
EZK.18.11	håller offermåltid uppe i bergen,
EZK.18.11	kränker sin nästas hustru,
EZK.18.12	förtrycker den fattige och behövande,
EZK.18.12	roffar åt sig, låter bli att återlämna pant,
EZK.18.12	ser upp på avgudarna och begår avskyvärda handlingar,
EZK.18.13	lånar ut pengar mot ränta och ockrar,
EZK.18.13	ska han då få leva?
EZK.18.13	Nej, han ska inte leva!
EZK.18.13	Han har begått alla dessa avskyvärdheter och måste förvisso dö,
EZK.18.13	och han är själv skuld till det.
EZK.18.14	Men om han i sin tur får en son som ser alla synder hans far begår, och fastän han ser dem själv avstår från att göra något sådant,
EZK.18.15	om han inte håller offermåltid uppe i bergen
EZK.18.15	och inte ser upp på israeliternas avgudar,
EZK.18.15	inte kränker sin nästas hustru,
EZK.18.16	inte förtrycker någon eller tar pant,
EZK.18.16	inte roffar åt sig, utan ger den hungrige mat
EZK.18.16	och kläder åt den nakne,
EZK.18.17	avhåller sig från det som är orätt
EZK.18.17	och inte lånar ut pengar mot ränta eller ockrar,
EZK.18.17	om han lyder mina bud och följer mina stadgar,
EZK.18.17	då ska han inte dö på grund av sin fars synder. Han ska få leva.
EZK.18.18	Men hans far, som utövade utpressning och roffade åt sig av sina släktingar
EZK.18.18	och gjorde orätt bland sitt folk,
EZK.18.18	ska dö för sin egen synd.
EZK.18.19	Men ni frågar: ’Varför ska inte sonen dela sin fars skuld?’ Därför att sonen har gjort det som är rätt och rättfärdigt och hållit alla mina bud och rättat sig efter dem. Han ska få leva. 
EZK.18.20	Den som syndar ska dö. Sonen ska inte dela sin fars skuld, och inte heller fadern sin sons. Den rättfärdige ska få del av sin rättfärdighet och den gudlöse av sin gudlöshet.
EZK.18.21	Men om den gudlöse vänder om från alla sina synder som han har begått och lyder alla mina bud och gör det som är rätt och rättfärdigt, så ska han få leva. Han ska inte dö. 
EZK.18.22	Alla hans överträdelser ska vara glömda, och genom det rättfärdiga han har gjort ska han få leva. 
EZK.18.23	Skulle den gudlöses död behaga mig? säger Herren, 
EZK.18.24	Men om en rättfärdig vänder om från sin rättfärdighet och börjar göra det som är orätt och begår samma avskyvärda handlingar som den gudlöse, ska han då tillåtas leva? All hans tidigare rättfärdighet kommer att bli bortglömd, och för sin trolöshet som han gjort sig skyldig till och för sin synd som han begått ska han dö.
EZK.18.25	Ändå säger ni: ’Herrens väg är inte rätt!’ Lyssna nu, israeliter! Är inte min väg rätt? Är det inte era vägar som inte är rätta? 
EZK.18.26	När den rättfärdige vänder om från sin rättfärdighet och börjar göra det som är orätt ska han dö. För det orätta han har gjort ska han dö. 
EZK.18.27	Och när den gudlöse vänder om från sin gudlöshet och börjar göra det som är rätt och rättfärdigt, ska han rädda sitt liv. 
EZK.18.28	Därför att han kommer till insikt om sina överträdelser och vänder om från dem ska han få leva. Han ska inte dö. 
EZK.18.29	Och ändå säger israeliterna: ’Herrens väg är inte rätt!’ Är inte min väg rätt, israeliter? Är det inte era vägar som är orätta?
EZK.18.30	Jag ska döma er, israeliter, var och en efter hans gärningar, säger Herren, 
EZK.18.31	Gör er av med era överträdelser som ni har gjort er skyldiga till. Skaffa er ett nytt hjärta och en ny ande. Varför skulle ni dö, israeliter? 
EZK.18.32	Jag finner inget behag i någons död, säger Herren, 
EZK.19.1	Sjung en klagosång om Israels furstar: 
EZK.19.2	Säg:
EZK.19.2	’Vilken lejoninna var inte din mor
EZK.19.2	bland lejonen!
EZK.19.2	Hon låg bland de unga lejonen
EZK.19.2	och födde upp sina ungar.
EZK.19.3	En av hennes ungar som hon födde upp
EZK.19.3	växte upp till ett starkt lejon.
EZK.19.3	Han lärde sig att slita sönder sitt byte
EZK.19.3	och blev en människoätare.
EZK.19.4	Folken fick höra om honom,
EZK.19.4	och han fångades i deras grop.
EZK.19.4	Med krokar förde de honom
EZK.19.4	till Egyptens land.
EZK.19.5	När hon såg att hon väntade förgäves,
EZK.19.5	att allt hopp var ute,
EZK.19.5	tog hon en annan av sina ungar,
EZK.19.5	och uppfostrade honom till ett starkt lejon.
EZK.19.6	Han gick omkring bland lejonen
EZK.19.6	och blev ett starkt lejon.
EZK.19.6	Han lärde sig att slita sönder sitt byte
EZK.19.6	och blev en människoätare.
EZK.19.7	Han kände till deras fästningar
EZK.19.7	och lade deras städer i ruiner.
EZK.19.7	Landet och alla som fanns där blev förskräckta
EZK.19.7	när hans rytande hördes.
EZK.19.8	Då kom folken mot honom
EZK.19.8	från länderna runt omkring.
EZK.19.8	De bredde ut sitt nät för honom,
EZK.19.8	och han fångades i deras grop.
EZK.19.9	Med krokar satte de honom i en bur
EZK.19.9	och tog med honom till kungen i Babylon.
EZK.19.9	De spärrade in honom,
EZK.19.9	så att hans rytande aldrig mer skulle höras på Israels berg.
EZK.19.10	Din mor var som en vinstock i vingården,
EZK.19.10	planterad vid vatten,
EZK.19.10	och med många grenar och mycket frukt
EZK.19.10	på grund av överflödet på vatten.
EZK.19.11	Den fick starka grenar,
EZK.19.11	som kunde bli härskarspiror.
EZK.19.11	Den var hög,
EZK.19.11	den höjde sig över lövverken
EZK.19.11	och syntes på långt håll
EZK.19.11	för sin höjd och för sina täta rankor.
EZK.19.12	Men den rycktes upp i vrede
EZK.19.12	och kastades på marken.
EZK.19.12	Dess frukt torkade ut i östanvinden.
EZK.19.12	De starka grenarna bröts av, vissnade
EZK.19.12	och förtärdes av elden.
EZK.19.13	Nu är vinstocken planterad i öknen,
EZK.19.13	i torkans och törstens land.
EZK.19.14	Från en av dess främsta grenar
EZK.19.14	spred sig elden,
EZK.19.14	och förtärde frukten.
EZK.19.14	Ingen stark gren finns kvar,
EZK.19.14	ingen härskarspira.’
EZK.19.14	Denna sång är en klagosång, och en klagosång ska den vara.”
EZK.20.1	I det sjunde året, på tionde dagen i femte månaden, kom några av de äldste i Israel för att rådfråga 
EZK.20.2	Då kom 
EZK.20.3	”Du människa, tala till de äldste i Israel och säg: ’Så säger Herren, 
EZK.20.4	Döm dem, döm dem, du människa! Låt dem få veta vilka avskyvärdheter som deras förfäder hållit på med! 
EZK.20.5	Säg till dem: ’Så säger Herren, 
EZK.20.6	Då lovade jag dem med en ed att föra dem ut ur Egypten till ett land som jag hade sett ut åt dem, ett land som flödade av mjölk och honung, det härligaste av alla länder. 
EZK.20.7	Jag sa till dem: ”Var och en av er ska göra sig av med de vidriga avgudar som ni fäst era ögon vid. Orena er inte med de egyptiska gudarna, för jag är 
EZK.20.8	Men de gjorde uppror mot mig och ville inte lyssna till mig. De gjorde sig inte av med de vidriga avgudar som deras ögon var fästa vid och övergav inte de egyptiska gudarna. Då tänkte jag tömma ut min vrede och ösa ut min förbittring över dem, mitt i Egypten. 
EZK.20.9	Men jag agerade för att mitt namn inte skulle vanhelgas inför de folk bland vilka de bodde och inför vilka jag hade gett mig till känna när jag förde dem ut ur Egypten.
EZK.20.10	Därför ledde jag dem ut ur Egypten och ut i öknen. 
EZK.20.11	Jag gav dem mina bud och tillkännagav mina stadgar. – Den som håller dem får leva. – 
EZK.20.12	Jag gav dem också mina sabbater, som ett tecken mellan mig och dem, för att de ska inse att det är jag, 
EZK.20.13	Men israeliterna var upproriska mot mig i öknen. De följde inte mina bud, och de förkastade mina stadgar. – Den som håller dem får leva. – De vanhelgade grovt mina sabbater. Då tänkte jag tömma ut min vrede över dem och utplåna dem. 
EZK.20.14	Men jag agerade för att mitt namn inte skulle vanhelgas inför de folk inför vilka jag förde ut dem. 
EZK.20.15	I öknen svor jag också dem en ed att inte leda dem in i det land som jag hade gett dem, ett land som flödar av mjölk och honung, det härligaste av alla länder. 
EZK.20.16	De hade ju förkastat mina stadgar och inte följt mina bud. De hade vanhelgat mina sabbater. Innerst inne var de nämligen hängivna sina avgudar. 
EZK.20.17	Men jag visade dem medlidande och förgjorde dem inte. Jag gjorde inte slut på dem i öknen. 
EZK.20.18	Jag sa till deras barn i öknen: ”Följ inte era förfäders bud. Håll inte deras stadgar. Orena er inte med deras avgudar. 
EZK.20.19	Jag är 
EZK.20.20	Håll mina sabbater heliga. De är ett tecken mellan mig och er, för att ni ska inse att jag är 
EZK.20.21	Men barnen gjorde uppror mot mig. De följde inte mina bud och brydde sig inte om mina stadgar. – Den som håller dem får leva. – De vanhelgade mina sabbater. Jag tänkte tömma ut min vrede och ösa ut min förbittring över dem i öknen. 
EZK.20.22	Men jag avstod, och jag agerade för att mitt namn inte skulle vanhelgas inför de folk, inför vilka jag förde ut dem. 
EZK.20.23	Jag svor dem en ed i öknen att jag skulle skingra dem bland folken och sprida ut dem till andra länder, 
EZK.20.24	därför att de inte lydde mina stadgar, utan förkastade mina bud. De vanhelgade mina sabbater och såg upp på sina förfäders avgudar. 
EZK.20.25	Jag gav dem också bud som inte var goda och stadgar som de inte kunde leva av. 
EZK.20.26	Jag lät dem orena sig med sina gåvor, när de offrade sina förstfödda, för jag ville sätta dem i skräck så att de skulle inse att jag är 
EZK.20.27	Tala därför till israeliterna, du människa, och säg: ’Så säger Herren, 
EZK.20.28	När jag ledde dem in i det land som jag med ed hade lovat att ge dem och när de såg alla höga kullar och lummiga träd, bar de fram sina slaktoffer där, förrättade sina offer i trots och tände välluktande rökelse och utgöt där sina dryckesoffer. 
EZK.20.29	Jag sa till dem: Vad är det för offerplats ni går till?’ ” – Det kallas ”Offerplatsen” än idag.
EZK.20.30	”Säg därför till israeliterna: ’Så säger Herren, 
EZK.20.31	Än idag orenar ni er med era avgudar, när ni offrar era barn i elden. Skulle jag då låta er, israeliter, rådfråga mig? Så sant jag lever, säger Herren, 
EZK.20.32	Det som ni har tänkt ut kommer inte att ske, när ni säger: ”Vi vill bli som andra folk, folk i andra länder. Vi vill tjäna trä och sten.” 
EZK.20.33	Så sant jag lever, säger Herren, 
EZK.20.34	Med järnhand och utsträckt arm och i vredesutbrott ska jag föra er bort från de främmande folken, och samla er från de länder där ni har blivit utspridda. 
EZK.20.35	Jag ska föra er till folkens öken och döma er där, ansikte mot ansikte. 
EZK.20.36	Precis som jag dömde era förfäder i Egyptens öken ska jag döma er, säger Herren, 
EZK.20.37	Jag ska låta er gå under herdestaven och föra er i förbundets band.
EZK.20.38	Jag ska rensa bort från er de upproriska och dem som sätter sig upp mot mig. Jag ska leda dem bort från det land där de bor som främlingar. Då ska ni inse att jag är 
EZK.20.39	Israeliter! Så säger Herren, 
EZK.20.40	På mitt heliga berg, det höga berget i Israel, säger 
EZK.20.41	För mig kommer ni att vara som ett välluktande rökelseoffer, när jag leder er tillbaka från folken och samlar er från de länder där ni varit kringspridda. Jag ska visa mig helig bland er inför folken. 
EZK.20.42	Då ska ni inse att jag är 
EZK.20.43	Då ska ni tänka på ert leverne och alla era gärningar som ni orenat er med. Ni ska avsky er själva på grund av allt det onda ni gjort. 
EZK.20.44	Då ska ni inse att jag är 
EZK.20.46	”Du människa, vänd dig söderut, predika mot söder och profetera för skogslandet i söder. 
EZK.20.47	Säg till sydlandets skog: ’Hör 
EZK.20.48	Då ska alla se att det är jag, 
EZK.20.49	Då sa jag: ”Min Herre, 
EZK.21.2	”Du människa, vänd dig mot Jerusalem och predika mot helgedomarna och profetera mot Israels land. 
EZK.21.3	Säg till Israels land: Så säger 
EZK.21.4	Då jag ska utrota både rättfärdiga och gudlösa hos dig, ska mitt svärd dras ut ur skidan mot allt levande från söder till norr. 
EZK.21.5	Alla ska då inse att jag, 
EZK.21.6	Därför ska du, människa, klaga. Klaga bittert, av förtvivlan inför dem! 
EZK.21.7	När de frågar dig varför du klagar, ska du svara: ’På grund av de nyheter som kommer. Alla ska drabbas av ångest och stå där handfallna. Alla ska bli modlösa, och det ska rinna längs allas ben
EZK.21.9	”Du människa, profetera och säg:
EZK.21.9	’Ett svärd har slipats och polerats,
EZK.21.10	slipats för slakt,
EZK.21.10	polerats för att blixtra.
EZK.21.10	Ska vi glädja oss? Min sons spira föraktar allt av trä.
EZK.21.11	Svärdet är lämnat att poleras,
EZK.21.11	att gripas med handen.
EZK.21.11	Svärdet har slipats och polerats,
EZK.21.11	gjorts i ordning för en dråpares hand.
EZK.21.12	Ropa och jämra dig, du människa,
EZK.21.12	för det drabbar mitt folk
EZK.21.12	och alla Israels furstar.
EZK.21.12	Tillsammans med mitt folk
EZK.21.12	kastas de åt svärdet.
EZK.21.12	Slå dig därför för ditt bröst.
