MAT.1.1	Livre d' la généalogie d' Jésus‐Christ, fis Dâvi, fis Abĕrham.
MAT.12.13	Là‐d'ssus i dît à ch't houmme‐là: Avagniz vote maïn. I l' avagnit, et a' vìnt sâine coumme l' aûtre.
MAT.12.14	Mais les pharisians, quànd il aeurent sorti d' la maîson, tìnrent conseil ensemblle contĕr li sus les moyens qu' i pourraient prendre pour le ruinaïr.
MAT.12.15	Quànd Jésus l' saeut, i s'en allit hors de là: et coumme une grànd route de gens l' avait siévu, i les guérisit tous.
MAT.12.16	Et i leû c'màndit d' n' en dire mot:
MAT.12.17	A ceulle fìn qu' chutte parole‐ichìn du prophéte Isaïe fusse accompllie:
MAT.12.18	Vchìn men serviteur, qu' j' ai élu: men bienaïmaï, en qui j' ai mis toute mĕn affection: j' f'rai r'paûsaïr sus li m'n esprit, et i publliera la justice ès nâtions.
MAT.12.19	I n' entrìnra pouìnt, i n' criera pouìnt, et fis d' âme n' ôra sa vouaix dans les carrefouars.
MAT.12.20	I n' écouach'ra pas l' ros mìnchi, et n' aquev'ra pas d' étâindre l' lumignon qui fûme acouore, jusqu' à tànt qu' i féche triomphaïr la justice de sa cause:
MAT.12.21	Et les nâtions espér'ront en sen nom.
MAT.12.22	Là‐d'ssus nou lli' am'nit ùn possédaï du démon qui' était aveuglle et muét; et i l' guérisit, de sorte qui s'mît à pâlaïr et à vée.
MAT.12.23	Tout l' peuplle en fut ravi: et i disaient: N'estche pouìnt là l' fis d' Dâvi?
MAT.12.24	Mais les pharisians, quànd i ouirent chun'na, disaient: Ch't houmme‐la n' cache les démons qu' par la vertu d' Béelzébub prìnce des démons.
MAT.12.25	Ho Jésus, qui counnîssait leux pensâïes, leû dît: Tout royaûme qui' est divîsaï contĕr li‐même s'ra ruinaï, et toute vìlle ou maîson qui' est divîsâie contre elle‐même ne dur'ra pas.
MAT.12.26	Si satan cache satan, il est divîsaï contĕr sémême; coumme est‐che don qu' sen royaûme dur'ra?
MAT.12.27	Et si ch' est par Béelzébub que j' cache les démons, par qui' est‐che que vos éfànts les cachent? Vlà pourqui i s'ront iaeux‐mêmes vos juges.
MAT.12.28	Si j' cache les démons par l' Esprit d' Gyu, l' royaûme de Gyu est don parvenu jusqu' à vous.
MAT.12.29	Mais coumme est‐che que quiquiùn peut èntraïr dans la maîson d' ùn fort houmme, et volaïr sĕs armes et chu qu' i posséde, si d'vànt toute aûte chôse i n' amarre le fort houmme, pour pouvier après chun'na volaïr sa maîson?
MAT.12.30	L' cien qui n' est pas ôve mé, est contĕr mé; et l' cien qui n' amâsse pas ôve mé, éparpille.
MAT.12.31	Vlà pourqui j' vous asseure qu' tout péché et tout bllasphême s'ra r'mis ès hoummes: mais l' bllasphême contĕr le Sâint‐Esprit n' leû s'ra pas r'mis.
MAT.12.32	Et tout houmme qui' aira pâlaï contĕr le Fis d' l' houmme, vlà qui lli s'ra r'mis; mais si quiquiùn a pâlaï contĕr le Sâint‐Esprit, i n' lli s'ra r'mis ni dans chu monde‐ichìn, ni dans l' aûtre.
MAT.12.33	Dites que l' arbre est bouanne, et que l' frit est bouan ossìn; ou dites que, pisque l' arbre est maûvaise, l' frit ossìn est maûvais; car ch' est par le frit qu' nou counnît l' arbre.
MAT.12.34	Râce de vipéres, coumme est qu' ous pourraïz dire de bouannes chôses, vous qui n' valaïz rien? car ch' est d' l' abondànce du cœur qu' la bouche pâle.
MAT.12.35	L' bouan houmme hale de bouannes chôses du bouan tĕrsor de sen cœur; et l' maûvais houmme hale de maûvaises chôses de sen maûvais tĕrsor.
MAT.12.36	Ho j' vous asseure que l's hoummes rèndront compte au jour du jug'ment de toute parole inutile qu' il airont dite.
MAT.12.37	Car vous s'raïz justifiaïs par vos paroles, et vous s'raïz condamnaïs par vos paroles.
MAT.12.38	Là‐d'ssus quiquiùns des scribes et des pharisians lli dirent: Maître, j' voudraîmes bien qu' ous nous fîssyiz vée quique méreille.
MAT.12.39	Mais i leû répounit: Chutte maûvaise et paillarde râce‐ichìn d'mànde une méreille; et nou n' lli' en doûra pouìnt d' aûtre qu' chelle du prophéte Jônas.
MAT.12.40	Car coumme Jônas fut tres jours et tres nits dans l' ventre d' la balâine, de même l' Fis d' l' houmme s'ra tres jours et tres nits dans l' cœur de la terre.
MAT.12.41	Les Ninivites s' élev'ront au jour du jug'ment contĕr chutte râce‐ichìn, et la condamn'ront; parc' qu' i s' sont r'pèntus à la prédicâtion d' Jônas: et pour tout chun'na ill y' en a iùn ichìn qui' est pus qu' Jônas.
MAT.12.42	La râine du Sud s' élev'ra au jour du jug'ment contĕr chutte râce‐ichìn, et la condamn'ra; parç qu' alle est v'nue des buts d' la terre pour ouìr la sagesse de Salomon: et pour tout chun'na ill y' en a iùn ichìn qui' est pus qu' Salomon.
MAT.12.43	Quànd l' esprit ìmpur a sorti d' ùn houmme, i va dans des terrâins secs trachànt du r'pos, et i n' en trouve pouìnt.
MAT.12.44	Là‐d'ssus i dit: Je r'tournerai dans ma maîson d' où j' ai sorti: et quànd i r'vient, i la trouve viéde, nekyâie et parâie.
MAT.12.45	En même temps i va prendre ôve li sépt aûtres esprits pus maûvais qu' li; et il entrent dans chutte maîson‐là et ŷ d'meurent; et l' draïn état de ch't houmme‐là d'vient piére que l' prumier. Ch' est‐là chu qui' aviendra à chutte perverse râce‐ichìn.
MAT.12.46	Coumme i pâlait acouore au peuplle, sa mére et ses fréres vìnrent, et coumme i s' tenaient pardehors, i d'màndaient à lli pâlaïr.
MAT.12.47	Et quiquiùn lli dît: Vlà vote mére et vos fréres qui sont pardehors, et qui vous d'màndent.
MAT.12.48	Mais i répounit au cien qui lli dît chun'na: Qui' est qui' est ma mére, et mes fréres qui' est qu' i sont?
MAT.12.49	Et quànd il aeut étèndu sa maïn viers ses disciplles: V'chìn, dit‐i, ma mére et mes fréres.
MAT.12.50	Car tout houmme qui fait la volèntaï d'men Pére qui' est dans les ciux, ch'tin'na est men frére, ma sœur et ma mére.
MAT.13.1	Chu même jour‐là, quànd Jésus aeut sorti d' la maîson, i s' assiévit au bord d' la maïre.
MAT.13.2	Et i s' assèmbllit autouar de li une route de gens; vlà pourqui i montit sus ùn baté où i s' assiévit, et tout l' peuplle se t'nait sus la rive;
MAT.13.3	Et i leû dît bien des chôses en paraboles, et i leû pâlait coumme chun'chìn: L' cien qui séme s' en fut s'maïr;
MAT.13.4	Et tàndis qu' i s'mait, une partie d' la s'menche caït l' long du ch'mìn, et les mouissons du cieil vìnrent, et i la màngirent.
MAT.13.5	Une aûtĕr caït dans d's endréts roquaeux, où a' n' avait pas gràndment d' terre; et a' l'vit ossitôt, parç que la terre où all' 'tait n' avait pas d' fond.
MAT.13.6	Mais quànd l' soleil se l'vit, a' fut havie; et coumme a' n' avait pas d' rachines, a' s'quit.
MAT.13.7	Une aûtĕr caït dans d's épines, et l's épines, quànd i vìnrent à crêtre, l' aûquirent.
MAT.13.8	Une aûtre enfìn caït dans d' bouanne terre, et a' portit du frit; quiques grâins rèndirent chent pour iùn, d' aûtĕrs sessànte, et d' aûtĕrs trente.
MAT.13.9	L' cien qui' a d's oreilles pour ouìr, qu' il ôe.
MAT.13.10	Ses disciplles s' appĕrchirent, et lli dirent: Pourqui' est qu' ous leû pâlaïz en paraboles?
MAT.13.11	Et i leû répounit, et i leû dît: Ch' est parç que, pour vous qui' êtes illo, i vous a étaï dounnaï d' counnître les mystéres du royaûme des ciux: mais pour iaeux, i n' leû‐s‐a pas étaï dounnaï.
MAT.13.12	Car tout houmme qui' a dêjà, nou lli doûra acouore, et i s'ra dans l' abondànce: mais pour le cien qui n' a pouìnt, nou lli hal'ra même chu qu' il a.
MAT.13.13	Vlà pourqui j' leû pâle en paraboles; parç que bien qu' i véent, i n' véent pouìnt, et bien qu' il ôent, i n' ôent ni n' comprannent.
MAT.13.14	Et la prophécie d' Isaïe s' accompllit en iaeux, quànd i dit: Vous écoutraïz d' vos oreilles, et vous n' ôraïz pouìnt; vous r'garderaïz d' vos yux, et vous n' verraïz pouìnt.
MAT.13.15	Car le cœur d' chu peuplle‐ichìn s' est app'sànti, et leux oreilles ôent dur, et il ont frumaï leux yux, d' crâinte qu' leux yux n' véent, qu' leux oreilles n' ôent, qu' leû cœur ne compranne, et qu' i n' se convertissent, et que je n' les guérisse.
MAT.13.16	Mais pour vous, vos yûx sont haeûraeux d' chu qu' i véent, et vos oreilles d' chu qu' il ôent.
MAT.13.17	Car j' vous dis, et ch' est la véritaï, qu' bien des prophétes et des justes ont sou'haitaï d' vée chu qu' ous véyiz, et n' l' ont pas veue; et d' ouìr chu qu' ous oyiz, et n' l' ont pas oui.
MAT.13.18	Ecoutaïz don, vous que vlo, la parabole du cien qui séme.
MAT.13.19	Tout houmme qui' écoute la parole du royaûme, et n' en fait aûcùn compte, l' esprit malìn vient, et emporte chu qui' avait étai s'maï dans sen cœur: ch' est là l' cien qui' a r'chu la s'menche l' long du ch'mìn.
MAT.13.20	L' cien qui r'chét la s'menche au milli des roques, ch' est l' cien qui' écoute la parole, et qui la r'chét à l' haeure même ôve jouaie:
MAT.13.21	Mais i n' a pouìnt d' rachine en sé, et i n' est qu' pour ùn temps; et quànd i survient des traverses et des persécutions pour la parole, il en fait ùn sujét d' scàndale et d' chute.
MAT.13.22	L' cien qui r'chét la s'menche parmi l's épines, ch' est l' cien qui' entend la parole; mais au but d' une achie les soucis d' chu monde‐ichìn et la délusion des richesses aûquent en li chutte parole‐là, et a' n' produit aûcùn frit.
MAT.13.23	Mais l' cien qui r'chét la s'menche dans une bouanne terre, ch' est l' cien qui' écoute la parole, qu' ŷ prend merque, et qui porte du frit, et rend chent, ou sessànte, ou trente pour iùn.
MAT.13.24	I leû propôsit une aûte parabole, et i leû dît: L' royaûme des ciux r'ssemblle à ùn houmme qui' avait s'maï d' bouan graïn dans sen courti.
MAT.13.25	Mais tàndis que l's hoummes dormaient, s'n enn'mi vìnt, et s'mit d' l' ivraie au milli du bllaï, et s' en allit.
MAT.13.26	Quànd don l' herbe aeut poussaï, et qu' alle aeut montaï en épi, l' ivraie étout c'mènchit à s' mourtraïr.
MAT.13.27	Là‐d'ssus les serviteurs de l' houmme de la maîson vìnrent lli dire: Signeur, est‐che qu' ous n' avaïz pas s'maï d' bouan graïn dans vote courti? Qui' est don qui fait qu' ill y' a d' l' ivraie?
MAT.13.28	I leû répounit: Ch' est ùn enn'mi qui l' a s'mâie. Et ses serviteurs lli dirent: Voulous qu' j' aûgions l' érachier?
MAT.13.29	Nennìn, leû répounit‐i, d' crâinte qu' en érachànt l' ivraie vous n' dérachigniz en même temps l' bouan graïn.
MAT.13.30	Laissiz crêtre l' ùn et l' aûtre jusqu' à l' avoût; et au temps d' l' avoût, j' dirai ès avoûteurs: Erachiz prumiérement l' ivraie, et llaïz‐la en soubats pour la brûlaïr: mais amâssaïz l' bllaï pour le portaïr dans men grigner.
MAT.13.31	I leû propôsit une aute parabole, et i leû dît: L' royaûme des ciux r'ssemblle à ùn graïn d' moutarde qu' ùn houmme prend et séme dans sen courti.
MAT.13.32	Chu graïn‐là est la pus p'tite de toutes les s'menches: mais quànd il a creue, il est pus grànd qu' toutes lĕs aûtes hèrbes, et i d'vient une arbre; de sorte qu' les mouissons du cieil viennent se r'paûsaïr sus ses brànques.
MAT.13.33	I leú dît acouore une aûte parabole. L' royaûme des ciux r'ssemblle au l'vaïn qu' une fâme prend, et qu' a' mêle dans tres m'sures de frine, jusqu' à tànt qu' la pâte sét toute l'vâie.
MAT.13.34	Jésus dît toutes ches chôses‐là au peuplle en paraboles; et i n' leû pâlait pouìnt sàns paraboles;
MAT.13.35	A ceulle fìn qu' chutte parole‐ichìn du prophéte fusse accompllie: J' ouvrirai ma bouche pour pâlaïr en paraboles; j' publlierai des chôses qui' ont étaï ch'lâies d'pis la créâtion du monde.
MAT.13.36	Là‐d'ssus Jésus aiyànt rènvyaï l' peuplle, vìnt dans la maîson; et ses disciplles s' appĕrchirent de li, et lli dirent: Explliquiz‐nous la parabole d' l' ivraie s'mâie dans l' courti.
MAT.13.37	Et i leû répounit, et leû dît: L' cien qui séme l' bouan graïn, ch' est l' Fis d' l' houmme.
MAT.13.38	L' courti est l' monde: l' bouan graïn, che sont l's éfànts du royaûme; et l' ivraie, che sont l's éfànts d' iniquitaï.
MAT.13.39	L' enn'mi qui l' a s'mâie, ch' est l' gyablle: l' temps d' l' avoût, ch' est la fìn du monde; l's avoûteurs, che sont l's ànges.
MAT.13.40	Coumme don nou‐s‐érache l' ivraie, et qu' nou la brûle au faeu; il en s'ra d' même à la fìn du monde.
MAT.13.41	L' Fis d' l' houmme enviera sĕs ànges, qui ramâss'ront et emporteront hors de sen royaûme tous chaeux qui sont des causes de chute et d' scàndale, et chaeux qui coummettent l' iniquitaï:
MAT.13.42	Et i les houl'ront dans la fournaise du faeu. Ch' est là qu' ill y' aira des plleurs et des grìnch'ments d' dents.
MAT.13.43	A' ch't haeure‐là les justes r'lléront coumme le soleil dans l' royaûme d' leu Pére. L' cien qui' a d's oreilles pour ouìr, qu' il ôe.
MAT.13.44	L' royaûme des ciux r'ssemblle à un tĕrsor muchi dans ùn courti, qu' ùn houmme trouve, et qu' i muche; et dans la jouaie qu' i ll' y' en vient, s' en va vendre tout chu qu' il a, et acate chu courti‐là.
MAT.13.45	L' royaûme des ciux r'ssemblle acouore à ùn houmme qui' est en trafi, et qui trache de bouannes perles;
MAT.13.46	Et qui, quànd il en a trouvaï iune de grànd prîx, s' en va vendre tout chu qu' il avait, et l' acate.
MAT.13.47	L' royaûme des ciux r'ssemblle acouore à une rét houlâie dans la maïre, qui prend toute sorte de païssons:
MAT.13.48	Et quànd alle est pllâine, les pêqueux la halent à bord, où, quànd i sont assis, i mettent ensemblle tous les bouans dans des vaissiaux, et houlent hors les maûvais.
MAT.13.49	Vlà coumme il en s'ra à la fìn du monde: l's ànges viendront, et separ'ront les maûvais du milli des justes;
MAT.13.50	Et i les houl'ront dans la fournaise du faeu. Ch' est là qu' ill y' aira des plleurs et des grìnch'ments d' dents.
MAT.13.51	Avous bien comprìns tout chun'chìn? Oui, Signeur, répounirent‐i.
MAT.13.52	Et il ajoûtit: Vlà pourqui tout docteur qui' est bien ìnsteruit dans tout chu qui r'garde l' royaûme des ciux, r'ssemblle à ùn pére de famille, qui hale de sen tĕrsor des chôses nouvelles et ànciannes.
MAT.13.53	Et quànd Jésus aeut fini ches paraboles‐ichìn, i s' en fut hors de là:
MAT.13.54	Et quànd i vìnt dans sa contrâie, i l's ìnstruisit dans leux synagôgues, de sorte qu' il en furent ravis, et i disaient: D' où' est qui' est vnue à ch't houmme‐ichìn chutte sagesse et ches miraclles‐ichìn?
MAT.13.55	N' est‐che pas là l' fis d' chu querpènkyer‐là? Sa mére n' a‐t‐alle pas nom Marie; et ses fréres, Jacques, Jôseph, Simon et Jude?
MAT.13.56	Et ses sœurs n' sont‐i pas toutes parmi nous? d' où' est qu' don toutes ches chôses‐là viennent à ch't houmme‐ichìn?
MAT.13.57	Et vlà coumme i pĕrnaient d' li un sujét d' scàndale. Mais Jésus leû dît: Un prophéte n' est sàns hounneur qu' dans sa contrâie et dans sa maîson.
MAT.13.58	Et i n' fît pas là gràndment d' miraclles, à cause de leû‐s‐ìncrédulitaï.
MAT.14.1	En chu temps‐là Hérode l' tétrarque apprìnt chu qui s' disait d' Jésus,
MAT.14.2	Et i dît à sĕs officiers: Ch' est Jean‐Batiste qui' est ressuscitaï d' entĕr les morts: et ch' est pour chun'na qu' i s' fait par li tànt d' miraclles.
MAT.14.3	Car quànd Hérode aeut fait prendĕr Jean, i l' avait fait amarraïr et mettre en prîson à cause d' Hérogyade fâme de sen frére Philippe;
MAT.14.4	Parç que Jean lli disait: I' n' vous est pouìnt permis d' aver chutte fâme‐là.
MAT.14.5	Hérode voulait don l' faire mouarìr; mais i cragnait l' peuplle, parç que Jean en était r'gardaï coumme ùn prophéte.
MAT.14.6	Mais coumme Hérode gardait sen jour de naîssànce, la file d' Hérogyade dànsit d'vànt tous chaeux qui' étaient conviaïs; et a' pllaeut tànt à Hérode,
MAT.14.7	Qu' i lli promît ôve serment d' lli dounnaïr tout chu qu' a' lli d'màndrait.
MAT.14.8	Ielle, coumme alle avait étaï ìnsteruite d' avànche par sa mére, lli dît: Dounnaïz‐mé à ch't haeure dans ùn pllat la tête de Jean‐Batiste.
MAT.14.9	L' roué, quànd i ouit chutte demànde‐là, en fut mârri: pour tout chun'na à cause du serment qu' il avait fait, et d' chaeux qui' étaient à tablle ôve li, i c'màndit qu' nou la lli dounnisse.
MAT.14.10	Il envyit en même temps copaïr la tête à Jean dans la prîson.
MAT.14.11	Et sa tête fut apportâie dans ùn pllat et dounnâie à chutte file‐là, qui la portit à sa mére.
MAT.14.12	Après chun'na ses disciplles vìnrent prendre sen corps, et l' ensev'lirent, et il allirent le dire à Jésus.
MAT.14.13	Jésus, quànd il aeut apprìnt chu qu' Hérode disait d' li, s' en allit hors de là dans ùn baté pour se mettre à l' écart dans ùn endrét désert: et l' peuplle quànd i l' saeut, l' siévit à pid de diverses vìlles.
MAT.14.14	Coumme i sortait du baté, i vît une grànd route de gens, et en aeut compâssion, et i guérisit leux malades.
MAT.14.15	Quànd vìnt l' sér, ses disciplles vìnrent lli dire: Ch't endrét‐ichìn est d'sert, et il est dêjà bien tard; rènvyaïz l' peuplle, à ceulle fìn qu' i s' en aûgent dans les bourgs acataïr d' qué màngier.
MAT.14.16	Mais Jésus leû dît: I n' est pas nécessaire qu' ill y' aûgent: dounnaïz‐leû vous‐mêmes à màngier.
MAT.14.17	I lli répounirent: J' n' avons ichìn qu' chìnq pâins et daeux païssons.
MAT.14.18	Apportaïz‐les ichìn à mé leû dît‐i.
MAT.14.19	Et quànd il aeut c'màndaï au peuplle d' s' assiée sus l' herbe, i prìnt les chìnq pâins et les daeux païssons; et l'vànt l's yux au cieil, i les bénisit; et quànd il aeut rompu les pâins, i les baillit à ses disciplles, et les disciplles les baillirent au peuplle.
MAT.14.20	Il en màngirent tous, et furent rassâsiaïs, et nou‐s‐emportit douze pan'râies des morciaux qui' étaient restaïs.
MAT.14.21	Ho chaeux qui màngirent étaient au nombre d' chìnq mìlle hoummes, sàns comptaïr les fâmes et les p'tits éfànts.
MAT.14.22	Ossitôt Jésus oblligit ses disciplles d' montaïr dans l' baté, et d' pâssaïr à l' aûte bord d'vànt li, entĕrtemps qu' i rènvierait l' peuplle.
MAT.14.23	Quànd i l' aeut rènvyaï, i montit seul sus une montâigne pour pryaïr; et l' sér étànt v'nu, i s' trouvit seul dans ch't endrét‐là.
MAT.14.24	Entĕrtemps l' baté était hardi battu des vâgues au milli d' la maïre, parç que l' vent était contraire.
MAT.14.25	Mais à la quateriême veille d' la gnett Jésus vìnt à iaeux, et i marchait sus la maïre.
MAT.14.26	Quànd i l' virent marchier d' même sus la maïre, il en troubllirent, et i disaient: Ch' est une vîsion; et il en cryirent d' effré.
MAT.14.27	Ossitôt Jésus leû pâlit, et leû dît: Rassurous, ch' est mé; n' cragniz miette.
MAT.14.28	Pierre lli répounit: Signeur, si ch' est vous, c'màndaïz qu' j' aûge à vous, et que j' marche sus l's iaues.
MAT.14.29	Jésus lli dît: V'naïz. Et Pierre d'vallànt du baté, marchait sus l' iaue pour allaïr à Jésus.
MAT.14.30	Mais coumme i vît ùn grànd vent, il aeut peû; et coumme i fonçait, i s' écryit: Signeur, saûvaïz‐mé.
MAT.14.31	Ossitôt Jésus lli' avagnit sa maïn, l' prìnt et lli dît: Houmme de p'tit d' foué, pourqui' est qu' ous avaïz doutaï?
MAT.14.32	Et quànd il aeurent montaï dans l' baté, l' vent cêssit.
MAT.14.33	Là‐d'ssus chaeux qui' étaient dans chu baté‐là s' appĕrchirent de li, l' adorirent et lli dirent: Vous êtes véritabllement Fis de Gyu.
MAT.14.34	Quànd il aeurent passaï l' iaue, i vìnrent dans la contrâie d' Génésar.
MAT.14.35	Quànd l's hoummes de ch't endrét‐là l' aeurent r'counneue, il envyirent par toute la contrâie d' par‐là, et i lli pĕrsèntirent tous les malades;
MAT.14.36	Et l' pryirent qu' i leû permisse seul'ment d' touquer là frànge de sa robe: et tous chaeux qui la touquirent furent guéris.
MAT.15.1	Là‐d'ssus des scribes et des pharisians qui' étaient v'nus d' Jerusâlem s' appĕrchirent de Jésus, et lli dirent:
MAT.15.2	Pourqui' est‐che que vos disciplles violent la tradition d' s àncians? car i n' lavent pouìnt leux mâins quànd i prannent leux r'pas.
MAT.15.3	Mais Jésus leú répounit: Pourqui' est‐che qu' ous violaïz vous‐mêmes le c'màndement d' Gyu pour siére vote tradition? car ch' est Gyu qui' a fait chu c'màndement‐ichìn:
MAT.15.4	Hounoraïz vote pére et vote mére; et ch't aûtreichìn: Que l' cien qui dira d' maûvaises paroles à sen pére ou à sa mére, sét puni d' mort.
MAT.15.5	Mais, vous que vlo, vous dites: Tout houmme qui' aira dit à sen pére ou à sa mére: Tout don que j' fais à Gyu vous est utile, satisfait la loué,
MAT.15.6	Bien qu' après chun'na i n' hounore et n' assiste pouìnt sen pére ou sa mére; et ch' est d' même qu' ous avaïz anullaï le c'màndement d' Gyu par vote tradition.
MAT.15.7	Hypocrites, ch' est bien d'vous qu' Isaïe a prophétîsaï, quànd il a dit:
MAT.15.8	Chu peuplle‐ichìn m' hounore de ses laïvres; mais sen cœur est llen d' mé:
MAT.15.9	Et ch' est en vaïn qu' i m' hounorent, tàndis qu' il ensignent des doctrines et d's ordounnances v'nues d's hoummes.
MAT.15.10	Après chun'na, quànd il aeut app'laï l' peuplle à li, i leû dît: Ecoutaïz, et compĕrnaïz bien chun'chìn.
MAT.15.11	Ch' n' est pas chu qui' entre dans la bouche qui salit l' houmme; mais ch' est chu qui sort d' la bouche de l' houmme, qui l' salit.
MAT.15.12	Là‐d'ssus ses disciplles s' appĕrchirent, et lli dirent: Savous qu' les pharisians, quànd il ont oui chu qu' ous v'naïz d' dire, s' en sont scàndalisaïs?
MAT.15.13	Mais i répounit: Toute pllànte que men Pére qui' est dans les ciux n' a pas pllàntâie, s'ra érachie.
MAT.15.14	Laissiz‐les; ches gens‐là sont d's aveuglles qui ménent dĕs aveuglles: s' ùn aveuglle en méne ùn aûtre, i quaient les daeux dans la fosse.
MAT.15.15	Pierre, pĕrnànt la parole, lli dît: Explliquiz‐nous chutte parabole‐là.
MAT.15.16	Et Jésus lli répounit: Qui! êtous acouore vous‐mêmes sàns avis?
MAT.15.17	Est‐che qu' ous n' compĕrnaïz pouìnt qu' tout chu qui' entre dans la bouche d' valle dans l' ventre, et qu' après chun'na il est houlaï dans le r'trait;
MAT.15.18	Mais qu' chu qui sort d' la bouche vient du coeur, et qu' ch' est chu qui' entumit l' houmme?
MAT.15.19	Car ch' est du coeur qu' viennent les maûvaises pensâies, les meurtres, l's adultéres, les paillardises, les vols, les bllasphêmes, les faux témouégnages et les maûdissons;
MAT.15.20	Vlà les chôses qui' entumissent l' houmme: mais màngier sàns aver lavaï ses mâins, ch' n' est pas là chu qui' entumit l' houmme.
MAT.15.21	Jésus, quànd il aeut quittaï ch't endrét‐là, s' en allit dans l's environs d' Tyr et d' Sidon;
MAT.15.22	Et une fâme Canagnanne, qui' était v'nue d' ches parts‐là, s' écryit et lli dît: Signeur, fis d' Dâvi, aiyiz piti d' mé; ma file est misérabllement tormèntâie par le démon.
MAT.15.23	Mais i n' lli répounit pas ùn seul mot; et quànd ses disciplles s' appĕrchirent de li, i l' pryaient et lli dirent: Accordaïz‐li chu qu' a' d'mànde, à ceulle fìn qu' a' s' en aûge, parç qu' a' crie souventĕr nous.
MAT.15.24	I leû répounit: J' n' ai étaï envyaï qu' ès bĕrbis d' la maîson d' Israël qui s' sont perdues.
MAT.15.25	Mais a' s' appĕrchit d' li, l' adorit, et lli dît: Signeur, aïguiz‐mé.
MAT.15.26	I lli répounit: I n' est pas juste de prendĕr le païn d's éfànts, et de l' dounnaïr ès tchiens.
MAT.15.27	A' lli dît là‐d'ssus: Il est vrai, Signeur; mais les p'tits tchiens mangent au mâins des miettes qui quaient d' la tablle d' leux maîtres.
MAT.15.28	Là‐d'ssus Jésus répounit et dît: O fâme, vote foué est grànde; qu' i vous sét fait coumme vous le d'siraïz. Et sa file fut guérie à l' haeure même.
MAT.15.29	Jésus, quànd il aeut quittaï ch't endrét‐là, vìnt l' long d' la maïre de Galilâie; et quànd il aeut montaï sus une montâigne, i s' y' assiévit.
MAT.15.30	Là‐d'ssus une grànd route de gens vìnt l' trouvaïr, et ill y' avait ôve aeux des muets, d's aveuglles, des gens qui cllochaient, des mànchots, et hardi d' aûtes malades qu' i mirent à ses pids, et i les guérisit:
MAT.15.31	D' sorte qu' ches gens‐là étaient dans l' admirâtion, quànd i véyaient qu' les muets pâlaient, qu' les mànchots étaient guéris, que l's épîtaïs marchaient, que l's avenglles véyaient; et i rèndaient guelouére au Gyu d' Israël.
MAT.15.32	Ho Jésus, quànd il aeut app'laï ses disciplles, leû dît: J' ai compâssion d' chu peuplle‐ichìn, parç qu' ill y' a dêjà tres jours qu' i sont terjoûs ôve mé, et i n' ont rien à màngier; et je n' veurs pas les rènvyaïr qu' i n' aient màngi, d' crâinte qu' i n' quaient en fyaibllesse sus l' chemìn.
MAT.15.33	Ses disciplles lli répounirent: Coumme est que j' pourrons trouvaïr dans ch't endrét‐ichìn qui' est d'sert assaïz d' pâins pour rassâsiaïr une si grànd route de gens?
MAT.15.34	Et ce r'fît Jésus: Combien d' pâins avous? Sépt, lli dirent‐i, et quiques petits païssons.
MAT.15.35	I c'màndit don au peuplle d' s' assiée sus la terre;
MAT.15.36	Et quànd il aeut prìns les sépt pâins et les païssons, après aver rèndu grâces, i les rompit, et les dounnit à ses disciplles, et ses disciplles les dounnirent au peuplle.
MAT.15.37	Tous en màngirent, et furent rassâsiaïs: et nou‐semportit sépt pan'râies des morciaux qui restirent.
MAT.15.38	Ho chaeux qui' en màngirent étaient au nombre d' quate mìlle hoummes, sàns comptaïr les p'tits éfànts et les fâmes.
MAT.15.39	Jésus, après chun'na, quànd il aeut rènvyaï l' peuplle, montit sus ùn baté, et vìnt sus l's abutt'ments d' Magédan.
MAT.16.1	Là‐d'ssus les pharisians et les saducéians vìnrent à li pour le tèntaïr, et i l' pryirent d' leû faire vée quique méreille dans l' cieil.
MAT.16.2	Mais i leû répounit: Au sér vous dites: I f'ra bel, parç que l' cieil est rouage:
MAT.16.3	Et au matìn vous dites: Ill y' aira agnett d' l' orage, parç que l' cieil est enfaeuqui et rouageâtre.
MAT.16.4	Hypocrites, vous savaïz don r'counnître chu qu' les diverses apparences du cieil prédisent, et vous n' savaïz pas discernaïr les sines des temps que Gyu a merquis? Chutte nâtion corrompue et paillarde‐ichìn d'mànde une méreille, et i n' lli' en s'ra pouìnt dounnâïe d' aûtĕr qu' chelle du prophéte Jônas. Là‐d'ssus i les laissit, et s' en allit.
MAT.16.5	Ho ses disciplles, quànd il aeurent pâssaï d' l' aûte bord de l' iaue, avaient oubillaï d' prendre des pâins.
MAT.16.6	Jésus leû dît: Aiyiz soin d' vous gardaïr du l'vaïn des pharisians et des saducéians.
MAT.16.7	Mais i pensaient et disaient entre aeux: Ch' est parç que j' n' avons pas prìns d' pâins.
MAT.16.8	Jésus, quànd i counnaeut chun'na, leû dît: Hoummes de p'tit d' foué, pourqui' est qu' ous n' avaïz pouìnt prìns d' pâins?
MAT.16.9	Est‐che qu' ous n' compĕrnaïz pouìnt acouore, et n' vous souvient‐i pouìnt qu' chìnq pâins ont suffi pour chìnq mìlle hoummes, et combien vous en avaïz emportaï d' pan'râies;
MAT.16.10	Et qu' sépt pâins ont suffi pour quate mìlle hoummes, et combien vous en avaïz remportaï d' pan'rotâies?
