MAT.1.1	Guijtz ni rusule' laj retoxpeṉgoldoo xten Jesucrist xi'n toDavid, xi'n toAbraham.
ACT.27.5	Che sonnu neṉ barcw, bideednu xnisdoo reguedx Cilicia näjza xnisdoo reguedx Panfilia, te bidzuṉnu ro' guedx Mira xten Licia. 
ACT.27.6	Ro'c bidxäjl capitán xten resoldaad stee barcw ni siääd guedx Alejandría. Agojl chää barcwga Italia. Bateedtini guiraanu lo barcwga. 
ACT.27.7	Balti dxej chäigaj sonnu lo nisdoo. Trabajwduxh bidzuṉnu lo nisdoo ro' guedx Gnido, sa'csi entis cabi' beduxh nez cadro sonnu. Ni'c trabajwduxh bideednu xladbäjgw yuj Creta ni tre' lo nisdoo xladbeenu. Gudejdnu guedx Salmón. 
ACT.27.8	Dxejcti chäiduxh sonnu neṉ barcw lo nisdoo nez cuä' yu Creta; si'ctis gujc bidzuṉnu te lajt ro' nisdoo ni laa Buenos Puertos cadro guxii sääb bej. Gajxh ro'c tre' guedx Lasea. 
ACT.27.9	Agujc balti dxej cayaclaanu, luxh agudejdza dxej ni rucua'n rexpejṉ Israel, guxii riäädx chaa ijz. Rebäire di bejṉ chää neṉ barcw sa'csi yuduxh riesgw lo nisdoo, ni'c balijdx Pabl rebejṉ, 
ACT.27.10	räjpni lojreni:
ACT.27.10	―Rexamigwä, runxgaä bis guejbtu, palga chonnu neṉ barcw chanuunu xnejznu, sajc te liädxduxh. Sinitloj cargw, sibijxh barcw, luxh silo' xhidajl bejṉ, ―räjpni.
ACT.27.11	Niluxh di capitán xten resoldaad niu xtidx Pabl. Biuruni xtidx nani rusaj barcw näjza xtidx baxhuaan xten barcw. 
ACT.27.12	Luxh sa'csi lajtga dini gajc huen tedreni rebäii naḻduxh, bejnreni xhigab hueenru guiriinu ro'c te chonnu guedx Fenice ni tre'za lo yu Creta, sa'csi di bej guibiduxh ro'c. Hueenru ro'c guilääznu ted rebäinajḻ, rajpreni.
ACT.27.13	Ni'c che gusloj cabi' te bebäz nez lad sur, naareni pet xhet najcdi guiriinu lo nisdoo con barcw. Dxejc basḻaareni barcw, sontinu ro' nisdoo gajxh cuä' Creta. 
ACT.27.14	Niluxh di niaclaa gusloj te nisguipeduxh birii nez redajn xten Creta. 
ACT.27.15	Gunaaz bejga barcw, diru gacdi gusajrenini. Basa'ntireni sanä bejga barcw cadrotis rlajzni. 
ACT.27.16	Siädgobiuj barcw te canuu. Che bidzuṉnu stelaad te yuje' ni tre' lo nisdoo ni laa Clauda, guxiiru cabi' beduxhga. Dxejcli bejnreni gaan guläsreni canuu neṉ barcw. 
ACT.27.17	Che basäḻnu canuu neṉ barcw, cua'reni gaii duro te baliibreni barcwro, bateedreni gaii duu xque' barcw te na'c guibiḻni. Cadxejbreni te di chachu' barcw lo yujxh ni laa Sirte ni yu' neṉ nisdoo. Ni'c guläjtreni ladro ni rniaaz bej te rusajni barcw, gudixhreni lajdga neṉ barcw. Sanäti beduxhga barcw cadrotis rlajzni. 
ACT.27.18	Che bara yääl caguscuä' beduxh barcw lo nisdoo. Sas basäḻreni che'n cargw lo nisdoo te bicharu barcw. 
ACT.27.19	Ni riojṉ dxej, lagajc laareni basäḻreni lo nisdoo guiraa xtrast barcw. 
ACT.27.20	Che agujc balti dxej niäu lo gubijdx, diza rebale' nieṉ xhaguibaa sa'csi laḻtis cayajb nisguipeduxhga, biennu xhigab guiraanu sejtnu. 
ACT.27.21	Xchero rut rlajzdi gau. Dxejc gusuj Pabl galäii rebejṉ räjpni lojreni:
ACT.27.21	―Rexamigwä, paru nucuadiajg guejbtu xtidxä, na'c niriitu xyuj Creta, di liäädxre niajc, dizanu nidejd trabajwduxhre. 
ACT.27.22	Niluxh coḻcuecdxi lastootu. Niclatej bejṉ ni siääd lo barcw di guet. Barcwtis sinitloj. 
ACT.27.23	Nacä te xpejṉ Dios, runä xhitis ni rnibeeni gunä. Nayääl biädsuj te xangl Dios cuä'ä, 
ACT.27.24	najni loä: “Na'c guidxejblu Pabl. Nanabpac chäälu lo ṟeii César. ¡Bahuilaa! Abasalajz Dioslu reni siädnälu; nicla tej reni yu' neṉ barcwre di guet”, najni loä. 
ACT.27.25	Ni'cni caniä lo guejbtu, na'c guidxejbtu. Narä rililazä xtidx Dios. Rililazä sisiojb xtidx Dios si'c ni naj xangl Dios loä. 
ACT.27.26	Niluxh yu' cadro chalaj barcw lo yujxh neṉ nisdoo gajxh lo te yuje' ni tre' neṉ nisdoo ―räjp Pabl.
ACT.27.27	Si'cti tiop xman balaṉaa beduxhga barcw nezre, nezrec lo nisdoo ni laa Adria. Pet garol yääl ni bejn reniguii ni ruzaj barcw xhigab abidzujṉ barcw gajxh lo yuj, 
ACT.27.28	ni'c bastejbreni te guiib lo duu xhajn nisdoo, te barexhreni ro'c, dxejc gucbeereni najc nisdoo jiät si'cti gaḻbitzubixho'p metr. Che guzaj barcw stelabäze', bastebsacreni guiib con duu xajn nisdoo, dxejc gucbeereni ro'c najc nisdoo jiät si'cti gaḻbigajdz metr. 
ACT.27.29	Dxejc bidxejbreni te di chalaj barcw yejc reguij. Bacuaatireni tajp guibro si'c guench ni naliib te cadeṉ te ru'reni neṉ yujxh te ruscuääzreni barcw, te jia'nni tejsi lajt. Dxejc rlajzreni malaii jianijga lo guedxliuj. 
ACT.27.30	Dxejcti gulät remos canuu lo nisdoo cayujnsireni si'cni chastejbreni stee guench guiib lo nisdoo, niluxh rlajzreni guxuṉreni guidon la sajc guidzujṉreni ro' nisdoo. 
ACT.27.31	Dxejcti räjp Pabl lo capitán näjza lo resoldaad:
ACT.27.31	―Palga di redee jia'n neṉ barcw, di gacdi gusḻaatu xcäḻnabajṉtu ―räjpni.
ACT.27.32	Dxejcti batiugya' resoldaad duu ni naaz canuu te bitejbni lo nisdoo, sanäti nisdoo canuuga. 
ACT.27.33	Che gusloj cayanij, gunibee Pabl, räjpni lojreni:
ACT.27.33	―Nadxej rajc tiop xman gajdtu gues, gajdzatu gau. 
ACT.27.34	N̲aj coḻtajw te gac guixoobtu lo nisdoo. Na'c guntu xhigab guettu, nicla tej xquidxejctu di nitloj.
ACT.27.35	Che gulujx gunii Pabl si'c, cua'ni yätxtiil, badeedni xquixtios lo Dios nez loj guiraareni. Dxejc gula'nini, gusloj cayajwnini. 
ACT.27.36	Dxejc bibaa-lajzreni, näjza laareni gusloj cayajwreni. 
ACT.27.37	Nuunu najcnu tiop gayuu gayoṉbitzubixho'p bejṉ ni yu' neṉ barcwga. 
ACT.27.38	Che agujc gudajwreni, basäḻreni triuu lo nisdoo te bicharu barcw.
ACT.27.39	Che bianisac, direni niembee yujga, niluxh bahuiireni cadro rdzujṉ te gueubäz ro' nisdoo cadro yu' xhiroob yujxh ro' nisdooga. Rlajzreni nusiu'reni barcw ro'c. 
ACT.27.40	Dxejcti basḻaareni guidap guench guiib ni naaz barcw, bia'nreni guideb cadeṉ neṉ nisdoo, baxheczareni yajg ni ruzaj barcw, guläszareni ladro nez delant barcw te balaṉaa bej barcw. Badzuréreni barcw sääreni nez ro' nisdoo. 
ACT.27.41	Sas biu'reni te lajt cadro rdxagsa' tiop cuaa nis. Ro'c huilaj yejc barcw neṉ yujxh neṉ nisdoo, digacdiru guiniibni. Dxejcti gusloj cabijḻ dejtz barcw sa'csi sanuutis caguijn nisdoo detz barcw. 
ACT.27.42	Dxejcti rlajz resoldaad nugu't repres te di guixoobreni lo nis guxuṉreni. 
ACT.27.43	Niluxh di rlajz capitán xten resoldaad guet Pabl, ni'c dini nusaan nugu't resoldaad repres. Gunibee capitán ganiddoo renani rajc rxoob lo nis guitiäjs lo nisdoo te guidzujṉreni lo yujxh. 
ACT.27.44	Dxejcti birinajl rebejṉ ni digacdi guixoob lo nis, naazreni barajd o te la' yajg ni gula' detz barcw. Si'c gujc bidzujṉ guiragajc rebejṉ lo yujxh ro' nisdoo. Nadaanreni bidzujṉreni lo yujxhga.
ACT.28.1	Che bidzujṉnu lo yuj ni tre' lo nisdoo, biembeenu yujga najc ni laa Malta. 
ACT.28.2	Gucnäj rebejṉ ro'c nuure, gule'creni guiboo bahuiireni nuure sa'csi cayacnaḻduxh, cayajbza nisguij. 
ACT.28.3	Ca' Pabl te dääz yajg, sale'cnini lo guiboo, chela biriyäḻ te bäḻ nialajz neṉ yajgga. Saa gudauya'ni ṉaa Pabl. 
ACT.28.4	Che bahuii rebeṉ Malta li najl bäḻ nialajzga cayauya' ṉaa Pabl, gusloj cayäjbreni lo sa'reni:
ACT.28.4	―Pet rugu'tni bejṉ ni'c mase bejnni gaan lo nisdoo siguijxni xtojḻni, sejtni ṉaj.
ACT.28.5	Gubijb Pabl ṉaani dxejcti bitejb bäḻga lo guiboo. Xhet gujcdi ṉaa Pabl. 
ACT.28.6	Dxejc rebeṉ ro'c cabäjz fiireni la sisiäguij ṉaa Pabl o laa sejtni. Xchero bidxelojreni. Che bahuiireni xhet gujcdini, gusloj bejnreni ste'ca xhigab, räjpreni lo sa'reni:
ACT.28.6	―Pet dios najcni.
ACT.28.7	Gajxh ro'c naga' xyuj te dade' ni laa Publio ni najc xcubernadoor Malta. Biojia'nnu rolijzni choṉ dxej. Huenduxh gujc dade'ga, baniidxni guiraa ni biquiinnu. 
ACT.28.8	Naga' xtad Publio cayacxhuuni, yu'ni xliaa, cayajczani yobrejn. Huihuii Pablni. Guredx-gunab Pabl lo Dios, dxejc batzuub Pabl ṉaani yejcni, basiacgajcnini. 
ACT.28.9	Che gucbee rebeṉguejdxga abasiajcni beṉ racxhuuga, bidzuṉnäjreni beṉ racxhuu lo Pabl, basiajc Pabl guiraareni. 
ACT.28.10	Ni'c banidx-xliaareni xhidalduxh xhicos, luxh che biriinu ro'c, baniidxreni guiralii recos ni biquiinnu neṉ barcw.
ACT.28.11	Agujc choṉ bäii yu'nu ro'c che biu'nu neṉ te barcw ni siääd Alejandría. Lagajc ro'c bateed barcwga rebäinajḻ che rsiäb beduxh. Yejc barcwga caj tiop figuur xten tiop biuux ni laa Cástor näjza Pólux, rexingancua'ch dios ni laa Zeus. 
ACT.28.12	Biriinu Malta sonnu neṉ barcw nez guedx Siracusa. Ro'c bia'nnu choṉ dxej. 
ACT.28.13	Dxejcti biusacnu neṉ barcw, sonnu lo nisdoo cheni bidzuṉlinu guejdx ni laa Regio. Che bara yääl, gubi' te bej birii lad sur. Biusacnu neṉ barcw. Bara yääl bidzuṉnu guedx Puteoli. 
ACT.28.14	Ro'c bidxaagnu gaii xpejṉ Jesucrist. Najreni loonu:
ACT.28.14	―Coḻjiannäj nuunu ―najreni.
ACT.28.14	Bia'nnu ro'c gajdz dxej. Dxejc biriinu guejdxga, ni'nu sonnu nez guedx Roma. 
ACT.28.15	Che gucbee rexpejṉ Jesucrist ni yu' guedx Roma siopsaanu nez Roma, biäädreni guedx Foro de Apio näjza stee guejdx ni laa Tres Tabernas, ro'c bidxaagreni nuure. Che bahuii Pabl lojreni, guzutijp lastooni, badeedni xquixtios lo Dios. 
ACT.28.16	Che biu'nu guedx Roma, bateed capitán repres ladzṉaa comandant, niluxh basaanni cualaa Pabl te yu' cadro cuääzni. Tejtis soldaad biannäj Pabl.
ACT.28.17	Che gudejd choṉ dxej, gurejdx Pabl reni rnibee lo rexpejṉ Israel. Che bidxaag sa'reni cadro yu' Pabl, räjpni lojreni:
ACT.28.17	―Guejbtu rexamigwä, resa'ä, xhetliidi nani xhet laadi benä lo rexpejṉ Israel, dizana nibälazä xleii toMoisés. Niluxh basäureni narä neṉ latzguiib guedx Jerusalén, dxejcti bateedreni narä ladzṉaa reroman. 
ACT.28.18	Che biejn diajgreni xtidxä, rlajz reguxhtis roman nusḻaa narä sa'csi xhet benädi te nugu'treni narä. 
ACT.28.19	Niluxh naaddi rexpejṉ Israel gusḻaareni narä, gunabätis lojpac ṟeii César jiädle'creni quej ni cabe'creni xcuentä. Niluxh narä xhet xquejdi rexpejṉ Israel cue'cä. 
ACT.28.20	Ni'cni guredxä la'tu te fiä lojtu, te guininää́ la'tu, sa'csi rililazä lagajc si'c rililajz xpejṉ Israel sibaṉsac rebeṉgut, ni'c nalibä cadeṉre.
ACT.28.21	Dxejcti räjpreni lojni:
ACT.28.21	―Nicla tej guijtz gajd reguxhtis xten reguedx Judea guxhaḻ loonu xcuentlu, gajdza rexpejṉnu ni bidzujṉ ree jiädsa'n diidx xhet laadi bejnlu. 
ACT.28.22	Rlajznu jiejn diajgnu xtiidxlu, don xhi naalu, sa'csi racbeenu xhidajl lajt rniyajreni redidxcoob xten Jesucrist ―räjpreni.
ACT.28.23	Guletireni te dxej guidxagsa'reni. Che bidzujṉ dxejga, bidxagsa' xhidalduxh bejṉ neṉ yu' cadro rbäjz Pabl. Guideb dxej basule' Pabl xtidx Dios lojreni. Basule'ni xho rnibee Dios lojreni. Con rediidx ni caj lo xleii toMoisés näjza diidx ni bacuaa reniguii nani gunii xtidx Dios basule'ni Jesús najc Crist nani galooli cabäjz rebeṉ Israel jiääd. 
ACT.28.24	Yu' reni huililajz xtidx Pabl, yu'za reni di nililajz xtiidxni. 
ACT.28.25	Sa'csi di niajcdi niujnreni tejsi xhigab gusloj siireni. Ganiddoo räjp Pabl lojreni:
ACT.28.25	―Guliica naj toIsaías che badeed Sprit Dxan xten Dios rediidxre guniini, räjpni lo rextadgoldoonu:
ACT.28.26	Huij, gunii lo rebejṉre, scree gojz lojreni:
ACT.28.26	Siejn diajgtu xtidxä, niluxh ditu gacbeeni.
ACT.28.26	Suhuiitu nani runä luxh ditu gumbee xhini'c ruhuiitu.
ACT.28.27	Agucnajd lastoo rebejṉre sa'csi di rlajzreni chalilajzreni xtidxä.
ACT.28.27	Direni cuadiajg xtidxä sa'csi di rlajzreni jiejn diajgreni diidx ni guliipac.
ACT.28.27	Rusäuzareni balojreni te di fiireni, te di lajzreni chalii.
ACT.28.27	Ni'cni direni gusiechlajzreni te gusaan gunreni dojḻ te gudzucaj Dios xtojḻreni.
ACT.28.28	Räjp Pabl lojreni:
ACT.28.28	―Coḻgacbee. N̲ajli sisiule' xtidx Dios lo rebeṉzijt ni di gac xpejṉ Israel te gusiejch lajzreni, te gudzucaj Dios xtojḻreni. Rniliä́pac lojtu, sililajzreni rextidx Dios.
ACT.28.29	Che gulujx gunii Pabl rediidxga lojreni, ensilaareni gusloj cadxagdijḻ sa'reni laḻ ni sääreni.
ACT.28.30	Tiop ijz guläjz Pabl guejdxga neṉ yu' ni cualaani. Biuni guiralii rebejṉ ni biääd rolijzni. 
ACT.28.31	Lo guiraa rebejṉga basule'ni xho rnibee Dios lojreni. Bijzani diidx xcuent redzuun nani bejn Jesucrist. Di lastooni nidxejb, rutza badxojndi guniini.
ROM.1.1	Narä, Pabl, nacä te xmos Jesucrist, laani gule narä te gusule'ä xtidx Dios loj rebejṉ.
ROM.1.2	Agujc xchero bia'n Dios diidx loj renani basule' xtiidxni, suniidxni diidxre loonu, luxh diidx ni bia'n Dios caj lo guijtz xten reprofe'tga. 
ROM.1.3	Rediidx ni rusule'ä najc xcuent Jesucrist, Xi'n Dios, ni najc xagdoo toṟeii David xcuent tiejxhni. 
ROM.1.4	Xcuent Xsprit Dxan Dad Jesucrist, najcni Xi'npac Dios. Badeed Dios yäḻrnibee lojni, ni'cni gubaṉsacni lo rebeṉgut. 
ROM.1.5	Laani gucnäjni narä, guleni narä te gusule'ä xtiidxni te guzobdiajgtu, te chalilajz rebejṉ ni rej guideb guedxliuj xtiidxni. 
ROM.1.6	Luxh nadxaagtu loj rebejṉ ni guleni te chalilajzreni xtiidxni.
ROM.1.7	Ruxhaḻä guijtzre lojtu ni yu' guedx Roma, guiraatu ni sanälajz Dios ni bibeetu gactu beṉdxan. Gacnäj Dios ni najc Xtadnu näjza Dad Jesucrist la'tu, guscuecdxireni lajztu.
ROM.1.8	Ganidtoo rudedä xquixtios loj Dios con laj Jesucrist xcuent guiraatu, sa'csi guideb guedxliuj rujy bejṉ diidx xcuent xcäḻrililajztu. 
ROM.1.9	Lagajc Dios anajn xho rniabä guet-guejt xcuent la'tu lojni. Narä runä xtzuun Dios guideb lastoä, rusule'ä diidx xcuent Xi'nni Jesucrist. 
ROM.1.10	Sanuutis canabä lojni, top sajc jiädhuiä lojtu si'cni rlazä gunä agujc xchejli. 
ROM.1.11	Sa'csi rlazduxhä fiä lojtu, te gacnää́tu, te gulidxä la'tu xhi te xtidx Dios te sudzu'tzrutu lo xtiidxni. 
ROM.1.12	Nalajznu, te gustioobnu lajz sa'nu xcäḻrililajz xtidx Dios xten sa'nu.
ROM.1.13	Rebetzä rlazä gacbeetu balti huält benä xhigab jiädhuiä lojtu, luxh gajd gacdi jiäḻä. Rlazä jiädhuiä lojtu te chalilajz xhidajlru bejṉ xtidx Dios sigajcni salilajzreni guiralajt cadro hua'a loj rebejṉ ni di gac xpeṉ Israel. 
ROM.1.14	Nungäjḻpac gusule'ä xtidx Dios loj rebejṉ nani rnii garen-garen didxsaj, sigajc loj rebeṉ griegw, loj renani nayääl, sigajc loj rebeṉ najn. 
ROM.1.15	Rbaali lazä suga'a ṉaj, te gusule' xtidx Dios näjza lojtu ni yu' guedx Roma.
ROM.1.16	Sa'csi dina guituiä xcuent xtidx Dios, sa'csi najcni yäḻrnibee xten Dios te gusḻaani lo dojḻ chutis bejṉ nani rlajz chalilajz xtiidxni, ganidtoo reni najc rexpejṉ Israel, dxejcti näjza rebejṉ ni di gac xpeṉ Israel. 
ROM.1.17	Sa'csi xtidx Dios rusule' xho nanab chalilajz te bejṉ te gacni te beṉsa'c nez lo Dios sa'csi huililajzni xtiidxni. Lo xtidx Dios caj scree: “Palga rililajz te bejṉ xtidx Dios, najcni te beṉnaya nez lo Dios, nabaṉnäjni Dios xcuent xcäḻrililajzni.”
ROM.1.18	Xcälrdxe'ch Dios nani yu' xhaguibaa siajbni yejc rebejṉ nani gun dojḻ, nani rlajz gun cosguijdx, nani di gusaan guisieed sabejṉreni didxgulii. 
ROM.1.19	Sa'csi anancheereni nani sajc gan bejṉ xcuent Dios, ni'cni najnreni rajpreni dojḻ, sa'csi ruluipac Dios na'c gunreni dojḻ. 
ROM.1.20	Cheni birixtiejli guedxliuj, recos nani di gacdi fii bejṉ xcuent Dios, si'c xcäḻrnibeeni ni najc par tejpas, si'c xtujxh xtenni, huenliisi ruzeṉreni sa'csi ruluilojreni recos ni ruzeṉ nani benchee Dios. Guiraa reni'c ruluiloj najcni Gueb Dios ni rajp yäḻrnibee par tejpas, ni'c di gacdi guiniireni loj Dios direni niembee xhini'c rlajz Dios gunreni. 
ROM.1.21	Ni'cni, mase biembeereni Dios, direni niliä'p xpala'nni te gaṉreni Gueb Dios, dizareni nudeed xquixtios lojni. Alga guyalajz gujcreni, bicäjy xcäriejnreni, naareni hueen najc gunreni si'ctis ni jiajb yejcreni, si'cni rsia' lajzreni neṉ lastooreni. 
ROM.1.22	Caniireni nanduxhreni, per direni gan, nayäälreni. 
ROM.1.23	Gulälazreni xcäḻrdimbicha' Dios ni najc tejsi par tejpas, te bazuxhijbreni nez loj rebanäjb ni benchee ṉaareni, ni najc guiraa ni rujn lojni si'c rujn lo te niguii ni rnitloj, näjza guiraa ni najc si'c reman ni rutajt, näjza guiraa ni najc si'c reman ni yu' tajp ni'ni, näjza ni najc si'c rebäjl.
ROM.1.24	Ni'cni gulälaz Diosreni, basaanni gunreni si'ctis ni rlajzreni. Bejnreni dojḻ con resa'reni. 
ROM.1.25	Sa'csi ahuililajzreni didx-xhii lacuaa nililajzreni xtidxlii Dios, ruzuxhijbzareni nez loj recos ni benchee Dios, lacuaa guzuxhijbreni loj Dios nani benchee guiraa rexhicos, Dios nacle' par tejpas. Sugacni si'c.
ROM.1.26	Ni'cni gulälaz Diosreni, subia'nreni lo xcäḻlatsiajreni, lo yäḻxtujy xtenreni. Diru regunaa guesnäj niguii, lagajc sagunaareni resnäjreni. 
ROM.1.27	Sigajcza reniguii gulälaz regunaa, rujnreni dojḻ con lagajc saniguiireni. Luxh lagajc laareni siguijxreni latsiaj ni rujnreni.
ROM.1.28	Luxh sa'csi di rlajzreni jiureni Dios, basaanti Dios suyu' cosguijdxtis xcäriejnreni, te chanuutisreni lo xcäḻlatsiajreni, rujnreni recos ni xhet laadi. 
ROM.1.29	Guidxareni dojḻ, näjza cosguijdx, näj yäḻruguilajz xhixten sa'reni; rugu'treni bejṉ, rujnreni yäḻrsiäblajz, rucuanäjreni resa'reni, rusgueereni sa'reni, rdxechnäjreni sa'reni, rniizareni didxxhii. 
ROM.1.30	Rniyaj sa'reni, rdxe'chreni lo Dios, guyalajzreni, dipacreni guitujy, rliä'preni lagajc xpala'nreni, entis latsiacoob rbäxtiejreni, guyalajzreni lo xcuzajnreni, 
ROM.1.31	nadduxhreni, xheti xcäriejnreni, xhet sajcdi xtiidxreni ni ria'nreni lo sabejṉreni, direni chanälajz sa'reni si'cni nungäjḻ gacni, dizareni gulaslajz sa'reni. 
ROM.1.32	Luxh mase agucbeereni gun Dios yäḻguxhtis lojreni, najnzareni nungäjḻ guetpac renani rujn recosre, nicla jiureni, rujnreni guiraa recosguijdxre, luxh rbaali lajzreni richunäjreni rebejṉ ni rujnza recosguijdxga.
ROM.2.1	Ni'cni, ¿canejz chäätu, la'tu beṉguedxliuj? Chutis luj ni rgubeelu sabejṉlu, lagajc si'c cubeezareni luj, lagajc xcuent ni'c sajclu yäḻguxhtis, sa'csi luj rgubeelu sabejṉlu, lagajcza luj rujnlu lagajc dojḻga. 
ROM.2.2	Nancheenu sujn Dios yäḻguxhtissa'c loj renani rujn sa' dojḻga. 
ROM.2.3	Beṉ guedxliuj ni rgubee loj renani rujn dojḻ, luxh sigajcza rujnlu, ¿la rujnlu xhigab sidedcaj gun Dios yäḻguxhtis lojlu xcuent xtojḻlu, ä? 
ROM.2.4	O ¿la rbälazlu ni rujn Dios, najcni huenduxh, lacti guroob najc xcäḻrulaslajzni, rapduxhzani pasens? ¿La dilu gan dee najc ni gacnäjlu gusiechlajzlu te guibicajlu lo dojḻ, ä? 
ROM.2.5	Luxh sa'csi nadduxhlu, di lastoolu guigoodz te gusiechlajzlu, cagutajḻlu yäḻguxhtis ni gaclu che guidzujṉ dxej ni gun Dios yäḻguxhtis loj rebeṉ guedxliuj, 
ROM.2.6	siguijx Dios loj tejgatu xcuent dzuun nani bejn tejgatu. 
ROM.2.7	Loj rebejṉ nani rlajztisreni guibaṉsa'c, ni gusoob xtiidxni, sudeed Dios yäḻnabajṉ par tejpas sa'csi gudiilreni xhaniduj näjza go'preni xpala'nreni loj Dios, rlajzreni guibajṉreni loj Dios par tejpas. 
ROM.2.8	Luxh sidxe'ch Dios, sidxe'chduxhni loj renani sanälajz lagajc laareni, nani di jiu xtidxguliini, alga rusoobreni reyäḻlatsiaj, redidxguijdx. 
ROM.2.9	Guiraa rebeṉ guedxliuj ni rujn dojḻ sidejd trabajwduxh näjza sac-huin lastooreni; ganid rexpeṉ Israel, dxejcti näjza rebeṉ griegw. 
ROM.2.10	Loj guiraa rebejṉ nani rujn cos-hueen, sudeed Dios xhaniduj, näjza bala'ṉ, näjza yäḻrbecdxi lastooreni, ganid rexpeṉ Israel, dxejcti näjza rebeṉ griegw.
ROM.2.11	Sa'csi tebloj najc guiraasi rebejṉ nez loj Dios. 
ROM.2.12	Guiraa rebejṉ nani bejn dojḻ, luxh direni niembee xleii Dios, sinitlojreni sin leiiga; guiraa reni biembee xleii Dios, lagajc con leiiga sujn Dios yäḻguxhtisreni xcuent xtojḻreni. 
ROM.2.13	Xhet ganaxdi renani rucuadiajgtis xleii Moisés najc beṉnaya nez loj Dios; rebejṉ ni rusoobpac rexleii toMoisés, reni'c najc beṉnaya loj Dios. 
ROM.2.14	Yu' xhidal bejṉ ni di gumbee xleii toMoisés, dizareni gac rexpeṉ Israel, rujnreni recos ni caj lo leii. Najnreni xhini'c najc cos sa'c. Ni'cni lagajc xcäriejnreni najc si'c leii par laareni. 
ROM.2.15	Recossa'c ni rujnreni ruluiloj nezyusa'c ni yu' lastooreni. Xcäriejnreni ruluiloj xhini'c loj guiraa nani rujnreni najc cos sa'c, xhini'c najc dojḻ. 
ROM.2.16	Guiraa recosre sajc che guidzujṉ dxej ni gun Dios yäḻguxhtis guiraa rexhigabxhiga'tz ni yu' lastoo rebejṉ. Jesucrist gac juejz lojreni, dxejc sisiojb guiraa rediidx ni cagusule'ä lojtu.
ROM.2.17	Luj ni laalu xpeṉ Israel, ni rniilu sanäpaclu xleii toMoisés, rniduxhlu najclu xpeṉ Dios, 
ROM.2.18	rniilu nancheezalu xhini'c rlajz Dios gunlu, anajnzalu xhini'c najc hueenru sa'csi bisiedsa'cpaclu leii. 
ROM.2.19	Rchalolu sajc guluiilu nezyusa'c lo rebejṉ nani najc si'c lotiä'p, sajc guzanijlu xcäriejn reni nacäjy xcäriejnreni. 
ROM.2.20	Rchalolu najclu mastr lo renani nayääl, najczalu mastr lo rebiuux, sa'csi nansa'clu leii, luxh lojni caj guiraa yäḻnajn näjza guiraa didxguliipac. 
ROM.2.21	Ni'cni rniä lojlu, luj ni caguseed xtee bejṉ, ¿xhicuent dilu guseed lagajc luj? Luj ni rusule'lu diidx na'c cuan bejṉ, ¿xhicuent rbajnlu? 
ROM.2.22	Luj nani rniilu na'c guesnäjni te ni di gac chäälni, ¿la resnäjlu nani di gac chäällu, ä? Rdxe'chlu xcuent rebanäjb, ¿xhicuent rbäälu xhicos neṉ xquidoo rebanäjb, ä? 
ROM.2.23	Luj rlajzlu chä'p xpala'nlu sa'csi najnlu leii, ¿la rusanxtujylu Dios sa'csi dilu gusoob xtidx leiiga, ä? 
ROM.2.24	Bahuii xho rebejṉ nani di gac xpeṉ Israel rniyajreni Dios sa'csi la'tu ditu gusoob xtiidxni, rujntu dojḻ, sigajc ni caj lo xtidx Dios.
ROM.2.25	Palga la'tu chutu bee si'cni caj lo leiiga, palga gusoobtu guiraa diidx ni caj lo leii, laaca. Luxh palga ditu gusoob guiraliipac xtidx leiiga, xlia'si guyu'tu bee, sa'csi rujntu dojḻ. 
ROM.2.26	Ni'cni palga te bejṉ ni di chu beega, luxh rusoobni guirliipac xtidx leiiga, ¿la di gacdi guchaagni cuent najcni si'c te nani yu' beega, ä? 
ROM.2.27	Bejṉ nani di chu beega, luxh rililajzni guiraliipac xtidx leiiga, sujnni yäḻguxhtis la'tu sa'csi mase yu'tu beega, luxh nanduxhtu leiiga, ditu gusoob xtidx leiiga, alga rujntu dojḻ. 
ROM.2.28	Sa'csi xhet guiraadi rebejṉ ni yu' beega najc rexpejṉ Israel, luxh di beega ni ru' bejṉ gun gusoobpac bejṉ xtidx leiiga. 
ROM.2.29	Najcpac te xpeṉ Israel nani najcni neṉ lastooni, nani yu' bee lastooni, rusoobpacni xtidx Dios xcuent Sprit xtenni, dini gunni sa'csi najctisni costumbr. Dios ni siliä'p xpala'nni, xhet bejṉdi.
ROM.3.1	¿Xhini'c sacnäj te bejṉ najcni te rexpeṉ Israel, ä? O ¿xhi sajc chuni beega? 
ROM.3.2	¡Empac sacduxhni! Ganidtoo, sa'csi loj rexpeṉ Israel badeed Dios xtiidxni. 
ROM.3.3	Mase yu' renani di nililajz diidxga, ¿la ni'cni xhet sajcdi diidx ni bia'n Dios loj rexpejṉni, ä? 
ROM.3.4	¡Xho gacni si'c! Diostis najc guliipac, guiralii bejṉ rusguee. Scree caj lo xtidx Dios:
ROM.3.4	Lagajc xtiidxlu suluii laaca rujnlu,
ROM.3.4	te che gaclu yäḻguxhtis,
ROM.3.4	nicla tej xtojḻlu di guidxäjl.
