MAT.1.1	Ulu lwe lukoono ulwa ulukolo lwa Yesu Kilisito umwisukulu va Daudi, umwisukulu va Abulahamu:
ROM.4.23	Pelwilongwa, “Amwidiche.” Silwilongwa ukwimila umwene iyena hela. 
ROM.4.24	Ulukani ulu lwidonya hwehwe kangi, yetukumufuuwa Nguluvi yeamusilibwe Yesu, Umutwa vetu uluhuma kuvafwe. 
ROM.4.25	Umwene yemutawule afwe ukwimila inzanangifu na asilibwike sambi hwehwe tuve twivagolofu.
ROM.5.1	Pakuva yetupelitwe uwugolofu ukwimila ulufuuwo, sweno, twina uwikalakunoga na Nguluvi ukwimila Umutwa Yesu Kilisito. 
ROM.5.2	Ukukola ulufuuwo lwetu, umwene atuletite ipa pa uwuwuya wa Nguluvi pala lino petwipwali. Sweno, tukwivahila uluhuvi lwetwinalo ulwa ukuhanga indolo sa Nguluvi! 
ROM.5.3	Ena, silulo hela, pesi ulwa twihekelela na mukuguda we tulukukagula ulwa mwiletaga uwusindile, 
ROM.5.4	na uwusindile nawo yayileta ulwikangaliso na ulwikangaliso nalo lwalwileta uluhuvi. 
ROM.5.5	Uluhuvi ulo siluhwaniti lutusange hwehwe, pakuva Nguluvi yeakatupelye munumbula setu uwende wakwe ukukola Umuhe Umwelu yeatupelye hwehwe. 
ROM.5.6	Ulusika lwave lukwilye, Kilisito afwe ukwimila hwehwe twevananzi! 
ROM.5.7	Silupefu nda umunu yungi afwile umunu umugolofu; apangi umunu ahwanite afwile umunu umunofu. 
ROM.5.8	Neke Nguluvi atulaje hwehwe lwe atwenda. Pakuva ulusika lwe twe twivanyanzanangifu, Kilisito afwe ukwimila hwehwe. 
ROM.5.9	Pakuva lino tupelitwe uwugolofu mu danda ya Kilisito, lulipawelu hilo ulwa yeatupokite ukuhuma mulilakali lya Nguluvi! 
ROM.5.10	Pakuva petwetukaali twivatavangu vakwe, Nguluvi alamwe twilamule nave ukukola ifwa ya umwanakwe. Na pakuva lino yetwilamwe nave, lulipawelu hilo ulwa satupokwa ukukola uwumi wa Kilisito. 
ROM.5.11	Kangi si lulo hela nda, pesi ulwa twihekelela kangi mwa Nguluvi ukukola Umutwa vetu Yesu Kilisito yeakatulamwe na Nguluvi.
ROM.5.12	Ukukola kulumunu yumwi inzanangifu yiinje mung'i, nayo yaletite ifwa. Lino ifwa yatagalye muvanu mbevali, pakuva avanu mbevali vapigite inzanangifu. 
ROM.5.13	Na indagilo pesisilasa, inzanangifu yeyipwali mung'i, neke inzanangifu siyeyivikwa mulwiwu wone pave pagaya indagilo. 
ROM.5.14	Neke uluhuma ulusika lwa Adamu mbaka ulusika lwa Musa, ifwa yeyitemile kwa mbevali mbaka, na kwa vavala vesivapigiti inzanangifu kwa ukumupituka Nguluvi ndawe Adamu.
ROM.5.14	Adamu ali kilagilo cha yula yeakusa mumbele. 
ROM.5.15	Neke ulwene popali apasutine; uwuwuya wa Nguluvi siwindawe inzanangifu ya Adamu. Nambi inzanangifu sa umunu yumwi sambwise ifwa yuse ku vanu mbevali ukwimila uwuwuya wu munu yumwi, kwekutigila Yesu Kilisito Nguluvi akavagimbite mbevali uwuwuya ni fipelwa fyakwe. 
ROM.5.16	Lino popali apasutine pagati ya ikipelwa cha Nguluvi na inzanangifu isa umunu yula uyumwi. Pakuva pawananzi wa umunu yula uyumwi, Nguluvi ahigite, neke pauwananzi wa avanu wolofu, Nguluvi atawe ikipelwa chakwe cha ukuvadegepela. 
ROM.5.17	Nachene, ukukola inzanangifu ya umunu yumwi ifwa yavanzile ukutema, ukwimila yu yo, neke ulwene lulipawelu hilo lweapigite umunu uyo Yesu Kilisito lunofu hilo. 
ROM.5.18	Sweno, ndawe uwananzi wa umunu uyumwi wambwise ukuhigwa kwa avanu mbevali, lwindahihyo kwa ikipigo kimwi ikigolofu kikuvapela uwutemapawo na uwumi. 
ROM.5.19	Na kwa uwutakwinatila wa umunu yumwi avanu wolofu vave vananzi, lwindahihyo kwa uwinatifu wa umunu yumwi kunosa avanu wolofu vidikilwe na Nguluvi. 
ROM.5.20	Ululagilo lwasile, swe lukwambusa ukoloka kwa uwananzi, neke pala peinzanangifu yesolwike, uwuwuya nawo wolwike, ukulutila. 
ROM.5.21	Ndawe lwe inzanangifu yitemaga mukukola ifwa, lwindahihyo uwuwuya witemaga mu wugolofu na ukuleta uwumi wa mbepali ukukola kwa Yesu Kilisito Umutwa vetu.
ROM.6.1	Sweno, tutigile ndawuli? Ngali tuvelage petugina ukwikala munzanangifu sambi uwuwuya wa Nguluvi woloke? 
ROM.6.2	Nangi na ludodo hela! Kulubali lwa inzanangifu hwehwe yetufwe, luva ndawuli tuvelage petugina ukwikala kangi mu nzanangifu? 
ROM.6.3	Pakuva, mukulukagula ulwa hwehwe yetwabatisiwe twave kinu kimwi na Kilisito Yesu, twabatisiwe nu kuhanga mufwa yakwe. 
ROM.6.4	Twavelige twibatisiwa twahanzile mufwa yakwe, nu kutagwa pamwinga nave, sambi ndawe umwene Kilisito lweasilibwike uluhuma kuvafwe ukukola ikipigo ikinyandolo cha udade, sambi nahwe tuve na imigendele imipya.
ROM.6.5	Pakuva, ndawe hwehwe yetuhanzile nave mufwa ndawe umwene, lwindahihyo twihanga nave mu kusilibuka ukuhuma kuvafwe ndawe Umwene. 
ROM.6.6	Tukulukagula ulwa uwunu wetu uwulovela watumbikwe pamwinga na Kilisito sambi wula uwunyanzanangifu wanangwe, sambi tulemwe ukuva vanyawingi va inzanangifu. 
ROM.6.7	Pakuva, umunu yeafwe inzanangifu yigaya ludali kulumwene. 
ROM.6.8	Sweno, wone yetufwe pamwinga na Kilisito, tufuuwagwe ulwa satwikala kangi pamwinga nave. 
ROM.6.9	Pakuva, tukulukagula ulwa Kilisito yeasilibwike uluhuma kuvafwe na sisaafwa kangi, ifwa ngaya ludali kulumwene. 
ROM.6.10	Sweno, pakuva afwe sukumwi hela, inzanangifu ngaya ludali kulumwene, kangi na lino de akwikala muminanile jakwe mu wulilumwi na Nguluvi. 
ROM.6.11	Lino, lwindahihyo na nyenye luvavaje mwikagulage ulwa kulubali lwa inzanangifu yemufwe, neke yemuve mwi wumi mu wulilumwi na Nguluvi ukukola kwa Kilisito Yesu.
ROM.6.12	Sweno, inzanangifu silatema mu mivili jenyu iginya kufwa, nambi mwidikile ukutemwa mu wudobokesi wayo. 
ROM.6.13	Mulatawula nambi ikigawa muvili chenyu sambi kipigikage mu wanangifu na inzanangifu. Ulungi na lulo, mwitawulage yinyenye kwa Nguluvi nda avanu vevasilibwike uluhuma kuvafwe, muwuhumyage uwunu wenyu mbewuli kwa Nguluvi ukwimila uwugolofu. 
ROM.6.14	Pakuva, inzanangifu sisasivatema nyenye kangi, pakuva simulipasi ya indagilo, pesi ulwa mulipasi pa uwuwuya.
ROM.6.15	Sweno, tutigile ndawuli? Ngali tupigage inzanangifu pakuva situlipasi ya indagilo, pesi ulwa tulipasi ya wuwuya? Nangi na ludodo hela! 
ROM.6.16	Mukulukagula ulwa wone mwitawule yinyenye nda mwivanyawingi nu kumogopa umunu yungi, mwiva nachene mwivanyawingi vakwe umunu yuyo. Na apangi mwiva vanyawingi va inzanangifu, na chekiwoneka baho ye ifwa, na apangi mwiva vanyawingi vaichoga, na chekiwoneka ipo kwe ukuwuyapwa ukuva vagolofu. 
ROM.6.17	Nambi pamwandi mwe mwivanyawingi va inzanangifu, neke lino ngumulumba Nguluvi mukinatye kwa inumbula mbeyili uwulagile na inzigiso semukanuche. 
ROM.6.18	Mwakombolilwe ukuhuma mu wunyawingi wa inzanangifu, nu kuva vanyawingi va uwugolofu. 
ROM.6.19	Lino ipa ndilonga indongele ya kiwunuwunu iya mbepali hela, ukwimila uwuhomefu wenyu yunyenye. Ndawe ulusika ulungi lwemwitawe yunyenye ukuwupigila uwaafu na uwananzi uwimila uwanangifu, lwindahihyo lino mwitawulage uwunu wenyu yunyenye muwupigile uwugolofu uwimila uwelu wi migendele. 
ROM.6.20	Pemwevanyawingi wa inzanangifu, mwe mwivatemapenyu mwe pataali na uwugolofu. 
ROM.6.21	Lino, mwambulyee kiki ulusika lulo ukuhumila mwasiso se kulino mwiwona sihonga inyoni? Pakuva chekiwoneka mwasiso ye fwa! 
ROM.6.22	Neke lino yemukombolilwe uluhuma mu wunyawingi wa inzanangifu, na yemuve mwivakami va Nguluvi, chemukwambulila umo lino we uwelu wa imigendele, na chekiwoneka baho we wumi wa mbepali. 
ROM.6.23	Pakuva amahombo ga inzanangifu ye fwa, neke ikipelwa cheitawula Nguluvi we wumi wa mbepali mukuva kinu kimwi na Kilisito Yesu Umutwa vetu.
ROM.7.1	Vanyalukolo vangu, nditigila wanda mukulukagula lwengwenda ndonge, pakuva nguvalongela avanu avasisele indagilo. Indagilo sakumutema umunu peiva mumi. 
ROM.7.2	Tutigile umung'inetu umugomwa, aiva apinzilwe na indagilo ulusika mbeluli pe uvakwe iva mumi, neke wone uvakwe afwe, indagilo iyo sipeyimupinga kangi umung'inetu uyo. 
ROM.7.3	Sweno, umung'inetu uyo wone ikalase na umugosi yungi ulusika lwe uvakwe we pe mumi, ava mugoni, neke wone uvakwe ave yeafwe, umung'inetu uyo ava mutemapakwe mu ndagilo, nambi agomwe na umugosi yungi saava mugoni. 
ROM.7.4	Na lwindahihyo kwa nyenye vanyalukolo vangu, nyenye nanye kulubali lwa indagilo mufwe pakuva nyenye mwilubali ulumwi lwa umuvili gwa Kilisito; lino mukave vanu vakwe umwene yeasilibwike ukuhuma kuvafwe sambi muveleke amaveleko amanofu ukwimila Nguluvi. 
ROM.7.5	Pakuva, pe twikalige mumigendele ja uwunuwunu hela, uwudobokesi wa inzanangifu ise sipwali ukukola mu ndagilo, sapigige ikipigo mu mivili jetu nu kutuletela ifwa. 
ROM.7.6	Neke lino tukave vatemapetu ukuhuma mundinde ya indagilo, pakuva yetukafwe mu sa inzanangifu, inzanangifu ingaya ludali kangi kwa hwehwe, lino tuhwana ukumupigila Nguluvi mu mikalile imipya ja Umuhe, na si ndawe ukwiga indagilo inzandike.
ROM.7.7	Sweno, tutigile ndawuli indagilo isene nzanangifu? Nangi na ludodo hela! Neke ulwene wone pagaye indagilo, nene sindendisikagula inzanangifu che kiki. Pakuva sindendilukagula ukuta che kiki ukudobokela imbi, wone indagilo sike silemwe ukutigila, “Uladobokela.” 
ROM.7.8	Kwa ukukola ululagilo ulo, inzanangifu save na ikilega cha ukulamusa uwudobokesi uwubi mugati mwanene. Pakuva apagaya indagilo inzanangifu yayiva yifwe. 
ROM.7.9	Ulusika ulungi nene nde mumi nde pataali na indagilo, neke pesusile indagilo inzanangifu sasilibwike, 
ROM.7.10	nane ndafwe, sweno indagilo iyadonyige ukuleta uwumi, kwa nene iyo yikandetye ifwa. 
ROM.7.11	Pakuva inzanangifu yave na ikilega cheyapelitwe na ulo ululagilo, ulo lwanzanzile nu kumbulaga.
ROM.7.12	Sweno, indagilo isene nzelu, na ululagilo nalo lwelu lwa wugolofu kangi lunofu. 
ROM.7.13	Ngali ulu kwekutigila kila ikinofu che kikwambusa ifwa yangu? Nangi, na ludodo hela! Ulwa nachene lwe ulu, ulwa sambi inzanangifu yiwoneke ukuta ye yene hilo, gendye mu ikinu ikinofu kila, swe yikumbulaga. Mwa ulo inzanangifu yiyelelwe ukuta mbi hilo.
ROM.7.14	Tukulukagula ulwa indagilo ya kinya umuhe; neke nene ndivamung'i hela ndagusiwe mbe munyawingi va inzanangifu. 
ROM.7.15	Singukikagula chendandipiga, pakuva kila chendiwenda ukupiga sindipiga, neke kila chengukivipila chendipiga kicho. 
ROM.7.16	Lino wone, ndipiga ikisutine na chendiwenda nene, sweno ulu kwekutigila kumbi ngwidikila ukuta indagilo nofu. 
ROM.7.17	Kumbi si yenene nachene yendipiga ulo, pesi yila inzanangifu iyilimugati mwanene. 
ROM.7.18	Ngulukagula ulwa lusumuli ulunofu ulweluvesaga mugati muwunu wangu. Pakuva nambi ndiwenda ukupiga ulunofu, na baho ndilemwa. 
ROM.7.19	Pala, apanoje mige ulunofu lwendiwenda, ndipiga lula ulubi lwesimbwendigi. 
ROM.7.20	Lino wone, ndipiga isisutine na sesindiwenda nene, sweno ulu kwekutigila si yenene yendipiga iso, pesi sila inzanangifu iyilimugati mwanene.
ROM.7.21	Lino, yendigukagwe umusimu ugu; ndiwenda ukupiga ulunofu, neke ngulufika lula ulubi lwenyagwe. 
ROM.7.22	Mugati mwanene hilo munumbula yangu ngusihekelela indagilo sa Nguluvi. 
ROM.7.23	Neke ndiwona ulwa kololi ululagilo ulungi ulwipiga mu muvili gwangu, ululagilo ulukwihoma na lula lwe uluhala lwangu lukulwidikila. Ulo lukumbika nene muwunyawingi wa ululagilo lwa inzanangifu ulwipiga mumuvili gwangu. 
ROM.7.24	Ndinalyo nene ndemumikaa! Yenani ye amoka ukuhuma mumuvili ugu ugukusindika nene kufwa? 
ROM.7.25	Ululumbo luvesage kwa Nguluvi, yeipigaga iso ukukola kulu Mutwa vetu Yesu Kilisito! Sweno, ulu lwendiwali nene; mu luhala lwangu ngulupigila ululagilo lwa inzanangifu neke mu wunu wangu ngulupigila ululagilo lwa inzanangifu.
ROM.8.1	Sweno, kugaya kuhigwa kwa vala ve mumikalile jawo vave kinu kimwi na Kilisito. 
ROM.8.2	Pakuva indagilo isa Umuhe, isiletaga uwumi mu kuhanga na Kilisito Yesu sikang'ombwe ukuhuma mu ndagilo sa inzanangifu na ifwa. 
ROM.8.3	Nguluvi akakwisise ulukani lula lwe indagilo sisahwaniti ukukwisa uwimila uwuhomefu wa uwunu. Nguluvi amuletite umwanakwe iva ina muvili ugutegine ni mivili jetu hwehwe vanyanzanangifu, sambi ihome na inzanangifu, na kwa umuvili gugo adwesise inzanangifu. 
ROM.8.4	Nguluvi apigite lulo sambi imbage mu indagilo sa wugolofu sikwilanikile hilo mugati mwetu hwehwe yetwinana, si muludali lwetu lwa uwunu, pesi kwa uludali lwa Umuhe. 
ROM.8.5	Pakuva vala vevakwikala muwudobokesi wa imivili, iwo vatemitwe na amahosa ga umuvili. Neke vala vevakwikala mumigendele ja Umuhe Umwelu, vavitemelwa na amahosa ga Umuhe. 
ROM.8.6	Amahosa ga umuvili giletaga ifwa, neke amahosa ga Umuhe giletaga uwumi na uwikalakunoga. 
ROM.8.7	Pakuva yula yeatemilwe na amahosa ga umuvili uyo mutavangu va Nguluvi, siakwinatilagi indagilo sa Nguluvi na sahwana nambi ukusinatila. 
ROM.8.8	Avanu avaviwenda isa umuvili sivahwana nambi ukumunogela Nguluvi.
ROM.8.9	Neke nyenye simukwikala mu sa umuvili, pesi ulwa mumigendele ja Umuhe, wone Umuhe va Nguluvi akwikala mugati mwenyu. Yeyeavesaga mugaya Umuhe va Kilisito, uyu si munu vakwe Kilisito. 
ROM.8.10	Neke wone Kilisito ali mugati mwenyu, nambi imivili jenyu gifwe uwimila inzanangifu, Umuhe va Nguluvi ye wumi wenyu pakuva muwuyipwe ukuva vagolofu. 
ROM.8.11	Wone Umuhe va Nguluvi, yeamusilibwe Kilisito ukuhuma kuvafwe akwikala mugati mwenyu, sweno uyo yeamusilibwe Kilisito ukuhuma kuvafwe agipela uwumi imivili jenyu iginya kufwa, nangi apiga lulo ukukola Umuhe vakwe yeakwikalaga mugati mwanyenye.
ROM.8.12	Sweno, vanyalukolo vangu, twinanzenga ngomi, si ya ukwikala ndawe imivili jetu we gidaga hwehwe tupige. 
ROM.8.13	Pakuva wone mwikale ndawe imivili we gidaga, mufwa. Neke wone mwikale mu Muhe muwulaga ifipigo ifya inzanangifu, ipo muva na uwumi. 
ROM.8.14	Vala mbevali avavisogoswa na Umuhe va Nguluvi ve vana va Nguluvi. 
ROM.8.15	Pakuva Umuhe ye mwamwanuche si Muhe yeivikaga avanu mu wunyawingi na mu muhwehwe, silwindahihyo pesi ukuta mwamwanuche Umuhe umunyakuvawuyapa muve vana va Nguluvi, na uwimila uludali kwa yuyo Umuhe hwehwe tuhwana ukumutambula Nguluvi “Dada!” 
ROM.8.16	Nave Umuhe yumwene ihanga ni numbula setu ukutolelela ulwa hwehwe twivana va Nguluvi. 
ROM.8.17	Sweno, pakuva hwehwe twivana va Nguluvi, satwanukila uwufunyilile mbewuli wa Nguluvi weavaviche avanu vakwe, na satuhanga ililila ilyo, pamwinga na Kilisito pakuva wone tuhange ineseko sakwe Kilisito, satuhanga kangi mundolo sakwe.
ROM.8.18	Nambi nguluwona uluteseko ulu lwalino ukuva si kinu na ludodo, wone tuteganise na yila indolo yesayiwoneka pa hwehwe. 
ROM.8.19	Na ifigawa mbefili fisindila kwa kuguluma Nguluvi avavike pawelu avanakwe. 
ROM.8.20	Pakuva ifigawa nafyo fyavisilwe mu wuhomefu uwukomi, neke sifiyendyi fifyene, pesi ulwa fyavikitwe umo ukwimila uwende wakwe Nguluvi. Nambi ndahihyo pepololi uluhuvi, 
ROM.8.21	pakuva ifyo ifigawa safipokwa uluhuma mu wunyawingi wa uwanangifu, vihange uwutemapawo uwunyandolo wa avana va Nguluvi. 
ROM.8.22	Pakuva tukulukagula mbaka lino ifigawa mbefili fivemba kwa uwuvafi ndawe yeakwivikula sambi egale. 
ROM.8.23	Kangi si fifyo hela ifigawa fiyena, pesi na hwehwe yetwinave yuyo Umuhe, uyo ye kipelwa cha uwulongolo mu fipelwa fya Nguluvi, nayuhwehwe twivembela munumbula, twisindila nu kulavisa ukuwuyapwa kwa avana va Nguluvi, naso inumbula setu sikombolwe. 
ROM.8.24	Na ukwimila uluhuvi lulo hwehwe yetukombolilwe, neke ulwene uluhuvi si kwekutigila tukukiwona kila chetwihuvye. Mbi yenani lino yeakwihuvila kila cheakukiwona lino? 
ROM.8.25	Wone twihuvile kila chesitulakiwona, sweno tukukisindila kwa lwikangaliso.
ROM.8.26	Lwindahihyo, nave Umuhe akututanga mu wuhomefu wetu. Pakuva situluseli ulutuvaje ukwifunya, neke Umuhe yumwene akutusukila kwa Nguluvi kwa wuhuguvafu we umunu sahwana ukolelela. 
ROM.8.27	Nave Nguluvi yeailava mugati munumbula sa avanu, akugakagula amahosa ga uyo Umuhe wegiwali; pakuva Umuhe akuvasukila avanu va Nguluvi uwimila mweayiwendela.
ROM.8.28	Tukulukagula ulwa, mwa mbefili, Nguluvi aipiga kipigo na ukukwisa pamwinga na mbevali avamwenda, kwe kutigila vala ve avakemelye, ndawe lweeadonyite. 
ROM.8.29	Pakuva vala vevevahagule na Nguluvi ukuhuma pidaha, vawo veavahagwe, sambi vihwane na umwanakwe, sambi umwanakwe ave mulongosi mu vanyalukolo awolofu. 
ROM.8.30	Sweno Nguluvi avakemelye vala veavahagwe na iwo veavakemelye avawuyipe kangi vidikilwe palumwene; na iwo veavawuyipe vidikilwe palumwene, avahanzise kangi mundolo sakwe.
ROM.8.31	Uluhuma kwa ifi mbefili, tutigile ndawuli kangi? Wone Nguluvi ali lubali lwetu, nani yeahwana ukutubesa?. 
ROM.8.32	Nguluvi samutanii; nambi umwanakwe yali iyena, pesi ukuta amutawe ukwimila hwehwe mbetuli. Wone apigite ulo, mbi satupela kangi uwunofu mbewuli? 
ROM.8.33	Nani yeavasongela avahagule va Nguluvi? Nguluvi yumwene akuvahesekesa uwanangifu. 
ROM.8.34	Mbi ye nani yeatuhiga? Asukuli! Pakuva Kilisito yeafwe, kangi asilibwike ukuhuma kuvafwe nayeali ulubali lwa kundyo kwa Nguluvi. Umwene akutusukila. 
ROM.8.35	Ye nani ino yeatugava hwehwe uluhuma muwende wa Kilisito? Ngali uwubane nave uwutalamu, nave uluteseko nave inzala nave uwumikaa nambi ukufuulika, nave inalamu na ukuwulagwa? 
ROM.8.36	Ndawe Uwandike Uwelu witigila:
ROM.8.36	“Uwimila veve, twilaving'ana ni fwa ikimunyi mbekili; tupigilwa wita ing'olo iyidumulwa.”
ROM.8.37	Neke, mwa mbesili iso, twiva tusuumite pakomi kwa uwutanzi wumwene yeatwenda. 
ROM.8.38	Ngulukagula hilo ulwa kisukuli chekihwana ukutugava hwehwe uluhuma muwende wakwe: nave ifwa nave wumi; nave vanyivaha nave uludali lwa kuchanya; nambi isiwoneka lino, nave sesasiwoneka pambele, nave uwutema, 
ROM.8.39	nave ing'i iya kuchanya, nave iya pasi hilo. Kugaya kinu ikigave chekihwana ukutugava na uwende wa Nguluvi ukukola mwa Kilisito Yesu Umutwa vetu.
ROM.9.1	Nene ndilonga ulwa nachene, sindideta kono we nyanzile na Kilisito. Inumbula yangu yisogoswa na Umuhe Umwelu, yikunzolelela ulukani ulu. 
ROM.9.2	Ndiwenda ukutigila de uwuhuguvafu wa nene wukomi hilo: uwuvafi wesiwisilagi munumbula yangu. 
ROM.9.3	Ikivalwa avanu vangu, avanyang'i vayangu! Wone kuke kuvelage na kwambula kinu kwa vene ngembwenda nene ng'otoke nu kuvikwa pataali na Kilisito wone ulo kekuvatanga kinu! 
ROM.9.4	Iwo ve vanu va Isilaeli ve Nguluvi avahagwe vavelage vanakwe, akuvahanza mundolo yakwe, afingine nawo, swe akuvapela indagilo sakwe, ulufuuwo lwanachene na inyuviso sakwe. 
ROM.9.5	Avene ve visukulu va vakuku, nave Kilisito, kuwunu wakwe, ahumite mulukolo lwawo. Nguluvi yeatemile mwa mbefili, alumbwagwe kitasila! Ena.
ROM.9.6	Sinditigila ulwa uluhuviso lwa Nguluvi yelupitwike; pakuva siwita avanu mbevali va mu Isilaeli vahagule va Nguluvi. 
ROM.9.7	Nasi wita imbegalo mbeyili yakwe. Pesi ukuta ndawe Uwandike Uwelu wewitigila, “Imbegalo yakwe yihuma kwa Isaki.” 
ROM.9.8	Kwekutigila, ulwa sivala vevawonike kwa ukwegalwa kwa mbepali hela ve vana va Nguluvi, pesi vala avegalwa ukwimila uluhuviso lwa Nguluvi, ve vawo vevatambulwa vanakwe. 
ROM.9.9	Pakuva uluhuviso ulwene lwe ulu, “Sangusila ulusika ulukwilaniche, nave Sala saegala mwana mukwamisi.”
ROM.9.10	Na kangi si lulo hela, pesi ulwa Lebeka nave egee vana vanyawendani kulu dadawo yumwi Isaki, yula ukukwetu. 
ROM.9.11	Neke sambi Nguluvi awoneke mutemapakwe pa kuhagula, nambi vala vanyalukolo vanyawendani pevevakaali sivalegalwa na sivalafikila pakulukagula ukuhagula ikinofu na ikibi, 
ROM.9.12	Uyuvawo Lebeka swe ilongelwa ulwa yula umwana umulongola amupigila yula va mumbele. Palulo uwuhagusi wa Nguluvi wakwimila lula lweigava yumwene, na siwukwimilagi mufipigo fya avanu. 
ROM.9.13	Ndawe Uwandike Uwelu we witigila: “Ndamwendite Yakobo neke ndimuvipile Esawu.”
ROM.9.14	Ino ngali tutigile ndawuli? Ulwa Nguluvi munyaluhagu? Nangi na ludodo hela! 
ROM.9.15	Pakuva amutige Musa: “Ndimuwonela ulusungu yula yendiwenda, ukumuwonela ulusungu; ndimuwonela ulusungu yeyeavesaga yengumwenda.” 
ROM.9.16	Sweno, mbesili sakwimila mulusungu lwa Nguluvi, si wita mu wupifu nambi uwende wa umunu. 
ROM.9.17	Pakuva Uwandike Uwelu witigila de kwa Falawo: “Ndakuvisile uve Mutema sambi ukwimila veve, uludali lwangu salukagulanike, na ilitawa lyangu lidalikwe mung'i mbesili.” 
ROM.9.18	Lino, lulipawelu, ulwa Nguluvi akumuwonela ulusungu umunu yeyeavesaga iwenda ukumuwonela ulusungu, na wone awende ukumuwuyapa uyungi ave munyalubesa, nalo ahwanite alupige.
ROM.9.19	Apangi umbusa witigila, “Wone luve ndahihyo, mbi Nguluvi ahwana wuli ukumutigila umunu mwananzi? Mbi nani yeahwana ukubesa cheavagite Nguluvi?” 
ROM.9.20	Neke, veve ve munu, winani mbaka wigelele ukumuwusa Nguluvi? Ngali ikitonga kihwanite kimuwuse umunyakukigada ulwa, “Mbi ndawuli ungadite de?” 
ROM.9.21	Umunyakugada ahwanite akole ililongo ukupiga mweiwendela, ahwanite agade fitonga fivili ikola ililongo lilyo hela, ikingi kiva kinyalulumbo, na ikingi kiva kigayalulumbo.
ROM.9.22	Na lwindahihyo kwa Nguluvi. Awendige alagile ililakali lyakwe na ukulukagulanisa uludali lwakwe. Sweno; ali na uwusindile hilo, akuvakangalila vala veve vadonyitwe na ililakali lyakwe, veve vavagilwe ukwanangwa. 
ROM.9.23	Na awendige kangi alagile uwolofu wa indolo sakwe, seatuboholye hwehwe ye twe tudonyitwe ulusungu lwakwe, hwehwe yeatugelanise ukwanukila indolo sakwe. 
ROM.9.24	Pakuva ye hwehwe yeatukemelye si ukutigila uluhuma ku Vayudaya, pesi ukuhuma ku vamyanza. 
ROM.9.25	Ulu lwelwene lweilonga mukitabu cha Hoseya:
ROM.9.25	“Vala veve si vanu vangu
ROM.9.25	ndivakemela: ‘Vanu vangu!’
ROM.9.25	Avanu veve sindivenda
ROM.9.25	ndivakemela: ‘Vende vangu!’
ROM.9.26	Na apono pevavalonje:
ROM.9.26	Nyenye ‘Simwivanu vangu’
ROM.9.26	ipo vakemelwa
ROM.9.26	‘Vana va Nguluvi umumi!’”
ROM.9.27	Nave Umuvisi Yesaya, kwa Isilaeli akwihuga liswi de; “Nambi avana va Isilaeli wolofu ndawe uluhanga lwa mumwani, neke hela vakefu avapokwa; 
ROM.9.28	pakuva Umutwa angufya ukukwisa uluhigilo lwakwe ulukwilaniche mung'i mbeyili.” 
ROM.9.29	Lwindawe Yesaya lwealonzile pamwandi, “Wone Umutwa va amalugu ake aleke ukutulekela avamwi va avana va Isilaeli, twetusila ndawe ku Sodoma, twetusila ndawe ku Gomola.”
ROM.9.30	Sweno, tutigile ndawuli? Tutigile de! Avanu avamyanza vesivifwahisigi ukwivika mu wugolofu, yevawuyipwe vagolofu ukukola ulufuuwo, 
ROM.9.31	neke avanu va Isilaeli vevasakige indagilo sa ukuvawuyapa ukuva vagolofu pa Nguluvi, sivayiweni. 
ROM.9.32	Mbi ndawuli? Pakuva vihuvyee ifipigo fyawo valemwe ukwihuvila ulufuuwo. Vikuve mwiganga linyakukuvasa. 
ROM.9.33	Ndawe uwilonga Uwandike Uwelu:
ROM.9.33	“Lavage!
ROM.9.33	Ndivika uko ku Sayuni iliganga ilinyakukuvasa
ROM.9.33	ilitalawe ilinyakugwisa avanu.
ROM.9.33	Neke yeamufuuwa
ROM.9.33	sisaahongelwa inyoni!”
ROM.10.1	Vanyalukolo vangu, ndidoboka hilo kwa inumbula yangu mbeyili ulwa avanyang'i vayangu vakombolwe. Kangi nguvasukila mbepali kwa Nguluvi. 
ROM.10.2	Kangi nywanite ukolelela ukwimila avene, ulwa nachene vapifu ukumusaka Nguluvi, neke uwupifu wawo siwukwimila mukumukagulila nachene Nguluvi. 
ROM.10.3	Pakuva sivalukagwi lwe Nguluvi akuvawuyapa avanu vave vagolofu, na vakivanje ing'asi yawo vavene na palulo sivakuyidikila ing'asi ya Nguluvi ya ukuvawuyapa vave vagolofu. 
ROM.10.4	Pakuva kwa ukusa kwakwe Kilisito. Indagilo yesifikite pa mudugo, gwa ifipigo fyawo sambi mbevali vevakumufuuwa Nguluvi vawuyapwe vagolofu.
ROM.10.5	Ulwa uwugolofu ukwimila indagilo Musa andike de: “Umunu yeyeavesaga ikwisa isisakiwa ni ndagilo anana.” 
ROM.10.6	Neke ulwa uwugolofu ukukola ulufuuwo, lwilongwa de: “Ulalonga munumbula yako: ‘Nani yeilila kuchanya?’” (ukumuleta Kilisito pasi); 
ROM.10.7	na kangi ulalonga: “Nani yeasulunuka kuvafwe?” (ukumuleta Kilisito ukuhuma kuvafwe?) 
ROM.10.8	Uwandike Uwelu witigila de, “Ulukani ulo lwa Nguluvi lulipipi na veve, luli mumulomo gwako na munumbula yako nalo lwe lula ulufuuwo lwetwidalika.” 
