GEN.1.1	Hasieran, Jainkoak zeru-lurrak egin zituen
JER.5.6	lehoinabarrak zelatan daude
JER.5.6	haien hiri inguruan,
JER.5.6	handik irteten diren guztiak
JER.5.6	sarraskitzeko.
JER.5.6	Izan ere,
JER.5.6	asko baitira haien errebeldiak,
JER.5.6	izugarri larriak haien desleialkeriak.
JER.5.7	Jaunak dio:
JER.5.7	«Horiek horrela, nola barkatu zuri?
JER.5.7	Zure seme-alabek zapuztu egin naute,
JER.5.7	sasijainkoen izenean egiten dute zin;
JER.5.7	nik ase nituen
JER.5.7	eta haiek adulterio egin dute,
JER.5.7	emagalduen etxera
JER.5.7	zalapartan joanez.
JER.5.8	Zaldi guri eta beroen antzeko dira,
JER.5.8	nor bere lagun hurkoaren emazteari
JER.5.8	irrintziz deika.
JER.5.9	Eta nik, Jaunak,
JER.5.9	zigorrik gabe utzi behar ote
JER.5.9	horrelako gaiztakeriak?
JER.5.9	Ez ote bere merezia eman behar
JER.5.9	horrela jokatzen duen jendeari?
JER.5.10	Sar bedi etsaia mahastian
JER.5.10	eta hondatu,
JER.5.10	baina erabat deuseztatu ez!
JER.5.10	Erauz bitza mahats-aihenak,
JER.5.10	ez baitira nireak!
JER.5.11	Bai Israel, bai Juda
JER.5.11	biziki desleial izan dira nirekin.
JER.5.11	Nik, Jaunak, esana».
JER.5.12	Israelek eta Judak
JER.5.12	uko egin diote Jaunari, esanez:
JER.5.12	«Jauna ez da!
JER.5.12	Ez zaigu gaitzik iritsiko,
JER.5.12	ez dugu gerrarik, ez goserik ikusiko.
JER.5.13	Profetak putzaren pareko dira:
JER.5.13	Jaunaren hitzik ez haien ahoan».
JER.5.14	Horregatik, hau esan dit Jaunak,
JER.5.14	Jainko ahalguztidunak:
JER.5.14	«Hara zer gertatuko zaien
JER.5.14	era horretan hitz egiteagatik:
JER.5.14	su bihurtuko dut
JER.5.14	neure hitza zure ezpainetan,
JER.5.14	eta su-egurra bezala
JER.5.14	irentsiko du herri hau».
JER.5.15	Jaunak dio:
JER.5.15	«Israel, herri bat ekarriko dut
JER.5.15	urrutitik zure aurka,
JER.5.15	herri iraunkorra, antzinakoa,
JER.5.15	hizkera ezezaguneko herria,
JER.5.15	esaten duena
JER.5.15	ulertuko ere ez diozuna.
JER.5.16	Haren arkulariek
JER.5.16	ez dute huts egiten
JER.5.16	guztiak dira gudari azkar.
JER.5.17	Zeure uzta eta ogia jango dizkizu,
JER.5.17	seme-alabak sarraskituko,
JER.5.17	ardi eta abereak irentsiko,
JER.5.17	mahasti eta pikondoak suntsituko.
JER.5.17	Bere armez erraustuko dizkizu
JER.5.17	konfiantza ematen zizuten
JER.5.17	hiri gotortuak.
JER.5.18	«Baina egun haietan ere ez dut erabat deuseztatuko neure herria. 
JER.5.19	Galdetzen badute: “Zergatik egin digu Jaunak, geure Jainkoak, hau dena?”, zuk erantzun: “Jauna zapuztu eta zeuen lurraldean jainko arrotzak zerbitzatu dituzuelako, arrotzen zerbitzari beharko duzue izan zeuena ez den lurraldean”. Hala diot nik, Jaunak.
JER.5.20	«Adierazi hau Jakoben ondorengoei,
JER.5.20	Judako bizilagunei:
JER.5.21	Entzun, arren,
JER.5.21	herri ergel eta zentzugabea:
JER.5.21	Badituzue begiak,
JER.5.21	baina ez duzue ikusten,
JER.5.21	belarriak ere bai, baina entzuten ez.
JER.5.22	Honela diot nik, Jaunak:
JER.5.22	Ez didazue begirunerik izango?
JER.5.22	Ez zarete nire aurrean ikaratuko?
JER.5.22	Neuk jarri diot hondartza
JER.5.22	itsasoari mugatzat,
JER.5.22	inoiz gaindituko ez duen mugatzat;
JER.5.22	harrotzen da eta orro egiten,
JER.5.22	baina ezin du muga hautsi,
JER.5.22	ez gainditu.
JER.5.23	Baina zuek
JER.5.23	herri hezikaitza eta desleiala zarete;
JER.5.23	niregandik urruti joan zarete.
JER.5.24	Ez duzue zeuen baitan esaten:
JER.5.24	“Errespeta dezagun Jauna,
JER.5.24	geure Jainkoa!
JER.5.24	Berak bidaltzen dizkigu
JER.5.24	garaian garaiko euriak,
JER.5.24	berak zaintzen uzta biltzeko sasoiak”.
JER.5.25	Zuen erruek, aldiz,
JER.5.25	nahastu egin dute ordena hau;
JER.5.25	zeuen bekatuengatik
JER.5.25	ez zarete lurreko ondasunez
JER.5.25	gozatzen.
JER.5.26	Izan ere,
JER.5.26	gaizkileak bizi dira nire herrian,
JER.5.26	zelatan daude ehiztariak bezala;
JER.5.26	sareak jartzen dituzte
JER.5.26	eta gizakiak harrapatzen.
JER.5.27	Nola zorroa txoriz,
JER.5.27	hala betetzen dituzte etxeak
JER.5.27	lapurtutakoaz;
JER.5.27	horrela egiten dira
JER.5.27	handi eta aberats,
JER.5.28	gizen eta guri.
JER.5.28	Horien gaiztakeriak ez du neurririk:
JER.5.28	ez dute umezurtzaren
JER.5.28	eskubiderik zaintzen,
JER.5.28	ez eta behartsuen
JER.5.28	auzia defendatzen.
JER.5.29	Eta nik, Jaunak,
JER.5.29	zigorrik gabe utzi behar ote
JER.5.29	horrelako gaiztakeriak?
JER.5.29	Ez ote bere merezia eman behar
JER.5.29	horrela jokatzen duen jendeari?
JER.5.29	Hala diot nik, Jaunak.
JER.5.30	Gauza beldurgarri eta izugarriak
JER.5.30	ari dira gertatzen herrialde honetan.
JER.5.31	Profetek gezurra dute iragartzen,
JER.5.31	apaizek beren nahierara irakasten
JER.5.31	eta nire herria bere horretan lasai!
JER.5.31	Baina zer egingo duzue
JER.5.31	azkena iristean?»
JER.6.1	Egizue ihes Jerusalemdik,
JER.6.1	benjamindarrok,
JER.6.1	jo turuta Tekoan
JER.6.1	egin seinaleak Bet-Keremen,
JER.6.1	iristear baitago
JER.6.1	iparraldetik ezbeharra,
JER.6.1	izugarrizko hondamendia.
JER.6.2	Sion,
JER.6.2	neskatxa
JER.6.2	zureak egin du!
JER.6.3	Hortxe sartzen dira etsaiak,
JER.6.3	artzainak artaldeekin bezala:
JER.6.3	txabolak jartzen dituzte
JER.6.3	inguru guztian,
JER.6.3	nor bere larreaz jabetuz.
JER.6.4	Honela diote:
JER.6.4	«Deklara diezaiogun
JER.6.4	gerra
JER.6.4	Ea, eraso diezaiogun egun-argiz!
JER.6.4	Baina, tamalez, eguna beherantz doa,
JER.6.4	arratsaldeko itzalak luzatuz.
JER.6.5	Ea, bada! Eraso diezaiogun gauez!
JER.6.5	Eraits ditzagun horren jauregiak!»
JER.6.6	Honela dio Jaun ahalguztidunak:
JER.6.6	«Ebaki zuhaitzak,
JER.6.6	egin betelana Jerusalemi erasotzeko.
JER.6.6	Hiria zigortzea erabaki dut,
JER.6.6	zapalkuntza baita nagusi bertan.
JER.6.7	Putzuari ura dario,
JER.6.7	eta Jerusalemi gaiztakeria.
JER.6.7	Indarkeri eta bidegabekeri hotsa
JER.6.7	entzuten da bertan,
JER.6.7	kolpeak eta zauriak
JER.6.7	begi aurrean beti.
JER.6.8	Zentza zaitez, Jerusalem,
JER.6.8	zuregandik urrun ez nadin,
JER.6.8	basamortu
JER.6.8	eta bizilagunik gabeko lurralde
JER.6.8	bihur ez zaitzadan».
JER.6.9	Honela dio Jaun ahalguztidunak:
JER.6.9	«Bildu bizirik gelditutako
JER.6.9	israeldarrak,
JER.6.9	bat bera utzi gabe,
JER.6.9	biltzaileek
JER.6.9	mahats-mordoak bezala».
JER.6.10	Orduan, esan nuen:
JER.6.10	«Nori hitz egingo diot?
JER.6.10	Norengana jo, entzun diezadan?
JER.6.10	Sorgortuta daude,
JER.6.10	ez dira entzuteko gauza.
JER.6.11	Baina ni ere Jaunaren suminaz
JER.6.11	betea nago,
JER.6.11	ezin diot gehiago eutsi».
JER.6.11	Jaunak esan zidan:
JER.6.11	«Isuri sumina kaleetan
JER.6.11	umeen eta gazteen gain.
JER.6.11	Senar eta emazteak,
JER.6.11	zahar eta agureak,
JER.6.11	denak eramango dituzte.
JER.6.12	Haien etxe, alor eta emazteak
JER.6.12	arrotzen eskuetara aldatuko dira.
JER.6.12	Bai, herrialde honetako
JER.6.12	jendearen aurka
JER.6.12	luzatuko dut eskua.
JER.6.12	Hala diot nik, Jaunak.
JER.6.13	Denak, txiki eta handi,
JER.6.13	irabazi-gose dira,
JER.6.13	apaizak eta profetak
JER.6.13	faltsukeriari emanak.
JER.6.14	Nire herriaren zauria
JER.6.14	azaletik sendatu nahi dute.
JER.6.14	“Dena ongi doa, oso ongi” diote,
JER.6.14	baina ez doa ongi, ez.
JER.6.15	Lotsatu egin behar lukete
JER.6.15	beren egintza higuingarriengatik;
JER.6.15	baina ez dira batere lotsatzen,
JER.6.15	ez dakite lotsa denik ere.
JER.6.15	Horregatik, erori egingo dira,
JER.6.15	besteak bezalaxe,
JER.6.15	lur joko dute nire zigorraldian.
JER.6.15	Nik, Jaunak, esana».
JER.6.16	Honela diotso Jaunak bere herriari:
JER.6.16	«Geldi zaitezte bidean,
JER.6.16	aztertu,
JER.6.16	galdegin antzinako jokabideaz
JER.6.16	biderik onena zein den jakiteko;
JER.6.16	jo bertatik,
JER.6.16	eta aurkituko duzue atsedena.
JER.6.16	Zuek, ordea,
JER.6.16	“Ez dugu jarraitu nahi”
JER.6.16	erantzuten duzue.
JER.6.17	Zaintzaileak ere jarri nizkizuen,
JER.6.17	esanez:
JER.6.17	“Egon adi turutaren hotsari!”
JER.6.17	Baina zuek erantzun:
JER.6.17	“Bost axola guri!”
JER.6.18	Horregatik, hau diot nik, Jaunak:
JER.6.18	Entzun, herriok,
JER.6.18	jakin zuk ere,
JER.6.18	Israelgo elkarte horrek,
JER.6.18	zer gertatuko zaizun.
JER.6.19	Entzun, mundu guztiak:
JER.6.19	Zoritxarra dakart herri honetara,
JER.6.19	beronen burubide gaiztoen
JER.6.19	ondorioz,
JER.6.19	ez baitituzte nire hitzak
JER.6.19	aintzat hartu,
JER.6.19	nire legea mespretxatu egin dute.
JER.6.20	Zertarako dut nik
JER.6.20	Sabako
JER.6.20	zertarako urrutiko lurraldeetako
JER.6.20	kanabera usaintsua?
JER.6.20	Ez ditut atsegin zuen erre-opariak,
JER.6.20	ez ditut gogoko zuen sakrifizioak.
JER.6.21	Horregatik, hau diot nik, Jaunak:
JER.6.21	Oztopoak jarriko dizkiot
JER.6.21	herri honi,
JER.6.21	estropezu egin dezan.
JER.6.21	Gurasoak eta seme-alabak,
JER.6.21	lagunak eta auzokoak,
JER.6.21	denak hilko dira».
JER.6.22	Honela dio Jaunak:
JER.6.22	«Begira, herri bat dator
JER.6.22	iparraldetik
JER.6.22	nazio handi bat abiatu da
JER.6.22	munduaren azken muturretik.
JER.6.23	Gezi-uztaiez eta lantzaz
JER.6.23	armatuak datoz;
JER.6.23	ankerrak dira eta gupidagabeak;
JER.6.23	itsas orroa bezalako deiadarrez,
JER.6.23	zaldiz datoz,
JER.6.23	borrokarako lerroturik,
JER.6.23	zure aurka,
JER.6.23	Sion hiri eder
JER.6.24	Jerusalemen jendeak dio:
JER.6.24	«Horren berri jakitean,
JER.6.24	indarge gaude, estu eta larri,
JER.6.24	emakumea erdiminetan bezala.
JER.6.25	Ez irten landara,
JER.6.25	ez ibili bideetan!
JER.6.25	Hor dago etsaia armaturik,
JER.6.25	nonahi beldurra nagusi!»
JER.6.26	Jerusalem
JER.6.26	irauli hautsetan,
JER.6.26	egin dolu seme bakarraren
JER.6.26	heriotzakoan bezala,
JER.6.26	egin negar saminki,
JER.6.26	bat-batean etorriko baita
JER.6.26	hondatzailea zure gainera.
JER.6.27	Jaunak esan zidan: «Neure herriaren aztertzaile izendatzen zaitut; azter ezazu zein den haren jokabidea.
JER.6.28	«Errebeldeak dira guztiak,
JER.6.28	izen onaren kentzaile;
JER.6.28	kalitate txarreko
JER.6.28	brontze eta burdina dira.
JER.6.29	Suari indartsu haize emanez
JER.6.29	metalari zaborra kentzen zaio.
JER.6.29	Baina alferrik da
JER.6.29	haiek garbitzen aritzea:
JER.6.29	egite txarrak ez zaizkie joaten.
JER.6.30	“Zilar mespretxagarri”
JER.6.30	deituko dituzte,
JER.6.30	mespretxatu egin baititut nik,
JER.6.30	Jaunak».
JER.7.1+JER.7.2	Jaunak agindu zion Jeremiasi tenpluko sarrerara joateko eta Jauna gurtzera tenplura sartzen ziren judatar guztiei mezu hau hots egiteko: 
JER.7.3	«Honela dio Jaun ahalguztidunak, Israelgo Jainkoak: Zuzendu zeuen jokabidea eta egintzak, eta zuekin biziko naiz
JER.7.4	Ez fidatu, “Jaunaren tenplua, Jaunaren tenplua” errepikatuz engainatzen zaituzteten horietaz.
JER.7.5	«Baina zeuen jokabidea eta egintzak benetan zuzentzen badituzue, gizarte-harremanetan justizia defendatzen baduzue,
JER.7.6	arrotza, umezurtza eta alarguna esplotatzen ez badituzue, lurralde honetan odol errugaberik isurtzen ez baduzue eta, zeuen buruari kalte eginez, beste jainkoen ondoren ibiltzen ez bazarete,
JER.7.7	orduan, zuekin biziko naiz toki honetan, zuen gurasoei aspaldidanik eta betiko eman nien lurraldean.
JER.7.8	«Ezertarako ez diren gezurrezko arrazoietan sinesten duzue. 
JER.7.9	Izan ere, lapur, hiltzaile eta adulteriogile izan, gezurretan zin egin, Baali intsentsua erre, zuekin zerikusirik ez duten jainko arrotzen atzetik ibili
JER.7.10	eta, ondoren, nire aurrera zatozte, niri sagaratua dagoen tenplu honetara, “Seguru gaude” esaten duzuela, segidan egintza higuingarri guztiok egiten jarraitzeko.
JER.7.11	Lapur-zulotzat ote daukazue niri sagaratua dagoen tenplu hau? Horixe da, hain zuzen ere, ikusten ari naizena. Hala diot nik, Jaunak.
JER.7.12	Zoazte, bada, Xiloko nire santutegira
JER.7.13	Orain, bada, gaiztakeria hauek egin dituzuelako, nik etengabe hitz egin baina zuek entzun ez eta nik dei egin baina zuek erantzun ez didazuelako, hona nik, Jaunak, esan:
JER.7.14	Xiloko santutegiari egin niona bera egingo diet niri sagaratua dagoen eta zuen segurtasunaren euskarri den tenplu honi eta zuen gurasoei eta zeuei eman nizuen lurralde honi:
JER.7.15	jaurti egingo zaituztet neure aurretik, lehen zuen senideak, Efraimen ondorengoak
JER.7.16	«Zuk, ordea, Jeremias, ez eskatu herri honen alde, ez egin erregurik, ez otoitzik. Ez etorri arrenka niregana, ez dizut entzungo eta.
JER.7.17	Ez al duzu ikusten zertan ari diren Judako hirietan eta Jerusalemgo kaleetan? 
JER.7.18	Seme-alabek egurra biltzen dute, gurasoek sua pizten eta emakumeek orea egiten, Istar-i, zeruko erregina
JER.7.19	Baina, ni ez, baizik beren buruak dituzte iraintzen beren lotsarako. 
JER.7.20	Horregatik, hala diot nik, Jaunak: Neure haserrea eta sumina hustuko ditut toki honen gain, gizaki eta abere, landako zuhaitz eta lurreko fruituen gain: itzaliko ez den sua izango da».
JER.7.21	Honela dio Jaun ahalguztidunak, Israelgo Jainkoak: «Eskaini nahi adina erre-opari eta sakrifizio eta jan berorien haragia
JER.7.22	Zuen arbasoak Egiptotik atera nituenean, ez nien ezer agindu erre-opari eta sakrifizioei buruz, ez nituen aipatu ere egin.
JER.7.23	Hauxe agindu nien bakar-bakarrik: “Aditu nire mintzoa, eta ni izango nauzue zeuen Jainko eta zuek izango zaituztet neure herri. Ibili beti nik agindutako bidean, eta zorioneko izango zarete”.
JER.7.24	Baina ez zidaten aditu, ezta jaramonik egin ere, baizik eta beren asmo eta joera gaiztoei setati jarraitu zieten. Niregana hurbildu ordez, bizkarra eman zidaten.
JER.7.25	Zuen arbasoak Egiptotik irten zirenetik gaurdaino, profetak, neure zerbitzariak, bidali dizkizuet etengabe, bata bestearen ondoren.
JER.7.26	Baina ez didazue aditu, ezta jaramonik egin ere, baizik eta zuen gurasoak baino burugogorrago izan zarete.
JER.7.27	Zuk, Jeremias, esan hitz hauek guztiak, baina ez dizute jaramonik egingo; hots egin, baina ez dizute erantzungo. 
JER.7.28	Orduan, hau esango diezu: “Hona hemen Jaunaren, bere Jainkoaren, mintzoa aditu nahi ez duen herria, zentzabiderik hartu nahi ez duena. Galdua da leialtasuna, ez da beraren aipamenik ere egiten”».
JER.7.29	Jerusalem,
JER.7.29	moztu zeure ile-mototsa
JER.7.29	Abestu negar-kanta muinoetan!
JER.7.29	Jaunak mespretxatua
JER.7.29	eta baztertua baitu
JER.7.29	bera suminarazi duen jende hau.
JER.7.30	Honela dio Jaunak: «Nik gaitzesten dudana egin du Judako herriak: bere idolo higuingarriak jarri ditu niri sagaraturiko etxean, berau profanatuz.
JER.7.31	Ben-Hinom haranean Tofet 
JER.7.32	Horregatik, hau diot nik, Jaun honek: Badator toki honi Tofet eta Ben-Hinom harana deituko ez dioten eguna, Hilketa-harana baizik. Tofeten lur eman beharko diete hilei, beste inon tokirik ez eta.
JER.7.33	Herri honetako gorpuak hegazti harraparien eta basapiztien janari izango dira, eta haiek uxatzeko inor ez da izango.
JER.7.34	Judako hirietan eta Jerusalemgo kaleetan poz-alaitasunezko oihuak eta senar-emaztegaien kantuak bukaraziko ditut, lurraldea basamortu bihurtua geldituko baita».
JER.8.1	Jaunak dio: «Aldi hartan, beren hilobietatik aterako dituzte Judako erregeen hezurrak, buruzagi, apaiz, profeta eta Jerusalemen bizi diren guztien hezurrak,
JER.8.2	eta eguzkitan, ilargitan eta izar guztien argitan zabalduko dituzte —beraiek maitatu, zerbitzatu, jarraitu, kontsultatu eta gurtu dituzten astroen argitan—. Ez ditu inork bilduko lur emateko
JER.8.3	Gaizto horien artetik bizirik geldituko direnek nahiago izango dute heriotza bizia baino, nik sakabanatuko ditudan edonon. Hala diot nik, Jaun ahalguztidunak.
JER.8.4	«Zuk, Jeremias,
JER.8.4	hauxe esango diozu herriari
JER.8.4	nire izenean:
JER.8.4	Erortzen dena,
JER.8.4	ez ote da jaikitzen?
JER.8.4	Bidea galdu duena,
JER.8.4	ez ote atzera itzultzen?
JER.8.5	Zergatik urrundu zait, bada,
JER.8.5	betiko
JER.8.5	Jerusalemgo herri hau?
JER.8.5	Gogor eusten dio
JER.8.5	bere makurkeriari,
JER.8.5	ez du itzuli nahi atzera.
JER.8.6	Adi-adi entzun diet,
JER.8.6	baina ez dira hitzeko jendea,
JER.8.6	ez da inor
JER.8.6	bere gaiztakeriaz damutzen,
JER.8.6	bere hutsegiteak aitortuz.
JER.8.6	Denak beren bidean zuzen aurrera,
JER.8.6	ziztu bizian borrokara
JER.8.6	oldartzen den zaldia bezala.
JER.8.7	Zikoinak ere
JER.8.7	antzematen dio zeruari,
JER.8.7	lekuz noiz aldatu jakiteko;
JER.8.7	usapalak, enarak eta kurriloak
JER.8.7	badakite noiz itzuli.
JER.8.7	Nire herriak, ordea,
JER.8.7	ez du nik, Jaunak,
JER.8.7	agindua ezagutzen.
JER.8.8	Nolatan esan dezakezue
JER.8.8	jakintsu zaretela,
JER.8.8	zeuekin duzuela Jaunaren legea?
JER.8.8	Zeuen lege-maisuen luma gezurtiak
JER.8.8	faltsu bihurtu du lege hori!
JER.8.9	Lotsaturik geldituko dira
JER.8.9	jakintsuak,
JER.8.9	eraitsiak eta preso hartuak izango.
JER.8.9	Non da horien jakinduria,
JER.8.9	Jaunaren hitza
JER.8.9	mespretxatu dutelarik?
JER.8.10	Beraz
JER.8.10	arrotzei emango dizkiet,
JER.8.10	horien soro-landak menderatzaileei.
JER.8.10	Denak, txiki eta handi,
JER.8.10	irabazi-gose dira;
JER.8.10	apaizak eta profetak
JER.8.10	faltsukeriari emanak.
JER.8.11	Nire herriaren zauria
JER.8.11	azaletik sendatu nahi dute.
JER.8.11	“Dena ongi doa, oso ongi” diote,
JER.8.11	baina ez doa ongi, ez.
JER.8.12	Lotsatu egin behar lukete
JER.8.12	beren egintza higuingarriengatik;
JER.8.12	baina ez dira batere lotsatzen,
JER.8.12	ez dakite lotsa denik ere.
JER.8.12	Horregatik, erori egingo dira,
JER.8.12	besteak bezalaxe,
JER.8.12	lur joko dute nire zigorraldian.
JER.8.12	Nik, Jaunak, esana».
JER.8.13	Jaunak dio:
JER.8.13	«Suntsitu egingo ditut, suntsitu:
JER.8.13	mahatsik ez mahastian,
JER.8.13	pikurik ez pikondoan,
JER.8.13	orri zimela besterik ez da geldituko.
JER.8.13	Azpian hartuko dituztenak
JER.8.13	bidaliko dizkiet
JER.8.14	Eta jendeak, berriz:
JER.8.14	«Zer egiten dugu hemen geldi?
JER.8.14	Bil gaitezen, goazen gotorlekuetara,
JER.8.14	bertan hiltzera,
JER.8.14	Jaunak, gure Jainkoak,
JER.8.14	heriotzara ematen baikaitu;
JER.8.14	ur pozoitua eskaintzen digu,
JER.8.14	beraren aurka bekatu egin dugulako.
JER.8.15	Bakearen zain geunden,
JER.8.15	baina ez dugu onik.
JER.8.15	Osasunaldia espero genuen,
JER.8.15	baina beldur-ikara dugu gainean.
JER.8.16	Badator etsaia!
JER.8.16	Dan-dik
JER.8.16	zaldien arnas hotsa!
JER.8.16	Haien irrintzira
JER.8.16	lur osoa dardaratzen da.
JER.8.16	Gure lurraldea
JER.8.16	eta bertako ondasunak,
JER.8.16	hiriak eta hiritarrak,
JER.8.16	dena hondatzera dator».
JER.8.17	Jaunak dio:
JER.8.17	«Begira,
JER.8.17	suge pozoituak bidaliko dizkizuet.
JER.8.17	Ez duzue horiek liluratzeko
JER.8.17	modurik izango,
JER.8.17	eta zizta egingo dizuete».
JER.8.18	Nire nahigabeak
JER.8.18	ez du erremediorik
JER.8.18	eroria dut bihotza.
JER.8.19	Lurralde guztian entzuten ditut
JER.8.19	nire herriaren aieneak:
JER.8.19	«Ez al dago Sionen Jauna?
JER.8.19	Ez al dago bertan beraren erregea?»
JER.8.19	Eta Jaunak erantzun:
JER.8.19	«Eta zuek, zergatik iraindu nauzue
JER.8.19	zeuen idoloekin,
JER.8.19	zentzugabekeria arrotz horiekin?»
JER.8.20	Herriak, berriz:
JER.8.20	«Uztaroa igaro da, uda amaitu,
JER.8.20	baina guretzat salbaziorik ez».
JER.8.21	Neure herria jo duen
JER.8.21	hondamenaz nago jota,
JER.8.21	goibel eta izuak hartuta.
JER.8.22	Ez ote sendagairik Galaaden
JER.8.22	ez ote medikurik?
JER.8.22	Zergatik ez da sendatzen
JER.8.22	nire herria?
JER.8.23	Nork bihurtuko nire burua ur,
JER.8.23	nire begiak malko-iturri,
JER.8.23	gau eta egun negar egiteko
JER.8.23	nire herriko hildakoengatik?
JER.9.1	Ai, basamortuan egonlekua
JER.9.1	aurkituko banu,
JER.9.1	neure herria utzi
JER.9.1	eta harengandik urruti bizitzeko!
JER.9.1	Desleialak baitira guztiak,
JER.9.1	traidore hutsak denak.
JER.9.2	Beti prest daude gezurrerako,
JER.9.2	gezi-uztai tenkatua bezala
JER.9.2	haien mihia.
JER.9.2	Gezurra da nagusi herrialdean,
JER.9.2	eta ez egia.
JER.9.2	Jaunak dio:
JER.9.2	«Gero eta okerrago dabiltza,
JER.9.2	ez naute aintzat hartzen.
JER.9.3	Kontuz guztiok
JER.9.3	nor bere lagunarekin ere,
JER.9.3	ez fidatu senideaz ere,
JER.9.3	senideak senideari
JER.9.3	iruzur egiten
JER.9.3	lagunak lagunari kalumnia.
JER.9.4	Elkar engainatzen dute,
JER.9.4	inork egiarik esaten ez;
JER.9.4	gezurretan trebatu dituzte mihiak.
JER.9.4	Gaiztotuak daude,
JER.9.4	ez dira zuzentzeko gauza.
JER.9.5	Gogorkeria gogorkeriaren gain,
JER.9.5	faltsukeria faltsukeriaren gain
JER.9.5	eta ni ez naute aintzat hartu nahi».
JER.9.6	Horregatik,
JER.9.6	honela dio Jaun ahalguztidunak:
JER.9.6	«Aztertu egingo ditut eta probatu;
JER.9.6	esku hartuko dut, bai,
JER.9.6	neure herriaren
JER.9.6	gaiztakeriaren
JER.9.7	Gezi hilgarri dira horien mihiak,
JER.9.7	faltsukeria darie ahotik.
JER.9.7	Lagunarentzat bake-hitzak dituzte,
JER.9.7	baina barrenean zelatak
JER.9.7	asmatzen ari dira.
JER.9.8	Eta nik, Jaunak,
JER.9.8	zigorrik gabe utzi behar ote
JER.9.8	horrelako gaiztakeriak?
JER.9.8	Ez ote bere merezia eman behar
JER.9.8	horrela jokatzen duen jendeari?
JER.9.8	Nik, Jaunak, esana».
JER.9.9	Negar eta intziri egingo dut
JER.9.9	mendiak direla eta;
JER.9.9	deitore, larre-zelaiak direla eta:
JER.9.9	erreak gelditu baitira eta hutsik;
JER.9.9	ez da ardirik beeka entzuten,
JER.9.9	hegazti eta abereak
JER.9.9	ihesi joanak dira.
JER.9.10	Jaunak dio:
JER.9.10	«Jerusalem harri-pila bihurtuko dut
JER.9.10	eta txakal-zulo;
JER.9.10	Judako hiriak hondamendi,
JER.9.10	bizilagunik gabe gelditzeraino».
JER.9.11	Zergatik hondatu da lurraldea?
JER.9.11	Zergatik erre
JER.9.11	eta basamortu bihurtu,
JER.9.11	inor ez bizitzeko moduan?
JER.9.11	Non da
JER.9.11	hau ulertuko duen jakintsua?
JER.9.11	Nori argitu dio Jaunak?
JER.9.11	Adieraz dezala.
JER.9.12	Jaunak erantzun: «Nik emandako legea bazter utzi eta nire mintzoa aditu eta jarraitu ez dutelako gertatu da hori. 
JER.9.13	Aitzitik, beren joera gaiztoen ondoren, gurasoengandik hartutako Baalen ondoren, ibili dira.
JER.9.14	Horregatik, honela diot nik, Israelen Jainkoak: Herri honi belarmina emango diot jateko, ur pozoitua edateko.
JER.9.15	Sakabanatu egingo ditut, ez hauek, ez hauen gurasoek ezagutu ez dituzten nazioen artean; etsaia bidaliko diet atzetik ezpatarekin, denak suntsitu arte».
JER.9.16	Honela dio Jaun ahalguztidunak:
JER.9.16	«Ea, egin dei emakume erostariei!
JER.9.16	Aurkitu trebeenak, eta betoz!»
JER.9.17	Bai, datozela bizkor,
JER.9.17	abes dezatela erosta guregatik!
JER.9.17	Urtu bitez gure begiak malkoz,
JER.9.17	gerta bitez blai betazalak negarrez!
JER.9.18	Erosta-kantua dator Siondik:
JER.9.18	«Ai ene, galduak gara!
JER.9.18	Hau lotsa gurea!
JER.9.18	Geure lurraldea utzi egin behar,
JER.9.18	geure etxetik botatzen gaituzte
JER.9.19	Entzun, emakumeok,
JER.9.19	Jaunaren mintzoa,
JER.9.19	entzun arretaz haren hitzak.
JER.9.19	Irakatsi alabei erosta,
JER.9.19	auzokoei negar-kanta:
JER.9.20	«Herioa leihoetatik sartu zaigu,
JER.9.20	jauregietaraino iritsi da.
JER.9.20	Haurrak garbitu ditu kaleetan,
JER.9.20	gazteak plazetan».
JER.9.21	Mezu hau adierazteko
JER.9.21	agindu dit Jaunak:
JER.9.21	«Giza gorpuak zabalduta daude
JER.9.21	lurrazalean simaurra bezala,
JER.9.21	lasto-sortak igitarien atzean bezala,
JER.9.21	eta ez ditu inork biltzen».
JER.9.22	Honela dio Jaunak:
JER.9.22	«Ez bedi harro
JER.9.22	jakintsua bere jakinduriaz,
JER.9.22	ez indartsua bere indarraz,
JER.9.22	ezta aberatsa ere
JER.9.22	bere aberastasunaz.
JER.9.23	Harrotu nahi duena,
JER.9.23	harro bedi honetaz:
JER.9.23	ni ezagutzeko aski argi izateaz,
JER.9.23	ni, Jauna,
JER.9.23	solidaritatea, justizia eta zuzenbidea
JER.9.23	munduan ezartzen dituena.
JER.9.23	Horiek ditut atsegin.
JER.9.23	Nik, Jaunak, esana».
JER.9.24	Jaunak dio: «Badator, gorputzean bakarrik erdainduak direnak zigortuko ditudan eguna: 
JER.9.25	egiptoar, judatar, edomdar, amondar, moabdar eta beduino guztiak. Izan ere, herri horiek, eta Israelek berak, ez dute ezarri bihotzean itunaren seinale den erdainkuntza
JER.10.1	Entzun, Israel herri, Jaunak iragartzen dizun mezua.
JER.10.2	Hau dio Jaunak:
JER.10.2	«Ez egokitu jentilen ohituretara,
JER.10.2	ez izan zeruko seinaleen beldur,
