MAT.1.1	Detta är förfäderna till Jesus Kristus
ROM.1.16	Jag skäms inte för det glada budskapet om Jesus, för det handlar om Guds kraft att rädda var och en som tror. Judarna var de första som fick höra det, men det gäller för alla folk. 
ROM.1.17	Det glada budskapet visar att vi genom att helt och fullt tro på Jesus kan bli skuldfria inför Gud. Det står ju i Skriften
ROM.1.18	Men Gud visar sin vrede från himlen mot alla människor som lever i synd och ondska, och som hindrar andra från att känna till sanningen om honom. 
ROM.1.19	De blir straffade därför att de inte vill lyda Gud trots att de redan känner till det man kan veta om honom. Gud har ju visat dem vem han är. 
ROM.1.20	Ända sedan världens skapelse har människorna kunnat se Guds oändliga makt och förstå att han verkligen är Gud. Man kan inte se hans egenskaper, men man kan förstå dem genom att titta på allt han har skapat. Därför finns det ingen ursäkt för dem som inte vill lyda Gud!
ROM.1.21	Trots att människorna kände Gud, vägrade de att tillbe honom som Gud och tacka honom. Istället ägnade de sig åt egna fantasier om tillvaron, och deras förvirrade sinnen fylldes av andligt mörker. 
ROM.1.22	De påstod sig vara visa, men blev istället fullkomliga dårar. 
ROM.1.23	Istället för att tillbe Gud, han som har all makt och aldrig kan dö, tillbad de avgudar, bilder av vanliga dödliga människor och av alla slags djur, både sådana som flyger och sådana som lever på land.
ROM.1.24	Gud lät dem därför följa sina egna begär, så att de utförde avskyvärda och skamliga sexuella handlingar med varandra. 
ROM.1.25	Istället för att tro på Gud, han som är sanningen, valde de att tro på lögner. De tillbad och tjänade det skapade istället för Skaparen. Han är den som ska hyllas för evigt. Ja, det är sant!
ROM.1.26	Eftersom de trodde på lögner, lät Gud dem ägna sig åt homosexuella aktiviteter. Till och med kvinnorna övergav sin naturliga sexualitet och tillfredsställde sina behov med varandra. 
ROM.1.27	Och männen slutade att ha naturliga sexuella förhållanden med kvinnor och började upptändas av begär till varandra, så att de utförde skamliga handlingar med andra män. På så sätt blev de själva orsaken till det rättvisa straff de fick för sin ondska. 
ROM.1.28	Ja, eftersom de struntade i det de kände till om Gud, lät Gud dem följa sina egna onda tankar, så att de gjorde sådant man inte får göra. 
ROM.1.29	Människorna fylldes av all slags ondska, elakhet, själviskhet, hat, avundsjuka, mordlust, aggressioner, svek och illvilja. 
ROM.1.30	Ja, människor skvallrar och ljuger om andra. De hånar Gud. De är kaxiga, stolta och skrytsamma. De hittar ständigt nya sätt att göra det som är ont, de är olydiga mot sina föräldrar, 
ROM.1.31	och de tänker aldrig på andra, utan bryter ständigt sina löften, eftersom de saknar både kärlek och medlidande. 
ROM.1.32	De vet att Gud en dag ska straffa dem med döden för det de gör, men ändå fortsätter de. Och inte nog med det: de uppmuntrar andra som lever likadant.
ROM.2.1	Men även om Gud en dag ska straffa dessa människor, har du ingen rätt att döma andra, vem du än är. Om du dömer en annan för det han gör, dömer du ju samtidigt dig själv, eftersom du handlar på samma sätt som han. Det finns ingen ursäkt för dig som dömer! 
ROM.2.2	Vi vet att Gud är rättvis när han dömer de människor som lever på det här viset. 
ROM.2.3	Men du som dömer dina medmänniskor, du tror väl inte att Gud bara ska döma andra, och ha överseende med dig, trots att du handlar precis likadant? 
ROM.2.4	Underskatta inte Gud, när han på grund av sin godhet och sitt tålamod inte straffar dig genast! Inser du inte att han genom sin godhet vill få dig att vända om till honom?
ROM.2.5	Om du envist vägrar att vända om till Gud, gör du ditt straff värre på domens dag, för på den dagen ska det visa sig att Gud dömer alla rättvist. 
ROM.2.6	Då ska var och en få lön efter sina gärningar. 
ROM.2.7	Gud ska ge evigt liv åt dem, som utan att tröttna, fortsätter att göra det goda och söker härlighet, ära och odödlighet tillsammans med Gud. 
ROM.2.8	Men han ska i sin vrede straffa dem som bara tänker på sig själva, och som istället för att göra det som är rätt, lever i ondska. 
ROM.2.9	Nöd och ångest ska drabba varje människa som gör det onda. Det ska drabba judarna, som först fick höra Guds budskap, men också alla andra folk. 
ROM.2.10	På samma sätt ska härlighet, ära och frid ges till var och en som gör det goda. Det ska ges till judarna, som först fick höra Guds budskap, men också till alla andra folk. 
ROM.2.11	Gud behandlar alla lika.
ROM.2.12	Gud ska straffa alla folk för deras synder, även om de inte känner till Moses lag
ROM.2.13	Det räcker nämligen inte med att känna till lagen för att bli skuldfri inför Gud, man måste också följa den. 
ROM.2.14	Bara judarna har fått Guds lag nedskriven. Men när andra folk, utan att känna till lagen, ändå lyder det som står i den, förstår vi att de mycket väl vet skillnaden mellan gott och ont. 
ROM.2.15	De visar genom sina handlingar att lagen är skriven i deras hjärtan. Deras samveten talar ju genast om för dem om de handlar rätt eller fel. 
ROM.2.16	Att det är så, kommer att visa sig den dag då Jesus Kristus på Guds befallning ska döma oss alla efter våra innersta tankar och motiv. Detta är det budskap jag har fått från Gud.
ROM.2.17	Ni som är judar litar på den lag ni har fått från Gud och är stolta över ert speciella förhållande till honom. 
ROM.2.18	Ni säger att ni känner Guds vilja och vet hur man bör handla, eftersom ni har fått lära er vad som står i Moses lag. 
ROM.2.19	Ni anser er kunna peka ut Guds väg för de blinda och vara ett ljus för dem som lever i andligt mörker. 
ROM.2.20	Ni vill vägleda de oförståndiga och undervisa dem som är omogna, för ni tror att lagen har gett er den fullständiga kunskapen om vad som är rätt och fel. 
ROM.2.21	Ja, ni undervisar andra men inte er själva! Ni säger till andra att de inte ska stjäla, men ni är själva tjuvar. 
ROM.2.22	Ni säger att det är fel att vara otrogen i äktenskapet, men ni är själva otrogna. Ni säger att man inte ska tillbe avgudar, men ni plundrar avgudatemplen för att tjäna pengar.
ROM.2.23	Ni är stolta över att ha Moses lag men drar skam över Gud genom att bryta den. 
ROM.2.24	Det står ju i Skriften
ROM.2.25	Ni judar som håller ert förbund med Gud genom att omskära
ROM.2.26	Om någon från ett sådant folk lyder lagen, skulle den personen då inte få privilegiet att tillhöra Guds eget folk? 
ROM.2.27	Jo, och på domens dag ska den person, som inte är omskuren rent fysiskt men ändå följer lagen, anklaga er judar, som omskär era pojkar och har fått lagen men inte följer den.
ROM.2.28	Alla som kallar sig judar tillhör alltså inte Guds eget folk, för det har inget med den fysiska omskärelsen att göra. 
ROM.2.29	Nej, den som vill tillhöra Guds eget folk måste ha ett rätt förhållande till Gud. Det verkliga tecknet på att man tillhör Guds folk, den verkliga omskärelsen, är inte det bokstavliga, fysiska ingreppet som Moses lag talar om, utan det handlar om att Guds Ande får förvandla hjärtat. Och den som har varit med om en sådan förvandling blir ärad av Gud, inte av människor.
ROM.3.1	Vilken fördel är det då att vara jude? Finns det något värde i den judiska ceremonin att omskära pojkar? 
ROM.3.2	Ja, att vara jude är en enorm fördel. Och det främsta skälet är att det var judarna som fick Guds budskap att föra vidare till andra. 
ROM.3.3	Att sedan vissa judar övergav sin tro på Gud, det ändrar ingenting. Skulle Gud bryta sina löften, bara för att dessa människor inte höll vad de hade lovat? 
ROM.3.4	Självklart inte! Även om varenda människa ljuger, så talar Gud alltid sanning. Det står ju i Skriften
ROM.3.5	"Men", säger några, "det måste ju vara bra för Gud om vi handlar fel, för då förstår alla att han handlar rätt. Därför är det också orättvist att han straffar oss." Ja, så resonerar en del människor. 
ROM.3.6	Men, nej, Gud är inte orättvis! Hur skulle han då klara av att döma alla människor? 
ROM.3.7	Och någon kanske säger: "Varför ska jag kallas en syndare och dömas? Det är ju bra för Gud om jag ljuger, för då ser alla klart och tydligt att han talar sanning, och då kommer alla att ära honom." 
ROM.3.8	Men resonerar man på det sättet, kunde man lika gärna säga: "Ju mer vi syndar desto bättre, för då kommer Gud att bli ärad för sin godhet!" En del påstår att det är på det sättet jag undervisar, men de som talar så ska få det straff de förtjänar. 
ROM.3.9	Så vad har vi nu kommit fram till? Är vi judar bättre än andra?
ROM.3.10	Det står ju i Skriften
ROM.3.10	 "Ingen människa är skuldfri inför Gud, inte en enda. 
ROM.3.11	Ingen förstår något, ingen söker Gud.
ROM.3.12	Alla har vänt honom ryggen, alla är lika fulla av synd.
ROM.3.12	 Ingen gör det som är rätt, inte en enda.
ROM.3.13	Deras tal är vidrigt och ruttet, likt stanken från en öppen grav.
ROM.3.13	 De ljuger och bedrar. Deras ord är som huggormsgift.
ROM.3.14	Allt de säger är fyllt av förbannelser och bitterhet.
ROM.3.15	De är snabba att ta till våld och döda,
ROM.3.16	var de än drar fram lämnar de nöd och elände efter sig.
ROM.3.17	De känner inte till den väg som leder till frid.
ROM.3.18	De kommer inte ens på tanken att visa respekt för Gud.
ROM.3.19	Självklart gäller Moses lag
ROM.3.20	Ingen kan ju någonsin bli skuldfri inför Gud genom att försöka lyda allt som står i lagen. Nej, lagen kan bara få oss att inse att vi är syndare.
ROM.3.21	Men nu har Gud visat oss en annan väg att bli skuldfria inför honom än genom att försöka lyda allt som står i Moses lag. Och denna väg har Gud hela tiden talat om genom Moses lag och profeterna
ROM.3.22	Vi kan bli skuldfria inför Gud genom att tro på Jesus Kristus. Och detta gäller alla, vilka vi än är. 
ROM.3.23	Alla har ju syndat och förlorat gemenskapen med Gud, han som kan rädda oss. 
ROM.3.24	Men nu har han gett oss en möjlighet som vi inte förtjänar. Han har visat oss nåd och låtit oss bli skuldfria inför honom genom att låta Jesus Kristus köpa oss fria från vårt slaveri under synden. 
ROM.3.25+ROM.3.26	Gud lät Jesus offra sitt blod och ta straffet för våra synder, för att alla som tror ska få förlåtelse. Gud ville genom detta visa hur fullständigt god och rättvis han är. I sitt stora tålamod lät han straffet vänta för de synder som människor begick för länge sedan. Och nu i vår egen tid lät han Jesus dö och ta vårt straff. Ja, Gud visade sin godhet genom att låta oss bli skuldfria inför honom om vi tror på Jesus.
ROM.3.27	Har vi då något att skryta med när det gäller vårt förhållande till Gud? Nej, absolut inget, för det är inte genom våra goda gärningar vi har försonats med Gud, utan genom vår tro. 
ROM.3.28	Vi är nämligen helt övertygade om att människor blir skuldfria inför Gud på grund av sin tro, och inte genom att de försöker lyda allt som står i Moses lag. 
ROM.3.29	Annars skulle ju Gud bara vara judarnas Gud. Och nog är han väl en Gud för alla folk? Ja, självklart är han en Gud för alla, 
ROM.3.30	eftersom det bara finns en Gud. Och han låter alla människor bli skuldfria inför honom genom att de tror, det gäller både judar och andra folk. 
ROM.3.31	Men när vi nu säger att tron är så viktig, betyder det då att vi kan strunta i Moses lag? Nej, tvärtom! Genom att tro på Jesus respekterar vi det som står i lagen.
ROM.4.1	Abraham, som var stamfar för Israels folk, vilken erfarenhet hade han av att bli räddad genom tro? 
ROM.4.2	Var det på grund av goda gärningar som Gud accepterade honom? Ja, i så fall hade han kunnat vara verkligt stolt över sig själv. Men det var inte därför han räknades som skuldfri inför Gud. 
ROM.4.3	Vad står det i Skriften? Jo, att 'Abraham trodde på Gud, och därför räknades han som skuldfri inför honom'.
ROM.4.4	Den som arbetar får inte sin lön som en gåva, utan som en ersättning för något han har uträttat. 
ROM.4.5	Men den som förklaras skuldfri inför Gud på grund av sin tro, får det inte som en ersättning för något han har uträttat. 
ROM.4.6	Därför beskriver också kung David hur lycklig den människa är som utan att förtjäna det räknas som skuldfri inför Gud. Han skriver: 
ROM.4.7	"Lycklig är den som har fått förlåtelse för sin olydnad och har fått sin synd utplånad! 
ROM.4.8	Ja, lycklig är den som Herren inte längre anklagar för synd."
ROM.4.9	Men nu är frågan: Gäller denna lycka bara judarna, som håller Guds förbund genom att omskära sina pojkar, eller gäller den också andra folk? Låt oss återvända till Abraham. Jag sa förut att det var för sin tros skull som Abraham räknades som skuldfri inför Gud. 
ROM.4.10	Men när blev han då skuldfri? Var det efter att han hade blivit omskuren, eller var det innan? Svaret är att Gud accepterade honom innan han blev omskuren.
ROM.4.11	Ceremonin med att omskära alla män, var ett tecken på att Abraham genom sin tro hade blivit skuldfri inför Gud redan innan han blev omskuren. Och genom detta blev han en andlig far för alla människor som tror, även om de inte omskär sina pojkar. 
ROM.4.12	Abraham blev också en andlig far för sitt eget folk, som omskär alla pojkar, men han är bara deras andlige far om de har samma slags tro som han hade innan han blev omskuren.
ROM.4.13	Det var alltså inte för att Abraham lydde någon lag
ROM.4.14	Abrahams efterkommande kan alltså inte vara de som försöker bli skuldfria genom att lyda hela Moses lag, för då skulle tron vara meningslös, och löftet skulle inte gälla. 
ROM.4.15	Kom ihåg att lagens krav är så höga, att alla blir dömda av den. Att ha en lag innebär ju också att man kan överträda den. 
ROM.4.16	Guds löfte var en fri gåva till alla Abrahams efterkommande, både till dem som har fått Moses lag och till dem som bara har samma slags tro som Abraham. Han är ju en andlig far för alla som tror. 
ROM.4.17	Gud säger ju i Skriften
ROM.4.18	När Gud lovade Abraham att han skulle bli far till många folk, trodde Abraham på Gud, trots att det mänskligt sett inte fanns något hopp om att han skulle kunna bli det. Men Gud hade sagt: "Dina efterkommande ska bli omöjliga att räkna."
ROM.4.19	Därför fortsatte Abraham att tro, trots att han var omkring 100 år gammal och svag i sin kropp, och trots att hans fru Sara aldrig hade kunnat få barn och nu var alldeles för gammal.
ROM.4.20	Nej, Abraham tvivlade aldrig på Guds löfte, för hans tro gav honom styrka, och han ärade Gud. 
ROM.4.21	Han var helt övertygad om att Gud kan göra vad som helst som han lovat, 
ROM.4.22	och därför räknades han som skuldfri inför Gud.
ROM.4.23	Men denna sanning att han "räknades som skuldfri inför Gud" skrevs inte ner bara med tanke på Abraham. 
ROM.4.24	Den gäller även oss. Vi ska också räknas som skuldfria, eftersom vi tror på Gud, han som uppväckte vår Herre Jesus från de döda. 
ROM.4.25	Herren Jesus utlämnades ju till att dö för att ta straffet för våra synder och uppväcktes igen för att vi skulle bli skuldfria inför Gud.
ROM.5.1	När vi nu har blivit skuldfria inför Gud genom att tro, har vi frid med Gud genom det som vår Herre Jesus Kristus har gjort för oss. 
ROM.5.2	På grund av vår tro på honom har Gud i sin godhet förlåtit oss. Ja, vi bygger nu vårt liv på Guds förlåtelse, och kan stolta och glada se fram emot den dag då vi får dela Guds härlighet.
ROM.5.3	Men vi gläder oss inte bara över detta, utan också över det lidande vi får gå igenom, eftersom vi vet att lidandet gör oss uthålliga. 
ROM.5.4	Och uthålligheten gör oss fasta i vår tro, så att vi ständigt håller fast vid hoppet om att till slut räddas för evigt. 
ROM.5.5	Och detta hopp om räddning kommer inte att bytas i besvikelse, för vi vet hur mycket Gud älskar oss. Han har ju gett oss sin heliga Ande, som fyller våra hjärtan med hans kärlek.
ROM.5.6	Medan vi fortfarande var hjälplöst förlorade, kom Kristus vid rätt tidpunkt enligt Guds plan och dog för alla oss som struntade i Gud. 
ROM.5.7	Annars är det väl knappt någon som skulle offra sitt liv ens för en människa som lever rätt - möjligen skulle någon kunna dö för en som är alltigenom god. 
ROM.5.8	Men Gud bevisade hur mycket han älskade oss, genom att Kristus dog för oss, medan vi fortfarande var syndare. 
ROM.5.9	Och när vi nu har blivit skuldfria inför Gud genom att Jesus offrade sitt blod för oss, kan vi vara helt säkra på att han också ska rädda oss från att dömas av Gud. 
ROM.5.10	Vi var Guds fiender, men blev försonade med honom genom att hans Son tog vårt straff när han dog. Därför kan vi nu, när vi är Guds vänner, också vara säkra på att Sonen ska rädda oss från evigt straff, eftersom han uppstod från de döda igen.
ROM.5.11	Men inte nog med det, vi gläder oss dessutom över den gemenskap vi har med Gud just nu, en gemenskap som blev möjlig genom att vår Herre Jesus försonade oss med Gud och gjorde oss till hans vänner.
ROM.5.12	Genom en enda människa, Adam, kom synden in i hela människosläktet. Straffet för hans synd var att han skulle dö, och sedan den dagen dör alla människor, eftersom alla syndar. 
ROM.5.13	Ja, människor syndade långt innan judarna hade fått Moses lag
ROM.5.14	Denna Adam hade en viss likhet med Jesus, han som skulle komma senare. Men ändå fanns det en skarp kontrast mellan dem, 
ROM.5.15	för det är en enorm skillnad mellan en människa, som syndar, och Gud, som i sin godhet förlåter. Likheten består i att det var en enda människa som genom sin synd gjorde så att alla måste dö, och att det var en enda människa, Jesus Kristus, som gjorde så att Gud gav oss alla en förlåtelse vi inte förtjänar. Och denna fria gåva, som Gud i sin godhet gav oss, är oändligt mycket större. 
ROM.5.16	Det är också stor skillnad mellan följderna av denna enda mans synd och Guds fria gåva, förlåtelsen. En enda mans synd ledde till att alla människor dömdes till att dö, medan alla människors synd ledde till att Gud visade oss nåd och förlät oss. 
ROM.5.17	Det är sant, att en enda människas synd gjorde så att döden fick makt över alla människor. Men det är lika säkert att en enda människa, Jesus Kristus, har gjort så att livet härskar i alla dem som tar emot Gud fria gåva. Gud låter oss ju i sin oändliga godhet bli skuldfria inför honom, om vi tar emot hans förlåtelse. 
ROM.5.18	Ja, en enda syndig handling av Adam gjorde så att alla människor dömdes till att dö, medan en enda rätt handling av Kristus gjorde så att alla kan bli förlåtna av Gud och få leva. 
ROM.5.19	Genom att en enda människa var olydig mot Gud, blev vi alla syndare, men på samma sätt ska vi, genom att en enda människa var lydig mot Gud, bli skuldfria inför honom.
ROM.5.20	Gud gav oss Moses lag för att klart visa att människorna inte följer hans vilja. Men när det stod klart att människorna ständigt bryter mot Guds lag, visade det sig också att hans godhet är oändligt stor, eftersom han förlåter. 
ROM.5.21	Förut härskade ju synden över alla människor och förde dem till döden, men nu härskar istället Guds kärlek och förlåtelse, genom att Jesus Kristus, vår Herre, gör oss skuldfria inför Gud och för oss till evigt liv.
ROM.6.1	Vad innebär då detta? Ska vi fortsätta att synda, så att Gud kan visa sin godhet och förlåta oss gång på gång? 
ROM.6.2	Nej, självklart inte! Synden har ju inte längre någon makt över oss. Hur skulle vi då kunna fortsätta att synda? 
ROM.6.3	Vet ni inte att alla vi som har döpts in i gemenskapen med Jesus Kristus också dog tillsammans med honom när vi döptes? 
ROM.6.4	Ja, genom dopet är vi både döda och begravda tillsammans med honom. Och på samma sätt som Kristus uppväcktes från de döda genom sin Fars stora makt, får vi nu också leva ett nytt liv.
ROM.6.5	Om vi alltså har blivit fullständigt förenade med Kristus genom att dö tillsammans med honom, ska vi också bli levande igen tillsammans med honom. 
ROM.6.6	Vi vet att vårt gamla jag spikades fast på korset tillsammans med honom, för att synden skulle förlora sin makt över oss. Därför är vi inte längre slavar under synden. 
ROM.6.7	Den som är död kan ju inte lockas att synda. 
ROM.6.8	Men om vi har dött tillsammans med Kristus, ska vi också leva tillsammans med honom. Det är vår tro.
ROM.6.9	Vi vet ju att Kristus har uppstått från de döda och aldrig mer ska dö. Döden har inte längre någon makt över honom. 
ROM.6.10	Han dog för att krossa syndens makt, en gång för alla, och nu lever han för att ära Gud. 
ROM.6.11	Genom er gemenskap med Jesus Kristus är ni därför döda i förhållande till synden och kan leva för att ära Gud. Det är så ni ska se på er själva.
ROM.6.12	Låt alltså inte synden få makt över era dödliga kroppar, så att ni ger efter för kroppens begär. 
ROM.6.13	Se till att ni inte använder era kroppar i det ondas tjänst, genom att synda, utan låt Gud använda era kroppar i det godas tjänst, så att ni ärar honom. Ni har ju gått från död till liv. 
ROM.6.14	Synden ska inte längre styra er, så som den gjorde då ni i egen kraft försökte leva upp till kraven i Moses lag
ROM.6.15	Vad innebär då detta? Är vi fria att synda, eftersom Gud har förlåtit oss och i sin godhet befriat oss från kraven i Moses lag? Nej, naturligtvis inte!
ROM.6.16	Inser ni inte att ni själva kan välja vem som ska ha makt över er? Väljer ni att bli slavar under synden leder det till död, men väljer ni att lyda Gud blir ni skuldfria inför honom. 
ROM.6.17	Men jag tackar Gud för er! Ni som en gång var slavar under synden valde att av hela hjärtat lyda den undervisning om Jesus som ni har fått höra. 
ROM.6.18	Nu är ni fria från synden, och har blivit Guds slavar i tjänst för det goda - 
ROM.6.19	jag använder bilden av slavar, eftersom den är lätt att förstå. Förut lät ni era kroppar vara slavar under omoraliska begär, så att ni gjorde det som stred mot Guds vilja och blev mer och mer olydiga mot honom. Men låt nu istället era kroppar bli Guds slavar, så att ni kan göra det som är gott och leva helt för honom.
ROM.6.20	När ni var slavar under synden struntade ni helt i vad som var rätt och fel. 
ROM.6.21	Och vad blev resultatet? Jo, att ni gjorde sådant som ni nu skäms för, eftersom ni vet att det leder till döden. 
ROM.6.22	Men nu har ni blivit fria från syndens makt och är Guds slavar, och resultatet blir att ni lever helt för Gud och till slut får evigt liv. 
ROM.6.23	Syndens lön är döden, men Guds gåva är evigt liv i gemenskap med Jesus Kristus, vår Herre.
ROM.7.1	Ni vet säkert, kära syskon, att ett samhälles lagar bara styr över en människa så länge hon lever. Ni känner ju själva till våra mänskliga lagar. 
ROM.7.2	Låt mig ta en bild: När en kvinna gifter sig är hon genom lagen bunden till sin man så länge han lever. Men om mannen dör är hon inte längre bunden till honom, utan är fri från lagen som reglerar äktenskap. 
ROM.7.3	Om hon går till en annan medan hennes man lever, är hon otrogen i sitt äktenskap. Men om hennes man dör är hon fri från lagen och kan leva med en annan utan att vara otrogen mot sin första man.
ROM.7.4	På samma sätt är ni, kära syskon, inte längre bundna till Moses lag
ROM.7.5	Så länge vi levde på vanligt mänskligt sätt, frestade lagen oss att bryta mot den, eftersom vi var fyllda av syndiga begär. Och resultatet blev att vi lockades att göra det som är ont och leder till döden. 
ROM.7.6	Men nu är vi fria från lagen, eftersom Gud befriade oss från synden då vi dog med Kristus. Vi är inte längre bundna av lagens makt, utan kan tjäna Gud på ett nytt sätt, inte genom att i egen kraft försöka lyda allt som står i lagen, utan genom att Guds Ande hjälper oss.
ROM.7.7	Vad betyder då detta? Att Moses lag
ROM.7.8	Synden utnyttjade lagen till att locka mig att göra sådant som var förbjudet. Om lagen inte hade funnits, hade synden aldrig vaknat inom mig.
ROM.7.9	Det fanns en tid i mitt liv då jag inte visste vad som stod i Moses lag, men när jag fick höra de olika buden i lagen, vaknade synden genast till liv i mig. 
ROM.7.10	Synden fick mig att göra sådant som ledde till att jag blev dömd att dö. Guds bud som skulle leda till liv för alla, visade sig alltså istället leda till min död. 
ROM.7.11	Synden utnyttjade buden i Moses lag till att lura mig och få mig att förtjäna döden. 
ROM.7.12	Själva lagen kommer alltså från Gud, och buden är heliga, rättvisa och goda.
ROM.7.13	Var det då dessa goda bud som ledde till att jag måste dö? Nej, naturligtvis inte! Det var synden som utnyttjade det goda för att få mig att dö. Genom detta förstår vi hur fruktansvärd synden egentligen är, eftersom den till och med kan utnyttja Guds bud för sina onda syften.
ROM.7.14	Vi vet alltså att Moses lag
ROM.7.15	Mitt eget sätt att handla är en stor gåta för mig: Jag vill göra det som är rätt, men gör det ändå inte. Och jag avskyr att göra det som är fel, men gör det ändå ständigt. 
ROM.7.16	Jag erkänner alltså att lagen är god och att jag egentligen vill följa den, men ändå gör jag fel. 
ROM.7.17	Därför är det med andra ord inte min vilja som styr mig, utan synden som bor i mig!
ROM.7.18	Jag vet att det i mig själv, det vill säga i min syndiga natur, inte finns något gott. Jag vill göra det som är rätt, men jag klarar det inte. 
ROM.7.19	Allt det goda jag bestämt mig för att göra förblir ogjort, och allt det onda jag vill undvika, det gör jag i alla fall. 
ROM.7.20	Så om jag nu ständigt handlar fel, är det alltså inte min egen vilja som styr mig, utan synden som bor i mig.
ROM.7.21	Det tycks finnas en slags ofrånkomlig regel som säger att jag ständigt måste handla fel, trots att jag vill göra det som är rätt. 
ROM.7.22	Av hela mitt hjärta instämmer jag i allt som står i Guds lag, 
ROM.7.23	men en annan lag styr min kropp och mina handlingar. Denna syndens lag som finns inom mig krigar mot mitt eget förnuft och gör mig till sin fånge. 
ROM.7.24	Jag stackars människa! Vem kan rädda mig, så att min kropp och mina handlingar inte leder mig till döden
ROM.7.25	Jag tackar Gud för att det finns ett svar: Jesus Kristus, vår Herre, kan rädda mig. Annars skulle jag ha fortsatt att med mitt förnuft hålla fast vid Guds lag, medan jag i min mänskliga natur var slav under syndens lag.
ROM.8.1	De människor som lever i gemenskap med Jesus Kristus blir alltså inte dömda av Gud till att dö. 
ROM.8.2	Kraften hos Guds Ande, som ger oss liv i gemenskap med Jesus Kristus, har ju gjort oss
ROM.8.3	Den lag Gud gav oss genom Mose
ROM.8.4	Därför kan vi nu, precis som Guds lag kräver, vara skuldfria inför Gud, om vi istället för att styras av vår mänskliga natur låter Guds Ande styra oss.
ROM.8.5	De som styrs av sin mänskliga natur tänker på sådant som tillfredsställer den mänskliga naturen, men de som styrs av Guds Ande tänker på sådant som tillfredsställer Gud. 
ROM.8.6	Om den mänskliga naturen får styra våra tankar, leder det till döden. Men om Guds Ande får styra våra tankar leder det till liv och frid. 
ROM.8.7	Vår mänskliga natur får oss att bli fiender till Gud, för det är omöjligt för den mänskliga naturen att underordna sig Guds lag. 
ROM.8.8	Därför kan de som fortfarande styrs av sin mänskliga natur aldrig tillfredsställa Gud.
ROM.8.9	Men om Guds Ande bor i er, styrs ni inte av er mänskliga natur, utan av Anden. Och den som inte har Anden, som Kristus har gett oss, han tillhör överhuvudtaget inte Kristus. 
ROM.8.10	Om Kristus bor i er genom sin Ande, kommer Anden att ge er evigt liv, eftersom ni har blivit skuldfria inför Gud, men kroppen måste fortfarande dö på grund av synden.
ROM.8.11	Ja, om Guds Ande, som uppväckte Jesus Kristus från de döda, bor i er, ska Gud en dag också göra era dödliga kroppar levande igen, eftersom hans Ande bor i er.
ROM.8.12	Vi har alltså, kära syskon, inga som helst skyldigheter mot vår mänskliga natur, så att vi måste leva som den vill. 
ROM.8.13	Nej, den som lever på det viset kommer att dö. Men om ni med Guds Andes kraft kväver kroppens syndiga impulser får ni leva, 
ROM.8.14	för alla som leds av Guds Ande är Guds barn. 
ROM.8.15	Guds Ande låter er ju inte leva i slaveri under Gud, så att ni än en gång måste vara rädda för honom. Nej, Anden gör er till Guds egna barn, som kan ropa till Gud: "Pappa, min Far."
ROM.8.16	Guds Ande viskar till oss i djupet av vårt hjärta att vi verkligen är hans barn. 
ROM.8.17	Men om vi är Guds barn, ska vi också få ärva allt det goda som finns hos honom. Allt han har gett sin Son, Jesus Kristus, är nu också vårt. Men om vi en dag vill dela härligheten med Kristus, måste vi också dela hans lidanden.
ROM.8.18	Jag anser att de lidanden vi får gå igenom här på jorden inte betyder någonting jämfört med den härlighet som Gud en dag ska ge oss. 
ROM.8.19	Ja, hela skapelsen väntar med spänning på att få se vilken härlighet Guds barn ska få. 
ROM.8.20+ROM.8.21	Allt skapat har ju kommit vid sidan av Guds plan, inte för att de själva ville det, utan därför att Gud dömde skapelsen till att dö. Men han gav oss ett hopp om att skapelsen en dag ska befrias från sitt kretslopp av ständigt nedbrytande. Ja, en dag ska allt skapat få del av den härliga frihet som Guds barn får njuta av.
ROM.8.22	Vi vet att hela skapelsen ropar som en kvinna när hon ska föda barn. 
ROM.8.23	Och till och med vi, som har fått Guds Ande som en försmak av härligheten, ropar i vårt inre. Vi väntar på att Gud för alltid ska göra oss till sina barn och befria våra kroppar helt och hållet.
ROM.8.24	Vi är räddade redan nu, men har samtidigt ett hopp om fullständig frihet. Om vi redan var fullständigt fria behövde vi ju inte se fram emot det, för vem hoppas på något som redan har hänt? 
ROM.8.25	Men genom att vänta på att detta hopp en dag ska uppfyllas, lär vi oss att vara uthålliga.
ROM.8.26	Dessutom hjälper Guds Ande oss i vår svaghet. Vi vet ju inte ens vad vi ska be om, men hans Ande ropar en ordlös bön till Gud från vårt inre. 
ROM.8.27	Och Gud, som känner allas hjärtan, vet vad Anden menar, för när Guds Ande ber för dem som tillhör Gud, ber han alltid så som Gud vill. 
ROM.8.28	Vi vet att Gud kan använda varje händelse till något gott för dem som älskar honom och enligt hans plan får tillhöra honom. 
ROM.8.29	Och det goda Gud vill, är att vi ska bli lika Jesus, hans Son. Gud bestämde nämligen redan från början att de som tackade ja till att få tillhöra honom, skulle bli lika Jesus, så att Sonen skulle bli den förstfödde i en lång rad med syskon. 
ROM.8.30	Och dem som han i förväg hade bestämt skulle bli lika Sonen, dem inbjöd också Gud att få tillhöra honom och lät dem bli skuldfria inför honom. Och de som har blivit skuldfria inför Gud, ska också få dela hans härlighet.
ROM.8.31	Vad drar vi då för slutsats av detta? Jo, att om Gud är på vår sida, spelar det ingen roll vem som är emot oss! 
