GEN.1.1	Alguses lõi Jumal taevad ja maa.
JHN.5.28	Ärge pange seda imeks, sest tuleb tund, mil kõik, kes on haudades, kuulevad Tema häält
JHN.5.29	ning tulevad välja need, kes on teinud head, elu ülestõusmiseks, aga kes on teinud halba, hukkamõistmise ülestõusmiseks.30. Mina ei või Iseenesest ühtki teha. Nagu Ma kuulen, nõnda Ma mõistan kohut ja Minu otsus on õige, sest Mina ei nõua Oma tahtmist, vaid Selle tahtmist, Kes Mind on läkitanud.
JHN.5.31	Kui Mina tunnistan Iseenesest, siis ei ole Mu tunnistus mitte tõsi.
JHN.5.32	On Teine, Kes Minust tunnistab, ja Ma tean, et see tunnistus, mida Ta Minust tunnistab, on tõsi.
JHN.5.33	Teie läkitasite Johannese juure ja tema andis tõele tunnistust.
JHN.5.34	Aga Mina ei võta tunnistust inimeselt, vaid räägin seda, et teie saaksite õndsaks.
JHN.5.35	Tema oli küünal, mis põles ja paistis; aga teie tahtsite natuke aega ilutseda tema valguses.
JHN.5.36	Aga Minul on suurem tunnistus kui Johannese oma, sest teod, mis Isa Minule on annud, et Ma needlõpetaksin, needsamad teod, mida Ma teen, tunnistavad Minust, et Isa Mind on läkitanud.
JHN.5.37	Ja Isa, Kes Mind on läkitanud, see on tunnistanud Minust. Teie ei ole iialgi kuulnud Tema häält ega ole näinud Tema nägu,
JHN.5.38	ega ole teil Tema sõna püsivana teie sees, sest te ei usu Teda, Kelle Tema on läkitanud.
JHN.5.39	Te uurite Pühi Kirju, sest te arvate enestel neis olevat igavese elu, ja need on, mis tunnistavad Minust,
JHN.5.40	ja te ei taha tulla Minu juure, et te saaksite elu.
JHN.5.41	Mina ei võta vastu austust inimestelt,42. aga Mina tunnen teid, et teil ei ole Jumala armastust iseenestes.
JHN.5.43	Mina olen tulnud Oma Isa nimel, ja te ei võta Mind vastu, kui teine tuleb iseenese nimel, tema te võtate vastu.
JHN.5.44	Kuidas te võite uskuda, kui te võtate austust vastu üksteiselt ega otsi seda austust, mis tuleb Ūksnes Jumalalt?
JHN.5.45	Ärge mõtelge, et Mina kaebaksin teie peale Isa ees, on olemas, kes teie peale kaebab - Mooses, kelle peale te loodate.
JHN.5.46	Sest kui te usuksite Moosest, usuksite te ka Mind; sest tema on kirjutanud Minust.
JHN.5.47	Aga kui te tema kirju ei usu, kuidas te siis usuksite Minu sõnu?”
JHN.6.1	Pärast seda läks Jeesus Tibeeria poolt Galilea mere teisele poole.
JHN.6.2	ja palju rahvast järgis Teda, sest nad nägid Tema imetähti, mida Ta tegi haigete juures.
JHN.6.3	Aga Jeesus läks üles mäele ja istus sinna Oma jüngritega.
JHN.6.4	Ja paasa, juutide püha, oli ligi.
JHN.6.5	Kui nüüd Jeesus Oma silmad üle tõstis ja nägi palju rahvast enese juure tulevat, ütles Ta Filippusele: „Kust me ostame leiba, et need saaksid süüa?”
JHN.6.6	Ent seda Ta ütles teda kiusates, sest Ta teadis küll, mida Ta tahtis teha.
JHN.6.7	Filippus vastas Talle: „Leibu kahesaja teenari eest ei jätku neile, et igaüks natukesegi võtaks!”
JHN.6.8	Ūks Tema jüngritest, Andreas, Siimon Peetruse vend, ütleb Talle:
JHN.6.10	Jeesus ütles: „Asetage inimesed maha istuma!” Ja seal paigas oli palju rohtu. Siis asetusid maha arvult umbes viis tuhat meest!
JHN.6.11	Jeesus võttis nüüd leivad, tänas ja, andis neile, kes maas istusid, samuti kai neist kalukesist, niipalju kui nad tahtsid.
JHN.6.12	Aga kui nende kõhud olid täis saanud, ütles Ta oma jüngritele: „Koguge ülejäänud palukesed kokku, et midagi ei läheks raisku!”
JHN.6.13	Siis nad kogusid kokku kaksteistkümmend korvitäit palukesi, mis oli üle jäänud viiest odraleivas nendelt, kes olid söönud.
JHN.6.14	Kui nüüd rahvas nägi tunnustähte, mille Jeesus oli teinud, ütlesid nad: „See on tõesti Prohvet, kes maailma pidi tulema!”
JHN.6.15	Siis Jeesus sai aru, et nad tahavad tulla ja Teda vägisi võtta ning teha kuningaks. Ja Ta läks jälle kõrvale mäe ainuüksi.16. Aga kui õhtu tuli, läksid Tema jüngrid mereranda
JHN.6.17	ja astusid paati ja tulid teisele poole merd Kapernauma. Aga pimedus oli juba käes ja Jeesus ei olnud veel tulnud nende juure.
JHN.6.18	Ja meri hakkas lainetama, sest suur tuul puhus.
JHN.6.19	Kui nad nüüd olid sõudnud umbes kakskümmend viis või kolmkümmend vagu maad, nägid nad Jeesust merel kõndivat ja paadi lähedale jõudvat, ja nad lõid kartma.
JHN.6.20	Aga Tema ütles neile: „Mina olen see, ärge kartke!”
JHN.6.21	Nüüd nad tahtsid Teda paati võtta, ja varsti sai paat sinna randa, kuhu nad sõitsid.
JHN.6.22	Järgmisel päeval nägi rahvas, kes viibis mere teisel rannal, et teist lootsikut ei olnud seal, vaid oli ainult üks, ja et Jeesus ei olnud astunud ühes Oma jüngritega paati, vaid et ainult Tema jüngrid olid ära läinud.
JHN.6.23	Oli aga tulnud veel lootsikuid Tibeeriast selle paiga lähedale, kus nad olid leiba söönud, kui Issand oli Jumalat tänanud.
JHN.6.24	Kui nüüd rahvas nägi, et seal ei olnud Jeesust ega Tema jüngreid, läksid nad lootsikusse ja tulid Kapernauma ning otsisid Jeesust.
JHN.6.25	Ja kui nad Ta leidsid mere teiselt rannalt, ütlesid nad Talle: „Rabi, millal Sa siia said?”26. Jeesus vastas neile ning ütles: „Tõesti, tõesti Ma ütlen teile, et te ei otsi Mind, sellepärast et te nägite tunnustähti, vaid et te sõite leiba ja teie kõhud said täis!
JHN.6.27	Ärge hankige rooga, mis hävib, vaid rooga, mis jääb igaveseks eluks, mida Inimese Poeg tahab teile anda, sest Teda on Jumal Isa pitseriga kinnitanud!”
JHN.6.28	Siis ütlesid nad Temale: „Mis me peame tegema, et võiksime teha Jumala tegusid?”
JHN.6.29	Jeesus vastas ning ütles neile: „See on Jumala tegu, et te usute Temasse, Kelle Ta on läkitanud!”
JHN.6.30	Siis nad ütlesid Temale: „Mis tunnustähe sa Siis teed, et me näeksime ja usuksime Sind? Mis Sa teed?
JHN.6.31	Meie esiisad sõid kõrves mannat, nagu on kirjutatud: Ta andis neile süüa leiba taevast!”
JHN.6.32	Siis Jeesus ütles neile: „Tõesti, tõesti Ma ütlen teile! Mooses ei annud teile leiba taevast, aga Minu Isa annab teile tõelise leiva taevast!
JHN.6.33	Sest Jumala leib on see, kes tuleb taevast alla ja annab maailmale elu!”
JHN.6.34	Siis nad ütlesid Talle: „Issand, anna meile ikka seda leiba!”
JHN.6.36	Aga Mina olen teile ütelnud, et te olete Mind näinud ega usu mitte!
JHN.6.37	Kõik, mis Isa Minule annab, tuleb Minu juure, ja kes Minu juure tuleb, seda Ma ei lükka välja.
JHN.6.38	Sest Ma olen taevast alla tulnud mitte Oma tahtmist tegema, vaid Selle tahtmist, Kes Mind on läkitänud.
JHN.6.39	Aga see on Selle tahtmine, Kes Mind on läkitanud, et Ma ühtki ei kaota sellest kõigest, mis Ta Minule on annud, vaid et Ma selle üles äratan viimsel päeval.
JHN.6.40	Sest see on Mu Isa tahtmine, et igaühel, kes Poega näeb ja Temasse usub, on igavene elu, ja Ma äratan tema üles viimsel päeval!”41. Siis nurisesid juudid Tema üle, et Ta oli ütelnud: „Mina olen leib, mis taevast on alla tulnud!”
JHN.6.42	Ja nad ütlesid: „Eks see ole Jeesus, Joosepi poeg, Kelle isa ja Ema me tunneme? Kuidas Ta siis ütleb: Ma olen tulnud taevast?”
JHN.6.43	Jeesus vastas ning ütles neile: „Ärge nurisege isekeskis!
JHN.6.44	Ūkski ei või tulla Minu juure, kui teda ei tõmba Isa, kes Mind on läkitanud; ja Mina äratan tema üles viimsel päeval.
JHN.6.45	Prohvetite raamatuis on kirjutatud: Nad kõik peavad olema Jumala poolt õpetatud! Igaüks, kes on Isalt kuulnud ja on õppinud, tuleb Minu juure.
JHN.6.46	Mitte, et keegi teine oleks näinud Isa kui See, Kes on Jumala juurest; See on näinud Isa.
JHN.6.47	Tõesti, tõesti Ma ütlen teile: Kes usub, sellel on igavene elu!
JHN.6.48	Mina olen Eluleib.
JHN.6.49	Teie esiisad sõid kõrves mannat ja surid.
JHN.6.50	See on leib, mis taevast alla tuleb, et inimene seda sööks ega sureks.
JHN.6.51	Mina olen elav leib, mis taevast on alla tulnud. Kui keegi sööb seda leiba, siis ta elab igavesti; ja leib, mille Mina annan, on Minu Liha, mille annan maailma elu eest !„
JHN.6.52	Siis riidlesid juudid isekeskis, üteldes: „Kuidas see võib meile anda Oma Liha süüa?”
JHN.6.53	Siis Jeesus ütles neile: „Tõesti, tõesti Ma ütlen teile, et kui te ei söö Inimese Poja Liha ega joo Tema Verd, siis ei ole elu teis enestes!
JHN.6.54	Kes sööb Minu Liha ja joob Minu Verd, sel on igavene elu; ja Mina äratan tema üles viimsel päeval.
JHN.6.55	Sest Mu Liha on tõeline roog ja Mu Veri on tõeline jook.
JHN.6.56	Kes sööb Minu Liha ja joob Minu Verd, jääb Minusse ja Mina temasse.
JHN.6.57	Nagu elav Isa Mind on läkitanud ja Mina elan Isa läbi, nõnda ka see, kes Mind sööb, elab Minu läbi.
JHN.6.58	See on leib, mis taevast on alla tulnud; see ei ole niisugune, mida sõid teie vanemad ja surid. Kes seda leiba sööb, elab igavesti!”
JHN.6.59	Seda Ta ütles kogudusekojas, õpetades Kapernaumas.
JHN.6.60	Siis paljud Tema jüngrid, kui nad seda kuulsid, ütlesid: „See kõne on kõva, kes võib seda kuulda?”
JHN.6.61	Aga et Jeesus Iseenesest teadis, et Tema jüngrid selle üle nurisesid, ütles Ta neile: „Kas see teid pahandab?
JHN.6.62	Aga mis on siis, kui te näete Inimese Poja üles minevat sinna, kus Ta enne oli?
JHN.6.63	Vaim on, kes teeb elavaks; lihast ei ole kasu millekski; sõnad, mis mina teile olen rääkinud, on vaim ja on elu.
JHN.6.64	Aga teie seas on mõned, kes ei usu!” Sest Jeesus teadis algusest peale, kes need olid, kes ei uskunud, ja kes see on, kes Tema ära annab.
JHN.6.65	Ja Ta ütles: „Sellepärast Ma olen teile ütelnud, et ükski ei või tulla Minu juure, kui temale seda ei ole annud Minu Isa!”
JHN.6.66	Sellest ajast läksid paljud Tema jüngrid ära Ta järelt ega kõndinud enam Temaga.
JHN.6.67	Siis Jeesus ütles neile kaheteistkümnele: „Kas ka teie tahate ära minna?”
JHN.6.68	Siimon Peetrus vastas Temale: „Issand, kelle juure me läheme? Sinul on igavese elu sõnad,
JHN.6.69	ja me oleme uskunud ja tunnud, et Sina oled Jumala Püha!”
JHN.6.70	Jeesus kostis neile: „Eks ole Mina teid kaksteistkümmend ära valinud, ja üks teie seast on kurat?”
JHN.6.71	Aga Ta rääkis Juudast, Iskarioti Siimona pojast, sest see pidi Tema ära andma ja oli üks neist kaheteistkümnest.
JHN.7.1	Ja pärast seda käis Jeesus mööda Galileamaad, sest Ta ei tahtnud käia Juudamaal, kuna juudid püüdsid Teda tappa.
JHN.7.2	Aga juutide lehtmajade püha oli ligi.
JHN.7.3	Siis ütlesid ta vennad Temale „Mine siit ära Judeasse, et ka Su jüngrid näeksid Su tegusid, mida Sa teed;
JHN.7.4	sest ükski ei tee midagi salajas, kui ta tahab olla avalikkuses. Kui Sa niisuguseid asju teed, siis ilmuta Ennast maailmale!”
JHN.7.5	Sest Ta vennadki ei uskunud Temasse.
JHN.7.6	Siis ütles Jeesus neile: „Minu aeg ei ole veel tulnud, aga teie aeg on alati soodus.
JHN.7.7	Maailm ei või teid vihata, aga Mind ta vihkab, sest Mina tunnistan temast, et Tema teod on kurjad.
JHN.7.8	Minge teie üles pühiks; Mina veel ei lähe üles neiks pühiks, sest Minu aeg ei ole veel täis saanud.”
JHN.7.9	Kui Ta neile seda oli ütelnud, jäi Ta Galileasse.
JHN.7.10	Ent kui Ta vennad olid üles läinud pühiks, läks Temagi üles, mitte avalikult, vaid otsegu
JHN.7.11	Siis otsisid juudid Teda pühil ja ütlesid: „Kus Ta on?”
JHN.7.12	Ja nurisemine Tema pärast oli suur hulkade seas. Mõned ütlesid: „Tema on hea!” Teised ütlesid: „Ei, vaid Ta eksitab rahvast!”
JHN.7.13	Kuid ükski ei rääkinud Temast julgesti hirmu pärast juutide ees.
JHN.7.14	Aga kui pühad juba olid poole peale jõudnud, läks Jeesus üles pühakotta ja õpetas.
JHN.7.15	Siis juudid panid seda imeks ning ütlesid: „Kuidas see Kirja tunneb ilma õppimata?”
JHN.7.16	Jeesus aga vastas neile ning ütles: „Minu õpetus ei ole Minu oma, vaid Selle, Kes Mind on läkitanud.
JHN.7.17	Kui keegi tahab teha Tema tahtmist, see tunneb, kas see õpetus on Jumalast või kas Mina räägin Iseenesest.
JHN.7.18	Kes iseenesest räägib, see otsib iseenese austust; aga Kes otsib selle austust, Kes Teda on läkitanud, See on tõeline ja Temas ei ole ülekohut.
JHN.7.19	Eks Mooses ole teile annud käsuõpetuse, ja ükski teie seast ei tee käsuõpetuse järele. Miks te püüate Mind tappa?”
JHN.7.20	Rahvas vastas: „Sul on kuri vaim; kes püüab Sind tappa?”
JHN.7.21	Jeesus kostis ning ütles neile: „Ūhe teo Ma tegin ja te kõik imestate.
JHN.7.22	Sellepärast on Mooses teile annud ümberlõikamise - mitte nii, et see on Moosesest, vaid esiisadest - ja te lõikate inimese ümber ka hingamispäeval.
JHN.7.23	Kui inimene lõigatakse ümber hingamispäeval, et Moosese käsuõpetust ei rikutaks, miks te siis olete pahased Minule, et Ma olen kogu inimese terveks teinud hingamispäeval?
JHN.7.24	Ärge mõistke kohut silmnäo järele, vaid mõistke õiget kohut!”
JHN.7.25	Siis ütlesid mõned Jeruusalema elanikest: „Eks See ole See, Keda nad püüavad tappa?
JHN.7.26	Ja ennäe, Tema räägib vabalt ja nad ei ütle Talle midagi. Kas on ehk meie ülemad tõesti ära tunnud, et Tema on Kristus?
JHN.7.27	Ometi me teame, kust Ta on. Aga kui Kristus tuleb, siis ei tea ükski, kust Ta on!”
JHN.7.28	Siis Jeesus hüüdis pühakojas õpetades ning ütles: „Küll te tunnete Mind ja teate, kust Ma olen, ja Ma ei ole tulnud iseenesest; aga tõeline on See, Kes Mind on läkitanud, Keda te ei tunne.
JHN.7.29	Mina tunnen Teda, sest Ma olen Temast, ja Tema on Mind läkitanud!”
JHN.7.30	Siis nad püüdsid Teda kinni võtta, aga ükski ei pistnud kätt Tema külge, sest Tema tund ei olnud veel tulnud.
JHN.7.31	Aga paljud rahva seast uskusid Temasse ja ütlesid: „Kui Kristus tuleb, kas Ta peaks tegema veel rohkem tunnustähti kui See on teinud?”
JHN.7.32	Variserid kuulsid rahvast isekeskis seda Temast sosistavat. Ja variserid ja ülempreestrid läkitasid sulaseid Teda kinni võtma.
JHN.7.33	Siis ütles Jeesus neile: „Ma olen veel üürikese aja teie juures ja siis Ma lähen Selle juure, Kes Mind on läkitanud.
JHN.7.34	Siis te otsite Mind, aga ei leia, ja kus Ma olen, sinna Te ei või tulla!”
JHN.7.35	Siis ütlesid juudid isekeskis: „Kuhu Ta tahab minna, et me Teda ei peaks leidma? Mõtleb Ta minna hajuvil asuvate kreeklaste juure ja õpetada kreeklasi?
JHN.7.36	Mis sõna see on, mis Ta ütles: Te otsite Mind, aga ei leia, ja kus Ma olen, sinna te ei või tulla?”
JHN.7.37	Aga pühade viimsel, suurel päeval seisis Jeesus ja kõneles valju häälega ning ütles: „Kui kellelgi on janu, see tulgu Minu juure ja joogu!
JHN.7.38	Kes usub Minusse, nagu Kiri ütleb, selle ihust peavad voolama elava vee jõed!”
JHN.7.39	Aga seda Ta ütles Vaimust, Kelle pidid saama need, kes Temasse usuvad; sest veel ei olnud Vaimu, ei olnud ju Jeesust veel mitte austatud.
JHN.7.40	Siis ütlesid paljud rahva seast, kes seda kõnet kuulsid: „Tema on tõesti see prohvet!”
JHN.7.42	Eks Kiri ütle, et Kristus tuleb Taaveti soost ja Petlemast, alevist, kust oli Taavet?”
JHN.7.43	Siis tekkis lahkmeel rahva sekka Tema pärast.
JHN.7.44	Aga mõned neist tahtsid Teda kinni võtta, kuid ükski ei pistnud kätt Tema külge.
JHN.7.45	Nii tulid sulased ülempreestrite ja variseride juure tagasi. Ja need küsisid neilt: „Mispärast te ei ole Teda toonud?”
JHN.7.46	Sulased kostsid: „Ūkski inimene ei ole iialgi nõnda rääkinud nagu See Inimene!”
JHN.7.47	Siis vastasid variserid neile: „Kas teiegi olete eksitatud?
JHN.7.48	Kas ükski ülemaist või variseridest on uskunud Temasse?
JHN.7.49	Aga see rahvahulk, kes ei tunne käsuõpetust, on neetud!”
JHN.7.50	Nikodeemus, kes enne oli Tema juure tulnud ja oli üks nende seast, ütleb neile:
JHN.7.51	„Kas meie seadus inimese hukka mõistab, enne kui ta tema üle kuulab ja teada saab, mis ta on teinud?”
JHN.7.52	Nad vastasid ning ütlesid temale: „Oled ka sina Galileast? Uuri ja vaata, ei Galileast ei tõuse prohvetit!”
JHN.7.53	Ja igaüks läks koju.
JHN.8.1	Aga Jeesus läks õlimäele.
JHN.8.2	Vara hommikul Ta tuli jälle pühakoita ja kõik rahvas tuli Tema juure; ja Ta istus maha ja õpetas neid.
JHN.8.3	Seal kirjatundjad ja variserid tõid Tema juure naise, kes oli tabatud abielurikkumiselt. Ja nad panid ta keskpaika seisma
JHN.8.4	ning ütlesid Temale: „Õpetaja, see naine tabati abielurikkumiselt!
JHN.8.5	Aga Mooses on käsuõpetuses käskinud meid niisugused kividega surnuks visata. Mis siis Sina ütled?”
JHN.8.6	Seda nad ütlesid Teda kiusates, et neil oleks kaebamist tema peale. - Jeesus kummardas ja kirjutas sõrmega maa peale.
JHN.8.7	Kui nad siis küsides käisid Temale peale, ajas Ta enese sirgu ning ütles neile: „Kes teie seast on patuta, see olgu esimene tema peale kivi viskama!”
JHN.8.8	Ja Ta kummardas jälle ning kirjutas maa peale.
JHN.8.9	Kui nad seda kuulsid ja südametunnistus neid süüdistas, läksid nad välja üksteise järele, vanemad eesotsas. Ja Jeesus jäi sinna üksi ja naine, nagu ta seal seisis.
JHN.8.10	Ent Jeesus ajas Enese sirgu ega näinud kedagi näinud kui naist; ja Ta ütles naisele: „Naine, kus on need sinu süüdistaiad? Ega keegi ole sind hukka mõistnud?”
JHN.8.11	Naine vastas: „Mitte keegi, Issand!” Jeesus ütles: „Ega Minagi sind hukka mõista; mine ja ära tee enam pattu!”
JHN.8.12	Siis rääkis Jeesus jälle neile ning ütles: „Mina olen maailma valgus. Kes Mind järgib, see ei käi pimeduses, vaid temal on elu valgus!”
JHN.8.13	Siis variserid ütlesid Talle: „Sina tunnistad Iseenesest, Sinu tunnistus ei ole tõsi!”
JHN.8.14	Jeesus vastas ning ütles neile: „Ehk Mina küll Iseenesest tunnistan, on Mu tunnistus siiski tõsi, sest Ma tean, kust Ma olen tulnud ja kuhu Ma lähen. Aga teie ei tea, kust Ma tulen ja kuhu Ma lähen.
JHN.8.15	Teie mõistate kohut liha järele, Mina ei mõista kohut kellegi üle!
JHN.8.16	Aga kui Mina ka kohut mõistan, siis on Minu otsus tõsi, sest Mina ei ole üksi, vaid Minuga on see, Kes Mind on läkitanud.
JHN.8.17	Ja teie käsuõpetuseski on kirjutatud, et kahe inimese tunnistus on tõsi.
JHN.8.18	Mina annan Enesest Ise tunnistust, ja ka Isa, Kes Mind on läkitanud, tunnistab Minust!”
JHN.8.19	Siis nad ütlesid Temale: „Kus on Sinu Isa?” Jeesus vastas: „Teie ei tunne Mind ega Mu Isa. Kui te Mind tunneksite, siis Te tunneksite ka Mu Isa!”
JHN.8.20	Need sõnad rääkis Jeesus ohvriraha kirstu juures, kui Ta pühakojas õpetas. Ja ükski ei võtnud Teda kinni, sest Tema tund ei olnud veel tulnud.
JHN.8.21	Siis ütles Jeesus taas neile: „Mina lähen ära ja te otsite Mind, ja te surete oma pattudesse. Kuhu Mina lähen, sinna teie ei või tulla!”
JHN.8.22	Siis ütlesid juudid: „Kas Ta õige tahab ennast tappa, et Ta ütleb: Kuhu mina lähen, sinna teie ei või tulla?”
JHN.8.23	Ja Ta ütles neile: „Teie olete alt, Mina olen ülalt, teie olete sellest maailmast, Mina ei ole sellest maailmast.
JHN.8.24	Sellepärast Ma ütlesin teile, et te surete oma pattudesse; sest kui te ei usu, et Mina see olen, siis te surete oma pattudesse!”
JHN.8.25	Nemad aga ütlesid Temale: „Kes Sa siis oled?„ Jeesus vastas neile: „Kõigepealt See, mida Mina teile ütlengi.
JHN.8.26	Mul on teist palju ütelda ja teie kohta otsustada; aga See, Kes Mind on läkitanud, on tõeline, ja mis Ma Temalt olen kuulnud, seda Ma räägin maailmale!”
JHN.8.27	Nad ei saanud aru, et Ta rääkis neile Isast.
JHN.8.28	Siis ütles Jeesus: „Kui te Inimese Poja olete ülendanud, siis te mõistate, et Mina see olen ja et Ma ei tee midagi Iseenesest, vaid räägin seda selle järele, kuidas Mu Isa Mind on õpetanud.
JHN.8.29	Ja See, kes Mind on läkitanud, on Minuga; Ta ei ole Mind üksi jätnud, sest Ma teen ikka, mis on Tema meelt mööda!”
JHN.8.30	Kui Ta seda rääkis, uskusid paljud Temasse.
JHN.8.32	ja tunnetate tõe, ja tõde teeb teid vabaks!”
JHN.8.33	Nemad kostsid Temale: „Meie oleme Aabrahami sugu ega ole veel iialgi kedagi orjanud; kuidas Sa siis ütled: Te saate vabaks?”
JHN.8.34	Jeesus kostis neile: „Tõesti, tõesti Ma ütlen teile, et igaüks, kes teeb pattu, on patu ori!
JHN.8.35	Ent ori ei jää majasse igavesti, poeg jääb igavesti.
JHN.8.36	Kui nüüd Poeg teid vabaks teeb, siis te olete õieti vabad!
JHN.8.37	Ma tean, et te olete Aabrahami sugu; aga te püüate Mind tappa, sest Mu sõna ei mahu teisse.
JHN.8.38	Mina räägin, mida olen näinud Oma Isalt, ja teie teete, mida olete kuulnud oma isalt!”
JHN.8.39	Nad vastasid ning ütlesid Temale: „Meie isa on Aabraham!” Jeesus ütles neile: „Kui te oleksite Aabrahami lapsed, siis te teeksite ka Aabrahami tegusid.
JHN.8.40	Aga nüüd te püüate tappa Mind, Inimest, Kes olen rääkinud teile tõtt, mida Ma olen kuulnud Jumalalt. Seda ei ole Aabraham teinud.
JHN.8.42	Jeesus ütles neile: „Oleks Jumal teie isa, siis te armastaksite Mind, sest Mina olen lähtunud Jumalast ja tulen Temast, sest Ma ei ole ju tulnud Iseenesest, vaid Tema on Mind läkitanud.
JHN.8.43	Mispärast te ei mõista Minu kõnet? Sellepärast et te ei või kuulda Minu sõna.
JHN.8.44	Teie olete oma isast kuradist ja oma isa himude järele te tahate teha! Tema on inimese tapja olnud algusest peale ega ole jäänud püsima tõesse, sest tõde ei ole tema sees. Kui ta räägib valet, siis ta räägib omast, sest ta on valetaja ja vale isa!
JHN.8.45	Aga et Mina tõtt räägin, siis te ei usu Mind!
JHN.8.46	Kes teie seast võib Mind patus süüdistada? Kui Mina tõtt räägin, miks te siis ei usu Mind?
JHN.8.47	Kes Jumalast on, see kuuleb Jumala sõnu. Teie ei kuule selle pärast, et teie ei ole Jumalasi!”
JHN.8.48	Siis kostsid juudid ning ütlesid Talle: „Eks me ütle õigesti, et Sina oled samaarlane ja et Sul on kuri vaim?”
JHN.8.49	Jeesus vastas: „Mul ei ole kurja vaimu, aga Ma austan Oma Isa ja teie teotate Mind.
JHN.8.50	Mina aga ei otsi Oma au; Ūks on, Kes seda otsib ja kohut mõistab!
JHN.8.52	Juudid ütlesid Temale: „Nüüd me oleme ära tunnud, et Sul on kuri vaim! Aabraham on surnud ja prohvetid, ja Sina ütled: Kui keegi Minu sõna peab, siis ta ei maitse surma igavesti!
JHN.8.53	Kas Sina oled suurem kui meie isa Aabraham, kes on surnud? Ja prohvetid on surnud. Kelleks Sina ennast pead?”
JHN.8.54	Jeesus vastas: „Kui Mina Iseenesele annan austust, siis ei ole Mu austus midagi; Minu Isa on, Kes Mulle annab austuse, Keda te ütlete oma Jumala olevat.
JHN.8.55	Ja teie ei ole Teda tunnud, aga Mina tunnen Teda. Ja kui Ma ütleksin, et Ma Teda ei tunne, siis Ma oleksin teie sarnane valelik; aga Ma tunnen Teda ja pean Tema sõna.
JHN.8.56	Aabraham, teie isa, hakkas rõõmutsema, et tema saab näha Minu päeva. Ja Ta nägi seda ja oli rõõmus!”
JHN.8.57	Siis ütlesid juudid Temale: „Sa ei ole veel viiskümmend aastat vana ja oled näinud Aabrahami?”
JHN.8.58	Jeesus ütles neile: „Tõesti, tõesti Ma ütlen teile, et enne kui Aabraham sündis, olin Mina!”
JHN.8.59	Siis nad haarasid kive, ei Tema peale visata. Aga Jeesus peitis enese ära ja väljus pühakojast.
JHN.9.1	Ja mööda minnes Ta nägi inimest, kes sündimisest saadik oli olnud pime.
JHN.9.2	Ja Tema jüngrid küsisid Temalt: „Rabi, kes on pattu teinud, kas tema või ta vanemad, et ta on sündinud pimedana?”
JHN.9.3	Jeesus vastas: „Ei ole tema pattu teinud ega ta vanemad, vaid et Jumala teod saaksid temas avalikuks.
JHN.9.4	Meie peame tegema Selle tegusid, Kes Mind on läkitanud, niikaua kui päeva on; öö tuleb, mil ükski ei või midagi teha!
JHN.9.5	Niikaua kui Ma olen maailmas, olen Ma maailma valgus!”
JHN.9.6	Kui Ta seda oli ütelnud, sülitas Ta maha ja tegi süljest muda ning võidis selle mudaga tema silmad.
JHN.9.7	ja ütles talle: „Mine pese silmi Siiloa tiigis!” - Siiloa tähendab „Läkitatu”. - Siis ta läks sinna ja pesi, ja tuli nägijana tagasi.
JHN.9.8	Aga naabrid ja kes teda varemini olid näinud kerjuse olevat, ütlesid: „Eks see ole sama, kes istus ja kerjas?”
JHN.9.9	Ūhed ütlesid: „See on sama!” Aga teised: „Ei ole, vaid ta on tema sarnane!” Tema ise ütles: „Mina olen see!”
JHN.9.10	Siis nad küsisid temalt: „Kuidas siis sinu silmad avati?”
JHN.9.11	Tema vastas: „Inimene, Keda kutsutakse Jeesuseks, tegi muda ja võidis sellega mu silmi ja ütles mulle: Mine Siiloa tiigi ääre ja pese silmi! Aga kui ma sinna läksin ja pesin, sain ma nägijaks!”
JHN.9.12	Siis ütlesid nad temale: „Kus Ta on?” Tema ütles: „Ei mina tea!”
JHN.9.13	Siis nad viisid tema, kes enne oli pime olnud, variseride juure.
JHN.9.14	Aga see oli hingamispäev, kui Jeesus tegi muda ja avas ta silmad.
JHN.9.15	Siis küsisid variseridki taas temalt, kuidas ta oli nägijaks saanud. Aga tema ütles neile: „Ta pani muda mu silmadele ja, ma pesin näo ning sain nägijaks!”
JHN.9.16	Siis ütlesid mõned variseridest: „See inimene ei ole Jumalast, sest ta ei pea hingamispäeva!” Teised ütlesid: „Kuidas võib patune inimene teha niisuguseid tunnustähti?” Ja nende seas oli lahkmeel.
JHN.9.17	Nüüd nad ütlesid taas pimedale: „Sina, mis sina ütled Temast, et Ta su silmad avas?” Tema ütles: „Ta on prohvet!”
JHN.9.18	Aga juudid ei uskunud, et ta oli olnud pime ja oli saanud nägijaks, kuni nad kutsusid nägijaks-saanu vanemad
JHN.9.19	ja küsisid neilt ning ütlesid: „Kas see on teie poeg, kelle te ütlete pimedana sündinud olevat? Kuidas ta siis nüüd näeb?”
JHN.9.20	Ta vanemad kostsid neile ning ütlesid: „Me teame, et see on meie poeg ja et ta sündis pimedana.
JHN.9.21	Aga kuidas ta nüüd näeb, seda me ei tea; või kes ta silmad avas, seda me ei tea. Ta on küllalt vana, küsige temalt eneselt, küllap ta ise kostab enese eest!”
JHN.9.22	Seda ütlesid ta vanemad, sest nad kartsid juute; sest juudid olid juba isekeskis võtnud nõuks, et kui keegi peaks Teda tunnistama Kristuseks, siis see lükatakse kogudusest välja.
