MAT.1.1	Yesu Krisita doho nala rɛ nyɛ. Ʋ naabaa rɛ gyɩ yaa Deviti, Deviti mɛ naabaa yaa Abɩraham.
ACT.13.6	Nyɛ rɛ ba gɔllɩ Saapʋrɔsɩ paalʋʋ buloŋ, a mʋ pele tɔɔ kɩdɩgɩ ba aa yɩrɩ Paafɔsɩ. Doŋ tɩyaŋ nɛ ba gyɩ na daaluliye tɩɩna kɩdɩgɩ ba aa yɩrɩ Baa-Yesu. (Ʋ feŋ hʋ memii rɛ yaa Gyoosʋwa biibaal). Ʋ fa yaa Gyuu rɛ, a gyɩ kɩ mʋrɩ nala anɩɩ ʋ yaa Wɩɩsɩ tɩŋdaal lɛ. 
ACT.13.7	Roma nɩhɩyawʋ hʋ fa aa deŋ doŋ paalʋʋ ba kɩ yɩrɩ Sɛɛgyiyo Pawulo dɩya tɩyaŋ nɛ ʋ fa we. Sɛɛgyiyo Pawulo fa kaŋ wɩgyʋŋ nɛ weliŋ. Nyɛ rɛ ʋ yɩrɩ Banabaasɩ bee Sɔɔl dɩ ba ko ʋ dɩya. Beewɩya ʋ fa aa kyɛ dɩ ba ko basɩ Wɩɩsɩ wɩya tɩya ʋ rɛ. 
ACT.13.8	Ɛɛ rɛ Ɛlimasɩ, daaluliye hʋ tɩɩna, sii kpa nyʋʋtaaduwo gyʋʋ Sɔɔl ma wɩbasɩɩ hʋ tɩyaŋ, a kɩ lʋga dɩ ʋ mʋrɩ Sɛɛgyiyo Pawulo dɩ ʋ ta laa Yesu wɩya di. (Giriki taal tɩyaŋ nɛ ba fa kaŋ Baa-Yesu kɩ yɩrɩ Ɛlimasɩ). 
ACT.13.9	Ɛɛ rɛ Wɩɩsɩ Wiyesi Welii hʋ ko gyʋʋ Sɔɔl tɩyaŋ. (Sɔɔl feŋdɩgɩ mɛ rɛ fa bɩl yaa Pɔɔl). Ɛɛ rɛ ʋ gɩyɛnɩ daaluliye hʋ tɩɩna, 
ACT.13.10	aŋ basɩ tɩya ʋ a baa, “Ɛɛ dɔŋ Sɩtaanɩ biye, Ɩ kɛ bɩ sɩŋ pɔ dɩ wɩwelii buloŋ yaa. Ɩ yaa gyambatɩɩna rɛ, a yaa nɩbɔmɔ buloŋ kuwori. Ɩ lʋgɩ buloŋ nɛ yaa dɩ ɩ kaŋ Wɩɩsɩ wɩtɩɩ hʋ bɩrɩmɩ kyige dɩ ʋ bɩrɩmɩ wɩnyɩyɛl. 
ACT.13.11	Yaŋ kɩ gyɩma, Wɩɩsɩ sɩ ko ɩ tɩyaŋ, dɩ ɩ nyʋlɩmɩ, a maga magɩɩ kɩdɩgɩ aŋ na na pʋlʋŋ.” Pɔɔl aa basɩ nyɛ teŋ, Ɛlimasɩ pirige baa dɩ ʋ deŋ, dɩ bilhuu kɩdɩgɩ ko tɔ ʋ sɩya, ʋ nyʋlɩmɩ. Ʋ teŋ sii gɔllɩ lannɩ kɩ kyɛ nal dɩ ʋ kaŋ ʋ noŋ tɩyaŋ. 
ACT.13.12	Roma nɩhɩyawʋ hʋ aa naa wɩɩ hʋ aa yaa, ʋ sɩŋ doŋ laa Yesu wɩya di. Beewɩya, á Tɩɩna Yesu Krisita wɩya hʋ buloŋ ba aa basa fa yaa ʋ nyʋʋfɩyɛlɩ lɛ.
ACT.13.13	Nyɛ rɛ Pɔɔl bee ʋ hatɩnna hʋ sii gyʋʋ nɩɩduworiboribal, a lɩɩ Paafɔsɩ tɩyaŋ, a kpa mʋ tɔɔ kɩdɩgɩ ba aa yɩrɩ Pɛɛga, a we Pamfilɩya paalʋʋ tɩyaŋ. Doŋ nɛ Gyɔɔŋ Maakɩ kɛ ta ba, aŋ mɩɩgɩ mʋ Gyerusalɛm. 
ACT.13.14	Ba mɛ sii doŋ, a kpa mʋ Aŋtiyɔki aa we Pisidɩya paalʋʋ tɩyaŋ. Kyɛwiyesii hʋ kyɛɛ ko baŋ pele, ba sii mʋ Gyuuma wɩɩkyʋwaldɩya. 
ACT.13.15	Ɛɛ rɛ nal kɩdɩgɩ sii karɩmɩ Wɩɩsɩ Teŋ, a lɩɩ mɩrɩsɩ hʋ Moosi fa aa saba biŋ dɩ ba kɩ tɩŋa tɩyaŋ, abee Wɩɩsɩ tɩŋdaala fa aa saba tenni hʋ tɩyaŋ. Ʋ aa karɩmɩ wɩya no ko teŋ, wɩɩkyʋwaldɩya hʋ nɩhɩyasɩ tɩma dɩ ba mʋ basɩ tɩya Pɔɔl ma a baa, “Á nɩmmabalɩya, dɩ mamaa rɛ kaŋ wɩɩ ma aa kyɛ dɩ ma basɩ tɩya nala hʋ, dɩ ba tenni marɩ polli, ma sɩ wuwo sii basɩ.”
ACT.13.16	Ɛɛ rɛ Pɔɔl sii sɩŋ, a kaŋ ʋ nosi viri dɩ ba leŋ kyagɩŋsɩ, aŋ yaŋ piili kɩ basɩ, “Ŋ kuwobalɩya Iziral tɩmma, abee nala hʋ aa bɩ yaa Gyuuma, aŋ we daha a yaa wɩɩkyʋwalla, ma buloŋ gyegili nɩɩ daha. 
ACT.13.17	Wɩɩsɩ hʋ ámaa Iziral tɩmma aa kyʋwalɩ, ʋ rɛ lɩɩ á naabaala, a leŋ ba wala, a yaa paalʋʋ piliŋ nala, saŋa hʋ ba gyɩ aa yaa nɩhʋwala Igyipiti paalʋʋ tɩyaŋ. Ʋ dee tɩyaŋ nɛ ʋ kaŋ ba lɩɩ Igyipiti paalʋʋ tɩyaŋ. 
ACT.13.18	Ʋ gyɩ deŋ ba rɛ abee kenyiri bɩsɩ mɔllɩbalɩya pogo tʋtʋʋ tɩyaŋ. 
ACT.13.19	Ʋ gyɩ leŋ ba yuwo laa paalʋʋbala bapɛ rɛ Keenaŋ paalʋʋ tɩyaŋ, ba bɩrɩmɩ ba kɩna. Wɩya no buloŋ gyɩ yaa rɛ bɩsɩ kɔɔsɩbanaa abee mɔllɩbalɩya bee fi paga tɩyaŋ. 
ACT.13.20	Ba gyɩ aa hɔŋ doŋ tɩyaŋ, Wɩɩsɩ gyɩ aa lɩɩ sɩlaala rɛ, ba kɩ deŋ ba abee ba paalʋʋ hʋ. Ɛɛ rɛ ʋ yaa gɛɛ, a mʋ pele saŋa hʋ Wɩɩsɩ tɩŋdaal Samuwɛl aa ko we doŋ. 
ACT.13.21	Ɛɛ rɛ ba sʋla Wɩɩsɩ dɩ ʋ lɩɩ kuworibal tɩya ba. Nyɛ rɛ Wɩɩsɩ laa nyʋwa, a lɩɩ Sɔɔl tɩya ba dɩ ʋ yaa ba kuworibal. Sɔɔl fa yaa Kisi biibaal lɛ, a lɩɩ Bɛngyamin bekyigi nala tɩyaŋ. Ʋ gyɩ dii koro hʋ rɛ bɩsɩ mɔllɩbalɩya. 
ACT.13.22	Ɛɛ hal tɩyaŋ nɛ Wɩɩsɩ wuri koro hʋ, aŋ mɩɩgɩ leŋ Deviti di. Nyɛ rɛ Wɩɩsɩ gyɩ basɩ Deviti wɩya. Ʋ baa, ‘Gyesi biibaal Deviti rɛ yaa ŋ teŋfɩyɛl nal. Ʋ rɛ sɩ yaa wɩɩ hʋ kɛ buloŋ ŋ aa kyɛ dɩ ʋ yaa.’ 
ACT.13.23	Deviti doho nala tɩyaŋ nɛ Yesu mɛ lɩɩ. Wɩɩsɩ rɛ leŋ ʋ ko yaa Iziral tɩmma laataal, anɩɩ ʋ fa aa wee nyʋwa gɛɛ. 
ACT.13.24	Ka dɩ Yesu mɛ na ko, Gyɔɔŋ fa basɩ Wɩɩsɩ wɩya tɩya Iziral tɩmma buloŋ nɛ. Ʋ basɩ tɩya ba rɛ dɩ ba bɩrɩmɩ lɩɩ ba wɩbɔmɔ tɩyaŋ ka dɩ ʋ fo ba wɩɩkyʋwalnɩɩ. 
ACT.13.25	Gyɔɔŋ tʋma aa ko kpaga tenii, ʋ pɩyɛsɩ nala hʋ rɛ a baa, ‘Kɩbee rɛ ma bɩɩnɩ dɩ ŋ yaa? Ŋ daa yaa nal hʋ ma aa gyegili dɩ ʋ ko hʋ. Ʋ rɛ sɩ tɩŋ ŋ hal ko. Ŋ mɛ gba paalɩ bɩ maga dɩ ŋ kaŋ haŋ nal hʋ naatɔbɔ ŋmasɩ mɛ gba puri!’
ACT.13.26	Ŋ naabalɩya, Abɩraham doho nala abee ma nala hʋ aa bɩ yaa Gyuuma aŋ kɩ kyʋwalɩ Wɩɩsɩ, ámaa rɛ ba basɩ wɩya hʋ aa daga ɛɛ hʋ Wɩɩsɩ aa sɩ laa ma ta, a tɩya gɛɛ. 
ACT.13.27	Yesu aa ko, nala hʋ aa we Gyerusalɛm tɩyaŋ abee ba nɩhɩyasɩ buloŋ fa bɩ gyɩma anɩɩ ʋ rɛ yaa á laataal hʋ. Ba mɛ fa bɩ gyɩŋ Wɩɩsɩ tɩŋdaala hʋ wɩbasɩɩ memii, abee wɩya hʋ ba fa aa kɩ karɩmɩ Kyɛwiyesii kyɛɛ buloŋ. Ɛɛ rɛ tɩŋ ba kpʋ Yesu, a leŋ Wɩɩsɩ tɩŋdaala wɩbasɩya hʋ ko yaa wɩtɩɩ. 
ACT.13.28	Ba paalɩ bɩ naa wɩɩ buloŋ ʋ aa yaa kyogi, a fa maga dɩ ba kpʋ ʋ, ka ba vɩya, aŋ sʋla Pilato dɩ ʋ leŋ dɩ ba kpʋ ʋ. 
ACT.13.29	Wɩya hʋ buloŋ ba aa saba Wɩɩsɩ teŋ tɩyaŋ anɩɩ ba sɩ yaa Yesu, ba buloŋ nɛ ba yaa ʋ. Ɛɛ hal tɩyaŋ, ba yaŋ lallɩ ʋ daagarɩɩ hʋ tɩyaŋ, a kana ʋ mʋ hogo. 
ACT.13.30	Amɛ Wɩɩsɩ gyɩ kyisi ʋ rɛ sʋʋ tɩyaŋ. 
ACT.13.31	Ʋ aa sii sʋʋ tɩyaŋ mɛ, ʋ kana ʋ tɩɩ ko daga nala hʋ fa aa tɩŋa ʋ tɩyaŋ a lɩɩ Galili mʋ Gyerusalɛm nɛ kyɛgyamaa. Lagɩlagɩ no, ba aa rɛ yaa ʋ daŋsɩya tɩmma, a basɩ ʋ wɩya kɩ tɩya Iziral tɩmma. 
ACT.13.32	Á mɛ ko daha rɛ dɩ á basɩ Wɩɩsɩ wɩweliye hʋ tɩya ma. Wɩɩ hʋ Wɩɩsɩ aa wee nyʋwa tɩya á naabaala dɩ ʋ sɩ yaa, 
ACT.13.33	nyɛ kɛ, ʋ yaa tɩya ma rɛ, á nala hʋ aa yaa ba doho nala, akuu ʋ aa kyisi Yesu sʋʋ tɩyaŋ wɩya. Ba saba gɛɛ wɩya Wɩɩsɩ Teŋ logiŋ kɩdɩgɩ ba aa yɩrɩ Yɩɩla tɩyaŋ nɛ. Yɩɩla teŋ no tɩyaŋ, ba sabɩ Yesu wɩya rɛ a baa,
ACT.13.33	‘I yaa ŋ biibaal lɛ, Mɩyaŋ nɛ yaa ɩ kuwo gyɩnaŋ.’
ACT.13.34	Wɩɩsɩ Teŋ lee kɩdɩgɩ tɩyaŋ, Wɩɩsɩ bɩl basɩ ɛɛ hʋ ʋ aa sɩ kyisi Yesu sʋʋ tɩyaŋ nɛ, a ta leŋ dɩ ʋ pʋw bʋwa tɩyaŋ, a baa,
ACT.13.34	‘Ŋ kɔnɩ sɩ pɛ ma weliŋ anɩɩ ŋ fa aa wee nyʋwa tɩya Deviti gɛɛ.’
ACT.13.35	Logiŋ dɩgɩ tɩyaŋ mɛ bɩla, ba bɩl saba rɛ, a baa,
ACT.13.35	‘I bɩ sɩ leŋ dɩ Ɩ Tɩpʋlʋŋ Tɩɩna sʋba a pʋw bʋwa tɩyaŋ.’
ACT.13.36	Deviti fa tɩŋ Wɩɩsɩ kyɛrɩ rɛ ʋ mɩɩbol buloŋ tɩyaŋ, aŋ ko sʋba. Ba kpa ʋ hogo pɛ ʋ naabaala tɩyaŋ, ʋ pʋwa. 
ACT.13.37	Amɛ nal hʋ kɛ Wɩɩsɩ aa kyise sʋʋ tɩyaŋ, ʋ bɩ pʋw bʋwa tɩyaŋ. 
ACT.13.38	Ŋ naabalɩya, á aa kyɛ dɩ ma gyɩma weliŋ nɛ anɩɩ baal no lahɔrʋmɔ tɩyaŋ nɛ á wuwo gyɩŋ ɛɛ hʋ Wɩɩsɩ aa kpa wɩbɔmɔ kɩ kyɛ nala, á mɛ wuwo basɩ kɩ tɩya ma nyɛ. 
ACT.13.39	Nal hʋ buloŋ aa laa ʋ wɩya di, ʋ laa ʋ tɩɩna ta ʋ wɩbɔmɔ buloŋ tɩyaŋ nɛ, a leŋ ʋ yaa tɩpʋlʋŋ tɩɩna Wɩɩsɩ sɩya tɩyaŋ. Amɛ mɩrɩsɩ hʋ buloŋ Moosi fa aa saba biŋ dɩ nala kɩ tɩŋa kɛ fa bɩ wuwo laa ma kɩ ta ma wɩbɔmɔ tɩyaŋ. 
ACT.13.40	Ma fɩyɛlɩ ma sɩya weliŋ, dɩ wɩya hʋ Wɩɩsɩ tɩŋdaala fa aa basa ta ko di ma. Ba baa,
ACT.13.41	‘Ma nala hʋ aa mʋŋ Wɩɩsɩ, ma kɩ gyɩma weliŋ. Wɩɩ hʋ ŋ aa sɩ yaa ma mɩɩbol tɩyaŋ, ma bɩ sɩ laa di, haalɩ dɩ nal mɛ rɛ fa basɩ tɩya ma mɛ, ka ma bee gyɩma ʋ sɩɩ. Amɛ ʋ sɩ yaa ma wɩkperii a leŋ dɩ ma sʋba.”’
ACT.13.42	Pɔɔl bee Banabaasɩ aa basɩ wɩya no buloŋ teŋ, ba sii dɩ ba lɩɩ wɩɩkyʋwaldɩya hʋ tɩyaŋ. Ɛɛ rɛ nala hʋ sʋl ba dɩ ba bɩl mɩɩgɩ ko kyɛwiyesii no aa ko kyɛɛ, a bɩl marɩ basɩ wɩya no tɩya ba. 
ACT.13.43	Nala hʋ buloŋ aa ko lɩɩ wɩɩkyʋwaldɩya hʋ tɩyaŋ, ɛɛ rɛ Gyuuma abee nala hʋ buloŋ aa bɩ yaa Gyuuma, aŋ kɩ kyʋwalɩ Gyuuma Wɩɩsɩ sii giri tɩŋ Pɔɔl bee Banabaasɩ hal. Doŋ tɩyaŋ nɛ Pɔɔl bee Banabaasɩ basɩ wɩya yʋga a tɩya ba, aŋ kpaanɩ ba dɩ ba kpa ba wɩɩ buloŋ tɩya Wɩɩsɩ aŋ yelli Wɩɩsɩ dʋŋ.
ACT.13.44	Ʋ hal kyɛwiyesii hʋ kyɛɛ bɩl aa pele, bee hʋ nala gyeniŋ buloŋ nɛ gyɩ sii mʋ wɩɩkyʋwaldɩya hʋ dɩ ba nɩɩ Wɩɩsɩ wɩya. 
ACT.13.45	Amɛ Gyuuma hʋ fa aa naa nɩgyamaa hʋ laŋŋa yʋga gɛɛ, ba tɩsɩ kɩ hɔllɩ. Ɛɛ rɛ ba sii kpa nyʋʋtaaduwo kyeŋ Pɔɔl, aŋ kɩ tʋʋsɩ ʋ, a kɩ kyogi ʋ feŋ. 
ACT.13.46	Ka Pɔɔl bee Banabaasɩ kɛ yeŋŋi ba wɩya, aŋ marɩ basɩ wɩya abee nyuduwo a baa, “Ʋ fa maga dɩ ba laa sɩya basɩ Wɩɩsɩ wɩya tɩya mamaa Gyuuma rɛ, amɛ ma bɩ laa di, aŋ baa dɩ ba yaa wɩnyɩyɛl lɛ. Nyɛ tɩyaŋ, ma daga anɩɩ ma bɩ maga dɩ ma kaŋ mɩɩbol aa bɩ kaŋ tenii rɛ gɛɛ. Ɛɛwɩya, á sɩ leŋ ma aŋ mʋ nala hʋ aa bɩ yaa Gyuuma lee. 
ACT.13.47	Beewɩya, Wɩɩsɩ basɩ tɩya ma Wɩɩsɩ Teŋ logiŋ kɩdɩgɩ tɩyaŋ nɛ anɩɩ gɛɛ rɛ á sɩ yaa. Ʋ baa,
ACT.13.47	‘Mɩyaŋ nɛ lɩɩ ma dɩ ma yaa nala hʋ aa bɩ yaa Gyuuma kyaanʋʋ, a daga ba ŋmanɩɩ hʋ ŋ aa sɩ tɩŋa a laa dʋnɩya nala buloŋ mɩɩbol ta.”’
ACT.13.48	Nala hʋ aa bɩ yaa Gyuuma aa nɩɩ wɩɩ no, ba tenni buloŋ fɩyɛlɩ, ba kɩ dannɩ Wɩɩsɩ abee wɩya hʋ ba aa nɩya. Nala hʋ mɛ Wɩɩsɩ aa lɩya dɩ ba kaŋ mɩɩbol hʋ aa bɩ kaŋ tenii, ba mɛ laa wɩya no di rɛ. 
ACT.13.49	Ɛɛ rɛ ka nɩgyamaa nɩɩ á Tɩɩna Yesu wɩya haŋ paalʋʋ hʋ tɩyaŋ buloŋ. 
ACT.13.50	Amɛ Gyuuma hʋ sii mʋrɩ bee hʋ nɩhɩyasɩ abee habiibala hʋ aa kyʋwalɩ Wɩɩsɩ doŋ tɩyaŋ. Ba bee Gyuuma hʋ piili kɩ dɔgɩsɩ Pɔɔl abee Banabaasɩ, aŋ leŋ ba kil ba ta ba paalʋʋ hʋ tɩyaŋ. 
ACT.13.51	Pɔɔl bee Banabaasɩ piisi ba naasɩ taŋha ta, aŋ lɩɩ kpa mʋ Ikoniya. Ba aa piisi ba naasɩ taŋha ta hʋ daga anɩɩ bee hʋ nala yaa wɩɩ kyogi ba rɛ, ɛɛ wɩya, ba beel-ba bɩl bɩ pɛɛ wɩɩ buloŋ. 
ACT.13.52	Ka Krisitabiisi aa we Aŋtiyɔki tɩyaŋ kɛ tenni buloŋ fɩyɛlɩ. Wɩɩsɩ Wiyesi Welii hʋ mɛ we ba tɩyaŋ weliŋ.
ACT.14.1	Ikoniya tɩyaŋ mɛ, Pɔɔl bee Banabaasɩ gyɩ bɩl sii mʋ gyʋʋ Gyuuma wɩɩkyʋwaldɩya rɛ, a kɩ basɩ Wɩɩsɩ wɩya. Ɛɛ hʋ ba aa basɩ Wɩɩsɩ wɩya doŋ tɩyaŋ leŋ nɩgyamaa ko laa Yesu wɩya di, Gyuuma abee Giriisi tɩmma buloŋ. 
ACT.14.2	Amɛ Gyuuma hʋ aa bɩ laa Yesu wɩya di sii turo nala hʋ aa bɩ yaa Gyuuma we, ba baaŋ kɩ sii Yesu hatɩnna hʋ buloŋ aa we doŋ tɩyaŋ. 
ACT.14.3	Pɔɔl bee Banabaasɩ gyɩ hɔŋ doŋ tɩyaŋ pɩɩsɩ rɛ weliŋ, a kɩ basɩ á Tɩɩna Yesu wɩya abee nyuduwo saŋa buloŋ. Ɛɛ rɛ Yesu mɛ pɛ ba tɩyaŋ, a tɩya ba dee ba wuwo kɩ yaa wɩmagɩla abee wɩkperiye. Wɩya no rɛ leŋ nala hʋ ko gyɩma anɩɩ á Tɩɩna bɔnyɛ hʋ wɩya ba aa basɩ kɔnɩ yaa wɩtɩɩ rɛ. 
ACT.14.4	Doŋ tɩyaŋ nɛ nyʋʋtaaduwo gyʋʋ bee hʋ nala, ba porigi leye balɩya. Badɔmɔŋ sɩŋ Gyuuma hʋ hal, ka badɔmɔŋ mɛ sɩŋ Yesu kpambɩsɩ hʋ hal. 
ACT.14.5	Ɛɛ rɛ nala hʋ aa bɩ yaa Gyuuma abee Gyuuma abee ba bee nɩhɩyasɩ sii yaa nyʋʋdɩgɩ dɩ ba dɔgɩsɩ Pɔɔl bee Banabaasɩ, aŋ yaga ba bee bʋwa. 
ACT.14.6	Amɛ Pɔɔl bee Banabaasɩ aa ko gyɩŋ wɩɩ no tɩyaŋ, ba sii lɩɩ fá a mʋ Liisira, a lɩɩ doŋ kpa mʋ Dɛɛbi. Liisira bee Dɛɛbi buloŋ fa yaa tɔbala rɛ a we Lakooniya paalʋʋ tɩyaŋ. Ɛɛ hal tɩyaŋ ba gɔllɩ mʋ tɔnɩ hʋ buloŋ aa golo doŋ paalʋʋ, 
ACT.14.7	a basɩ á Tɩɩna Yesu Krisita wɩya doŋ buloŋ tɩyaŋ.
ACT.14.8	Ba gyɩ aa mʋʋ Lisitira gɛɛ, dɩ gbarɩgɩ kɩdɩgɩ we doŋ. Ba gyɩ lʋla ʋ bee gbarɩgɩsɩ rɛ. Ɛɛ wɩya ʋ ha bɩ maakyiye vala na. 
ACT.14.9	Ʋ mɛ gyɩ hɔŋ gyamaa hʋ tɩyaŋ nɛ, a kɩ gyegili wɩya hʋ Pɔɔl gyɩ aa basɩ. Ɛɛ rɛ Pɔɔl deŋ ʋ gɛɛ sɩrɩtɩtɩ, a na dɩ gbarɩgɩ hʋ laa di ʋ tɩya tɩyaŋ anɩɩ Yesu rɛ sɩ wuwo tɩɩbɩ ʋ. 
ACT.14.10	Ɛɛ rɛ ʋ faasɩ basɩ tɩya ʋ a baa, “Sii sɩŋ ɩ naasɩ tɩyaŋ.” Ʋ teŋ nyagɩ sii sɩŋ ʋ naasɩ tɩyaŋ, a kɩ vala. 
ACT.14.11	Gyamaa hʋ buloŋ fa aa laŋŋa aa na wɩɩ hʋ Pɔɔl aa yaa, ba piili kɩ yaa kyagɩŋsɩ a kɩ basɩ bee ba taal tɩyaŋ a baa, “Á tɔdʋnnɩ hʋ rɛ bɩrɩmɩ nihuwobisi a ko á lee.” 
ACT.14.12	Ɛɛ rɛ ba baa dɩ Banabaasɩ rɛ yaa Zeeyosi, ka Pɔɔl mɛ yaa Hɛɛmɩsɩ. (Zeeyosi rɛ fa yaa ba paalʋʋ buloŋ tɔdʋŋbal, ka Hɛɛmɩsɩ mɛ yaa tɔdʋŋbal no tɩŋdaal, aa laa ʋ wɩya buloŋ basɩ kɩ tɩya ʋ). Pɔɔl fa aa basɩ wɩya hʋ buloŋ nɛ tɩŋ ba baa dɩ ʋ rɛ yaa Hɛɛmɩsɩ gɛɛ. 
ACT.14.13	Zeeyosi toŋo fa sɩŋ bee hʋ samanɩ tɩyaŋ nɛ, ba aa mʋ kɩ marɩ. Nyɛ rɛ toŋo hʋ tɩɩna sii kaŋ nɔbolli abee tɩɩfɩɩla a kaŋ ko Zeeyosi vʋgɩmarɩ dɩya hʋ dimbeenyʋwa. Doŋ nɛ bee hʋ nala buloŋ laŋŋɩ, a kɩ kyɛ dɩ ba marɩ vʋga no tɩya Pɔɔl bee Banabaasɩ. 
ACT.14.14	Banabaasɩ bee Pɔɔl aa ko nɩɩ wɩɩ hʋ ba aa kyɛ dɩ ba yaa, ba kaŋ ba tɩɩ gannɩ kɩyɛsɩ, (Ba aa kaŋ ba gannɩ kɩyɛsɩ hʋ daga anɩɩ ba bɩ laa nyʋwa dɩ ba yaa wɩɩ hʋ ba aa kyɛ dɩ ba yaa), aŋ fá gyʋʋ nala hʋ tɩyaŋ a heeli kɩ basɩ, 
ACT.14.15	“Á kyaŋsɩ, bee rɛ tɩŋ ma kɩ yaa nyɛ? Á mɛ yaa nihuwobisi rɛ anɩɩ ma kɩdɩgɩ buloŋ aa we daha, á bɩ yaa tɔdʋnnɩ. Á ko dɩ á basɩ á Tɩɩna Yesu wɩweliye hʋ rɛ tɩya ma, dɩ ma wuwo leŋ ma tɔdʋnnɩ abee ma vʋga no marɩɩ ta aŋ mɩɩgɩ tɩŋ Wɩɩsɩ hʋ aa weye, beewɩya vʋga marɩɩ bɩ kaŋ tɔnɔ buloŋ. Ʋ rɛ taa wɩɩsɩnyuu abee taŋha nyuu, fuwoni abee kɩŋ kɛ buloŋ aa we dʋnɩya tɩyaŋ daha. 
ACT.14.16	Faafaa hʋ tɩyaŋ, Wɩɩsɩ fa leŋ á naabaala ta rɛ ba kɩ tɩŋ ba tɩɩ ŋmaŋsɩ. 
ACT.14.17	Abee gɛɛ buloŋ, ʋ ha fa leŋ nala gyɩŋ haŋ Wɩɩsɩ hʋ iriŋ ʋ aa yaa rɛ, a kuu wɩweliye hʋ ʋ aa yaa kɩ tɩya ba tɩyaŋ. Ʋ aa leŋ duwoŋ kɩ nɩɩ rɛ, a leŋ baga kɩna marɩ ba saŋa tɩyaŋ, ma na kɩdiiliye a di kɩ vɔgɔ, aŋ leŋ ma buloŋ kaŋ teŋfɩyɛlʋʋ.” 
ACT.14.18	Banabaasɩ bee Pɔɔl gyɩ basɩ wɩya no buloŋ nɛ, ka nala hʋ ha vɩya aŋ kɩ kyɛ dɩ ba marɩ ba vʋga hʋ tɩya ba. Ɛɛ rɛ Pɔɔl bee Banabaasɩ sʋl ba abee sɩfɩyasɩ, ka ba na ko leŋ.
ACT.14.19	Nyɛ rɛ dɩ Gyuuma badɔmɔŋ mɛ lɩɩ Aŋtiyɔki aa we Pisidɩya paalʋʋ tɩyaŋ a ko Lisitira, badɔmɔŋ mɛ lɩɩ Ikoniya a ko. Nyɛ rɛ ba ko mʋrɩ nɩgyamaa we, ba sii pɛ ba tɩyaŋ, ba paa bʋwa yaga Pɔɔl ʋ yiyegi. Ɛɛ rɛ ba kana ʋ tuuri lɩɩ ta ba bee hʋ samanɩ tɩyaŋ, beewɩya, ba kɛ fa liise anɩɩ ʋ sʋba rɛ. 
ACT.14.20	Ɛɛ tɩyaŋ nɛ Yesu hatɩnna hʋ aa we doŋ sii mʋ sɩŋ gol ʋ. Doŋ nɛ ʋ sii, ba mɩɩgɩ gyʋʋ dɩya. A sii ʋ sɩgballɩya, ʋ bee Banabaasɩ kpa mʋ Dɛɛbi.
ACT.14.21	Pɔɔl bee Banabaasɩ gyɩ basɩ Yesu wɩweliye hʋ Dɛɛbi tɩyaŋ mɛ rɛ. Ba wɩbasɩɩ hʋ tɩyaŋ nala yʋga gyɩ ko laa Yesu wɩya di rɛ, aŋ bɩrɩmɩ ʋ hatɩnna. Doŋ tɩyaŋ nɛ ba sɩŋ, a mɩɩgɩ paa ba naabʋʋsɩ, a mʋ Lisitira, a sii doŋ a bɩl kpa mʋ Ikoniya, a bɩl lɩɩ doŋ mɛ a mɩɩgɩ mʋ Aŋtiyɔki hʋ aa we Pisidɩya paalʋʋ tɩyaŋ. 
ACT.14.22	Leye no buloŋ nɛ ba pele, a basɩ Wɩɩsɩ wɩya tɩya nala hʋ aa laa Yesu wɩya di dɩ ba leŋ dɩ ba laadii yʋga, a leŋ dɩ ba tenni polli dɩ ba wuwo kaŋ kenyiri abee Yesu Krisita tɩŋɩɩ tɩyaŋ, aŋ ta ko kpa ta. Ba basɩ tɩya ba rɛ anɩɩ á nala hʋ aa laa Yesu wɩya di sɩ na tʋwara rɛ kɩŋkaŋ, ka dɩ á na gyʋʋ Wɩɩsɩ koro hʋ tɩyaŋ. 
ACT.14.23	Tɔɔ hʋ kɛ buloŋ tɩyaŋ nala aa laa Yesu wɩya di aŋ aa kɩ laŋŋɩ, ba gyɩ aa lɩɩ nala rɛ ba tɩyaŋ dɩ ba yaa ba sɩlaala. Dɩ ba gyɩ ko lɩɩ sɩlaala buloŋ, ba aa vʋwa nyʋwa rɛ, a kyʋwalɩ Wɩɩsɩ tɩya ba, aŋ kpa ba we á Tɩɩna Yesu nosi tɩyaŋ. Beewɩya, á Tɩɩna Yesu rɛ ba yelli wɩɩ buloŋ tɩyaŋ. 
ACT.14.24	Nyɛ rɛ ba gɔllɩ Pisidɩya paalʋʋ buloŋ teŋ aŋ bɩl kpa mʋ Pamfilɩya paalʋʋ mɛ. 
ACT.14.25	Pamfilɩya paalʋʋ tɩyaŋ, Pɛɛga rɛ ba laa sɩya mʋ, a basɩ Wɩɩsɩ wɩya doŋ. A bɩl lɩɩ doŋ mɛ a kpa tuu mʋ Atalɩya. 
