MAT.1.1	Nde nguinu scua nii ta nten 'in Jesucristo, sñe' ta nten 'in Davi, cui' sñe' ta nten 'in Abraham. 
JHN.19.7	Mxcuen ne' judio 'in yu: Huare' ntsu'hui sca lee 'in hua, lo' ndlo qui'ya na 'in yu, si'yana juin yu lca yu ycui' ca Sñe' Ndiose. 
JHN.19.8	Xa ngune 'in yu Pilato cha' can' lyee la ytsen yu. 
JHN.19.9	Xiya' yten yu ña'an tñan can' lo' juin yu 'in Jesús: ¿La ta quichen mdo'o? Una Jesús a mxcuen ñi 'in yu. 
JHN.19.10	Xacan' juin yu Pilato 'in ñi: ¿Ñi cha' ta a nxcuen 'ñan? ¿Ta a jlyo ti' si'yana ntsu'hui cha' cuiya' 'ñan jyi'in ca'an 'in loo cusi, lo' ntsu'hui cha' cuiya' 'ñan culaan 'in? 
JHN.19.11	Mxcuen Jesús 'in yu: A sca na tca cu'ni um lo'on cha' si'i nde ni' cuaan mdo'o cha' cuiya' 'in um. Can' cha' tlyu lati qui'ya nducui nu mdyaa 'ñan tuyaa' um. 
JHN.19.12	Ti' xacan' yu Pilato ngunan yu ña'an nu culaa yu 'in Jesús, una nde lyee lati nchcui' cueen ne' judio: Cha' culaa um 'in yu re, a lca um ta'a tsu'hue yu César, si'yana sca yu nu ngui'ni 'in lca ree, ta'a cusuun César lca can'. 
JHN.19.13	Xa ngune 'in yu Pilato cha' can', cui' xaa ngulyoo yu 'in Jesús nde lyiya', lo' yten tucua yu se'en n'ni cuiya' yu cha', sca se'en ndlo'o naan ne' lo'o cha' hebreo, Gabata, cha' re nchca ti' chcui', se'en ncua tsu'hue lyuu. 
JHN.19.14	Tsa ntsu'hui ndyi'ya cuaan, cui' tsaan nu cu siin ne' judio si'ya ta'a pascua can', lo' juin yu Pilato 'in ne': Nde ndon yu nu lca Ree 'in um. 
JHN.19.15	Nde lyee la ycui' cueen ne': Lyoo um 'in yu nde lyiya', lyoo um 'in yu nde lyiya', jyi'in ca'an um 'in yu loo cusi. Lo' juin yu Pilato can': ¿Ta nchca ti' um jyi'in ca'an 'in Ree 'in um loo cusi? Xacan' nchgaa yu nu ndlo tñan ni' lyaa mxcuen yu: A ntsu'hui 'a xca ree 'in hua, cui' ca nu scati yu César. 
JHN.19.16	Cuaña'an yato'o mdyaa yu Pilato cunta 'in Jesús tuyaa' ne' si'yana cha'an ñi loo cusi, mchcuan ne' cunta 'in ñi lo' ya lo'o ne' 'in ñi.
JHN.19.17	Cui' ñi lyi'ya ñi cusi se'en ntsu'hui cha' cha'an ñi, lo' mdiyaa ñi sca se'en nu nchcui' ne' lo'o lca Que Jyi'o, lo'o cha' hebreo ndyi'o cha' re Gólgota. 
JHN.19.18	Can' mjyi'in ca'an ne' 'in ñi loo cusi, a cunta lo'o tucua yu nu ta'a ngua'an ñi, scaa yu scaa tso', lo' Jesús ngua'an ñi tlu'hue la. 
JHN.19.19	Cua' lca ngua'an yu Pilato sca cha' nu cha'an que cusi can', lo' nchcui' na: Nde nu lca Jesús Nazaret, Ree 'in ne' judio. 
JHN.19.20	Qui'an 'a ne' judio ycui' ne' cha' re, si'yana se'en nu ngua'an Jesús loo cusi can', cui' ti tu'hua quichen lca na. Ngua'an na lo'o cha' hebreo, cha' griego, lo'o cha' latín. 
JHN.19.21	Tsalca ne' nu ndlo ca tñan ni' lyaa 'in ne' judio, juin ne' 'in yu Pilato: A ca'an um 'in na si'yana lca yu Ree 'in ne' judio, tsu'hue lati cha'an na tsaña'an nu juin yu: Nan' lcan Ree 'in ne' judio. 
JHN.19.22	Mxcuen yu Pilato 'in ne': Ña'an cha' nu cua' ngua'an, cui' cuaña'an quinu na. 
JHN.19.23	Xa cua' mjyi'in ca'an yu sindatu can' 'in Jesús loo cusi, msñi yu ste' ñi lo' ngulo yu 'in na jacua yu'hue, cunda scaa na 'in scaa yu. A cunta msñi yu te' tucuin 'in ñi nu mchcuan sca co' ti. 
JHN.19.24	Xacan' mdyisnan ycui' scasca yu: A sta na 'in na, tsu'hue lati culo na xu'hue na lo'o na, cha' ti ña'an nu qui'ni ca'an na 'in. Cuaña'an m'ni yu, si'yana tsato'o cha' nu nguinu scua loo quityi 'in Ndiose se'en nchcui': —Ticui' lja can' mtsa yu sten', ngulo yu xu'hue yu lo'o na—. Cui' cuaña'an m'ni yu sindatu can'. 
JHN.19.25	Cui' ti se'en nga'an Jesús loo cusi ndon jyi'an ñi, lo'o ta'a ngula jyi'an ñi, lo'o María cuilyi'o Cleofas, a cunta ndon María Magdalena. 
JHN.19.26	Jesús na'an ñi ndon jyi'an ñi, a cunta cui' ti can' ndon sca yu ta'a nda'an ñi, cui' yu nu ndyu'hui cuiya' ti' ñi 'in can', lo' juin ñi 'in jyi'an ñi: Cua ndon nu ca sñe' um. 
JHN.19.27	Xacan' juin ñi 'in yu ta'a nda'an ñi can': Cua ndon nu ca jyi'an. Ti' xacan' mchcuan yu can' cunta 'in jyi'an ñi la se'en ndi'in yu. 
JHN.19.28	Ngujlyo ti' Jesús si'yana cua' ya tucua nchgaa cha' nu ntsu'hui cha' tyijyin ñi, xacan' juin ñi: Nguityi 'a tin'. Juin ñi cuaña'an si'yana tsato'o cha' nu nguinu scua loo quityi 'in Ndiose. 
JHN.19.29	Can' ndon sca te'en mtsa'an ntsu'hui tyi'a vinagre. Yu sindatu can' mcha' yu tyi'a can' 'in sca te', lo' mdi'in tyaa yu 'in na loo sca yca, lo' mjyi'in ca'an yu 'in na tu'hua Jesús. 
JHN.19.30	Xa cua' yi'o ñi tyi'a can' juin ñi: Cua' ya tucua nchgaa cha'. Cui' xaa mdyi'ya tucui ñi que ñi, lo' mdyaa ñi cusya 'in ñi tuyaa' Ndiose.
JHN.19.31	Si'yana lca na tsaan nu nsiin ta'a pascua, a ncua ti' ne' judio si'yana quinu ca'an nu ngujui can' loo cusi tsaan nu nxitñan' ne', (a cunta lja xacan' ya tucua tsaan nu lyee la n'ni tnu ne' ta'a can'), can' cha' ya ycui' ne' lo'o yu Pilato cha' taa yu cha' cuiya' cutsa tijyan quiya' nu nga'an loo cusi can', lo' tyi'ya ne' 'in. 
JHN.19.32	Mdiyaa yu sindatu can' lo' mcha yu tijyan quiya' yu nu ta'a nga'an Jesús, cui' cuaña'an mcha yu quiya' nu nga'an xca tso' can'. 
JHN.19.33	Una xa na'an yu si'yana cua' ngujui Jesús, a mcha 'a yu quiya' ñi. 
JHN.19.34	Xacan' sca yu sindatu can' yjo' yu sca chcuan cha sii' ñi, cui' ña'an lcaa nguilo tne ñi nu mxitiya' lo'o tyi'a. 
JHN.19.35	Yu nu na'an cha' re ndaa yu suun cha' nu yato'o, lo' nchcui' yu cha' nu ñi, a cunta jlyo ti' yu si'yana suun nu ndaa yu lca na cha' nu ñi, ña'an ca si'yana lo'o um tca tsa qui'an ti' um cha' re. 
JHN.19.36	Cha' re yato'o na si'yana tsa tucua cha' nu nchcui' quityi 'in Ndiose: —Ñi sca tijyan ñi lo' a cutsa na—. 
JHN.19.37	Ndeña'an nchcui' xca se'en loo quityi 'in Ndiose: —Chcua quiloo ne' 'in nu yjo' ne' chcuan cha sii'—.
JHN.19.38	Chon' nde'en can' sca yu naan See nu mdo'o Arimatea, cui' sca yu ya qui'an ti' 'in Jesús, una a ngulo'o la yu 'in yu si'yana ntsen yu tloo ne' judio, mjñan yu cha' cuiya' 'in Pilato si'yana cui'ya yu 'in Jesús, lo' mdaa yu cha' cuiya'. Xacan' mdiyaa yu se'en nga'an ñi lo' ngu'ya yu 'in ñi. 
JHN.19.39	A cunta mdiyaa yu Nicodemo, cui' yu nu ya ycui' lo'o Jesús sca tla, lo' lyi'ya yu sca se'en ntsu'hui tyi'a xityi'i nu naan mirra nu mxitiyaa' lo'o áloes, lo' ti'in na cla tyi kilo. 
JHN.19.40	Xacan' nguxen yu sca te' 'in Jesús, lo' msu'hua yu tyi'a xityi'i 'in ñi tsaña'an ntsu'hui cha' 'in ne' judio xa ntsi' ne' 'in sca nu ngujui. 
JHN.19.41	Se'en ngua'an ñi loo cusi can', cui' ti nguinu sca se'en nducua yca, can' cua' lca nguiaa' sca cuaa nu a nchca tucui chu'hui. 
JHN.19.42	Can' mtsi' yu 'in Jesús si'yana cui' se'en ti su cuaa can', a cunta cua' tyisnan xitñan' ne' judio.
JHN.20.1	Culoo tsaan 'in snan can', ti' nducui lyoo xa mdo'o María Magdalena nguiaa tucuaa can', lo' na'an si'yana cua' mdo'o ntan quee nu nchcun na. 
JHN.20.2	Cui' xaa mdo'o msnan, nguia ytsa' 'in yu Simón Tyo lo'o xca yu ta'a mda'an Jesús, cui' yu nu ndyu'hui cuiya' ti' ñi 'in can', lo' juin 'in yu: Cua' ngulyoo ne' 'in Ñi X'nan na se'en mtsi' ñi, lo' a jlyo ti' hua la nguia lo'o ne' 'in ñi. 
JHN.20.3	Cui' xaa mdo'o yu Tyo lo'o xca yu ta'a mda'an ñi, nguiaa yu tucuaa can'. 
JHN.20.4	Tsatlyu mdo'o chcuaa yu msnan yu, una xca yu can' lyee la msnan yu que 'in yu Tyo, culo nducua la yu mdiyaa yu tucuaa can'. 
JHN.20.5	Mducui ndlyu yu lo' msti quiloo yu ni' cuaa can', lo' na'an yu si'yana xtyi te' nu nguxen ti ñi su can', una a yten yu ni' can'. 
JHN.20.6	Cui' ña'an cua' lo'o yu Tyo can' mdiyaa yu, lo' yten yu ni' cuaa can', na'an yu si'yana xtyi te' nu nguxen ti ñi su can', 
JHN.20.7	a cunta na'an yu si'yana te' nu nguxen tloo ñi a su 'a na sca se'en ti lo'o te' nu nguxen ca ñi, cui' ca nu mtsa tu'hua na nscua na xca se'en. 
JHN.20.8	Xacan' yten xca yu ta'a mda'an ñi can', cui' yu nu mdiyaa culo nducua la can', na'an yu cha' can' lo' ya qui'an ti' yu, 
JHN.20.9	una a nchca qui'ya tsu'hue yu cunta tsaña'an nu nchcui' quityi 'in Ndiose ña'an ntsu'hui cha' tyiqui'o ñi. 
JHN.20.10	Xacan' mxitucui yu ta'a mda'an ñi can' nde se'en ndi'in yu.
JHN.20.11	Una María ti' nguinu ton tucuaa can' lo' nguinan, lja xacan' mducui ndlyu lo' msti quiloo ni' cuaa can', 
JHN.20.12	na'an nducua tucua angujle nu lco' te' mten. Sca can' nducua nde que se'en msti Jesús, lo' xca nde quiya' can'. 
JHN.20.13	Lo' juin angujle can': ¿Ñi cha' ta nguinan? Mxcuen María: Si'yana ngulyoo ne' 'in Ñi X'nan, lo' a jlyo tin' la nde nguia lo'o ne' 'in ñi. 
JHN.20.14	Ña'aan mdyi ycui' cha' can' mxiton nde chon' lo' na'an ndon Jesús, una a ngujlyo ti' si'yana Jesús lca nu ndon can'. 
JHN.20.15	Lo' juin Jesús 'in: ¿Ñi cha' ta nguinan? ¿Tucui ca 'in nda'an nan? María msque' ti' cha' ta yu nu ntsu'hui cunta se'en nducua yca can' lca nu ndon can', lo' juin xacan': Cha' cui' um ngulyoo um 'in ñi, quitsa' um 'ñan la ya lo'o um 'in ñi, lo' nan' quia 'yan 'in ñi. 
JHN.20.16	Lo' juin Jesús 'in: ¡María! Cui' xaa mxiton lo' juin 'in ñi, ¡Raboni! (Cha' re nchca ti' na nchcui' na, ñi nu lca Bstro). 
JHN.20.17	Juin Jesús 'in: A cula' 'ñan si'yana ti' lyijyi qui'an se'en nducua Stin, quia ytsa' 'in nchgaa ta'an si'yana cua' qui'an se'en nducua Stin, cui' ñi nu lca Sti um, Ndiose 'ñan, lo' Ndiose 'in um. 
JHN.20.18	Xacan' mdo'o María Magdalena nguia ytsa' 'in yu ta'a mda'an Jesús si'yana na'an tloo 'in Ñi X'nan na, lo' mtsa' nchgaa cha' nu ycui' ñi lo'o.
JHN.20.19	Xa ngu'ya tla, cui' tsaan culoo 'in snan can', lo' se'en nguio' ti'in yu ta'a mda'an ñi, mchcun tsu'hue tuna'an can' si'yana ntsen yu 'in ne' judio, lo' tlu'hue la se'en ndi'in yu yten Jesús, lo' juin ñi 'in yu: A su'hua um cha' nduhue ti' tiquee um. 
JHN.20.20	Xa mdyi ycui' ñi cha' re, ngulo'o ñi yaa' ñi 'in jun lo'o jyan sii' ñi. Yu ta'a mda'an ñi tsu'hue ntsu'hui tiquee yu si'yana na'an yu 'in Ñi X'nan na. 
JHN.20.21	Xiya' ycui' Jesús lo'o yu: A su'hua um cha' nduhue ti' tiquee um, tsaña'an nu ngua'an tñan Stina Ndiose 'ñan, cuaña'an ca'an tñan 'in um. 
JHN.20.22	Xa ycui' ñi cha' re ngula' su'hua ñi tloo yu lo' juin ñi: Quinu yu'hui Espíritu nu Luhui 'in Ndiose ni' cusya 'in um. 
JHN.20.23	Cha' 'un cu'ni um cha' tlyu ti' 'in nde'en la tucui lo'o qui'ya ngui'ni, a nducui 'a can' qui'ya, lo' cha' ti ña'an nu a cu'ni um cha' tlyu ti' 'in, cui' ña'an ti nducui can' qui'ya.
JHN.20.24	Una yu Toma, cui' ta yu nu tichcua can', yu nu nchcui' ne' lo'o lca Dídimo, a lo'o yu nguio' ti'in yu xa yaa Jesús. 
JHN.20.25	Nchgaa la ña'an ta'a mda'an ñi juin yu 'in Toma: Cua' na'an tloo hua 'in Ñi X'nan na. Mxcuen yu xacan': Cha' a ña'an lo' a cojo' yaan' se'en yten clau yaa' ñi, lo' cha' a cojo' yaan' jyan sii' ñi, a tsa qui'an tin'. 
JHN.20.26	Mda'a snu' tsaan nguio' ti'in yu ta'a mda'an ñi ña'an can', cua' lo'o yu Toma xacan'. Mchcun tsu'hue tuna'an can' xa yten Jesús tlu'hue la se'en ndi'in yu, lo' juin ñi: A su'hua um cha' nduhue ti' tiquee um. 
JHN.20.27	Lo' juin ñi 'in yu Toma can': Cojo' yaa' re lo' cu'ni quii yaan', tyaa yaa' lo' cojo' yaa' jyan siin', lo' a cu'ni tucua ti', cui' ca nu tsa qui'an ti'. 
JHN.20.28	Xacan' mxcuen yu Toma 'in ñi: 'Un lca um X'nan lo' lca um Ndiose 'ñan. 
JHN.20.29	Lo' juin Jesús 'in yu: Si'yana na'an tloo 'ñan, Toma, can' cha' ya qui'an ti', una tsu'hue ca xu'hue nu ya qui'an ti' lo' a na'an 'ñan. ¿Ñi cha' ngua'an yu Xuhua quityi re? 
JHN.20.30	Ti' m'ni la Jesús scasca cha' nu tnu tloo na'an yu ta'a mda'an ñi, una a ngua'an scua na loo quityi re. 
JHN.20.31	Una cha' re ngua'an scua na si'yana tsa qui'an ti' um si'yana Jesús lca ñi nu lca Cristo, Sñe' Ndiose, lo' loo nu tsa qui'an ti' um 'in ñi caja chendyu nu a tsatii 'a 'in um.
JHN.21.1	Chon' nde'en can' xiya' ngulo'o tloo Jesús 'in yu ta'a mda'an ñi tu'hua tiyo' Tiberias can', lo' ndeña'an ngulo'o tloo ñi 'in yu: 
JHN.21.2	Tsatlyu nguio' ti'in yu Simón Tyo can' lo'o Toma nu nchcui' ne' lo'o lca Dídimo, lo'o Natanael nu mdo'o Caná se'en lyi'ya loo Galilea, lo'o chcuaa sñe' Zebedeo, a cunta lo'o chcua yu nu ta'a mda'an Jesús nguio' ti'in yu can'. 
JHN.21.3	Lo' juin yu Simón Tyo can': Tsa'an nan' cuta cula. Mxcuen nchgaa la ña'an yu can': Lo'o huare' tsaa hua. Xacan' yten yu sca ni' yca na'an lo' mdo'o yu nguiaa yu, una ñi sca cula lo' a msñi yu sca chcui tla can'. 
JHN.21.4	Xa nde cua' qui'ya xaa, tu'hua ysin can' ndon Jesús, una yu ta'a mda'an ñi a yu'hui lyoo yu si'yana Jesús ndon can'. 
JHN.21.5	Ycui' ñi lo'o yu: Sñen', ¿ñi na nda'an lo'o um cu na? Mxcuen yu 'in ñi: A sca na. 
JHN.21.6	Xacan' juin ñi 'in yu: Nguun um quitan 'in um nde tso' cueen se'en nducui yca na'an cua, lo' quinu 'in 'in um. Xacan' nguun yu 'in na, lo' hasta ñi a ncua 'a ti' lyoo yu 'in na si'yana mtsa'an na ntsu'hui cula. 
JHN.21.7	Xacan' xca yu ta'a mda'an ñi, cui' yu nu ndyu'hui cuiya' ti' ñi 'in can', juin yu 'in yu Tyo: Cui' Ñi X'nan na ndon cua. Lo' ña'aan ngune 'in yu Simón Tyo si'yana Ñi X'nan na lca ñi, cui' xaa yco' yu ste' yu (si'yana cua' ngulo yu 'in na), lo' mdo'o cuaan yu loo tyi'a can'. 
JHN.21.8	Nchgaa la ña'an yu nguia lo'o yu yca na'an can' la tu'hua ysin, nducuan qui yu quitan se'en ntsu'hui cula can' si'yana a tijyo' lyee nguinu tu'hua ysin can', tsa ntsu'hui lyoo sca ciento metro. 
JHN.21.9	Xa mdyi'o ti'in yu tu'hua ysin can', na'an yu ndi'in quii' nscuhui', can' nscua sca cula ndique' 'in, a cunta lo'o jaslya. 
JHN.21.10	Lo' juin Jesús 'in yu: Quian lo'o um tucua snan cula nu tca msñi um cua. 
JHN.21.11	Cui' xaa ycuen yu Simón Tyo can' ni' yca na'an lo' ngulyoo yu quitan can' la tu'hua ysin, mtsa'an na ntsu'hui chacui' cula nu tnu, lo' ndiyaa 'in sca ciento ntsu'hui tu'hua tyi ntsu'hui snan 'in. Tsacan' 'in ntsu'hui 'in ni' quitan can' una a mda' na. 
JHN.21.12	Juin Jesús 'in yu: Quiaan um lo' ca xu'hue um na re. Ñi sca yu ta'a mda'an ñi lo' a msti ti' yu cuñicha' yu 'in ñi cha' ti ca lca ñi, ngu'ya yu cunta si'yana Ñi X'nan na lca ñi. 
JHN.21.13	Xacan' msñi Jesús jaslya can' lo' mdaa ñi 'in na 'in yu, cui' cuaña'an m'ni ñi lo'o cula can'. 
JHN.21.14	Nde nu cua' nchca snan ya' ngulo'o tloo Jesús 'in yu ta'a mda'an ñi, ti' xa mdyiqui'o ñi.
JHN.21.15	Xa mdyi ycu jun juin Jesús 'in yu Simón Tyo can': Simón, sñe' Jonás, ¿ta lyee la lca tiquee lo'on que 'in cha' re? Mxcuen yu 'in ñi: Cui' cuaña'an, Ñi X'nan hua, 'un jlyo ti' um si'yana lyee lca tiqueen lo'o um. Juin ñi 'in yu xacan': Tsu'hue ti ña'an seen slya' cune' 'ñan. 
JHN.21.16	Mxitucui ñi ycui' ñi lo'o yu nu cua' nchca tucua ya': Simón, sñe' Jonás, ¿ta lyee lca tiquee lo'on? Mxcuen yu Tyo: Cui' cuaña'an Ñi X'nan hua, 'un jlyo ti' um si'yana lyee lca tiqueen lo'o um. Lo' juin ñi 'in yu: Tsu'hue ti ña'an seen slya' 'ñan. 
JHN.21.17	Xiya' ycui' ñi lo'o yu nu cua' nchca snan ya': Simón, sñe' Jonás, ¿ta lyee lca tiquee lo'on? Yu Tyo can' ngulu'un ti' yu si'yana snan ya' ticui' ti loo cha' ycui' ñi: ¿Ta lyee lca tiquee lo'on? Yu Tyo can' mxcuen yu 'in ñi: Ñi X'nan hua, 'un jlyo ti' um nchgaa loo cha', jlyo ti' um si'yana lyee lca tiqueen lo'o um. Juin Jesús 'in yu: Tsu'hue ti ña'an seen slya' 'ñan. 
JHN.21.18	Nu cha' ñi s'ni cunen lo'o: Xa ncua sca yu tsa suhue ti, mscan' sii' lo' yaa se'en nu ncua ti'. Una xa nu cua' cula ntsu'hui cha' xñii ne' scun, lo' xca tucui nu scan' 'in, tsa lo'o can' 'in se'en nu a nchca ti' tsaa. 
JHN.21.19	Nde cha' ycui' Jesús si'yana qui'ya yu Tyo can' cunta ña'an ntsu'hui cha' cujui ne' 'in yu, lo' taa yu loo Ndiose si'ya cha' can'. Ti' juin la ñi 'in yu: Chcui ncha'an 'ñan.
JHN.21.20	Xacan' mxina'an yu Tyo can' nde chon' yu, lo' na'an yu ljyaan xca yu ta'a mda'an ñi, cui' yu nu lyee ndyu'hui cuiya' ti' ñi 'in can', yu nu ngua'an nan' sii' ñi xa ycu siin jun lo' mñicha' 'in ñi: Ñi X'nan hua, ¿tucui ca nu ntsu'hui cha' tyaa 'in um? 
JHN.21.21	Lo' juin yu Tyo can' 'in Jesús xa na'an 'in yu: Ñi X'nan hua, ¿ña'an ta tsato'o 'in yu cua? 
JHN.21.22	Mxcuen Jesús 'in yu: Cha' nan' nchca tin' si'yana ti' ndi'in yu xa yaan xiya', ¿ñi cha' ntsu'hui yuhue ti' cha' re? Tsaloo chcui ncha'an ti 'ñan. 
JHN.21.23	Si'ya cha' nu ycui' ñi can', mdo'o yne cha' si'yana yu ta'a mda'an ñi can' a caja 'a yu. Una a juin Jesús si'yana a ntsu'hui cha' caja yu, cui' ca nu juin ñi: Cha' nan' nchca tin' si'yana ti' ndi'in yu xa yaan xiya', ¿ñi cha' ntsu'hui yuhue ti' cha' re? 
JHN.21.24	Cui' yu ta'a mda'an ñi can' lca nu ndaa suun cha' re, cui' yu ngua'an scua yu 'in na, lo' jlyo ti' hua si'yana nchcui' yu cha' nu ñi. 
JHN.21.25	Qui'an 'a cha' nu ti' m'ni Jesús, lo' cha' cua na cha'an scua na cunda scaa ti na, ñan tin' a cula loo chendyu re tyi'in quityi nu chcui' cha' can'. Amen.
ACT.1.1	Culoo quityi ngua'an tñan 'in um, cua' mtsan' 'in um, ñi Teófilo, nchgaa ña'an nu m'ni Jesús lo'o nchgaa cha' nu ngulo'o ñi ti' xa nu mdyisnan m'ni ñi tñan, 
ACT.1.2	tsaya' mdiyaa tsaan nu ycuen ñi nde ni' cuaan. Una culo nducua la, lo'o cha' cuiya' 'in Espíritu nu Luhui 'in Ndiose ycui' ñi lo'o yu ta'a mda'an ñi, yu nu cua' ngulohui ñi, ñi tñan ntsu'hui cha' cu'ni. 
ACT.1.3	Una xa cua' mdyiqui'o ñi, ti' ngulo'o tloo ñi 'in yu cha ni' chcua yla tsaan, si'yana ca cuiya' tsu'hue ti yu si'yana lo'o ca ñi, ti' ycui' ñi lo'o yu ña'an ntsu'hui cha' culo Ndiose tñan 'in nten. 
ACT.1.4	Lja nguio' ti'in yu ngulo ñi tñan 'in yu si'yana a tyi'o yu quichen Jerusalén cui' xaa, cui' ca nu quita yu tsaya' nu caan cha' nu cua' mdi'in tyaa Ndiose, cui' cha' nu cua' ycui' ñi lo'o yu: 
ACT.1.5	Cha' ñi si'yana yu Xuhua mducua tya yu 'in nten lo'o tyi'a, una ni' chcua xnan ti tsaan, cha'an yu'hui Espíritu nu Luhui 'in Ndiose 'in um.
ACT.1.6	Xacan' yu nu nguio' ti'in can' mñicha' yu 'in ñi, lo' juin yu: Ñi X'nan hua, ¿ta cua' taa um cha' cuiya' 'in quichen Israel si'yana xiya' culo na tñan se'en lyi'ya loo na? 
ACT.1.7	Mxcuen ñi 'in yu: A 'ni cha' ca jlyo ti' um ñi tsaan lo' ñi xaa tsato'o sca cha' nu cua' mdi'in tyaa Stina Ndiose, si'yana scati ñi ntsu'hui cha' cuiya' can' 'in ñi, 
ACT.1.8	una caja cha' cuiya' 'in um xa cha'an yu'hui Espíritu nu Luhui 'in Ndiose 'in um, xacan' tsa ycui' um cha' tsu'hue re 'ñan lo'o ne' Jerusalén, lo'o nchgaa nu ndi'in se'en lyi'ya loo Judea, lo'o Samaria, lo'o ña'aan sca chcui chendyu. 
ACT.1.9	Ña'aan mdyi ycui' Jesús cha' re, tloo na'an yu m'ni Ndiose cha' ycuen ñi nde ni' cuaan, lo' ngulyijyi yu'hui ñi ni' ndlaa. 
ACT.1.10	Lja ndon nan' 'ya yu se'en nguia nchcuen ñi nde ni' cuaan, tsati ntyin ngu'ya ton tucua yu qui'yu nu mten ste', 
ACT.1.11	lo' juin lo'o yu: 'Un ne' Galilea, ¿ñi cha' nan' 'ya um nde ni' cuaan? Cui' Jesús, ñi nu m'ni Ndiose cha' ycuen nde ni' cuaan, cui' tsaña'an na'an um ycuen ñi cua' ñii, cui' cuaña'an ntsu'hui cha' quiaan ñi loo chendyu re xiya'.
ACT.1.12	Xacan' mdo'o jun loo qui'ya nu naan Olivo, mxitucui jun nde quichen Jerusalén. Cui' ti nguinu qui'ya can' se'en lca Jerusalén, tsaña'an cuiya' nu nchcui' lee 'in ne' nu tca tyi'an ne' tsaan nu nxitñan' ne'. 
ACT.1.13	Xa nguila jun quichen can', yten jun ña'an se'en nu cua' nchca tucua nde cuaan se'en nguinu yu Tyo, lo'o yu Jacobo, lo'o yu Xuhua, lo'o yu Ndre, yu Lpe, yu Toma, yu Bartolomé, yu Mateo, lo'o yu Jacobo sñe' yu Alfeo, lo'o yu Simón ta yu Zelote, lo'o yu Juda ta'a yu Jacobo. 
ACT.1.14	Nchgaa jun sca cha' ti 'in jun nchcui' lyi'o jun 'in Ndiose, tsatlyu lo'o María jyi'an Jesús, lo'o ta'a ngula ñi, lo'o chcua xnan jun cuna'an ndiyo' ti'in can'. 
ACT.1.15	Yato'o sca tsaan can', mdyiton yu Tyo lja jun ta'a na, (lo' jun nu nguio' ti'in can', ndiyaa jun sca ciento ntsu'hui cla jun), lo' juin yu 'in jun: 
ACT.1.16	Nchgaa 'un jun ta'a na, m'ni cha' yato'o tsaña'an nu mxiycui' Espíritu nu Luhui 'in Ndiose 'in Davi cha' 'in yu Juda, cui' yu nu ya lo'o 'in nten nu msñi 'in Jesús. 
ACT.1.17	Tñan 'in Ndiose m'ni hua lo'o yu, cui' ta 'in hua ncua yu. 
ACT.1.18	Una lo'o tñi nu msu'hua lyiya' ne' 'in yu si'ya cha' ngunan' nu m'ni yu, msi'i ne' sca yuu, lo' se'en mchcan' tucui yu mdyu yu loo yuu can', ytsu ni' yu, lo' ña'aan tixe'en yu mdo'o ti'in na. 
ACT.1.19	Mscua cueen cha' re ña'aan quichen Jerusalén, can' cha' mdi'in tyaa ne' nii se'en can' ca naan na Acéldama, cha' re nchca ti' chcui': Yuu se'en nguilo tne. 
ACT.1.20	Si'yana nde cha' nu nguinu scua loo quityi Salmo: —Se'en lca tyi yu, ntsu'hui cha' quinu tucua lja na, a caja 'a xca tucui nu ti' tyi'in 'in na—. Nde xca cha' nu nchcui' quityi can': —Xca tucui ntsu'hui cha' sten tñan loo yu—. 
ACT.1.21	Can' cha' cua' ñii, 'ni cha' tyi'o hui sca yu nu ta'a mdyisnan mda'an hua lo'o Ñi X'nan na Jesús, 
ACT.1.22	ti' tsaan nu mducua tya yu Xuhua 'in ñi, tsaya' mdiyaa tsaan nu ycuen ñi nde ni' cuaan, si'yana ca sca cha' ti 'in hua lo'o yu nu taa hua suun si'yana cua' mdyiqui'o ñi. 
ACT.1.23	Xacan' ngulo ton jun 'in tucua yu nu ntsu'hui lja can', cui' yu naan See Barsabás, nu nchcui' ne' lo'o lca Justo, lo'o xca yu naan Matía. 
ACT.1.24	Xacan' ycui' lyi'o jun 'in Ndiose, lo' juin jun: Ñi Ndiose X'nan hua, scati um jlyo ti' um nchgaa ña'an lca cusya 'in nten, quitsa' um 'in hua ti ña'an chcuaa yu re cua' ngulohui um, 
ACT.1.25	nu ca sca cha' ti 'in hua lo'o yu nu cu'ni hua tñan 'in um, cui' tñan nu mxnu ti'in yu Juda can', si'yana cua' nguiaa yu se'en nu ntsu'hui cha' qui'ni ca'an 'in yu si'ya tñan ngunan' nu m'ni yu. 
ACT.1.26	Xacan' ngulo jun xu'hue 'in chcuaa yu can', lo' Matía m'ni ca'an cha' 'in si'yana ca sca cha' ti 'in lo'o cha tixca yu ta'a mda'an ca Jesús.
ACT.2.1	Xa mdiyaa ta'a Pentecostés, sca se'en ti nguio' ti'in jun, nchgaa jun. 
ACT.2.2	Tsati ntyin ngune nde ni' cuaan tsaña'an ne se'en ljyaan sca cui'in tnu, cui' ña'an lcaa ngune 'in jun se'en ndi'in jun ña'an can', 
ACT.2.3	xacan' ncua chcan' ngu'ya tucua sca na que jun cunda scaa jun, tsaña'an nchca ti' sca quii'. 
