MAT.1.1	ibrAhImaH santAnO dAyUd tasya santAnO yIzukhrISTastasya pUrvvapuruSavaMzazrENI|
JHN.21.7	tasmAd yIzOH priyatamaziSyaH pitarAyAkathayat ESa prabhu rbhavEt, ESa prabhuriti vAcaM zrutvaiva zimOn nagnatAhEtO rmatsyadhAriNa uttarIyavastraM paridhAya hradaM pratyudalamphayat|
JHN.21.8	aparE ziSyA matsyaiH sArddhaM jAlam AkarSantaH kSudranaukAM vAhayitvA kUlamAnayan tE kUlAd atidUrE nAsan dvizatahastEbhyO dUra Asan ityanumIyatE|
JHN.21.9	tIraM prAptaistaistatra prajvalitAgnistadupari matsyAH pUpAzca dRSTAH|
JHN.21.10	tatO yIzurakathayad yAn matsyAn adharata tESAM katipayAn Anayata|
JHN.21.11	ataH zimOnpitaraH parAvRtya gatvA bRhadbhistripanjcAzadadhikazatamatsyaiH paripUrNaM tajjAlam AkRSyOdatOlayat kintvEtAvadbhi rmatsyairapi jAlaM nAchidyata|
JHN.21.12	anantaraM yIzustAn avAdIt yUyamAgatya bhuMgdhvaM; tadA saEva prabhuriti jnjAtatvAt tvaM kaH? iti praSTuM ziSyANAM kasyApi pragalbhatA nAbhavat|
JHN.21.13	tatO yIzurAgatya pUpAn matsyAMzca gRhItvA tEbhyaH paryyavESayat|
JHN.21.14	itthaM zmazAnAdutthAnAt paraM yIzuH ziSyEbhyastRtIyavAraM darzanaM dattavAn|
JHN.21.15	bhOjanE samAptE sati yIzuH zimOnpitaraM pRSTavAn, hE yUnasaH putra zimOn tvaM kim EtEbhyOdhikaM mayi prIyasE? tataH sa uditavAn satyaM prabhO tvayi prIyE'haM tad bhavAn jAnAti; tadA yIzurakathayat tarhi mama mESazAvakagaNaM pAlaya|
JHN.21.16	tataH sa dvitIyavAraM pRSTavAn hE yUnasaH putra zimOn tvaM kiM mayi prIyasE? tataH sa uktavAn satyaM prabhO tvayi prIyE'haM tad bhavAn jAnAti; tadA yIzurakathayata tarhi mama mESagaNaM pAlaya|
JHN.21.17	pazcAt sa tRtIyavAraM pRSTavAn, hE yUnasaH putra zimOn tvaM kiM mayi prIyasE? EtadvAkyaM tRtIyavAraM pRSTavAn tasmAt pitarO duHkhitO bhUtvA'kathayat hE prabhO bhavataH kimapyagOcaraM nAsti tvayyahaM prIyE tad bhavAn jAnAti; tatO yIzuravadat tarhi mama mESagaNaM pAlaya|
JHN.21.18	ahaM tubhyaM yathArthaM kathayAmi yauvanakAlE svayaM baddhakaTi ryatrEcchA tatra yAtavAn kintvitaH paraM vRddhE vayasi hastaM vistArayiSyasi, anyajanastvAM baddhvA yatra gantuM tavEcchA na bhavati tvAM dhRtvA tatra nESyati|
JHN.21.19	phalataH kIdRzEna maraNEna sa Izvarasya mahimAnaM prakAzayiSyati tad bOdhayituM sa iti vAkyaM prOktavAn| ityuktE sati sa tamavOcat mama pazcAd Agaccha|
JHN.21.20	yO janO rAtrikAlE yIzO rvakSO'valambya, hE prabhO kO bhavantaM parakarESu samarpayiSyatIti vAkyaM pRSTavAn, taM yIzOH priyatamaziSyaM pazcAd AgacchantaM
JHN.21.21	pitarO mukhaM parAvarttya vilOkya yIzuM pRSTavAn, hE prabhO Etasya mAnavasya kIdRzI gati rbhaviSyati?
JHN.21.22	sa pratyavadat, mama punarAgamanaparyyantaM yadi taM sthApayitum icchAmi tatra tava kiM? tvaM mama pazcAd Agaccha|
JHN.21.23	tasmAt sa ziSyO na mariSyatIti bhrAtRgaNamadhyE kiMvadantI jAtA kintu sa na mariSyatIti vAkyaM yIzu rnAvadat kEvalaM mama punarAgamanaparyyantaM yadi taM sthApayitum icchAmi tatra tava kiM? iti vAkyam uktavAn|
JHN.21.24	yO jana EtAni sarvvANi likhitavAn atra sAkSyanjca dattavAn saEva sa ziSyaH, tasya sAkSyaM pramANamiti vayaM jAnImaH|
JHN.21.25	yIzurEtEbhyO'parANyapi bahUni karmmANi kRtavAn tAni sarvvANi yadyEkaikaM kRtvA likhyantE tarhi granthA EtAvantO bhavanti tESAM dhAraNE pRthivyAM sthAnaM na bhavati| iti||
ACT.1.1	hE thiyaphila, yIzuH svamanOnItAn prEritAn pavitrENAtmanA samAdizya yasmin dinE svargamArOhat yAM yAM kriyAmakarOt yadyad upAdizacca tAni sarvvANi pUrvvaM mayA likhitAni|
ACT.1.2	sa svanidhanaduHkhabhOgAt param anEkapratyayakSapramANauH svaM sajIvaM darzayitvA
ACT.1.3	catvAriMzaddinAni yAvat tEbhyaH prEritEbhyO darzanaM dattvEzvarIyarAjyasya varNanama akarOt|
ACT.1.4	anantaraM tESAM sabhAM kRtvA ityAjnjApayat, yUyaM yirUzAlamO'nyatra gamanamakRtvA yastin pitrAggIkRtE mama vadanAt kathA azRNuta tatprAptim apEkSya tiSThata|
ACT.1.5	yOhan jalE majjitAvAn kintvalpadinamadhyE yUyaM pavitra Atmani majjitA bhaviSyatha|
ACT.1.6	pazcAt tE sarvvE militvA tam apRcchan hE prabhO bhavAn kimidAnIM punarapi rAjyam isrAyElIyalOkAnAM karESu samarpayiSyati?
ACT.1.7	tataH sOvadat yAn sarvvAn kAlAn samayAMzca pitA svavazE'sthApayat tAn jnjAtRM yuSmAkam adhikArO na jAyatE|
ACT.1.8	kintu yuSmAsu pavitrasyAtmana AvirbhAvE sati yUyaM zaktiM prApya yirUzAlami samastayihUdAzOmirONadEzayOH pRthivyAH sImAM yAvad yAvantO dEzAstESu yarvvESu ca mayi sAkSyaM dAsyatha|
ACT.1.9	iti vAkyamuktvA sa tESAM samakSaM svargaM nItO'bhavat, tatO mEghamAruhya tESAM dRSTEragOcarO'bhavat|
ACT.1.10	yasmin samayE tE vihAyasaM pratyananyadRSTyA tasya tAdRzam Urdvvagamanam apazyan tasminnEva samayE zuklavastrau dvau janau tESAM sannidhau daNPAyamAnau kathitavantau,
ACT.1.11	hE gAlIlIyalOkA yUyaM kimarthaM gagaNaM prati nirIkSya daNPAyamAnAstiSThatha? yuSmAkaM samIpAt svargaM nItO yO yIzustaM yUyaM yathA svargam ArOhantam adarzam tathA sa punazcAgamiSyati|
ACT.1.12	tataH paraM tE jaitunanAmnaH parvvatAd vizrAmavArasya pathaH parimANam arthAt prAyENArddhakrOzaM durasthaM yirUzAlamnagaraM parAvRtyAgacchan|
ACT.1.13	nagaraM pravizya pitarO yAkUb yOhan AndriyaH philipaH thOmA barthajamayO mathirAlphIyaputrO yAkUb udyOgAी zimOn yAkUbO bhrAtA yihUdA EtE sarvvE yatra sthAnE pravasanti tasmin uparitanaprakOSThE prAvizan|
ACT.1.14	pazcAd imE kiyatyaH striyazca yIzO rmAtA mariyam tasya bhrAtarazcaitE sarvva EkacittIbhUta satataM vinayEna vinayEna prArthayanta|
ACT.1.15	tasmin samayE tatra sthAnE sAkalyEna viMzatyadhikazataM ziSyA Asan| tataH pitarastESAM madhyE tiSThan uktavAn
ACT.1.16	hE bhrAtRgaNa yIzudhAriNAM lOkAnAM pathadarzakO yO yihUdAstasmin dAyUdA pavitra AtmA yAM kathAM kathayAmAsa tasyAH pratyakSIbhavanasyAvazyakatvam AsIt|
ACT.1.17	sa janO'smAkaM madhyavarttI san asyAH sEvAyA aMzam alabhata|
ACT.1.18	tadanantaraM kukarmmaNA labdhaM yanmUlyaM tEna kSEtramEkaM krItam aparaM tasmin adhOmukhE bhRmau patitE sati tasyOdarasya vidIrNatvAt sarvvA nAPyO niragacchan|
ACT.1.19	EtAM kathAM yirUzAlamnivAsinaH sarvvE lOkA vidAnti; tESAM nijabhASayA tatkSEtranjca hakaldAmA, arthAt raktakSEtramiti vikhyAtamAstE|
ACT.1.20	anyacca, nikEtanaM tadIyantu zunyamEva bhaviSyati| tasya dUSyE nivAsArthaM kOpi sthAsyati naiva hi| anya Eva janastasya padaM saMprApsyati dhruvaM| itthaM gItapustakE likhitamAstE|
ACT.1.21	atO yOhanO majjanam ArabhyAsmAkaM samIpAt prabhO ryIzOH svargArOhaNadinaM yAvat sOsmAkaM madhyE yAvanti dinAni yApitavAn
ACT.1.22	tAvanti dinAni yE mAnavA asmAbhiH sArddhaM tiSThanti tESAm EkEna janEnAsmAbhiH sArddhaM yIzOrutthAnE sAkSiNA bhavitavyaM|
ACT.1.23	atO yasya rUPhi ryuSTO yaM barzabbEtyuktvAhUyanti sa yUSaph matathizca dvAvEtau pRthak kRtvA ta Izvarasya sannidhau prAryya kathitavantaH,
ACT.1.24	hE sarvvAntaryyAmin paramEzvara, yihUdAH sEvanaprEritatvapadacyutaH
ACT.1.25	san nijasthAnam agacchat, tatpadaM labdhum EnayO rjanayO rmadhyE bhavatA kO'bhirucitastadasmAn darzyatAM|
ACT.1.26	tatO guTikApATE kRtE matathirniracIyata tasmAt sOnyESAm EkAdazAnAM praritAnAM madhyE gaNitObhavat|
ACT.2.1	aparanjca nistArOtsavAt paraM panjcAzattamE dinE samupasthitE sati tE sarvvE EkAcittIbhUya sthAna Ekasmin militA Asan|
ACT.2.2	EtasminnEva samayE'kasmAd AkAzAt pracaNPAtyugravAyOH zabdavad EkaH zabda Agatya yasmin gRhE ta upAvizan tad gRhaM samastaM vyApnOt|
ACT.2.3	tataH paraM vahnizikhAsvarUpA jihvAH pratyakSIbhUya vibhaktAH satyaH pratijanOrddhvE sthagitA abhUvan|
ACT.2.4	tasmAt sarvvE pavitrENAtmanA paripUrNAH santa AtmA yathA vAcitavAn tadanusArENAnyadEzIyAnAM bhASA uktavantaH|
ACT.2.5	tasmin samayE pRthivIsthasarvvadEzEbhyO yihUdIyamatAvalambinO bhaktalOkA yirUzAlami prAvasan;
ACT.2.6	tasyAH kathAyAH kiMvadantyA jAtatvAt sarvvE lOkA militvA nijanijabhASayA ziSyANAM kathAkathanaM zrutvA samudvignA abhavan|
ACT.2.7	sarvvaEva vismayApannA AzcaryyAnvitAzca santaH parasparaM uktavantaH pazyata yE kathAM kathayanti tE sarvvE gAlIlIyalOkAH kiM na bhavanti?
ACT.2.8	tarhi vayaM pratyEkazaH svasvajanmadEzIyabhASAbhiH kathA EtESAM zRNumaH kimidaM?
ACT.2.9	pArthI-mAdI-arAmnaharayimdEzanivAsimanO yihUdA-kappadakiyA-panta-AziyA-
ACT.2.10	phrugiyA-pamphuliyA-misaranivAsinaH kurINInikaTavarttilUbIyapradEzanivAsinO rOmanagarAd AgatA yihUdIyalOkA yihUdIyamatagrAhiNaH krItIyA arAbIyAdayO lOkAzca yE vayam
ACT.2.11	asmAkaM nijanijabhASAbhirEtESAm IzvarIyamahAkarmmavyAkhyAnaM zRNumaH|
ACT.2.12	itthaM tE sarvvaEva vismayApannAH sandigdhacittAH santaH parasparamUcuH, asya kO bhAvaH?
ACT.2.13	aparE kEcit parihasya kathitavanta EtE navInadrAkSArasEna mattA abhavan|
ACT.2.14	tadA pitara EkAdazabhi rjanaiH sAkaM tiSThan tAllOkAn uccaiHkAram avadat, hE yihUdIyA hE yirUzAlamnivAsinaH sarvvE, avadhAnaM kRtvA madIyavAkyaM budhyadhvaM|
ACT.2.15	idAnIm EkayAmAd adhikA vElA nAsti tasmAd yUyaM yad anumAtha mAnavA imE madyapAnEna mattAstanna|
ACT.2.16	kintu yOyElbhaviSyadvaktraitadvAkyamuktaM yathA,
ACT.2.17	IzvaraH kathayAmAsa yugAntasamayE tvaham| varSiSyAmi svamAtmAnaM sarvvaprANyupari dhruvam| bhAvivAkyaM vadiSyanti kanyAH putrAzca vastutaH|pratyAdEzanjca prApsyanti yuSmAkaM yuvamAnavAH| tathA prAcInalOkAstu svapnAn drakSyanti nizcitaM|
ACT.2.18	varSiSyAmi tadAtmAnaM dAsadAsIjanOpiri| tEnaiva bhAvivAkyaM tE vadiSyanti hi sarvvazaH|
ACT.2.19	UrddhvasthE gagaNE caiva nIcasthE pRthivItalE| zONitAni bRhadbhAnUn ghanadhUmAdikAni ca| cihnAni darzayiSyAmi mahAzcaryyakriyAstathA|
ACT.2.20	mahAbhayAnakasyaiva taddinasya parEzituH| purAgamAd raviH kRSNO raktazcandrO bhaviSyataH|
ACT.2.21	kintu yaH paramEzasya nAmni samprArthayiSyatE| saEva manujO nUnaM paritrAtO bhaviSyati||
ACT.2.22	atO hE isrAyElvaMzIyalOkAH sarvvE kathAyAmEtasyAm manO nidhaddhvaM nAsaratIyO yIzurIzvarasya manOnItaH pumAn Etad IzvarastatkRtairAzcaryyAdbhutakarmmabhi rlakSaNaizca yuSmAkaM sAkSAdEva pratipAditavAn iti yUyaM jAnItha|
ACT.2.23	tasmin yIzau Izvarasya pUrvvanizcitamantraNAnirUpaNAnusArENa mRtyau samarpitE sati yUyaM taM dhRtvA duSTalOkAnAM hastaiH kruzE vidhitvAhata|
ACT.2.24	kintvIzvarastaM nidhanasya bandhanAnmOcayitvA udasthApayat yataH sa mRtyunA baddhastiSThatIti na sambhavati|
ACT.2.25	Etastin dAyUdapi kathitavAn yathA, sarvvadA mama sAkSAttaM sthApaya paramEzvaraM| sthitE maddakSiNE tasmin skhaliSyAmi tvahaM nahi|
ACT.2.26	AnandiSyati taddhEtO rmAmakInaM manastu vai| AhlAdiSyati jihvApi madIyA tu tathaiva ca| pratyAzayA zarIrantu madIyaM vaizayiSyatE|
ACT.2.27	paralOkE yatO hEtOstvaM mAM naiva hi tyakSyasi| svakIyaM puNyavantaM tvaM kSayituM naiva dAsyasi| EvaM jIvanamArgaM tvaM mAmEva darzayiSyasi|
ACT.2.28	svasammukhE ya AnandO dakSiNE svasya yat sukhaM| anantaM tEna mAM pUrNaM kariSyasi na saMzayaH||
ACT.2.29	hE bhrAtarO'smAkaM tasya pUrvvapuruSasya dAyUdaH kathAM spaSTaM kathayituM mAm anumanyadhvaM, sa prANAn tyaktvA zmazAnE sthApitObhavad adyApi tat zmazAnam asmAkaM sannidhau vidyatE|
ACT.2.30	phalatO laukikabhAvEna dAyUdO vaMzE khrISTaM janma grAhayitvA tasyaiva siMhAsanE samuvESTuM tamutthApayiSyati paramEzvaraH zapathaM kutvA dAyUdaH samIpa imam aggIkAraM kRtavAn,
ACT.2.31	iti jnjAtvA dAyUd bhaviSyadvAdI san bhaviSyatkAlIyajnjAnEna khrISTOtthAnE kathAmimAM kathayAmAsa yathA tasyAtmA paralOkE na tyakSyatE tasya zarIranjca na kSESyati;
ACT.2.32	ataH paramEzvara EnaM yIzuM zmazAnAd udasthApayat tatra vayaM sarvvE sAkSiNa AsmahE|
ACT.2.33	sa Izvarasya dakSiNakarENOnnatiM prApya pavitra Atmina pitA yamaggIkAraM kRtavAn tasya phalaM prApya yat pazyatha zRNutha ca tadavarSat|
ACT.2.34	yatO dAyUd svargaM nArurOha kintu svayam imAM kathAm akathayad yathA, mama prabhumidaM vAkyamavadat paramEzvaraH|
ACT.2.35	tava zatrUnahaM yAvat pAdapIThaM karOmi na| tAvat kAlaM madIyE tvaM dakSavArzva upAviza|
ACT.2.36	atO yaM yIzuM yUyaM kruzE'hata paramEzvarastaM prabhutvAbhiSiktatvapadE nyayuMktEti isrAyElIyA lOkA nizcitaM jAnantu|
ACT.2.37	EtAdRzIM kathAM zrutvA tESAM hRdayAnAM vidIrNatvAt tE pitarAya tadanyaprEritEbhyazca kathitavantaH, hE bhrAtRgaNa vayaM kiM kariSyAmaH?
ACT.2.38	tataH pitaraH pratyavadad yUyaM sarvvE svaM svaM manaH parivarttayadhvaM tathA pApamOcanArthaM yIzukhrISTasya nAmnA majjitAzca bhavata, tasmAd dAnarUpaM paritram AtmAnaM lapsyatha|
ACT.2.39	yatO yuSmAkaM yuSmatsantAnAnAnjca dUrasthasarvvalOkAnAnjca nimittam arthAd asmAkaM prabhuH paramEzvarO yAvatO lAkAn AhvAsyati tESAM sarvvESAM nimittam ayamaggIkAra AstE|
ACT.2.40	EtadanyAbhi rbahukathAbhiH pramANaM datvAkathayat EtEbhyO vipathagAmibhyO varttamAnalOkEbhyaH svAn rakSata|
ACT.2.41	tataH paraM yE sAnandAstAM kathAm agRhlan tE majjitA abhavan| tasmin divasE prAyENa trINi sahasrANi lOkAstESAM sapakSAH santaH
ACT.2.42	prEritAnAm upadEzE saggatau pUpabhanjjanE prArthanAsu ca manaHsaMyOgaM kRtvAtiSThan|
ACT.2.43	prEritai rnAnAprakAralakSaNESu mahAzcaryyakarmamasu ca darzitESu sarvvalOkAnAM bhayamupasthitaM|
ACT.2.44	vizvAsakAriNaH sarvva ca saha tiSThanataH| svESAM sarvvAH sampattIH sAdhAraNyEna sthApayitvAbhunjjata|
ACT.2.45	phalatO gRhANi dravyANi ca sarvvANi vikrIya sarvvESAM svasvaprayOjanAnusArENa vibhajya sarvvEbhyO'dadan|
ACT.2.46	sarvva EkacittIbhUya dinE dinE mandirE santiSThamAnA gRhE gRhE ca pUpAnabhanjjanta Izvarasya dhanyavAdaM kurvvantO lOkaiH samAdRtAH paramAnandEna saralAntaHkaraNEna bhOjanaM pAnanjcakurvvan|
ACT.2.47	paramEzvarO dinE dinE paritrANabhAjanai rmaNPalIm avarddhayat|
ACT.3.1	tRtIyayAmavElAyAM satyAM prArthanAyAH samayE pitarayOhanau sambhUya mandiraM gacchataH|
ACT.3.2	tasminnEva samayE mandirapravEzakAnAM samIpE bhikSAraNArthaM yaM janmakhanjjamAnuSaM lOkA mandirasya sundaranAmni dvArE pratidinam asthApayan taM vahantastadvAraM Anayan|
ACT.3.3	tadA pitarayOhanau mantiraM pravESTum udyatau vilOkya sa khanjjastau kinjcid bhikSitavAn|
ACT.3.4	tasmAd yOhanA sahitaH pitarastam ananyadRSTyA nirIkSya prOktavAn AvAM prati dRSTiM kuru|
ACT.3.5	tataH sa kinjcit prAptyAzayA tau prati dRSTiM kRtavAn|
ACT.3.6	tadA pitarO gaditavAn mama nikaTE svarNarUpyAdi kimapi nAsti kintu yadAstE tad dadAmi nAsaratIyasya yIzukhrISTasya nAmnA tvamutthAya gamanAgamanE kuru|
ACT.3.7	tataH paraM sa tasya dakSiNakaraM dhRtvA tam udatOlayat; tEna tatkSaNAt tasya janasya pAdagulphayOH sabalatvAt sa ullamphya prOtthAya gamanAgamanE 'karOt|
ACT.3.8	tatO gamanAgamanE kurvvan ullamphan IzvaraM dhanyaM vadan tAbhyAM sArddhaM mandiraM prAvizat|
ACT.3.9	tataH sarvvE lOkAstaM gamanAgamanE kurvvantam IzvaraM dhanyaM vadantanjca vilOkya
ACT.3.10	mandirasya sundarE dvArE ya upavizya bhikSitavAn saEvAyam iti jnjAtvA taM prati tayA ghaTanayA camatkRtA vismayApannAzcAbhavan|
ACT.3.11	yaH khanjjaH svasthObhavat tEna pitarayOhanOH karayOrdhTatayOH satOH sarvvE lOkA sannidhim Agacchan|
ACT.3.12	tad dRSTvA pitarastEbhyO'kathayat, hE isrAyElIyalOkA yUyaM kutO 'nEnAzcaryyaM manyadhvE? AvAM nijazaktyA yadvA nijapuNyEna khanjjamanuSyamEnaM gamitavantAviti cintayitvA AvAM prati kutO'nanyadRSTiM kurutha?
ACT.3.13	yaM yIzuM yUyaM parakarESu samArpayata tatO yaM pIlAtO mOcayitum Eैcchat tathApi yUyaM tasya sAkSAn nAggIkRtavanta ibrAhIma ishAkO yAkUbazcEzvarO'rthAd asmAkaM pUrvvapuruSANAm IzvaraH svaputrasya tasya yIzO rmahimAnaM prAkAzayat|
ACT.3.14	kintu yUyaM taM pavitraM dhArmmikaM pumAMsaM nAggIkRtya hatyAkAriNamEkaM svEbhyO dAtum ayAcadhvaM|
ACT.3.15	pazcAt taM jIvanasyAdhipatim ahata kintvIzvaraH zmazAnAt tam udasthApayata tatra vayaM sAkSiNa AsmahE|
ACT.3.16	imaM yaM mAnuSaM yUyaM pazyatha paricinutha ca sa tasya nAmni vizvAsakaraNAt calanazaktiM labdhavAn tasmin tasya yO vizvAsaH sa taM yuSmAkaM sarvvESAM sAkSAt sampUrNarUpENa svastham akArSIt|
ACT.3.17	hE bhrAtarO yUyaM yuSmAkam adhipatayazca ajnjAtvA karmmANyEtAni kRtavanta idAnIM mamaiSa bOdhO jAyatE|
ACT.3.18	kintvIzvaraH khrISTasya duHkhabhOgE bhaviSyadvAdinAM mukhEbhyO yAM yAM kathAM pUrvvamakathayat tAH kathA itthaM siddhA akarOt|
ACT.3.19	ataH svESAM pApamOcanArthaM khEdaM kRtvA manAMsi parivarttayadhvaM, tasmAd IzvarAt sAntvanAprAptEH samaya upasthAsyati;
ACT.3.20	punazca pUrvvakAlam Arabhya pracAritO yO yIzukhrISTastam IzvarO yuSmAn prati prESayiSyati|
ACT.3.21	kintu jagataH sRSTimArabhya IzvarO nijapavitrabhaviSyadvAdigaNOna yathA kathitavAn tadanusArENa sarvvESAM kAryyANAM siddhiparyyantaM tEna svargE vAsaH karttavyaH|
ACT.3.22	yuSmAkaM prabhuH paramEzvarO yuSmAkaM bhrAtRgaNamadhyAt matsadRzaM bhaviSyadvaktAram utpAdayiSyati, tataH sa yat kinjcit kathayiSyati tatra yUyaM manAMsi nidhaddhvaM|
ACT.3.23	kintu yaH kazcit prANI tasya bhaviSyadvAdinaH kathAM na grahISyati sa nijalOkAnAM madhyAd ucchEtsyatE," imAM kathAm asmAkaM pUrvvapuruSEbhyaH kEvalO mUsAH kathayAmAsa iti nahi,
ACT.3.24	zimUyElbhaviSyadvAdinam Arabhya yAvantO bhaviSyadvAkyam akathayan tE sarvvaEva samayasyaitasya kathAm akathayan|
ACT.3.25	yUyamapi tESAM bhaviSyadvAdinAM santAnAH, "tava vaMzOdbhavapuMsA sarvvadEzIyA lOkA AziSaM prAptA bhaviSyanti", ibrAhImE kathAmEtAM kathayitvA IzvarOsmAkaM pUrvvapuruSaiH sArddhaM yaM niyamaM sthirIkRtavAn tasya niyamasyAdhikAriNOpi yUyaM bhavatha|
ACT.3.26	ata IzvarO nijaputraM yIzum utthApya yuSmAkaM sarvvESAM svasvapApAt parAvarttya yuSmabhyam AziSaM dAtuM prathamatastaM yuSmAkaM nikaTaM prESitavAn|
ACT.4.1	yasmin samayE pitarayOhanau lOkAn upadizatastasmin samayE yAjakA mandirasya sEnApatayaH sidUkIgaNazca
ACT.4.2	tayOr upadEzakaraNE khrISTasyOtthAnam upalakSya sarvvESAM mRtAnAm utthAnaprastAvE ca vyagrAH santastAvupAgaman|
ACT.4.3	tau dhRtvA dinAvasAnakAraNAt paradinaparyyanantaM ruddhvA sthApitavantaH|
ACT.4.4	tathApi yE lOkAstayOrupadEzam azRNvan tESAM prAyENa panjcasahasrANi janA vyazvasan|
ACT.4.5	parE'hani adhipatayaH prAcInA adhyApakAzca hAnananAmA mahAyAjakaH
ACT.4.6	kiyaphA yOhan sikandara ityAdayO mahAyAjakasya jnjAtayaH sarvvE yirUzAlamnagarE militAH|
ACT.4.7	anantaraM prEritau madhyE sthApayitvApRcchan yuvAM kayA zaktayA vA kEna nAmnA karmmANyEtAni kuruthaH?
ACT.4.8	tadA pitaraH pavitrENAtmanA paripUrNaH san pratyavAdIt, hE lOkAnAm adhipatigaNa hE isrAyElIyaprAcInAH,
ACT.4.9	Etasya durbbalamAnuSasya hitaM yat karmmAkriyata, arthAt, sa yEna prakArENa svasthObhavat taccEd adyAvAM pRcchatha,
ACT.4.10	tarhi sarvva isrAyEेlIyalOkA yUyaM jAnIta nAsaratIyO yO yIzukhrISTaH kruzE yuSmAbhiravidhyata yazcEzvarENa zmazAnAd utthApitaH, tasya nAmnA janOyaM svasthaH san yuSmAkaM sammukhE prOttiSThati|
ACT.4.11	nicEtRbhi ryuSmAbhirayaM yaH prastarO'vajnjAtO'bhavat sa pradhAnakONasya prastarO'bhavat|
ACT.4.12	tadbhinnAdaparAt kasmAdapi paritrANaM bhavituM na zaknOti, yEna trANaM prApyEta bhUmaNPalasyalOkAnAM madhyE tAdRzaM kimapi nAma nAsti|
ACT.4.13	tadA pitarayOhanOrEtAdRzIm akSEbhatAM dRSTvA tAvavidvAMsau nIcalOkAviti buddhvA Azcaryyam amanyanta tau ca yIzOH sagginau jAtAviti jnjAtum azaknuvan|
ACT.4.14	kintu tAbhyAM sArddhaM taM svasthamAnuSaM tiSThantaM dRSTvA tE kAmapyaparAm ApattiM karttaM nAzaknun|
ACT.4.15	tadA tE sabhAtaH sthAnAntaraM gantuM tAn AjnjApya svayaM parasparam iti mantraNAmakurvvan
ACT.4.16	tau mAnavau prati kiM karttavyaM? tAvEkaM prasiddham AzcaryyaM karmma kRtavantau tad yirUzAlamnivAsinAM sarvvESAM lOkAnAM samIpE prAkAzata tacca vayamapahnOtuM na zaknumaH|
ACT.4.17	kintu lOkAnAM madhyam Etad yathA na vyApnOti tadarthaM tau bhayaM pradarzya tEna nAmnA kamapi manuSyaM nOpadizatam iti dRPhaM niSEdhAmaH|
ACT.4.18	tatastE prEritAvAhUya EtadAjnjApayan itaH paraM yIzO rnAmnA kadApi kAmapi kathAM mA kathayataM kimapi nOpadizanjca|
ACT.4.19	tataH pitarayOhanau pratyavadatAm IzvarasyAjnjAgrahaNaM vA yuSmAkam AjnjAgrahaNam EtayO rmadhyE Izvarasya gOcarE kiM vihitaM? yUyaM tasya vivEcanAM kuruta|
ACT.4.20	vayaM yad apazyAma yadazRNuma ca tanna pracArayiSyAma Etat kadApi bhavituM na zaknOti|
ACT.4.21	yadaghaTata tad dRSTA sarvvE lOkA Izvarasya guNAn anvavadan tasmAt lOkabhayAt tau daNPayituM kamapyupAyaM na prApya tE punarapi tarjayitvA tAvatyajan|
ACT.4.22	yasya mAnuSasyaitat svAsthyakaraNam AzcaryyaM karmmAkriyata tasya vayazcatvAriMzadvatsarA vyatItAH|
ACT.4.23	tataH paraM tau visRSTau santau svasagginAM sannidhiM gatvA pradhAnayAjakaiH prAcInalOkaizca prOktAH sarvvAH kathA jnjApitavantau|
ACT.4.24	tacchrutvA sarvva EkacittIbhUya Izvaramuddizya prOccairEtat prArthayanta, hE prabhO gagaNapRthivIpayOdhInAM tESu ca yadyad AstE tESAM sraSTEzvarastvaM|
ACT.4.25	tvaM nijasEvakEna dAyUdA vAkyamidam uvacitha, manuSyA anyadEzIyAH kurvvanti kalahaM kutaH| lOkAH sarvvE kimarthaM vA cintAM kurvvanti niSphalAM|
ACT.4.26	paramEzasya tEnaivAbhiSiktasya janasya ca| viruddhamabhitiSThanti pRthivyAH patayaH kutaH||
ACT.4.27	phalatastava hastEna mantraNayA ca pUrvva yadyat sthirIkRtaM tad yathA siddhaM bhavati tadarthaM tvaM yam athiSiktavAn sa Eva pavitrO yIzustasya prAtikUlyEna hErOd pantIyapIlAtO
ACT.4.28	'nyadEzIyalOkA isrAyEllOkAzca sarvva EtE sabhAyAm atiSThan|
ACT.4.29	hE paramEzvara adhunA tESAM tarjanaM garjananjca zRNu;
ACT.4.30	tathA svAsthyakaraNakarmmaNA tava bAhubalaprakAzapUrvvakaM tava sEvakAn nirbhayEna tava vAkyaM pracArayituM tava pavitraputrasya yIzO rnAmnA AzcaryyANyasambhavAni ca karmmANi karttunjcAjnjApaya|
ACT.4.31	itthaM prArthanayA yatra sthAnE tE sabhAyAm Asan tat sthAnaM prAkampata; tataH sarvvE pavitrENAtmanA paripUrNAH santa Izvarasya kathAm akSObhENa prAcArayan|
ACT.4.32	aparanjca pratyayakArilOkasamUhA Ekamanasa EkacittIbhUya sthitAH| tESAM kEpi nijasampattiM svIyAM nAjAnan kintu tESAM sarvvAH sampattyaH sAdhAraNyEna sthitAH|
ACT.4.33	anyacca prEritA mahAzaktiprakAzapUrvvakaM prabhO ryIzOrutthAnE sAkSyam adaduH, tESu sarvvESu mahAnugrahO'bhavacca|
ACT.4.34	tESAM madhyE kasyApi dravyanyUnatA nAbhavad yatastESAM gRhabhUmyAdyA yAH sampattaya Asan tA vikrIya
ACT.4.35	tanmUlyamAnIya prEritAnAM caraNESu taiH sthApitaM; tataH pratyEkazaH prayOjanAnusArENa dattamabhavat|
