MAT.1.1	ibrAhImaH santAno dAyUd tasya santAno yIshukhrIShTastasya pUrvvapuruShavaMshashreNI|
ACT.13.12	enAM ghaTanAM dR^iShTvA sa deshAdhipatiH prabhUpadeshAd vismitya vishvAsaM kR^itavAn|
ACT.13.13	tadanantaraM paulastatsa Nginau cha pAphanagarAt protaM chAlayitvA pamphuliyAdeshasya pargInagaram agachChan kintu yohan tayoH samIpAd etya yirUshAlamaM pratyAgachChat|
ACT.13.14	pashchAt tau pargIto yAtrAM kR^itvA pisidiyAdeshasya AntiyakhiyAnagaram upasthAya vishrAmavAre bhajanabhavanaM pravishya samupAvishatAM|
ACT.13.15	vyavasthAbhaviShyadvAkyayoH paThitayoH sato rhe bhrAtarau lokAn prati yuvayoH kAchid upadeshakathA yadyasti tarhi tAM vadataM tau prati tasya bhajanabhavanasyAdhipatayaH kathAm etAM kathayitvA praiShayan|
ACT.13.16	ataH paula uttiShThan hastena sa NketaM kurvvan kathitavAn he isrAyelIyamanuShyA IshvaraparAyaNAH sarvve lokA yUyam avadhaddhaM|
ACT.13.17	eteShAmisrAyellokAnAm Ishvaro.asmAkaM pUrvvaparuShAn manonItAn katvA gR^ihItavAn tato misari deshe pravasanakAle teShAmunnatiM kR^itvA tasmAt svIyabAhubalena tAn bahiH kR^itvA samAnayat|
ACT.13.18	chatvAriMshadvatsarAn yAvachcha mahAprAntare teShAM bharaNaM kR^itvA
ACT.13.19	kinAndeshAntarvvarttINi saptarAjyAni nAshayitvA guTikApAtena teShu sarvvadesheShu tebhyo.adhikAraM dattavAn|
ACT.13.20	pa nchAshadadhikachatuHshateShu vatsareShu gateShu cha shimUyelbhaviShyadvAdiparyyantaM teShAmupari vichArayitR^in niyuktavAn|
ACT.13.21	taishcha rAj ni prArthite, Ishvaro binyAmIno vaMshajAtasya kIshaH putraM shaulaM chatvAriMshadvarShaparyyantaM teShAmupari rAjAnaM kR^itavAn|
ACT.13.22	pashchAt taM padachyutaM kR^itvA yo madiShTakriyAH sarvvAH kariShyati tAdR^ishaM mama manobhimatam ekaM janaM yishayaH putraM dAyUdaM prAptavAn idaM pramANaM yasmin dAyUdi sa dattavAn taM dAyUdaM teShAmupari rAjatvaM karttum utpAditavAna|
ACT.13.23	tasya svapratishrutasya vAkyasyAnusAreNa isrAyellokAnAM nimittaM teShAM manuShyANAM vaMshAd Ishvara ekaM yIshuM (trAtAram) udapAdayat|
ACT.13.24	tasya prakAshanAt pUrvvaM yohan isrAyellokAnAM sannidhau manaHparAvarttanarUpaM majjanaM prAchArayat|
ACT.13.25	yasya cha karmmaNoे bhAraM praptavAn yohan tan niShpAdayan etAM kathAM kathitavAn, yUyaM mAM kaM janaM jAnItha? aham abhiShiktatrAtA nahi, kintu pashyata yasya pAdayoH pAdukayo rbandhane mochayitumapi yogyo na bhavAmi tAdR^isha eko jano mama pashchAd upatiShThati|
ACT.13.26	he ibrAhImo vaMshajAtA bhrAtaro he IshvarabhItAH sarvvalokA yuShmAn prati paritrANasya kathaiShA preritA|
ACT.13.27	yirUshAlamnivAsinasteShAm adhipatayashcha tasya yIshoH parichayaM na prApya prativishrAmavAraM paThyamAnAnAM bhaviShyadvAdikathAnAm abhiprAyam abuddhvA cha tasya vadhena tAH kathAH saphalA akurvvan|
ACT.13.28	prANahananasya kamapi hetum aprApyApi pIlAtasya nikaTe tasya vadhaM prArthayanta|
ACT.13.29	tasmin yAH kathA likhitAH santi tadanusAreNa karmma sampAdya taM krushAd avatAryya shmashAne shAyitavantaH|
ACT.13.30	kintvIshvaraH shmashAnAt tamudasthApayat,
ACT.13.31	punashcha gAlIlapradeshAd yirUshAlamanagaraM tena sArddhaM ye lokA AgachChan sa bahudinAni tebhyo darshanaM dattavAn, atasta idAnIM lokAn prati tasya sAkShiNaH santi|
ACT.13.32	asmAkaM pUrvvapuruShANAM samakSham Ishvaro yasmin pratij nAtavAn yathA, tvaM me putrosi chAdya tvAM samutthApitavAnaham|
ACT.13.33	idaM yadvachanaM dvitIyagIte likhitamAste tad yIshorutthAnena teShAM santAnA ye vayam asmAkaM sannidhau tena pratyakShI kR^itaM, yuShmAn imaM susaMvAdaM j nApayAmi|
ACT.13.34	parameshvareNa shmashAnAd utthApitaM tadIyaM sharIraM kadApi na kSheShyate, etasmin sa svayaM kathitavAn yathA dAyUdaM prati pratij nAto yo varastamahaM tubhyaM dAsyAmi|
ACT.13.35	etadanyasmin gIte.api kathitavAn| svakIyaM puNyavantaM tvaM kShayituM na cha dAsyasi|
ACT.13.36	dAyUdA IshvarAbhimatasevAyai nijAyuShi vyayite sati sa mahAnidrAM prApya nijaiH pUrvvapuruShaiH saha militaH san akShIyata;
ACT.13.37	kintu yamIshvaraH shmashAnAd udasthApayat sa nAkShIyata|
ACT.13.38	ato he bhrAtaraH, anena janena pApamochanaM bhavatIti yuShmAn prati prachAritam Aste|
ACT.13.39	phalato mUsAvyavasthayA yUyaM yebhyo doShebhyo muktA bhavituM na shakShyatha tebhyaH sarvvadoShebhya etasmin jane vishvAsinaH sarvve muktA bhaviShyantIti yuShmAbhi rj nAyatAM|
ACT.13.40	apara ncha| avaj nAkAriNo lokAshchakShurunmIlya pashyata| tathaivAsambhavaM j nAtvA syAta yUyaM vilajjitAH| yato yuShmAsu tiShThatsu kariShye karmma tAdR^ishaM| yenaiva tasya vR^ittAnte yuShmabhyaM kathite.api hi| yUyaM na tantu vR^ittAntaM pratyeShyatha kadAchana||
ACT.13.41	yeyaM kathA bhaviShyadvAdinAM grantheShu likhitAste sAvadhAnA bhavata sa kathA yathA yuShmAn prati na ghaTate|
ACT.13.42	yihUdIyabhajanabhavanAn nirgatayostayo rbhinnadeshIyai rvakShyamANA prArthanA kR^itA, AgAmini vishrAmavAre.api katheyam asmAn prati prachAritA bhavatviti|
ACT.13.43	sabhAyA bha Nge sati bahavo yihUdIyalokA yihUdIyamatagrAhiNo bhaktalokAshcha barNabbApaulayoH pashchAd AgachChan, tena tau taiH saha nAnAkathAH kathayitveshvarAnugrahAshraye sthAtuM tAn prAvarttayatAM|
ACT.13.44	paravishrAmavAre nagarasya prAyeNa sarvve lAkA IshvarIyAM kathAM shrotuM militAH,
ACT.13.45	kintu yihUdIyalokA jananivahaM vilokya IrShyayA paripUrNAH santo viparItakathAkathaneneshvaranindayA cha paulenoktAM kathAM khaNDayituM cheShTitavantaH|
ACT.13.46	tataH pauैlabarNabbAvakShobhau kathitavantau prathamaM yuShmAkaM sannidhAvIshvarIyakathAyAH prachAraNam uchitamAsIt kintuM tadagrAhyatvakaraNena yUyaM svAn anantAyuSho.ayogyAn darshayatha, etatkAraNAd vayam anyadeshIyalokAnAM samIpaM gachChAmaH|
ACT.13.47	prabhurasmAn ittham AdiShTavAn yathA, yAvachcha jagataH sImAM lokAnAM trANakAraNAt| mayAnyadeshamadhye tvaM sthApito bhUH pradIpavat||
ACT.13.48	tadA kathAmIdR^ishIM shrutvA bhinnadeshIyA AhlAditAH santaH prabhoH kathAM dhanyAM dhanyAm avadan, yAvanto lokAshcha paramAyuH prAptinimittaM nirUpitA Asan teे vyashvasan|
ACT.13.49	itthaM prabhoH kathA sarvvedeshaM vyApnot|
ACT.13.50	kintu yihUdIyA nagarasya pradhAnapuruShAn sammAnyAH kathipayA bhaktA yoShitashcha kupravR^ittiM grAhayitvA paulabarNabbau tADayitvA tasmAt pradeshAd dUrIkR^itavantaH|
ACT.13.51	ataH kAraNAt tau nijapadadhUlIsteShAM prAtikUlyena pAtayitveेkaniyaM nagaraM gatau|
ACT.13.52	tataH shiShyagaNa Anandena pavitreNAtmanA cha paripUrNobhavat|
ACT.14.1	tau dvau janau yugapad ikaniyanagarasthayihUdIyAnAM bhajanabhavanaM gatvA yathA bahavo yihUdIyA anyadeेshIyalokAshcha vyashvasan tAdR^ishIM kathAM kathitavantau|
ACT.14.2	kintu vishvAsahInA yihUdIyA anyadeshIyalokAn kupravR^ittiM grAhayitvA bhrAtR^igaNaM prati teShAM vairaM janitavantaH|
ACT.14.3	ataH svAnugrahakathAyAH pramANaM datvA tayo rhastai rbahulakShaNam adbhutakarmma cha prAkAshayad yaH prabhustasya kathA akShobhena prachAryya tau tatra bahudinAni samavAtiShThetAM|
ACT.14.4	kintu kiyanto lokA yihUdIyAnAM sapakShAH kiyanto lokAH preritAnAM sapakShA jAtAH, ato nAgarikajananivahamadhye bhinnavAkyatvam abhavat|
ACT.14.5	anyadeshIyA yihUdIyAsteShAm adhipatayashcha daurAtmyaM kutvA tau prastarairAhantum udyatAH|
ACT.14.6	tau tadvArttAM prApya palAyitvA lukAyaniyAdeshasyAntarvvarttilustrAdarbbo
ACT.14.7	tatsamIpasthadesha ncha gatvA tatra susaMvAdaM prachArayatAM|
ACT.14.8	tatrobhayapAdayoshchalanashaktihIno janmArabhya kha njaH kadApi gamanaM nAkarot etAdR^isha eko mAnuSho lustrAnagara upavishya paulasya kathAM shrutavAn|
ACT.14.9	etasmin samaye paulastamprati dR^iShTiM kR^itvA tasya svAsthye vishvAsaM viditvA prochchaiH kathitavAn
ACT.14.10	padbhyAmuttiShThan R^iju rbhava|tataH sa ullamphaM kR^itvA gamanAgamane kutavAn|
ACT.14.11	tadA lokAH paulasya tat kAryyaM vilokya lukAyanIyabhAShayA prochchaiH kathAmetAM kathitavantaH, devA manuShyarUpaM dhR^itvAsmAkaM samIpam avArohan|
ACT.14.12	te barNabbAM yUpitaram avadan paulashcha mukhyo vaktA tasmAt taM markuriyam avadan|
ACT.14.13	tasya nagarasya sammukhe sthApitasya yUpitaravigrahasya yAjako vR^iShAn puShpamAlAshcha dvArasamIpam AnIya lokaiH sarddhaM tAvuddishya samutsR^ijya dAtum udyataH|
ACT.14.14	tadvArttAM shrutvA barNabbApaulau svIyavastrANi ChitvA lokAnAM madhyaM vegena pravishya prochchaiH kathitavantau,
ACT.14.15	he mahechChAH kuta etAdR^ishaM karmma kurutha? AvAmapi yuShmAdR^ishau sukhaduHkhabhoginau manuShyau, yuyam etAH sarvvA vR^ithAkalpanAH parityajya yathA gagaNavasundharAjalanidhInAM tanmadhyasthAnAM sarvveShA ncha sraShTAramamaram IshvaraM prati parAvarttadhve tadartham AvAM yuShmAkaM sannidhau susaMvAdaM prachArayAvaH|
ACT.14.16	sa IshvaraH pUrvvakAle sarvvadeshIyalokAn svasvamArge chalitumanumatiM dattavAn,
ACT.14.17	tathApi AkAshAt toyavarShaNena nAnAprakArashasyotpatyA cha yuShmAkaM hitaiShI san bhakShyairAnanadena cha yuShmAkam antaHkaraNAni tarpayan tAni dAnAni nijasAkShisvarUpANi sthapitavAn|
ACT.14.18	kintu tAdR^ishAyAM kathAyAM kathitAyAmapi tayoH samIpa utsarjanAt lokanivahaM prAyeNa nivarttayituM nAshaknutAm|
ACT.14.19	AntiyakhiyA-ikaniyanagarAbhyAM katipayayihUdIyalokA Agatya lokAn prAvarttayanta tasmAt tai paulaM prastarairAghnan tena sa mR^ita iti vij nAya nagarasya bahistam AkR^iShya nItavantaH|
ACT.14.20	kintu shiShyagaNe tasya chaturdishi tiShThati sati sa svayam utthAya punarapi nagaramadhyaM prAvishat tatpare.ahani barNabbAsahito darbbInagaraM gatavAn|
ACT.14.21	tatra susaMvAdaM prachAryya bahulokAn shiShyAn kR^itvA tau lustrAm ikaniyam AntiyakhiyA ncha parAvR^itya gatau|
ACT.14.22	bahuduHkhAni bhuktvApIshvararAjyaM praveShTavyam iti kAraNAd dharmmamArge sthAtuM vinayaM kR^itvA shiShyagaNasya manaHsthairyyam akurutAM|
ACT.14.23	maNDalInAM prAchInavargAn niyujya prArthanopavAsau kR^itvA yatprabhau te vyashvasan tasya haste tAn samarpya
ACT.14.24	pisidiyAmadhyena pAmphuliyAdeshaM gatavantau|
ACT.14.25	pashchAt pargAnagaraM gatvA susaMvAdaM prachAryya attAliyAnagaraM prasthitavantau|
ACT.14.26	tasmAt samudrapathena gatvA tAbhyAM yat karmma sampannaM tatkarmma sAdhayituM yannagare dayAlorIshvarasya haste samarpitau jAtau tad AntiyakhiyAnagaraM gatavantA|
ACT.14.27	tatropasthAya tannagarasthamaNDalIM saMgR^ihya svAbhyAma Ishvaro yadyat karmmakarot tathA yena prakAreNa bhinnadeshIyalokAn prati vishvAsarUpadvAram amochayad etAn sarvvavR^ittAntAn tAn j nApitavantau|
ACT.14.28	tatastau shiryyaiH sArddhaM tatra bahudinAni nyavasatAm|
ACT.15.1	yihUdAdeshAt kiyanto janA Agatya bhrAtR^igaNamitthaM shikShitavanto mUsAvyavasthayA yadi yuShmAkaM tvakChedo na bhavati tarhi yUyaM paritrANaM prAptuM na shakShyatha|
ACT.15.2	paulabarNabbau taiH saha bahUn vichArAn vivAdAMshcha kR^itavantau, tato maNDalIyanokA etasyAH kathAyAstattvaM j nAtuM yirUshAlamnagarasthAn preritAn prAchInAMshcha prati paulabarNabbAprabhR^itIn katipayajanAn preShayituM nishchayaM kR^itavantaH|
ACT.15.3	te maNDalyA preritAH santaH phaiNIkIshomirondeshAbhyAM gatvA bhinnadeshIyAnAM manaHparivarttanasya vArttayA bhrAtR^iNAM paramAhlAdam ajanayan|
ACT.15.4	yirUshAlamyupasthAya preritagaNena lokaprAchInagaNena samAjena cha samupagR^ihItAH santaH svairIshvaro yAni karmmANi kR^itavAn teShAM sarvvavR^ittAntAn teShAM samakSham akathayan|
ACT.15.5	kintu vishvAsinaH kiyantaH phirUshimatagrAhiNo lokA utthAya kathAmetAM kathitavanto bhinnadeshIyAnAM tvakChedaM karttuM mUsAvyavasthAM pAlayitu ncha samAdeShTavyam|
ACT.15.6	tataH preritA lokaprAchInAshcha tasya vivechanAM karttuM sabhAyAM sthitavantaH|
ACT.15.7	bahuvichAreShu jAtaShu pitara utthAya kathitavAn, he bhrAtaro yathA bhinnadeshIyalokA mama mukhAt susaMvAdaM shrutvA vishvasanti tadarthaM bahudinAt pUrvvam IshvarosmAkaM madhye mAM vR^itvA niyuktavAn|
ACT.15.8	antaryyAmIshvaro yathAsmabhyaM tathA bhinnadeshIyebhyaH pavitramAtmAnaM pradAya vishvAsena teShAm antaHkaraNAni pavitrANi kR^itvA
ACT.15.9	teShAm asmAka ncha madhye kimapi visheShaM na sthApayitvA tAnadhi svayaM pramANaM dattavAn iti yUyaM jAnItha|
ACT.15.10	ataevAsmAkaM pUrvvapuruShA vaya ncha svayaM yadyugasya bhAraM soDhuM na shaktAH samprati taM shiShyagaNasya skandheShu nyasituM kuta Ishvarasya parIkShAM kariShyatha?
ACT.15.11	prabho ryIshukhrIShTasyAnugraheNa te yathA vayamapi tathA paritrANaM prAptum AshAM kurmmaH|
ACT.15.12	anantaraM barNabbApaulAbhyAm Ishvaro bhinnadeshIyAnAM madhye yadyad Ashcharyyam adbhuta ncha karmma kR^itavAn tadvR^ittAntaM tau svamukhAbhyAm avarNayatAM sabhAsthAH sarvve nIravAH santaH shrutavantaH|
ACT.15.13	tayoH kathAyAM samAptAyAM satyAM yAkUb kathayitum ArabdhavAn
ACT.15.14	he bhrAtaro mama kathAyAm mano nidhatta| IshvaraH svanAmArthaM bhinnadeshIyalokAnAm madhyAd ekaM lokasaMghaM grahItuM matiM kR^itvA yena prakAreNa prathamaM tAn prati kR^ipAvalekanaM kR^itavAn taM shimon varNitavAn|
ACT.15.15	bhaviShyadvAdibhiruktAni yAni vAkyAni taiH sArddham etasyaikyaM bhavati yathA likhitamAste|
ACT.15.16	sarvveShAM karmmaNAM yastu sAdhakaH parameshvaraH| sa evedaM vadedvAkyaM sheShAH sakalamAnavAH| bhinnadeshIyalokAshcha yAvanto mama nAmataH| bhavanti hi suvikhyAtAste yathA parameshituH|
ACT.15.17	tatvaM samyak samIhante tannimittamahaM kila| parAvR^itya samAgatya dAyUdaH patitaM punaH| dUShyamutthApayiShyAmi tadIyaM sarvvavastu cha| patitaM punaruthApya sajjayiShyAmi sarvvathA||
ACT.15.18	A prathamAd IshvaraH svIyAni sarvvakarmmANi jAnAti|
ACT.15.19	ataeva mama nivedanamidaM bhinnadeshIyalokAnAM madhye ye janA IshvaraM prati parAvarttanta teShAmupari anyaM kamapi bhAraM na nyasya
ACT.15.20	devatAprasAdAshuchibhakShyaM vyabhichArakarmma kaNThasampIDanamAritaprANibhakShyaM raktabhakShya ncha etAni parityaktuM likhAmaH|
ACT.15.21	yataH pUrvvakAlato mUsAvyavasthAprachAriNo lokA nagare nagare santi prativishrAmavAra ncha bhajanabhavane tasyAH pATho bhavati|
ACT.15.22	tataH paraM preritagaNo lokaprAchInagaNaH sarvvA maNDalI cha sveShAM madhye barshabbA nAmnA vikhyAto manonItau kR^itvA paulabarNabbAbhyAM sArddham AntiyakhiyAnagaraM prati preShaNam uchitaM buddhvA tAbhyAM patraM praiShayan|
ACT.15.23	tasmin patre likhitamiMda, AntiyakhiyA-suriyA-kilikiyAdeshasthabhinnadeshIyabhrAtR^igaNAya preritagaNasya lokaprAchInagaNasya bhrAtR^igaNasya cha namaskAraH|
ACT.15.24	visheShato.asmAkam Aj nAm aprApyApi kiyanto janA asmAkaM madhyAd gatvA tvakChedo mUsAvyavasthA cha pAlayitavyAviti yuShmAn shikShayitvA yuShmAkaM manasAmasthairyyaM kR^itvA yuShmAn sasandehAn akurvvan etAM kathAM vayam ashR^inma|
ACT.15.25	tatkAraNAd vayam ekamantraNAH santaH sabhAyAM sthitvA prabho ryIshukhrIShTasya nAmanimittaM mR^ityumukhagatAbhyAmasmAkaM
ACT.15.26	priyabarNabbApaulAbhyAM sArddhaM manonItalokAnAM keShA nchid yuShmAkaM sannidhau preShaNam uchitaM buddhavantaH|
ACT.15.27	ato yihUdAsIlau yuShmAn prati preShitavantaH, etayo rmukhAbhyAM sarvvAM kathAM j nAsyatha|
ACT.15.28	devatAprasAdabhakShyaM raktabhakShyaM galapIDanamAritaprANibhakShyaM vyabhichArakarmma chemAni sarvvANi yuShmAbhistyAjyAni; etatprayojanIyAj nAvyatirekena yuShmAkam upari bhAramanyaM na nyasituM pavitrasyAtmano.asmAka ncha uchitaj nAnam abhavat|
ACT.15.29	ataeva tebhyaH sarvvebhyaH sveShu rakShiteShu yUyaM bhadraM karmma kariShyatha| yuShmAkaM ma NgalaM bhUyAt|
ACT.15.30	teे visR^iShTAH santa AntiyakhiyAnagara upasthAya lokanivahaM saMgR^ihya patram adadan|
ACT.15.31	tataste tatpatraM paThitvA sAntvanAM prApya sAnandA abhavan|
ACT.15.32	yihUdAsIlau cha svayaM prachArakau bhUtvA bhrAtR^igaNaM nAnopadishya tAn susthirAn akurutAm|
ACT.15.33	itthaM tau tatra taiH sAkaM katipayadinAni yApayitvA pashchAt preritAnAM samIpe pratyAgamanArthaM teShAM sannidheH kalyANena visR^iShTAvabhavatAM|
ACT.15.34	kintu sIlastatra sthAtuM vA nChitavAn|
ACT.15.35	aparaM paulabarNabbau bahavaH shiShyAshcha lokAn upadishya prabhoH susaMvAdaM prachArayanta AntiyakhiyAyAM kAlaM yApitavantaH|
ACT.15.36	katipayadineShu gateShu paulo barNabbAm avadat AgachChAvAM yeShu nagareShvIshvarasya susaMvAdaM prachAritavantau tAni sarvvanagarANi punargatvA bhrAtaraH kIdR^ishAH santIti draShTuM tAn sAkShAt kurvvaH|
ACT.15.37	tena mArkanAmnA vikhyAtaM yohanaM sa NginaM karttuM barNabbA matimakarot,
ACT.15.38	kintu sa pUrvvaM tAbhyAM saha kAryyArthaM na gatvA pAmphUliyAdeshe tau tyaktavAn tatkAraNAt paulastaM sa NginaM karttum anuchitaM j nAtavAn|
ACT.15.39	itthaM tayoratishayavirodhasyopasthitatvAt tau parasparaM pR^ithagabhavatAM tato barNabbA mArkaM gR^ihItvA potena kupropadvIpaM gatavAn;
ACT.15.40	kintu paulaH sIlaM manonItaM kR^itvA bhrAtR^ibhirIshvarAnugrahe samarpitaH san prasthAya
ACT.15.41	suriyAkilikiyAdeshAbhyAM maNDalIH sthirIkurvvan agachChat|
ACT.16.1	paulo darbbIlustrAnagarayorupasthitobhavat tatra tImathiyanAmA shiShya eka AsIt; sa vishvAsinyA yihUdIyAyA yoShito garbbhajAtaH kintu tasya pitAnyadeshIyalokaH|
ACT.16.2	sa jano lustrA-ikaniyanagarasthAnAM bhrAtR^iNAM samIpepi sukhyAtimAn AsIt|
ACT.16.3	paulastaM svasa NginaM karttuM matiM kR^itvA taM gR^ihItvA taddeshanivAsinAM yihUdIyAnAm anurodhAt tasya tvakChedaM kR^itavAn yatastasya pitA bhinnadeshIyaloka iti sarvvairaj nAyata|
ACT.16.4	tataH paraM te nagare nagare bhramitvA yirUshAlamasthaiH preritai rlokaprAchInaishcha nirUpitaM yad vyavasthApatraM tadanusAreNAcharituM lokebhyastad dattavantaH|
ACT.16.5	tenaiva sarvve dharmmasamAjAH khrIShTadharmme susthirAH santaH pratidinaM varddhitA abhavan|
ACT.16.6	teShu phrugiyAgAlAtiyAdeshamadhyena gateShu satsu pavitra AtmA tAn AshiyAdeshe kathAM prakAshayituM pratiShiddhavAn|
ACT.16.7	tathA musiyAdesha upasthAya bithuniyAM gantuM tairudyoge kR^ite AtmA tAn nAnvamanyata|
ACT.16.8	tasmAt te musiyAdeshaM parityajya troyAnagaraM gatvA samupasthitAH|
ACT.16.9	rAtrau paulaH svapne dR^iShTavAn eko mAkidaniyalokastiShThan vinayaM kR^itvA tasmai kathayati, mAkidaniyAdesham AgatyAsmAn upakurvviti|
ACT.16.10	tasyetthaM svapnadarshanAt prabhustaddeshIyalokAn prati susaMvAdaM prachArayitum asmAn AhUyatIti nishchitaM buddhvA vayaM tUrNaM mAkidaniyAdeshaM gantum udyogam akurmma|
ACT.16.11	tataH paraM vayaM troyAnagarAd prasthAya R^ijumArgeNa sAmathrAkiyopadvIpena gatvA pare.ahani niyApalinagara upasthitAH|
ACT.16.12	tasmAd gatvA mAkidaniyAntarvvartti romIyavasatisthAnaM yat philipInAmapradhAnanagaraM tatropasthAya katipayadinAni tatra sthitavantaH|
ACT.16.13	vishrAmavAre nagarAd bahi rgatvA nadItaTe yatra prArthanAchAra AsIt tatropavishya samAgatA nArIH prati kathAM prAchArayAma|
ACT.16.14	tataH thuyAtIrAnagarIyA dhUSharAmbaravikrAyiNI ludiyAnAmikA yA IshvarasevikA yoShit shrotrINAM madhya AsIt tayA pauloktavAkyAni yad gR^ihyante tadarthaM prabhustasyA manodvAraM muktavAn|
ACT.16.15	ataH sA yoShit saparivArA majjitA satI vinayaM kR^itvA kathitavatI, yuShmAkaM vichArAd yadi prabhau vishvAsinI jAtAhaM tarhi mama gR^iham Agatya tiShThata| itthaM sA yatnenAsmAn asthApayat|
ACT.16.16	yasyA gaNanayA tadadhipatInAM bahudhanopArjanaM jAtaM tAdR^ishI gaNakabhUtagrastA kAchana dAsI prArthanAsthAnagamanakAla AgatyAsmAn sAkShAt kR^itavatI|
ACT.16.17	sAsmAkaM paulasya cha pashchAd etya prochchaiH kathAmimAM kathitavatI, manuShyA ete sarvvoparisthasyeshvarasya sevakAH santo.asmAn prati paritrANasya mArgaM prakAshayanti|
ACT.16.18	sA kanyA bahudinAni tAdR^isham akarot tasmAt paulo duHkhitaH san mukhaM parAvartya taM bhUtamavadad, ahaM yIshukhrIShTasya nAmnA tvAmAj nApayAmi tvamasyA bahirgachCha; tenaiva tatkShaNAt sa bhUtastasyA bahirgataH|
ACT.16.19	tataH sveShAM lAbhasya pratyAshA viphalA jAteti vilokya tasyAH prabhavaH paulaM sIla ncha dhR^itvAkR^iShya vichArasthAne.adhipatInAM samIpam Anayan|
ACT.16.20	tataH shAsakAnAM nikaTaM nItvA romilokA vayam asmAkaM yad vyavaharaNaM grahItum Acharitu ncha niShiddhaM,
ACT.16.21	ime yihUdIyalokAH santopi tadeva shikShayitvA nagare.asmAkam atIva kalahaM kurvvanti,
ACT.16.22	iti kathite sati lokanivahastayoH prAtikUlyenodatiShThat tathA shAsakAstayo rvastrANi ChitvA vetrAghAtaM karttum Aj nApayan|
ACT.16.23	aparaM te tau bahu prahAryya tvametau kArAM nItvA sAvadhAnaM rakShayeti kArArakShakam Adishan|
ACT.16.24	ittham Aj nAM prApya sa tAvabhyantarasthakArAM nItvA pAdeShu pAdapAshIbhi rbaddhvA sthApitAvAn|
ACT.16.25	atha nishIthasamaye paulasIlAvIshvaramuddishya prAthanAM gAna ncha kR^itavantau, kArAsthitA lokAshcha tadashR^iNvan
ACT.16.26	tadAkasmAt mahAn bhUmikampo.abhavat tena bhittimUlena saha kArA kampitAbhUt tatkShaNAt sarvvANi dvArANi muktAni jAtAni sarvveShAM bandhanAni cha muktAni|
ACT.16.27	ataeva kArArakShako nidrAto jAgaritvA kArAyA dvArANi muktAni dR^iShTvA bandilokAH palAyitA ityanumAya koShAt kha NgaM bahiH kR^itvAtmaghAtaM karttum udyataH|
ACT.16.28	kintu paulaH prochchaistamAhUya kathitavAn pashya vayaM sarvve.atrAsmahe, tvaM nijaprANahiMsAM mAkArShIH|
ACT.16.29	tadA pradIpam Anetum uktvA sa kampamAnaH san ullampyAbhyantaram Agatya paulasIlayoH pAdeShu patitavAn|
ACT.16.30	pashchAt sa tau bahirAnIya pR^iShTavAn he mahechChau paritrANaM prAptuM mayA kiM karttavyaM?
ACT.16.31	pashchAt tau svagR^ihamAnIya tayoH sammukhe khAdyadravyANi sthApitavAn tathA sa svayaM tadIyAH sarvve parivArAshcheshvare vishvasantaH sAnanditA abhavan|
ACT.16.32	tasmai tasya gR^ihasthitasarvvalokebhyashcha prabhoH kathAM kathitavantau|
ACT.16.33	tathA rAtrestasminneva daNDe sa tau gR^ihItvA tayoH prahArANAM kShatAni prakShAlitavAn tataH sa svayaM tasya sarvve parijanAshcha majjitA abhavan|
ACT.16.34	pashchAt tau svagR^ihamAnIya tayoH sammukhe khAdyadravyANi sthApitavAn tathA sa svayaM tadIyAH sarvve parivArAshcheshvare vishvasantaH sAnanditA abhavan|
ACT.16.35	dina upasthite tau lokau mochayeti kathAM kathayituM shAsakAH padAtigaNaM preShitavantaH|
ACT.16.36	tataH kArArakShakaH paulAya tAM vArttAM kathitavAn yuvAM tyAjayituM shAsakA lokAna preShitavanta idAnIM yuvAM bahi rbhUtvA kushalena pratiShThetAM|
ACT.16.37	kintu paulastAn avadat romilokayorAvayoH kamapi doSham na nishchitya sarvveShAM samakSham AvAM kashayA tADayitvA kArAyAM baddhavanta idAnIM kimAvAM guptaM vistrakShyanti? tanna bhaviShyati, svayamAgatyAvAM bahiH kR^itvA nayantu|
ACT.16.38	tadA padAtibhiH shAsakebhya etadvArttAyAM kathitAyAM tau romilokAviti kathAM shrutvA te bhItAH
ACT.16.39	santastayoH sannidhimAgatya vinayam akurvvan aparaM bahiH kR^itvA nagarAt prasthAtuM prArthitavantaH|
ACT.16.40	tatastau kArAyA nirgatya ludiyAyA gR^ihaM gatavantau tatra bhrAtR^igaNaM sAkShAtkR^itya tAn sAntvayitvA tasmAt sthAnAt prasthitau|
ACT.17.1	paulasIlau AmphipalyApalloniyAnagarAbhyAM gatvA yatra yihUdIyAnAM bhajanabhavanamekam Aste tatra thiShalanIkInagara upasthitau|
ACT.17.2	tadA paulaH svAchArAnusAreNa teShAM samIpaM gatvA vishrAmavAratraye taiH sArddhaM dharmmapustakIyakathAyA vichAraM kR^itavAn|
ACT.17.3	phalataH khrIShTena duHkhabhogaH karttavyaH shmashAnadutthAna ncha karttavyaM yuShmAkaM sannidhau yasya yIshoH prastAvaM karomi sa IshvareNAbhiShiktaH sa etAH kathAH prakAshya pramANaM datvA sthirIkR^itavAn|
ACT.17.4	tasmAt teShAM katipayajanA anyadeshIyA bahavo bhaktalokA bahyaH pradhAnanAryyashcha vishvasya paulasIlayoH pashchAdgAmino jAtAH|
