MAT.1.1	ibrāhīmaḥ santāno dāyūd tasya santāno yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśreṇī|
ACT.13.1	aparañca barṇabbāḥ, śimon yaṁ nigraṁ vadanti, kurīnīyalūkiyo herodā rājñā saha kṛtavidyāाbhyāso minahem, śaulaścaite ye kiyanto janā bhaviṣyadvādina upadeṣṭāraścāntiyakhiyānagarasthamaṇḍalyām āsan,
ACT.13.2	te yadopavāsaṁ kṛtveśvaram asevanta tasmin samaye pavitra ātmā kathitavān ahaṁ yasmin karmmaṇi barṇabbāśailau niyuktavān tatkarmma karttuṁ tau pṛthak kuruta|
ACT.13.3	tatastairupavāsaprārthanayoḥ kṛtayoḥ satoste tayo rgātrayo rhastārpaṇaṁ kṛtvā tau vyasṛjan|
ACT.13.4	tataḥ paraṁ tau pavitreṇātmanā preritau santau silūkiyānagaram upasthāya samudrapathena kupropadvīpam agacchatāṁ|
ACT.13.5	tataḥ sālāmīnagaram upasthāya tatra yihūdīyānāṁ bhajanabhavanāni gatveśvarasya kathāṁ prācārayatāṁ; yohanapi tatsahacaro'bhavat|
ACT.13.6	itthaṁ te tasyopadvīpasya sarvvatra bhramantaḥ pāphanagaram upasthitāḥ; tatra suvivecakena sarjiyapaulanāmnā taddeśādhipatinā saha bhaviṣyadvādino veśadhārī baryīśunāmā yo māyāvī yihūdī āsīt taṁ sākṣāt prāptavataḥ|
ACT.13.7	taddeśādhipa īśvarasya kathāṁ śrotuṁ vāñchan paulabarṇabbau nyamantrayat|
ACT.13.8	kintvilumā yaṁ māyāvinaṁ vadanti sa deśādhipatiṁ dharmmamārgād bahirbhūtaṁ karttum ayatata|
ACT.13.9	tasmāt śolo'rthāt paulaḥ pavitreṇātmanā paripūrṇaḥ san taṁ māyāvinaṁ pratyananyadṛṣṭiṁ kṛtvākathayat,
ACT.13.10	he narakin dharmmadveṣin kauṭilyaduṣkarmmaparipūrṇa, tvaṁ kiṁ prabhoḥ satyapathasya viparyyayakaraṇāt kadāpi na nivarttiṣyase?
ACT.13.11	adhunā parameśvarastava samucitaṁ kariṣyati tena katipayadināni tvam andhaḥ san sūryyamapi na drakṣyasi| tatkṣaṇād rātrivad andhakārastasya dṛṣṭim ācchāditavān; tasmāt tasya hastaṁ dharttuṁ sa lokamanvicchan itastato bhramaṇaṁ kṛtavān|
ACT.13.12	enāṁ ghaṭanāṁ dṛṣṭvā sa deśādhipatiḥ prabhūpadeśād vismitya viśvāsaṁ kṛtavān|
ACT.13.13	tadanantaraṁ paulastatsaṅginau ca pāphanagarāt protaṁ cālayitvā pamphuliyādeśasya pargīnagaram agacchan kintu yohan tayoḥ samīpād etya yirūśālamaṁ pratyāgacchat|
ACT.13.14	paścāt tau pargīto yātrāṁ kṛtvā pisidiyādeśasya āntiyakhiyānagaram upasthāya viśrāmavāre bhajanabhavanaṁ praviśya samupāviśatāṁ|
ACT.13.15	vyavasthābhaviṣyadvākyayoḥ paṭhitayoḥ sato rhe bhrātarau lokān prati yuvayoḥ kācid upadeśakathā yadyasti tarhi tāṁ vadataṁ tau prati tasya bhajanabhavanasyādhipatayaḥ kathām etāṁ kathayitvā praiṣayan|
ACT.13.16	ataḥ paula uttiṣṭhan hastena saṅketaṁ kurvvan kathitavān he isrāyelīyamanuṣyā īśvaraparāyaṇāḥ sarvve lokā yūyam avadhaddhaṁ|
ACT.13.17	eteṣāmisrāyellokānām īśvaro'smākaṁ pūrvvaparuṣān manonītān katvā gṛhītavān tato misari deśe pravasanakāle teṣāmunnatiṁ kṛtvā tasmāt svīyabāhubalena tān bahiḥ kṛtvā samānayat|
ACT.13.18	catvāriṁśadvatsarān yāvacca mahāprāntare teṣāṁ bharaṇaṁ kṛtvā
ACT.13.19	kināndeśāntarvvarttīṇi saptarājyāni nāśayitvā guṭikāpātena teṣu sarvvadeśeṣu tebhyo'dhikāraṁ dattavān|
ACT.13.20	pañcāśadadhikacatuḥśateṣu vatsareṣu gateṣu ca śimūyelbhaviṣyadvādiparyyantaṁ teṣāmupari vicārayitṛn niyuktavān|
ACT.13.21	taiśca rājñi prārthite, īśvaro binyāmīno vaṁśajātasya kīśaḥ putraṁ śaulaṁ catvāriṁśadvarṣaparyyantaṁ teṣāmupari rājānaṁ kṛtavān|
ACT.13.22	paścāt taṁ padacyutaṁ kṛtvā yo madiṣṭakriyāḥ sarvvāḥ kariṣyati tādṛśaṁ mama manobhimatam ekaṁ janaṁ yiśayaḥ putraṁ dāyūdaṁ prāptavān idaṁ pramāṇaṁ yasmin dāyūdi sa dattavān taṁ dāyūdaṁ teṣāmupari rājatvaṁ karttum utpāditavāna|
ACT.13.23	tasya svapratiśrutasya vākyasyānusāreṇa isrāyellokānāṁ nimittaṁ teṣāṁ manuṣyāṇāṁ vaṁśād īśvara ekaṁ yīśuṁ (trātāram) udapādayat|
ACT.13.24	tasya prakāśanāt pūrvvaṁ yohan isrāyellokānāṁ sannidhau manaḥparāvarttanarūpaṁ majjanaṁ prācārayat|
ACT.13.25	yasya ca karmmaṇoे bhāraṁ praptavān yohan tan niṣpādayan etāṁ kathāṁ kathitavān, yūyaṁ māṁ kaṁ janaṁ jānītha? aham abhiṣiktatrātā nahi, kintu paśyata yasya pādayoḥ pādukayo rbandhane mocayitumapi yogyo na bhavāmi tādṛśa eko jano mama paścād upatiṣṭhati|
ACT.13.26	he ibrāhīmo vaṁśajātā bhrātaro he īśvarabhītāḥ sarvvalokā yuṣmān prati paritrāṇasya kathaiṣā preritā|
ACT.13.27	yirūśālamnivāsinasteṣām adhipatayaśca tasya yīśoḥ paricayaṁ na prāpya prativiśrāmavāraṁ paṭhyamānānāṁ bhaviṣyadvādikathānām abhiprāyam abuddhvā ca tasya vadhena tāḥ kathāḥ saphalā akurvvan|
ACT.13.28	prāṇahananasya kamapi hetum aprāpyāpi pīlātasya nikaṭe tasya vadhaṁ prārthayanta|
ACT.13.29	tasmin yāḥ kathā likhitāḥ santi tadanusāreṇa karmma sampādya taṁ kruśād avatāryya śmaśāne śāyitavantaḥ|
ACT.13.30	kintvīśvaraḥ śmaśānāt tamudasthāpayat,
ACT.13.31	punaśca gālīlapradeśād yirūśālamanagaraṁ tena sārddhaṁ ye lokā āgacchan sa bahudināni tebhyo darśanaṁ dattavān, atasta idānīṁ lokān prati tasya sākṣiṇaḥ santi|
ACT.13.32	asmākaṁ pūrvvapuruṣāṇāṁ samakṣam īśvaro yasmin pratijñātavān yathā, tvaṁ me putrosi cādya tvāṁ samutthāpitavānaham|
ACT.13.33	idaṁ yadvacanaṁ dvitīyagīte likhitamāste tad yīśorutthānena teṣāṁ santānā ye vayam asmākaṁ sannidhau tena pratyakṣī kṛtaṁ, yuṣmān imaṁ susaṁvādaṁ jñāpayāmi|
ACT.13.34	parameśvareṇa śmaśānād utthāpitaṁ tadīyaṁ śarīraṁ kadāpi na kṣeṣyate, etasmin sa svayaṁ kathitavān yathā dāyūdaṁ prati pratijñāto yo varastamahaṁ tubhyaṁ dāsyāmi|
ACT.13.35	etadanyasmin gīte'pi kathitavān| svakīyaṁ puṇyavantaṁ tvaṁ kṣayituṁ na ca dāsyasi|
ACT.13.36	dāyūdā īśvarābhimatasevāyai nijāyuṣi vyayite sati sa mahānidrāṁ prāpya nijaiḥ pūrvvapuruṣaiḥ saha militaḥ san akṣīyata;
ACT.13.37	kintu yamīśvaraḥ śmaśānād udasthāpayat sa nākṣīyata|
ACT.13.38	ato he bhrātaraḥ, anena janena pāpamocanaṁ bhavatīti yuṣmān prati pracāritam āste|
ACT.13.39	phalato mūsāvyavasthayā yūyaṁ yebhyo doṣebhyo muktā bhavituṁ na śakṣyatha tebhyaḥ sarvvadoṣebhya etasmin jane viśvāsinaḥ sarvve muktā bhaviṣyantīti yuṣmābhi rjñāyatāṁ|
ACT.13.40	aparañca| avajñākāriṇo lokāścakṣurunmīlya paśyata| tathaivāsambhavaṁ jñātvā syāta yūyaṁ vilajjitāḥ| yato yuṣmāsu tiṣṭhatsu kariṣye karmma tādṛśaṁ| yenaiva tasya vṛttānte yuṣmabhyaṁ kathite'pi hi| yūyaṁ na tantu vṛttāntaṁ pratyeṣyatha kadācana||
ACT.13.41	yeyaṁ kathā bhaviṣyadvādināṁ grantheṣu likhitāste sāvadhānā bhavata sa kathā yathā yuṣmān prati na ghaṭate|
ACT.13.42	yihūdīyabhajanabhavanān nirgatayostayo rbhinnadeśīyai rvakṣyamāṇā prārthanā kṛtā, āgāmini viśrāmavāre'pi katheyam asmān prati pracāritā bhavatviti|
ACT.13.43	sabhāyā bhaṅge sati bahavo yihūdīyalokā yihūdīyamatagrāhiṇo bhaktalokāśca barṇabbāpaulayoḥ paścād āgacchan, tena tau taiḥ saha nānākathāḥ kathayitveśvarānugrahāśraye sthātuṁ tān prāvarttayatāṁ|
ACT.13.44	paraviśrāmavāre nagarasya prāyeṇa sarvve lākā īśvarīyāṁ kathāṁ śrotuṁ militāḥ,
ACT.13.45	kintu yihūdīyalokā jananivahaṁ vilokya īrṣyayā paripūrṇāḥ santo viparītakathākathaneneśvaranindayā ca paulenoktāṁ kathāṁ khaṇḍayituṁ ceṣṭitavantaḥ|
ACT.13.46	tataḥ pauैlabarṇabbāvakṣobhau kathitavantau prathamaṁ yuṣmākaṁ sannidhāvīśvarīyakathāyāḥ pracāraṇam ucitamāsīt kintuṁ tadagrāhyatvakaraṇena yūyaṁ svān anantāyuṣo'yogyān darśayatha, etatkāraṇād vayam anyadeśīyalokānāṁ samīpaṁ gacchāmaḥ|
ACT.13.47	prabhurasmān ittham ādiṣṭavān yathā, yāvacca jagataḥ sīmāṁ lokānāṁ trāṇakāraṇāt| mayānyadeśamadhye tvaṁ sthāpito bhūḥ pradīpavat||
ACT.13.48	tadā kathāmīdṛśīṁ śrutvā bhinnadeśīyā āhlāditāḥ santaḥ prabhoḥ kathāṁ dhanyāṁ dhanyām avadan, yāvanto lokāśca paramāyuḥ prāptinimittaṁ nirūpitā āsan teे vyaśvasan|
ACT.13.49	itthaṁ prabhoḥ kathā sarvvedeśaṁ vyāpnot|
ACT.13.50	kintu yihūdīyā nagarasya pradhānapuruṣān sammānyāḥ kathipayā bhaktā yoṣitaśca kupravṛttiṁ grāhayitvā paulabarṇabbau tāḍayitvā tasmāt pradeśād dūrīkṛtavantaḥ|
ACT.13.51	ataḥ kāraṇāt tau nijapadadhūlīsteṣāṁ prātikūlyena pātayitveेkaniyaṁ nagaraṁ gatau|
ACT.13.52	tataḥ śiṣyagaṇa ānandena pavitreṇātmanā ca paripūrṇobhavat|
ACT.14.1	tau dvau janau yugapad ikaniyanagarasthayihūdīyānāṁ bhajanabhavanaṁ gatvā yathā bahavo yihūdīyā anyadeेśīyalokāśca vyaśvasan tādṛśīṁ kathāṁ kathitavantau|
ACT.14.2	kintu viśvāsahīnā yihūdīyā anyadeśīyalokān kupravṛttiṁ grāhayitvā bhrātṛgaṇaṁ prati teṣāṁ vairaṁ janitavantaḥ|
ACT.14.3	ataḥ svānugrahakathāyāḥ pramāṇaṁ datvā tayo rhastai rbahulakṣaṇam adbhutakarmma ca prākāśayad yaḥ prabhustasya kathā akṣobhena pracāryya tau tatra bahudināni samavātiṣṭhetāṁ|
ACT.14.4	kintu kiyanto lokā yihūdīyānāṁ sapakṣāḥ kiyanto lokāḥ preritānāṁ sapakṣā jātāḥ, ato nāgarikajananivahamadhye bhinnavākyatvam abhavat|
ACT.14.5	anyadeśīyā yihūdīyāsteṣām adhipatayaśca daurātmyaṁ kutvā tau prastarairāhantum udyatāḥ|
ACT.14.6	tau tadvārttāṁ prāpya palāyitvā lukāyaniyādeśasyāntarvvarttilustrādarbbo
ACT.14.7	tatsamīpasthadeśañca gatvā tatra susaṁvādaṁ pracārayatāṁ|
ACT.14.8	tatrobhayapādayoścalanaśaktihīno janmārabhya khañjaḥ kadāpi gamanaṁ nākarot etādṛśa eko mānuṣo lustrānagara upaviśya paulasya kathāṁ śrutavān|
ACT.14.9	etasmin samaye paulastamprati dṛṣṭiṁ kṛtvā tasya svāsthye viśvāsaṁ viditvā proccaiḥ kathitavān
ACT.14.10	padbhyāmuttiṣṭhan ṛju rbhava|tataḥ sa ullamphaṁ kṛtvā gamanāgamane kutavān|
ACT.14.11	tadā lokāḥ paulasya tat kāryyaṁ vilokya lukāyanīyabhāṣayā proccaiḥ kathāmetāṁ kathitavantaḥ, devā manuṣyarūpaṁ dhṛtvāsmākaṁ samīpam avārohan|
ACT.14.12	te barṇabbāṁ yūpitaram avadan paulaśca mukhyo vaktā tasmāt taṁ markuriyam avadan|
ACT.14.13	tasya nagarasya sammukhe sthāpitasya yūpitaravigrahasya yājako vṛṣān puṣpamālāśca dvārasamīpam ānīya lokaiḥ sarddhaṁ tāvuddiśya samutsṛjya dātum udyataḥ|
ACT.14.14	tadvārttāṁ śrutvā barṇabbāpaulau svīyavastrāṇi chitvā lokānāṁ madhyaṁ vegena praviśya proccaiḥ kathitavantau,
ACT.14.15	he mahecchāḥ kuta etādṛśaṁ karmma kurutha? āvāmapi yuṣmādṛśau sukhaduḥkhabhoginau manuṣyau, yuyam etāḥ sarvvā vṛthākalpanāḥ parityajya yathā gagaṇavasundharājalanidhīnāṁ tanmadhyasthānāṁ sarvveṣāñca sraṣṭāramamaram īśvaraṁ prati parāvarttadhve tadartham āvāṁ yuṣmākaṁ sannidhau susaṁvādaṁ pracārayāvaḥ|
ACT.14.16	sa īśvaraḥ pūrvvakāle sarvvadeśīyalokān svasvamārge calitumanumatiṁ dattavān,
ACT.14.17	tathāpi ākāśāt toyavarṣaṇena nānāprakāraśasyotpatyā ca yuṣmākaṁ hitaiṣī san bhakṣyairānanadena ca yuṣmākam antaḥkaraṇāni tarpayan tāni dānāni nijasākṣisvarūpāṇi sthapitavān|
ACT.14.18	kintu tādṛśāyāṁ kathāyāṁ kathitāyāmapi tayoḥ samīpa utsarjanāt lokanivahaṁ prāyeṇa nivarttayituṁ nāśaknutām|
ACT.14.19	āntiyakhiyā-ikaniyanagarābhyāṁ katipayayihūdīyalokā āgatya lokān prāvarttayanta tasmāt tai paulaṁ prastarairāghnan tena sa mṛta iti vijñāya nagarasya bahistam ākṛṣya nītavantaḥ|
ACT.14.20	kintu śiṣyagaṇe tasya caturdiśi tiṣṭhati sati sa svayam utthāya punarapi nagaramadhyaṁ prāviśat tatpare'hani barṇabbāsahito darbbīnagaraṁ gatavān|
ACT.14.21	tatra susaṁvādaṁ pracāryya bahulokān śiṣyān kṛtvā tau lustrām ikaniyam āntiyakhiyāñca parāvṛtya gatau|
ACT.14.22	bahuduḥkhāni bhuktvāpīśvararājyaṁ praveṣṭavyam iti kāraṇād dharmmamārge sthātuṁ vinayaṁ kṛtvā śiṣyagaṇasya manaḥsthairyyam akurutāṁ|
ACT.14.23	maṇḍalīnāṁ prācīnavargān niyujya prārthanopavāsau kṛtvā yatprabhau te vyaśvasan tasya haste tān samarpya
ACT.14.24	pisidiyāmadhyena pāmphuliyādeśaṁ gatavantau|
ACT.14.25	paścāt pargānagaraṁ gatvā susaṁvādaṁ pracāryya attāliyānagaraṁ prasthitavantau|
ACT.14.26	tasmāt samudrapathena gatvā tābhyāṁ yat karmma sampannaṁ tatkarmma sādhayituṁ yannagare dayālorīśvarasya haste samarpitau jātau tad āntiyakhiyānagaraṁ gatavantā|
ACT.14.27	tatropasthāya tannagarasthamaṇḍalīṁ saṁgṛhya svābhyāma īśvaro yadyat karmmakarot tathā yena prakāreṇa bhinnadeśīyalokān prati viśvāsarūpadvāram amocayad etān sarvvavṛttāntān tān jñāpitavantau|
ACT.14.28	tatastau śiryyaiḥ sārddhaṁ tatra bahudināni nyavasatām|
ACT.15.1	yihūdādeśāt kiyanto janā āgatya bhrātṛgaṇamitthaṁ śikṣitavanto mūsāvyavasthayā yadi yuṣmākaṁ tvakchedo na bhavati tarhi yūyaṁ paritrāṇaṁ prāptuṁ na śakṣyatha|
ACT.15.2	paulabarṇabbau taiḥ saha bahūn vicārān vivādāṁśca kṛtavantau, tato maṇḍalīyanokā etasyāḥ kathāyāstattvaṁ jñātuṁ yirūśālamnagarasthān preritān prācīnāṁśca prati paulabarṇabbāprabhṛtīn katipayajanān preṣayituṁ niścayaṁ kṛtavantaḥ|
ACT.15.3	te maṇḍalyā preritāḥ santaḥ phaiṇīkīśomirondeśābhyāṁ gatvā bhinnadeśīyānāṁ manaḥparivarttanasya vārttayā bhrātṛṇāṁ paramāhlādam ajanayan|
ACT.15.4	yirūśālamyupasthāya preritagaṇena lokaprācīnagaṇena samājena ca samupagṛhītāḥ santaḥ svairīśvaro yāni karmmāṇi kṛtavān teṣāṁ sarvvavṛttāntān teṣāṁ samakṣam akathayan|
ACT.15.5	kintu viśvāsinaḥ kiyantaḥ phirūśimatagrāhiṇo lokā utthāya kathāmetāṁ kathitavanto bhinnadeśīyānāṁ tvakchedaṁ karttuṁ mūsāvyavasthāṁ pālayituñca samādeṣṭavyam|
ACT.15.6	tataḥ preritā lokaprācīnāśca tasya vivecanāṁ karttuṁ sabhāyāṁ sthitavantaḥ|
ACT.15.7	bahuvicāreṣu jātaṣu pitara utthāya kathitavān, he bhrātaro yathā bhinnadeśīyalokā mama mukhāt susaṁvādaṁ śrutvā viśvasanti tadarthaṁ bahudināt pūrvvam īśvarosmākaṁ madhye māṁ vṛtvā niyuktavān|
ACT.15.8	antaryyāmīśvaro yathāsmabhyaṁ tathā bhinnadeśīyebhyaḥ pavitramātmānaṁ pradāya viśvāsena teṣām antaḥkaraṇāni pavitrāṇi kṛtvā
ACT.15.9	teṣām asmākañca madhye kimapi viśeṣaṁ na sthāpayitvā tānadhi svayaṁ pramāṇaṁ dattavān iti yūyaṁ jānītha|
ACT.15.10	ataevāsmākaṁ pūrvvapuruṣā vayañca svayaṁ yadyugasya bhāraṁ soḍhuṁ na śaktāḥ samprati taṁ śiṣyagaṇasya skandheṣu nyasituṁ kuta īśvarasya parīkṣāṁ kariṣyatha?
ACT.15.11	prabho ryīśukhrīṣṭasyānugraheṇa te yathā vayamapi tathā paritrāṇaṁ prāptum āśāṁ kurmmaḥ|
ACT.15.12	anantaraṁ barṇabbāpaulābhyām īśvaro bhinnadeśīyānāṁ madhye yadyad āścaryyam adbhutañca karmma kṛtavān tadvṛttāntaṁ tau svamukhābhyām avarṇayatāṁ sabhāsthāḥ sarvve nīravāḥ santaḥ śrutavantaḥ|
ACT.15.13	tayoḥ kathāyāṁ samāptāyāṁ satyāṁ yākūb kathayitum ārabdhavān
ACT.15.14	he bhrātaro mama kathāyām mano nidhatta| īśvaraḥ svanāmārthaṁ bhinnadeśīyalokānām madhyād ekaṁ lokasaṁghaṁ grahītuṁ matiṁ kṛtvā yena prakāreṇa prathamaṁ tān prati kṛpāvalekanaṁ kṛtavān taṁ śimon varṇitavān|
ACT.15.15	bhaviṣyadvādibhiruktāni yāni vākyāni taiḥ sārddham etasyaikyaṁ bhavati yathā likhitamāste|
ACT.15.16	sarvveṣāṁ karmmaṇāṁ yastu sādhakaḥ parameśvaraḥ| sa evedaṁ vadedvākyaṁ śeṣāḥ sakalamānavāḥ| bhinnadeśīyalokāśca yāvanto mama nāmataḥ| bhavanti hi suvikhyātāste yathā parameśituḥ|
ACT.15.17	tatvaṁ samyak samīhante tannimittamahaṁ kila| parāvṛtya samāgatya dāyūdaḥ patitaṁ punaḥ| dūṣyamutthāpayiṣyāmi tadīyaṁ sarvvavastu ca| patitaṁ punaruthāpya sajjayiṣyāmi sarvvathā||
ACT.15.18	ā prathamād īśvaraḥ svīyāni sarvvakarmmāṇi jānāti|
ACT.15.19	ataeva mama nivedanamidaṁ bhinnadeśīyalokānāṁ madhye ye janā īśvaraṁ prati parāvarttanta teṣāmupari anyaṁ kamapi bhāraṁ na nyasya
ACT.15.20	devatāprasādāśucibhakṣyaṁ vyabhicārakarmma kaṇṭhasampīḍanamāritaprāṇibhakṣyaṁ raktabhakṣyañca etāni parityaktuṁ likhāmaḥ|
ACT.15.21	yataḥ pūrvvakālato mūsāvyavasthāpracāriṇo lokā nagare nagare santi prativiśrāmavārañca bhajanabhavane tasyāḥ pāṭho bhavati|
ACT.15.22	tataḥ paraṁ preritagaṇo lokaprācīnagaṇaḥ sarvvā maṇḍalī ca sveṣāṁ madhye barśabbā nāmnā vikhyāto manonītau kṛtvā paulabarṇabbābhyāṁ sārddham āntiyakhiyānagaraṁ prati preṣaṇam ucitaṁ buddhvā tābhyāṁ patraṁ praiṣayan|
ACT.15.23	tasmin patre likhitamiṁda, āntiyakhiyā-suriyā-kilikiyādeśasthabhinnadeśīyabhrātṛgaṇāya preritagaṇasya lokaprācīnagaṇasya bhrātṛgaṇasya ca namaskāraḥ|
ACT.15.24	viśeṣato'smākam ājñām aprāpyāpi kiyanto janā asmākaṁ madhyād gatvā tvakchedo mūsāvyavasthā ca pālayitavyāviti yuṣmān śikṣayitvā yuṣmākaṁ manasāmasthairyyaṁ kṛtvā yuṣmān sasandehān akurvvan etāṁ kathāṁ vayam aśṛnma|
ACT.15.25	tatkāraṇād vayam ekamantraṇāḥ santaḥ sabhāyāṁ sthitvā prabho ryīśukhrīṣṭasya nāmanimittaṁ mṛtyumukhagatābhyāmasmākaṁ
ACT.15.26	priyabarṇabbāpaulābhyāṁ sārddhaṁ manonītalokānāṁ keṣāñcid yuṣmākaṁ sannidhau preṣaṇam ucitaṁ buddhavantaḥ|
ACT.15.27	ato yihūdāsīlau yuṣmān prati preṣitavantaḥ, etayo rmukhābhyāṁ sarvvāṁ kathāṁ jñāsyatha|
ACT.15.28	devatāprasādabhakṣyaṁ raktabhakṣyaṁ galapīḍanamāritaprāṇibhakṣyaṁ vyabhicārakarmma cemāni sarvvāṇi yuṣmābhistyājyāni; etatprayojanīyājñāvyatirekena yuṣmākam upari bhāramanyaṁ na nyasituṁ pavitrasyātmano'smākañca ucitajñānam abhavat|
ACT.15.29	ataeva tebhyaḥ sarvvebhyaḥ sveṣu rakṣiteṣu yūyaṁ bhadraṁ karmma kariṣyatha| yuṣmākaṁ maṅgalaṁ bhūyāt|
ACT.15.30	teे visṛṣṭāḥ santa āntiyakhiyānagara upasthāya lokanivahaṁ saṁgṛhya patram adadan|
ACT.15.31	tataste tatpatraṁ paṭhitvā sāntvanāṁ prāpya sānandā abhavan|
ACT.15.32	yihūdāsīlau ca svayaṁ pracārakau bhūtvā bhrātṛgaṇaṁ nānopadiśya tān susthirān akurutām|
ACT.15.33	itthaṁ tau tatra taiḥ sākaṁ katipayadināni yāpayitvā paścāt preritānāṁ samīpe pratyāgamanārthaṁ teṣāṁ sannidheḥ kalyāṇena visṛṣṭāvabhavatāṁ|
ACT.15.34	kintu sīlastatra sthātuṁ vāñchitavān|
ACT.15.35	aparaṁ paulabarṇabbau bahavaḥ śiṣyāśca lokān upadiśya prabhoḥ susaṁvādaṁ pracārayanta āntiyakhiyāyāṁ kālaṁ yāpitavantaḥ|
ACT.15.36	katipayadineṣu gateṣu paulo barṇabbām avadat āgacchāvāṁ yeṣu nagareṣvīśvarasya susaṁvādaṁ pracāritavantau tāni sarvvanagarāṇi punargatvā bhrātaraḥ kīdṛśāḥ santīti draṣṭuṁ tān sākṣāt kurvvaḥ|
ACT.15.37	tena mārkanāmnā vikhyātaṁ yohanaṁ saṅginaṁ karttuṁ barṇabbā matimakarot,
ACT.15.38	kintu sa pūrvvaṁ tābhyāṁ saha kāryyārthaṁ na gatvā pāmphūliyādeśe tau tyaktavān tatkāraṇāt paulastaṁ saṅginaṁ karttum anucitaṁ jñātavān|
ACT.15.39	itthaṁ tayoratiśayavirodhasyopasthitatvāt tau parasparaṁ pṛthagabhavatāṁ tato barṇabbā mārkaṁ gṛhītvā potena kupropadvīpaṁ gatavān;
ACT.15.40	kintu paulaḥ sīlaṁ manonītaṁ kṛtvā bhrātṛbhirīśvarānugrahe samarpitaḥ san prasthāya
ACT.15.41	suriyākilikiyādeśābhyāṁ maṇḍalīḥ sthirīkurvvan agacchat|
ACT.16.1	paulo darbbīlustrānagarayorupasthitobhavat tatra tīmathiyanāmā śiṣya eka āsīt; sa viśvāsinyā yihūdīyāyā yoṣito garbbhajātaḥ kintu tasya pitānyadeśīyalokaḥ|
ACT.16.2	sa jano lustrā-ikaniyanagarasthānāṁ bhrātṛṇāṁ samīpepi sukhyātimān āsīt|
ACT.16.3	paulastaṁ svasaṅginaṁ karttuṁ matiṁ kṛtvā taṁ gṛhītvā taddeśanivāsināṁ yihūdīyānām anurodhāt tasya tvakchedaṁ kṛtavān yatastasya pitā bhinnadeśīyaloka iti sarvvairajñāyata|
ACT.16.4	tataḥ paraṁ te nagare nagare bhramitvā yirūśālamasthaiḥ preritai rlokaprācīnaiśca nirūpitaṁ yad vyavasthāpatraṁ tadanusāreṇācarituṁ lokebhyastad dattavantaḥ|
ACT.16.5	tenaiva sarvve dharmmasamājāḥ khrīṣṭadharmme susthirāḥ santaḥ pratidinaṁ varddhitā abhavan|
ACT.16.6	teṣu phrugiyāgālātiyādeśamadhyena gateṣu satsu pavitra ātmā tān āśiyādeśe kathāṁ prakāśayituṁ pratiṣiddhavān|
ACT.16.7	tathā musiyādeśa upasthāya bithuniyāṁ gantuṁ tairudyoge kṛte ātmā tān nānvamanyata|
ACT.16.8	tasmāt te musiyādeśaṁ parityajya troyānagaraṁ gatvā samupasthitāḥ|
ACT.16.9	rātrau paulaḥ svapne dṛṣṭavān eko mākidaniyalokastiṣṭhan vinayaṁ kṛtvā tasmai kathayati, mākidaniyādeśam āgatyāsmān upakurvviti|
ACT.16.10	tasyetthaṁ svapnadarśanāt prabhustaddeśīyalokān prati susaṁvādaṁ pracārayitum asmān āhūyatīti niścitaṁ buddhvā vayaṁ tūrṇaṁ mākidaniyādeśaṁ gantum udyogam akurmma|
ACT.16.11	tataḥ paraṁ vayaṁ troyānagarād prasthāya ṛjumārgeṇa sāmathrākiyopadvīpena gatvā pare'hani niyāpalinagara upasthitāḥ|
ACT.16.12	tasmād gatvā mākidaniyāntarvvartti romīyavasatisthānaṁ yat philipīnāmapradhānanagaraṁ tatropasthāya katipayadināni tatra sthitavantaḥ|
ACT.16.13	viśrāmavāre nagarād bahi rgatvā nadītaṭe yatra prārthanācāra āsīt tatropaviśya samāgatā nārīḥ prati kathāṁ prācārayāma|
ACT.16.14	tataḥ thuyātīrānagarīyā dhūṣarāmbaravikrāyiṇī ludiyānāmikā yā īśvarasevikā yoṣit śrotrīṇāṁ madhya āsīt tayā pauloktavākyāni yad gṛhyante tadarthaṁ prabhustasyā manodvāraṁ muktavān|
ACT.16.15	ataḥ sā yoṣit saparivārā majjitā satī vinayaṁ kṛtvā kathitavatī, yuṣmākaṁ vicārād yadi prabhau viśvāsinī jātāhaṁ tarhi mama gṛham āgatya tiṣṭhata| itthaṁ sā yatnenāsmān asthāpayat|
ACT.16.16	yasyā gaṇanayā tadadhipatīnāṁ bahudhanopārjanaṁ jātaṁ tādṛśī gaṇakabhūtagrastā kācana dāsī prārthanāsthānagamanakāla āgatyāsmān sākṣāt kṛtavatī|
ACT.16.17	sāsmākaṁ paulasya ca paścād etya proccaiḥ kathāmimāṁ kathitavatī, manuṣyā ete sarvvoparisthasyeśvarasya sevakāḥ santo'smān prati paritrāṇasya mārgaṁ prakāśayanti|
ACT.16.18	sā kanyā bahudināni tādṛśam akarot tasmāt paulo duḥkhitaḥ san mukhaṁ parāvartya taṁ bhūtamavadad, ahaṁ yīśukhrīṣṭasya nāmnā tvāmājñāpayāmi tvamasyā bahirgaccha; tenaiva tatkṣaṇāt sa bhūtastasyā bahirgataḥ|
ACT.16.19	tataḥ sveṣāṁ lābhasya pratyāśā viphalā jāteti vilokya tasyāḥ prabhavaḥ paulaṁ sīlañca dhṛtvākṛṣya vicārasthāne'dhipatīnāṁ samīpam ānayan|
