MAT.1.1	ibraahiima.h santaano daayuud tasya santaano yii"sukhrii.s.tastasya puurvvapuru.sava.m"sa"sre.nii|
ACT.3.13	ya.m yii"su.m yuuya.m parakare.su samaarpayata tato ya.m piilaato mocayitum eैcchat tathaapi yuuya.m tasya saak.saan naa"ngiik.rtavanta ibraahiima ishaako yaakuuba"sce"svaro.arthaad asmaaka.m puurvvapuru.saa.naam ii"svara.h svaputrasya tasya yii"so rmahimaana.m praakaa"sayat|
ACT.3.14	kintu yuuya.m ta.m pavitra.m dhaarmmika.m pumaa.msa.m naa"ngiik.rtya hatyaakaari.nameka.m svebhyo daatum ayaacadhva.m|
ACT.3.15	pa"scaat ta.m jiivanasyaadhipatim ahata kintvii"svara.h "sma"saanaat tam udasthaapayata tatra vaya.m saak.si.na aasmahe|
ACT.3.16	ima.m ya.m maanu.sa.m yuuya.m pa"syatha paricinutha ca sa tasya naamni vi"svaasakara.naat calana"sakti.m labdhavaan tasmin tasya yo vi"svaasa.h sa ta.m yu.smaaka.m sarvve.saa.m saak.saat sampuur.naruupe.na svastham akaar.siit|
ACT.3.17	he bhraataro yuuya.m yu.smaakam adhipataya"sca aj naatvaa karmmaa.nyetaani k.rtavanta idaanii.m mamai.sa bodho jaayate|
ACT.3.18	kintvii"svara.h khrii.s.tasya du.hkhabhoge bhavi.syadvaadinaa.m mukhebhyo yaa.m yaa.m kathaa.m puurvvamakathayat taa.h kathaa ittha.m siddhaa akarot|
ACT.3.19	ata.h sve.saa.m paapamocanaartha.m kheda.m k.rtvaa manaa.msi parivarttayadhva.m, tasmaad ii"svaraat saantvanaapraapte.h samaya upasthaasyati;
ACT.3.20	puna"sca puurvvakaalam aarabhya pracaarito yo yii"sukhrii.s.tastam ii"svaro yu.smaan prati pre.sayi.syati|
ACT.3.21	kintu jagata.h s.r.s.timaarabhya ii"svaro nijapavitrabhavi.syadvaadiga.nona yathaa kathitavaan tadanusaare.na sarvve.saa.m kaaryyaa.naa.m siddhiparyyanta.m tena svarge vaasa.h karttavya.h|
ACT.3.22	yu.smaaka.m prabhu.h parame"svaro yu.smaaka.m bhraat.rga.namadhyaat matsad.r"sa.m bhavi.syadvaktaaram utpaadayi.syati, tata.h sa yat ki ncit kathayi.syati tatra yuuya.m manaa.msi nidhaddhva.m|
ACT.3.23	kintu ya.h ka"scit praa.nii tasya bhavi.syadvaadina.h kathaa.m na grahii.syati sa nijalokaanaa.m madhyaad ucchetsyate," imaa.m kathaam asmaaka.m puurvvapuru.sebhya.h kevalo muusaa.h kathayaamaasa iti nahi,
ACT.3.24	"simuuyelbhavi.syadvaadinam aarabhya yaavanto bhavi.syadvaakyam akathayan te sarvvaeva samayasyaitasya kathaam akathayan|
ACT.3.25	yuuyamapi te.saa.m bhavi.syadvaadinaa.m santaanaa.h, "tava va.m"sodbhavapu.msaa sarvvade"siiyaa lokaa aa"si.sa.m praaptaa bhavi.syanti", ibraahiime kathaametaa.m kathayitvaa ii"svarosmaaka.m puurvvapuru.sai.h saarddha.m ya.m niyama.m sthiriik.rtavaan tasya niyamasyaadhikaari.nopi yuuya.m bhavatha|
ACT.3.26	ata ii"svaro nijaputra.m yii"sum utthaapya yu.smaaka.m sarvve.saa.m svasvapaapaat paraavarttya yu.smabhyam aa"si.sa.m daatu.m prathamatasta.m yu.smaaka.m nika.ta.m pre.sitavaan|
ACT.4.1	yasmin samaye pitarayohanau lokaan upadi"satastasmin samaye yaajakaa mandirasya senaapataya.h siduukiiga.na"sca
ACT.4.2	tayor upade"sakara.ne khrii.s.tasyotthaanam upalak.sya sarvve.saa.m m.rtaanaam utthaanaprastaave ca vyagraa.h santastaavupaagaman|
ACT.4.3	tau dh.rtvaa dinaavasaanakaara.naat paradinaparyyananta.m ruddhvaa sthaapitavanta.h|
ACT.4.4	tathaapi ye lokaastayorupade"sam a"s.r.nvan te.saa.m praaye.na pa ncasahasraa.ni janaa vya"svasan|
ACT.4.5	pare.ahani adhipataya.h praaciinaa adhyaapakaa"sca haanananaamaa mahaayaajaka.h
ACT.4.6	kiyaphaa yohan sikandara ityaadayo mahaayaajakasya j naataya.h sarvve yiruu"saalamnagare militaa.h|
ACT.4.7	anantara.m preritau madhye sthaapayitvaap.rcchan yuvaa.m kayaa "saktayaa vaa kena naamnaa karmmaa.nyetaani kurutha.h?
ACT.4.8	tadaa pitara.h pavitre.naatmanaa paripuur.na.h san pratyavaadiit, he lokaanaam adhipatiga.na he israayeliiyapraaciinaa.h,
ACT.4.9	etasya durbbalamaanu.sasya hita.m yat karmmaakriyata, arthaat, sa yena prakaare.na svasthobhavat tacced adyaavaa.m p.rcchatha,
ACT.4.10	tarhi sarvva israayeेliiyalokaa yuuya.m jaaniita naasaratiiyo yo yii"sukhrii.s.ta.h kru"se yu.smaabhiravidhyata ya"sce"svare.na "sma"saanaad utthaapita.h, tasya naamnaa janoya.m svastha.h san yu.smaaka.m sammukhe protti.s.thati|
ACT.4.11	nicet.rbhi ryu.smaabhiraya.m ya.h prastaro.avaj naato.abhavat sa pradhaanako.nasya prastaro.abhavat|
ACT.4.12	tadbhinnaadaparaat kasmaadapi paritraa.na.m bhavitu.m na "saknoti, yena traa.na.m praapyeta bhuuma.n.dalasyalokaanaa.m madhye taad.r"sa.m kimapi naama naasti|
ACT.4.13	tadaa pitarayohanoretaad.r"siim ak.sebhataa.m d.r.s.tvaa taavavidvaa.msau niicalokaaviti buddhvaa aa"scaryyam amanyanta tau ca yii"so.h sa"nginau jaataaviti j naatum a"saknuvan|
ACT.4.14	kintu taabhyaa.m saarddha.m ta.m svasthamaanu.sa.m ti.s.thanta.m d.r.s.tvaa te kaamapyaparaam aapatti.m kartta.m naa"saknun|
ACT.4.15	tadaa te sabhaata.h sthaanaantara.m gantu.m taan aaj naapya svaya.m parasparam iti mantra.naamakurvvan
ACT.4.16	tau maanavau prati ki.m karttavya.m? taaveka.m prasiddham aa"scaryya.m karmma k.rtavantau tad yiruu"saalamnivaasinaa.m sarvve.saa.m lokaanaa.m samiipe praakaa"sata tacca vayamapahnotu.m na "saknuma.h|
ACT.4.17	kintu lokaanaa.m madhyam etad yathaa na vyaapnoti tadartha.m tau bhaya.m pradar"sya tena naamnaa kamapi manu.sya.m nopadi"satam iti d.r.dha.m ni.sedhaama.h|
ACT.4.18	tataste preritaavaahuuya etadaaj naapayan ita.h para.m yii"so rnaamnaa kadaapi kaamapi kathaa.m maa kathayata.m kimapi nopadi"sa nca|
ACT.4.19	tata.h pitarayohanau pratyavadataam ii"svarasyaaj naagraha.na.m vaa yu.smaakam aaj naagraha.nam etayo rmadhye ii"svarasya gocare ki.m vihita.m? yuuya.m tasya vivecanaa.m kuruta|
ACT.4.20	vaya.m yad apa"syaama yada"s.r.numa ca tanna pracaarayi.syaama etat kadaapi bhavitu.m na "saknoti|
ACT.4.21	yadagha.tata tad d.r.s.taa sarvve lokaa ii"svarasya gu.naan anvavadan tasmaat lokabhayaat tau da.n.dayitu.m kamapyupaaya.m na praapya te punarapi tarjayitvaa taavatyajan|
ACT.4.22	yasya maanu.sasyaitat svaasthyakara.nam aa"scaryya.m karmmaakriyata tasya vaya"scatvaari.m"sadvatsaraa vyatiitaa.h|
ACT.4.23	tata.h para.m tau vis.r.s.tau santau svasa"nginaa.m sannidhi.m gatvaa pradhaanayaajakai.h praaciinalokai"sca proktaa.h sarvvaa.h kathaa j naapitavantau|
ACT.4.24	tacchrutvaa sarvva ekacittiibhuuya ii"svaramuddi"sya proccairetat praarthayanta, he prabho gaga.nap.rthiviipayodhiinaa.m te.su ca yadyad aaste te.saa.m sra.s.te"svarastva.m|
ACT.4.25	tva.m nijasevakena daayuudaa vaakyamidam uvacitha, manu.syaa anyade"siiyaa.h kurvvanti kalaha.m kuta.h| lokaa.h sarvve kimartha.m vaa cintaa.m kurvvanti ni.sphalaa.m|
ACT.4.26	parame"sasya tenaivaabhi.siktasya janasya ca| viruddhamabhiti.s.thanti p.rthivyaa.h pataya.h kuta.h||
ACT.4.27	phalatastava hastena mantra.nayaa ca puurvva yadyat sthiriik.rta.m tad yathaa siddha.m bhavati tadartha.m tva.m yam athi.siktavaan sa eva pavitro yii"sustasya praatikuulyena herod pantiiyapiilaato
ACT.4.28	.anyade"siiyalokaa israayellokaa"sca sarvva ete sabhaayaam ati.s.than|
ACT.4.29	he parame"svara adhunaa te.saa.m tarjana.m garjana nca "s.r.nu;
ACT.4.30	tathaa svaasthyakara.nakarmma.naa tava baahubalaprakaa"sapuurvvaka.m tava sevakaan nirbhayena tava vaakya.m pracaarayitu.m tava pavitraputrasya yii"so rnaamnaa aa"scaryyaa.nyasambhavaani ca karmmaa.ni karttu ncaaj naapaya|
ACT.4.31	ittha.m praarthanayaa yatra sthaane te sabhaayaam aasan tat sthaana.m praakampata; tata.h sarvve pavitre.naatmanaa paripuur.naa.h santa ii"svarasya kathaam ak.sobhe.na praacaarayan|
ACT.4.32	apara nca pratyayakaarilokasamuuhaa ekamanasa ekacittiibhuuya sthitaa.h| te.saa.m kepi nijasampatti.m sviiyaa.m naajaanan kintu te.saa.m sarvvaa.h sampattya.h saadhaara.nyena sthitaa.h|
ACT.4.33	anyacca preritaa mahaa"saktiprakaa"sapuurvvaka.m prabho ryii"sorutthaane saak.syam adadu.h, te.su sarvve.su mahaanugraho.abhavacca|
ACT.4.34	te.saa.m madhye kasyaapi dravyanyuunataa naabhavad yataste.saa.m g.rhabhuumyaadyaa yaa.h sampattaya aasan taa vikriiya
ACT.4.35	tanmuulyamaaniiya preritaanaa.m cara.ne.su tai.h sthaapita.m; tata.h pratyeka"sa.h prayojanaanusaare.na dattamabhavat|
ACT.4.36	vi"se.sata.h kupropadviipiiyo yosinaamako leviva.m"sajaata eko jano bhuumyadhikaarii, ya.m preritaa bar.nabbaa arthaat saantvanaadaayaka ityuktvaa samaahuuyan,
ACT.4.37	sa jano nijabhuumi.m vikriiya tanmuulyamaaniiya preritaanaa.m cara.ne.su sthaapitavaan|
ACT.5.1	tadaa anaaniyanaamaka eko jano yasya bhaaryyaayaa naama saphiiraa sa svaadhikaara.m vikriiya
ACT.5.2	svabhaaryyaa.m j naapayitvaa tanmuulyasyaikaa.m"sa.m sa"ngopya sthaapayitvaa tadanyaa.m"samaatramaaniiya preritaanaa.m cara.ne.su samarpitavaan|
ACT.5.3	tasmaat pitarokathayat he anaaniya bhuume rmuulya.m ki ncit sa"ngopya sthaapayitu.m pavitrasyaatmana.h sannidhau m.r.saavaakya.m kathayitu nca "saitaan kutastavaanta.hkara.ne prav.rttimajanayat?
ACT.5.4	saa bhuumi ryadaa tava hastagataa tadaa ki.m tava sviiyaa naasiit? tarhi svaanta.hkara.ne kuta etaad.r"sii kukalpanaa tvayaa k.rtaa? tva.m kevalamanu.syasya nika.te m.r.saavaakya.m naavaadii.h kintvii"svarasya nika.te.api|
ACT.5.5	etaa.m kathaa.m "srutvaiva so.anaaniyo bhuumau patan praa.naan atyajat, tadv.rttaanta.m yaavanto lokaa a"s.r.nvan te.saa.m sarvve.saa.m mahaabhayam ajaayat|
ACT.5.6	tadaa yuvalokaasta.m vastre.naacchaadya bahi rniitvaa "sma"saane.asthaapayan|
ACT.5.7	tata.h praharaikaanantara.m ki.m v.rtta.m tannaavagatya tasya bhaaryyaapi tatra samupasthitaa|
ACT.5.8	tata.h pitarastaam ap.rcchat, yuvaabhyaam etaavanmudraabhyo bhuumi rvikriitaa na vaa? etatva.m vada; tadaa saa pratyavaadiit satyam etaavadbhyo mudraabhya eva|
ACT.5.9	tata.h pitarokathayat yuvaa.m katha.m parame"svarasyaatmaana.m pariik.situm ekamantra.naavabhavataa.m? pa"sya ye tava pati.m "sma"saane sthaapitavantaste dvaarasya samiipe samupati.s.thanti tvaamapi bahirne.syanti|
ACT.5.10	tata.h saapi tasya cara.nasannidhau patitvaa praa.naan atyaak.siit| pa"scaat te yuvaano.abhyantaram aagatya taamapi m.rtaa.m d.r.s.tvaa bahi rniitvaa tasyaa.h patyu.h paar"sve "sma"saane sthaapitavanta.h|
ACT.5.11	tasmaat ma.n.dalyaa.h sarvve lokaa anyalokaa"sca taa.m vaarttaa.m "srutvaa saadhvasa.m gataa.h|
ACT.5.12	tata.h para.m preritaanaa.m hastai rlokaanaa.m madhye bahvaa"scaryyaa.nyadbhutaani karmmaa.nyakriyanta; tadaa "si.syaa.h sarvva ekacittiibhuuya sulemaano .alinde sambhuuyaasan|
ACT.5.13	te.saa.m sa"nghaantargo bhavitu.m kopi pragalbhataa.m naagamat kintu lokaastaan samaadriyanta|
ACT.5.14	striya.h puru.saa"sca bahavo lokaa vi"svaasya prabhu.m "sara.namaapannaa.h|
ACT.5.15	pitarasya gamanaagamanaabhyaa.m kenaapi prakaare.na tasya chaayaa kasmi.m"scijjane lagi.syatiityaa"sayaa lokaa rogi.na.h "sivikayaa kha.tvayaa caaniiya pathi pathi sthaapitavanta.h|
ACT.5.16	caturdiksthanagarebhyo bahavo lokaa.h sambhuuya rogi.no.apavitrabhutagrastaa.m"sca yiruu"saalamam aanayan tata.h sarvve svasthaa akriyanta|
ACT.5.17	anantara.m mahaayaajaka.h siduukinaa.m matagraahi.naste.saa.m sahacaraa"sca
ACT.5.18	mahaakrodhaantvitaa.h santa.h preritaan dh.rtvaa niicalokaanaa.m kaaraayaa.m baddhvaa sthaapitavanta.h|
ACT.5.19	kintu raatrau parame"svarasya duuta.h kaaraayaa dvaara.m mocayitvaa taan bahiraaniiyaakathayat,
ACT.5.20	yuuya.m gatvaa mandire da.n.daayamaanaa.h santo lokaan pratiimaa.m jiivanadaayikaa.m sarvvaa.m kathaa.m pracaarayata|
ACT.5.21	iti "srutvaa te pratyuu.se mandira upasthaaya upadi.s.tavanta.h| tadaa sahacaraga.nena sahito mahaayaajaka aagatya mantriga.nam israayelva.m"sasya sarvvaan raajasabhaasada.h sabhaasthaan k.rtvaa kaaraayaastaan aapayitu.m padaatiga.na.m preritavaan|
ACT.5.22	tataste gatvaa kaaraayaa.m taan apraapya pratyaagatya iti vaarttaam avaadi.su.h,
ACT.5.23	vaya.m tatra gatvaa nirvvighna.m kaaraayaa dvaara.m ruddha.m rak.sakaa.m"sca dvaarasya bahirda.n.daayamaanaan adar"saama eva kintu dvaara.m mocayitvaa tanmadhye kamapi dra.s.tu.m na praaptaa.h|
ACT.5.24	etaa.m kathaa.m "srutvaa mahaayaajako mandirasya senaapati.h pradhaanayaajakaa"sca, ita para.m kimapara.m bhavi.syatiiti cintayitvaa sandigdhacittaa abhavan|
ACT.5.25	etasminneva samaye ka"scit jana aagatya vaarttaametaam avadat pa"syata yuuya.m yaan maanavaan kaaraayaam asthaapayata te mandire ti.s.thanto lokaan upadi"santi|
ACT.5.26	tadaa mandirasya senaapati.h padaataya"sca tatra gatvaa cellokaa.h paa.saa.naan nik.sipyaasmaan maarayantiiti bhiyaa vinatyaacaara.m taan aanayan|
ACT.5.27	te mahaasabhaayaa madhye taan asthaapayan tata.h para.m mahaayaajakastaan ap.rcchat,
ACT.5.28	anena naamnaa samupade.s.tu.m vaya.m ki.m d.r.dha.m na nya.sedhaama? tathaapi pa"syata yuuya.m sve.saa.m tenopade"sene yiruu"saalama.m paripuur.na.m k.rtvaa tasya janasya raktapaatajanitaaparaadham asmaan pratyaanetu.m ce.s.tadhve|
ACT.5.29	tata.h pitaronyapreritaa"sca pratyavadan maanu.sasyaaj naagraha.naad ii"svarasyaaj naagraha.nam asmaakamucitam|
ACT.5.30	ya.m yii"su.m yuuya.m kru"se vedhitvaahata tam asmaaka.m pait.rka ii"svara utthaapya
ACT.5.31	israayelva.m"saanaa.m mana.hparivarttana.m paapak.samaa nca karttu.m raajaana.m paritraataara nca k.rtvaa svadak.si.napaar"sve tasyaannatim akarot|
ACT.5.32	etasmin vayamapi saak.si.na aasmahe, tat kevala.m nahi, ii"svara aaj naagraahibhyo ya.m pavitram aatmana.m dattavaan sopi saak.syasti|
ACT.5.33	etadvaakye "srute te.saa.m h.rdayaani viddhaanyabhavan tataste taan hantu.m mantritavanta.h|
ACT.5.34	etasminneva samaye tatsabhaasthaanaa.m sarvvalokaanaa.m madhye sukhyaato gamiliiyelnaamaka eko jano vyavasthaapaka.h phiruu"siloka utthaaya preritaan k.sa.naartha.m sthaanaantara.m gantum aadi"sya kathitavaan,
ACT.5.35	he israayelva.m"siiyaa.h sarvve yuuyam etaan maanu.saan prati yat karttum udyataastasmin saavadhaanaa bhavata|
ACT.5.36	ita.h puurvva.m thuudaanaamaiko jana upasthaaya sva.m kamapi mahaapuru.sam avadat, tata.h praaye.na catu.h"satalokaastasya matagraahi.nobhavan pa"scaat sa hatobhavat tasyaaj naagraahi.no yaavanto lokaaste sarvve virkiir.naa.h santo .ak.rtakaaryyaa abhavan|
ACT.5.37	tasmaajjanaat para.m naamalekhanasamaye gaaliiliiyayihuudaanaamaiko jana upasthaaya bahuullokaan svamata.m graahiitavaan tata.h sopi vyana"syat tasyaaj naagraahi.no yaavanto lokaa aasan te sarvve vikiir.naa abhavan|
ACT.5.38	adhunaa vadaami, yuuyam etaan manu.syaan prati kimapi na k.rtvaa k.saantaa bhavata, yata e.sa sa"nkalpa etat karmma ca yadi manu.syaadabhavat tarhi viphala.m bhavi.syati|
ACT.5.39	yadii"svaraadabhavat tarhi yuuya.m tasyaanyathaa karttu.m na "sak.syatha, varam ii"svararodhakaa bhavi.syatha|
ACT.5.40	tadaa tasya mantra.naa.m sviik.rtya te preritaan aahuuya prah.rtya yii"so rnaamnaa kaamapi kathaa.m kathayitu.m ni.sidhya vyasarjan|
ACT.5.41	kintu tasya naamaartha.m vaya.m lajjaabhogasya yogyatvena ga.nitaa ityatra te saanandaa.h santa.h sabhaasthaanaa.m saak.saad agacchan|
ACT.5.42	tata.h para.m pratidina.m mandire g.rhe g.rhe caavi"sraamam upadi"sya yii"sukhrii.s.tasya susa.mvaada.m pracaaritavanta.h|
ACT.6.1	tasmin samaye "si.syaa.naa.m baahulyaat praatyahikadaanasya vi"sraa.nanai rbhinnade"siiyaanaa.m vidhavaastriiga.na upek.site sati ibriiyalokai.h sahaanyade"siiyaanaa.m vivaada upaati.s.that|
ACT.6.2	tadaa dvaada"sapreritaa.h sarvvaan "si.syaan sa.mg.rhyaakathayan ii"svarasya kathaapracaara.m parityajya bhojanagave.sa.nam asmaakam ucita.m nahi|
ACT.6.3	ato he bhraat.rga.na vayam etatkarmma.no bhaara.m yebhyo daatu.m "saknuma etaad.r"saan sukhyaatyaapannaan pavitre.naatmanaa j naanena ca puur.naan sapprajanaan yuuya.m sve.saa.m madhye manoniitaan kuruta,
ACT.6.4	kintu vaya.m praarthanaayaa.m kathaapracaarakarmma.ni ca nityaprav.rttaa.h sthaasyaama.h|
ACT.6.5	etasyaa.m kathaayaa.m sarvve lokaa.h santu.s.taa.h santa.h sve.saa.m madhyaat stiphaana.h philipa.h prakharo nikaanor tiiman parmmi.naa yihuudimatagraahii-aantiyakhiyaanagariiyo nikalaa etaan paramabhaktaan pavitre.naatmanaa paripuur.naan sapta janaan
ACT.6.6	preritaanaa.m samak.sam aanayan, tataste praarthanaa.m k.rtvaa te.saa.m "sira.hsu hastaan aarpayan|
ACT.6.7	apara nca ii"svarasya kathaa de"sa.m vyaapnot vi"se.sato yiruu"saalami nagare "si.syaa.naa.m sa.mkhyaa prabhuutaruupe.naavarddhata yaajakaanaa.m madhyepi bahava.h khrii.s.tamatagraahi.no.abhavan|
ACT.6.8	stiphaanoे vi"svaasena paraakrame.na ca paripuur.na.h san lokaanaa.m madhye bahuvidham adbhutam aa"scaryya.m karmmaakarot|
ACT.6.9	tena libarttiniiyanaamnaa vikhyaatasa"nghasya katipayajanaa.h kurii.niiyasikandariiya-kilikiiyaa"siiyaade"siiyaa.h kiyanto janaa"scotthaaya stiphaanena saarddha.m vyavadanta|
ACT.6.10	kintu stiphaano j naanena pavitre.naatmanaa ca iid.r"sii.m kathaa.m kathitavaan yasyaaste aapatti.m karttu.m naa"saknuvan|
ACT.6.11	pa"scaat tai rlobhitaa.h katipayajanaa.h kathaamenaam akathayan, vaya.m tasya mukhato muusaa ii"svarasya ca nindaavaakyam a"srau.sma|
ACT.6.12	te lokaanaa.m lokapraaciinaanaam adhyaapakaanaa nca prav.rtti.m janayitvaa stiphaanasya sannidhim aagatya ta.m dh.rtvaa mahaasabhaamadhyam aanayan|
ACT.6.13	tadanantara.m katipayajane.su mithyaasaak.si.su samaaniite.su te.akathayan e.sa jana etatpu.nyasthaanavyavasthayo rnindaata.h kadaapi na nivarttate|
ACT.6.14	phalato naasaratiiyayii"su.h sthaanametad ucchinna.m kari.syati muusaasamarpitam asmaaka.m vyavahara.nam anyaruupa.m kari.syati tasyaitaad.r"sii.m kathaa.m vayam a"s.r.numa|
ACT.6.15	tadaa mahaasabhaasthaa.h sarvve ta.m prati sthiraa.m d.r.s.ti.m k.rtvaa svargaduutamukhasad.r"sa.m tasya mukham apa"syan|
ACT.7.1	tata.h para.m mahaayaajaka.h p.r.s.tavaan, e.saa kathaa.m ki.m satyaa?
ACT.7.2	tata.h sa pratyavadat, he pitaro he bhraatara.h sarvve laakaa manaa.msi nidhaddhva.m|asmaaka.m puurvvapuru.sa ibraahiim haara.nnagare vaasakara.naat puurvva.m yadaa araam-naharayimade"se aasiit tadaa tejomaya ii"svaro dar"sana.m datvaa
ACT.7.3	tamavadat tva.m svade"saj naatimitraa.ni parityajya ya.m de"samaha.m dar"sayi.syaami ta.m de"sa.m vraja|
ACT.7.4	ata.h sa kasdiiyade"sa.m vihaaya haara.nnagare nyavasat, tadanantara.m tasya pitari m.rte yatra de"se yuuya.m nivasatha sa ena.m de"samaagacchat|
ACT.7.5	kintvii"svarastasmai kamapyadhikaaram arthaad ekapadaparimitaa.m bhuumimapi naadadaat; tadaa tasya kopi santaano naasiit tathaapi santaanai.h saarddham etasya de"sasyaadhikaarii tva.m bhavi.syasiiti tampratya"ngiik.rtavaan|
ACT.7.6	ii"svara ittham aparamapi kathitavaan tava santaanaa.h parade"se nivatsyanti tatastadde"siiyalokaa"scatu.h"satavatsaraan yaavat taan daasatve sthaapayitvaa taan prati kuvyavahaara.m kari.syanti|
ACT.7.7	aparam ii"svara enaa.m kathaamapi kathitavaan, ye lokaastaan daasatve sthaapayi.syanti taallokaan aha.m da.n.dayi.syaami, tata.h para.m te bahirgataa.h santo maam atra sthaane sevi.syante|
ACT.7.8	pa"scaat sa tasmai tvakchedasya niyama.m dattavaan, ata ishaakanaamni ibraahiima ekaputre jaate, a.s.tamadine tasya tvakchedam akarot| tasya ishaaka.h putro yaakuub, tatastasya yaakuubo.asmaaka.m dvaada"sa puurvvapuru.saa ajaayanta|
ACT.7.9	te puurvvapuru.saa iir.syayaa paripuur.naa misarade"sa.m pre.sayitu.m yuu.sapha.m vyakrii.nan|
ACT.7.10	kintvii"svarastasya sahaayo bhuutvaa sarvvasyaa durgate rak.sitvaa tasmai buddhi.m dattvaa misarade"sasya raaj na.h phirau.na.h priyapaatra.m k.rtavaan tato raajaa misarade"sasya sviiyasarvvaparivaarasya ca "saasanapada.m tasmai dattavaan|
ACT.7.11	tasmin samaye misara-kinaanade"sayo rdurbhik.sahetoratikli.s.tatvaat na.h puurvvapuru.saa bhak.syadravya.m naalabhanta|
ACT.7.12	kintu misarade"se "sasyaani santi, yaakuub imaa.m vaarttaa.m "srutvaa prathamam asmaaka.m puurvvapuru.saan misara.m pre.sitavaan|
ACT.7.13	tato dvitiiyavaaragamane yuu.saph svabhraat.rbhi.h paricito.abhavat; yuu.sapho bhraatara.h phirau.n raajena paricitaa abhavan|
ACT.7.14	anantara.m yuu.saph bhraat.rga.na.m pre.sya nijapitara.m yaakuuba.m nijaan pa ncaadhikasaptatisa.mkhyakaan j naatijanaa.m"sca samaahuutavaan|
ACT.7.15	tasmaad yaakuub misarade"sa.m gatvaa svayam asmaaka.m puurvvapuru.saa"sca tasmin sthaane.amriyanta|
ACT.7.16	tataste "sikhima.m niitaa yat "sma"saanam ibraahiim mudraadatvaa "sikhima.h pitu rhamora.h putrebhya.h kriitavaan tat"sma"saane sthaapayaa ncakrire|
ACT.7.17	tata.h param ii"svara ibraahiima.h sannidhau "sapatha.m k.rtvaa yaa.m pratij naa.m k.rtavaan tasyaa.h pratij naayaa.h phalanasamaye nika.te sati israayellokaa simarade"se varddhamaanaa bahusa.mkhyaa abhavan|
ACT.7.18	"se.se yuu.sapha.m yo na paricinoti taad.r"sa eko narapatirupasthaaya
ACT.7.19	asmaaka.m j naatibhi.h saarddha.m dhuurttataa.m vidhaaya puurvvapuru.saan prati kuvyavahara.napuurvvaka.m te.saa.m va.m"sanaa"sanaaya te.saa.m navajaataan "si"suun bahi rnirak.sepayat|
ACT.7.20	etasmin samaye muusaa jaj ne, sa tu paramasundaro.abhavat tathaa pit.rg.rhe maasatrayaparyyanta.m paalito.abhavat|
ACT.7.21	kintu tasmin bahirnik.sipte sati phirau.naraajasya kanyaa tam uttolya niitvaa dattakaputra.m k.rtvaa paalitavatii|
ACT.7.22	tasmaat sa muusaa misarade"siiyaayaa.h sarvvavidyaayaa.h paarad.r.svaa san vaakye kriyaayaa nca "saktimaan abhavat|
ACT.7.23	sa sampuur.nacatvaari.m"sadvatsaravayasko bhuutvaa israayeliiyava.m"sanijabhraat.rn saak.saat kartu.m mati.m cakre|
ACT.7.24	te.saa.m janameka.m hi.msita.m d.r.s.tvaa tasya sapak.sa.h san hi.msitajanam upak.rtya misariiyajana.m jaghaana|
ACT.7.25	tasya hastene"svarastaan uddhari.syati tasya bhraat.rga.na iti j naasyati sa ityanumaana.m cakaara, kintu te na bubudhire|
ACT.7.26	tatpare .ahani te.saam ubhayo rjanayo rvaakkalaha upasthite sati muusaa.h samiipa.m gatvaa tayo rmelana.m karttu.m mati.m k.rtvaa kathayaamaasa, he mahaa"sayau yuvaa.m bhraatarau parasparam anyaaya.m kuta.h kurutha.h?
ACT.7.27	tata.h samiipavaasina.m prati yo jano.anyaaya.m cakaara sa ta.m duuriik.rtya kathayaamaasa, asmaakamupari "saast.rtvavicaarayit.rtvapadayo.h kastvaa.m niyuktavaan?
ACT.7.28	hyo yathaa misariiya.m hatavaan tathaa ki.m maamapi hani.syasi?
ACT.7.29	tadaa muusaa etaad.r"sii.m kathaa.m "srutvaa palaayana.m cakre, tato midiyanade"sa.m gatvaa pravaasii san tasthau, tatastatra dvau putrau jaj naate|
ACT.7.30	anantara.m catvaari.m"sadvatsare.su gate.su siinayaparvvatasya praantare prajvalitastambasya vahni"sikhaayaa.m parame"svaraduutastasmai dar"sana.m dadau|
ACT.7.31	muusaastasmin dar"sane vismaya.m matvaa vi"se.sa.m j naatu.m nika.ta.m gacchati,
ACT.7.32	etasmin samaye, aha.m tava puurvvapuru.saa.naam ii"svaro.arthaad ibraahiima ii"svara ishaaka ii"svaro yaakuuba ii"svara"sca, muusaamuddi"sya parame"svarasyaitaad.r"sii vihaayasiiyaa vaa.nii babhuuva, tata.h sa kampaanvita.h san puna rniriik.situ.m pragalbho na babhuuva|
ACT.7.33	parame"svarasta.m jagaada, tava paadayo.h paaduke mocaya yatra ti.s.thasi saa pavitrabhuumi.h|
ACT.7.34	aha.m misarade"sasthaanaa.m nijalokaanaa.m durdda"saa.m nitaantam apa"sya.m, te.saa.m kaataryyokti nca "srutavaan tasmaat taan uddharttum avaruhyaagamam; idaaniim aagaccha misarade"sa.m tvaa.m pre.sayaami|
ACT.7.35	kastvaa.m "saast.rtvavicaarayit.rtvapadayo rniyuktavaan, iti vaakyamuktvaa tai ryo muusaa avaj naatastameva ii"svara.h stambamadhye dar"sanadaatraa tena duutena "saastaara.m muktidaataara nca k.rtvaa pre.sayaamaasa|
