GEN.1.1	Are nakuexinxion beꞌe kain, Ndo Dio binchechjian ngajni ko nunthe. 
LUK.17.13	—¡Jesús, Suixin ke tjaago, thiakunuana ni ra!
LUK.17.14	Are Jesús bikon kain xii mee, jeꞌe ndachro ngain xa:
LUK.17.14	—Sathji ra ko dikjaguꞌe ra xi daana ixin ixruꞌin chin chunda ra.
LUK.17.14	Ko are satethji xa, chiꞌin xa ndabitjaan chin. 
LUK.17.15	Kuthimejan naa xa are bikon xa ixin ixruꞌin chin jichunda xa, sakjan xa ko suji jituyao xa ixin jinchesayeꞌe xa Ndo Dio. 
LUK.17.16	Ko bethuxin xa ko bisetaꞌa xa nunthe ngain ruthee Jesús, ko kuexruxiꞌin xa Jesús. Ko xii mee xi Samaria. 
LUK.17.17	Kuthimejan Jesús ndachro:
LUK.17.17	—¿Ajeꞌa the xii xi kuxrueꞌen? ¿Thinoo te xi icha? 
LUK.17.18	¿Ajeꞌo xii jiꞌi, xi juixin inaa nunthe kjan xa ixin binchesayeꞌe xa Ndo Dio?
LUK.17.19	Kuthimejan Jesús ndachro ngain xii mee:
LUK.17.19	—Dingathjen ko sathji, jaꞌa ukuxruaꞌan ixin chunthia na.
LUK.17.20	Kain xi fariseo banchiangi xa ngain Jesús ixin kensa tsii thi thetuꞌan Ndo Dio, ko Jesús ndachro ngain xa:
LUK.17.20	—Are tsii thi thetuꞌan Ndo Dio, mee jeꞌa thi nchao sikon ni. 
LUK.17.21	Ko chroꞌa rundachro ni: “Nthiꞌi jii”, o “Nujiꞌa jii”, ixin thi thetuꞌan Ndo Dio ujii ngayaꞌa ra.
LUK.17.22	Kuthimejan ndachro ngain thi chujni bakao:
LUK.17.22	—Tsii nchaꞌon are jaꞌa ra sinao ra ixin jaꞌan, thi Xii juixin ngajni, sariꞌi ngajin ra maski nakua nchaꞌon, aro jaꞌa ra ichroꞌa sikon ni ra. 
LUK.17.23	Ko maski chujni rundathjo ra nthiꞌi riꞌi jaꞌan o nujiꞌa riꞌi, aro jaꞌa ra dithikaonꞌa ra na̱ ko rueꞌa ra na̱. 
LUK.17.24	Ko inchin dikon ni tungiixin nguii ngajni, jamee tsuꞌen ngain nchaꞌon are jaꞌan, thi Xii juixin ngajni, siꞌi inaa. 
LUK.17.25	Aro saꞌo rugunda anto tangi tsunna ko chujni te nchaꞌon teꞌi runingakunna na̱. 
LUK.17.26	Ko jañaa inchin bancheꞌe chujni ngain nchaꞌon are bechon Noé, jañaa kai sincheꞌe na̱ are jaꞌan, thi Xii juixin ngajni, siꞌi inaa. 
LUK.17.27	Ngain nchaꞌon bechon Noé, chujni bane na̱, bagiꞌi na̱ ko bakutheꞌe na̱, ko biji nchaꞌon are Noé bixiꞌin ngain arca ko juii chrin suji ko binchexanthe kain. 
LUK.17.28	Kai jamee kuꞌen ngain nchauen Lot. Are mee kain chujni bane na̱, bagiꞌi na̱, bakeꞌna na̱, banchekji na̱, bakenga na̱ ko banchechjian na̱ nchia. 
LUK.17.29	Are Lot bachrjexin ngain rajna Sodoma, ngajni binguxin xruꞌi ko azufre ko ndabuen kainxin chujni. 
LUK.17.30	Xrajeꞌo sincheꞌe chujni are jaꞌan, thi Xii juixin ngajni, rukjan siꞌi inaa.
LUK.17.31	’Ngain nchaꞌon mee thi chujni seꞌe ngataꞌa nchianduꞌa, ko thi jichunda ngaxiꞌin nchianduꞌa saniaꞌa siruee. Ko ja̱ chrujan chujni seꞌe ngataon jngi, rukjanꞌa nchianduꞌa. 
LUK.17.32	Xraxaon ra keꞌe kuꞌen chriꞌi Lot. 
LUK.17.33	Thi jeꞌo thjee ixin jian seꞌe ngataꞌa nunthe jiꞌi, ndaseꞌen. Ko thi ruxrajon seꞌen rukjan inaa chujni narua ko xruꞌin nchaꞌon tsjexin.
LUK.17.34	’Jaꞌan ndathjo ra, ixin ngain thie mee, ja̱ yoo chujni tatejua ngain nakua saon, naa sasikao Ndo Dio ko naa tasithuꞌe. 
LUK.17.35	Ko are mee, ja̱ yoo nchrii tedaꞌo nchra, naa nchra sasikao nchra Ndo Dio ko inaa nchra tasithuꞌe nchra. 
LUK.17.36	Ko ja̱ yoo xii tencheꞌe xa xra ngataon jngi, naa xa sasikao xa Ndo Dio ko inaa xa tasithuꞌe xa. 
LUK.17.37	Are chujni kuiꞌin jiꞌi, banchiangi na̱ ngain Jesús ko ndachro na̱:
LUK.17.37	—¿Thinoo tsuenxin kain jiꞌi?
LUK.17.37	Ko Jesús ndachro:
LUK.17.37	—Thi jitsinga thi ndadigeꞌen, nthi̱ꞌa̱ ruxrathe kunthachrjen.
LUK.18.1	Jesús kuekiin chujni bakao naa thi kuꞌen ko ixin rugunda runichjee na̱ Ndo Dio kain nchaꞌon ko tsunchrjenꞌa na̱. 
LUK.18.2	Jeꞌe ndachro ngain na̱:
LUK.18.2	—Ngain naa rajna beꞌe naa xi ncheꞌe jie̱, aro baxraguenꞌa xa Ndo Dio ko ndusenꞌa xa icha chujni. 
LUK.18.3	Ngain rajna mee beꞌe naa nchri gaꞌan ko bakji nchra ngain xi ncheꞌe jie̱ ixin baganchia nchra jie̱ ixin chujni baketukaꞌo nchra. 
LUK.18.4	Anto see xi ncheꞌe jie̱ jiꞌi chroꞌa xa bincheꞌe xa jie̱ ixin nchrii mee, aro beꞌe xa xraxaon xa: “Maski jaꞌan xraguanꞌa Ndo Dio ko ndusenaꞌa icha chujni, 
LUK.18.5	aro nchri gaꞌan jiꞌi juxon ndachjejin na nchra ixin sinthaꞌa nchra jie̱, mexinxin icha jian tsjengijna nchra ixin jañaa itsiꞌa nchra nanao ko isincheñaoꞌa na nchra.”
LUK.18.6	Ko Jesús ndachro:
LUK.18.6	—Thiꞌin ra thi ndachro xi ncheꞌe jie̱ jianꞌa jiꞌi. 
LUK.18.7	¿A Ndo Dio sincheꞌa jie̱ ixin kain chujni jeꞌe ndo ukuinchieꞌe ndo ko nchetseꞌen na̱ ñao ndo nchaꞌon ko thie? ¿Ako tsunchrjeꞌen ndo ixin satheꞌe ndo? 
LUK.18.8	Jaꞌan ndathjo ra ixin jaikua sincheꞌe ndo jie̱ ixin jaꞌa ra. Aro jaꞌan, thi Xii juixin ngajni, are rukjan na siꞌi inaa, ¿a xra sithja ngain nunthe jiꞌi chujni ndua chunthia ngajin?
LUK.18.9	Jesús kuekin inaa thi kuꞌen ngain chujni tunuꞌe ixin anto jian na̱ ko baxraxaon na̱ ixin icha chujni xruꞌin renthe na̱. Ko jeꞌe ndachro:
LUK.18.10	—Yoo xii kjui xa ngain niꞌngo icha renthe ixin binichjee xa Ndo Dio, naa xa xi fariseo xa ko inaa xa xi thjejo tumii César. 
LUK.18.11	Xi fariseo tajingathjen xa ko nichjee xa Ndo Dio, ko ndachro xa jaꞌin: “Suixin Ndo Diuna, jaꞌan thexruxiꞌan ixin jaꞌan jeꞌa inchin kanxion chujni thee, chujni ncheꞌe thi jianꞌa, o inchin ni dejuakaꞌo nchrii jeꞌa chriꞌi na̱. ¡Ko jaꞌan jeꞌa inchin xii jiꞌi, xi thjejo tumii César! 
LUK.18.12	Jaꞌan nthakjaaño yoo nthiꞌa ngain semana, ko jaꞌan dajon kain thi thexin dacha.” 
LUK.18.13	Aro xi thjejo tumii César kjínxin bithuꞌe xa, ko jeꞌe xa tsinꞌa kon xa ixin rutsjeꞌe xa ngajni ko jeꞌo xrangii xa thon ntha pechue xa ko ndachro xa: “¡Suixin Ndo Diuna, nthatsaꞌan ñao thiakunuana ixin jaꞌan naa chujni anto ncheꞌe thi jianꞌa!”
LUK.18.14	Kuthimejan Jesús ndachro:
LUK.18.14	—Jaꞌan ndathjo ra ixin are xi thjejo tumi sakjan xa nchianduꞌa xa, Ndo Dio ubinchetjañeꞌe xa kain thi jianꞌa bincheꞌe xa, aro xi fariseo, naꞌi. Ixin thi chujni taꞌin ñao ixin anto jian, chujni jiꞌi sathueꞌe juasuaxin, ko chujni tainꞌa ñao ixin anto jian, chujni jiꞌi, tsusayeꞌe na̱.
LUK.18.15	Chujni bakiaꞌo na̱ xan nchinnchinchjeꞌen na̱ ngain Jesús ixin banchenchaon xan, aro chujni bakao Jesús bikon na̱ jiꞌi, ko kuexiꞌin na̱ binchesatheꞌe na̱ ni bakiaꞌo xeꞌen. 
LUK.18.16	Aro Jesús baye̱e xan nchinnchinchjan ko ndachro ngain chujni bakao:
LUK.18.16	—Tanchrjanda ra xan nchinnchinchjan tsii xan ngajin, ko kayakuenꞌa ra xan, ixin thi thetuꞌan Ndo Dio jikininxin chujni kjan inchin jeꞌe xan nchinnchinchjan. 
LUK.18.17	Ndua thi ndathjo ra ixin thi chujni dayeꞌa thi thetuꞌan Ndo Dio, inchin naa chjan, chujni mee sixinꞌa na̱ nthi̱ꞌa̱ thi thetuꞌan ndo.
LUK.18.18	Naa xi thetuꞌan ngain chujni judío banchiangi xa ngain Jesús ko ndachro xa:
LUK.18.18	—Suixin ke tjaago, ko anto jian, ¿keꞌe icha sinthaꞌa ixin sayaa thi kjan ni inaa chujni narua ko xruꞌin nchaꞌon tsjexin?
LUK.18.19	Jesús ndachro ngain xa:
LUK.18.19	—¿Unda ndachro jaꞌa ixin jaꞌan jian na? Xruꞌin kensen jian, jeꞌo nakua thi jian, ko mee Ndo Dio. 
LUK.18.20	Jaꞌa anuꞌa kain thi kuetuꞌan Ndo Dio, thi ndachro: “Darichrikoꞌa nchrii jeꞌa chriꞌa o xii jeꞌa xixiꞌa, duenꞌa chujni, theꞌa, nichjaꞌa thi nduaꞌa ncheꞌe chujni ko dithikaon ndudaa ko janaa.”
LUK.18.21	Jeꞌe thi xii mee ndachro:
LUK.18.21	—Kain yaa rinthaꞌa ko binthaꞌa are xra nchiin na.
LUK.18.22	Are kuiꞌin Jesús jiꞌi, jeꞌe ndachro ngain xa:
LUK.18.22	—Jaꞌa xra nchetjaan naa thi sincheꞌe. Nchekji kain thi chunda ko tumi mee tunchjeyeꞌe chujni nua, ko jañaa nthi̱ꞌa̱ ngajni jaꞌa ruchunda thi icha renthe. Kuthimejan siꞌi ngajin ko ruena.
LUK.18.23	Are thi xii kuiꞌin jiꞌi, anto tabechiin xa ixin anto tsjé tumi bechunda. 
LUK.18.24	Are Jesús bikon ixin anto tabechiin xa, jeꞌe ndachro:
LUK.18.24	—¡Anto tangi sixiꞌin chujni chunda tsjé tumi ngain thi thetuꞌan Ndo Dio! 
LUK.18.25	Icha tangiꞌa ixin naa kucamello sathuxiꞌin ba thuechjeꞌen naa nthachia ke chujni anto chunda tumi sixiꞌin ngain thi thetuꞌan Ndo Dio.
LUK.18.26	Ko kain ni kuiꞌin jiꞌi banchangi na̱:
LUK.18.26	—Ko, ¿kensen nchao rukjan inaa chujni narua remee?
LUK.18.27	Jesús ndachro ngain na̱:
LUK.18.27	—Thi anto tangi tunuꞌe chujni sincheꞌe na̱, Ndo Dio tangiꞌa sincheꞌe ndo.
LUK.18.28	Pedro ndachro ngain Jesús:
LUK.18.28	—Jaꞌan ná kuinthua ná kain thi techunda ná ixin ruaꞌa ntha suixin.
LUK.18.29	Kuthimejan Jesús ndachro:
LUK.18.29	—Ndua thi rindathjo ra ixin kexeꞌo chujni thinthuꞌe nchianduꞌa, ndudee, janee, xan choo, chriꞌi o xeꞌen ixin thi thetuꞌan Ndo Dio, 
LUK.18.30	chujni mee ngataꞌa nunthe nthiꞌi sayée na̱ icha tsjé, ko ngain nunthe tsii, rukjan inaa chujni narua ko xruꞌin nchaꞌon tsjexin.
LUK.18.31	Jesús bantsjenda thi theyoo chujni bakao ko ndachro ngain na̱:
LUK.18.31	—Jai jaꞌa ra unuꞌa ra ixin satsji ná Jerusalén. Nthi̱ꞌa̱ thi tsuenxin kain thi ndachro kain ni bagayee juajnee Ndo Dio ixin jaꞌan, thi Xii juixin ngajni. 
LUK.18.32	Ko nthi̱ꞌa̱ chujni sajon na na̱ ngain chujni jeꞌa judío ko jeꞌe na̱ tsjanua na na̱, ko chrjuinꞌa runichja na̱ ixin jaꞌan ko tsjanito na na̱ ndathee na̱. 
LUK.18.33	Ko are tsjexin sikaon na, kuthimejan nasuenxon na na̱. Aro ngain nchaꞌon ninxin jaꞌan ruxechon na.
LUK.18.34	Ko ni theyoo bakao Jesús kuinxinꞌa na̱ thi ndachro jeꞌe, ixin xra bechundaꞌa na̱ juachaxin rukinxin na̱ thi jeꞌe jindachro.
LUK.18.35	Are Jesús ko chujni bakao uchiaon tediji na̱ rajna Jericó, naa thi xii chroꞌa bagikon tajii ngandeꞌe nthiꞌá ixin jidanchiagaꞌa. 
LUK.18.36	Are jeꞌe xa kuiꞌin xa ixin nthi̱ꞌa̱ jidatho tsjé chujni, banchiangi xa keꞌe jituꞌen. 
LUK.18.37	Ko chujni ndache na̱ ixin Jesús, thi juixin Nazaret jidatho no nthi̱ꞌa̱. 
LUK.18.38	Jeꞌe xa seen ndachro xa:
LUK.18.38	—¡Jesús, chujnii David, thiakunuana jaꞌan!
LUK.18.39	Ko chujni tetaon nthi̱ꞌa̱ binchesatheꞌe na̱ ixin rutenkua xa, aro jeꞌe xa icha suji kuyao xa:
LUK.18.39	—¡Suixin, chujnii David, thiakunuana jaꞌan!
LUK.18.40	Kuthimejan Jesús tabingathjen ko kuetuꞌan ixin rukiauꞌe na̱, ko are ukunchieꞌen thi bagikonꞌa, Jesús banchiangiꞌi ko ndachro:
LUK.18.41	—¿Keꞌe rinao sinthaꞌa ngajin?
LUK.18.41	Ko thi bagikonꞌa ndachro:
LUK.18.41	—Jaꞌan rinaꞌo sikon.
LUK.18.42	Jesús ndachro:
LUK.18.42	—¡Jaꞌa unchao dikon! Jaꞌa ukuxruaꞌan ixin bithikaon na.
LUK.18.43	Ko tuinxion thi bagikonꞌa mee unchao bikon, ko saruee Jesús ko binchesayeꞌe Ndo Dio, ko kain chujni bikon jiꞌi kai binchesayeꞌe na̱ ndo.
LUK.19.1	Kuthimejan Jesús kunixin chujnii biji na̱ rajna Jericó ko kuexiꞌin na̱ bathugaꞌa na̱ rajna. 
LUK.19.2	Ko nthi̱ꞌa̱ beꞌe naa xii biꞌin Zaqueo, xi baketuꞌen kain chujni datse tumii César ko anto tsjé tumi bechunda xa. 
LUK.19.3	Ko Zaqueo binao rugikon kensen Jesús. Aro chroꞌa bikon ixin anto tsjé chujni tethji, ko Zaqueo jiniꞌa beꞌe. 
LUK.19.4	Kuthimejan Zaqueo kuinga bitaon nthiꞌá ixin nchao rugikon Jesús, ko kuani ngagaꞌa naa nthaa diꞌin sicómoro chiaon thi rugatho Jesús. 
LUK.19.5	Are Jesús batho no nthi̱ꞌa̱, jeꞌe tsjeꞌe nui thi jii Zaqueo ko ndachro:
LUK.19.5	—Zaqueo, jaka danianxin yaa ixin jai jaꞌan rinaꞌo sithuna nchiandui.
LUK.19.6	Kuthimejan Zaqueo daka bania ko anto chee ixin Jesús rukji nchianduꞌa. 
LUK.19.7	Are chujni bikon na̱ jiꞌi, kain na̱ chrjuinꞌa nichja na̱ ko ndachro na̱ ixin Jesús kjui bigithuꞌe ngain nchianduꞌa naa xii ncheꞌe jianꞌa. 
LUK.19.8	Kuthimejan Zaqueo bingathjen ko ndachro ngain Jesús:
LUK.19.8	—Tsjexin Suixin, jaꞌan ruchjaꞌa chujni nua ngusinenxin thi richunda. Ko ja̱ chrujan chujni binthayaa ko kuemaa tumii, jaꞌan tsunkjañaa chujni mee noo nthiꞌa icha tsjé thi jaꞌan kuemaa na̱.
LUK.19.9	Ko Jesús ndachro ngain Zaqueo:
LUK.19.9	—Jai Ndo Dio rinao sinthakjan inaa chujni narua jaꞌa ko chujnia, ixin jaꞌa ndua chujnii Abraham. 
LUK.19.10	Ixin jaꞌan, thi Xii juixin ngajni, juiꞌi bikjee ko nthakjan inaa chujni narua thi chujni ndabitjaan.
LUK.19.11	Are chujni xra tethiꞌin na̱ thi jindachro Jesús, jeꞌe kuekin inaa thi kuꞌen ixin uchiaon tediji na̱ Jerusalén, ko chujni xraxaon na̱ ixin thi thetuꞌan Ndo Dio tuin rukexiꞌin. 
LUK.19.12	Mexinxin Jesús ndachro ngain na̱:
LUK.19.12	—Beꞌe naa xii anto renthe ko sakjui kjín ngain inaa nunthe ixin bigayee juachaxin ixin kjan rey, kuthimejan sakjan ngain nuntheꞌe. 
LUK.19.13	Aro saꞌo baye̱e the ni ncheꞌe xree xa ixin bajon xa ngain na̱ nanaa tumi anto renthe, ko ndachro xa ngain na̱: “Nchencheꞌe ra xra tumi jiꞌi tsija nchaꞌon are jaꞌan rukjan na.” 
LUK.19.14	Aro chujni rajnee xa baningakuꞌen na̱ xa, ko ruaꞌan na̱ chujni ixin bikao na̱ juajna ixin rinaoꞌa na̱ ixin xii jiꞌi tsetuꞌan xa. 
LUK.19.15	Aro jeꞌe xa bayée xa juachaxin tsetuꞌan xa, ko are kjan xa rajnee xa baye̱e xa thi the chujni binchegayee xa tumi ixin tsunuꞌe xa kejaꞌin bacha nanaa na̱. 
LUK.19.16	Ko kunchieꞌen thi saꞌo ko ndachro: “Thi naa tumia chjana bacha ithe tumi.” 
LUK.19.17	Jeꞌe rey mee ndachro: “Jaꞌa anto jian ni ncheꞌe xra. Jaꞌa bayakuꞌen thi tsjéꞌa tumi, mexinxin jai jaꞌan ruchjaꞌa juachaxin tsetuꞌen the rajna.” 
LUK.19.18	Kuthimejan kunchieꞌen inaa ko ndachro: “Thi naa tumia suixin chjana bacha inaꞌo tumi.” 
LUK.19.19	Ko xi rey mee kai ndache chujni jiꞌi: “Jaꞌa tsetuꞌen naꞌo rajna.” 
LUK.19.20	Kuthimejan kunchieꞌen inaa xa ko ndachro xa: “Nthiꞌi jii tumia chjana suixin. Jaꞌan kuenchjiꞌan tumi ngaa naa paniito 
LUK.19.21	ixin jaꞌan xraguꞌan ixin suixin naa xii anto cha ngain anseen, ko dantsjeꞌe chujni thi chjeꞌa na̱, ko datsiin thi thengaꞌa.” 
LUK.19.22	Kuthimejan xi rey mee ndachro: “Jaꞌa ni ncheꞌe xra jianꞌa ixin thi ndachro jaꞌa sinthaꞌa jie̱. Ja̱ ubenuꞌa ixin jaꞌan anto cha ansenna, ko dantsjaa chujni thi jaꞌan dajonꞌa ko thjejo thi jaꞌan thengaꞌa, 
LUK.19.23	mexinxin, ¿unda bikanꞌa tumi ngain naa thi dechjian tumi ixin jañaa jaꞌan rugayaa thi dacha tumi are rukjan na nchiania?” 
LUK.19.24	Ko ndachro xi rey ngain thi chujni te nthi̱ꞌa̱: “Dantsjeꞌe ra xa tumi ko dajon ra tumi ngain xi bacha the tumi.” 
LUK.19.25	Ko jeꞌe na̱ ndachro na̱: “Aro chujni mee uchunda the tumi.” 
LUK.19.26	Xi rey mee ndachro: “Jaꞌan ndathjo ra ixin thi chujni uchunda, sayée na̱ icha, aro thi chujni xruꞌin chunda, sachrjeꞌe thi nchion chunda na̱. 
LUK.19.27	Ko kai chujni ningakunna ko binaoꞌa ixin jaꞌan ruketuan na̱, sikuꞌna ra na̱ nthiꞌi ko naduenxon ra na̱ ngathexin kon na.”
LUK.19.28	Kuthimejan, are Jesús juexin nichja jiꞌi, jeꞌe ruee nthiee ko sakjui no Jerusalén. 
LUK.19.29	Ko are uchiaon jidiji rajna Betfagé ko Betania, chiaon jna diꞌin Ntha Olivo, Jesús ndachro ngain yoo chujni bakao:
LUK.19.30	—Thji ra ngain rajnanchjan jii ngathexin kon ná, ko are saso ra nthi̱ꞌa̱ sinchii ra naa kuluchuchjan jichrua ba ko xra xruꞌin chujni detaꞌa ba. Tunxindangeꞌe ra ba ko sikoo ra ba. 
LUK.19.31	Ko ja̱ chrujan chujni sanchiangiꞌa ra ixin unda tetunxindangeꞌe ra ba, jaꞌa ra ndachro ra, Nchaa ná, rugundeꞌe ba.
LUK.19.32	Ko kayui ni kuinchieꞌe Jesús sabinthekji na̱ ko kuꞌen inchin ndachro Jesús. 
LUK.19.33	Ko are utetunxindangeꞌe na̱ kuluchuchjan mee, ni kuluchuꞌe ndachro na̱:
LUK.19.33	—¿Unda tetunxindangeꞌe ra kuluchuchjan yaa?
LUK.19.34	Ko ni tetunxindangeꞌe ba ndachro na̱:
LUK.19.34	—Nchaa ná rugundeꞌe ba.
LUK.19.35	Kuthimejan sabikao na̱ ba ngain Jesús, ko nthi̱ꞌa̱ jeꞌe na̱ kjuajiꞌin na̱ ba thi luntho tetsaa na̱ ko bincheꞌe na̱ ixin Jesús betaꞌa kuluchuchjan mee. 
LUK.19.36	Ko are Jesús icha kunchiaon ngakee rajna Jerusalén, chujni kuingo na̱ nguii ngaa nthiꞌá thi luntho tetsaa na̱ ixin rugatho Jesús. 
LUK.19.37	Ko are uchiaon tediji na̱ thi xinkajinxin na̱ ngain jna Ntha Olivo, kain chujni jiruee ko bithikaon Jesús, kuexiꞌin na̱ kuyao na̱ ixin anto chee na̱ ko binchesayeꞌe na̱ Ndo Dio ixin bikon na̱ anto tsjé thi jian bincheꞌe Jesús. 
LUK.19.38	Ko ndachro na̱:
LUK.19.38	—¡Ndo Dio sinchenchaon thi Rey juii kunixin juachaxiin Ndo Dio! ¡Thi chrjuin tunuꞌe ni jii nthi̱ꞌa̱ ngajni! ¡Ko kain chujni sinchesayeꞌe na̱ ndo!
LUK.19.39	Kuthimejan kanxion xi fariseo te nthi̱ꞌa̱ ngayee chujni binthendachro xa ngain Jesús:
LUK.19.39	—Suixin ke tjaago, nchesatheꞌe chujnia teꞌi.
LUK.19.40	Aro Jesús ndachro ngain xa:
LUK.19.40	—Ja̱ chujni teꞌi rutenkua na̱, xro tsuyao xro.
LUK.19.41	Are Jesús biji chiaon Jerusalén, jeꞌe bikon rajna ko tsjangaxin rajna, 
LUK.19.42	ko ndachro ngain rajna:
LUK.19.42	—¡Ja̱ chujnia rukinxin na̱ jai ixin ruchjaꞌa na̱ thi chrjuin rukunuꞌe ngain anseen na̱! Aro jai mee tabema, ko chroꞌa tsinxin na̱. 
LUK.19.43	Tsii nchaꞌon anto tangi ixin jaꞌa ra, are chujni ningakuꞌan ra sinthe na̱ xraa thjarioꞌo nguixin ngandajin jaꞌa Jerusalén, ko nguixin ngandajin jaꞌa sinthendajin na̱ ko sixiꞌin na̱ ixin suen na̱ chujnia. 
LUK.19.44	Ko nasuenxon na̱ chujnia, ko xruꞌin xro tsinthueꞌa na̱ ngajin ngataꞌa inaa xro. Ko jiꞌi tsuꞌen ixin chujnia bithikaonꞌa na̱ thi nchaꞌon are Ndo Dio juii ndo bitsjaꞌa ra ndo.
LUK.19.45	Kuthimejan Jesús bixiꞌin niꞌngo icha jié ko nthi̱ꞌa̱ bengixin kain chujni tenchekji ko theꞌna. 
LUK.19.46	Ko ndachro ngain na̱:
LUK.19.46	—Ngain Xruen Ndo Dio ndachro: “Nchiania nchia tjauxin ni Ndo Dio.” ¡Aro jaꞌa ra ndadinchechjian ra nchianduꞌa xi cheꞌe!
LUK.19.47	Kain nchaꞌon Jesús bakjaago ngain niꞌngo, aro kain xi daana baketuꞌan ngain icha xi daana, kain xi bakjaago ley ko kain xi baketuꞌan ngain rajna kjuee xa kexreen sincheꞌe xa ixin nasuenxon xa Jesús. 
LUK.19.48	Aro chroꞌa bagireꞌe xa kexreen runcheꞌe xa jamee, ixin kain chujni bakiꞌin na̱ jian thi banichja Jesús.
LUK.20.1	Naa nchaꞌon are Jesús tajii ngaxiꞌin niꞌngo icha jié ixin jinchekueꞌen chujni ixin Ndo Dio ko jindache na̱ ixin thi jian juajna, binthegiji kanxion xi daana baketuꞌan ngain icha xi daana, kanxion xi tjaago ley ko kanxion xi thetuꞌan ngain niꞌngo mee. 
LUK.20.2	Ko binthendachro xa ngain Jesús:
LUK.20.2	—Ndachjejin ni ra keꞌe juachaxin chunda jaꞌa ixin ncheꞌe kain jiꞌi. ¿Ko kensen chjaa juachaxin?
LUK.20.3	Kuthimejan Jesús ndachro ngain xa:
LUK.20.3	—Jaꞌan kai sanchiangiꞌa ra: 
LUK.20.4	¿Kensen ruaꞌan Juan ixin banchegithe chujni? ¿A Ndo Dio o chujni?
LUK.20.5	Aro kuexiꞌin xa banchiangiꞌi choo xa ko ndachro xa:
LUK.20.5	—¿Keꞌe rundachro ná? Ja̱ rundachro ná ixin Ndo Dio ruaꞌan Juan, jeꞌe rundathjo ná: “¿Unda bithikaonꞌa ra remee?” 
LUK.20.6	Ko ja̱ rundachro ná ixin chujni thi ruaꞌan Juan, kainxin chujni nasuenxon ná na̱ kunixin xro ixin jeꞌe na̱ ndua bithikaon na̱ ixin Juan banichja juajnee Ndo Dio.
LUK.20.7	Ko jeꞌe xa binthendachro xa ixin nueꞌa xa kensen ruaꞌan Juan. 
LUK.20.8	Kuthimejan Jesús ndachro ngain xa:
LUK.20.8	—Kai jaꞌan rundathjoꞌa ra keꞌe juachaxin nthaxin kain jiꞌi.
LUK.20.9	Kuthimejan Jesús kuekiin chujni naa thi kuꞌen ko ndachro:
LUK.20.9	—Naa thi bechunda jié jngi kjuenga ntha uva, kuthimejan xi jngiꞌi bajon xa jngi ngain kanxion thi ncheꞌe xra ko ni ncheꞌe xra rukjengeꞌe na ꞌna xi nthatuchjuiin ko jeꞌe xa sakjui xa kjín tsjé nchaꞌon. 
LUK.20.10	Ko are ukunchiaon nchaꞌon are urukaade na̱ tho uva, thi jngiꞌi ruaꞌan ni ncheꞌe xree ngain ni bithueꞌe ntha uva ixin ruchjee na̱ tho jikininxin rugayee. Aro jeꞌe thi ni kuaa jngi mee kuaxin na̱ nthaa thi ruaꞌan xi najni mee ko bengi na̱ ko xruꞌin chjee na̱. 
LUK.20.11	Kuthimejan xi najni ruaꞌan xa inaa ni ncheꞌe xree xa, aro kai bintja na̱, chrjuinꞌa nichja na̱ ixin jeꞌe xa ko bengi na̱ ko xruꞌin chjee na̱. 
LUK.20.12	Xi najni mee kjan xa ruaꞌan xa inaa thi ncheꞌe xra, aro kai bincheniꞌi na̱ ko bengi na̱ ko xruꞌin chjee na̱.
LUK.20.13	’Kuthimejan xi najni mee ndachro xa: “¿Keꞌe sinthaꞌa? Jaꞌan ruruaꞌan thi xanꞌna, xan anto thjuaa. Ko are jeꞌe na̱ sikon na̱ xanꞌna jiꞌi, jeꞌe na̱ jaan, sithikaon na̱ ngain xan.” 
LUK.20.14	Ko ni bithueꞌe ntha uva are bikon na̱ biji xeꞌen xi najni, jeꞌe na̱ ndache choo na̱: “Jiꞌi thi sithueꞌe nguii nunthe jiꞌi. Nasuenxon na̱ xan ko jaꞌan ná sithuaa ná nguixin jngi.” 
LUK.20.15	Kuthimejan bantsjegaxin na̱ xan ngain jngi mee ko naguenxon na̱ xan.
LUK.20.15	Kuthimejan Jesús banchiangi ko ndachro:
LUK.20.15	—Are tsii thi jngiꞌi, ¿keꞌe sincheꞌe ngain ni bithuꞌe ntha uva? 
LUK.20.16	Jaꞌan ndathjo ra ixin are tsii xa nasuenxon xa chujni mee ko sajon xa jngiꞌi xa ngain ujee chujni.
LUK.20.16	Are binthekiꞌin na̱ jiꞌi, jeꞌe na̱ binthendachro na̱:
LUK.20.16	—¡Ndo Dio tsjengijna ná!
LUK.20.17	Aro Jesús tsjeꞌe ngain na̱ ko ndachro:
LUK.20.17	—Mexinxin, ¿keꞌe ruchro thi jitaxin Xruen Ndo Dio?
LUK.20.17	Thi xro ke banchegundaꞌa xi thethe nchia,
LUK.20.17	xro mee xro icha jian keꞌe nchia.
LUK.20.18	Ko kexeꞌo thi setsinga ngataꞌa xro, ndasaaña xro nthauꞌe. Ko ja̱ chrujan thi setsingataꞌa xro ndaruxanthe chringindeꞌe xro.
LUK.20.19	Kain xi daana baketuꞌan ngain icha xi daana ko xi tjaago ley binao xa rutse xa Jesús ixin kuinxin xa ixin Jesús nichja ixin jeꞌe xa. Aro xraguen xa kain chujni. 
