GEN.1.1	EN el 
PSA.116.7	Vuelve, 
PSA.116.7	Porque Jehová te ha hecho bien.
PSA.116.8	Mis ojos de lágrimas,
PSA.116.9	Andaré delante de Jehová
PSA.116.10	Estando afligido en gran manera.
PSA.116.11	Todo hombre es mentiroso.
PSA.116.12	¿Qué pagaré á Jehová
PSA.116.12	Por todos sus beneficios para conmigo?
PSA.116.13	Tomaré la 
PSA.116.13	E invocaré el nombre de Jehová.
PSA.116.14	Delante de todo su pueblo.
PSA.116.15	La muerte de sus santos.
PSA.116.16	Oh Jehová, que yo soy tu siervo,
PSA.116.16	Yo tu siervo, 
PSA.116.16	Rompiste mis prisiones.
PSA.116.17	Te ofreceré 
PSA.116.17	E invocaré el nombre de Jehová.
PSA.116.18	Delante de todo su pueblo;
PSA.116.19	En los atrios de la casa de Jehová,
PSA.116.19	En medio de ti, oh Jerusalem.
PSA.116.19	Aleluya.
PSA.117.1	Pueblos todos, alabadle.
PSA.117.2	Porque ha engrandecido sobre nosotros su misericordia;
PSA.117.2	Y 
PSA.117.2	Aleluya.
PSA.118.1	ALABAD 
PSA.118.1	Porque para siempre 
PSA.118.2	Que para siempre 
PSA.118.3	Diga ahora la casa de Aarón:
PSA.118.3	Que para siempre 
PSA.118.4	Digan ahora los que temen á Jehová:
PSA.118.4	Que para siempre 
PSA.118.5	Y respondióme JAH, 
PSA.118.6	Lo que me pueda hacer el hombre.
PSA.118.8	Que esperar en hombre.
PSA.118.9	Mejor es esperar en Jehová
PSA.118.9	Que esperar en príncipes.
PSA.118.10	Todas las gentes me cercaron:
PSA.118.10	En nombre de Jehová, que yo los romperé.
PSA.118.11	Cercáronme y asediáronme:
PSA.118.11	En nombre de Jehová, que yo los romperé.
PSA.118.12	Cercáronme como abejas; 
PSA.118.12	En nombre de Jehová, que yo los romperé.
PSA.118.13	Empujásteme con violencia para que cayese:
PSA.118.13	Empero ayudóme Jehová.
PSA.118.14	Y él me ha sido por salud.
PSA.118.15	Voz de júbilo y de salvación hay en las tiendas de los justos:
PSA.118.15	La diestra de Jehová hace proezas.
PSA.118.16	La diestra de Jehová hace valentías.
PSA.118.17	Y 
PSA.118.18	Mas no me entregó á la muerte.
PSA.118.19	Entraré por ellas, alabaré á JAH.
PSA.118.20	Esta puerta de Jehová,
PSA.118.21	Te alabaré porque me has oído,
PSA.118.21	Y me fuiste por salud.
PSA.118.22	Ha venido á ser cabeza del ángulo.
PSA.118.23	De parte de Jehová es esto:
PSA.118.23	Es maravilla en nuestros ojos.
PSA.118.24	Este es el día que hizo Jehová:
PSA.118.24	Nos gozaremos y alegraremos en él.
PSA.118.25	Oh Jehová, salva ahora, te ruego:
PSA.118.25	Oh Jehová, ruégote hagas prosperar ahora.
PSA.118.26	Desde la casa de Jehová os bendecimos.
PSA.118.27	Dios es Jehová que nos 
PSA.118.27	Atad víctimas con cuerdas á los 
PSA.118.28	Mi Dios eres tú, y á ti alabaré:
PSA.118.28	Dios mío, á ti ensalzaré.
PSA.118.29	Porque para siempre 
PSA.119.1	BIENAVENTURADOS los 
PSA.119.1	Los que andan en la ley de Jehová.
PSA.119.2	Bienaventurados los que guardan sus testimonios,
PSA.119.2	Y con todo el corazón le buscan:
PSA.119.3	Los que andan en sus caminos.
PSA.119.4	Tú encargaste
PSA.119.4	Que sean muy guardados tus mandamientos.
PSA.119.5	¡Ojalá fuesen ordenados mis caminos
PSA.119.5	A observar tus estatutos!
PSA.119.6	Cuando atendiese á todos tus mandamientos.
PSA.119.7	Te alabaré con rectitud de corazón,
PSA.119.7	Cuando aprendiere los juicios de tu justicia.
PSA.119.8	Tus estatutos guardaré:
PSA.119.8	No me dejes enteramente.
PSA.119.9	¿Con qué limpiará el joven su camino?
PSA.119.9	Con guardar tu palabra.
PSA.119.10	Con todo mi corazón te he buscado:
PSA.119.10	No me dejes divagar de tus mandamientos.
PSA.119.11	Para no pecar contra ti.
PSA.119.12	Bendito tú, oh Jehová:
PSA.119.13	Con mis labios he contado
PSA.119.13	Todos los juicios de tu boca.
PSA.119.14	Como sobre toda riqueza.
PSA.119.15	En tus mandamientos meditaré,
PSA.119.15	Consideraré tus caminos.
PSA.119.16	No me olvidaré de tus palabras.
PSA.119.17	Y guarde tu palabra.
PSA.119.18	Abre mis ojos, y miraré
PSA.119.18	Las maravillas de tu ley.
PSA.119.19	No encubras de mí tus mandamientos.
PSA.119.20	Tus juicios en todo tiempo.
PSA.119.21	Destruiste á los soberbios malditos,
PSA.119.21	Que se desvían de tus mandamientos.
PSA.119.22	Aparta de mí oprobio y menosprecio;
PSA.119.23	Príncipes también se sentaron y hablaron contra mí:
PSA.119.24	Pues 
PSA.119.26	Mis caminos 
PSA.119.26	Enséñame tus estatutos.
PSA.119.27	Y hablaré de tus maravillas.
PSA.119.28	Deshácese mi alma de ansiedad:
PSA.119.28	Corrobórame según tu palabra.
PSA.119.29	Aparta de mí camino de mentira;
PSA.119.29	Y hazme la gracia de tu ley.
PSA.119.30	Escogí el camino de la verdad;
PSA.119.30	He puesto tus juicios 
PSA.119.31	Allegádome he á tus testimonios;
PSA.119.31	Oh Jehová, no me avergüences.
PSA.119.32	Por el camino de tus mandamientos correré,
PSA.119.32	Cuando 
PSA.119.33	Enséñame, oh Jehová, el camino de tus estatutos,
PSA.119.33	Y guardarélo hasta el fin.
PSA.119.34	Dame entendimiento, y guardaré tu ley;
PSA.119.34	Y la observaré de todo corazón.
PSA.119.35	Guíame por la senda de tus mandamientos;
PSA.119.35	Porque en ella tengo mi 
PSA.119.36	Inclina mi corazón á tus testimonios,
PSA.119.36	Y no á la 
PSA.119.37	Avívame en tu camino.
PSA.119.38	Que te teme.
PSA.119.39	Quita de mí el oprobio que he temido:
PSA.119.39	Porque buenos son tus juicios.
PSA.119.40	He aquí yo he 
PSA.119.40	Vivifícame en tu justicia.
PSA.119.41	Tu salud, conforme á tu dicho.
PSA.119.42	Y daré por respuesta á mi avergonzador,
PSA.119.42	Que en tu palabra he confiado.
PSA.119.43	Y no quites de mi boca en nigún tiempo la palabra de verdad;
PSA.119.43	Porque á tu juicio espero.
PSA.119.44	Y guardaré tu ley siempre,
PSA.119.44	Por siglo de siglo.
PSA.119.45	Y andaré en anchura,
PSA.119.45	Porque busqué tus mandamientos.
PSA.119.46	Y no me avergonzaré.
PSA.119.47	Y deleitaréme en tus mandamientos,
PSA.119.47	Que he amado.
PSA.119.48	Y 
PSA.119.49	Acuérdate de la palabra 
PSA.119.49	En la cual me has hecho esperar.
PSA.119.50	Esta es mi 
PSA.119.50	Porque 
PSA.119.51	Los soberbios se burlaron mucho de mí:
PSA.119.52	Acordéme, oh Jehová, de tus juicios antiguos,
PSA.119.52	Y consoléme.
PSA.119.53	De los impíos que dejan tu ley.
PSA.119.54	Cánticos me fueron tus estatutos
PSA.119.54	En la 
PSA.119.55	Y guardé tu ley.
PSA.119.56	Esto tuve,
PSA.119.56	Porque guardaba tus mandamientos.
PSA.119.57	Dije, será guardar tus palabras.
PSA.119.58	Tu presencia supliqué de todo corazón:
PSA.119.58	Ten misericordia de mí 
PSA.119.59	Y torné mis pies á tus testimonios.
PSA.119.60	Apresuréme, y no me retardé
PSA.119.60	En guardar tus mandamientos.
PSA.119.61	Compañía de impíos me han robado:
PSA.119.62	Sobre los juicios de tu justicia.
PSA.119.63	Compañero soy yo de todos los que te temieren
PSA.119.63	Y guardaren tus mandamientos.
PSA.119.64	Enséñame tus estatutos.
PSA.119.65	Bien has hecho con tu siervo,
PSA.119.65	Oh Jehová, 
PSA.119.66	Enséñame bondad de sentido y sabiduría;
PSA.119.66	Porque tus mandamientos he creído.
PSA.119.67	Mas ahora guardo tu palabra.
PSA.119.68	Enséñame tus estatutos.
PSA.119.69	Contra mí 
PSA.119.70	Mas yo en tu ley me he deleitado.
PSA.119.71	Para que aprenda tus estatutos.
PSA.119.72	Que millares de oro y plata.
PSA.119.74	Porque en tu palabra he esperado.
PSA.119.75	Conozco, oh Jehová, que tus juicios son justicia,
PSA.119.75	Y que 
PSA.119.76	Sea ahora tu misericordia para consolarme,
PSA.119.76	Conforme á lo que has dicho á tu siervo.
PSA.119.77	Vengan á mí tus misericordias, y viva;
PSA.119.77	Porque 
PSA.119.78	Yo empero, 
PSA.119.79	Tórnense á mí los que te temen
PSA.119.79	Y conocen tus testimonios.
PSA.119.80	Sea mi corazón íntegro en tus estatutos;
PSA.119.80	Porque no sea yo avergonzado.
PSA.119.81	Desfallece 
PSA.119.81	Esperando en tu palabra.
PSA.119.82	Diciendo: ¿Cuándo me consolarás?
PSA.119.83	Porque 
PSA.119.83	Mas 
PSA.119.85	Mas no 
PSA.119.86	Todos tus mandamientos son verdad:
PSA.119.87	Casi me han echado por tierra:
PSA.119.87	Mas yo no he dejado tus mandamientos.
PSA.119.88	Vivifícame conforme á tu misericordia;
PSA.119.88	Y guardaré los testimonios de tu boca.
PSA.119.89	Permenece tu palabra en los cielos.
PSA.119.90	Por generación y generación es tu 
PSA.119.90	Tú afirmaste la tierra, 
PSA.119.91	Por tu ordenación perseveran hasta hoy 
PSA.119.91	Porque todas ellas te sirven.
PSA.119.92	Si tu ley no hubiese sido mis delicias,
PSA.119.92	Ya en mi aflicción hubiera perecido.
PSA.119.93	Nunca jamás me olvidaré de tus mandamientos;
PSA.119.93	Porque con ellos me has vivificado.
PSA.119.94	Tuyo soy yo, guárdame;
PSA.119.94	Porque he buscado tus mandamientos.
PSA.119.95	Los impíos me han aguardado para destruirme:
PSA.119.96	Ancho sobremanera es tu mandamiento.
PSA.119.97	Todo el día es ella mi meditación.
PSA.119.98	Me has hecho más sabio que mis enemigos 
PSA.119.98	Porque me son eternos.
PSA.119.99	Más que todos mis enseñadores he entendido:
PSA.119.100	Porque he guardado tus mandamientos.
PSA.119.101	De todo mal camino contuve mis pies,
PSA.119.101	Para guardar tu palabra.
PSA.119.102	No me aparté de tus juicios;
PSA.119.102	Porque tú me enseñaste.
PSA.119.103	Más que la miel á mi boca.
PSA.119.104	De tus mandamientos he adquirido inteligencia:
PSA.119.104	Por tanto 
PSA.119.105	Y lumbrera á mi camino.
PSA.119.106	El guardar los juicios de tu justicia.
PSA.119.107	Afligido estoy en gran manera: oh Jehová,
PSA.119.108	Ruégote, oh Jehová, te sean agradables 
PSA.119.108	Y enséñame tus juicios.
PSA.119.109	Mas no me he olvidado de tu ley.
PSA.119.110	Pusiéronme lazo los impíos:
PSA.119.110	Empero yo no me desvié de tus mandamientos.
PSA.119.111	Porque 
PSA.119.112	Mi corazón incliné á poner por obra tus estatutos
PSA.119.112	De continuo, 
PSA.119.113	Los pensamientos vanos aborrezco;
PSA.119.113	Mas amo tu ley.
PSA.119.115	Pues yo guardaré los mandamientos de mi Dios.
PSA.119.116	Susténtame conforme á tu palabra, y viviré:
PSA.119.117	Sosténme, y seré salvo;
PSA.119.117	Y deleitaréme siempre en tus estatutos.
PSA.119.118	Porque mentira es su engaño.
PSA.119.119	Como escorias hiciste consumir á todos los impíos de la tierra:
PSA.119.120	Y de tus juicios tengo miedo.
PSA.119.121	Juicio y justicia he hecho;
PSA.119.121	No me dejes á mis opresores.
PSA.119.122	No me hagan violencia los soberbios.
PSA.119.123	Y por el dicho de tu justicia.
PSA.119.124	Haz con tu siervo según tu misericordia,
PSA.119.124	Y enséñame tus estatutos.
PSA.119.125	Para que sepa tus testimonios.
PSA.119.126	Tiempo es de hacer, oh Jehová;
PSA.119.126	Disipado han tu ley.
PSA.119.127	Más que el oro, y más que oro muy puro.
PSA.119.128	Por eso todos los mandamientos de todas las cosas estimé rectos:
PSA.119.128	Aborrecí todo camino de mentira.
PSA.119.129	Maravillosos son tus testimonios:
PSA.119.129	Por tanto los ha guardado mi alma.
PSA.119.131	Mi boca abrí y suspiré;
PSA.119.131	Porque deseaba tus mandamientos.
PSA.119.132	Mírame, y ten misericordia de mí,
PSA.119.132	Como acostumbras con los que aman tu nombre.
PSA.119.133	Y 
PSA.119.134	Redímeme de la violencia de los hombres;
PSA.119.134	Y guardaré tus mandamientos.
PSA.119.135	Y enséñame tus estatutos.
PSA.119.136	Porque no guardaban tu ley.
PSA.119.137	Y rectos tus juicios.
PSA.119.139	Porque mis enemigos se olvidaron de tus palabras.
PSA.119.140	Y la ama tu siervo.
PSA.119.141	Pequeño soy yo y desechado;
PSA.119.142	Tu justicia es justicia eterna,
PSA.119.142	Y tu ley 
PSA.119.143	Aflicción y angustia me hallaron:
PSA.119.144	Justicia eterna son tus testimonios;
PSA.119.145	Clamé con todo mi corazón; respóndeme, Jehová,
PSA.119.145	Y guardaré tus estatutos.
PSA.119.146	A ti clamé; sálvame,
PSA.119.146	Y guardaré tus testimonios.
PSA.119.147	Esperé en tu palabra.
PSA.119.148	Para meditar en tus dichos.
PSA.119.149	Oye mi voz conforme á tu misericordia;
PSA.119.149	Oh Jehová, 
PSA.119.150	Acercáronse á la maldad los que 
PSA.119.150	Alejáronse de tu ley.
PSA.119.151	Y 
PSA.119.152	Ya ha mucho que he entendido de tus mandamientos,
PSA.119.152	Que para siempre 
PSA.119.153	Porque 
PSA.119.154	Vivifícame con tu dicho.
PSA.119.155	Porque no buscan tus estatutos.
PSA.119.156	Muchas son tus misericordias, oh Jehová:
PSA.119.157	Muchos son mis perseguidores y mis enemigos;
PSA.119.158	Veía á los prevaricadores, y 
PSA.119.158	Porque no guardaban tus palabras.
PSA.119.159	Mira, oh Jehová, que amo tus mandamientos:
PSA.119.159	Vivifícame conforme á tu misericordia.
PSA.119.160	El principio de tu palabra es verdad;
PSA.119.160	Y eterno 
PSA.119.161	Mas mi corazón tuvo temor de tus palabras.
PSA.119.162	Gózome yo en tu palabra,
PSA.119.163	La mentira aborrezco y abomino:
PSA.119.163	Tu ley amo.
PSA.119.164	Siete veces al día te alabo
PSA.119.164	Sobre los juicios de tu justicia.
PSA.119.165	Y no hay para ellos tropiezo.
PSA.119.166	Y tus mandamientos he puesto por obra.
PSA.119.167	Mi alma ha guardado tus testimonios,
PSA.119.167	Y helos amado en gran manera.
PSA.119.168	Guardado he tus mandamientos y tus testimonios;
PSA.119.169	Acérquese mi clamor delante de ti, oh Jehová:
PSA.119.169	Dame entendimiento conforme á tu palabra.
PSA.119.170	Venga mi oración delante de ti:
PSA.119.170	Líbrame conforme á tu dicho.
PSA.119.171	Cuando me enseñares tus estatutos.
PSA.119.172	Hablará mi lengua tus dichos;
PSA.119.172	Porque todos tus mandamientos son justicia.
PSA.119.173	Sea tu mano en mi socorro;
PSA.119.173	Porque 
PSA.119.174	Deseado he tu salud, oh Jehová;
PSA.119.174	Y 
PSA.119.175	Viva mi alma y alábete;
PSA.119.175	Y tus juicios me ayuden.
PSA.119.176	Porque no me he olvidado de tus mandamientos.
PSA.120.1	A JEHOVÁ 
PSA.120.1	Y él me respondió.
PSA.120.2	Libra mi alma, oh Jehová, de labio mentiroso,
PSA.120.2	De la lengua fraudulenta.
PSA.120.3	¿Qué te dará, ó qué te aprovechará,
PSA.120.3	Oh lengua engañosa?
PSA.120.4	Agudas saetas de valiente,
PSA.120.4	Con brasas de enebro.
PSA.120.5	¡Ay de mí, que peregrino en 
PSA.120.6	Mucho se detiene mi alma
PSA.120.6	Con los que aborrecen la paz.
PSA.120.7	Yo soy pacífico:
PSA.120.7	Mas ellos, así que hablo, 
PSA.121.1	ALZARÉ mis ojos á 
PSA.121.1	De donde vendrá mi socorro.
PSA.121.2	Que hizo los cielos y la tierra.
PSA.121.4	He aquí, no se adormecerá ni dormirá
PSA.121.4	El que guarda á Israel.
PSA.121.5	Jehová es tu guardador:
PSA.121.5	Jehová es 
PSA.121.6	Ni la luna de noche.
PSA.121.7	Jehová te guardará de todo mal:
PSA.121.7	El 
PSA.121.8	Jehová 
PSA.121.8	Desde ahora y para siempre.
PSA.122.1	YO me alegré con los que me decían:
PSA.122.2	Nuestros pies estuvieron
PSA.122.2	En tus puertas, oh Jerusalem;
PSA.122.3	Jerusalem, que se ha edificado
PSA.122.3	Como una ciudad que 
PSA.122.4	Para alabar el nombre de Jehová.
PSA.122.5	Las sillas de la casa de David.
PSA.122.6	Sean prosperados los que te aman.
PSA.122.7	Haya paz en tu antemuro,
PSA.122.8	Por amor de mis hermanos y mis compañeros
PSA.122.8	Hablaré ahora 
PSA.122.9	A causa de la casa de Jehová nuestro Dios,
PSA.123.1	A TI 
PSA.123.2	He aquí como los ojos de los siervos 
PSA.123.2	Así nuestros ojos 
PSA.123.2	Hasta que haya misericordia de nosotros.
PSA.123.3	Ten misericordia de nosotros, oh Jehová, ten misericordia de nosotros;
PSA.123.3	Porque estamos muy hartos de 
PSA.123.4	Muy harta está nuestra alma
PSA.123.4	Del 
PSA.123.4	Y del menosprecio de los soberbios.
PSA.124.2	A no haber estado Jehová por nosotros,
PSA.124.2	Cuando se levantaron contra nosotros los hombres,
PSA.124.3	Vivos 
PSA.124.3	Cuando se encendió su furor en nosotros.
PSA.124.4	Entonces nos habrían inundado 
PSA.124.4	Sobre nuestra alma hubiera pasado el torrente:
PSA.124.5	Hubieran entonces pasado sobre nuestra alma las aguas soberbias.
PSA.124.6	Bendito Jehová,
PSA.124.6	Que no nos dió por presa á sus dientes.
PSA.124.7	Quebróse el lazo, y escapamos nosotros.
PSA.124.8	Que hizo el cielo y la tierra.
PSA.125.1	LOS que confían en Jehová
PSA.125.1	Son como el monte de Sión que no deslizará: estará para siempre.
PSA.125.2	Como Jerusalem tiene montes alrededor de ella,
PSA.125.2	Así Jehová alrededor de su pueblo
PSA.125.2	Desde ahora y para siempre.
PSA.125.3	Porque 
PSA.125.3	Porque no extiendan los justos sus manos á la iniquidad.
PSA.125.4	Haz bien, oh Jehová, á los buenos,
PSA.125.4	Y á los que son rectos en sus corazones.
PSA.125.5	Mas á los que 
PSA.125.5	Jehová los llevará con los que obran iniquidad:
PSA.126.1	CUANDO Jehová hiciere tornar la cautividad de Sión,
PSA.126.2	Y nuestra lengua de alabanza;
PSA.126.2	Entonces dirán entre las gentes:
PSA.126.3	Grandes cosas ha hecho Jehová con nosotros;
PSA.126.3	Estaremos alegres.
PSA.126.4	Haz volver nuestra cautividad oh Jehová,
PSA.126.4	Como los arroyos en el austro.
PSA.126.6	Irá andando y llorando el que lleva la preciosa simiente;
PSA.127.1	SI Jehová no edificare la casa,
PSA.127.1	En vano trabajan los que la edifican:
PSA.127.1	En vano vela la guarda.
PSA.127.2	Por demás os es el madrugar á levantaros, el veniros tarde á reposar,
PSA.127.2	Pues que á su amado dará 
PSA.127.3	Cosa de estima el fruto del vientre.
PSA.127.4	Como saetas en mano del valiente,
PSA.127.4	Así son los hijos 
PSA.127.5	Bienaventurado el hombre que hinchió su aljaba de ellos:
PSA.127.5	No será avergonzado
PSA.127.5	Cuando 
PSA.128.1	BIENAVENTURADO 
PSA.128.1	Que anda en sus caminos.
PSA.128.2	Bienaventurado tú, y tendrás bien.
PSA.128.3	Tu mujer será 
PSA.128.3	Tus hijos 
PSA.128.4	He aquí que así será bendito el hombre
PSA.128.4	Que teme á Jehová.
PSA.128.5	Y veas el bien de Jerusalem todos los días de tu vida.
PSA.128.6	Y 
PSA.129.1	MUCHO me han angustiado desde 
PSA.129.2	Mucho me han angustiado desde mi juventud;
PSA.129.3	Hicieron largos surcos.
PSA.129.4	Jehová es justo;
PSA.129.4	Cortó las 
PSA.129.5	Serán avergonzados y vueltos atrás
PSA.129.5	Todos los que aborrecen á Sión.
PSA.129.6	Serán 
PSA.129.6	Que se seca antes que crezca:
PSA.129.7	De la cual no hinchió segador su mano,
PSA.129.7	Ni sus brazos el que hace gavillas.
PSA.129.8	Ni dijeron los que pasaban:
PSA.129.8	Os bendecimos en el nombre de Jehová.
PSA.130.1	DE 
PSA.130.2	Señor, oye mi voz;
PSA.130.2	Estén atentos tus oídos
PSA.130.2	A la voz de mi súplica.
PSA.130.3	JAH, si 
PSA.130.3	¿Quién, oh Señor, 
PSA.130.4	Empero hay 
PSA.130.7	Porque en Jehová hay misericordia.
PSA.130.7	Y abundante redención con él.
PSA.130.8	De todos sus pecados.
PSA.131.1	JEHOVÁ, no se ha envanecido 
PSA.131.1	Ni en cosas para mí demasiado sublimes.
PSA.131.2	En verdad que me he comportado y he acallado mi alma,
PSA.131.2	Como un niño destetado está mi alma.
PSA.131.3	Desde ahora y para siempre.
PSA.132.1	ACUÉRDATE, oh Jehová, de David,
PSA.132.2	Que 
PSA.132.2	Prometió al 
PSA.132.3	No entraré en la morada de mi casa,
PSA.132.3	Ni subiré sobre el lecho de mi estrado;
PSA.132.4	Ni á mis párpados adormecimiento.
PSA.132.5	Moradas para el Fuerte de Jacob.
PSA.132.6	He aquí, 
PSA.132.6	Hallamósla en los campos del bosque.
PSA.132.7	Entraremos en sus tiendas;
PSA.132.7	Encorvarnos hemos al estrado de sus pies.
PSA.132.8	Tú y el arca de tu fortaleza.
PSA.132.9	Tus sacerdotes 
PSA.132.9	Y regocíjense tus santos.
PSA.132.10	Por amor de David tu siervo
PSA.132.10	No vuelvas de 
PSA.132.11	En verdad juró Jehová á David,
PSA.132.11	No se apartará de ello:
PSA.132.12	Si tus hijos guardaren mi alianza,
PSA.132.12	Y mi testimonio que yo les enseñaré,
PSA.132.12	Sus hijos también se sentarán sobre tu trono para siempre.
PSA.132.13	Porque Jehová ha elegido á Sión;
PSA.132.13	Deseóla por habitación para sí.
PSA.132.14	Este es mi reposo para siempre:
PSA.132.14	Aquí 
PSA.132.15	A su mantenimiento daré bendición:
PSA.132.15	Sus pobres saciaré de pan.
PSA.132.16	Y sus santos darán voces de júbilo.
PSA.132.17	He prevenido lámpara á mi 
PSA.132.18	A sus enemigos vestiré de confusión:
PSA.132.18	Mas sobre él florecerá su corona.
PSA.133.1	¡MIRAD cuán bueno y cuán delicioso es
PSA.133.2	Es como 
PSA.133.2	El cual desciende sobre la barba,
PSA.133.2	La barba de Aarón,
PSA.133.3	Como el rocío de 
PSA.133.3	Que desciende sobre los 
PSA.133.3	Porque 
PSA.133.3	Y vida eterna.
PSA.134.1	MIRAD, bendecid á Jehová,
PSA.134.1	Vosotros todos los siervos de Jehová,
PSA.134.2	Y bendecid á Jehová.
PSA.134.3	El cual ha hecho los cielos y la tierra.
PSA.135.1	ALABAD el nombre de Jehová;
PSA.135.2	Los que estáis en la casa de Jehová,
PSA.135.2	En 
PSA.135.3	Alabad á JAH, porque es bueno Jehová:
PSA.135.3	Cantad salmos á su nombre, 
PSA.135.4	Porque 
PSA.135.4	A Israel por 
PSA.135.5	Porque yo se 
PSA.135.5	Y el Señor nuestro, mayor que todos los dioses.
PSA.135.6	Todo lo que quiso Jehová, ha hecho
PSA.135.6	En los cielos y en la tierra, en las mares y en todos los abismos.
PSA.135.7	El hace subir las nubes del cabo de la tierra;
PSA.135.7	El hizo los relámpagos para la lluvia;
PSA.135.7	El saca los vientos 
PSA.135.8	El 
PSA.135.8	Desde el hombre hasta la bestia.
PSA.135.9	Sobre Faraón, y sobre todos sus siervos.
PSA.135.10	Y mató reyes poderosos:
PSA.135.11	A 
PSA.135.11	Y á Og rey de Basán,
PSA.135.11	Y 
PSA.135.12	Y dió la tierra de ellos en heredad,
PSA.135.12	En heredad á Israel su pueblo.
PSA.135.13	Tu memoria, oh Jehová para generación y generación.
PSA.135.14	Porque juzgará Jehová su pueblo,
PSA.135.14	Y 
PSA.135.15	Obra de manos de hombres.
PSA.135.16	Tienen boca, y no hablan;
PSA.135.16	Tienen ojos, y no ven;
PSA.135.17	Tienen orejas, y no oyen;
PSA.135.17	Tampoco hay espíritu en sus bocas.
PSA.135.18	Como ellos son los que los hacen;
PSA.135.18	Todos los que en ellos confían.
PSA.135.19	Casa de Aarón, bendecid á Jehová:
PSA.135.20	Casa de Leví, bendecid á Jehová:
PSA.135.20	Los que teméis á Jehová, bendecid á Jehová:
PSA.135.21	Bendito de Sión Jehová,
PSA.135.21	Aleluya.
PSA.136.1	ALABAD á Jehová, 
PSA.136.1	Porque para siempre 
PSA.136.2	Porque para siempre 
PSA.136.3	Alabad al Señor de los señores,
PSA.136.3	Porque para siempre 
PSA.136.4	Al solo que 
PSA.136.4	Porque para siempre 
PSA.136.5	Porque para siempre 
PSA.136.6	Porque para siempre 
PSA.136.7	Porque para siempre 
PSA.136.8	El sol para que dominase en el día,
PSA.136.8	Porque para siempre 
PSA.136.9	La luna y las estrellas para que dominasen en la noche,
PSA.136.9	Porque para siempre 
PSA.136.10	Porque para siempre 
PSA.136.11	Porque para siempre 
PSA.136.12	Porque para siempre 
PSA.136.13	Porque para siempre 
PSA.136.14	E hizo pasar á Israel por medio de él,
PSA.136.14	Porque para siempre 
PSA.136.15	Porque para siempre 
PSA.136.16	Porque para siempre 
PSA.136.17	Porque para siempre 
PSA.136.18	Porque para siempre 
PSA.136.19	Porque para siempre 
PSA.136.20	Porque para siempre 
PSA.136.21	Porque para siempre 
PSA.136.22	En heredad á Israel 
PSA.136.22	Porque para siempre 
PSA.136.23	Porque para siempre 
PSA.136.24	Y nos rescató de nuestros enemigos,
PSA.136.24	Porque para siempre 
PSA.136.25	Porque para siempre 
PSA.136.26	Alabad al Dios de los cielos:
PSA.136.26	Porque para siempre 
PSA.137.1	JUNTO á los ríos de Babilonia,
PSA.137.1	Allí nos sentábamos, y aun llorábamos,
PSA.137.1	Acordándonos de Sión.
PSA.137.2	Sobre los sauces en medio de ella
PSA.137.2	Colgamos nuestras arpas.
PSA.137.3	Y los que allí nos habían llevado cautivos nos pedían que cantásemos,
PSA.137.3	Y los que nos habían desolado 
PSA.137.4	Cantadnos algunos de los himnos de Sión.
PSA.137.4	En tierra de extraños?
PSA.137.5	Si me olvidare de ti, oh Jerusalem,
PSA.137.5	Mi diestra sea olvidada.
PSA.137.6	Si de ti no me acordare;
PSA.137.6	Si no ensalzare á Jerusalem
PSA.137.6	Como preferente asunto de mi alegría.
PSA.137.7	Acuérdate, oh Jehová, 
PSA.137.7	En el día de Jerusalem;
PSA.137.7	Quienes decían: Arrasadla, arrasadla
PSA.137.7	Hasta los cimientos.
PSA.137.8	Hija de Babilonia 
PSA.137.8	Bienaventurado el 
PSA.137.8	De lo que tú nos hiciste.
PSA.137.9	Bienaventurado el que tomará y estrellará tus niños
PSA.137.9	Contra las piedras.
PSA.138.1	ALABARTE he con todo mi corazón:
PSA.138.2	Encorvaréme al templo de tu santuario,
PSA.138.2	Y 
PSA.138.2	Porque has hecho magnífico tu nombre, y tu dicho sobre todas las cosas.
PSA.138.3	En el día que clamé, me respondiste;
PSA.138.3	Esforzásteme con fortaleza en mi alma.
PSA.138.4	Cuando habrán oído los dichos de tu boca.
PSA.138.5	Y cantarán de los caminos de Jehová:
PSA.138.5	Que la gloria de Jehová es grande.
PSA.138.6	Mas al altivo mira de lejos.
PSA.138.7	Contra la ira de mis enemigos extenderás tu mano,
PSA.138.7	Y salvaráme tu diestra.
PSA.138.8	Tu misericordia, oh Jehová, 
PSA.139.1	OH Jehová, 
PSA.139.3	Mi senda y mi acostarme has rodeado,
PSA.139.3	Y estás impuesto en todos mis caminos.
PSA.139.4	Pues aun no está la palabra en mi lengua,
PSA.139.4	Y he aquí, oh Jehová, 
PSA.139.5	Y sobre mí pusiste tu mano.
PSA.139.6	Alta es, no puedo comprenderla.
PSA.139.7	¿Y adónde huiré de tu presencia?
PSA.139.9	Si tomare las 
PSA.139.9	Y habitare en el extremo de la mar,
PSA.139.10	Aun allí me guiará tu mano,
PSA.139.10	Y me asirá tu diestra.
PSA.139.11	Si dijere: 
PSA.139.11	Aun la noche resplandecerá tocante á mí.
PSA.139.12	Y la noche resplandece como el día:
PSA.139.12	Lo mismo 
PSA.139.14	Te alabaré; porque formidables, maravillosas son tus obras:
PSA.139.14	Estoy maravillado,
PSA.139.14	Y mi alma lo conoce mucho.
PSA.139.15	Bien que en oculto fuí formado,
