GEN.1.1	En el principio, Dios creó los cielos y la tierra.
JER.18.17	Cuando tengan dificultades, les daré la espalda
JER.18.17	y no prestaré atención a su aflicción».
JER.18.18	Entonces el pueblo dijo: «Vengan, busquemos la manera de detener a Jeremías. Ya tenemos suficientes sacerdotes, sabios y profetas. No necesitamos que él enseñe la palabra ni que nos dé consejos ni profecías. Hagamos correr rumores acerca de él y no hagamos caso a lo que dice».
JER.18.19	, ¡óyeme y ayúdame!
JER.18.19	Escucha lo que dicen mis enemigos.
JER.18.20	¿Deben pagar mal por bien?
JER.18.20	Han cavado una fosa para matarme,
JER.18.20	aunque intercedí por ellos
JER.18.20	y traté de protegerlos de tu enojo.
JER.18.21	¡Así que deja que sus hijos se mueran de hambre!
JER.18.21	¡Deja que mueran a espada!
JER.18.21	Que sus esposas se conviertan en viudas, sin hijos.
JER.18.21	¡Que sus ancianos se mueran por una plaga
JER.18.21	y que sus jóvenes sean muertos en batalla!
JER.18.22	Que se escuchen gritos de dolor desde sus casas
JER.18.22	cuando los guerreros caigan súbitamente sobre ellos.
JER.18.22	Pues han cavado una fosa para mí
JER.18.22	y han escondido trampas a lo largo de mi camino.
JER.18.23	, tú conoces todos sus planes para matarme.
JER.18.23	No perdones sus crímenes ni borres sus pecados;
JER.18.23	que caigan muertos ante ti.
JER.18.23	En tu enojo encárgate de ellos.
JER.19.1	Esto me dijo el 
JER.19.2	Vete por la puerta de las Ollas Rotas al basurero en el valle de Ben-hinom, y dales este mensaje. 
JER.19.3	Diles: “¡Reyes de Judá y ciudadanos de Jerusalén, escuchen este mensaje del 
JER.19.4	»’Pues Israel me ha abandonado y convirtió este valle en un lugar de maldad. La gente quema incienso a dioses ajenos, ídolos nunca antes conocidos por esta generación ni por sus antepasados ni por los reyes de Judá. Y han llenado este lugar de sangre de niños inocentes. 
JER.19.5	Han construido altares paganos a Baal y allí queman a sus hijos en sacrificio a Baal. Jamás ordené un acto tan horrendo; ¡ni siquiera me pasó por la mente ordenar semejante cosa! 
JER.19.6	Así que, ¡atención! Se acerca la hora, dice el 
JER.19.7	»’Trastornaré los planes cuidadosos de Judá y Jerusalén. Dejaré que los ejércitos invasores masacren a la gente y dejaré los cadáveres como comida para los buitres y los animales salvajes. 
JER.19.8	Reduciré a ruinas a Jerusalén, y así la haré un monumento a su necedad. Todos los que pasen por allí quedarán horrorizados y darán un grito ahogado a causa de la destrucción que verán. 
JER.19.9	Me ocuparé de que sus enemigos sitien la ciudad hasta que no haya más comida. Entonces los que queden atrapados adentro se comerán a sus hijos, a sus hijas y a sus amigos. Caerán en una profunda desesperación’”.
JER.19.10	»Jeremías, rompe en pedazos a la vista de estos hombres la vasija que trajiste. 
JER.19.11	Luego diles: “Esto dice el 
JER.19.12	Esto le haré a este lugar y a su gente, dice el 
JER.19.13	Efectivamente, todas las casas de Jerusalén —incluso el palacio de los reyes de Judá— quedarán como Tofet, es decir, todas las casas donde quemaron incienso en las azoteas en honor a los astros como si fueran dioses o donde derramaron ofrendas líquidas a sus ídolos’”».
JER.19.14	Después de transmitir el mensaje, Jeremías regresó de Tofet, el basurero, y se detuvo frente al templo del 
JER.19.15	«Esto dice el 
JER.20.1	Ahora bien, Pasur, hijo de Imer, el sacerdote encargado del templo del 
JER.20.2	Así que arrestó al profeta Jeremías, ordenó que lo azotaran y que lo pusieran en el cepo junto a la puerta de Benjamín, en el templo del 
JER.20.3	Al día siguiente, cuando al fin Pasur lo puso en libertad, Jeremías dijo: «Pasur, el 
JER.20.4	Pues esto dice el 
JER.20.5	y dejaré que tus enemigos saqueen a Jerusalén. Todos los tesoros famosos de la ciudad —las joyas preciosas, el oro y la plata de tus reyes— serán llevados a Babilonia. 
JER.20.6	En cuanto a ti, Pasur, tú y todos los de tu casa irán cautivos a Babilonia. Allí morirán y serán enterrados, tú y todos tus amigos, a quienes profetizaste que todo iría bien”».
JER.20.7	Oh 
JER.20.7	y yo me dejé engañar.
JER.20.7	Eres más fuerte que yo,
JER.20.7	y me dominaste.
JER.20.7	Ahora soy objeto de burla todos los días;
JER.20.7	todos se ríen de mí.
JER.20.8	Cuando hablo, me brotan las palabras.
JER.20.8	Grito: «¡Violencia y destrucción!».
JER.20.8	Así que estos mensajes del 
JER.20.8	me han convertido en objeto de burla.
JER.20.9	Sin embargo, si digo que nunca mencionaré al 
JER.20.9	o que nunca más hablaré en su nombre,
JER.20.9	su palabra arde en mi corazón como fuego.
JER.20.9	¡Es como fuego en mis huesos!
JER.20.9	¡Estoy agotado tratando de contenerla!
JER.20.9	¡No puedo hacerlo!
JER.20.10	He oído los muchos rumores acerca de mí.
JER.20.10	Me llaman: «El hombre que vive aterrorizado».
JER.20.10	Me amenazan diciendo: «Si dices algo te denunciaremos».
JER.20.10	Aun mis viejos amigos me vigilan,
JER.20.10	esperando que cometa algún error fatal.
JER.20.10	«Caerá en su propia trampa —dicen—,
JER.20.10	entonces nos vengaremos de él».
JER.20.11	No obstante, el 
JER.20.11	ante él mis perseguidores caerán.
JER.20.11	No pueden derrotarme.
JER.20.11	Fracasarán y serán totalmente humillados;
JER.20.11	nunca se olvidará su deshonra.
JER.20.12	Oh 
JER.20.12	tú pruebas a los justos
JER.20.12	y examinas los secretos y los pensamientos más profundos.
JER.20.12	Permíteme ver tu venganza contra ellos,
JER.20.12	porque a ti he encomendado mi causa.
JER.20.13	¡Canten al 
JER.20.13	¡Alaben al 
JER.20.13	Pues al pobre y al necesitado
JER.20.13	los ha rescatado de sus opresores.
JER.20.14	¡Sin embargo, maldigo el día en que nací!
JER.20.14	Que nadie celebre el día de mi nacimiento.
JER.20.15	Maldigo al mensajero que le dijo a mi padre:
JER.20.15	«¡Buenas noticias! ¡Es un varón!».
JER.20.16	Que lo destruyan como a las ciudades de la antigüedad
JER.20.16	que el 
JER.20.16	Asústenlo todo el día con gritos de batalla,
JER.20.17	porque no me mató al nacer.
JER.20.17	¡Oh, si tan solo hubiera muerto en el vientre de mi madre,
JER.20.17	si su cuerpo hubiera sido mi tumba!
JER.20.18	¿Por qué habré nacido?
JER.20.18	Mi vida entera se ha llenado
JER.20.18	de dificultades, de dolor y de vergüenza.
JER.21.1	El 
JER.21.2	—Por favor, habla al 
JER.21.3	Jeremías respondió:
JER.21.3	—Regresen al rey Sedequías y díganle: 
JER.21.4	“Esto dice el 
JER.21.5	Yo mismo pelearé contra ti con mano fuerte y brazo poderoso porque estoy muy enojado. ¡Me has puesto furioso! 
JER.21.6	Enviaré una plaga terrible sobre esta ciudad y morirán tanto la gente como los animales. 
JER.21.7	Después de todo eso, dice el 
JER.21.8	«Dile a todo el pueblo: “Esto dice el 
JER.21.9	Todo el que permanezca en Jerusalén morirá por guerra, enfermedad o hambre, pero aquellos que salgan y se entreguen a los babilonios vivirán. ¡Su recompensa será la vida! 
JER.21.10	Pues he decidido traer desastre y no bien a esta ciudad, dice el 
JER.21.11	»Dile a la familia real de Judá: “¡Escuchen el mensaje del 
JER.21.12	Esto dice el 
JER.21.12	»”¡Hagan justicia cada mañana al pueblo que ustedes juzgan!
JER.21.12	Ayuden a los que han sufrido robos,
JER.21.12	rescátenlos de sus opresores.
JER.21.12	De lo contrario, mi enojo arderá como fuego insaciable
JER.21.12	debido a todos sus pecados.
JER.21.13	Yo pelearé personalmente contra el pueblo en Jerusalén,
JER.21.13	esa poderosa fortaleza,
JER.21.13	contra el pueblo que se jacta: ‘Nadie puede tocarnos aquí;
JER.21.13	nadie puede entrar aquí’.
JER.21.14	Y yo mismo los castigaré por ser tan pecadores,
JER.21.14	dice el 
JER.21.14	Prenderé fuego a sus bosques
JER.21.14	y ese fuego incendiará todo a su alrededor”».
JER.22.1	Esto me dijo el 
JER.22.2	“Rey de Judá, tú que te sientas en el trono de David, escucha el mensaje del 
JER.22.3	Esto dice el 
JER.22.4	Si me obedecen, siempre habrá un descendiente de David sentado en el trono aquí en Jerusalén. El rey entrará por las puertas del palacio en carros y a caballo, con su corte de ayudantes y súbditos. 
JER.22.5	Sin embargo, si rehúsan prestar atención a esta advertencia, les juro por mi propio nombre, dice el 
JER.22.6	Ahora bien, esto dice el 
JER.22.6	«Te amo tanto como a la fructífera Galaad
JER.22.6	y como a los verdes bosques del Líbano.
JER.22.6	Pero te convertiré en un desierto
JER.22.6	y nadie vivirá dentro de tus muros.
JER.22.7	Citaré a obreros de demolición,
JER.22.7	los cuales sacarán sus herramientas para desmantelarte.
JER.22.7	Arrancarán todas tus selectas vigas de cedro
JER.22.7	y las echarán al fuego.
JER.22.8	»Gente de muchas naciones pasará por las ruinas de la ciudad y se dirán el uno al otro: “¿Por qué habrá destruido el 
JER.22.9	Y la contestación será: “Porque violaron su pacto con el 
JER.22.10	No lloren por el rey muerto ni lamenten su pérdida.
JER.22.10	¡En cambio, lloren por el rey cautivo que se llevan al exilio
JER.22.10	porque nunca más volverá para ver su tierra natal!
JER.22.11	Pues esto dice el 
JER.22.12	Morirá en una tierra lejana y nunca más verá su propio país».
JER.22.13	Y el 
JER.22.13	que edifica su palacio con trabajo forzado!
JER.22.13	Construye las paredes a base de injusticia,
JER.22.13	porque obliga a sus vecinos a trabajar,
JER.22.13	y no les paga por su trabajo.
JER.22.14	Dice: “Construiré un palacio magnífico
JER.22.14	con habitaciones enormes y muchas ventanas.
JER.22.14	Lo revestiré con cedro fragante
JER.22.14	y lo pintaré de un rojo agradable”.
JER.22.15	¡Pero un hermoso palacio de cedro no hace a un gran rey!
JER.22.15	Josías, tu padre, también tenía mucha comida y bebida;
JER.22.15	pero él era justo y recto en todo lo que hacía.
JER.22.15	Por esa razón Dios lo bendijo.
JER.22.16	Hizo justicia al pobre y al necesitado y los ayudó,
JER.22.16	y le fue bien en todo.
JER.22.16	¿No es eso lo que significa conocerme?
JER.22.16	—dice el 
JER.22.17	¡Pero tú, solo tienes ojos para la avaricia y la deshonestidad!
JER.22.17	Asesinas al inocente,
JER.22.17	oprimes al pobre y reinas sin piedad».
JER.22.18	Por lo tanto, esto dice el 
JER.22.18	«El pueblo no llorará por él, lamentándose entre sí:
JER.22.18	“¡Ay, mi hermano! ¡Ay, mi hermana!”.
JER.22.18	Sus súbditos no llorarán por él, lamentando:
JER.22.18	“¡Ay, nuestro amo ha muerto! ¡Ay, su esplendor se ha ido!”.
JER.22.19	Será enterrado como un burro muerto:
JER.22.19	¡arrastrado fuera de Jerusalén y arrojado fuera de las puertas!
JER.22.20	Llora por tus aliados en el Líbano;
JER.22.20	grita por ellos en Basán.
JER.22.20	Búscalos en las regiones al oriente del río.
JER.22.20	Mira, todos han sido destruidos.
JER.22.20	No quedó nadie para ayudarte.
JER.22.21	Te lo advertí cuando eras próspero
JER.22.21	pero respondiste: “¡No me fastidies!”.
JER.22.21	Has sido así desde tu niñez,
JER.22.21	¡nunca me obedeces!
JER.22.22	Y ahora a tus aliados se los llevará el viento.
JER.22.22	Todos tus amigos serán llevados cautivos.
JER.22.22	Seguramente para entonces verás tu maldad y te avergonzarás.
JER.22.23	Puede que sea lindo vivir en un palacio magnífico,
JER.22.23	recubierto con madera de cedros del Líbano,
JER.22.23	pero pronto gemirás con punzadas de angustia,
JER.22.23	angustia como la de una mujer con dolores de parto.
JER.22.24	»Tan cierto como que yo vivo —dice el 
JER.22.25	Te entregaré a los que buscan matarte —a los que tanto temes— al rey Nabucodonosor
JER.22.26	Te expulsaré de esta tierra, a ti y a tu madre, y morirás en un país extranjero, no en tu tierra natal. 
JER.22.27	Nunca regresarás a la tierra que añoras.
JER.22.28	»¿Por qué es este hombre, Joaquín, como una vasija desechada y rota?
JER.22.28	¿Por qué serán él y sus hijos exiliados al extranjero?
JER.22.29	¡Oh tierra, tierra, tierra!
JER.22.29	¡Escucha este mensaje del 
JER.22.30	Esto dice el 
JER.22.30	“Que conste en acta que este hombre, Joaquín, no tuvo hijos.
JER.22.30	Él es un fracasado,
JER.22.30	porque no tendrá hijos que le sucedan en el trono de David
JER.22.30	para gobernar a Judá”.
JER.23.1	»¡Qué aflicción les espera a los líderes de mi pueblo —los pastores de mis ovejas— porque han destruido y esparcido precisamente a las ovejas que debían cuidar!», dice el 
JER.23.2	Por lo tanto, esto dice el 
JER.23.3	pero reuniré al remanente de mi rebaño de todos los países donde lo he expulsado. Volveré a traer a mis ovejas a su redil y serán fructíferas y crecerán en número. 
JER.23.4	Entonces nombraré pastores responsables que cuidarán de ellas, y nunca más tendrán temor. Ni una sola se perderá ni se extraviará. ¡Yo, el 
JER.23.5	»Pues se acerca la hora
JER.23.5	—dice el 
JER.23.5	cuando levantaré a un descendiente justo
JER.23.5	del linaje del rey David.
JER.23.5	Él será un rey que gobernará con sabiduría;
JER.23.5	hará lo justo y lo correcto por toda la tierra.
JER.23.6	Y su nombre será:
JER.23.6	“El 
JER.23.6	En ese día Judá estará a salvo,
JER.23.6	e Israel vivirá seguro.
JER.23.7	»En ese día —dice el 
JER.23.8	En cambio, dirán: “Tan cierto como que el 
JER.23.9	Mi corazón está destrozado debido a los falsos profetas,
JER.23.9	y me tiemblan los huesos.
JER.23.9	Me tambaleo como un borracho,
JER.23.9	como alguien dominado por el vino,
JER.23.9	debido a las santas palabras
JER.23.9	que el 
JER.23.10	Pues la tierra está llena de adulterio,
JER.23.10	y está bajo una maldición.
JER.23.10	La tierra está de luto;
JER.23.10	los pastos del desierto están resecos.
JER.23.10	Todos hacen lo malo
JER.23.10	y abusan del poder que tienen.
JER.23.11	«Aun los sacerdotes y los profetas
JER.23.11	son hombres malvados que no tienen a Dios.
JER.23.11	He visto sus hechos despreciables
JER.23.11	aquí mismo en mi propio templo
JER.23.11	—dice el 
JER.23.12	Por lo tanto, los caminos que toman
JER.23.12	llegarán a ser resbaladizos.
JER.23.12	Serán perseguidos en la oscuridad
JER.23.12	y allí caerán.
JER.23.12	Pues traeré desastre sobre ellos
JER.23.12	en el tiempo señalado para su castigo.
JER.23.12	¡Yo, el 
JER.23.13	»Vi que los profetas de Samaria eran tremendamente malvados,
JER.23.13	porque profetizaron en nombre de Baal
JER.23.13	y llevaron a mi pueblo Israel al pecado.
JER.23.14	¡Pero ahora veo que los profetas de Jerusalén son aún peores!
JER.23.14	Cometen adulterio y les encanta la deshonestidad.
JER.23.14	Alientan a los que hacen lo malo
JER.23.14	para que ninguno se arrepienta de sus pecados.
JER.23.14	Estos profetas son tan perversos
JER.23.14	como lo fue la gente de Sodoma y Gomorra».
JER.23.15	Por lo tanto, esto dice el 
JER.23.15	«Los alimentaré con amargura
JER.23.15	y les daré veneno para beber.
JER.23.15	Pues es debido a los profetas de Jerusalén
JER.23.15	que se ha llenado esta tierra de maldad».
JER.23.16	Esto dice el 
JER.23.16	«No escuchen a estos profetas cuando ellos les profeticen,
JER.23.16	llenándolos de esperanzas vanas.
JER.23.16	Todo lo que dicen son puros inventos.
JER.23.16	¡No hablan de parte del 
JER.23.17	Siguen diciendo a los que desprecian mi palabra:
JER.23.17	“¡No se preocupen! ¡El 
JER.23.17	Y a los que obstinadamente siguen sus propios deseos,
JER.23.17	los profetas les dicen: “¡No les sucederá nada malo!”.
JER.23.18	»¿Ha estado alguno de estos profetas en la presencia del 
JER.23.18	para escuchar lo que en realidad dice?
JER.23.18	¿Acaso alguno de ellos se ha interesado lo suficiente como para escuchar?
JER.23.19	¡Miren! El enojo del 
JER.23.19	como un torbellino que se arremolina sobre la cabeza de los perversos.
JER.23.20	El enojo del 
JER.23.20	hasta que termine con todo lo que él tenía pensado.
JER.23.20	En los días futuros,
JER.23.20	ustedes entenderán todo esto con claridad.
JER.23.21	»Yo no envié a estos profetas,
JER.23.21	sin embargo, van de un lado a otro afirmando hablar en mi nombre.
JER.23.21	No les he dado ningún mensaje,
JER.23.21	pero aun así siguen profetizando.
JER.23.22	Si hubieran estado en mi presencia y me hubieran escuchado,
JER.23.22	habrían hablado mis palabras
JER.23.22	y habrían hecho que mi pueblo se apartara
JER.23.22	de sus malos caminos y sus malas acciones.
JER.23.23	¿Soy acaso Dios solo de cerca? —dice el 
JER.23.23	no, al mismo tiempo estoy lejos.
JER.23.24	¿Puede alguien esconderse de mí en algún lugar secreto?
JER.23.24	¿Acaso no estoy en todas partes en los cielos y en la tierra?»,
JER.23.24	dice el 
JER.23.25	«He oído a estos profetas decir: “Escuchen el sueño que Dios me dio anoche”. Y después pasan a decir mentiras en mi nombre. 
JER.23.26	¿Hasta cuándo seguirá esto? Si son profetas, son profetas del engaño, pues inventan todo lo que dicen. 
JER.23.27	Con decir estos sueños falsos, pretenden hacer que mi pueblo me olvide, tal como lo hicieron sus antepasados, al rendir culto a los ídolos de Baal.
JER.23.28	»Que estos falsos profetas cuenten sus sueños,
JER.23.28	pero que mis verdaderos mensajeros proclamen todas mis palabras con fidelidad.
JER.23.28	¡Hay diferencia entre la paja y el grano!
JER.23.29	¿No quema mi palabra como el fuego?
JER.23.29	—dice el 
JER.23.29	¿No es como un martillo poderoso
JER.23.29	que hace pedazos una roca?
JER.23.30	»Por lo tanto —dice el 
JER.23.31	Estoy en contra de estos profetas que con mucha labia dicen: “¡Esta profecía es del 
JER.23.32	Yo estoy contra estos falsos profetas. Sus sueños imaginarios son mentiras descaradas que llevan a mi pueblo a pecar. Yo no los envié ni los nombré, y no tienen ningún mensaje para mi pueblo. ¡Yo, el 
JER.23.33	»Supongamos que alguien del pueblo o uno de los profetas o sacerdotes te pregunta: “Y ahora, ¿qué profecía te ha encargado el 
JER.23.34	»Si algún profeta, sacerdote o alguien más dice: “Tengo una profecía del 
JER.23.35	Ustedes deberán preguntarse el uno al otro: “¿Cuál es la respuesta del 
JER.23.36	Ya dejen de usar esta frase: “Una profecía del 
JER.23.37	»Esto deberás decir a los profetas: “¿Cuál es la respuesta del 
JER.23.38	Pero supongamos que responden: “¡Esta es una profecía del 
JER.23.39	me olvidaré de ustedes por completo.
JER.23.40	Los haré objeto de burla y su nombre será infame a lo largo de los siglos’”».
JER.24.1	Después de que Nabucodonosor,
JER.24.2	Una canasta estaba llena de higos frescos y maduros, mientras que la otra tenía higos malos, tan podridos que no podían comerse.
JER.24.3	Entonces el 
JER.24.3	—¿Qué ves, Jeremías?
JER.24.3	—Higos —contesté—, algunos muy buenos y otros muy malos, tan podridos que no pueden comerse.
JER.24.4	Entonces el 
JER.24.5	«Esto dice el 
JER.24.6	Velaré por ellos, los cuidaré y los traeré de regreso a este lugar. Los edificaré y no los derribaré. Los plantaré y no los desarraigaré. 
JER.24.7	Les daré un corazón que me reconozca como el 
JER.24.8	»Sin embargo, los higos malos —dijo el 
JER.24.9	Los haré objeto de horror y un símbolo de maldad para todas las naciones de la tierra. En todos los lugares donde yo los disperse, serán objetos de desprecio y de burla. Los maldecirán y se mofarán de ellos. 
JER.24.10	Les enviaré guerra, hambre y enfermedad hasta que desaparezcan de la tierra de Israel, tierra que les di a ellos y a sus antepasados».
JER.25.1	Este mensaje del 
JER.25.2	Jeremías el profeta le dijo a todo el pueblo de Judá y de Jerusalén: 
JER.25.3	«Durante los últimos veintitrés años —desde el año trece del reinado de Josías, hijo de Amón,
JER.25.4	»Una y otra vez, el 
JER.25.5	Todas las veces el mensaje fue: “Apártense de su mal camino y de sus malas acciones. Solo entonces los dejaré vivir en esta tierra que el 
JER.25.6	No provoquen mi enojo al rendir culto a ídolos que ustedes hicieron con sus propias manos. Entonces no les haré ningún daño”.
JER.25.7	»Pero ustedes no querían escucharme —dice el 
JER.25.8	Ahora el 
JER.25.9	reuniré a todos los ejércitos del norte bajo el mando de Nabucodonosor, rey de Babilonia, a quien nombré mi representante. Los traeré contra esta tierra, contra su gente y contra las naciones vecinas. A ustedes los destruiré por completo
JER.25.10	Quitaré de ustedes la risa y las canciones alegres. No se oirán más las voces felices de los novios ni de las novias. Las piedras de molino se acallarán y las luces de las casas se apagarán. 
JER.25.11	Toda la tierra se convertirá en una desolada tierra baldía. Israel y las naciones vecinas servirán al rey de Babilonia por setenta años.
JER.25.12	»”Entonces, después que hayan pasado los setenta años de cautiverio, castigaré al rey de Babilonia y a su pueblo por sus pecados —dice el 
JER.25.13	Traeré sobre ellos todos los terrores que prometí en este libro, todos los castigos contra las naciones anunciados por Jeremías. 
JER.25.14	Muchas naciones y grandes reyes esclavizarán a los babilonios, así como ellos esclavizaron a mi pueblo. Los castigaré en proporción al sufrimiento que le ocasionaron a mi pueblo”».
JER.25.15	Esto me dijo el 
JER.25.16	Cuando la beban se tambalearán, enloquecidos por la guerra que enviaré contra ellos».
JER.25.17	Así que tomé la copa del enojo del 
JER.25.18	Fui a Jerusalén y a las otras ciudades de Judá, y sus reyes y funcionarios bebieron de la copa. Desde ese día hasta ahora ellos han sido una ruina desolada, un objeto de horror, desprecio y maldición. 
JER.25.19	Le di la copa al faraón, rey de Egipto, a sus asistentes, a sus funcionarios y a todo su pueblo, 
JER.25.20	junto con todos los extranjeros que vivían en esa tierra. También se la di a todos los reyes de la tierra de Uz, a los reyes de las ciudades filisteas de Ascalón, Gaza y Ecrón, y a lo que queda de Asdod. 
JER.25.21	Después les di la copa a las naciones de Edom, Moab y Amón, 
JER.25.22	a los reyes de Tiro y Sidón, y a los reyes de las regiones al otro lado del mar. 
JER.25.23	Se la di a Dedán, a Tema, a Buz y a la gente que vive en lugares remotos.
JER.25.24	Se la di a los reyes de Arabia, a los reyes de las tribus nómadas del desierto 
JER.25.25	y a los reyes de Zimri, Elam y Media. 
JER.25.26	Se la di a los reyes de los países del norte, lejanos y cercanos, uno tras otro, es decir, a todos los reinos del mundo. Finalmente, el mismo rey de Babilonia
JER.25.27	Entonces el 
JER.25.28	Ahora bien, si se niegan a aceptar la copa, diles: “El 
JER.25.29	He comenzado a castigar a Jerusalén, la ciudad que lleva mi nombre. ¿Acaso los dejaría a ustedes sin castigo? No, no escaparán del desastre. Enviaré guerra contra todas las naciones de la tierra. ¡Yo, el 
JER.25.30	»Ahora, profetiza todas estas cosas y diles:
JER.25.30	»“El 
JER.25.30	desde su santa morada en el cielo.
JER.25.30	Él gritará como los que pisan las uvas;
JER.25.30	gritará contra todos los habitantes de la tierra.
JER.25.31	Su grito de juicio llegará hasta los confines de la tierra,
JER.25.31	porque el 
JER.25.31	Él juzgará a todos los habitantes de la tierra,
JER.25.31	y matará con la espada a los perversos.
JER.25.31	¡Yo, el 
JER.25.32	Esto dice el 
JER.25.32	«¡Miren! ¡Nación tras nación sufrirá calamidades!
JER.25.32	¡Se está levantando un gran torbellino de furia
JER.25.32	desde los rincones más distantes de la tierra!».
JER.25.33	En aquel día, los que el 
JER.25.34	¡Lloren y giman, pastores malvados!
JER.25.34	¡Revuélquense en el polvo, líderes del rebaño!
JER.25.34	Ha llegado el momento de su matanza;
JER.25.34	ustedes caerán y se harán añicos como vaso frágil.
JER.25.35	No encontrarán lugar donde esconderse;
JER.25.35	no habrá forma de escapar.
JER.25.36	Escuchen los gritos desesperados de los pastores.
JER.25.36	Los líderes del rebaño gimen en su desesperación
JER.25.36	porque el 
JER.25.37	Debido al gran enojo del 
JER.25.37	los prados tranquilos se convertirán en tierra baldía.
JER.25.38	Él salió de su guarida como un león fuerte en busca de su presa,
JER.25.38	y la tierra quedará desolada
JER.25.38	por la espada
JER.25.38	y por la ira feroz del 
JER.26.1	Jeremías recibió el siguiente mensaje del 
JER.26.2	«Esto dice el 
JER.26.3	Quizá te escuchen y se aparten de sus malos caminos. Entonces cambiaré de parecer acerca del desastre que estoy por derramar sobre ellos a causa de sus pecados”.
JER.26.4	»Diles: “Esto dice el 
JER.26.5	ni tampoco escuchan a mis siervos, los profetas —porque los envié una y otra vez para advertirles, pero ustedes rehusaron escucharlos—, 
JER.26.6	entonces destruiré este templo así como destruí a Silo, el lugar donde estaba el tabernáculo. Y haré que Jerusalén se convierta en objeto de maldición en cada nación de la tierra’”».
JER.26.7	Los sacerdotes, los profetas y todo el pueblo escucharon a Jeremías mientras hablaba frente al templo del 
JER.26.8	pero cuando Jeremías terminó su mensaje, habiendo dicho todo lo que el 
JER.26.9	¿Qué derecho tienes de profetizar en el nombre del 
JER.26.10	Cuando los funcionarios de Judá oyeron lo que pasaba, corrieron del palacio a sentarse a juzgar junto a la puerta Nueva del templo. 
JER.26.11	Los sacerdotes y los profetas presentaron sus acusaciones a los funcionarios y al pueblo. «¡Este hombre debe morir! —dijeron—. Ustedes han escuchado con sus propios oídos lo traidor que es, porque ha profetizado contra esta ciudad».
JER.26.12	Entonces Jeremías habló en su propia defensa a los funcionarios y al pueblo. «El 
JER.26.13	pero si ustedes dejan de pecar y comienzan a obedecer al 
JER.26.14	En cuanto a mí, estoy en sus manos, hagan conmigo lo que mejor les parezca. 
JER.26.15	¡Pero si me matan, tengan por seguro que estarán matando a un inocente! La responsabilidad por semejante acción caerá sobre ustedes, sobre esta ciudad y sobre cada persona que vive en ella. Pues es totalmente cierto que el 
JER.26.16	Así que los funcionarios y el pueblo les dijeron a los sacerdotes y a los profetas: «Este hombre no merece la pena de muerte porque nos ha hablado en el nombre del 
JER.26.17	Entonces algunos de los sabios ancianos se pusieron de pie y hablaron a todo el pueblo reunido en ese lugar. 
JER.26.18	Dijeron: «Recuerden cuando Miqueas de Moreset profetizaba durante el reinado de Ezequías de Judá. Él le dijo al pueblo de Judá:
JER.26.18	“Esto dice el 
JER.26.18	‘El monte Sión quedará arado como un campo abierto;
JER.26.18	¡Jerusalén será reducida a escombros!
JER.26.18	Un matorral crecerá en las cumbres,
JER.26.18	donde ahora se encuentra el templo’”
JER.26.19	¿Acaso el rey Ezequías y el pueblo lo mataron por lo que dijo? No, se apartaron de sus pecados y adoraron al 
JER.26.20	En ese tiempo, Urías hijo de Semaías, de Quiriat-jearim, también profetizaba en nombre del 
JER.26.21	Cuando el rey Joacim junto con los oficiales militares y los demás funcionarios escucharon lo que dijo, el rey envió a alguien para matarlo. Sin embargo, Urías se enteró del plan y escapó a Egipto atemorizado. 
JER.26.22	Entonces el rey Joacim envió a Elnatán, hijo de Acbor, a Egipto junto con algunos otros hombres para que capturaran a Urías. 
JER.26.23	Lo tomaron prisionero y lo trajeron de regreso al rey Joacim. Así que el rey mató a Urías a espada y mandó que lo enterraran en una fosa común.
JER.26.24	No obstante, Ahicam, hijo de Safán, respaldó a Jeremías y persuadió al tribunal de no entregarlo a la multitud para que lo matara.
JER.27.1	Jeremías recibió el siguiente mensaje del 
JER.27.2	Esto me dijo el 
JER.27.3	Luego envía un mensaje a los reyes de Edom, Moab, Amón, Tiro y Sidón a través de sus embajadores que han llegado a visitar al rey Sedequías en Jerusalén. 
JER.27.4	Dales este mensaje para sus amos: “Esto dice el 
JER.27.5	‘Yo hice la tierra, la gente y cada animal con mi gran fuerza y brazo poderoso. Estas cosas me pertenecen y puedo dárselas a quien yo quiera. 
JER.27.6	Ahora entregaré estos países al rey Nabucodonosor de Babilonia, quien es mi siervo. He puesto todo bajo su control, aun los animales salvajes. 
JER.27.7	Todas las naciones le servirán a él, a su hijo y a su nieto hasta que se acabe el tiempo de ellos. Entonces muchas naciones y grandes reyes conquistarán y dominarán a Babilonia. 
JER.27.8	Así que ustedes deben someterse al rey de Babilonia y servirle; ¡pongan su cuello bajo el yugo de Babilonia! Castigaré a toda nación que rehúse ser su esclava, dice el 
JER.27.9	»’No les hagan caso a sus falsos profetas, adivinos, intérpretes de sueños, los médiums y hechiceros que dicen: “El rey de Babilonia no los conquistará”. 
JER.27.10	Todos son mentirosos y sus mentiras solo servirán para que ustedes sean expulsados de su propia tierra. Yo los expulsaré y los enviaré a morir lejos; 
JER.27.11	pero al pueblo de toda nación que se someta al rey de Babilonia se le permitirá permanecer en su propio país para cultivar la tierra como siempre. ¡Yo, el 
JER.27.12	Después repetí el mismo mensaje al rey Sedequías de Judá: «Si deseas vivir, sométete al yugo del rey de Babilonia y a su pueblo. 
