MAT.1.1	Hawe Daawita zariyaanne Abraahaame zare gideedda Yesuusi Kiristtoosa yeletaa odiyaa maxaafaa.
ROM.13.3	Ayissi gooppe, ayissiyaawanttu iitabaa oothiyaawantta yashshanawaappe attin, lo77obaa oothiyaawantta yashshikkino. Ayissiyaawoo yayyennaan agganaw koyyay? Yaatooppe lo77obaa ootha; I neena galatana. 
ROM.13.4	Ayissi gooppe, I new lo77obaa oothanaw, Xoossaw qooma. Shin neeni iitabaa oothooppe, iitabaa ootheeddawaa I seeriyaa diraw, aw yayya; I Xoossaa qoomaa. Qassi iitabaa oothiyaawanttu bolla Xoossaa hanqquwaa I ahee. 
ROM.13.5	Hewaa diraw, gadiyaa ayissiyaawanttussi eeno giyaawe Xoossaa muraa xalalaassa gidennaan, hinttenttu wozanaa qofaa dirawukka eeno gaanaw bessee.
ROM.13.6	Ayissi gooppe, gadiyaa ayissiyaawanttu barenttu oosuwaa oothiyaa wode, Xoossaw oothiyaa diraw, hintte qaraxaa qanxxiyaawe hewaassa. 
ROM.13.7	Ubba asawukka bessiyaawaa immite. Giiraa giiranaw bessiyaawoo giirite; qaraxaa qanxxanaw bessiyaawoo qanxxite; yayyanaw bessiyaawoo yayyite; bonchchuu bessiyaawaa bonchchite.
ROM.13.8	Hinttenttu ittu ittuwaanna siiqettanaappe attin, hara acuu O bollaninne de7oppo. Ayissi gooppe, haraa siiqiyaa ooninne higgii giyaawaa poleedda. 
ROM.13.9	<<Woshummoppa; wodhoppa; wuu77oppa; asaabaa amottoppa>> giyaa azazatuunne hara azazatuu ubbatuu, <<Ne shooruwaa ne huuphiyaadan siiqa>> giyaa azazuwan kumiino. 
ROM.13.10	Bare shooruwaa siiqiyaa ooninne aw iitabaa oothenna; hewaa diraw, shooruwaa siiqiyaawe higgiyaa ubbaw eeno giyaawaa.
ROM.13.11	Gemi77ushuwaappe hintte beegottiyaa saati ha77i gakkeedda diraw, ha wodiyaa akeekite. Ayissi gooppe, nuuni koyro ammaneedda wodiyaappe, nuuni attiyaa wodii ha77i nuukko matatteedda. 
ROM.13.12	Qammay aadhdhanaw hanee; gallassay matatteedda. Simmi nuuni dhumaa oosuwaa aggiide, poo7uwan olettanaw, olaa miishshaa mayyoytte; 
ROM.13.13	gallassi poo7uwan de7iyaa asaadan, ane maara de7oytte. Yethaaninne mathuwan gidoppo; woshummussaaninne woshummanaw kajjeelussaana gidoppo; palumaaninne qanaatiyaan gidoppo. 
ROM.13.14	Shin Godaa Yesuusi Kiristtoosa, olaa miishshaa A mayyite; hintte nagaranchcha asatethay bare wozanaa amuwaa polanaadan, aw qoppoppite.
ROM.14.1	Ammanuwan azalliya uraa shiishshi akkite. Shin I bare huuphew qoppiyaabaan aananna palumettoppite. 
ROM.14.2	Itti uraa ammanuu I ayaa miinanne diggenna. Shin ammanuwan azalliya uray gaden mokkeeddabaa xalalaa mee. 
ROM.14.3	Ubbabaa miyaa uray ubbabaa meenna uraa kadhoppo; ubbabaa meenna uraykka ubbabaa miyaa uraa bolla pirddoppo. Ayissi gooppe, Xoossay A shiishshi akkeedda. 
ROM.14.4	Hara asaa qoomaa bolla pirddiyaawe neeni oonee? I kunddina woy denddina bare Godaassa; shin Goday A denthanaw danddayiyaa diraw, I eqqana.
ROM.14.5	Itti uray, <<Hiqqa gallassay hara gallassatuwappe aadhdhee>> yaagiide qoppiyaa wode, haray, <<Ubba gallassatuukka itti mala>> giide qoppee. Asay ubbay huuphiyan huuphiyan hewaadan ayissi qoppintto akeeko. 
ROM.14.6	Itti gallassaa hara gallassatuwappe aathiide bonchchiya uray Godaa bonchchoo bonchchee; qumaa miyaa uraykka Godaa bonchchoo mee. Ayissi gooppe, I he qumaa diraw, Xoossaa galatee. Qumaa meennawekka Godaa bonchchoo meennaan aggeedda; qassi Xoossaa galatee. 
ROM.14.7	Ayissi gooppe, nuuppe ooninne bare huuphe xalalaw de7enna; qassi ooninne bare huuphe xalalaw hayqqenna. 
ROM.14.8	Nuuni paxa de7ooppe, Godaw de7eetto; qassi hayqqooppekka, Godaw hayqqeetto. Simmi nuuni paxa de7ooppe woy hayqqooppekka Godaassa.
ROM.14.9	Hewaa diraw, Kiristtoosi paxa de7iyaawanttoonne hayqqeeddawanttoo Godaa gidanaw hayqqiide, hayquwaappe denddeedda. 
ROM.14.10	Yaatina, neeni ne ishaa bolla ayissi pirdday? Woy neeni ne ishaa ayissi kadhay? Nuuni ubbaykka Xoossaa pirddaa oydiyaa sinthan eqqana. 
ROM.14.11	Ayissi gooppe, Xoossaa Maxaafay,
ROM.14.11	<< <Taani Goday ta de7uwan caaqqay;
ROM.14.11	asay ubbay ta sinthan gulbbatana.
ROM.14.11	Qassi taani Xoossaa gidiyaawaa
ROM.14.11	asay ubbay markkattana> yaagay>>
ROM.14.11	yaagee. 
ROM.14.12	Simmi nuuni huuphiyan huuphiyan nubaa Xoossaw odana.
ROM.14.13	Hewaa diraw, nuuni ittu ittuwa bolla pirddiyaawaa hawaappe sinthaw ane aggoytte. Shin ubbaappe aathiide, hintte ishaa dhubbiyaabaa woy nagaraan oliyaabaa oothennaadan qofaa qachchite. 
ROM.14.14	Taani Godaa Yesuusi Kiristtoosanna de7iyaawaan, bare huuphew tuna gidiyaabay baynnawaa eraynne akeekay. Shin itti uray ittibaa tuna giide qoppooppe, hewe aw tuna gidee. 
ROM.14.15	Neeni miyaabaa diraw, ne ishaa qohooppe, simmi neeni siiquwan de7akka. Kiristtoosi A diraw hayqqeedda asaa ne miyaa qumaan bayizzoppa. 
ROM.14.16	Simmi neeni lo77obaa giyaawaa asay kadhoppo. 
ROM.14.17	Ayissi gooppe, Xoossaa kawutethay Geeshsha Ayyaanay immiyaa xillotethaa, sarotethaanne nashechchaa gidiyaawaappe attin, muussaanne ushshaa gidenna. 
ROM.14.18	Ayissi gooppe, Kiristtoosaw hawaadan oothiyaa uray ooninne Xoossaa nashechchee; asaykka A galatee.
ROM.14.19	Yaatooppe, ane nuuni sarotethaa ahiyaabaanne nuuna ittuwaa ittuwaanna minissiyaabaa ubbaa koyyeetto. 
ROM.14.20	Xoossaa oosuwaa qumaa diraw bayizzoppa. Qumay ubbay geeshsha; shin hara uraa nagaraan yeggiyaawaa muussay iita. 
ROM.14.21	Hewaassi ashuwaa meennaan woy ushshaa ushennaan aggiyaawe woy ne ishaa dhubbiyaabaa ayaanne oothennaan aggiyaawe lo77a.
ROM.14.22	Ha yewuwaan ne ammanuwaa neeppenne Xoossaappe gidduwan naaga. Itti uray lo77a giide I ammanetteeddawaa oothiyaa wode, <<Taani lo77uwaa oothaaddi>> giide bare wozanaani ammanettooppe, he uray tumu anjjetteeddawaa. 
ROM.14.23	Shin I he miyaabaan sidhooppe, A muussay ammanuwaana gidenna diraw, Xoossay A bolla pirddee; qassi ammanuu baynnaan ootheeddawe ayayinneekka nagara.
ROM.15.1	Nuuni ammanuwan minneeddawanttu daaburanchchatuwaa tookuwaa tookkanaw bessee; nuuni nu xalalaa nashechchanaw bessenna. 
ROM.15.2	Nuuni huuphiyan huuphiyan nu ishaa maaddanaw, ammanuwan A minissanawunne nashechchanaw bessee. 
ROM.15.3	Ayissi gooppe, haray atto Kiristtoosikka barena nashechchibeenna. Shin Xoossaa Maxaafay, <<Neena boreeddawanttu boreedda borii ta bolla wodhdheedda>> geeddawaadan haneedda. 
ROM.15.4	Xoossaa Maxaafay nuussi immiyaa genccaaninne minotaan nuuni demmana giide nashechchaan naagi utteeddawe de7ana mala, Xoossaa Maxaafan xaafetteedda ubbabay nuuna tamaarssanaw xaafetteedda.
ROM.15.5+ROM.15.6	Hinttenttu ubbay itti wozana gidiide, itti qaalaan Xoossaa, nu Godaa Yesuusi Kiristtoosa Aawuwaa, bonchchana mala, genccuwanne minotethaa immiyaa Xoossay, hinttenttoo Kiristtoosi Yesuusi ootheeddawaadan, ittu ittuwaanna ittippe de7iyaa itti qofaa immo.
ROM.15.7	Hewaa diraw, Kiristtoosi hinttentta mokkeeddawaadan, Xoossaa bonchchoo ittu ittuwaa mokkite. 
ROM.15.8+ROM.15.9	Ayissi gooppe, Xoossay ammanetteeddawaa gidiyaawaa erissanaw, Xoossay aawatoo immana geeddawaa tumayanawunne Ayihuda gidenna asay Xoossaa A maarotethaa diraw bonchchanaw Kiristtoosi Ayihudatoo qooma gideeddawaa hinttenttoo oday. Hewaa Xoossaa Maxaafay,
ROM.15.8+ROM.15.9	<<Hewaa diraw, taani neena
ROM.15.8+ROM.15.9	Ayihuda gidenna asaa giddon galatana;
ROM.15.8+ROM.15.9	ne sunthaakka sabbana>>
ROM.15.8+ROM.15.9	yaagee. 
ROM.15.10	Qassikka,
ROM.15.10	<<Ayihuda gidenna asatoo,
ROM.15.10	Xoossaa asatuwaanna nashettite>>
ROM.15.10	yaagee. 
ROM.15.11	Qassikka gujjiide,
ROM.15.11	<<Hinttenttoo, Ayihuda gidenna asatoo ubbatoo,
ROM.15.11	Godaa galatite; asaw ubbaw, A galatite>>
ROM.15.11	yaagee. 
ROM.15.12	Qassikka Isiyaasi,
ROM.15.12	<<Issey zerethay yiide
ROM.15.12	Ayihuda gidenna asaa mooddanaw denddana.
ROM.15.12	Qassi unttunttu A bagganna demmana
ROM.15.12	giide nashechchaan naagana>>
ROM.15.12	yaagee. 
ROM.15.13	Hinttenttu akkana giide nashechchaan naagiyaawe Geeshsha Ayyaanaa wolqqaan diccanaadan, hinttenttoo immana geedda Xoossay, hintte A ammaniyaa diraw, hinttenttoo nashechchaanne sarotethaa kunthiide immo.
ROM.15.14	Taanaadan ammaniyaawanttoo, hinttenttun lo77otethaynne eratethay ubbay kumeeddawaanne qassi ittu ittuwaa zoranaw danddayiyaawaa taani ta huuphew eraaddi. 
ROM.15.15+ROM.15.16	Shin taani hinttentta ittibaa ittibaa gujja qofissanaw, ha dabidaabbiyaa giddon aynne yayyennaan hinttenttoo xaafaaddi. Taani Kiristtoosa Yesuusa qooma gidaade, Ayihuda gidenna asaw oothanaadan, Xoossay taw aadho keekatethaa immeedda diraw, taani aynne yayyabeykke; Ayihuda gidenna asay Geeshsha Ayyaanaa bagganna Xoossaw geeshsha gidiide, A nashechchiyaa yarshshuwaa gidanaadan, Xoossaa wonggalaa mishiraachchuwaa odiyaawaan geeshshatethaan oothay.
ROM.15.17	Hewaa diraw, taani Kiristtoosa Yesuusan gidaade Xoossaw oothiyaabaan ceeqettanaw danddayay. 
ROM.15.18+ROM.15.19	Ayihuda gidenna asay Xoossaw azazettanaadan, Kiristtoosi ta bagganna qaalaan, oosuwan, mallaan, malaataa wolqqaaninne Geeshsha Ayyaanaa wolqqaan ootheeddawaa xalalaa taani odanaappe attin, harabaa odanaw xalikke. Hewaa diraw, Yeerusalaameppe doommaade, Iliwaariqoona geetettiyaa gadiyaa gakkanaw yuuyyaade, Kiristtoosa wonggalaa mishiraachchuwaa wurssa odaaddi. 
ROM.15.20	Hawaadankka, taani hara asay doommeeddawaa bollan doommennaadan, Kiristtoosa sunthay xeesettibeennasan wonggalaa mishiraachchuwaa odanaw amottaaddi. 
ROM.15.21	Shin Xoossaa Maxaafay,
ROM.15.21	<<Aabay hawaa gakkanaw odettibeennawanttu A be7anawantta;
ROM.15.21	qassi aabaa sisibeennawanttu akeekanawantta>>
ROM.15.21	yaagee. 
ROM.15.22	Hewaa diraw, taani cora wode hinttenttukko yaanaw koyyay; shin yaanaw danddayabeykke. 
ROM.15.23	Shin taani ha77i ha heeraan ta oosuwaa wursseedda dirawunne cora laythaappe doommaade hinttentta baade be7anaw laamoteedda diraw 
ROM.15.24	ha77ikka hinttenttukko baana gaade qoppay; taani Isippeene geetettiyaa gadiyaa baadde hinttentta be7anaw koyyay; qassi amareedda wodiyaa hinttentta be7aade nashettowaappe guyyiyan, Isippeene biishshin, hintte taana maaddana mala koyyay.
ROM.15.25	Shin ha77i taani Xoossaa asatuwaa maaddanaw, Yeerusalaame bay. 
ROM.15.26	Ayissi gooppe, Maqidooniyaanne Akaayiyaa geetettiyaa gadiyaan de7iyaa woosa golle asatuu Yeerusalaamen de7iyaa hiyyeesatuwaassi miishshaa immanaw koyyeeddino. 
ROM.15.27	Unttunttu barenttu huuphew hawaa oothanaw qofaa qachcheeddino. Unttunttu he hiyyeesatuwaa maaddanawe unttunttoo acuu de7ee; ayissi gooppe, Ayihudatuu barenttu ayyaanaa anjjuwaa Ayihuda gidenna asatuwaanna shaakkeeddawaa gidooppe, Ayihuda gidenna asatuukka qassi barenttoo de7eeddabaan Ayihudatuwaa maaddanaw bessee. 
ROM.15.28	Hewaa diraw, taani ha oosuwaa wursseeddawaappe guyyiyaaninne unttunttoo shiiqeedda miishshaa ubbaa immeeddawaappe guyyiyan, Isippeene baadde hintte mataanna aadhdhana. 
ROM.15.29	Taani hinttenttukko biyaa wode, Kiristtoosa anjjuu taanan kumina baanawaa eray.
ROM.15.30	Taanaadan ammaniyaawanttoo, taw Xoossaa hintte woossiidde, woosan hintte taananna minnanaadan, Godaa Yesuusi Kiristtoosa baggannanne Geeshsha Ayyaanay immiyaa siiqotethan taani hinttentta woossay. 
ROM.15.31	Taani Yihudaan de7iyaa ammanennawanttuppe attanaadaaninne qassi taani Yeerusalaamen oothiyaa oosuu yaani de7iyaa Xoossaa asatuwaa nashechchiyaawaa gidanaadan, Xoossaa woossite. 
ROM.15.32	Qassi Xoossay gooppe, taani hinttenttukko nashechchaan baade, hintte matan shemppana. 
ROM.15.33	Sarotethaa Xoossay hinttenttunna ubbaanna gido. Amen77i.
ROM.16.1	Kinkkiriyaa geetettiyaa katamaan de7iyaa ammaniyaa asaanna oothiyaa nu michchatta Peeba lo77o macca asa gidiyaawaa taani hinttentta erissay. 
ROM.16.2	Hinttenttu izo geeshshatuu Godaa sunthan mokkiyaawaadan mokkite; qassi iza hinttenttuppe koyyiyaawe ayaa gidooppekka, izo maaddite; ayissi gooppe, iza bare huuphew cora asaa maaddaw; qassi taana ta huuphewukka darissa maaddaw.
ROM.16.3	Kiristtoosa Yesuusa oosuwaa taananna ittippe oothiyaa Phirisqqillissinne izi asinaa Aqiilassi ta sarotowaa odite. 
ROM.16.4	Unttunttu ta shemppuwaa diraw, barenttu shemppuwaa aathi immeeddino. Unttuntta ta xalalaa gidennaan, Ayihuda gidenna asaa ammaniyaa asay ubbaykka galatee. 
ROM.16.5	Qassi unttunttu golliyaa ammaniyaa asay shiiqiyaasaa udiide gakettiyaa asaa ubbaa saro giite. Iisiya gadiyan Kiristtoosa koyro ammaneedda ta siiqiyaa Eppanetoosaw, ta sarotowaa odite. 
ROM.16.6	Hinttenttoo loytha daabureedda Mayraamo sarotite. 
ROM.16.7	Taananna qasho gollen de7eedda ta dabbo gideedda Ayihudatuwaa, Anddironiqoosanne Yuuniyaasa sarotite. Yesuusi kiitteeddawanttu giddon unttunttu loythi eretteeddawantta. Qassi unttunttu Kiristtoosa taappe kasenna ammaneeddino.
ROM.16.8	Godaanna ittippetethaan de7iyaa ta siiqo laggiyaa Amppiliyaatoosaw ta sarotowaa odite. 
ROM.16.9	Kiristtoosa oosuwaa nuunanna ittippe oothiyaa Urbbaanoosanne taani siiqiyaa Isxxaakusa sarotite. 
ROM.16.10	Kiristtoosanna I de7iyaawe erettina paaciyaa xooneedda Apheliisaw ta sarotowaa odite; Arisxxobiloosa soy asawukka ta sarotowaa odite. 
ROM.16.11	Ta dabbo gideedda Ayihudawiyaa Heeroodiyoonanne Kiristtoosa ammaniyaa Narssiisesa soy asaa sarotite.
ROM.16.12	Godaa oosuwan daaburiyaa Tirufaynanne Tirufooso geetettiyaa maccawantta sarotite; qassi Godaw daro daaburaade oothiyaa siiqiyaa Perssiiso sarotite. 
ROM.16.13	Godaa oosuwan loythi eretteedda Rufoosayewunne taana bare na7aadan maaddeedda A daayiw ta sarotowaa odite. 
ROM.16.14	Ta sarotowaa Asinkkiriitoosaw, Pileegoonaw, Hermeesaw, Patirobaasawunne unttunttunna de7iyaa ammaniyaa ishatuwaa ubbaw odite. 
ROM.16.15	Pileegoona, Yuulo, Neeriyaa, A michchatto, Olumppoosanne unttunttunna de7iyaa Xoossaa asatuwaa ubbaa sarotite.
ROM.16.16	Geeshsha asaw bessiyaa yeretaa yerettiidde, ittu ittuwaa sarotite; Kiristtoosan ammaniyaawanttu ubbatuu hinttentta saro yaageeddino.
ROM.16.17	Taanaadan ammaniyaawanttoo, asaa giddon shaakotethaa medhdhiyaawantta, asaa ammanoo dhubo gidiyaawanttanne hintte tamaareedda timirttiyaanna gakettennawaa tamaarissiyaawantta akeekanaadan, taani hinttentta woossay. Unttunttukko shiiqoppite. 
ROM.16.18	Ayissi gooppe, hewaa malabaa oothiyaawanttu barenttu uluwassi oothiinoppe attin, nu Godaa Yesuusi Kiristtoosaw oothikkino; barenttu labiyaa haasayaaninne qidhiyan iitabaa qoppenna asaa wozanaa balethiino. 
ROM.16.19	Wonggalaw hintte azazetteeddawaa asay ubbay siseedda. Hewaa diraw, taani hintebaan nashettay; shin lo77otethaw hintte aadhdheedda eranchcha gidanaadaaninne qassi iitabaw ashikke gidanaadan koyyay. 
ROM.16.20	Sarotethaa Xoossay Seexaanaa hintte gediyaappe garssanna haakkenna mata wode gaaccana.
ROM.16.20	Nu Godaa Yesuusi Kiristtoosa aadho keekatethay hinttenttunna gido.
ROM.16.21	Taananna oothiyaa Ximootoose hinttentta saro yaagee; qassi hawaadankka, ta dabbatuu Luuqiyoosi, Yaasooninne Sosiiphaaxiroosi hinttentta saro yaagiino.
ROM.16.22	Taani, Xarxxiyoosi, ha dabidaabbiyaa xaafeeddawe, hinttenttoo Godaa sunthan sarotaa kiittay.
ROM.16.23	Ammaniyaa asay ubbay A soyin shiiqiyaa ta siiraa Gaayoosi hinttentta saro yaagee; katamaa miishshaa oyqqiyaa Erasxxoosinne nu ishay Quwarxxoosi hinttentta saro yaagiino. 
ROM.16.24	Nu Godaa Yesuusi Kiristtoosa aadho keekatethay hinttenttunna ubbaanna gido. Amen77i.
ROM.16.25	Nuuni Xoossaa galateetto. Taani wonggalaa bagganna Yesuusi Kiristtoosabaa odeeddawaadaninne daro wodiyaappe geemmiide, ha77i qoncceedda tumatethaadan, hintte ammanuwan hinttentta Xoossay minissanaw danddayee. 
ROM.16.26	Shin ha77i nabatuu xaafeeddawaa bagganna tumatethay qoncciyaan erettannaadan ootheedda; qassi asaa ubbay Xoossaa ammaniide azazettanaadan, medhinaa Xoossaa azazuwan, ha alamiyaan de7iyaa asaa zerethaa ubbaw qoncceedda.
ROM.16.27	Aadhdheedda eratethay A xalalaw de7iyaa itti Xoossaw Yesuusi Kiristtoosa bagganna medhinaw bonchchuu gido. Amen77i.
1CO.1.1	Taani, Xoossaa sheniyaan Yesuusi Kiristtoosi kiitteeddawaa gidanaw xeesetteedda Phawuloosinne, nu ishaa Sostteniisi, 
1CO.1.2	Qoronttoosan de7iyaa Xoossaa ammaniyaa asatuwaassi, Yesuusi Kiristtoosan geeyyeeddawanttussinne, nuussi Godaa gidiyaa nu Godaa Yesuusi Kiristtoosa sunthaa ubba sa7aan xeesiyaa ubbatuwaanna geeshsha gidanaw xeesetteeddawanttussi ha dabidaabbiyaa xaafeetto.
1CO.1.3	Xoossay, nu Aawuunne nu Goday Yesuusi Kiristtoosi hinttenttussi aadho keekatethaanne sarotethaa immo.
1CO.1.4	Xoossay Kiristtoosa Yesuusa bagganna hinttenttussi immeedda aadho keekatethaa diraw, taani ubba wode hinttenttussi Xoossaa galatay. 
1CO.1.5+1CO.1.6	Taani Kiristtoosassi markkattiyaawe hinttenttun minneedda diraw, hintte ubbabaani, haasayaa ubbaan eratethaa ubbaan, aani duretteeddita. 
1CO.1.7	Hawaadan hintte nu Godaa Yesuusi Kiristtoosa yuussaa naagishshin, ayyaanaa imotaappe haray atto ittuunne hinttenttussi paccenna. 
1CO.1.8	Qassi nu Godaa Yesuusi Kiristtoosa gallassan hintte kadhee baynnawantta gidanaadan, wurssethay gakkanaw I hinttentta minissanawaa. 
1CO.1.9	Bare Na7aa nu Godaa Yesuusi Kiristtoosa ittippetethaw hinttentta xeeseedda Xoossay ammanetteeddawaa.
1CO.1.10	Shin taanaadan ammaniyaawanttoo, itti wozanaaninne itti qofaan ittippe gidanaappe attin, shaakotethay hintte giddon de7enna mala, hintte ubbay itti haasayaa haasayanaadan, nu Godaa Yesuusi Kiristtoosa sunthan taani hinttentta woossay. 
1CO.1.11	Ayissi gooppe, taanaadan ammaniyaawanttoo, Qaloo7a soy asay hinttenttubaa, hintte giddon walassay de7iyaawaa, taw odeeddino. 
1CO.1.12	Taani giyaawe hawaa; hinttenttu huuphiyan huuphiyan, <<Taani Phawuloosawaa. Taani Aphiloosawaa. Taani Keefaawaa. 
1CO.1.13	Kiristtoosi shaaketteeddee? Hinttenttu diraw, masqqaliyaa bolla misimaariyan dhishettiide kaqetteeddawe Phawuloose? Woy hintte Phawuloosassi gidanaw xammaqetteedditee?
1CO.1.14	Taani Qarisiphphoosappenne Gaayoosappe attin, hinttenttuppe oonanne xammaqabeenna diraw, Xoossaa galatay. 
1CO.1.15	Hewaa diraw, ooninne hinttentta taw gidanaadan xammaqetteeddita gaanaw danddayenna. 
1CO.1.16	Qassi, E, Isxxifaanoosa soy asaakka taani xammaqaaddi. Shin haraa gujjaade xammaqaadditanttonne wozanaa aathikke. 
1CO.1.17	Ayissi gooppe, Kiristtoosi taana mishiraachchuwaa qaalaa odana mala kiitteeddappe attin, xammaqana mala kiittibeenna; qassi Kiristtoosi masqqaliyaa bolla hayqqeeddawe mela gidenna mala, taani asaa aadhdheedda eratethaa qaalaan tamaarissikke.
1CO.1.18	Ayissi gooppe, Kiristtoosi masqqaliyaa bolla hayqqeeddawaa odiyaa qaalay dhayiyaawanttussi eeyatethaa. Shin nuussi attiyaawanttussi Xoossaa wolqqaa. 
1CO.1.19	Xoossaa Maxaafay,
1CO.1.19	<<Taani eranchchatuwaa aadhdheedda eratethaa
1CO.1.19	bayizzana;
1CO.1.19	qassi akeekanchchatuwaa akeekaakka dhayissana>>
1CO.1.19	yaagee. 
1CO.1.20	Aadhdheedda eranchchay haqan de7ii? Higgiyaa tamaarissiyaawe haqan de7ii? Woy ha alamiyaa xoonanaw palumettiyaawanttu waananddinooshsha? Xoossay ha sa7aa aadho eratethay eeyatethaa gidiyaawaa besseedda! 
1CO.1.21	Ayissi gooppe, asay bare huuphe aadho eratethaan barena Xoossaa erenna mala, Xoossay bare aadho eratethaan diggiide, nuuni odiyaa eeya qaalaan ammaniyaawantta ashshanaw qoppeedda. 
1CO.1.22	Ayihudatuu malaataa oochchiino. Qassi Giriike asatuu aadho eratethaa wolqqaama koshshaa koyyiino. 
1CO.1.23	Shin nuuni masqqaliyaa bolla misimaariyan dhishettiide kaqetteedda Kiristtoosabaa odeetto. Hewe Ayihudatuwaassi dhubo; qassi Ayihuda gidennawanttussi eeyatethaa. 
1CO.1.24	Shin Xoossay xeeseeddawanttussi Ayihudatussikka Giriikatussikka nuuni odiyaa Xoossaa wolqqaynne A aadho eratethay Kiristtoosa. 
1CO.1.25	Ayissi gooppe, Xoossaa eeyatethay asaa aadhdheedda eratethaappe aadhdhee; qassi A laafatethaa geetettiyaawekka asaa minotethaappe minnee.
1CO.1.26	Simmi taanaadan ammaniyaawanttoo, Xoossay hinttentta xeesiyaa wode hintte woysa mala asentto qoppite. Asaa qofaan hintte giddon aadho eranchchatuu, wolqqaamatuunne dhoqqa sheeshshatuu dara gidikkino. 
1CO.1.27	Shin Xoossay aadhdheedda eranchchatuwaa yeellayanaw, alamiyaan de7iyaa eeyatuwaa dooreedda; qassi minatuwaa yeellayanaw, alamiyaan de7iyaa laafatuwaa dooreedda. 
1CO.1.28	Xoossay ha alamiyaan wolqqaamabaa giide qoppiyaawaa dhayissanaw, ha alamiyaa maaddennabaa kadhettobaanne hanibeennabaa dooreedda. 
1CO.1.29	Hewaa diraw, ooninne Xoossaa sinthan ceeqettanaw bessenna. 
1CO.1.30	Shin Xoossay hinttenttussi Kiristtoosi Yesuusa de7uwaa udi immeedda. Kiristtoosi nuussi aadho eratethaa, xillotethaa, geeshshatethaanne atotethaa gideedda. 
1CO.1.31	Hewaa diraw, Xoossaa Maxaafay,
1CO.1.31	<<Ceeqettiyaa uray
1CO.1.31	ooninne Goday ootheeddawaan ceeqetto>>
1CO.1.31	yaagee. 
1CO.2.1	Taanaadan ammaniyaawanttoo, taani Xoossaa tumatethaa xuuraa 
1CO.2.2	Ayissi gooppe, taani hinttenttunna de7aadde, Yesuusi Kiristtoosappenne qassi masqqaliyaa bolla misimaariyan dhishettiide I kaqetteeddawaappe attin, harabaa erennaadan, ta qofaa qachchaaddi. 
1CO.2.3	Taani daaburaaninne yashshaan daro kokkorssaan hinttenttunna de7aaddi. 
1CO.2.4	Taani tamaarissiyaawaanne odiyaawaa Xoossaa Ayyaanaaninne wolqqaan qonccissayppe attin, ciimma gidiide aadhdheedda eratethaa qaalaana gidenna. 
1CO.2.5	Hewaa diraw, hintte ammanuu Xoossaa wolqqaanappe attin, asaa aadho eratethaan zemppibeenna.
1CO.2.6	Nuuni ayyaanan wozanaamatuwaa giddon aadho eratethaa hasayeetto. Shin hewekka ha alamiyaa aadho eratethaa gidenna; woy ha alamiyaa mooddiyaa dhayiyaawanttu aadho eratethaa gidenna. 
1CO.2.7	Shin nuuni odiyaa aadho eratethay, Xoossay kasetiide, cora wodiyaappe kase nu bonchchuwaassi dooreedda asaappe geemmeedda A xuuraa aadho eratethaa. 
1CO.2.8	Ha alamiyaa mooddiyaawanttuppe ooninne ha aadho eratethaa eribeenna. Unttunttu ereeddawaa gidintto, bonchcho Godaa masqqaliyaa bolla misimaariyan dhishiide kaqqikkino. 
1CO.2.9	Shin Xoossaa Maxaafay,
1CO.2.9	<<Ooninne ayfiyaan be7ibeennawe,
1CO.2.9	haythankka sisibeennawe,
1CO.2.9	qassi ooninne bare wozanaan qoppibeennawe
1CO.2.9	Xoossay barena siiqiyaawanttussi giigisseeddawaa>>
1CO.2.9	giyaawaadan nuuni hasayeetto. 
1CO.2.10	Xoossay bare xuura yewuwaa bare Ayyaanaan nuuna erisseedda; ayissi gooppe, Geeshsha Ayyaanay Xoossaabaa haray atto geemmeedda yewuwaa ubbaa biddee. 
1CO.2.11	Ayissi gooppe, asaan de7iyaa asaa ayyaanaappe attin, asaabaa eriyaawe oonee? Hawaadankka, qassi Xoossaabaa Xoossaa Ayyaanaappe attin, ooninne erenna. 
1CO.2.12	Nuuni Xoossay nuussi immeeddabaa ubbaa eranaw I nuussi yeddeedda Ayyaanaa akkeeddoppe attin, alamiyaa ayyaanaa akkibeykko.
1CO.2.13	Nuuni ayyaanaa yewuwaa 
1CO.2.14	Shin Geeshsha Ayyaanay baynna asay Xoossaa Ayyaanaa yewuwaa akkenna; ayissi gooppe, hewe aw eeyatethaa. Yewuu Geeshsha Ayyaanan paacettiyaa diraw, I eranaw danddayenna. 
1CO.2.15	Shin Geeshsha Ayyaanay de7iyaa asay ubbabaa shaakkee; shin I bare huuphew oonaninne shaakettenna. 
1CO.2.16	Ayissi gooppe, Xoossaa maxaafay,
1CO.2.16	<<Godaa wozanaa eriyaawe oonee?
1CO.2.16	A zoranaw danddayiyaawe oonee?>>
1CO.2.16	yaagee. Shin nuussi Kiristtoosa wozanay de7ee. 
1CO.3.1	Taanaadan ammaniyaawanttoo, taani Geeshsha Ayyaanay de7iyaa asaassi haasayiyaawaadan, hinttenttussi haasayanaw danddayabeykke. Shin ha alamiyaa asaassi haasayiyaawaadaaninne ammanuwan minnibeenna Kiristtoosan de7iyaa guutha naanaa mala asaassi haasayiyaawaadan haasayaaddi. 
