MAT.1.1	Isua Krista akhuk Ama hi David a sapa, Abraham a sapa. 
GAL.2.15	Ani koini hi Juda anzir ke na ni, tenchu “Jentail asiat,” chu ni makme ei anpai u anga. 
GAL.2.16	Ten na riat mi hi adik ei ni thei hi Isua Krista a iama ke; Danin ei zong nei zina ni mak. Koinim ni rase, Krista Isua nei iam Pathian le nei dikna ranga Krista iama Dan ankhipa athona ni mak. Tute Dan azina Pathian kom adik om mak. 
GAL.2.17	Isua Kristana adik anlo rang na val han koinim asiat na ni ten, Krista hi asia sin ei tho mo? He e, nimak! 
GAL.2.18	Kei masiat ngai ka sin ret ten anchai keng ka ni ti kei anriat mei keng. 
GAL.2.19	Dan ruia chu koi chu ka thi zei, Dan lenin ei that Pathian tianga kei damna rang, Krista bila krosa ka thi zei. 
GAL.2.20	Koi ha ni lai mak adam, tenchu Krista koia adam. Atuna kei dam hi iama kei dam Pathian Sapana, anan dita ka rang ei damna aphal. 
GAL.2.21	Pathian lungkham aheng rang zot makung. Tenchu Dana mi hi Pathian le anngoi aniten, Krista ei thi hi akorong.
GAL.3.1	Nangni Galatia na achang ngai! Tumo chong ana thuang u? Na mit mu u ngeta Isua Krista ha Krosa ei antar. 
GAL.3.2	Hiva khat hi na ril uta! Dan ei nang atho na mo Pathian Ratha nei chang u ole thangahui ariata a iama mo? 
GAL.3.3	Ichangamo achan nei chang u! Na ranak le asua rang nei ti u. Pathian Ratha hena nimak mo nei phut u? 
GAL.3.4	Nei riat u ngai ha akorong mo? Hongmo khat chu ani! 
GAL.3.5	Pathianin Ratha ei na pek u sika boidong sin ei tho hatuka Dan nei zi u sika ole thangahui nei riata nei zi u sika mo?
GAL.3.6	Abraham ha mandon u ta Pathian chongin ei ti anga, “Pathian ei iam hatuka iamna sika Pathianin mi anthiang anga apom.” 
GAL.3.7	Hasik han Abraham akhuk ngai tatak chu aiam ngai ke. 
GAL.3.8	Pathian chongin alei ril Pathianin Jentail ngai le ei anngoi rang chu iama ke. Hasik han Pathian chongin Abraham akoma thangahui ei ril: “Nanga mi dora borsang tung inti.” 
GAL.3.9	Abrahamin a iama borsang atung hantin han a iam dora chu borsang atung ama anga.
GAL.3.10	Dan thuaia anbetok ngai chu khomaka om; asik chu Pathian chongin ei ti anga, “Dan anziak dora tel lui chu Pathian khomak thuai om!” 
GAL.3.11	Atun chu anthiang phat Dana tute, Pathian le anngoi thei mak; asik chu Pathian chongin ei ti, “Iamna le Pathian anngoi pui ngai rong ke adam rang.” 
GAL.3.12	Hasik han, “Danin iamna le ite ei tho rang om mak, hava ngai anga athopu chunga han dam inti ke,” ei ti. 
GAL.3.13	Tenchu koini na rang khomak atunga Kristan ha khomak atunga Dan ata ana ratan; asik chu Pathian chongin ei ti, “Thinga anthoi tak chu Pathian khomak atung.” 
GAL.3.14	Kristan hiva hi ei tho, borsang, Pathianin Abraham koma ei tin ha Jentail ngai kom ei anpek theina ranga Krista Isuana, iama Ratha nei chang theina rang Pathian chongtin.
GAL.3.15	Ka lom ngai, anikhuana rui le ankhina tho ka ti; rui khata mi anni azota a maziak u zei tuten manchai thei mak, sap thei mak. 
GAL.3.16	Atun chu Pathianin Abraham kom le akhuk ngai kom chong atina. Pathian chongin “atampa” timak tenchu “angkhat,” hava ha Krista. 
GAL.3.17	Kei ti zot chu Pathianin Abraham akom chong atina arung. Ha Dan kum raza manli somanthum suale anpek ha chai thei maka Pathian chongtin siat thei mak. 
GAL.3.18	Asik chu Pathian pek ha Dana anbetok aniten, chongtina anbetok ni lai mak. Tenchu achongtin sika ke ha pek ha Abraham akom ei pek. 
GAL.3.19	Hanle ha Dan ha imo asik? Hava ha ansap asia asa mu theina rang, hatuka hava ha Abraham akhuk ahong tenpei ei diar rang ha chong ei tin pu kom han. Ha Dan ha vanpalai ngai amanga palai kuta anpek ei ni. 
GAL.3.20	Tenchu palai nang maka mi khat anchel ten; hava ha Pathian chu angkhat.
GAL.3.21	Hanle Dan hi Pathian chongtin adui mo? Ni mak ni thakma! Min Dan hi damna ranga ei man nisela ha Dan atela mi dora Pathian le anngoi zei ni. 
GAL.3.22	Tenchu Pathian chongin ramual dora pap thuaia ke ati; hasik han achongtin, ha pek ha a iama ke Krista a iam ngai ranga.
GAL.3.23	Tenchu iamna ani man han Danin lungina ankhum anga anakhum iam ahong anlang man tenpei. 
GAL.3.24	Hasik han Dan ha anasur ei ni Isua hong man kar iama Pathian le nei anngoi theina rang. 
GAL.3.25	Atun chu iamna hun ani zeia Danin ei na ruai ni lai mak.
GAL.3.26	Iamna na na loma Pathian nai ngai nei ni Krista Isua na. 
GAL.3.27	Kristana baptisma achang dora chu Kristana anthuam na ni u zei, ataktaka chu Krista damna hake ani zei. 
GAL.3.28	Hasik han Juda Jentail ite ei anteina om lai mak suak ankhit le azok, nupang pasal nangni hi nei dam u na Krista na munkhat. 
GAL.3.29	Krista ta na niten Abraham akhuk na ni hatuka Pathianin chong ei tin ha manin na ti. 
GAL.4.1	Tenchu a naipasal a pa donglua aman rang ha suak anga anmang naipang ala ni kar chu aloma a puma aninam. 
GAL.4.2	Naipang ani lai mi anruai a om asin atho pe a om apa hun asuak man chu. 
GAL.4.3	Hantin anga han koinim ramual aruai ratha asuaka nei om rathana pui na ting man. 
GAL.4.4	Tenchu a zoro ahong akip le, Pathianin a Naipasal ahong tir, nupangin ei mazir naipasal anga ahonga Juda Dan thuaia, ahonga om. 
GAL.4.5	Dan thuaia a om ngai anratan ranga Pathian nai nei ni theina rang. 
GAL.4.6	A nai nei ni nei anriat theina rang Pathianin Ratha ahong tir a naipasal kom ata koini na malunga, ha Ratha ha, “Ka Pa, ka Pa” atina ankhek. 
GAL.4.7	Hasik han suak ni lai mak che nai ke na ni zei. Hasik han anai nei ni sika Pathianin anai ranga ei don chu pe inti.
GAL.4.8	Machin chu Pathian re u mak che, hasik han Pathian nok ngai suak nei ni u. 
GAL.4.9	Atun chu Pathian na riat u zeia hano atun chu Pathianin ana riat u zeia hontinmo ranak abui le lungkham aruai ratha ngai tiang nei anhoi ret u. Amani suak rang achang nei zot ret u. 
GAL.4.10	Hoho nikhua, tha, hun, kum achan na mandang u. 
GAL.4.11	Nangni sika kan don! Ka sin tho akorong rang mo tak nangni tak chunga?
GAL.4.12	Ka lom ngai keina mathem u ani zei koi ka anga ni u ro, koi um nangni na anga ka om, ka malung manna ngal u mak che. 
GAL.4.13	Thangahui nangni kom ka ril lai han mankhita kei na siak anina. 
GAL.4.14	Tenchu ka tak nangni rang ansinna aninam ni rase elsel u mak che na heng u mak che, tenchu vanrama vanpalai nei pom u anga nana lei pom u na; Krista Isua anga nana lei pham u na. 
GAL.4.15	Achan na rai asan u na! I ang mo ni zei? Koiin tithei ka ti, na mit u kela asa ten na pe u na ti. 
GAL.4.16	Atun chu adik kei ril sika na raldui u mo ka ni zei?
GAL.4.17	Atei ngaiin achan ana pom u tenchu amalung derdin u samak. Amalunga ei zot u chu, ka kom ata nangni ana khai, hankeng amani malung vong anga nangnim nei don u rang. 
GAL.4.18	Derdin asa aniten achan anpoisak hi asa, hivantin hin umora adik, na bil u na ka om le rong ni mak. 
GAL.4.19	Ka nai madit ngai naiha puang anga ka duk ana nangni na sika Krista om nangni kom ansin maseng. 
GAL.4.20	Atun hin nangni bila om rang achan ka zot, mandon atei na chung u na kei raput na rang, nangni rang achan kan don.
GAL.4.21	Dan thuaia a om zot ngai na rakel u ka ti Danin imo ei ti na rangai u mo? 
GAL.4.22	Hintin ei ti Abrahamin naipasal anni anei a suak le angkhat a nungak le angkhat. 
GAL.4.23	Asuak le anai ha min zir anga anzir, tenchu a nungak tak le anai ha chu Pathian chongtin mara ke. 
GAL.4.24	Hiva ngai hi andangna khat ani; ha nupang anni ha chongtin anni a manlang. Ha suakle nai ha Hagar hava han Sinai tang chongtin akhin. 
GAL.4.25	Hagar han Sinai mual, Arabia ram aderdin hava ha atun taka Jerusalem khopui le ankhina ani zei, anai ngai le suak achanga ei om u ani na. 
GAL.4.26	Chungtianga Jerusalem chu suak ni mak hava ha koini na nu. 
GAL.4.27	Asik chu Pathian chongin ei ti, 
GAL.4.27	“Nang achingnu na rai mansan ro!
GAL.4.27	Raisanna mit rathi le ankhek ro nang naiha relui nu!
GAL.4.27	Nang nupang philchar nu nai nei ualin na ti
GAL.4.27	a ruatharin ei la mak ngal nok nupang neka.”
GAL.4.28	Atun chu nangni ka lom ngai Pathian nai na ni u Isak anga a chongtinna mara. 
GAL.4.29	Hava lai han nai anzir anga anzir han Pathian Rathana anzir ha apangsepa atun um hantin han. 
GAL.4.30	Tenchu Pathian chongin imo ei ti? Hintin hin ati, “Suak nu le anai ha manse ro; ha suak le nai han suak nok le nai bila apa donglua lua no ni.” 
GAL.4.31	Hasik han ka lom ngai suak le nai ni mak me tenchu atak le nai ke na ni.
GAL.5.1	Zokna ha nei man Krista han ana mazok! Hasik han a zok ngai anga ngir ro suak chang lai no ro.
GAL.5.2	Rangai ro! Koi Paulin kei na ril u ni zei vun at ranga na zot ten na rang Krista ha ite alam luana om mak. 
GAL.5.3	Hanuk voikhat kei rakok ret ani zei vun at ranga azot tak chu Dan dora atel rang anphal. 
GAL.5.4	Dan atela Pathian le anngoina val chu Krista ata ankhai hava ngai chu Pathian lungkham atual panga. 
GAL.5.5	Koinin nei sabei chu Pathianin ei nan ngoi pui rang; hava ha nei ngak Pathian Ratha ranak le nei iamna na sin thona. 
GAL.5.6	Krista le munkhat na niten vun an at mo, an at mak mo ei tei na ngal om mak; iama ke lungkhamna zara sin ei tho.
GAL.5.7	Nei tho u chachak ha asa ha le. Tumo adik atho ranga ana khar u? Hontinmo ei na khar u? 
GAL.5.8	Ha themna ha ana pai u Pathian koma ni mak. 
GAL.5.9	Chol alakten vaipol dora a manpuar. 
GAL.5.10	Malung atei anput ranga chu Pumana na iam u making, anan siat u chu atak chunga ruirilna chu la chul inti.
GAL.5.11	Ten koi chu, ka lom ngai, vun at hi anang atina kei la ril bang aniten hanle imo ansin saka kei om? Hava ngai ha adik ten Kros rui kei rilin manpon no ni. 
GAL.5.12	Na takansi u ngai mi bang u rase; tho bang u rase atheia lan heng unti.
GAL.5.13	Tenchu ka lom ngai nangni chu a zok ranga ankui na ni u, tenchu ha zokna ha na taksa ei zot athona ranga zokna manni u no ro. Ten lungkham le anbol ansiat u ro. 
GAL.5.14	Asik chu Dan dora hi chongpeka ansung ke, “Na inkol mi nang na anga adit ro.” 
GAL.5.15	Tenchu rama me anga na om ten na zema na duk nanna ten anrung u ro siat u na ti.
GAL.5.16	Hiva hi kei ti, Rathan na ruai u rase; hankeng na miring zotna nei tho nok rang. 
GAL.5.17	Na miring ninan ei zot ha Rathan ei zot nok; Rathan ei zot ha taksan ei zot nok. Hava anni ngai ha andui, hasik han nei zot tak tho thei mak che. 
GAL.5.18	Rathan ana maruai ten Dana a om ni mak che.
GAL.5.19	Miring kanun ata chu anthianga; hiva ngai hin anlanga, andit, annim, hurna, 
GAL.5.20	ramil abiak, doia thei, anvang, ansual; khamaret, taksit, ankhal, abinga om, abinga iam. 
GAL.5.21	Manar, anrina, zubual raisanna atei ala tho hiva ngai hi, machina anga atun um keina rakok u; hivantina a om ngai chu Pathian ram lua u no ni.
GAL.5.22	Ten Rathan ei mazir chu anditna, raisanna, phukadaina, phukanchualna, lungkhamna, satna, iamruana, 
GAL.5.23	annuaina, anrung thei hiva ngai neka dan om lai mak. 
GAL.5.24	Hasik han Krista ta ngai doran chu hiva a miring zot dan le aningolna ngai athat kiar zei. 
GAL.5.25	Ratha han damna ana pek sua zei; hasik han ei na ruai rang um ei ni. 
GAL.5.26	Nei anliana, taksitna, khamaret nei antho nok rang.
GAL.6.1	Ka lom ngai, mi asiat atho lai tak ansurten ratha mi ngaiin ansa retna tho rase; ten annuaia tho rase. Hatuka nang um anrung ro, nang ham anthem ta ni. 
GAL.6.2	Na puak u ngai ansan ansiat u ro, hantin han Krista riti tel u na ti. 
GAL.6.3	Ite ni luia mi lian ka ni na ti ten na theia anhuang ke na ni. 
GAL.6.4	Na theia na om u ha anzek u ro. Asa ten nanlian thei imo nei tho ha, mitei ei tho le ankhi luia. 
GAL.6.5	Na theia na puak pel chip u ro.
GAL.6.6	Pathian chong anril na ni ten, ananchupu lehan aloma asa dora anril u ro.
GAL.6.7	Na theia anhuang no ro; tuten Pathian huang thei mak. Nei ling tak ha at na ti. 
GAL.6.8	Nang nei zot anga na ling ten, havan ata athina at na ti; Ratha phaia na ling ten, hava Ratha ata taituan damna atin na ti. 
GAL.6.9	Hasik han asa tho ranga mahuat u no rei; na mak rak nok ten, ahun la hong inti hatika la at inti. 
GAL.6.10	Hasik han her na mantik pei mi rang asa nei tho rang hatuka antei vinga iamnana na inko mi ngai koma.
GAL.6.11	En u ta anziak alian pangai nangni rang ka kut le ka maziaka. 
GAL.6.12	Vun at therkhakhaka ana ti u ngai chu pang tiang ruia anmu zot ngai ke. Ei tho u ha Krista Kros sika duk ei teng u nokna rang. 
GAL.6.13	Vun at amang ngai len ha Dan zi u mak; nangni ha vun at u rase ana ti u amani han taksa ruia aser khukha nei tho u rila anlian u thei hava ha ei val u. 
GAL.6.14	Ten koi chu Kros rui rong ha anlian pui ka ti; ama Kros zara ramual chu ka rang athi ke, hatuka koi hi ramual ranga ka thi. 
GAL.6.15	Vun an at mo atmak mo ite nimak; tenchu athar ansin hi ke. 
GAL.6.16	Hiva riti azi ngai rang phukdaina le lungkhamna om rase hatuka Pathian mi ngai dora koma.
GAL.6.17	Ei hekna na: Tuten na manpon lai no rase, asik chu ka tak chunga duk ngaiin Isua andangna ei raput sika hin.
GAL.6.18	Puma Isua Krista lungkhamna na lom u kom om rase, ka lom ngai. Amen.
EPH.1.1	Paul Pathian zota Krista Isua zolai akoma 
EPH.1.1	Ephesina Pathian mi ngai Krista Isuana a iamrua ngai kom;
EPH.1.2	Pathian koini na Pa le Puma Isua Kristan alungkham le phukdaina na pe u rase.
EPH.1.3	Tho Pathian le Puma Isua Krista a Pa kom raisanna ril u rei! Krista zara ratha borsang dora ana pek van ramuala. 
EPH.1.4	Ramual ansin man, Pathianin ei na thang sua ke Isua Krista zara, amatona anthiang le masial abui ranga, asik chu ei na dit ani na. 
EPH.1.5	Pathianin ei masat sua Isua zara anai ngai ei na manni rang hiva hi ahuia ei riat le ei derdin. 
EPH.1.6	Tho Pathian manpak u rei alungkham ei lian sik hin manbui peka anai madit ei na pek hi. 
EPH.1.7	Asik chu Krista thisena koinin zokna nei man, hava ha, na pap ngai ei andual. Pathian lungkham hi itukmo ei lian. 
EPH.1.8	Hava ha koini rang aliana ei na pek! Ei hianna dora le riatna le. 
EPH.1.9	Pathianin ei derdin ha ei tho sua, hatuka ei na manriat ha a derdin anthup ha aman ei masat sua Isua Krista zara. 
EPH.1.10	Hiva derdin hi Pathianin suanti a hun ani tik ansin dora munkhata asiaka anvan le phil chunga hatuka Krista alu khita.
EPH.1.11	Aloma Pathian mansuk ang le ei masat ang ke ei ni; hatuka Kristana koini ngai ei na thang ama ami ngai ranga asik chu ama derdin sika aphut len ata aman imo ei masat anga. 
EPH.1.12	Tho hanoten Kristana ansabei mansa ngai chu Pathian lianna manpak u rei!
EPH.1.13	Nang um Pathian mi ke nei hong ni; Pathian chong adik na riat tik chu, ha thangahui sandamna ana honga pek. Krista iam ro hatuka Pathianin ama silmor apuma nina na zem inti, ha Ratha Anthiang ei na pek aman chong ei tin ha. 
EPH.1.14	Ha Ratha ha chongdetna koinin Pathian chongtin ha nei man rang atina ami ngai ranga chongtin, hatuka hiva ngai hi aiam ngetna ani Pathianin zokna pe inti ama mi ngai chu. Tho ama lianna manpak u rei!
EPH.1.15	Hiva sik hin, Puma Isua nei iam u Pathian mi ngai nei adit u, 
EPH.1.16	hasik han nangni sika Pathian koma raisan chong aril bang makung ka borzonga na mangil u makung, 
EPH.1.17	hatuka koini na Puma Isua Krista a Pathian ha Pa lian han na man hian u na Pathian na manmu u rase, nei riat u theina ranga. 
EPH.1.18	Na malung u anlong rase atia ka zong a ra-ang nei mu u theina rang, ha sabei ha nei riat theina rang ei na paina asik ha itukmo tichang ei buia borsang ngai ami ngai ranga a chongtin. 
EPH.1.19	Hatuka itukmo ranak ei nei koini tak chunga sin ei antho aiam ngai kom. Tho theina ha ranak anei ang keng ei anrual. 
EPH.1.20	Hava ha ei mang Krista athi ata amathui lai han hatuka achang tiang aman suta van ramuala. 
EPH.1.21	Krista ha amana rui aril ngai lima aliankhit, chongneina, thotheina le Puma ani; a nina ha nina ngai dora ranga ansangkhit hi ramuala le, ramual ala hong ranga le. 
EPH.1.22	Pathianin Krista ke thuaia aloma asiak hatuka kuibing ngai kom Puma ansangkhita apek alompei chunga. 
EPH.1.23	Kuibing ngai hi Krista taksa, alompeia ei mansuana ansua muntina.
EPH.2.1	Machin chu rathana athi na ni hetel lui le pap sika. 
EPH.2.2	Hava lai han ramual siatna tiang nei ro; ratha ranak tiang nei ro; ratha ranak ha thinthina ha nei zi, ha ratha atuna Pathian tel lui ngai asur. 
EPH.2.3	Ataka chu amani ang nei ni na piangpui ei zot nei zi, taksan ei zot ang nei zi hatuka na malungin ei zot ang, nei anzirpui anga chu amani ang na ni, Pathian taksitna atiar rang nei ni.
EPH.2.4	Ten Pathian lungkham chu itukmo ei tam hatuka itukmo ei na ditna ei lian. 
EPH.2.5	Rathana na thi lai tak han he nei tel nok sika aman Krista zara damna ana pek. Pathian lungkham sika ke zokna nei man. 
EPH.2.6	Krista Isuana han ei na mathui abila rui aril ranga anvan ramuala. 
EPH.2.7	Hiva ei tho hi hun aleia hong zel ranga hin Krista Isuana koini na chunga itukmo lungkham ei na muna ei tam Krista Isuana hava ha ei na manmu. 
EPH.2.8	Pathian lungkham ha nei iam hatuka zokna nei man. Kalvarina sim han nei iamna ei van chuan. 
EPH.2.9	Lungkham sika nang hi iama nei zok; nang na theia nei suana mara ni mak, tenchu Pathian pek ke, tuten ei anlianpui nokna rang. 
EPH.2.10	Pathian sika ke imo nei ni hi, Krista Isuana asa tho ranga ansina nei om, Pathianin atho ranga ei na lei sin pe.
EPH.2.11	Nangni Jentaila anzir “vun at lui” atia anpai ngai Judan ei pei ngai “vun a at” ngaiin (min taksana imo ei tho) machin imo nei ni u ha re u ro. 
EPH.2.12	Hava lai han Krista ata mitei na ni u. Khual na ni u, Pathianin ei athang ngai ni u mak che. Chongtina han anchel u mak che, Pathianin ami ngai rang ei mansuk achongtin sabei rui abuia hi ramuala nei om, Pathian abuia nei om. 
EPH.2.13	Ten atun nang Krista Isua ata ala na a om chachak ha, akola, Krista thisena ana hong tuang zei. 
EPH.2.14	Krista apum lenin phukdaina ahong koi Jentail le Juda, mi khata asina. Ama taksa le. Ha bang ha ama siat asen chachak ha hatuka ralduia asin ha. 
EPH.2.15	Juda Dan le chongpek le dan ama siata, chinni ata angkhata asin ranga ama le munkhata hintin hin anngoina sina. 
EPH.2.16	Krosa, ei thina le Kristan araldui nina ama siat; Krosa chinni ei malopa taksa munkhat asina Pathian tiang ei hong ruai ret. 
EPH.2.17	Hasik han Isua Krista ahonga mi dora kom thangahui anngoina ahong ril, nangni Jentail Pathian ata ala na ngai le nangni Juda ngai akola om ngai. 
EPH.2.18	Kristana ke na loma Juda le Jentail Ratha munkhata nei hong theina Pathian matona.
EPH.2.19	Hasik han nangni Jentail ngai ram atei mi mo, khual mo ni ulai mak che; atun nangni hi Pathian mi ngai le munkhat hatuka Pathian insungko mi. 
EPH.2.20	Nangnim lungphum zolai ngai le deari ngaiin ei sin le ansin na ni u, ha akila lung ha Isua Krista apum len ha ani. 
EPH.2.21	In asur ha ama hake hatuka munkhata biakin anthiang amanson Puma ranga andar. 
EPH.2.22	Ama le nang um munkhata ansin na ni atei ngai dora le mun angkhata hava han Pathianin a Ratha le ei om.
EPH.3.1	Hiva sik hin, koi Paul Krista Isua sika anok nangni Jentail ngai rang Pathian kom bor azong. 
EPH.3.2	Re nget u zei na ti Pathianin a lungkham sika hiva sin hi ei na mantho nangni satna rang. 
EPH.3.3	Pathianin asin mansuk maruk ha ana manmuna. Hava rui ha akipa ka maziak sua zei, 
EPH.3.4	imo kei maziak ha na en u ten re thei u na ti ha maruk ha itukmo kei riat ani zei Krista rui. 
EPH.3.5	Machin hiva chong maruk hi miring kom anril mak, ten atun chu Pathianin a zolai le deari ngai amanga a manlang. 
EPH.3.6	Ha chong maruk chu Jentail ngaiin Juda ngai le anlop thei Pathian borsanga; ha taksa munkhata mi ani u hatuka Pathian chongtina changai anei Krista Isuana. 
EPH.3.7	Koi hi thangahui suak kei chang Pathian pek le, hava ha a sinthotheina le ei na pek. 
EPH.3.8	Pathian mi ngai asinkhit bila koi hi asinkhit. Hanum ni rase koi hi Jentail ngai ranga thangahui arilna her ana pek hanuk Krista nei zia, 
EPH.3.9	le Pathian tho a maruk chong ha sina ei anthona rang. Pathianin alompeia asin kiar han achong maruk ha athup tianlaia hun ngai han. 
EPH.3.10+EPH.3.11	Hatuka koini na Puma Krista Isuana ei tho zot chu, a umor mansuk anga, atun hin anvan muna anlalna le chongneina ngai kom Pathian hianna dora kuibing ngai sika anriata om thei inti. 
EPH.3.12	Kristana le nei iamna na angamna na don Pathian matona ase ranga ngamna dora le. 
EPH.3.13	Na boi andong nok ranga ka na mathem u nangni sika duk kei tiar hin; nangni nei lok u na rang keng.
EPH.3.14	Hiva sik hin Pa matona mankhuk abila kei om, 
EPH.3.15	inkotin akom ata raming adik ei man anvana le phila. 
EPH.3.16	Pathian kom ei lianna nei ata kei zong thotheina ana pek u ranga a Ratha le na sung rila ranak nei don u theina rang, 
EPH.3.17	hatuka iama bor kei zong Kristan na malung sung u na ama in ei sinna rang. Bor kei zong na razung u le na lungphum u lungkhamna na ni rase. 
EPH.3.18	Hatuka lokona Pathian mi ngai doran ariat theina ranak don theina rang itukmo ei lian, itukmo ei sei, itukmo ei ansang, itukmo ei anthuk, Krista lungkham hi. 
EPH.3.19	Ani, hong rethei u na ti alungkhamna aloma na riat thei kiar nokam hasik han Pathian kanun le bit u ro.
EPH.3.20	Hatuka koini koma sin atho chachak a sinthotheina anga nei zong le nei mandon dora neka atho thei kom han, 
EPH.3.21	umor tenpei a kuibing ngai kom le Krista Isua kom umor anlianna om rase, Amen.
EPH.4.1	Koi Puma dorbondom sika lungina a om han keina mathem u; Pathian ei na kui u anga a om ranga han. 
EPH.4.2	Ten umora annuaia, annem ro, diar ro. Anloppuia, na lungkhamna manmu ro. 
EPH.4.3	Nei tho thei dor pei athona munkhat changna en u ro phukdaina na Rathan ei na pek hava han munkhata ei na khit. 
EPH.4.4	Ratha angkhat le taksa angkhat ei om sabei rua angkhat ei omna Pathianin ei na pai anga. 
EPH.4.5	Puma angkhat, iamna angkhat, baptisma angkhat a om. 
EPH.4.6	Pathian angkhat hatuka Pa mi dora ranga, ama ha alompeia apuma aloma ei thona ama ha aloma ei omna.
EPH.4.7	Na rang chipa nei man khat chu a om Krista changai ata nei man. 
EPH.4.8	Pathian chongin ei ti anga: 
EPH.4.8	“Chung ansangkhita ase lai han,
EPH.4.8	Ansur ngai chu abila aruaia;
EPH.4.8	Miring kom um pek rua apeka.”
EPH.4.9	Atun, chu “chunga ase” itinamo? Mansana phila annuai khita ahong. 
EPH.4.10	Hasik han ahonga chumpu den ha chunga ase vanram sontiang varal ramual dora ama le ei bitna rang. 
EPH.4.11	Ama keng “mi ngai pek rua apek,” asen a zolai ranga athang, atei deari ranga, asen thangahui aril rang, atei Pastor rang le minchu rang. 
EPH.4.12	Hiva ei tho hi Pathian mi ngai Pathian sin atho ranga ei sin Krista taksa asin ranga. 
EPH.4.13	Hasik han na loma angkhata nei hong rang nei iamna na hatuka Pathian Sapa nei riatna na; mipuiting nei hongni rang Krista dung ava phana. 
EPH.4.14	Hatuka naipang anga omlai no mani tiduarin ana choia, thinthin ana zuangpuia, mi huang ngaiin mi ei manchu anga, mi siatna tiang aruai u na ei thei u na le. 
EPH.4.15	Hantin ni luia chong dika achonga lungkham ratha le lampui tina Krista tiang nei anson rang, asik chu ama ha alu ani na. 
EPH.4.16	Ama maruaia na taksa dora munkhata ei kopna tak dora hi anzom le munkhat ei changa hava lehan ei anzon. Hasik han bak atatei ei tho rang athon ke na taksa ei anson hatuka hantin han atheia lungkhama ei ansin. 
EPH.4.17	Puma raminga keina rakok u; iam lui ngai anga om u lai no ro, ei mandon u ngai akorong, 
EPH.4.18	hatuka amalung u azing kara. Pathianin damna ei peka anchel u mak amo u la re u lui. 
EPH.4.19	Anzakna don thak u mak hurna na anpek u na hatuka asanok dora tel thak luia ei tho u.
EPH.4.20	Hava ha ni mak Krista rui nei anchu! 
EPH.4.21	Arui na riat nget zei, azi ngai anga dik, Isua koma a om nan chu zei. 
EPH.4.22	Hasik han na om marua u ata ankhai u ro machina nei om u anga anan om u ha, om marua ana huang zot anan siat u ha. 
EPH.4.23	Na malung u le nei mandon u ei thar nget rang anang, 
EPH.4.24	hatuka om athar le anliang u ro, Pathian aphua zeka ansin ha hatuka atheia ahong anlang damna dika asa le anthianga. 
EPH.4.25	Hasik han milak om lai mak! Na lom u na chongtak nei ril u rang a iam atei ngai kom, asik chu na loma Kristana munkhat ke na ni. 
EPH.4.26	Na takasi nam pap na mantho no rase. Hatuka sun sot na taksi no rase. 
EPH.4.27	Diabol her pe no ro. 
EPH.4.28	Anru chachak na niten anru lai no tan sin tho ro lalchi ruaia adama anriang ngai nei san theina rang. 
EPH.4.29	Chong ana mang no ro, amang rua chong mang ro, anasin thei, anang anazon thei, anariat ngai ei sapuina ranga. 
EPH.4.30	Pathian, Ratha Anthiang man nuar no ro; asik chu Ratha hi Pathian apuma ei nina andangna nang na kom, nikhat la hong inti havatika Pathianin na la mazok inti. 
EPH.4.31	Akhana, taksa zotna, taksitna ata ankhai ro. Ankhek, siat aril om lai no rase, anmumakna le asiat om lai no rase. 
EPH.4.32	Hanekten, andita lungkham anmu na andual ansiata om u ro, Pathianin Kristana ei na madual u anga. 
EPH.5.1	Pathian nai madit nei ni u sika ama anga anina tho nget u ro. 
EPH.5.2	Nei damna lungkhamin sur rase, Kristan ei na dita koini rang ei thi marim ahui dali andar anga Pathian malung ei zot anga ni u ro. 
EPH.5.3	Pathian nai ngai nei ni u sika hurna, asanok rui, huatanham rui, aril na kar u na om u no ro. 
EPH.5.4	Anzakna rui, chong korong, bizela hava ngai ha anhui mak. Hanekten Pathian kom raisanna ril u ro. 
EPH.5.5	Re sadim u ro, andit, annim, huatanham, (huatanham hi ramil abiak khat ani) hiva ngaiin ite chang u no ni Krista le Pathian reng changna na.
EPH.5.6	Chong korong le tuten na huang u no rase; hiva ngai sika Pathian taksitna hong inti atel nok ngai kom. 
EPH.5.7	Hi ang mi ngai le chu ite tho u no ro. 
EPH.5.8	Machin chu nangni ha azing kara om na ni u na, ten atun chu Pathian mi na ni u na ra-anga om ke na ni u zei, hasik han ra-ang mi ngai anga om u ro. 
EPH.5.9	Asik chu Ratha mara ngai chu satna dora dikna dora le chongtak dora ei hong anlang ani na. 
EPH.5.10	Pathian malung do anchu ro. 
EPH.5.11	Min akorong ei tho ngai anga ite tho u no ro azing kara ngai anga. Hanekten ra-anga hong masuak u ro. 
EPH.5.12	Maruka ei tho u ngai hi aril ngal anzakna om. 
EPH.5.13	Ra-anga ahong anlang kiar suale chu a nundan u tatak anlang; 
EPH.5.14	asadima anlang tak chu ra-ang ke ei chang, hasik han ei anti:
EPH.5.14	“A in ngai anthui u ro,
EPH.5.14	hatuka athi ata anding ro.
EPH.5.14	Kristan na chunga el inti.”
EPH.5.15	Hasik han anreng ro hontinmo nei om. A mo ngai anga om no tan, ahian ngai anga om ro. 
EPH.5.16	Her nei man dora adika mang ro asik chu nikhua ngai hi samak. 
