MAT.1.1	Yeisu Keliso ana laoma bwaite besiele, Yeisu Keliso iya Deibida tubuna, Deibida iya Abelamo tubuna. 
JHN.15.19	Na tem komiu kwamiyamiya ali bodane kalona mena tomo yanuwa yaulina mena kani simulolo kolimiu yakato komiu ali bodao. Na iyamo nigele, komiu nige ali boda kaiwena yakele-yawatagilagimiu ali bodane luwana mena. Bwaite kaiwena mwa sikalomagigi-lagimiu. 
JHN.15.20	Tawae yawalowegiliko kolimiu yagu walone kwanuwatu-kalatagili, topaisowa nige ilalalaki kabo ana taubala. Mwa tem siyakamkamnayau kani tabe besiele siyakamkamnamiu. Na tem yagu walo siobigaili kani ami walo siobigaili besiele. 
JHN.15.21	Yau kaiwegu mumugali bwaite kani sipaisowai kolimiu kaiwena komiu yagu bodao, na tabe kaiwena kagu toyawasa nige sikakatai. 
JHN.15.22	Tem nige yalaoma yawawalo kolili kani nige siyayatala ali pwanoli kaiwena. Na nigele, yalaomako kolili yawalo mwa koina nige sowasowana ali pwanoli kaiwena siwalo-vivila. 
JHN.15.23	Yaiya tem isikotanagau tabe besiele Tamagu isikotanan. 
JHN.15.24	Baguna nige yakewa yabo imiyamiya tomo ali pwanoli kaiweli kaiwena naga yalalaoma. Muli mena yalaoma yo ginauli kaba nuwapwanopwano tupwali yapaisowaili, paisowane nige sauga yabo tomo yabo ipapaisowai. Yagu paisowane sigitai na iyamo nige simemeli-yagau, yau yo Tamagu sikalomagigi-lagimai. Mwa kaiwena yawalo yakato kani yatala silobai ali pwanoli kaiwena. 
JHN.15.25	Na iyawatagili koliyau bwaite besiele mesabana ali Buki Tabu ana walo iyamala yawasosi iwaloba, ‘Ali kalomagigi-lagaune nige yaina.’ 
JHN.15.26	Kami Tosagu kani ilaomaya Tamagu koina. Iya Yaluyaluwa Tabuna yo towalo yawasosi. Kani yayawasayawa kolimiu na iwalo-masala kaiwegu. 
JHN.15.27	Tabe komiu besiele kani kwawalo-masala kaiwegu, kaiwena saugana paisowa yayatubu komiu mekaukavao.”
JHN.16.1	Yeisu iwaloyoi iba, “Walone bwaite kabona yawalowegili kolimiu mesabana ikabi-yakaiwemiu na tabu woya ilalaowa kolimiu na kwalolosuwala. 
JHN.16.2	Sauga muliya kani siwalo kwayawatagili ali nume tapwalolo kolili na nige sowasowana mekamikavao kwatapwalolo. Tabe sauga ilalaoma tem tomo iunuimiu kani ibatoko yakato Yaubada ana paisowa igiginauli. 
JHN.16.3	Paisowa besiele bwaitete kani siginauli kolimiu kaiwena nige sikakataiyau, besiele Tamagu nige sikakatai. 
JHN.16.4	Bwaite walone yawalo-baguna-yagili kolimiu kabo muli mena ginauline siyawatagili. Tem siyawatagili yagu walone kwanuwatu-kalatagili kaiwena yayanuwapeimiuko. Baguna walone bwaite nige yawawalowegili kolimiu kaiwena yau mekamikava.”
JHN.16.5	Yeisu iba, “Sauga bwaitete yalologabaegimiu na yalalauyoi kagu toyawasayauma koina. Na nige yabo kowa bwaite sauga kuneneli koliyau, ‘Toweya kulalau?’ 
JHN.16.6	Yagu walo kaiweli nuwamiu sipolowe lalakina. 
JHN.16.7	Yawalo yawasosi kolimiu, ami namwanamwa kaiwena yalologabaegimiu. Kaiwena tem nige yalalau kani kami Tosagu nige ilalaoma, mwa yalau na kami Tosagu yayawasayama kolimiu. 
JHN.16.8	Tem ilaoma kani ginauli yaiyona iyakenayagili tomo meuloili kolili, bwaimwa ali pwanoli, mumugana namwanamwana kana katai, yo ali yatala. 
JHN.16.9	Kani ali pwanoli iyakenayagili, kaiwena nige simemeli koliyau. 
JHN.16.10	Yo kani mumugana namwanamwana kana katai iyakenayagili, kaiwena yau yalalau Tamagu koina na kani nige wagigitaiyau yoi. 
JHN.16.11	Yo kani iyakenayagili yakato kani sauga muli mena iyatalayagili, kaiwena yanuwa yaulina kana toloina bwaimwa Seitani, iyatalayanako yo kana loina iwalowenako. 
JHN.16.12	Ginauli sibaibaiwa nuwanuwagu yawalowegili kolimiu na komiu nige sowasowamiu. 
JHN.16.13	Na saugana Yaluyaluwa Tabuna, bwaimwa towalo yawasosi, ilaoma kani ibaguna-yagimiu walo yawasosi koina. Kani nige iboma ana nuwatu mena iedeedede na kani iedeedede tawae ibenalan na ginauliline iyakenayagimiu tawae kani situbu manimiu mena. 
JHN.16.14	Ana nuwatu kani ikalaili koliyau na iyakenayagimiu na bwaine koina kani esagu ikeleisinan. 
JHN.16.15	Nuwatu meuloina Tamagu kaiwena yo yau tabe kaiwegu. Bwaite kaiwena yawaloba Yaluyaluwa Tabuna ana nuwatu kani ikalaili koliyau na iyakenayagimiu.”
JHN.16.16	Mwa Yeisu tabe iwalo kolili iba, “Sauga kubwakubwana koina kani nige wagigitaiyau na sauga kubwakubwana mulina mena kabo wagitaiyau.” 
JHN.16.17	Ana tobenaliyao tupwaliyao sibomayoi sienelineli-yagili siwaloba, “Na gubesi ana walone bwaite kana katai? Kaiwena iwalo yakato sauga kubwakubwana kani nige tagigitai na sauga kubwakubwana mulina mena kani tagitai. Tabe iwalo yakato yainane bwaimwa ilalau Tamana koina. 
JHN.16.18	Na bwaite walone, sauga kubwakubwana, tawae kana bui? Ana walone nige nuwala imamayaleyan.”
JHN.16.19	Yeisu ikatai ana tobenaliyao nuwanuwali sineliyan kabo iwalo kolili iwaloba, “Kabona yawalo yakato sauga kubwakubwana koina kani nige wagigitaiyau na sauga kubwakubwana mulina mena kabo wagitaiyau. Nuwana bwaite walone kaiwena kwabomayoi kwaenelineli-yagimiu, awa? 
JHN.16.20	Yawalo yawasosi kolimiu, kikiunamo kani nuwamiu sinae yo kwavalam koyasili kaiwegu na iyamo tomo yanuwa yaulina siya kagu tokalomagigili, kani siyaliyaya. Sauga kubwakubwana mulina mena kabo ami valam iyamala ami kaba yaliyaya. 
JHN.16.21	Tem saugana sine ana sauga kabi kani kamkamna lalakina ilobai. Na saugana tem melumelu ikabiyan iyawatagili kani ana kamkamna meuloina imwawasi na iyaliyaya kaiwena melumelu iyawatagilimako mayale mena. 
JHN.16.22	Besiele bwaite saugane koina kwanuwanae na sauga kubwakubwana koina kani wagitaiyau yoi na kwayaliyaya. Na ami yaliyayane nige sowasowana yabo ikele-gabaen kolimiu. 
JHN.16.23	Bwaine kaliyateliyaone kolili kani nige sowasowana ginauli yabo kwaneliyan koliyau. Yawalo yawasosi kolimiu, tem tawae wakawanoiyan esagu mena Tamagu kani iyeyawa kolimiu. 
JHN.16.24	Baguna yo kanasiga kabona nige ginauli yabo wakakawanoiyan esagu mena. Wakawanoi na kwalobai, na koina kwayaliyaya lalakina.”
JHN.16.25	Yeisu iwaloyoi iba, “Walo kobwaibwaili mena yaedeedede na sauga ilalaoma kani nige sowasowana walo kobwaibwaili mena yaedeedede kolimiu, kani yawalo dudulai kolimiu Tamagu kaiwena. 
JHN.16.26	Sauganane koina esagu mena kani wakawanoi. Nige yawawaloba yakato yau yakawanoi Tamagu koina kaiwemiu, 
JHN.16.27	kaiwena Tamagu iboma imulolo kolimiu. Imulolo kolimiu kaiwena kwamulolo koliyau yo kwameli yau yalaomaya koina. 
JHN.16.28	Yau Tamagu koina yalaoma yo yanuwa yaulina mena yamiyamiya, koina bwaite sauga yanuwa yaulina yalologabaeni na yapipileyoi Tamagu koina.”
JHN.16.29	Ana tobenaliyao walone bwaite sibenalan mwa siwalolau koina, siba, “Guyau, bwaite saugane kabo nuwamai simayale, kaiwena nige kuedeedede walo kobwaibwaili mena. 
JHN.16.30	Bwaite koina kakatai yawasosi yakato kowa ginauli meuloili ukwataili. Koina tabu kaneneliyagiwo kaiwena ama nuwatu meuloili ukwatailiko. Mwa bwaite saugane kameliyagiwo yakato kowa Yaubada koina kulaoma.” 
JHN.16.31	Yeisu iwalo kolili iba, “Kabo kwameliyagau, wa? 
JHN.16.32	Sauga iyaele ilalaoma yo iyawatagilimako meuloimiu kani kwasagena-gwaligwali kwalau ami dedei kaigeda kaigeda na yau kani kwalogabaegau yaboma. Na iyamo kani nige yaboma kaiwena yau Tamagu mekaukava. 
JHN.16.33	Nuwanuwagu kwamiya daumwali kaiwena kwamiyamiya koliyau, bwaite kaiwena mwa walone yawalowegili kolimiu. Sauga muli mena kani wakamkamna yanuwa yaulina mena. Na wakatepatu kaiwena yanuwa yaulina ana kaiwe yakaiwe-gabaenako.”
JHN.17.1	Yeisu ana walo bwaite iyemwawasi kabo manna isae bulibuli mena na iba, “Tamagu, sauga ilaomako na yau natum esagu ukeleisinan na mesabana yau tabe esam kani yakeleisinani. 
JHN.17.2	Kaiwena loina yo kaiwe kuyelima koliyau mwa tomo meuloili yaloinayagili na yau sowasowagu yawasi miyamiya yaina yaolena tomo meuloina siya analiyao kuyelima koliyau. 
JHN.17.3	Na yawasi miyayainane bwaite, mesabana sikatai yakato kowa Yaubada yawasosi, na tabe sikatai yau Yeisu Keliso kuyawasayauma. 
JHN.17.4	Esam yakeleisinanako yanuwa yaulina mena kaiwena paisowa kuyeyama yaemwawasi-yako. 
JHN.17.5	Tamagu nuwanuwagu yamiyamiya koliwo sauga bwaite. Nuwanuwagu esagu kuyawasawasa besiele ala wasawasa beyabeyana kowa te yau tamiyamiya muliya kabo yanuwa yaulina kuyamayale.”
JHN.17.6	Yeisu iwaloyoi iba, “Yayakenayagiwoko tomone kolili siya yanuwa yaulina mena ukwalaili na kuyelima. Siya am tomoyao yo kuyelima koliyau yo am walo siobigaili. 
JHN.17.7	Mwa sauga bwaite sikatai ginauli meuloina kuyelima koliyau silaomaya koliwo. 
JHN.17.8	Walone siya kuyelima koliyau yawalowegiliko kolili mwa walone sibenalagiliko yo kaiweli siyaliyaya, mwa sikawa-yawasosi yo sikatai yakato yau yalaomaya koliwo mwa simeli yakato kowa kuyawasayau. 
JHN.17.9	Yakawanoi kaiweli. Nige yakakawanoi tomo yanuwa yaulina kaiweli na siya kuyeyelimane kaiweli, kaiwena siya am tomoyao. 
JHN.17.10	Yagu tomo meuloina siya am tomoyao yo am tomoyao meuloili siya yagu tomoyao. Na siya mumugali mena esagu sikeleisinan. 
JHN.17.11	Bwaite sauga yalalaowa koliwo, kani nige yamimiyayoi yanuwa yaulina mena na siya kani simiyamiya yanuwa yaulina mena. Kowa Tamagu esam yakasisi, ugite-kalatagili esam kaikaiwena mena bwaimwana iya esane kuyeyama koliyau na mesabana silaoma siyaboda kaigeda besiele kowa te yau tamiya kaigeda. 
JHN.17.12	Saugana yamiyamiya mekaukavao yagite-kalatagili esam kaikaiwena koina bwaine esane iya kuyeyama koliyau. Na nige yabo ikwakwalalele bwaimwanamo tomone baguna Buki Tabu koina iya kaiwena iwalowalone na yakato isilae.
JHN.17.13	Sauga bwaite yau yanuwa yaulina mena na yalalaowa koliwo. Yagu kawanoi yawalowenako koliwo na mesabana yagu yaliyaya kateli iloyakalapowon. 
JHN.17.14+JHN.17.15+JHN.17.16	Am walone yawalowegiliko kolili mwa tomo yanuwa yaulina sikalomagigi-lagili kaiwena siya nige simiyamiya bodane yanuwa yaulina tomoliyao kolili besiele tabe yau nige yamiyamiya ali bodaone kolili. Nige yakakawanoi kaiweli na yakato yanuwa yaulina mena ukele-gabaegili na iyamo tabu Seitani ikakabitonagili. 
JHN.17.17	Am walone walo yawasosi, mwa nuwanuwagu walo yawasosine ipaisowa kolili na bwaine koina kuyakasisiyagili am paisowa kaiwena. 
JHN.17.18	Yayawasali siyawatagili dedei meuloina kolili besiele kuyawasayau yalaoma yanuwa yaulina mena. 
JHN.17.19	Siya kaiweli yayakasisiyagau koliwo kaiwena nuwanuwagu siya besiele siyakasisiyagili koliwo.”
JHN.17.20	Yeisu iwaloyoi iba, “Nige yakakawanoi yagu tobenaliyaomo kaiweli na yakawanoi siya naga tobenaliyao ali guguye simeliyan kaiweli. 
JHN.17.21+JHN.17.22+JHN.17.23	Yakawanoi kaiweli na mesabana siyaboda kaigeda. Tamagu nuwanuwagu simiya kaigeda besiele kowa te yau tamiya kaigeda na simiyamiya kolila na mesabana yanuwa yaulina sikatai yakato kumuloloiyau yo kumuloloili mwa kaiwena kuyawasayauma. Baguna am wasawasa kuyeyamako koliyau. Mwa bwaine wasawasane koina yayawasawasaliko na siyaboda kaigeda besiele kowa te yau. 
JHN.17.24	Tamagu nuwanuwagu siya kuyeyelimane mekaukavao kamiya toyawa toweya koina yamiyamiya na yagu wasawasa sigitai, bwaine wasawasane kuyeyama kaiwena kumulolo koliyau muliya kabo yanuwa yaulina kuyamayale. 
JHN.17.25	Tamagu kowa todudulaisosi kaigedamo. Yanuwa yaulina nige sikakataiwo na yau yakataiwo yo siya kuyelimakone sikataiyako yakato kowa kuyawasayau. 
JHN.17.26	Yayakenayagiwoko kolili na iyamo kani yapaipaisowa-kalatan kaiwena nuwanuwagu siemulomulolo-wagili besiele kumulolo koliyau na yau yamiyamiya kolili.”
JHN.18.1	Kabo Yeisu ana kawanoi iyemwawasi yo ana tobenaliyao mekanakavao silau, yo waila esana Kidilon sigayopanaisi dedei yabo mena. Bwaine koina mayau Olibe yaowana sitotolo kabo mekanakavao dedeinane koina silusae. 
JHN.18.2+JHN.18.3	Kabo sauganane koina boda yabo me ali odam yo mayale yo tabe me ali gogo kaleyayao siyawatagilima. Bodane kaloli mena siya tokaleyayao yo Nume Tabu kana pilisiman tupwaliyao yo tabe Yudasa Isikaliota, iya Yeisu kana tokalomagigili. Na Yudasa dedeinane kana kamwasa iyakenayagili kaiwena dedeinane ikatai yo tabe sauga ibaibaiwa Yeisu me ana tobenaliyao silaulau dedeinane koina. Bodane bwaite silaomaya topwaoli lalakili yo Palisiyao siya siyaele simiyamiya Yelusalema koina.
JHN.18.4	Yeisu ikataiyako tawae kani iyawatagili mwa ilau tokaleyayao bodane kolili ineli iba, “Yaiya kwaloyaloyai?” 
JHN.18.5	Kainana siyamaisa siwaloba, “Yeisu game Nasaleta.” Kabo Yeisu iba, “Yau bwaite.” Na Yudasa iyaele bodane luwana mena itotolo. 
JHN.18.6	Saugana Yeisu iba “Yau bwaite” mwa boda meuloili siutu-pileyoi sibeku bwatano mena. 
JHN.18.7	Yeisu ineliyoi iba, “Yaiya kwaloyaloyai?” Kabo siwaloyoi siba, “Yeisu, game Nasaleta.” 
JHN.18.8	Kabo kainali iyamaisa iba, “Yawaloko kolimiu yawaloba, yau bwaite. Tem kwaloyaloyaiyau kaukavaone bwaite wakabi-gabaegili silau.” 
JHN.18.9	Iwalo bwaine besiele tawae kabona iwalowen ana kawanoi kalona mena saugana iwaloba, “Tamagu siya kuyeyelimane nige yabo ikwakwalalele”. Na bwaite sauga iyamala yawasosi. 
JHN.18.10	Saimon Pita ana kaleya kelepana iniwisiyama mwa topwaoli lalakina ana topaisowa tenana ulaulana mena ikoutusi. Topaisowane esana Maliko. 
JHN.18.11	Kabo Yeisu iwalolau Pita koina iba, “Am kaleya kelepana kupei-yavivilayoi ana kaba miya mena. Gubesi, am nuwatu yakato kamkamna komwana bwaimwa Tamagu iyeyama kani tabu yanunuma?”
JHN.18.12	Kabo tokaleya bodane me ali tobaguna yabo yo tabe siya Yudiya Nume Tabu kana pilisiman silaoma Yeisu sikabikalatan yo nimana sipanili. 
JHN.18.13	Siyogan silawan Anasa koina Yelusalema koina. Na Anasa iya Kaiyapa wainena tamana. Kaiyapa iya topwaoli lalakili ali tobaguna bwaine bolimene koina. 
JHN.18.14	Na tabe iya Kaiyapane tauna kona iwalolau ana boda Yudiya toloinao kolili ali miyagogo koina iba, “Nige wakakatai yakato ginauli namwanamwanaele tomo kaigeda iboita meuloili kaiweli na tabu tomo Yudiya meuloila taboboita Loma ana loina kaikaiwena koina.”
JHN.18.15+JHN.18.16	Saugana Yeisu silalawan Anasa koina Saimon Pita yo tobenali yabo Yeisu mulina mena silau. Bwaine tobenali yabone Anasa ikatai namwanamwai. Mwa boda meuloina yo tobenali yabone silau numene kana gana kalona mena. Na Pita nige ilulusae na itotoloya ganane kana gamwa mena. Kabo tobenali yabone itagelakeile Pita igitai nige ilulusae kabo ipileyoi yo ilau iedeedede gamwa kana togitekalatan sinene koina kabo Pita iyogan yo silusae. 
JHN.18.17	Kabo togitekalatanne sinene Pita ineliyan iba, “Kowa nuwana Yeisu ana tobenali yabo wa?” Kabo Pita iuvala iba, “Yau nigele.” 
JHN.18.18	Boniyainane itulutulu mwa topaisowao yo pilisiman mayau sipei ganane kalona mena yo simwasimwasiguli, yo Pita tabe ilusae kolili mekalikava simwasimwasiguli.
JHN.18.19	Yo topwaoli lalakina Anasa Yeisu ineliyan kana tomuliyayao kaiweli yo tabe ana yakayakatai kaiwena. 
JHN.18.20	Kabo Yeisu iwaloba, “Sauga meuloina yaedeedede tomo meuloili kolili mayale mena. Yo tabe yayakayakatai tomo Yudiya ali kaba miyagogo kolili nuwana Nume Tabu koina o ali nume tapwalolo kolili. Nige walo yabo yawawalo-wadam. 
JHN.18.21	Tawae kaiwena kuneliyagau? Siya analiyao yagu walo sibenalan kuneliyagili, yagu walo meuloina sikatai.” 
JHN.18.22	Saugana Yeisu iwalo bwaine besiele kabo pilisiman yabo itotolo Yeisu dedeina mena papalina mena ikoi iyokoiyan iba, “Tawae kaiwena topwaoli lalakina kainana kuyamaisa bwaimwa besiele?” 
JHN.18.23	Kabo Yeisu kainana iyamaisa iba, “Tem walo yabo yawalo-sapuli kuwalowen tomo meuloili kolili na sibenalan. Na tem yagu walo idudulai tawae kaiwena kusapi-papali-yau?” 
JHN.18.24	Kabo Anasa Yeisu iyawasa mekana pani ilau topwaoli lalakina Kaiyapa koina.
JHN.18.25	Saimon Pita iyaele itotolo imwasimwasiguli mwa tomo yabo iwalolau koina iwaloba, “Kowa bwaine tomone ana tobenali yabo, awa?” Na Pita iuvalayoi iba, “Yau nigele.” 
JHN.18.26	Topwaoli lalakina ana topaisowa yabo iya totouna kabona tenana Pita ikoutusi iwalolau Pita koina iba, “Kowa yagitaiwo Yeisu mekamkava Olibe dedeina koina, awa?” 
JHN.18.27	Na Pita iuvalayoi, yo bwaine sauganane koina kamkam tauna ivalam.
JHN.18.28	Kaiyapa me ana bodao toloinao Yeisu sineliyan, imwawasi kabo siyawasa Pailato ana nume wasawasana koina. Na Pailato iya Loma tomona yo Sisa ipei Yudiya ali gavana na Yudiya dedeina iloiloinayan. Bwaite saugane koina malala boniboniyaina. Yudiya bodane nige silulusae gavana ana nume mena kisi tubuliyao ali loina yabo silikwai na siuladumdumli na mwalelikwa soina kanna nige sikakan.
JHN.18.29	Mwa koinaele Pailato iyawatagili yo Yudiya toloinao ineliyagili iba, “Tomo bwaite tawae ana pwanoli mwa koina kwayakewai?” 
JHN.18.30	Kainana siyamaisa siba, “Tem nige naenaena yabo igiginauli nige sowasowana kakalaiyama koliwo.” 
JHN.18.31	Pailato iwaloba, “Wakalai kwalawan na kwabomayoi ami loina koina kwayatalayan.” Kabo Yudiya toloinaone siwaloba, “Komiu Loma ami loina nige itatalam-wagimai na tem kai tomo Yudiya ama loina kaginauli na mesabana ana boita kaloinayan.” 
JHN.18.32	Bwaite besiele ilaoma na Yeisu ana walo iyamala yawasosi. Baguna iwalowenako ana boita kana lau kana koleya.
JHN.18.33	Pailato ipileyoi ilusae ana nume mena kabo Yeisu iyoganama yo ineliyan iba, “Gubesi, kowa Yudiya ali kin o nigele?” 
JHN.18.34	Yeisu kainana iyamaisa iba, “Walone bwaimwa kuwalowalowegiline kuboma am nuwatu mena o nuwana Yudiya siwalowen koliwo kaiwegu?” 
JHN.18.35	Pailato Yeisu kainana iyamaisa iwaloba, “Nigele molosi. Yau nige Yudiya besi. Na kowa am tomoyao yo tabe topwaoli lalakili silawagiwoma koliyau. Nae esana uginauli mwa silawagiwoma koliyau?” 
JHN.18.36	Yeisu iwaloba, “Yanuwa yaulina nige yau kaba loina. Tem besiele kagu tosaguwo sitoloma na sikaleya kaiwegu na tabu Yudiya toloinao sipapanyau. Na nigele, bwaite yanuwane nige yau kaba loina.” 
JHN.18.37	Kabo Pailato ineliyan iba, “Mwa yakato kowa kin yabo?” Yeisu kainana iyamaisa iba, “Kubomayoi kuwalowenako. Bwaite iya kaiwena mwa yalaoma yanuwa yaulina mena sikabiyau na yawalo-masala tomo kolili walo yawasosi kaiwena. Analiyao siya nuwanuwali walo yawasosi sibenalan nuwanuwali yagu walo sibenalagili.” 
JHN.18.38	Kabo Pailato iba, “Na walo yawasosine tawae?” Kabo Pailato iyawatagiliyoi Yudiya toloinao kolili iwaloba, “Nige yabo kana yakewa yalolobai koina na mesabana ana yatala yaloinayan. 
JHN.18.39	Wakatai bolime kaigeda kaigeda mwalelikwa soina kana sauga koina tomo yabo nume pan mena imiyamiya yalivasi kaiwemiu na iyawatagili. Gubesi, nuwanuwamiu komiu tomo Yudiya ami kin yalivasi kaiwemiu?” 
JHN.18.40	Kainana siyamaisa siyogayoga siwaloba, “Nigele, iya nigele. Nuwanuwamai Balabasi kulivasi.” Tomo Yudiya siwalo besiele. Na Balabasi iya toloinalikwa lalakina.
JHN.19.1	Pailato tokaleya iloinayagili Yeisu siyogan na siunui maina matumatuwana koina. 
JHN.19.2	Kabo samasamali sakosakonana sikalaili yo sipaisowai na sipwaom kulukuluna mena. Yo kaleko malamalawena sikalai besiele kin kana kaleko yo siyalikwa, 
JHN.19.3	yo silau koina na siwaloba, “Kagutoki, Yudiya ali kin kowa.” Kabo sikoi papalina mena. 
JHN.19.4	Pailato iyawatagiliyoi yo iwalolau Yudiya bodane kolili iba, “Kwabenabenali, kani yayawatagilanama wagitai na wakatai yakato nige yabo ana pwanoli yalolobai kana yakewa kaiwena na mesabana yaloinayan ana yatala.” 
JHN.19.5	Kabo Yeisu iyawatagili samasamali kulukuluna mena yo kana kwama malamalawena ilikwa. Mwa Pailato iwalo kolili iwaloba, “Wagitai, bwaite tomonaele.” 
JHN.19.6	Saugana topwaoli lalakili yo pilisimanwo Yeisu sigitai siwaloba, “Kwayakelose, kwayakelose.” Na Pailato kainali iyamaisa iwaloba, “Komiu kwaboma wakalai na kwayakelose, nige yabo ana pwanoli yalolobai na koina yayakewai na yawalo-masalan ana yatala kaiwena.”
JHN.19.7	Na tomo Yudiya Pailato sisamalului siba, “Ama loina imiyamiya loinane iwawalo yakato iboita, kaiwena iwawalo yakato iya Yaubada Natuna.” 
JHN.19.8	Bwaite walone Pailato ibenalani mwa imatausi lalakina. 
JHN.19.9	Kabo Pailato Yeisu iyogan iluseyanyoi ana nume mena yo ineliyan yoi iba, “Toweya koina kulaomaya?” Na Yeisu nige Pailato kainana iyayamaisa. 
JHN.19.10	Kabo Pailato iba, “Tawae kaiwena genuwam kuwaloma koliyau? Nige ukwakatai me yagu loina yakato sowasowana yalivasiwo yo sowasowana yaloinayagiwo siyakeloseo?” 
JHN.19.11	Yeisu Pailato kainana iyamaisa iba, “Tem Yaubada nige loinane iyeyeyawa koliwo nige yabo am kaiwe imiyamiya koliyau. Na iya italam-wagau koliwo ana pwanoli ilalakisosi kabo kowa am pwanoli.” 
JHN.19.12	Bwaine sauganane koina Pailato kamwasa iloyaloyai na tem Yeisu ilivasi. Na iyamo tomo Yudiya siyogayoga siwaloba, “Tem tomo bwaimwa kulivasi kowa nige Sisa ana eliyam. Kaiwena tem yaiya ibomayoi iwaloba ‘yau kin’ iya Sisa isinali.” 
JHN.19.13	Saugana Pailato Yudiya ali walone ibenalan Yeisu iyogan-iyawatagilima mayale mena tomo Yudiya meuloili manli mena. Kabo Pailato imiyasio toyatala ali kaba miya mena bwaine kaba miyane nume dedeina mena esana veku kamwasa. Na kaina Ibeliu koina siba Gabada. 
JHN.19.14	Bwaine sauganane koina ilaoko ipwasinasina na sauga katububu mwalelikwa soina kanna kaiwena. Kabo Pailato iwalolau Yudiya kolili iba, “Ami kinwa iyaelete.” 
JHN.19.15	Na siya Yudiya siyoga siba, “Kulowasiyan kulowasiyan. Kulawan kuyakelose.” Pailato ineliyagili iba, “Nuwanuwamiu ami kin yayakelose?” Na topwaoli lalakili kainana siyamaisa siwaloba, “Nige yaboyoi ama kin bwaimwanamo Sisa iboma.” 
JHN.19.16	Kabo Pailato Yeisu italamwan kolili na siyakelose. Mwa Loma tokaleyayao Yeisu siyogan silawan.
JHN.19.17	Tokaleyayaone siloinayan ibomayoi kana kelose ikewai yo iyawatagili ilau Yelusalema kana gana dagelana mena dedeine esana kulukulu tuwatuwana yanuwana, kaina Ibeliu siwaloba Goligota.
JHN.19.18	Yo bwaine koina siyakelose. Na tomo labui mekanakavao siyakeloseli, yabo ulaulana mena na yabo gegebana mena. 
JHN.19.19	Pailato kilakilala yabo ilele na iloinayagili kelosene kewana mena situtu-yapatu, bwaine lelelelene iba, “Bwaite Yeisu game Nasaleta, Yudiya ali kin.” 
JHN.19.20	Yudiya sibaibaiwa lelelele bwainene sowasowali siyasili kaiwena dedeinane Yeisu koina siyakelose nige mamalawena ali taonne Yelusalema koina. Mwa silele kaina yaiyona kolili kaina Ibeliu, kaina Latin yo tabe kaina Giliki koina. 
JHN.19.21	Yudiya topwaoli lalakili silau Pailato koina siwaloba, “Inamwanamwaele tem tabu kulelele ‘Yudiya ali kin’ na kulele ‘Tomo bwaite iwawalo yau Yudiya ali kin’.” 
JHN.19.22	Na Pailato kainali iyamaisa iwaloba, “Tawae yaleleyako bwaimwa iyaele yaleleyako.” 
JHN.19.23	Saugana tokaleya Yeisu siyakelose kabo kana kaleko sikalai yo sisoiyagili sibomayoi yoli esopali kolili, kaigeda kaigeda kana kaleko ikalai. Na kana kwama malamalawena tabe imiyamiya. Bwaine kaleko kaigeda koina sikona nige kana tubwe ipapagan, 
JHN.19.24	mwa siwaloba, “Tabu taiigali na venu mena taloyai tem yaiya ibaguna kwamane ikalai kana kwama.” Siginauli besiele na Buki Tabu ana walo ilaoma iyamala yawasosi iwaloba, “Kau kaleko sisoiyagili yo venu mena siloyai yaiya kau kwamane kani ikalai.” 
JHN.19.25	Kelosene salina mena sinesineo esopali sitotolo, Meli iya Yeisu sinana yo Meli kanakava kikiuna yo Meli yabo iya Kaliopasi wainena yo Meli yaboyoi ilaomaya yanuwa Magidala koina. 
JHN.19.26	Yeisu manna ilobi sinana igitai yo tobenaline iya imulolososi koina salina mena itotolo mwa iwalolau sinana koina iba, “Sine, bwaimwa natum.” 
JHN.19.27	Besiele tobenaline koina iwalolau iwaloba, “Bwaimwa sinam.” Sauganane koina tobenaline Yeisu sinana iyogan ilawan ana nume mena ikawa-sina-yan kabo igite-kalatan.
JHN.19.28	Yeisu ikatai yakato ana paisowa meuloina imwawasi, kabo iwaloba, “Galogalogu imagu.” Walone bwaite iwalowen na mesabana Buki Tabu ana walo ilaoma iyamala yawasosi. 
JHN.19.29	Na oine malumaluluna mekomwana imiyamiya bwaine koina kabo balou sikalai yo siyalakwa oinene koina yo mayau yabo esana isopi lagalagana koina sisakona yo siyagaseyan Yeisu sopana mena. 
JHN.19.30	Saugana inuma kabo iwaloba, “Imwawasi.” Mwa Yeisu galogalona itapwai yo yawasina imwawasi.
JHN.19.31	Bwaine kaliyatenane Yudiya ali kaliyate katububu kaiwena kikiunamo ali Sabati iyatubu yo kaliyatenane koina kani mwalelikwa soina siginauli. Mwa Yudiya toloinao genuwali Yeisu yo toboitane labuine kwapiliyao sitaketake kelose mena Sabati kana sauga koina. Mwa koina silau yo Pailato koina sikawanoi na tem iwalolau tokaleya kolili na Yeisu yo yoli labuine kaekaeliyao sikogoluli na siboita mwayamwayau, na kwapiliyao sikele-kaisulu-wagili. 
JHN.19.32	Pailato italam kabo tokaleyayao silaoma yoli labuine sitaketake Yeisu mekalikava kelose mena kabo kaigeda kaena sikogoluli yo silau yaboyoine koina besiele tabe. 
JHN.19.33	Na saugana silau Yeisu koina sigitai Yeisu iboitako mwa nige kaena sikokogoluli. 
