GEN.1.1	En avong mulamu, 
LUK.22.57	Ka Pita muun vit, “Ahin, narkileatei meatin enek.”
LUK.22.58	Avong havivi mai muli, ka meatin tamun lei kilea Pita ka viteni mini vit, “!Keik emun kovi tai en keil!”
LUK.22.58	Ka Pita muun eris vit, “!Ei, narvitei tai en keil!”
LUK.22.59	Evus, rovitei tuetin, meatin tamun teisav lesi ka selus keih vit, “!Vi anatin! Meatin ekek vi tai en meatin keil onen Iesu veni selusien onen suval etin koakeil ten out Kaleli.”
LUK.22.60	Ka Pita muun keih avong tamun vit, “!Rovitei anatin! !Inau narkileatei varei tounah koa komul kovit usili!”
LUK.22.60	Hatte tas, navong kei mul semau selus, ato tai kokorat. 
LUK.22.61	En avong enetinek, Asuv Iesu viles lele mal en Pita. Ka Pita mundem kati keke Asuv viteni mini vit, “Navong ato herkokorattei mau en visokon semau ekek, keik kuun hatte hetal (3) keke koreingeingenau.”
LUK.22.62	Sakini, Pita lokovein teahu enek, tin mah houlu ka murang.
LUK.22.63	Meatin taleikokoeien keil ten Eim Votut koa alei kokoe en Iesu amumon tohtohien mini ka amu kikiriti. 
LUK.22.64	Keil apar kat meten, ka navong amuasi avisi avit, “?Isei muasuk? !Hit luvat visi!” 
LUK.22.65	Ka keil aselus kareni en tounah keil houlu mun koa tisa.
LUK.22.66	Navong out mulan, elda keil onen Siu keil, asuv keil onen pris keil, ka tiser keil ten mengkatien keil onen Mosis umai vituai uva en kot. Evus, amulamun Iesu mai mulomal en mete. 
LUK.22.67	Keil avisi avit, “?Hit visi min komai, keik kovi Mesaea koa Ahi rie lati?”
LUK.22.67	Ka Iesu vit kesi min keil vit, “Munak nihiteni min kami, kami miherkurtei anatin eni. 
LUK.22.68	Ka munak inau nihis kami vensa mirkurtei anatin eni, kami mihervitentei minau. 
LUK.22.69	Ka naviten koanik, kosa heha, Natin Meatin hetondan en out ten keihoen en usite matu onen Ahi ten keihoen.”
LUK.22.70	Navong Iesu viteni mukok, keil vasi avisi avit, “?Mukave? ?Komul koviteni kovit keik kovi Natin Ahi?”
LUK.22.70	Ka Iesu vit kesi min keil vit, “Suval etin koa kami miviteni.”
LUK.22.71	Sakini keil avit, “?!Vensa varei rovalekat ris etai meatin keke vasan selusien tai vaha kati!? !Ir vasi rolong selusien tatisa keil koa mea ran ongon kati ka heha heat kei sasen enges!”
LUK.23.1	Hetetamen vasi keil koa amul en kot onen Siu keil amea ka amulamun Iesu va mulomal en meten asuv Paelet, koa mul losil kat provins ten out Sudea. 
LUK.23.2	Evus, keil avit lati mini sakien tatisa keil koa avit Iesu mumoni avit, “Komai mevotini keke meatin ekek mul ling rendemien keil tatisa min Siu keil. Kei mul ring koe keil keke anahultei takis min 
LUK.23.3	Iesu vit kesi vit, “Suval etin koa koviteni.”
LUK.23.4	Evus, Paelet viteni min asuv keil onen pris keil ka min vangi meatin keil enek emun vit, “Inau narvotin etai tounah vatisa vaha kat meatin ekek.”
LUK.23.5	Ka keil asel kutut kat Iesu keih tamun mini avit, “Hihiseien onen mul sakin meatin keil amul uvae kat keil eris. Kei mum rohtoh eni en provins ten out Kaleli, ka kosa mai mumoni en out ekok emun en provins ten out Sudea.”
LUK.23.6	Navong asuv Paelet longe mukok, kei vis keil vit, “?Anatin keke meatin ekek ten out Kaleli?” 
LUK.23.7	Sakini, navong Paelet long kilea keke Iesu vi ten out Kaleli, out koa asuv houlu 
LUK.23.8	Ka navong asuv houlu Herod les Iesu, kei si houlu mok. Veni tuetin tuai, kei long usili ka en vati valesi en meten kati. Kei mundemi vahesa Iesu houmon etai merikel keke valesi.
LUK.23.9	Sakini, Herod vis Iesu en tounah keil houlu, ka Iesu ro raeng enges. 
LUK.23.10	Asuv keil onen pris keil ka tiser keil ten mengkatien keil onen Mosis koa amulomal vesesal ason selusien keil takeih va kat Iesu en meten Herod. 
LUK.23.11	Ka Herod ka meatin tavaeen keil onen emun akareni. Keil amumon tohtohien mini ka amusin en Iesu en more kaliko tai suval koa vi asuv houlu tai. Evus, asila risi va ven Paelet. 
LUK.23.12	En avong enesek, Herod ka Paelet lumai luvi time tahos, ka mulamu en avong koanek luvi vativieh en keilu.
LUK.23.13	Paelet vise ruain asuv keil onen pris keil, hetetamen keil onen Siu keil, ka meatin sav keil emun. 
LUK.23.14	Ka viteni min keil vit, “Kami mimulamun meatin ekek mai minau ka mivit kei mul vilehiles rendemien onen Siu keil mai tisaso. Ka kosa, en metomi, inau nalei rahit usite onen, ka narvotin etai tounah vatisa koa kami mivit kei mumoni. 
LUK.23.15	Asuv houlu 
LUK.23.16	Sakini, nimeng kat meatin keil onak utetahi, hevus, nimaeni heha hemaluv.” 
LUK.23.18	Hatte tas, vangi meatin keil enek aviso vina nesa avit, “!U vini meatin enek! !Maen Barabas heha hemaluv!” 
LUK.23.19	Barabas mul en eim takeih veni kei mu vini meatin tai mat en rea tai en out Serusalem va kat koakeil ten kavmen ten out Rom.
LUK.23.20	Paelet en vati vamaen Iesu vaha vamaluv, sakini vit risi min vangi meatin keil enek vit, “!Inau nimaen Iesu heha hemaluv!”
LUK.23.21	Ka keil avikiti aviso keih tamun avit, “!Ti kati en aiveave! !Ti kati en aiveave!”
LUK.23.22	Ka hatte etel eni, Paelet sak visi vaselus min keil vit, “?Kei mumon sa varei koa tisa? !Narvotin etai tounah koa kei mumoni keke vamat veni! Sakini, meatin keil onak keil iha utetahi. Hevus, nimaeni heha hemaluv.”
LUK.23.23	Ka keil aviso keih tamun emau keke iti kat Iesu en aiveave. Amules amumoni va vio … Paelet maeni. 
LUK.23.24	Sakini, Paelet meng kati keke Iesu hemat housil asa koa meatin keil e vati. 
LUK.23.25	Kei maen meatin koa keil e vati, kei va maluv. Vi kei koa mu vini meatin tai en rea tai va kat kavmen ten out Rom. Ka Iesu esuk, kei sa lati va en hen meatin keil onen keke avati kati en aiveave musil asa koa vangi meatin keil e vati.
LUK.23.26	Navong meatin tavaeen keil onen Paelet amulamun Iesu eva, avisu en meatin tai ten out Saerin koa mul mual vaha en out Serusalem, isen Saemon. Keil avuli kati, ka aling aiveave onen Iesu en vatisin keke vahousi vousil Iesu. 
LUK.23.27	Mari vangi meatin keil emun amusil Iesu uva. Ka tei en keil avi ahin keil koa amul amis ka amurang veni. 
LUK.23.28	Ka Iesu viles, les keil ka viteni min keil vit, “Ahin keil ten out Serusalem, minatangistei nau. Mihetang ven kami eris ka ven titami keil. 
LUK.23.29	Veni en avong keil tatisa koa mul mai, meatin keil ihiteni ihit, ‘Tahos imok ven ahin keil koa avi lumalum, koakeil arkurtei titiali, ka koakeil arrounattei en tivava tai.’
LUK.23.30	Ka keil ihiteni mun min vatihou keil ihit, ‘!Alta kat komai!’ ka min hou keil ihit, ‘!Alling suain komai!’
LUK.23.31	?Veni munak aling ahang ten mahien ekek min meatin tai koa suval vatiai tai koa memeasen koa romumontei tounah tatisa, Ahi heling ahang ten mahien sa min meatin tisa keil koa asuval vatiai keil koa amukou?”
LUK.23.32	En avong enek, keil amulamun meatin elu mun koa lumumon tounah tisa keke avou vini keilu vatal mini. 
LUK.23.33	Navong keil arokol out koa avise en ‘Asi ten Avat,’ keil amuti kat Iesu en aiveave. Ka meatin tatisa keilu, amuti kat keilu en aiveave elu mun. Tai en usite matu onen Iesu, ka tai en usite meil onen.
LUK.23.34	Navong Iesu mul murur en aiveave, viteni vit, “Tata, konaleletei natisa kat meatin keil ekek veni keil areingeingen asa koa keil amul amumoni.”
LUK.23.34	Vesesal ven Iesu, meatin keil tavaeen ason daes keke avatiti vas eisin omon min keil. 
LUK.23.35	 Ka rovitei soutin, meatin houlu amul amulomal keke avalesi. Hetetamen keil onen Siu keil aselus karen Iesu avit, “Miheles visi. Kei mutut moulien onen meatin sav keil. Tahos. !Ka munak vi Mesaea anatin koa Ahi rie lati, houtut moulien onen esuk!”
LUK.23.36	Meatin keil tavaeen emun, amumon tohtohien mini. Keil uva veni, ka asan uaen takon mini vamuni.
LUK.23.37	Ka keil avit, “!Munak kovi asuv houlu onen Siu keil, kutut moulien onom enges!” 
LUK.23.38	Evus, keil aling tisien tai nesa en aiveave onen koa vit, “Koanik vi Asuv Houlu onen Siu keil.”
LUK.23.39	Tai en meatin tisa keilu koa mul murur en aiveave selus tisa min Iesu vit, “?Keik kovi Mesaea? !Munak vi anatin, kutut moulien onom ka onomal emun!”
LUK.23.40	Ka teisav en keilu sel kati vit, “?Mukave? ?Keik kormetauntei Ahi? Mahien oratel vatte tas. 
LUK.23.41	Ka ialu, mal keke lokur mahien ekek veni ialu lomum tisa. Ka meatin enek romumon etai tounah vatisa.” 
LUK.23.42	Evus, kei viteni min Iesu vit, “Navong kumai kovi asuv houlu ka kokur keihoen, kindem kat inau li.”
LUK.23.43	Ka, Iesu vit kesi mini vit, “Navat kati minuk, kosa, keik kito hetal minau en out tai koa tahos vis tahos imok.”
LUK.23.44	Mal en taviai, out viles mai vopoli ka mul mukonek rokol tri klok en mendilah,
LUK.23.45	veni meteiai romukantei mun. Evus, kaliko koa mul koe out votut neim en Eim Votut onen Ahi sipasi elu. 
LUK.23.46	Ka en avong enek, Iesu viso va ven Ahi vit, “Tata, naling moulien onak en hem.” Navong viten koanik, Iesu leh kor en eang, ka mat.
LUK.23.47	Navong avat onen meatin tavaeen keil les asa koa kur out, vati lat isen Ahi ka vit, “Anatin eli, meatin ekek mal revi ka romumontei tounah vatisa.”
LUK.23.48	Meatin sav keil houlu koa umai keke avalesi mukave Iesu vamat amul ekonek ka ales tounah keil koa kur out. Ka navong amul en sise keke avaha ris teim one, amul arangisi keih.
LUK.23.49	Ka koakeil akilea revi Iesu, ral min ahin keil koa amul amusili navong aka en provins ten out Kaleli, keil amulomal soutin neli, ka ales tounah vasi koa kur out.
LUK.23.50	Meatin tai mul ekonek, isen Siosep ten meteimal ten out Aramatea en provins ten out Sudea. Kei tahos ka sakien keil onen mal. Avaseini kei vi tai en kaonsel koa amumon kot onen Iesu,
LUK.23.51	kei romaentei en lingkatien koa keil amumoni vaha kati. Kei emun mul rosin avong koa Ahi hesakin hiasuvien hemai hel en out netan. 
LUK.23.52	Kei va ven Paelet ka visi vamaen teiai onen Iesu mini. Ka Paelet maeni. 
LUK.23.53	Evus, Siosep va kulat teiai onen Iesu mita netan ran aiveave, kav koe en kaliko tamuoh tai. Evus, vousi va, ka lingi en valengeihat tai koa arei meseini tuai vi heite hau.
LUK.23.54	Vi Fraede mendilah, ka Sabat mul mai vesesal koa Siu keil asakras avoum ien.
LUK.23.55	Navong Siosep vous teiai onen Iesu, ahin keil koa amusil Iesu ran provins ten out Kaleli ales asa koa Siosep mul mumoni. Amul amusili ka amul neli soutin. Keil ales valengeihat enek ka mukave Siosep ling teiai onen Iesu ien.
LUK.23.56	Evus, keil uva ris teim, ka asak mesein senta ka oel keke avasahula teiai onen Iesu eni.
LUK.23.56	Ka amuseh en Sabat suval koa avu Mosis meng kati.
LUK.24.1	Visokon semau en Sande, ahin keil amual uva en valengeihat ral min senta ka tounah keil koa aling kati mul keke avasak mesein revi teiai onen Iesu eni.
LUK.24.2	Ka navong arokol valengeihat enek, avotini keke mari ahat koa mul koe voiteh teni, arei lati tuai eva. 
LUK.24.3	Ka navong uva neim eni, keil arlestei teiai onen Asuv Iesu. 
LUK.24.4	Sakini, amundemko ka amundem visi keke teiai onen Iesu va kave. Hatte tas, meatin elu koa eisin omealu vihil lumai lukistal min keil.
LUK.24.5	 Ahin keil ametau houlu ka aretengeiril netan min keilu, veinae rokol atan. Ka meatin keilu ekek luviteni min keil luvit, “?Vensa varei mimul milekat kei koa moul en out onen koakeil umat?
LUK.24.6	Kei rorotei ekok, moul eris tuai. Mihendem vis asa koa kei viteni min kami navong mul semau en out Kaleli. 
LUK.24.7	Kei viteni keke imae lat Natin Meatin heha en hen meatin tisa keil. Hevus, keil iti kati en aiveave ka hemat. Ka navong avong etel heli, hemoul eris ran matien.”
LUK.24.8	Sakini, ahin keil enek amundem kat selusien keil onen Iesu.
LUK.24.9	Evus, keil alokovein valengeihat ka uva aviten tounah vasi keil min meatin teindan tai (11) onen Iesu ral min meatin sav keil emun koa amusili. 
LUK.24.10	Vi Meri ten out Makdela, Soana, ka Meri koa vi mama onen Tiemes, ral min tei en ahin sav keil emun koa uva avit mesein tounah vasi keil ekek min 
LUK.24.11	Ka navong eiloheh keil along tunien onen ahin keil enek amundemi avit amul aluvos, sakini arkurtei anatin en keil. 
LUK.24.12	Ka Pita mea ka muloh va en valengeihat. Ka navong rapehai ka lele va neim, lesi keke kaliko koa akav koe teiai onen Iesu eni mules veah, ka teiai tovuol eni. Evus, Pita va ris teim, ka mundem houlu usil asa koa kur out.
LUK.24.13	En avong enesek, meatin elu koa lumul en mari vangi meatin keil koa amusil Iesu lumul lumual luva en meteimal tai koa avise en Emeas. Meteimal enek mul soutin neli, kilomita teni vi teindan tai (11 km) ran out 
LUK.24.14	Keilu lumual ka lumul luselus usil tounah vasi keil koa kur out. 
LUK.24.15	Ka navong lumul veah lurun, Iesu varei mai katau en keilu ka kapil vituai ral min keilu telva.
LUK.24.16	Ka Ahi ring koe rendemien onealu keke lurlei kileatei. 
LUK.24.17	Navong telmual mukok, Iesu vis keilu vit, “?Kamil milmul milselus usil asa en sise onamil?”
LUK.24.17	Keilu luvati en sise, ka veinaealu mot. 
LUK.24.18	Tai en keilu koa isen vi Kleopas vis Iesu vit, “?Mukave? ?Keik kos kumai keitinek en out Serusalem keke korkileatei tounah vasi koa kur out en avong vahis koa muli?”
LUK.24.19	Iesu vis keilu vit, “?Tounah sa?”
LUK.24.19	Ka keilu luvit kesi mini luvit, “Tounah vasi keil koa kistal min Iesu ten out Nasaret. Meatin enek vi 
LUK.24.20	Ka asuv keil onen pris keil ral min hetetamen keil onen Siu keil amaeni va en hen koakeil ten kavmen. Ka keil asan matien mini en kot, amuti kati en aiveave, ka kei mat. 
LUK.24.21	Ka komai memul memundesini keke kei varei hesakin me-Isrel keil imea iha imaluv ran hen koakeil amumoni keih min keil. Ka tounah tamun, kosa vi avong etel (3) tuai keke tounah keil enek kur out.
LUK.24.22	Ka kosa, en visokon semau, tei en ahin keil koa akapil ral min komai uva en valengeihat koa aling teiai onen mul ien, ka arun usil tounah koa sakin komai memutimanin eni.
LUK.24.23	Keil umai ris aviteni min komai keke keil arvotintei teiai onen Iesu en valengeihat enek. Ka keil aviteni mun keke ales 
LUK.24.24	Evus, tei en komai uva en valengeihat ka ales tounah vasi mal musil asa ahin keil enek aviteni. Ka teiai onen arlestei.”
LUK.24.25	Ka Iesu viteni min keilu vit, “!Kamil milvi varu vareis! Milroun vareis keke milvakur anatin en tounah vasi koa provet keil avit luvati.
LUK.24.26	Veni keil aviteni keke, helamu, Mesaea hekur mahien hemukok. Hevus, hekur eis tai ten hetetamenien ka heha en out ten houhouen.”
LUK.24.27	Evus, Iesu vit kilea tounah vasi en Tus Votut usil kei min keilu ka en tisien keil onen 
LUK.24.28	Navong telmai vesesal en meteimal ten out Emeas, Iesu vit heles housil sise heha. 
LUK.24.29	Ka keilu lupeahi luvit, “Kito li mau hetal min komal, veni meteiai mul munu ke, ka hervitei tuetin out hevopoli.” Sakini va ro ral min keilu. 
LUK.24.30	Ka navong Iesu rondan en avet taanianien ral min keilu, kei kur veret, masmas Ahi veni, vul vasi, ka sani min keilu.
LUK.24.31	Hatte tas, rendemien onealu maluv ka lulei kilea keke vi Iesu. Ka navong lumul veah lulei mamah eni, Iesu vuol en metealu. 
LUK.24.32	Ka keilu luviteni min keilu eris luvit, “!Meatin enek vi Iesu varei! Navong mul semau vit kilea selusien keil ten Tus Votut min ialu, lolong kilea en tineralu keke vi kei.” 
LUK.24.33	Sakini, en avong etin varei enek, keilu lumea ka luva ris en out Serusalem.
LUK.24.33	Navong lurokol out Serusalem, luvotin meatin teindan tai (11) onen Iesu koa amul aro vituai out tas ral min meatin sav keil emun. 
LUK.24.34	Ka keil aviteni min keilu avit, “!Vi anatin! !Asuv Iesu moul eris ran matien, veni kistal min Saemon Pita!”
LUK.24.35	Evus, meatin keilu ekek luvit usil asa koa kur out en sise, ka mukave lulei kilea en Iesu navong vul vas veret.
LUK.24.36	Navong meatin keilu enek lumul veah luselus usil tounah keil ekek min keil, Asuv Iesu varei mai kistal ka mulomal luhu en keil. Kei viteni vit, “Tomat hel ven kami.”
LUK.24.37	Keil amutimanin ka ametau houlu veni amundemi avit amul ales ninin onen.
LUK.24.38	Ka kei viteni min keil vit, “?Vensa mimetau? ?Ka vensa varei rendemien onami mul langlango ka mirkultei veah anatin keke inau namoul eris ran matien? 
LUK.24.39	Alles hek keilu ka alok keilu ekek. Vi inau etin. Mihemai, mihetokol inau keke mihelong kilea keke husi onak ka sik mul, veni ninin keil, husi ka sin keil one tovuol.”
LUK.24.40	Ka navong viteni mukok, kei rie hen keilu ral min alen keilu min keil. 
LUK.24.41	Navong alesi, avilelau en sien, ka keih veah en keil keke avakur anatin eni. Sakini Iesu vis keil vit, “?Anien tei mul keke maani?”
LUK.24.42	Asan hati mesau tai koa alengasi mini,
LUK.24.43	ka kei kuri ka kani en mete.
LUK.24.44	Evus, Iesu viteni min keil vit, “Tounah koa kur out musil asa koa naviteni min kami navong naro veah ral min kami. Ka kistal minau vasakin tounah koa amutisi usil inau en 
LUK.24.45	Evus, kei sehen rendemien one keke akilea availea selusien keil koa mul en Tus Votut. 
LUK.24.46	Ka viteni min keil vit, “Aneite ten tisien keil keie: Mesaea koa Ahi rie lati hekur mahien ka heha hemat. Ka navong avong etel heli, hemoul eris ran matien.
LUK.24.47	Evus, en isen, meatin keil ihitehiteni keke Ahi helesi hetahos eris ka houtut moulien onen meatin vasi keil en out netan munak aviles ran 
LUK.24.48	Kami koa miles tounah keil ekek, miheha mihehit usili min mesav keil.
LUK.24.49	!Mihetaengoni! Inau nisan Ninin Votut koa Ahi Tata vat kati vasani min kami.
LUK.24.50	Evus, Iesu mulamun vangi meatin keil onen alokovein out Serusalem ka uva en meteimal ten out Betani. En out enek, kei vati lat hen keilu vina nesa ka san tokolkatien min keil. 
LUK.24.51	 Navong mul veah san tokolkatien min keil, Ahi kulati ran keil ka kuri vina en out nesa.
LUK.24.52	Navong keil alesi, uva netan mini. Evus, ral min sien, uva ris en out Serusalem.
LUK.24.53	Ka en avong vasi, keil uva en teahu ten Eim Votut ka amul amasmas Ahi.
JHN.1.1	En avong mulamu, navong Ahi romumontei veah out nesa ka out netan, Vati Selusien mul tuai. Kei koa vi Vati Selusien enek ro ral min Ahi, ka kei vi Ahi en usite vasi keil.
JHN.1.2	Mul tuai ral min Ahi en avong mulamu koa tounah tovuol veah. 
JHN.1.3	Ka en kei, Ahi mumon tounah vasi keil. Ka vahit varvitei kei, tounah vasi keil vatovuol.
JHN.1.4	Vati Selusien enek vi vatte ten moulien. Ka eni, meatin keil umai en meneai ekek akilea avalei kilea en tounah vasi.
JHN.1.5	 Kei sakin meneai enek ritin en mankoli ten tisaen, ka koakeil amul en mankoli asakras avandem kilea eni.
JHN.1.6	Ahi sila meatin tai emai, isen Sion.
JHN.1.7	Kei emai keke vahit luvat kei koa kur meneai enek, ka vasakin meatin vasi keil avaling demkatien one eni. 
JHN.1.8	Sion rovitei meneai. Ka kei emai vahit luvat kei koa kur meneai enek emai.
JHN.1.9	Anatin, Sion mai vahit luvat kei koa mai ral min meneai ten anatinien. Veni, amaien onen meatin enek hesuval meneai koa hetitin luvat rendemien onen meatin vasi keil keke ilei kilea anatinien onen Ahi.
JHN.1.10	Vati Selusien enek emai ro en out netan. Ka avaseini keke tounah vasi netan mai kistal ka en keihoen onen, meatin keil ten out netan areingeingen kei.
JHN.1.11	Kei emai ven onen kati, ka onen kati keil arkur revitei. 
JHN.1.12	Ka koakeil vasi akur revi ka akur anatin eni, kei maen keil umai avi titiali keil onen Ahi.
JHN.1.13	Keil armaitei avahi titiali keil onen Ahi vaka en sise ten hasuen, vuo vaka en rendemien onen etai meatin, vuo vaka en envatien ten aven meatin tai. Keil umai avi titiali keil onen Ahi veni Ahi varei rie lat keil avahi onen.
JHN.1.14	Vati Selusien enek emai vi meatin tai koa aven mul. Kei ro ral min komai ka meles muohien ten hetetamenien onen, veni kei vi Natin Ahi kati koa tanges koa vilelau en more envatien ka anatinien.
JHN.1.15	Sion vit luvati keke vi isei vit, “Koanik vi meatin koa namul naselus usili. Kei koa naviteni navit hemai hekatau enau koa hehi hetetamen imok helin inau. Veni kei ro tuai en avong mulamu, navong arvasitei veah inau.” 
JHN.1.16	Veni kei vilelau en more envatien, rokol kat ir vasi houlu vis houlu mok mulin asa koa mal keke rovakuri.
JHN.1.17	Ka en 
JHN.1.18	Meatin tovuol veah vales Ahi. Ka vi Natnali kati koa vi tanges, koa ro en usite onen Tata onen lisenges, kei varei vit luvati min ir keke rokilea eni.
JHN.1.19	Koanik tunien usil asa koa Sion Baptis viteni usil Iesu. En avong tai, avat keil onen Siu keil en out 
JHN.1.20	Ka Sion roseseintei vahit kesi min keil ka vit leini vit, “Inau narvitei Mesaea koa Ahi vat kati keke hesani hemai.” 
JHN.1.21	Sakini, avisi avit, “?Mukonek, keik kovi isei varei? ?Keik provet 
JHN.1.21	Ka Sion vit kesi vit, “Vuo, narvitei kei.”
JHN.1.21	Avis risi avit, “?Keik kovi Provet koa Mosis vit luvati keke Ahi hesani hemai?”
JHN.1.21	Ka kei vit, “Vuo.”
JHN.1.22	Sakini, apeahi avit, “Hiteni min komai li kovi isei keke mekilea mevahit meseini min avat keil onomai koa asila komai memai. ?Komul koviten sa usil keik sasom?”
JHN.1.23	Sakini, Sion sani min keil selusien onen provet 
JHN.1.24	Evus, meatin tei keil emun, koa 
JHN.1.25	keil avisi avit, “?Munak keik korvitei Mesaea, vuo Ilaetsa vuo Provet koa Ahi vat kati, vensa varei komul kovi 
JHN.1.26	Sion vit kesi min keil vit, “Inau navi baptaes en meatin keil en oai enges. Ka luhu en kami, meatin tai mul tuai koa kami mireingeingeni. 
JHN.1.27	Kei varei hemai hekatau enau ka hekes inau. Kei vi hetetamen imok mulin inau, ka narvinvintei keke mamai mahi slev onen keke makulat sandel onen.” 
JHN.1.28	Tounah vasi keil enek kur out vesesal en taon ten out Betani, en out koa Sion vi baptaes en meatin keil eni, en usite ist ten Oaisal Sodan.
JHN.1.30	Kei varei koa naselus usili navit, ‘Meatin tai hemai hekatau enau koa hehi hetetamen imok helin inau. Veni kei ro tuai en avong mulamu, navong arvasitei veah inau.’ 
JHN.1.31	Navong navit usili, inau mun nareingeingeni veah keke vi isei. Ka Ahi sila inau numai ekok keke mahi 
JHN.1.32+JHN.1.33	Sion vit risi vit, “Anatin. Mulamu, inau nareingeingeni veah keke vi isei. Ka Ahi, koa sila inau numai ekok mahi baptaes en meatin keil en oai, kei viteni minau vit, ‘Navong kiles 
JHN.1.34	Anatin eli naviteni min kami keke nalesi tuai. Ka navit leini min kami keke meatin enek varei vi Natin Ahi anatin.” 
JHN.1.35	En avong sav teni, Sion va ris en out enek ral min meatin elu onen. 
JHN.1.36	Ka navong Sion les Iesu mul mual va, viteni vit, “?Millesi? !Sipsip koa Ahi sila keinek!”
JHN.1.37	Navong meatin keilu onen luraengon asa koa kei viteni, luva lumusil Iesu. 
JHN.1.38	Navong Iesu mul mual va, viles ka les keilu lumul lumusili. Sakini, vis keilu vit, “?Kamil emil vat sa?”
JHN.1.38	Ka luvit kesi luvit, “Tiser, emal vati melvailea out kave koa koro ien.”
JHN.1.39	Iesu vit “Milhemai milhelesi.” Navong telmual telva, vi mendilah tuai ka meteiai mul vita netan neli. Ka luro ral mini rokol vongien.
JHN.1.40	Tai en keilu koa long selusien onen Sion ka musil Iesu, isen Andru, koa vi tunali Saemon Pita.
JHN.1.41	Ka navong selus ral min Iesu evus, hatte tas, va les Saemon Pita ka viteni mini vit, “Tuak, komal melvotin 
JHN.1.42	Evus, Andru mulamun Saemon va ven Iesu.
JHN.1.42	Ka navong Iesu lesi, viteni vit, “Keik kovi Saemon, natin Sion. Ka kosa heha, isom hehi Pita, koa aneite teni vi ‘ahat.’”
JHN.1.43	En avong sav eris, Iesu ling rendemien onen keke helokovein out Sodan, ka heha en provins ten out Kaleli. Sakini, va votin meatin tai koa isen Pilip ka viteni mini vit, “Amai, kusil kat nau.” 
JHN.1.44	Pilip vi koan Betsaeta, taon koa Andru ka Pita luka ien.
JHN.1.45	Pilip maeni ka va lekat tunali koa isen Nataniel. Navong votini, viteni mini vit, “Komai mevotin Mesaea koa 
JHN.1.46	Navong long selusien enek, Nataniel visi vit, “?Anatin? Tounah tovuol vatahos kilea vaka en taon kuren tai koa suval Nasaret.”
JHN.1.46	Ka Pilip vit kesi vit, “Amai, les visi.” Ka lumual luva ven Iesu.
JHN.1.47	Navong Iesu les Nataniel mul mai veni, viteni vit, “Koanik vi meatin tai koa romultei valiluvos, koa vinvin avahise en koan 
JHN.1.48	Navong Nataniel longe mukok, visi vit, “?Keik kokilea inau mukave?”
JHN.1.48	Iesu vit kesi vit, “Nalesuk tuai navong komul semau korondan en nimal ten vati 
JHN.1.49	Nataniel mutimanin ka viteni mini vit, “!Tiser, keik kovi Natin Ahi anatin! !Keik kovi asuv houlu ten out Isrel koa memul merosini!” 
JHN.1.50	Iesu viteni vit, “Keik kokur anatin enau veni komutimanin navitenis minuk keke nalesuk navong keik korondan semau en nimal ten vati fik tai. Ka hervitei tuetin, kiles tounah savsav keil koa hemarite mok helin koanik. 
JHN.1.51	Anatin eli naviteni minuk keke kiles out nesa heseha ka 
JHN.2.1	Avong elu muli va. Ka en avong etel (3) eni, meatin keil en meteimal ten out Kena amul amumon anien ten tetaliheien tai. Mama onen Iesu mul ral min keil. 
JHN.2.2	Ka asisil en Iesu ka 
JHN.2.3	Navong amul akanian, mama onen Iesu long kilea keke uaen tovuol emun avasani min meatin keil. Sakini, va ven Iesu ka viteni mini vit, “Uaen tovuol emun. ?Kokilea kovakataun keil eli?”
JHN.2.4	Ka Iesu vit kesi mini vit, “Mama, usite oralu tovuol ien. Avong kati keke mahothot enau min meatin keil keke navi isei romaitei veah.”
JHN.2.5	Ka mama onen va viteni min meatin keil toumien vit, “Kami mihoumon asa koa kei hehiteni min kami.”
JHN.2.6	En usite tai, Iesu les mari veioai ahetai (6) koa Siu keil asieni en oai keke akilea avakas motein tounah keil one vato vousil mengkatien keil one. Tetai en keil vinvin avasieni en lita handred tai (100).
JHN.2.7	Navong lesi, Iesu viteni min meatin keil toumien vit, “Alsien mari veioai keil ekek en oai.” Ka asieni vil rokol onge nesa. 
JHN.2.8	Amumoni evus, Iesu viteni min keil vit, “Miheseh oai enek en kap tai, ka mihesani min avat ten mari anien enek keke hemun visi.” Sakini, amumoni suval koa kei viteni.
JHN.2.9	Ka navong avat mun vis oai enek, muni vi uaen ka reingeingeni keke ka kave. Ka meatin keil toumien koa aseh oai enek akilea. Sakini, avat enek vise meatin koa retalihe 
JHN.2.10	ka selus tahos mini vit, “Meatin sav keil koa amumon mari anien keil, mulamu, amul asani min meatin keil uaen koa tahos koa mani teni keih. Ka navong meatin keil amunmun houlu ka armun kileatei mun kasien teni, asan uaen koa rotahos ramattei min keil. Ka keik, kovuli kat uaen koa tahos imok keke kokilea suk kovasani min komai vakatau.”
JHN.2.11	Sakini, en taon ten out Kena, Iesu mum rohtoh en merikel tai onen. En out enek, kei vothot en hetetamenien onen ka meatin keil onen aling demkatien one eni.
JHN.2.12	Tetaliheien evus, Iesu, mama onen, tunali keil, ka meatin keil onen uva en taon ten out Kapaniam. Ka aro ekonek avong vahis.
JHN.2.13	Avong ten 
JHN.2.14	Ka navong Iesu va en teahu ten Eim Votut, votini keke meatin keil houlu amul asalem en buluk, 
