GEN.1.2	E a terra era sem forma e vazia; e 
PSA.64.5	Firmam-se em mau intento; falam de armar laços secretamente, e dizem: Quem os verá? 
PSA.64.6	Fazem indagações maliciosas, inquirem tudo o que se pode inquirir; até o íntimo de cada um, e o profundo coração. 
PSA.64.7	Mas Deus disparará sobre eles uma seta, e de repente ficarão feridos. 
PSA.64.8	Assim eles farão com que as suas línguas se voltem contra si mesmos; todos aqueles que os virem fugirão. 
PSA.64.9	E todos os homens temerão, e anunciarão a obra de Deus; e considerarão prudentemente os seus feitos. 
PSA.64.10	O justo se alegrará no Senhor, e confiará nele, e todos os retos de coração se regozijarão.
PSA.65.1	A TI, ó Deus, espera o louvor em Sião, e a ti se pagará o voto. 
PSA.65.2	Ó tu que ouves as orações! a ti virá toda a carne. 
PSA.65.3	Prevalecem as iniquidades contra mim; mas tu perdoas as nossas transgressões. 
PSA.65.4	Bem-aventurado 
PSA.65.5	Com coisas tremendas de justiça nos responderás, ó Deus da nossa salvação; tu és a esperança de todas as extremidades da terra, e daqueles que estão longe sobre o mar; 
PSA.65.6	O que, pela sua força, consolida os montes, cingido de fortaleza, 
PSA.65.7	O que aplaca o ruído dos mares, o ruído das suas ondas e o tumulto das gentes. 
PSA.65.8	E os que habitam nos fins 
PSA.65.9	Tu visitas a terra e a refrescas; tu a enriqueces grandemente com o rio de Deus, 
PSA.65.10	Enches 
PSA.65.11	Coroas o ano da tua bondade, e as tuas veredas distilam gordura; 
PSA.65.12	Distilam 
PSA.65.13	Os campos cobrem-se de rebanhos, e os vales vestem-se de trigo; por isso, eles se regozijam e cantam.
PSA.66.1	LOUVAI a Deus com brados de júbilo, todas as terras. 
PSA.66.2	Cantai a glória do seu nome; dai glória ao seu louvor. 
PSA.66.3	Dizei a Deus: Quão terrível 
PSA.66.4	Toda a terra te adorará e te cantará louvores: eles cantarão o teu nome. (Selah.) 
PSA.66.5	Vinde, e vede as obras de Deus: 
PSA.66.6	Converteu o mar em 
PSA.66.7	Ele domina eternamente pelo seu poder: os seus olhos estão sobre as nações; não se exaltem os rebeldes. (Selah.) 
PSA.66.8	Bendizei, povos, ao nosso Deus, e fazei ouvir a voz do seu louvor: 
PSA.66.9	Ao que sustenta com vida a nossa alma, e não consente que resvalem os nossos pés. 
PSA.66.10	Pois tu, ó Deus, nos provaste; tu nos afinaste como se afina a prata. 
PSA.66.11	Tu nos meteste na rede; afligiste os nossos lombos. 
PSA.66.12	Fizeste com que os homens cavalgassem sobre as nossas cabeças; passámos pelo fogo e pela água; mas trouxeste-nos a 
PSA.66.13	Entrarei em tua casa com holocaustos; pagar-te-ei os meus votos, 
PSA.66.14	Que haviam pronunciado os meus lábios, e dissera a minha boca, quando eu estava na angústia. 
PSA.66.15	Oferecer-te-ei holocaustos de animais nédios, como odorante fumo de carneiros; oferecerei novilhos com cabritos (Selah). 
PSA.66.16	Vinde e ouvi, todos os que temeis a Deus, e eu contarei o que ele tem feito à minha alma. 
PSA.66.17	A ele clamei com a minha boca e ele foi exaltado pela minha língua. 
PSA.66.18	Se eu atender à iniquidade no meu coração, o Senhor não 
PSA.66.19	, na verdade, Deus 
PSA.66.20	Bendito 
PSA.67.2	Para que se conheça na terra o teu caminho, e em todas as nações a tua salvação. 
PSA.67.3	Louvem-te 
PSA.67.4	Alegrem-se e regozijem-se as nações, pois julgarás os povos 
PSA.67.5	Louvem-te 
PSA.67.6	 a terra dará o seu fruto; e Deus, o nosso Deus, nos abençoará. 
PSA.67.7	Deus nos abençoará, e todas as extremidades da terra o temerão.
PSA.68.2	Como se impele o fumo, 
PSA.68.3	Mas alegrem-se os justos, e se regozijem na presença de Deus, e folguem de alegria. 
PSA.68.4	Cantai a Deus, cantai louvores ao seu nome; louvai aquele que vai sobre os céus, pois o seu nome 
PSA.68.5	Pai de órfãos e juiz de viúvas 
PSA.68.6	Deus faz que o solitário viva em família: liberta aqueles que estão presos em grilhões; mas os rebeldes habitam em 
PSA.68.7	Ó Deus! quando saías adiante do teu povo; quando caminhavas pelo deserto, (Selah), 
PSA.68.8	A terra abalava-se, e os céus distilavam perante a face de Deus; o próprio Sinai tremeu na presença de Deus, do Deus de Israel. 
PSA.68.9	Tu, ó Deus, mandaste a chuva em abundância, confortaste a tua herança, quando estava cansada. 
PSA.68.10	Nela habitava o teu rebanho; tu, ó Deus, proveste o pobre da tua bondade. 
PSA.68.11	O Senhor deu a palavra; grande 
PSA.68.12	Reis de exércitos fugiram à pressa; e aquela que ficava em casa repartia os despojos. 
PSA.68.13	Ainda que vos deiteis entre redis, 
PSA.68.14	Quando o Omnipotente ali espalhou os reis, foi como quando cai a neve em Salmon. 
PSA.68.15	O monte de Deus 
PSA.68.16	Por que saltais, ó montes elevados? este 
PSA.68.17	Os carros de Deus 
PSA.68.18	Tu subiste ao alto, levaste cativo o cativeiro, recebeste dons para os homens, e até 
PSA.68.19	Bendito 
PSA.68.20	O nosso Deus é o Deus da salvação; e a 
PSA.68.21	Mas Deus ferirá gravemente a cabeça dos seus inimigos e o crânio cabeludo do que anda em suas culpas. 
PSA.68.22	Disse o Senhor: Eu os farei voltar de Basan; farei voltar 
PSA.68.23	Para que o teu pé mergulhe no sangue dos 
PSA.68.24	Ó Deus, eles têm visto os teus caminhos; os caminhos do meu Deus, meu Rei, no santuário. 
PSA.68.25	Os cantores iam adiante, os tocadores de instrumentos atrás; entre eles as donzelas, tocando adufes. 
PSA.68.26	Celebrai a Deus nas congregações; ao Senhor, desde a fonte de Israel. 
PSA.68.27	Ali 
PSA.68.28	O teu Deus ordenou a tua força; confirma, ó Deus, o que 
PSA.68.29	Por amor do teu templo em Jerusalém, os reis te trarão presentes. 
PSA.68.30	Repreende as feras dos canaviais, a multidão dos touros com os novilhos dos povos, pisando com os pés as suas peças de prata; dissipa os povos 
PSA.68.31	Embaixadores reais virão do Egito; a Etiópia cedo estenderá para Deus as suas mãos. 
PSA.68.32	Reinos da terra, cantai a Deus, cantai louvores ao Senhor (Selah). 
PSA.68.33	Àquele que vai montado sobre os céus dos céus, desde a antiguidade; eis que envia a sua voz, 
PSA.68.34	Dai a Deus fortaleza: a sua excelência 
PSA.68.35	Ó Deus, 
PSA.69.1	LIVRA-ME, ó Deus, pois as águas entraram até à 
PSA.69.2	Atolei-me em profundo lamaçal, onde 
PSA.69.3	Estou cansado de clamar; secou-se-me a garganta: os meus olhos desfalecem, esperando o meu Deus. 
PSA.69.4	Aqueles que me aborrecem, sem causa, são mais do que os cabelos da minha cabeça; aqueles que procuram destruir-me, 
PSA.69.5	Tu, ó Deus, bem conheces a minha insipiência; e os meus pecados não te são encobertos. 
PSA.69.6	Não sejam envergonhados por minha causa aqueles que esperam em ti, ó Senhor, Senhor dos Exércitos; não sejam confundidos por minha causa aqueles que te buscam, ó Deus de Israel. 
PSA.69.7	Porque por amor de ti tenho suportado afrontas; a confusão cobriu o meu rosto. 
PSA.69.8	Tenho-me tornado como um estranho para com os meus irmãos, e um desconhecido para com os filhos da minha mãe. 
PSA.69.9	Pois o zelo da tua casa me devorou, e as afrontas dos que te afrontam caíram sobre mim. 
PSA.69.10	Chorei, e 
PSA.69.11	Pus por vestido um saco, e me fiz um provérbio para eles. 
PSA.69.12	Aqueles que se assentam à porta falam contra mim; sou a canção dos bebedores de bebida forte. 
PSA.69.13	Eu, porém, 
PSA.69.14	Tira-me do lamaçal e não me deixes atolar; seja eu livre dos que me aborrecem e das profundezas das águas. 
PSA.69.15	Não me leve a corrente das águas e não me sorva o abismo, nem o poço cerre a sua boca sobre mim. 
PSA.69.16	Ouve-me, Senhor, pois boa 
PSA.69.17	E não escondas o teu rosto do teu servo, porque estou angustiado: ouve-me depressa. 
PSA.69.18	Aproxima-te da minha alma, 
PSA.69.19	Bem conheces a minha afronta e a minha vergonha, e a minha confusão; diante de ti 
PSA.69.20	Afrontas me quebrantaram o coração e estou fraquíssimo: esperei 
PSA.69.21	Deram-me fel por mantimento e, na minha sede, me deram a beber vinagre. 
PSA.69.22	Torne-se a sua mesa diante deles em laço e, para 
PSA.69.23	Escureçam-se-lhes os olhos, para que não vejam, e faze com que os seus lombos tremam constantemente. 
PSA.69.24	Derrama sobre eles a tua indignação, e prenda-os o ardor da tua ira. 
PSA.69.25	Fique desolado o seu palácio; e não haja quem habite nas suas tendas. 
PSA.69.26	Pois perseguem a quem afligiste, e conversam sobre a dor daqueles a quem feriste. 
PSA.69.27	Acrescenta a iniquidade à iniquidade deles, e não entrem na tua justiça. 
PSA.69.28	Sejam riscados do livro da vida e não sejam inscritos com os justos. 
PSA.69.29	Eu, porém, estou aflito e triste: ponha-me a tua salvação, ó Deus, 
PSA.69.30	Louvarei o nome de Deus com cântico, e engrandecê-lo-ei com ação de graças. 
PSA.69.31	 será mais agradável ao Senhor do que o boi ou bezerro, que tem pontas e unhas. 
PSA.69.32	Os mansos verão 
PSA.69.33	Porque o Senhor ouve os necessitados, e não despreza os seus cativos. 
PSA.69.34	Louvem-no os céus e a terra, os mares e tudo quanto neles se move. 
PSA.69.35	Porque Deus salvará a Sião, e edificará as cidades de Judá, para que habitem ali e a possuam. 
PSA.69.36	E herdá-la-á a semente dos seus servos, e os que amam o seu nome habitarão nela.
PSA.70.1	APRESSA-TE, ó Deus, em me livrar; Senhor, 
PSA.70.2	Fiquem envergonhados e confundidos os que procuram a minha alma; tornem atrás e confundam-se os que me desejam mal. 
PSA.70.3	Voltem as costas, cobertas de vergonha, os que dizem: Ah! Ah! 
PSA.70.4	Folguem e alegrem-se em ti todos os que te buscam; e aqueles que amam a tua salvação digam continuamente: Engrandecido seja Deus. 
PSA.70.5	Eu, porém, 
PSA.71.1	EM ti, Senhor, confio; nunca seja eu confundido. 
PSA.71.2	Livra-me na tua justiça, e faze que eu escape: inclina os teus ouvidos para mim, e salva-me. 
PSA.71.3	Sê tu a minha habitação forte, à qual possa recorrer continuamente: deste um mandamento que me salva, pois tu 
PSA.71.4	Livra-me, meu Deus, das mãos do ímpio, das mãos do homem injusto e cruel. 
PSA.71.5	Pois tu 
PSA.71.6	Por ti, tenho sido sustentado desde o ventre: tu 
PSA.71.7	Sou como um prodígio para muitos, mas tu 
PSA.71.8	Encha-se a minha boca do teu louvor e da tua glória todo o dia. 
PSA.71.9	Não me rejeites no tempo da velhice; não me desampares, quando se for acabando a minha força. 
PSA.71.10	Porque os meus inimigos falam contra mim, e os que espiam a minha alma consultam juntos, 
PSA.71.11	Dizendo: Deus o desamparou: persegui-o e prendei-o, pois não 
PSA.71.12	Ó Deus, não te alongues de mim; meu Deus, apressa-te em ajudar-me. 
PSA.71.13	Sejam confundidos e consumidos os que são adversários da minha alma; cubram-se de opróbrio e de confusão aqueles que procuram o meu mal. 
PSA.71.14	Mas eu esperarei continuamente, e te louvarei cada vez mais. 
PSA.71.15	A minha boca relatará 
PSA.71.16	Sairei na força do Senhor Deus; farei menção da tua justiça, e só dela. 
PSA.71.17	Ensinaste-me, ó Deus, desde a minha mocidade; e até aqui tenho anunciado as tuas maravilhas. 
PSA.71.18	Agora, também, quando estou velho e de cabelos brancos, não me desampares, ó Deus, até que tenha anunciado a tua força a 
PSA.71.19	Também a tua justiça, ó Deus, 
PSA.71.20	, que me tens feito ver muitos males e angústias, me darás ainda a vida, e me tirarás dos abismos da terra. 
PSA.71.21	Aumentarás a minha grandeza, e de novo me consolarás. 
PSA.71.22	Também eu te louvarei com o saltério, 
PSA.71.23	Os meus lábios exultarão quando eu te cantar, assim como a minha alma que tu remiste. 
PSA.71.24	A minha língua falará da tua justiça, todo o dia; pois estão confundidos e envergonhados aqueles que procuram o meu mal.
PSA.72.1	Ó DEUS, dá ao rei os teus juízos, e a tua justiça ao filho do rei. 
PSA.72.2	Ele julgará ao teu povo com justiça, e aos teus pobres com juízo. 
PSA.72.3	Os montes trarão paz ao povo, e os outeiros justiça. 
PSA.72.4	Julgará os aflitos do povo, salvará os filhos do necessitado e quebrantará o opressor. 
PSA.72.5	Temer-te-ão enquanto durar o sol e a lua, de geração em geração. 
PSA.72.6	Ele descerá como a chuva sobre a erva ceifada, como os chuveiros que humedecem a terra. 
PSA.72.7	Nos seus dias, florescerá o justo, e abundância de paz haverá enquanto durar a lua. 
PSA.72.8	Dominará de mar a mar, e desde o rio até às extremidades da terra. 
PSA.72.9	Aqueles que habitam no deserto se inclinarão ante ele, e os seus inimigos lamberão o pó. 
PSA.72.10	Os reis de Társis e das ilhas trarão presentes; os reis de Sheba e de Sabá oferecerão dons. 
PSA.72.11	E todos os reis se prostrarão perante ele; todas as nações o servirão. 
PSA.72.12	Porque ele livrará ao necessitado quando clamar, como, também, ao aflito e ao que não tem quem o ajude. 
PSA.72.13	Compadecer-se-á do pobre e do aflito, e salvará as almas dos necessitados. 
PSA.72.14	Libertará as suas almas do engano e da violência, e precioso será o seu sangue aos olhos dele. 
PSA.72.15	E viverá, e se lhe dará o ouro de Sheba; e continuamente se fará por ele oração; e todos os dias o bendirão. 
PSA.72.16	Haverá um punhado de trigo na terra sobre os cumes dos montes; o seu fruto se moverá como o Líbano, e 
PSA.72.17	O seu nome permanecerá eternamente; o seu nome se irá propagando de pais a filhos, enquanto o sol 
PSA.72.18	Bendito 
PSA.72.19	E bendito 
PSA.72.20	Findam aqui as orações de David, filho de Jessé.
PSA.73.1	VERDADEIRAMENTE bom 
PSA.73.2	Quanto a mim, os meus pés quase que se desviaram; pouco faltou para que escorregassem os meus passos. 
PSA.73.3	Pois eu tinha inveja dos soberbos, ao ver a prosperidade dos ímpios. 
PSA.73.4	Porque não 
PSA.73.5	Não se acham em trabalhos 
PSA.73.6	Pelo que, a soberba os cerca como um colar; vestem-se de violência 
PSA.73.7	Os olhos deles estão inchados de gordura: superabundam as imaginações do seu coração. 
PSA.73.8	São corrompidos e tratam maliciosamente de opressão; falam arrogantemente. 
PSA.73.9	Erguem a sua boca contra os céus, e a sua língua percorre a terra. 
PSA.73.10	Pelo que o seu povo volta aqui, e águas de 
PSA.73.11	E dizem: Como 
PSA.73.12	Eis que estes 
PSA.73.13	Na verdade que em vão tenho purificado o meu coração e lavado as minhas mãos na inocência. 
PSA.73.14	Pois todo o dia tenho sido afligido, e castigado cada manhã. 
PSA.73.15	Se eu dissesse: Também falarei assim; eis que ofenderia a geração de teus filhos. 
PSA.73.16	Quando pensava em compreender isto, fiquei sobremodo perturbado; 
PSA.73.17	Até que entrei no santuário de Deus: 
PSA.73.18	Certamente tu os puseste em lugares escorregadios: tu os lanças em destruição. 
PSA.73.19	Como caem na desolação, quase num momento! ficam totalmente consumidos de terrores. 
PSA.73.20	Como faz com um sonho, o que acorda, 
PSA.73.21	Assim o meu coração se azedou, e sinto picadas nos meus rins. 
PSA.73.22	Assim me embruteci, e nada sabia; era 
PSA.73.23	Todavia, 
PSA.73.24	Guiar-me-ás com o teu conselho, e depois, me receberás em glória. 
PSA.73.25	A quem tenho eu no céu 
PSA.73.26	A minha carne e o meu coração desfalecem; 
PSA.73.27	Pois eis que os que se alongam de ti, perecerão; tu tens destruído todos aqueles que, apostatando, se desviam de ti. 
PSA.73.28	Mas, para mim, bom 
PSA.74.1	Ó DEUS, por que 
PSA.74.2	Lembra-te da tua congregação, 
PSA.74.3	Levanta-te contra as perpétuas assolações, contra tudo 
PSA.74.4	Os teus inimigos bramam no meio dos lugares santos; põem 
PSA.74.5	Parecem-se com o homem que avança com o seu machado através da espessura do arvoredo. 
PSA.74.6	Eis que toda a obra entalhada quebram com machados e martelos. 
PSA.74.7	Lançaram fogo ao teu santuário; profanaram, derribando-a até ao chão, a morada do teu nome. 
PSA.74.8	Disseram nos seus corações: Despojemo-los de uma vez. Queimaram todos os lugares santos de Deus na terra. 
PSA.74.9	Já não vemos os nossos sinais, já não 
PSA.74.10	Até quando, ó Deus, 
PSA.74.11	Por que retiras a tua mão, sim, a tua dextra? tira-
PSA.74.12	Todavia, Deus 
PSA.74.13	Tu dividiste o mar pela tua força; quebrantaste as cabeças dos monstros das águas. 
PSA.74.14	Fizeste em pedaços as cabeças do leviatã, 
PSA.74.15	Fendeste a fonte e o ribeiro: secaste os rios impetuosos. 
PSA.74.16	Teu 
PSA.74.17	Estabeleceste todos os limites da terra; verão e inverno tu os formaste. 
PSA.74.18	Lembra-te disto: 
PSA.74.19	Não entregues às feras a alma da tua rola: não te esqueças, para sempre, da vida dos teus aflitos. 
PSA.74.20	Atenta para o 
PSA.74.21	Oh, não volte envergonhado o oprimido: louvem o teu nome o aflito e o necessitado. 
PSA.74.22	Levanta-te, ó Deus, pleiteia a tua própria causa; lembra-te da afronta que o louco te faz cada dia. 
PSA.74.23	Não te esqueças dos gritos dos teus inimigos; o tumulto daqueles que se levantam contra ti aumenta continuamente.
PSA.75.1	A TI, ó Deus, glorificamos, 
PSA.75.2	Quando eu ocupar o lugar determinado, julgarei retamente. 
PSA.75.3	Dissolve-se a terra e todos os seus moradores, mas eu fortaleci as suas colunas (Selah). 
PSA.75.4	Disse eu aos loucos: Não enlouqueçais; e aos ímpios: Não levanteis a fronte; 
PSA.75.5	Não levanteis a vossa fronte altiva, 
PSA.75.6	Porque nem do oriente, nem do ocidente, nem do deserto 
PSA.75.7	Mas Deus 
PSA.75.8	Porque na mão do Senhor 
PSA.75.9	Mas, quanto a mim, anunciarei para sempre; cantarei louvores ao Deus de Jacob. 
PSA.75.10	E quebrantarei todas as forças dos ímpios, 
PSA.76.1	CONHECIDO 
PSA.76.2	E em Salem está o seu tabernáculo, e a sua morada em Sião. 
PSA.76.3	Ali quebrou as frechas do arco: o escudo, e a espada, e a guerra (Selah). 
PSA.76.4	Tu 
PSA.76.5	Os que são ousados de coração foram despojados; dormiram o seu sono, e nenhum dos homens de força achou as suas mãos. 
PSA.76.6	À tua repreensão, ó Deus de Jacob, carros e cavalos são lançados num sono profundo. 
PSA.76.7	Tu, tu 
PSA.76.8	Desde os céus fizeste ouvir o teu juízo; a terra tremeu e se aquietou, 
PSA.76.9	Quando Deus se levantou para julgar, para livrar a todos os mansos da terra (Selah). 
PSA.76.10	Porque a cólera do homem redundará em teu louvor; o restante da cólera tu o restringirás. 
PSA.76.11	Fazei votos, e pagai ao Senhor, vosso Deus: tragam presentes, os que estão em redor dele, àquele que é tremendo. 
PSA.76.12	Ele ceifará o espírito dos príncipes: 
PSA.77.1	CLAMEI ao Senhor 
PSA.77.2	No dia da minha angústia, busquei ao Senhor: a minha mão se estendeu de noite e não cessava; a minha alma recusava ser consolada. 
PSA.77.3	Lembrava-me de Deus, e me perturbei; queixava-me, e o meu espírito desfalecia (Selah). 
PSA.77.4	Sustentaste os meus olhos vigilantes: estou tão perturbado que não posso falar. 
PSA.77.5	Considerava os dias da antiguidade, os anos dos tempos passados. 
PSA.77.6	De noite, chamei à lembrança o meu cântico: meditei em meu coração, e o meu espírito investigou. 
PSA.77.7	Rejeitará o Senhor para sempre, e não tornará a ser favorável? 
PSA.77.8	Cessou para sempre a sua benignidade? acabou-se 
PSA.77.9	Esqueceu-se Deus de ter misericórdia? ou encerrou ele as suas misericórdias na sua ira? (Selah). 
PSA.77.10	E eu disse: Isto 
PSA.77.11	Lembrar-me-ei, pois, das obras do Senhor: certamente que me lembrarei das tuas maravilhas da antiguidade. 
PSA.77.12	Meditarei, também, em todas as tuas obras, e falarei dos teus feitos. 
PSA.77.13	O teu caminho, ó Deus, 
PSA.77.14	Tu és o Deus que fazes maravilhas: tu fizeste notória a tua força entre os povos. 
PSA.77.15	Com o 
PSA.77.16	As águas te viram, ó Deus, as águas te viram, 
PSA.77.17	Grossas nuvens se desfizeram em água; os céus retumbaram: as tuas frechas correram, de uma para outra parte. 
PSA.77.18	A voz do teu trovão repercutiu-se nos ares; os relâmpagos alumiaram o mundo; a terra se abalou e tremeu. 
PSA.77.19	Pelo mar foi teu caminho, e tuas veredas pelas grandes águas; e as tuas pegadas não se conheceram. 
PSA.77.20	Guiaste o teu povo, como a um rebanho, pela mão de Moisés e de Aarão.
PSA.78.2	Abrirei a minha boca numa parábola; proporei enigmas da antiguidade. 
PSA.78.3	Os quais temos ouvido e sabido, e nossos pais no-los têm contado. 
PSA.78.4	Não os encobriremos aos seus filhos, mostrando à geração futura os louvores do Senhor, assim como a sua força e as maravilhas que fez. 
PSA.78.5	Porque ele estabeleceu 
PSA.78.6	Para que a geração vindoura 
PSA.78.7	Para que pusessem em Deus a sua esperança, e se não esquecessem das obras de Deus, mas guardassem os seus mandamentos. 
PSA.78.8	E não fossem como seus pais, geração contumaz e rebelde, geração 
PSA.78.9	Os filhos de Efraim, armados e trazendo arcos, retrocederam no dia da peleja. 
PSA.78.10	Não guardaram o concerto de Deus, e recusaram andar na sua lei, 
PSA.78.11	E esqueceram-se das suas obras e das maravilhas que lhes fizera ver, 
PSA.78.12	Maravilhas que ele fez à vista dos seus pais na terra do Egito, 
PSA.78.13	Dividiu o mar, e os fez passar por ele; fez com que as águas parassem como num montão. 
PSA.78.14	De dia, os guiou com uma nuvem, e toda a noite, com um clarão de fogo. 
PSA.78.15	Fendeu as penhas no deserto; e deu-
PSA.78.16	Fez sair fontes da rocha, e fez correr as águas como rios. 
PSA.78.17	E 
PSA.78.18	E tentaram a Deus nos seus corações, pedindo carne para satisfazerem o seu apetite. 
PSA.78.19	E falaram contra Deus, e disseram: Poderá Deus, porventura, preparar-
PSA.78.20	Eis que feriu a penha, e águas correram 
PSA.78.21	Pelo que, o Senhor 
PSA.78.22	Porquanto não creram em Deus, nem confiaram na sua salvação, 
PSA.78.23	Posto que tivesse mandado às altas nuvens, e tivesse aberto as portas dos céus, 
PSA.78.24	E fizesse chover sobre eles o maná para comerem, e lhes tivesse dado do trigo do céu. 
PSA.78.25	Cada um comeu o pão dos poderosos; ele lhes mandou comida com abundância. 
PSA.78.26	Fez soprar o vento do oriente nos céus, e trouxe o sul com a sua força. 
PSA.78.27	E choveu sobre eles carne como pó, e aves de asas como a areia do mar. 
PSA.78.28	E 
PSA.78.29	Então comeram e se fartaram bem; pois lhes satisfez o desejo. 
PSA.78.30	Não refrearam o seu apetite. Ainda lhes 
PSA.78.31	Quando a ira de Deus desceu sobre eles, e matou os mais fortes deles, e feriu os escolhidos de Israel. 
PSA.78.32	Com tudo isto, ainda pecaram, e não deram crédito às suas maravilhas. 
PSA.78.33	Pelo que, consumiu os seus dias na vaidade e os seus anos na angústia. 
PSA.78.34	Pondo-os ele à morte, então o procuravam; e voltavam, e de madrugada buscavam a Deus. 
PSA.78.35	E lembravam-se de que Deus era a sua rocha, e o Deus Altíssimo o seu Redentor. 
PSA.78.36	Todavia, lisonjeavam-no com a boca, e com a língua lhe mentiam, 
PSA.78.37	Porque o seu coração não 
PSA.78.38	Mas ele, que é misericordioso, perdoou a sua iniquidade, e não 
PSA.78.39	Porque se lembrou de que 
PSA.78.40	Quantas vezes o provocaram no deserto, e o ofenderam na solidão! 
PSA.78.41	Voltaram atrás e tentaram a Deus; e duvidaram do Santo de Israel. 
PSA.78.42	Não se lembraram 
PSA.78.43	Como operou os seus sinais no Egito e as suas maravilhas no campo de Zoan; 
PSA.78.44	E converteu em sangue os seus rios e as suas correntes, para que não pudessem beber. 
PSA.78.45	E lhes mandou enxames de moscas que os consumiram, e rãs que os destruíram. 
PSA.78.46	Deu, também, ao pulgão a sua novidade, e o seu trabalho aos gafanhotos. 
PSA.78.47	Destruiu as suas vinhas com saraiva, e os seus sicómoros com pedrisco. 
PSA.78.48	Também entregou o seu gado à saraiva, e aos coriscos os seus rebanhos. 
PSA.78.49	E atirou para o meio deles, quais mensageiros de males, o ardor da sua ira, furor, indignação, e angústia. 
PSA.78.50	Abriu caminho à sua ira; não poupou a alma deles à morte, nem a vida deles à pestilência. 
PSA.78.51	E feriu todo o primogénito no Egito, primícias da 
PSA.78.52	Mas fez 
PSA.78.53	E os guiou com segurança, e não temeram; mas o mar cobriu os seus inimigos. 
PSA.78.54	E conduziu-os até ao limite do seu santuário, até este monte que a sua dextra adquiriu. 
PSA.78.55	E expulsou as nações de diante deles, e, dividindo suas terras, lhas deu por herança, e fez habitar em suas tendas as tribos de Israel. 
PSA.78.56	Contudo, tentaram e provocaram o Deus Altíssimo, e não guardaram os seus testemunhos. 
PSA.78.57	Mas tornaram atrás, e portaram-se aleivosamente, como seus pais: viraram-se como 
PSA.78.58	Pois lhe provocaram a ira com os seus altos, e despertaram-lhe o zelo com as suas imagens de escultura. 
PSA.78.59	Deus ouviu 
PSA.78.60	Pelo que, desamparou o tabernáculo em Silo, a tenda 
PSA.78.61	E deu a sua força ao cativeiro; e a sua glória à mão do inimigo. 
PSA.78.62	E entregou o seu povo à espada; e encolerizou-se contra a sua herança. 
PSA.78.63	Aos seus mancebos, consumiu-os o fogo, e as suas donzelas não tiveram festa nupcial. 
PSA.78.64	Os seus sacerdotes caíram à espada, e suas viúvas não se lamentaram. 
PSA.78.65	Então o Senhor despertou, como de um sono, como um valente a quem vinho excitasse. 
PSA.78.66	E feriu os seus adversários, que fugiram, e pô-los em perpétuo desprezo. 
PSA.78.67	Além disto, rejeitou a tenda de José, e não elegeu a tribo de Efraim. 
PSA.78.68	Antes, elegeu a tribo de Judá; o monte de Sião, que ele amava. 
PSA.78.69	E edificou o seu santuário como aos lugares elevados, como a terra que fundou para sempre. 
PSA.78.70	Também elegeu a David, seu servo, e o tirou dos apriscos das ovelhas. 
PSA.78.71	De após as ovelhas pejadas o trouxe, para apascentar a Jacob, seu povo, e a Israel, sua herança. 
PSA.78.72	Assim os apascentou, segundo a integridade do seu coração, e os guiou com a perícia das suas mãos.
PSA.79.2	Deram os cadáveres dos teus servos por comida às aves dos céus, e a carne dos teus santos às alimárias da terra. 
PSA.79.3	Derramaram o sangue deles como água, ao redor de Jerusalém, e não houve 
PSA.79.4	Estamos feitos o opróbrio dos nossos vizinhos, o escárnio e a zombaria dos que 
PSA.79.5	Até quando, Senhor? indignar-te-ás para sempre? Arderá o teu zelo como fogo? 
PSA.79.6	Derrama o teu furor sobre as nações que te não conhecem, e sobre os reinos que não invocam o teu nome. 
PSA.79.7	Porque devoraram a Jacob, e assolaram as suas moradas. 
PSA.79.8	Não te lembres das nossas iniquidades passadas: apressa-te e antecipem-se-nos as tuas misericórdias, pois estamos muito abatidos. 
PSA.79.9	Ajuda-nos, ó Deus da nossa salvação, pela glória do teu nome: e livra-nos, e perdoa os nossos pecados, por amor do teu nome. 
PSA.79.10	Por que diriam os gentios: Onde está o seu Deus? Torne-se manifesta entre as nações, à nossa vista, a vingança do sangue derramado dos teus servos. 
PSA.79.11	Chegue à tua presença o gemido dos presos; segundo a grandeza do teu braço, preserva aqueles que estão sentenciados à morte. 
PSA.79.12	E aos nossos vizinhos, deita-lhes no regaço, setuplicadamente, a sua injúria com que te injuriaram, Senhor. 
PSA.79.13	Assim nós, teu povo e ovelhas de teu pasto, te louvaremos eternamente: de geração em geração, cantaremos os teus louvores.
PSA.80.2	Perante Efraim, Benjamim e Manassés, desperta o teu poder, e vem salvar-nos. 
PSA.80.3	Faze-nos voltar, ó Deus; faze resplandecer o teu rosto, e seremos salvos, 
PSA.80.4	Ó Senhor, Deus dos Exércitos, até quando te indignarás contra a oração do teu povo? 
PSA.80.5	Tu os sustentas com pão de lágrimas, e lhes dás a beber lágrimas em abundância. 
PSA.80.6	Tu nos pões por objeto de contenção entre os nossos vizinhos: e os nossos inimigos zombam 
PSA.80.7	Faze-nos voltar, ó Deus dos Exércitos; faze resplandecer o teu rosto, e seremos salvos. 
PSA.80.8	Trouxeste uma vinha do Egito: lançaste fora as nações, e a plantaste. 
PSA.80.9	Preparaste-lhe 
PSA.80.10	Os montes cobriram-se com a sua sombra, e como os cedros de Deus se tornaram os seus ramos. 
PSA.80.11	Ela estendeu a sua ramagem até ao mar, e os seus ramos até ao rio. 
