GEN.1.1	Kitu inanggayát na, ay pinarsuwa ne Dios ya lángit se iya kalawagán. 
ACT.1.19	Nammuwán ngámin datu iJerusalem, ay díkod nepangágan da tu lusà ka Akeldama kitu aggúni da kampela ngin. Ya sarut natun, ay “Lusà Dága.”)
ACT.1.20	“Nán na kiya libru nga Salmo panggap kitu Judas nga,
ACT.1.20	‘Mabaaw din ya balay na. Awan din magyán.’
ACT.1.20	Ay nán na pe nga,
ACT.1.20	‘Atán din sabáli pumatáli kaggína kiya ubra na,’ nán na”
ACT.1.20	nán ne Pedro.
ACT.1.21+ACT.1.22	“Ay díkod atán din meamung manin kadakami, nga isa nga nakasingan ke Apu Jesus nga linumtu win, nga mabalin pe nga mangipakammu kitu nasingan na,” nán ne Pedro. “May masápul la isa kadatu nebul-bulun kadakami peyang kitu kowad ne Apu Jesus kadàtada, nanggayát kitu inagbaw-bawtisár natu Juan, panda kitu nekálà ne Jesus ka lángit,” nán ne Pedro.
ACT.1.23	Ay tútu nangikagi da ka duwa nga tolay: De Jose se Matias. E Jose, ay nepangágan da pe ka Barsabas, nga Justos kam pe. 
ACT.1.24	Ay nagkarárag da, nga nán da, “Apu, ammum ya ur-uray daya ngámin tolay, ay ipakammum mán nu iinna kadedi duwa ya píli mu, 
ACT.1.25	nga pumatáli kiya ubra se kinaapostol, nga nigsán tu Judas kane nawe ka giyán na karbangán na kampela ngin nin,” nán da. 
ACT.1.26	Ay tútu nagbibinnúnut da ngin, ay tu Matias tu nabúnut. Ay díkod aggína ngin tu neamung kadatu sangapúlu se isa nga apostoles.
ACT.2.1	Ay kane umbet tu algaw natu Pentecostes, ay nagguurnung ngámin datu mangurug ke Jesus kitu isa nga giyán. 
ACT.2.2	Pagkìlát da ngala ya nadudúrán nga ummán ka naggat ta báli, nga naggayát ka lángit. Ummán ka negilat kitu nagyanán da nga balay tu tannug na. 
ACT.2.3	Ay se da la nataggisaán nga napatutunán kitu ummán ka gatang naya apuy nga nasingan da. 
ACT.2.4	Ay ittu tun tu nekaalubuwán da ngámin ki Ispiritu ne Dios, ay se da la nagúni ka nagbal-baláki nga aggúni nga akkan da napadán ammu, áta ya Ispiritu ne Dios tu nagpeúni kaggída.
ACT.2.5	Ay atán da napikkilan na makaDios nga Judyu ka Jerusalem, nga naggayát kadaya ngámin giy-giyán kídi kalawagán. 
ACT.2.6	Ay kane magìna datu adu wa tolay tu adudúrán, ay naglalbet da. Ay pagballà da tu mà-màwa, ta nagìna da ngámin datu aggúni da kampela ngin, nga neúni datu mangurug ke Jesus. 
ACT.2.7	Ay nasdaáwan da tutu wala, ay tutu nán da, “Di mà iGalilea dayán na magun-úni? 
ACT.2.8	ay taanna, tura daya aggúni tada kampela ngin nin daya magìna tada nga iúni da,” nán da. 
ACT.2.9	“Dàtada, iPartia tada nga duddúma, ay daya duddúma, ay iMedia se iElam. Ay atán da pe iMesopotamia se iJudea se iCapadocia se iPonto se iAsia, 
ACT.2.10	se iFrigia se iPamfilia se iEgipto. Ay gayát pe daya duddúma ka íli nga Libia nga adanni ka Cirene. Atán pe daya kapáda tada nga mangurug ke Dios nga iRoma, may Judyu datu mannákam datu duddúma, se akkan Judyu datu mannákam datu duddúma. 
ACT.2.11	Atán da pe iCreta se iArabia. Nagbal-baláki nga íli ya naggayatán tada, ngamay daya aggúni tada ya magìna tada kiya angngikagi da kadaya nakas-kasdáaw wa kinuwa ne Dios,” nán da. 
ACT.2.12	Nasdaáwan da ngámin se akkan da maaw-awátan tu nàwa. Ay tútu nán da kitu isaisa kaggída, “Nágan nád sarut nedi nga mà-màwa?” nán da.
ACT.2.13	May, “Naggiinglaw kammala dayán nin,” nán datu duddúma nga mangug-og kaggída.
ACT.2.14	Ay tútu nagsíkád de Pedro win se datu sangapúlu se isa nga kabbulun na. Ay se la nagbàbànán ne Pedro kaggída, nga nán na kídi: “Gìnán dà mán, dakayu wa pádà a Judyu, se ngámin kayu wa pádà a atán kídi Jerusalem, ta atán ipakammù kadakayu. 
ACT.2.15	Dalínán nu, nu ninglaw kami, ngamay akkan, áta áwan maginglaw kadaya tolay ki alas nuwebe ki pagmakát,” nán na. 
ACT.2.16	“Ngamay idi nga nàwa kadakami, ay ittu idi yin tu kàwa natu kinagi natu Joel la maragbàbànán kitun, nga nán na,
ACT.2.17	‘Kinagi ne Dios nga kiya kamuddiyánan na algaw, ay alubuwán na ngámin tolay kiya Ispiritu na, nán na. Túya ibàbànán daya annánà nu daya pekagi na. Makasingan pe daya lalláki nu kadaya piyán na nga ipassingan kaggída, se tagimpán pe daya lal-làlákay nu daya ipatagenap na, nán na. 
ACT.2.18	Kurug mà nga ialúbu na ya Ispiritu na nu isa ngalgaw kadaya mangikurug kaggína, oray lalláki se babbay, nán na. Ay túya ibàbànán da pe ya pekagi na kaggída, nán na. 
ACT.2.19	Mangipassingan pe ka nakas-kasdáaw ka lángit se kídi kalawagán, ta atán ngámin daya dága se apuy se atù, nán na. 
ACT.2.20	Maggìbat ya mata, ay ya búlán, dumgáng nga ummán ka dága, nán na, ay se yala umbet ya napatag se nadáyaw nga algaw ne Apu. 
ACT.2.21	Ay biyágan ne Dios ngámin daya makiapu kaggína, nán na,’” nán ne Pedro.
ACT.2.22	“Kapádà a iIsrael, gìnán nu mán ya kagiyan ku. E Jesus nga iNazaret tu nepakammu ne Dios nga Nebon na, ta adu datu kinuwaán na nga nakas-kasdáaw, ka angngipassingan na ki pannakabalin na. Ngamay ammu nu dayanin, ta nasingan nu datu nepàwaán ne Dios kaggína. 
ACT.2.23	Ngamay neáwat da kadakayu nga ummán kitu napadán palánu se ammu ne Dios. Nepelansa nu tu nangipapatay nu kadatu maragbásul la tolay. 
ACT.2.24	Ngamay nippà ne Dios ya turáy naya pannakatay kaggína, ay se na pinaltu, ta akkan mabalin na makapagdadágat ya pannakatay kaggína. 
ACT.2.25	Ata nán natu David kídi kitun panggap kaggína:
ACT.2.25	‘Sikkaammu wà nga abul-bulunan nà peyang ne Apu, ay túya áwan ku tutu wala ikansing. 
ACT.2.26	Ay túya maganggam mà pe, se napiya pe ya uray ku, ta innanamán ku nga 
ACT.2.27	akkan na pagdudoray ya kaduduwà kiya pagkakapannán datu kaduduwa datu natay, se akkan na nga ipalúbus nga merup-áng ya baggi naya piníli na nga Ibon na. 
ACT.2.28	Nepakammu na pe kiyà nga mabiyág gà kammin ka áwan panda, se maganggam mà pànang, ta atán kiyà,’ nán na” nán ne Pedro.
ACT.2.29	“Kabbulun na iIsrael, kagiyan ku kadakayu, nga akkan wayya nga itu baggi tu David kampela ngin tu nán na kitun, ta aggína tu isa kadatu inagkona tada, nga natay yin. Netaman da, ay atán kam ya lúbù na kadedi nga al-algaw. 
ACT.2.30	Ay gapu ta agkakagiyán ne Dios tu David kadatu pekagi na, ay díkod ammu na tu nekari ne Dios kaggína, nga pagtugawan na ka Apu nga ummán kaggína ya isa nga gakagaka na. 
ACT.2.31	Ay ammu na lugud ya ammaltu ne Dios kiya Ibon na kídi kalawagán, áta ittu lugud tu nán na kane nán na nga akkan merup-áng ya baggi na, se akkan pe magdadágat ya kaduduwa na kiya pagkakapannán datu kaduduwa datu natay. 
ACT.2.32	E Jesus ya kepapannán datun na kinag-kagi natu David kadatun. Pinaltu kurug ne Dios nge Jesus, ay dakami ngámin ya nakasingan.”
ACT.2.33+ACT.2.34+ACT.2.35	“Kídi yin, ay atán kiya padne diwanán ne Dios, nga mepangituráy kaggína. E Jesus mà tu nawe ka lángit, nga akkan itu David. Tu David mismu tu nagkuna kídi:
ACT.2.33+ACT.2.34+ACT.2.35	‘Nán ne Apu kiya Apu ku, Magtugaw ka kídi padne diwanán ku, panda kiya angngabà ku tutu wala kadaya kalínga mu, nán na.’
ACT.2.33+ACT.2.34+ACT.2.35	Ay kídi yin na atán ne Jesus ka giyán ne Dios nga Ama na ngin, ay nepealúbu ne Dios kaggína ya Ispiritu na kadaya mangurug kaggína, ta ittu tu nekari na kitun. Ay díkod ittu ya nasingan nu se nagìna nu nga nàwa kanedi kadaddanen, ay ittu tunin tu Ispiritu nga nealúbu na kadakami.
ACT.2.36	Díkod dakayu ngámin na pádà a iIsrael, maawátan tada din, nga e Jesus nga ittu tu nepelansa nu kitu krus tu Nebon ne Dios, ay se aggína ya Apu win.” Tú dayán datu nebàbànán ne Pedro.
ACT.2.37	Ay kane magìna datu tolay tu bàbànán ne Pedro, ay nariribù da pànang ngin. “Kabbulun,” nán da kade Pedro, “nágan naya kuwaan mi yin,” nán da.
ACT.2.38	Ay nán ne Pedro kaggída, “Makappoli kayu win kadaya bas-básul nu. Mangurug kayu ke Jesu-Cristo, se kayu makibawtisár, ta senu mapakawan nin daya básul nu ke Dios, ay túya alubuwán nakayu pe kiya Ispiritu na. 
ACT.2.39	Ta nekari ne Apu Dios nga ialúbu na ya Ispiritu na kadaya ngámin na maayabán na nga mangurug kaggína, dakayu se oray pe daya annánà nu, se daya tolay ki ngámin kalawagán,” nán ne Pedro.
ACT.2.40	Ay adu pikam datu nebàbànán ne Pedro, ay se nada tinul-tulduwán nga nán na, “Akkan kayu mepagram-ráman kadaya maragbásul la tolay kídi kalawagán,” nán na. 
ACT.2.41	Díkod nakibawtisár datu nangurug kadatu nebàbànán ne Pedro. Ay moli tallu ríbu datu neamung kaggída kitun na algaw.
ACT.2.42	Nebul-bulun da peyang kadatu apostoles, nga nangán se nagkar-karárag, se makitù-tùgud kaggída.
ACT.2.43	Adu datu kinuw-kuwa datu apostoles nga nakas-kasdáaw nga pangipassingan da kiya pannakabalin ne Dios, ay nasdaáwan ngámin datu tolay.
ACT.2.44	Napiya tu panagbubúlun datu mangurug, ay tútu pagraramánan da ngámin datu kuw-kuwa da. 
ACT.2.45	Neláku da datu lusà da se datu kuw-kuwa da, se da nekípát tu báyad na kadatu ngámin na mangurug, sigun kitu kasapúlán da. 
ACT.2.46	Inalgaw tu panagguurnung da kitu Templo. Naganggam da pe kitu agdudúwa da nga magkakán kadatu babalay da, ta napiya pànang ngin tu ur-uray da. 
ACT.2.47	Day-dayáwan da peyang nge Dios, ay pàgan ngámin pe datu tolay da. Peyang ki algaw, ay iamung ne Apu Dios kaggída ngámin datu ayabán na nga mangurug kaggína.
ACT.3.1	Kitu isa nga algaw kane mamreg, ay nawe de Pedro se Juan kitu templo, ta ittu tu agkarárag da. 
ACT.3.2	Ay kitu ruwángan natu templo nga nepangágan da ka Napiya nga Ruwángan, ay atán isa nga tolay kitúni, nga magdapepe nanggayát kitu nekeanà na. Inalgaw da nga bulígán nga ippan kitúni, ta senu makádang kadatu lumnà kitu templo. 
ACT.3.3	Ay kane masingan natu dapepe de Pedro se Juan nga magilalnà kitu templo win, ay pagagngán nada. 
ACT.3.4	Ay tútu nagsínang da se da bubutgan tu tolay. “Sinnan nakami,” nán ne Pedro kaggína. 
ACT.3.5	Ay tútu sisínán nada, ta innanamán na nga iddán da ka pirà in.
ACT.3.6	May, “Awan ku pirà,” nán ne Pedro, “may ya atán kiyà ay ittu ya middè kikaw. Díkod gapu ki ngágan ne Jesu-Cristo nga iNazaret ay, gumnikát ka se ka la manalen nin,” nán ne Pedro, 
ACT.3.7	se na immanan tu diwanán natu tolay, se na pasikádan nin. Ay pagkìlát tala nga nabílag datu bingil na ngin. 
ACT.3.8	Ginumnikát tu tolay, ay se yala nanalen nin, ay nebulun pe yin kade Pedro nga linumnà kitu templo, naglag-lagtu nga nanalen nga nagdáyaw ke Dios. 
ACT.3.9	Ay nasingan ngámin datu tolay kitu nagdal-dalen na se itu nagday-dáyaw na ke Dios. 
ACT.3.10	Ay kane malásin da nga aggína tu magtutúgaw wa begár kitu Napiya nga Ruwángan natu templo, ay pinagballà da se nasdaáwan da pànang gapu kitu nàwa kaggína.
ACT.3.11	Ay tútu nanagtág datu tolay nga gummánat kade Pedro se Juan kitu saguyáb natu Solomon kitu amuwág natu templo, ta nasdaáwan da tutu wala kitu nàwa. Atán tu tolay nga siggagáput kade Pedro se Juan. 
ACT.3.12	Ay kane masingan ne Pedro datu tolay, ay nagúni nga nán na kaggída, “Kapádà a iIsrael, akkan kayu masdaáwan se akkan dakami bubutgan, ta akkan gapu kiya kinamáru mi onu pannakabalin mi kampela ngin ya namakadalen kídi ya tolay, 
ACT.3.13	nu di gapu kiya pannakabalin kampela ne Dios sin. Aggína ya Dios natu Abraham se tu Isaac se tu Jacob nga inagkona tada. Pinanalen ne Dios idi ya tolay, ta piyán na nga padayáwan ne Jesus nga An-anà na. Aggína tu nedarum nu ke Pilato, se akkan nu pinagan-anu oray piyán na nga ipalawán, 
ACT.3.14	ay akkan nu nepepalawán kaggína, oray nu ittu tu píli ne Dios nga namáru. Tu pumappatay mán kammin tu nepepalawán nu ke Pilato. 
ACT.3.15	Pinapatay nu ya Marammiyág. May pinaltu kammin ne Dios. Ay dakami ya makekagi nga kurug ta nasingan mi. 
ACT.3.16	Ya kinaturáy naya ngágan ne Jesus ya nakapadalen kídi ya magdapepe. Ammu nu nga magdapepe kurug kitun, may masingan nu win nga makadalen nin, áta ya angngurug mi ya tallu ke Jesus ya namabílag kídi ya tolay.”
ACT.3.17	“Ngamay ammù, kabbulun,” nán ne Pedro, “nga dakayu se datu ap-apu nu, ay akkan nu ammu tu kuk-kuwaan nu kitun.
ACT.3.18	Ay díkod kinuwa kurug ne Dios datu nepekagi na kadatu pagbàbànánan na kitun, nga masápul nga matay ya Ibon na. 
ACT.3.19	Ay díkod makappoli kayu, se kayu mangurug gin ke Dios, ta senu ippà na daya bas-básul nu, ay 
ACT.3.20	se ibon na kammin pe ye Jesus, nga ittu tu piníli na nga Nebon kadakayu kitun. Ay díkod atán peyang ngin kadakayu nga mangap-kappiya kadaya ur-uray nu. 
ACT.3.21	Magyán pikam me Jesus ka lángit panda kiya angngussi ne Dios kiya ngámingámin nga ummán kitu nepekagi na kadatu píli na nga pagbàbànánan na kitun.”
ACT.3.22	“Nán tu Moses kitun, ‘Atán manin ibon ne Apu Dios kadakayu, nga kapáda tada nga iIsrael, nga pagbàbànánan na, nga ummán kiyà. Ay masápul nga kurugan nu ngámin daya ikagi na kadakayu. 
ACT.3.23	Ay daya akkan mangurug kadaya ibàbànán na, ay mesibna tutu wala kadaya tolay ne Dios,’ nán natu Moses,” nga nán ne Pedro. 
ACT.3.24	“Ay oray pe tu Samuel se ngámin datu pagbàbànánan ne Dios nga sumar-sarunu kaggína, ay nekagi da pe dayán na mà-màwa kídi yin na algaw.”
ACT.3.25	“Dàtada daya pútupútut datu pagbàbànánan ne Dios kitun, ay díkod meráman tada kadatu nagtutulágan de Dios se datu inagkona tada. Ta nán na kitu Abraham, nga atán kanu pagkapiyaán ngámin tolay kídi kalawagán gapu kadaya pútut na, nán na. 
ACT.3.26	Díkod dàtada nga Judyu ya nunna nga nangibonán ne Dios ke Jesus nga An-anà na, ta senu masengán nitta ngámin na makappoli kadaya bas-básul tada,” nán ne Pedro nga nagbàbànán.
ACT.4.1	Kitu kaatán pikam de Pedro se Juan nga magbàbànán kadatu tolay, ay inumbet datu pappádi, se tu kapitán datu guwardiya kitu templo, se datu Saduceo, 
ACT.4.2	ta lùsawan da tu itù-tùgud da kadatu tolay, ta ibàbànán da nga linumtu win ne Jesus, ay díkod lumtu pe daya duddúma nga natay yin nu kuwa. 
ACT.4.3	Ay tútu tiniliw dada, se dada nebálud, ta saludsúdán dada ngala kitu láwa na, ta gídám min kitun. 
ACT.4.4	Ngamay adu kadatu naggigìna kitu kinagi de Pedro se Juan tu nangurug. Moli limma ríbu da.
ACT.4.5	Kane kaláwa, nagmimíting ka Jerusalem datu apu datu pappádi se datu pangmanàman datu Judyu se datu magtù-tùgud ki lintag da, ta ittu ngámin dedi datu ap-apu datu Judyu. 
ACT.4.6	Uwad pe tu Anas nga nangátu wa pádi se tu Caifas se Juan se Alejandro se ngámin datu duddúma nga lalláki nga akkobung natu Nangátu wa Pádi. 
ACT.4.7	Pinagsíkád da de Pedro se Juan kitu àráng da, se da saludsúdán nga nán da, “Pinaannán nu ya nangwa kiyán? Iinna ya nangidde ka pannakabalin nu, onu inna nga ngágan ya inusár nu?” nán da.
ACT.4.8	Ay tútu e Pedro nga napatàyán kiya Ispiritu ne Dios, ay nán na kaggída: “Apu-apu mi se mannákam, 
ACT.4.9	nu ya gapu naya ammus-bustigár nu kadakami, ay gapu kitu kinuwa mi nga napiya kiya isa nga tolay ya magtakit, ay se piyán nu ammuwan nu mapaanna ya nakadalen nedi ya tolay, 
ACT.4.10	ay ipakammu mi. Ta senu ammu nu ngámin pe, se ngámin daya páda tada nga iIsrael. Makadalen nin idi nga nagdapepe, ay magsisíkád pe yin kídi àráng nu, gapu kiya pannakabalin ne Jesu-Cristo nga iNazaret, nga pinapatay nu kitun, may pinaltu kammin ne Dios. 
ACT.4.11	Ay e Jesus ya nán na kiya bàbànán ne Dios nga batu nga nigsán daya maragbalay, ngamay ittu ya nagbalin na pagligdaán naya balay. 
ACT.4.12	Aggína ngala ya makabalin nga mamiyág kadàtada. Awan sabáli oray inna ki ngámin kalawagán ya natudinán na mamiyág kadàtada,” nán ne Pedro.
ACT.4.13	Ay pinagballà datu ap-apu daya Judyu tu kinaturad de Pedro se Juan nga summungbát kaggída, oray áwan da ádaádal se ur-úray da la nga tolay. May se dada nga nalásin nga kabulun ne Jesus da kitun. 
ACT.4.14	Ay akkan da masungbátan de Pedro se Juan, ta nasingan da nga kurug ga nakadalen nin tu nagdapepe, nga nepagsisíkád kaggída. 
ACT.4.15	Ay tútu pinalawán da de Pedro kitu nagmimitíngán da, ay se da nagguumomanán, 
ACT.4.16	nga nán da. “Nágan naya pamàyanán tada kaggída? Akkan tada mabalin ituláyaw tu nàwa, ta ammu ngámin da tolay ka Jerusalem nga kurug ga nakas-kasdáaw tu kinuwa da. 
ACT.4.17	Díkod panansingan tadada ngala. Akkan tada pebàbànán nin kaggída ki oray iinna nga tolay nge Jesus.”
ACT.4.18	Ay tútu kirrawán da manin de Pedro se Juan, se dada tutu wala mandáran na akkan pebàbànán se pekagi ye Jesus sin. 
ACT.4.19	Ngamay nán de Pedro se Juan kaggída, “Damdamman nu kod, nu pì-piyán nád ne Dios nga dakayu ya ikurug mi may aggína! 
ACT.4.20	Ata akkan mabalin kadakami nu akkan mi nga ibàbànán datu nagìna mi se nasingan mi,
ACT.4.21+ACT.4.22	Ay tútu pinanansing dada manin, se dada pinapan nin. Ata akkan da ammu ya pamasílag da kaggída, ta get nu malùsaw datu tolay nga pumane kade Pedro se Juan, ta day-dayáwan da nge Dios gapu kitu nammabílag na kitu nagdapepe, nga nasurù appát púlu wa dagun na ngin.
ACT.4.23	Ay kane mepalawán de Pedro se Juan kitu agbalúdán nin, ay nawe da kitu giyán datu kabbulun da, se da nekagi kaggída datu kinagi datu apu datu pappádi se datu pangmanàman datu Judyu. 
ACT.4.24	Kane magìna da, ay nekarárag da ngámin ke Dios, nga nán da kídi: “Apu, ikaw ya nangwa kiya lángit se ya lusà se ya danum se ngámin daya atán kadayán. 
ACT.4.25	Ikaw ya nagpekagi kiya Ispiritum kitu apuapu mi nga David nga bobonan mu nga,
ACT.4.25	‘Kalùsawan daya akkan Judyu we Apu, se ur-úray pe ya asikkuwaan daya Judyu kaggína. 
ACT.4.26	Daya à-ári kiya kalawagán, ay sissasagána da nga makigubát kaggína. Ay maggagaddù pe daya agtuturáy nga mangalùsaw ke Apu Dios, se magasippatay kiya Ibon na kiya kalawagán,’
ACT.4.26	nán tu David kitun. 
ACT.4.27	Ay nàwa kurug, ta naggagdù da kídi íli Jerusalem, de Ari Herodes se Poncio Pilato se datu páda da nga akkan Judyu se datu páda mi nga iIsrael, nga nagpapatay ke Jesus, nga píli mu wa An-anà mu, nga Nebon mu kídi kalawagán. 
ACT.4.28	Naggagaddù da nga nangwa kadaya ipalúbus mu nga kuwaan da se daya napadán pinalánum nga màwa. 
ACT.4.29	Kídi yin, Apu, sikkaammu ka kiya ammanansing da kadakami. Díkod sengán nakami nga bobonan mu, ta senu sittuturad kami nga mangibàbànán kiya bàbànán mu. 
ACT.4.30	Pabilgan mu din daya magtatakit, se mangipassingan ka pe ka nakas-kasdáaw gapu kiya pannakabalin ne Jesus nga píli mu wa An-anà mu,” nán da nga nagkarárag.
ACT.4.31	Ay kane mabalin da nga magkarárag, ay naguy-guyyu tu balay nga giyán da. Ay ittu tu nekapatàyán da ngámin kiya Ispiritu ne Dios. Ay díkod áwan da aggansing ngin nga mangikagi kiya bàbànán ne Dios.
ACT.4.32	Ay sissa tu uray datu mangurug ke Jesus, ay piyán da pe tu isaisa kaggída. Pagraramánan da ngámin datu kuw-kuwa natu isaisa kaggída. Ay áwan kaggída tu pagas-asissaan na tu kuw-kuwa na kampela ngin nin.
ACT.4.33	Nebàbànán datu apostoles datu nasingan da mepanggap kitu nelaltu ne Apu Jesus. Ay adu datu nangurug, ta niddán naya Ispiritu ne Dios da ka pannakabalin da nga mangibàbànán. Ay kinalakkán pànang ne Dios da ngámin, 
ACT.4.34	ay díkod áwan pe datu magkur-kúráng kaggída, áta nelakúwán datu duddúma datu lusà da se datu balay da, se da nidde datu naglakúwán da 
ACT.4.35	kadatu apostoles. Díkod nekípát datu apostoles kadatu makasápul sigun kitu masápul da.
ACT.4.36	Uwad pútut tu Levi nga iCipro, nga Jose tu ngágan na. May nengágan datu apostoles ka Bernabe. Ya sarut na, ay “Namáru”. 
ACT.4.37	Nagláku ka lusà na, se na nawe nidde tu pirà kadatu apostoles.
ACT.5.1	Ay uwad pe tolay ya nagngágan ka Ananias, ay Safira ya ngágan natu atáwa na. Nagláku da pe ka lusà da, 
ACT.5.2	may nesirù na kammin tu duddúma kitu báyad na ka kuwa na kampela ngin nin, ay se na idde tu duddúma kadatu apostoles. Sikkaammu tu atáwa na kitu kinuwa na.
ACT.5.3	Tútu nán ne Pedro ke Ananias, “Tura ka nepeparò ke Sairu, nga pagbusidán mu ya Ispiritu ne Dios, ta nesirù mu kammin tu duddúma kitu naglakúwám kitu lusà mu. 
ACT.5.4	Oray kitu akkan pikam neláku tu lusà mu, ay kuwám mà kampela ngin nin. Ay kane ilákum, ay ikaw mà kampela ngin nin ya makammu kitu báyad na. Ngamay tura mu netuláyaw tu inalà mu. May e Dios ya nagbusidám, akkan na dakami,” nán ne Pedro kaggína.
ACT.5.5+ACT.5.6	Ay kane magìna tu Ananias tu kinagi ne Pedro, ay nekálin nala nga natay. Ay datu babbágu kitúni, ay nawe da inalà tu baggi na, se da kinalatkattán ka lúpus, se da nippan netaman nin. Ay ngámin datu nakagìna kitu nàwa ke Ananias, ay nagansing da.
ACT.5.7	Ay kane malpás ya tallu oras, ay inumbet pe tu Safira kitu giyán ne Pedro, ta akkan na pikam ammu tu nàwa. 
ACT.5.8	Ay nán ne Pedro kaggína, “Kurug nga tu idi ya naglakúwán nu kitu lusà nu?” Ay, “Ò,” nán ne Safira. “Ittu kurug yán tu naglakúwán mi,” nán na.
ACT.5.9	Ay tútu nán ne Pedro kaggína, “Tura nu nalammat nga magatáwa ya magsisim kiya Ispiritu ne Apu. Sinnam, ta atán da kiya lasi yin, datu nangitaman kitu atáwam, ay alà daka pe yin,” nán na kaggína. 
ACT.5.10	Ay tútu dágus sala nga nekálin pe yin na natay tu Safira. Ay kane lumnà datu babbágu, ay nasingan da nga natay yin. Ay tútu binulígán da pe yin na nawe netaman nin. Netaging da kitu atáwa na. 
ACT.5.11	Díkod nagansing pànang ngámin datu mangurug se datu duddúma nga nakagìna kitu nàwa.
ACT.5.12+ACT.5.13+ACT.5.14	Ay datu mangurug, ay magguurnung da peyang kitu saguyáb tu Solomon. Pàgan pànang datu tolay da, ngamay akkan meturad datu duddúma tu mebulun kaggída. Ngamay umadu mà ala nga umadu datu mangurug ke Apu nga meamung kaggída.
ACT.5.12+ACT.5.13+ACT.5.14	Adu datu nakas-kasdáaw nga nepàwa ne Dios kadatu apostoles, nga nasingan datu tolay. 
ACT.5.15	Ay díkod nippannán datu tolay datu magtatakit kitu kalsáda. Nepiddaán dada ka káma se abà, ta senu bumílag da kanu, oray nu maaniniwíngán ne Pedro da ngala. 
ACT.5.16	Adu pe datu tolay ya naglalbet nga naggagayát kadatu il-ileli nga adanni ka Jerusalem, nga nagilbet kadatu magtatakit se datu naar-aránan, ay bummílag da ngámin.
ACT.5.17	Ay tu nangátu wa pádi se datu kabbulun na nga Saduceo ay nalùsaw da, ta asílan da pànang datu apostoles. Ay tútu nagpalánu da ka pamàyanán da. 
ACT.5.18	Tiniliw dada, se dada nebálud.
ACT.5.19	May kane gabi, ay uwad inumbet nga anghel ne Apu, nga nawe nangilukát se nangilawán kadatu apostoles, nga nán na, 
ACT.5.20	“Mawe kayun kiya templo nga mangibàbànán kadaya ngámin tolay, nu mapaanna ya ammiyág ne Dios kaggída ka áwan panda,” nán natu anghel. 
ACT.5.21	Ay kane magìna da tun, ay nawe da kitu templo kane marángat tu algaw win, se da nanggayát manin nga nagtùgud.
ACT.5.21	Kane din daddán, ay inumbet tu nangátu wa pádi se datu kabbulun na, nga mangmíting kadatu ngámin na ap-apu datu Judyu, se datu pangmanàman da. Ay se da paayabán datu apostoles nga atán kitu agbalúdán. 
ACT.5.22	Ngamay áwan nadatang datu nebon da kadatu apostoles kitu agba-balúdán, ay tútu nagulli da kammin nga nawe nangikagi kitu nàwa nga nán da, 
ACT.5.23	“Siggigitap se sittutulbà tu agbalúdán kadakami dummatang. Ay atán kam pe ngámin datu magguwardiya, may kane lùtán mi datu gitap, ay áwan tolay kitu unag,” nán da. 
ACT.5.24	Ay kane magìna natu kapitán datu guwardiya se datu apu datu pappádi tun, ay akkan da nga ammu nu pinaannán datu apostoles tu lummawán, se wà natu giyán da ngin.
ACT.5.25	May atán inumbet nga nangidámag kaggída nga nán na, “Datu tolay nga nebálud nu, ay atán da kitu templo nga magtùgud kadatu tolay,” nán na. 
ACT.5.26	Tútu nawe inalà natu kapitán se datu kabbulun na datu apostoles se dada iulli kammin. Ngamay akkan dada minan-mansu ta mansing da, get nu ubúran datu tolay da.
ACT.5.27	Ay kane milbet datu guwardiya datu apostoles, ay pinagsisíkád dada kitu àráng datu ap-apu. Ay tútu inal-alngán natu nangátu wa pádi da, 
ACT.5.28	nga nán na, “Di mi mà neallang tutu wala kadakayu ya magtùgud ka panggap ke Jesus,” nán na, “may tura nu mán kammin na ibàbànán manin ki ngámin giyán kídi Jerusalem mi. Ay se tura dakami ya panangiyán nu kitu nekatay na,” nán na.
ACT.5.29	Ay tútu sinungbátan de Pedro da, nga nán da: “Masápul la e Dios ya ikurug mi, nga akkan daya tolay,” nán da. 
ACT.5.30	“Dakayu, ay pinatay nu nge Jesus. Nepelansa nu kitu krus tu namatay kaggína. May ya Dios nga Dios datu inagkona tada, ay pinaltu na kammin, 
ACT.5.31	se na nepangátu kane pagtugawan na ki pane diwanán na. Aggína ngin ya mangiapu se mamiyág kadàtada. Ay túya mabalin nitta pakawanan ne Dios nga iIsrael kadaya bas-básul tada, nu makappoli tada. 
ACT.5.32	Ikagi mi dayán, áta nammuwán mida ke Jesus. Ipakammu pe naya Ispiritu ne Dios nga ittu ya nealúbu na kadakami nga mangurug kaggína,” nán de Pedro kitu nangátu wa pádi. 
ACT.5.33	Díkod nalùsaw pànang datu ap-apu kane magìna da tu kinagi da, ay tútu sippatayan dada.
ACT.5.34	May atán isa nga Pariseo nga nagngágan ka Gamaliel nga maragtùgud ki lintag. Ay pàgan pe ngámin datu tolay. Nagsíkád, se na papannan pikam datu apostoles ka lasi, ay 
ACT.5.35	se yala nagbàbànán kadatu páda na nga ap-apu. “Pádà a iIsrael,” nán na, “kappiyánan nu pànang lam-lamtan ya asikkuwaan nu kadayán na tolay. 
