MAT.1.1	Jézi Kwi sé désandan Wa David épi désandan Abrahanm. Mi non jennenwasyonʼy:
1CO.7.2	mé paski la ni tèlman vyé lavi, i pli mèyè pou chak nonm ni madanm li menm épi chak madanm ni mawiʼy menm. 
1CO.7.3	An nonm sipozé fè sèvis li kon an mawi, épi an madanm sipozé fè sèvis li kon an madanm mayé. 
1CO.7.4	Paski an madanm sé pa mèt kòʼy menm, mé sé mawiʼy ki mèt li, an menm mannyè-a an mawi sé pa mèt kòʼy menm, mé sé madanm li ki mèt li. 
1CO.7.5	Sé pa pou zòt wifizé yonn a lòt, anba zòt dakò pou wèsté kon sa pou an ti tan pou zòt sa pwédyé. Mé apwé tan sala fini, zòt sipozé pou koumansé ka wè yonn a lòt ankò, avan Satan tanté zòt pou fè zòt péché paski zòt pa sa kondwi kò zòt.
1CO.7.6	Sé sa mwen té ni pou di zòt asou kwèsyon sala, mé sé pa konmandé mwen ka konmandé zòt. 
1CO.7.7	Mwen té kay kontan an chay si zòt tout wèsté menm kon mwen yé-a, mé kanmenm Bondyé bay chak moun an diféwan abilité. Yon moun ni yon kalité abilité, an lòt moun an diféwan kalité abilité.
1CO.7.8	Bon, sé nonm-lan anpami zòt-la ki pa mayé-a épi sé madanm-lan mawi yo ja mò-a, mwen ka di zòt, i pli mèyè pou zòt kontiné ka wèsté san mayé menm kon mwen yé-a. 
1CO.7.9	Mé si zòt pa sa kondwi dézi zòt ankò, zòt sipozé alé mayé avan chalè zòt fè zòt péché.
1CO.7.10	Konmandman-an mwen ka bay sé moun-an ki mayé-a sé pa konmandman mwen, mé pito sé sa Senyè-a: “An madanm mayé pa sipozé kité mawiʼy — 
1CO.7.11	mé si i kité mawiʼy, i sipozé wèsté pa kòʼy ében déviwé jwenn mawiʼy — épi an mawi pa sipozé dévosé madanm li.”
1CO.7.12	Bay sé lézòt-la, mwen ka di (sa sé mwen menm, épi sé pa Senyè-a): Si an nonm ki ka kwè an Jézi ni an madanm ki pa ka kwè épi madanm-lan dakò pou kontiné viv épiʼy, mawi-a pa sipozé dévoséʼy. 
1CO.7.13	Si pyès madanm ki ka kwè mayé épi an nonm ki pa ka kwè, épi mawi-a dakò pou kontiné ka viv épiʼy, madanm-lan pa sipozé dévosé mawi-a. 
1CO.7.14	Paski Bondyé kay twété mawi-a ki pa ka kwè-a kon yonn an sé moun li-an menm, dépi nonm-lan ni an madanm ki ka kwè. Épi Bondyé kay twété madanm-lan ki pa ka kwè-a kon yonn an sé moun li-an menm, dépi i ni an mawi ki ka kwè. Si i pa té kon sa, manmay yo té kay menm kon manmay moun ki pa ka adowé Bondyé. Mé lavéwité-a sé sa, Bondyé ja aksèpté yo adan fanmiʼy menm. 
1CO.7.15	Mé, si sa ki pa ka kwè-a désidé pou sépawé épi sa ki ka kwè-a, i sa fè sa. Adan an sitiwasyon kon sa, sa ki ka kwè-a pa anba pyès obligasyon pou wèsté épi lòt-la, menm si i sé mawi-a ében madanm-lan. Paski Bondyé ja kwiyé zòt pou viv an lapé. 
1CO.7.16	Madanm-lan ki ka kwè-a, ki mannyè ou fè sav ou pa kay sové mawiʼw? Ében mawi-a ki ka kwè-a, ki mannyè ou fè sav ou pa kay sové madanm ou?
1CO.7.17	Chak moun sipozé kontiné viv laviʼy ka fè sèvis li épi abilité-a Senyè Jézi ja ba li-a. I ni pou viv laviʼy menm mannyè i té yé lè Bondyé té kwiyéʼy-la. Sa sé konmandman mwen ka bay tout sé légliz-la. 
1CO.7.18	Si an nonm té ja sikonsayz lè Bondyé kwiyéʼy pou swiv li, i pa sipozé éséyé pou tiwé mak sikonsizyon-an. Si an nonm pa té sikonsayz lè Bondyé kwiyéʼy pou swiv li, i pa sipozé pou gadé pou i sikonsayz. 
1CO.7.19	Paski menm si an nonm sikonsayz opa, sa pa vlé di anyen. Sa ki enpòtan sé obéyi konmandman Bondyé. 
1CO.7.20	Tout nonm sipozé wèsté adan kondisyon-an i té yé-a lè Bondyé kwiyéʼy. 
1CO.7.21	Si ou té èslav lè Bondyé kwiyéʼw pou swiv li, pa kité sa twoublé tjèʼw. Mé si ou jwenn an chans pou ou sa ni libètéʼw, pa kitéʼy pasé. 
1CO.7.22	Paski an moun ki an èslav, Senyè Jézi ja kwiyé pou swiv li, sé an moun Jézi ja bay libètéʼy. An menm mannyè-a an nonm ki ni libètéʼy, Senyè-a ja kwiyé pou swiv li, sé èslav Jézi. 
1CO.7.23	Bondyé péyé an pwi pou achté zòt, kon sa pa vini popyétè pyès lòt moun. 
1CO.7.24	Fwè èk sè, lè Bondyé té kwiyé zòt, zòt chak té adan sèten kondisyon. Kon zòt ka viv lavi zòt épi Bondyé, zòt sipozé wèsté adan kondisyon sala.
1CO.7.25	Bon, mwen vlé wéponn kwèsyon-an konsèné madanm ki pa janmen mayé. Senyè-a pa té ban mwen pyès konmandman, mé pou mannyè Senyè-a ja moutwé konpasyon asou mwen, ou sa mété konfyans ou an sa mwen ni pou di-a. 
1CO.7.26	Lè nou gadé sitiwasyon latè sala pwézantman-an, mwen ka wè i pli mèyè pou an nonm wèsté mannyè i yé-a. 
1CO.7.27	Ès si ou ni an madanm? Ében pa gadé pou kwazé mawiyaj-la. Ès si ou pʼòkò ni an madanm? Ében pa gadé pou mayé. 
1CO.7.28	Mé si ou mayé, ou pʼòkò fè péché, épi si an madanm ki pʼòkò té mayé vini mayé, i pʼòkò fè péché. Mé sa ki mayé kay ni an chay twaka pou pasé, épi mwen té vlé édé yo chapé anba sé twaka sala. 
1CO.7.29	Fwè èk sè, sa mwen vlé di-a sé sa — dènyé tan-an kay bout touswit, épi dépi apwézan sé nonm mayé-a sipozé viv akwèdi yo pa mayé; 
1CO.7.30	sa ki ka pléwé, akwèdi yo pa té ka pléwé; sa ki ka wi, akwèdi yo pa té ka wi; sa ki achté machandiz, akwèdi, sé machandiz-la yo achté-a pa menm sa yo; 
1CO.7.31	épi sa ki ka antanmé zafè latè-a, akwèdi yo pa ni anyen pou fè épiʼy. Paski latè sala, kon i yé apwézan-an, pa kay diwé djè lontan ankò.
1CO.7.32	Mwen pa vlé zòt twakasé kò zòt. An nonm ki pa mayé kay entéwésé an twavay Bondyé, paski i ka éséyé pou plè Senyè-a. 
1CO.7.33	Mé an nonm ki mayé kay entéwésé an bagay latè-a, paski i vlé plè madanm li, 
1CO.7.34	épi i ni dé lidé. Mé madanm-lan ki pa mayé ankò-a, ében fi-a ki pa janmen dòmi épi misyé-a, kay entéwésé dèyè bagay Senyè-a, paski yo kay vlé viv an lavi ki nèt ni an lachè épi an lèspwi yo. Mé madanm-lan ki mayé-a ka entéwésé dèyè bagay latè sala — ki mannyè i pé plè mawiʼy.
1CO.7.35	Mwen ja di zòt tout sé bagay sala paski mwen vlé édé zòt. Mwen pa ka éséyé pou tjenbé zòt wèd adan sèten mannyè, ou sav. Pito sa, mwen vlé zòt fè sa ki bon épi dwèt, épi pou zòt dèdiké tout kò zòt pou fè sèvis Senyè-a san zòt tjenn anyen dèyè.
1CO.7.36	Mé si an nonm kwè i sipozé mayé épi ti fi-a i byen épi-a paski i ni an chay chalè épi i pa sa tjenn kòʼy tjantjil, sa pa ni défo adanʼy. Sa pa péché. Kité yo mayé. 
1CO.7.37	Mé si i ja fè lidéʼy pou pa mayé épi i sa wèsté tjantjil, épi la pa ni pyès lòt wézon pou yo sa mayé — si i ja fè lidéʼy konsèné sa — i kay fè byen si i pa mayé. 
1CO.7.38	Kon sa nonm-lan ki mayé-a ka fè byen, mé sa ki pa mayé-a ka fè jik pli mèyè. 
1CO.7.39	An madanm ni pou kontiné an mawiyaj li tout tan mawiʼy ka viv, mé si mawi-a vini mò, lè sala i ni libètéʼy pou i sa viwé mayé ankò épi moun-an i vlé-a, dépi nonm-lan ka kwè an Jézi. 
1CO.7.40	Kanmenm, i kay pli bon pou madanm-lan si i wèsté pa kòʼy. Sé sa mwen ni pou di asou sa. Épi mwen kwè Lèspwi Bondyé ka kondwi mwen lè mwen di sa.
1CO.8.1	Bon, konsèné manjé ki ofè bay imaj, mwen sav kon sa nou tout konnèt an chay konsèné sé bagay sala. Sa an moun konnèt ka fè i ni lògèy, mé lanmityé ka fè moun vini fò. 
1CO.8.2	Sé sa ki kwè yo konnèt an bagay-la pa djè konnèt kon yo sipozé pou té konnèt. 
1CO.8.3	Mé moun-an ki ni lanmityé pou Bondyé-a, sé li Bondyé konnèt.
1CO.8.4	Kon sa, konsèné ès si pou manjé manjé ki ofè bay imaj — nou sav an imaj sé an fo bondyé. Épi nou sav osi, sé yon sèl Bondyé ki ni pou vwé. 
1CO.8.5	Menm si la ni bagay moun ka kwiyé “bondyé” an lézè-a ében asou latè, épi menm si la ni an chay an sé “bondyé” épi “senyè” sala, 
1CO.8.6	mé pou nou menm la ni yon sèl Bondyé, sa sé Papa-a ki fè tout bagay, épi wézon-an nou ka viv-la sé pou fè sèvis li. Épi la ni yon sèl Senyè, sa sé Jézi Kwi, épi sé li Bondyé Papa-a sèvi pou fè tout bagay, épi nou ka viv lavi nou ka dépan asouʼy.
1CO.8.7	Mé sé pa tout moun ki konnèt lavéwité sala. An tan ki pasé adan moun té ja tèlman abitwé adowé imaj, kon sa jik jòdi-a lè yo ka manjé sèten manjé épi yo sav sé manjé sala sé manjé ki ja ofè bay fo bondyé, sa ka afèkté yo, épi konsyans yo fèb, kon sa yo kwè manjé sala ka anpéché Bondyé aksèpté yo. 
1CO.8.8	Kanmenm, manjé pa kay ban nou an pli mèyè wilasyon épi Bondyé. Nou pa kay pèd anyen menm si nou pa manjé, ni nou pa kay ni pyès gany menm si nou manjé.
1CO.8.9	Mé pwan pokosyon, avan libèté sala zòt ni-an fè sé sa ki fèb an lafwa-a tonbé adan péché. 
1CO.8.10	Paski si an moun ki ni an konsyans ki fèb wè ou ki konnèt pli mèyè-a ka manjé adan an koté yo ka adowé imaj, ès si sa pa kay ankouwajé moun sala pou manjé sé manjé-a yo ka ofè bay imaj-la? 
1CO.8.11	Épi moun sala ki ni ti miyèt lafwa-a — fwèʼw-la Jézi mò pou lapéti-a — kay tonbé pou lapéti ou ki konnèt mèyè-a. 
1CO.8.12	Lè zòt fè péché kont fwè zòt ki ka kwè menm kon zòt, épi donmajé konsyans yo kon sa, zòt ka péché kont Jézi menm. 
1CO.8.13	Kon sa, si manjé ka fè fwè mwen péché, mwen pa kay janmen manjé vyann ankò, avan mwen fè fwè mwen tonbé an péché.
1CO.9.1	Ès si mwen pa ni libèté mwen? Ès si mwen pa an zapòt? Ès si mwen pʼòkò wè Jézi Senyè nou? Épi mannyè Bondyé ka twavay an lavi zòt-la, ès si sa pa ka moutwé twavay-la mwen ka fè bay Senyè-a? 
1CO.9.2	Menm si lézòt moun pa aksèpté mwen kon an zapòt, zòt ja aksèpté mwen pou vwé. Paski mannyè-a zòt menm ka viv lavi zòt manché an Senyè-a sé asé pou moutwé mwen sé an zapòt.
1CO.9.3	Sé kon sa mwen ka fè défans mwen douvan sé moun-an ki ka jijé mwen-an: 
1CO.9.4	Ès si nou pa ni dwa-a pou manjé? 
1CO.9.5	Ès si mwen pa ni dwa-a pou swiv ègzanp sé lézòt zapòt-la, sé fwè Senyè-a épi Pita, pou mwen sa mayé épi mennen madanm mwen épi mwen asou voyaj mwen? 
1CO.9.6	Ében ès si sé mwen épi Bannabas tousèl ki ni pou twavay pou genyen jouné nou? 
1CO.9.7	Ki moun ki kay fè twavay an sòlda épi sé li menm ki ni pou fouyé lanmenʼy an pòch li? Ki plantè ki kay planté an jaden pou i pa manjé an sé fwi-a? Ki moun ki ka otjipé kabwit épi i pa kay bwè lèt kabwit-la?
1CO.9.8	Sé bagay sala pa sòti di bonn tèt mwen. Lwa Moziz-la ka di menm bagay-la. 
1CO.9.9	Paski lwa-a Moziz ékwi-a di, “Zòt pa ni pou bouklé djòl bèf-la lè i ka pilé sé gwenn-an.” Ès si zòt kwè Bondyé pli mélé épi bèf? 
1CO.9.10	Ès si sé pa nou Bondyé té ni an lidéʼy lè i di sa-a? Mé wi, sé ban nou i té ékwi. Nonm-lan ki pwépawé tè-a pou planté-a épi sa ki wékòlté-a sipozé fè twavay yo épi èspwa-a yo kay jwenn an wipa an sé gwenn-an yo ka wékòlté-a. 
1CO.9.11	Nou ja planté bagay ki sòti an Lèspwi Bondyé an tjè zòt. Ès si zòt kwè nou ka mandé twòp si zòt ni pou ban nou sé bagay-la nou bizwen-an pou nouwi kò nou? 
1CO.9.12	Si lézòt ni dwa pou èspéyé zòt ba yo an lavi, ès si nou pa ni pli dwa pasé yo?
1CO.9.12	Mé nou pʼòkò sèvi dwa sala. Pito, nou pwan pasyans épi tout bagay pou asiwé pyès bagay pa kay anpéché nou pwéché Bon Nouvèl-la konsèné Jézi Kwi. 
1CO.9.13	Mwen asiwé zòt sav sé nonm-lan ki ka twavay an Kay Bondyé-a ka jwenn manjé yo an sé manjé-a ki an Kay Bondyé-a, épi sé sa ki ka ofè sakwifis asou lotèl-la koté yo ka ofè sakwifis-la ka jwenn an wipa adan sé bagay-la yo ka ofè-a. 
1CO.9.14	An menm mannyè-a Senyè-a ja konmandé kon sa sa ki ka pwéché Bon Nouvèl-la ni dwa-a pou sipòté kò yo pa Bon Nouvèl-la yo ka pwéché-a.
1CO.9.15	Mé mwen pʼòkò sèvi pyès sé dwa sala, ni mwen pa ka ékwi pou éklamé sé dwa sala pou kò mwen. Mwen simyé mò pito mwen pèd wézon sala mwen ni-an pou bavadé-a. 
1CO.9.16	Mwen pa ni pyès dwa pou mwen bavadé lè mwen ka pwéché Bon Nouvèl-la, paski sé Bondyé ki ja konmandé mwen pou fè sa. I té kay byen téwib pou mwen si mwen pa té pwéché Bon Nouvèl-la. 
1CO.9.17	Si mwen fè twavay sala paski mwen chwazi pou fè sa, mwen adan tit pou sa jwenn péyiman. Mé sé pa mwen ki chwazi pou fèʼy, sé an wèskonsabilité Bondyé mété asou mwen. 
1CO.9.18	Bon — ki péyiman mwen kay jwenn? Péyiman-an sé pwivilaj-la pou pwéché Bon Nouvèl-la san mandé pou lajan. Mwen pa ka éklamé dwa mwen kon mwen ka pwéché Bon Nouvèl-la.
1CO.9.19	Magwé mwen pa èslav pyèsonn, mwen ja fè kò mwen vini èslav tout moun pou mwen sa genyen tout moun mwen ni chans-lan pou genyen. 
1CO.9.20	Lè mwen té ka twavay anpami sé Jwif-la, mwen té viv menm kon an Jwif pou mwen té sa genyen yo. Épi menm si mwen menm pa anba lwa Moziz-la, mwen ka viv menm kon si mwen té anbaʼy lè mwen ka twavay épi moun ki ka swiv sé lwa sala, pou mwen sa genyen yo bay Jézi. 
1CO.9.21	An menm mannyè-a, lè mwen ka twavay épi moun ki pa Jwif, mwen ka viv menm kon yo, mwen pa ka mansyonnen lwa sé Jwif-la. Mwen ka fè sa pou mwen sa genyen sé moun-an ki pa Jwif-la bay Jézi. Sa pa vlé di kanmenm mwen ka kasé lwa Bondyé. Okontwè mwen ka swiv lwa Jézi byen. 
1CO.9.22	Anpami sé sa ki fèb an lafwa-a mwen vini menm kon yonn an yo, pou mwen sa genyen yo. Kon sa mwen ka vini tout bagay pou tout moun, pou mwen pé sové adan yo an népòt mannyè ki posib.
1CO.9.23	Tout sé bagay sala mwen ka fè pou lapéti Bon Nouvèl-la, pou mwen sa jwenn an pa an sé bennéfis-la konmisyonʼy ka mennen-an. 
1CO.9.24	Mwen asiwé zòt sav an chay moun sa kouwi adan an kous mé sé yon sèl adan yo ki ka genyen kous-la. Kon sa zòt sipozé kouwi adan an mannyè pou zòt sa genyen kous-la. 
1CO.9.25	Tout moun ki ka kouwi, yo ka twavay wèd lè yo ka pwépawé kò yo pou yo sa genyen kouwonn-an ki pa ka menm diwé-a. Mé nou ka fè pwépawasyon pou genyen an kouwonn ki ka diwé pou lavi diwant. 
1CO.9.26	Sé sa ki fè mwen ka kouwi dwèt pou mwen wivé an lòt bout-la. Sé sa ki fè mwen kon an nonm ki pa ka gaspiyé koulpwenʼy lè i an batay. 
1CO.9.27	Mwen ka twété kò mwen wèd pou fè lachè mwen obéyi mwen, avan lè mwen fini pwéché bay lézòt, Bondyé di mwen pa bon asé pou fini kous-la.
1CO.10.1	Fwè èk sè, mwen vlé zòt chonjé ki sa ki wivé sé gwan gwanpapa nou-an ki té swiv Moziz-la, mannyè an nwaj gadé apwé yo tout épi yo tout pasé san twaka adan lanmè-a yo ka kwiyé Lanmè Wouj-la. 
1CO.10.2	Yo tout té batizé adan nwaj-la épi an lanmè-a kon moun ki ka swiv Moziz. 
1CO.10.3	Yo tout manjé menm manjé-a Bondyé ba yo pa pouvwaʼy-la, 
1CO.10.4	épi yo tout bwè dlo-a Bondyé fè koulé sòti an wòch-la ki té alé épi yo-a. Wòch sala sété Jézi menm. 
1CO.10.5	Mé magwé tout sa, Bondyé pa té satisfè épi plizyè an yo, épi kon sa i détwi yo épi i simen kò mò yo-a tout an tè-a yo té ka maché-a.
1CO.10.6	Bon, tout sa sé an ègzanp ban nou, pou vèti nou pou nou pa ni pyès déziwasyon pou fè mové bagay kon yo té fè-a. 
1CO.10.7	Ni nou pa ni pou adowé fo bondyé, kon adan sé moun sala fè. Kon lévanjil-la di, “Sé moun-an asid pou manjé épi bwè, épi la yo koumansé dansé.” 
1CO.10.8	Nou pa sipozé antanmé vyé lavi, kon adan té fè, épi venn twa mil adan yo mò adan yon sèl jou. 
1CO.10.9	Nou pa sipozé miziwé pasyans Senyè-a kon adan yo té fè, épi sèpan détwi yo. 
1CO.10.10	Ni nou pa sipozé bougonnen nonplis, kon adan yo fè, épi nanj lanmò-a fini épi yo.
1CO.10.11	Tout sé bagay sala wivé yo kon an ègzanp pou sé lézòt-la, épi i matjé an lévanjil-la pou vèti nou. Paski nou ka viv adan an tan ki pwé finisman-an. 
1CO.10.12	Népòt moun ki kwè i ka doubout fò an lafwa sipozé pwan bon pokosyon avan i tonbé. 
1CO.10.13	Lè ou anba tantasyon, sé pou ou sav i ni lòt moun ki anba menm sé tantasyon sala. Mé Bondyé ka tjenn pwonmèt li, épi i pa kay kitéʼw pasé anba pyès tantasyon ki kay twò fò paséʼw. Lè ou anba tantasyon sala, i kay baʼw kouway-la pou ou sa diwé, épi i kay toujou ouvè an chimen baʼw pou ou sa chapé.
1CO.10.14	Kon sa, fwè èk sè, pa adowé fo bondyé pyès. 
1CO.10.15	Mwen ka palé bay zòt kon moun ki ni lasajès. Mwen vlé zòt jijé pou kò zòt menm sé bagay-la mwen ka di-a. 
1CO.10.16	Lè nou bwè an pòt-la nou ka sèvi-a lè nou ka sélébwé dinen Jézi-a — sa nou ka wimèsyé Bondyé pou-a — vwéman nou ka pwan an pa an san Jézi kouman? Menm mannyè-a, lè nou kasé pen-an pou nou manjé, nou ka pwan an pa adan kò Jézi kouman? 
1CO.10.17	Kon la ni yon sèl pen, menm si la ni nou an chay, nou sé yon sèl kò, paski nou tout ka sépawé menm pen-an.
1CO.10.18	Chonjé sé manmay Izwayèl-la — yo té ka manjé adan sé vyann-an yo té ka ofè bay Bondyé-a. Mannyè sala yo té ka pwan an pa an sakwifis-la. 
1CO.10.19	Ki sa ou kwè mwen vlé di, an fo bondyé ében manjé-a yo ofè ba yo-a sé an bagay tou? 
1CO.10.20	Non! Sa mwen vlé di-a sé sa: Sé bagay-la sé moun-an ki pa ka kwè an Bondyé ka ofè-a, yo ka ofèʼy bay denmou. Épi mwen pa vlé zòt pwan pa an pyès bagay denmou. 
1CO.10.21	Ou pa sa bwè an pòt Jézi-a, épi a menm lè-a bwè an pòt denmou. Ou pa sa manjé asou tab Senyè-a, épi a menm lè-a manjé asou tab denmou. 
1CO.10.22	Ès si nou vlé fè Bondyé jalou? Ében ès si nou kwè nou fò pasé Bondyé?
1CO.10.23	Nou ni dwa-a pou fè népòt bagay, mé sa pa vlé di tout bagay bon pou fè. Nou ni dwa-a pou fè népòt bagay, mé sé pa tout bagay ki kay fè nou pwofité an lèspwi. 
1CO.10.24	Pyèsonn pa sipozé katjilé asou sa ki bon pou kòʼy yonn. I sipozé katjilé asou sa ki bon pou lézòt osi.
1CO.10.25	Ou ni libèté-a pou manjé népòt vyann yo ka vann an laplas-la san mandé pyès kwèsyon pou lapéti konsyans ou. 
1CO.10.26	Kon lévanjil-la di, “Latè-a épi tout sa ki adanʼy sé sa Bondyé.” 
1CO.10.27	Si an moun ki pa ka kwè envitéʼw pou yon wipa épi ou fè lidéʼw pou alé, manjé népòt bagay yo mété douvanʼw, épi pou lapéti konsyans ou pa mandé pyès kwèsyon.
1CO.10.28	Mé si an moun diʼw, “Yo té ja ofè manjé sala kon an sakwifis bay bondyé yo,” lè sala ou pa ni pou manjé manjé sala, pou lapéti moun-an ki diʼw sa-a épi pou lapéti konsyans li. 
1CO.10.29	Sa sé pou lapéti konsyans lòt moun-an, épi sé pa pou lapéti konsyans ou menm.
1CO.10.29	Mé ki mannyè sé konsyans an lòt moun ki ni pou di mwen ki mizi libèté pou mwen ni? 
1CO.10.30	Si mwen wimèsyé Bondyé pou manjé-a i ban mwen-an, pouki pou pyèsonn kwititjé mwen asou manjé-a mwen mandé Bondyé pou benni-an?
1CO.10.31	Ében, népòt bagay ou fè, menm si sé manjé ében bwè, fèʼy adan an mannyè ki kay bay Bondyé lonnè. 
1CO.10.32	Sé pa pou ou bay pyèsonn wézon pou fè sa ki pa bon, menm si sé Jwif ében moun ki pa Jwif ében légliz Bondyé-a. 
1CO.10.33	Ou sa wè mwen ka éséyé pou plè tout moun an tout mannyè. Paski mwen pa ka gadé pou lavantay bay kò mwen, mwen ka gadé pou fè bon bay tout moun, kon sa yo pé sové.
1CO.11.1	Swiv mannyè mwen ka viv-la menm kon mwen ka swiv mannyè Jézi ka viv-la.
1CO.11.2	Bon, mwen vlé di zòt mizi bon zòt ka fè paski zòt toujou ka chonjé ègzanp mwen épi swiv sé bagay-la mwen ka enstwi-a menm kon mwen ja délivwé yo an lanmen zòt-la. 
1CO.11.3	Mé mwen vlé zòt konpwann, Jézi ni lotowité anho tout nonm, kon nonm-lan ni lotowité anho madanm-lan, épi Bondyé anho Jézi. 
1CO.11.4	Si an nonm kouvè tèt li lè i ka pwédyé ében lè Bondyé ba li konmisyonʼy pou mennen bay lòt moun, sa ka kwazé lonnè Jézi. 
1CO.11.5	Si an madanm pa kouvè tèt li lè i ka pwédyé ében lè Bondyé bay konmisyonʼy pou mennen bay lòt moun, i ka kwazé lonnè mawiʼy, épi i menm kon lè an madanm wazé tèt li. 
1CO.11.6	Si an madanm pa kouvè tèt li, pouki i pa annèk wazé tèt li toubonnman? Épi kon i sé an hontèz pou an madanm wazé tèt li ében koupé chivéʼy-la, i sipozé kouvè tèt li. 
1CO.11.7	An nonm pa ni pyès wézon pou kouvè tèt li, paski Bondyé ja fèʼy menm kon i menm Bondyé yé, épi i ja ba li an kawaktè ki menm kon sa li. Mé madanm-lan ka wéfléchi kawaktè nonm-lan. 
1CO.11.8	Paski Bondyé pa té sèvi madanm-lan pou fè nonm-lan. Mé i sèvi nonm-lan pou i fè madanm-lan. 
1CO.11.9	Bondyé pa té fè nonm-lan bay madanm-lan, mé i fè madanm-lan bay nonm-lan. 
1CO.11.10	Madanm-lan ni pou ni an kouvèti asou tèt li pou moutwé i anba lotowité, paski jik sé nanj-lan ki pa kay sòti kontan si i dézobéyi. 
1CO.11.11	Kanmenm koté Jézi ka kondwi, misyé épi madanm ka dépan asou yonn a lòt. 
1CO.11.12	Sa vwé, madanm-lan sòti an nonm-lan, mé an menm di tan-an sé madanm-lan ki fè nonm-lan. Épi sé Bondyé ki fè tout bagay.
1CO.11.13	Jijé bay kòʼw menm, ès si i dwèt pou an madanm pwédyé bay Bondyé san i kouvè tèt li? 
1CO.11.14	Ou menm sipozé sav, lè an nonm ni lonng chivé sa ka kwazé lonnéʼy kouman? 
1CO.11.15	Mé pou an madanm ni lonng chivé, sa sé vwéman an bèlté pou li. Bondyé bay madanm-lan lonng chivé-a kon an kouvèti pou tèt li. 
1CO.11.16	Mé si pyèsonn vlé chikannen asou sa, tout sa mwen ni pou di sé sa, ni nou, ni sé légliz Bondyé-a pa konnèt pyès lòt mannyè.
1CO.11.17	Kon mwen baʼw sé lésisyon sala, mwen té kay vlé di zòt fè byen, mé mwen pa sa fè sa, paski lè zòt jwenn ansanm kon an légliz, sa ka fè pli donmaj pasé i ka fè bon. 
1CO.11.18	Pwèmyéman, moun ja di mwen lè zòt jwenn ansanm kon an légliz, zòt ka konblé adan diféwan ti pil ki kont yonn a lòt, épi mwen kwè sa pé vwé. 
1CO.11.19	Kanmenm la oblijé ni divizyon anpami zòt, kon sa tout moun kay wè aklè sé sa ki ka viv lavi ki dwèt-la épi tout tjè yo-a. 
1CO.11.20	Lè zòt jwenn ansanm kon an légliz, ou pé kwè wézon-an sé pou ou pwan an pa an dinen Jézi-a, mé sé pa sa pyès. 
1CO.11.21	Kon zòt ka manjé, chak moun ka fè kous pou manjé manjéʼy menm. Kon sa adan ka wèsté fen épi lézòt ka sou. 
1CO.11.22	Ki sa! Zòt vlé di zòt pa ni kay pou zòt manjé épi bwè adanʼy? Zòt ka twété légliz Bondyé-a akwèdi i pa enpòtan, épi zòt ka fè sé sa ki pa ni anyen-an hont. Ki sa ou kwè mwen kay diʼw asou bagay sala? Ou kwè mwen kay di zòt ka fè byen? Mwen pa sa di sa pyès!
1CO.11.23	Paski sé lésisyon-an mwen délivwé bay zòt-la, sé menm sé sa Senyè-a ban mwen-an. Senyè Jézi, asou menm swè-a yo té twayiʼy-la, pwan an pen, 
1CO.11.24	épi, apwé i wimèsyé Bondyé pou pen-an, i kaséʼy an konmen mòso épi i di, “Sa sé kò mwen mwen ka bay kon yon sakwifis bay Bondyé pou lapéti zòt. Manjé sa pou zòt sa chonjé mwen.” 
1CO.11.25	An menm mannyè-a, i ba yo diven-an apwé dinen, i di yo, “Diven sala sé agwéman nèf-la ki kachté épi san mwen-an. Népòt lè ou bwèʼy, fèʼy pou zòt sa chonjé mwen.” 
1CO.11.26	Paski népòt lè ou manjé pen sala épi ou bwè diven sala, ou ka di moun ankò, Senyè-a ja mò. Fè sa pou jik lè Senyè-a déviwé.
1CO.11.27	Kon sa népòt moun ki manjé pen-an ében bwè diven-an an dinen Senyè-a adan an mannyè ki ka kwazé lonnè Senyè-a, moun sala kay koupab paski i péché kont kò épi san Senyè-a. 
1CO.11.28	Chak moun sipozé ègzanminé laviʼy avan, épi apwé sa manjé épi bwè an pòt-la. 
1CO.11.29	Paski si an moun pa ni pyès wèspé pou kò Jézi lè i manjé pen-an épi bwè diven-an, moun sala kwiyé jijman asou kòʼy menm. 
1CO.11.30	Sé sa ki fè an chay an zòt ja fèb épi malad, épi plizyè ja mò. 
1CO.11.31	Si nou ègzanminé lavi nou avan, nou pa kay twapé kò nou anba jijman Jézi. 
1CO.11.32	Mé Senyè-a jijé nou épi kowijé nou kon sa i pa kay ni pou kondanné nou ansanm épi lèstan latè-a asou dènyé jou-a.
1CO.11.33	Bon, fwè èk sè, lè zòt vini ansanm pou pwan pa an dinen Senyè-a, èspéyé yonn a lòt. 
1CO.11.34	Si pyèsonn fen, i sipozé manjé lakay li, kon sa lè zòt jwenn ansanm zòt pa kay fè anyen ki kay mennen zòt anba jijman Bondyé. Sé lézòt bagay-la menm, mwen kay mété yo annòd lè mwen vini wè zòt.
1CO.12.1	Bon, fwè èk sè, mwen vlé zòt konnèt lavéwité-a konsèné sé kado-a Lèspwi Bondyé ka bay-la. 
1CO.12.2	Chonjé lè zòt té moun ki pa té ka adowé Bondyé, zòt té pwan vyé chimen-an ki ka fè zòt adowé imaj ki pa ni pyès lavi andidan yo. 
