MAT.1.1	Ɛnjɔ́ɔ cɛ ɔbɔ́ta ú *Yésus *Kilís, *Ɔɔ́nɔ́ u Táfit, a wáŋa ɔɔ́nɔ́ u *Abɛ́laham : 
ACT.22.30	Ɔ ɔyá ɔyá, mutéŋínyi bicénji a muáŋá ŋaá bá mué lénéke omenyi bɔmbányɛ bɔmbányɛ a asana a yaátɛ́ *Besuif ŋa bɔ́ sɔ́mɛ́na Bóol. Ɛ́ɛhɛ́ mu ŋaá laána baacɔ anyía bé wuúci hembúléke tukolí. Mu ŋaá bándáka ne betéŋínyi *beluli nyiínjie ne Hitúlé a hiáŋá. Aáhá aná mu ŋaá kɛ́lá anyía bé héléne Bóol, mu ŋé wuúci télímínyí eébú eé buúse.
ACT.23.1	Bóol ŋaá tálá baacɔ bé Hitúlé a hiáŋá eése, mbá ɔsɛ náábɔ́ : « Báámɛ benyíinyí, híími hɛcɔɔ́cɔ́ hɛ́ ɔtɛ́má tɛ ŋá mɛ kákálɛ́na a aháŋá ne olíhe ewú i ŋé mi líhe eé buúse bɔ́ Bandɔ́mɛsɛ́ ɔ ɔkɔɔ́háma aámbáya. » 
ACT.23.2	Aáná *Ananías, *mutéŋínyi beluli nyiínjie a muáŋá, ŋe yiínjíé baacɔ a bá ŋa bɔ́ bá hoóhi ne Bóol makɛ́nda me o wuúci súbe e nyuúté. 
ACT.23.3	Bóol ŋé wuúci laána ɔsɛ : « Bandɔ́mɛsɛ́ bɛ́muátá kó yóo súbéke, kuɔŋɔ́, efúúmínyínyi yɛ́ nyɛmámá eeyi ! 
ACT.23.4	Baacɔ a bá ŋaá bá hoóhi ne Bóol ŋe bú wuúci bɔ́mɛ́tɛ́na báyɛ : « Mutéŋínyi beluli nyiínjie a muáŋá mɔ Bandɔ́mɛsɛ́ ɔ ɔ́ŋa ɔ ɔwɔɔ́mbɔ́na aáná e ? » 
ACT.23.5	Bóol ŋa bɛ́kámá ɔsɛ : « Báámɛ benyíinyí, cɔ́kɔ́lɛ, i ti ómo menyi anyía mutéŋínyi beluli nyiínjie a muáŋá muáŋa. Yááŋa taaká anyía Ciɔɔ́ŋɛ́ ŋa kɔɔna cɛ́sɛ : “Atɛ táŋɛ́na otéŋí u búɔ́wɔ bunɔŋɔ.”
ACT.23.6	Bóol ŋaá bá weé ményukune anyía baacɔ bé Hitúlé a hiáŋá ɔ bɔ́mɔtɛ́ ŋaá bá *Bafalisiɛ́ŋ, ɔ bɔ́mɔtɛ́ tɔ́na *Basatusiɛ́ŋ. Yaátɛ́ asana u ŋaa kɔ́ɔna okelú ɔ ɔmuaná ɔsɛ : « Báámɛ benyíinyí, yaŋɔ́ ya mɛ́ŋa ɔɔcɔ u Bafalisiɛ́ŋ ; bíámɛ bibíényi Bafalisiɛ́ŋ. Tɛ́ka anyía ya mɛ́ŋa na mɔŋɔlɛ́ na nyɛhaanyua nyí biwéewé, ɛ́ɛhɛ́ bé meé mi télímínyi a nyɛkála e ? »
ACT.23.7	Ayɛ́ Bóol ŋaá táŋáká aáná, na Bafalisiɛ́ŋ na Basatusiɛ́ŋ nyitúme eényí ɔsá, Hitúlé ŋá saasíá. 
ACT.23.8	(Yááŋa anyía Basatusiɛ́ŋ naŋa bábɔ́ kɔ́ɔnaka báyɛ bɔkɔ tɛ á bá abɔ́ bɔ́ ŋɔɔ́ lɔ́ŋɔ anyía nyɛhaanyua nyí biwéewé ; bá kɔ́ɔ́naka tɔ́na anyía bɔkɔ tɛ á bá abɔ́ bɔ́ ŋɔ lɔ́ŋɔ anyía *bililé bɛ́ masɔ́ma bɛ́ Bandɔ́mɛsɛ́, te bililé bí etémbí. Mbá Bafalisiɛ́ŋ, beébe, bá ŋa bɔ́ hɛ́ma bɛsana eébí bikime.) 
ACT.23.9	Háyɛ hikókó ŋaá bá hɛ́ á cɔ́baka bɔ cɔbaka ne buúse na makɛ́nda, *beékúnyi bikotí ɔ bɔ́mɔtɛ́ ɔ ɔlɔŋɔ ú Bafalisiɛ́ŋ nyɛhatɔna eényí o osuŋunyinyi na makɛ́nda báyɛ : « Tu tɛ ŋá sɔ́ lɛ́ca hɛkɔma ná ɔɔcɔ ooci. Yáakɛlá elilé a yɛ́mɔtɛ́ ta anyía *elilé yɛ́ bɔsɔ́ma yɛ́ Bandɔ́mɛsɛ́ a yɛ́mɔtɛ́ yɛ́áŋa ɔtáŋákánɔ́ ne wuúci. » 
ACT.23.10	Ɛsáká ŋaá bá na makɛ́nda a nyɛnamá enyí mutéŋínyi bicénji a muáŋá ŋeé líkíméké anyía bááŋa bá ɔlahɔtɔkɔna Bóol. Yaátɛ́ asana mu ŋaá tɔ́má bíáyɛ́ bicénji anyía bɛ́ kɔ sɔ́mɔ Bóol ɛ ɛkatɛ́katɛ́ cɛ baacɔ bé Hitúlé, bé wuúci cɔbana a hɛkáká a hiáŋá noómi.
ACT.23.11	Buutú a bú ŋaá látá, Bandɔ́mɛsɛ́ ŋá hámɛ́na Bóol, mbá ɔsɛ nááyá : « Bóol, bɛ́kɛ́ndɛ́naʼo ! Ɔ́ mɔɔ́ mɛ hákɛ́nɛ́na ɛmbasɔ́ aaha eé Yelúsalɛm. Ɔ ŋɔ́ɔ nyɛmána wu ɔ mɛ hákɛ́nɛ́na tɔ́na ɛmbasɔ́ e Lóomʼo. »
ACT.23.12	Ɔ ɔyá ɔyá, nɔɔ́nɔyá *Besuif ɔ bɔ́mɔtɛ́ nyɛtáŋáka hɛbɛŋa eényí hɛ́ ɔwɔɔ́nɔ Bóol. Bé ŋe bú súŋé anyía bá tɛ abɔ́ bá bá ɔnyíáka ta bá ɔmúáka beébe tɛ́ka na ɔwɔɔ́nɔ Bóol. 
ACT.23.13	Baacɔ a bá ŋa bɔ́ lɔ́kɔ́mákáná aáná ŋaá bá bábɔ́ hɔ́laka etíne éfendí. 
ACT.23.14	Bɔ́ kɔ kúana ne betéŋínyi *beluli nyiínjie na *baáŋá bé Besuif, mbá báyɛ náábɔ́ : « Tú me sú súŋe buhúnyi na makɛ́nda anyía tu tɛ ká sɔ́ ɔɔ́kɛ́tɛ́na bɔkɔ bɔ́ ɔnyíá basɔ́ tɛ́ka na ɔwɔɔ́nɔ Bóol. 
ACT.23.15	Mbá banɔ́ aná na betéŋínyi híísú Hitúlé a hiáŋá, ánɔ batá mutéŋínyi bicénji a muáŋá aámbáya, wá banɔ́ héléníne Bóol, nué wuúci néŋe anyía nu ŋa nɔ́ áamba otíme yááyɛ́ asana bɔmbányɛ. Basɔ́ bɛ́muátá tú ma sɔ́ bɛ́tábɔ́nákɛ́na háyɛ tua sɔ́ŋa túo wuúci ɔ́ɔ́nɔ, wuúci tɛ́ka ɔ ɔkɔɔ́háma aaha. »
ACT.23.16	Ombíényi u Bóol ŋaá lɔ́kɔ́máká hɛbɛŋa eéhí, nyɛcɔba eényí a hɛkáká a hiáŋá, u ŋó oofíne, u ŋga láákɛ́na Bóol asana ekime. 
ACT.23.17	Bóol ŋɔ́ lɔ́ŋɛ́ta mutéŋínyi bicénji e mutíkítíki, mbá ɔsɛ nááyá : « Cɔbána ɔɔ́nɔmbɔ́ ooci né mutéŋínyi bicénji a muáŋá. Wáŋa na asana yí o muúmu laana. » 
ACT.23.18	Aáná mu ŋa cɔ́bana ɔɔ́nɔmbɔ́ né mutéŋínyi bicénji a muáŋá, mu muúmu laana mɔsɛ : « Ɔɔcɔ a wɔmɔtɛ́ u ciíbe cɛ ɛcaná, nyiínyi ɛ́cɛ Bóol, u ŋaá mɛ lɔ́ŋɛ́ta, yɔ́ mɛ́ laana anyía yémi ó héléníne ɔɔ́nɔmbɔ́ ooci, anyía wáŋa na asana yɛ́ ɔ kuɔŋɔ́ laana. »
ACT.23.19	Mutéŋínyi bicénji a muáŋá ŋé timbíé ɔɔ́nɔmbɔ́ ɔ ɔɔbɔ́, mu ŋé wuúci cɔbána a maabána, mbá musɛ : « Asana a yaátɛ́ ɔ ŋɔɔ́ waamba ɔ mɛ laana e ? » 
ACT.23.20	Ɔɔ́nɔmbɔ́ ɔsɛ : « Besuif ma bɔ́ lɔ́kɔ́mákána ɔ ɔ kuɔŋɔ́ báta anyía óo beébe héléníne Bóol nɔɔyá e hííbú Hitúlé a hiáŋá, bɔ́ kuɔŋɔ́ néŋe anyía bá ŋa bɔ́ áamba otíméke bɔmbányɛ yááyɛ́ asana. 
ACT.23.21	Mbá, cɔ́kɔ́lɛ, eti lumítíne úúbú ɔtáŋa. Ɛ́ná, baacɔ áŋa aabɔ́ ɛ ɛkatɛ́katɛ́ bá ŋa bɔ́ hɔ́la etíne éfendí, bá ma bɔ́ bɛ́námbáka o ohónyí wú o wuúci mɛ́ɔ́mɛ́na. Bá bɔ́ŋa besúŋénú buhúnyi na makɛ́nda anyía bá tɛ ábɔ́ bá bá ɔnyíáka ta ɔmúána bɔkɔ, beébe tɛ́ka na ɔwɔɔ́nɔ Bóol. Bá ma bɔ́ mána ɔbɛ́tábɔ́nɛ́na ; bá ŋa bɔ́ táta hú búɔ́wɔ buhúnyi. » 
ACT.23.22	Mutéŋínyi bicénji a muáŋá ŋo yoónyísínyi ɔlaana ɔɔ́nɔmbɔ́ anyía u ti bíkétínyi ɔɔcɔ u etémbí asana eéyé. Nyi wuúci bíósínyi eényí.
ACT.23.23	Mutéŋínyi bicénji a muáŋá ŋɔɔ́ lɔ́ŋɛ́ta bááyɛ́ betéŋínyi bicénji e betíkítíki béfendí, mbá mɔsɛ náábɔ́ : « Ánɔ bándáka ne bicénji etíne cɔ́ɔ́hátá, na banua biité aá ciátɛ cɛ́ ambala etíne átátɔ́ ne imbuke cíɔ́hátá, na bɔsɔ́ɔ́kɔ́ bá ɔkɔŋɔ́ etíne cɔ́ɔ́hátá, núá bɛ́tábɔ́náka ɔcɔba a Sɛsalɛ́ɛ i injéŋí ɛ́námanyɛ́ nɔ́mɔ cí nebutúé. 
ACT.23.24	Ánɔ tabɔ́nákɛ́na tɔ́na Bóol ciátɛ cɛ ambala cí úúyé ɔkanda. Ánɔ kɛláka aáná anyía wá ka háma wɔɔ́sɔ eé buúse bɔ́ Kɔ́mɛ́na Félis. »
ACT.23.25	Aáná mutéŋínyi bicénji ŋɔ yɔɔ́ŋɔ́kɔ nufule, mɔsɛ :
ACT.23.26	« Ambányɛ yɛ́ Kɔ́mɛ́na Félis, yaŋɔ́ Kolóote Lisiás, i ŋé mi o téŋi. 
ACT.23.27	*Besuif ŋa bɔ́ hátɛ́ná ɔɔcɔ ooci, bá áambaka o wuúci ɔ́ɔ́nɔ ; míɔ lɔ́kɔ́ma anyía wáŋa yeéti yí *Lóom. Buátɛ́ bɔkɔ ɛ ŋaá mɛ bɛ́kɛ́ŋɛ́lɛ́áná na bíámɛ bicénji, mío wuúci kétúnyi. 
ACT.23.28	Ɛ ŋa mɛ́ aambáka omenyi hɛkɔma ehí Besuif ŋe bú wuúci hatɛ́nɛ́na eé hiíhi, ɛ́ɛhɛ́ i ŋe mí wuúci cɔbána e hííbú Hitúlé a hiáŋá. 
ACT.23.29	Míɔ lɛca anyía bíábɔ́ bɛsɔ́mɛ́na ŋaá táŋa hú bɛsana a bɛ́ ŋa lɛ́ca bíábɔ́ *bikotí bɛ́ bɛ́muátá, mbá tɛ́ cáŋa asana ayɛ́ bááŋa bé o wuúci ɔ́ɔ́nɔ eé yiíyi, te yé o wuúci háya eé ciíbe cɛ ɛcaná. 
ACT.23.30	E elime eécí, bé ŋé mi óókísí anyía Besuif ma bɔ́ táŋáka hɛbɛŋa a yááyɛ́ asana. Aáná i ŋeé mi bíkétí o obíkéti anyía ɛ ŋá mɛ́ nyɛmána wu o wuúci tɔ́ma nɔ́ɔ́wɔ, míɔ laana Besuif anyía bé héléne bíábɔ́ bɛsɔ́mɛ́na oówe eé buúse. »
ACT.23.31	Bicénji ŋaá kɛ́láka bɛsana bikime hú háyɛ bé ŋeé beébe laákɛ́na. Bí ŋeé hiíte Bóol, bío wuúci kandakana buutú eebu ɔ ɔkɔɔ́háma a Antibatilis.
ACT.23.32	Ɔ ɔyá ɔyá, bicénji a bɛ́ ŋaá bá bɛ́á kándaka na akɔlɔ́ ŋaá hálɔ́mɔ́ná ne elime aabɔ́ a hɛkáká ; bɔsɔ́ɔ́kɔ́ bá ciátɛ cɛ́ ambala ŋaá cɔ́bá ne buúse ne Bóol. 
ACT.23.33	Hí ayɛ́ bɛ́ ŋga hámá a Sɛsalɛ́ɛ, bí ŋé iínjíé Kɔ́mɛ́na Félis nufule, bí ŋé wuúci cuméke Bóol. 
ACT.23.34	Kɔ́mɛ́na ŋa fánáka nufule, u ŋá batá Bóol anyía wáŋa u ekéti yí iisí yɛ́ háányɛ́ e ? Ɛŋakɛlá wá lɔ́kɔ́ma anyía yí Silisí, 
ACT.23.35	mbá ɔsɛ : « Ɛ ká mɛ́ aákɔ́nákɛ́na yɔ́ɔ́wɔ asana ɛkákɛ́la ba-kuɔŋɔ́-sɔ́mɛ́na á ka bɔ́ háma aaha. » Nyiínjie makɛ́nda eényí me okotétényi Bóol eé ciíbe ci butéŋí ci *Elóot.
ACT.24.1	E elime cɛ mɔɔ́sɛ́ matáánɔ, *mutéŋínyi beluli nyiínjie a muáŋá *Ananías ŋgaá hámá a Sɛsalɛ́ɛ ɔlɔŋɔ na *baáŋá bé *Besuif a bɔ́mɔtɛ́ na mukamɛna *bikotí a mumɔtɛ́, nyiínyi ɛ́cɛ Tɛlɛtíile. Bá ŋa bɔ́ cɔ́bá ɔ ɔkɔɔsɔ́mɛ́na Bóol ná Kɔ́mɛ́na Félis. 
ACT.24.2	Kɔ́mɛ́na ŋɔɔ́ lɔ́ŋɛ́tá Bóol ; Tɛlɛtíile ŋé túme o otúme Bóol tɔkɔma ɔsɛ : « Ambányɛ yɛ́ Kɔ́mɛ́na Félis, na yɔ́ɔ́wɔ ambányɛ yí nyikendisi yɛ́ bunɔŋɔ na bɛɔ́sɔɔ́sɔ bɛ́ nyɛtákɛ́na nyɛ́ bɛsana abɛ́ ɔ ŋɔɔ́ tákɛ́na a asana na búásɔ́ bɔmbányɛ a bunɔŋɔ eebu ŋaá basɔ́ iinjie mbuumu. 
ACT.24.3	Tu ŋa sɔ́ káha ekúlú ekime ne obíléne bɛsana eébí bikime a bɛhaála bikime, tu o wiínjíékíne bitéŋíti buéŋí. 
ACT.24.4	Kɔ́mɛ́na, ɛ tɛ ŋá mɛ́ aamba ɔ kuɔŋɔ́ yébi na ɔtáŋa weéŋí, ɛ ŋa mɛ́ ɔ bɛ́cɔ́kɔ́lɛ́na yáaŋa anyía ɔ bɛ́fɔ́ŋɔ́lɛ́ta eetú ɔ́ɔ lɔ́kɔ́ma asana eeye bɔmbányɛ e hikéti hí ekúlú. 
ACT.24.5	Tua sɔ́ŋa balɛcánɔ́ anyía baabá eeye áŋa taaká cɛ hɛlɔkɔ, háyɛ wáŋa mutéŋínyi hitúlé hɛ́ baacɔ hɛ́ *Násalɛt,
ACT.24.6	U ŋá sɛ́ wá bɛ́káná ɔcaŋɛna okotí yí ofúúméne yɛ́ ciasɔ́ *Ciíbe cɛ Bandɔ́mɛsɛ́. Yaátɛ́ asana tú me sú wuúci hatɛna. [Tu ŋá sɔ́ bá anyía túésú wuúci kélísíki háyɛ bíásɔ́ bikotí ŋo tóŋínyi. 
ACT.24.7	Asana ɔ́mɔtɛ́, mutéŋínyi bicénji a muáŋá Lisiás ŋaá fááya, yɔ́ basɔ́ bákáláka ɔɔcɔ ooci. 
ACT.24.8	Mbá musɛ baacɔ a bá bɔ́ŋa na asana ne wuúci á faáya oówe eé buúse.] Mbɔ́kɔ o ŋoó bícónyíki ɔɔcɔ ooci, ɔ ŋɔɔ́ cɔba ɔ ɔlɛca, kuɔŋɔ́ bɛ́muátá, anyía tɔkɔma etú tu ŋe sú wuúci túme áŋa taaká. » 
ACT.24.9	Besuif ŋe bú oónyísíkínyí tɔkɔma eétú, bɔ́ kɔɔna báyɛ bɛsana eébí áŋa híáná taaká.
ACT.24.10	Aáná kɔ́mɛ́na ŋeé késítínyí Bóol anyía wá táŋáka, mbá Bóol ɔsɛ : « I ŋe mí menyi anyía tuɔŋɔ ma hɔ́laka tuéŋí etú o ŋoó kélísi bɛsana bɛ́ baacɔ aaha aasɔ́ a bunɔŋɔ ; yaátɛ́ asana ya mɛ́ŋa na mɔŋɔlɛ́ meéŋí ɔ ɔtɛ́má ekúlú ayɛ́ ɛ ŋaá mɛ bɛ́kála oówe eé buúse. 
ACT.24.11	Ɔ ɔ́ŋa wu ɔbataka baacɔ a bɔ́mɔtɛ́ asana ayɛ́ ɛ ŋaá mɛ táŋa, yááŋa anyía mɔɔ́sɛ́ tɛ ŋa hɔ́la mɔɔ́hátá ne méfendí amá ɛ ŋgaá mɛ hámá e Yelúsalɛm o okonyémi Bandɔ́mɛsɛ́ aá ciayɛ́ Ciíbe. 
ACT.24.12	Ayɛ́ ɛ ŋgaá mɛ hámá, ta ɔɔcɔ ta ɔmɔtɛ́ tɛ ɔ́mɔ mɛ kuanɛna buɔ́sɛ́ yemí suŋgunyinyi na baacɔ, ta anyía yemí oosikinyi baacɔ e etuŋulinyi eé *Ciíbe cɛ Bandɔ́mɛsɛ́, mbá ta *andaŋía yɛ́ ɔbɛ́cɔ́kɔ́lɛ́na a yɛ́mɔtɛ́, ta aá haála a hɔ́mɔtɛ́ há bálɛ́ka. 
ACT.24.13	Ba-mɛ-sɔ́mɛ́na eebe aámbáya tɛ abɔ́ bá ta na hɛkɔma a hɛ́mɔtɛ́ ahɛ́ bá bɔ́ŋa bé o mi túme. 
ACT.24.14	Asana eyí i ŋe mí menyi ayɛ́ ya mɛ́ŋa wu ɔ kuɔŋɔ́ laana áŋa anyía, ɛ ŋa mɛ́ látɛ́na yɔɔ́sɔɔ́sɔ yí ohónyí eyí beébe bé ŋe bú bíkéti anyía yɛ́ tɛ á bá atálɛ́mánánɔ́. Ɛ ŋa mɛ́ nyiɔnɔ Bandɔ́mɛsɛ́ buólí, wuúci cíísú sɔ́kɔ́nɔ́ ŋaá bá cíé nyémiki. I ŋe mí lumitinine tɔ́na bɛsana bikime a bɛ́áŋa bɛɔ́ŋɔ́kɔ́nɔ́ ne e tufule tú *bikotí ne e tufule tú *behémúnyi bɛsana bá Bandɔ́mɛsɛ́. 
ACT.24.15	Ya mɛ́ŋa ɔháyánɔ́ mɔŋɔlɛ́ eeme ná Bandɔ́mɛsɛ́ háyɛ beébe tɔ́na bá ma bɔ́ háya : Maáŋa anyía baacɔ bekime, ta bɛtálɛ́mánánɔ́, te eebe a bá tɛ abɔ́ bá bɛtálɛ́mánánɔ́, ká bɔ́ háanyuaka e biwéewé. 
ACT.24.16	Yaátɛ́ asana í meé mi bíínjie bikúlú bikime anyía híími hɛcɔɔ́cɔ́ hɛ́ ɔtɛ́má tɛ́ mɛ kákálɛ́na ne eé buúse bɔ́ Bandɔ́mɛsɛ́ ne eé buúse bɔ́ baacɔ.
ACT.24.17	I ŋe mí hulíki ɔmbana ú tuɔŋɔ weéŋí, míɔ kɔ hálɔ́mɔ́na eé Yelúsalɛm. Ɛ ŋgaá mɛ hálámánáná na bɛnyɛ́ma bɛ́ ɔwaafakɛna baacɔ bá mahana bá búámɛ bunɔŋɔ ne bitúké bɛ́ ɔsɔ́mbákɛ́na Bandɔ́mɛsɛ́ *bɛbɛ́sámbá. 
ACT.24.18	A asana eéyé ɛ ŋaá mɛ bá eé Ciíbe cɛ Bandɔ́mɛsɛ́, yémi kuenyikinyi okotí yí obífúúmínyi. Nyɛkɔca nyɛ́ baacɔ tɛ ɔ́mɔ bá aámɛ a maabána, mbá te etuŋulinyi a yɛ́mɔtɛ́. 
ACT.24.19	Bɔ́mɔtɛ́ *Besuif bé ekéti yí iisí yɛ́ Asi ŋa bɔ́ bá hɔ́á, keyé beébe bá ŋa bɔ́ bá bó mi héléne aaha oówe eé buúse, mbɔ́kɔ bábɔ́ bá na hɛkɔma a hɛ́mɔtɛ́ hí o mi túme. 
ACT.24.20	Mbɔ́kɔ ɛ tɛ á bá aáná, baacɔ eebe óo bíkétíkínyi bɔmbányɛ asana a yaabɛ́ ayɛ́ bá ŋa bɔ́ mɛ kákálɛ́na, ekúlú eyí bé ŋe bú mi télímínyi a nyɛkála eé buúse bú Hitúlé a hiáŋá, 
ACT.24.21	ɛ tɛ ŋáa bá hú buhúnyi eebu abɔ́ ɛ ŋa mɛ́ kɔɔna aabɔ́ ɛ ɛkatɛ́katɛ́ okelú ɔ ɔmuaná ɛsɛ́ : Tɛ́ka asana ayɛ́ ya mɛ́ŋa aáhá a nyɛkála eenú eé buúse hɛ́nánɔ áŋa anyía i ŋe mí lumitinine nyɛhaanyua nyí biwéewé e ? »
ACT.24.22	Félis ŋaá bá weé ményukune bɔmbányɛ bɔmbányɛ bɛsana biéŋí a asana ne ohónyí ú Otéŋí a Waáŋá ; aáná u ŋeé hélúmúnyi nyɛkála ne elime, u ŋé beébe laána ɔsɛ : « Ánɔ cɔbá, i ké mi kélísíki yáánɔ́ asana buɔ́sɛ́ bú etémbí, ekúlú eyí Lisiás, mutéŋínyi bicénji a muáŋá, káá fáaya. » 
ACT.24.23	Nyɛlaana mutéŋínyi bicénji e mutíkítíki eényí anyía mué ke hélúmúnyi Bóol eé ciíbe cɛ ɛcaná, bé tí menyí wuúci fáláka e nyitétényi, bé tí leké bíáyɛ́ bikendinyi o búle wuúci ɔ́ɔ́lɔ.
ACT.24.24	Ahɛ́ ɔmbana ú mɔɔ́sɛ́ a wɔ́mɔtɛ́ ŋa hɔ́la, Félis ŋaá fááya ɔlɔŋɔ ne oónyí Túlúsile, itónyi ci *Besuif.
ACT.24.25	Mbá ekúlú eyí Bóol ŋeé túmé obíkéti na anyána ɔɔcɔ á nyɛ́mana wu ɔkandaka ɔtálɛ́mánánɔ́ eé buúse bɔ́ Bandɔ́mɛsɛ́, yɔ́ bámɛ́na wɔɔ́nɛ́nánɔ́ ɔ ɔtɛ́má noómi, u tɛ kɛla bɛsana a bɛɛbɛ́, na anyána Bandɔ́mɛsɛ́ káá sɔ́mbɔ́tɔ́kɔ́nɛ́na baacɔ bɛsana, bulíkílíki ŋá hatɛ́na Félis, mbá ɔsɛ né Bóol : « Aámbáya kakána hálɔ́mɔ́na, ɛ ká mɛ́ ɔ lɔ́ŋɛ́ta ɛ́mɔtɛ́ ekúlú. » 
ACT.24.26	U ŋaá bá waá mɛ́naka mɔŋɔlɛ́, u ketiki anyía Bóol áŋa wu o wuúci iínjie mɔɔnyɛ́ ; yaátɛ́ asana u ŋaá bá weé wuúci lɔ́ŋɔ́kɔ bikúlú bikúlú anyía bábɔ́ aásánáka.
ACT.24.27	Ɛ́makɛ́la tuɔŋɔ túfendí á hɔ́la, bá ŋá tɔ́ma kɔ́mɛ́na ci etémbí, Bɔlɔsíus Fɛsitus, e nyilimíné nyí Félis. Félis ŋaá bá wa yáambaka anyía Besuif eé wuúci bílénékíne, ɛ́ɛhɛ́ u ŋaá nyɛana Bóol eé ciíbe cɛ ɛcaná.
ACT.25.1	E elime cɛ mɔɔ́sɛ́ matátɔ́ amá Fɛsitus ŋgaá hámá e ekéti yí iisí ayɛ́ u ŋaa nyɛ́mana wu otéŋgínyi, u ŋa hátɔ́na a Sɛsalɛ́ɛ, yó súéte eé Yelúsalɛm.
ACT.25.2	Hɔ́á, ne betéŋínyi *beluli nyiínjie na *baáŋá bé *Besuif ŋa bɔ́ fáákɔ́na nááyá ɔ ɔkɔsɔ́mɛ́na Bóol. Bá ŋa bɔ́ bɛ́cɔ́kɔ́lɔ́kɛ́na Fɛsitus 
ACT.25.3	anyía wé lumítíne anyía bá ka hálámánána Bóol eé Yelúsalɛm ; aá taaká, bé ŋe bú wuúci táŋákɛ́na hɛbɛŋa, bá áambaka o fule wuúci ɔ́ɔ́nɔ o ohónyí. 
ACT.25.4	Mbá Fɛsitus ŋeé beébe bɛ́kámá na anyía Bóol áŋa ɔháyánɔ́ eé ciíbe cɛ ɛcaná a Sɛsalɛ́ɛ, na anyía hikúlúkúlú wuúci bɛ́muátá ŋaá cɔba ɔ ɔhálɔ́mɔ́na hɔ́á. 
ACT.25.5	Yó sólinyi ɔsɛ : « Báánɔ́ betéŋínyi á bɔ́ŋa bá ɔcɔba ɔlɔŋɔ na yaŋɔ́ anyía bébú túméke ɔɔcɔ oócí tɔkɔma hɔ́á, mbɔ́kɔ wáŋa ɔkɛlánɔ́ bɔɔbɛ́ a búmɔtɛ́. »
ACT.25.6	Fɛsitus ŋeé límékíne hoóhi mɔɔ́sɛ́ manamanyɛ́ ta anyía mɔɔ́hátá náábɔ́, u ŋá hálɔ́mɔ́na a Sɛsalɛ́ɛ. Ɔ ɔyá ɔyá u ŋeé límíne a andaŋía yɛ́ nyɛkála, mbá ɔsɛ bé wuúci héléníne Bóol. 
ACT.25.7	Ahɛ́ Bóol ŋgaá hámá, Besuif e bé ŋe bú húlé eé Yelúsalɛm ŋe bú wuúci bɛ́bɔ́ŋɔ́lɛ́ná, bé ŋé túme o wuúci túme bɛandándá bɛ́ tɔkɔma biéŋí abɛ́ bɔ́ tɛ ɔ́mɔ bɔ́ bá ne ohónyí wú otóŋínyi anyía bɛ́áŋa taaká. 
ACT.25.8	Mbá Bóol ŋaá bá waá bɛ́hɔ́kɔ́nɔ́nɔ ɔsɛ : « Ɛ tɛ ɔ́mɔ nɔ́kɔ okotí ta ɔ́mɔtɛ́ e *bikotí bí Besuif, te e bikotí bí *Ciíbe cɛ Bandɔ́mɛsɛ́, te e bikotí bí butéŋí bú *Lóom. » 
ACT.25.9	Fɛsitus ŋaá bá wa yáambaka anyía Besuif e wuúci bílénékíne, ɛ́ɛhɛ́ u ŋa bátá Bóol ɔsɛ : « Aáná ɛ́cɛ anyía o ŋoó lumitine osúéte eé Yelúsalɛm anyía bó yóo kélísíki eémi eé buúse a bɛsana eébí e ? » 
ACT.25.10	Mbá Bóol ɔsɛ : « Ɛ ŋa mɛ́ hɛ́nyɛ́na ɔkɔɔna ɛsɛ́ ne bikotí bí butéŋí bú Lóom bá nyɛ́mana bé o mi kélísíki. Mbɔ́kɔ yaŋɔ́ ɔnɔkɔ́nɔ́ okotí yí Besuif a yɛ́mɔtɛ́, keyé kuɔŋɔ́ bɛ́muátá o ŋoó menyi bɔmbányɛ bɔmbányɛ. 
ACT.25.11	Mbɔ́kɔ ya mɛ́ŋa a nyɛnana, míɔ kɛla asana ayɛ́ yámɛ nyɛmana wu owééne eé yiíyi, ɛ tɛ ŋá mɛ́ sáŋɔ́na owé. Mbá mbɔ́kɔ ta hɛkɔma ta hɛ́mɔtɛ́ tɛ á bá taaká a tɔkɔma tukime etú bé ŋe bú mi túme, ta ɔɔcɔ tɛ a bá wu o mi fiimbie náábɔ́. Hú Sɛsáal bímuócí wá nyɛ́mana wu ɔbaka asana eeye ! »
ACT.25.12	Fɛsitus ŋaá lɔ́kɔ́máná na bááyɛ́ be-wuúci-lébe, mbá ɔsɛ : « Ɔ́kɔ, tɛ́ka kuɔŋɔ́ bɛ́muátá ɔ́ mɔɔ́ kɔɔna anyía Sɛsáal wá nyɛmana wu ɔ kuɔŋɔ́ kélísíki e ? Oo, ɔ ŋɔ́ɔ nyɛmána wu ɔkɔkáláka eéyé eé buúse. »
ACT.25.13	E elime cɛ ɔmbana ú mɔɔ́sɛ́, ne otéŋí u *Besuif Akílíba
ACT.25.14	Háyɛ bá ŋa bɔ́ nyɛ́mána bé ohuliki mɔɔ́sɛ́ meéŋí a Sɛsalɛ́ɛ, Fɛsitus ŋé beébe bíkétíkínyi asana yí Bóol, ɔsɛ : « Ɔɔcɔ a wɔmɔtɛ́ áŋa aaha ewú Félis ŋeé síké eé ciíbe cɛ ɛcaná. 
