MAT.1.1	Mukaanda kinkaaka kya Yesu Kiristo, mwaana Davidi, mwaana Abalaami.
JHN.11.32	Ngo Mariya katubukaa ha ba Yesu, na bu kamumono, wabwa ha miilu mya Yesu na waleele ti: «Mfumu, ye ngo wabee hamaha, nkani mpaangi yaami kaketi kufwa ko.» 
JHN.11.33	Yesu kamonaa Mariya wuri mu kudila, na Bayudayo bayisiri na nde se bari mu kudila, nde wamono ngebe dzalaka, na mutima wabula mangoongo. 
JHN.11.34	Nde waleele ti: «Hari lumusuusiryeenu?» Bo baleele kuri nde ti: «Mfumu, wasa na mono.» 
JHN.11.35	Yesu wadila. 
JHN.11.36	Bayudayo baleele ti: «Monee, nkati bee wumutiiri!» 
JHN.11.37	Bakaka mu bo baleele ti: «Nde wabee kwedzibula miisu mya wafwa miisu, buri kaherirye kusa kuri ti muutu wu kahele kufwa?»
JHN.11.38	Yesu bu kabweese kubaka ngebe ku nsa mutima, wayende ku mampeembe, dyaba bulu dyahaku kunsa ntari, na dyabunduku mu tari. 
JHN.11.39	Yesu waleele ti: «Yisilee tari», Malata kibusi kya wafwa wamuleele ti: «Mfumu, nde weki pala mfuku, bukuri kiluumbu ki kyeeki kyabina.» 
JHN.11.40	Yesu waleele kuri nde ti: «Buri me nsii kuleelaa ko ti, mbuti ye siiri kanyi, lo ye sa wamono nkeembu Nzaambi?» 
JHN.11.41	Bo bayisila tari. Yesu watala ku yulu, waleele ti: «Taata, me mvutiri matoondo, bukuri ye yukiri ma nyikuloombiri. 
JHN.11.42	Me nyaari ti ye kooywiilaa me mantaangu momanso, ngo me nzoonsiri mu ntoono mpuumbu baatu yandyengekele, mpisi basa kanyi ti, ye waheeke me.» 
JHN.11.43	Bu kamanaa kuleele bubwo, mu mbeembu yamakwa nde wabikisa ti: «Ladzaro, pala!» 
JHN.11.44	Wunde waba wafwa, wapala, myooko na miilu myakaangu mu bisila, na kidziri mu mutulu. Yesu waleele kuri bo ti: «Munyanginee, na muhemesee keyende.»
JHN.11.45	Balaka mu Bayudayo baba bayisa kuri Mariya, na bamwiini mya yirikiri Yesu, basiila kanyi mu nde. 
JHN.11.46	Bamosi mu bo, bayende kwemono Bafarisi, na baleele kuri bo mamo ma yirikiri Yesu. 
JHN.11.47	Hango bakuutu ba bangaanga-nzaambi bakutukina na kikuutu kya Bayudayo, baleele ti: «Nki tuseeneenu, bukuri muutu wumawu, wuri mu kwesa bidiimbu byalaka! 
JHN.11.48	Mbuti beetu tumutariri bunubwo, lo bobanso sa basa kanyi mu nde, na bari Loma sa biisa batutsyaamina na kibeendu kyeetu, na kaanda!» 
JHN.11.49	Muutu mosi mu bo, nkuumbu Kayafa, nde waba mukuutu bangaanga-nzaambi mu mubvu wunde, wabaleele ti: «Beenu luyaari kitotolo ko. 
JHN.11.50	Beenu lwahele kumono kuri ti, bubvuriri bubwete mu beenu ti, muutu mosi kafwa mu ntoono baatu bobanso ti na kuri ti, kaanda dyodinso difwa.» 
JHN.11.51	Nde kasii leele mamo mu nde-meene ko. Ngo bukuri nde waba mukuutu bangaanga-nzaambi mu mubvu wunde, wabikula ti, Yesu yelemini kufwa mu ntoono kaanda, 
JHN.11.52	kari munu mu ntoono kaanda ko, ngo se mu ntoono baala ba Nzaambi batsamukina, na se kabakutukisa mu kintwaari kimosi.
JHN.11.53	Kuholosono kiluumbu kikyo, bo baholo kitsimi, ti nde wa kudzusa. 
JHN.11.54	Hango nkuumbu, Yesu waba wahele kubweese kweyende ha kakati dya Bayudayo, kuri bobanso bamumono; ngo nde wayende kwa la, ku nkoonsi yiri bele na nsi yankatu, mu bvula dimosi diri nkuumbu Efarayime, nde wadzakala kukwo na bayiki baandi.
JHN.11.55	Munkeembu Bayudayo wa Paaka waba weki bele, baatu balaka banangukina mu mabula ma bo, na batoomboko ku Yerusalemi, mu kutsyeemese manyutu maaku, tekesele Paaka diba. 
JHN.11.56	Bo basaka Yesu, na balelesene bo na bo kuri bari mu Nzo-nzaambi ti: «Beenu buri lutsimini? Nde kari nyisikila ku munkeembu wumawu ko!» 
JHN.11.57	Bakuutu ba bangaanga-nzaambi na Bafarisi baba leele ti mpisi wuyaaba hari Yesu, lo kiisa kabapyeete, mpisi bamukaanga.
JHN.12.1	Biluumbu bisaamunu, tekesele munkeembu wa Paaka kaba, Yesu wayende ku Betanya, kwaba dzakalaa Ladzaro, wu kaba fulukisa mu bafwa. 
JHN.12.2	Kukwo, bamuha mbyandya, na Malata wamusiila byo ha kibeendu kya kudiila. Ladzaro waba mosi mu babo baba balaambula miilu mu kudya na nde. 
JHN.12.3	Mariya bu kaholo mukuru mananaasi mantalu yalaka, wayitila mu miilu mya Yesu, na wayaala myo mu mfu dzaandi. Nzo yoyinso yaluula mu mfuku mananaasi. 
JHN.12.4	Mosi mu bayiki baandi, Yuda Iskaryote, wunde wumuyekele, waleele ti: 
JHN.12.5	«Buri baheryee kuyarika mananaasi ma, mu nkama tatu dza bidenali, na kuha kuri bawelu?» 
JHN.12.6	Nde mamo kuleele, kari bukuri waba na musoongo mu bawelu ko, ngo bukuri waba ngaa-kwiibi, na nde waba kwekebaana nkangala mboongo, na bukuri waba holaana bi basokaa mumwo. 
JHN.12.7	Yesu waleele ti: «Muhemese, nde kayirika mamo, mu ntoono kiluumbu kya nziikulu me. 
JHN.12.8	Mukwongo, mu mantaangu momanso beenu luri kintwaari na bawelu; ngo kasi, beenu lwahele kuba kintwaari na me, mu mantaangu momanso.»
JHN.12.9	Mpuumbu yayinene ya Bayudayo yayaaba kuri ti, Yesu wuri ku Betanya. Bo bayende kukwo, kari munu mu ntoono Yesu ko, ngo mu kuri ti bamono se Ladzaro wu kafulukisi mu bafwa. 
JHN.12.10	Bakuutu ba bangaanga-nzaambi baholo kitsimi kya kudzusa Ladzaro, 
JHN.12.11	bukuri, mu ntoono nde, balaka baba yitikaana Bayudayo, na kusiila kanyi mu Yesu.
JHN.12.12	Ha mambisa ma kiluumbu kikyo, mpuumbu yayinene yabakwiisa ku munkeembu, yayuka ti Yesu wuri mu kwiisa ku Yerusalemi. 
JHN.12.13	Baatu baholo matsweeni na bapala mu kweenmubwaana. Bo babeke kubikisa ti: «Hosaana! Kaba wasakumunu, wunde wukwiisa mu nkuumbu ya Mfumu, [na] mbyaasi ya Isaheli.» 
JHN.12.14	Yesu, bu kamono mwaana mpuunda, wadzakala ha yulu nde, bunu bu diri dyatinu ti:
JHN.12.15	«Yaa ba na boomo ko, ntuumba ya Syoni;
JHN.12.15	mono mbyaasi yaaku wiisiri,
JHN.12.15	wadzakala ha yulu mwaana mpuunda.»
JHN.12.16	Bayiki baandi, hatete, baba bahele kubakula; ngo kasi Yesu habaanaa weki wakeembusu, haho bo babaambukiri mwooyo, ti mamo maba matinu mu nde, na bayirikiri bubwo mu nde.
JHN.12.17	Mpuumbu yaba na nde, ha kaba teele Ladzaro ku kupala mu mukala, mu kumufulukisa mu bafwa, yata kimbaangi mu nde. 
JHN.12.18	Hango nkuumbu, mpuumbu [se] yayisa mu kumubwaana, bukuri bayukiri ti: nde wayirikiri kidiimbu kikyo. 
JHN.12.19	Hango Bafarisi balelesene bo na bo ti: «Lumono bubwo, beenu lubangusina kusa kitotolo ko: mono baatu bobanso beensi ha mambisa ma nde!»
JHN.12.20	Mu baba toomboko ku kweesaambila Nzaambi ku munkeembu, kwaba mwaa ndaambu Bahelene. 
JHN.12.21	Bo bakokosolo kuri Filipo, wa ku Betesayida dya Ngalili, bamufuula baleele ti: «Mfumu, beetu tutiiri kumono Yesu.» 
JHN.12.22	Filipo wayende kuleele kuri Andere, na Andere bo na Filipo, bayende ha kimosi mu kuleele kuri Yesu. 
JHN.12.23	Yesu wabvutula kuri bo waleele ti: «Kilookolo kitubukiri, kiri Mwaana muutu sa kaba wakeembese. 
JHN.12.24	Ngwanwa mu ngwanwa me nyiluleele, mbuti nkono saangu yibwiiri ha butoto yahele kufwa, lo sa yiba yokaka; ngo mbuti yifwiiri, lo sa yapalisa bimbutu byalaka. 
JHN.12.25	Wunde wutiiri kidziingu kyaandi, lo sa kadziimbisa kyo; na wunde wubele kidziingu kyaandi, mu nsi yimayi, lo sa kakebe kyo, mu kubaka kidziingu kyahele manunu. 
JHN.12.26	Mbuti muutu tiiri kusalila me, lo kanama me; na haho ha nyiri me, lo kisari kya me se, sa kaba hanaho. Mbuti muutu wusalila me, lo Taata sa kamukiinsa.»
JHN.12.27	«Mu lumalu, me mutima wusa mambaawu, ngo me ndeele ti kwe? Ti Taata, bvuukisa me mu kilookolo kimaki? Hango me ti, mu ntoono kilookolo kimaki nyiri nyayisa. 
JHN.12.28	Taata keembese nkuumbu yaaku!» Mbeembu yayukukuna ku mayulu ti: «Me nyakeembisiri nde, na sa nyabweese kumukeembese.» 
JHN.12.29	Mpuumbu yaba yateleme haho, bu yayuka yaleele ti: «Yiyo yibeeri nzasi!» Bakaka baleele ti: «Yiyo mbasi yidzoonsiri kuri nde.» 
JHN.12.30	Yesu wabvutula na waleele ti: «Kari mu ntoono me mbeembu yiyo yiyukukini ko, ngo mu ntoono beenu. 
JHN.12.31	Mu lumalu, nsundusulu ya nsi yeki; mu lumalu, mfumu ya nsi yimayi sa bamutuba ku mbasi; 
JHN.12.32	Na me mbasi-tsuku, ha nyisisa butoto mu kuba wadzaangusu, me sa nyakoko bobanso ku nyiri meenu.» 
JHN.12.33	Nde mimyo kuleele mu kuyaabisa, mu kya mfwiilu nde kaba kayelemene kufwiila. 
JHN.12.34	Mpuumbu yabvutula kuri nde ti: «Beetu twayukiri mu mangisi ti, Kiristo wunamitina kuba mu mu mantaangu momanso; heki ye buri wuleele ti: Mwaana muutu yelemini kuba wadzaangusu? Mwaana muutu wunde na?» 
JHN.12.35	Haho Yesu waleele kuri bo ti: «Buungi bwakiri ha kakati dya beenu, mu mwaa-ntaangu yantele. Yendee lwedyaata bu lwakiri na buungi, mpisi heki luhele kukimuka kuri lweki kunsa mampimbisi; bukuri wunde wukweyende kunsa mampimbisi wahele kuyaaba ku kakweende. 
JHN.12.36	Bu lwakiri na buungi, siilee kanyi mu buungi, mpisi luba baala ba buungi.»
JHN.12.36	Bu kamana kunzoonso mamo, Yesu wasasika na wasweeme la na bo. 
JHN.12.37	Nde wayirika bidiimbu byalaka ha busu bwa bo, ngo bahele kumusiila kanyi, 
JHN.12.38	mpisi heki maampu ma leele Esaya mubikiri meende mu mana:
JHN.12.38	«Mfumu, na wasiiriri kanyi mu ma twayukiri beetu?
JHN.12.38	Kuri na Mfumu kasoongiri mpinu dzaandi?»
JHN.12.39	Hango-nkuumbu, bo baba bahele kusiila kanyi. Mukwongo, Esaya wubweese kuleele ti:
JHN.12.40	«Nde wabadzusiri miisu,
JHN.12.40	na wabakubisiri mitima,
JHN.12.40	mpisi heki bahele kumono mu miisu,
JHN.12.40	bahele kubakula mu mutima,
JHN.12.40	bahele kuyiinga dyeele,
JHN.12.40	na me nyibatsinikisa.»
JHN.12.41	Esaya waleele bubwo, bukuri nde wamwiini munkeembu Yesu, na wadzoonsolo mu ntoono nde.
JHN.12.42	Ngo ha kakati dya bakuutu, baatu balaka basiiriri kanyi mu nde. Kasi mu ntoono Bafarisi, baba bahele kutambukila mu kubata ti, bee babapalisiri mu nzo-nkutukunu. 
JHN.12.43	Bukuri bo babvuriri kutya munkeembu wa baatu ti na munkeembu wa Nzaambi.
JHN.12.44	Yesu wabikisa waleele ti: «Wunde wusa kanyi mu me, lo kari mu me kasiila kanyi ko, ngo mu wunde wampeeke, 
JHN.12.45	na wunde wumono me, lo mwiini se wunde wampeeke. 
JHN.12.46	Me ngo buungi, nyayisa ha nsi, mu kuri ti mpisi wunde wusa kanyi mu me, kahele kunamitina kuba ku mampimbisi. 
JHN.12.47	Mbuti muutu, yukiri maampu maami, na wahele kumakebe, lo kari me nyimutsuundisa ko, bukuri me nyahele kwiisa mu kutsuundisa nsi, ngo mu kubvuukisa nsi. 
JHN.12.48	Wunde wubisa me, na wuhele kutaambula maampu ma me, lo wuri na wumutsuundisa.» Maampu ma ndeeriri me, mamo mamutsuundisa mu kiluumbu kya mpotulu. 
JHN.12.49	Bukuri me nsii dzoonso mu me-meene ko, ngo Taayi dyaami wampeeke, wampee lutumu mu mya kuleele na mya kudzoonsolo. 
JHN.12.50	Me nyaari ti lutumu lwaandi, luri na kidziingu kya mantaangu momanso. Ngo ma nyileele me, me kumaleele bunu bwa leeriri Taata, bunubwo se me nyimaleele.
JHN.13.1	Tekesele munkeembu wa Paaka wuba, Yesu bu kayaari ti kilookolo kyaandi kimwaatubuka, kya kuyisika mu nsi yimayi na kweende kuri Taata, bu kaba katiiri ba nde-meene mu nsi yimayi, wasoongo ntiilu yaandi mu bo natee ku manunu. 
JHN.13.2	Kilookolo ki baba dya mu nsinsika, dyabulu waba mwaasuusa, mu mutima Yuda, mwaana Simoni Iskaryote, kitsimi kya kuyekele Yesu. 
JHN.13.3	Yesu bu kaba kayaari ti, Taata wamuyakisa byobinso mu myooko myaandi, na ti, nde wafumuna kuri Nzaambi, na kuri Nzaambi keki bvutuka, 
JHN.13.4	nde wateleme ha kibeendu kikyo, wayisila binkuta bya mu yulu, na bu kaholo nsaanda, wayikaanga mu luketu lwaandi; 
JHN.13.5	tumi ha kayitila maampa munsa lukoombo, na wabeke mu kuswaaka miilu mya bayiki baandi, na kuyaala myo mu nsaanda yikaba kakaanga mu luketu. 
JHN.13.6	Nde wayooko kuri Simoni Petelo. Nde waleele kuri Yesu ti: «Mfumu, ye swaaka miilu mya me?» 
JHN.13.7	Yesu wabvutula waleele kuri nde ti: «Mamo ma nyiri mu kuyirika me, ye wahele kuyaaba mu lumalu, ngo ye sa bakula mo ha mambisa.» 
JHN.13.8	Petelo waleele kuri nde ti: «Ye wuri nswaakila miilu mya me ko!» Yesu wabvutula kuri nde ti: «Mbuti me nyahele kuswaaka ye, lo ye wuba, kintwaari na me ko». 
JHN.13.9	Simoni Petelo wamuleele ti: «Mfumu, kari mini miilu mya me ko, ngo swaaka se na myooko na mutu!» 
JHN.13.10	Yesu wamuleele ti: «Wunde wubee mwaayoolo maampa, lo kari na nzala kubweese kuyoolo ko, ha yulu mini miilu kuswaaka, bukuri watsyeeme ndemunso, na beenu lwatsyeeme, ngo kari beenu-banso ko.» 
JHN.13.11	Mukwongo, Yesu waba yaari wunde wumuyekele, ngo nkuumbu kabaleele ti: «beenu-banso lwahele kutsyeeme.»
JHN.13.12	Kamanaa kuswaaka miilu mya bo, nde wabweese kulwaata binkuta byaandi, na wabweese kudzakala mu kudya. Nde wabafuula ti: «Buri beenu luyaari ma nyirikiri me kuri beenu? 
JHN.13.13	Beenu luteelaa me ti: "Muyikisi" na "Mfumu", bwabubwe luleelaa, bukuri me bubwo nyiri. 
JHN.13.14	Ngo mbuti, me Mfumu na Muyikisi nyiluswaakiryee miilu, lo beenu se, luyelemini kuswaakisina miilu beenu na beenu, 
JHN.13.15	bukuri me nyiluheeri kifwaani mpisi heki, beenu se lusa bubwo bu nsii me mu beenu. 
JHN.13.16	Ngwanwa mu ngwanwa, me nyiluleele ti: kisari wahele kubvula bukuutu na mfumu yaandi, wu bari baheeke se wahele kubvula bukuutu na wunde wamuheeke. 
JHN.13.17	Mbuti beenu luyaari mimyo, lo beenu luri mu kiminu mbuti beenu lusariri myo. 
JHN.13.18	Me nyahele kudzoonsolo mu beenu-banso; me nyaari ba nyiri nyasoolo; ngo kasi matinu mayelemini kweende mu mana: "Wunde wudya mpa me, wanangukina me kisiŋini kyaandi". 
JHN.13.19	Kubandikila mu lumalu, me nyiluyaabisa, tekesele mamo mayirima, mpisi heki mu ntaangu yiyo yi mayirima, beenu lusa kanyi ti "me nyiri". 
JHN.13.20	Mu ngwanwa mu ngwanwa, me nyiluleele, wunde wutaambula wu nyiheeke me, lo me kataambula se, na wunde wutaamburi me, lo wunde wampeeke kataamburi.»
JHN.13.21	Bu kamana kudzoonso mamo, Yesu mutima wasa mambaawu, na wata kimbaangi waleele ti: «Mu ngwanwa mu ngwanwa me nyiluleele, mosi mu beenu sa kanyekele.» 
JHN.13.22	Bayiki batalisina bo na bo, bahele kuyaaba mu na, kari mu kudzoonsolo. 
JHN.13.23	Mosi mu bayiki baandi wunde waba wuri Yesu wumutiiri, waba walaambula miilu mu kudya, na wasiingima ha ntulu Yesu. 
JHN.13.24	Simoni Petelo wadzoonsolo mu kidiimbu kuri muyiki wunde, mu kuyaaba mu na, kari mu kudzoonsolo. 
JHN.13.25	Muyiki wunde, bu kasiingima ha ntulu Yesu, wamufuula ti: «Mfumu, na wunde?» 
JHN.13.26	Yesu wabvutula ti: «Wunde wu nyiha me kitsuri kya mpa ki nyitsuuba me mu lukoombo.» Nde watsuuba kitsuri kya mpa, [nde waholo na] waha kuri Yuda, mwaana Simoni Iskaryote. 
JHN.13.27	Kamanaa kudya kitsuri kya mpa, Satana wakoto mu nde. Haho Yesu wamuleele ti: «Ma wuri mu kuyirika, yirika mo mu mawasu.» 
JHN.13.28	[Ngo] kuri muutu ti mosi ko, mu baba balaambula miilu mu kudya, wabakuri mu nkya ntoono nde kaba muleele mamo. 
JHN.13.29	Mukwongo, bamosi baba kutsima ti, bukuri Yuda waba kwekebaana nkangala mboongo, ngo Yesu kamuleeriri ti, yende wesuumba bi turi na nzala byo mu munkeembu, bunu pe mu ntoono bawelu, mpisi kabaha kitotolo. 
JHN.13.30	Bu kamana kudya kitsuri kya mpa, nde wapala mu kilookolo kinikyo. Bwaba bweki butsuku.
JHN.13.31	Hanaho Yuda kamana kupala, Yesu waleele ti: «Mu lumalu Mwaana muutu weki wakeembusu, na Nzaambi wakeembusu mu nde; 
JHN.13.32	[Mbuti Nzaambi weki wakeembusu mu nde,] lo Nzaambi se, sa kamukeembese mu nde, na hanaho, sa kamukeembese. 
JHN.13.33	Mwaa-baala, me nyakiri na beenu mu mwaa-ntaangu yantele. Beenu sa lwasaka me, ngo bunu bu nyabee leele kuri Bayudayo ti, ku nyikweende me, beenu lubangusina kwiisa ko; kuri beenu se bunubwo nyileele mu lumalu. 
JHN.13.34	Me nyiluha lutumu lwamoono: Tilisineenu beenu na beenu; bunu bu nyiri nyalutya me, beenu se tilisineenu beenu na beenu. 
JHN.13.35	Mu bubwo, bobanso bayaaba ti, beenu luri bayiki baami; mbuti beenu lwatilisina beenu na beenu.»
JHN.13.36	Simoni Petelo waleele kuri Yesu ti: «Mfumu, kuri ye wuri mu kweende?» Yesu wabvutula kuri nde ti: «Ku nyikweende me, ye lo wubangisina me kunama mu lumalu ko; ngo kasi kunu mankula ye sa nama me.» 
JHN.13.37	Petelo waleele kuri nde ti: «Mfumu, bukuri nki, me lo nyahele kubangisina kunama ye mu lumalu? Me sa nyekele kidziingu kya me, mu ntoono ye!» 
JHN.13.38	Yesu wabvutula ti: «Ye lo yekiri kidziingu kya ye mu ntoono me? Mu ngwanwa mu ngwanwa, me nyikuleele ti, tekesele mulumi nsusu kakookolo, lo ye sa tuna me, mbala tatu.»
JHN.14.1	«Yaa lubviimfuka mitima myeene ko. Siilee kanyi mu Nzaambi, na siilee kanyi mu me se. 
JHN.14.2	Mu nzo Taayi dyaami, muri bihekiri byalaka; mbuti kari bubwo ko, nkani me nyahele kululeele ti: me nyeensi kuluyirikila bibeendu? 
JHN.14.3	Mu ntaangu yiri me mwaa kweende na mwa kuluyirikila kibeendu, me sa nyiisa lukimi, na sa nyaluholo hateke me, mpisi heki, haho ha nyiri meenu, beenu se luba. 
JHN.14.4	Beenu luyaari nzila yiyo yinata kukwo ku nyiri mu kweende meenu.» 
JHN.14.5	Toma waleele kuri nde ti: «Mfumu, beetu twahele kuyaaba ku wuri mu kweende. Dyaburi beetu tuyaabila nzila?» 
JHN.14.6	Yesu waleele kuri nde ti: «Me ngo nzila, ngwanwa na bumwooyo; kuri muutu wukweende kuri Taata, mbuti ka mu me ko. 
JHN.14.7	Mbuti beenu luyaari me, lo sa lwayaaba se Taata. Kuholosono kilookolo kimaki, beenu lumwaamuyaaba, na lumwaamumono.»
JHN.14.8	Filipo waleele kuri nde ti: «Mfumu, soongo beetu Taata, haho lo bukukiri mu beetu.» 
JHN.14.9	Yesu waleele kuri nde ti: «Me dzakiri na beenu mu mantaangu malaka, na ye wahele kuyaaba me, Filipo? Wunde wumono me, lo Taata kamwiini. Dyaburi ye wuleele ti: "soongo beetu Taata"? 
JHN.14.10	Buri ye wahele kusiila kanyi ti me nyiri mu Taata, na Taata wuri mu me? Maampu ma nyiri mu kululeele me, me nyahele kuleele mo mu me-meene, ngo Taata wasa kikuundi mu me wuri mu kwesa biyiriki bya nde-meene. 
JHN.14.11	Siilee kanyi ti: me nyiri mu Taata, na taata wuri mu meenu; Siilee kwandi ti kanyi mu ntoono biyiriki byo-meene. 
JHN.14.12	Mu ngwanwa mu ngwanwa me nyiluleeriri, wusiila kanyi mu me, nde se sa kasa biyiriki binyiri mu kwesa me. Nde sa kasa na bibvuriri ti na bimabi, bukuri me nyikweende kuri Taata, 
JHN.14.13	na mamo ma luloombo mu nkuumbu ya me, me sa nyayirika mo, mpisi heki Taata kaba wakeembusu mu Mwaana. 
JHN.14.14	Mbuti beenu luloombiri kitotolo kuri me, mu nkuumbu ya me, lo me sa nyakiyirika.»
JHN.14.15	«Mbuti beenu lutiiri me, lo sa lwakebe ntumu dzaami; 
JHN.14.16	na me sa nyingukila Taata, mu kuluha muboondi wakaka, mpisi heki kaba na beenu kwakinkulu. 
JHN.14.17	Mpeeve ya ngwanwa yiri, nsi lo yahele kubangisina kuyitaambula, bukuri nsi yahele kuyimono, na yahele kuyiyaaba; ngo kasi beenu luyiyaari, bukuri yo yiri ha kakati dya beenu, na sa yanamitina kuba mu beenu. 
JHN.14.18	Me ka nyilusiisa bisaani ko, me sa mbweese kwiisa kuri beenu. 
JHN.14.19	Mwaa-ntaangu yantele yisiiri, na nsi ka yibweese kumono me se; ngo kasi beenu sa lwamono me, bukuri me nyiri mwooyo, na beenu se sa lwaba mwooyo. 
JHN.14.20	Mu kiluumbu kikyo, beenu sa lwabakula ti me nyiri mu Taayi dyaami, na beenu, mu me, na me, mu beenu.»
JHN.14.21	«Wunde wuri na ntumu dzaami, na wukebaa dzo, lo wunde tiiri me. Wunde wutya me, Taayi dyaami sa kamutya. Na me sa nyamutya na sa nyamonokono kuri nde.»
JHN.14.22	Yuda, kari Iskaryote ko, waleele kuri Yesu ti: «Mfumu, dyaburi ye wumonokono kuri beetu, ngo kasi, kari kuri nsi ko?» 
JHN.14.23	Yesu wabvutula, waleele kuri nde ti: «Mbuti muutu tiiri me, lo sa kakebe Maampu maami; na Taayi dyaami sa kamutya, na kuri nde sa tweende, na beetu sa twadzakala kuri nde. 
JHN.14.24	Wunde wuri katii me ko, lo ka kobe maampu ma me ko. Maampu ma luyuka, mari ma me ko, ngo ma Taata wampeeke. 
JHN.14.25	Me nyiluleeriri mamo, mu ntaangu yi nyakiri na beenu. 
JHN.14.26	Muboondi, Mpeeve yangisi, yiyo mbasi-tsuku yiheeke Taata, mu nkuumbu meenu, sa kaluyikisa momanso, na sa ka lulubula momanso ma nyiri nyaluleele.»
JHN.14.27	«Me nyilusisikiri kiyeengi, kiyeengi kyaami me nyiluheeri; ngo kari bunu buheelaa nsi ko. Yaa lubviimfuka mitima myeene ko, na yaa luba na boomo ko. 
JHN.14.28	Beenu lwayukiri me nyaleeriri ti: "Me nyiri mu kweende, ngo sa mbweese kwiisa kuri beenu". Mbuti beenu lutiiri me, nkani lo beenu luri na kiminu bu luyaa ti me nyiri mu kweende kuri Taata, bukuri Taata bvuriri bunene na me. 
JHN.14.29	Me nyiluleeriri misamu mimyo, tekesele mikwiisa, Mpisi heki ha mikwiisa, beenu lusa kanyi. 
JHN.14.30	Me ka nyibweese kudzoonso kwalaka na beenu ko, bukuri mutumi nsi wiisiri, ngo nde wahele na lutumu ti lumosi mu me, 
JHN.14.31	kasi mu kuri ti nsi yiyaaba ti me ntiiri Taata, na me nyiri mu kweyirika bunu bwa ntumini Taata. Telemeenu, na tweendeenu!»
JHN.15.1	«Me ngo bviinya dyangwanwa, na Taata ngo muhati nseke bviinya. 
JHN.15.2	Nde kooyisilaa mpisi kimpaala kiri mu me, kyahele kuha bimbutu; na nde wu bweeyesaa mpisi kimpaala kiri na bimbutu, mpisi kabvula kubuta bimbutu. 
JHN.15.3	Beenu lweki lwatsyeeme, mu ntoono maampu ma nyiluleeriri me. 
JHN.15.4	Namitinee kuba mu me, na me mu beenu. Bunu buri kimpaala, lo kyahele kubangusina kubuta bimbutu mu kyomeene, mbuti kyahele namitina kuba mu mudzi bviinya; bwobumosi kuri beenu, luri natina bimbutu ko, mbuti lwahele kusa kikuundi mu me. 
JHN.15.5	Me ngo mudzi bviinya, beenu ngo midzi myantele. Wunde wunamitina kuba mu me, na me mu nde, sa kabuta bimbutu byalaka, bukuri kwahele me, lo lubangusina kusa kitotolo ko. 
JHN.15.6	Mbuti muutu wahele kunamintina kuba mu me, lo kumulooso ku mbasi, bunu kimpaala, na kikanini. Bimpaala byakana babikutukisaana, babitubiri ku mbaawu, na biyiiri. 
JHN.15.7	Mbuti beenu lunamitina kuba mu me, na maampu maami Na maampu maami mamitina kuba mu beenu, lo loombeenu bi lutiiri, na sa lwataambula. 
JHN.15.8	Mu bumabu Taayi dyaami kaba wakeembese, habaanaana beenu lubuta bimbutu byalaka, na lusoongo kuri ti beenu bayiki baami. 
JHN.15.9	Bunu bwa ntiila Taata, bunubwo se me nyiri nyalutiila. Namitinee kuba munsa ntiilu yaami. 
JHN.15.10	Mbuti beenu lukebiri ntumu dzaami, lo beenu sa lwanamitina kuba kunsa ntilu yaami; mu ntiilu yaami; bunu bu nyiri nyakebe me ntumu dza Taayi dyaami, na na nyanamitina kuba kunsa ntiilu yaandi mu ntiilu yaandi.»
JHN.15.11	«Me nyiluleeriri mimyo, mpisi heki kiminu kyaami kiba mu beenu, na kiminu kyeenu kiba kyakuka. 
JHN.15.12	Lutumu lwa me ngo lu: tilisinee beenu na beenu, bunu bu nyiri nyalutiila me. 
JHN.15.13	Ntiilu yibvuriri bunene yiri na muutu ngo, ya kuha kidziingu kyaandi mu banduku. 
JHN.15.14	Beenu luri banduku baami, mbuti luyirikaana ma nyilutumaana. 
JHN.15.15	Me nyahele kubweese kuluteele bisari, bukuri kisari kayaa bisaana mfumu yaandi ko. Me nyiluteele banduku, bukuri me nyaluyaabisiri myominso mi nyayikiri kuri Taayi dyaami. 
JHN.15.16	Kari beenu lwasooriri me ko; kasi meenu nyalusooriri na nyalusuusa, mpisi heki beenu lweende na lubuta bimbutu, na bimbutu byeenu binamitina kuba, mpisi heki ma luloombo kuri Taata mu nkuumbu yaami, nde kaluha. 
JHN.15.17	Ma nyilutuma me mamama, tilisinee beenu na beenu.»
JHN.15.18	«Mbuti nsi yiri mu kulubele, yaabeenu ti me ngo watete wu kari kabele. 
JHN.15.19	Mbuti beenu lwaba ba nsi, nkani nsi yaketi kulutya, bukuri beenu lwaketi kuba ba yo. Ngo bukuri, me nyalusooriri na nyalupalisiri mu nsi, na beenu lwahele kubweese kuba baatu ba nsi, mu ntoono yiyo, nsi yiri mu kulubele. 
JHN.15.20	Baambukeenu mwooyo mu maampu ma nyaluleeriri: "Kisari wahele kulutila bunene ti na mfumu yaandi." Mbuti bo bakwaamisini me, lo beenu se sa balukwaamisa; mbuti bakebiri maampu ma me, lo sa bakebe se na ma beenu. 
JHN.15.21	Ngo sa baluyirikila momanso mamo, mu ntoono nkuumbu yaami, bukuri bo bahele kuyaaba wunde wampeeke. 
JHN.15.22	Mbuti me nyasii kwiisa ko, na nyahele kubadzoonsolo, nkani bahele kuyirika masumu. Ngo mu lumalu, lo bo basii na mpemisi ko mu masumu maaku. 
