MAT.1.1	Srakàda atehuŋ ma ke kú Yeso Kristò edɛ Ŋwa àfα Devì á yá ma Ŋwa Abràha huŋ.
1CO.3.8	Ngru á já mɔ huŋ, wo ngru á migbè zɔ̀ huŋ, ma wo sepɔ nzo. Ngèhuŋ, mànya mànya ke bɛ ekpàmɔ ge be è tɔ chwɔ ge huŋ. 
1CO.3.9	Nyi mamɔ wa chwɔ á gbòkote abre ke yi tɔŋa Mbɔchù chwɔ. Nɛ ma àwè ge, nɛ ma tα ge e pɔte. 
1CO.3.10	Mbɔchù ma wo engɛ ke mì, ngè Ŋ̀ pɔte yi drutα be mpɔbàtα yi, ngè wazɔ yi pɔni wo mbrotα é gè yi. Vè nɛ lɛ, mànya mànya e yi pɔni é drutα alɔhuŋ mbu ebɔ. 
1CO.3.11	Ke nguzo ke pɔtekô drutα zo vé á kàpɛ yi gùŋɛ Mbɔchù yá tɔgbα á ma Yeso Kristò huŋ mu. 
1CO.3.12	Mbrɔŋɛ huŋ, ngru á lè ma ke pɔni é drutα huŋ, ke fɔ nchre kpɔ̀ bo yi bé lɛ gôl huŋ, wo nchre bo yi bé lɛ, silvà huŋ wo mpɛ àkwαtú, wo té, ámaté àmɔmu chwɛ́, 
1CO.3.13	chwɔ tα mànya mànya ke màŋa drige mya ebɔ Kristò ke ya kpà myaŋɛ huŋ. Bo ke chipɔ chwɔ tα mànya mànya yá pɔte huŋ. Pyo ke màŋa mànya mànya cho chwɔ tα è yá pɔte huŋ, ngè pyo ke màŋa lɛ, chwɔ ngru sɔte lɛ̀ è sɔtê mu lɛ̀. 
1CO.3.14	Be è lè ma lɛ, chwɔ tα, yi mànya mànya pɔte é drutα huŋ lè chɛ̀tê mu, á màŋa lɛ, ngru alɔhuŋ ke bɛ ekpamɔ ge. 
1CO.3.15	Be è lè ma lɛ, chwɔ ngru alɔhuŋ lè chɛ̀ mbri, mpɔtα alɔhuŋ wá yi mɔ ke éwὰ, è ke bɛtê ekpamɔ mu. È ke pofye drige be ngru á gbɛjute é pyo yi. 
1CO.3.16	Nɛ yá vèyitê lɛ, nɛ yi abre mbri ma tα sofye Mbɔchù wo lɛ, Vomwɛ Achacha mate é nɛ yi mû? 
1CO.3.17	Mbɔchù ke tɔnyimbe mànya mànya á lè yi tɔnyimbe tα sofye ge. È ma àmɔ ke tα sofye ge ma wɛwa huŋ, ngè nɛ wa á fenyite hɛ, ma tα sofye Mbɔchù alɔhuŋ. 
1CO.3.18	Nguzo tété zhyɛkɛ drige bye mu. Nguzo chɔ nɛ lè yi sepɔ lɛ, è ma wo cho àyibye, be wa émyaŋɛ yi wa àyibye huŋ, ma ngru alɔhuŋ mbu drige be jwɔ lɛ, è ke ma ngru àyibye pyɔ Mbɔchù kate huŋ. 
1CO.3.19	È ma àmɔ, ke àyibye enke wa émyaŋɛ ma éwàwὰ yi wo Mbɔchù. Bo jwαte srakàda Mbɔchù lɛ,
1CO.3.19	“Mbɔchù yi mbu àyibye wa sepɔte lɛ, bo ma wo àyibye huŋ,
1CO.3.19	ke kpɛ bo yi.”
1CO.3.20	Bo jwαte ndà srakàda Mbɔchù yi lɛ, “Mpwèmya yi lɛ, esepɔ wa àyibye matê búzo mu.” 
1CO.3.21	Be è ma àmɔ huŋ, ma nguzo tété de drige bu àkɔ̀ ke bye wa émyaŋɛ yibe bo tɔ hɛ mu. Bye mbri ma enke nɛ. 
1CO.3.22	Mà, yi Pɔ̂ lè, àmɔmu mà, yi Àpolò lè, àmɔmu mà, yi Pità lè, àmɔmu myaŋɛ atehuŋ lè, àmɔmu mà, yi gbαgbα lè, mà, yi fi lè, ma enke nɛ. Bye mbri á ma mbrɔŋɛ hɛ, wo e yi ya ju hɛ mbri ma edrinɛ. 
1CO.3.23	Nɛ ma wa enke Kristò, ngè Kristò ma enke Mbɔchù.
1CO.4.1	Nɛ le vè nyi be wa chwɔ Kristò yi. Nɛ le yi lɛ, Mbɔchù ŋate yi nyi bye ge e tὰtetemɔ lɛ, nyi yibe nyi mbɔ̀ŋa wa yi. 
1CO.4.2	Mbrɔŋɛ huŋ, è ma lɛ, wa bo pɔte bye bwo bo hɛ vè lɛ, bo tɔ chwɔ wo pushyɛ bo mbri. 
1CO.4.3	Be è ma àmɔ, ngè wo mì huŋ, è ma ŋwa bú baba pyɔ nɛ yi, àmɔmu wa émyaŋɛ yibe bo kpà ŋɛ huŋ. Mì abɔŋɛ, yi kpàtê driŋɛ mu. 
1CO.4.4	Pushyɛ ŋɛ ma wɛwa, ngè gàlɔhuŋ, yi màŋatê lɛ, Ŋ̀ tɔŋàdàte mu. È mamɔ Mpwèmya á yibe e kpàke kpɛ ŋɛ. 
1CO.4.5	Be è ma àmɔ huŋ, ma tété yi kpà nɛ wa enzɔ hɛ bɛ, ebɔ kpɛ lè kwa mu. È ke ma chú Mpwèmya Yeso ke yasè ya huŋ, è ke mbya bye, yi wa yi mbyatὰ nkùfi hɛ, gé ju wɛwa. È ke mbya esepɔ wa ya ju lè wɛwa kpɛ. È ke ma chú alɔhuŋ, Mbɔchù ke tɔ mànya mànya esɔ̀kɔ̀ be è kwate ge huŋ. 
1CO.4.6	Zhyɛnyɔ̀ ŋɛ á fenyite hɛ, Ŋ̀ mbu yi Àpolò wo driŋɛ be tɔ màŋa yi wo bú Ŋ yi ya huŋ lɛ, nɛ ke mbɔ̀fye wo nyi ke tɔtê bye kàpɛju pyɔ bo jwαte srakàda Mbɔchù huŋ mu, mama nguzo chɔ nɛ ke kpɛbɛ̂ nguzo chìdɔ, e mbushya wo ngru enzɔ huŋ zhyɔ yi mu. 
1CO.4.7	Ngɛ á ma yi, e yi màŋa lɛ à sɔkàpɛju wa enzɔ hɛ? Ngɛ á ma yi, á fyetê ge wo Mbɔchù mu huŋ? Mbɔchù lè ŋa wò bye mɔ huŋ, ngè ngɛ á yi de driwo bu àkɔ̀ àlɛ, à bɛ bye alɔhɛ wo ngre wo mɔ huŋ? 
1CO.4.8	Nɛ yi sepɔ lɛ, nɛ bɛgbαyi bye mbri nɛ kate hɛ? Nɛ yi sepɔ lɛ, nɛ ma wa vìbye? Nyi matê bu nyi àfé mu, nɛ mbya yi drinɛ be àfé yi. Ŋ nɛte lɛ, nɛ le mashì àfé endɛndɛ, yi nyi mbri ke ma àfé. 
1CO.4.9	È ma àlɛ Mbɔchù pɔte nyi wa á ma Wa Yeso Chɛpwɛ̀ ya hɛ lɛ, nyi ma wa enchibá lɛ, yi wa ke tevè nyi. Nyi ma be wa kpɛ kpɛte lɛ, bo gbα. È ma àmɔ lɛ, wa émyaŋɛ mbri wo nchèndé Mbɔchù wo wa mbri ke yi vète nyi. 
1CO.4.10	Nyi huŋ, nyi ma jwα wa ke zri Kristò. Bɛ wo nɛ huŋ, nɛ ma wa àyibye be nɛ gbòkote wo Kristò huŋ. Nyi ma ntɔbra bɛ, nɛ ma wa ngá! Nɛ ma wa, yi wa yi bapɔ yi, bɛ wo nyi huŋ, wa yi fɔka nyi mɔ. 
1CO.4.11	Ya nda ebɔ atehuŋ, nyi yi shi wo mbɔ byezhi, mbɔ zɔ̀ yi tɔ nyi. Nyi yi vó ábyá àse. E yi ma ebɔ zo, bo yi gba nyi gbαwa, nyi matê wo jɛ̀ ke shi yi mu. 
1CO.4.12	Nyi yi tɔ chwɔ gbαwa wo bwo nyi bɛ, nyi lɛ̀ bɛ búzo ke drinyi. Ebɔ wa yi kpa mwɛ abebe ke nyi huŋ, nyi yi kpa mwɛ asɔsɔ ke bo. Ebɔ bo yi chi nyi eshyébá eshyébá huŋ, nyi yi weshyɛ. 
1CO.4.13	Ebɔ bo yi chenyimbe nyi huŋ, nyi yi yasèŋa bo wo chyα asɔsɔ. Wa fɔte nyi mɔ be àkosɔ bya, yi wa émyaŋɛ yi dɔ yi gbè bya huŋ. Tètè ya nda ebɔ atehuŋ, wa yayi fɔ nyi be bye éwàwὰ yi. 
1CO.4.14	Ŋ̀ yi jwαtê bye atehɛ ke tɔmbu nɛ ewɛ́ mɔ mu bɛhuŋ, ke gbi nɛ chɔ́ be zhyɛ ŋɛ Ŋ nɛbà hɛ. 
1CO.4.15	Nɛ lè mamiwa wo wa tɔshì je e yi mbɔ̀ŋa nɛ bye ke Kristò, nɛ matê wo shyé fàbe mu. Ŋ ma Sonɛ be nyi ma nzo é Yeso Kristò é chwɛzri asɔsɔ Ŋ yá kúŋa nɛ huŋ. 
1CO.4.16	Be è ma àmɔ huŋ, Ŋ yi bɔ nɛ ke tɔ lè bú Ŋ yi tɔ huŋ. 
1CO.4.17	Ngè drubú Ŋ yi chɛpwɛ̀ ŋa nɛ ŋwaŋɛ Timɔtì Ŋ́ nɛbà, á pɔte pushyɛ ke tɔ chwɔ huŋ. È ke sebɛŋa nɛ pyɔ Ŋ yayi chi Yeso Kristò lèbe Ŋ yayi shi, shi epokwre abre wo Yeso Kristò huŋ. Ngé bye atehɛ, Ŋ yayi mbɔ̀ŋa ŋɛ gbòko wa a fenyite hɛ mbri, bya mbri Ŋ yayi dɔ hɛ.
1CO.4.18	Ŋ yigbα mɔ lɛ, wazɔ chɔ nɛ chàgbα ke bye, yi brα àlɛ Ŋ̀ ke ya bépɔndê nɛ mu. 
1CO.4.19	Mami lè àmɔmu, Ŋ̀ ke ya bɛ nɛ ebɔ baba be è lè sɔ Mpwèmya shyɛ. Ebɔ Ŋ ke ya huŋ, Ŋ ke kevècha abɔŋɛ ke vè lɛ̀, yi ngre Vomwɛ Achacha á mate é bo lɛ̀, bo yi brαshì chyα mɔ lɛ̀. 
1CO.4.20	Ke Ndu àfα Mbɔchù matê ke ya chyα mɔ mu bɛhuŋ, è ma ngre ke tɔ bú Mbɔchù kate huŋ. 
1CO.4.21	Yi kɔ nɛ kate? Nɛ kate lɛ, Ŋ ya bɛ nɛ wo ámútó lɛ̀, yi enɛte wo pushyɛ á ma fɛ̀fɛ̀ huŋ?
1CO.5.1	È ma endɛndɛ lɛ, bo yi yasɛ bya yi mbri lɛ, zrɔbye ntɔka ma chɔ nɛ gbαwa. È ma bú, yi mami wa á fenyitê mu hɛ yî be bo tɔ mu. Bo yaŋa yi ŋɛ lɛ, ngunwa zo gbòko wa a fenyite nɛ, yi ju wo va sòwé. 
1CO.5.2	Nɛ yi de bu àkɔ̀. Mê nɛ le mamɔ wo sebye wo se èsrɛ mû? È kwate lɛ, nɛ le kαju cho ngru alɔhuŋ gbòko nɛ yi. 
1CO.5.3	Mami be Ŋ̀ matê wo nɛ nú abɔŋɛ mu huŋ, vomwɛ ŋɛ mafɔ̀ wo nɛ. Aŋɔ̀ ngru á tɔ cho bú atehuŋ, Ŋ̀ kpàkegbα kpɛ alɔhuŋ mɔ àlɛ Ŋ mafɔ̀ wo nɛ, 
1CO.5.4	kokro ngre Mpwèmya Yeso yi. Ebɔ nɛ ke gbòko huŋ, ngè vomwɛ ŋɛ ke mafɔ̀ wo nɛ, ngè yi ngre Mpwèmya Yeso ke mafɔ̀ wo nɛ, 
1CO.5.5	nɛ ke mbu ngru alɔhuŋ, nɛ ŋa ge wo Satà lɛ, e tɔnyimbe ge lɛ, Mbɔchù ke pofye vomwɛ ge chú Mpwèmya Yeso ke yasè ya huŋ.
1CO.5.6	De bu àkɔ̀ nɛ alɔhuŋ sɔtê mu. Mê nɛ yi lɛ, ngru abebe nzo yibe e nyimbe gbòko wa a fenyite hɛ mbri mû? 
1CO.5.7	Ngèhuŋ, vè nɛ lɛ, bú ezhyɛzhyɛ á ma bú e yi mbyanji chikpɔ̀ á ma ngru ezrifra huŋ, nɛ mbuju ngru atehuŋ chɔ nɛ yi. Ngè nɛ ke ma be chikpɔ̀ epokwre, yi bo pɔtê bú e yi mbyaji ge huŋ mu, á ma bú nɛ mashì huŋ. Bo yá kégbα bèchɛ̀ yi Kristò á ma Ŋwasɛ Vɛ́ ŋàkàpwɛ̀ju huŋ ke nyi. 
1CO.5.8	Be è ma àmɔ huŋ, ma nyi zhi nɛ vɛ́ atehuŋ, matê wo chikpɔ̀ ezhyɛzhyɛ, yi bo pɔte bú e yi mbyanji ge á ma wo ezrifra wo abebe huŋ mu bɛhuŋ, nyi zhi nɛ vɛ́ chikpɔ̀ epokwre bo pɔtê bú e yi mbyanji ge huŋ mu, á ma wɛwa wo endɛndɛ huŋ.
1CO.5.9	Ŋɛ srakàda Ŋ̀ yá jwαŋayo nɛ huŋ, Ŋ yá yaŋa nɛ lɛ, nɛ tété yi gbòko wo wa á ŋate dribo ke yi tɔ ntɔka hɛ mu. 
1CO.5.10	Ŋ yi yatê ke wa á fenyitê mu, e yi tɔ ntɔka hɛ, àmɔmu e yi gbα njìjwó é bye wa hɛ, àmɔmu wa e yi ví hɛ, àmɔmu wa e yi zó mbɔchɔ ekpo hɛ, á mafɔ̀ wo nyi ŋɛ myaŋɛ hɛ. Ke gbòkotê bwo wo bo mu huŋ, vè nɛ lɛ, nɛ pwɛ̀te myaŋɛ mbri, mbri. 
1CO.5.11	Chyα chù Ŋ yi chù nɛ huŋ ma lɛ, nɛ tété sɛfɔ̀ wo ngru á bé drige lɛ, è ma ŋwanyɔ̀ nyi kokro Yeso yi, eyimu huŋ, è ma ngru e yi tɔ ntɔka, àmɔmu e yi gbα njìjwó e bye wa yi, àmɔmu è ma ngru e yi zó mbɔchɔ ekpo, àmɔmu ngru e yi yanyimbe zre ngru, àmɔmu ngru e yi vapyɛ huŋ, àmɔmu ngru e yi gbakαfyeju bye wo wa mu. Vè nɛ lɛ, nɛ zhifɔ̂ bye wo cho ngru alɔhɛ mu. 
1CO.5.12	È matê pyɔ ŋɛ ke kpà wa á matê gbòko wa á fenyitê mu hɛ. Bɛhuŋ è ma pyɔ nɛ ke kpà gbòko wa á fenyite e yi tɔ cho zrɔbye atehɛ. 
1CO.5.13	Mbɔchù ke kpà wa á fenyitê é Yeso mu, lèbe bo jwαte srakàda chwɛzri asɔsɔ huŋ lɛ, “Kαju nɛ wa abebe á ma chɔ nɛ hɛ.”
1CO.6.1	Ebɔ nguzo chɔ nɛ wa a fenyite hɛ, lè ma wo zri bombò ngru a fenyite enzo huŋ, è ma sɔbe lɛ, e mbudɔ wo kpɛ ákɔ̀kpɛ yi lɛ, yi wa zrɔ bo setetêmɔ mu hɛ, kpà kpɛ bo? Mê è ma lɛ, wa enke Mbɔchù le kpà kpɛ bo mû? 
1CO.6.2	Nɛ yitê lɛ, yi wa enke Mbɔchù e ke kpà myaŋɛ mû? Be è lè ma lɛ, yi nɛ e ke kpà myaŋɛ, ngè nɛ kwatê ke kpà, yi ávyα kpɛ á ma chɔ nɛ hɛ mû? 
1CO.6.3	Nɛ yitê lɛ, yi nyi e ke kpà nchèndé Mbɔchù mû? Be è lè ma àmɔ, ngè mê è kwate lɛ, nyi kpà bye á dùkpɛte ke gbαgbα nyi ŋɛ myaŋɛ huŋ mû? 
1CO.6.4	Ngè nɛ lè yi ma wo cho kpɛ atehɛ mɔ huŋ, ngɛ nɛ yi fɔ dɔ yi bɛ wa emya, yi gbòko wa a fenyite hɛ, yi ŋatê ezozo mu hɛ? 
1CO.6.5	Ŋ yi ya àmɔ, ke mbyambu nɛ ewɛ́. È yî be e ma lɛ, nguzo ma chɔ nɛ á ma wo àyibye, á yibe e kpàke kpɛ wa Kristò mû? 
1CO.6.6	Mami lè àmɔ mu huŋ, ngɛ ŋwanyɔ̀ ngru, yi mbudɔ wo ŋwanyɔ̀ é fenyi ákɔ̀kpɛ lɛ, yi wa á fenyitê mu hɛ, ke kpà bo ke gè huŋ? 
1CO.6.7	È ma endɛndɛ lɛ, ngru á fenyite huŋ, lè yi mbudɔ wo ŋwanyɔ̀ ákɔ̀kpɛ mɔ huŋ, á màŋa yi lɛ, nɛ kùgbαyi mɔ. È ma sɔbe lɛ, bo zhyɛfye bye wo nɛ, kàpɛ yi be nɛ le fɔ dɔ wo bo ákɔ̀kpɛ huŋ. 
1CO.6.8	Mami lè àmɔ huŋ, è ma nɛ yi abɔnɛ e yi tɔŋàdà wo e yi zhyɛfye bye mami wo zhyɛnyɔ̀ nɛ á fenyite hɛ. 
1CO.6.9	Mê nɛ yi endɛndɛ lɛ, wa zrɔbye bo setetêmɔ ju Mbɔchù mu, ke zhifɔ̀tê é bye á ma ndu àfα Mbɔchù mû? Tété zhyɛkɛ nɛ drinɛ bye mu. Ma yiwa nɛ lɛ, nguzo chɔ wa atehɛ ke zhifɔ̀tê é bye á ma ndu àfα Mbɔchù yi mu. Bo ma wa e yi tɔ ntɔka hɛ, wo wa e yi zó mbɔchɔ ekpo hɛ, wo wa e yi na vwè wa àmɔmu nwa wa hɛ, wo wanwa e yi na wanwa hɛ, 
1CO.6.10	àmɔmu wa e yi ví hɛ, wo wa agbαte njìjwó é bye wa yi, wo wa e yi vapyɛ hɛ, wo wa e yi yanyimbe wa enzɔ hɛ, wo wa e yi kαfyeju bye wo wa ke ngre hɛ. 
1CO.6.11	È yá mayo huŋ, wazɔ chɔ nɛ yayi tɔ cho bye atehɛ. Ngè mbrɔŋɛ huŋ, Mpwèmya Yeso Kristò wo Vomwɛ Mbɔchù vɔ́cha yi nɛ, è mbya yi nɛ ke ma wɛwa, è mbya nɛ ke setetemɔ ju Mbɔchù yi.
1CO.6.12	Nguzo yibe e zà lɛ, “Ŋ̀ yibe Ŋ tɔ bye mbri.” Endɛndɛ bɛhuŋ, matê, yi bye mbri á sɔte ke bù mu. Ŋ̀ yibe Ŋ zà lɛ “Mì yi, Ŋ̀ yibe Ŋ tɔ bye mbri.” Mami àmɔ huŋ, Ŋ̀ ke fenyikô lɛ, búzo ma wo ngre e mì lɛ, Ŋ ke ma kɛpi bú alɔhuŋ mu. 
1CO.6.13	Nguzo yibe e zà lɛ, “Byezhi ma ke pre, ngè pre ma ke byezhi.” Endɛndɛ bɛhuŋ, Mbɔchù ke tɔnyimbe ge mbri. Mbɔchù yá mbyatê vekpɔ lɛ, wa ke yi tɔ ntɔka mu. Mbɔchù yá mbya vekpɔ lɛ, wa ke yi tɔŋa Mpwèmya Yeso Kristò chwɔ yi. Mpwèmya Yeso Kristò, yi vèkpɛte wo vekpɔ. 
1CO.6.14	Mbɔchù ke mbyangàninju wo nyi éfi yi wo ngre ge lèbe è yá mbyangàninju wo Mpwèmya nyi Yeso Kristò éfi huŋ. 
1CO.6.15	Mê nɛ yi lɛ, vekpɔ nɛ ma nkwɛ̀ vekpɔ Yeso Kristò mu? Ngè ma Ŋ mbu nkwɛ̀ vekpɔ Yeso Kristò Ŋ gbòko ke yi tɔ ntɔka yi? Yehè! È ke makô àmɔ mu. 
1CO.6.16	Mê nɛ yi lɛ, ngunwa á gbòkote vekpɔ ge wo ntɔka huŋ, ma bú nzo wo gè mû? È ma be bo jwαte srakàda chwɛzri asɔsɔ huŋ lɛ, “Bo wa pyα ma vekpɔ nzo.” 
1CO.6.17	Ngèhuŋ, ngru e ke mbya vekpɔ ge e ma nkwɛ̀ vekpɔ Mpwèmya Yeso Kristò huŋ, á màŋa lɛ, Mpwèmya bombò ngru alɔhuŋ, ke ma bú nzo nyihùŋ vomwɛ yi. 
1CO.6.18	Vè nɛ lɛ, nɛ sekù zrɔbye ntɔka. Mami zri abebe gɛ, yi ngru lè yi tɔ, è matê wo búzo ke tɔ wo vekpɔ ge mu bɛhuŋ, wo ngru e yi tɔ ntɔka huŋ, e yi tɔ abebe wo vekpɔ edrige mɔ. 
1CO.6.19	Nɛ yitê lɛ, vekpɔ nɛ ma tα sofye Mbɔchù akpè, yi Vomwɛ Achacha, a mate e nɛ huŋ, ju wo Mbɔchù mû? Nɛ matê wo drinɛ mu, 
1CO.6.20	Ke Mbɔchù fɔfyeju yi nɛ wo tú akwαkwα. Ngèhuŋ, ma fɔ nɛ vekpɔ nɛ, nɛ ŋa Mbɔchù ezozo yi.
1CO.7.1	Mbrɔŋɛ ke ya ke bye á dùkpɛte bye nɛ yá jwα pwɛ̀ŋa ya ŋɛ huŋ, Ŋ̀ sepɔ lɛ, be ngunwa le bαtê mu, è tɔ yi bú asɔsɔ. 
1CO.7.2	Bɛhuŋ, ke zri ntɔka ŋwɛ̀temɔ huŋ, è sɔ lɛ, mami ngunwa kɔ bα va ge, ngè mami nguva kɔ bα nwa ge.
1CO.7.3	Nwa vè lɛ, e tɔ bú nwa, yi tɔ wo va ge huŋ, lèyɛwa wo va ge. 
1CO.7.4	Va matê wo ngre ke vekpɔ edrige mu bɛhuŋ, è ma nwa ge a ma yi. Lèyɛwa nwa matê wo ngre ke vekpɔ edrige mu bɛhuŋ, è ma va ge a ma yi. 
1CO.7.5	Tété ŋɔ nɛ drinɛ ke yi gbòko abre yi mu, tètè be è lè ma lɛ, yi nɛ á ya fenyite ke ŋwa ebɔ lɛ, nɛ yibe nɛ mbu ebɔ nɛ ke yi sofye Mbɔchù. Ebɔ nɛ ke bàkɛgbα huŋ, ma yandà nɛ abre lɛ, Satà yî be e mbɔ̀vè nɛ mu ke, nɛ matê wo kpɛkɛkpɔ mu.
1CO.7.6	Ŋ yi ya bú atehuŋ wo sepɔ ŋɛ matê lɛ, yi bɔ̀bye Ŋ yi ŋa mu. 
1CO.7.7	Ŋ yi sepɔ lɛ, wa le ma be mì bɛhuŋ, mami ngru kɔ ma wo ekɔŋa Mbɔchù. Mbɔchù ŋate ngru nzo cho ekɔŋa ge, è ŋa yi ngru enzo cho ekɔŋa enke gè.
1CO.7.8	Ŋ yi ya bú atehuŋ wo wa á yá bαtê mu huŋ, wo vwènkɔ lɛ, è sɔ lɛ, bo le shi àmɔ, yi bo bαtê mu be mì yi. 
1CO.7.9	Bɛhuŋ, be bo lè kpɛkɛkô kpɔ ke sepɔ e na yi mu, dɔ nɛ ju ke bα. Ke è sɔ ke bα kàju yi be vekpɔ nɛ le yi wú nɛ huŋ.
1CO.7.10	Ŋ yi ya bú atehuŋ wo wa a bαgbα hɛ lɛ, nguva tété chɔfo bα wo nwa ge mu. Ŋ̀ yi yatê wo ngre ŋɛ mu bɛ, wo ngre Mpwèmya ŋa ŋɛ huŋ. 
1CO.7.11	Bɛhuŋ, be è lè tɔ, ma e dɔ shimɔ vége, àmɔmu be è lè ma ke bαndà ma e yasè dɔ yabwα chyα bombò nwa ge. Ngè è ma lè lɛ, nwa tété chɔfo bα wo va ge mu.
1CO.7.12	Ŋ yi ya wo wa enzɔ hɛ lɛ, ŋwanyɔ̀ nyi é fenyi lè ma wo va ge á fenyitê mu, va ge alɔhuŋ lè fenyi ke shi bombò gè, e tété chɔfo bα bombò gè mu. Ŋ yi ya bú atehuŋ wo ngre edriŋɛ matê wo ngre, yi Mpwèmya ŋa ŋɛ huŋ mu. 
1CO.7.13	Ngè be nguva á fenyite huŋ lè ma wo nwa ge á fenyitê mu, nwa ge alɔhuŋ lè fenyi ke shi bombò gè mɔ huŋ, e tété chɔfo bα bombò gè mu. 
1CO.7.14	Ke nwa nguva huŋ, ke ma wɛwa ju Mbɔchù yi, é va ge á fenyite huŋ. Va ngunwa huŋ ke ma wɛwa ju Mbɔchù é nwa ge á fenyite huŋ. È lè matê àmɔmu, zhyɛ bo yî be bo ma wɛwa mu bɛhuŋ, be è mate huŋ, bo ma wɛwa ju Mbɔchù yi. 
1CO.7.15	Be è mami àmɔ huŋ, ngru nzo chɔ wa á fenyitê mu huŋ, lè sepɔ ke pwɛ̀te ngru á fenyite huŋ, ma e dɔ. Pyɔ alɔhuŋ, bo chìtê ngru á fenyite huŋ, mà yi nwa àmɔmu va lè lɛ, e shi bombò gè mu. È ma àmɔ ke Mbɔchù bé yi nɛ ke shi, é atɔtɔ yi. 
1CO.7.16	Bù va á fenyite huŋ, à yi wo gɛ lɛ, Mbɔchù ke pofye nwa wo ke zri wo? Àmɔmu bù nwa á fenyite huŋ, à yi wo gɛ lɛ, Mbɔchù ke pofye va wo ke zri wo?
1CO.7.17	Mami ngru kɔ vè lɛ, e dɔ ju ke yi shi pyɔ Mpwèmya te nɛ huŋ, wo ke ma pyɔ nɛ yá ma ebɔ Mbɔchù yá bé nɛ huŋ. Atehuŋ, ma bú Ŋ yá mbɔ̀ŋa gbòko wa a fenyite hɛ mbri. 
1CO.7.18	Ngru a tɔbwαgbα kpɔmìnyà lè fenyi é bé, yi Mbɔchù yá bé ge mɔ huŋ, e tété mbuju esro kpɔmìnyà é kpɔ ge yi mu. Be è lè yá tɔbwαtê kpɔmìnyà ebɔ Mbɔchù béte ge huŋ mu, e tété tɔbwαndà kpɔmìnyà mu. 
1CO.7.19	Ke mà à tɔbwα kpɔmìnyà lè, mà à tɔbwαtê mu lè, wazɔ matê mu. Bú a kwate huŋ, mamɔ ke zó bɔ̀bye Mbɔchù. 
1CO.7.20	Mami ngru kɔ vè lɛ, e shi pyɔ è yá ma bɛ, Mbɔchù lɛ̀ bé ge huŋ. 
1CO.7.21	À yá mate é kɛpi yi ebɔ Mbɔchù yá bé wò huŋ? Tété nɛ̀ driwo shyɛ mu bɛ, be à lè ma wo pyɔ alɔhuŋ ke ya ma ngru é ke fòpwɛ̀ drige, ma tɔ ge. 
1CO.7.22	Ngru Mpwèmya yá bé, e ma kɛpi huŋ, sebɛshiwa lɛ, à ju é mwɛ yi, be à ma mbrɔŋɛ nzo nɛmbò Mpwèmya huŋ. Lèyɛwa ngru á yá matê kɛpi ebɔ Mpwèmya yá bé ge huŋ mu, sebɛwa lɛ, è ma mbrɔŋɛ kɛpi ke Kristò. 
1CO.7.23	Mbɔchù yá fɔfye yi wò, wo tú akwαkwα ngèhuŋ, tété ma kɛpi wo wa émyaŋɛ mu. 
1CO.7.24	Ngèhuŋ, zhyɛnyɔ̀ ŋɛ á fenyite hɛ, mami ngru kɔ, shi pyɔ Mbɔchù yá bé ge huŋ.
1CO.7.25	Mbrɔŋɛ, á dùkpɛte ke wa á yá bαpɔ̂ mu hɛ, Ŋ fyetê búzo wo Mpwèmya ke yapwὰŋa bo mu bɛhuŋ, bú Ŋ ke yapwὰŋa bo huŋ, ma sepɔ ŋɛ be ngru nɛ yibe nɛ bapɔ huŋ, ke Mpwèmya yá vè èsrɛ wo mì. 
1CO.7.26	Ŋ yi sepɔ ke ànɛ̀shyɛ á mate mbrɔŋɛ huŋ lɛ, è ke sɔ lɛ, ngru ma be è ma huŋ. 
1CO.7.27	Be à lè bαgbα va, tété chɔfo bα mu. Be à lè yá bαtê va mu, tété kevè ke va mu. 
1CO.7.28	Be à lè bα, à tɔtê abebe mu, yi ŋwashyò zavɔ̀ á lè bα, è tɔtê abebe mu. Mami àmɔ mu huŋ, wa á bαgbα hɛ, ke bɛ ànɛ̀shyɛ myaŋɛ. Ngè Ŋ̀ katê lɛ, nɛ bɛ ànɛ̀shyɛ mu. 
1CO.7.29	Zhyɛnyɔ̀ ŋɛ é fenyi yi, bú Ŋ yi ya huŋ ma lɛ, ebɔ ma tɛtɛ, ngè chà mbrɔŋɛ dɔ ju, ebɔ myaŋɛ ke bàkɛte huŋ nwatendê mu. Ngè ma wa á bαgbα hɛ, shi be wa á yá bαtê mu hɛ. 
1CO.7.30	Wa e yi se èsrɛ hɛ, tété ma be wa e yi se èsrɛ mu. Wa e yi nɛte hɛ, tété ma be wa e yi nɛtê mu hɛ, wo wa e yi fɔ bye hɛ, tété ma àlɛ bo fɔtê bye mu. 
1CO.7.31	Wa e yi tɔ wo bye a ma émyaŋɛ hɛ, tété ma àlɛ bo ma wo búzo ke tɔ wo bye alɔhɛ mu. Ke chɔ̀pyɔ myaŋɛ mate mbrɔŋɛ huŋ, ke shitendê tètè mu. 
1CO.7.32	Ŋ ka lɛ, nɛ le fòpwɛ̀ drinɛ é bye ànɛ̀shyɛ yi. Ngunwa á yá bαtê mu huŋ, yi nɛ̀ drige shyɛ ke bye á ma enke Mpwèmya huŋ, pyɔ è ke tɔsɔ Mpwèmya shyɛ huŋ. 
