MRK.1.1	Ine a kamkamna ana Wakak a Warwara o e Iesu Karisito, a Nat e God. 
MRK.9.50	A sol i wakak, ika ning ka rop a makmakana, mulor amakmakan ulak pasi mangmangasa? Belal! I wakak sur a sol ir kes o mulo, pa mulor kes na balmolmol taum.”
MRK.10.1	E Iesu i han misaot utumo ana papar Judia, pa i kotop a malum Jodan. A kunum a tarai la han teteki, pa i asaer ulak la lar otning i sira toli. 
MRK.10.2	Dingla na Parisaiola la han teteki sur lar toho i. La dekeni mange, “I tostos ot arlar taum ana nundala na Warkuraila, sur a barsan ir kepsen sen anuna hane, o bel?” 
MRK.10.3	Pa e Iesu i deken la mange, “Esi na warkurai ning e Moses i saran tari ta mulo?” 
MRK.10.4	Pa la kelesi mange, “E Moses i malmaling tari ka sur a barsan ir tumus tar a paka buk na kutus tinaulai, sur dir kutus sen a keskes na tinaulai ono.” 
MRK.10.5	E Iesu i atai la mange, “E Moses i tumus a warkurai ning sur mulo, anasa a balamulo i rakrakai kol. 
MRK.10.6	Ika ana turpas a akakes, e God ‘i akes a taraila, sur la a barsan pa hane.’ 
MRK.10.7	‘Ine a kamkamna ning a barsan ir han kusun e tamana pa e tana, pa ir kes taum ana nuna hane, 
MRK.10.8	sur diau takai kama.’ 
MRK.10.8	Pa bel diau arenaur ma, diau takai kama. 
MRK.10.9	Asa ning e God ka dot taum tari, gong ulak ma tik i kutusi.”
MRK.10.10	Lamur, ning la kes ting narumai, a kakak a asasaer la deken ulak e Iesu ana utna ne. 
MRK.10.11	Pa i atai la mang, “Ning tik ir kepsen anuna hane, pa i taulai ulak ta hane masik, a barsan ning i tol a toltol laulau tetek anuna ningnigo na hane. 
MRK.10.12	Pa ning ta hane i han kusun anuna barsan, pa i taulai ulak ana tik masik, a hane otleng ning i tol a laulauna.”
MRK.10.13	A tarai la ben a kakakla tetek e Iesu sur ir sua naur a kuna saot on la. Ika a kakak a asasaer la sairas la. 
MRK.10.14	Ning e Iesu i oroi, i balakut pa i atai la mange, “Mulor noren a kakakla sur lar han tetek iau. Gong mulo sairas la, anasa a matanitu ane God anunla ning la manglarne. 
MRK.10.15	A atong momoli ta mulo, ning tik bel ir kubas a matanitu ane God arlar ana kaklik, bel ir kas lar pasi. Belal.” 
MRK.10.16	Pa i los pas a kakakla, pa i sua kuna saot on la, pa i angisngis la.
MRK.10.17	Ning e Iesu i han amon ulak, ning a barsan i dun teteki, i kes ana bokona hana namatana, pa i dekeni mange, “Wakak a Tena Asaer, asa ning ar toli sur ar kubas a lalaun tikin?” 
MRK.10.18	E Iesu i kelesi mang, “Sur asa ning u atong iau mang iau a wakak? Bel tik i wakak, e God ka. 
MRK.10.19	U tasman a Warkuraila: ‘Gong u umkol tik, gong u tol a toltol laulau ana ta hane anuna tik masik, gong u kinkinau, gong u artitiu asasongo, gong u asongo pas ta utna nuna tik pa u los pasi, ur hanrawai e tamam pa et nam.’” 
MRK.10.20	A barsan ning i kelesi mange, “Tena Asaer, turpasi ning a kaklik ot tuk ne, a sira mur a Warkuraila rop ne.” 
MRK.10.21	E Iesu i tai teteki, i marisi pa i atai mang, “U kapan ot sur ning a utna. Ur han pa ur siuran sen anum a ututnala rop, pa a mani taguni ur tabar a kapan na taraila ono. Ning ur toli manglarning, anum a wakak a gongon saot na langit. Lamur ur lamut ute pa ur mur iau.” 
MRK.10.22	Ning i longor a warwara ne, i tai tumtumen, pa i han pa i nuk lingir koli, anasa i galis kol anuna gongon.
MRK.10.23	E Iesu i gilam taltal tetek anuna kakak a asasaerla pa i atai la mang, “I ngangitin kol tetek a tena gongonla sur lar kas uting na matanitu ane God.” 
MRK.10.24	A kakak a asasaer la kulkulan kol ana warwara ne. E Iesu i atai ulak la mang, “A natnatukla, i ngangitin kol tetek a taraila sur lar kas ana matanitu ane God.
MRK.10.25	“I ngangitin tetek a kamel sur ir kas ana mosol a sur a susuk, ika i ngangitin kol tetek a tena gongon sur ir kas ana matanitu ane God.” 
MRK.10.26	A kakak a asasaer la kulkulan kol, pa la deken artalai aulak la mang, “Ning i manglarning, esi ma ning dir alauni?” 
MRK.10.27	E Iesu i tai tetek la pa i atongi mang, “A taraila bel lar tolsot pasi, ika e God ir tolsot ana ututnala rop.”
MRK.10.28	E Pita i atai e Iesu mange, “Oroi, mila ka han kusun anumila na ututnala rop, pa mila mur u.” 
MRK.10.29	E Iesu i atongi mang, “A atong momoli ta mulo: Ning tik ir han kusun anuna rumai, o kusun a tastasna barsan pa gurarala, o kusun e tana, o e tamana, o na natnatnala, o kusun anuna kabalapiu, kamkamna hok pa ana Wakak a Warwara, 
MRK.10.30	ana lalaun ne, dir saran tar takai a mar a rumai tana, takai a mar a tastasna barsanla, takai a mar na tastasna hanela, takai a mar na tana, takai a mar na natnatna, pa takai a mar a kabalapiu, pa dir alaulau i otleng. Pa ana lalaun lamur dir tabari ana lalaun tikin. 
MRK.10.31	Ika a galis a taraila ning la nigo ne, lamur lar mur, pa la ning la mur ne, lamur lar nigo.”
MRK.10.32	Ning e Iesu taum ana nuna kakak a asasaer la han usaot e Jerusalem, e Iesu i nigon la, pa anuna kakak a asasaer la nuknuk kol, pa a taraila otleng ning la muri la matmataut. Pa e Iesu i ben maskan pas anuna ning a bonot pa pisir naur a kakak a asasaerla, pa i atai la ana ututnala ning ir hanot teteki manglarne, 
MRK.10.33	“Oroi, ne dala han usaot e Jerusalem. Dir saran tar a Nat a Barsan tetek a leklek na tena artabarla tetek e God taum ana tena asaerla tagun a Warkurai. Lar warkurai i sur ir hirua, pa lar saran tari tetek la ning bel a tarai Juda. 
MRK.10.34	Lar morot onoi, lar namsani, lar dapisi pa lar umkoli. Pa ning natola pukakiar ir rop ir laun ulak.”
MRK.10.35	Naura nat e Sebedi, e Jems pa e Jon, dia han tetek e Iesu pa dia atongi tana mange, “Tena Asaer, mia nunung u sur ur tol asa ne mia mang suri tam.” 
MRK.10.36	Pa i deken diau mange, “Asa ning mu mang suri tak?” 
MRK.10.37	Dia kelesi mange, “Ur akes tar miau ana num a matatar, pa datol ar warkurai taum, ning a halim miau ana ris a sot a kum pa ning ana kair.”
MRK.10.38	E Iesu i atai diau mange, “Bel mu tasman asa ning mu nunung suri. Mangmangasa, ir toh pas mu sur mu otleng mur hisop ana kap ning ar hisop ono? Ir toh pas mu otleng sur dir baptais mu ana baptais ning dir baptais iau ono?”
MRK.10.39	Pa dia kelesi mange, “Miar tolsot pasi ka.” E Iesu i atai diau mange, “A kap ning ar hisop ono, mu otleng mur hisop ono, pa a baptais ning dir baptais iau ono, dir baptais mu otleng ono. 
MRK.10.40	Ika ana keskes ana ris a sot a kuk pa ana kair, bel a warkurai sur ar sarani. E God ir sarani tetek la ning ka sang tari sur la.”
MRK.10.41	Ning a bonot a kakak a asasaer la longori, la balakut e Jems pa e Jon. 
MRK.10.42	E Iesu i kabah taum pas la, pa i atongi mange, “Mulo tasmani mang la ning di atong la a tena warkuraila anuna taraila ning bel a tarai Juda, la nigon laulau a taraila. Pa anunla na ningnigo otleng la saran a ngangitin a warkuraila tetek a taraila anunlai. 
MRK.10.43	Ika tetek mulo bel ir manglarning. Ning tik i mang sur ir leklek ta mulo, ir anatarna pasi sur ir tena titol anumuloi. 
MRK.10.44	Pa esining i mang sur ir ningnigo o mulo, ir tena longor ka anuna taraila rop. 
MRK.10.45	Anasa a Nat a Barsan otleng bel i hanot sur dir titol teteki. I hanot sur i ot ir titol tetek a taraila pa ir saran tar anuna lalaun, a arlou, sur ir lou alangolango pas a galis a tarai.”
MRK.10.46	La hanot tumo e Jeriko. Ning e Iesu taum ana nuna kakak a asasaerla pa a kunum a tarai otleng la han mitingia, ning a barsan, a matanakut, a risana e Batimaio (a kamkamna mang a nat e Timaio), i kes ana ris a ngas, pa i sira nunung utna. 
MRK.10.47	I longori mang e Iesu a te Nasaret ka han milau, i arkabah rakrakai mange, “Iesu, Nat e Dewit, ur maris iau.”
MRK.10.48	Pa a galis a tarai la sairasi mang gong i aregaia. Ika i arkabah rakrakai kale mange, “Nat e Dewit, ur maris iau.”
MRK.10.49	E Iesu i tur pa i atai la mang, “Mulo kabah pasi.” La kabah pas a matanakut, pa la atai i mange, “Ur gas! Tur! E Iesu i kabah u.” 
MRK.10.50	E Batimaio i kepsen anuna kaen ning i polpol alar anuna minmar ono, i kamtur, pa i han tetek e Iesu. 
MRK.10.51	Pa e Iesu i dekeni mange, “Asa ning u mang sur ar toli hom?” A matanakut i kelesi mang, “Tena Asaer, a mang sur ar tai.” 
MRK.10.52	E Iesu i atongi tana mang, “Ur han, anum a tortorot ka alangolango pas u.” Aiapiap ka i tai, pa i mur e Iesu ana ngas.
MRK.11.1	Ning la han milau e Jerusalem, pa la hanot Betpage pa e Betani ting ana Mangir na Oliw, e Iesu i sune sen naur a kaklik kusun anuna kakak a asasaerla. 
MRK.11.2	Pa i atai diau mang, “Mur han sur a hanua kaning lanigo ta mu. Ning mur han kas, mur han tar ana ning a nat a dongki kaning di dot akes tari, pa belot tik i kes pas ono. Mur pak sen pasi pa mur beni ute. 
MRK.11.3	Ning tik ir deken mu mang, ‘Sur asa ning mu toli manglarning?’ mur atai i mange, ‘A Leklek i mang kabah suri, pa ir aulak kapiti kale.’”
MRK.11.4	Ning dia han, dia oroi tetek a nat a dongki ning di dot akes tari tumolapiu na ris a taman ana rumai, milau a ngas, pa dia pakseni. 
MRK.11.5	Dingla na tarai ning la tur tingia la deken diau mang, “Ai, mu pak sen a nat a dongki ning sur asa?” 
MRK.11.6	Dia keles la ana warwara ning e Iesu ka atong tari, pa la noreni ka tan diau. 
MRK.11.7	Dia ben tar a nat a dongki tetek e Iesu, pa dia kepsen naur a kaen ning dia polpol alar anundiau na minmar ono, pa dia sua tari saot onoi, pa e Iesu i kes ono. 
MRK.11.8	Pa a galis a tarai otleng la kepsen anunla na kaenla ning la polpol alar anunla na minmar ono, pa la sagen tari ting na ngas. Pa dingla na tarai otleng la kuben pas a lai a rakai miting na bual, pa la sua tari ting na ngas. 
MRK.11.9	La ning la nigo pa la ning la mur, la kukuk mange,
MRK.11.9	“Osana! Dalar atong leklek pas esining i hanot ana risana Leklek!” 
MRK.11.10	“Dalar atong leklek pas a matanitu ane tamandala e Dewit ning ir hanot!
MRK.11.10	Osana usaot kol!”
MRK.11.11	Ning e Iesu i hanot saot e Jerusalem, i kas uting na rumai a artabar. Ning ka oroi tar a ututnala rop, i ulak utumo e Betani taum ana nuna ning a bonot pa pisir naur a kakak a asasaerla, anasa ka rahmorom.
MRK.11.12	A pukakiar lamur, ning la han mitimo e Betani, e Iesu i murak. 
MRK.11.13	I oroi a rakai a fig miting bakbak, i gomgomo wakak. Pa i han sur ir oroi, sur ta wana. Ning i hanot tingia, bel i oroi ta wana ono, a pakpakana oros ka, anasa belot i taun fig. 
MRK.11.14	Pa i atai a rakai a fig mange, “Turpasi ne pa lamur, bel tik ulak ma ir ien pas ta waim.” Pa anuna kakak a asasaer la longor akes pas a warwara ning.
MRK.11.15	Ning la hanot saot e Jerusalem, e Iesu i kas ana ning a pukna miting na rumai a artabar, pa i kepsen purum la ning la sisiurai, pa la otleng ning la lolou tingia. I migen lingir a logola anuna tena keles mani pa a keskes anunla ning la siuran a tabunla. 
MRK.11.16	Pa bel i noren tar a taraila sur lar los anunla ututnala na sisiurai ting na arpotor ana rumai a artabar. 
MRK.11.17	I asaer la mang, “Di ka tumus tari ana Buk Tabu manglarne,
MRK.11.17	‘Dir atong anuk a rumai mang a rumai a nunung sur a kaba tarai rop.’ 
MRK.11.17	Ika mulo ka tol lingir pasi sur ir arlar kama lar a ‘rumai anuna tena kinkinaula.’” 
MRK.11.18	A leklek na tena artabarla tetek e God taum ana tena asaerla tagun a Warkurai otleng la longori, pa la nuknuk sur ta ngas sur lar umkol e Iesu ono, anasa la matatani, anasa a tarai rop la kulkulan ana nuna asasaer.
MRK.11.19	Ning a rah ma, e Iesu taum ana nuna kakak a asasaer la han kusun a hanua Jerusalem.
MRK.11.20	Ana kobot ning ot, ning la ulak usaot e Jerusalem, la oroi mang a rakai a fig ka marang mitimo ot na wakwakirna usaot. 
MRK.11.21	Pa e Pita i nuk pas a warwara ane Iesu, pa i atai i mange, “Tena Asaer, oroi! A rakai a fig ning u warwara rakrakai tar teteki, ka marang rop.”
MRK.11.22	E Iesu i kelesi mange, “Mulor tortorot o e God. 
MRK.11.23	A atong momoli ta mulo, ning tik ir atai ta mangir ne mange, ‘Ur takakan, pa ur sirok parung usa latasi,’ pa bel i urmatana nuknuk, i tortorot mang dir tol asa ning ka atong tari, dir toli ot. 
MRK.11.24	Manglarning a atongi ta mulo a ututnala rop ning mulo nunung suri, mulor tortorot ka mang di ka saran tari ta mulo, pa dir saran tari ot.
MRK.11.25+MRK.11.26	“Ning mulo nunung, pa mulo nuk pas ta utna ning tik i tol laulau tari o mulo, mulor duman seni, sur e Tamamulo saot ana langit ir duman sen anumulo na toltol laulaula otleng.”
MRK.11.27	La hanot ulak saot e Jerusalem. Ning e Iesu i taltal ana rumai a artabar, a leklek na tena artabarla tetek e God, taum ana tena asaerla tagun a Warkurai pa a ningnigola la han teteki. 
MRK.11.28	La dekeni mange, “Esi na ngas a rakrakai ning u tol a ututnala ne ono? Esi i saran tar a rakrakai tam sur ur tol a ututnala ne?” 
MRK.11.29	E Iesu i keles la mange, “Iau otleng ar deken mulo ana ning a kabah. Pa ning mulor keles iau, io, ar atai mulo ana rakrakai ning a sira tol a ututnala ne ono. 
MRK.11.30	Mitahaia a baptais ning e Jon i baptais a taraila ono? Mitisaot ana langit, o tana taraila ka? Mulor atai iau.” 
MRK.11.31	Pa la warwara kumna pas mange, “Ning dalar atongi mang, ‘Mitisaot ana langit,’ ir keles dala ka mange, ‘I mangasa ning bel mulo tortorot onoi?’ 
MRK.11.32	Ika ning dalar atongi mange, ‘Tana taraila,’ a tarai lar balakut dala.” La matatan a taraila, anasa la rop la tortorot o e Jon mang i a propet. 
MRK.11.33	Pa la keles e Iesu mange, “Bel mila tasmani.” Pa e Iesu i atai la mang, “Iau otleng bel ar atai mulo ana rakrakai ning a sira tol a ututnala ne ono.”
MRK.12.1	E Iesu i asaer la ana ning a warwara larlar, mange, “Ning a barsan i oman tar a barim a wain, pa i tol alar tari. Tingui ana barim a wain ning, i kel tar a tung sur dir pas mirmiren tar a wana wain onoi, sur a polona ir hanot. Pa i tol a natar a rumai ning i tur usaot sur a tena tai alar. Lamur i saran tar kabah a barim a wain tana dingla na tarai a titol sur lar tai alari, pa i han ana ning a tinan. 
MRK.12.2	Ning a kalang ka sot sur dir git taum a wana wain, i sune sen ning a tena longor tetek a tarai a titol, sur ta wai ana nuna barim sur anunai otleng. 
MRK.12.3	Ika a tarai a titol la tong akes pasi, la umi, pa la sune ulak oros seni. 
MRK.12.4	Pa i sune sen ulak ning a tena longor tetek la, la um laulau tar a pukulna, pa la ame tari. 
MRK.12.5	A taman na barim i sune sen ulak ning a tena longor, la um amat seni ka. Lamur i sune sen ulak a galis, la um dingla na tarai, pa dingla la um amat la. 
MRK.12.6	Ning kama i kes teteki, a natnalik ot, i mang kol suri. I sune seni tetek la, pa i nuki mang lar hanrawai e natnalik. 
MRK.12.7	Ika a tarai a titol la warwara taum pas mange, ‘I ma ning ir keles e tamana, imaine i han ute. Mulo lamut, dalar um amati, sur anundalai ma a barim a wain.’ 
MRK.12.8	Pa la tong akes pasi, la um amati, pa la migen purum seni kusun a barim.
MRK.12.9	“Asa ning a taman na barim ir toli? Ir hanot pa ir um amat sen a tarai a titol, pa ir saran tar kabah a barim tetek dingla masik.
MRK.12.10	Mangmangasa, bel mulo was a warwara ne ana Buk Tabu? I atongi mange,
MRK.12.10	‘A hat ning a tena tol rumaila la kepseni,
MRK.12.10	i ot ning a ngangaten a hat ning di tol a rumai ono.
MRK.12.11	A utna ne a Leklek ot ka tol tari,
MRK.12.11	pa i wakak kol ana numila na tatatai.’” 
MRK.12.12	A ningnigola anuna tarai Juda la tai sur ta ngas sur lar tong akes pas e Iesu ono, anasa la tasmani mang i atong ka a warwara larlar ne on la. Ika la matatan a kunum a tarai. Pa la tur pas kusuni, pa la han.
MRK.12.13	La sune sen a Parisaiola, taum ana halalna e Herot tetek e Iesu sur lar alamlami sur anuna ta warwara lar tiwi ono. 
MRK.12.14	Ning la hanot teteki, la atai i mange, “Tena Asaer, mila tasmani mang u a tostos a barsan. Bel u matmataut ana sa ning a tarai la atongi hom, anasa a ginim i arlar rop ka tetek a tarai rop, pa u asaer momol la ana ngas ane God ana momolna. Mangmangasa, i tostos sur dir saran a totokom tetek a Sisar
MRK.12.15	Dalar sarani, o gong?” I tasman lalan anunla na asasongo, pa i deken la mange, “I mangasa ning mulo mang sur mulor toho iau? Ta mani ute ar oroi.”
MRK.12.16	Pa la saran tar ning a mani tana. Pa i deken la mange, “A manar pa a tumtumus ne ono anesi?” La kelesi mange, “Anuna Sisar.” 
MRK.12.17	E Iesu i atai la, “Asa ning anuna Sisar mulor sarani tetek a Sisar, pa asa ning ane God mulor sarani otleng tetek e God.” Ning la longori, la kulkulan kol ono.
MRK.12.18	A Sadusila ning la sira puai ka mang bel ta lalaun ulak kusun a minat, la han tetek e Iesu, pa la dekeni mange, 
MRK.12.19	“Tena Asaer, e Moses i tumus tari tan dala mange, ning ta barsan ir mat pas kusun anuna hane, pa bel ta natundiau, io, e tasnalik ir ben pasi pa ir taulai i, sur ir aitna tar al kakakla ana risana e tasnalik ning ka mat. 
MRK.12.20	Ning a kabaitas, dionomahis a barsan rop ka. A ningnigona i taulai, pa i mat kusun anuna hane, pa bel ta natundiau. 
MRK.12.21	Pa a areur a tasnalik kale i taulai a hane ning, i le i mat ka kusuni, pa bel ta natundiau. Mang otleng larning tetek a natolna. 
MRK.12.22	La rop dionomahisla, la taulai i, ika a hane ning bel i agon tar ta kaklik on la. Pa a hane i mat murmur tan la rop. 
MRK.12.23	Ana lalaun ulak kusun a minat, anesi momolma a hane ning? Anasa dionomahis la rop la ka taulai tari.”
MRK.12.24	E Iesu i keles la mange, “Mulo rongo kol, anasa bel mulo tasman a Buk Tabu pa a rakrakai e God otleng. 
MRK.12.25	Ning a tarai lar laun ulak kusun a minat, bel lar taulai ulak, lar arlar kama ana angelola saot na langit. 
MRK.12.26	Ning mulo puai mang a minatla bel lar laun ulak kusun a minat, mangmangasa belot mulo was a Buk ane Moses ning i warwara ana rakai ning i sot? E God i atongi tetek e Moses mange, ‘Iau a God ane Abraham, a God ane Aisak pa a God ane Jekop.’ 
MRK.12.27	Mulo rongo kol. E God bel a God anuna minatla, a God anuna lalauna ot.”
MRK.12.28	Ning a hala tena asaerla tagun a Warkurai i hanot, pa i longor e Iesu taum ana Sadusila la warwara. I longori mang e Iesu i keles wakak la, pa i dekeni mange, “Esi na warkurai i ngangaten tan la rop?” 
MRK.12.29	E Iesu i kelesi mange, “Ine a ngangaten a warkurai momol, ‘A tarai Israella mulor longori, a Leklek anundala God i takai sot ka. 
MRK.12.30	Mulor maris a Leklek anumulo a God ana balamulo rop, a ingumulo rop, a nuknukimulo rop, pa a rakrakaimulo rop.’ 
MRK.12.31	A naurna i mange, ‘Ur maris a halim larning u maris u ot.’ 
MRK.12.31	Bel ta warkurai i itna ana naur a warkurai ne.”
MRK.12.32	A tena asaer tagun a Warkurai i atai e Iesu mange, “I momol ot, Tena Asaer. I tostos anum a warwara, mang e God i takai sot ka, pa bel tik ulak ma. 
MRK.12.33	Dalar maris e God ana balandala rop, a nuknukindala rop, pa ana rakrakaindala rop, pa dalar maris a halalindala larning dala maris dala ot. Ning dalar mur naur a warkurai ne, i ngangaten kol ana artabarla ning dala sarani tetek e God, pa a artabarla ning di tun seni.”
MRK.12.34	Ning e Iesu i oroi mang i warwara na tastasman, i atai i mange, “Bel u bakbak kusun a matanitu ane God.” Pa bel ma tik i han teteki ana ta kabah, anasa la matmataut.
MRK.12.35	E Iesu i asaer la ting na rumai a artabar, i atongi mange, “I mangasa ning a tena asaerla tagun a Warkurai la atongi mang a Karisito a nat e Dewit? 
MRK.12.36	A Talngan Tabu i nigon e Dewit pa i atongi mange,
MRK.12.36	‘A Leklek i atai anuk a Leklek mange,
MRK.12.36	“Ur kes ting na sot a kuk,
MRK.12.36	tuk ning ar tolsot pas anum na hiruala
MRK.12.36	sur lar kes nahai anum a warkurai.” ’
MRK.12.37	E Dewit ot i atong a Karisito mang anuna Leklek. Ning i manglarning, io, di tamana mangmangasa?”
MRK.12.37	A tnan kunum a tarai la gas kol ning la longor a warwara ane Iesu.
MRK.12.38	Ning i asaer la, i atongi mange, “Mulor wetewete ana tena asaerla tagun a Warkurai. La mang sur lar taltal taum ana wakak a kaenla, pa la mang sur a tarai lar hanrawai la ting na pukna na han taum. 
MRK.12.39	Pa la mang sur a keskesla salanigo na rumai lotula, pa a keskesla salanigo ana ngasa. 
MRK.12.40	La sira amus a gongon anuna laola, pa la sira laes na tol a barbara a nunungla. Ir itna kol a warkurai ane God tetek la.”
MRK.12.41	E Iesu i kes milau tar a pukna na susua mani ting na rumai a artabar, pa i oroi a taraila ning la sua anunla mani onoi. Galis a tena gongon la sua a tnan mani ana pukna na susua mani. 
MRK.12.42	Ika ning a kapan na lao, i sua tar ka naur a toia ana pukna na susua mani. 
MRK.12.43	Pa e Iesu i kabah pas anuna kakak a asasaerla teteki, pa i atai la mange, “A atong momoli ta mulo, a kapan na lao ne, ka saran tar a tnan mani tan la rop ne. 
MRK.12.44	La saran tukna tar ka ana gongon anunlai, ika a lao ne, i kapan, i saran arop sen asa ning ir toh pas anuna keskes.”
MRK.13.1	Ning e Iesu i purum kusun a rumai a artabar, ning tagun a nuna kakak a asasaerla i atai i mange, “Oroi, Tena Asaer! A wakak a rumaila ne, di toli ana tatatnan hatat!” 
MRK.13.2	Pa e Iesu i atai i mange, “U oroi a tatatnan rumaila ne? Kaning lamur bel ir naur a hat diar pala taun, dir regen siksiklik sen la.”
MRK.13.3	Ning e Iesu i kes tisaot ana Mangir na Oliw ning dir tai solsol sur a rumai a artabar, e Pita, Jems, Jon pa e Endru la deken kumnani mange, 
MRK.13.4	“Ur atai mila, nangse a ututnala ne ir hanot? Pa asa akinalang ana ututnala ning i milau sur lar hanot?” 
MRK.13.5	E Iesu i atai la mange, “Mulor tai alar mulo, sakana tik ir asongo pas mulo. 
MRK.13.6	A galis lar hanot ana risak, lar atongi mange, ‘Iau a Karisito,’ pa lar asongo pas al galis. 
MRK.13.7	Ning mulor longor a harumla pa a arkaltai ana harumla, gong mulo mangasa tar, anasa a ututnala ne lar hanot nigo, ika a ararop ana rakrakan hanua belot. 
MRK.13.8	Ning a mangis a tarai ir tur na harum sur ning a mangis, pa ning a matanitu ir tur na harum sur ning a matanitu. Pa a mamaisla pa a tnan munurak ir hanot ting na hanhanuala. A ututnala ne i arlar ana turpas a kilkilang na kankan ana hane sur ir agon.
MRK.13.9	“Mulor tai alar mulo. A tarai lar dat pas mulo tetek a tena warkuraila, pa lar dapis mulo ting na rumai lotula. Mulor tur ana warkurai lanigo tana tatatnan ningnigola pa a kingla, kamkamna hok. Pa mulor warwara talapor hok tan la. 
MRK.13.10	Dir warawai nigo ana Wakak a Warwara tetek a mangis a taraila rop. 
MRK.13.11	Ning lar dat pas mulo sur a warkurai, gong mulo nuknuk nigo sur asa ning mulor atongi. Ana tuka mahis a kamis ning mulor atong ka a warwara ning di anuknuk tari ta mulo, anasa bel mulo ning mulor warwara, a Talngan Tabu ot.
MRK.13.12	“Tik ir malmaling sen ta tasnalik sur dir umkoli, pa ta barsan ir malmaling sen ta natnalik sur dir umkoli. Pa a kakakla lar tur na rakrakai tetek na tamtamanla pa na kabatnanla, pa lar malmaling sen diau sur dir umkol diau. 
MRK.13.13	Pa a tarai rop lar nget mulo anasa ana risak, ika tik ning i tur rakrakai tuk ana araropna, e God ir alaun pasi.
MRK.13.14	“Mulor oroi ning a laulau a utna kol ir hanot, ir kes ana pukna ning bel i toh pasi sur ir kes ano, pa ir alaulau a pukna ning. (Esining ir was a warwara ne, i wakak sur ir talapor ono.) Ono ot ning, la ning la kes ana papar Judia, lar liu usaot ana mangirla. 
MRK.13.15	Pa ning tik ir kes saot ana nuna rumai, ning ir purum, gong i kas sur ir los pas ta utna saui. 
MRK.13.16	Pa ning tik ir kes ting na barim, gong ma i han ulak utumo lahanua sur anuna ta kaen. 
MRK.13.17	Ana pukakiarla ning, ir laulau kol tetek a tiananla, pa la otleng ning la aresus. 
MRK.13.18	Mulor nunung sur gong a utna ne ir hanot ana kalang na kotkoto. 
MRK.13.19	Anasa ana pukakiarla ning, ir itna kol a mamahatla. Ir itna kol ana mamahatla ning i sira hanot ana rakrakan hanua, turpasi ning e God i akes a rakrakan hanua tuk ne, pa lamur otleng bel ta mamahat ir arlar ono. 
MRK.13.20	Nadek ning a Leklek bel ir kutus purum a pukakiarla ning, bel tik kakat ir laun. Ika ka kutus purum seni sur la ning ka aslang pas la, lar laun.
MRK.13.21	“Ana pukakiarla ning, ning tik ir atongi ta mulo mange, ‘Oroi, a Karisito ine!’ pa ir atongi mange, ‘Oroi, numo ia!’ gong mulo tortorot onoi. 
MRK.13.22	Anasa al tena asasongo na Karisito, pa tena asasongo na propetla lar hanot, lar tol al akinalang pa al utnala na kulkulan sur lar asongo a taraila ning e God i aslang pas la, ngadek lar tolsot on la. 
MRK.13.23	Mulor wetewete! Ne ia ka atai nigon tar mulo ana ututnala rop ning ir hanot!
MRK.13.24	“A mamahatla ning ir rarop, pa ana pukakiarla ning,
MRK.13.24	‘a kamis ir mormorom,
MRK.13.24	a kalang bel ir sasai,
MRK.13.25	a nangnangla lar punga purum misaot na langit,
MRK.13.25	pa a ututnala tisaot na langit lar gulgule.’ 
MRK.13.26	“Ana tuka mahis a kamis ning, a tarai lar oroi a Nat a Barsan ir hanot ana laukap taum ana tnan rakrakaina pa a matatar. 
MRK.13.27	Pa ir sune anuna na angelola sur lar ben taum a taraila ning i aslang pas la miting na diat a matana wuwu, miting na ris a rakrakan hanua tuk utumo otleng ana ning a ris a rakrakan hanua.
MRK.13.28	“Mulor asasaer ana rakai a fig. Ning a rakrakanala ir gomo pa a pakpakana ir tapalas, mulor tasmani mang a kalang na laplapang ka milau. 
MRK.13.29	Mang otleng larning, ning mulor oroi a ututnala ning ia ka warwara tar ono ir hanot, mulor tasmani mang a pukakiar ka milau. 
MRK.13.30	A atong momoli ta mulo, a taun taraila ne kanet la laun pa a ututnala rop ne ir hanot. 
MRK.13.31	A langit pa a rakrakan hanua diar rarop, ika anuk a warwarala bel ir rarop.
MRK.13.32	“Bel tik ir tasman a pukakiar pa a tuka mahis a kamis a ututnala ning ir hanot. A angelola saot na langit bel la tasmani, pa e Natnalik otleng bel i tasmani, e Tamana ka i tasmani. 
MRK.13.33	Mulor wetewete, pa mulor tai alar mulo, anasa bel mulo tasmani nangse a ututnala ne ir hanot.
MRK.13.34	“I arlar ana ning a barsan i sang sur ir han ana ning a tinan. I saran tar anuna rumai tetek anuna tarai a longor, sur lar tai alari. I saran taktakai a titol tan la rop, pa i atai a barsan ning na taman sur ir tai alar, pa i han.
MRK.13.35	“Ika mulor wetewete, anasa bel mulo tasmani nangse a tamana rumai ir hanot, ana rah, o ana tnan morom, o ana lar ning a kok i kurkurirakuk, o ana kobot. 
MRK.13.36	Sakana ir hanot kulkulan, pa ir pastetek mulo kaning mulo borbor duman. 
MRK.13.37	Asa ning a atai mulo ono, ar atai a taraila otleng mang: Mulor tai alar mulo!”
MRK.14.1	Naura pukakiar lanigo ana lotu na Han Lakai, pa ana lotu na bret ning belal is ono, a leklek na tena artabarla tetek e God taum ana tena asaerla tagun a Warkurai la nuknuk sur ta ngas sur lar tong kumnan pas e Iesu pa lar umkoli. 
