MAT.1.1	Cartea genealogiei lui Iisus Hristos, fiul lui David, fiul lui Avraam:
ACT.22.6	Însă pe când călătoream şi mă apropiam de Damasc, pe la amiază a strălucit deodată împrejurul meu o lumină puternică din cer. 
ACT.22.7	Am căzut la pământ şi am auzit un glas care îmi vorbea: Saule, Saule, de ce Mă persecuţi? 
ACT.22.8	Eu i-am răspuns: Cine eşti, Doamne? iar El mi-a zis: Eu sunt Iisus Nazarineanul pe care tu îl persecuţi! 
ACT.22.9	Cei care erau cu mine au văzut lumina dar nu au auzit glasul care îmi vorbea. 
ACT.22.10	Iar eu i-am spus: Ce vrei să fac, Doamne? El mi-a răspuns: Ridică-te şi du-te în Damasc, pentru că acolo ţi se va spune tot ce ţi s-a hotărât să faci! 
ACT.22.11	Cum nu mai puteam vedea din cauza strălucirii acelei lumini am mers în Damasc, condus de mână de către însoţitorii mei.
ACT.22.12	Şi Anania, un om evlavios după Lege şi vorbit de bine de toţi iudeii care trăiau acolo, 
ACT.22.13	a venit, a stat lângă mine şi mi-a zis: Frate Saule, recapătă-ţi vederea! Chiar în clipa aceea mi-am recăpătat vederea şi l-am văzut! 
ACT.22.14	Anania mi-a spus: Dumnezeul părinţilor noştri te-a ales mai dinainte să cunoşti voia Lui şi să-l vezi pe Cel Drept şi să auzi glasul gurii Lui, 
ACT.22.15	pentru că îi vei fi martor înaintea tuturor oamenilor, cu privire la ceea ce ai văzut şi ai auzit. 
ACT.22.16	Acum, de ce mai stai? Ridică-te, botează-te şi spală-ţi păcatele, chemând Numele Lui!
ACT.22.17	Când m-am întors la Ierusalim şi mă rugam în Templu, s-a făcut aşa, că am intrat într-o stare de extaz 
ACT.22.18	şi l-am văzut că îmi spune: Repede, grăbeşte-te şi pleacă din Ierusalim, căci nu vor primi mărturia ta despre Mine. 
ACT.22.19	Eu i-am zis: Doamne, ei ştiu că îi închideam în temniţă şi îi băteam pe cei care credeau în tine, prin sinagogi, 
ACT.22.20	şi că, atunci când se vărsa sângele lui Ştefan, martorul Tău, eram şi eu în picioare acolo, încuviinţându-i şi păzind hainele celor care îl ucideau! 
ACT.22.21	Dar El mi-a zis: Du-te, căci te voi trimite la neamuri, departe!”
ACT.22.22	Ei l-au ascultat până la vorba aceasta; atunci şi-au ridicat glasul şi au strigat: „Ia-l de pe faţa pământului, nu merită să trăiască un asemenea om!” 
ACT.22.23	Strigau şi îşi vânturau hainele şi aruncau praf în aer.
ACT.22.24	Comandantul a poruncit să-l ducă în fortăreaţă şi să fie biciuit şi cercetat ca să afle din ce cauză strigau ei aşa împotriva lui. 
ACT.22.25	Pe când îl legau pentru biciuire, Pavel i-a zis căpitanului, care era de faţă: „Vă este permis să bateţi un cetăţean roman care nu a fost condamnat?” 
ACT.22.26	Căpitanul, auzind, a mers la comandant să-i dea de veste şi i-a zis: „Ce vrei să faci? Omul acesta este cetăţean roman!” 
ACT.22.27	Căpitanul s-a întors şi i-a zis: „Spune-mi, eşti roman?” iar Pavel a zis: „Da!” 
ACT.22.28	Comandantul i-a răspuns: „Eu am obţinut cetăţenia aceasta cu o mare sumă de bani.” Iar Pavel i-a zis: „Eu chiar m-am născut roman!” 
ACT.22.29	Atunci, imediat, cei ce se pregăteau să-l interogheze s-au retras. Comandantul s-a temut când a aflat că Pavel este roman, pentru că îl legase.
ACT.22.30	A doua zi, vrând să cunoască adevărul, anume, de ce îl acuză iudeii, l-a dezlegat şi a poruncit să vină toţi preoţii de seamă şi tot sinedriul şi l-a adus pe Pavel să stea înaintea lor.
ACT.23.1	Pavel a privit ţintă la sinedriu şi le-a zis: „Fraţilor, eu mi-am dus viaţa cu o conştiinţă curată înaintea lui Dumnezeu, în toate, până astăzi.” 
ACT.23.2	Atunci marele preot Anania a poruncit celor ce stăteau lângă el să-l lovească peste gură. 
ACT.23.3	Însă Pavel i-a zis: „Te va lovi şi Dumnezeu pe tine, perete văruit! Tu stai pe jilţul judecătorului, după Lege, dar dai poruncă să fiu lovit, împotriva Legii?” 
ACT.23.4	Cei ce stăteau lângă el i-au zis: „Îl batjocoreşti pe marele preot al Domnului?” 
ACT.23.5	Iar Pavel le-a răspuns: „Nu ştiam, fraţilor, că el este marele preot; doar este scris: 
ACT.23.6	Pavel însă, pentru că ştia că o parte din ei erau saduchei şi ceilalţi farisei, a strigat în plin sinedriu: „Fraţilor, eu sunt fariseu, fiu de fariseu! Pentru speranţa şi învierea morţilor sunt eu judecat!” 
ACT.23.7	După ce a zis acestea, a început o ceartă între farisei şi saduchei şi adunarea s-a împărţit. 
ACT.23.8	Saducheii spun că nu există înviere, nici înger, nici duh, pe când fariseii le mărturisesc pe toate trei. 
ACT.23.9	S-a pornit deci o zarvă mare şi s-au ridicat unii dintre învăţaţii din partea fariseilor, certându-se şi zicând: „Noi nu găsim nimic rău în acest om. Dacă, într-adevăr, i-a vorbit un înger?” 
ACT.23.10	Pentru că neînţelegerea devenea tot mai mare, comandantul s-a temut că Pavel va fi sfâşiat de ei şi a poruncit ostaşilor să coboare şi să-l ia cu forţa din mijlocul lor şi să-l ducă în fortăreaţă.
ACT.23.11	În noaptea următoare, Domnul i s-a arătat şi i-a zis: „Îndrăzneşte, pentru că aşa cum ai mărturisit despre Mine la Ierusalim, la fel trebuie să mărturiseşti şi la Roma!”
ACT.23.12	Când s-a făcut ziuă, iudeii au pus la cale un complot, legându-se cu blestem să nu mănânce, nici să nu bea până nu-l vor ucide pe Pavel. 
ACT.23.13	Mai mult de patruzeci de oameni au făcut jurământul acesta. 
ACT.23.14	Câţiva dintre ei s-au dus la marii preoţi şi la bătrânii lui Israel şi le-au zis: „Ne-am jurat cu blestem să nu gustăm nimic până nu îl vom omorî pe Pavel. 
ACT.23.15	Acum, voi şi sinedriul, anunţaţi-l pe comandant să-l coboare mâine aici, ca să cercetăm mai amănunţit ce e cu el; noi vom fi gata să-l ucidem, înainte să ajungă aici.” 
ACT.23.16	Dar fiul surorii lui Pavel a auzit despre uneltire, a intrat în fortăreaţă şi l-a anunţat pe Pavel. 
ACT.23.17	Pavel l-a chemat pe unul din centurioni şi i-a zis: „Du-l pe tânărul acesta la comandant, căci are să-i dea o veste!” 
ACT.23.18	Acesta l-a luat, l-a dus la comandant şi i-a zis: „Pavel, care este întemniţat, m-a chemat şi m-a rugat să ţi-l aduc pe acest tânăr, pentru că are să-ţi spună ceva!” 
ACT.23.19	Comandantul l-a luat de mână, au mers deoparte şi i-a zis: „Ce vrei să-mi spui?” 
ACT.23.20	El i-a răspuns: „Iudeii s-au înţeles să-ţi ceară mâine să-l trimiţi pe Pavel la sinedriu, ca să îl cerceteze mai amănunţit. 
ACT.23.21	Dar tu să nu-i asculţi! Mai mult de patruzeci dintre ei îl pândesc şi s-au legat cu blestem să nu mănânce, nici să nu bea, până nu îl vor ucide, şi acum sunt gata şi aşteaptă încuviinţarea ta.” 
ACT.23.22	Atunci, comandantul i-a dat drumul tânărului şi i-a poruncit „Nu spune nimănui că m-ai anunţat toate aceste lucruri!”
ACT.23.23	Apoi, i-a chemat pe doi dintre centurioni şi le-a zis: „Pregătiţi două sute de soldaţi să meargă la Cezareea, şaptezeci de călăreţi şi două sute de lăncieri, să fie gata la ceasul al treilea din noapte! 
ACT.23.24	Scoateţi şi nişte animale, să-l punem pe Pavel călare şi să-l ducem teafăr la guvernatorul Felix!” 
ACT.23.25	Guvernatorului i-a scris o scrisoare în felul următor: 
ACT.23.26	„Claudius Lisias către prea alesul guvernator Felix, salutare! 
ACT.23.27	M-am dus şi l-am scos pe bărbatul acesta, cu soldaţii, când am aflat că este roman, căci era prins de iudei şi gata să fie omorât de ei. 
ACT.23.28	Am vrut să aflu pentru ce motive îl acuzau şi l-am dus la sinedriul lor, 
ACT.23.29	unde am descoperit că este acuzat pentru o pricină legată de Legea lor, dar nu de vreo vină vrednică de moarte sau lanţuri. 
ACT.23.30	Apoi, fiind înştiinţat că există un complot cu privire la el, ţi l-am trimis imediat, dând poruncă şi acuzatorilor să-ţi spună ce au împotriva lui.”
ACT.23.31	Soldaţii, aşadar, l-au luat noaptea pe Pavel, cum li s-a poruncit, şi l-au dus la Antipatrida, 
ACT.23.32	de unde, a doua zi, i-au lăsat pe călăreţi să meargă cu el, iar ei s-au întors în fortăreaţă. 
ACT.23.33	Aceştia au intrat în Cezareea şi, dând guvernatorului scrisoarea, i l-au înfăţişat şi pe Pavel. 
ACT.23.34	El a citit-o şi l-a întrebat din ce provincie este şi, aflând că este din Cilicia, 
ACT.23.35	i-a zis: „Te voi asculta când vor veni şi acuzatorii tăi.” Şi a poruncit să fie păzit în pretoriul lui Irod.
ACT.24.1	După cinci zile au coborât marele preot Anania şi câţiva bătrâni împreună cu Tertul, un orator; ei s-au înfăţişat la procurator cu plângere împotriva lui Pavel. 
ACT.24.2	După ce l-au chemat şi pe el, Tertul a început să-l acuze zicând: „Multă pace a venit peste noi prin tine, prea puternice Felix, şi multe îndreptări s-au adus neamului acestuia prin grija ta 
ACT.24.3	şi noi le mărturisim în orice fel şi pretutindeni cu toată recunoştinţa. 
ACT.24.4	Dar, ca să nu te obosesc prea mult, ascultă-ne, te rog, pe scurt, în bunăvoinţa ta. 
ACT.24.5	Am descoperit că omul acesta este o pacoste şi stârneşte răzvrătiri printre toţi iudeii din Imperiu, fiind cap al ereziei nazarinenilor. 
ACT.24.6	A încercat să pângărească şi Templul, dar noi l-am prins
ACT.24.8	şi poţi să-l judeci tu însuţi cu privire la toate acestea, ca să afli de ce îl acuzăm.” 
ACT.24.9	Aici toţi iudeii l-au susţinut, spunând că aşa este.
ACT.24.10	Apoi, guvernatorul i-a făcut semn lui Pavel şi el a răspuns: „Ştiu că de mulţi ani eşti judecător peste neamul acesta şi de aceea mă voi apăra cu încredere. 
ACT.24.11	Poţi vedea tu însuţi că nu sunt mai mult de douăsprezece zile de când am urcat la Ierusalim să mă închin 
ACT.24.12	şi nu m-au găsit certându-mă cu cineva, nici răzvrătind mulţimea, nici în Templu, nici în sinagogi, nici în cetate. 
ACT.24.13	Nici nu pot să-ţi dovedească acum lucrurile de care mă acuză. 
ACT.24.14	Cât despre Calea pe care ei o numesc erezie, îţi mărturisesc că aşa mă închin eu Dumnezeului părinţilor mei, crezând toate cele scrise în Lege şi în profeţi 
ACT.24.15	şi având nădejdea în Dumnezeu, pe care şi ei înşişi o aşteaptă, că va veni învierea celor drepţi şi a celor nedrepţi. 
ACT.24.16	Pentru aceasta mă străduiesc şi eu să am întotdeauna conştiinţa curată înaintea lui Dumnezeu şi înaintea oamenilor. 
ACT.24.17	După mai mulţi ani, am venit să aduc milostenii poporului meu şi daruri 
ACT.24.18	şi aşa m-au găsit nişte iudei din Asia, în Templu, după curăţire, fără mulţime şi fără tulburare, 
ACT.24.19	– ei înşişi ar fi trebuit să vină în faţa ta şi să mă acuze, dacă aveau ceva împotriva mea. 
ACT.24.20	Şi chiar şi cei de aici să spună ei înşişi ce vină au găsit când am stat în faţa sinedriului, 
ACT.24.21	afară de strigătul pe care l-am scos când am zis: Pentru învierea morţilor sunt judecat astăzi înaintea voastră!”
ACT.24.22	Dar Felix i-a amânat, cunoscând destul de multe despre Calea aceasta, şi le-a zis: „Când va coborî şi comandantul Lisias, atunci voi hotărî asupra acuzaţiilor voastre!” 
ACT.24.23	I-a poruncit centurionului să-l ţină sub pază pe Pavel, dar să-i dea şi oarecare libertate şi să nu împiedice pe nimeni dintre ai lui să vină şi să-l slujească.
ACT.24.24	După câteva zile, Felix a venit cu Drusila, soţia lui, care era evreică, şi l-a chemat pe Pavel şi l-a ascultat despre credinţa în Hristos Iisus. 
ACT.24.25	În timp ce vorbea el despre îndreptăţire, despre înfrânarea poftelor şi despre judecata viitoare, Felix i-a spus cuprins de frică: „Du-te acum şi, când voi mai avea prilej, te voi chema!” 
ACT.24.26	În acelaşi timp, el spera că Pavel îi va da bani; de aceea îl chema des să-i vorbească.
ACT.24.27	Au trecut astfel doi ani şi în locul lui Felix a venit Porcius Festus; vrând să le facă o favoare iudeilor, Felix l-a lăsat pe Pavel în lanţuri.
ACT.25.1	Astfel, la trei zile după ce a ajuns în provincie, Festus a urcat din Cezareea la Ierusalim. 
ACT.25.2	Marii preoţi şi iudeii de seamă au venit înaintea lui să-l acuze pe Pavel şi l-au rugat 
ACT.25.3	să le facă o favoare şi să-l trimită la Ierusalim; ei însă puneau la cale un complot ca să-l ucidă pe drum. 
ACT.25.4	Dar Festus le-a răspuns că Pavel este păzit în Cezareea şi el însuşi va trebui să plece acolo, cât de curând. 
ACT.25.5	„Cei mai de vază dintre voi”, le-a zis el, „să coboare şi, dacă este ceva nelalocul lui cu acest om, să-l acuze!”
ACT.25.6	Festus a mai stat la ei vreo opt sau zece zile, apoi a coborât la Cezareea, iar în ziua următoare s-a aşezat pe scaunul de judecător şi a poruncit să fie adus Pavel. 
ACT.25.7	Când a sosit, iudeii care coborâseră din Ierusalim l-au înconjurat aducându-i multe învinuiri grele, pe care nu le puteau dovedi. 
ACT.25.8	Pavel s-a apărat: „Eu n-am păcătuit nici împotriva Legii iudeilor, nici împotriva Templului, nici împotriva Cezarului!” 
ACT.25.9	Festus însă, dorind să le facă iudeilor o favoare, i-a răspuns lui Pavel: „Vrei să urci la Ierusalim şi să fii judecat acolo, înaintea mea, cu privire la lucrurile acestea?” 
ACT.25.10	Pavel, atunci, i-a zis: „Eu vreau să stau înaintea scaunului de judecată al Cezarului, acolo trebuie să fiu judecat. Nu le-am greşit cu nimic iudeilor aşa cum bine ştii şi tu. 
ACT.25.11	Iar dacă am greşit şi am făcut ceva vrednic de moarte, nu mi-e teamă să mor; dar, dacă nu este adevărată nici una din acuzaţiile lor, nimeni nu mă poate preda lor. Fac apel la Cezar!” 
ACT.25.12	După ce Festus s-a consultat cu sfetnicii săi, i-a răspuns: „Ai făcut apel la Cezar, înaintea Cezarului vei merge!”
ACT.25.13	După câteva zile, regele Agripa şi Berenice au sosit în Cezareea ca să îl salute pe Festus. 
ACT.25.14	După ce au petrecut multe zile acolo, Festus i-a prezentat regelui lucrurile privitoare la Pavel şi i-a zis: „Omul acesta a fost lăsat de Felix în lanţuri 
ACT.25.15	şi când am fost în Ierusalim s-au înfăţişat marii preoţi şi bătrânii iudeilor cerându-mi să-l condamn. 
ACT.25.16	Le-am răspuns că romanii n-au obiceiul să predea pe cineva înainte ca acuzatul să-şi întâlnească acuzatorii şi să se apere cu privire la învinuiri. 
ACT.25.17	S-au adunat aici, aşadar, şi fără amânare, m-am aşezat pe scaunul de judecător şi am poruncit să fie adus acest om. 
ACT.25.18	Acuzatorii s-au strâns în jurul lui, dar nu i-au adus nici o învinuire gravă, cum m-aş fi aşteptat. 
ACT.25.19	Aveau împotriva lui doar nişte pricini legate de credinţele neamului lor şi de un oarecare Iisus, care a murit, dar despre care Pavel spune că este viu. 
ACT.25.20	Nefiind bine lămurit despre pricinile acestea, l-am întrebat dacă nu ar vrea să meargă la Ierusalim să fie judecat acolo în legătură cu ele. 
ACT.25.21	Însă, dacă Pavel a făcut apel la Cezar, ca să fie păzit şi dus la Împărat pentru judecată, am poruncit să fie pus sub pază până îl voi trimite Cezarului.” 
ACT.25.22	Atunci Agripa i-a spus lui Festus: „Aş vrea să-l ascult şi eu pe omul acesta.” Festus i-a răspuns: „Îl vei auzi chiar mâine.”
ACT.25.23	Astfel, a doua zi, au venit Agripa şi Berenice, cu mare fast, şi au intrat în sala de judecată împreună cu comandanţii şi bărbaţii de frunte ai cetăţii, iar Festus a poruncit să fie adus Pavel. 
ACT.25.24	Festus a spus: „Rege Agripa şi voi toţi, bărbaţi adunaţi aici de faţă, priviţi-l pe acela pentru care toată mulţimea iudeilor m-a implorat şi aici şi în Ierusalim strigând că un astfel de om nu merită să trăiască! 
ACT.25.25	Pentru că eu însumi nu am găsit că ar fi făcut ceva vrednic de moarte şi pentru că el însuşi a cerut să meargă înaintea Împăratului, am hotărât să-l trimit. 
ACT.25.26	Dar, pentru că nu am ce să scriu Împăratului meu, cu limpezime, l-am adus înaintea voastră şi, mai cu seamă, înaintea ta, rege Agripa, ca în urma judecăţii voastre să am ce să scriu. 
ACT.25.27	Căci eu aşa cred, că ar fi lipsit de noimă, să îi trimit un întemniţat fără să arăt şi ce acuzaţii i se aduc.”
ACT.26.1	Agripa i-a spus lui Pavel: „Poţi să-ţi prezinţi apărarea!” Atunci Pavel a întins braţul şi a început să vorbească: 
ACT.26.2	„Rege Agripa, mă socotesc fericit că pot să mă apăr astăzi înaintea ta cu privire la toate acuzaţiile iudeilor, 
ACT.26.3	pentru că tu le cunoşti foarte bine toate obiceiurile şi certurile. De aceea, te rog, fii îngăduitor şi ascultă-mă! 
ACT.26.4	Viaţa mea, încă din primele zile ale tinereţii mele, în neamul meu şi în Ierusalim, este cunoscută de toţi iudeii. 
ACT.26.5	Ei mă ştiu de multă vreme, dacă vor să dea mărturie, căci am trăit ca fariseu în cea mai strictă grupare a religiei noastre. 
ACT.26.6	Şi acum stau aici să fiu judecat pentru nădejdea făgăduinţei făcute de Dumnezeu părinţilor noştri, 
ACT.26.7	pentru care cele douăsprezece seminţii ale noastre slujesc fără încetare, zi şi noapte, nădăjduind să ajungă la ea. Pentru această nădejde sunt eu acuzat de iudei, o, rege Agripa! 
ACT.26.8	De ce vă gândiţi că e de necrezut ca Dumnezeu să învie morţii? 
ACT.26.9	Şi eu, e adevărat, credeam că trebuie să fac multe împotriva Numelui lui Iisus din Nazaret 
ACT.26.10	şi chiar am făcut în Ierusalim, când i-am închis în temniţă pe mulţi dintre sfinţi cu puterea primită de la marii preoţi, când mi-am dat şi eu încuviinţarea să fie ucişi. 
ACT.26.11	I-am pedepsit adesea în toate sinagogile, îi sileam să blesteme şi, tot mai aprins de furie, îi urmăream până şi în cetăţile din afara ţării.
ACT.26.12	Aşa am ajuns să călătoresc chiar şi la Damasc cu putere şi scrisori de la marii preoţi, când, 
ACT.26.13	la amiază, am văzut pe drum o lumină din cer mai strălucitoare decât a soarelui, o, rege, care a luminat împrejurul meu şi împrejurul tovarăşilor mei de drum. 
ACT.26.14	Am căzut cu toţii la pământ iar eu am auzit un glas care îmi zicea în limba ebraică: Saule, Saule, pentru ce mă persecuţi? E greu, nu-i aşa, să loveşti cu piciorul în vârful unei ţepuşe! 
ACT.26.15	Eu i-am răspuns: Cine eşti tu, Doamne? iar el mi-a zis: Eu sunt Iisus, pe care tu îl prigoneşti. 
ACT.26.16	Dar, scoală-te şi stai în picioare; m-am arătat ţie ca să te pun slujitor şi martor al meu aşa cum m-ai văzut acum şi cum mă vei mai vedea. 
ACT.26.17	Te voi alege din mijlocul poporului tău şi te voi scăpa de neamurile la care te trimit 
ACT.26.18	ca să le deschizi ochii, să se întoarcă de la întuneric la lumină şi de sub puterea Satanei la Dumnezeu, ca să primească iertarea păcatelor şi moştenirea împreună cu cei sfinţiţi prin credinţa în Mine.
ACT.26.19	Ca urmare, rege Agripa, nu am vrut să nu ascult de viziunea cerească, 
ACT.26.20	ci le-am vestit să se pocăiască, să se întoarcă la Dumnezeu şi să facă fapte vrednice de pocăinţă, mai întâi celor din Damasc, apoi celor din Ierusalim şi celor din toată ţara Iudeii, ca şi neamurilor. 
ACT.26.21	Din cauza aceasta iudeii m-au prins pe când eram în Templu şi au încercat să mă ucidă. 
ACT.26.22	Dar, fiind ajutat de Dumnezeu până în ziua aceasta, am ajuns să stau ca martor înaintea celor mici şi a celor mari, fără să spun nimic altceva decât că ceea ce au spus profeţii şi Moise, se va împlini: 
ACT.26.23	Hristosul avea să pătimească şi să învie cel dintâi dintre cei morţi şi să vestească lumină poporului şi neamurilor!”
ACT.26.24	Pe când Pavel se apăra astfel, Festus i-a zis cu glas puternic: „Pavel, ţi-ai ieşit din minţi! Învăţătura ta multă te duce la nebunie!” 
ACT.26.25	Iar Pavel i-a spus: „Nu mi-am ieşit din minţi, preaputernice Festus, ci rostesc cuvinte adevărate şi cumpătate. 
ACT.26.26	De fapt, regele cunoaşte lucrurile acestea şi de aceea am vorbit cu îndrăzneală înaintea lui, fiind convins că nimic nu îi este străin, pentru că nimic din toate acestea nu s-a întâmplat într-un colţ uitat de lume! 
ACT.26.27	Crezi tu în profeţi, rege Agripa? Ştiu sigur că da!” 
ACT.26.28	Iar Agripa i-a răspuns: „Încă puţin şi mă vei convinge să devin şi creştin!” 
ACT.26.29	Iar Pavel i-a zis: „Puţin sau mult, oricum ar fi, eu mă rog lui Dumnezeu ca nu numai tu, ci toţi cei ce mă ascultă astăzi să fie aşa ca mine, dar fără lanţurile acestea!”
ACT.26.30	Atunci regele s-a ridicat, iar cu el şi guvernatorul. Tot aşa, Berenice şi toţi cei ce fuseseră aşezaţi împreună cu ei. 
ACT.26.31	Pe când se îndepărtau, au început să discute unii cu alţii şi ziceau: „Omul acesta n-a făcut nimic vrednic de moarte sau de lanţuri.” 
ACT.26.32	Agripa i-a spus lui Festus: „I s-ar fi putut da drumul omului acestuia, dacă nu făcea apel la Cezar.”
ACT.27.1	Când s-a hotărât să plecăm pe mare spre Italia, Pavel şi alţi câţiva întemniţaţi au fost daţi în grija unui centurion numit Iulius, din cohorta numită Imperială. 
ACT.27.2	La Adramit, ne-am urcat într-o corabie care urma să plece în ţinuturile Asiei şi ne-am pornit la drum, cu noi fiind şi Aristarh Macedoneanul, din Tesalonic. 
ACT.27.3	A doua zi am ajuns la Sidon, iar Iulius, purtându-se cu omenie faţă de Pavel, i-a îngăduit să meargă la prietenii lui, ca să aibă grijă de el. 
ACT.27.4	Am părăsit apoi locul acela şi, din cauză că vânturile băteau împotrivă, am pornit să navigăm pe lângă Cipru. 
ACT.27.5	După ce am străbătut marea Ciliciei şi Pamfiliei am ajuns la Mira, în Licia. 
ACT.27.6	Aici, centurionul a găsit o corabie alexandrină care pleca în Italia şi ne-a îmbarcat pe ea. 
ACT.27.7	Am mers foarte încet vreme de mai multe zile, până ce, cu multă greutate, am ajuns la Cnid; fiindcă vântul nu ne slăbea, am navigat de-a lungul Cretei, pe lângă Salmona, 
ACT.27.8	am trecut foarte greu de ea şi am sosit într-un loc numit Portul Bun, în apropierea căruia era cetatea Lasea.
ACT.27.9	Trecuse destul de mult timp şi călătoria devenise nesigură, trecuserăm chiar şi de vremea postului, şi din cauza aceasta, Pavel i-a sfătuit aşa: 
ACT.27.10	„Oameni buni, după cum văd eu, drumul acesta va fi dificil şi cu multe pierderi, nu numai pentru încărcătură şi pentru corabie, dar şi pentru vieţile noastre.” 
ACT.27.11	Centurionul a ascultat însă mai mult de căpitanul corăbiei şi de stăpânul ei, decât de vorbele lui Pavel. 
ACT.27.12	Şi, cum portul nu era bun de iernat, majoritatea au hotărât să plece de acolo şi, dacă se poate, să ajungă să ierneze în Fenix, un port aşezat cu faţa spre nord-vest şi sud-vest.
ACT.27.13	Începuse să sufle un vânt slab din sud, iar ei s-au gândit că îşi vor putea îndeplini planul; au ridicat ancora şi au pornit să navigheze de-a lungul Cretei, aproape de ţărm. 
ACT.27.14	Nu după mult timp însă, a pornit să sufle dinspre Creta Euraculon, un vânt puternic ca un uragan. 
ACT.27.15	Corabia a fost prinsă de furtună şi, nemaiputând face faţă, ne-am lăsat duşi în voia vântului. 
ACT.27.16	Am trecut repede pe lângă capul unei insule mici, numite Cauda, şi cu greu am putut păstra barca de salvare. 
ACT.27.17	Au ridicat-o şi au încins apoi corabia cu funii ajutătoare, pe dedesubt. Pentru că se temeau să nu fie împinşi spre nisipurile Sirtei, au coborât pânzele şi s-au lăsat aşa, duşi de vânt. 
ACT.27.18	Eram izbiţi puternic de valuri şi, astfel, a doua zi au început să arunce încărcătura corăbiei. 
ACT.27.19	În a treia zi au aruncat cu mâinile lor şi uneltele corăbiei. 
ACT.27.20	Cum nu se mai văzuseră nici soarele nici stelele, de mai multe zile, iar furtuna era tot mai ameninţătoare, am ajuns să pierdem orice speranţă de scăpare.
ACT.27.21	Oamenii erau flămânzi de mai multe zile şi atunci Pavel s-a ridicat în mijlocul lor şi le-a zis: „Oameni buni, trebuia să mă ascultaţi şi să nu plecăm din Creta şi am fi fost scutiţi acum de necazul acesta şi de pierderi. 
ACT.27.22	Dar vă îndemn: fiţi cu inimă bună! Nu vom pierde nimic, doar corabia, nici un suflet omenesc nu va pieri dintre noi. 
ACT.27.23	Căci în noaptea aceasta mi s-a arătat un înger al lui Dumnezeu, al Dumnezeului căruia mă închin eu şi al căruia sunt, 
ACT.27.24	şi el mi-a zis: Pavel, nu te teme, tu trebuie să te înfăţişezi înaintea Cezarului şi, iată, Dumnezeu îţi dăruieşte viaţa tuturor celor ce sunt pe corabie împreună cu tine! 
ACT.27.25	De aceea, prindeţi curaj, oameni buni! Eu mă încred în Dumnezeu că va fi, cu-adevărat, aşa cum mi-a spus El. 
ACT.27.26	Şi, iată, trebuie să dăm de vreo insulă!”
ACT.27.27	Era a paisprezecea noapte de când eram purtaţi de vânt prin Adriatica şi, pe la miezul nopţii, corăbierii au simţit că se apropie de pământ. 
ACT.27.28	Au aruncat frânghia şi au măsurat treizeci şi şapte de metri, apoi au navigat mai departe şi au măsurat din nou, găsind douăzeci şi şapte de metri. 
ACT.27.29	Temându-se să nu se izbească de stânci corabia, au aruncat patru ancore la pupa şi se rugau să se facă ziuă. 
ACT.27.30	Corăbierii au încercat să fugă din corabie şi coborau barca de salvare, sub motiv că vor să arunce ancorele şi la prora. 
ACT.27.31	Atunci Pavel a zis centurionului şi soldaţilor: „Dacă aceşti oameni nu rămân în corabie, nu puteţi fi salvaţi!”, 
ACT.27.32	iar soldaţii au tăiat funiile bărcii de salvare şi au lăsat-o să cadă.
ACT.27.33	Înainte de ivirea zorilor, Pavel i-a sfătuit pe toţi să mănânce şi le-a zis: „Astăzi este a paisprezecea zi de când continuaţi să vă îngrijoraţi şi nu aţi mâncat nimic. 
ACT.27.34	De aceea, vă rog, luaţi ceva de mâncare, căci va fi spre salvarea voastră şi nici un fir de păr nu vi se va pierde, nici unuia dintre voi.” 
ACT.27.35	Zicându-le acestea, a luat pâinea, a mulţumit lui Dumnezeu în faţa tuturor, a frânt-o şi a început să mănânce. 
ACT.27.36	Toţi au fost încurajaţi şi au mâncat. 
ACT.27.37	Cu toţii, eram în corabie două sute şaptezeci şi şase de suflete. 
ACT.27.38	După ce s-au săturat, au uşurat corabia aruncând grâul în mare, peste bord.
ACT.27.39	Când s-a făcut ziuă, nu vedeau încă pământul, dar unii au recunoscut un golf cu maluri nisipoase şi doreau să poată ajunge acolo cu corabia. 
ACT.27.40	Au dezlegat ancorele, lăsându-le în mare şi, în acelaşi timp, au desfăcut funiile cârmei, au înălţat pânza mică în bătaia vântului şi au început să se îndrepte spre ţărm. 
ACT.27.41	Au ajuns însă pe un val de nisip, între doi curenţi, iar corabia s-a înţepenit. Prora s-a înfipt în nisip şi a rămas nemişcată, iar pupa se sfărâma sub loviturile valurilor. 
ACT.27.42	Soldaţii s-au sfătuit atunci să-i ucidă pe cei întemniţaţi, ca să nu scape vreunul prin înot. 
ACT.27.43	Dar centurionul, vrând să-l scape pe Pavel, i-a împiedicat şi a poruncit ca cei ce pot înota să se arunce în apă şi să ajungă primii la ţărm. 
ACT.27.44	Cei rămaşi s-au pus unii pe scânduri şi alţii pe alte resturi ale corăbiei şi, astfel, până la urmă, s-au salvat toţi şi au ajuns la ţărm.
ACT.28.1	După ce au scăpat, au aflat că numele insulei era Malta. 
ACT.28.2	Locuitorii ei, barbarii, ne-au primit cu o prietenie deosebită, aprinzând un foc şi invitându-ne pe toţi să stăm în jurul lui, pentru că ploua şi era frig. 
ACT.28.3	Pavel strânsese o grămadă de crengi şi le arunca în foc, când, din cauza căldurii, a ieşit o viperă şi s-a agăţat de mâna lui. 
