GEN.1.1	Ti kucangtsi ti Rimam mam apupwen ti riben, 
MAT.15.23	Yesu ri-wu ira iki te unda wu be. Ande ti imbyi-wu ru ba tu wu u jwam wu baa, “Tē unda wune ru ike, awu ku taen ira putsa ti ti umbyi.” 
MAT.15.24	Yesu ri te ba baa, “A tom me ba nyáng uwog aba iwen ti yagtita, ande ti Isirela.”
MAT.15.25	Ama unda wu ru ba ku riben uwe-wu u jwam wu baa, “Itsekuru-m, ndeya m.” 
MAT.15.26	Yesu sunn wu ira baa, “I nyang-yi ti a u sa wuci anyisu tinying u sa jwunnsi na mbapxu be.” 
MAT.15.27	Unda wu cwe baa, “Kubenti Itsekuru-m, amaa, mbapxu ku ndeye ti yi ci amumunn wuci ti ku jwunnsi afxen tebur itsekuru-ba.” 
MAT.15.28	Yesu ri te wu baa, “Uwae kinjo-fu ko. Iken ti afu ku sha, a u nde na fu.” Ti ira unju, umbae unda wu nwangru uwae ira rijwen titibi-wu.
MAT.15.29	Yesu nwunn atang u putsa unju uyinn ti Galili ku ru. Uwog iki, awu tso yi kibab rikwen ka som atang. 
MAT.15.30	Ande yang-ba akwen ru ba uwog-wu te ande ti kicaeb. Ande ti pxib afxen, ande ti mbub ayib, ande ti faekyi afxen ti ajwo, ande ti tsi unju, ande ti acaeb ti tsotso, a pu ba ba som afxen Yesu. Awu nwangru ba. 
MAT.15.31	Ayib fur ande ti funn atang risu kiye ti aba sae ande ti tsi unju ku ri ira, ande ti pxib afxen ku kyang ikyin, ande ti faekyi afxen te ajwo nwangru, ande ti mbub ayib ku sae uwog. Aba teb Rimam na Isirela.
MAT.15.32	Yesu kunn byir ande ti imbyi-wu u ri te ba baa, “Ame ku nung risi ande bane, ikyaen ti, a ta te me ka pu ba usir ita tine a ci-ba wuci iki be. Ame ku sha-m ti m tē ba ru ti rimenn rishwu be, be rikob u ye ba fengo.” 
MAT.15.33	Ande ti imbyi-wu rang wu baa, “Ati u tu wuci aka uwae kutur khika ike ti ati u pu na ande ba?” 
MAT.15.34	Yesu rang ba baa, “Ani ta te abyi buredi imwa?” A ri te wu baa, “Abyi buredi itsongfaen ti iwag kpang.” 
MAT.15.35	Yesu ri te ande ba ti a na som riben. 
MAT.15.36	Isim ti ande ba som mam pu ba riben, awu sa abyi buredi itsongfaen te iwag yine u nde fxaefa na Rimam, u nyangta yi u pu na ande-wu. Aba ama kan na ande ba ti som atang. 
MAT.15.37	Meme ande ba ci u num. Ande Yesu byir amumunn-yi munn ijwe atyika itsongfaen. 
MAT.15.38	Ujwunn ande ti ci wuci yine si kumbub inje, a pwen anda ti anyisu fa-ba atang be.
MAT.15.39	Isim yine Yesu tē ande ba, u sang uwae kuyae ru yi uwae uten ti Magadan.
MAT.16.1	Ande ndufu iki ti kumbub Farisi ti kumbub Saduke ru ba uwog Yesu. Aba ku sha ti a u ye Yesu ti riraen. Ikyaen yine aba ri te wu ti wu na nde wande ti fur ayib ti a na u nung baa, ko Rimam ti na tom wu ru ba bara. 
MAT.16.2	Ama Yesu ri te ba baa, “Kiye ti usir a si ku te, ani ku ri baa, ucwe upwen u tsa-wu be ikyaen ti, apwa apupwen bibyaen. 
MAT.16.3	Kiye iki ama, kiskinn fifae ti usir a pur ku tso, asiti apwa apupwen a jwom u bibyaen, ani ku ri baa, ‘Upwen u tsa yaka ne.’ Ani nung pu ni ti ni u ri baa, usir na u tsi ko upwen na u tsa. Amaa, iken ku nde uwae utense ike tine ti ku tatso iken ti u ba uwe, ama, ani nungye-ni ayi be. 
MAT.16.4	Ani ande titibi ti kiyuku ne ti pyir pu ni ira Rimam, ani ku ri baa, ame na tatso ni iken ti ku fur ayib ané? Iyee, ame u tatso-m ani be. Wande ti ku fur ayib ti ame u tatso ni si nyang ana Jona amam.” Isim yine Yesu ya ba ta atang u kyang ikyin-wu ru.
MAT.16.5	Kiye ti ande na Yesu yen ru ka sang ukunn akwen uyinn, a tangsom ti a ye su-ba buredi be. 
MAT.16.6	Yesu ri te ba baa, “Ni nung afxen-ni nyinyang riben ti yisiti na ande ti kumbub Farisi ti Saduke.” 
MAT.16.7	Ande ti imbyi Yesu sang ira ti ti ri te atso baa, “Iki be awu ku ri ira yine ikyaen ti, ati ye su-ti buredi be.”
MAT.16.8	Yesu nung mam pu wu ira ti aba ku ri te atso u ri te ba baa, “Ani nde rimang ku ri ira yine te atso risu buredi ti ani ye su-ni be? Ani nde rimang ru-ni uwae kinjo be? 
MAT.16.9	Ani nungye-ni khika be a. Ani tangsom-ni te kiye ti ame nyangta abyi buredi itsong u kan na ande kumbub itsong be a. Atyika imwa ti ani byir amumunn-yi munn atang? 
MAT.16.10	Abyi buredi itsongfaen ti ame nyangta u kan na ande kumbub inje ama re? Atyika imwa ti ani byir amumunn-yi si munn atang? 
MAT.16.11	Kiye ti ame ri baa, ni na nung afxen-ni riben nyinyang ti yisiti na ande ti kumbub Farisi ti Saduke, ame ri-m ira risu buredi be. Ani kyang rimang nungye-ni ira yine be? Ni nung ijwe-ni nyinyang te ande ti kumbub Farisi ti kumbub Saduke. Aba si pangma yisiti uwae buredi.” 
MAT.16.12	Tiri ande Yesu nungye baa, awu na ku ri-wu ira risu yisiti ti ku ndub buredi be, awu na ku ri te ba ira risu iken ti kwen na ande ti kumbub Farisi ti kumbub Saduke.
MAT.16.13	Kiye ti Yesu ru yi uten ti Kaisariya ti ta uten Filipi, awu rang atugbug-wu baa, “Ande ku ri baa, Umbae Unde na si aye?” 
MAT.16.14	A ri te wu baa, “Ariki ku ri baa, afu na si Yohana ti ku nde batisma. Ariki ku ri baa, afu na si Eliya, ariki ama ku ri baa, afu na si Irimiya ko kinjo uwae ande ti ya iskin ira Rimam ti kute.” 
MAT.16.15	Yesu rang kyi ba baa, “Ani ama re, ani ri baa, ame na si aye?” 
MAT.16.16	Siman Bitrus ri te wu baa, “Afu si Unde ti Rimam Tsab Tsi ti wu nwangru utense. Afu si Umbae Rimam, Rimam ti site unyang.” 
MAT.16.17	Yesu ri te wu baa, “Siman umbae Yohana, itinyang si ana-fu, ikyaen ti, ayi si-yi unde iki ti tatso fu ira yine be, ayi ruye uwog Itse-m ti ta apupwen. 
MAT.16.18	Ikyaen yine ame ku ri te fu, afu si Bitrus,
MAT.16.19	Ame u nda fu iken ti ku mbub ufu kusog ana Kujwokwe Rimam. Ira ti afu a shaen riben ike, a u shaen yi apupwen akwen ama. Ira ti afu a cwe riben ike, a u cwe yi apupwen akwen ama.” 
MAT.16.20	Isim yine, Yesu fwa atugbug-wu kusen baa, a na ri te-ba unde iki baa, awu na si Unde ti Rimam Tsab Tsi be.
MAT.16.21	I tsi kiye wune ru yi uwe Yesu bag ira ti ri paenine te atugbug-wu baa, awu na u ru yi Urushelima ama u ngwa rikaen ti tsotso kujwo ande ndufu ti akwen tiyang ti ande ti ku kwen na ande icwe. Ande na u wen wu. Usir ti fa ti ita, awu na u nwunn ti unyang. 
MAT.16.22	Bitrus pu ra Yesu ru iyen kyab u ka fwan wu kubyag baa, “Itsekuru, Rimam ā nde-wu ti ira yine ā tu fu be. Ira yine u tu-yi afu be.” 
MAT.16.23	Yesu kafe uwe u ri te Bitrus baa, “Afu Shetann, ko ru ru uwe-m ike! Afu si ukum ti cekyi fengo-m, ikyaen ti, ira ti kab-fu yine si ana unde, i si-yi ana Rimam be.”
MAT.16.24	Isim yine Yesu ri te atugbug-wu baa, “Asiti unde iki a sha ti wu u putsa m, awu ā munnji te ira ti si ana-wu ti risu-wu, awu ā ye kutuku ti cice-wu tso ukwae-wu, ti awu ā putsa m. 
MAT.16.25	Ikyaen ti, unde ti a ku sha ti wu na u nwangru unyang-wu, awu u shanum unyang-wu, amaa, unde ti a shanum unyang-wu ikyaen-m, awu u tu unyang-wu. 
MAT.16.26	Imi ti unde u tu asiti awu a tu tag iken ti ta utense meme u shanum te unyang-wu? Imi ti unde u sa fi ti wu tu unyang-wu? 
MAT.16.27	I kyang ku yaen pu yi ti Umbae Unde u ru ba uwae kuko ti riyinn na Itse-wu. Atom Rimam ti apupwen te wu u ba tetso. Awu a ba pu wu, awu u ba pae unde titini kujwofwa wande ti awu nde. 
MAT.16.28	Ame ku ri te ni kubenti baa, ariki ta uwae-ni ike ti u cwu-ba be se iken ti aba a nung Umbae Unde a si ku ba yi Kujwokwe-wu.”
MAT.17.1	Isim usir itsongnjo Yesu pu Bitrus te Yakubu te inja-wu Yohana tso yi kitaen rikwen iki ti rikob ka som atang aba amam. 
MAT.17.2	Ama ijwe Yesu kafife. Kutxuwe-wu kafe titsen u ku jaen ku wurwur pangma usir, atupwa-wu ama tsen porr. 
MAT.17.3	Ti ritsen ti aba u nunung, Eliya ti Musa si ba te Yesu ku ri ira. 
MAT.17.4	Ama Bitrus ri te Yesu baa, “Itsekuru, ayi nyang ti ati ta ike. Nee afu a cwe, ame u kyae afug ita rikwen ike, kinjo ikyaen-fu, kinjo ikyaen Musa kinjo ama u si ikyaen Eliya.” 
MAT.17.5	Ti Bitrus ku ri ira yine, kutakujwujwu si ba ta kyi ba. Kutakujwujwu wune jaen wurwur. Aba fxen afxenjwin uwae kutakujwujwu wu baa, “Awune si Umbae-m ti ame site ure te wu. Ame ku tsen utob te wu. Ni fxen wu.” 
MAT.17.6	Kiye ti atugbug na Yesu fxen afxenjwin wune, ikyenricwu ye ba timambe, aba pu uwe-ba si ka bur riben. 
MAT.17.7	Yesu ru ba tu ba u sa kujwo tekunn ba u ri baa, “Ni sunwunn ritsen! Ni kyen-ni ikyenricwu be!” 
MAT.17.8	Ti aba sae ayib tso ritsen, a nung-ba unde iki atang cwucwo be, se Yesu amam.
MAT.17.9	Kiye ti aba sī kitaen rikwen atang ku ba Yesu fwa ba kusen baa, “Ni ri te-ni unde iki ira risu iken yi ti ani nung kitaen rikwen be, se iken ti Umbae Unde a shwur pu wu uwae iticwu itawe.” 
MAT.17.10	Aba rang wu baa, “Ande ti ku kwen na ande Icwe kyang rimang ku ri baa, Eliya na u ba titawe?” 
MAT.17.11	Yesu ri te ba baa, “I si kubenti ti a bae baa, Eliya na u ba ti wu na kyae iken meme tsi ku jiji. 
MAT.17.12	Amaa, ame ku ri te ni kubenti, Eliya ba mam pu wu, ama ande nungye-ba awu be. A sae ru wu u nde iken ti aba ku sha te wu. Ti mbwe-yi ama, a u nde Umbae Unde rikaen ama.” 
MAT.17.13	Tiri aba nungye baa, awu na ku sunn ira risu Yohana ti ku nde batisma.
MAT.17.14	Kiye ti Yesu ti atugbug-wu ita kafe si ba tu atugbug ti tsitsi meme, unde iki ru ba ku riben uwe Yesu 
MAT.17.15	u ri te wu baa, “Itsekuru, sae umbae-m te ayibrisi. Kicaeb kiku ku nde wu ira, awu ku ngwa rikaen timambe. Awu ku jwunnsi kob uwae urwa ko uwae ambyi. 
MAT.17.16	Ame pu wu ba tu atugbug-fu, amaa a nwangru-ba wu be.” 
MAT.17.17	Yesu ri te ba baa, “Ani ande ti kiyuku kwen utob, u kpag risu. Ame u som te ni ba kwer isinn? Ame u ye utob te ni ba kwer isinn? Ni pu umbae wu ba na m ike.” 
MAT.17.18	Yesu fwan rijwen titibi wu kibyag, ama awu ruye yi rimenn umbae wu. Ama ti ritsen, umbae wu tu itinwangru uwae kicaeb kiku-wu.
MAT.17.19	Isim yine atugbug na Yesu tam ba tu wu u rang wu baa, “Imi ti nde nee ati jae ruye tu-ti rijwen titibi yi be?” 
MAT.17.20	Yesu ri te ba baa, “Ikyaen uwae kinjo-ni ti ko-yi be. Ame ku ri te ni kubenti, á baa ani na site uwae kinjo ti ko pangma riyaen isinn musita ti yib siskeb, ani ú ndeye ti ni ri te rikwen ne baa, ‘Nwunn ru ike ka tsi akwen,’ awu u nwunn ru. Asiti ani a ru uwae kinjo, ani u nde tu iken meme
MAT.17.22	Kiye ti atugbug ba byir tag yi uten Galili, Yesu ri te ba baa, “Kiye pang ku pu wu ti a u sa Umbae Unde fa si kujwo ande. 
MAT.17.23	A u wen wu, ama usir ti ita, awu u nwunn ti unyang.” Ti atugbug ba fxen ira yine, utob-ba ndembeb.
MAT.17.24	Kiye ti Yesu ti atugbug-wu ba sang uten Kaparnawum, ande ti ku mbe aser ukwē yi kusog Rimam ba tu Bitrus u rang wu baa, “Unde ti uwe-ni ku pae aser ukwē ti a ku kwē kusog Rimam a.” 
MAT.17.25	Awu ri baa, “Een awu ku pae.” Ama kiye ti Bitrus sang ka uwae kusog, Yesu tawe rang baa, “Siman, afu ku kab baa imi? Yi kujwo aye ti abikwe na utense ku mbe aser ukwe? Yi kujwo anyisu-ba ree, re yi kujwo ande ti rikyen?” 
MAT.17.26	Kiye ti Bitrus ri baa, “Kujwo ande ti rikyen.” Tiri Yesu ri baa, “Ayi a si ahan, ande ti uten u pae-ba aser ukwe be. 
MAT.17.27	Amaa, ati ku sha-ti ti ti u nda ande bane ndembeb utob te ti be. Ikyaen yine, ru yi uwae unyim ti ta ishir. Iwag ti afu a shir tso ti kucang, afu a sa kujwo si unju-wu, afu u tu riyaen aser. Sa ka pae na ba ikyaen-fu te m.”
MAT.18.1	Uwae kiye wune atugbug na Yesu ba tu wu u rang wu baa, “Unde ti ko siskeb uwae Kujwokwe Rimam ti apupwen si aye.” 
MAT.18.2	Yesu kunn ra umbae ti kitinying iki u sa wu tsi uwe-ba 
MAT.18.3	u ri baa, “Kubenti ti ame ku ri te ni, asiti ani a kafe utob-ni u sa ijwe-ni tsi-ni pangma anyisu tinying be, ani u sang-ni kujwokwe Rimam be. 
MAT.18.4	Unde ti sa risu nae riben pangma umbae wune, awu ti si unde ti ko siskeb uwae Kujwokwe Rimam ti apupwen. 
MAT.18.5	Unde ti a kyangte umbae ti kitinying pangma awune uwae rinyi-m, awu kyangte m.
MAT.18.6	“Amaa, unde ti a kyaefa kinjo uwae anyisu tinying bane ti ru uwae kinjo uwog-m u nda wu jwunnsi, ayi nyang skeb uwog unde wu ti a ú sa umbae ricwo tiyang kya fa wu ti ukwae ti awu ā ngwa cwu uwae uyinn. 
MAT.18.7	Ayae ande ti utense ikyaen iken ti u nda ande kyen kufxen fengo Rimam! Ande u tu kang iken ti ku kyen kufxen utense ike, amaa ayae unde ti u shir kufxen ti kyen yi ba.
MAT.18.8	“Asiti kujwo-fu ko kufxen-fu a nda fu ti fu nde ikentitibi, kum ra wu ru ti sa jwunn tika. I nyang skeb ti afu u shanum te ajwo ti afxen ti fu sang unyang ti ti afu u site afxen te ajwo u ru ka sang uwae urwa ti ku ten ku jim-wu jim be. 
MAT.18.9	Asiti riyib-fu a ku sha ti wu u nda fu nde ikentitibi, wag ra wu ruye ti sa jwunn tika. I nyang skeb ti fu u shanum te riyib kinjo u sang unyang ti ti afu u site ayib ifaen u sang uwae urwa ti ku ten ku jim-wu jim be.”
MAT.18.10	“Ni sae ru-ni ko kinjo uwae anyisu tinying bane be. Ame ku ri te ni baa, aba na site atom-ba ti apupwen ti ku sae uwe Itse-m ti ta apupwen.
MAT.18.12	“Ani nung rimang? Asiti unde iki a site mbawen mae itsong, kinjo a yag ta uwae-yi, awu u nde rimang? Awu u ter ya mae inje ka mbe rijwe asu itsongnje ti tsitsi ta ibaen rikwen u ru ka sha awu ti yagtita, be a. 
MAT.18.13	Kiye ti awu a tu pu awu ama, kubenti, awu ku tsen utob risu-wu skeb pu wu ti awu u tsen risu mae inje ka mbe rijwe asu itsongnje ti tsitsi ti yag ta-ba ta be. 
MAT.18.14	I si ahan ama, Itse-m ti ta apupwen ku sha-wu ti uriki uwae anyisu bane na yagta be.
MAT.18.15	“Asiti inja-fu a raen fu ira, ru ka tu wu ti tatso wu riraen-wu. Amaa nde yi uwae kitam, kutampwa-fu te awu amam. Asiti awu a fxen fu, afu tu pu fu inja-fu ti atang. 
MAT.18.16	Amaa asiti awu a shaen-wu ti wu u fxen fu, sha unde kinjo ko ifaen fwa ijwe-fu, ikyaen ti ande ba ā fxen ira ti inja-fu wu raen meme, pangma ti a bae baa, unde a raen ira, ande ifaen ko ita na fxen yi titawe. 
MAT.18.17	Asiti awu a fxen-wu ande bane be, sa ira yi tsag te andufu uwae kumbub ande na Rimam. Asiti awu a fxen-wu andufu be, ni sa wu tsi pangma unde ti nung-wu Rimam be ko unde ti ku mbe aser ukwe.
MAT.18.18	“Kubenti ti ame ku ri te ni, iken ti ani a shaen riben ike, a shaen pu ba ayi apupwen akwen ama. Iken ti ani a cwe riben ike, a cwe pu ba ayi apupwen akwen ama. 
MAT.18.19	Cwucwo ame ku ri te ni, asiti ande ifaen uwae-ni a yer unju risu iken iki ti aba jwam uwog Rimam riben ike, awu Itse-m ti ta apupwen u nde na ba iken yi. 
MAT.18.20	Ikyaen ti, uwog ti ande ifaen ko ande ita a byir atso uwae rinyi-m, ame te ba som te atso.”
MAT.18.21	Ama Bitrus ye ra unju tso u rang Yesu baa, “Itsekuru-m, ame u yata na inja-m atsepu imwa asiti awu a nde m ikentitibi? Atsepu itsongfaen a?” 
MAT.18.22	Yesu ri te wu baa, “Iyee! Ayi si-yi atsepu itsongfaen be. I si atsepu mae ita mbe rijwe asu itsongfaen. 
MAT.18.23	Ikyaen ti, a ku myae Kujwokwe Rimam ti apupwen te ukwe iki ti ku sha ti wu u pwen aser ti awu ku putsa apyi-wu. 
MAT.18.24	Ti awu sang aser yi ti ti pwen, a shir unde iki uwae-ba sang ba tu wu. Ukwe ku putsa unde wu ripab zinariya kumbub rijwe.
MAT.18.25	Unde wu site-wu aser ti awu u pae ripab yi be. Ikyaen yine ukwe wu ri baa, a na sa unde wu te uwa-wu, te anyisu-wu, te iken ti awu site yi kujwo meme jabci ikyaen ti wu pae aser yi. 
MAT.18.26	Ama unde wune ku riben uwe itsekuru-wu u jwam wu baa, ‘Ame mbyae ajwo, ya ta na m, ame u pae pu m afu!’ 
MAT.18.27	Ama itsekuru-wu nung risi-wu u ya ta na wu aser yi meme.
MAT.18.28	“Upyi wune nwunn u ruye ka tu inja-wu iki ti si upyi ama. Unde wune ci ripab uwog upyi ti kucang dinari ukob kinjo.
MAT.18.29	Upyi wune si ku riben u jwam inja-wu baa, ‘M mbyae ajwo, ya ta na m, ame u pae pu m afu.’ 
MAT.18.30	Amaa awu shaen tag u ye unde ti ripab-wu ru ka sang pursuna u ri te wu baa, se iken ti awu na ā pae pu wu titawe awu na u ruye.
MAT.18.31	“Kiye ti apyi ti tsitsi fxen ira yine, utob-ba ndembeb. Aba nwunn ru ka tu itsekuru-ba u ri te wu ira yi meme. 
MAT.18.32	Ukwe wu kunn unde wu sang ba u ri te wu baa, ‘Afu upyi titibi, ame ya ta na fu meme aser ti ame ku putsa fu, ikyaen ti, afu jwam m baa, ame na ya ta na fu. 
MAT.18.33	Ama afu u sae-fu risi inja-fu pangma ti ame sae risi-fu be a.’ 
MAT.18.34	Itsekuru-wu tso rinae u sa wu cwunn pursuna se kiye ti awu na a pae tag pu wu ripab ti ta risu-wu.
MAT.18.35	“Ayine si iken ti Itse-m ti ta apupwen u nde te unde titini uwae-ni, asiti ani a ku ya ta na-ni atso ikentitibi-ni ti utob-ni kinjo be.”
MAT.19.1	Kiye ti Yesu ri tag ira yine, awu nwunn uten Galili u kafe ru ti yi uten ti Yawudiya, ukunn akwen unyim ti Yordan. 
MAT.19.2	Ande kuko tum atso putsa wu, awu ama ku nwangru ba uwae acaeb-ba.
MAT.19.3	Ande ti kumbub Farisi ru ba myae wu kumyae u ri baa, “Uwog-fu, i nyang ti unde ā fxae iben-wu te uwa-wu, asiti awu a ku sha a?” 
MAT.19.4	Yesu rang ama baa, “Ani fxen-ni ira ti a bae uwae Kutsingken Rimam be a. Ti kucang ti Rimam kyae ande, awu kyae urom ti unda 
MAT.19.5	u ri baa, ‘Unde u ya ite-wu ti iya-wu ta u ti uwa-wu u baen atso, meme ifaen-ba kafe anying kinjo.’ 
MAT.19.6	Aba si-ba ande ifaen cwucwo be, aba si unde kinjo. Ikyaen na yine, iken ti Rimam a yir pu-wu, unde iki ā saen-wu ayi be!” 
MAT.19.7	Ande ba rang kyi Yesu baa, “Ayi a si ahan, imi ti nde ti Musa sa icwe tsi baa, asiti unde a te uwa-wu u kata ribaen, awu na nda unda wu kutsingken na iben ti wen ti awu na tē wu ru?” 
MAT.19.8	Yesu ri te ba baa, “Musa nda ni icwe ti ni na kata ribaen ikyaen utob ti kwen-ni. Ayi si-yi ahan ti kucang cang ti Rimam mam utense be. 
MAT.19.9	Ame ku ri te ni baa, unde a wen ribaen-wu te uwa-wu, ti a si-yi ikyaen ti unda wu nae isa be, asiti unde wu a ru ka mbe unda tishe, awu nae pu wu amae te unda wu.”
MAT.19.10	Atugbug Yesu ri te wu baa, “Asiti ayi a si ahan kutampwa urom te unda, ayi nyangskeb ti ribaen ā ta-yi be.” 
MAT.19.11	Amaa Yesu ri te ba baa, “Ira ti ame ri ne, i si-yi meme ande ti u kyangte yi be, se ande ti Rimam sa yi na pu wu aba. 
MAT.19.12	Ikyaen ti, ira munnae munnae ti nde ne arom u mbe-ba anda be. Ariki cwu umbyi ru ti uwae rishwu iya-ba. Ariki ikyaen ti, ande ndembeb ba. Ariki ama ku mbe-ba anda be ikyaen wande na Kujwokwe Rimam ti apupwen. Unde ti a u nde tu, awu ā fxen iken ti kwen yine.”
MAT.19.13	Ande pu anyisu-ba ba uwog Yesu ti wu na pu ajwo cwu tsa ba risu ti wu na jwam itinyang Rimam ba risu-ba, amaa ande ti imbyi Yesu fwan ande ba kibyag. 
MAT.19.14	Yesu ri baa, “Ni ya anyisu ta ti a ru ba uwog-m. Ni rwae-ni aba rwae be, ikyaen ti, Kujwokwe Rimam ti apupwen si ikyaen utso ande pangma anyisu bane.” 
MAT.19.15	Yesu pu ajwo cwu tsa anyisu ba risu tawe u nwunn atang.
MAT.19.16	Kiye iki unde iki ru ba uwog Yesu u rang wu baa, “Unde ti uwe, imi ti tinyang ti ame u nde titawe ame u tu unyang ti tsikukunn?” 
MAT.19.17	Yesu rang wu ama baa, “Afu kyang rimang ku rang me ira risu iken ti tinyang? Unde ti tinyang si nyang unde kinjo amam. Afu a ku sha ti fu u tu unyang ti tsikukunn, ye su icwe Rimam.” 
MAT.19.18	Unde wu rang Yesu baa, “Icwe titini?” Yesu ri te wu baa, “Wen-fu unde be, nae-fu amae be, yib-fu riyib be, yer-fu rifen be, 
MAT.19.19	nda itse-fu ti iya-fu kuko, ye ure te unde ice-fu pangma ti afu ku ye te risu-fu.” 
MAT.19.20	Unde wu ri te Yesu baa, “Ame ye su tag pu m meme icwe yine, imi ti tsitsi kyi cwucwo?” 
MAT.19.21	Yesu ri te wu baa, “Asiti afu a ku sha ti fu na si-fu ti riraen be, ru ka pu rifunn-fu jabci ti pu aser-yi kan na ande ti rikaen. Afu u tu rifunn apupwen akwen. Isim ayine, ba putsa m.” 
MAT.19.22	Kiye ti unde ti rifunn wu fxen ira yine, awu nwunn uwog atang ti utob ti byir, ikyaen ti, awu site rifunn ko timambe.
MAT.19.23	Yesu ri te atugbug-wu baa, “Kubenti ti ame ku ri te ni, ayi bom pu yi ti unde ti rifunn u sang Kujwokwe Rimam ti apupwen. 
MAT.19.24	Ame ku ri te ni kyi cwucwo, ayi caeb skeb pu yi ti unde ti rifunn u sang Kujwokwe Rimam ti ti a u sa kakum nwunn sang umbyi uyi.”
MAT.19.25	Kiye ti atugbug Yesu fxen ira yine, ayib fur ba risu, a nwunn u ku rang atso baa, “Ayi a si ahan ama aye ti u nwangru kyi cwucwo?” 
MAT.19.26	Yesu pu ayib cwu tsa ba piin u ri baa, “Ayine si iken ti cicaeb uwe ande, amaa iken iki ta-yi ti si iken ti cicaeb uwog na Rimam be.”
MAT.19.27	Ti Bitrus fxen ira yine, awu rang baa, “Tine ati ya iken-ti meme ta pu ti u ba putsa fu. Kujwojang imi ti ati u tu?” 
MAT.19.28	Yesu ri te ba baa, “Kubenti ti ame ku ri te ni, kiye ti a u kafe utense tishe, Umbae Unde u som tsa iken ti som na Ukwe-wu, ani ande-m rijwe asu ifaen ne u som tsa iken ti som na akwe ama. Ani u pwen rikwen risu rishi anyisu Isirela rijwe asu ifaen. 
MAT.19.29	Unde ti a ter ya kununn-wu ta, ko inja-wu ko kaya-wu ko ite-wu ko iya-wu ko anyisu-wu ko risaen ufang-wu ikyaen rinyi-m, awu u tu iken yi ti awu ya ta ne atsepu mae itsong. Cwucwo awu u tu unyang ti tsi kukunn. 
MAT.19.30	Amaa, ande yang akwen ti si ti kucang u ba kafe ande ti isim, ande ti isim ama u ba kafe ande ti uwe.”
MAT.20.1	“Kujwokwe Rimam ti apupwen pangma unde ti risaen ti nwunn kiskinn fifae ti wu u ru ka sha ande ti u nde na wu wande uwae risaen ufang-wu. 
MAT.20.2	Awu yer unju te ba baa, awu na u pae ba aser ti pang usir kinjo, dinari kinjo. Isim yine awu tom ba ru yi risaen atang. 
MAT.20.3	Aser itsongnje ti kiskinn, awu nwunn u ru yi ritug u ka tu ande iki uwae ritug atang. Aba ku nde-ba iken iki be. 
MAT.20.4	Unde wu ri te ba baa, ‘Ni ru ka nde wande uwae risaen-m, ama ame u pae ni kiser ti pang atang.’ Ande ba nwunn u ru yi risaen atang. 
MAT.20.5	Ti awu ru kyi aser rijwe, ti aser ita, awu nde pangma ti kucang. 
MAT.20.6	Yi aser itsong ti ureb, awu ruye u ka tu ariki u rang ba baa, ‘Ani nde rimang som ti ukaen ahan?’ 
MAT.20.7	Ande ba ri te wu baa, ‘Unde iki yae-wu ati wande be.’ Unde ti risaen wu ri te ba baa, ‘Ni ka nde wande uwae risaen-m ama.’
MAT.20.8	“Kiye ti ayib wunn, unde ti risaen wu ri te unde ti uwe wande-wu baa, ‘Kunn ande ti nde wande bane byir ti uwog kinjo ti u pae ba aser wande-ba. Pae ande ti ba ti ricwunnkyi titawe ti ba pae ande ti kucang.’ 
MAT.20.9	A pae ande ti ba aser itsong ti ureb dinari kinjo kinjo meme-ba. 
MAT.20.10	Kiye ti ande ti ba ti kiskinn sae iken yine, a tang baa, aba na u tu siskeb, amaa, a pae na ba dinari kinjo kinjo ama. 
MAT.20.11	A mbe aser yine u sang unju ti pwen risu unde ti risaen wu. 
MAT.20.12	A ri te unde ti risaen wu baa, ‘Ande ba ti ba aser itsong ti ureb ne nde nyang wande kiye pang, ati nde wande ti kiskinn pu usir te rikwen ama afu pae ti pang atso.’ 
MAT.20.13	Unde ti risaen wu ri te kinjo uwae-ba baa, ‘Urwan, ame ci-m ani ci be. Afu yer-fu unju te m baa, afu na u nde wande dinari kinjo uwae usir kinjo be a. 
MAT.20.14	Mbe aser-fu ti fu ru. Ame ti ku sha ti m u pae unde ti ame yae ti ricwunnkyi ne te fu pang atso. 
MAT.20.15	Ame site-m kuko ti m u nde iken ti m ku sha te aser-m be a. Ko afu ku tsinn kitsinn ikyaen ti ame ku ndeya ande a.’ ” 
MAT.20.16	Yesu ri kyi cwucwo baa, “Ayi si ahan ama, ande ti uwe u kafe ande ti isim, ande ti isim u ba kafe ande ti uwe.”
MAT.20.17	Kiye ti Yesu ku tso yi uten ti Urushelima, awu kunn ande-wu ira ru iyen kyab. Ti aba kyang ku ru fengo, awu ri te ba baa, 
MAT.20.18	“Ni naa atong. Ati ku tso yi Urushelima, ama a u ye Umbae Unde na akwen tiyang ti ande ti ku kwen na ande icwe. Aba u pwen wu rikwen iticwu, 
MAT.20.19	ama u ye wu na ande ti nung-ba ira Rimam be. Aba u skaen wu ikyaen u byinn wu kimbab u sa wu kwer risu kutuku ti cice. Ama uwae usir ti ita awu u nwunn ti unyang.”
MAT.20.20	Uwa Zebedi ru ba uwog Yesu te anyisu-wu u ba ku riben uwe Yesu ama u jwam iken uwog-wu. 
