MAT.1.2	Abraham Aisaak vaa apa, Aisaak Jakop vaa apa, Jakop Judah leh anaovaa anpa. 
ROM.14.16	Chunna nangin nithratkha thranoh nanga matrongnohrei. 
ROM.14.17	Alamva Ringpu kurung huunnava saak iin khanoh chuta akchimlamseh che leh oi mahche akseeng Li a roomthok khare, 
ROM.14.18	Nga tloh a tukhat in Khrista ta routloh i Ringpu ta ja a aloulohtuphu mahche mii inkho anja. 
ROM.14.19	Chunna leh oi amnatu mahche khatleh khat inseemjounatu inih in tlohrei. 
ROM.14.20	Saak iin rella Ringpu thlouta mamaangnohve. Bilam anaamte i tak a akseeng, chuta tukhat in asaak in mii aktleita anloomnatu veile mah chuvah alaal, 
ROM.14.21	Stak aksaanohle tuiibuh iin nohle niuh ninaota akeh masuihnatu jakhatkho nitlohnoh in chimtu. 
ROM.14.22	Nangin namlotkha Ringpu leh nang nakaar a sihro; atak in ajache atak anroua pichaar intlohnohkha doipha veisa. 
ROM.14.23	Chuta aril inhalla saaleva akrouta amaraal inpesa, alamva amah in amlot khanna tlohnoh; alamva bilam malottinga innmun maveinoh a tlohkhalli aleh.
ROM.15.1	Aktrang inih in marnop eisoh amjou ringjoutu tlasame, inih irilkhopta maplelnatu tlohnohrei; 
ROM.15.2	inih in inthringpi miita mathratnatu che anmahta seemjoua anril mapelrei. 
ROM.15.3	Alamva Khrista inkho atak anrouta mapelnoh chuta mah injih inangsa, “Nangta nansaalna antrongkha keikuung tlasa.” 
ROM.15.4	Alamva leithinga anjih naamte inihta inimtheihnatu injihsa. Mah ringjih in doutranga mahche inih irilta inithok apaalla inih in matuur iamna turelna. 
ROM.15.5	Jisu Khrista aknujuih ah nannih in khatleh khat ril intrimma khalek veia nan amnatu Ringpu in doutrangna mahche rilthoknata nanimlan veiso. 
ROM.15.6	Chunna nannih in pulla roolhkhat veia Ringpu mahche inihtu Akpu Jisu Khrista vaa apata paar namithrat.
ROM.15.7	Ringpu vaa paarthra rella Khrista in inisoong nanga, nannih in khatleh khat insoongve. 
ROM.15.8	Alamva keiin kisonchou, mah chuvah puthou pithou ankuunga atrongchet amlankhata amngatnatu Ringpu in akchimrella Khrista in anvuntan ankuunga roijuih veisa, 
ROM.15.9	Amah rilvoltheih khanna Jental in Ringpu ta paarthra amiveinatu. Mah i nga tloh a injihsa, “Oirella keiin nangta Jental ankaara kidomuche, mahche nang nikmingta laa veia kitlohtu.” 
ROM.15.10	Mahche veikhatla ason, “Jental nang nimiieisoh roomthokve.” 
ROM.15.11	Veikhatla ason, “Jental nannaam in Akpu ta mapaakve, mahche mii naamtein amahta mapaak veiso.” 
ROM.15.12	Chela Isaiah in ason, “Jisu va akjung thlengtu, amah in Jental anchunga paaltu; Jental in amahkuunga anmituurtu.” 
ROM.15.13	Akseeng Li atuuia nannih in matuurting nansipnatu che malot apaalla leh oi roomthok in nanimsipso.
ROM.15.14	Keitu unaoeio, nantak a akthra in sipsachou, akromin sipsachou, mahche khat in khatta inchaak nanchekpei ta krom in kiril ampelpei. 
ROM.15.15	Chuta nannih in nantheihnatu alam ste rella keiin thouna thra a kimjihpei. Ringpu malungsi apaalla. 
ROM.15.16	Jental ankuunga keiin Jisu Khrista vaa routloh kiveinatu, thiimpu nanga Jental in ankat pootkha maseeenga akseengpoot inkhat aveinatu. 
ROM.15.17	Ringpu thlou a keiin Jisu Khrista kuunga kithoina am. 
ROM.15.18	Alamva Jental in trongson amijuihnatu tranga mahche athloua kei kipaalla Khrista in atlohthlou khanoh a aktleia kithouna thranohtung. 
ROM.15.19	Akseeng Li atuuia atlohthlou salungkhouna daang mahche salungkhouna thlouvei apaalla keiin Jerusalem avella invella Ilirikam phah ah Khrista vaa akthratrongta huuitanga kraanpei. 
ROM.15.20	Nga tloh a aktleikhat in innmun atholche mah amunchunga keiin inn kitlohnatu Khrista vaa akming aktheihnoh ankuunga akthratrongta kiraanja hangsa. 
ROM.15.21	Chuta nga tloh a injihsa, “Amahrella insonlou mii in anmuhtu, che amahrella lou theihnoh mii in anromtu.”
ROM.15.23	Chuta pekva mahveelin kithlou mahche a kei turella khum amnohsa chunna nankuunga khalmo kithlengjana kum khalmo sootsa, 
ROM.15.24	keiin Spain kisehlaia nankuunga thlenga nannihsoh roomthok kitlan thoa nannihsoh kak kiamjouche rapkhei tlalatung. 
ROM.15.25	Ipektal keiin akseeng mii eita majoomnatu Jerusalem a sehsang. 
ROM.15.26	Alamva Jerusalem na akseeng mii ankaar a inran ringmii turella majoom i Mesidonia leh Akhaia na mii in anril pelsei; 
ROM.15.27	mah thlou chunna anmahkho pelsei, tak a anmah ankuunga leiman intoolhsei, alamva Jental in Li tu vei doikhanna chuum phahjou eileva anmah in pootcheitu vei doihva routlohkho antlohtupot. 
ROM.15.28	Alamchunna keiin thloui kamcheche anmah turella inthrai baobeh ankuunga kamlanche Spain kisehlai nannihsoh inmuhtung, 
ROM.15.29	Keiin nankuunga kithlenglai Khrista tinga aksip doisoh inruuia thlengtungta krom.
ROM.15.30	Kei turella Ringpu kuunga nannihsoh keisoh ingenjounata Akpu Jisu Khrista apaalla mahche Li Akseeng in inirilvol apaalla keiin unao nankuunga kinoolchou. 
ROM.15.31	Mah chuvah Juduia a am Ringpu amlotnoh ei ankuunga atakta ankalnatu che Jerusalem a am akseeng mii in okhanna rou kitlohnatu keija eileva; 
ROM.15.32	chuleva Ringpu in amdon nujuih a keiin nankomma roomthoksoh inruuia thleng kichektu, che inih in khatleh khat insonjou ume. 
ROM.15.33	Leh oi vaa Ringpu in nannaamteta namimruui veiso. Amen.
ROM.16.1	Kenkri ah am khakla ta amjoom isar Phobi ta anve kemve ta kamsilchou, 
ROM.16.2	mah chuvah thloia akseeng mii veia nannih in amahta Akpu minga loulouve, amah in bilam darkaar amle nannih tingnata majoomve, alamva amah in mii jikchakho keikho kamjoomang.
ROM.16.4	Keichaan turella anmah in klah knang doua, anmahta keikhop in mapaaknoh a Jental ei khakla anaam inkho anmahta amipaakei. 
ROM.16.5	Anmah innsuunga inboompi khakla tingkho saambaan kamlanei, amahvah Asia suunga matsahrem Khrista tinga akthleng miisa. 
ROM.16.6	Nankaar a thlou tranga aktloh Meri ta saambaan kamlan. 
ROM.16.7	Kei innsuungthok che keisoh simma amjou Andronikas mahche Junias ta saambaan kamlanei, anmahva keichunga matsah a Khrista malot a louamche raangroi ankaar a amuvei miiseengsei. 
ROM.16.8	Akpu kuunga kirilvol Ampliatas kho saambaan kamlan. 
ROM.16.9	Khrista kuunga inihsoh tlohkhaljou Urbanas mahche kirilvol Stakhias ta saambaan kamlanei. 
ROM.16.10	Khrista ting aja mii Apelles ta saambaan kamlan. Aristobulas ataploikuung eikho saambaan kamlanei. 
ROM.16.11	Kei sakhei Herodion kho saambaan kamlan. Akpu kuunga am Narnikas ataploikuung suuk eikho saambaan kamlanei. 
ROM.16.12	Akpu tinga tranga thloutloh mii Triphina leh Triphosa ta saambaan kamlannei. 
ROM.16.13	Akpu malot ah amingseh Ruphas kho saambaan kamlanei. 
ROM.16.14	Asinkritas, Phlekon, Hermes, Patrobas, Hermas mahche anmahsoh amjou unao ankuunga saambaan kamlanei. 
ROM.16.15	Philolokas, Julia, Nerias mahche asar Olimpas, che amahsoh inruuijou akseeng mii eita saambaan kamlanei. 
ROM.16.16	Akseengin inchohsoh inruuia khatleh khat saambaan inpeve. Khrista vaa khakla annaam in nannihta saambaan nanimlan.
ROM.16.18	Alamva oinang mii in Akpu Khrista ta rou tlohnoh ei, chuta anvon turelna khopning. Anmah in akthra mahche miita mapelsin tronga jakhatkho romnoh miirilta ansimna. 
ROM.16.19	Alamva nannih in sonmajuih veichoua annaamte in anrompei. Ochunna nannih rella kiroomthoksang, nannihta keiin akthra turella kamsing peichoua Akpu Jisu Khrista vaa malungsi in nannihsoh amjousa. 
ROM.16.20	Leh oi vaa Ringpu in Seitanta khalmo intha a nankeh majaa a nanimchilhtu. Inih Akpu Jisu Khrista vaa malungsi in nannihta nanimruui veiso.
ROM.16.22	Trongjihthuunta amjih Tertias ta Akpu ninga saambaan kamlan.
ROM.16.24	Inih Akpu Jisu Khrista vaa malungsi in nannih naamteta naninruuipi veiso. Amen.
ROM.16.25	Pekva akthratrong mahche Jisu Khrista rella kiraan nujuih a chup chupta mathup a asih anthupkha, 
ROM.16.26	ipekva anthupkha amdangpei, che ringraanei ringjih apaalla jaat anaamteta amirompei atrongthuun apaalla malot aja trongjuih athlengnatu. 
ROM.16.27	Akromkir Ringpu vaa Jisu Khrista apaalla lai amrella mapaakna veiso. Amen.
1CO.1.5	mah chuvah bilam trongla mahche khiial anaamtesoh nannihta nanimdoonpei– 
1CO.1.6	Khrista tingna ringtukna thamin in nannihta nanimchetpei. 
1CO.1.7	Alamchunna inih Akpu Jisu Khrista amdangta nanngaaklai litu vei kutthol jakhatkho vaatnohchou; 
1CO.1.8	inih Akpu Jisu Khrista aknia nanchimnoh amnohnatu amah in nannihta achena phah a chet a nanisihtu. 
1CO.1.9	Amah Asa kupa Akpu Jisu Khrista soh paaljounatu inihta iniong Ringpu vah malot ajakhame.
1CO.1.10	Akpu Jisu Khrista minga kisonchou mah chuvah nannaam injajouva nankaar a inthrek baak amnohnatu, chuta ril intrim mahche pichaartloh ah rilkhat nanveinatu kinoolchou. 
1CO.1.11	Alamva nankaar a innah insuul amchouta Klois amiiei in keikuunga kantongang. 
1CO.1.12	Kisonnava khatleh khat in, “Keiva Paul amiisang,” nohle “Keiva Apollos amiisang,” nohle “Keiva Kephas amiisang,” nohle “Keiva Khrista amiisang,” ta nanson. 
1CO.1.13	Khrista vah inthrek inbaaksame? Paul ta nanngut a thingkharh ah amithlu peime? Nohle nannih in Paul minga inlup sachoume? 
1CO.1.14	Keiin Ringpu ta kampaaknava Krispas leh Kaias noh a tukatkho lupnoh ang; 
1CO.1.15	chunohleva keiminga inlup mii in ansontu. 
1CO.1.16	(Stephanas innsuung khopta kilupning. Anmahnoh a tututa kilupme intheihnoh sang.) 
1CO.1.17	Alamva keita malupnatu Khrista in kamthlahnoh chuta akthratrong raannatu kamthlah ang, akthratrongta theihsinga khatkho lousingsoh raannatu kamthlahnoh, chunangleva Khrista vaa thingkharh atuuikha jakhatkho veinohtu.
1CO.1.18	Alamva akmaang mii turel thingkharh trongi kmongsa, chuta inkal akphah inih turelva Ringpu atuuisa. 
1CO.1.19	Mah i nga tloh a injihsa, “Aksingei anlousingta keiin kammaangtu, antheih singta sul kamveitu.” 
1CO.1.20	Aksingmii ram amseime? Ringjih lulok ram amseime? Mah chup in trong insin aktheih ram amseime? Tukleiram miivaa lousing Ringpu in ammaang nohme? 
1CO.1.21	Alamva tukleiramna mii in Ringpu alousingah ringeita Ringpu ta rom cheknoh ei. Akthratrongta kmong inih in iraan apaalla amlot miita ikalli Ringpu in apelna. 
1CO.1.22	Alamva Judi in daang annih, mahche Kriik in lousing anjon, 
1CO.1.23	chuta inihva thingkharh ah amithlu Khrista ta iraan, Judi ei turelva keh masuihna che Jental ei turelva kmongna, 
1CO.1.24	chuta amah in aongche mii Judi leh Kriik ankuungva Khrista i Ringpu atuui mahche Ringpu alousingsa. 
1CO.1.25	Alamva Ringpu in kmong avei in mii in ralla singsei, Ringpu in marnop avei in mii in ralla trangei.
1CO.1.26	Alamva unaoeio, amah in naniongkha minna madonve, tukleiramma iringna chaan nujuih a aksingmii tamnoh, tuuia am mii tamnoh, akliin mii tamnoh, 
1CO.1.27	chuta aksing eita injak amphahnatu tukleiramna kmong eita Ringpu in achar, aktrang eita amjaknatu tukleiramna marnop eita Ringpu in achar, 
1CO.1.28	amuveipot eita jakhatkho amveinoh natu Ringpu in tukleiramma intooltaang che mii in jakhatnoh a amidon marnop eita achar, 
1CO.1.29	ohchunna tukhat inkho Ringpu maikuunga thoiphunoh. 
1CO.1.30	Khrista Jisu kuunga mah i nannih nanchaan anthruhnasa, mahkuunga Ringpu lousing, akchim lamsehchu, inimseengna mahche inithlokna Akpu veisa; 
1CO.1.31	alamchunna nga tloh a injihsa, “In orh mii in Akpu turel in orhso.”
1CO.2.2	Alamva thingkharh ah amithlu Jisu Khrista khanoh a nankaar a aktlei khatkho nanromnoh natu kiril ngirsang. 
1CO.2.3	Nannihsoh kiamlai marnop khatkho intria che inchuunna amjoume; 
1CO.2.4	keiin trong akthratrong kiraankha miita mapaakna theihsing trongnoh, chuta akchim Li leh tuuita kamdangchou, 
1CO.2.5	chunna nannih in namilotkha mii lousing khanoh Ringpu vaa tuui aveina.
1CO.2.7	Chuta anruk khatkho anthup Ringpu alousingta inih in imtheih. Mah chup i amaa leithinga Ringpu in inihtu paarthratnatu machaanga alousihpei. 
1CO.2.8	Mah chup in rampuui tukhat inkho maita louromnoh ei; mahchuta lourom eileva paar amthrat Akpu ta anmah in thingkharh a loumathlunoh tupotei. 
1CO.2.9	Chuta mah i injihsa, “Mit in amuhnoh, makuur in atheihnoh, chekho miirilla luutnoh; mah ita arilvol mii turel Ringpu in amchaangpei.” 
1CO.2.10	Mah i Ringpu in Li apaalla inihting inimdangpei. Alamva Li in bilamma mahche Ringpu vaa akthuuk rellakho aktlok. 
1CO.2.11	Alamva miivaa akli khanoh a miikaara tunang in miirilta rom achekume? Mahchunang Ringpu vaa ak Li noh avah tukhat inkho Ringpu in amdon romnoh ei. 
1CO.2.12	Inih in tukleiramna lita phahnohme, chuta Ringpu in kutthol inimlanta rom icheknatu amah Lita iphahpei. 
1CO.2.13	Mah i mii lousingta nanimtheihnoh ung, chuta Li ah kamitheihchou.
1CO.2.15	Li ah am mii in bilam chim chimnoh pichaar atloh, chuta atakva tukhat inkho pichaar tlohnoh. 
1CO.2.16	Alamva “Tunang in Akpu arilta romma amtheihchek ume, chuta inihva Khrista vaa aril amme.”
1CO.3.2	Keiin siilchuh kim iinpeichou, antlang saakphu nanimsaaknoh ang, alamva mairella nannih in inchaang nohchou, che inchaang khonoh mangchou, 
1CO.3.3	isonnava nannih in pekphah ruunga ammangchou. Alamva nankaar a kallak hangche innah insuul amchou i nannihvah ruungnanoh choume, che apupuh mii nanga ringnoh choume? 
1CO.3.4	Alamva tukhat in, “Keiva Paul amiisang,” aktlei inla, “Keiva Appolos amiisang,” tihsachoule nannihva ruunga am miinoh choume?
1CO.3.6	Keiin klin, Appolos in tuii apoih, chuta Ringpu in amliin. 
1CO.3.7	Chunna aklin amah khanoh tuii akpoih amah khanoh chuta amliin Akpu khaning. 
1CO.3.8	Aklin leh tuii akpoih amahvah intrimmei; miirel in athlou athlou nujuih a kutlangman aphahtu. 
1CO.3.9	Alamva inihvah Ringpu soh thlou aktlohjoume; nannihvah Ringpu alouchou Ringpu ainnchou.
1CO.3.11	Jisu Khrista in atholche innmun khanoh a aktlei tukhat in innmunthol cheknoh. 
1CO.3.12	Pekva tukhat in mah innmun i ra–ao ah, harngou ah, amanchaal lunga, akchaar inloua chakpoolla tlohle– 
1CO.3.13	mii khatkhatvaa athloukha seenga ammuhtu, alamva mah khanna amdangtu, alamva mahkha mei in amdangtu, mii in atlohthloukha khakhame tihva mei in chaang a antu. 
1CO.3.14	Tukhat in antholche tihva mah innchunga aktloh innta inthrit cheknoh luunga amle, amah in atlohkhaan aphahtu. 
1CO.3.15	Tukhat in atlohthlouta kaangleva amaangna veitu, chuta meikaarnata inkal khananga inkaltu.
1CO.3.17	Tukhat in Ringpu mathruunna akseeng thlaamta mamaangleva, amahta Ringpu in ammaangtu. Alamva Ringpu mathruunna thlaamva akseeng mahche thlaamkha nannihchou.
1CO.3.19	Alamva tukleiramna lousingi Ringpu kuung avah kmong. Alamva mah i nga tloh a injihsa, “Aksing eita anmah antheih ansinga Amah in asuurei.” 
1CO.3.20	Khatla, “Aksingei in amidon ril akanana amnoh tih a Akpu in arom.” 
1CO.3.21	Churella tukhat inkho miirelna thoinohso. Alamva poot naamte nannih nanta, 
1CO.3.22	Paul slakho, nohle Appolos slakho, nohle Keiphas slakho, nohle tukleiram slakho, nohle akthi slakho ipekna slakho nohle vaknuna slakho anaamte nannih nantasa, 
1CO.3.23	nannihvah Khrista vaa atasachou; che Khrista in Ringpu vaa atasa.
1CO.4.2	Mah chukhopnoh a thlou amrel mii eikha malot aja mii vei tupotei. 
1CO.4.3	Nannih in keita pichaar keitloh choule, nohle miivaa pichaar nujuih a pichaar keitloh choule, keiningva mahchu jakhat khonoh, kei kitakluungkho pichaar intlohnoh ang. 
1CO.4.4	Kitak in kitak rella romnoh ang, che mah khannakho keita kamchim vanoh. Chuta keita pichaar aktlohva Akpu ning. 
1CO.4.5	Churella Akpu athlengnohmiil, laita aphahnoh maa a pichaar tlohnohve, inthim kaara anthunpeita amah in akvaara athlentuei che miiril suunga inchaanga am jikchakho amdangtu. Mahlai miirel in Ringpu ta mapaak anphahtu.
1CO.4.7	Alamva tunang in nangta aktleinata namthlin peime? Nidoon chela niphahnoh jaknangta ammangme? Nangin kutthol phahnoh nangjimma jarella in orhmang cheme?
1CO.4.8	Nannihva sipchou, doonchou! Kannih injaonoh a nannihva kurung veisachou. Kannih in nannihsoh kurung veia paaljou i keiin kikdit. 
1CO.4.9	Alamva achena veia Ringpu in raangroi aknita inimmuhta keiin thinata raitla nanga; ringroileh miitinga tukleipaaltu kumhei annatu inimveipei. 
1CO.4.10	Inih in Khrista rella kmongsame, chuta nannihva Khrista tinga singsachou. Inihva marnopme. Chuta kannihta athlangtla naniannuung. 
1CO.4.11	Pek pungiphah a vontraam tuiiraal kanphahmang, puunrei doonnoh ung, 
1CO.4.12	Kannih in insuullung kankut in tranga thlou kantloh, che kannihta thranoh a kanisaalung ankuunga doi kamilan, kannihta kanichut laia kandou; 
1CO.4.13	Kannihta loonna antronglai anmahta kamineemei; kannihva tukleiramna buurnam nanga veisung. Pekphah kannihva poot anaamtu burnam veisung.
1CO.4.14	Nannihta nanimjaktang ta mah i majihnoh ang, chuta nannihta kirilvol kisanang kikchaakchou. 
1CO.4.15	Alamva nannihta Khrista tinga nanichingnatu inteen cheknoh mii doonsachou lakho, nanpa tam amnoh. Alamva akthratrong apaalla Jisu Khrista ninga keiin nanpa veisang. 
1CO.4.16	Keiin kamsohchou mah chuvah kei kihoongta keitamve. 
1CO.4.17	Mah churella Akpu ninga malot aja kirilvol Timothi ta nankuunga kamthlah, khakla ah keiin kamheih nanga, Khrista ninga kiseh kilonna kihoong kiva pumte amah in nannihta nanimtheihtu. 
1CO.4.18	Nannih kuunga thlengnoh usang tihnanga mii arouva thoisachou. 
1CO.4.19	Chuta Akpu in amdon veile nankuunga intha thlengtung, anmah akthoi antrongta kijonnatu noh a anmah antuuita jonnatu thlengtung. 
1CO.4.20	Alamva Ringpu kurung huunnavaa trong khop noh a chuta tuuia, 
1CO.4.21	Nannih in jaknangta nanditme? Keiin sungsoh nohle rilvolsoh inruuia ril inneemsoh thlengtungme?
1CO.5.1	Mah i tak a antongpei mah chuvah nankaar a kumei kupa ah lamchat chimnoh akseh amchouta, oinang kumei kupa ah chimnoh hoonga seh i rappu amthruun ankaar rounakho tuuknohme; alamva mii in apa akmeita paalpia am. 
1CO.5.2	Nangva kei ningsangta in orhcheme? Inthleng adom nangin sinthruuihnoh ucheme? Tukhat in oinanga chimnohoong aksehkha nankaarnata manomve.
1CO.5.4	Akpu Jisu Khrista minga nannihsoh kei kikli in Akpu Khrista vaa tuuisoh anchunlai a, 
1CO.5.5	oinang mii anruungta mamaangnatu seitan kuunga malanve chunna amah Akpu Jisu Khrista aknia inkal aphahtu.
1CO.5.7	Nannihva chol injaonoh vei taningchouva akthrachol inpool nanveinoh natu amlui cholta maseengve. Alamva inihva laalna sadamte buhdoonna ah akvei Khrista in inihturel inkatsa. 
1CO.5.8	Churella inih in buhdoonna chol amlui, akthranoh khatkho kochanoh chol jaonoh a akchim khatkho akseeng tolsoh mapaangve.
1CO.5.10	Mahchu tukleiramna kumei kupa chimnoh hoonga seh nohle karaam, nohle inruraan, nohle rappu amthruun eisoh inchunnoh natu tihnoh ang, chunangleva tukleiram nata inthurh a sehtu tlasachou. 
1CO.5.11	Chuta tukhat in keiva Akpu amlot miisang atihche kumei kupa ah chimnoh hoonga seh nohleh karaam, nohle leili mathruun, nohle inkhahkanga trong, tuiibuh inruii, nohle inru inraan mii veimele inchunpinoh veta kamjihpeichou, mainang miita saajou iinjoupinohve. 
1CO.5.12	Alamva apaaltongna mii eita pichaar tlohnatu kei kithlou jangamme? 
1CO.5.13	Khakla suunga ak am mii eita Ringpu in pichaar atloh ei, “Nannih nankaar ah akthranoh mii eita manomve.”
1CO.6.2	Akseeng mii in tukleiramta pichaar atlohtu ta romnoh choume? Chuleva iringlai nannih inta tukleiramta pichaar tlohchoule, indih indah trongsuura pichaar tlohnatu matik chanoh choume? 
1CO.6.3	Ringroi eita inih in pichaar itlohtu ta romnoh choume? Chuleva iringlai aksuuk thlouei i inih in ralla pichaar itlohchektu phunohme? 
1CO.6.4	Chuleva iringlai aksuuk thlouei rella nannih in pichaar nantloh in, khakla avah amuveinoh ta amdon mii eita pichaar nannih in nancharpei. 
1CO.6.5	Nannih in nanjaknatu mah ita kitihchou. Chuleva amah unaota ankaara pichaar akltohchek nankaar a aksingmii inkhatkho amnoh choume? 
1CO.6.6	Mahchu ngut a unao khat in unao khatchunga indenpinatu trongkat seh, mahchu Akpu malotnoh ankuunga seh ei.
1CO.6.8	Chuta nitakva chimnoh mahche miisimna thlouva nantlohche nan uh nannao chunga thranoh thlouvah nantloh. 
1CO.6.9	Akchimlamseh noh mii in Ringpu kurung huunna phahnohtu ta romnoh choume? Nanroua insimnanohve kumeile kumei mahche kupaleh kupa seengseeng chimnoh hoonga seh khatkho rappu rapnaita mathruun, nohle miimei miimasal nohle sa lamchat ah seh, nohle karaam nohle tuiibuh inruii, 
1CO.6.10	inru inraan nohle inkhah a trong oinang mii in tikniakho Ringpu kurung huunna phahnoh tuei. 
1CO.6.11	Nannih mii arouva mainangjim chou, chuta nannihva nanichaampei, nanimchimpei, Akpu Jisu Khrista minga che inih Ringpu akli a nannihva nanimchimpei.
1CO.6.13	“Buh in vonpii turelna che vonpii in buh turelna” — che annih a khatkho khatkho Ringpu in ammaangtu. Ruungi kumei kupa chimnoh hoonga huuinatu phunoh, chuta Akpu turelna, mahche Akpuva ruung turelna. 
1CO.6.14	Akputa Ringpu in amringpei che inihkho amah atuui in inihta inimtrangpei. 
1CO.6.15	Nannih nanruungi Khrista vaa akholsa ta nannih in romnoh choume? Khrista aruungvaa akholta keiin kilohche ahoong thranoh kumei aruung kamveiume? Mah chutalva veinohso. 
1CO.6.16	Kochanoh kumeisoh anchun mii in kochanohsoh inkhat veisei ta romnoh choume? Alamva mah i injihsa, “Innihvah ruung inkhat vei ume.” 
1CO.6.17	Chuta Akpu soh inkhatveia anchun mii in amahsoh li inkhat veisei. 
1CO.6.18	Kumei kupa chimnoh lamchat thranoh thloukha dongve. Mii in alehthlou atloh anaame ruungvaa apaaltonga suuk; chuta thranoh hoonga sehmii in amah aruung saakta jekna a alehthlouta atloh. 
1CO.6.19	Nannih nanruungi Ringpu ningnata nanphah, Akseeng thlaam nantaksuunga amta romnoh choume? 
1CO.6.20	Nannihta Ringpu in nanman teenna nanileipei, chunna nanruung in Ringpu ta paar mathratve.
1CO.7.1	Pek nannih in namijih trongrol kharella: “Kupakhat in kumei khating apaalnoh in thratu.” 
1CO.7.2	Chuta mairella kumei kupa inlaalna madoi tinga nantlaknoh natu, kuparel in akmei amsoh che kumeirel inkho amsal amsoh. 
1CO.7.3	Amsal in akmeikuungah changvaangna malanphu malanso; mainanga akmei inkho amsalkuunga changvaangna malanphu amsalkuunga malanso. 
1CO.7.4	Alamva akmei in atak aruungvaa akpunoh, chunanga amah amsaltasa, mahchunanga amsal inkho atak aruungvaa akpunoh; chuta akmeiva amah atasa. 
1CO.7.5	Manjangnuram khat khopnatu injana khanoh a khatleh khat injanoh tlohnohve, ngenna nanril maluutve; chuta nantak nanroua intel nanvaat rella seitan in nanimdoinoh natu inchunve. 
1CO.7.6	Mah i ajanatu veia keiin kisonchou, trongthuun vanoh. 
1CO.7.7	Keiin kiam nanga mii naamtein nanveinatu kamdon. Chuta miirel in Ringpu tingnata amah amahtu kutthol khatkhat am, mii khat in kutthol khat, aktleikhat in aktlei kutthol khat am.
1CO.7.8	Changvaangnoh ei mahche trulmeinuta kisonchou, mah chuvah keiin kikroua kiam nanga anmahkho am eile thratu. 
1CO.7.9	Chuta anrouva inseelcheknoh eile changvaang eiso. Alamva anruungin anditta thocheknoh eileva changvaangin thloia thra.
1CO.7.11	Chuta akmei inta mahle amah in innjongnoh a amso, nohle amsalsoh inja a inchamso, amsal in akmeita madah nohso.
1CO.7.13	Akpu malotnoh kupa khatta amsal maveia ampile, kupa inta amahsoh amjou dile, kupakha madah nohso. 
1CO.7.14	Alamva Akpu malotnoh amsalkha Akpu amlot akmei apaalla amseengpei, che Akpu malotnoh akmeikha amsal apaalla amseengpei. Mah chunohleva nansakha seengnoh vei tuei, chuta pekva anmah akseeng veisei, 
1CO.7.15	Chuta Akpu malotnoh miikhanta inthrekpia mahle mahthlangso. Akpu malotnoh kupa nohle kumeikha innjong inkht a amnoh nangsa. Alamva leh oia iamnatu Ringpu in iniong. 
1CO.7.16	Akmei eio nang namsalta kikaltu nohle kalnohtung tih i khatloh a niromme? Nohle amsallo, nang nikmeita kikaltu kalnohtung tih khatloh a niromme?
1CO.7.18	Tunangta avun antanche aongme? Chuta amah in avun intannohnang hukveinohso. Avun intannoh amaa a tunangta aongme? Chuleva amah in avun intannanga hukveinohso. 
1CO.7.19	Avun intan in jakhat khanoh che intannoh in jakhat khonoh, chuta Ringpu vaa trongthuunta amjuihkhata amuvei. 
1CO.7.20	Mii naamte Ringpu in aonglai talla a amna chaangkhanna amsoh.
1CO.7.21	Naichi niveilaitalla nak ongme? Mah khanna nang nirilsokna veinohso; chuta nanginta thlaang thlaang phahchek a nichuungna veichekle nangtu nivaithra veiso. 
1CO.7.22	Alamva naichi aveilai Akpu in aong miikha Akpu vaa thlaang thlaangta akphah miisa. Mahchunanga thlaang thlaang aphahlai aong miikha Khrista vaa naichi veisa. 
1CO.7.23	Nannihta aman teenna nanileipei, chunna nannih in miivaa naichi veinohvesa. 
1CO.7.24	Chunna unaoeio, mii khatkhatta aonglai talla a amna chaangkhanna mii naamtein Ringpu soh incheknoh a amso.
1CO.7.25	Pek changvaangnoh a am mii eita keiin Akpu vaa trongthuunta sonnoh ang, chuta Akpu rilvoltheihta keiin kaphah malot aja mii khat nanga keiin kamdonta kamlanchou. 
1CO.7.26	Keiin kimdonvah pekpek klah knang iphah i ianlaiva mii khat in a amnatal chaanga an am in thratu kimdon. 
1CO.7.27	Nangin kumei khat kuunga inkhit a amcheme? Nanlitnatu jonnohro. Nangin kumei khatkuung nata inlit sacheme? Changvaangnatu jonnohro. 
1CO.7.28	Chuta nangin changvaang chele, aleh tlohnohsache, radaang khat in changvaangle amah in aleh tlohnohsa. Chulata tukhat changvaangin tukleiramma klah knang anphah, che mah chunangi keiva nanimphah dinoh ang. 
1CO.7.29	Unaoeio, keiin mah i kisonnava akthra kanana lai i khalmo chomsa, peknata mathronna akmei am mii in akmei amnohnanga amso, 
1CO.7.30	marhuui mii in marhuuinoh nanga ameiso, roomthok mii in roomthoknoh nanga ameiso, che pootchei aklei mii in doonnoh nanga am eiso. 
1CO.7.31	Tukleiramta ak huuina anmah in chimnoh a huuinanoh eiso; alamva tukleiram ahoongva maang umang.
1CO.7.33	Chuta changvaang kupa invah amah akmeita khatloh a kampe umeta tukleiramtu veia pootchei rella aril inchoisa, 
