MAT.1.1	A daŋgonŋâ daŋgonŋâ muyagem gane Yesu Kristo, zâk Abaram sot Dawidi, zekât kiun muyageip. 
ACT.8.20	Sâi Peteroŋâ itâ sâm dukuip, “Ga Anutuŋâ imbâŋâ yen ziŋgâziŋgâŋ zo kwâlâbam sat, zorat kâtkâ sot gikâ ârândâŋ sim kârâbân gei tâmbetagobabot. 
ACT.8.21	Anutuŋâ um sarâgâ eksapkât zirâŋâ gâgât siŋgi mân uap. 
ACT.8.22	Gâ nâŋgânâŋgâgâ bâliŋâ zo birâm umgâ melâŋ ninâu sâban. Kembuŋâ tosagâ birâbapkât ninâu sâban. 
ACT.8.23	Gâ bâliŋaŋgât kâlakŋâ umgan piksâm ziap. Bâliŋandâ saagigap.”
ACT.8.24	Sâi Simoŋâ itâ sâip, “Zikŋak nâgât opŋâ Kembugâren ninâu sâitâ den sat, zo bonŋâ mân muyagenibap.” 
ACT.8.25	Petero sot Yohane zet Kembugât den dâzâŋgom naŋgâm Yerusalem kamânân âiram âburiwet. Âburem Samaria hânân kamânŋâ kamânŋâ den siŋgi âlip dâzâŋgom âiwet.
ACT.8.26	Kembugât sumbem a ŋâiŋâ Pilipogâren muyagem itâ sâm dukuip, “Gâ zaat âi. Yerusalem kamânân gâbâ Gasa kamânân geime, mâtâp zoren âi.” (Mâtâp zo hân a mân ândiândiŋan ziap.) 
ACT.8.27+ACT.8.28	Yatâ sâm dukui Pilipoŋâ zaatŋâ arip. Mâtâbân âi a ŋâi egip. Aitiopai hânân ambân kutâ ŋâi ândeip, kutŋâ Kandake, zâkkât a sâtŋâ ŋâi. Zâk kât sikum galem a. Zâkŋâ Anutu mâpâsibam Yerusalem kamânân âimŋâ puriksâm gâip. Zâk a lalaŋâ kwâkŋan tap ari egip. Egi âim tap Propete Yesaiagât ekabân den zeip, zo sâlâpkum tâip. 
ACT.8.29	Yatâ oi Kaapumŋâ Pilipo itâ sâm dukuip “Gâ zâkkâren âinan.” 
ACT.8.30	Sâi Pilipoŋâ zâkkâren sârârâk kârâm ari a sâtŋâ zâk Propete Yesaiagât den sâlâpkoi nâŋgâm itâ sâm mâsikip, “Den sâlâpkuat, zorat topŋâ nâŋgat?”
ACT.8.31	Sâi zâkŋâ sâip, “Ŋâi mân dâtnone ninak dap yatâ nâŋgâbat?” Yatâ sâmŋâ sâi Pilipoŋâ zâi zâk sot tâip. 
ACT.8.32	Den sâlâpkoip, zo itâ,
ACT.8.32	“Zâk râma yatâ oi diim âi kunam urâwe. Aŋâ râma gwamŋâ gâsum sâmot mânâŋgâri diŋ buŋ tâpmap, zo yatâ diŋ buŋ oip. 
ACT.8.33	Zâkkât nâŋgâne gigiŋâ oi den nebân pamŋâ den sâkŋanâk sâwe. Hânân ândiândiŋâ buŋ oip. Oi kiurâpŋâ dap yatâ sâlâpzâŋgom naŋgâbe.”
ACT.8.34	Oi a sâtŋâ zâk Pilipo itâ sâm mâsikip, “Gâ sâna nâŋgâbâ. Propete zâk ŋâigât yatâ sap? Zikŋaŋgât sap mo a ŋâigât sap?”
ACT.8.35	Sâi Pilipo zâk Propetegât den zobâ topkwapŋâ Yesugât den siŋgi âlip sâm dukuip. 
ACT.8.36	Yatâ op âim tooyân takâwet. Oi a sâtŋandâ itâ sâip, “Too ziap. Zi âlip sa saŋgonniban?”
ACT.8.37	Sâi Piliponŋâ sâip, “Gâ den san, zo nâŋgâna bon oi âlip saŋgongibat.” Sâi den itâ mâburem dukuip, “Itâ nâŋgan. Yesu Kristo, zâk Anutugât nanŋâ. Zâk nâŋgâm pâlâtâŋ kwâkŋaŋgan.”
ACT.8.38	Yatâ sâmŋâ kore a dukui biosi saagi a sâtŋâ sot Pilipo ârândâŋ toin geiwet. Geim Pilipoŋâ saŋgonŋaŋgip. 
ACT.8.39	Oi toin gâbâ kopgâitâ Kembugât Kaapumŋâ Pilipo mem ari a sâtŋâ zâk dum mân ekŋâ sâtâre op mâtâbân arip. 
ACT.8.40	Pilipo, zâkŋâ ko Asido kamânân taki igâwe. Oi zâk kamânŋâ kamânŋâ den siŋgi âlip dâzâŋgom Kaisarea kamânân arip.
ACT.9.1	Saulo zâk Kembugât a ambârâpŋâ kâsa otziŋgâm zâŋgobatkât umŋâ kârâp oip. Oi âi tirik namâ galem a patâgâren sâip. 
ACT.9.2	Âi sâi Damasiko kamânân Yuda a zeŋgât mâpâmâpâse namâ galem a, zeŋgât ekap kulemgum pindip. Pindi âim Damasiko kamânân a ambân zen Yesugât mâtâbân nep tuum ândiwe, zo gâsuziŋgâm saaziŋgâmŋâ diiziŋgâm Yerusalem kamânân gâbam arip. 
ACT.9.3	Zâk âimŋâ Damasiko kamân mâte oi sumbemân gâbâ âsakŋandâ gem gâm zâkkâren âsagem naŋgip. 
ACT.9.4	Âsagei hânân gei kom den ŋâi itâ nâŋgip, “Saulo, Saulo, gâ wangât nom ândimat?” 
ACT.9.5	Sâi Sauloŋâ mâsikâm sâip, “Kembu, gâ ŋâi?” Sâi zâkŋâ sâip, “Gâ nom ândimat. Nâ Yesu. 
ACT.9.6	Gâ zaat kamânân âina nep tuuban, zorat a ŋâiŋâ diŋâ dâgobap.”
ACT.9.7	Oi a zâk sot âiwe, zen dinziŋ buŋ oi kirâwe. Zen den zo ko nâŋgâwe. Ka a ko mân igâwe. 
ACT.9.8	Oi Saulo zâk zaatŋâ siŋâ ikpâ sâm egi ŋâtâtik oip. Yatâ oi bukurâpŋâ zen bikŋan gâsum Damasiko kamânân zâiwe. 
ACT.9.9	Oi sirâm karâmbut umŋan siŋâ ŋâtâtik kâri tap too nalem mân neip.
ACT.9.10	Damasiko kamânân Yesugât kâmurân gok a ŋâi ândeip, kutŋâ Anania. Oi Kembuŋâ umanân muyagem konsâip, “Anania.” Sâi Ananiaŋâ sâip, “Kembu, nâ zi.” 
ACT.9.11	Sâi Kembuŋâ itâ sâm dukuip, “Gâ kamân mâtâp kutŋâ târârak, zoren âim a ŋâi kutŋâ Yuda, zâkkât mirâŋan zâim zoren a ŋâi kutŋâ Saulo, Taso kamânân gok, zâk muyagiban. Zâk zoren ninâu sâm ziap. 
ACT.9.12	Oi uman ŋâi itâ eksap. A ŋâi kutŋâ Anania, zâkŋâ zâkkâren gamŋâ siŋâ ânâŋgâtpapkât bikŋâ kâukŋan paap.”
ACT.9.13	Kembu zâk den yatâ sâi Anania zâk itâ sâip. “Kembu, nâ a zorat a doŋbepŋâ sâne nâŋgâman. Zâk arâpkâ Yerusalem kamânân doŋbep tâmbetzâŋgoip. 
ACT.9.14	Oi ziren yatigâk kutkâ gonsâmen zo, nen yatik gâsum saaniŋgâbapkât tirik namâ galem a patâŋâ ekap kulemgum pindâwe.”
ACT.9.15	Sâi Kembuŋâ itâ sâm dukuip, “Gâ laŋ âi. A zo gâsum sâlâpkuan. Zâkŋâ a kâmut ŋâin ŋâin sot a kutâziŋâ sot Isirae a zeŋgâren nâgât den siŋgi dâzâŋgom ândibap. 
ACT.9.16	Yatâ oi kutsiŋginaŋgât opŋâ sâknam nâŋgâbap, zorat tirâpkubat.”
ACT.9.17	Oi Anania zâk âim mirin zâim bikŋâ Saulo kâukŋan pamŋâ sâip, “Saulo bukunâ, Kembu Yesuŋâ mâtâbân muyagegigip, zâkŋâ sâŋgonnogi gaan. Gâ siŋgâ ânâŋgâri Tirik Kaapumŋâ umgan piksâbapkât sap.” 
ACT.9.18	Yatâ sâi zorenâk siŋan gâbâ sâkŋâ senâŋâ yatâ gem gei siŋâ âlip egip. Yatâ okŋaŋgi zaari aritâ too saŋgonŋaŋgip. 
ACT.9.19	Yatâ oi Sauloŋâ nalem nemŋâ kâtigeip.
ACT.9.20	Saulo zâk Yesugât kâmut Damasiko kamânân ândiwe, zen sot mâik ŋâi ândeip. 
ACT.9.21	Oi narâk zoren Yuda zeŋgât mâpâmâpâse namin zâim Yesugât siŋgi sâm muyagem itâ sâm dâzâŋgoip, “Yesu, zâk Anutugât nanŋâ.” Yatâ sâm dâzâŋgoi nâŋgâwe, zen aksik imbaŋâziŋ buŋ oi itâ sâwe, “Yerusalem kamânân Yesugât kutŋâ zo konsâne laŋ kâri a zo tâmbetzâŋgom ândeip. Ziren yatigâk gam saam diiziŋgâm tirik namâ galem a patâ zeŋgâren âibapkât gâip. Zorâŋ dap op purikgurik uap?”
ACT.9.22	Oi Saulo zâk kâtigem sâip. “Yesu, zâk a bâliŋan gâbâ mâkâziŋgâbapkât mârum sâsâŋ, Kristo.” Yatâ sâm zorat den topŋâ sâm muyagem dâzâŋgoip. Oi Damasiko kâmânân Yuda a ândiwe, zen diŋâ zo nâŋgâm kwakmak urâwe.
ACT.9.23	Yatâ oi ândimŋâ Yuda a zen Saulo kunam sâm kâtâŋ urâwe. 
ACT.9.24	Diŋâ sâne Sauloŋâ den zo nâŋgâm ândei Yuda a zen hilâm ŋâtik kamân mâtâp galem op kunam op ândiwe. 
ACT.9.25	Yatâ utne Yesugât kâmut ziŋâ ŋâtigân Saulo mem âim kamângât paŋ kâtikŋâ saasaaŋâ, zoren irin gem mem pane âkŋan gem arip.
ACT.9.26	Âimŋâ Yerusalem kamânân takâmŋâ Yesugât arâp zeŋgâren târokwâpatkât sâi zen zâkkât keŋgât urâwe. Zâk Yesugât a oip, zorat nâŋgâne bon mân oip. 
ACT.9.27	Oi Banabaŋâ Paulo buku okŋaŋgâm Aposolo zeŋgâren diim arip. Zeŋgâren âimŋâ Kembuŋâ Saulo mâtâbân muyageŋaŋgâm den dukuip sot Damasiko kamânân Sauloŋâ Yesugât den siŋgi sâm muyageip, zorat den siŋgi sâm dâzâŋgoip. 
ACT.9.28	Zorat kwâkŋan Saulo zâk Yerusalem kamânân zen sot tâtat mâme oip. 
ACT.9.29	Oi Saulo zâk Kembugât korân lâŋ kâtigem a zen sot Yesugât topŋâ sâm âraguwe. Oi Yuda a Grik den sâmarâwe, zen sot den âragum den sârek âraguwe. Oi a zo ziŋâ kâsa okŋaŋgâm kunam urâwe. 
ACT.9.30	Oi Saulogât bukurâpŋâ zen den zo nâŋgâm diim Kâisarea kamânân âi pane Taso kamânân arip.
ACT.9.31	Oi Yesugât kâmut Yudaia hânân Galilaia hânân sot Samaria hânân ândiwe, zeŋgâren lumbeŋâ zeip. Lumbeŋâ ândim, kâtigem ândim zâimŋâ Kembu hurât kwâkŋaŋgâm uruŋsâm ândiwe. Oi Tirik Kaapumŋâ mam otziŋgi kâmut doŋbep urâwe.
ACT.9.32	Petero zâk kamânŋâ kamânŋâ âim gam Yesugât kâmut Lida kamânân ândiwe, zeŋgâren takip. 
ACT.9.33	Zoren a ŋâi egip, kutŋâ Ainea. A zo kiŋ bik mumuŋâ oi zem ândei kendon patâ nâmburân karâmbut oip. 
ACT.9.34	Peteroŋâ itâ sâm dukuip, “Ainea, Yesu Kristoŋâ kubikgigap. Zaatŋâ isengâ gikak kubik.” 
ACT.9.35	Sâi zorenâk oksâm zaarip. Yatâ oi Lida sot Saroŋ kamân mâirâp zo igâwe, zen umziŋ melâŋ Kembugât a urâwe.
ACT.9.36	Yope kamânân Yesugât kâmurân ambân ŋâi ândeip, kutŋâ Tabita. Grik denân ko kutŋâ Doka sâmarâwe. Ambân zo a ambân betziŋan mem kut ŋâi ŋâi âlipŋâ op ândeip. 
ACT.9.37	Narâk zoren ambân zo mâsek opŋâ moip. Moi ko kâmbarâŋâ too saŋgon mem mirâ umŋâ ŋâin zâi pane zeip. 
ACT.9.38	Lida kamân sot Yope kamân, zo goot goot tarâwet. Oi narâk zoren Petero zâk Lida kamânân ândei zorat Yesugât kâmut Yopa kamânân ândiwe, zen den siŋgi nâŋgâm a zagât sâŋgonzâkone Peterogâren âi itâ sâm dukuwet, “Gâ diigigitâ neŋgât kamânân kek âinâ.”
ACT.9.39	Sâitâ Peteroŋâ zen sot ârândâŋ âiwe. Âi Yope kamânân takâm mirâ kâmbarâŋ zeibân diim zâiwet. Zoren ambân malâ zen haamgum isem tap Tabita gwâlâ ândim hâmbâ mot gârim ziŋgip, zo Petero tirâpkuwe. 
ACT.9.40	Peteroŋâ sâi ambân zo aksik geine simin liim kwap ninâu sâip. Ninâu sâm naŋgâm kâmbarâŋ mâte okŋaŋgâm itâ sâip. “Tabita, gâ zaat.” Sâi siŋ kârum Petero ekŋâ zaat tâip. 
ACT.9.41	Peteroŋâ bikŋan gâsui zaat kirip. Zaat kiri Peteroŋâ sâi ambân malâ sot Yesugât kâmut zen ga igâwe. 
ACT.9.42	Oi zorat siŋgi Yope kamânân laŋ kârâm ari doŋbepŋâ Kembugât a ambân urâwe. 
ACT.9.43	Oi Petero zâk a ŋâi kutŋâ Simoŋ, zâk bâu sâkziŋ lâkum tuumap, zâkkât mirin tâtat mâme op ândeip.
ACT.10.1	Kaisarea kamânân Roma kâwali a kâmut zen ândiwe. A kâmut zo zeŋgât kutziŋâ Italia sâmarâwe. A ŋâi kutŋâ Konelio, zâkŋâ kâwali a kâmut zo zeŋgât a sâtŋâ ândeip. 
ACT.10.2	Zâk sot a ambârâpŋâ, zen Anutu hurât kwâkŋaŋgâm mâpâseŋaŋgâm ândiwe. Zâkŋâ a ambân kanpitâ kât nalem ziŋgâmâip sot Anutugâren ninâu sâm ândeip.
ACT.10.3	Konelio zâk yatâ opŋâ sirâm ŋâin mirâ oi uman ŋâi itâ egip. Anutugât sumbem a ŋâiŋâ zâkkâren gam itâ sâm dukuip, “Konelio.” 
ACT.10.4	Konsâi tâpâk ekŋâ keŋgâtŋaŋgât op sâip, “Kembu, dapkât sat?” Sâi ko sâip, “Ninâugâ sot orot mâmegâ Anutuŋâ egi âlip oip. 
ACT.10.5	Zorat Yope kamânân kore a sâŋgonzâŋgona âi a ŋâi kutŋâ Simoŋ, kutŋâ ŋâi Petero, zâk diim gabi. 
ACT.10.6	Zâk sot tâip zo bâu sâkziŋ lâkum tuumap, kutŋâ Simoŋ. Zâkkât mirâ saru sâtŋan taap. Oi Petero zâk zorenâk ândiap.”
ACT.10.7	Sumbem aŋâ den yatâ dukum ari zorenâk kore a zagât sot kâwali a ŋâi sâŋgonzâŋgoip. Kâwali a zo Anutu mâpâsemâip. 
ACT.10.8	Den siŋgi zo dâzâŋgomŋâ Yope kamânân sâŋgonzâŋgoi âiwe.
ACT.10.9	A zen âim mâtâbân ziwe. Haŋsâi zaat kamân goot goot utne mirâ bâkŋan oi Peteroŋâ ninâu sâbam mirin zarip. 
ACT.10.10	Zâi ninâu sâmŋâ tepŋaŋgât oi nalem une sei zâk uman zem, uman ŋâi itâ egip. 
ACT.10.11	Sumbem mâtâp pâroŋsâi sumbemân gâbâ isen patâ ŋâi muruk toren toren kimembut zoren saam pane geip. 
ACT.10.12	Umŋan zuu, mulum mot, nii top top sot kut ŋâi ŋâi ziwe. 
ACT.10.13	Oi den ŋâi itâ Peterogâren geip, “Petero, gâ kom gaam ne.” 
ACT.10.14	Yatâ sâi Peteroŋâ sâip, “Kembu, nâ mân upat. Nii zuu bâliŋâ mo mân niniŋâ, zo mân neman.” 
ACT.10.15	Sâi ko den dum âsageip, “Anutuŋâ kut ŋâi ŋâi âlipŋâ sâm paap, zo bâliŋâ mân sâban.” 
ACT.10.16	Kut ŋâi zo sâp karâmbut muyagei dum buraŋŋoot sâmbune sumbemân zarip.
ACT.10.17	Oi Petero uman egip, zorat nâŋgâm kwâkâm tâi Konelio arâp zen gamŋâ Simoŋgât mirâŋâ kârum âim muyagem mirâ sombemân kirâwe. 
ACT.10.18	Kinŋâ mâsikâm sâwe, “Simoŋ, kutŋâ ŋâi Petero, zâk mirâ ziren tap?” 
ACT.10.19	Yatâ sâne Petero zâk uman egip, zorat nâŋgâm kwâkâm tâi Kaapumŋâ itâ sâm dukuip, “A karâmbut gamŋâ gâ kârugige, gât ko gâ geimŋâ zen sot âibam keŋgât mân upan. 
ACT.10.20	A zo nâŋâ sâŋgonzâŋgua ge.”
ACT.10.21	Oi Peteroŋâ den zo nâŋgâmŋâ zeŋgâren geimŋâ sâip, “Wangât nâgâren ge?” 
ACT.10.22	Sâi a ziŋâ dukuwe, “Kâwali galem a patâ Konelio, zâk Anutu hurat kwap târârak ândimap. Yuda a zen zâkkât nâŋgâne a âlipŋâ opmap. Sumbem kore a ŋâiŋâ zâkkâren âsagem gâ mirâŋan diigim arindâ diŋgâ nâŋgâbapkât sâip,” 
ACT.10.23	Yatâ sâne Peteroŋâ nâŋgâm sâi mirin zâine nalem ziŋgip. Haŋsâi zâk sot Yope kamânân gokŋâ a nâmbutŋâ zen sot âiwe.
ACT.10.24	Zen mâtâbân âi zem Kaisarea kamânân takâwe. Konelio, zâk a ambârâpŋâ sot bukurâpŋâ minduziŋgi mambâtziŋgâm tatne gawe. 
ACT.10.25	Gamŋâ Petero zâkkât mirin zari Konelio zâk kiŋ topŋan gei zem mâpâseip. 
ACT.10.26	Zei Peteroŋâ mem zaatŋâ itâ sâm dukuip, “Zaat. Nâ a, gâ yatâ.” 
ACT.10.27	Yatâ sâm mirâ umŋan âim a ambân kâmut patâ muyageziŋgâm itâ sâm dâzâŋgoip, 
ACT.10.28	“Zen Yuda a neŋgât topniŋâ nâŋgâme. Nen a kamân ŋâin gokŋâ zen sot buku opŋâ tâtat mâme mân upmen. Gurumin denân den ŋâiŋâ mâtâp zo dooŋgoi ziap. Nâ ko Anutuŋâ ziŋgiri mân dâp opmap mân sâbatkât Anutuŋâ umanân nii zuu bâliŋâ sot mân niniŋâ buraŋŋoot saam pâi gei tirâpnogip. 
ACT.10.29	Zorat a ziŋâ nâgâren ga dâtnone nâ mân kwaksan. Oi zi diiniwe, zorat sâne nâŋgânâ.”
ACT.10.30	Yatâ sâi Konelioŋâ itâ sâm dukuip, “Sirâm kimembut ombeŋan mirâ oi nâ mirin tap ninâu sâm ta a ŋâi hâmbâŋâ âsakŋâŋoot nâgâren muyagem itâ sâm dâtnogip, 
ACT.10.31	‘Konelio, Anutuŋâ ninâugâ sot orot mâmegâ nâŋgi âlip uap. 
ACT.10.32	Zorat gâ Yope kamânân a sâŋgonzâŋgona âi Simoŋ, kutŋâ ŋâi Petero, zâk diim gabi. A ŋâi bâu sâkziŋ lâkum tuumap, kutŋâ Simoŋ, zâkkât mirin tâtat mâme uap. Mirâŋâ saru sâtŋan taap.’ 
ACT.10.33	Oi nâ zorat a sâŋgonzâŋgua gâgâren âiwe. Gâ nâgât den lum gaatkât umnâ âlip uap. Oi Anutuŋâ den dâgogip, zo sâna nâŋgânatkât Anutugât mâteŋan mindum ten.”
ACT.10.34	Petero zâk topkwapŋâ itâ sâm dâzâŋgoip, “Itârâŋ nâ itâ ek nâŋgan. Anutu zâk a kâmut ŋâi buku otziŋgâm a kâmut ŋâin kândâtzâŋgom mân opmap. 
ACT.10.35	A kâmutŋâ kâmutŋâ zeŋgâren gâbâ nâmbutŋandâ hurâtkwapŋâ târârak ândine, zeŋgât nâŋgi âlip opmap.
ACT.10.36	Anutu zâk Isirae a den niŋgip, zo itâ. Yesu Kristo, zâk a neŋgât Kembu. Anutuŋâ zâk sâŋgongoi gem lumbeŋaŋgât den dâtnâŋgoip, zo nâŋge. 
ACT.10.37	Yohane zâk too saŋgonziŋgâbapkât den dâzâŋgoip, narâk zoren Yesugât den siŋgi âlip zo Galilaia hânân topkwâi Yudaia hânân arip. 
ACT.10.38	Oi Yesu, Nasarete kamânân gokŋâ zo ko Anutuŋâ imbaŋâ sot Tirik Kaapum pindi hân muruk toren toren âim sisi mâsek a âlip kwatziŋgip. Oi a ambân Sataŋŋâ saaziŋgip, zo aksik olaŋziŋgip. Anutuŋâ tâŋgoi nep zo tuugip. 
ACT.10.39	Oi Yuda a neŋgât hânân sot Yerusalem kamânân kut ŋâi ŋâi tuum arip, zo ek nâŋgâwen. Oi a sâtŋâ ziŋ gâsum poru nagân kune moip. 
ACT.10.40+ACT.10.41	Mom zei sirâm karâmbut oi Anutuŋâ kwagân gâbâ mâŋgeip. Mâŋgei neŋgâren âsageniŋgip. Zorat mârumŋan Anutu zâk siŋgi kwatniŋgip. A nâmbutŋâ zeŋgâren mân âsagei igâwe. Zâk mumuŋan gâbâ âsagei nalem sot too ârândâŋ niwen.
ACT.10.42	Oi Anutuŋâ Yesu a mumuŋâ sot gwâlâ neŋgât den sâm kwâkâkwâkâŋ a kwânâŋgip. Oi nen den zo a ambân dâzâŋgonatkât nep diŋ sâm niŋgip. 
ACT.10.43	Oi a ziŋ nâŋgâm pâlâtâŋ kwâkŋaŋgâbi zo, zeŋgât tosa gulipkubap. Den zo Propete ziŋ sapsum naŋgâwe.”
ACT.10.44	Petero zâk den yatâ sâm kiri nâŋgâm tarâwe aksik zeŋgâren Tirik Kaapum gem gâip. 
ACT.10.45	Oi Yuda a Yesugât kâmurân gâbâ Petero sot âiwe, zen Anutuŋâ a hân ŋâin gokŋâ Tirik Kaapum ziŋgip, zo ekŋâ imbaŋâziŋ buŋ oip. 
ACT.10.46	A hân ŋâin gokŋâ, zen den gându uŋakŋâ sâm Anutu sâm âlip kwâkŋaŋgâwe. 
ACT.10.47	Oi Peteroŋâ itâ sâip, “Nen Tirik Kaapum sot urâwen, yatigâk Tirik Kaapum âsageziŋgap. Zorat too saŋgonsaŋgon zo a ziŋ aŋgân kârâne mân dâp upap.” 
ACT.10.48	Yatâ sâi ziŋâ Yesu Kristogât korân sâm too saŋgonziŋgâwe. Too saŋgonziŋgâne Petero mân âibapkât sânetâ hilâm nâmbut zen sot tâip.
ACT.11.1	Aposolo nâmbutŋâ sot Yesugât kâmut Yudaia hânân ândiwe, zen kamân ŋâin gokŋandâ Anutugât den nâŋgâm luwe, zorat siŋgi nâŋgâwe. 
ACT.11.2	Oi Petero zâk Yerusalem kamânân zari Yuda a nâmbutŋâ Mosegât gurumin den zorik zimbapkât kâtigiwe, a zo ziŋâ Petero oip, zorat nâŋgâne mân dâp oip. 
ACT.11.3	Oi Petero itâ sâm dukuwe, “Gâ wangât Mosegât gurumin den kom a mân kwabâ kwâraŋgâwe, zen sot den op nalem nein?”
ACT.11.4	Oi Peteroŋâ kut ŋâi ŋâi âsageip, zorat topŋan gâbâ itâ sâm dâzâŋgom naŋgip, 
ACT.11.5	“Nâ Yope kamânân ninâu sâm ândim uman itâ egâwan. Isen patâ ŋâi muruk toren toren kimembut saam sumbemân gâbâ pane gem umnâ topŋan zeip. 
ACT.11.6	Gem gâi umŋan itâ egâwan. Zuu top top, kamângât sot ulin, mulum mot sot nii umŋan ziwe. 
ACT.11.7	Oi nâgâren den ŋâi itâ gâip, ‘Petero, gâ zaat kom gaam ne.’ 
ACT.11.8	Oi nâŋâ sâwan, ‘Kembu, yatâ buŋâ. Zuu bâliŋâ mo mân niniŋâ mân nemân.’ 
ACT.11.9	Yatâ sa sumbemân gâbâ den zagâtŋâ itâ muyageip, ‘Anutuŋâ kut ŋâi ŋâi zo âlipŋâ sap, zo gâŋâ ekŋâ bâliŋâ mân sâban.’ 
ACT.11.10	Yatâ muyagei sâp karâmbut oi isenŋoot sumbemân zarip. 
ACT.11.11	Kut ŋâi ŋâi zo zari Kaisarea kamânân gâbâ a karâmbut nâ mirâ ândiwanân, zoren gawe. A karâmbut zo patâziŋâ zâk sâŋgonzâŋgoi gawe. 
ACT.11.12	Gane Kaapumŋâ itâ sâm dâtnogip, ‘Gâ zen sot âibam keŋgât mân upan.’
ACT.11.12	Oi âibâ sa Yesugât kâmurân gâbâ a nâmburân kânok nâ sot âiwen. Âi takâm kâwali a sâtŋâ, zâkkât mirin zâiwen. 
ACT.11.13	Zarindâ den siŋgi itâ sâm dâtnâŋgoip, ‘Nâgât mirin sumbem a ŋâiŋâ muyagem kin itâ sâm dâtnogip, “Gâ Yope kamânân kore a sâŋgonzâŋgona âi Simoŋ, kutŋâ ŋâi Petero diim gabi. 
ACT.11.14	Zâkŋâ gamŋâ gâ sot a ambârâpkâ, zen Kembugât siŋgi upigât den dâzâŋgobap.” ’ 
ACT.11.15	Oi nâ siŋgi âlipŋâ dâzâŋgua mârum Tirik Kaapum neŋgâren geip, zo yatik zeŋgâren geip. 
ACT.11.16	Oi nâ zo ekŋâ Yesuŋâ den dâtnâŋgoip, zo nâŋgâwan. Den zo itâ, ‘Yohaneŋâ too saŋgonziŋgip. Nâŋâ ko Tirik Kaapum saŋgonziŋgâbat.’ 
ACT.11.17	Oi nen Kembuniŋâ Yesu Kristo nâŋgâm pâlâtâŋ kwâindâ Kaapumŋâ niŋgip, zo yatik zen utne ziŋgip. Oi ko nâ dap yatâ Anutu kwâkâŋaŋgâbam?”
ACT.11.18	Yatâ sâm dâzâŋgoi nâŋgâmŋâ umziŋ diim gei Anutu sâm âlip kwâkŋaŋgâm itâ sâwe, “Opoŋ, Anutuŋâ a kamân ŋâin gok umziŋ melâŋi ândiândiŋ kâtikkât siŋgi upigât kwatziŋgip.”
ACT.11.19	Setepano komŋâ Yesugât kâmut zâŋgonetâ siŋsururuŋ op kamân toren toren âiwe. Nâmbutŋandâ Poinike, Kipiro sot Antiokia kamânân âiwe. Âi ândim kamân zoren Yuda a ândiwe, zorik siŋgi âlip dâzâŋgom ândiwe. 
ACT.11.20	Oi Kipiro sot Kirene kamânân gok ândiwe, zen Antiokia kamânân âimŋâ hân ŋâin gok Kembu Yesugât den siŋgi dâzâŋgowe. 
ACT.11.21	Oi Kembuŋâ imbaŋâ ziŋgi a ambân doŋbep patâ zen den siŋgi âlipŋâ nâŋgâm umziŋ melâŋ Kembu nâŋgâm pâlâtâŋ kwâkŋaŋgâwe.
ACT.11.22	Zorat den siŋgi Yerusalem kamânân ari Yesugât kâmut zen Banaba sâŋgongune Antiokia kamânân arip. 
ACT.11.23	Âi takâmŋâ Kembuŋâ kubikziŋgip, zo ekŋâ umŋâ âlip oip. Oi Kembugâren pâlâtâŋ op kâtigem kinbigât den dâzâŋgoip. 
ACT.11.24	Banaba zâk a âlipŋâ sot nâŋgâm pâlâtâŋoot. Tirik Kaapumŋâ umŋan piksâm zeip. Oi kamân zoren a ambân doŋbep zen Kembugât a urâwe.
ACT.11.25	Oi Banaba zâk Saulo muyagibam Taso kamânân arip. 
ACT.11.26	Âi muyagem diigi Antiokia kamânân âiwet. Zoren kendon patâ ŋâigât umŋan zoren Yesugât kâmut zeŋgât minduminduyân a doŋbep Yesugât den siŋgi dâzâŋgom ândiwet. Antiokia kamânân Yesugât kâmut a zo zeŋgât kutziŋâ Kristo a sâm muyagiwe.
ACT.11.27	Narâk zoren Propete nâmbutŋâ zen Yerusalem kamânân gâbâ Antiokia kamânân âiwe. 
ACT.11.28	Oi zeŋgâren gâbâ a ŋâi kutŋâ Agabo. Zâk Kaapumŋâ okŋaŋgi hân dâp pu patâ muyagibap, zorat den kânŋan sâip. (Roma zeŋgât a kutâ Klaudio ândei pu zo âsageip.) 
ACT.11.29	Oi Yesugât kâmut zen den so nâŋgâm kât zemziŋgip dâp mindumŋâ Yudaia hânân bukurâpziŋ ândiwe, zeŋgâren pane âibapkât sâwe. 
ACT.11.30	Oi kât muyagiwe, zo Banaba sot Saulo zikâne mem Yerusalem kamânân âi Yesugât kâmut, zeŋgât galem a ziŋgâwet.
ACT.12.1	Narâk zoren a kutâ Herodeŋâ Yesugât kâmut a nâmbut zâŋgom tâk namin zâmbarip. 
ACT.12.2	Oi zâkŋâ sâi arâpŋâ Yohanegât âtâŋâ Yakobo gâsum sâuŋâ kârâne moip. 
ACT.12.3+ACT.12.4	Yatâ oi Yuda a zen ekŋâ umziŋ âlip oi Herodeŋâ zo ekŋâ sâi arâpŋâ zen Petero gâsune Yuda zeŋgât kendon ŋâi kutŋâ Pasowa mâte oi tâk namin pane kâwali a kiin nâmburân kânok, zen galem upigât sâm ziŋgip. Herodeŋâ itâ nâŋgip, “Pasowa kendon âki Petero diim ga a mâteziŋan sa kumbi.” 
