GEN.1.1	I begynnelsen skapte Gud himmelen og jorden. 
1CH.29.13	Så priser vi deg nå, vår Gud, og lover ditt herlige navn. 
1CH.29.14	For hvem er vel jeg, og hva er mitt folk, at vi skulle være i stand til å gi en frivillig gave som denne? Fra deg kommer det alt sammen, og av det som din hånd har gitt oss, har vi gitt deg. 
1CH.29.15	For vi er fremmede for ditt åsyn og gjester, som alle våre fedre. Som en skygge er våre dager på jorden og uten håp. 
1CH.29.16	Herre vår Gud! Alle disse rikdommer som vi har samlet sammen for å bygge et hus for ditt hellige navn, de kommer fra din hånd, og ditt er det alt sammen. 
1CH.29.17	Jeg vet, min Gud, at du ransaker hjerter og har behag i oppriktighet. Av et oppriktig hjerte har jeg villig gitt deg alt dette. Og med glede har jeg nå sett hvordan ditt folk som står her, villig har gitt deg sine gaver. 
1CH.29.18	Herre, du Abrahams, Isaks og Israels, våre fedres Gud! La dette alltid være ditt folks hjertelag og tanker, og vend deres hjerte til deg! 
1CH.29.19	Og gi min sønn Salomo et udelt hjerte til å holde dine bud, dine vitnesbyrd og dine forskrifter og fullføre alt sammen og bygge den herlige bygningen som jeg har tilrettelagt. 
1CH.29.20	Deretter sa David til hele forsamlingen: Lov Herren deres Gud! Og hele forsamlingen lovet Herren, sine fedres Gud, og bøyde seg og kastet seg ned for Herren og for kongen. 
1CH.29.21	Så bar de slaktoffer fram for Herren. Og dagen etter ofret de brennoffer til Herren: tusen okser, tusen værer, tusen lam, med de drikkoffer som hører til, og en mengde slaktoffer for hele Israel. 
1CH.29.22	Den dagen åt og drakk de for Herrens åsyn med stor glede. Og de gjorde Davids sønn Salomo til konge for andre gang*, og salvet ham til Herrens fyrste, og Sadok til prest. 
1CH.29.23	Salomo satt på Herrens trone som konge etter sin far David. Han hadde lykken med seg, og hele Israel viste ham lydighet. 
1CH.29.24	Og alle høvdingene og heltene og likeså alle kong Davids sønner hyllet kong Salomo. 
1CH.29.25	Herren lot Salomo bli overmåte stor for hele Israels øyne og ga ham en kongelig herlighet som ingen konge i Israel før ham hadde hatt. 
1CH.29.26	David, Isais sønn, hadde vært konge over hele Israel. 
1CH.29.27	Den tid han var konge over Israel, var førti år. I Hebron regjerte han i sju år, og i Jerusalem regjerte han i trettitre år. 
1CH.29.28	Han døde i høy alder, mett av dager, rikdom og ære. Og hans sønn Salomo ble konge etter ham. 
1CH.29.29	Det som er å fortelle om kong David, både i hans første og i hans senere dager, det er oppskrevet i seeren Samuels krønike og i profeten Natans krønike og i seeren Gads krønike. 
1CH.29.30	Der er også fortalt om hele hans regjering og hans store gjerninger og om de tider som kom over ham og Israel og over alle andre land og riker. 
2CH.1.1	Salomo, Davids sønn, styrket sitt kongedømme. Herren hans Gud var med ham og lot ham bli overmåte stor. 
2CH.1.2	Og Salomo kalte til seg hele Israel, høvedsmennene over tusen og over hundre, dommerne og alle høvdingene i hele Israel, og overhodene for deres slekter. 
2CH.1.3	Han og alle de han hadde kalt sammen, dro til offerhaugen i Gibeon. For der sto Guds sammenkomst-telt, det som Herrens tjener Moses hadde laget i ørkenen. 
2CH.1.4	Men Guds ark hadde David ført opp fra Kirjat-Jearim til det stedet han hadde gjort i stand for den, for han hadde reist et telt for den i Jerusalem. 
2CH.1.5	Kobberalteret som Besalel, sønn til Uri og sønnesønn til Hur, hadde laget, sto der foran Herrens tabernakel. Og Salomo og de han hadde kalt sammen, søkte dit. 
2CH.1.6	Og Salomo gikk opp dit, til kobberalteret for Herrens åsyn i sammenkomstens telt, og ofret tusen brenn-offer på det. 
2CH.1.7	Samme natt åpenbarte Gud seg for Salomo og sa til ham: Be om det du vil jeg skal gi deg! 
2CH.1.8	Salomo svarte Gud: Du har vist stor miskunn mot min far David og gjort meg til konge etter ham. 
2CH.1.9	Herre Gud, så la nå ditt ord til min far David bli sannhet! For du har gjort meg til konge over et folk som er så tallrikt som støvet på jorden. 
2CH.1.10	Gi meg nå visdom og kunnskap, så jeg kan være leder og fører for dette folket! For hvem kunne ellers dømme dette ditt folk som er så stort? 
2CH.1.11	Da sa Gud til Salomo: Fordi det var dette som lå deg på hjertet, og du ikke har bedt om rikdom, skatter og ære eller dine fienders død og heller ikke om et langt liv, men har bedt om visdom og kunnskap, så du kan dømme mitt folk som jeg har gjort deg til konge over, 
2CH.1.12	så er visdom og kunnskap gitt deg. Og jeg vil også gi deg rikdom og skatter og ære, som ingen av de kongene som har vært før deg har hatt, og heller ikke de som kommer etter deg, kommer til å få. 
2CH.1.13	Så dro Salomo fra offerhaugen i Gibeon, fra sammenkomstens telt, tilbake til Jerusalem. Og han regjerte over Israel. 
2CH.1.14	Salomo skaffet seg mange stridsvogner og hestfolk. Han hadde fjorten hundre stridsvogner og tolv tusen hestfolk. Noen av dem la han i vognbyene, noen hos seg selv i Jerusalem. 
2CH.1.15	Kongen gjorde sølvet og gullet i Jerusalem like så vanlig som stein, og sedertre like så vanlig som morbærtrærne i lavlandet. 
2CH.1.16	Hester ble innført til Salomo fra Egypt og fra Kue. Kongens kjøpmenn kjøpte dem i Kue og hentet dem der. 
2CH.1.17	Hver vogn som ble hentet opp fra Egypt og innført, kostet seks hundre sekel sølv og hver hest ett hundre og femti. På samme måten hentet de også vogner og hester derfra til alle hetittenes konger og til kongene i Syria. 
2CH.2.1	Salomo tenkte nå på å bygge et hus for Herrens navn og et hus for seg selv til kongebolig. 
2CH.2.2	Han skrev ut sytti tusen mann til bærere og åtti tusen mann til steinhoggere på fjellene, og han satte tre tusen seks hundre oppsynsmenn over dem. 
2CH.2.3	Så sendte han bud til Hiram, kongen i Tyrus, og sa: Gjør nå det samme for meg som du gjorde for min far David, da du sendte ham sedertre, så han kunne bygge seg et hus til å bo i! 
2CH.2.4	Nå vil jeg bygge et hus for Herrens, min Guds navn og innvie det til ham, så vi kan brenne velluktende røkelse for hans åsyn og legge fram de daglige skuebrød, og ofre brennoffer morgen og kveld på sabbatene og nymånedagene og på Herrens, vår Guds høytider. Dette er pålagt Israel for alle tider. 
2CH.2.5	Det huset som jeg vil bygge, skal være stort. For vår Gud er større enn alle guder! 
2CH.2.6	Men hvem makter vel å bygge et hus for ham? Himlene og himlenes himler rommer ham ikke. Hvem er da jeg, at jeg skulle bygge et hus for ham - nei, bare et sted hvor vi kan brenne røkelse for hans åsyn. 
2CH.2.7	Så send meg nå en mann som er kyndig i å arbeide i gull og sølv og kobber og jern, og i purpurrød og karmosinrød og blå ull, og som forstår seg på å skjære ut bilder, så han kan arbeide sammen med de kunstforstandige menn som jeg har her i Juda og i Jerusalem, og som min far David har kalt til dette. 
2CH.2.8	Send meg også sedertre, sypresstre og sandeltre fra Libanon. For jeg vet at dine tjenere forstår seg på å hogge trærne på Libanon, og mine tjenere skal arbeide sammen med dine. 
2CH.2.9	De må sørge for trær i mengdevis til meg, for det huset jeg vil bygge, skal være stort og prektig. 
2CH.2.10	Tømmerhoggerne, dine tjenere som feller trærne, vil jeg gi tjue tusen kor tresket hvete og tjue tusen kor bygg og tjue tusen bat vin og tjue tusen bat olje. 
2CH.2.11	Hiram, kongen i Tyrus, svarte i et brev som han sendte Salomo: Fordi Herren elsker sitt folk, har han satt deg til konge over dem. 
2CH.2.12	Og Hiram skrev videre: Lovet være Herren, Israels Gud, som har skapt himmelen og jorden, fordi han har gitt kong David en vis sønn, som har slik visdom og forstand at han kan bygge et hus for Herren og et hus for seg selv til kongebolig! 
2CH.2.13	Jeg sender deg nå en kyndig og forstandig mann, Huram-Abi. 
2CH.2.14	Han er sønn til en kvinne av Dans døtre, men hans far er en mann fra Tyrus. Han forstår seg på å arbeide i gull og sølv, kobber, jern, stein og tre, og i purpurrød og blå ull og i hvitt lin og i karmosinrød ull. Og han forstår seg på å skjære ut alle slags bilder og planlegge alle slags kunstverk som han får som sin oppgave, sammen med dine kyndige menn og min herres, din far Davids kyndige menn. 
2CH.2.15	Nå kan min herre sende sine tjenere hveten og byggen, oljen og vinen som han har talt om. 
2CH.2.16	Så skal vi hogge så mange trær på Libanon som du har bruk for, og sende dem i flåter på havet til Jaffa. Så kan du selv hente dem opp til Jerusalem. 
2CH.2.17	Så talte Salomo alle de fremmede menn som bodde i Israels land - det var etter den tellingen hans far David hadde foretatt. Det viste seg at det var ett hundre og femtitre tusen seks hundre mann. 
2CH.2.18	Av dem gjorde han sytti tusen til bærere og åtti tusen til steinhoggere på fjellene, og tre tusen seks hundre til oppsynsmenn, som skulle holde folket i arbeid. 
2CH.3.1	Så begynte Salomo å bygge Herrens hus i Jerusalem, på Moria-fjellet. Det var der Herren hadde åpenbart seg for hans far David, på det stedet David hadde gjort i stand, på jebusitten Ornans treskeplass. 
2CH.3.2	Han begynte å bygge på den andre dagen i den andre måneden i det fjerde året av sin regjering. 
2CH.3.3	Da Salomo skulle bygge Guds hus, la han grunnvollen slik: Lengden var seksti alen etter det eldre mål, og bredden tjue alen. 
2CH.3.4	Forhallen som lå foran huset, var tjue alen bred, svarende til bredden av huset, og ett hundre og tjue alen høy. Og han kledde den innvendig med rent gull. 
2CH.3.5	Det store huset kledde han med sypresstre. Dessuten kledde han det med ekte gull og satte palmer og kjeder på det. 
2CH.3.6	Han smykket huset med edelsteiner. Gullet var gull fra Parvajim. 
2CH.3.7	Hele huset, både bjelkene og dørtersklene og veggene og dørene kledde han med gull, og skar ut kjeruber på veggene. 
2CH.3.8	Det aller helligste bygde han slik at lengden var tjue alen, svarende til bredden av huset, og bredden tjue alen, og han kledde det med ekte gull som veide seks hundre talenter. 
2CH.3.9	Vekten på naglene, som var av gull, var femti sekel. Også loftsrommene kledde han med gull. 
2CH.3.10	I Det aller helligste laget han to kjeruber i billedhoggerarbeid og kledde dem med gull. 
2CH.3.11	Kjerubenes vinger var tjue alen lange. Den ene vingen på den ene kjeruben var fem alen og rørte ved husets vegg. Den andre vingen var fem alen og rørte ved vingen til den andre kjeruben. 
2CH.3.12	Og den ene vingen på den andre kjeruben var fem alen og rørte ved husets vegg, og den andre vingen var fem alen og nådde vingen til den første kjeruben. 
2CH.3.13	Slik målte disse kjerubenes vinger i sin fulle utstrekning tjue alen. De sto oppreist, og ansiktene vendte innover. 
2CH.3.14	Forhenget laget han av blå og purpurrød og karmosinrød ull og hvitt lin, og satte kjeruber på det. 
2CH.3.15	Foran huset laget han to søyler, som til sammen var trettifem alen høye, og søylehodet over dem var fem alen. 
2CH.3.16	Han laget kjeder i det innerste rommet og satte dem på toppen av søylene, og han laget hundre granatepler og satte dem på kjedene. 
2CH.3.17	Så reiste han søylene foran templet, den ene på høyre side og den andre på venstre side. Den til høyre kalte han Jakin og den til venstre Boas. 
2CH.4.1	Så laget han et alter av kobber, som var tjue alen langt og tjue alen bredt og ti alen høyt. 
2CH.4.2	Og han laget det støpte havet. Det var ti alen fra den ene kanten til den andre, og var helt rundt. Det var fem alen høyt, og en snor på tretti alen nådde rundt det. 
2CH.4.3	Nedenfor kanten var det bilder av okser rundt omkring. De nådde rundt omkring havet, ti på hver alen. Det var to rader med okser, og de var støpt i ett med havet. 
2CH.4.4	Havet sto på tolv okser. Tre vendte mot nord, tre vendte mot vest, tre vendte mot sør, og tre vendte mot øst. Havet hvilte på dem. Deres bakkropper vendte alle innover. 
2CH.4.5	Kummen var en håndsbredd tykk. Kanten var som randen på et beger, lik en liljeblomst. Den tok mange bat - tre tusen bat rommet den. 
2CH.4.6	Så laget han ti vaskekar og satte fem på høyre side og fem på venstre side. I dem skylte de det som hørte til brennofferet, men havet hadde prestene til å vaske seg i. 
2CH.4.7	Videre laget han ti gullysestaker i den foreskrevne form, og satte dem i Det hellige, fem på høyre og fem på venstre side. 
2CH.4.8	Og han laget ti bord og satte dem i Det hellige, fem på høyre og fem på venstre side. Og han laget hundre skåler av gull. 
2CH.4.9	Så bygde han prestenes forgård og den store gården og dører til gården. Dørene kledde han med kobber. 
2CH.4.10	Havet satte han på høyre side av huset, mot sørøst. 
2CH.4.11	Huram laget askebøttene og ildskuffene og skålene til å stenke blod med. Så var Huram ferdig med det arbeidet han gjorde for kong Salomo i Guds hus. Det var: 
2CH.4.12	to søyler og de to skålene og søylehoder på toppen av søylene, og de to nettverkene til å dekke de to skålene på søylehodene på toppen av søylene, 
2CH.4.13	og de fire hundre granateplene til de to nettverkene - to rader granatepler til hvert nettverk - til å dekke de to skålene på søylehodene. 
2CH.4.14	Og han laget fotstykkene og karene på fotstykkene, 
2CH.4.15	havet og de tolv oksene under det, 
2CH.4.16	og askebøttene og ildskuffene og gaflene og alt det som hørte til, laget mesteren Huram - som kong Salomo hadde i sin tjeneste - for ham til Herrens hus. Alt var av blankt kobber. 
2CH.4.17	Det var på Jordan-sletten kongen lot dem støpe, i leirjorden mellom Sukkot og Seredata. 
2CH.4.18	Salomo laget alle disse sakene i stor mengde, for kobberets vekt ble ikke undersøkt. 
2CH.4.19	Salomo laget også alle de ting som skulle være i Guds hus: gullalteret og bordene som skuebrødene skulle ligge på, 
2CH.4.20	lysestakene med lamper som skulle tennes på foreskreven måte - de sto foran det innerste rommet, og de var av fint gull. 
2CH.4.21	Blomstene på dem og lampene og lysesaksene var av gull - av det reneste gull - 
2CH.4.22	og knivene og skålene til å stenke blod med og røkelsesskålene og fyrfatene, alt var av fint gull. Og i inngangene til huset var både de indre dørene som førte til Det aller helligste, og de dørene som førte til Det hellige, laget av gull. 
2CH.5.1	Da det nå var ferdig, alt det arbeidet Salomo hadde latt utføre for Herrens hus, lot han bære inn dit de ting som hans far David hadde helliget til Herren. Både sølvet og gullet og alle karene la han ned i skattkammeret i Guds hus. 
2CH.5.2	Så kalte Salomo sammen til Jerusalem Israels eldste og alle stammehøvdingene, overhodene for Israels barns familier, for å føre Herrens paktsark opp fra Davids by, det er Sion. 
2CH.5.3	Og alle Israels menn samlet seg hos kongen på festen i den sjuende måneden. 
2CH.5.4	Da nå alle Israels eldste var kommet, løftet levittene arken opp. 
2CH.5.5	Og de bar opp arken og sammenkomstens telt og alle de hellige kar som var i teltet. Det var de levittiske prestene som bar dem opp. 
2CH.5.6	Og kong Salomo og hele Israels menighet, som hadde samlet seg hos ham, sto foran arken. Og de ofret småfe og storfe i slik mengde at de ikke kunne telles eller regnes. 
2CH.5.7	Prestene bar Herrens paktsark inn på dens plass i husets innerste rom, i Det aller helligste, under kjerubenes vinger. 
2CH.5.8	For kjerubene bredte vingene ut over det stedet hvor arken sto, slik at kjerubene ovenfra dekket både over arken og bærestengene. 
2CH.5.9	Stengene var så lange at en kunne se endene av dem fra Det hellige foran det innerste rommet, men ikke utenfra. Og der har arken vært til denne dag. 
2CH.5.10	Det var ikke noe annet i arken enn de to tavlene som Moses hadde lagt ned i den ved Horeb, den gang Herren sluttet pakt med Israels barn da de dro ut av Egypt. 
2CH.5.11	Så gikk prestene ut av helligdommen. Alle de prestene som var der, hadde helliget seg, uansett hvilket skift de tilhørte. 
2CH.5.12	Og alle de levittiske sangerne, både Asaf og Heman og Jedutun og deres sønner og deres brødre, sto i klær av fint lin med cymbler og harper og sitarer på østsiden av alteret. Sammen med dem sto ett hundre og tjue prester som blåste i trompeter. 
2CH.5.13	Og trompetblåserne og sangerne, alle som én og på én gang, stemte i for å love og prise Herren, og de lot trompetene og cymblene og de andre musikkinstrumentene klinge, og lovet Herren, fordi han er god og hans miskunnhet varer til evig tid. - Da ble huset, Herrens hus, fylt av en sky. 
2CH.5.14	Og på grunn av skyen kunne prestene ikke bli stående og gjøre tjeneste. For Herrens herlighet fylte Guds hus. 
2CH.6.1	Da sa Salomo: Herren har sagt at han vil bo i det dunkle. 
2CH.6.2	Og nå har jeg bygd et hus til bolig for deg, et sted hvor du kan bo til evig tid. 
2CH.6.3	Så vendte kongen seg om og velsignet hele Israels menighet, mens hele Israels menighet sto. 
2CH.6.4	Han sa: Lovet være Herren, Israels Gud, som med sin munn talte med David, min far, og med sin hånd har oppfylt det han lovte da han sa: 
2CH.6.5	Fra den dagen jeg førte mitt folk ut av landet Egypt, har jeg ikke utvalgt noen by blant alle Israels stammer, hvor det skulle bygges et hus til bolig for mitt navn. Heller ikke har jeg utvalgt noen mann til å være fyrste over mitt folk Israel. 
2CH.6.6	Men jeg utvalgte Jerusalem til bolig for mitt navn, og jeg utvalgte David til å råde over mitt folk Israel. 
2CH.6.7	Og David, min far, hadde i sinne å bygge et hus for Herrens, Israels Guds navn. 
2CH.6.8	Men Herren sa til David, min far: Du gjorde vel i at du hadde i sinne å bygge et hus for mitt navn. 
2CH.6.9	Men du skal ikke bygge huset. Din sønn, han som du skal bli far til, han skal bygge huset for mitt navn. 
2CH.6.10	Og Herren har nå oppfylt det ordet han hadde talt. Jeg er trådt i min far Davids sted og har tatt sete på Israels trone, slik som Herren hadde sagt. Jeg har også bygd huset for Herrens, Israels Guds navn. 
2CH.6.11	Og der har jeg satt arken, hvor Herrens pakt er, den pakten som han sluttet med Israels barn. 
2CH.6.12	Så trådte Salomo fram foran Herrens alter midt for hele Israels menighet og bredte hendene ut. 
2CH.6.13	For han hadde laget en forhøyning av kobber, fem alen lang og fem alen bred og tre alen høy, og satt den midt i gården. På den sto han nå. Og han falt på kne midt foran hele Israels menighet og bredte hendene ut mot himmelen 
2CH.6.14	og sa: Herre, Israels Gud! Det er ingen Gud som du, verken i himmelen eller på jorden, du som holder din pakt og lar din miskunnhet vare ved mot dine tjenere, når de vandrer for ditt åsyn av hele sitt hjerte. 
2CH.6.15	Du som har holdt det du lovte din tjener David, min far. Du lovte det med din munn, og med din hånd har du oppfylt det, som det viser seg i dag. 
2CH.6.16	Herre, Israels Gud! Så hold nå også det du lovte din tjener David, min far, da du sa: Det skal aldri mangle en mann av din ætt til å sitte på Israels trone for mitt åsyn, så sant dine barn akter på sin vei og vandrer etter min lov, slik som du har vandret for mitt åsyn. 
2CH.6.17	Herre, Israels Gud! Så la nå det ordet bli sannhet som du har talt til din tjener David! 
2CH.6.18	Men bor da Gud virkelig hos menneskene på jorden? Se, himlene og himlenes himler rommer deg ikke! Hvor meget mindre da dette huset som jeg har bygd. 
2CH.6.19	Men du vil likevel vende deg til din tjeners bønn og til hans ydmyke begjæring, Herre min Gud, og høre det rop og den bønn som din tjener bærer fram for ditt åsyn. 
2CH.6.20	La dine øyne være åpne over dette huset dag og natt - det stedet du har talt om og sagt at du vil la ditt navn bo der - så du hører på den bønn som din tjener ber, vendt mot dette stedet. 
2CH.6.21	Du vil høre på tjeneren din og på ditt folk Israels ydmyke bønner, som de bærer fram vendt mot dette stedet. Du vil høre dem fra det sted hvor du bor, fra himmelen, du vil høre og tilgi. 
2CH.6.22	Når noen synder mot sin neste, og de krever at han skal avlegge ed, og han så kommer inn og sverger foran ditt alter i dette huset, 
2CH.6.23	så vil du høre i himmelen og gripe inn og hjelpe dine tjenere til deres rett. Du vil gjengjelde den skyldige og la hans gjerninger komme over hans eget hode. Og du vil dømme den rettferdige rettferdig og la ham få igjen for sin rettferdighet. 
2CH.6.24	Når ditt folk Israel blir slått av fienden fordi de synder mot deg, men de så vender om og bekjenner ditt navn og ber til deg og bønnfaller om nåde for ditt åsyn i dette huset, 
2CH.6.25	så vil du høre det i himmelen og tilgi ditt folk Israels synd og føre dem tilbake til det landet du har gitt dem og deres fedre. 
2CH.6.26	Når himmelen lukkes, så det ikke kommer regn, fordi de har syndet mot deg, og de så ber, vendt mot dette stedet, og bekjenner ditt navn og omvender seg fra sin synd, fordi du har ydmyket dem, 
2CH.6.27	da vil du høre det i himmelen og tilgi dine tjeneres og ditt folk Israels synd. For du vil lære dem den gode veien de skal vandre, og du vil la det regne over ditt land som du har gitt ditt folk til arv. 
2CH.6.28	Når det blir hungersnød i landet, når det kommer pest, når det kommer sot og rust* på kornet, gresshopper og gnagere, når fienden trenger inn i landet og beleirer byene, når det kommer noen plage eller noen sykdom, 
2CH.6.29	hver gang det da kommer en bønn eller ydmyk begjæring fra noe menneske eller fra hele ditt folk Israel, fordi de hver for seg kjenner sin plage og lidelse, og de så brer ut sine hender mot dette huset, 
2CH.6.30	da vil du høre det i himmelen, der hvor du bor. Du vil tilgi og gi hver mann etter hans ferd, fordi du kjenner hans hjerte - for bare du kjenner menneskenes hjerte. 
2CH.6.31	Og så skal de frykte deg og gå på dine veier alle de dager de lever i det landet du har gitt våre fedre. 
2CH.6.32	Kan hende det også kommer en fremmed, en som ikke er av ditt folk Israel, men kommer fra et fjernt land for ditt store navns og din sterke hånds og din utrakte arms skyld. Når han kommer og ber, vendt mot dette huset, 
2CH.6.33	så vil du høre i himmelen, der hvor du bor. Du vil gjøre alt som den fremmede roper til deg om, så alle jordens folk må lære å kjenne ditt navn og frykte deg likesom ditt folk Israel, og forstå at det er ditt navn dette huset blir nevnt med, dette huset som jeg har bygd. 
2CH.6.34	Når ditt folk drar ut i krig mot sine fiender på den veien du sender dem, og de så ber til deg, vendt mot denne byen som du har utvalgt, og det huset jeg har bygd for ditt navn, 
2CH.6.35	så vil du i himmelen høre deres bønn og ydmyke begjæring og hjelpe dem til deres rett. 
2CH.6.36	Når de synder mot deg - for det er ikke noe menneske som ikke synder - og du blir vred på dem og gir dem i fiendens hånd, og de som tar dem til fange, fører dem bort til et annet land, fjernt eller nær, 
2CH.6.37	men de så tar seg dette til hjertet i det landet hvor de blir holdt fanget, og omvender seg og bønnfaller deg om nåde i fangenskapslandet og sier: Vi har syndet, vi har gjort ille og vært ugudelige! 
2CH.6.38	- og de så omvender seg til deg av hele sitt hjerte og av hele sin sjel i det landet som de er bortført til og holdes fanget i, og de ber, vendt mot sitt land, som du har gitt deres fedre, og den byen du har utvalgt, og det huset jeg har bygd for ditt navn, 
2CH.6.39	så vil du i himmelen, der hvor du bor, høre deres bønn og ydmyke begjæringer og hjelpe dem til deres rett og tilgi ditt folk det de har syndet mot deg. 
2CH.6.40	Min Gud, la nå dine øyne være åpne og dine ører merke på den bønnen som stiger opp fra dette stedet! 
2CH.6.41	Reis deg nå, Herre Gud! Kom til ditt hvilested, du og din styrkes ark! La dine prester, Herre Gud, kle seg i frelse, og dine fromme glede seg i det gode! 
2CH.6.42	Herre Gud! Vis ikke din salvedes åsyn tilbake! Kom i hu den rike miskunn som du har lovt David, din tjener! 
2CH.7.1	Da Salomo hadde endt sin bønn, falt det ild ned fra himmelen og fortærte brennofferet og slaktofrene, og Herrens herlighet fylte huset. 
2CH.7.2	Og prestene kunne ikke gå inn i Herrens hus, for Herrens herlighet fylte Herrens hus. 
2CH.7.3	Alle Israels barn så hvordan ilden falt, og Herrens herlighet kom over huset. Da kastet de seg ned på gulvet med ansiktet mot jorden, og tilba og lovet Herren, fordi han er god, og hans miskunnhet varer til evig tid. 
2CH.7.4	Og kongen og alt folket ofret slaktoffer for Herrens åsyn. 
2CH.7.5	Tjueto tusen stykker storfe og ett hundre og tjue tusen stykker småfe var det slaktoffer som kong Salomo bar fram. Slik var det kongen og alt folket innviet Guds hus. 
2CH.7.6	Prestene sto på sine poster, og levittene sto med Herrens musikkinstrumenter, som kong David hadde laget til å prise Herren med, fordi hans miskunnhet varer til evig tid. For David lot dem utføre lovsangen. Men prestene stilte seg midt imot dem og blåste i trompeter, mens hele Israel sto. 
2CH.7.7	Og Salomo helliget den midterste del av forgården som var foran Herrens hus. Der ofret han brennofrene og fettstykkene av fredsofrene, fordi kobberalteret som Salomo hadde laget, ikke kunne romme brennofferet og matofferet og fettstykkene. 
2CH.7.8	I sju dager feiret Salomo den gang festen, og hele Israel med ham. En stor mengde folk var kommet sammen like fra Hamat-veien og til Egypter-bekken. 
2CH.7.9	På den åttende dagen holdt de en festforsamling. For innvielsen av alteret feiret de i sju dager og festen i sju dager. 
2CH.7.10	På den tjuetredje dagen i den sjuende måneden lot han folket fare hjem igjen, glade og vel til mote over det gode Herren hadde gjort mot David og Salomo og mot sitt folk Israel. 
2CH.7.11	Salomo var nå ferdig med å bygge Herrens hus og kongens hus. Alt det han hadde hatt i sinne å gjøre i Herrens hus og i sitt eget hus, hadde han godt og vel fullført. 
2CH.7.12	Da åpenbarte Herren seg for Salomo om natten og sa til ham: Jeg har hørt din bønn og utvalgt dette stedet til et offersted for meg. 
2CH.7.13	Når jeg lukker himmelen, så det ikke kommer regn, og når jeg befaler gresshoppene å fortære landet, og når jeg sender pest iblant mitt folk, 
2CH.7.14	og så mitt folk, som er kalt med mitt navn, ydmyker seg og ber og søker mitt åsyn og omvender seg fra sine onde veier, da vil jeg høre i himmelen og tilgi deres synd og lege deres land. 
2CH.7.15	Nå skal mine øyne være opplatt og mine ører merke seg den bønn som stiger opp fra dette stedet. 
2CH.7.16	Og nå har jeg utvalgt og helliget dette huset, for at mitt navn skal bo der til evig tid, og mine øyne og mitt hjerte skal være der alle dager. 
2CH.7.17	Hvis du nå vandrer for mitt åsyn, som din far David gjorde, så du gjør alt det jeg har befalt deg, og holder mine bud og mine lover, 
2CH.7.18	så vil jeg trygge din kongetrone etter den pakten som jeg sluttet med din far David, da jeg sa: Det skal aldri mangle en mann av din ætt til å råde over Israel. 
2CH.7.19	Men hvis dere vender dere bort og forlater de lover og bud som jeg har gitt dere, og går bort for å tjene andre guder og tilbe dem, 
2CH.7.20	så vil jeg rykke dem opp av mitt land, som jeg har gitt dem. Og dette huset som jeg har helliget for mitt navn, vil jeg kaste bort fra mitt åsyn og gjøre det til et ordspråk og til en spott blant alle folk. 
2CH.7.21	Og hver den som går forbi dette huset, som har vært så opphøyet, skal bli forferdet. Og når noen da spør: Hvorfor har Herren gjort slik mot dette landet og dette huset? - 
2CH.7.22	da skal de svare: Fordi de forlot Herren, sine fedres Gud, som førte dem ut av landet Egypt, og holdt seg til andre guder og tilba dem og dyrket dem. Derfor har han ført all denne ulykken over dem. 
2CH.8.1	Da nå de tjue år var gått som Salomo hadde brukt for å bygge Herrens hus og sitt eget hus, 
2CH.8.2	bygde han opp de byene som Hiram hadde gitt Salomo, og lot Israels barn bosette seg i dem. 
2CH.8.3	Deretter dro Salomo til Hamat-Soba og la det under seg. 
2CH.8.4	Han bygde også opp Tadmor i ørkenen og alle de forrådsbyene han bygde i Hamat. 
2CH.8.5	Likeså bygde han opp Øvre Bet-Horon og Nedre Bet-Horon og gjorde dem til befestede byer med murer, dobbelte porter og bommer. 
2CH.8.6	Han bygde også Ba’alat og alle de forrådsbyene han hadde, og alle byene for stridsvognene og byene for hestfolket og alt det andre som han hadde lyst til å bygge, både i Jerusalem og på Libanon og i hele det landet han rådde over. 
2CH.8.7	Alle som var blitt tilbake av hetittene, amorittene, ferisittene, hevittene og jebusittene, folk som ikke hørte til Israel - 
2CH.8.8	alle de etterkommere av disse folk som var blitt igjen i landet, fordi Israels barn ikke hadde utryddet dem - dem tok Salomo til å gjøre pliktarbeid. Og slik har det vært til denne dag. 
2CH.8.9	Men Salomo tok ikke noen av Israels barn til å være arbeidstrell. De var krigsmenn og høvdinger og våpensveiner og høvedsmenn for hans stridsvogner og hestfolk. 
2CH.8.10	Kong Salomos arbeidsformenn var to hundre og femti i tallet. De hadde tilsyn med folkene. 
2CH.8.11	Salomo førte faraos datter fra Davids by inn i det huset han hadde bygd for henne. Han sa: Det skal ikke bo noen kvinne i Davids, Israels konges hus. Det er hellig, fordi Herrens ark er kommet dit. 
2CH.8.12	Den gang ofret Salomo brennoffer for Herren på Herrens alter, det som han hadde bygd foran forhallen. 
2CH.8.13	Han ofret hver dag de offer som var foreskrevet av Moses for den dagen, på sabbatene og nymånedagene og høytidene tre ganger om året - på de usyrede brøds fest og på ukenes fest og på løvhyttenes fest. 
2CH.8.14	Etter den forskrift hans far David hadde gitt, satte han prestenes skift til deres tjeneste og levittene til deres gjøremål, til å synge Herrens lov og gå prestene til hånde, etter som det krevdes for hver dag. Likeså ga han dørvokterne deres skift ved de forskjellige porter, for så hadde Guds mann David befalt. 
