MAT.1.1	Satu dit matuntunan dat ginnapuwan Jesu Kristu un kaganakan didit Ali David un ganak didit Abraham.
ACT.22.13	Dummatong kan sakon ot summikad sidit sog-on ku un kanana’n, ‘Sunuda Saulo, makaila ka umanon.’
ACT.22.13	“Utdi, dagusa nakailaak ot tummukkoḻak kan siya.”
ACT.22.14	“Ot imbaga na kan sakon un, ‘Sadit Apudyus dat aamma taku pinilina’d sika un manigammu utdat piyaona kan mailam dit Nalintoga Anak na kan magngoḻ nu dit mismu un ginga na. 
ACT.22.15	Sika’d kustigu na un mangipanoknok sidat tagu utdat losana nailam kan dingngoḻ nu. 
ACT.22.16	Ot sinsatun, ngadan payyan nat uuwayom? Lumigwat ka ot pabunyag ka. Ot kodawom kan Apu Jesus un pakawanona dat basuḻ nu.’ ”
ACT.22.17	“Utdiyon nangulinak situn Jerusalem ot madamaak mana manluwaḻu utdin timplu kama’t in-inop dit nangil-ak 
ACT.22.18	kan Apu ot imbaga na un, ‘Daḻasom ot tengyam tun Jerusalem ta adin dat tagu’t tu tuttuwaon nat pammanoknok nu maipanggop kan sakon.’
ACT.22.19	“Yoong kinnanaka summungbat un, ‘Apu, tuttuwaon da ud sakon situn kanak ta gagangay titiggammu da un inummoyak sidat kasinasinagoga uttun Jerusalem ot dinokmaaka paimbaḻud dat manuttuwa kan sinabisabidak dida. 
ACT.22.20	Ot utdit napatoyan Esteban un nangustigu kan sika nakasikadaka mismu’t di un nangiyoon kan nangadog sidat badut dat namatoy kan siya.’
ACT.22.21	“Yoong imbagan ud Apu kan sakon un, ‘Ikan, ta ibaun ku’d sika utdin adaddayuwana igaw dan bokona Judio.’ ”
ACT.22.22	Dinudumngoḻ dat tagu kan Pablo yoong utdit nagngoḻan da tuwona imbaga na nakasuḻag da ot nampappakuy da un kanan da’n, “Patoyon yu nata tagu! Bokona lumbong un matagu!”
ACT.22.23	Utdi gapappakuyan da kan iwasiwasiwas da dat badut da kan itaballu da dat gabu ud ngatu utdit amod un suḻag da. 
ACT.22.24	Utdiyon imbilin dit ap-apun dat suldadu utdat tagu na un ilnok da si Pablo utdit kampu da asina imbaga un sabisabidan da un imusan daḻapnu matigammuwan da nu apay un amod dit mampapakuy dat Judio kan siya. 
ACT.22.25	Utdit mapingil daon daḻapnu masabidan, imbagan Pablo utdit opisyal un sumisikad sidit sog-on na un, “Ipalubus kad dit lintog un masabidan nat iRoma un adina payyan nabistigal?”
ACT.22.26	Magngoḻ man dit opisyal tu, inummoy sit ap-apu da ot kanana’n, “Ay ilama lawa nu ngadan nat koom kan siya ta iRoma gayam tuwa tagu!” 
ACT.22.27	Utdi, ummoy dit ap-apu kan Pablo inimus un, “Tuttuwa kad un iRoma ka?”
ACT.22.27	“On,” insungbat Pablo.
ACT.22.28	Ot summungbat dit apun di suldadu un, “Nanggastuwak si dakoḻa pilak udsi nambalinaka tagun di Roma.”
ACT.22.28	Summungbat si Pablo un, “Yoong iRomaak un naiyabeng.”
ACT.22.29	Utdiyon, dagusa kummunukunud dat suldadu un mamistigal kan siya utdit magngoḻan da dit imbaga na kan ulay sadit opisyal, ummogyat payon sidit matigammuwana un iRoma si Pablo gaputa siya dit namingil kan siya.
ACT.22.30	Utdi, piyaon dit ap-apun di suldadu un matigammuwan dit ipabpabasuḻ dat Judio kan Pablo. Isunga utdit mabigat, imbilin na un makaan dat kinawad un namingil da kan Pablo kan binilin na dat aap-apun di padi kan sadat Sanhedrin un mammimiting da. Utdi, ummoy na indatag si Pablo utdit sanguwan da.
ACT.23.1	Utdi, intutukkoḻ Pablo dadit losana mammimiting asina kinnanan un, “Susunud ku un kaganakan Israel, kigad nataguwak inggana’t tuwa aḻgaw, naid tigammuk si kingwak ut laweng sidin man-iilan Apudyus.” 
ACT.23.2	Magngoḻ man Ananias un kangattuwana padi, imbilin na utdat adani un sumisikad sidit sog-on Pablo un tigpapon da dit sangi na.
ACT.23.3	Utdi, kinnanan Pablo kan siya un, “Si Apudyus ud manigpap kan sika un man-ag-agin. Alig nu ud alisut un pinambalin da un kama nu napoḻkas ta kuisom okyan sakon un maibasal sit lintog yoong salungasingom dit lintog sinat mampatigpapam kan sakon.”
ACT.23.4	Ot kinnanan dat tagu un kaadaniyan kan Pablo un, “Apay in-insultuwom nat kangattuwana padin Apudyus?”
ACT.23.5	“Naid ussiya’d tigammuk susunud, un siya dit kangattuwana padi,” kinnanan Pablo. “Ta naikanglit pay-an sidit ugud Apudyus un, ‘Adi yu pabainan nat tagu un mangipangat kan dikayu.’ ”
ACT.23.6	Utdit nadlaw Pablo un sadat udum sidat mammimiting, Saduceo da kan Fariseo dat udum indangsoḻ na un nambagbaga un, “Susunud ku, Fariseowak pay ta Fariseo dat ginnapuwak isunga namnamaok un paungaḻon Apudyus dat natoy ot siya ud gapun tun naidaḻumak situnsatun.”
ACT.23.7	Utdit naibaga na tu, nansisinnungbat dat Fariseo kan dat Saduceo ot nagogwa da un dit mammimiting. 
ACT.23.8	Ta sadat Saduceo adi da manuttuwa un umungaḻ dat natoy kan adi da pay tuttuwaon un awad anghel onnu kadogwa yoong sadat Fariseo manuttuwa da utdatu un losan. 
ACT.23.9	Utdi, taḻona dummangsoḻ dit pinnaleset dat Saduceo kan dat Fariseo ot sadat uduma mimistulun di lintog un buḻun dat Fariseo summikad da ot kinnanan da un, “Naid maodasan mi si laweng situwa tagu. Tuwan nu tuttuwa’n awad ispiritu onnu anghel ud si nakabagbaga kan siya.”
ACT.23.10	Taḻona ummengeenget dit sisinnungbat ot kummimut dit ap-apun di suldadu nu manwewwesang da si Pablo. Utdi, binilin na dat suldadu na un dumoba da ta umoy da aḻan si Pablo daḻapnu idallay da utdit kampu da.
ACT.23.11	Utdiya labi nampaila dit Apu utdit sog-on Pablo ot kinnanana un, “Pabilgom nat angos nu. Pinanoknokam dit maipanggop kan sakon situn Jerusalem ot masapula siya pay koom sin Roma.”
ACT.23.12	Mabigat man nan-aanamungan dat piga’n Judio ot insapata da un adi dan taḻon mangan kan uminum agingga’t mapatoy da si Pablo. 
ACT.23.13	Nakalimampuḻuwan dat laḻaki un nantutulag. 
ACT.23.14	Utdiyon inummoy da utdat aap-apun dat papadi kan lalallakay ot kinnanan da un, “Taḻona insapata mi’l losana adi kami’n taḻon mangan agingga’t mapatoy mi si Pablo. 
ACT.23.15	Isunga kodawon mi kan dikayu kan sidat Sanhedrin un mangipatuḻud kayu si bilin kan ap-apun di suldadu ta idatong da si Pablo kan dikayu, un kama nu piyaon yu un maawatana kustukustu dit kasu na. Ta nasasaggana kami un umoy mangilpang kan siya sin daan na un dumatong situ.”
ACT.23.16	Yoong inggaw ud abeng dit sunud Pablo un babai un nakagngoḻ sidit nantutulagan da, ot inummoy sidit kampun dat suldadu ot imbaga na kan Pablo dit panggop da. 
ACT.23.17	Utdi, inayagan Pablo dit osa’n opisyal ot imbaga na kan siya un, “Idallay nu tuwa mamabbagu utdin ap-apu yu ta antu ud ibaga na kan siya.”
ACT.23.18	Utdi, indallay dit opisyal ot impuyut na utdit ap-apu da un kanana’n, “Inayaganak kan Pablo un baḻud ot imbaga na un iyoy ku tuwa mamabbagu kan sika ta antu ud ibaga na.”
ACT.23.19	Utdiyon kinebed dit ap-apun di suldadu dit mamabbagu ot inyadayuna daḻapnu maid makagngoḻ si sabali, asina inimusan un, “Ngadan nat ibagam kan sakon?”
ACT.23.20	Summungbat un, “Nantutulag dat pangaton dat Judio un kodawon da kan sika un idallay nu si Pablo nu bigat sidin mammimitingan da, ta ag-agin piyaon da un maawatan dit kustukustu’n maipanggop sit kasu na. 
ACT.23.21	Yoong adim okyan tuttuwaon dida ta awad da ud makalimampuḻuwana laḻaki un mangiilpang kan siya. Insapata da un adi da mangan kan uminum agingga’t mapatoy da si Pablo. Nakasagana da un mangipatungpal situwa koon da ot uuwayon da’l ullawa nat ibagam.”
ACT.23.22	Utdiyon binilin dit ap-apun dat suldadu dit mamabbagu un kanana’n, “Adim ibagbaga si udum un imbagam tu kan sakon.”
ACT.23.22	Asi naon pinadaḻan.
ACT.23.23	Utdit lapuwan dit mamabbagu inayagan dit ap-apun di suldadu dat duwa’n opisyal na ot binilinana dida un, “Mangisagana kayu si duwa’n gasuta suldadu kan pitumpuḻu’n mangabayu kan duwa’n gasuta gasay-angan ta manaḻan kayu’d Cesarea nu pogpoga’n suyop sooni nu labi. 
ACT.23.24	Isaganaan yu pay si Pablo utdat kabayu ut mangabayuwana ot ituḻud yu kan gubinnadul Felix un maid mapaspasamak kan siya si laweng.” 
ACT.23.25	Utdiyon nansulat dit ap-apun di suldadu kan gubinnadul Felix un kanana’n,
ACT.23.26	“Kan sika un nangatu’n gubinnadul Felix. Kapkapiya ka okyan, Apu.
ACT.23.27	“Dinokmaan dan Judio tuwa tagu ot dandani da un pinatoy. Natigammuwak un tagun di Roma ot ummoy kami’t dat suldaduk ud sinaḻakan. 
ACT.23.28	Piyaok tigammuwon dit nangidaḻuman da kan siya isunga indatag ku utdat Sanhedrin. 
ACT.23.29	Ot naodasak un naid kingkingwa na si laweng un gapun di mapatoyana onnu maibaḻudana. Ta sad ipabasuḻ da’l lawa kan siya dit maipanggop sidit lintog da. 
ACT.23.30	Utdit matigammuwaka panggop dat Judio un patoyon tuwa tagu dagusa impadaḻan ku kan sika. Ot imbilin ku pay sidan mamabpabasuḻ kan siya un sika’d mandaḻuman da. Satun nansulat, Claudio Lisias.”
ACT.23.31	Utdiyon tinungpal dat suldadu dit imbilin na kan dida ot inaḻa da si Pablo ot utdiya labi kaysan da inggana’t dummatong da ud Antipatrisa. 
ACT.23.32	Mabigat man nangulin dadit adi nangabayu utdit kampu da. Ot sadat nangabayu’l lawa ud nantuluy un nangituḻud kan Pablo. 
ACT.23.33	Dumatong da man ud Cesarea intod da dit sulat kan gubinnadul Felix asida inyawat pay si Pablo. 
ACT.23.34	Binasan dit gubinnadul dit sulat asina inimusan si Pablo nu singngadan dit ili na. Utdit matigammuwana un iCilicia, 
ACT.23.35	kinnanana un, “Dongḻok kan kuisok sika nu dumatong dat mangidaḻum kan sika.”
ACT.23.35	Utdiyon binilin na un maiyoya maandogan si Pablo utdit boḻoy un pinatuud didit Ali Herodes sidit.
ACT.24.1	Lumabas man lima’n aḻgaw, inummoy Cesarea si Ananias un kangattuwana padi un buḻun na dat piga’n lalallakay kan inggaw pay osa’n abugadu un mangngadan kan Tertulo. Ummoy da kan gubinnadul Felix ot indatag da dit daḻum da kan Pablo. 
ACT.24.2	Utdit naayagan da si Pablo, inlapun Tertulo un man-ibaga’t dat ipabasuḻ da kan siya un kanana’n,
ACT.24.2	“Apu, madaydayawa Gubinnadul! Gapu utnat kalaing nu un mangipangat nabayagona kapkapiya kami uttuwa igaw. Maipagapu kan sika adu un nabaḻu’n nakwa un nangkapiyaan tun ili. 
ACT.24.3	Singngadan na mana ayan mi’t tun losana linakub tun ili mi bigbigon mi dat nakwaam ot dakoḻ tun yaman mi kan sika. 
ACT.24.4	Adi mi piyaon un mataktak ka yoong pangaasim ta anusama dongḻon tun aboba un palawag mi. 
ACT.24.5	Ta sigun sit padas mi ga-oogyat tuwa tagu ta gumugulu. Siya ud nangilapu si gulu utdat losana Judio uttun lubung, kan siya ud pangat dat buyut dit osa’n iNazaret. 
ACT.24.6	Pinadas na paya dimokon dit kinasantun dit timplu ud Jerusalem yoong dinokmaan mi. [Ot kuison mi okyan sidit lintog mi 
ACT.24.7	yoong dummatong da Lisias un ap-apun di suldadu pati utdat suldadu na ot pinḻos da un innaḻa kan dikami. 
ACT.24.8	Utdiyon imbilin Lisias kan dikami un sika’d umoyan mi mandaḻuman.] 
ACT.24.9	Ummampayun pay dat Judio un buḻun na utdit daḻum ot pinanoknokan da’l losana tuttuwa datu’n imbaga na.
ACT.24.10	Magangput man di, sininyasan Felix si Pablo un mambagbaga. Ot kinnanan Pablo un,
ACT.24.10	“Apu Gubinnadul, tigammuk un nabayag kaon un kuis situn ili mi, siya’d gapuna un malagsakanak un mangipalawag situn kalintogak sinat atubang nu. 
ACT.24.11	Nu man-im-imus ka, matigammuwam un naid payyan kagwampuḻu’t duwa’n aḻgaw si lummabas manipud sit ummoyak nandaydayawan kan Apudyus sidin Jerusalem. 
ACT.24.12	Ot utdit ininggawak sidi naid osa si Judio ut nakaila kan sakon un nakasinnungbat onnu nanggulu utdat tagu utdin timplu onnu sinagoga onnu ulay sidin ili’d Jerusalem. 
ACT.24.13	Ot maid maidatag da ut pammanoknok da utdan ipabpabasuḻ da kan sakon. 
ACT.24.14	Yoong aminok un tuttuwan mandaydayawak kan Apudyus un siya’d nandaydayawan dat ginnapuwan mi ot un-unudok dit Wagas un intudtudun Jesus un kanan da un bokona siya’d kustun tudtudu. Manuttuwaak pay sidat losana naikanglit sidit lintog Moses kan sidat iblun dat propetan Apudyus sidit. 
ACT.24.15	Mannamnamaak kan Apudyus un padan din mannanamnaman datun mamabpabasuḻ kan sakon. Namnamaok un paungaḻona kan katoy da’l losana tagu, laweng man onnu nabaḻu. 
ACT.24.16	Isunga taḻona naammaak sidan losana kook daḻapnu adiyak makakokwa’t laweng sidin man-iilan Apudyus kan sidan tagu.
ACT.24.17	“Lumabas man piga’n dagun un naidak Jerusalem, nangulinak ta umoyak mangitod si pilak un maituḻung sidat buḻun ku un Judio kan umoyak mandatun kan Apudyus sidin timplu. 
ACT.24.18	Madama payyana mandatdatunak sit naka-il-an da kan sakon sidin timplu utdit magangputanon dit ugali un mandadaḻus. Naid adu si tagu’t di ot naid pay gulu. 
ACT.24.19	Yoong ininggaw da ud piga’n Judio un nanligwat sin lakub Asia ot dida okyan sad umoy mandaḻum nu awad ipabasuḻ da kan sakon. 
ACT.24.20	Onnu, sadatu okyana tagu ud mangibaga nu singngadan dit indasan da un basuḻ ku utdit indatag da ud sakon sidat Sanhedrin. 
ACT.24.21	Satu’l lawa ud magasmok ku’n indangsoḻa imbaga utdit summikadak sit atubang da un, ‘Mabistigalak kan dikayu’t tun satuna aḻgaw gaputa manuttuwaak un umungaḻ dat matoy nu timpu na.’ ”
ACT.24.22	Utdi, gaputa gattoka napatigammuwan si Felix maipanggop sidit Wagas di mantatagu un intudtudun Apu Jesus, pinansaḻdong na dit mambistigalan da kan Pablo un kanana’n, “Asik ibanag tuwa daḻum nu dumatong si Lisias un ap-apun di suldadun di Roma.” 
ACT.24.23	Ot binilin na dit opisyal un maituluy un maandogan si Pablo yoong palubusana si akita waya na kan adina iyapa dat gayyom na un umoy tumuḻung sidat kasapulana.
ACT.24.24	Lumabas man piga’n aḻgaw dummatong da Felix kan Drusila un asawa na un osa’n Judio. Pinaayag na si Pablo ot didingngoḻ da dat imbaga na maipanggop sidit manuttuwaana kan Jesu Kristu. 
ACT.24.25	Yoong utdit ipalpalawagon Pablo dat maipanggop si kinalintog, kina-attom un adi mangwa si laweng kan sadit dumakngan dit aḻ-aḻgaw un mangukuman Apudyus, nakakimut si Felix. Ot kinnanana un, “Manaḻan ka yan. Asik payyan sika ayagan nu awad timpuk.” 
ACT.24.26	Utdi payona timpu, kanayuna paayagan Felix si Pablo daḻapnu kabagbaga na ta mannamnama un itdan Pablo si pilak.
ACT.24.27	Lumabas man duwa’n dagun naisukat si Porcio Festo kan Felix un gubinnadul. Yoong gaputa piyaon Felix un maaḻa dit mampipiyan dat Judio kan siya binaybay-ana si Pablo un dit mababaḻud.
ACT.25.1	Dummatong si Festo utdin Cesarea daḻapnu mantulaya gubinnadul. Ot lumabas man tuḻu’n aḻgaw inummoy Jerusalem. 
ACT.25.2	Dumatong man sidi, indatag dat aappun di padi kan pappangat di Judio kan siya dit daḻum da kan Pablo. Nakapangpangngaasi da kan Festo 
ACT.25.3	un ipadaḻan na si Pablo ud Jerusalem daḻapnu dida’d manguis kan siya, yoong sat panggop da lopangon da utdit daḻan. 
ACT.25.4	Summungbat si Festo un, “Maaandogan si Pablo ud Cesarea ot adi bali ta mangulinak sidi un masapa. 
ACT.25.5	Ot ibaun yu dat pappangat yu un maibuḻun kan sakon ud Cesarea daḻapnu dida ud mangidatag sit daḻum yu kan siya nu awad nakabasuḻana.”
ACT.25.6	Ininggaw si Festo utdin Jerusalem si waḻu onnu simpuḻu’n aḻgaw asina gummusada nangulin ud Cesarea. Mabigat man inummoy sidit kukuisana ot imbaga na un idatong da si Pablo. 
ACT.25.7	Makaḻnok man si Pablo dinalinup dat Judio un nanligwat ud Jerusalem ot inlapu daona man-ibaga’t dat adu’n nadagsona ipabasuḻ da kan siya yoong adi da mapanoknokan dida. 
ACT.25.8	Ot summungbat si Pablo un, “Naid ud kingkingwak si maisuganggang sit lintog mi un Judio onnu utdit timplu kan ulay sit Emperador ud Roma.”
ACT.25.9	Yoong piyaon Festo un maaḻa dit mampipiyan dat Judio kan siya ot inimusana si Pablo un, “Piyaom kada umoy sin Jerusalem ta siya’d manguisak sidatuwa naipabasuḻ kan sika?”
ACT.25.10	Yoong summungbat si Pablo un, “Madik Apu, ta antuwakon un sumisikad situn uukkuman di Emperador ud Roma un siya’d lumbonga makuisak. Ot titiggammum un naid gapu’d kingwak si laweng sidan kailiyaka Judio. 
ACT.25.11	Nu awad sinalungasing ku ut lintog kan kingwak si laweng un lobbonga mapatoyak maid kimut ku un matoy. Yoong nu maid katuttuwaan nat ipabasuḻ da kan sakon maid makabalina mangiyawat kan sakon kan dida. Kodawok un maiyoy tun kasuk kan Emperador ud Roma.”
ACT.25.12	Utdi, inimusan Festo dat buḻun na nu mabalin dit kindaw Pablo ot imbaga da un mabalin. Ot summungbat un, “Gapu ta kindaw nu un si Emperador ud Roma ud manguis kan sika boot padaḻnon mi ud sika’t di.”
ACT.25.13	Lumabas man ud piga’n duminggu dummatong da Ali Agripa
ACT.25.14	Utdiya ininggawan da’t di si piga’n duminggu, imbagan Festo kan Ali Agripa dit kasun Pablo un kanana’n, “Awad osa’n baḻud situ un tinengyan Felix. 
ACT.25.15	Ot utdit ininggawak Jerusalem, nandaḻum dat aap-apun di padi kan dat lalallakay di Judio kan sakon ot kindaw da un koddongak si Pablo un mapatoy. 
ACT.25.16	Yoong kinnanak kan dida un bokona kadawiyan mi un iRoma un mangiyawat si tagu un naidaḻum nu daan na un makasinnangu’t nat nandaḻum kan siya daḻapnu awad waya na un manungbat sidat ipabasuḻ da kan siya. 
ACT.25.17	Siya’d gapuna un utdit dummatong da uttun Cesarea, adiyak nantaktak. Utdit mabigat ummoyak sin kukuisan ot paindatong ku dit baḻud. 
ACT.25.18	Ot utdit summikada mambagbaga dat nangidaḻum kan siya, naid ud imbaga da si nakabasuḻana un kama’t dit ninamnamak. 
ACT.25.19	Nu adi sad oḻog da’l lawa’n nansisinnungbatan dit maipanggop sidit pammati da un Judio kan sadit tagu’n mangngadan kan Jesus un natoy yoong ibagabagan Pablo un matatagu. 
ACT.25.20	Gaputa adik tigammu nu innok un mamistigal situwa kasu, inimus ku kan Pablo nu piyaona un umoy ud Jerusalem ta siyadi ud mabistigalana. 
ACT.25.21	Yoong kindaw na un maandogan agingga’t sadit Emperador ud Roma ud mangoddong kan siya. Ot imbilin ku un maandogan agingga si maipadaḻan kan Emperador.”
ACT.25.22	Utdi, kinnanan Ali Agripa un, “Piyaok paya dongḻon tuwa tagu.”
ACT.25.22	“Dongḻom an nu bigat,” insungbat Festo.
ACT.25.23	Kadon sit mabigat, dummatong da Ali Agripa kan Bernice un nangkababḻu dat usal da kan taḻona napadayawan da un nilumnok sidit mimittingan un binuḻunan dat aap-apun di suldadu kan pappangat didiya ili. Ot imbilin Festo un maidatong si Pablo. 
ACT.25.24	Idatong da man imbagan Festo un, “Apu Ali Agripa, kan dikayu’l losana awad situ, antu dit tagu un indaḻum dat losana Judio kan sakon sidin Jerusalem kan situn Cesarea un ipappakuy da un, Adina lumbong un matagu. 
ACT.25.25	Yoong naid maodasak si laweng ut kingwa na un lobbonga mapatoyana. Ot gaputa kindaw na un si Emperador ud manguis kan siya impalubus ku un maipadaḻan kan siya. 
ACT.25.26	Yoong naid nadotok si nakabasuḻana ut isulat ku kan Apu Emperador. Ot siya’d nampaiyoyak kan siya uttun atubang yu taḻon kan sika Apu Ali Agripa daḻapnu magangput kada maimusam, awad ud maisulat ku. 
ACT.25.27	Ta uttun somsomok ku lawenga ibaun ku’l lawa nat osa’n baḻud kan Emperador un maid nadotok si gapun di nakabasuḻana.”
ACT.26.1	Utdiyon imbagan Ali Agripa kan Pablo un, “Mabalin nu un mangikalintogan sinat long-ag nu.”
ACT.26.1	Utdi intayag Pablo dit ima na daḻapnu guminok da asina nambagbaga un kanana’n,
ACT.26.2	“Nadayawa Ali Agripa, nagasatak situwa aḻgaw ta uttun atubang nu ud manungbatak sida’l losana nangidaḻuman dan buḻun un Judio kan sakon. 
ACT.26.3	Mataḻokak gaputa titiggammuma losan dat ugali taku’n Judio kan dat adi taku man-aannamungan. Isunga kodawok kan sika ta anusama dongḻon datu’n ibagak.
ACT.26.4	“Sadan losana kailiyaka Judio titiggammu da dit mantataguk manipud naiyabengak sidin ili mi un Tarsus kan sit ininggawak sidin Jerusalem. 
ACT.26.5	Titiggammu da kan mapanoknokan da nu piyaon da, un osaak un Fariseo un napegota manguunnud sidit relihiyon taku un Judio. 
ACT.26.6	Ot gaputa nanam-ok un matungpal dit insapatan Apudyus sidat ginnapuwan taku un paungaḻona dat natoy, antuwak sinsatun un mabistigal situn atubang nu. 
ACT.26.7	Satu un insapatan Apudyus, siya pay ud nanam-on dat kaganakan dat kagwampuḻu’t duwa un aappu taku un matungpal, siya’d gapuna’n mandaydayaw da kan Apudyus si inaḻgaw kan linabi. Apu Ari, gaputa mannamnamaak situwa insapatan Apudyus, siya’d namabasuḻan dan Judio kan sakon. 
ACT.26.8	Kan dikayu’l losana naammung, apay ligaton yu un tuttuwaon un paungaḻon Apudyus dat natoy?”
ACT.26.9	“Yoong ulay sakon sidit, sad tigammuk masapula kook ud kabooḻaka manuganggang sidat manuttuwa kan Jesus un iNazaret. 
ACT.26.10	Ot siyadi’d kingwaka tuwa’d Jerusalem. Adu dadit paimbaḻud ku un tagun Apudyus gaputa initdanak sidat aap-apun di padi si kalintogana mangwa. Ot nu makoddongan da un mapatoy, dagusa ampayunak pay. 
ACT.26.11	Namin-adu un ummoyak sidat kasinasinagogan di Judio un mamaligat sidat manuttuwa ot pinadas ku un pinapilit dida’n mangibaga si maisuganggang kan Jesus. Gapu’t dit amod un suḻag ku kan dida inummoyak ulay pay sin adayu’n il-ili daḻapnu paligatok dat manuttuwa.”
ACT.26.12	“Siya’d gapuna un inummoyak ud Damasco ot inggaw kan sakon dit kalintogan kan bilin dat aap-apun di padi. 
ACT.26.13	Ot utdiya inggawak sin daḻan si mamatuk, nadayawa Ali, nailak dit silawa nanligwat langit un amo napadda nu sadin init, naipaslang kan sakon kan sidat buḻun ku. 
ACT.26.14	Utdi, losan kami un naidugsut sidit pita ot nagngoḻ ku dit ginga un kanana kan sakon sidit bagbaga un Hebreo un, ‘Saulo, Saulo, apay palpaligatom sakon? Paligatom pay lawan nat long-ag nu utnata kokkoom un padan dit baka nu ikussad na dit tutuduk.’
ACT.26.15	“Utdi inimus ku un, ‘Ngadan nu kad Apu?’ Summungbat dit Apu un, ‘Sakon si Jesus un palpaligatom. 
ACT.26.16	Yoong gumangun ka. Nampailaak kan sika ta dutukak sika un manselbi kan sakon. Sika ud mangipanoknok sidan udum sidan nailama maipanggop kan sakon situwa aḻ-aḻgaw kan uduma ipailak kan sika utdan madoḻdoḻa aḻ-aḻgaw. 
ACT.26.17	Salaknibak sika utdan padama Judio kan sidan bokona Judio un dida’d mangibaunak kan sika. 
ACT.26.18	Tudtuduwam dida daḻapnu maila da dit katuttuwaan ot kumaan da utdit kakoḻpan ot umoy da utdin napadda. Tudtuduwam dida daḻapnu adi daon paitulayan kan Satanas nu adi paitulayan da kan Apudyus. Ta nu manuttuwa da, mapakawan dat basuḻ da kan maidoga da utdat pinilin Apudyus un tagu na.’ ”
ACT.26.19	Intuluy Pablo un kanana’n, “Nadayawa Ali Agripa, nanungpaḻak sidit impailan Apudyus kan sakon un nanligwat langit. 
ACT.26.20	Ot inwalagawag ku un masapula ibabawin dat tagu dat basuḻ da kad tuttuwaon da si Apudyus ot ipaila da utdat angwat da un tuttuwa’n nambabawi da. Siyatu’d inwalagawag ku un inlugik ud Damasco asi ud Jerusalem, kan sida’l losana lakub Judea, kadon sidan bokona Judio. 
ACT.26.21	Siyatu ud gapugapun dit nanokmaan dat Judio kan sakon sidit ininggawak sidin timplu ot pinanggop da un patoyon sakon. 
ACT.26.22	Yoong aginggana’t tuwa aḻgaw tinuḻutuḻunganak kan Apudyus ot antuwak situ un mangiwalagawag kan mangipanoknok kan dikayu’l losana tagu’n nangatu man onnu nadoba. Satu’n ibagak siya payon dit imbagan Moses kan dat propetan Apudyus un mapasamak, 
ACT.26.23	un sadit Kristu, masapula mampaligat kan mapatoy ot siya’d umuna un paungaḻon Apudyus un natoy daḻapnu ipatigammu na dit managuwan Apudyus sidan Judio kan bokon Judio ot siyadi dit kama’t silaw kan dida.”
ACT.26.24	Utdiya mampalpalawagan Pablo pinalesetan Festo un kanana’n, “Natingang ka Pablo, sanat amoda inadaḻ nu ud nampatingang kan sika.”
ACT.26.25	Yoong summungbat si Pablo un, “Bokona natingangak, Apu gubinnadul Festo. Tuttuwa datu’n ibagbagak kan dikayu kan nalimpiyu tun somsomok ku un mambagbaga. 
ACT.26.26	Natuḻodaka man-ugud gaputa tigammuk un titiggammun Ali Agripa datu’n ibagbagak. Naid duwaduwak un titiggammuna dat losana naipasamak ta bokona nakwa da utdan nalingoda igaw. 
ACT.26.27	Apu Ali Agripa, bokon kada manuttuwa ka utdat ingkanglit dadit propetan Apudyus? Titiggammuk un manuttuwa ka.”
ACT.26.28	Utdi summungbat si Agripa kan Pablo un, “Utnat somsomok nu maawis nu kad sakon un manuttuwa kan Kristu utnat sin-akitana lawa’n timpu?”
ACT.26.29	Summungbat si Pablo un, “Sin-akitan man onnu andu un timpu, iluwaḻuk kan Apudyus un sika kan sadatu’n mandodongngoḻ kan sakon situwa aḻgaw mambalin kayu si manuttuwa kan Kristu un kama kan sakon, puwela ullawa’n mabaḻud kayu.”
ACT.26.30	Utdi summikad si Ali Agripa, si Gubinnadul Festo, si Bernice kan dat udum paya ininggaw sidi. 
ACT.26.31	Utdit makaḻaksun da, nambabagbagaan da pay lawan un, “Naid kingwan ditu un tagu si laweng un gapun di mapatoyana onnu mabaḻudana.” 
ACT.26.32	Ot imbagan Ali Agripa kan Festo un, “Nu Adina okyan kindaw un maiyoy kan Emperador ud Roma tu un kasu na, mabalin taku okyanon un pawayaan.”
ACT.27.1	Utdit maikoddong dit aḻ-aḻgawa mambapulan mi un umoy ud Italia, naipaima si Pablo kan dat uduma baḻud kan Julio un osa’t dat opisyal dat bungguy dat suldadu un mangadan si “Man-aandogon di Emperador.” 
ACT.27.2	Nanlugan kami utdit bapul un nanligwat Adrumeto un mansagsagana un manaḻan sidan gigillongan di bapul sidin probinsiya’d Asia. Kaysan kami ot buḻun mi si Aristarco un iTesalonica utdin probinsiya’d Macedonia. 
ACT.27.3	Mabigat man dummatong kami ud Sidon. Naanus si Julio kan Pablo ot pinalubusana un umoy na ilan dat gagayyom na utdi daḻapnu maitdan sidat masapul na. 
ACT.27.4	Utdi, nambapul kami payyan manipud Sidon ot gaputa dupakon dikami utdit bayogbog nangoy kami utdin biik Chipre un maid bayogbog na. 
ACT.27.5	Dinoḻmang mi din baybaya adani ud Cilicia kan Pamfilia ot dummatong kami ud Mira utdin Licia. 
ACT.27.6	Utdi, nangdas dit opisyal dat suldadu si bapul un nanligwat ud Alejandria un manaḻan ud Italia ot siya ud nangiluganana kan dikami.
