MAT.1.1	Salbacü Jesus Abrahampïtawan Davidpa milayninpïmi śhamun. Paypa awquilluncuna caycunam cala:
ACT.13.40+ACT.13.41	‘Licay, am allincäta jamuyäcuna. Mana pinsapäcuśhayquitam nï willaśhuptiquipis quiripäcuśhayquitam ñawpäniquićhu lulaśhä. Jinaptïćha licapayllaman camäśha mana tantiayniyu wañuculcanqui’
ACT.13.42	Chaypi Pablowan Bernabé chay juntunacunan wasipi yalälälimuptinmi, llapa nunapis nipäcula: “Canannütapis cay willapämäśhayquipi masta willaycälillämay” nil. 
ACT.13.43	Juntunacuynin camacäluptinñatacmi, achca Israelcunaca Moisespa camachicuyninta atichï munäcunaca Pabloctawan Bernabëta atipäcula. Jinaptinmi paycuna nila: “Diosninchicman masïsu chalapaculcay paypa llaquipayninta jatun cuyacuyninta yaćhayalcalñá” nil.
ACT.13.44	Chaypïtam canannu muyuntá malcantin nuna juntunacälälimun Diospa limayninta uyalï. 
ACT.13.45	Chaynu nisyu-nisyu nunacta juntunacunan wasićhu licalculmi Israelcunaca nanachicucuyalcal ñaćhaña imanacücuyalcanpis. Jinalculmi Pabloctawan Bernabëta insultäcuyalcal ñaćhaña millpälälinpis.
ACT.13.46	Jinacuyalcaptinpis paycuna mana imactapis manchalilmi nipäcula: “Cay Diospa willacuyninta am Israel-masïcunamanmi puntacta willaycunac cala. Ñatac caynu mana ćhasquïniquiwan'a wiñay cawsay imapis mana ucuśhuśhayquita tantiachimanqui. Chaynu captin'a mana-Israelcunapäćha ćhächishä. 
ACT.13.47	Chaynütam Diosninchic nipämäla:
ACT.13.47	‘Juc acchictanümi amcunacta cay jinantin pachäćhu nunacunäpä ćhulayalcac. Chaymi masqui sïlüpa sapinćhu cä malcacunäpis ya'a salbaśhäta yaćhapäcun'a’
ACT.13.48	Chay niptinmi mana-Israelcunaca alli-allicta cushiculcäla “Maynu tuquim Diospa willacuynin'a” nil. Chayćhümi lluy paypä cäcunaca wiñay simpri cawsay bïdacta ćhasquipäcula.
ACT.13.49	Chaynüpam Taytanchicpa willacuynin chay intiru-intiru malcacunäman ćhäla. 
ACT.13.50	Ñatac Israelcunam ichá Diosman chalapacü allin cäniyu walmicunäta, malcap prinsipalnincunäta lluy umachäla. Chaymi Pablop, Bernabëpa cuntran śhalcacalcälil chay malcapi alülälila. 
ACT.13.51	Chaynäluptinmi paycunañatac ćhaquinman la'aśhan pulbüllactapis tapsilcul “Cunca cuchuyniquitam ashicuyalcanqui” nil Iconio malcäman liculcäla. 
ACT.13.52	Chalapacücunäñatacmi Antioquiaćhu lluypis cushisha-cama Chuya Ispiritup munayninćhu quïdapämula.
ACT.14.1	Iconio malcäman ćhälulmi Pablowan Bernabé yaćhacäśha cayninwan malca-masincunap juntunaculcänan wasiman yaćhachï yaycapäcula. Chayćhu tumshumanpis yaycüta yaćhachiptinmi Israel mana-Israelcunäpis achca-achca chalapaculcäla. 
ACT.14.2	Mana chalapacü Israelcunäñatacmi paycunap cuntran limapapäcula mana-Israelcunaca ćhïnipäcunancama. 
ACT.14.3	Chaynu jinaptinpis Pablowan Bernabë'a mana imactapis manchalil unaylämi chay malcäćhu Jesuspi willacuśhtin capaycula. Diosñatacmi llaquipaynin sumä rasun caśhanta tantiaycachinanpä pudirta uycula milagrucunacta lulaycunanpä.
ACT.14.4	Nunacunacá ishcayman laquinacüśhatacmi capäcula: parti'a Pablop Bernabëpa śhalcünin, partiñatac chay mana chalapacü Israelcunäman śhalcapäcula. 
ACT.14.5	Chay Israelcunaca mana-Israelcunäwan jucllachanacuycul limanacälälin mandänincunawan Pablocta Bernabëta lluy tamshaypa camacapäcunanpä. 
ACT.14.6	Chayta Pablowan Bernabé yaćhälälilmi Licaoniaćhu Listra, Derbe malcacunäman ayiculcäla muyülïninćhu malcacunämanpis. 
ACT.14.7	Chayćhüpis allin willacuypi jinallam willaculcäla.
ACT.14.8	Cay Listraćhümi nasïdunpi mana imaypis pulilï wishtu nuna cañä. 
ACT.14.9+ACT.14.10	Pay yaćhachishanta täcuyal uyaliyaptinmi pulilinanpä chalapacuynin caśhanta tantiaycul callpawan Pablo nila: “¡Juclla śhalcuy!” nil. Niptinmi paćhcalcünuy juclla śhalcüluptin ćhaquin pulilïlun.
ACT.14.11	Chaynu Pablo lulaśhanta llapa nunacunaca licälulmi ayaycaćhacuyalcan Licaonia limayninćhu: “¡Dioscuna nunaman muyuculculmi ćhämumanchic!” nil. 
ACT.14.12	Nilculmi Bernabëta śhutichälälin diosnin Zeuspa śhutinwan, Pabloctañatacmi yaćhachicü captin diosnin Hermespa śhutinwan.
ACT.14.13	Jinaptinmi Zeus diosninpa atindïnin sasirdütipis ćhäcayalcämun chay malcap yaycunanćhu capillap waytan apacüśha, türun aticüśha taytachanpänuy ćhipiycapul llapa nunacunäwan Pabloctawan Bernabëta alawaycälinanpä.
ACT.14.14	Chaynu alawapäcunanta tantiacälälilmi Pablowan Bernabé “¡¿Ima?!” nil müdanantapis laćhyacücuyan. Jinaśhtinmi llapa nunap ćhawpinman uśhtucaycälila, cay nishtin: 
ACT.14.15	“Taytacuna ¡¿imactatá lulayalcämanqui?! Ya'acuna manam dioschu capäcú; amcunanuy wañü nunallamá. Cay yan'al diosniquicunacta caćhaycul quiquin cawsä Diosman licaćhaculcänayquipämi willaycüniqui śhapämulá. Paymi sïlüta, allpäta, lamarcäta lluy imapis cänintinta lulacüca. 
ACT.14.16	Aw, unay timpu'a cunsintilam uman chalaśhanta nunaca imactapis lulananpä. 
ACT.14.17	Ñatac masqui jinalpis manamá imaypis pacaculachu. Aśhwanpam cay allin lulayninwan mayan caśhantapis licachicun. Paymari amcunaman tamyacta caćhalpamüca, micuypi mana capäcunayquipä, allin cusichacta uycuśhüniquipis, cushichishüniquipis” nila.
ACT.14.18	Chaynu niptinpis chay-chica nunacta türun ćhipiycul paycunacta alawananpi mićhacuy sasa-sasam cacula.
ACT.14.19	Chaypïtam Antioquiapi, Iconiopi juc Israelcuna ćhälälimun. Jinalculmi llapa nunap pinsamintunta juc-läduman iwilcul, chay nunacunäwan Pablocta tamshachicuyan. Pampäman wañüśhanuy ćhaćhäluptinñatacmi “Wañüchinchic-ari” nil malcap yaycamunan waśhaman aysälälila. 
ACT.14.20	Chayćhu chalapacücunäñatacmi muyülïninćhu cunćhalayalcaptin Pablo śhalculcul chay malcäman caśhan cutiycula. Chay wälañatacmi Derbe malcäta Bernabëwan pulan pasaculcäla.
ACT.14.21	Chayćhüpis Jesuspi willapäcuptin achca chalapaculcaptinmi Listraman, Iconioman, Antioquiaman cutipämula. 
ACT.14.22	Chay malcacunäćhu chalapacücunäta watucuśhtin cutimulmi lluytapis callpanchäla: “Amamá Jesusta imaypis ipanchapäcunquichu. Paypa gubirnunman ćhänanchicpá caynu llaquicuycunactam pasananchic” nil. 
ACT.14.23	Chay malcaćhü-cama juc puydï nunacta caminaycunanpä ćhulayculmi ayunal paycunapä Diosta mañacula. Jinalculmi chalapacuśhan quiquin Diosninchicpa maquinman ćhulaycul chaypi liculcäla.
ACT.14.24	Chaypi Pisidia malcacunap chimpämulmi Panfilia malcacunäman ćhämula. 
ACT.14.25	Chay Perga malcäćhu Diospi willacaycälishanpïmi Atalia malcäman pasacalcämula. 
ACT.14.26	Lulayninta camacalculñatacmi barcuwan cuticulcäla allaycälinanpä Diospa maquinman ćhulaycälishan Antioquia malcaman. 
ACT.14.27	Chayman ćhaycul-pachañatacmi llapa chalapacü-masincunacta lluy juntuycachimul willala imacta Diosninchic paycunawan lulaśhanta, jinaman'a mana-Israelcunactapis quiquin Diosninchic payman licaćhacunanpä cunsintiycuśhantapis. 
ACT.14.28	Chayćhümi chalapacücunäwan Pablowan Bernabé unaylä yaćhapaycula.
ACT.15.1	Chay timpućhu Judeapi nunacuna Antioquia malcäman ćhälälimulmi chalapacücunäta yaćhachicuyan: “Manamá salbaśhachu capäcunqui Moisespa camachicuyninćhu nishannuy mana siñalachicul'a” nil. 
ACT.15.2	Chaymi Pablowan Bernabé chay yaćhachicücunäwan ruyducuyalcan. Chaymi chay malcäćhu chalapacücunaca ćhulälälin Pabloctawan Bernabëta juc cumpañänincunactawan Jerusalenta lil, chayćhu puydï yaćhapacücunätawan caminaycücunäta chay yaćhachicuycunapi limanaculcänanpä. 
ACT.15.3	Chaynalculmi paycunacta Jerusalenman caćhapäcula.
ACT.15.3	Chaynu liyalcalmi Fenicia malcacunap, Samaria malcacunap pasal Israel-masincunacta willala: “Mana-Israelcunapis Diosninchictam canan'a sirbiyalcan” nil. Chayta uyalilmi allicta llapanpis cushiculcäla. 
ACT.15.4	Chaypi Jerusalenta ćhäläliptinmi, lluy chalapacücuna, puydï yaćhapacücunaca, caminaycücunäpis allinpa ćhasquipäcula. Chayćhümi Pablowan Bernabé Diosninchic imacta paycunawan lulaśhantapis willala.
ACT.15.5	Chayćhu waquinnin fariseocunäpi chalapacücunañatacmi śhalcuculcul: “Chay mana-Israel chalapacücunaca ya'anchicnuy siñalachiculcächun. Jinalcul Moises camachimäśhanchicta lluy lulaycuchun” nicuyalcan.
ACT.15.6	Nipäcuptinmi puydï yaćhapacücunäwan, caminaycücunaca chay cüsacunacta sumäta licaycälila. 
ACT.15.7	Chayćhu llapanpis millpap-millpanacalcäliptinmi Pedro śhalcuculcul nila: “Cuyaśhá chalapacü-masïcuna, yaćhapäcuśhayquinüpis unaypïmi quiquin Diosninchic ya'acta aclamäla chay mana-Israelcunäta willaptí paycunapis salbaśha capäcunanpä. 
ACT.15.8	Mayanpa śhun'untapis lisï quiquin Diosninchic paycunactapis Chuya Ispiritunta uyaptin'a ya'anchictanüpis ćhasquishantam tantiaycachin. 
ACT.15.9	Pay'a juc-jucpächu mana licalmi paycunactawan ya'anchicta chalapacuśhallanchicpa chuyanchaycamanchic. 
ACT.15.10	Chaynu cayaptin'a ¿imapïtan Diosninchicta ruydupayä-yupaypis, Moisespa camachicuyninta uyniquiwan ñitiyächinqui? Awilunchicpis nï ya'anchicpis cumpliy manamá atipälanchicchu. 
ACT.15.11	Aśhwanpam paycunanüpis chalapacunchic Jesuspa llaquipacuyllanpa salbaycuśha caśhanchicta” nil.
ACT.15.12	Chaynu niptinmi llapanpis upällälälila uyalipäcunanpä. Jinaptinmi Pablowan Bernabëpis willala quiquin Diosninchic mana-Israelcunäćhu maynu sumä allincunacta milagrucunactapis lulachishanta. 
ACT.15.13	Chay nïta camacäluptinmi Jacobo nin: “Chalapacü-masïcuna, uyalipämay. 
ACT.15.14	Canan Simonpi uyalishanchicnüpis quiquin Diosninchic chay mana-Israelcunäpïtapis wamäta japächacula nunancuna capäcunanpämi. 
ACT.15.15	Cay nishan limayan unay willacünin isquirbishanćhümi. Chayćhümi niyan:
ACT.15.16	‘ “Chaypïta cutimulmi Davidpa ayllunta śhalcalcachil tacyachishä wasi tunïsha-yupay cäcäta.
ACT.15.17+ACT.15.18	Jinaptïmi Adanpi śhamü jinantin caśhtacunäpi nunacunaca ya'ap cäcá ashipäman'a” nil.
ACT.15.17+ACT.15.18	Cay nilmari chay unay timpupi lluy willacachimula quiquin Diosninchic’
ACT.15.19	“Chaymi ya'a ní: juchanpi wanaculcul Diosninchicman chalapacuyalcaptin'a ¿imapäñam juc sasachacuycunawan mana-Israelcunäta mastá ñitichichwan? 
ACT.15.20	Chay lulananchictá aśhwanpa juc papilta apachishun: ‘Amaña pinsalcäliychu chay unay taytachayquicunap custumrinman'a, nï anla juchacuycunaman'a. Ñatac ama yawarnin pasäśha aychactapis micapäcuychu, nïtac yawarcunactapis’ nil niyäta. Chayllapämari capäcun'a.
ACT.15.21	[Ama pinsatïbu cayalcaychu;] unay timpupïpis Moisespa camachicuyninpïta warda muyuncunäćhü-camam may juntunacuna wasićhüpis lïgil yaćhayalcächinlä” nila.
ACT.15.22	Chaypïtam puydï yaćhapacücunaca, caminaycücunaca, lluy chalapacü-masincunawan pinsälälin juc cumisyun numrayta Bernabëtawan Pablocta Antioquia malcäman liwshinanpä. Chaymi chalapacücunäćhu allinpa-cama licaśha Barsabas nipäcuśhan Judastawan, Silasta aclälälin. 
ACT.15.23	Paycunawanmi apachipäcula caynu limayä papilta:
ACT.15.23	“Jesuspa puydï yaćhapacünincunäwan, caminaycücunäwan, chalapacücunäpis limaycälimuc Antioquia-lädućhu, Siriawan Cilicia-lädućhu chalapacücunäta. Mana-Israel caśhta cayalcaptiquipis Jesusninchic jucllachaycamäśhanchicpam cay papilta apayächimú.
ACT.15.24	Yaćhälälïmi cay malcäpi mana ya'acunap shimï-cama śhalcamul, imaymanacta limapalcul, lluy ishcay śhun'uchipäcuśhuśhayquita. 
ACT.15.25+ACT.15.26	Chaymi amcunaman caśhan cutilcächimú Bernabëtawan Pablocta. Jinaman Judastawan Silasta Jesusninchicpa ñacäcuna capäcul llapanchicpïpis cuyaśha captinmi paycunawan cusca śhamunanpä ćhulapäculá. 
ACT.15.27	Paycunapis cayćhu nipäcuśhactanüllaćh shiminwanpis niycälishunqui tacyalpälichishunquipis. 
ACT.15.28	Ya'acunapis ñatac Chuya Ispiritupis mana anchap uyalcänacpämi caycunallacta niycälic: 
ACT.15.29	Taytachancunapä ćhipiycapuśhan uywacunacta ama micapäcuychu, nïtac yawarnin pasäśha aychactapis nï yawarnincunactapis. Jinaman'a ima anla juchacuycunapïpis japächaculcay. Cay nishäcunätanuy lulapäcuptiqui'a, cawsayniqui allinmi can'a.
ACT.15.29	Jamallá” nil.
ACT.15.30	Chaynu Antioquia malcäman ćhälälil-pacham chalapacücunäta juntuycul apachishan papilcäta uycula. 
ACT.15.31	Chayćhu lïgilcälilmi llapanpis cushiculcäla chay papil balurchaycuśhanpi. 
ACT.15.32	Jinaman Judaswan Silaspis, Diospi willacücuna capäculmi shiminwan callpanchaycälila, masïsu chalapaculcänanpä. 
ACT.15.33	Chaypïta chayćhu unay caycuyaptinmi chay cumisyuncäta caćhälälila malcanta jawcallaña cuticalcämunanpä. ˻ 
ACT.15.34	Jinaptinpis Silas yaćhacaypanuy yaćhacälulmi mana cutiyta munalachu.˼ 
ACT.15.35	Jinaman Pablowan Bernabëpis Antioquiaćhu quïdacalcämulatacmi chalapacücunawan Jesuspi willacuśhtin yaćhachishtin.
ACT.15.36	Chayćhu allin unayña cayalcäśhanpïmi Pablo Bernabëta nila: “Acuchun, intirućhu Jesuspi willaśhanchic chalapacü-masinchiccunäman lishun imanuy caśhantapis watucamü” nil. 
ACT.15.37	Niptinmi Juanpa lisipäcuśhan Marcostapis puśhayta Bernabé munala. 
ACT.15.38	Pabloñatacmi ichá mana munätuculachu, chay puntacta puśhaptin Marcos caćhaycul Panfilia malcällapi cuticamuśhanpi. 
ACT.15.39	Chaynu mana munaptinmi allicta piñanaculcul, sintichinaculcul wicta cayta liculcäla. Chaymi Bernabé Marcosta puśhaculcul Chipre malcäta pasacula. 
ACT.15.40	Pabloñatacmi ichá cumpañäninpä Silasta ashicülun. Jinaptinmi chayćhu llapa chalapacücunaca Dios yanapänanpä maquinman ćhulaycuptin liculcäla chay malcapi juc-lädu malcacunaman. 
ACT.15.41	Jinalmi Siriap, Ciliciap malcancunaman ćhäla, chayćhu chalapacücunäta tacyalpachishtin.
ACT.16.1	Derbe malcäpi Pablo pasalmi Listra malcäćhu talïlun chalapacü nunacta Timoteo śhutiyüta. Paymi Israel caśhta chalapacü mamayu, taytanpïñatac mana-Israel caśhta cala. 
ACT.16.2	Paypïtam cay Listraćhu, Iconioćhu cä chalapacücunaca allinta limapäcula. 
ACT.16.3	Chaymi Pablo cumpañïrunpä “puśhacuśhä” nila. Ñatac taytanpi mana-Israel caśhta caśhanta llapanpis yaćhapäcuptinmi Pablo: “Timoteocta ya'acunactanümi siñalachishä malca-masïcuna yan'al mana jucnüpa licapämänanpä” nil siñalachila custumrinmannuy.
ACT.16.4	Chaypïtam intiru malcacunap pasapäcula Jerusalenćhu puydï yaćhapacücunaca, caminaycücunaca limanaculcäśhanta “cäsuculcay” nil willacuśhtin. 
ACT.16.5	Chaynu uyalichiptinmi llapa chalapacücunäpis mas masïsucta chalapaculcäla. Jinaman muyun-muyun mas achcamantac milapäculapis.
ACT.16.6	Chaypi Asia-lädu malcacunäćhu willacuyta munaptinpis chay-läduman linanta Chuya Ispiritum mana cunsintilachu. Jinaptinmi Frigiap, Galaciap malcancunap pasacula. 
ACT.16.7	Chaynu liyäśhanćhu Misia-läducunap lindanman ćhälul Bitinia malcacunäman yaycuyta munaptinpis Chuya Ispiritum yaycunanpä mićhacula. 
ACT.16.8	Chaynu dirichucta pasaśhanćhümi lamar patanćhu Troas malcäman ćhälun.
ACT.16.9	Chayćhümi chay tuta Pablop suyñuyninćhu juc Macedonia-lädu nuna puntanćhu śhäcuyal ruygacuyäñä “Macedoniacta śhamuy, yanapaycamänayquipä” nil. 
ACT.16.10	Chaynüta suyñülul-pacham “Caycunawan'a Diosninchicmi tantiachimanchic willananchicpä” nila. Niptinmi Macedoniacta pasapäcunäpä alistaculcälá.
ACT.16.11	Jinalcul lamar patanćhu Troas malcäpi barcuwan pasapäcuśhäćhümi ćhälälí chay lamar ćhawpićhu Samotracia malcäman. Chaypi chay wäla pasapäcuśhäćhülämi Macedoniap Neapolis malcanman ćhälälí. 
ACT.16.12	Chaypïtam Roma nasyun tacyachishan Filipos malcaman liculcälá. Cay malcam Macedoniap mas prinsipal malcan cala. Chayćhümi unaylä capäculá.
ACT.16.13	Chaypïtam chay warda muyuncäćhu malcäpi yaluculcul lipäculá mayu-läducta “Cay cayćhu cayanpisćha Diosta mañacunapä sityup”
ACT.16.14	Chayćhu jucnin walmim Tiatira malcapi cañä Lidia śhutiyu. Paymi sumä fïnu-fïnu-cama tïla nigusyuyu cacuñä. Pay'a Diosta imaypis pinsalaśhtinshi Jesusta mana lisiyalpis cala. Chaymi Pablo Jesuspi willaptin Diosninchic gänaśhwan uyaliycachiptin chalapacula. 
ACT.16.15	Chaymi wasintin lluy bawtisachicälälil wasinćhu quïdachipämänanpä ruygacayalcäman: “Rasunpa Jesusman chalapacuśhäta tantiapämaptiqui'a, acuchun, wasïćhu jamaculcay” nil. Nilculmi quïdälächiman wasinćhu.
ACT.16.16	Chaypi juc-pun mañacunan sityüta yapa cutilcäśhäćhümi talïlälí Satanaśhpa maquinwan licacuyta yaćhä wamlacta. Chay wamla uyway calmi puydïnincunacta licacuyninwan illaypi'a altullaćhu cachila. 
ACT.16.17	Chay wamlam ya'acunap ipäta śhacayämun apalcaćhaypanuy: “Cay wayapacuná Sumä Munayniyu Diosta sirbïcunam. Chaymi amcunacta willalcäśhunqui imanuypa salbaśha capäcunayquipäpis” nishtin. 
ACT.16.18	Caynu achca muyuncunaña nïlla niyaptinmi Pablo rabyalcul chay wamlaćhu cä achatüta: “¡Salbacü Jesuspa pudirnin caynïwan cay wamläta caćhaycuy!” niycülun. Niycüluptin-pacham achatun caćhaycüluptin licacuynintapis wamlaca lluy pantälun.
ACT.16.19	Chaynu illay ünin jinäluptinmi nunancuna rabyälul Pabloctawan Silasta chalalcul aysacuyalcan chay malcap prinsipal pläsanćhu cä puydï awturidänincunäman. 
ACT.16.20+ACT.16.21	Chayćhu paycunaman ćhaycachilmi: “Cay Israelcunämi malcanchicta pilyuman ćhulayan cuntranchic mala-mäña custumricunacta yaćhachishtin. Caycunacta ya'anchic Roma-lädu cayal'a manam awnil ćhasquiyänanchicchu” nicuyalcan.
ACT.16.22	Niptinmi nunacunäpis Pablop Silaspa cuntran śhalcucuyalcan. Jinaptinmi fispis: “Müdananta lluy uśhtilcälil calallacta wiryap wiryaycäläliy” nicuyan. 
ACT.16.23	Chaynu lluy camacalcuptinmi carsilcäman pasachila. Chayćhümi chay carsil täpäcäta sumäta täpananpä ćhuncay-ćhuncay nila. 
ACT.16.24	Jinaptin carsil mas tunäman apaycachilmi cadinawan ćhaquincunacta pampäman cadinaycul cachila.
ACT.16.25	Jinaptinmi chay ćhawpi tutani'a Pablowan Silas Diosta mañacuyalcan, taquiyalcan. Chayćhümi juc prïsu-masincunapis uyaliyalcan. 
ACT.16.26	Chayćhümi un'aypi juc jatun śhaśhay pasal chay carsilpa simintuntapis śhaśhalcachil llapa puirtancunactapis manyapi quićhacacächin. Ñatac llapa prïsup cadinancunapis lluy shacllallacyayllam pasquicacülun. 
ACT.16.27	Chay jinaman carsil täpäca licaćhacämulmi, llapa puirtactapis quićhalayäta licälun. Jinalculmi “Taytallay-taytay, canan'a juc prïsupis canmanchu-ari” nil ispädanta julalcamul “tucsicüśhä” nicuyan. 
ACT.16.28	Jinacuyaptinmi chay lulipi Pablo ayaycaćhämun: “¡Ama wañuchicuychu! ¡Llapämi cayćhu cayalcá!” nil.
ACT.16.29	Niptinmi täpäca “¡Acchicta apamuy!” nil chay lulicta licä cürri-cürriwan ji'acuycun. Jinalculmi manchapacüśha chucchuśhtin Pablop Silaspa ñawpäninman un'ulacuycul: 
ACT.16.30	“Taytacuna, ¿imactalä lulalläman salbacunäpä?” nicuyan.
ACT.16.31+ACT.16.32+ACT.16.33+ACT.16.34	Niptinmi: “Jesusman chalapacuy; salbaśham canqui ampis aylluyquipis” nipäcula. Niptinmi chay nunaca waśhaman julalcamul chayćhu pa'aycul llapa dañäduncunacta jampiycula. Jinalculmi wasinta puśhaculcul micuytapis micachimula. Chayćhümi chay wasićhu aycam cäcäta Pablowan Silas Jesuspi willala. Jesusman chayćhu chalapaculculmi chay nunaca lluy wasintin chay üra bawtisachiculcäla. Jinalculmi wasinćhu aycam cäcunaca cushisha capäcula Jesusman chalapaculcäśhanpi.
ACT.16.35	Chay wälam fiscunaca chay carsil täpä nunäman cumisyunta caćhälun: “Pabloctawan Silasta caćhaycuchun” nil.
ACT.16.36	Niptinmi chay carsil täpäca Pablocta nila: “Fiscuna partipïmi cumisyun ćhämuman ‘Pabloctawan Silastash caćhaycunqui’ nil; chayurá, taytacuna, jawcalla liculcänayquipä yalupäcuy-ari” nin.
ACT.16.37	Niptinmi Pablo: “¿Ima? Roma-lädu nuna cayalcaptïpis mana sumä yaćhacuycultac llapa nunap puntanćhu upaminti caynüpa lawćhayalcächiman. Jinalcultac cay carsilcämanmi wićhaycayalcächiman. Chaynu jinalcälilchun canan pictapis mana yaćhachï-tumpalla caćhaycälichimayta munan. Juluyta munapämal'a quiquin fiscunaca śhamumächun, llapanpa ñawpäninćhu ‘Mana juchayümi canqui’ nil tantiachinanpä” nin.
ACT.16.38	Niptin imam nishantanuy wardiacunaca chay fiscunäta willapäcuptin Roma caśhta capäcuśhanta uyalïlälilmi alli-allicta manchapacälälisha muyuycaćhacuyalcan. 
ACT.16.39	Chaymi uchuc shimillanwan ćhäpäcula Pabloman, Silasman “Cay lulaśhacpi pampachaycälillämay, taytacuna” nil. Chaynu julalcälimulmi chay malcapi liculcänanpä alli-allicta ruygapäcula. 
ACT.16.40	Jinaptinmi chay carsilpi yalalcälimul pasacalcämula Lidiap wasinta. Chayćhu llapa chalapacücunäwan tincuyculmi, callpanchaculcänanpä lluy limapaycälishanpi chay malcäpi pasaculcäla.
ACT.17.1	Chay Anfipolis malcap, Apolonia malcap pasälälilmi Tesalonica malcäman ćhälälin. Chayćhümi Israel malca-masincunap juntunaculcänan wasi cañä. 
ACT.17.2+ACT.17.3	Chayman yaćhacäśha cayninwanmi quimsa warda muyuncunäćhu Pablo lila. Chayćhümi tantiapaśhta: “Diospa Caćhaśhan Salbacücäta wañulcachiptinpis caśhan cawsamunanpämi isquirbishancunaćhu limayan. Chaymi cay willacuśhä Jesus'a quiquin Diospa Salbacüca” nila. 
ACT.17.4	Niptinmi waquin malca-masincunapis achca mana-Israel allinnin walmicunapis, umricunapis Diosta manchacücá Jesusman chalapaculcul, Pablowan Silaswan jucllachanaculcäla.
ACT.17.5	Mana chalapacü Israelcunäñatacmi ichá sumä nanachicalcälil llapa suwa juyu nunacunacta mincacaycälil Pablop Silaspa cuntran lüyacuyalcan malcaca paypa janan śhalcunanpä. Jinalculmi Jasonpa wasinmanpis yaycucuyalcan Pabloctawan Silasta aysalcamul malcäpa maquinman ćhulaycälinanpä. 
ACT.17.6	Chayćhu mana talilcälilmi Jasontawan juc ishcay chalapacücunätaña aysacuśha ji'acaycälin jatun awturidäninman. Ćhaycachilmi: “Cay Pablowan Silas, jinantin pachäćhu llapa nunacta turbachïcächun, canan cay malcanchicmanpis ćhämunman. 
ACT.17.7	Chaycunactalächun Jason'a wasinćhu ćhasquiñäpis. Jinaman'a Romap Puydï Mandacüninchicta ipanchaycul-lätac ‘Jesusmi rasunpa gubirnamäninchic'a’ nil nipäcuñä canpis” nicuyalcan.
ACT.17.8	Niptinmi awturidäcunaca “Imapis talcülun'aćh” nil manchapacüśha cacuyalcäla. 
ACT.17.9	Chaymi Jasonpa illayninta chalalcul “Anmi imanuypis cacunqui” nil Jasontapis paywan cäcunätapis caćhaycälila.
ACT.17.10	Chay tutalpüluptinñatacmi chalapacücunaca Pabloctawan Silasta Berea malcäman dispachälälila. Chayman ćhälälilmi, malca-masincuna juntunaculcänan wasiman Jesuspi willacü lipäcula. 
ACT.17.11	Chay Berea nunacunam Tesalonicaćhu nunacunäpïtá mas intirisniyu capäcuñä. Chaymi muyun-muyunpis isquirbishacunacta licapäcula “Pablo nishancuna rasunpachućh” nil tincuchiyninwan. 
ACT.17.12	Nishannuy captinñatacmi Jesusman achca Israelcuna chalapaculcäla jinaman allin cäniyu mana-Israel walmicunapis umricunapis.
ACT.17.13	Chay Bereaćhüpis Pablo Diospa willacuyninta yaćhachishanta Tesalonica malcaćhu mana chalapacü Israelcuna yaćhälälilñatacmi cürrïlälimun. Chayćhümi Pablop cuntran limacuyalcan llapa nunamanpis mismichiyninwan. 
ACT.17.14	Jinapacüśhan-pachallam chalapacücunaca Pablocta lamar-läduman ayichiculcäla. Silaswan Timoteoñatacmi ichá chayllaćhu quïdaculcäla.
ACT.17.15	Chay Atenas malcäcama Pablocta cumpañalcälilmi cutïlälimun “Silaswan Timoteo canan-pacha linanta Pablom munan” nil.
ACT.17.16	Ñä Pablo Atenas malcäćhu Silasta Timoteocta alcayal chay malcaca imaymana diosninwan shipuchicüśha caśhanta licalculmi śhun'unpis tipship-tipshicuyäla. 
ACT.17.17	Chaymi chay juntunaculcänan wasićhu Israel-masincunawan ñatac Diosta manchacü mana-Israelcunäwanpis impïñuwan limapäcula. Jinaman pläsaćhu cä pï nunacunawanñapis muyun-muyunmi limayäla. 
ACT.17.18	Jinayaptinmi Epicuriu caśhta llaqui yaćhay-sapacunawan, ñatac Estoico caśhtapi umanllancunaca Pablocta tapuyta allacaycälila imapi limaśhantapis. Chayćhümi waquincuna: “¿Ima limaywanćha shiminta mishquichicuyan?” nipäcula. Juccunäñatacmi: “Juc-lädu malcap diosnincunap willacuyninta muyuchicüpisćhá” nipäcula. 
ACT.17.19	Chay nilcälilmi Areopago nishan nunacunap juntunaculcänanman puśhalcälil tapupäcula: “¿Willaycälimanquimanchun cay yaćhachicuyniquiwan imacta niycälimäśhayquitapis? 
ACT.17.20	Mana imaypis uyalipäcuśhätachućh jinam uyaliyalcächimanqui. Má, willaycälimay ya'acunapis yaćhapäcunäpä” nil. 
ACT.17.21	(Cay Atenas malcayücunacá ima muśhü willacuycunactapis uyalilcul, willanacuyllaćhümi ucupaculcäla.)
ACT.17.22	Pabloñatacmi paycunap ćhawpinman śhaycucuycul: “Cay Atenas malcayu taytacuna, cay ñawïwan licaśhäcunam willaman amcuna diosniquicunaman chalapaculcäśhayquita. 
