GEN.1.1	Ala y'a ka danni daminɛ tuma min na, a kɔnna ka sankolo ni dugukolo le dan.
2CH.6.22	«Ni mɔgɔ dɔ y'a tɔɲɔgɔn hakɛ ta, n'u y'a wajibiya ka kali, n'o tigi nana kali sarakabɔyɔrɔ nin ɲafɛ, i ka soo kɔnɔ, 
2CH.6.23	k'i to sankolo la, i ka mɛnni kɛ. I ka kiti tigɛ i ka baarakɛlaw ni ɲɔgɔn cɛ, koo cɛnna min fɛ, i k'ale sara, k'a kunko la a yɛrɛ kunna. I ka mɔgɔɲuman ka tiɲɛ d'a ma.
2CH.6.24	«N'a kɛra ko i ka jama Isirayɛli juguw sera u kɔrɔ kɛlɛ la, bari u y'i hakɛ ta, n'u nimisara ka kɔsegi i ma ka boɲa la i tɔgɔ kan, ka daalili kɛ i ɲakɔrɔ kosɔbɛ soo nin kɔnɔ, 
2CH.6.25	k'i to sankolo la, i ka mɛnni kɛ, k'u ka hakɛ yafa, k'u kɔsegi u ka jamana na, e tun ye min di u n'u faaw ma.
2CH.6.26	«Ni san lɔra n'a te nana, k'o sababu kɛ u y'i hakɛ ta, n'u y'u ɲaa sin yɔrɔ nin ma k'i daali, ka boɲa la i tɔgɔ kan, n'u nimisara ka faran u ka kojugu la bari i y'u tɔɔrɔ, 
2CH.6.27	k'i to sankolo la, i ka mɛnni kɛ, k'i ka baarakɛlaw, i ka jama Isirayɛli ka hakɛ yafa. I ka siraɲuman don u seen kɔrɔ u bena min taama, k'a to sanji ka na jamana nin kɔnɔ i ye min d'u ma.
2CH.6.28	«Ni kɔngɔ, walima fɔɲɔbana, walima sigɛn, walima sumancɛnbana, walima ni tɔɔnw donna jamana nin kɔnɔ, n'u juguw nana ko u b'u ka duguw dɔ lamini k'u kɛlɛ jamana kɔnɔ, a mana kɛ balawu sifa o sifa ye, ni bana sifa o sifa ye, 
2CH.6.29	ni mɔgɔ o mɔgɔ y'i daali, i ka jama Isirayɛli cɛma, a mana fɛɛn o fɛɛn daali, a mana kɛ koo o koo ye, n'a y'a ka tɔɔrɔ n'a ka sigɛn faamu k'a bolo wili k'a sin soo nin ma, 
2CH.6.30	k'i to i sigiyɔrɔ la sankolo la, mɛnni kɛ ka yafa u ma ka kɛɲɛ n'u kelen kelen bɛɛ ka kɛtaw ye, e min b'u bɛɛ kɔnɔnako lɔn. Bari ele kelen le be adamadenw bɛɛ kɔnɔnako lɔn. 
2CH.6.31	O la, k'u to jamana nin kɔnɔ i ye min di an faaw ma, u bena siran i ɲa, k'i ka siraw taama u sii bɛɛ la.
2CH.6.32	«Ni lonan, min te i ka jama Isirayɛli dɔ ye, n'a bɔra jamanajan dɔ la ka na i tɔgɔba kosɔn, n'i ka sebagaya n'i ka fangatigiya kosɔn, n'a nana k'a ɲaa sin soo nin ma k'i daali, 
2CH.6.33	k'i to i sigiyɔrɔ la sankolo la, i ka mɛnni kɛ. Lonan nin ye fɛɛn min ɲini i fɛ, i k'o kɛ a ye, janko dugukolo kan siyaw bɛɛ k'i lɔn ani ka siran i ɲa i n'a fɔ i ka jama Isirayɛli, ani k'a lɔn ko ne ye soo min lɔ, ko i tɔgɔ le b'a kan.
2CH.6.34	«N'i ka jama bɔra k'u be taga u juguw kɛlɛ, ka kɛɲɛ n'i ka fɔta ye u ye, n'u y'i daali, k'u ɲaa sin i ka dugu wolomanin nin ma, ani ne ye soo min lɔ i ye, k'u ɲaa sin o ma, 
2CH.6.35	k'i to sankolo la, i k'u ka daalili mɛn, ka see d'u ma.
2CH.6.36	«N'u y'i hakɛ ta, bari adamaden si te yen min te hakɛ kɛ, n'i dimina u kɔrɔ k'u don u juguw bolo, olu k'u minɛ ka taga n'u ye jamanajan, walima jamanasurun na, 
2CH.6.37	k'u to o jamana na, u minɛna ka taga min na, n'u sigira ka miiri ka nimisa ka faran u ka kojugu la, k'i daali ko: ‹An ye kojugu kɛ, an ye kodagabali kɛ, an ma koɲuman kɛ›, i k'u ka daalili mɛn, k'u dɛmɛ. 
2CH.6.38	K'u to u minɛna ka taga yɔrɔ min na, n'u nimisara ka kɔsegi e ma n'u dusu bɛɛ ye k'i daali, k'u ɲasinnin to jamana nin ma, i ye min di u faaw ma, n'i ka dugu wolomanin ma, ani ne ye soo min lɔ i ye, 
2CH.6.39	k'i to i sigiyɔrɔ la sankolo la, i k'u ka daalili mɛn, k'u dɛmɛ. I ka jama y'i hakɛ ta, yafa u ma.
2CH.6.40	Sisan ne ka Ala,
2CH.6.40	i ɲaa yɛlɛnin ka mɛnni kɛ daalili la
2CH.6.40	min kɛra yan yɔrɔ la.
2CH.6.41	wili ka na to i ka lafiɲɛyɔrɔ la,
2CH.6.41	e ni kɛsu
2CH.6.41	min ye i ka sebagaya taamasiɲɛ ye.
2CH.6.41	Masa Ala,
2CH.6.41	i ka duba ka kɛ i ka sarakalasebagaw kan
2CH.6.41	u ka kokɛtaw bɛɛ la.
2CH.6.41	I ka mɔgɔw ka nisɔndiya hɛrɛ la.
2CH.6.42	Masa Ala, kan'i ka mɔgɔ wolomanin bila.
2CH.6.42	Koɲuman min tun kɛra i ka baarakɛla Dawuda ye,
2CH.6.42	i hakili to o la.»
2CH.7.2	Sarakalasebagaw ma se ka don Masaba ka soo nin kɔnɔ, bari Masaba ka nɔɔrɔ tun y'a fa. 
2CH.7.3	 Isirayɛlidenw bɛɛ ye tasuma jigitɔ ye, ani Masaba ka nɔɔrɔ, soo nin kan. U y'u ɲaa biri duguma k'o kunbiri gwan yɔrɔ labɛnnin na, ka Masaba tanu. U ko: «A ka ɲi, a ka ɲumanya te ban abada.»
2CH.7.4	Masacɛ ni jama bɛɛ ye sarakaw bɔ Masaba ye. 
2CH.7.5	Masacɛ Solomani ye misi waa mugan ni fila (22 000), ani saga ni baa waa kɛmɛ ni mugan (120 000) bɔ saraka ye. Masacɛ ni jama bɛɛ ye Ala ka soo kalifa a ma ten.
2CH.7.6	Sarakalasebagaw tagara lɔ u ka lɔyɔrɔw la, ani Levi kɔmɔgɔw fana. Fɔlikɛminanw tun be Levi kɔmɔgɔw bolo, masacɛ Dawuda tun ye minw dilan Masaba foli kama, tuma min na a tun ko u k'o kɛ ka Masaba tanu, k'a fɔ ko: «Masaba ka ɲumanya te ban abada.» Sarakalasebagaw tun be buru fiyɛra u ɲafɛ, Isirayɛlidenw bɛɛ tun lɔnin be.
2CH.7.7	Luu min be Masaba ka soo ɲafɛ, Solomani y'o cɛmancɛ saniya, ka saraka jɛnitaw bɔ o yɔrɔ la, ani jɛnɲɔgɔnya sarakaw tuluyɔrɔw. Bari a tun ye sarakabɔyɔrɔ min dilan ni zira ye, ale tun dɔgɔyara saraka jɛnitaw, ni suman sarakaw, ani tuluyɔrɔw ma. 
2CH.7.8	Solomani ye ɲanagwɛ nin kɛ o waati la fɔɔ tile wolonwula, ale ni Isirayɛlidenw bɛɛ. Jamaba tun nana ka bɔ jamana nin bɛɛ kɔnɔ k'a ta Lebowamati fɔɔ ka taga se Ezipiti kɔɔ ma.
2CH.7.9	Tile seeginan loon, u y'o kɛ ɲanagwɛ lonba ye, bari u tun ye sarakabɔyɔrɔ nin kalifa kɛ tile wolonwula kɔnɔ, ka ɲanagwɛ kɛ tile wolonwula tugu. 
2CH.7.10	Kalo wolonwulanan tile mugan ni sabanan loon, Solomani ye sira di jama ma k'u ka taga u ka soo. Jama tun nisɔndiyanin be, u dusu tun diyanin lo Masaba ka baaraɲuman kosɔn, a ye min kɛ Dawuda ni Solomani, n'a ka jama Isirayɛli ye.
2CH.7.11	Masacɛ Solomani tilara Masaba ka soo, n'a yɛrɛ ka soo lɔli la. A tun b'a fɛ ka fɛɛn min bɛɛ kɛ Masaba ka soo, n'a yɛrɛ ka soo kɔnɔ, a sera k'o bɛɛ kɛ. 
2CH.7.12	O tuma na, Masaba y'a yɛrɛ yira a la sufɛ k'a fɔ a ye ko: «Ne y'i ka daalili mɛn, n ye yɔrɔ nin woloma a ka kɛ n ta ye, ani ka kɛ soo ye, saraka bena bɔ min kɔnɔ. 
2CH.7.13	Ni ne y'a kɛ san lɔra a te nana, ni ne ye sira di tɔɔnw ma u ka na jamana nin kɔnɔ suman cɛn, ni n ye fɔɲɔbana bila n ka jama cɛma, 
2CH.7.14	ne tɔgɔ be wele n ka jama min kan, ni u y'u yɛrɛ majigi ka ne daali ka n yɔrɔ ɲini, ani k'u ka kojuguw dabila, ne bena mɛnni kɛ u fɛ ka n to sankolo la, k'u ka hakɛ yafa, ani k'u ka jamana yiriwa. 
2CH.7.15	K'a ta sisan ma, ne ɲaa yɛlɛnin lo, ne bena daalili mɛn, minw bena kɛ yan yɔrɔ la. 
2CH.7.16	Ne ye soo nin woloma sisan k'a kɛ n yɛrɛ ta ye janko ka sigi yen kudayi. Ne ɲaa bena to a kan, a koo bena to ne dusu la tuma bɛɛ. 
2CH.7.17	Ele kɔni, n'i be taama ne ɲakɔrɔ i n'a fɔ i facɛ Dawuda y'a kɛ cogo min na, n'i ye ne ka fɔta bɛɛ bato, ka ne ka sariyaw ni n ka kolatigɛninw kɛ, 
2CH.7.18	 ne bena barika don i ka masaya la ka kɛɲɛ ni n ka layidu ye, ne ye min ta i faa Dawuda ye ko a tena fɔn kɔmɔgɔ la Isirayɛlidenw kunna. 
2CH.7.19	Nga n'aw ye ne to yen, n'aw banna ne ka sariyaw, ni ne ka kuma na, ne ye minw sigi aw ye, n'aw tagara fɛɛn wɛrɛw bato k'aw kunbiri gwan u ɲakɔrɔ, 
2CH.7.20	ne bena Isirayɛlidenw gwɛn ka bɔ n ka jamana kɔnɔ, n ye min d'u ma. N ye soo min kɛ n yɛrɛ ta ye, n bena ban o la fana, k'a kɛ siyaw bɛɛ be yɛlɛ u ma. 
2CH.7.21	Soo nin min tun ka ɲi kosɔbɛ, mɔgɔ o mɔgɔ mana tɛmɛ a gɛrɛfɛ, o tigi bena kabakoya k'a fɔ ko: ‹Mun na Masaba ye nin kɛ jamana nin, ani soo nin na?› 
2CH.7.22	Mɔgɔw bena u jaabi ko: ‹U banna Masaba u faaw ka Ala la minkɛ, o kama lo. Ale min tun y'u bɔ Ezipiti jamana na. U y'u jigi la batofɛn wɛrɛw kan, ka olu bato k'u kunbiri gwan u ɲakɔrɔ. O le y'a to a ye bɔnɛ nin bɛɛ la u kan.› »
2CH.8.1	Masacɛ Solomani tun sera ka Masaba ka soo, n'a yɛrɛ ka soo lɔ saan mugan kɔnɔ. O kɔ, 
2CH.8.2	Iramu tun ye dugu minw d'a ma, a ye olu fana lɔ kura ye ka Isirayɛlidenw sigi u kɔnɔ. 
2CH.8.3	O kɔ, a wilila ka taga Amatisoba dugu kɛlɛ k'a minɛ. 
2CH.8.4	A ye barika don Tadimɔri dugu la fana kongokolon kɔnɔ, ani a tun ye dugu minw bɛɛ lɔ k'o kɛ minanw bilayɔrɔw ye Amati mara la. 
2CH.8.5	A ye Sanfɛ Bɛtorɔn ni Duguma ta lɔ kura ye, k'u kɛ dugu barikamanw ye, k'u lamini ni kogo ye, ani ka koonw don u dondaw la, ni sɔgɔnanw. 
2CH.8.6	A ye Baalati lɔ kura ye fana, ani dugu minw bɛɛ tun kɛr'a ka minanw, n'a ka wotorow, ni soow maraduguw ye. Fɛɛn o fɛɛn lɔko tun ka d'a ye Zeruzalɛmu dugu kɔnɔ, ani Liban jamana na, ani a ka mara bɛɛ kɔnɔ, a ye olu bɛɛ lɔ. 
2CH.8.7	Siya dɔw tɔɔ tun tora jamana kɔnɔ minw tun te Isirayɛlidenw ye. Olu tun ye itiw ye, ni amoriw, ni periziw, ni iviw ani zebuziw ye. 
2CH.8.8	U kɔmɔgɔ minw tun tora jamana kɔnɔ, ni Isirayɛlidenw tun ma u halaki, Solomani ye olu kɛ jɔɔnw ye k'u bila fasobaara la. U tora o la fɔɔ ka na se bii ma. 
2CH.8.9	Nga Solomani ma Isirayɛlidenw si bila o jɔnyabaara la. Olu tun y'a ka kɛlɛdenw ye, dɔw tun kɛra kɛlɛdenw ɲamɔgɔbabaw ye, dɔw ka kɛ a ka kɛlɛkɛwotorow bolibagaw ni sotigiw ye. 
2CH.8.10	A tun ye kuntigi minw sigi, u tun ye mɔgɔ kɛmɛ fila ni bi duuru ye, olu le tun be jama kunna.
2CH.8.11	A tun ye Ezipiti masacɛ denmuso min furu, a y'ale minɛ ka bɔ Dawuda ka ciin kɔnɔ ka taga n'a ye soo kɔnɔ ale Solomani tun ye min lɔ a ye. Bari a ko: «Ne ka muso man kan ka to Isirayɛli masacɛ Dawuda ka soo kɔnɔ, bari Masaba ka layidu taamasiɲɛ kɛsu donna yɔrɔ minw na, olu kɛra Ala ta ye.»
2CH.8.12	Solomani tun ye Masaba ka sarakabɔyɔrɔ min lɔ bulonda ɲafɛ, a ye saraka jɛnitaw bɔ Masaba ye o kan. 
2CH.8.13	 Musa tun ye min fɔ loon o loon sarakaw koo la, a tun b'o kɛ: lafiɲɛlon ta, ni kalokura ɲanagwɛ ta, ani saan o saan ɲanagwɛ saba nunu taw: 
2CH.8.14	Ka kɛɲɛ n'a facɛ Dawuda ka kolatigɛnin ye, a ye sarakalasebagaw ka jɛnkuluw ka baara d'u ma, ka Levi kɔmɔgɔw sigi, u ka to ka Masaba tanu ani ka sarakalasebagaw dɛmɛ u ka baara la loon o loon. A ye daaw kɔlɔsibagaw tilantilan fana jɛnkulu jɛnkulu, u ka baara kama, bari Ala ka mɔgɔ Dawuda tun y'a latigɛ ten. 
2CH.8.15	Masacɛ tun ye min fɔ sarakalasebagaw ni Levi kɔmɔgɔw ye koo o koo la, u y'o bɛɛ bato, hali nafolo marayɔrɔw koo la.
2CH.8.16	Ayiwa, Solomani ka baaraw bɛɛ kɛra ten, k'a daminɛ Masaba ka soo juu donlon ma fɔɔ ka na se a laban loon ma. Masaba ka soo lɔli banna ten.
2CH.8.17	O kɔ, Solomani tagara Ɛsiyɔngɛbɛri ni Ɛlati, kɔgɔjida la Edɔmu mara la. 
2CH.8.18	Iramu ye kurunbabaw ci a ma, a yɛrɛ ka kurunbolibaga ɲanamanw tun b'u kunna. Olu ni Solomani ka mɔgɔw tagara Ofiri, ka kɔsegi ni sanu tɔni tan ni saba ni kɔ ye ka na o di masacɛ Solomani ma.
2CH.9.2	Solomani sera k'a ka ɲiningaliw bɛɛ jaabi, koo si ma to ni Solomani ma se ka min gwɛya a ye. 
2CH.9.3	Saba masamuso y'a ye ko Solomani be koo lɔn. A ye soo min lɔ, a y'o ye fana. 
2CH.9.4	Dumuni min be kɛ masacɛ ka soo kɔnɔ, n'a ka baarakɛlaw ka layɔrɔw, n'u kannafaniw n'u ka baaraw, masacɛ ka minnifɛn dibagaw n'u kannafaniw, ani yɛlɛyɔrɔw ka taga Masaba ka soo, a y'o fana ye, a dabari banna. 
2CH.9.5	A y'a fɔ masacɛ ye ko: «Ne ye fɛɛn min mɛn ka n to n ka jamana na, i ka lɔnniya n'i ka koo la, o ye tiɲɛ ye. 
2CH.9.6	O tun be fɛɛn min fɔ, ne tun te se ka la o la, ni ne tun ma na se yan k'a ye ni n ɲaa ye. U tun ma i ka lɔnniya tilancɛ yɛrɛ koo fɔ ne ye. Ne ye fɛɛn min mɛn i ka koo la, i tɛmɛna o kan pewu. 
2CH.9.7	Mɔgɔw ni baarakɛla minw b'i ɲakɔrɔ tuma bɛɛ ka to k'i ka lɔnniyakuma nunu lamɛn, olu dagamunin lo. 
2CH.9.8	Masaba i ka Ala min sɔnna k'i kɛ masa ye janko ka baara kɛ ale ye, ale ka tanu! Isirayɛlidenw koo ka di i ka Ala ye, ani a b'a fɛ k'u to nii na tuma bɛɛ minkɛ, o la, a y'i kɛ u ka masacɛ ye, janko i ka to ka jama ka koow ɲanabɔ ni tilenninya ye.»
2CH.9.9	O kɔ, a ye sanu tɔni saba ni tilancɛ ɲɔgɔn, ni tulu kasadiman caaman, ani kabakuru sɔngɔgwɛlɛnw di masacɛ ma. Saba masamuso ye tulu kasadiman minw di masacɛ Solomani ma, olu ɲɔgɔn tun ma ye ka ye.
2CH.9.10	Iramu ka baarakɛlaw ni Solomani ta minw tun tagara Ofiri, olu tun kɔsegira ni sanu ye, ani santalilɔgɔw, ni kabakuru sɔngɔgwɛlɛnw. 
2CH.9.11	Masacɛ ye santalilɔgɔ nunu kɛ ka yɛlɛyɛlɛnanw lalaga Masaba ka soo, ani masaso kɔnɔ. A ye gɔniw ni kolonjow lalaga n'u ye fana, k'u di dɔnkililabagaw ma, minw ɲɔgɔn tun ma ye ka ye Zuda mara la fɔlɔ.
2CH.9.12	Saba masamuso mako tun be fɛɛn o fɛɛn na, a ye fɛɛn o fɛɛn daali, masacɛ Solomani y'o bɛɛ d'a ma. Masamuso nin tun nana ni fɛɛn min ye k'a di Solomani ma, Solomani ye fɛɛn min d'a ma, o tun tɛmɛna o kan. O kɔ, a segira ka ta'a ka jamana na n'a ka baarakɛlaw ye.
2CH.9.13	Solomani tun be to ka sanu min sɔrɔ saan o saan, o tun ye tɔni mugan ye. 
2CH.9.14	A tun be to ka min minɛ jagokɛlaw fɛ, o be danna. Arabu jamana masacɛw bɛɛ, ni jamana ka lasigidenw fana tun be na ni sanu ani warigwɛ ye k'o d'a ma.
2CH.9.15	Masacɛ Solomani ye nigɛkunbɛnnan belebele kɛmɛ fila dilan ni sanu faganin ye. U kelen kelen bɛɛ dilanna ni sanu kilo wɔɔrɔ wɔɔrɔ ye. 
2CH.9.16	A ye fitinifitini kɛmɛ saba dilan fana ni sanu faganin ye. U kelen kelen bɛɛ dilanna ni sanu kilo saba saba ye. A ka soo min be wele ko Liban tuu, a tagara u bila yen. 
2CH.9.17	O kɔ, masacɛ ye masasigilan belebeleba dilan ni samaɲin ye, ka sanu yɛrɛ yɛrɛ kɛ k'a yɔrɔ bɛɛ mɔ. 
2CH.9.18	Yɛlɛyɛlɛnan seen layɔrɔ wɔɔrɔ le tun be masasigilan nin ɲafɛ, seen bilayɔrɔ sanulaman tun b'a la. Bolo layɔrɔ tun be sigilan nin faan fila nunu na. Jara jaa fila tun dilannin be ka lɔ bolo layɔrɔ nunu gɛrɛfɛ. 
2CH.9.19	Jara jaa tan ni fila tun dilanna ka lɔ yɛlɛyɛlɛnan nin seen layɔrɔ gɛrɛ fila nunu na kelen kelen. O ɲɔgɔn tun ma kɛ ka ye masa si ka yɔrɔ la. 
2CH.9.20	Masacɛ Solomani ka filenw bɛɛ tun ye sanu ye. A ka soo min be wele ko Liban tuu, o kɔnɔnaminanw bɛɛ tun ye sanu yɛrɛ yɛrɛ ye. Minan si tun te yen min dilanna ni warigwɛ ye, bari warigwɛ tun te jati Solomani ka tile la.
2CH.9.21	Kurunbabaw tun be masacɛ Iramu fɛ, a ka mɔgɔw tun be minw baara kɛ. Saan saba o saan saba, o kurun nunu tun be to ka na ni sanu ye, ni warigwɛ, ani samaɲin, ni sulaw ani kɔnɔ sifa dɔw ye.
2CH.9.22	Masacɛ Solomani tun tɛmɛna dugukolo kan masacɛw bɛɛ kan nafolotigiya, ni lɔnniya la. 
2CH.9.23	Dugukolo kan masacɛw bɛɛ tun b'a fɛ ka Solomani ye, ani k'a ka lɔnniyakuma lamɛn, Ala tun ye min d'a ma. 
2CH.9.24	U kelen kelen bɛɛ tun be to ka na n'u ka boɲafɛnw ye u bolo, warigwɛ, ni sanu, ani faniw, ni kɛlɛkɛminanw, ni tulu kasadimanw, ani soow ni sofaliw. A tun be kɛ ten saan o saan. 
2CH.9.25	 Soow ni wotorow marayɔrɔ waa naani (4 000), ani soo waa tan ni fila (12 000) tun be Solomani fɛ. A y'u bila a ka kɛlɛkɛwotorow biladuguw la, ani Zeruzalɛmu fana, a yɛrɛ gɛrɛfɛ. 
2CH.9.26	 K'a ta Efarati baji la, fɔɔ ka taga se filisiw ka mara daan na, ka taga fɔɔ Ezipiti jamana daan na, a tun be o yɔrɔ masacɛw bɛɛ mara. 
2CH.9.27	Masacɛ ye warigwɛ caya Zeruzalɛmu. A cayara i n'a fɔ kabakuruw, sɛdiriyiri fana cayara i n'a fɔ sikomɔriyiriw ka ca kulujukɔrɔ mara la cogo min na. 
2CH.9.28	 Solomani ka soow tun be bɔ Ezipiti jamana na, ani jamana tɔw bɛɛ la.
2CH.9.29	Solomani ka kɛwali tɔw, k'a ta a daminɛ na fɔɔ a laban na, o be sɔrɔ kira Natan ka kɛwaliw kitabu kɔnɔ, ani Siloka kira Aya ka kitabu kɔnɔ, ni kira Yedo ka yelifɛnw kitabu kɔnɔ. Min be Nebati dencɛ Zerobowamu ka koo fɔ.
2CH.9.30	Solomani ye masaya kɛ Isirayɛlidenw bɛɛ kunna Zeruzalɛmu saan bi naani kɔnɔ. 
2CH.9.31	O kɔ, a sara, u y'a suu don a faa Dawuda ka ciin kɔnɔ. A dencɛ Orobowamu sigir'a nɔɔ na masaya la.
2CH.10.1	Orobowamu tagara Sisɛmu, bari Isirayɛlidenw bɛɛ tun nana janko k'a sigi masaya la. 
2CH.10.2	Nebati dencɛ Zerobowamu y'o mɛn tuma min na, a bɔra Ezipiti jamana na ka kɔsegi. A tun bolila masacɛ Solomani ɲa ka taga sigi yen. 
2CH.10.3	U ye mɔgɔ bila ka ta'a wele. Zerobowamu ni Isirayɛlidenw bɛɛ nana ɲɔgɔn sɔrɔ k'a fɔ Orobowamu ye ko: 
2CH.10.4	«I facɛ ye sigɛnba la an kan. Sisan, ele k'o baaragwɛlɛn n'o sigɛn nin nɔgɔya an ye, i faa tun ye min la an kan, an bena baara kɛ i ye.» 
2CH.10.5	A y'a fɔ u ye k'u ka taga ka segi ka na yanni tile saba. Jama tagara.
2CH.10.6	Masacɛ Orobowamu ye cɛkɔrɔbaw ɲininga, minw tun ye baara kɛ n'a faa Solomani ye, k'a fɔ ko: «Aw be ladili jumɛn di ne ma? Ne ka jaabili jumɛn di jama nin ma?» 
2CH.10.7	Cɛkɔrɔba nunu y'a jaabi ko: «N'i ye jama nin minɛ ka ɲa k'i janto u la, ani k'u jaabi ni kumaɲuman ye, u bena to i fɛ ka baara kɛ i ye tuma bɛɛ.» 
2CH.10.8	Nga Orobowamu ye cɛkɔrɔba nunu ka ladili to yen ka ta'a tɔɲɔgɔn kanbelenw ɲininga, a mɔna ni minw ye, n'u be baara kɛ a ye. 
2CH.10.9	A y'a fɔ u ye ko: «Ne ka kan ka mun le fɔ jama nin ye? Minw y'a fɔ ne ye ko: ‹I faa ye sigɛn min la an kan, i k'o nɔgɔya an ma.› » 
2CH.10.10	A tɔɲɔgɔnw y'a jaabi ko: «Mɔgɔ minw y'a fɔ i ye ko i faa ye sigɛnba min la olu kan, i k'o nɔgɔya olu ye, i ben'a fɔ u ye ko ele bolokunnadennin ka bon n'i facɛ cɛɛ ye. 
2CH.10.11	Ko i faa tun ye sigɛnba la u kan, ko sisan e bena dɔ fara o kan. Ko i faa tun be to k'u bugɔ ni busan ye, ko ele bena to k'u bugɔ ni ŋɔni ye.»
2CH.10.12	Tile sabanan loon sera, Zerobowamu ni jama bɛɛ kɔsegira ka na masacɛ Orobowamu fɛ, i ko a tun y'a fɔ cogo min na k'u ka taga ka na yanni tile saba. 
2CH.10.13	Cɛkɔrɔbaw tun ye ladili min d'a ma, a y'o to yen, k'u jaabi ni kuma gwɛlɛ ye. 
2CH.10.14	A ye kanbelen nunu ka ladilikuma ta k'o fɔ u ye ko: «Ne faa ye sigɛnba la aw kan, ne fana bena dɔ fara o sigɛn nin kan. Ne faa tun be to k'aw bugɔ ni busan ye, ne bena aw bugɔ ni ŋɔni ye.»
2CH.10.15	A kɛra ten, masacɛ ma sɔn ka mɛnni kɛ jama fɛ, bari Ala le y'a kɛ ten janko a tun ye kuma min fɔ kira Ayiya ye ka bɔ Silo ko a k'a fɔ Nebati dencɛ Zerobowamu ye, o ka kɛ.
2CH.10.16	«Mun le be anw ni Dawuda cɛ?
2CH.10.16	Foyi te an ni Zese dencɛ cɛ!
2CH.10.16	Isirayɛlidenw, aw ka taga aw ka soo!
2CH.10.16	Sisan Dawuda ka banba n'a ka soo ye!»
2CH.10.16	A kɛra ten, Isirayɛli mara mɔgɔw bɛɛ segira ka taga u ka soow kɔnɔ. 
2CH.10.17	Isirayɛliden minw tun siginin be Zuda mara duguw kɔnɔ, Orobowamu kɛra olu dama ka masacɛ ye. 
2CH.10.18	Masacɛ Orobowamu ye Adoramu ci, min tun ye fasobaara kuntigi ye. Nga Isirayɛli mara mɔgɔw y'a bon ni kabakuru ye k'a faga. Masacɛ Orobowamu kɔni sera ka don a ka wotoro kɔnɔ ka boli ka taga Zeruzalɛmu. 
2CH.10.19	A kɛra ten Isirayɛliden tɔw faranna ka bɔ Dawuda ka soo la fɔɔ ka na se bii ma.
2CH.11.1	Orobowamu sera Zeruzalɛmu tuma min na, a ye Zuda kɔmɔgɔw ni Bɛnzamɛn taw lajɛn. U tun kɛra cɛfari waa kɛmɛ ni bi seegi (180 000) ye. A tun b'a fɛ ka taga Isirayɛli mara mɔgɔw kɛlɛ, ka mara nin minɛ ka kɛ Orobowamu ta ye tugu. 
2CH.11.2	Nga Masa Ala kuman'a ka mɔgɔ Semaya fɛ ko: 
2CH.11.3	«A fɔ Zuda mara masacɛ, Solomani dencɛ Orobowamu, ani Isirayɛliden minw bɛɛ be Zuda ni Bɛnzamɛn maraw la ko: 
2CH.11.4	Masaba ko: Aw man kan ka taga aw badenw kɛlɛ. Aw kelen kelen bɛɛ ka kɔsegi aw ka soo, bari koo nin bɔra ne lo la.» U ye Masaba ka kuma bato ka kɔsegi, u ma taga Zerobowamu kɛlɛ tugu.
2CH.11.5	Orobowamu sigira Zeruzalɛmu, a ye Zuda mara dugu dɔw lalaga k'u sigi ka kɛ dugu barikamanw ye. 
2CH.11.6	A ye Bɛtilehɛmu lalaga, ni Etamu, ni Tekowa, 
2CH.11.7	ani Bɛtisuri ni Soko ni Adulamu, 
2CH.11.8	ani Gati ni Maresa ni Zifu, 
2CH.11.9	ani Adorayimu ni Lakisi ni Azeka, 
2CH.11.10	ani Soreya ni Ayalɔn ani Eburɔn. Olu le kɛra dugu barikamanw ye Zuda ni Bɛnzamɛn mara la. 
2CH.11.11	A y'u laminikogow lalaga ka kɛlɛkuntigiw sigi yen, ani ka dumuni, ni tulu, ni duvɛn mara yen. 
2CH.11.12	A ye nigɛkunbɛnnanw ni tamanw bila o dugu nunu bɛɛ kɔnɔ, ka barika don u la kosɔbɛ. Zuda ni Bɛnzamɛn maraw tun ye a ta ye.
2CH.11.13	Sarakalasebagaw ni Levi kɔmɔgɔ minw tun siginin be faan bɛɛ Isirayɛli mara la, olu wilila ka na to Orobowamu kɔrɔ. 
2CH.11.14	Levi kɔmɔgɔw y'u ka dugukolow n'u ka soow to yen ka na Zeruzalɛmu dugu kɔnɔ, ani Zuda mara la, bari Zerobowamu n'a deenw tun y'u bali ka Masaba ka sarakalasebaara kɛ. 
2CH.11.15	 A y'a yɛrɛ ka sarakalasebagaw sigi sɔnnikɛyɔrɔw, ani joow kunna, a tun ye minw dilan bakɔrɔnin ni misiden jaa la. 
2CH.11.16	Isirayɛliden minw bɛɛ tun b'a fɛ ka Masaba, Isirayɛli ka Ala ɲini, olu tugura Levi kɔmɔgɔw kɔ ka taga Zeruzalɛmu ka sarakaw bɔ Masaba u faaw ka Ala ye. 
2CH.11.17	U ye barika don Zuda mara masaya la, ka Solomani dencɛ Orobowamu ka fanga sabati saan saba kɔnɔ, bari a tun be Dawuda ni Solomani ka sira le taama o waati la.
2CH.11.18	Orobowamu ye Dawuda dencɛ Yerimɔti denmuso Maalati furu. A bamuso tun ye Zese dencɛ Eliyabu denmuso Abiyayili ye. 
2CH.11.19	Maalati ye dencɛw wolo a ye: Yewusi ni Semariya ani Zaamu. 
