GEN.1.1	Nang pasimula ay nilikha ng Diyos ang langit at ang lupa;
1CH.27.2	Si Jasobeam, anak ni Zabdiel, ang namahala sa pangkat na naglingkod sa unang buwan. Siya'y namuno sa 24,000 katao. 
1CH.27.3	Mula siya sa angkan ni Peres, at siya ang pangkalahatang pinuno. 
1CH.27.4	Si Dodai na taga-Aho ang namahala sa ikalawang buwan. 
1CH.27.5	Ang namahala naman sa ikatlong buwan ay si Benaias, anak ng paring si Joiada. 
1CH.27.6	Siya ang Benaias na pinuno ng Tatlumpung Matatapang na Mandirigma. Ang namahala sa kanyang pangkat ay ang anak niyang si Amizabad. 
1CH.27.7	Ang pangkat naman na nanungkulan sa ikaapat na buwan ay pinamahalaan ni Asahel, kapatid ni Joab. Ang humalili sa kanya ay ang anak niyang si Zebadias. 
1CH.27.8	Ang pangkat namang nanungkulan sa ikalimang buwan ay pinamahalaan ni Samhut na taga-Ishar. 
1CH.27.9	Ang namahala naman sa pangkat na nanungkulan sa ikaanim na buwan ay si Ira, anak ni Ikes na taga-Tekoa. 
1CH.27.10	Ang pangkat para sa ikapitong buwan ay pinamahalaan ni Helez, anak ni Efraim at taga-Pelon. 
1CH.27.11	Ang pangkat sa ikawalong buwan ay pinamahalaan naman ni Sibecai na taga-Husa, mula sa angkan ni Zera. 
1CH.27.12	Ang pangkat na nanungkulan sa ikasiyam na buwan ay pinamahalaan ni Abiezer na isang taga-Anatot, buhat sa lipi ni Benjamin. 
1CH.27.13	Ang pangkat namang nanungkulan sa ikasampung buwan ay pinamahalaan ni Maharai na taga-Netofa, mula sa angkan ni Zera. 
1CH.27.14	Ang pangkat na nanungkulan sa ikalabing isang buwan ay pinamahalaan naman ni Benaias na isang taga-Peraton, mula sa lipi ni Efraim. 
1CH.27.15	Ang pangkat na nanungkulan sa ikalabindalawang buwan ay pinamahalaan naman ni Heldai, taga-Netofa, buhat sa angkan ni Otniel.
1CH.27.16	Ito ang mga namahala sa Israel: sa lipi ni Ruben ay si Eliezer na anak ni Zicri; sa lipi ni Simeon ay si Sefatias na anak ni Maaca; 
1CH.27.17	sa lipi ni Levi ay si Hashabias na anak ni Kemuel; sa angkan ni Aaron ay si Zadok; 
1CH.27.18	sa lipi naman ni Juda ay si Elihu, isa sa mga kapatid ni David; sa lipi ni Isacar ay si Omri na anak ni Micael; 
1CH.27.19	sa lipi ni Zebulun ay si Ismaias na anak ni Obadias; sa lipi ni Neftali ay si Jerimot na anak ni Azriel; 
1CH.27.20	sa lipi ni Efraim ay si Hosea na anak ni Azarias; sa kalahating lipi ni Manases ay si Joel na anak ni Pedaias. 
1CH.27.21	Ang namahala naman sa kalahating lipi ni Manases na nasa Gilead ay si Iddo na anak ni Zacarias; sa lipi ni Benjamin ay si Jaasiel na anak ni Abner; 
1CH.27.22	at sa lipi naman ni Dan ay si Azarel na anak ni Jeroham.
1CH.27.23	Hindi
1CH.27.24	Ang
1CH.27.25	Ang namahala sa mga kabang-yaman ng hari ay si Azmavet na anak ni Abdiel, ngunit sa mga kayamanang nasa mga lalawigan, lunsod, nayon, at ang nasa mga tore, ang namahala ay si Jonatan na anak ni Uzias. 
1CH.27.26	Si Ezri na anak ni Kelub ang ginawang tagapamahala ng mga magsasaka. 
1CH.27.27	Si Simei na isang taga-Rama ang namahala sa mga ubasan, at si Zabdi na isang taga-Sephan ang namahala naman sa imbakan ng alak. 
1CH.27.28	Si Baalhahan na isang taga-Geder ang namahala sa mga tanim na olibo at sikamoro sa Sefela, at sa bodega naman ng langis ay si Joas. 
1CH.27.29	Si Sitrai na taga-Saron ang namahala sa mga kawan sa pastulan ng Saron at si Safat, anak ni Adlai ang namahala naman sa mga kawan na nasa kapatagan. 
1CH.27.30	Sa mga kamelyo naman, ang namahala ay si Obil na isang Ismaelita; sa mga inahing asno ay si Jedeias na taga-Meronot, at sa mga kawan ay si Jaziz na Hagrita. 
1CH.27.31	Ang lahat ng ito'y mga katiwala ng mga ari-arian ni David.
1CH.27.32	Si Jonatan, ang tiyo ni David, ang kinuhang tagapayo ng mga anak ng hari sapagkat siya'y matalino at dalubhasa. Magkatulong sila ni Jehiel, anak ni Hacmoni, sa pagtuturo sa mga anak ng hari. 
1CH.27.33	Ang tagapayo naman ng hari ay si Ahitofel; at si Husai naman, na isang Arkita, ang matalik na kaibigan ng hari. 
1CH.27.34	Nang mamatay si Ahitofel ay pumalit sa kanya si Joiada na anak ni Benaias at si Abiatar. Si Joab naman ang pinakamataas na pinuno ng hukbo ng hari.
1CH.28.1	Tinipon ni David sa Jerusalem ang lahat ng mga pinuno ng Israel, lahat ng pinuno ng mga lipi, lahat ng namamahala ng mga pangkat na naglilingkod sa hari, ang mga pinuno ng mga libu-libo at mga pinuno ng mga daan-daan. Tinawag din niya ang mga katiwala ng mga ari-arian, at ng mga kawan ng hari, at ng mga anak niya, lahat ng mga may tungkulin sa palasyo, lahat ng matatapang na lalaki, at lahat ng mahuhusay na mandirigma.
1CH.28.2	Nang
1CH.28.3	Ngunit sinabi sa akin ng Diyos na hindi ako ang magtatayo ng Templo para sa kanya sapagkat ako'y isang mandirigma at may bahid ng maraming dugo ang aking kamay. 
1CH.28.4	Subalit sa sambahayan ng aking ama, ako ang pinili ni Yahweh, ang Diyos ng Israel upang maghari sa bansang ito magpakailanman. Ang pinili niyang mangunguna ay si Juda, at nagmula sa lipi nito ang pamilya ng aking ama. Sa amin namang pamilya, ako ang kanyang itinalaga para maging hari ng buong Israel. 
1CH.28.5	Binigyan ako ni Yahweh ng maraming anak at mula sa kanila, si Solomon ang pinili niya upang umupo sa trono ng Israel, ang kaharian ni Yahweh. 
1CH.28.6	Ang sabi niya sa akin, ‘Ang iyong anak na si Solomon ang magtatayo ng aking Templo, sapagkat siya ang pinili kong maging anak, at ako naman ang magiging ama niya. 
1CH.28.7	Patatatagin ko ang kanyang kaharian magpakailanman kung patuloy niyang susundin ang aking mga utos at tuntunin gaya ng ginagawa niya ngayon.’ 
1CH.28.8	Kaya nga, sa harapan ng buong Israel na bayan ni Yahweh, at ng Diyos na ngayo'y nakikinig, inaatasan ko kayo na sundin ninyong mabuti ang kautusan ng Diyos ninyong si Yahweh upang manatiling sa inyo ang masaganang lupaing ito at maipapamana naman ninyo sa inyong mga salinlahi magpakailanman.
1CH.28.9	“At ikaw naman, Solomon, anak ko, kilalanin mo ang Diyos ng iyong ama at paglingkuran mo siya nang buong puso at pag-iisip, sapagkat sinisiyasat ni Yahweh ang ating damdamin at nauunawaan ang ating binabalak at iniisip. Kung lalapit ka sa kanya, tatanggapin ka niya. Ngunit kung tatalikuran mo siya, itatakwil ka niya magpakailanman. 
1CH.28.10	Alalahanin mong ikaw ang pinili ni Yahweh upang magtayo ng kanyang banal na Templo. Magpakatatag ka at gawin mo ito nang may paninindigan.”
1CH.28.11	Ibinigay ni David kay Solomon ang mga plano ng mga gusali ng Templo, ng mga kabang-yaman, ng mga silid sa itaas, ng mga silid sa loob at ng silid para sa banal na trono ng awa. 
1CH.28.12	Ibinigay din niya ang plano para sa mga bulwagan at mga silid sa palibot nito at ang kabang-yaman ng Templo ng Diyos at ang bodega para sa mga kaloob na ukol kay Yahweh. 
1CH.28.13	Ibinigay din niya ang plano para sa organisasyon ng mga pari at Levita at ang paghahati-hati sa mga gawaing may kinalaman sa paglilingkod sa Templo, at sa mga kagamitan dito. 
1CH.28.14	Itinakda niya ang timbang ng ginto o pilak na gagawing mga sisidlan, 
1CH.28.15	mga ilawan at patungan ng mga ito. 
1CH.28.16	Gayundin ang timbang ng ginto na ibabalot sa bawat mesa na pagpapatungan ng tinapay na handog, at ang pilak na gagamitin sa bawat mesang pilak. 
1CH.28.17	Itinakda rin niya ang timbang ng purong ginto na gagawing mga tinidor, mga palanggana, mga kopa, at mga gintong mangkok, gayundin ang pilak at gintong gagamitin sa mga mangkok. 
1CH.28.18	Itinakda rin niya ang timbang ng purong ginto para sa altar na sunugan ng insenso, pati ang plano at gintong gagamitin sa karwahe ng mga kerubin na ang mga pakpak ay tumatakip sa Kaban ng Tipan ni Yahweh. 
1CH.28.19	Sinabi ni David, “Ang lahat ng ito ay nasa plano na ginawa ayon sa utos ni Yahweh at siyang kailangang isagawa.”
1CH.28.20	Pagkatapos, sinabi ni David sa kanyang anak na si Solomon, “Magpakatatag ka, lakasan mo ang iyong loob at gawin mo ito. Huwag kang matatakot ni panghinaan ng loob sapagkat ang 
1CH.28.21	Narito ang mga pangkat ng mga pari at mga Levita na handa para sa lahat ng gawain sa Templo ng Diyos. Narito rin ang mga ekspertong manggagawa, ang buong bayan at ang kanilang mga pinuno na handang tumulong at sumunod sa iyo sa anumang oras.”
1CH.29.1	Ipinahayag
1CH.29.2	Dahil dito, sinikap kong magtipon ng mga gagamitin para sa Templo ng aking Diyos tulad ng ginto, pilak, tanso, bakal at kahoy. Napakarami ng inihanda kong batong onise at iba pang mahahalagang batong pampalamuti, at lahat ng uri ng mahahalagang bato at marmol. 
1CH.29.3	Hindi lang iyan, pati na ang sarili kong pilak at ginto ay inilaan ko na rin sa gawaing ito, sapagkat kasiyahan kong magkaroon ng Templo ang aking Diyos. 
1CH.29.4	May nakalaan akong 105,000 kilong ginto na mula pa sa Ofir, at 245,000 kilong purong pilak na ididikit sa mga dingding ng Templo, 
1CH.29.5	at sa iba pang bagay na gagawin ng mga mahuhusay na platero. Sino sa inyo ngayon ang kusang-loob na magbibigay para kay Yahweh?”
1CH.29.6	Sumang-ayon agad ang mga pinuno ng mga sambahayan, ang mga pinuno ng mga lipi, ang mga pinuno ng mga hukbo at ang mga katiwala ng hari. 
1CH.29.7	Kusang-loob silang nagbigay, at ang natipon para sa gagawing templo ay 175,000 kilong ginto, 350,000 kilong pilak, 630,000 kilong tanso, at 3,500,000 kilong bakal. 
1CH.29.8	Ipinagkaloob nila ang kanilang mahahalagang bato sa kabang-yaman ng Templo ni Yahweh na nasa pamamahala ni Jehiel na mula sa angkan ni Gershon. 
1CH.29.9	Masayang-masaya ang mga tao sa kanilang mga kusang-loob na panghandog kay Yahweh, at labis din itong ikinatuwa ni Haring David.
1CH.29.10	Sa harapan ng mga tao'y tuwang-tuwa si David na nagpuri kay Yahweh. Sinabi niya, “Purihin kayo magpakailanman, Yahweh, ang Diyos ni Israel na aming ama. 
1CH.29.11	Sa
1CH.29.12	Sa inyo nagmumula ang kayamanan at ang karangalan at kayo ang naghahari sa lahat. Taglay ninyo ang kapangyarihan at kadakilaan, at kayo ang nagbibigay ng lakas at kapangyarihan sa lahat. 
1CH.29.13	Pinasasalamatan namin kayo, O Diyos, at pinupuri ang inyong maluwalhating pangalan.
1CH.29.14	“Ngunit sino ako at ang bayang ito? Buong puso kaming nagkakaloob sapagkat ang lahat ng ito ay galing sa inyo at ibinabalik lamang namin. 
1CH.29.15	Tulad ng aming mga ninuno, kami nga'y mga dayuhan at naglalakbay lamang. Ang buhay namin sa daigdig na ito ay parang anino at pansamantala lamang. 
1CH.29.16	O Yahweh na aming Diyos, ang lahat ng kayamanang ito na aming ibinigay para ipagpagawa ng inyong tahanan ay sa inyo rin nagmula. 
1CH.29.17	Alam kong sinasaliksik ninyo ang puso ng bawat tao, at natutuwa kayo sa mga matuwid. O Diyos, buong puso kong ipinagkakaloob sa inyo ang lahat ng ito. Nasaksihan ko rin ang buong puso at may kagalakang pagkakaloob ng inyong bayan na narito ngayon. 
1CH.29.18	Yahweh, Diyos nina Abraham, Isaac at Jacob na aming mga ninuno, panatilihin ninyo sa isipan ng inyong bayan ang mga layuning ito, at akayin ninyo silang palapit sa inyo. 
1CH.29.19	Tulungan ninyo ang anak kong si Solomon na maging tapat sa pagsunod sa inyong mga utos at tuntunin upang maitayo niya ang Templong aking pinaghandaan.”
1CH.29.20	At sinabi ni David sa sambayanan, “Purihin ninyo ang Diyos ninyong si Yahweh!” Pinuri nga ng buong kapulungan si Yahweh, ang Diyos ng kanilang mga ninuno. Yumuko ang lahat, sumamba kay Yahweh, at nagbigay-galang sa hari. 
1CH.29.21	Kinabukasan, ang dinala nilang handog na susunugin ay 1,000 toro, 1,000 tupang lalaki, 1,000 kordero at mga alak na handog, at napakaraming handog para sa buong Israel. 
1CH.29.22	Masasaya silang nagsalu-salo sa harapan ni Yahweh noong araw na iyon.
1CH.29.22	Minsan pa nilang ipinahayag na si Solomon na anak ni David ay hari, at binuhusan ito ng langis sa pangalan ni Yahweh. Si Zadok naman ay hinirang bilang pari. 
1CH.29.23	Mula
1CH.29.24	Nanumpa ng katapatan kay Haring Solomon ang mga pinuno at mandirigma, pati na ang iba pang anak ni Haring David. 
1CH.29.25	Binigyan ni Yahweh si Solomon ng dakilang karangalan at katanyagang higit sa mga naging hari sa Israel.
1CH.29.26	Si David na anak ni Jesse ay naghari sa buong Israel. 
1CH.29.27	Apatnapung
1CH.29.28	Nabuhay siya nang matagal, at namatay na mayaman at marangal. Si Solomon ang humalili sa kanya bilang hari. 
1CH.29.29	Ang lahat ng pangyayari sa buong panahon ng paghahari ni David ay nakasulat sa mga aklat ng mga propetang sina Samuel, Natan at Gad. 
1CH.29.30	Sa mga aklat na iyon nakasulat kung paano siya namahala, gaano kalawak ang kanyang kapangyarihan at ang mga nangyari sa kanya sa Israel, at sa lahat ng mga kaharian sa paligid.
2CH.1.1	Naging matatag ang paghahari ni Solomon na anak ni David sapagkat pinagpapala siya ng Diyos niyang si Yahweh at pinalakas ang kanyang kapangyarihan. 
2CH.1.2	Ipinatawag niya ang mga pinunong namamahala sa libu-libo at sa daan-daan, ang lahat ng may kapangyarihan at ang buong bayan. 
2CH.1.3	Isinama niya ang mga ito sa burol ng Gibeon, sa Toldang Tipanan, na ginawa ni Moises noong sila'y nasa ilang. 
2CH.1.4	Ngunit
2CH.1.5	Ang
2CH.1.6	Pagdating sa Gibeon, nag-alay si Solomon ng sanlibong handog na susunugin sa altar na tanso na nasa loob ng Toldang Tipanan.
2CH.1.7	Kinagabihan, nagpakita ang Diyos kay Solomon at sinabi sa kanya: “Sabihin mo kung ano ang gusto mo, at ibibigay ko sa iyo.”
2CH.1.8	Sumagot si Solomon: “Napakabuti ninyo sa aking amang si David. At ngayo'y ginawa ninyo akong hari kahalili niya. 
2CH.1.9	 Yahweh, natupad sa akin ang pangako ninyo sa kanya. Ginawa ninyo akong hari ng isang lahing sindami ng alabok sa lupa. 
2CH.1.10	Kaya ngayon, ang hiling ko'y bigyan ninyo ako ng karunungan at kaalaman upang mapamahalaan ko ang bayang ito. Kung hindi, paano ko pamamahalaan ang malaking bayang ito?”
2CH.1.11	“Mabuti ang hiniling mo,” sagot ng Diyos kay Solomon. “Hindi ka naghangad ng kayamanan o karangalan. Hindi mo hinihiling ang kamatayan ng iyong mga kaaway o pahabain ang iyong buhay. Sa halip, ang hiningi mo'y karunungan at kaalaman sa pamamalakad sa bayang ito na niloob kong pagharian mo. 
2CH.1.12	Ipinagkakaloob ko sa iyo ang hinihingi mo. At hindi lamang iyan! Bibigyan pa kita ng kayamanan at karangalan na kailanma'y hindi nakamtan ng mga haring nauna sa iyo, at hindi kakamtan ng mga susunod pa.” 
2CH.1.13	Pagkatapos sumamba sa Gibea, bumalik si Solomon sa Jerusalem. At siya'y naghari sa Israel.
2CH.1.14	Nagtatag
2CH.1.15	Sa panahon ng paghahari ni Haring Solomon, ang ginto at pilak sa Jerusalem ay naging pangkaraniwan lamang na parang bato, at ang kahoy na sedar ay naging sindami ng sikamoro sa paanan ng mga burol. 
2CH.1.16	Ang
2CH.1.17	Bumibili rin siya ng mga karwahe sa Egipto sa halagang 600 pirasong pilak ang isa, at sa 150 pirasong pilak naman ang isang kabayo. Ang mga ito'y ipinagbibili naman niya sa mga hari ng mga Heteo at mga Arameo.
2CH.2.1	Nagpasya si Solomon na magtayo ng templo na kung saan ay sasambahin si Yahweh, at ng palasyo para sa kanyang sarili. 
2CH.2.2	Naglagay si Solomon ng 80,000 katao na tagatibag ng bato sa kabundukan, 70,000 tagahakot, at 3,600 tagapamahala. 
2CH.2.3	Pagkatapos ay sumulat siya kay Haring Hiram ng Tiro na ganito ang sinasabi: “Kung paano ninyo pinakitunguhan ang aking amang si David at pinadalhan ninyo ng mga kahoy na sedar na ginamit niya sa pagtatayo ng kanyang palasyo, gayundin po sana ang gawin ninyo sa akin. 
2CH.2.4	Ngayon po'y magtatayo ako ng isang templo na kung saan ay sasambahin ang aking Diyos na si Yahweh. Magiging banal na lugar iyon para sa kanya bilang dakong sunugan ng insenso at pag-aalayan ng tinapay at handog na susunugin sa umaga, sa hapon, sa Araw ng Pamamahinga, sa Pista ng Bagong Buwan at sa mga takdang kapistahan ni Yahweh na aming Diyos, sapagkat ito'y utos sa Israel magpakailanman. 
2CH.2.5	Malaki ang templong ipatatayo ko sapagkat mas dakila ang aming Diyos kaysa alinmang diyos. 
2CH.2.6	Ngunit
2CH.2.7	Kaya kung maaari, padalhan ninyo ako ng isang taong mahusay na panday ng ginto, pilak, tanso at bakal, sanay humabi ng mga telang kulay ube, pula at asul, at mahusay din naman sa pag-ukit. Siya ang mamamahala sa aking mga manggagawa rito sa Juda at sa Jerusalem, sa mga tauhang inihanda ng aking amang si David. 
2CH.2.8	Padalhan din ninyo ako ng mga kahoy na sedar, sipres at algum na galing sa Lebanon. Alam kong bihasa ang mga tauhan ninyo sa pagputol ng kahoy sa Lebanon. Magpapadala ako ng aking mga tauhan upang tumulong. 
2CH.2.9	Maraming kahoy ang kailangan kong ihanda sapagkat malaki at kahanga-hanga ang templong aking ipatatayo. 
2CH.2.10	Ako ang bahala sa pagkain ng inyong mga tauhang magpuputol ng kahoy. Bibigyan ko sila ng 20,000 malalaking sisidlan
2CH.2.11	Ganito naman ang sagot ni Haring Hiram: “Dahil sa pag-ibig ni Yahweh sa kanyang bayan, kayo ang ginawa niyang hari. 
2CH.2.12	Purihin si Yahweh, ang Diyos ng Israel na lumikha ng langit at lupa. Binigyan niya si Haring David ng isang anak na matalino, may karunungan at kaalaman na siyang magtatayo ng Templo ni Yahweh at ng kanyang palasyo. 
2CH.2.13	At ngayon, papupuntahin ko sa inyo si Huram, isang taong matalino at mahusay sa lahat ng trabaho. 
2CH.2.14	Ang ina niya'y mula sa lipi ni Dan; taga-Tiro naman ang kanyang ama. Isa siyang mahusay na panday ng ginto, pilak, tanso, bakal, bato at kahoy. Sanay siyang gumawa ng mga kagamitang bato o kahoy man. Bihasa siyang humabi ng mga telang kulay ube, pula at asul at ng linong mamahalin. Magaling din siyang umukit ng anumang uri ng disenyong ipapagawa sa kanya. Kaya niyang gawin ang anumang iutos ninyo sa kanya, kasama ng mga manggagawa ninyo at ng inyong mahal na amang si David. 
2CH.2.15	Kaya ipadala na ninyo rito ang trigo, sebada, langis at alak na inyong ipinangako, 
2CH.2.16	at magpapaputol na kami ng lahat ng kahoy na kailangan ninyo. Mula sa Lebanon ay palulutangin namin sa dagat ang mga kahoy hanggang Joppa. Buhat naman doon ay kayo na ang magpahakot patungo diyan sa Jerusalem.”
2CH.2.17	Ipinakuha ni Solomon ang bilang ng lahat ng dayuhan sa Israel, tulad ng ginawa ni David. At ang nabilang nila ay 153,600 dayuhan. 
2CH.2.18	Inatasan niya ang 70,000 sa paghahakot, at ang 80,000 sa pagtitibag ng bato sa bundok. Ang 3,600 naman ay ginawa niyang tagapamahala ng mga manggagawa.
2CH.3.1	Ang
2CH.3.2	Sinimulan niya ang pagtatayo noong ikalawang buwan ng ikaapat na taon ng kanyang paghahari.
2CH.3.3	Ito ang sukat ng Templo sa Jerusalem: dalawampu't pitong metro ang haba at siyam na metro ang luwang ayon sa matandang sukatan. 
2CH.3.4	Ang haba ng portiko sa dakong harap ng Templo ay siyam na metro—kapantay ng luwang ng Templo at limampu't apat na metro naman ang taas. Binalutan niya ng lantay na ginto ang loob nito.
2CH.3.5	Ang bulwagan ay pinatakpan ni Solomon ng mga tablang sipres. Pagkatapos, pinabalutan niya ito ng purong ginto at pinalagyan ng disenyo ng mga punong palma at kadena. 
2CH.3.6	Pinalamutian pa niya ito ng magagandang batong hiyas at gintong galing sa Parvaim. 
2CH.3.7	Binalutan niya ng ginto ang mga biga at hamba ng mga pinto at ang mga dingding ng Templo. Pinaukitan pa niya ang mga dingding ng mga larawan ng kerubin.
2CH.3.8	Ang
2CH.3.9	at dalawampung onsa naman ang ginto na ginamit sa paggawa ng mga pako. Binalot din ng ginto ang mga dingding ng mga silid sa itaas.
2CH.3.10	Nagpagawa
2CH.3.11	Siyam na metro ang kabuuang haba ng mga pakpak ng dalawang kerubin, dalawa't kalahating metro ang bawat isang pakpak. Ang dulo ng isang pakpak ng unang kerubin ay abot sa dingding at ang dulo naman ng kabilang pakpak ay abot sa dulo ng pakpak ng ikalawang kerubin. 
2CH.3.12	Gayundin naman, ang dulo ng isang pakpak ng pangalawang kerubin na dalawa't kalahating metro ang haba ay abot sa kabilang dingding at ang dulo ng kabilang pakpak ay abot naman sa dulo ng pakpak ng unang kerubin. 
2CH.3.13	Kaya't ang nasasakop ng kanilang mga pakpak ay siyam na metro. Nakatayo ang mga rebultong kerubin at parehong nakaharap sa bulwagan ng Templo.
2CH.3.14	Ang
2CH.3.15	Sa harap ng Templo, nagtayo siya ng dalawang haligi na labing-anim na metro ang taas at ang taas naman ng pinagkakabitan nito sa itaas ay dalawa't kalahating metro. 
2CH.3.16	Nagpagawa siya ng mga kadena at isinabit iyon na parang kuwintas sa ibabaw ng mga haligi, at ikinabit sa mga kadena ang sandaang bunga ng granadang yari sa tanso. 
2CH.3.17	Itinayo niya sa magkabilang tagiliran ng pasukan ng Templo. Ang nasa kanan ay tinawag na Jaquin at ang nasa kaliwa ay tinawag na Boaz.
2CH.4.1	Gumawa
2CH.4.2	Gumawa rin siya ng malaking ipunan ng tubig na yari sa tanso. Ito'y isang malaking kawa, apat at kalahating metro ang luwang ng labi, dalawa't kalahating metro naman ang lalim at labing-tatlo't kalahating metro ang sukat pabilog. 
2CH.4.3	Sa gilid nito'y may palamuting hugis toro na nakapaikot, sampu sa bawat apat at kalahating metro. Ang mga palamuti ay nakahanay nang dalawa na hinulma kasama ng kawa. 
2CH.4.4	Ang patungan ng lalagyang ito ay labindalawang torong magkakatalikod: tatlo sa hilaga, tatlo sa timog, tatlo sa kanluran at tatlo sa silangan. 
2CH.4.5	Tatlong pulgada ang kapal ng kawa at ang labi nito'y hugis kopa, parang bulaklak na liryo. Maaaring maglaman ito ng tatlong libong baldeng tubig. 
2CH.4.6	Nagpagawa
2CH.4.7	Gumawa
2CH.4.8	Pagkatapos,
2CH.4.9	Gumawa rin siya ng bulwagan ng mga pari, at ng bulwagang malaki, pati ng mga pinto nito. Ang mga pintong ito ay binalot niya ng tanso. 
2CH.4.10	Inilagay niya ang malaking kawa sa gawing kanan sa dakong timog-silangang sulok ng Templo. 
2CH.4.11	Gumawa rin si Huram ng mga lalagyan ng abo, mga pala at mga kalderong sahuran ng dugo.
2CH.4.11	Tinapos nga ni Huram ang lahat ng ipinagawa sa kanya ni Haring Solomon para sa Templo ng Diyos: 
2CH.4.12	ang dalawang haliging tanso, ang hugis mangkok na nasa itaas ng mga haligi at ang dalawang hanay ng palamuti na parang lambat na nakapaligid dito; 
2CH.4.13	ang apatnaraang granadang tanso na dalawang hanay ang pagkakabit sa mga palamuting hugis mangkok sa itaas ng mga haligi; 
2CH.4.14	ang sampung palanggana at ang sampung patungan ng mga ito; 
2CH.4.15	ang malaking kawang tanso at ang labindalawang rebultong toro na kinapapatungan nito; 
2CH.4.16	ang mga lalagyan ng abo, mga pala at mga pantusok at iba pang kasangkapan. Ang mga kasangkapang ito na yari lahat sa makinis na tanso ay ginawa ni Huram para sa Templo ni Yahweh ayon sa utos ni Haring Solomon. 
2CH.4.17	Ipinahulma ng hari ang lahat ng ito sa kapatagan ng Jordan, sa pagitan ng Sucot at Zereda. 
2CH.4.18	Sa dami ng mga kagamitang ito na ipinagawa ni Solomon, hindi na matiyak ang kabuuang timbang ng ginamit na tanso.
2CH.4.19	Ipinagawa rin ni Solomon ang mga kasangkapan sa loob ng Templo ng Diyos: ang altar na ginto, ang mga mesa para sa tinapay na handog; 
2CH.4.20	ang mga ilawang lantay na ginto, pati ang mga ilawang dapat sindihan sa harap ng Dakong Kabanal-banalan, ayon sa Kautusan; 
2CH.4.21	ang mga palamuting bulaklak, ang mga ilawan at ang mga sipit na pawang gintong lantay; 
2CH.4.22	ang mga pampatay ng ilaw, mga palanggana, mga lalagyan ng insenso at mga lalagyan ng baga ay pawang lantay na ginto. Pati ang mga pinto ng Templo, at ng Dakong Kabanal-banalan ay balot din ng ginto.
2CH.5.1	Nang
2CH.5.2	Pinulong
2CH.5.3	Kaya't nagtipun-tipon ang kalalakihan ng Israel noong ikapitong buwan, Pista ng mga Tolda. 
2CH.5.4	Pagdating ng pinuno ng Israel, binuhat ng mga Levita ang Kaban ng Tipan 
2CH.5.5	at dinala sa Templo. Ipinasok din ng mga pari at ng mga Levita ang Toldang Tipanan pati ang mga banal na kagamitan nito sa loob ng Templo.
2CH.5.6	Pagkatapos, si Haring Solomon at ang buong kapulungan ng Israel na nagkakatipon sa harap ng kaban ay naghandog ng mga baka at mga tupa na sa dami ay hindi na mabilang. 
2CH.5.7	At ipinasok ng mga pari ang Kaban ng Tipan sa Dakong Kabanal-banalan. Inilagay nila ito sa ilalim ng mga pakpak ng mga kerubin. 
2CH.5.8	Nakabuka ang mga pakpak ng mga kerubin kaya't nalulukuban ng mga iyon ang Kaban ng Tipan at ang mga pasanan nito. 
2CH.5.9	Ang mga pasanan ay lampas sa magkabilang dulo ng Kaban at nakikita ito mula sa Dakong Kabanal-banalan. Ngunit hindi ito nakikita sa labas. Ganito pa rin ang ayos ng lahat ng iyon hanggang ngayon. 
2CH.5.10	Walang
2CH.5.11	Ang lahat ng paring naroon, kahit na iba't ibang pangkat ay naghanda ng kani-kanilang sarili sa paglilingkod. At paglabas nila mula sa Templo, 
2CH.5.12	nakatayo naman sa gawing silangan ng altar ang mga mang-aawit na Levita: sina Asaf, Heman at Jeduthun, kasama ang kanilang mga anak at mga kapatid. Nakadamit sila ng mamahaling lino at tumutugtog ng pompiyang, alpa at lira, kasaliw ng mga trumpeta na hinihipan ng 120 pari. 
2CH.5.13	Ang
2CH.5.14	Kaya't ang mga pari'y hindi nakatagal sa loob upang maglingkod. Napuno ng kaluwalhatian ni Yahweh ang buong Templo.
2CH.6.1	Sinabi noon ni Solomon:
2CH.6.1	“Sinabi ninyo, Yahweh, na ibig ninyong manirahan sa makapal na ulap.
2CH.6.2	Ipinagtayo ko kayo ng isang maringal na bahay,
2CH.6.2	isang lugar na titirhan ninyo magpakailanman.”
2CH.6.3	Pagkatapos ay humarap ang hari at binasbasan ang buong sambayanang Israel. 
2CH.6.4	Sinabi
2CH.6.5	‘Mula nang ilabas ko sa Egipto ang aking bayan hanggang ngayon, hindi ako pumili ng alinmang lunsod sa mga lipi ng Israel upang ipagtayo ako roon ng isang Templo kung saan ako'y sasambahin. Hindi pa rin ako pumipili ng sinuman upang mamuno sa Israel. 
2CH.6.6	Ngunit pinili ko ang Jerusalem upang doon ako sambahin at hinirang ko si David upang mamuno sa aking bayang Israel.’
2CH.6.7	“Binalak ni David na aking ama na ipagtayo ng templo si Yahweh, ang Diyos ng Israel, upang doon siya sambahin. 
2CH.6.8	Ngunit sinabi sa kanya ni Yahweh, ‘Mabuti ang binabalak mong magtayo ng isang Templo para sa akin. 
2CH.6.9	Subalit hindi ikaw ang magtatayo niyon, kundi ang isa sa magiging anak mo.’
2CH.6.10	“Natupad ngayon ang pangako ni Yahweh. Humalili ako sa aking amang si David at ngayo'y nakaupo ako sa trono ng Israel gaya ng pangako ni Yahweh. Naitayo ko na ang Templo kung saan ay sasambahin si Yahweh, ang Diyos ng Israel. 
