GEN.1.1	Nang pasimula, nilikha ng Dios ang langit at ang lupa. 
EZR.7.15	 dalhin mo ang mga ginto at pilak na kusang-loob kong ibinibigay at ng mga tagapayo ko sa Dios ng Israel na nananahan sa Jerusalem. 
EZR.7.16	Dalhin mo rin ang lahat ng pilak at ginto na matatanggap mo galing sa lalawigan ng Babilonia, pati na rin ang mga kusang-loob na tulong ng mga mamamayan 
EZR.7.17	Tiyakin mo na ang perang ito ay gagamiting pambili ng mga toro, mga lalaking tupa, mga batang lalaking tupa, mga butil, at inuming handog sa altar ng templo ng inyong Dios sa Jerusalem. 
EZR.7.18	Ang matitirang ginto at pilak ay pwede nʼyong gamitin ng mga kababayan mo sa kahit anong gusto nʼyo ayon sa kalooban ng Dios. 
EZR.7.19	Ngunit ang mga kagamitang ipinagkatiwala sa iyo na gagamitin sa paglilingkod sa templo ng iyong Dios ay ibigay mong lahat sa Dios ng Jerusalem. 
EZR.7.20	Kung may iba ka pang kailangan para sa templo, kumuha ka lang ng panggastos sa pondo ng kaharian.
EZR.7.21	“Ako, si Haring Artaserses, ang nag-uutos sa lahat ng ingat-yaman ng 
EZR.7.22	Bigyan nʼyo siya hanggang 3,500 kilong pilak, 300 sakong trigo, 550 galong alak, 550 galong langis ng olibo, at kahit gaano kadaming asin na kinakailangan. 
EZR.7.23	Ibigay nʼyo rin ang lahat ng kinakailangan sa templo ayon sa iniutos ng Dios ng kalangitan. Sapagkat kung hindi, magagalit siya sa kaharian ko at sa mga anak ko. 
EZR.7.24	Ipinapaalam din namin sa inyo na huwag ninyong pagbayarin ng buwis at ng iba pang bayarin ang mga pari, mga Levita, mga musikero, mga guwardya ng mga pintuan 
EZR.7.25	“At ikaw, Ezra, ayon sa karunungang ibinigay sa iyo ng Dios, pumili ka ng mga tagapamahala at mga hukom na nakakaalam ng Kautusan ng iyong Dios at sila ang mangangasiwa sa lahat ng tao sa 
EZR.7.26	Sinumang hindi tumupad sa Kautusan ng iyong Dios o kayaʼy sa kautusan ng hari ay parurusahan ng kamatayan, o paaalisin sa lugar niya, o kukunin ang ari-arian niya, o ikukulong siya.”
EZR.7.28	Dahil sa kabutihan sa akin ng 
EZR.8.2	si Gershom, na galing sa pamilya ni Finehas;
EZR.8.2	si Daniel, na galing sa pamilya ni Itamar;
EZR.8.3	si Hatush na anak ni Shecania, na galing sa pamilya ni David;
EZR.8.3	si Zacarias at ang 150 lalaking kasama niya, na galing sa pamilya ni Paros (mayroong talaan ng mga ninuno nila);
EZR.8.4	si Eliehoenai na anak ni Zerahia at ang 200 lalaking kasama niya, na galing sa pamilya ni Pahat Moab;
EZR.8.5	si Shecania na anak ni Jahaziel at ang 300 lalaking kasama niya, na galing sa pamilya ni Zatu;
EZR.8.6	si Ebed na anak ni Jonatan at ang 50 lalaking kasama niya, na galing sa pamilya ni Adin;
EZR.8.7	si Jeshaya na anak ni Atalia at ang 70 lalaking kasama niya, na galing sa pamilya ni Elam;
EZR.8.8	si Zebadia na anak ni Micael at ang 80 lalaking kasama niya, na galing sa pamilya ni Shefatia;
EZR.8.9	si Obadias na anak ni Jehiel at ang 218 lalaking kasama niya, na galing sa pamilya ni Joab;
EZR.8.10	si Shelomit na anak ni Josifia at ang 160 lalaking kasama niya, na galing sa pamilya ni Bani;
EZR.8.11	si Zacarias na anak ni Bebai at ang 28 lalaking kasama niya, na galing sa pamilya ni Bebai;
EZR.8.12	si Johanan na anak ni Hakatan at ang 110 lalaking kasama niya, na galing sa pamilya ni Azgad;
EZR.8.13	si Elifelet, si Jeuel, at si Shemaya at ang 60 lalaking kasama nila, na galing sa pamilya ni Adonikam;
EZR.8.14	si Utai at si Zacur at ang 70 lalaking kasama niya, na galing sa pamilya ni Bigvai.”
EZR.8.15	Tinipon ko ang sasama sa akin 
EZR.8.16	Kaya ipinatawag ko ang mga pinuno ng grupo na sina Eliezer, Ariel, Shemaya, Elnatan, Jarib, Elnatan, Natan, Zacarias, at Meshulam, at ang dalawang matalinong tao na sina Joyarib at Elnatan. 
EZR.8.17	Pinapunta ko sila kay Iddo na pinuno ng lugar ng Casifia para hilingin sa kanya at sa mga kamag-anak niyang utusan sa templo na magpadala sila ng mga tao na maglilingkod sa templo ng Dios. 
EZR.8.18	Dahil tinulungan kami ng Dios, ipinadala nila sa amin si Sherebia, kasama ang kanyang mga anak at mga kapatid niyang lalaki, na ang kabuuang bilang ay 18. Si Sherebia ay maabilidad na tao at mula siya sa pamilya ni Mahli na lahi ni Levi. Si Levi ay anak ni Israel. 
EZR.8.19	Ipinadala rin nila si Hashabia at ang mga kapatid at mga pamangkin nitong lalaki na 20 ang bilang, kasama si Jeshaya na galing sa pamilya ni Merari. 
EZR.8.20	Ipinadala pa nila ang 220 utusan sa templo. Ang mga utusan sa templo ay pinili noon ni Haring David at ng mga opisyal niya para tumulong sa mga Levita. Nakalista lahat ang mga pangalan nila.
EZR.8.21	Doon sa tabi ng Ilog Ahava, sinabi ko sa grupo na mag-ayuno kami at magpakumbaba ng mga sarili namin sa presensya ng aming Dios para hilingin sa kanya na ingatan kami sa paglalakbay, pati ang aming mga anak at mga ari-arian. 
EZR.8.22	Sapagkat nahihiya akong humingi sa hari ng mga sundalo at mangangabayo na magbabantay sa amin laban sa mga kalaban habang naglalakbay kami, dahil sinabi na namin sa hari na tinutulungan ng aming Dios ang lahat ng nagtitiwala sa kanya, pero galit na galit siya sa mga nagtatakwil sa kanya. 
EZR.8.23	Kaya nag-ayuno at nanalangin kami sa aming Dios na ingatan niya kami, at tinugon niya ang dalangin namin.
EZR.8.24	Pumili ako ng 12 tao mula sa mga namumunong pari, hindi kabilang sina
EZR.8.25	Pagkatapos, ipinagkatiwala ko sa kanila ng walang kulang
EZR.8.26+EZR.8.27	Ito ang aking ipinagkatiwala sa kanila:
EZR.8.26+EZR.8.27	22 toneladang pilak
EZR.8.26+EZR.8.27	3 toneladang kasangkapang pilak
EZR.8.26+EZR.8.27	3 toneladang ginto
EZR.8.26+EZR.8.27	20 gintong mangkok na mga waloʼt kalahating kilo,
EZR.8.26+EZR.8.27	2 tansong mangkok
EZR.8.28	Sinabi ko sa mga pari, “Kayo at ang mga kagamitang ito ay ibinukod para sa 
EZR.8.29	Ingatan nʼyo itong mabuti hanggang sa madala nʼyo ito sa mga bodega templo ng 
EZR.8.30	Kaya kinuha ng mga pari at ng mga Levita ang mga pilak, ginto, at ang mga kagamitan, na walang kulang, para dalhin sa templo ng aming Dios sa Jerusalem.
EZR.8.31	Umalis kami sa Ilog Ahava at naglakbay papuntang Jerusalem nang ika-12 araw ng unang buwan. Tinulungan kami ng aming Dios at iningatan kami sa mga kalaban at tulisan habang naglalakbay kami. 
EZR.8.32	Pagdating namin sa Jerusalem, nagpahinga muna kami ng tatlong araw.
EZR.8.33	Nang ikaapat na araw, pumunta kami sa templo ng aming Dios at ipinagkatiwala namin ang mga pilak, ginto, at mga kagamitan ng walang kulang kay Meremot na pari na anak ni Uria. Kasama niya si Eleazar na anak ni Finehas at ang dalawang Levita na sina Jozabad na anak ni Jeshua at Noadia na anak ni Binui. 
EZR.8.34	Binilang at tinimbang ito lahat, at inilista.
EZR.8.35	Pagkatapos, ang lahat ng bumalik galing sa pagkabihag ay nag-alay sa Dios ng Israel ng mga handog na sinusunog: 12 toro para sa buong Israel, 96 na lalaking tupa, at 77 batang lalaking tupa. Nag-alay din sila ng 12 lalaking kambing bilang handog sa paglilinis. Ang lahat ng ito ay ang mga handog na sinusunog para sa 
EZR.8.36	Ibinigay din nila sa mga gobernador at mga opisyal ng lalawigan sa kanluran ng Eufrates ang dokumento kung saan nakasulat ang utos ng hari. At ang mga pinunong ito ay tumulong sa mga mamamayan 
EZR.9.2	Nagsipag-asawa pa sila at ang mga anak nila ng mga babaeng mula sa mga mamamayang nabanggit. Kaya ang mga mamamayang pinili ng Dios ay nahaluan ng ibang mga lahi. At ang mga pinuno at mga opisyal pa 
EZR.9.3	Nang marinig ko ito, pinunit ko ang damit ko, sinabunutan ko ang buhok ko, hinila ko ang balbas ko, at naupo akong tulala. 
EZR.9.4	Nagtipon sa akin ang mga tao na takot sa mensahe ng Dios ng Israel dahil sa pagtataksil ng mga kapwa nila Israelitang bumalik galing sa pagkabihag. Naupo akong tulala, hanggang sa dumating ang oras ng panggabing paghahandog. 
EZR.9.5	Pagdating ng oras na iyon, tumigil ako sa pagdadalamhati. Lumuhod akong gutay-gutay ang damit, at nanalangin na nakataas ang mga kamay sa 
EZR.9.6	Sinabi ko, “Dios ko, hiyang-hiya po ako. Hindi ako makatingala sa inyo sa sobrang hiya, dahil sobra na ang mga kasalanan namin; parang umaapaw na po ito sa ulo namin at umabot na sa langit. 
EZR.9.7	Simula pa po sa kapanahunan ng mga ninuno namin hanggang ngayon, sobra na ang kasalanan namin; at dahil dito, kami at ang aming mga hari at mga pari ay palaging sinasakop ng mga hari ng ibang mga bansa. Pinatay nila ang iba sa amin, at ang iba naman ay binihag, ninakawan at pinahiya, katulad ng nangyayari sa amin ngayon.
EZR.9.8	“At ngayon, sa maikling panahon, kinahabagan nʼyo po kami, 
EZR.9.9	Kahit mga alipin kami, hindi nʼyo kami pinabayaan sa pagkaalipin, sa halip ipinapakita nʼyo sa amin ang inyong pag-ibig sa pamamagitan ng mabuting pagtrato ng mga hari ng Persia sa amin. Ginawa nʼyo ito para mabigyan kami ng bagong buhay, at para maipatayo namin muli ang templo nʼyong nagiba, at mabigyan nʼyo po kami ng kalinga 
EZR.9.10	“Pero ngayong nagkasala kami, O aming Dios, ano pa ang masasabi namin? Sapagkat binalewala namin ang mga utos nʼyo 
EZR.9.11	na ibinigay nʼyo sa amin sa pamamagitan ng mga propetang lingkod ninyo. Sinabi nila sa amin na ang lupaing pupuntahan namin para angkinin ay maruming lupain dahil sa kasamaan ng mga naninirahan dito. Dinumihan nila ang lahat ng bahagi ng lupaing ito sa pamamagitan ng mga kasuklam-suklam nilang gawain. 
EZR.9.12	Sinabi rin sa amin ng mga propeta na huwag kaming magsisipag-asawa sa kanila, at huwag kaming tutulong na umunlad sila, para maging matibay at maunlad kami,
EZR.9.13	Pinarusahan nʼyo kami, O aming Dios, dahil sa mga kasalanan namin. Pero ang parusa nʼyo sa amin ay kulang pa po sa nararapat naming tanggapin, at niloob nʼyo pa na may matirang buhay sa amin. 
EZR.9.14	Pero sa kabila nito, sinuway ulit namin ang mga utos nʼyo, at nagsipag-asawa kami ng mga taong gumagawa ng mga kasuklam-suklam na gawain. Talagang magagalit kayo sa amin at lilipulin kami hanggang sa wala nang matira sa amin. 
EZR.9.15	O 
EZR.10.1	Habang nakaluhod si Ezra na nananalangin sa harapan ng templo ng Dios, umiiyak siya at nagpapahayag 
EZR.10.2	Pagkatapos, sinabi sa kanya ni Shecania na anak ni Jehiel, na angkan ni Elam, “Hindi kami naging tapat sa Dios natin dahil nagsipag-asawa kami ng mga dayuhang babae na galing sa mga sambayanang nasa paligid natin. Pero sa kabila nito, may pag-asa pa rin ang 
EZR.10.3	Kaya ngayon, susundin namin ang payo nʼyo at ng iba pang gumagalang sa mga utos ng ating Dios. Gagawa kami ng kasunduan sa ating Dios na palalayasin namin ang mga babaeng ito pati na ang kanilang mga anak. Tutuparin namin ang sinasabi ng Kautusan. 
EZR.10.4	Tumayo po kayo, dahil tungkulin nʼyo na gabayan kami sa mga bagay na ito. Magpakatatag kayo at gawin ang nararapat. Tutulungan namin kayo.”
EZR.10.5	Kaya tumayo si Ezra at pinanumpa niya ang mga namumunong pari, mga Levita, at ang lahat ng mga Israelita, na gagawin nila ang sinasabi ni Shecania. At nanumpa sila. 
EZR.10.6	Pagkatapos, umalis si Ezra sa harapan ng templo ng Dios at pumunta sa kwarto ni Jehohanan na anak ni Eliashib. Pagdating niya roon, hindi siya kumain at uminom, dahil nalulungkot siya dahil hindi naging tapat ang mga Israelitang bumalik mula sa pagkabihag.
EZR.10.7+EZR.10.8	Ipinabatid ng mga pinuno at mga tagapamahala sa mga Israelita sa buong Juda pati na sa Jerusalem na ang lahat ng bumalik galing sa pagkabihag ay magtipon sa Jerusalem. At ang sinumang hindi pupunta doon sa loob ng tatlong araw, kukunin sa kanya ang lahat niyang mga ari-arian at hindi na siya ituturing na kabilang sa mga tao na bumalik galing sa pagkabihag.
EZR.10.9	Kaya sa loob ng tatlong araw, nagtipon ang buong mamamayan ng Juda at Benjamin, at naupo sila doon sa plasa ng templo ng Dios sa Jerusalem. Nangyari ito nang ika-20 araw ng ikasiyam na buwan. Nanginginig ang mga tao dahil napakaseryoso ng pinag-uusapan nila at dahil sa malakas na ulan.
EZR.10.10	Pagkatapos, tumayo si Ezra na pari at sinabi, “Nagkasala kayo dahil nagsipag-asawa kayo ng mga dayuhan. Dahil dito, dinagdagan nʼyo pa ang kasalanan ng Israel. 
EZR.10.11	Ngayon, ipahayag nʼyo ang mga kasalanan nʼyo sa 
EZR.10.12	Sumagot nang malakas ang buong mamamayan, “Tama ka! Gagawin namin ang sinabi mo. 
EZR.10.13	Ngunit ang bagay na ito ay hindi matatapos sa isa o dalawang araw lamang dahil napakarami sa amin ang nakagawa ng ganitong kasalanan. Tag-ulan pa ngayon, at hindi namin kayang magpaulan dito sa labas. 
EZR.10.14	Ang mga opisyal na lang natin ang magpaiwan dito at mag-asikaso nito para sa buong mamamayan. Papuntahin na lang dito sa takdang oras ang mga nagsipag-asawa ng dayuhan kasama ang mga tagapamahala at mga hukom ng bayan nila. Gawin natin ito upang mapawi ang matinding galit ng Dios sa atin dahil sa bagay na ginawa natin.”
EZR.10.15	Walang sumuway sa planong ito maliban kina Jonatan na anak ni Asahel at Jazea na anak ni Tikva. Sinuportahan din sila nina Meshulam at Shabetai na Levita.
EZR.10.16+EZR.10.17	Tinupad ng mga bumalik sa pagkabihag ang planong iyon. Kaya pumili si Ezra na pari ng mga lalaking pinuno ng mga pamilya, at inilista ang pangalan nila. At nang unang araw ng ikasampung buwan, naupo sila at sinimulan nila ang pagsisiyasat tungkol sa pag-aasawa ng mga Israelita ng mga dayuhang babae. Natapos nila ang pagsisiyasat ng lahat ng kaso nang unang araw ng unang buwan, 
EZR.10.18+EZR.10.19	Ito ang mga lalaking nagsipag-asawa ng mga dayuhan, at nangakong hihiwalayan nila ang mga asawa nila: (Naghandog sila ng mga lalaking tupa bilang pambayad sa mga kasalanan nila.)
EZR.10.18+EZR.10.19	Sa mga pari:
EZR.10.18+EZR.10.19	sina Maaseya, Eliezer, Jarib, at Gedalia, na galing sa pamilya ni Jeshua na anak ni Jozadak at ang mga kapatid niya;
EZR.10.20	sina Hanani at Zebadia, na galing sa pamilya ni Imer;
EZR.10.21	sina Maaseya, Elias, Shemaya, Jehiel at Uzia, na galing sa pamilya ni Harim;
EZR.10.22	sina Elyoenai, Maaseya, Ishmael, Natanael, Jozabad, at Elasa, na galing sa pamilya ni Pashur.
EZR.10.23	Mula sa mga Levita:
EZR.10.23	sina Jozabad, Shimei, Kelaya (na tinatawag din na Kelita), Petahia, Juda, at Eliezer.
EZR.10.24	Mula sa mga musikero:
EZR.10.24	si Eliashib.
EZR.10.24	Mula sa mga guwardya ng mga pintuan ng templo ay sina:
EZR.10.24	Shalum, Telem, at Uri.
EZR.10.25	Mula sa iba pang mga Israelita:
EZR.10.25	sina Ramia, Izia, Malkia, Mijamin, Eleazar, Malkia, at Benaya, na galing sa pamilya ni Paros;
EZR.10.26	sina Matania, Zacarias, Jehiel, Abdi, Jeremat, at Elias, na galing sa pamilya ni Elam;
EZR.10.27	sina Elyoenai, Eliashib, Matania, Jeremot, Zabad, at Asisa, na galing sa pamilya ni Zatu;
EZR.10.28	sina Jehohanan, Hanania, Zabai, at Atlai, na galing sa pamilya ni Bebai;
EZR.10.29	sina Meshulam, Maluc, Adaya, Jashub, Sheal, at Jeremot, na galing sa pamilya ni Bani;
EZR.10.30	sina Adna, Kelal, Benaya, Maaseya, Matania, Bezalel, Binui, at Manase, na galing sa pamilya ni Pahat Moab;
EZR.10.31+EZR.10.32	sina Eliezer, Ishya, Malkia, Shemaya, Simeon, Benjamin, Maluc at Shemaria, na galing sa pamilya ni Harim;
EZR.10.33	sina Matenai, Matata, Zabad, Elifelet, Jeremai, Manase at Shimei, na galing sa pamilya ni Hashum;
EZR.10.34+EZR.10.35+EZR.10.36+EZR.10.37	sina Maadai, Amram, Uel, Benaya, Bedia, Keluhi, Vania, Meremot, Eliashib, Matania, Matenai at Jaasu, na galing sa pamilya ni Bani;
EZR.10.38+EZR.10.39+EZR.10.40+EZR.10.41+EZR.10.42	sina Shimei, Shelemia, Natan, Adaya, Macnadebai, Shasai, Sharai, Azarel, Shelemia, Shemaria, Shalum, Amaria at Jose, na galing sa pamilya ni Binui;
EZR.10.43	sina Jeyel, Matitia, Zabad, Zebina, Jadai, Joel at Benaya, na galing sa pamilya ni Nebo.
EZR.10.44	Silang lahat ang nagsipag-asawa ng mga dayuhang babae, at ang iba sa kanila ay may mga anak sa mga babaeng ito.
NEH.1.1	Ito ang salaysay tungkol sa mga ginawa ni Nehemias na anak ni Hacalia.
NEH.1.1	Noong 
NEH.1.2	Doon ay pumunta sa akin ang isa sa mga kapatid ko na si Hanani. Galing siya sa Juda kasama ang ilang kalalakihan. Tinanong ko sila tungkol sa Jerusalem at sa mga Judio na nagsibalik mula sa pagkakabihag
NEH.1.3	Sumagot sila, “Labis na nahihirapan ang mga nagsibalik sa Juda, tinutuya sila 
NEH.1.4	Nang marinig ko iyon, umupo ako at umiyak. Ilang araw akong nagdalamhati, nag-ayuno, at nanalangin sa presensya ng Dios ng kalangitan. 
NEH.1.5	Sinabi ko, “
NEH.1.6	Akong lingkod nʼyo ay nananalangin araw at gabi para sa bayan ng Israel na mga lingkod ninyo. Pakinggan nʼyo po ako at tugunin ang dalangin ko. Ipinapahayag ko sa inyo ang mga kasalanan naming mga Israelita, pati ang mga kasalanan ko at ng aking mga ninuno. 
NEH.1.7	Lubha pong napakasama ng ginawa namin sa inyo. Hindi namin tinutupad ang mga utos ninyo at mga tuntuning ibinigay sa amin sa pamamagitan ni Moises na inyong lingkod.
NEH.1.8	“Alalahanin po ninyo ang sinabi nʼyo noon kay Moises: ‘Kung kayong mga Israelita ay hindi maging matapat sa akin, pangangalatin ko kayo sa ibang mga bansa. 
NEH.1.9	Ngunit kung manunumbalik kayo sa akin at tutupad sa mga utos ko, kahit mangalat pa kayo sa pinakamalayong lugar, titipunin ko kayong muli sa lugar na pinili ko upang akoʼy parangalan.’
NEH.1.10	“Kami po ay mga lingkod nʼyo at mga mamamayang iniligtas ninyo sa pamamagitan ng inyong kapangyarihan at lakas. 
NEH.1.11	Panginoon, dinggin nʼyo po ang dalangin ko, na inyong lingkod, at ang dalangin ng iba pa ninyong mga lingkod na nasisiyahang igalang kayo. Bigyan nʼyo po ako ngayon ng tagumpay sa paghiling ko sa hari. At nawaʼy kabutihan ang maipakita niya sa akin.”
NEH.1.11	Nang panahong iyon, tagapagsilbi ako ng inumin ng hari.
NEH.2.1	Noong 
NEH.2.2	Kaya tinanong niya ako, “Bakit ka nalulungkot, mukha ka namang walang sakit? Parang may problema ka.” Labis akong kinabahan, 
NEH.2.3	pero sumagot ako sa hari, “Humaba po nawa ang buhay ng Mahal na Hari! Nalulungkot po ako dahil ang lungsod na pinaglibingan ng aking mga ninuno ay nagiba at ang mga pintuan nito ay nasunog.” 
NEH.2.4	Nagtanong ang hari, “Ano ang gusto mo?” Nanalangin ako sa Dios ng kalangitan, 
NEH.2.5	at pagkatapos, sumagot ako sa hari, “Kung maaari po, Mahal na Hari, at kung nalulugod po kayo sa akin, gusto ko sanang umuwi sa Juda, para muling ipatayo ang lungsod kung saan inilibing ang aking mga ninuno.”
NEH.2.6	Tinanong ako ng hari habang nakaupo ang reyna sa tabi niya, “Gaano ka katagal doon at kailan ka babalik?” Sinabi ko kung kailan ako babalik, at pinayagan niya ako. 
NEH.2.7	Humiling din ako sa hari, “Kung maaari po, Mahal na Hari, bigyan nʼyo po ako ng mga sulat para sa mga gobernador ng probinsya sa kanlurang Eufrates, na payagan nila akong dumaan sa nasasakupan nila sa pag-uwi ko sa Juda. 
NEH.2.8	At kung maaari, bigyan nʼyo rin po ako ng sulat para kay Asaf na tagapagbantay ng mga halamanan ninyo, para bigyan ako ng mga kahoy na gagamitin sa paggawa ng pintuan ng matatag na kuta malapit sa templo, at sa pagpapatayo ng pader ng lungsod at ng bahay na titirhan ko.” Pinagbigyan ng hari ang mga kahilingan ko sa kanya dahil sa kabutihan ng Dios sa akin.
NEH.2.9	Sa pag-alis ko, pinasamahan pa ako ng hari sa mga opisyal ng sundalo at sa mga mangangabayo. Pagdating ko sa kanluran ng Eufrates, ibinigay ko sa mga gobernador ang sulat ng hari. 
NEH.2.10	Ngunit nang marinig nina Sanbalat na taga-Horon at Tobia na isang opisyal ng Ammonita na dumating ako para tulungan ang mga Israelita, labis silang nagalit.
NEH.2.11	Pagkalipas ng tatlong araw mula nang dumating ako sa Jerusalem, 
NEH.2.12	umalis ako nang hatinggabi na may ilang kasama. Hindi ko sinabi kahit kanino ang gustong ipagawa sa akin ng Dios tungkol sa Jerusalem. Wala kaming dalang ibang hayop maliban sa sinasakyan kong asno. 
NEH.2.13	Lumabas kami sa pintuang nakaharap sa lambak at pumunta sa Balon ng Dragon
NEH.2.14	Nagpatuloy ako sa Pintuan ng Bukal hanggang sa paliguan ng hari, pero hindi makaraan doon ang asno ko. 
NEH.2.15	Kaya tumuloy na lang ako sa Lambak 
NEH.2.16	Hindi alam ng mga opisyal 
NEH.2.17	Ngunit ngayon ay sinabi ko sa kanila, “Nakita nʼyo ang nakakaawang kalagayan ng lungsod natin. Giba ang Jerusalem at sunog ang mga pintuan nito. Muli nating itayo ang pader ng Jerusalem para hindi na tayo mapahiya.” 
NEH.2.18	Sinabi ko rin sa kanila kung gaano kabuti ang Dios sa akin at kung ano ang sinabi ng hari sa akin. Sumagot sila, “Sige, muli nating itayo ang pader.” Kaya naghanda sila para simulan ang mabuting gawaing ito. 
NEH.2.19	Ngunit nang mabalitaan ito ni Sanbalat na taga-Horon, ni Tobia na isang opisyal na Ammonita, at ni Geshem na isang Arabo, nilait nila kami at pinagtawanan. Sinabi nila, “Ano ang ginagawa nʼyong ito? Nagbabalak ba kayong maghimagsik laban sa hari?” 
NEH.2.20	Sinagot ko sila, “Magtatagumpay kami sa pamamagitan ng tulong ng Dios sa langit. Kami na mga lingkod niya ay magsisimula na sa pagpapatayo 
NEH.3.1	Itinayo ni Eliashib na punong pari at ng mga kasamahan niyang pari ang pintuan na tinatawag na Tupa. Matapos nilang ikabit ang pintuan, itinalaga nila ito 
NEH.3.2	Ang nagtayo ng sumunod na bahagi ng pader ay ang mga taga-Jerico, at sumunod sa kanila ay si Zacur na anak ni Imri.
NEH.3.3	Itinayo ng mga anak ni Hasena ang pintuan na tinatawag na Isda.
NEH.3.4	Ang nagtayo ng sumunod na bahagi ng pader ay si Meremot na anak ni Uria at apo ni Hakoz. Ang kasunod na bahagi namaʼy itinayo ni Meshulam na anak ni Berekia at apo ni Meshezabel. Sumunod naman ay si Zadok na anak ni Baana. 
NEH.3.5	At ang sumunod sa kanya ay mga taga-Tekoa. Ngunit ang mga pinuno nila ay hindi sumunod sa ipinapagawa ng mga namumuno sa kanila sa gawain.
NEH.3.6	Ang nagtayo ng Lumang Pintuan
NEH.3.7	Ang nagtayo ng sumunod na bahagi ng pader ay sina Melatia na taga-Gibeon, Jadon na taga-Meronot at ang mga lalaking taga-Gibeon at taga-Mizpa. Ang mga lugar na ito ay sakop ng gobernador ng probinsya sa kanlurang Eufrates. 
NEH.3.8	Ang nagtayo ng sumunod na bahagi ng pader ay si Uziel na platero, na anak ni Harhaya. Ang sumunod naman sa kanya ay si Hanania na manggagawa ng pabango. Itinayo nila ang bahaging ito ng pader ng Jerusalem hanggang sa Malawak na Pader. 
NEH.3.9	Ang sumunod na nagtayo sa kanila ay ang anak ni Hur na si Refaya, na pinuno ng kalahating distrito ng Jerusalem. 
NEH.3.10	Ang sumunod sa kanya ay si Jedaya na anak ni Harumaf. Itinayo niya ang bahagi ng pader malapit sa kanyang bahay. Ang sumunod sa kanya ay si Hatush na anak ni Hashabneya.
NEH.3.11	Ang nagtayo ng sumunod pang bahagi ng pader at ng tore na may mga hurno ay sina Malkia na anak ni Harim, at Hashub na anak ni Pahat Moab. 
NEH.3.12	Ang sumunod na nagtayo ay ang anak ni Halohes na si Shalum, na pinuno ng kalahating distrito ng Jerusalem. Tinulungan siya ng mga anak niyang babae.
NEH.3.13	Ang nagtayo ng pintuang nakaharap sa lambak ay si Hanun at ang mga taga-Zanoa. Ikinabit nila ang mga pinto nito, at ginawan ng mga trangka. Ipinatayo rin nila ang 450 metro na pader sa pintuan ng pinagtatapunan ng basura.
NEH.3.14	Ang nagtayo ng pintuan ng pinagtatapunan ng basura ay ang anak ni Recab na si Malkia, na pinuno ng distrito ng Bet Hakerem. Ikinabit niya ang mga pinto nito, at ginawan ng mga trangka.
NEH.3.15	Ang nagtayo ng Pintuan ng Bukal ay ang anak ni Col Hoze na si Shalum, na pinuno ng distrito ng Mizpa. Binubungan niya ito, ikinabit ang mga pinto at ginawan ng mga trangka. Itinayo rin niya ang pader ng paliguan sa Siloam, malapit sa hardin ng hari, hanggang sa hagdanang pababa mula sa Lungsod ni David. 
NEH.3.16	Ang sumunod sa kanya ay ang anak ni Azbuk na si Nehemias, na pinuno ng kalahating distrito ng Bet Zur. Itinayo niya ang pader na nakaharap sa libingan
NEH.3.17	Ang nagtayo ng sumunod na bahagi ng pader ay ang mga Levita na pinamumunuan ni Rehum na anak ni Bani. Ang sumunod sa kanya ay si Hashabia na pinuno ng kalahating distrito ng Keila. 
NEH.3.18	Ang sumunod sa kanya ay ang mga kababayan niya na pinamumunuan ng anak ni Henadad na si Binui,
NEH.3.19	Ang sumunod ay ang anak ni Jeshua na si Ezer na pinuno ng Mizpa. Itinayo niya ang bahagi ng pader na nakaharap sa bodega ng mga sandata hanggang sa sulok ng pader. 
NEH.3.20	Ang sumunod naman ay si Baruc na anak ni Zabai. Buong sipag niyang itinayo ang bahagi ng pader mula sa sulok nito hanggang sa bandang pintuan ng bahay ni Eliashib na punong pari. 
NEH.3.21	Ang sumunod sa kanya ay si Meremot na anak ni Uria at apo ni Hakoz. Itinayo niya ang bahagi ng pader mula sa bandang pintuan ng bahay ni Eliashib hanggang sa dulo ng bahay nito.
NEH.3.22	Ang sumunod na nagtayo ng bahagi ng pader ay ang mga pari sa paligid ng Jerusalem. 
NEH.3.23	Ang sumunod sa kanila ay sina Benjamin at Hashub. Itinayo nila ang bahagi ng pader na nakaharap sa bahay nila. Ang sumunod sa kanila ay si Azaria na anak ni Maaseya at apo ni Anania. Itinayo niya ang bahagi ng pader sa bandang gilid ng bahay niya. 
NEH.3.24	Ang sumunod ay si Binui na anak ni Henadad. Itinayo niya ang bahagi ng pader mula sa bahay ni Azaria hanggang sa sulok ng pader. Isa pang bahagi ng pader na ito ang kanyang ipinatayo. 
NEH.3.25	Ang sumunod naman ay si Palal na anak ni Uzai. Itinayo niya ang bahagi ng pader mula sa sulok ng pader at ng nakausling tore sa palasyo, malapit sa pinagpupwestuhan ng mga guwardya. Ang sumunod sa kanya ay si Pedaya na anak ni Paros, 
NEH.3.26	at ang mga utusan sa templo na nakatira sa may 
NEH.3.27	Ang sumunod sa kanila ay ang mga taga-Tekoa. Itinayo nila ang bahagi ng pader mula sa malalaking toreng nakausli hanggang sa pader ng Ofel. Pangalawang bahagi na ito ng pader 
NEH.3.28	Ang nagtayo ng bahagi ng pader na paahon mula sa Pintuan ng mga Kabayo ay ang mga pari. Itinayo ng bawat isa sa kanila ang bahagi na nakaharap sa bahay nila. 
