MAT.1.1	Tèntə diʼ təzhiʼ tə vətìʼ Yesò Klistò, wàyn Devìt yì a tìʼì wen ndiʼ Ablaham. 
JHN.19.23	A ndiʼ ando vesugyèʼè bàyntə mwetə Yesò, ə gətə ndisə wen əbàs ə kaʼ, no tèbe ghə̀ ko ə sə lyɨ kəbàs kə mùʼ, a na vi faŋ to ndisə shisə a ghə̀ mòʼ fa tin, sə diʼ mù və tem to a pfèn, ko andiʼ la və tas ə zhùŋtə̀ fa kəshi. 
JHN.19.24	Vəsugyèʼ na vyi ə gàʼ to fa vəwenə ngeŋsə la, “kə vəghəŋ a bàytə̀ ndisə na sensə. Vəghəŋ tem baʼ ə yen la a zhɨ ndò lo.” Kənyʉ̀ na kènkə ə fʉ̀ alə ndiʼ kənyʉ̀ ki a və nyoʼ a Ŋwàʼlə̀ Nyìngòŋ kwʉʼ la:
JHN.19.24	“Və gətə li ndisə shomsə
JHN.19.24	ə se tem baʼ, ə zhɨ̀ ndisə shomsə.”
JHN.19.24	Vəsugyèʼ na vi nè to kənyʉ̀ na kèn.
JHN.19.25	Və bàyntə Yesò, lì wen wenə və lèmə̀ və lì wen ə wùwì ə tsen, boʼsə nə̀ Mèli ə wùwì Kɨ̀lobàs nə̀ Mèli Màtalà ə dyʉ̀ tɨmə boʼsə to a ben kəntò wen. 
JHN.19.26	A ndiʼ ando Yesò yenə lì wen tsu ə be sə ki ə yenə dzɨ̀mtə̀ əbam wen yì a ghə̀ kòŋ li, ghə̀ gàʼ a lì wen la, “Wù ə wì, wù kɨ la ghèn diʼi wàyn wù,” 
JHN.19.27	ə be bwensə gàʼ a dzɨ̀mtə̀ wen na yì la, “Wu kɨ la ghèn diʼ lì wù.” Ə zìtə̀ fa kətsi na yi, dzɨ̀mtə̀ əbam Yesò na yì ə lyɨ̀ lì Yesò, ghə sə tsi a wen a kəbəŋ.
JHN.19.28	Əzhʉ ə kwʉʼ li, Yesò ə yen la no tèbe ghò ə mè li, ghə̀ sə be kəŋ ə lwinsə kənyʉ̀ kì a və nyoʼ a Ŋwàʼlə̀ Nyìngòŋ ə mu gàʼ la, “Toŋ ə mu zɨmə mò.”
JHN.19.29	Və vi nə̀ saʼ məlyʉ̀ʼ mu mə tò li, ə chʉ nkùncha tsu ə fàʼ kətyɨ ə sùʼ ə kuʼsə ghʉ̀ a wen chʉ̀. 
JHN.19.30	Yesò ə nyʉ məlʉ̀ʼ na myì ə gàʼ la, “Kə mè li.”
JHN.19.30	No zhʉ̀ko, kəzhwì kə wenkə mu ku pfʉ.
JHN.19.31	A ndiʼ ali, və baʼtə̀ la əchʉʼ a layn və zhɨ̀ kətsi kə əchʉʼ lòʼ kə tsèn, kə diʼ nə̀ nəkwoŋ. Viʼi Jus ko kòŋ la və ghʉ̀ kəmpfʉ kə viʼi vyi, əchʉʼ ə layn və zhʉsə kətsi kə əchʉʼ loʼ, ə mu gàʼ a Balèt la ghə̀ gàʼ və kwaʼtə afuwen a vyi ə shiʼsə ə mpfʉ vəwenə fa kəntò. 
JHN.19.32	Vəsugyèʼ vi kwaʼtə afuwen ə wìʼ yi a və bàyntə Yesò ə be kùmtə bayntə wen li, ə be dyʉ̀ kwaʼtə ghə wìʼ ə tsen yi. 
JHN.19.33	Alì ə sə vi a Yesò, ə yen mu ghə̀ sə diʼ mù ghə̀ pfʉ li kò və lə kwaʼtə afuwen ə wen. 
JHN.19.34	Sugyèʼ ə tsèn ə boŋsə lyɨ̀ ghoŋ ə sù shyə ə wenə wen mənlyuŋ koynmə ə sə fʉ̀, boʼsə nə̀ mu. 
JHN.19.35	Kənyʉ̀ kènkə shə̀ʼtə wìʼ ə yi a ghə̀ yen ando kə nfʉ. Ghə̀ kɨ la ghə̀ gàʼa to nəmwèʼè, shə̀ʼtə̀ nyʉ̀ na venə ndi wù zhʉ̀ ə boŋ byɨmə. 
JHN.19.36	Ənyʉ̀ a venə ə fʉ̀ ndiʼ kənyʉ̀ ki a və nyoʼ a Ŋwàʼlə̀ Nyìngòŋ kwʉʼ, la, “Və ko lu kwaʼtə tebè kəkwoŋ kə wen no kə mùʼ,” 
JHN.19.37	a diʼ to kənyʉ̀ ki a və nyoʼ la, “Viʼi lu ki wen yì a vəwenə sù.”
JHN.19.38	Yesò ə pfʉ, Josèf ə wu Alimàtiyà ə vi gàʼ a Balèt la ghə̀ kəŋ ə lyɨ̀ kəmpfʉ kə Yesò ə bvɨmə. Josèf ndiʼ ali, a diʼ to ndzɨ̀mtə̀ əbàm Yesò, ko ghə̀ nkòŋ ə vi a ndayn byìʼì ando ghə̀ ə fwaynə viʼi Jus. Ghə̀ bèm ali, Balèt ə byɨmə, ghə̀ mu dyʉ̀ ə lyɨ̀ ə lù nə̀ kəmpfʉ kə wen na kì kə. 
JHN.19.39	Ghə̀ njèʼè wenə Nìkòdemùs yi a ghə̀ vi a Yesò nətʉʼ li, Nìkòdemùs ə kiʼ məzhiʼ mə tsèn a və nzuʼ kəmpfʉ, kə wìʼ tsu no nghoʼo. 
JHN.19.40	Vəwenə dyʉ̀ nə̀ məzhiʼ na myì əboʼsə nə̀ ndisə ə lemtə kəmpfʉ kə Yesò tsu. Vəwenə nè to kənyʉ̀ ki a viʼi Jus nə̀ kə bvɨ̀mə̀ wìʼ, və nè. 
JHN.19.41	Və mbàyntə Yesò akəshi, əsɨm ə ashɨ nkoʼ ə boʼsə tsu, əsè ə tsen ghə̀ diʼ a sɨm na ghèn, ko andiʼ la və təmə bvɨ̀mə̀ wìʼ tsu. 
JHN.19.42	Və bvɨ̀mə̀ Yesò tsu, byìʼì ando əsè na yì ə boʼsə tsu ali, və be nè baʼtə̀ la əchʉʼ ə layn və zhɨ̀ kətsi kə əchʉʼ lòʼ viʼi Jus.
JHN.20.1	Ətʉʼ ə na sə ə laynə vì a mbì kətsi a tì ngàm ə fi, Mèli Màtalà ə lù, kəbəŋ kə ə bo fenə to alə̀, ə dyʉ̀ achʉ̀ əsè Yesò ə yen mu və lyisə li ngùʼ fa tsu. 
JHN.20.2	Ghə̀ bwenə to nə̀ kənyɨŋkə ə dyʉ̀ yen Bità wenə dzɨ̀mtə̀ əbàm Yesò ə tsèn yi a ghə̀ kòŋ li, ə gàʼ a vəwenə la, “Və shisə li Bobo fa əsè, ma ə ko kɨ la və dyʉ̀ ghʉ̀ fè lo!”
JHN.20.3	Bità wenə dzɨ̀mtə̀ ə tsen yi ə lù ə sə dyʉ̀ achʉ̀ əsè na yi, 
JHN.20.4	jèʼe nyɨŋə to və tsèm. Alì, dzɨ̀mtə̀ ə tsèn yi ə nyɨŋə chò Bità ə dyʉ̀ zàʼa achʉ̀ əsè ambì. 
JHN.20.5	Ando ghə̀ dyʉ̀ zaʼa li, ə laŋtə ki əse ə yen əbàs ə ndisə vi a və tə lemtə Yesò tsu, ali ko ghə̀ lə kwen. 
JHN.20.6	Saymun Bità ə vi fa əbàm ə chò kwen dyʉ̀ to dyʉ̀ a ntìntìn əsè ə yen to əbàs ə ndisə vi a və nyəŋ tsu, 
JHN.20.7	nə̀ kəbvèm kì a və tə lemtə kətʉ kə wen tsu, kə nyamsə diʼ to ali ando və tə lemtə, nyəŋ to nə̀ nəkwoŋ. 
JHN.20.8	Ndzɨ̀mtə̀ əbam Yesò yì a ghə̀ nvi ambì li ə mu be ə kwen azhʉ̀ na yi ə yen ə byɨmə. 
JHN.20.9	Vəwenə ko ntɨmə bo ə shɨtə kɨ la kəshi kə Ŋwàʼlə̀ kì a kə gaʼa la Yesò diʼ ə lù fa pfʉ ə gàʼa la gho lo. 
JHN.20.10	Ndzɨ̀mtə̀sə bàm ə Yesò ə yen ali, ə bwenə sə phwò.
JHN.20.11	Alì, Mèli faŋ to a chʉ̀ əsè ə sə di, ə na laŋtə ə sə ki ə kwensə a ntìntìn əsè, 
JHN.20.12	ə yen ətsɨŋsə Nyìngòŋ mu sə mòʼo li ndisə sə fɨfəsə, sə nyʉ̀ʼ akəshi yi a kəmpfʉ kə Yesò kə tə nyəŋ tsu. Ntsɨŋ Nyìngòŋ tsèn ə nyʉ̀ʼ akəshi yi a kətʉ kə wenkə ndiʼ tsu, ghətsen ə nyʉ̀ʼ akəshi yi a ghʉ wen ndiʼ tsu. 
JHN.20.13	Ntsɨŋsə na shisə bèm a Mèli la, “Wù dì gho a ə wùwì?”
JHN.20.13	Ghə̀ bwensə ə gàʼ la, “Və lyɨ̀ li Bobo ghom, ma ko kɨ la və ghʉ̀ wen fè lo?”
JHN.20.14	Mèli gàʼ ali, ə sə kaʼsə əwen ə yen Yesò, ghə̀ be ti tsu, ali ko ghə̀ lù kɨ la à diʼi wen. 
JHN.20.15	Yesò ə bèm a wen la, “Wù dì ghò a wùwì? Wù kəŋ ndò?”
JHN.20.15	Mèli sə kwoʼtə la à diʼ wìʼ ə yi a ghə̀ shwèʼè a əsɨmə ashɨ nkoʼ ayì, ə gàʼ a wen la, “Andiʼ mù à lyɨ̀ wù lyɨ wen a Tikəbəŋ, wù shə̀ʼtə̀ kəshi kì a wù dyʉ̀ ghʉ̀ wen tsu a mò, mà bwenə dyʉ̀ lyɨ̀.”
JHN.20.16	Yesò ə be toŋtə to wen azhiʼ la, “Mèli!”
JHN.20.16	Mèli ə shɨtə ki Yesò azhʉ̀ na yi ə zɨ̀mə gàʼ a gaʼa ə Hibùlù la, “Làbonì!” Mu ghə̀ tòŋtə wen la, “Ndìʼsə̀.”
JHN.20.17	Yesò ə gàʼ a wen la, “kə wù ghaʼ mo byìʼì ando mà ko təmə bwenə ə dyʉ̀ a Tìʼ. Boŋsə dyʉ̀ gàʼ a vəlemə vwomə la ma bwenə dyʉ̀ ə yen Tìʼ ghom yi à be diʼ Tìʼ vəwenə, ə Nyìngòŋ ghom yi à diʼ Nyìngòŋ ə vəwenə.”
JHN.20.18	Mèli Màtalà ə bwenə dyʉ̀ a ndzɨ̀mtə̀sə bàm wensə, ə gàʼ a vəwenə la ghə̀ yen li Bobo, ghə̀ shə̀ʼtə̀ nyʉ̀ a venə a yì.
JHN.20.19	A ndiʼ azhʉ̀ pfwomə, a kətsi kə ə mbì na ghèn a wòŋ, ndzɨ̀mtə̀sə bàm Yesò diʼ to akəshi kə muʼ, mu vəwenə chiʼ li ngə̀ŋ a vəwenə kətʉ byìʼì ando vəwenə ə fwaynə viʼi Jus. Yesò ə bvɨtə tɨmə to vəwenə a ntìntìn ə gàʼ la, “Mbwaʼmə ndiʼ a ghə̀ŋ.” 
JHN.20.20	Ando ghə̀ ngàʼa li ə mu dìʼtə̀ avu wen nə̀ mbyɨ̀sə̀ bèm wen a vəwenə. Ndzɨ̀mtə̀sə bàm wen yenə wen ə sə saŋlə no nànto. 
JHN.20.21	Yesò ə gaʼa li ə kwʉ̀ʼsə a ndzɨ̀mtə̀sə bàm wensə la, “Mbwaʼmə ndiʼ a ghə̀ŋ! Ma tɨm ghə̀ŋ ndə̀ŋndəŋ ando Tìʼ ghom tə tɨm mo.” 
JHN.20.22	Ghə̀ gàʼ ali ə zhwìsə̀ a vəwenə kətʉ, ə gàʼ la, “Ghə̀ŋ kiʼi kəzhwì kə Ŋwoʼkə. 
JHN.20.23	Ghə̀ŋ sətsen lyesə kù no mbyɨ ndò, Nyìngòŋ be lyesə ku wen, ghə̀ŋ sətsen faŋ ke lyesə ə kù wìʼ, ko Nyìngòŋ ə lu lyesə kù wen.”
JHN.20.24	Yesò ə vì a dzɨ̀mtə̀ bàm wenə, ghətsen yi a əzhiʼ ə wen ndiʼ Tòmos, a diʼ wìʼ ə mùʼ fa ntìntìn shisə njʉ̀sə̀ bò, və toŋtə wen la Didimùs, ko diʼ wenə vəwenə. 
JHN.20.25	Ndzɨ̀mtə̀sə tsen shisə ə na shə̀ʼtə a Tòmos la vəwenə yen li Bobo.
JHN.20.25	Tòmos ə gàʼ la, “Mà faŋ ke yen əlas ə mbwisə a wen avu, ə ghʉ̀ mənyinmə avu mò tsu, ə be ə mwòmtə̀ mbyɨ̀sə̀ bèm wen, ko ma lu byɨmə.”
JHN.20.26	A ndiʼ ando wòŋ nchwò, ndzɨ̀mtə̀sə bàm wensə sə be nyʉ̀ʼ a ngə̀ŋ wenə Tòmos, Yesò ə bvɨtə tɨmə a vəwenə a ntìntìn, no tèbe ando chʉ̀ ngə̀ŋ ndiʼ mu və chiʼ li ə shwin, ə gàʼ la, “Mbwaʼmə ə diʼ a ghə̀ŋ.” 
JHN.20.27	Ghə̀ ngaʼa li a Tòmos la, “wʉ̀ fənyi fə kəvu ə wù akəshi ghèn. A diʼi avu ghomə lə. Naʼsə̀ vi nə̀ kəvu ə kyekə ə ghʉ̀ a mo bèm. Byɨmə, kə wù bè kwoʼtə kənyʉ̀.”
JHN.20.28	Tòmos ə toŋtə wen ə gàʼ la, “Bobo ghom, Nyìngòŋ ghòm!”
JHN.20.29	Yesò ə gàʼ a wen la, “Wù byɨmə li luwen to byìʼì ando wù yèn mo. Alì, jùŋ diʼ a viʼi vyi a və ko yen, ali mbyɨmə.”
JHN.20.30	Ənyʉ̀ ə kaynəvə ə tsenəvə diʼ, to kədə̀ŋ ando Yesò nè to no ashɨ ndzɨ̀mtə̀sə bàm wensə ko andiʼ la və nyoʼli a ŋwàʼlə̀ ashə. 
JHN.20.31	Və nyoʼ kènkə alə ndiʼ ghə̀ŋ zhʉ̀, ə byɨmə la Yesò diʼ to no Klistò, ə Wàyn Nyìngòŋ, əbyɨmə ə na ghenə nè, ghə̀ŋ kiʼi ntsìnə̀ yì a ghə̀ ko lu mè a wen a əzhiʼ.
JHN.21.1	Yesò ə be ə fʉ̀ ə kwʉ̀ʼsə a kəʼ ə̀ ndzɨ̀mtə̀sə bàm ə wensə sòmbo a kətsi kə tsèn, a benə mo ə Tàybelìyàs. Kənyʉ̀ na kì nfʉ̀ a ji ghèn lə. 
JHN.21.2	Ndzɨ̀mtə̀sə bàm ə̀ Yesò sə tsèntə diʼ to kəshi kə mùʼ sòmbo, a diʼ Saymun Bità nə̀ Tòmos yi a və toŋtə la Didimùs, nə̀ Nàtanyèl ə wàyn ə wù ə ntə̀ʼ Kanà, alòʼ ə Galìlì, nə̀ vunə Zebedì, benə ndzɨ̀mtə̀sə bàm wen sə tsensə sə bò, 
JHN.21.3	Saymun Bità ə gàʼ a vəwenə la, “Ma fʉ̀ dyʉ̀ əku ə shʉsə.”
JHN.21.3	Vəwenə bwensə la, “vəghəŋ ə̀ fʉ̀ to amuʼ.” Vəwenə gàʼ ali ə dyʉ̀ kwen a kəbàŋ, ali ətʉʼ ə na jèʼ layn ko andiʼ la vəwenə ghaʼa li kəfo. 
JHN.21.4	Əchʉ̀ əzhʉ ə sə saʼ vi to lə, Yesò ə vi tɨmə a bè fwàyn, ali ndzɨ̀mtə̀sə wensə nko kɨ la à diʼ wen. 
JHN.21.5	Ghə̀ dzàŋ bèm a vəwenə la, “Ghə̀ŋ ko ghaʼa kəfo a və vəlemə?”
JHN.21.5	Vəwenə bwensə la, “Yes ə ko ku.”
JHN.21.6	Ghə̀ gàʼ la, “Ghə̀ŋ mòʼ fə̀làm fifə ji fa shə kwoŋ ə toghə ghə̀ŋ zizi ghə̀ŋ ku.” Vəwenə mòʼ ə ku shʉsə, to kədə̀ŋ, fə̀làm na fifə ə sə dìʼì ghoʼo vəwenə ə və gùf ə kwensə a kəbàŋ. 
JHN.21.7	Ndzɨ̀mtə̀ əbam Yesò yì a ghə̀ kòŋ nəkwoŋ li, ə gàʼ a Bità la, “Wìʼ yì diʼ alə, a diʼ Bobo!” Saymun Bità ə sə zhʉ vi alə̀ ə lyɨ̀ təwàf tə wen ə mòʼ, ə tsòʼ a mù. Ghə̀ ndiʼ ali mu ghə̀ ə ntsuʼ li ndisə wen. 
JHN.21.8	Ndzɨ̀mtə̀sə tsen sisə ə be dyʉ̀ to fa wen abàm, gùfə̀ ə dyʉ̀ nə̀ fə̀làm fè shʉsə fifə. A ndiʼ ali, ko kəgàfkə be diʼ ə dyʉ̀ ə zàʼa a bene ə fwàyn. 
JHN.21.9	Vəwenə dyʉ̀ fʉ̀ a bene a fwàyn ə yen əzhiʼ ando ghə̀ fwi, shʉsə diʼ ayi kəchʉ̀ nə̀ kəbayn kə. 
JHN.21.10	Yesò ə gàʼ a vəwenə la, “Ghə̀ŋ vi nə̀ shʉ̀ sə tsensə, fa a ntìntìn sisə a ghə̀ŋ ku to luwen li.”
JHN.21.11	Saymun Bità ə bwenə kwen a kəbàŋ ə gùfə̀ vì nə̀ fə̀làm fè shʉsə fifə a bè fwàyn. Shʉsə tsèntə diʼ tsu ghɨ nə̀ shʉsə njʉ̀sə̀ tàʼ a məwumə ə tayn, ghoʼkə no lə. Sə ə ghoʼo ali, fə̀làm fè ə faŋ kò fə lə tinkə. 
JHN.21.12	Yesò ə mu gàʼ a vəwenə la, “Ghə̀ŋ vi ə ghaʼ fozhɨvə nə̀nchwì.” Ghə̀ gàʼa ali, no dzɨ̀mtə̀ əbam ə wen ə mùʼ ko ə mwomsə bèm la, “A diʼ wù ndò?” Byìʼì ando vəwenə ə kɨ la à diʼ Bobo. 
JHN.21.13	Yesò ə dyʉ̀ lyɨ̀ kəbayn kì ə ku a vəwenə ə be nè to ali nə̀ shʉ̀ sisə.
JHN.21.14	Yesò nà diʼi wen ə wen a ndzɨ̀mtə̀sə bàm ə wensə akəshi na ghèn, a sə diʼ aghayn a tàʼ fa kətsi a ghə̀ bwensə lù fa pfʉ.
JHN.21.15	A ndiʼ to ando vəwenə zhɨ̀ mwetə, Yesò ə toŋtə Saymun Bità ə bèm a wen la, “Saymun, wàyn ə Joyn, wù shɨtə kòŋ mò nəmwèʼè chò viʼi vətsenvə venə a?”
JHN.21.15	Ghə̀ byɨmə ə gàʼ la, “Bobo, wù kɨli la ma kòŋ wù.”
JHN.21.15	Yesò ə gàʼ a wen la, “Wù a zhisə vunə njɨ̀ ə mò.” 
JHN.21.16	Yesò ə be bèm kwʉ̀ʼsə a wen la, “Saymun, wàyn ə Joyn, wù shɨtə kòŋ mò nəmwèʼè?”
JHN.21.16	Ghə̀ byɨmə ə gàʼ la, “Bobo, wù kɨli la ma kòŋ wù.”
JHN.21.16	Yesò ə gàʼ a wen la, “Wù a tuʼmə nə̀ byisə vənjɨ̀ shomsə.” 
JHN.21.17	Yesò ə be toŋtə wen, à aghayn a tàʼ, ə gàʼ la, “Saymun, Wàyn Joyn, wù kòŋ mò?”
JHN.21.17	Kənyʉ̀ a kì kə sə ku ngəʼ a Bità ando Yesò be kùmtə bèm li, à sə diʼ aghayn a tàʼ la, “Wù kòŋ mò?” Ghə̀ mu gàʼ a Yesò la, “Wù kɨli no tèbe ghò a Bobo. Wù kɨli la ma kòŋ wù.”
JHN.21.17	Yesò ə gàʼ a wen la, “Wù a zhisə byisə vənjɨ̀ shomsə. 
JHN.21.18	Ma gàʼà a wù to no nəmwèʼè la, a ndiʼ to ando wù bo diʼ wàyndyə, wù lafə, dyʉ̀ no tèbe fè ando wù kòŋ. Alì, wù na dwin, wu naʼsə̀ akwoŋ à wu, wìʼ ə labsə wù ə lyɨ̀ dyʉ̀ nə̀ wù akəshi, ko andiʼ la wu kòŋ.” 
JHN.21.19	Yesò ə gàʼa alə̀, diʼi ji yì a Bità lu pfʉ fa tsù, ghə̀ vi nə̀ əkuʼsə a Nyìngòŋ. Yesò ə gàʼa ali, ə be mu gàʼ la, “dzɨ̀mtə̀ mò.”
JHN.21.20	Bità ə bwensə sə ki ə yenə dzɨ̀mtə̀ yì a Yesò ə kòŋ nəkwoŋ li, ghə̀ vi fa vəwenə abàm, a diʼ yi a ghə̀ nyeʼtə dyʉ̀ wèn nə̀ Yesò akəshi kə zhɨkə ə bèm a wen la, “Bobo, a baʼlə ndò wù a?” 
JHN.21.21	Bità ə yen ali ə bèm a Yesò la, “Kə na ndiʼ ale a ghèn a Bobo?”
JHN.21.22	Yesò ə bwensə gàʼ la, “Mà lə ndiʼ ə moʼtə la ghə̀ nə̀ tsi to tsì zaʼa fa kətsi mà lù bwenə vi, ngəʼ ə wù sə diʼ ghò tsu a? Wù diʼ ə dzɨ̀mtə̀ mo.”
JHN.21.23	A le kənyʉ̀ ki a kə nè, ndzɨ̀mtə̀sə bàm Yesò sə sə gàʼa dyʉ̀ to la, na ghèn ko lu pfʉ̀. Alì, Yesò ə ko ngàʼa la ghə̀ ko a pfʉ̀. Ghə̀ ngàʼa la, “Ma le diʼ ə moʼtə la ghə̀ tsi to tsì zaʼa fa kətsi mà lù bwenə vi, ngəʼ ə wù ə sədiʼ ghò tsu a?”
JHN.21.24	Ndzɨ̀mtə̀ əbam ə Yesò na ghèn diʼ yi a ghə̀ shə̀ʼtə̀ nyʉ̀ na venə, a diʼ to wen yi a ghə̀ nyoʼ nyʉ̀ a vyi. Yès ə kɨ la kənyʉ̀ a ghə̀ gàʼà diʼ to nəmwèʼè.
JHN.21.25	Ənyʉ̀ ə bo diʼ, to kədə̀ŋ a Yesò ə nè, mu və ndiʼ ə nyòʼ to ə tsèm, mà kwoʼtə la no mbyi ghèn no tsèm ko ghoʼo kwʉ̀ʼ ə və ghʉ̀ vəŋwàʼlə̀ a vyi tsu.
ACT.1.1	Tì kəbəŋ Tiyophilus, andìʼ à mo a mbì ŋwàʼlə̀ à wù, mà nyòʼ no nyʉ̀ tsèm a Yesò nzìtə̀ sə̀ nè be ziʼì, 
ACT.1.2	əzaʼa fà zhʉ a Nyìngòŋ nlyɨ wen ə̀ kùʼsə a kàŋ. Mibu və sə lyɨ wen əkuʼsə a kàŋ mu kəzhwì kə ŋwoʼəkə ku li kədyòʼ, ghə̀ ziʼi nyʉ̀ vyi a viʼi ntɨm wen vi a ghə̀ ntsuʼù lì ndiʼi ne nè. 
ACT.1.3	Andìʼ ando Yesò yènə ngəʼ ghoʼo ə̀ pfʉ bè bwènsə̀ lù fa pfʉ, ghə̀ dìʼ wenə wen à viʼi ntɨm wen la yì lu li fa pfʉ nəmwèʼè. Ghə̀ ne a lì tò a jisə a jisə no aghayn à ghoʼoghə a tì mətsi məwum nkàʼ bè gàʼ à vəwenə kùmə soʼ fòyn Nyìngòŋ. 
ACT.1.4	Ando Yesò mbu wenə̀ vəwenə, kətsi kətsenkə vəwenə sə nzhɨ, ghə̀ chòsə̀ soʼ a vəwenə la, “Kə ghə̀ŋ à lù fa Jelusalèm luwèn. Ghə̀ŋ nkəʼtə̀ kəku kì a mà nshə̀ʼtə̀ à ghə̀ŋ la Tìʼ ghom nghʉ li la ghə̀ a ku à ghə̀ŋ. 
ACT.1.5	Joyn tə nku mu à viʼi tò nə̀ nkàntə̀ à mù alì luwèn à sə̀ diʼ mu, à fàŋ tò mətsì nshə̀ʼ alə̀ və nku mu à ghə̀ŋ nə̀ kəzhwì kə ŋwoʼəkə.”
ACT.1.6	Kətsi kətsenkə vəwenə be ŋwʉʼʉ a ntsèntə̀, viʼi ntɨm wen mù sə̀ bèmə̀ à wen la, “Bobo, zhʉ kwʉʼʉ̀ li ə wù bwensə̀ kù soʼ fòyn à viʼi Islel mu?”
ACT.1.7	Yesò bwènsə̀ gàʼ à vəwenə la, “A ko diʼ kəshi kəŋkə̀ ə ghə̀ŋ kɨ kətsi kì ko zhʉ yi a Tìʼ ghom tə ghʉ̀ nə̀ kədyòʼ kə wen kə. 
ACT.1.8	Ghə̀ŋ kɨ tò la, ghə̀ŋ na kiʼi kədyòʼ a zhʉ a kəzhwì kə ŋwoʼəkə vi li à ghə̀ŋ ə nshə̀ʼtə̀ dyʉ̀ nə̀ ntɨm jùŋ ghòm a Jelusalèm nə̀ a Judiyà no tsèm nə̀ Samalìyà bènə̀ a təshyə tə mbi tèn no tətsèm.” 
ACT.1.9	Ando ghə̀ ngaʼà nyʉ̀ a venə ə mwètə̀, Nyìngòŋ lyɨ̀ wen ə̀ kuʼsə a kàŋ vəwenə yenə ando ghə̀ kuʼu. Ghə̀ kuʼ alə̀ ə̀ lè a tì mbòʼsə.
ACT.1.10	Ando vəwenə mbu ki ando ghə̀ kuʼu dyʉ̀, à sətsèn lyʉmə vətsenvə tɨmə à vəwenə a mbyɨ̀ la vəbò mu və mòʼò ndisə sə fəfə la bʉ, 
ACT.1.11	ə̀ bèm à viʼi ntɨm Yesò vi la, “viʼi Galìlì, byìʼì ghò a ghə̀ŋ tɨmə̀ sə ki kuʼsə̀ nə̀ kaŋə alə̀ a? Yesò ghèn a və lyɨ̀ fà ghə̀ŋ a ntìntìn ghə̀ nkuʼ a kàŋ lə̀ lu be bwènə̀ vì tò a ji a ghə̀ŋ yì yen ghə̀ ndyʉ̀ fa tsu.”
ACT.1.12	Viʼi ntɨm Yesò vi lù fa pfen Olìf ə̀ bwènə̀ shiʼi a Jelusalèm a kəghaf ki ndiʼ tò kətemə kə mal. 
ACT.1.13	Vəwenə nè kwèn a Jelusalèm ə kwen ə̀ kuʼu dyʉ̀ a tì lùmə ngə̀ŋ kàŋ yì a vəwenə ntsi tsu. A ndiʼ Bità, nè Joyn nə̀ Jems nə̀ Andɨ̀lò, a diʼ Filib nə̀ Tomòs, à diʼ Bàtòlòmiyà nə̀ Matìyò nə̀ Jems wàyn Alphùyùs, nə̀ Simon ə wù kənsɨ̀mtə̀, à be diʼ Judàs wàyn Jems. 
ACT.1.14	A ndìʼ a lì, vəwenə nghoʼo zhùŋtə̀ əjɨ̀m a ntsèntə̀ wenə̀ ki vətsenvə nə̀ Mèli ə lì Yesò bènə̀ vəlèmə̀ və wen.
ACT.1.15	Mətsi chò tò nshə̀ʼ alə̀, viʼi və byɨməvə ə zaʼa ghɨ nə̀ məwum mbò be sə ŋwʉʼ tò kəshi kə mùʼ, Bità lù tɨmə əgàʼ à vəwenə ə̀ gàʼ la, 
ACT.1.16	“Vəlèmə̀ vwomə, nyʉ̀ venə a və chò kùmə̀ Judàs tə ndiʼ chò ndi lwinsə kənyʉ̀ kì a kəzhwì kə ŋwoʼəkə ə̀ nè Foyn Devìt gàʼ və bè nyòʼ a ŋwàʼlə̀ Nyìngòŋ byìʼì Judàs a ghə̀ tə sùʼ Yesò la ntsɨ̀ŋsə ngə̀ŋ Nyìngòŋ sə ghaʼ. 
ACT.1.17	Judàs tə ndiʼ wù nòyn yès byìʼàndo Bobo tə ndiʼ mu ghə̀ tsuʼ li wen la yo vəwenə ntsèntə̀ shyèʼè a muʼu.”
ACT.1.18	Andìʼ a lì mu Judàs lyɨ li ko yi a və nlòʼò wen tsu byìʼì kənyʉ̀ kə fansə kə kì a ghə̀ ne lì ə̀ zèn kəshi kə nse tsu. Ghə̀ nè a lì ə̀ fə̀ŋ tsu ə̀ pfʉ, bèm ə wen tuʼmə, məntu mə̀ wen fʉ̀ a bàm no ntsèm. 
ACT.1.19	Viʼi Jelusalèm no vətsèm zhʉ kənyʉ̀ akì mù sə̀ dzàŋə̀ kəshi kə nse akì à vəwenə a gaʼa loʼ la, “Akeldama” à diʼ la, “Sɨm ə mənlyuŋ.”
ACT.1.20	“Byìʼè və nyoʼo li a ŋwàʼlə̀ Salms la, ‘Ngə̀ŋ wen faŋ tò zɨm, kə wìʼ lu ntsi tsu,’ bè nyòʼ la, ‘Wù kədyàŋ lyɨ kəshi kə wen nshwèʼè.’”
ACT.1.21+ACT.1.22	Bità shə̀ʼtə̀ a lì mù bè gàʼ la, “Kə lì dìʼì la yès diʼ tsuʼ wìʼ muʼ ghə̀ tsèntə̀ nòyn yes ə nshə̀ʼtə̀ dyʉ̀ a viʼi la Yesò lu li fa pfʉ. A diʼ ndiʼ wì fa ntìntìn viʼi vi a yo vəwenə tə njèʼè kuʼu shiʼì fa bàm Yesò a muʼu əlù fa tʉʼ a Joyn nzìtə̀ sə̀ ku mu à viʼi əkuʼ əzaʼa a kətsi a Nyìngòŋ nlyɨ Yesò fà yès a ntìntìn ə̀ kùʼsə a kàŋ.”
