MAT.1.1	Neꞌeŋa a Yesu one a David yaaŋ, ka a Abraham yaaŋ la yaanam yela. 
JHN.18.34	Ka Yesu lebis o ye, “Buꞌoskaŋa yi ne fu meŋ saꞌan na bee sieba yel uf m yela?”
JHN.18.35	Ka Pilate lebis buꞌos o ye, “M ane Jew nida? Fu meŋ buudi ne ba maalmaan kpeenmnam gbanꞌe uf tisi m. Bo ka fu maale?”
JHN.18.36	Ka Yesu lebis o ye, “M naꞌam kaꞌ dunia nwa dine. Li yaꞌa aane ala m tumtumnib naani zabin ne Jew dim la ka ba ku gbanꞌini ma.”
JHN.18.37	Ka Pilate buꞌos o ye, “Alaa fu ane naꞌaba?”
JHN.18.37	Yesu lebis ye, “Fune yel ye, m ane naꞌab. Neꞌeŋa zug ka m kenn dunia nwa ni ka ba duꞌa m ye m paꞌal yelsida la. On mekama a yelsida sob wumi m kukor.”
JHN.18.38	Ka Pilate buꞌos o ye, “Yelsida a bo?”
JHN.18.38	Ka Pilate yel ala nyaꞌaŋ la, o lem yi keŋ Jew dim la saꞌan n yeli ba ye, “M pu nye dau nwa taale. 
JHN.18.39	Ka ya mor maluŋ ka yuum yuum kuꞌum malek gaadug tienr la saŋa ka m yiisid sarega nid yinni tisidi ya. Ya bood ye m yiis Jew dim naꞌab laa?”
JHN.18.40	Ka ba tansid ne kukortitaꞌar ye, “Kaꞌa one. Ti boodne Barabbas.” Barabbas da ane naꞌayiig kane faand.
JHN.19.1	Ka Pilate ke ka ba fieb Yesu. 
JHN.19.2	Ka sogianam zaŋ gonꞌos wug naꞌam zugpibig n pid o ka yeel o fuzenꞌug, 
JHN.19.3	ka kenn o saꞌan na yel o ye, “Naa, Jew dim naꞌaba,” ka nweꞌ o ne tampiank.
JHN.19.4	Ka Pilate lem yi nidibin la na yaꞌas n yeli ba ye, “Gosimi ya, m na mor o kenn ya saꞌan na ka ya baŋ ye m pu nye taali o saꞌane.” 
JHN.19.5	Ka Yesu pid gonꞌos zugpibig ka ye fuzenꞌug n yi na. Ka Pilate yeli ba ye, “Dau la nwa.”
JHN.19.6	Ka maalmaan kpeenmnam ne ba tumtumnib la nye o la, ba tans ye, “Kpaꞌami ne o dapuudir zug n ku. Kpaꞌami ne o.”
JHN.19.6	Ka Pilate yeli ba ye, “Ya meŋ zaŋim o n kpaꞌ, bozugo man pu nye o taale.”
JHN.19.7	Ka Jew dim la yel o ye, “Ti mor wada, ka li paꞌal ye, li nar ka o kpi, bozugo o maali o meŋ ye o ane Winaꞌam Biig.”
JHN.19.8	Ka Pilate n wum pianꞌabama la, dabiem maligim kpenꞌ o. 
JHN.19.9	Ka o lem kpenꞌ zakin la yaꞌas ka buꞌos Yesu ye, “Fu yi yaa ni na?” Ka Yesu pu lebis oo. 
JHN.19.10	Ka Pilate buꞌos o ye, “Fu ku lebisi maa? Fu ziꞌ ye m mor paŋ kane na bas uf, bee n kpaꞌa uf dapuudir zugo?”
JHN.19.11	Ka Yesu lebis o ye, “Winaꞌam yaꞌa pu tisin uf paŋa fu naani ku nyeen paŋi nyaŋeni ma. Dinzug one mor man na niŋi fu nuꞌusin la, tum tuumbeꞌed n gaad uf.”
JHN.19.12	Pianꞌakaŋa yela ka Pilate ied suer ye o bas o, amaa Jew dim daa tansid n yet ye, “Fu yaꞌa bas dau kaŋa, fu kaꞌ Room naꞌab Kaisa zuaa. Bozugo on mekama nok o meŋi maal naꞌab bood ye o zab ne Kaisa.”
JHN.19.13	Ka Pilate n wum pianꞌabama la, o mor Yesu n yi na zinꞌin saria kadib gbauŋ zug line be zinꞌikan ka Jew dim buon ye Gabbata la, ka li gbin a kuglama la. 
JHN.19.14	Daakan nintaŋ soos, ka ba tiꞌebid kuꞌum malek gaadug tienr daar la.
JHN.19.14	Ka Pilate yel Jew dim la ye, “Ya naꞌab la nwa.”
JHN.19.15	Ka ba tansid n yet ye, “Mor o keŋ n kpaꞌ o.”
JHN.19.15	Ka Pilate buꞌosi ba ye, “M kpaꞌami ne ya naꞌab laa?”
JHN.19.15	Ka maalmaan kpeenmnam lebis ye, “Ti pu mor naꞌaba, asee Kaisa.”
JHN.19.16	Ka o yuꞌun kees o tisi ba ye ba kpaꞌ o dapuudir zug n ku.
JHN.19.17	Ka ba mor Yesu yi teŋin la ka ke ka o zeedi o meŋ dapuudir n keŋ zinꞌikan ka Jew dim buon ye Golgota la, ka li gbin a ye zunwana zinꞌig. 
JHN.19.18	Ka ba kpaꞌ o n tabil dapuudir zug. Ka me kpaꞌ nidib ayi n tabil dapuuda zug, ka yinni be o dagobug ka yinni be o datiuŋ. Ka Yesu bee ba soogin.
JHN.19.19	Ka Pilate sob o yela n tabil dapuudir la zug ka sobir la yel ye,
JHN.19.20	Zinꞌikan ka ba da kpaꞌ Yesu la, da kpiꞌene teŋ poogin la, ka Jew dim bedego karem sob la. Ka sob la da sob ne Jew dim pianꞌad, ne Room dim pianꞌad ne Greek dim pianꞌad. 
JHN.19.21	Ka Jew dim maalmaan kpeenmnam yel Pilate ye o da sob ye, “Dau kaŋa ane Jew dim naꞌaba, amaa ye o som ye, dau kaŋa yel ye, o ane Jew dim naꞌab.”
JHN.19.22	Pilate lebis ye, “Mam sob siꞌem la line kpelim be.”
JHN.19.23	Ka sogianam kpaꞌ Yesu naae la, ba zaŋ o fuud pudugi li zinꞌis anaasi n tis taaba. Fuug la da pu senn, amaa ba wugu line mum.
JHN.19.24	Linzug ka ba yel taaba ye ba da aenn lii, amaa ba maal bugulum bugulum gos one na di.
JHN.19.24	Neꞌeŋa da niŋi ala ye Winaꞌam gbauŋ la sob siꞌem la niŋ ameŋa ye,
JHN.19.24	“Ba pudug m fuud n tis taaba
JHN.19.24	ka maal bugulum bugulum ne m fuug la yela.”
JHN.19.24	Ka sogianam la niŋi ala.
JHN.19.25	Ka Yesu ma ne o mapit, ne Kleopas poꞌa ne Meeri Magdalene, n ziꞌe kpiꞌe dapuudir la. 
JHN.19.26	Ka Yesu n nye o ma ne o nyaꞌandolkan ka o noŋ la ka ba ziꞌe kpiꞌe la, o yel o ma la ye, “M ma fu biig nwa.” 
JHN.19.27	Ka me yel o nyaꞌandol la ye, “Fu ma nwa.” Ka saŋkan ken sa ka o nyaꞌandol la dol Yesu ma la kuli o yin.
JHN.19.28	Ka Yesu yuꞌun baŋ ye siꞌel wusa naae ya la ka yel ye, “Kuꞌonuud more m.” O yeli ala ye Winaꞌam gbauŋ n sob siꞌem la niŋi ameŋa. 
JHN.19.29	Ka nwam ziꞌe ne danmiꞌisug. Ka ba zaŋ sooso los danmiꞌisugin la lo kikanꞌarin niŋi o noorin. 
JHN.19.30	Ka on nu danmiꞌisug la ka ye, “Li naae ya,” ka sun o zug ka kpi.
JHN.19.31	Li da ane vuꞌusum daar tiꞌebug, hale ka li a dabistitaꞌar, linzug ka Jew dim la pu bood ye niŋgbina la kpelim be dapuuda zugi li daare, ka ba sos Pilate ye o ke ka ba koꞌ ba noba, ka sigisi ba dapuuda la ni. 
JHN.19.32	Ka sogianam keŋ koꞌ yiiga daan la noba, ne o tiraan one ka ba daa laꞌam kpaꞌa kpiꞌe Yesu la noba. 
JHN.19.33	Ka ban kenn Yesu saꞌan na n nye ka o kpi la, ba pu koꞌ o nobaa. 
JHN.19.34	Ka sogia yinni zaŋ kpan n kunsi o lugir ka ziim ne kuꞌom kpelim yi na. 
JHN.19.35	One nye line naam la, dii li kaset. O pianꞌ ne yelsida, o meŋ miꞌ ye o pianꞌ ne yelsida, ye ya me siaki li. 
JHN.19.36	Ka neꞌeŋa niŋ ne ye Winaꞌam gbauŋ la n sob siꞌem la lieb ameŋa ye, “Baa o konbir yinni, ku koꞌoge.” 
JHN.19.37	Ka Winaꞌam gbauŋ lem sob zinꞌi siꞌa yaꞌas ye, “Ba na gos on ka ba kuns la.”
JHN.19.38	Neꞌeŋa nyaꞌaŋ ka Josef one yi Arimatea teŋin ka a Yesu nyaꞌandol n keŋ sos Pilate ye o zaŋim Yesu niŋgbiŋ la tis o. Josef daa ane Yesu nyaꞌandol amaa on daa zot Jew dim la zug ka o pu neeli o meŋa. Ka Pilate n siak la ka o kena zaŋ niŋgbiŋ la keŋ. 
JHN.19.39	Ka Nikodemus, one daa keŋ Yesu saꞌan yuꞌuŋ la, me dol Josef ka mor bunnyubis line buon mir ne aloes ka ba gendig taaba, ka li zuꞌe bedego. 
JHN.19.40	Ka ba zaŋ Yesu niŋgbiŋ n bobug ne fuud ne bunnyubisa la, wuu Jew dim kum maluŋo a siꞌem la. 
JHN.19.41	Ka lombonꞌog be zinꞌikan ka ba kpaꞌ o la baba, ka Jew dim yaug be li poogin, ka ba nam pu mum soꞌ li nii. 
JHN.19.42	Ka dabisir la sadigim a vuꞌusum daar tiꞌebug la ka yaug la me pu lal la, ka ba mum Yesu anina.
JHN.20.1	Ka Alasidaar ka Meeri Magdalene isigi keŋ yaugin la, ka li nam pu nie naae, ka o nye ka kugir line ligil yaug la bilig. 
JHN.20.2	Ka o zo keŋ Simon Piita ne o nyaꞌandol siꞌa saꞌan, on ka Yesu noŋ la, ka yeli ba ye, “Ba zaŋ Zugsob la yaugin la yi ka ti ziꞌ ban niŋ o siꞌela.”
JHN.20.3	Ka ba zo keŋ yaugin, 
JHN.20.4	ka nyaꞌandol oŋa la zo gaad Piita n paae yaugin la yiiga, 
JHN.20.5	ka kuni gos ka nye fuud la, ka lee pu kpenꞌe. 
JHN.20.6	Ka Simon Piita paae n kpelim kpenꞌ, ka nye fuud la digi, 
JHN.20.7	ne pien line ka ba da viligi o zug la. Li pu be ne fuud la, amaa li meŋi daꞌe keŋ n dig zinꞌisiꞌa. 
JHN.20.8	Ka nyaꞌandol one paae yiiga la, me kpenꞌ yaugin la n nye li ka siak. 
JHN.20.9	Lini sob Winaꞌam gbauŋin ye, asee ka o vuꞌug kumin la, ba da nam ziꞌ li gbin ne.
JHN.20.10	Ka nyaꞌandolib la lebi kul ba yaan.
JHN.20.11	Ka Meeri ziꞌe yaug la yiiŋ n kum, ka sunne gos yaug la poogin, 
JHN.20.12	ka nye maleknam ayi ka ba ye fupiela n zinꞌi zinꞌikan ka Yesu daa be la. Ka yinni be zug baba ka yinni me be noba baba.
JHN.20.13	Ka ba buꞌos o ye, “Poꞌaa, bo ka fu kaasida?”
JHN.20.13	Ka o lebisi ba ye, “Ba noki m Zugsob la ka m ziꞌ ban niŋ o siꞌel la.” 
JHN.20.14	On pianꞌ neꞌeŋa la ka giꞌe nye Yesu ka o ziꞌe ka o lee pu baŋ ye li ane one.
JHN.20.15	Ka Yesu buꞌos o ye, “Poꞌaa, bo ka fu kaasida? Ka anoꞌon ka fu ieda?”
JHN.20.15	Ka o tenꞌes ye o ane one gur lombonꞌog la ka yel o ye, “M diema, li yaꞌa ane fune zaŋi o niŋgbiŋ la, fun yeli m fun niŋ li siꞌel, ka m keŋ noki li.”
JHN.20.16	Ka Yesu buol o ye, “Meeri.”
JHN.20.16	Ka o giꞌe gos o ka pianꞌ o ne Jew dim pianꞌad ye, “Rabboni.” Li gbin ane ye, Paꞌana.
JHN.20.17	Yesu yeli o ye, “Da siꞌisi ma; ka m nan pu du m Baꞌ la saꞌane. Amaa kemi m baꞌabiis la saꞌan n yeli ba ye, m dutne one a m Baꞌ ne ya Baꞌ ni ka a m Winaꞌam ne ya Winaꞌam la ni.”
JHN.20.18	Linzug ka Meeri Magdalene keŋ yel Yesu nyaꞌandolib la ye, “M nye Zugsob la.” Ka o yel ba lin wusa ka Yesu yel o la.
JHN.20.19	Ka daakan yuꞌuŋ sisobir, line a Alasidaar, ka Yesu nyaꞌandolib la laꞌas taaba doogin, ka kpar zaꞌanoya, bozugo ba da zotne Jew dim la dabiem. Ka Yesu kena ziꞌe ba sisoogin, ka yeli ba ye, “Sumalisim na be ne ya.” 
JHN.20.20	Ka on daa yeli ba wala la, ka paꞌali ba o nuꞌus ne o lugir. Ka nyaꞌandolib la mor sumalisim ban nye Zugsob la zug.
JHN.20.21	Ka Yesu yeli ba yaꞌas ye, “Sumalisim na be ne ya. Wenne m Baꞌ tum man na la, ala men ka man me tumi ya.” 
JHN.20.22	Ka on yeli ala naae la, ka o vuꞌusi niŋi ba ni, ka yeli ba ye, “Diꞌem Winaꞌam Siig Suŋ. 
JHN.20.23	Niŋkan wusa ka ya niŋ suguru ne o ka yiis o tuumbeꞌed n bas la, Winaꞌam me na yiisi li bas. Ka niŋkan wusa ka ya pu niŋ o suguru ka yiis o tuumbeꞌed base, Winaꞌam me ku yiis o tuumbeꞌed n basi.”
JHN.20.24	Ka Tomas one ka ba buon Liibir ka a Yesu nyaꞌandolib pii ne yi la nid yinni la daa kaꞌ ba saꞌane Yesu n daa kena laa. 
JHN.20.25	Ka nyaꞌandolib la sieba yel o ye, “Ti nye Zugsob la.”
JHN.20.25	Ka o yeli ba ye, “M yaꞌa pu nye bane kpaꞌ o nuꞌug la isa, ka siꞌisi li ne m nuꞌubil, ka siꞌisi o lugire, mam ku siake.”
JHN.20.26	Ka daba anii lem paae, ka nyaꞌandolib la laꞌas doogin yaꞌas, ka Tomas be ne ba. Ka laꞌam ne ban kpar zaꞌanoya la Yesu kena ziꞌen ba soogin, ka yeli ba ye, “Sumalisim be ne ya.” 
JHN.20.27	Ka o yel Tomas ye, “Zaŋimi fu nuꞌubil n siꞌis m nuꞌus, ka zaŋ fu nuꞌug n siꞌis m lugir. Da biꞌesida amaa niŋim yadda.”
JHN.20.28	Ka Tomas lebis n yel o ye, “Fu ane m Zugsob ne m Winaꞌam.”
JHN.20.29	Ka Yesu buꞌos o ye, “Fu niŋ yadda fun nye man la zugoo? Yelsum be ne bane pu nyee, amaa ka lee niŋ yadda.”
JHN.20.30	Yesu da tum tuumnyalima sieba bedego ka o nyaꞌandolib la be ani. Ka tuumnyalima ban pu sob gbauŋ kaŋa nii. 
JHN.20.31	Ka m sob neꞌenam ye ya siak ye Yesu a Kiristo la, one a Winaꞌam Biig la, ka ya yaꞌa niŋ o yadda, ya na nye nyovur o yuꞌur zug.
JHN.21.1	Lin nyaꞌaŋ ka Yesu nie o meŋi yaꞌas n paꞌal o nyaꞌandolib la, Tiberias beuŋ baba, ka lin niŋ siꞌem ane anwa. 
JHN.21.2	Simon Piita ne Tomas one ka ba buon Liibir la, ne Nataniel, one yi Kana, Galilee soꞌolim la ne Zebedee biis ne Yesu nyaꞌandol sieba ayi da laꞌam bene taaba. 
JHN.21.3	Ka Simon Piita yeli ba ye, “M waꞌene ye m gbanꞌ zimi.” Ka ba lebis ye, “Ti me na keŋ.” Ka ba keŋ kpenꞌ aaruŋ, ka yuꞌuŋkan wusa ka ba pu gbanꞌe siꞌel siꞌela.
JHN.21.4	Ka beug yiligid la, ka Yesu ziꞌe beuŋ gbeug, amaa o nyaꞌandolib la pu baŋ ye li ane one.
JHN.21.5	Ka Yesu buꞌosi ba ye, “M biise, ya mor zimii?”
JHN.21.5	Ka ba lebis o ye, “Ayei.”
JHN.21.6	Ka o yeli ba ye, “Lomini ya zimilaꞌad la aaruŋ la datiuŋ baba ka ya na gbanꞌe. Ka ba lobi li ka zimi peꞌeli galis ka ba mak ye ba teeg li niŋ aaruŋ la guꞌuŋ.”
JHN.21.7	Ka nyaꞌandol yinni, on ka Yesu noŋ la yel Piita ye, “Li ane Zugsob la.” Ka Piita n wumi ala la, ka on pu yeꞌ fuug la zug, o yeꞌ fuug ka ianki li kuꞌomin la keŋ Yesu saꞌan. 
JHN.21.8	Aaruŋ la pu lal ne beuŋ gbeugo, ka wen wuu fun na yaꞌas noba kobus ayiꞌiŋa ne, ka nyaꞌandolib bama la be aaruŋin la n veꞌed laꞌakan ka zimi peꞌel la. 
JHN.21.9	Ka ban du gbeug la ba yi aaruŋin la na ka nye ka bugum saana dit, ka zimi paꞌe ka bodobodo me be.
JHN.21.10	Ka Yesu yeli ba ye, “More zimbane ka ya gbanꞌe la sieba na.”
JHN.21.11	Ka Simon Piita kpenꞌ aaruŋ ka veꞌed zimilaꞌad la duꞌos gbeug. Ka zimbeda peꞌeli li, ka ba kal a kobuga ne piisnu ne atanꞌ. Laꞌam ne ban zuꞌe la zimilaꞌad la pu aenn. 
JHN.21.12	Ka Yesu yeli ba ye, “Kemi na di.” Ka nyaꞌandolib la soꞌo soꞌ pu mor sukpiꞌem na buꞌos o ye, “Fu aa anoꞌone?” Bozugo ba baŋ ye on a Zugsob la. 
JHN.21.13	Ka Yesu zaŋ bodobodo ne zimi la tisi ba, ka ba onb. 
JHN.21.14	Neꞌeŋa da a noor atanꞌ daan ka Yesu nie o meŋ paꞌal o nyaꞌandolib la on da vuꞌug kumin la.
JHN.21.15	Ka ban di naae la, ka Yesu buꞌos Simon Piita ye, “Simon, Joon biiga, fu sid noŋ man n gat bamaa?”
JHN.21.15	Ka o lebis o ye, “Eenn, m Zugsoba, fu pun miꞌ ye m noŋ uf.”
JHN.21.15	Ka Yesu yel o ye, “Guri m peꞌebibis la.”
JHN.21.16	Ka Yesu lem buꞌos o noor ayi daan ye, “Simon, Joon biiga, fu noŋi maa?”
JHN.21.16	Ka o lebis o ye, “Eenn, m Zugsoba fu miꞌ ye m noŋ uf.”
JHN.21.16	Ka o yel o ye, “Guri m peꞌes la.”
JHN.21.17	Ka Yesu lem buꞌos o noor atanꞌ daan yaꞌas ye, “Simon, Joon biiga, fu noŋi maa?”
JHN.21.17	Ka Piita sunf saꞌam, on buꞌos o noor atanꞌ daan ye, “Fu noŋi maa la,” ka o lebis ye, “M Zugsoba, fu miꞌ siꞌel wusa, ka miꞌ ye m noŋ uf.”
JHN.21.17	Ka Yesu yel o ye, “Guri m peꞌes la.”
JHN.21.18	Ka Yesu lem yel o ye, “Asida ka m yet uf ye, fun da a dasaŋ la, fu da lood vilig n ken fun boode siꞌel, ka fun a bunkudug la, fu na tienn fu nuꞌus ka soꞌ na lo uf vilig ka more fu keŋ zinꞌi kan ka fu pu booda.” 
JHN.21.19	Yesu yel neꞌeŋa ne ye o paꞌal kuꞌum kan buudi ka Piita na kpi, ka li a zunꞌor n tis Winaꞌam. Ka neꞌeŋa nwa nyaꞌaŋ ka Yesu yel o ye, “Dol man.”
JHN.21.20	Ka Piita giꞌe ka nye ka nyaꞌandolkan ka Yesu noŋ la doli ba nyaꞌaŋ, ka a one zinꞌi kpiꞌe ne Yesu ban daa dit la. Ka o me buꞌos Yesu ye, “M Zugsoba, anoꞌon ye o zam uf la.” 
JHN.21.21	Ka Piita nye o la ka buꞌos Yesu ye, “Ka dau kaŋa mene?”
JHN.21.22	Yesu lebis o ye, “Li yaꞌa ane m boodim ye o kpelim be ka m ti leb na, fu baꞌa bo be li nii? Fun yaꞌa dol man.” 
JHN.21.23	Ka pianꞌad la yadig paae yadda niŋidib la ye nyaꞌandol kan la ku kpii, amaa Yesu meŋ pu yel ye o ku kpii, ka lee ye, “Li yaꞌa ane m boodim ye o kpelim be ka m ti leb na, fu baꞌa bo be li nii?”
JHN.21.24	Nyaꞌandol kaŋa di kaset yelbama nwa yela, ka sobi li. Ti baŋ ye o kaset la a yelsida.
JHN.21.25	Siꞌelnam bedego be ka Yesu maal. Ka ba yaꞌa ye ba sob li wusa, m tenꞌes ka paalo ku be dunia ni ka ba sob gbana la digile.
ACT.1.1	Teofilus, m daa yel uf m yiiga gbauŋ la poogin Yesu n daa pinꞌili tum ka paꞌal nidib siꞌel la wusa, hale 
ACT.1.2	n ti paae daar kan ka Winaꞌam zaŋ o n du arazana ni la. O daa mor Winaꞌam Siig Suŋ la paŋ ka paꞌal Tumtumnib bane ka o daa gaŋ la ban na tum siꞌem. Ka Winaꞌam naan zank o n du arazana ni. 
ACT.1.3	Yesu namisug nyaꞌaŋ la dabisa piisnaasi poogin, ka o nie o meŋ n paꞌali ba la, ka tum tuumnyalima bedego line paꞌal ye o voe. Ka ban nye o la o tuꞌasi ba Winaꞌam naꞌam la yela. 
ACT.1.4	Ka ban laꞌas ne Yesu n dit la, ka o tisi ba noor ye, “Da yi Jerusalem nii, ka gur Winaꞌam Siig Suŋ one a o piini kan ka m da yel ziꞌel la. 
ACT.1.5	Ka Joon daa suudi ya ne kuꞌom. Amaa li ku yuuge ka man na suu ya ne Winaꞌam Siig Suŋ.”
ACT.1.6	Ka tumtumnib la laꞌas taaba ne Yesu ka buꞌos ye, “Zugsoba, fu na lem lebis Israel dim naꞌam la nannanna n tisi ba?”
ACT.1.7	Ka Yesu yeli ba ye, “Ya baꞌa kaeꞌ ka ya baŋ saŋa ne dabisa ban ka m Baꞌ Winaꞌam da ziꞌel ne o meŋ paŋ la. 
ACT.1.8	Amaa ya na diꞌe paŋ, Winaꞌam Siig Suŋ la yaꞌa keenn ya saꞌan na, ka ya na tuꞌasi m yela Jerusalem ne Juuda ne Samaria ne dunia ben wusa.”
ACT.1.9	On tuꞌasi naae la ka ba gosid o, ka Winaꞌam zaŋ o n dut ka saŋgbana ligil o. 
ACT.1.10	Ka ban nam kpelim gosid saa agol la, ka dapa ayi ye fupiela n ziꞌe ba saꞌan, 
ACT.1.11	ka buꞌosi ba ye, “Galilee dima, bozug ka ya ziꞌe n gosid agole? Yesu one yi ya saꞌan n ken arazana ni la, o na ti leb na wuu yaname n nye o ka o keŋ siꞌem la.”
ACT.1.12	Ka o Tumtumnib la yi Olives Zuerin n leb Jerusalem. Li pu lal ne Jerusalem. 
ACT.1.13	Ka ban paae Jerusalem la, ba du girimbiisa line a ba yir sigidirin. Ka bane daa be ani la daa a Piita ne Joon ne Jemes ne Andrew ne Filip ne Tomas ne Bartolomew ne Mateo ne Jemes one a Alfeus biig la ne Simon Zealot ne Judas one a Jemes biig, 
ACT.1.14	bama wusa ne poꞌab ne Meeri Yesu ma ne Yesu pitib daa laꞌased ne taaba n sosid Winaꞌam ne ba yaꞌam wusa.
ACT.1.15	Ka dabisa bama ka yadda niŋidib la daa laꞌased taaba ka ba kal a wuu kobuga ne piisi. Ka Piita due n ziꞌe ba sisoogin n yel ye, 
ACT.1.16	“M zuanama, li ane tilas Winaꞌam gbauŋ pianꞌad kan ka o Siig Suŋ da pun yel ka li yi naꞌab David noorin la lieb ameŋa ne Judas niŋ siꞌel la yela. 
ACT.1.17	O daa gaad tuon n dol nidib bane keŋ n gbanꞌe Yesu la. O daa ane ti tumtum tiraan ka Winaꞌam gelig o laꞌas ne ti.”
ACT.1.18	(Dau kaŋa nwa daa daꞌ poog ne o tuumbeꞌed yood. O daa lu teŋin anina, ka o poor pusig, ka o nyood wusa yi. 
ACT.1.19	Ka Jerusalem teŋ nidib la wusa n wum la, ba pud poog la yuꞌur ne ba pianꞌad ye Akeldama. Li gbin ane Ziim Poog.)
ACT.1.20	Ka Piita ye, “Li sobne Winaꞌam yuuma gbauŋin ye,
ACT.1.20	‘Kel ka o yir na yo damzuunr,
ACT.1.20	ka nidib ku lem be aninaa.’
ACT.1.20	Ka lem sob ye,
ACT.1.20	‘Kel ka soꞌ diꞌe o tuuma tum.’
ACT.1.21+ACT.1.22	“Alazugo li suꞌum ye nid yinni paꞌasi ti ni. O a one daa nye ti Zugsob Yesu kuꞌum vuꞌugir yela. Li suꞌum ka o ane one n daa pun bee ti saꞌan saŋa wusa ti Zugsob Yesu daa goond ne ti, lin pinꞌil ne Joon n daa suud nidib kuꞌom la, n ti paae saŋkan ka Yesu daa yi ti saꞌan n du arazana ni la.”
ACT.1.23	Ka ba yiis nidiba ayi. Ka ayinni yuꞌur buon Josef one ka ba lem buon ye Barsabas ka lem buon Justus. Ka ayinni la yuꞌur buon Mattias. 
ACT.1.24	Ka ba sos Winaꞌam ye, “Ti Zugsoba, fun miꞌ ninsaalib poog. Paꞌalimi ti nidiba ayi nwa fun gaŋ soꞌ 
ACT.1.25	ye o diꞌe Judas zinꞌig n tum tumtumnib la tuuma lin ka o bas ka keŋ o meŋ zinꞌigin la.” 
ACT.1.26	Ka ba bugulim ka li lu Mattias zugin ka ba zaŋ o laꞌas Tumtumnib piina yinni la kalin.
ACT.2.1	Ka Pentekost daar n paae la, ka ba wusa daa be zinꞌig yinni. 
ACT.2.2	Ka toꞌoto yim ka vuud yi arazana ni na n wenne sisiꞌem titaꞌar ne, n peꞌel doog kan ka ba be la. 
ACT.2.3	Ka ba nye siꞌel lin wenne bugum zilima ne, n pudug n zoon ba wusa yinni yinni zutin. 
ACT.2.4	Ka Winaꞌam Siig Suŋ daa peꞌeli ba wusa, ka ba pinꞌil n pianꞌad ne teŋzuŋ pianꞌad wuu Siig Suŋ la n tisi ba siꞌem la.
ACT.2.5	Ka Jew dim sieba ban yi dunia soꞌolim wusa na, daa be Jerusalem ni. Ba daa ane bane dol Winaꞌam suer suꞌuŋa. 
ACT.2.6	Ka nidib bedego n wum vuud la, ka ba laꞌas taaba, ka li lidigi ba bedego, bozugo soꞌ wusa wum ban pianꞌad o meŋ buudi pianꞌad. 
ACT.2.7	Ka ba lidig n buꞌosid taaba ye, “Gosima, nidib bane pianꞌad nwa wusa kaꞌane Galilee dim bee? 
ACT.2.8	Ka li niŋ wala ka ti wusa yinni yinni wum ka ba pianꞌad tinam buudi pianꞌade? 
ACT.2.9	Ti yi ne Partia ne Media ne Elam ne Mesopotamia ne Juuda ne Kapadosia ne Pontus ne Asia, 
ACT.2.10	ne Frigia ne Pamfilia ne Egipiti ne Libiya lin kpiꞌe Sairene ne saam ban yi Room teŋin la, Jew dim ne sieba bane kaꞌ Jew dim buudi, ka lee doli ba malima, 
ACT.2.11	ne Krete dim ne Arabia dim. Ka li niŋ wala ka tinam wum ka ba pianꞌad ti buudi pianꞌad n yet tuumtitada ban ka Winaꞌam tum la?” 
ACT.2.12	Ka ba lidig n buꞌosid taaba ye, “Yel kaŋa nwa gbin lee a bo?”
ACT.2.13	Amaa ka sieba poꞌogi ba, ka yet ye, “Nimbama nwa nune daam n kool.”
ACT.2.14	Ka Piita due ziꞌen ne Tumtumnib piina yinni la, n yeli ba ne kukotitaꞌar ye, “Juuda dim, ne bane be Jerusalem nwa ni, ya wusa baŋim yelkaŋa, ka kelis man ye m tuꞌasi ya yel siꞌa la. 
ACT.2.15	Li nan ane beogin, dinzugo nidib nwa ku nu daam n kool wenne yanam tenꞌesid siꞌem laa. 
ACT.2.16	Amaa neꞌeŋa ane bun lin ka Winaꞌam nodiꞌes Joel da pun sob li yela la ye,
ACT.2.17	Winaꞌam yel ye,
ACT.2.17	‘Dunia naar yaꞌa ti liꞌel,
ACT.2.17	m na buꞌe m Siig Suŋ la n niŋ ninsaalib buudi wusa zut.
ACT.2.17	Ka ba biribis ne ba bipumis na diꞌe Winaꞌam pianꞌad n tis nidib.
ACT.2.17	Ka ba dasam na nye Winaꞌam yela wuu zaansuŋ ne.
ACT.2.17	Ka ba niŋkuda me na zaansim.
ACT.2.18	Ka saŋkan la m na buꞌe m Siig Suŋ la niŋ m tumtum dap ne m tumtum poꞌab zutin.
ACT.2.18	Ka ba na diꞌe m pianꞌad n tis nidib.
ACT.2.19	M na maal bunnyalima agol ka maal zanbina dunia zug.
ACT.2.19	Ziim ne bugum ne walim ne nyoꞌos na ti be.
ACT.2.20	Nintaŋ na ti lieb lik,
ACT.2.20	ka nwadig muꞌe wenne ziim ne,
ACT.2.20	ka Zugsob lebig daar la nyaan paae.
ACT.2.21	Ka lin saŋa la, on wusa buol Zugsob yuꞌur,
ACT.2.21	o na nye faangir.’
ACT.2.22	“Israel dim wusa, wumi pianꞌakaŋa nwa. Winaꞌam daa tum tuumnyalima ne bunnyalima ne zanbina Yesu saꞌan, one a Nazaret dau la, ka paꞌali ba ye one tum o ba saꞌan. Ya pun miꞌ neꞌeŋa, bozugo li daa maali ya saꞌan. 
