GEN.1.1	A tîra Pathianin lei leh vân a siam khân 
2CH.13.13	Chutih chhûng chuan Jeroboama chuan a sipai ṭhenkhat chu Juda sipaite ep tûrin a dah a, a ṭhen chu an hnung lama châng ru tûrin a kaltîr bawk a. 
2CH.13.14	Juda-ho chuan an han thlîr vêl a, an hmêlmate chuan an lo hual vek tawh a, 
2CH.13.15	Juda-te chu an au chiam a, Abija chuan hma a hruai a, an bei a, Pathian chuan Jeroboama leh Israel-te chu a hneh ta a. 
2CH.13.16	Israel-te chu Juda-te hmaah chuan an tlânchhia a, Pathian chuan Juda-te chu a tichak ta zâwk a ni. 
2CH.13.17	Abija leh a sipaite chuan Israel sipaite chu an titlâwm dêr mai a. Israel sipai ṭha ṭha nuainga zet chu an that a ni. 
2CH.13.18	Juda-te chuan an thlahtute Pathian, 
2CH.13.19	Abija chuan Jeroboama sipaite chu a ûm a, an khawpui ṭhenkhat Bethel te, Jesana te, Efron te chu an chhehvêl khuate nên a chhuhsak a.
2CH.13.20	Abija dam chhûngin Jeroboama chu a ding chhuak leh hman lo, 
2CH.13.21	Abija erawh chu a chak tial tial a, nupui sâwm leh pali a nei a, fapa sawmhnih leh pahnih leh fanu sâwm leh paruk a nei a. 
2CH.13.22	Abija chanchin dang, a thu sawi leh a thil tihte chu zâwlnei Idoa chanchin ziakna bu-ah a chuang.
2CH.14.1	Lal Abija chu a thi a, Davida khawpuia lal thlânah an phûm a. A fapa Asa chu a lo lal a. Asa lal kum sâwm chhûng chu râlmuang takin an awm a, 
2CH.14.2	Asa chuan thil dik leh thil ṭha, a Pathian, 
2CH.14.3	Hnam dang maichâmte leh an pathian biakna hmunsângte chu a tibo va, an lung milemte chu a tibung a, Aseri lim an phunte chu a kit a. 
2CH.14.4	Judai ram mite chu an thlahtute Pathian, 
2CH.14.5	Judai ram khaw tina hnam dang Pathian biakna hmunsângte leh an rimtui hâlna maichâmte chu a tibo va, a lal lai chuan râlmuang takin an awm a ni.
2CH.14.7	Judai ram mite hnênah, “Ti rawh u, kan khuate hi din ṭha ila, lung kulh siam hnan ila, râlvênbûk in sângte, kawngkhâr leh a kalhna te i siam ang u. 
2CH.14.8	Lal Asa chuan phaw leh fei keng, Judai ram aṭangin sipai nuaithum leh Benjamin ram aṭangin indo thiam, awmphaw ha leh thal keng sipai nuaihnih leh sîngriat a nei a; mi huai indo thiam tak vek an ni.
2CH.14.9	Ethiopia mi Zera chuan sipai maktaduai khat leh sakawr-tawlailîr zathum hruaiin Judai ram a rawn rûn a, Maresa a lo thleng hial tawh a. 
2CH.14.10	Lo do tûrin lal Asa chu a thawk chhuak a, Maresa bul, Zefata ruamah chuan an inep ta a. 
2CH.14.11	Asa chu a Pathian, 
2CH.14.13	Asa leh a hote chuan Gerar thleng rawkin an ûm a, Ethiopia mite chu an that hnem khawp a, lo ṭang tham pawh an awm tawh lo. 
2CH.14.14	Gerar leh a chhehvêl khawpuia awmte chuan 
2CH.14.15	Berâmpu bûkte pawh an hâl a, berâm tam tak an man a, sanghâwngsei te an man a, Jerusalem-ah an haw leh ta a.
2CH.15.1	Obeda fapa Azaria chungah Pathian Thlarau a lo thleng a. 
2CH.15.2	Lal Asa hmu tûrin a kal a, a au va, “Lal Asa, nangni Judai leh Benjamin mite u, ka thu hi ngaithla teh u. A lama in ṭan chhûng chuan 
2CH.15.3	Israel-te chu Pathian tak be lovin rei tak an awm a, zirtîrtu tûr puithiam an nei lo va, dân an hre hek lo. 
2CH.15.4	Mahse, manganna an tawhin 
2CH.15.5	Chûng lai chuan ram chu a buai a, a mumal loh êm avângin vâk chhuak ṭha ngam pawh an awm ngai lo. 
2CH.15.6	Hnam khatin hnam dang an tirethei a, khaw khatin khaw dang an tirethei bawk a. Pathian chuan buaina leh manganna an chungah a thlentîr a ni. 
2CH.15.7	Nangni erawh chuan zâm lovin ṭan la rawh u. In thil tih rah chu in hmu ngei ang,” a ti a.
2CH.15.8	Lal Asa chuan Obeda fapa zâwlnei Azaria thu a han hriat chuan a huai phah sawt a, Judai leh Benjamin rama milem awm zawng zawng chu a tibo vek a, a pain tlângram khua a lâk zawng zawnga mi pawh a tibo vek a. Tempul tuala 
2CH.15.10	Asa lal kum sâwm leh panga kum, a thla thumnaah chuan Jerusalem-ah an pung khâwm a. 
2CH.15.11	Chumi ni chuan an râllâk bâwng zasarih leh berâm sângsarih 
2CH.15.12	An thlahtute Pathian, 
2CH.15.13	‘Puitling pawh, naupang pawh, mipa pawh, hmeichhia pawh, Israel-te Pathian, 
2CH.15.14	Aw ring taka auvin 
2CH.15.15	Tihtakzeta thu an thlun tlân tâk avângin Judai ram mite chu an lâwm êm êm a. 
2CH.15.16	Lal Asa chuan, a pi lalnu Maakin Aseri lim tenawm tak chu a phun avângin lalnu a nihna a hlihsak a. Aseri lim chu a kit a, a ek a, Kidron lui ruamah a hâl vek a. 
2CH.15.17	Ram chhûnga hmunsâng, pathian dang an biakna zawng zawng chu Lal Asa chuan tibo vek lo mah se a dam chhûng chuan 
2CH.15.18	A pa Abijan Pathian hnêna a thilpêk zawng zawng chu Asa chuan Tempulah a dah a; amah ngeiin rangkachak leh tangkarua a hlante pawh chu a dah tel a. 
2CH.15.19	Asa chuan kum sawmthum leh panga ro a rêl chhûng chuan indona a awm leh ta lo.
2CH.16.1	Judai rama Asa kum sawmthum leh paruk a lal kumin Israel lal Baasa chuan Juda lal Asa ram aṭanga tu mah an lo chhuah loh nân leh tu mah an luh theih loh nân Rama-ah kulh a siam a. 
2CH.16.2	Asa chuan Tempul sum bâwm ata tangkarua leh rangkachak a la chhuak a, Damaska khuaa awm Suria lal Ben-hadada hnênah a thawn a, a hnênah, 
2CH.16.3	“Ka pa leh i pa an ṭangrual ang khân keini pawh i ṭangrual teh ang. En teh, tangkarua leh rangkachak ka rawn thawn a che, Israel lal Baasa nên in inṭhianna titâwp la, ka ram ata a sipaite hnuk kîr teh se,” a ti a.
2CH.16.4	Ben-hadada chuan Asa thu rawt chu ṭha a ti a, sipai hotu a ko va, Israel ram chu an rûn ta a; Ijon te, Dan te, Abel-maim te leh Naftali-ho biala kudâm awmna khua zawng zawng chu a la a. 
2CH.16.5	Chûng thil chu lal Baasan a hriatin Rama khaw kulh a siam chu a chawlhsan ta a. 
2CH.16.6	Rama kulh siamna tûr lung leh thingte chu la lutin Juda ram mi zawng zawng chu Asa chuan a pun a, Geba leh Mizpa kulh siam nân a hmang ta a.
2CH.16.7	Chutih lai chuan zâwlnei Hanania chu lal Asa hnênah a lo kal a, a hnênah, “
2CH.16.8	Ethiopia leh Libua mite khân sipai leh sakawr-tawlailîr tam tak leh sakawr chungchuang mi tam tak an nei a ni lâwm ni kha? Mahse, 
2CH.16.9	 chuan amah ring tlattute chu ṭanpui tûrin khawvêl pum puiah a mit a lên ruai ruai ṭhîn a ni. Tûn aṭang chuan do tûr i nei reng ang. Âtthlâk takin thil i ti a nih hi,” a ti a. 
2CH.16.10	Zâwlnei chungah chuan Asa chu a thinur ta hle a, kawl a buntîr a, ripah a khung a, chuta chinah chuan mi dang chungah pawh râwng taka kut thlâk a chîng ta a.
2CH.16.11	Asa lal ṭan tirh aṭanga a tâwp thleng chanchin chu ‘Juda leh Israel lalte chanchin’ ziakna bu-ah a chuang. 
2CH.16.12	Asa chu kum sawmthum leh pakua a lal hnuin a ke a pân a, a ke a lo bai ta a. Mahse, 
2CH.16.13	Kum hnih hnu chuan a thi ta a. 
2CH.16.14	Davida khawpuiah, a thlân atâna a kerah chuan an phûm ta a. Phûm hmain mosola te, tel rimtuite an hnawih a, amah sûn nân meipui an chhêm hluah hluah a.
2CH.17.1	Jehosafata chu a pa Asa hnuah a lo lal a, Israel-te do thei tûrin a intichak a. 
2CH.17.2	Judai ram kulh awmna khuaahte sipai a dah a, Judai ram thingtlâng leh Efraim rama khawpui, a pa Asan a lo hneh tawh khuaahte pawh sipai hmunpui a dah bawk a. 
2CH.17.3	A pain a lal tirh laia a tih ang khân Jehosafata pawhin a ti a, Baal a be duh lo va. Chuvângin, 
2CH.17.4	A pate Pathian rawng a bâwl a, Pathian thupêk a zâwm a, Israel lalte angin a khawsa ve hek lo. 
2CH.17.5	Tichuan, 
2CH.17.6	 rawngbâwl chu a châkzâwng a ni a, Judai rama an milem pathian biakna hmunsângte, Aseri limte chu a tibo vek a.
2CH.17.7	Kum thum a lal hnu chuan Ben-haila te, Obadia te, Zekaria te, Nethanela te, Mikaia te chu Judai ram khawpuiah zirtîrtuah a tîr chhuak a. 
2CH.17.8	Levia chi mi pakua leh puithiam pahnih an kal ve a, Levia chite chu Semaia te, Nethania te, Zebadia te, Asahela te, Semiramota te, Jehonathana te, Adonija te, Tobija te, Tobadonija te an ni a, puithiamte chu Elisama leh Jehorama an ni. 
2CH.17.9	 dân lehkhabu chu kengin Judai ram khua chu an fang chhuak a, mite chu an zirtîr a.
2CH.17.10	An vêl ram zawng zawng chu Jehosafata do ngam lo tûrin 
2CH.17.11	Filistia mi ṭhenkhat chuan chhiahah tangkarua leh thilpêk tam tak Jehosafata chu an rawn kensak a. Arab mi ṭhenkhat pawhin berâm sângsarih leh zasarih leh kêl sângsarih leh zasarih an rawn pe bawk a. 
2CH.17.12	Tichuan, Jehosafata chu a lal tulh tulh a, Judai ram dung leh vângah kulhte a siam a, khawpuite a din a. 
2CH.17.13	Chûngah chuan ei tûr a chhêk ṭeuh bawk a. Jerusalem khuaah a sipai hotu lian huaisen tak tak chu a dah a. 
2CH.17.14	A chi chiin mahni chi hotu an nei a, Juda thlah sipai hotu ber chu Adna a ni, sipai nuaithum a ho va. 
2CH.17.15	A dawttu chu Jehohanana a ni, sipai nuaihnih leh sing riat a ho va. 
2CH.17.16	A pathumna chu Zikria fapa Amasia a ni, sipai nuaihnih a ho va (Amasa hi hetianga 
2CH.17.17	Benjamin thlah sipai hotu ber chu, sipai chhuanawm tak Eliada a ni, sipai nuaihnih, âwmphaw leh thal keng a ho va. 
2CH.17.18	A dawttu chu Jehozabada a ni, indo inpeih reng sipai nuaikhat leh sîngriat a ho va. 
2CH.17.19	Judai rama kulh nei khuatea sipai a dah bâkah hêng hi Jerusalem-a a sipai awmte chu an ni.
2CH.18.1	Juda lal Jehosafata chuan a lo hausaka, a hmingthan tâk hle hnu chuan Israel lal Ahaba nên inkawp zai an rêl a, an fate an inneihtîr a. 
2CH.18.2	Kum eng emaw zât hnuah Jehosafata chu Samaria khuaah Ahaba tlawh tûrin a chhuk a. Jehosafata leh a ṭhiante lawm nân Ahaba chuan berâm leh bâwng tam tak a talh a, ruai a ṭheh a. Gilead biala Ramot khua bei tûrin a sâwm a. 
2CH.18.3	“Ramot khua chu bei tûrin i kal ve thei ang em?” a ti a. Jehosafata chuan, “I inpeih hun hunah kei leh ka sipaite chu kal kan inpeih e, kan pui ang che,” a ti a. 
2CH.18.4	“
2CH.18.5	Ahaba chuan zâwlnei zali dâwn lai rual chu, “Ramot khua ka bei ang nge bei lo vang?” tiin a zâwt a. Anni chuan, “Bei rawh, Pathian chuan a awmpui ang che,” an ti a.
2CH.18.6	Jehosafata chuan, “Zâwlnei dang 
2CH.18.7	Ahaba chuan, “Mi pakhat, Imla fapa Mikaia chu a la awm a. Mahse, thil ṭha eng mah min hrilh lâwksak ngai lo va, ka haw hle a ni. Thil ṭha lo tak tak hrilh lâwk a chîng a,” a ti a. Jehosafata chuan, “Lal meuhvin chuti êma tih tûr emaw ni le?” a ti a.
2CH.18.8	Lal chuan hotu pakhat a ko va, Mikaia hruai tûrin a tîr a. 
2CH.18.9	Lal pahnih chu Samaria khawpui kawngka pâwn hruihah, lalṭhutthlêng an chhawpah chuan an ṭhu a; zâwlnei rual chuan an kal hual a, thu an sawi bual bual a. 
2CH.18.10	An zînga pakhat, Kenaana fapa Zedekia chuan thîr, seki lem a siam a, Ahaba hnênah, “Suria-ho chu hêng nên hian i bei ang a, i tudawl dêr ang,” a ti a. 
2CH.18.11	Zâwlnei dangte pawh chuan chutiang bawk chuan an ti a. “Kal la, Ramot khua chu han bei rawh, i la ngei ang. 
2CH.18.12	Mikaia hruaitu tûra an tirh chuan a hnênah, “Zâwlnei dang zawng zawngin a ṭha lamin lal hnênah thu an sawi a, nang pawhin chutiang chuan sawi ve mai ta che,” a ti a.
2CH.18.13	Mikaia chuan, “
2CH.18.14	Lal Ahaba hma a va thlen chuan lal chuan, “Mikai, lal Jehosafata nên Ramot khua kan han bei ang nge bei lo vang?” a ti a.
2CH.18.15	Mikaia chuan, “Han bei teh rêng u, in hneh mawlh ang, 
2CH.18.15	Ahaba chuan, “
2CH.18.16	Mikaia chuan, “Vêngtu nei lo berâm rual angin tlânga Israel-ho an darh ka hmu a ni. ‘Hêngho hian hruaitu an nei lo; mahni in lamah dam têin haw dial mai rawh se,’ 
2CH.18.17	Ahaba chuan Jehosafata hnênah, “Kha maw, ka tâna thil ṭha tûr eng mah a sawi ngai lo ka tih rêng kha. Thil ṭha lo lam hlîr a ni a sawi ṭhin,” a ti a.
2CH.18.18	Mikaia chuan, “
2CH.18.19	‘Tu nge Ahaba chu Ramot beia thi tûrin zu bum ang?’ 
2CH.18.20	Thlarau pakhat hi a lo kal a, 
2CH.18.21	Thlarau chuan, ‘Ahaba zâwlneite chu dâwt ka zu sawitîr ang,’ a ti a. 
2CH.18.22	Chutiang chuan a ni 
2CH.18.23	Zâwlnei Zedekia chuan Mikaia chu a va pan a, a bêng a, “Engtik lai khân nge 
2CH.18.24	Mikaia chuan a chhâng a, “Pindan chhûngrila i bihrûk hunah i hre mai ang,” a ti a.
2CH.18.25	Ahaba chuan hotu pakhat hnênah, “Mikaia kha man la, khaw awptu Amona hnênah hruai la, lal fapa Joasa pawh hmuhtîr ang che. 
2CH.18.26	Dam taka ka lo kîr leh hma chu ripah khung sela, chhang leh tui chauh pe rawh se,” a ti a.
2CH.18.27	Mikaia chuan, “Dam taka i lo kîr leh hrim chuan 
2CH.18.28	Lal Ahaba leh lal Jehosafata chu Gilead biala Ramot khua bei tûr chuan an kal ta a. 
2CH.18.29	Ahaba chuan Jehosafata hnênah, “Kan inbeih hunah ka inchei danglam ang a, nang chu lal incheiin inchei zêl ang che,” a ti a. Lal Ahaba chu a inchei danglam a, an inbeihnaah chuan a tel ve ta a.
2CH.18.30	Suria lal chuan tawlailîr khalhtu hotu chu, “Israel lal chauh lo chu tu mah bei suh ang che,” a ti a. 
2CH.18.31	Chûngho chuan Jehosafata an hmuh chuan Israel lal emaw an ti a, an rawn bei ta a. Jehosafata chu a au chiam a, 
2CH.18.32	Tawlailîr khalh hotute chuan Israel lal a ni lo tih an hriat chuan an ûm duh ta lo va. 
2CH.18.33	Suria sipai thal kâp mai mai hian lal Ahaba chu a râlthuam inkârah a kâp fuh palh a. A tawlailîr khalhtu hnênah chuan, “Hliam ka tuar e, lêt la, inbeihna hmun ata tlân chhuak rawh,” a ti a. 
2CH.18.34	An inbeih mup mup chhûng chuan Ahaba chu a tawlailîrah chuan Suria mite lam hawiin a ṭhu a, ni a tlâk chuan a thi ta a.
2CH.19.1	Jerusalem-a a inah Jehosafata chu dam takin a haw a. 
2CH.19.2	Zâwlnei pakhat, Hanana fapa, Jehua chuan lal chu a hmu a, a hnênah, “Mi sual ṭanpuia 
2CH.19.3	Chuti chung pawhin ṭhat vena zawng i nei e; miin an biak Aseri lim zawng zawng i ti bo va, Pathian duhzâwng zawn i tum hi,” a ti a.
2CH.19.4	Jehosafata chu Jerusalem-ah a awm a, a taima hle a; chhim tâwp Beer-seba aṭanga hmâr lam Efraim tlâng tâwp thlengin a khuate chu an thlahtute 
2CH.19.5	Judai rama kulh nei khuaah tawh phawt chuan rorêltute a dah a, hetiang hian a hrilh zêl a: 
2CH.19.6	“Thu pawtchat mai mai suh ang che u, in hna hi mihring thu-a thawk in ni lo va, 
2CH.19.7	 chu ṭih ula, fîmkhur takin engkim ti ang che u, 
2CH.19.8	Jerusalem khuaah chuan Levia chite, Puithiamte leh khaw hotu deuh ṭhenkhat chu rorêltu atân a ruat a; 
2CH.19.9	Heti hian a ti a, “
2CH.19.10	Khawii khua aṭang pawhin in chipuiten mihring thah thu emaw, dân leh thupêk bawhchhiat thu emaw an rawn thlen chuan, an thu ngaihtuah chhûnga an awm dân tûr ngun takin hrilh ṭhîn ang che u; tichuan, 
2CH.19.11	Sakhaw lam thilah chuan puithiam lalber Amaria thu a lalber ang a, khawtlâng thilah chuan Judai ram awptu thu a lal ber a ni. Levia chite hian hêng rorêltute thu hi an kengkawh tûr a ni. Huai takin hêng hi zâwm sela, 
2CH.20.1	Nakin deuhvah chuan Moab leh Amon-ho chuan an kawppui Meun-ho nên Jehosafata ram chu rûn tûrin an lo thawk a. 
2CH.20.2	Mi ṭhenkhat an lo kal a, Jehosafata hnênah, “Tuipui Thi râla, Edom ram aṭangin sipai tam takin an rawn bei dâwn a che, Hazazon-tamar khua pawh an la dêr tawh,” an ti a (Chu khua chu Engedi tih a ni bawk). 
2CH.20.3	Jehosafata chu a thlaphâng hle a, thil tih dân tûrah 
2CH.20.4	Judai ram khaw tin aṭangin 
2CH.20.5	Chûngho leh Jerusalem-a mite chu Tempul tual siam tharah chuan an pung khâwm a, lal Jehosafata chu an hmaah a va ding a. 
2CH.20.6	Ring takin a ṭawngṭai a, “Aw 
2CH.20.7	He rama lo awm ṭhînte kha i mi Israel-te hmaah i hnawt chhuak a, i ṭhian, Abrahama thlahte neih kumkhua atân i pe a ni lâwm ni kha, aw kan Pathian? 
2CH.20.8	He ramah hian an awm ta a, nangmah biakna tûr Hmun Thianghlim an sa a. 
2CH.20.9	Min hrem nân indona te, hri te, ṭâm te, thil ṭha lo tinrêng te lo thleng mah se, nangmah biakna tûra i ruat he in kawtah hian kan ding ang a, kan mangannaah chuan kan au vang che a, nangin min ngaihthlâksakin min chhanhim ang,’ an ti a. 
2CH.20.10	Min thlahtute Aigupta ram ata an lo chhuah pawh khân Amon-ho te, Moab-ho te, Edom-ho te kha rûn i phal lo va, an rama kal i phalsak lo va. Kan pute chuan an ram chu an kal hual a, an tichhe lo a nih kha. 
2CH.20.11	Ngai teh, tûnah hian ro atâna ram min pêk ata min hnawh chhuah tumin an lo thawh tâk thung hi. 
2CH.20.12	Aw kan Pathian, an chungah ro han rêl teh; min bei tûr sipaite hi an tam êm a, kan chêt theih tâk hlek lah hi. Tihngaihna rêng kan hre ta lo va, i hmaah kan rawn thlen ngawt mai a nih hi,” a ti a.
2CH.20.13	Judai ram mi zawng zawng chu an nupui fanaute nên Tempul kawtah chuan an ding a. 
2CH.20.14	Chuta awm ve Levia chi mi pakhat, Zekaria fapa Jahaziela chungah 
2CH.20.15	Jahaziela chuan, “Judai ram mi zawng zawng leh Jerusalem-a chêngte leh nang, Jehosafat, 
2CH.20.16	Naktûkah Zif kalkhâna an lo chho chu lo bei ang che u. Phaizâwl thlen hmaa Jeruel bul, ram chhengchhe laiah lo châng ang che u. 
2CH.20.17	In beih a ṭûl lo vang. In awmna tûrah chuan lo châng ringawt mai rawh u. 
2CH.20.18	Lal Jehosafata chu a bawkkhup a, mipui pawh an kûn a; 
2CH.20.19	Levia chi, Kohata leh Kora pâwlte chu an ding a, Israel-te Pathian 
2CH.20.20	A tûkah chuan zîng takah an tho va, Tekoa khaw bul ram chhengchhe lam an pan a. Chutia an kal chhuah dâwn lai chuan Jehosafatan an hnênah, “Juda leh Jerusalem tlangvâlte u, 
2CH.20.21	Lal chuan mite chu a berâwn a, Levia chi zaipâwlte chu hun serha an hâk tûr thawmhnawte inbela sipaiho hma hruai tûrin a ti a; ‘
2CH.20.22	Chutia Pathian faka hla an han sak lai chuan Juda-te bei tûra lo thawk Amon-ho te, Moab-ho te, Edom-ho te châng ru tûrin 
2CH.20.23	Amon-ho leh Moab-ho chuan Edom-ho chu an bei a, an that phiar a; anmahni leh anmahni pawh chu intiboral tûrin an inbei ve leh ta chiam a. 
2CH.20.24	Judai ram sipaiten thlalêr in sâng an va thlen chuan, an hmêlmate lam chu an han thlîr a. An za chuan leiah an tlu thal phung a, an lo thi vek mai a, pakhat mah tlân chhuak an awm lo va ni.
2CH.20.25	Jehosafata leh a hote chu râllâk sum la tûrin an kal a. Chûng zîngah chuan bâwng tam tak te, ei tûr te, thawmhnaw te leh thil hlu tak tak an hmu ṭeuh va. Râllâk sum lâk tûr a tam khawp a, ni thum chhûng ngawt an la khâwm a, an phurh sên loh khawp an la a ni. 
2CH.20.26	A ni li ni chuan ‘Beraka’ ruamah an pung khâwm a, an tâna a thiltih zawng zawng avângin 
2CH.20.27	 chuan an hmêlmate a hnehsak tâk avâng chuan Jehosafata leh a hote chu hlim takin Jerusalem-ah an haw ta a. 
2CH.20.28	Jerusalem an thlen dâwn chuan ṭingṭang te, perhkhuang te leh tawtawrâwt ri te nên Tempul an pan a. 
2CH.20.29	 Pathianin Israel-te chu an hmêlmate a dosak tih an chhehvêl hnamte chuan an lo hriatin Pathian chu an hlau ta a. 
2CH.20.30	Jehosafata chu râlmuang takin a lal a, 
2CH.20.31	Kum sawmthum leh panga a nihin Jehosafata chu Judai ramah a lo lal a, Jerusalem-ah kum sawmhnih leh panga a lal a. A nu chu Azubai, Silhia fanu a ni. 
2CH.20.32	A pa Asa ang bawk khân 
2CH.20.33	Amaherawhchu, hnam dang pathian biakna hmunsâng a tichhe vek lo va, mipuite pawhin an thlahtute Pathian biak an la uar tehchiam hek lo.
2CH.20.34	Jehosafata thil tih dang zawng zawng, a lal tirh aṭanga a thih thleng thu chu Hanania fapa ‘Jehua chanchin’ tih bu-ah ziak vek a ni. Israel lalte chanchin ziakna bu zîngah a tel.
2CH.20.35	Chumi hnuah chuan Judai ram lal Jehosafata leh Israel lal Ahazia, thil dik lo ti ṭhîntu chu ṭhianah an insiam a. 
2CH.20.36	Ezion-geberah Tarsis khuaa kal tûr lawng rual an tuk a. 
2CH.20.37	Maresa khaw mi, Dodavahua fapa Eliezara chuan Jehosafata hnênah, “Israel lal Ahazia te i thurualpui avângin 
2CH.21.1	Jehosafata chu a thi a, Davida khawpuiah an phûm a, a fapa Jehorama chu a lo lal ta a.
2CH.21.2	Judai ram lal Jehosafata fapa Jehorama chuan nau paruk - Azaria te, Jehiela te, Zekaria te, Azaria te, Mikaela te, Sefatia te a nei a. 
2CH.21.3	An pa chuan rangkachakte leh ro hlu tam tâwk tak a pe ṭheuh va, Judai ram khawpui kulh nei, an enkawl tûr a ruatsak vek bawk a. Jehorama chu a fapa upa ber a nih avângin Jehosafata chuan a aiah a laltîr a. 
2CH.21.4	Jehorama chu a han lal ngheh chuan, a naute chu a thahtîr vek a. Israel zînga hotu ṭhenkhat pawh a thahtîr bawk a.
2CH.21.5	Kum sawmthum leh pahnih a nihin Jehorama chu a lal ṭan a, Jerusalem-ah kum riat a lal a. 
2CH.21.6	Israel lal Ahaba leh lal dang sual tak tak angin a awm ve a, Ahaba fanu pawh nupuiah a nei a ni. 
2CH.21.7	Mahse, 
2CH.21.8	Jehorama lal laiin Juda-ho lakah Edom-ho chu an hel a, lal an nei hrang ta a. 
2CH.21.9	Jehorama leh a hote chuan sakawr-tawlailîr nên Edom chu an va rûn a. Edom sipaite chuan an lo hual a; mahse, zân khaw thimah an pût ru thei hrâm a. 
2CH.21.10	Chuta chin chu Edom chuan Juda-ho hnuaia awm lovin tûn thlengin lal hran an nei ta reng a ni. Jehorama chuan, 
2CH.21.11	Judai ram tlângramah pathian dang biakna hmunsâng a siam thluah nghe nghe a. Judai ram leh Jerusalem mite chu 
2CH.21.12	Zâwlnei Eliza chuan lehkha a thawn a, “I thlahtu Davida Pathian, 
2CH.21.13	Israel lalte khawsak dân angin i khawsa zâwk hlauh va, Ahaban Israel mite pathian dang hnêna a uirepui ang khân nang pawhin Judai ram mi leh Jerusalem mite chu i uirepui a. Nang aia ṭha ṭha, i naute lah i that vek bawk a. 
2CH.21.14	Hemi avâng hian 
2CH.21.15	Nangmah ngei pawhin rîl natna benvawn na tak i tuar ang a, ni tin a zual tulh tulh ang,” tiin.
2CH.21.16	Filistia mi leh Arab mi ṭhenkhat, tuipui kama Ethiopia mi lo awmte bulah an awm a. 
2CH.21.17	Judai ram chu an han rûn ta a. Lal inte chu an rawk a, lal nupuite leh a fapate chu salah an man vek a. A fa tlum Ahazia erawh chu an man ve lo.
2CH.21.18	Chumi hnu chuan 
2CH.21.19	kum hnih dâwn lai chu a ni têlin a na tulh tulh a, a rîl a tla ta a, na tak tuarin lal chu a thi ta a. A pute thiha an tih angin a thih chuan a mite chuan amah sûn nân meipui an chhep ve lo.
2CH.21.20	Jehorama chu kum sawmthum leh pahnih a nihin a lal ṭan a, Jerusalem-ah kum riat a lal a, a thihin pawi an ti lo. Davida khawpuiah chuan an phûm a, lal thlânah erawh chuan an phûm lo.
2CH.22.1	Arab mi ṭhenkhatin Jehorama chu an rûn a, a fa tlum Ahazia tih loh a fapa dang zawng zawng chu an thahsak avângin Jerusalem mite chuan a pa aiawh tûrin Ahazia chu lalah an siam a. 
2CH.22.2	Ahazia chu kum sawmhnih leh pahnih mi a nihin a lal ṭan a, Jerusalem-ah kum khat a lal a. A nu chu Athali, Israel lal Ahaba fanu, Omria tunu a ni. 
2CH.22.3	Ani pawh a nu thurâwn ṭha lo tak a zawm ṭhîn avângin Ahaba chhûngte khawsak angin a khawsa ve ṭhîn a ni. 
2CH.22.4	 hmuha thil sual a ti ṭhîn. A pa thih hnu chuan Ahaba chhûngte zînga mi ṭhenkhat chu a thu lâkna ber an ni ta a, a chhiat phah ta nghe nghe a ni. 
2CH.22.5	An thurâwn angin Suria lal Hazaela do tûrin Israel lal Ahaba fapa Jorama a thurualpui a, Gilead biala Ramot khua an beih a, an inbeihnaah lal Jorama chu an hliam a. 
2CH.22.6	Ramoth-gilead-a Suria lal Hazaela a va beihnaa a hliam enkawl dam tûrin Jezreel-ah chuan a lo kîr a. Tichuan, Juda lal Jehorama fapa Ahazia chu Ahaba fapa Jorama dam lo tlawh tûrin Jezreel-ah a zu kal a.
2CH.22.7	Jorama a va tlawh chu Pathianin Ahazia chhiatna tûra a thil ruat a ni. An awm dun lai chuan mi pakhat Nimsia fapa Jehua a lo kal a; ani hi Ahaba chi timang tûra 
2CH.22.8	Jehua chuan Ahaba thlahte chunga kut a thlâk lai chuan Jorama dam lo en tûr Ahazia ho - Juda hotute leh Ahazia laichînte chu Jehua chuan a hmu a, a that ve ta vek a. 
2CH.22.9	Ahazia chu a han zawng a, Samaria khuaah a lo biru a, Jehua hnênah an hruai a, a lo that ta a. Theihtâwp chhuaha 
2CH.22.9	Ahazia chhûng zînga mi lal tûr rêng an awm ta lo.
2CH.22.10	A nu Athali chuan Ahazia tualthih thu a hriat veleh Judai lal chhûngte zawng zawng a thahtîr a. 
2CH.22.11	Ahazia khân farnu Jehosebi a nei a, puithiam Jehoiada chu pasalah a nei a. Ahazia fapa pakhat, Joasa chu, a rûkin a hum a, lal fa dang, tualthi mai tûrte zîng ata chu a la chhuak a, Tempula mutna pindan pakhatah a thukru a, a enkawl ta a. A thuhrûk tlat avângin Athali chuan a that ve lo. 
2CH.22.12	Chutah chuan kum ruk a thukru a, Athali chu lalah a ṭang ta a.
2CH.23.1	A kum sarihnaah chuan puithiam Jehoiada leh sipai za hotu pangate chu an inrâwn ngam ta a. Chûng mite chu Jehorama fapa Azaria te, Jehohanana fapa Ismaela te, Obeda fapa Azaria te, Adaia fapa Maaseia te, Zikria fapa Elisafata te an ni. 
2CH.23.2	Judai ram an fang kual a, Levia chite leh hnam hruaitute chu Jerusalem-ah an hruai khâwm a.
2CH.23.3	Tempulah chuan an kal khâwm a, Joasa, lal fapa nên chuan thu an intiam a. Jehoiada chuan an hnênah, “
