MAT.1.1	Jijajiji palka-jarrija Tapiti-kirlangu-ngurlu manu Yipuruyamu-kurlangu-ngurlu turnu-warnu-ngurlu. 
JHN.13.22	Kulalpalu kurdungurlu-paturlu milya-pungu kujalpa Jijaji ngana-kurlu nganta wangkaja. Ngarilpalu-nyanu nyangu-mipa. 
JHN.13.23	Ngajujulparna nyinaja kutu Jijaji-wana. (Ngajukuju warrarda yulkaja.) 
JHN.13.24	Piitaju rdakardaka wangkaja ngajuku, “Payika Jijaji ngana-kurlu-ka wangka.”
JHN.13.25	Ngularna payurnu Jijajiji, “Warlalja-Wiri, ngana nyanunguju wati ngula kapungku jangkardu karlirr-nyina?”
JHN.13.26	Jijajirliji yalu-manu, “Kajirna mangarri julyurl-yirrarni jupujupurla, ngula-jangka kapurnarla yinyi jinta-kariki kuja-ka nyina ngalipa-kurlu. Nyanungunya kapuju jangkardu karlirr-nyina.” Ngula Jijajirli mangarri julyurl-yirrarnu jupujupurla, yungurla Jutujuku yangka Jimani Yikariya-wardingki-kirlangu kaja-nyanuku. 
JHN.13.27+JHN.13.28+JHN.13.29+JHN.13.30	Ngula Jutujurlu mangarri yinya manu, Juju Ngawurla kapanku kurru-yukaja. Ngularla Jijaji wangkaja, “Kapankurlu lawa-manta warrki nyuntu-nyangu!” Junga-juku, Jutuju mangarri wita maninjarla yanu kapanku. Munga-nyayirnilpa karrija.
JHN.13.27+JHN.13.28+JHN.13.29+JHN.13.30	Kulalu panu-karirli kurdungurlurlu milya-pungu nyarrpa kujalparla Jijaji wangkaja Jutujuku tala-kurluju. Jutujurlu kala-jana yakuju tala-kurlu warrawarra-kangu kurdungurlu-kurlangu. Kuja-jangkarlunyalpalu manngu-nyangu, “Yuwa, marda Jijajirliji Jutujuju yilyaja miyi payi-maninjaku Purlapa Wirikingarnti Pajapakungarnti? Marda yilyaja yungu-jana tala yinyi tala-wangu-patuku?”
JHN.13.31	Ngula Jutujurlu ngurra yinya yampinjarla yanu, Jijaji-jana wangkaja kurdungurlu-patuku, “Yungkaparrirli, yapangku kapulu milya-pinyi Kaatu-kurlangu Yapa-nyayirni-wangu kuja-ka yartarnarri wiri-kirli nyina. Kuja-jangkanya kapulu yapangkuju milya-pinyi Kaaturlanguju yartarnarri wiri-kirli. 
JHN.13.32	Yuwayi, junga kujaju. Ngajujurna Kaatu-kurlangu Yapa-nyayirni-wangu. Kaaturlu kapu-nyanu milki-yirrarni yapa panu-kurra yartarnarri wiri-kirli. Ngula-piyarlu-yijala kapu-jana ngajurlangu milki-yirrarni yartarnarri wiri-kirli, kapu-jana kujarlu milki-yirrarni yungkaparrirli. Yapa-nyayirni-wanguku kapulurlajinta pulka-pinyi. Kujarlanya kapulurla Kaaturlanguku pulka-pinyi. Kaaturlu kapurla pulka-pinyi yinyaku Yapa-nyayirni-wanguku. Yuwayi, kapurla pulka-pinyi yungkaparrirli.
JHN.13.33	“Ngaju-nyangu-patu warlalja, ngari karna-nyarra witaku-mipa jirrnganja nyina. Ngula-jangka kapunkujulurla warrirni, kulankujulu palka-mani. Manngu-nyanyi mayi kankulu nyarrpa kujarna-jana kamparru-wiyi wangkaja wiriwiriki. Wangkajarna-jana, ‘Yani karna ngurra-kari-kirra. Kulalpankujulu purayarla, lawa.’ Kujanyarna-jana wangkaja. Jalangu karna-nyarra yarda yimi-ngarrirni yimi jurrku-juku: Yani karna jinta-kari ngurra-kari-kirra. Kulalpankujulu purayarla ngaju-kurlu yaninjaku, lawa. 
JHN.13.34	Ngulaju ngula-juku. Kuruwarri karna-nyarra yinyi jinta-kari: Yulkayalu-nyanu! Ngajurna-nyarra yulkaja. Kuja-piya-yijalalu-nyanu yulkaya! 
JHN.13.35	Kajinkili-nyanu yulka, ngulaju kapulu-nyarra yapa ngalya-karirli nyanyi. Kuja-jangkanya kapulu milya-pinyi nyurrurlaju ngaju-nyangu kurdungurlu-patu.”
JHN.13.36	Jimani Piitarlu payurnu Jijaji, “Warlalja-Wiri, nyarrpara-kurra kanpa yani?”
JHN.13.36	Jijajirli yalu-manu, “Yani karna ngurra-kari-kirra. Kulalpanpaju purayarla jalangurluju, ngaka-mipa.”
JHN.13.37	Piitarlu Jijaji payurnu, “Warlalja-Wiri, nyiya-jangka kulalparnangku purayarla? Kajilpangkulu yapa ngalya-karirli murrumurru-mantarla, kapurnangku muurl-mardarni. Kajijili pinyi, ngulaju ngula-juku. Ngajurna lani-wangu!”
JHN.13.38	Ngula-jangka, Jijajirla wangkaja Piitaku, “Junga mayi kapunpa palimi ngajuku muurl-mardarninjaku? Wangkami karnangku junga: Ngaka kapunpa purda-nyanyi jukujuku kaji purlami. Ngula-wangurla-wiyi kapunpa-nyanu ngurrpa-pajirni marnkurrpaku ngajukuju yapa ngalya-kari-kirra kula kanpaju nganta milya-pinyi.”
JHN.14.1	Ngula-jangka, Jijaji-jana wangkaja nyanungu-nyangu-patuku kurdungurlu-patuku, “Kulalu lani-jarriya nyiyarningkijarraku! Kaatukulurla wala nyinaya! Walajulu nyinaya ngajurlanguku! 
JHN.14.2	Yalirlaju panu-nyayirni ngurraju nyinanjakuju ngajukupalangu-kurlangurlaju Wapirra-kurlangurlaju. Kaji karriyarla ngurra-wangu lawa yapaku yalirlaku nyinanjaku, kapurna-nyarra nyurru-juku yimi-ngarrikarla nyurrurlakuju. Kala kujaju junga, yalirlaju ngurra panu-nyayirni! Wangkami karna-nyarra nyurrurlaku, yani kapurna yali-kirra jungarni-maninjaku ngurraku nyurrurlaku nyinanjaku. 
JHN.14.3	Ngula-jangka kajirna kulpari yanirni nyampu-kurra maninjaku nyurrurlaku, ngula yungunkulu nyinami yalirla ngaju-wana. 
JHN.14.4	Nyurrurlarluju kankulu milya-pinyilki yirdiyiji yali-kirra ngurra-kurra kajirna ngaju ngaka yani.”
JHN.14.5	Ngula-jangka, Tamijijirla wangkaja Jijajiki, “Warlaja Wiri, kula karnalu milya-pinyi ngurra nyarrpara-kurra kajinpa nyuntu ngaka yani. Nyarrparlulparnalu nganimparlu milya-pungkarla yirdiyiji kuja-ka ngunamirra yali-kirra ngurra-kurraju?”
JHN.14.6	Jijaji wangkajarla Tamijiki, “Ngajujurna yangka jinta-juku Yirdiyi-nyayirni-wangu kuja-ka ngunamirra ngajukupalangu-kurlangu-kurra ngurra-kurra. Ngajujurna yangka jinta-juku Yijardunju kuja karna-jana warrarda yimi-ngarrirni Kaatu-kurlu jaru yapaku. Ngajujurna yangka jinta-juku Wankaru Yinja-panu kuja karna-jana ngurrju-mani pina yapa wankaru-kurra nyurnu milyi-jangka. Kulalpa ngana-puka yantarla ngurra ngajukupalangu-kurlangu-kurra ngaju-wangu. Ngaju-miparlu karna milya-pinyi nyarrparlu yapaju yinya-kurrakuju kanjakuju.”
JHN.14.7	Ngula-jangka, wangkaja-jana Jijaji nyanungu-nyangu-patuku kurdungurlu-patuku, “Kajilpankujulu nyurrurlarluju milya-pungkarla, ngulaju kajikankulu milya-pinyilki ngajukupalangurlangu. Junga-juku kankulu nyurru-juku nyurrurlarluju nyanunguju milya-pinyilki nyanja-warnurlu-yijala.”
JHN.14.8	Ngula-jangka, Pilipirla wangkaja Jijajiki, “Warlalja-Wiri, milki-yirraka-nganpa nyuntukupalangu Wapirra nganimpaku yungurnalu nyinami wardinyilki. Kularnangkulu kujaku yarda payirni.”
JHN.14.9	Ngula-jangka, Jijaji wangkajarla Pilipiki, “Palka-jukurna-nyarra jirrnganja wapaja warrarda. Nyiya-jangkarlu kanpaju kanginy-pinyi-juku? Nganangku-puka kajiji nyanyi ngaju, ngulangkuju-ka nyanyi ngajukupalangu Wapirrarlangu. Pilipi, nyiya-jangkarlunpaju payurnu yungurna-nyarra milki-yirrarni ngajukupalangu Wapirra nyurrurlaku? 
JHN.14.10	Pilipi, ngungkurr-nyinanja-wangu mayi kanpaju nyina kuja karna nyina ngajukupalangurla kuja-ka nyina ngajurlangurla?”
JHN.14.10	Ngula-jangka, Jijaji wangkaja-jana nyanungu-nyanguku kurdungurlu-patuku, “Jaru kuja karna-nyarra wangka nyurrurlaku, ngulaju kula ngaju-nyangu warlalja. Ngularraju jaruju ngajukupalangu-kurlangu. Nyanunguju-ka ngajulurla nyinami, manu-ka warrki nyanungu-nyangu lawa-mani. 
JHN.14.11	Nyurrurla, ngungkurr-nyinayajulu wangkanja-kurraku kajirna-nyarra wangkami ngaju karna nyinami ngajukupalangurla, manu ngajukupalangu kuja-ka nyinami ngajulurla. Kajinkili nyinami ngungkurr-nyinanja-wangu jaruku kuja karna-nyarra yimi-ngarrirni nyurrurlaku, ngula-jangkajulurla marlaja ngungkurr-nyinaya warrki-mipaku ngaju-nyanguku kuja karnarla jirrnganja warrki-jarrimi Kaatuku.
JHN.14.12	“Wangkami karna-nyarra nyurrurlaku yijardurlu: Kajinkijili wala-juku nyina ngajuku, kapunkulu nyurrurlaju warrki-jarrimi ngaju-piya-nyayirni. Kula nyampurla-mipa ngurrangka kujalparna ngaju warrki-jarrija, lawa. Kajirna pina-yani ngajukupalangu-kurra, ngula-jangka kapunkulu ngaju-piya warrki-jarrimi nguru-kari nguru-karirla wurnturu. 
JHN.14.13	Kajinkijili nyurrurlarlu payirni nyiyarlanguku wala nyinanja-karrarlu, kapurna-nyarra yimirirli purda-nyanjarla yinyi. Ngula-jangkarlu yungurna-jana milki-yirrarni yapaku Wapirra ngajukupalanguju ngulaju yartarnarri wiri-kirli. 
JHN.14.14	Wala nyinanja-karrarlu kajilpankujulu nyurrurlarlu payikarla ngaju nyiyarlanguku, kapurna-nyarra yinyi.”
JHN.14.15	Ngula-jangka, Jijaji-jana wangkaja nyanungu-nyangu-patuku kurdungurlu-patuku, “Kajilpankujulu nyurrurla yulkayarla ngajuku, ngulangkuju kajikankulu purami kuruwarri nyarrparlangu kuja karna-nyarra wangka. 
JHN.14.16	Kapurna-nyarrarla payirni ngajukupalangu nyurrurlarlanguku ngula yungu yilyamirni Rdarrkanpa jinta-kari. Rdarrkanpa yalumpu kapu nyina nyurrurlarla tarnnga-juku. 
JHN.14.17	Nyampu Rdarrkanpaju Pirlirrpa ngulangku kuja kajana yimi-ngarrirni yapaku junga-nyayirni kuruwarri Kaatu-kurlu. Yapa ngana kuja kaju nyina ngajuku ngungkurr-nyinanja-wangu, ngulangkuju kula-ka nyarrparlu nyanyi nyanunguju, manu kula-ka nyarrparlu nyanunguju milya-pinyi. Kujarlaju kulalpa nyarrparlu mantarla Pirlirrpa yali. Kala nyurrurlarlu kankulu milya-pinyi nyanunguju, manu kulalpa-nyarra nyarrparlu yampiyarla? Nyanunguju kapu tarnnga-juku nyina nyurrurla-wana.
JHN.14.18	“Kajirna ngaju kulpari yani ngajukupalangu-kurlangu-kurra ngurra-kurra, kularna-nyarra yangarlu yampimi nyurrurla. Kapurna pina-yanirni nyurrurlaku. 
JHN.14.19	Jalangu-nyayirnirli, panu-karirli yapangku nyampurlarlu ngurrangkarlu, kulajulu ngajuju yarda nyanyilki. Kala nyurrurlarlu kapunkujulu yarda nyanyi ngaka wankaru-juku. Kapunkujulu marlaja nyina wankaru-yijala ngajukuju. 
JHN.14.20	Ngakaju, nyurrurlarlu kapunkulu milya-pinyi kuja karna nyinami ngajukupalangurla. Manu kapunkulu milya-pinyi-yijala kuja karna nyina nyurrurlarla manu yangka kuja kankulu nyina ngajurlangurla. 
JHN.14.21	Ngana-puka yapa kajiji yulkami ngajuku, ngulangkuju kapu purami kuruwarri nyarrparlangu kajirnarla yinyi nyanunguku. Ngajukupalanguju kapurla yulkami nyanungukuju, manu kapurnarla yulkami-yijala nyanungukuju, manu ngaju kapurnaju milki-yirrarni nyanungu-kurra yunguju yijardu-nyayirni milya-pinyi.”
JHN.14.22	Ngula-jangka, Jutujurlu payurnu Jijaji (kula Jutuju Yikariya-wardingkirli, jinta-karirli Jutujurlu), wangkajarla, “Warlalja-Wiri, nyarrparlu ngantanpa-nyanu milki-yirrarni nganimpa-mipa-kurraju, kala ngalya-kari-kirra nganta kulanpa-nyanu milki-yirrarni nganta?”
JHN.14.23	Jijaji wangkajarla Jutujuku, “Ngana-puka kajiji yulkami ngajuku, kapu yalumpurlu yapangku linpangku purda-nyanyi jaru ngaju-nyangu kajirnarla wangkami nyanunguku. Ngajukupalanguju kapurla yapaku yalumpuku yulkami. Ngajarra kapurlijarrarla yanirni nyanunguku, manu kapurlijarra nyinami nyanungurla. 
JHN.14.24	Kala nganarlangu-puka kajiji jurnta nyina ngajuku yulkanja-wangu, yalumpurlu yapangku kulaju purda-nyanyi jaru ngaju-nyangu kajirnarla wangkami nyanunguku. Nyurrurlarlunkujulu nyurru purda-nyangu wangkanja-kurra jaru-kurra nyurrurla-kurra. Jaru yalumpu kula ngaju-nyangu warlalja, nyampu jaruju ngajukupalangu-kurlangu. Nyanungurlu kujaju nyampu-kurra yilyajarni, ngulangkuju yungu jaruju ngajukuju.”
JHN.14.25	Ngula-jangka, Jijaji wangkaja-jana kurdungurlu-patuku nyanungu-nyangu-patuku, “Ngajurna-nyarra nyurru nyurrurlaku yimi-ngarrurnu panu nyampurra nyiyarningkijarra murnma-juku kuja karna nyinami walyangka nyampurla-juku nyurrurla-kurlu. 
JHN.14.26	Ngaka kajirna pina-yani ngajukupalangu-kurlangu-kurra ngurra-kurra, nyanungurlu kapu yilyamirni Pirlirrpa nyanungu-nyangu yunguju marlaja kanyi warrki ngaju-nyangu. Ngula Pirlirrpa Kaatu-kurlanguju jurrku-juku Rdarrkanpaju kujarna-nyarra yimi-ngarrurnu nyurrurlaku kamparrurlu-wiyi. Nyanungurlu kapu-nyarra pinarri-mani nyiyarningkijarra nyurrurlakuju, kapu-nyarra wangkami yimi jurrku-juku yangka kujarna-nyarra ngajulurlu-wiyi yimi-ngarrurnu nyampurla walyangka kujalparna-nyarra palka-wiyi-juku jirrnganja nyinaja.
JHN.14.27	“Yungurna-nyarra rarralypa-mani yungunkujulu rarralypalku marlaja nyina ngajuku. Kulalpa-nyarra nganangku kujarlu rarralypa-mantarla ngaju-piyarlu, lawa. Wajampa-wangulu nyinaya! Lani-wangulu nyinaya! 
JHN.14.28	Yangka kujarna-nyarra wangkaja kapurna-nyarra nyurrurlaku jurnta yani manu ngula-jangka kapurna pina-yanirni nyurrurla-kurra, ngulaju nyurrurlarlunkujulu nyurru kamparrurlu purda-nyangu. Ngajukupalangu Wapirraju, ngulaju kaju wiri-juku nyina ngajukuju parrparda-juku. Kujarlaju, kajilpankujulu yijardu-nyayirni yulkayarla ngajuku, nyurrurlaju kajikankujulu wardinyi-jarrimi ngajukuju pina-yaninjakuju Wapirra-kurlangu-kurrakuju. 
JHN.14.29	Nyampunya karna-nyarra wangkami nyurrurlaku pina-yaninjakungarnti ngajukupalangu-kurlangu-kurrakungarntiji yungunkujulu wala nyina ngaka kajirna nyinami ngajukupalangu-kurlu. 
JHN.14.30	Juju Ngawu kapu yanirni nyampu-kurra. Nyanunguju jalanguju wiri yapaku panuku nyampurla walyangka. Kujarlaju kularna-nyarra japaku-kari wangkami nyurrurlaku. Kula nyanunguju wiri ngajuku, lawa. 
JHN.14.31	Kapurna linpangku purda-nyanyi ngajukupalangu kajiji wangkami nyiyarlanguku yungujulu yapangku jintawarlayirli nyampurlarlu walyangkarlu milya-pinyi ngaju kuja karnarla yulkami.”
JHN.14.31	Ngula-jangka, Jijaji-jana wangkaja nyanungu-nyanguku kurdungurlu-patuku, “Ngula-juku, yanilkirlipa ngurra nyampu-ngurlu!”
JHN.15.1	Ngula-jangka Jijaji-jana wangkaja nyanungu-nyanguku kurdungurlu-patuku, “Ngajujurna Ngarna-nyayirni-wangu Kaatu-kurlangu. Ngajukupalanguju, ngulaju kaatinikingarduyu-piya ngula kangalpa warrawarra-kanyi yapa-patu ngaju-nyangu-patu manu ngajurlangu. 
JHN.15.2	Yapangku kuja kajulu ngaju purami, parrka-piya kalu pardimi ngarna-jangka. Ngula-piyanya kajulu yapaju ngaju-nyanguju wungu-warnuju ngajukuju nyinami. Kajilirla yapa-patu ngaju-nyangu-patu warrki-jarrimi ngurrju-wangu Kaatuku, ngula-jangkaju kapu-nyanu jurnta kijirni kaatinikingarduyu-piyarlu kuja kajana jurnta pajirni muku parrka ngarna-jangka.
JHN.15.3	Ngajujurna-nyarra nyurru-juku panu yimi nyurrurlakuju wangkaja, manunkulu yirriyirrirli purda-nyangu. Ngulakuju Kaaturluju-nyarra nyurru-juku kirlka-pajurnu. 
JHN.15.4	Jurnta yaninja-wangujulu nyinaka! Kularna-nyarra jurnta yani nyurrurlaku. Kulalpa parrka-watirlaju ngakurruju pardiyarla kajilpa pajirninja-warnu ngunanja-yantarla walyangka ngarna-jangka. Pardinjakungarnti ngakurrukungarnti kulalpankulurla jurnta pajikarla parrka-wati ngarna-jangka. Kuja-piya-yijala nyurrurlaju. Kajilpankujulu nyurrurla jurnta yantarla ngajuku, kulalpankulurla ngurrju warrki-jarriyarla Kaatuku yangarlu. Nyurrurlajulu nyinaka jintangka-juku ngajulurla Kaatuku wardinyi-maninjaku.”
JHN.15.5	Ngula-jangka, Jijaji-jana yarda wangkaja nyanungu-nyangu-patuku, “Ngajuju Ngarna-nyayirni-wangu Kaatu-kurlangu. Nyurrurlaju warrkini ngajuku, parrka-piya kuja-ka pardimi ngarna-ngurlu. Kajilparlijarra ngaju manu yapa jinta-kari ngana-puka nyinayarla jintangka, kajikarla yali yapa ngurrju warrki-jarri Kaatuku. Kala kajilpaju yali yapa jurnta yantarla ngajuku, kulalparla ngurrju warrki-jarriyarla Kaatukuju, lawa. 
JHN.15.6	Kajilpaju yapa ngajuku jurnta yantarla, ngulaju parrka-piya kuja-ka pajirninjarla kijirni manu kuja-ka palimi linji-jarrinjarla. Yapangku kalu mani parrka-wati linji, kijirni kalu warlu-kurra manu-ka muku jankami. 
JHN.15.7	Junga-juku, nyinakalu ngaju-kurlu-juku, manulu puraya kuruwarri kujarna-nyarra pinarri-manu nyurrurla. Kajinkili nyurrurlarlu kuruwarri ngaju-nyangu purami, ngula-jangkarluju kajikankulu payirni Kaatu nyiyarningkijarrarlanguku, ngulaju kapu-nyarra Kaaturluju nyurrurlakuju yinyilki. 
JHN.15.8	Kajinkilirla nyurrurla ngurrju warrki-jarrimi Kaatuku, yapangkuju kapulu-nyarra nyanyi nyurrurla warrki-jarrinja-kurra. Kapulu-nyarra milya-pinyi nyurrurlaju yijardu-nyayirni ngaju-nyangu-patu kurdungurlu-patu, manu kapulu Kaatuju milya-pinyi yartarnarri wiri-kirli. 
JHN.15.9	Ngajukupalanguju kaju yulkami ngajukuju, manu ngula-piya-yijala karna-nyarra ngajuju yulkami nyurrurlakuju. Kujarlaju, jurnta yaninja-wangujulu nyinaya ngajuku yungurna-nyarra yulkami tarnnga-juku. 
JHN.15.10	Ngajulurlulparna tarnngangku-juku linpangku purda-nyangu ngajukupalangu nyarrpa-puka kujaju wangkaja ngajuku. Kujarlaju kaju yulkami ngajukuju, manu kularnarla warntarla jurnta yani nyanungukuju. Kuja-piya-yijala karna-nyarra yulkami junga-nyayirni nyurrurlakuju. Kajinkijili nyurrurlarlu linpangku purda-nyanyi ngaju, kulankujulu jurnta yani, lawa. Kujarlaju kapurna-nyarra yulkami tarnnga-juku.
JHN.15.11	“Ngajurna-nyarra yimi-ngarrurnu nyampurra nyiyarningkijarra nyurrurlaku yungunkulu wardinyi-jarrimi-nyayirni ngaju-piya. Ngampurrpa karna-nyarra nyinami nyurrurlaku yungunkulurla tarnnga-juku wardinyi-jarrimi-nyayirni marlaja Kaatuku ngaju-piya. 
JHN.15.12	Nyampuju ngaju-nyangu kuruwarri nyurrurlaku: Yulkayalu-nyanu ngaju-piya kujalparna-nyarra yulkaja nyurrurlaku. 
JHN.15.13	Kajilpa-jana yapa paliyarla nyanungu-nyangu-patuku yipilji-patuku, kujarluju kajana milki-yirrarni nyanungu-patuku kujaju nganta-jana yulkaja karrikarri-wangu-nyayirni. 
JHN.15.14	Kajinkijili nyurrurlarlu tarnngangku purda-nyanyi linpangku ngaju, ngulaju kankujulu yipiljilki ngajukuju nyinami. 
JHN.15.15	Kamparrurluju kularna-nyarra milki-yirrarnu nyarrpa ngulalpa Kaaturlu manngu-nyangu. Kujarlaju, kalarna-nyarra ngarrurnu nyurrurlaju ‘ngaju-nyangu-patu warrkini-patu’. Kala jalanguju, lawalku. Warrkinirli nganangku-puka kula-ka milya-pinyi kuja-ka nyanungu-nyangurlu paajurlu nyarrparlangu manngu-nyanyi nginyinginyirla. Kala ngularrarna-nyarra ngajulurlu nyurru-juku yimi-ngarrurnu nyurrurlaku nyiyarningkijarra kujaju yangka ngajukupalangu wangkaja ngajuku. Kujarlaju, jalangurlu karna-nyarra ngarrirnilki nyurrurlaju ‘ngaju-nyangu yipilji-patu’. 
JHN.15.16	Kulankujulu nyurrurlarlu ngaju milarnu. Ngajurna-nyarra milarnu nyurrurlaju, manurna-nyarra yungu warrki ngula yungunkulurla tarnnga-juku warrki-jarrimi Kaatuku, manu yungunkulu wardinyi-mani. Warrki-jarriyalurla Kaatuku tarnnga-juku! Kajilpankulurla wangkayarla Kaatuku nyiyarningkijarraku, ngulaju wala nyinanja-kurraku kapu-nyarra purda-nyanjarla yinyi. 
JHN.15.17	Nyurrurlaku karna-nyarra yarda wangkami-yijala, nyampuju kuruwarri ngaju-nyangu nyurrurlaku: Yulkayalu-nyanu!”
JHN.15.18	Ngula-jangka, Jijaji-jana yarda-yijala wangkaja nyanungu-nyangu-patuku kurdungurlu-patuku, “Ngalya-kari yapa-patu nyampurla walyangka kapulu-nyarra nyurrurlakuju nyurunyuru-jarrimi, yapa-patu kuja kalurla nyinami Juju Ngawuku. Kala manngu-nyangkalu nyampu: Yalumpu-patu yangka-patu yapa-patujulpajulu ngajurlangukuju kamparruju nyurunyuru-jarrija. 
JHN.15.19	Kajilpankulurla nyurrurlarlangu nyinakarla Juju Ngawuku, ngula-jangka yalumpurrarlu yapangku kajikalu-nyarra nyurrurlaju rdakurl-kijirni, manu kajikalu-nyarra nyurrurlaju warlalja-pajirni. Kala nyanungu-paturluju kapulu-nyarra nyurrurlakuju nyurunyuru-jarrimi kujarna-nyarra nyurrurla milarnu, manu kujarna-jana jurnta kangu nyurrurla. Nyurrurlaju kula kankulu nyinami nyanungurra-nyangurla turnu-warnurla. Ngula-jangka kalu-nyarra nyurunyuru-jarrimi nyurrurlakuju. 
JHN.15.20	Manngu-nyangkajulu nyampu yangka kujarna-nyarra ngaju kamparru nyurrurlaku wangkaja: Ngana-puka kuja-ka warrki-jarri, ngulaju kularla parrparda-juku nyanungu-nyangukuju paajuku, lawa.
JHN.15.21	Nyurrurlajunkujulu ngajukuju. Kujarlaju yalumpurlu yapangku yangkangku kapulu-nyarra kulukukuluku-mani nyurrurla ngaju-piya. Kula kalu yijardurlu milya-pinyi Kaatu, ngulangku kujaju ngaju yilyajarni nyampu-kurra. Kujarlangurlanya kapulu-nyarra kulukukuluku-mani. 
JHN.15.22	Kajirna nyampu-kurra yaninjarni-wangu nyinayarla kankarlarra, manu kajirna-jana yimi-ngarrirninja-wangu jurnta nyinakarla yapaku yalumpurraku majumajuku, ngulaju kapu-jana Kaaturlu yampiyarla warntarla-pajirninja-wangurlu. Kari-ngantarna-jana yaninjarla wangkaja Kaatu-kurlu nyanungu-patukuju, yani-jiki kalu tarnnga-juku warntarla-juku. Kujarlaju, majumajuju kulalpalu-nyanu nyarrpalku jaarl-wangkayarla Kaatu-kujaku warntarla-wangu nganta. 
JHN.15.23	Yapa kuja kaju ngajuku nyurunyuru-jarrimi, ngulaju karla ngajukupalanguku nyurunyuru-jarrimi. 
JHN.15.24	Ngajulu kalarna warrki-jarrija yapa ngalya-kari-piya-wangu Kaatu-kurlangu-kurlu yartarnarri-kirli yapangka milparniwarrarla. Kala kuja-piya-wangu kajirna nyinayarla warrki-jarrinja-wangu, ngulaju kapu-jana Kaaturlu yampiyarla warntarla-pajirninja-wangurlu. Kala yalumpurlu yapangku kujajulu nyangu warrki-jarrinja-kurra, nyurunyuru-jarrimi-jiki kajulu manu ngajukupalangurlangukuju. 
JHN.15.25	Nyanungurra-nyangu kuruwarri-ka wangka nyampurra maju-kari maju-kari kapuju rdipimi ngajuku. Nyanungurra-nyangu warlalja kuruwarri-ka wangkami kuja, ‘Nyurunyuru-jarrijajulu nyiya-jangkaku mayi.’ ”
JHN.15.26	Ngula-jangka, Jijaji-jana wangkaja nyanungu-nyangu-patuku kurdungurlu-patuku, “Ngaju kapurna-nyarra nyurrurlaku yilyamirni Rdarrkanpa ngajukupalangu-kurlangu. Nyanunguju yangka Pirlirrpa Junga-nyayirni kuja-ka yanirni ngajukupalangu-jangka. Kaji yanirni, kapu-nyarra jirrnganja nyinanjarla yimi-ngarrirni ngaju-kurlu. 
JHN.15.27	Nyurrurlajulpankujulu jirrnganja nyinaja tarnnga. Kujarlaju yungulpankulu-jana yimi-ngarrikarla yapaku ngaju-kurluju.”
JHN.16.1	Ngula-jangka, Jijaji-jana wangkaja kurdungurlu-patuku, “Yimi-ngarrurnurna-nyarra nyiyarningkijarra yangka ngaka yungunkulu kapurunju-wangu nyina manu ngajuku karlirr-nyinanja-wangu nyina. 
JHN.16.2	Ngaka kapulu-nyarra Juwu-paturlu yilya jaaji-ngirliji, kapulu-nyarra warla-pajirni nyanungurraku jinta-jarrinja-wanguku. Junga, ngaka kajili-nyarra pinyi tarnnga-kurra, kapulu-nyanu wantarla manngu-nyangu kujarlu, ‘Kajirlipa-jana nyampurra pinyi tarnnga-kurra, ngulaju kapu-ngalpa Kaatuju wardinyi-jarrimi.’ 
JHN.16.3	Yapa yali-paturlu kula kalu ngajukupalangu Kirdana milya-pinyi, manu kula kajulu ngaju milya-pinyi. Kujarlanya kapulu-nyarra pinyi. 
JHN.16.4	Pututu-pinyi karna-nyarra nyampurra-kurlu yapa-kurlu, ngula yangka ngaka kajili-nyarra murrumurru-mani, kapunkulu manngu-nyangu ngaju-nyangu yimi.”
JHN.16.4	Ngula-jangka, Jijaji-jana wangkaja kurdungurlu-patuku, “Nyurru-wiyi, kujarna-nyarra milarnu, ngajulparna palka warrarda nyinaja nyurrurla-kurlu. Kuja-jangkanya kularna-nyarra wangkaja yangka yapa-patu-kurlu yangka ngaka kapulu-nyarra murrumurru-mani. 
JHN.16.5	Ngaka-pardu-kari kapurna pina-yanilki ngajukupalangu-kurra kujaju nyampu-kurra yilyajarni. Kulajulu nganangku payurnu nyarrpara-kurra kuja karna yani. 
JHN.16.6	Yimi-ngarrurnurna-nyarra nyiyarningkijarra nyampurra jalangurlu. Kujarlanya kankulu wajampaju nyina. 
JHN.16.7	Junga karna-nyarra wangka. Kajirna pina-yani Kirdana-kurlangu-kurra, ngakaju kapurna jinta-kari Rdarrkanpa pina-yilyamirni nyurrurla-kurra. Ngana Rdarrkanpaju? Ngulaju yangka Pirlirrpa Kaatu-kurlangu. Kajilparna yaninja-wangu nyinakarla nyampurla-juku nyurrurla-kurlu, ngulaju kujaju maju. Kajilparna nyinayarla nyampurla-juku, kulalpa Rdarrkanpa yantarlarni nyurrurla-kurraju.
JHN.16.8	“Kaji Rdarrkanpa yanirni nyampu-kurra walya-kurra, kapu-jana yapakuju wangkami kuja kalu warntarla manngu-nyangu. Ngurrju nganta kalu-nyanu ngarrirni, kala Rdarrkanparlu kapu-jana punku-pajirni. Manngu-nyanyi kajulu ngaju nganta warntarla, kala Rdarrkanparlu kapu-jana wangkami kuja kaju Kaaturlu jungarni-pajirni. Yapa yali-paturlu kalu manngu-nyanyi Kaaturlu nganta kapu-jana yampimi, kula-jana marda miimii-nyanyi nganta. Kala Rdarrkanpa kapu-jana wangkami Kaaturlu kapu-jana miimii-nyanjarla murrumurru-mani kajili warntarla-juku manngu-nyangu. 
