GEN.1.1	Puꞌun-puꞌun it langit baw banwa, giyuna it Ampuꞌang Diyus. 
JHN.6.25	Naparagan nira si Jesus duꞌun it sang dipag it lapnaw ngayti. Pagkaparag nira, iningkut nira nga magꞌaat, “Manigtulduꞌ, kaꞌnuy pagꞌabut mu situ?”
JHN.6.26	Pagtubag ni Jesus, maat ya, “Matuud tuy iꞌaat ku ngaytut imyu, nga pagtulusun mi aku, ega sabap duꞌun it naltegan mi ngayti nga mga tandaꞌanan nga kalililuꞌan, in daꞌga sabap it nakakaꞌen kamu baw namagkaꞌgen. 
JHN.6.27	Kaꞌilangan paꞌres kamu, ega sabap duꞌun it pangaꞌen nga magranggaꞌ, in daꞌga yay paꞌresan mi, pangaꞌen nga ega magranggaꞌ baw magkabgay it kaꞌgenan nga egay kaskedan. Ibgay tu it imyu it kanya nga Taga Langit nga Ipiyanganak it Taw, sabap kanya i binggayan it Diyus Amaꞌ it pudir.”
JHN.6.28	Pagkagneg it kadakel ngayti, miningkut sira. Maat nira, “Ta unu bayan i magayen nga paꞌresan namen nga buwaten, isaꞌun nga masunud namen i kaꞌirgan it Ampuꞌang Diyus?”
JHN.6.29	“Ta itu bay ipagpabwat it Ampuꞌang Diyus, kaꞌilangan nga mamayaꞌ kamu it tiyaꞌeg ya nga paꞌasitu,” maat i tubag ni Jesus it kanira.
JHN.6.30	Maat siꞌ it mga taw ngayti, “Ay unuy makapaliꞌwan mu nga tandaꞌanan nga kalililuꞌang bagay isaꞌun makapamayaꞌ kami it imu? Ta unu yan i mabwat mu nga subraꞌ paꞌ it pagpakaꞌnen i katataawan? 
JHN.6.31	Sabap si Moises, nabwat ya gasiꞌ i atkayan, iyan pagpanguꞌnaan yay mga kagiyaringanan tami duꞌun it rugar nga kapupuyangtan, ka may nakaꞌen nira nga pagpangaranat manna. Ka maat i duꞌun it kasuratan, nga magsusurat, ‘Pangaꞌen nga garing duꞌut langit i ibinggay yat kanira,’”
JHN.6.32	Katubag si Jesus, maat ya, “Kamatuudan i iꞌaat ku ngaytut imyu nga ega si Moises i nagbegay it kagiyaringanan mi it pangaꞌen ngaytu nga garing duꞌut langit, in daꞌga kanya nga Amaꞌ ku. Kanya i magbegay it matuud nga pangaꞌen nga garing duꞌut langit. 
JHN.6.33	Sabap yay paꞌaaten nga pangaꞌen nga begay it Ampuꞌang Diyus, kanya nga limnampud nga gimnaring duꞌut langit baw magbegay it kaꞌgenan nga egay kaskedan kat muꞌsang katataawan.”
JHN.6.34	“Agalen,” maat nira, “sana begayan mu kaming pirmi it iyan ngayan nga pangaꞌen.”
JHN.6.35	“Aku i paꞌaateng pangaꞌen ngayan nga magkabgay it kaꞌgenan,” maat ni Jesus. “Iyan pasakep it aken, ega na maat getmanan paꞌ, baw iyan nga mamayaꞌ nat aken, seked kaꞌnu-kaꞌnu ega na kumuꞌinum. 
JHN.6.36	Temed daꞌga baꞌ inaat ku na it imyu, unu pay daꞌawa mi it naltegan mi na aku, temed it ega magpamayaꞌ kamut aken? 
JHN.6.37	Pasakep it aken i kumpur ipagbegay it Amaꞌ it aken. Talagang egay imugawun ku nga maski siyu nga magpasakep it aken. 
JHN.6.38	Sabap nanlampud aku nga garing duꞌut langit, ega enged ku, buwaten ku i sadili ku nga kaꞌirgan, in daꞌga iyan kaꞌirgan it nagtaꞌeg it aken. 
JHN.6.39	Ka ituytu i kaꞌirgan ya, ega pataꞌnan ku na lamang nga maꞌilang i maski esa nga ibinggay ya it aken, in daꞌga egnen sirang muꞌsa asan it umur nat banwa. 
JHN.6.40	Sabap talagang itu i kaꞌirgan it Amaꞌ ku, iyan muꞌsa nga mamayaꞌ it aken nga Anak ya, baw sumarig it aken, begayan sira it kaꞌgenan nga egay kaskedan. Baw egnen ku sirang muꞌsa asan it umur nat banwa.”
JHN.6.41	Pagkagneg it mga Judio kayti, remeteng-retengan sira sabap it iti nga inaat ni Jesus ngayti nga magꞌaat, “Aku i pangaꞌen nga limnampud nga garing duꞌut langit.” 
JHN.6.42	Maat nira siꞌ, “Daꞌga baꞌ itu na, si Jesus ngayan nga anak na Jose? Kilala tami nagay amaꞌ baw inaꞌ ya. Ta unuka magkaꞌaat ya kayti nga limnampud kanya nga garing duꞌut langit?”
JHN.6.43	Ta it atkayti, inaat sira ni Jesus, “Ayaw kamut yeꞌye-yeꞌyepen nga remeteng-retengan kamu. 
JHN.6.44	Ka egay makapasakep it aken magpuyra it panakman kanya it Amaꞌ, nga kanyay nagtaꞌeg it aken. Baw iyan nga pasakep it aken, egnen ku kanyat paꞌuliꞌ asan it umur nat banwa. 
JHN.6.45	Sabap magsusurat duꞌun it mga kasuratan it mga prupitaꞌ, nga magꞌaat, ‘Sirang muꞌsa, tulduꞌan sira it Ampuꞌang Diyus.’
JHN.6.46	Egaytu ireg sugiden may nakalteg na it Amaꞌ, ka iyan lamang gimnaring duꞌun it Ampuꞌang Diyus i nakalteg it Amaꞌ ngaytu. 
JHN.6.47	Kamatuudan tuy iꞌaat ku ngaytut imyu. Iyan nga mamayaꞌ baw pasakep it aken, may kaꞌgenan ya nga egay kaskedan. 
JHN.6.48	Aku i pangaꞌen nga magbegay it kaꞌgenan. 
JHN.6.49	Nakakaꞌen it manna i mga kagiyaringanan mi, iyan duꞌun sirat rugar nga kapupuyangtan, temed namagpatay naga sira. 
JHN.6.50	Temed may pangaꞌen siꞌ nga garing duꞌut langit baw in siyu-siyuy kumaꞌen it itu ngaytung pangaꞌen, ega na matay kanya. 
JHN.6.51	Aku i pangaꞌen ngaytu nga magbegay it kaꞌgenan, nga limnampud nga garing duꞌut langit. May kaꞌgenan nga egay kaskedan it in siyu-siyuy kumaꞌen kaytu. Iyan pangaꞌen ngaytu nga ibgay ku, nga megay it kaꞌgenan nga egay kaskedan kat muꞌsang katataawan, sadili kung bilug.”
JHN.6.52	Sabap siꞌ it iti nga inampang ni Jesus nagdaꞌe-daꞌegen siꞌ i mga Judio, ka maamaatan sira, “Magꞌuꞌunu ibgay it itung taw i bilug ya nga kaꞌnen tami?”
JHN.6.53	Aypaꞌ ka inaat sira ni Jesus, “Kamatuudan tuy iꞌaat ku ngaytut imyu. Magpuyrat makaꞌen mi i isi it Taga Langit nga Ipiyanganak it Taw baw maꞌinum mi i duguꞌ ya, talagang ega maꞌimyu i matuud nga kaꞌgenan. 
JHN.6.54	Iyan magkaꞌen it isi ku baw magꞌinum it duguꞌ ku, may kaꞌgenan ya nga egay kaskedan, baw talagang egnen ku kanya it paꞌuliꞌ asan it umur nat banwa. 
JHN.6.55	Sabap iyan isi ku, pangaꞌen nga matuud, baw iyan duguꞌ ku, pagꞌimnun nga matuud. 
JHN.6.56	Iyan magkaꞌen it isi ku baw magꞌinum it duguꞌ ku, kabilangan ya, sang kabilu-bilugan kami na. 
JHN.6.57	Egen talagay Amaꞌ nga timnaꞌeg it aken it paꞌasitu baw aku, egen gasiꞌ sabap it kanya. Atkayan nagay in siyu-siyu nga kumaꞌen it aken. Egen kanya sabap it aken. 
JHN.6.58	Sabap aku na ngaytu i matuud nga pangaꞌen nga garing duꞌut langit. Kayti, in siyu-siyuy kumaꞌen it itu nga pangaꞌen, may kaꞌgenan ya nga egay kaskedan. Ega matay nga subung it mga kagiyaringanan mi, maski maat nakakaꞌen na sira it manna ngayting pangaꞌen nga gimnaring duꞌut langit.” 
JHN.6.59	Inampang tu ni Jesus i mga itu ngaytu iyan magpanulduꞌ kanya duꞌun it papagsambaan nga duꞌut Capernaum.
JHN.6.60	Pagkagneg it mga pagtulduꞌan ngayti ni Jesus, dakel na sirang miyaat, “Mabeꞌgat naytu nga mga sugi-sugid i ituꞌun. Siyuy makatangeꞌ kaytu?”
JHN.6.61	Urut ni Jesus nga ega magkabaraꞌan sira sabap it iti nga mga inampang ya. Aypaꞌ ka maat yat kanira, “Subuk nakakleb kamu it nagnegan mi nga mga inampang ku. 
JHN.6.62	Magꞌuꞌunu yan in maltegan mi nga patibung siꞌ i Taga Langit nga Ipiyanganak it Taw ka muliꞌ na duꞌun it giyaringan ya? 
JHN.6.63	Mga ipagtulduꞌ ku ngaytu, egay beken nga uliꞌan, mga bagay pasar it kiyarurwa baw kaꞌgenan nga egay kaskedan. Yay matuud, mga bagay nga pagpaꞌiguꞌan it panulduꞌ ku ngaytu, iyan i mapisiꞌan it kaꞌgenan ngaytu. Egaytu makabgay it isi nga pagkaꞌnen.
JHN.6.64	Temed ta, may mga situ nga ega kamatuudan i pamayaꞌ nirat aken.” Miyampang si Jesus it atkayti ka, garing paꞌ it tagnaꞌ, urut ya na in siyu may siyu i ega matuud i pamayaꞌ it kanya, baw in siyu i subuk dumagang it kanya. 
JHN.6.65	Paꞌugdun ya paꞌ nga inaat, “Ta it may ega naga magpamayaꞌ it aken, aypaꞌ ka ipiyagꞌaat kut imyu nga egay makapasakep it aken magpuyra it ildawan kanya it Amaꞌ.”
JHN.6.66	Gimnaring duꞌun kayti, dakel na nga mga pagtulduꞌan ya ngayti i nangindiꞌ. Ega na mamagbaya-bayaꞌ it kanya.
JHN.6.67	Ta it atkayti, iningkut ni Jesus i sang puluꞌ may duwa ngayting mga piniliꞌ yang mga alagad ya. “Unu,” maat ya, “kulꞌid kamu na gasiꞌ situt aken?”
JHN.6.68	Katubag si Simon Pedro ngayti, “Ampuꞌan,” maat ya, “ay ari aduꞌunan namen it panulduꞌ mu gay magkabgay it kaꞌgenan nga egay kaskedan? 
JHN.6.69	Pagpamayaꞌnen baw pagsisiguruun namen nga ikaw talaga i ega basta-basta ngayan nga siyarigan it Ampuꞌang Diyus.”
JHN.6.70	“Daꞌga baꞌ,” maat ni Jesus, “sang puluꞌ may duwa kamung kataawan i piniliꞌ ku? Takaꞌ yay matuud, may esa nagat imyu nga magnanakem pat nakem it maraꞌe-raꞌet!” 
JHN.6.71	Iting inampang ni Jesus, iyan i pagpaꞌiguꞌan ya, si Judas ngayti nga anak ni Simon Iscariote, sabap si Judas ngayti, maski kaꞌuyutan it sang puluꞌ may duwa ngayting piniliꞌ ni Jesus, temed ta, it iti i dumagang it kanya.
JHN.7.1	Ega naꞌlay napanaw siꞌ na Jesus, nanlekep-lekep it Galilea. Pagtemden yang ega paꞌ paꞌaduꞌun it Judea ka kuꞌimatayen kanyat mga pagbayaꞌen it mga Judio duꞌun. 
JHN.7.2	Temed iyan masepek nay pistaꞌ nirang pagpangaranat Pistaꞌ it Mga Ardung, 
JHN.7.3	inaat si Jesus it mga sulsug ya, “Unuka daꞌka na magliꞌi-liꞌid situ? Kaꞌilangan paꞌaduꞌun kat Judea isaꞌun maltegan it mga pagtulduꞌan mu duꞌun i pagbuwaten mu. 
JHN.7.4	Sabap egay taw nga magtaguꞌ it pagbuwaten ya in talagang ireg ya nga matanug kanya. Kaꞌilangan, mga pagbuwaten mu ngaytung mga bagay, ipamuya mu nat muꞌsang katataawan.” 
JHN.7.5	Atkayti i ampang it mga sulsug ngayti ni Jesus ka maski sira, egay pamayaꞌ nirat kanya.
JHN.7.6	Maat i tubag ni Jesus it kanira, “Ega paꞌ kayti i ibinggay it aken nga iꞌaduꞌun. Iyan imyu, maski unu nga timpu mapakay nga paꞌaduꞌun kamu. 
JHN.7.7	Kamu, ega yan mapakay nga isgan it katataawan. Temed aku, pagꞌisgan nira, sabap it ipagpaliꞌwan ku i mga buwat nira nga mararaꞌe-raꞌet. 
JHN.7.8	Muꞌna kamu nay pakipistaꞌ. Aken, ega na daꞌan, ka subung nat inaat ku, ega paꞌ kayti i ibinggay it aken nga timpu.” 
JHN.7.9	Aypaꞌ nagpatuduꞌ kanya nga matuud duꞌun it Galilea.
JHN.7.10	Pagkagaring it mga sulsug ya ngayti, ega naꞌlay napanaw na si Jesus nga pakipistaꞌ. Temed subung it magpaliped-liped lamang i buwat ya. 
JHN.7.11	Duꞌun it pistaꞌan, pagtulusun kanya it mga Judio. “Ariyen bay taw ngayan?” maat nira.
JHN.7.12	Dakel-dakel na nga runding it mga taw pasar it kanya duꞌut mga linge-lingeb. May pirang magꞌaat nga “Bilaꞌ, magayen kanya nga taw.”
JHN.7.12	Temed iyan beken, magꞌaat nga, “Bilaꞌ, ega bayan! Pagbuwaten ya ngayan, pagteꞌag-teꞌagen yay kadakel.” 
JHN.7.13	Temed yanayti, ega ipagpabusak-busak nira duꞌun it kadadaklan ka magꞌiꞌlam sirat mga pagbayaꞌen nira.
JHN.7.14	Iyan nanlubukan nay pistaꞌ, siminled si Jesus duꞌun it Templo baw nanulduꞌ kanya duꞌun. 
JHN.7.15	Naliluꞌ i mga Judio. Maamaatan sira, “Ari garing it kiyaꞌrutan it itung taw it ega naga nakapagꞌadal kanya?”
JHN.7.16	Tiyubag sira ni Jesus, nga magꞌaat, “Ipagpanulduꞌ ku ngaytu, egaytu sadili ku, in daꞌga garing tu duꞌut kanya nga nagtaꞌeg it aken ita paꞌasitu. 
JHN.7.17	Kumpur magꞌireg sumunud it kaꞌirgan it Ampuꞌang Diyus, matantuwan tu nira in unu, garing talaga duꞌun it Ampuꞌang Diyus i ipagpanulduꞌ ku ngaytu, u in kat sadi-sadili ku na lamang. 
JHN.7.18	Ka iyan nga magpanulduꞌ it sadili yang pasepsep, egay beken nga pagpaꞌresan ya, bantugun kanyat katataawan. Temed iyan ngayan nga pagpaꞌresan yat magpanulduꞌ, bantugun i nagtaꞌeg it kanya, purus matuud i kanya baw egay antap it nakem ya nga maraꞌe-raꞌet. 
JHN.7.19	Daꞌga baꞌ si Moises i nagbegay it imyu it mga urdin? Temed maski siyu it imyu, ega talagay kamatuudan nga pagsunud it mga urdin ngayti. In talagang kamatuudan i pagsunud mi, unuka kuꞌimatayen mi aku?”
JHN.7.20	Maat it kadakel ngayti, “Pagsasaruman ka baytut maraꞌe-raꞌet! In daꞌga pagsasaruman ka, siyuy kuꞌimatay it imu?”
JHN.7.21	“Esa lamang nga bagay i binwat ku it Aldaw it Kapaꞌnaan,
JHN.7.22	“Ibinggay ni Moises it imyu i urdin nga pasar it pagturiꞌ. (Egaytu maat garing it ki Moises. Garing nagaytut mga kagiyaringanan mi paꞌ.) Bawnga pagbuwaten mi it maski Aldaw it Kapaꞌnaan.
JHN.7.23	In magpanuriꞌ kamu it maski Aldaw it Kapaꞌnaan, isaꞌun lamang masunud mi i ipiyagꞌurdin ngayti ni Moises, ta unuka pagꞌisgan mi aku sabap duꞌun it pagpagayen ku ngayti it magsarut kat Aldaw it Kapaꞌnaan? 
JHN.7.24	Kaꞌilangan kat kataldengan i ipagꞌukuman mi, ega kuꞌaw-kuꞌaw nga ukuman.”
JHN.7.25	Iyan magpanulduꞌ na ngayti si Jesus, maamaatan nay beken nga taga Jerusalem, maat nira, “Daꞌga baꞌ itu nay taw ngayan nga kuꞌimatayen nira? 
JHN.7.26	Kayti, waytu na, magpanulduꞌ na kanya kat kadadaklan, temed ega nagay pagꞌampangen nira nga kuntraꞌ it kanya. Barang magkakilalaan nat mga pagbayaꞌen tami nga kanya nay paꞌaaten ngayang Cristo nga isiyanggup it Ampuꞌang Diyus. 
JHN.7.27	Temed daꞌga baꞌ egay magkaꞌrut in ariyen i garingan it Manriribring Adiꞌ ngaytung isiyanggup nga paꞌasitu? Takaꞌ in itung taw, urut tami nga muꞌsa i giyaringan ya.”
JHN.7.28	Ta it atkayti, nanggaꞌmaran na si Jesus ngayti, nga magpanulduꞌ duꞌun it Templo. Maat ya, “Unu baꞌ, magkakilalaan mi aku? Unu, magkaꞌrutan mi in ari talagay giyaringan ku? Yay matuud, egaytu naꞌasitu aku it sadi-sadili ku na lamang, in daꞌga may timnaꞌeg it aken. Purus kamatuudan i kanya ngaytu temed ta, ega magkakilalaan mi kanya. 
JHN.7.29	Temed aku, kilala ku kanya, ka duꞌun i garing ku, baw kanya i nagtaꞌeg it aken it paꞌasitu.”
JHN.7.30	Pagkagneg it mga taw ngayti, pagkudakpen nira si Jesus, temed ega naga nabwat nira, sabap ega paꞌ miyabut i ipiyabetang-betang nga timpu. 
JHN.7.31	Temed dakel naga sira nga magpakimatuud it kanya. Maamaatan sira, “Unu sadaw, in paꞌasitu na ngayan i Cristo ngayang paꞌaaten, makabwat kanya it mga tandaꞌanan nga kalililuꞌang bagay nga subraꞌ paꞌ it magkabwat it itung taw?”
JHN.7.32	Naringid-ringidan it mga Pariseo i pamagrundingen it mga katataawan ngayti pasar it ki Jesus. Aypaꞌ binwat it mga Pariseo ngayti baw mga pagbayaꞌen it mga sasirduti, piyapaꞌaduꞌunan nira it mga taawan nira nga guwardiya it Templo ka dakpen si Jesus ngayti. 
JHN.7.33	Ta it atkayti, maat ni Jesus, “Maꞌiba-iba mi paꞌ aku it sang dekeyeꞌ nga timpu bawnga muliꞌ aku nayan duꞌun it nagtaꞌeg ngaytit aken it paꞌasitu. 
JHN.7.34	Tegelen mi yan aku it tulus, temed ega nayan maparagan mi aku, ka ega yan kaꞌaduꞌun kamu it uliꞌan ku ngayti.”
JHN.7.35	Namagrunding-rundingen siꞌ i mga Judio ngayti, “Ay ari tuy aduꞌunan it taw ngaytu nga ega maparagan tami? Barang duꞌun i aduꞌunan ya it mga kaꞌibaan ta ngayan nga mga Judio nga nagpakilaꞌuk-laꞌuk nat mga Griego duꞌut banwa nira, ka duꞌun nat kanira i panulduꞌan ya. 
JHN.7.36	Unu yan i ireg sugiden it iyan ngayang sugi-sugid ya nga maat, ‘Tegelen mi yan akut tulus, temed ega nayan maparagan mi aku, ka daꞌkamu kaꞌaduꞌun it uliꞌan ku ngayti’?”
JHN.7.37	Iyan kiyaꞌpusang aldaw nga kamataan it pistaꞌ, timnindeg si Jesus baw nanggaꞌmaran it dadakulaꞌ, nga magꞌaat, “Patpad sinit aken i kumpur pagbaꞌnekan ka minum. 
JHN.7.38	Ka ituy kaꞌulugan it ampang nga magbebtang duꞌut kasuratan ngayang ampang it Ampuꞌang Diyus. In siyuy magpamayaꞌ baw magsarig it aken, may tumumbud nga magbegay it matuud nga kaꞌgenan, nga garing duꞌut seled ya, subung nagat pagtumbud it danum.” 
JHN.7.39	Pagpapuntuꞌan it ampang ya ngayti, Espiritu Santo nga pasarum duꞌut kumpur mamayaꞌ baw sumarig nat kanya. Lamang iti nga timpu, ega paꞌ magsasarum kat bilug it mga taw. Ega paꞌ tiyaꞌeg kanyat pasarum ka ega paꞌ nakaꞌuliꞌ si Jesus duꞌut langit nga tumanggap it kabantugan nga areg it Amaꞌ ya.
JHN.7.40	Iyan beken, pagkagneg nirat iti nga inaat ni Jesus, maat nira, “Talagang egaytuy belag, Prupitaꞌ na ngayan.”
JHN.7.41	Iyan kat beken, maat nira, “Itu na baytuy Cristo ngayang Manriribring Adiꞌ nga isiyanggup it Ampuꞌang Diyus.”
JHN.7.41	Temed iyan kat beken, maat nira gasiꞌ, “Ta unu bayan, duꞌut Galilea i garingan it Adiꞌ ngayan? 
JHN.7.42	Ka daꞌga baꞌ nakabtang ngayan duꞌut siyubli-subli tami nga kasuratan ngayang ampang it Ampuꞌang Diyus, nga magꞌaat, ‘Iyan Cristo ngaytu, liꞌwanan ya kat mga tungtung-inapuꞌ ni David, baw garingan ya duꞌun it Betlehem nga lansangan ni David ngaytu.’” 
JHN.7.43	Aypaꞌ sabap it itiꞌen ngayti, nabagiꞌ-bagiꞌ i pikir it kadakel sabap it kanya. 
JHN.7.44	Iyan beken, ireg nira dakpen na kanya, temed subuk magꞌaliꞌ paꞌ sira.
JHN.7.45	Namagꞌuliꞌ na i mga tiyaꞌeg ngayting mga guwardiya it Templo duꞌun it namagtaꞌeg ngaytit kanira nga mga pagbayaꞌen it mga sasirduti baw mga Pariseo. Pagꞌabut nira, inaat sirat namagtaꞌeg ngaytit kanira, “Ta ari nay itiyaꞌeg namen ngayat imyu? Unuka egay magbabayaꞌ nga kanya?”
JHN.7.46	Katubag sira, maat nira, “Kagalang-galang it imyu, yanaytuy kaꞌlay, egay taw nga atkayan nang gayen it pagꞌampangen.”
JHN.7.47	“Talagang pati palan kamu, nateꞌag-teꞌag na gasiꞌ!” maat it mga Pariseo ngayti. 
JHN.7.48	“Kami ngaytu nga mga pagbayaꞌen baw mga Pariseo, siyuy namuyaan mit amen nga may pamayaꞌ it kanya? Daꞌga ega? 
JHN.7.49	Iyan lamang i magpamayaꞌ it kanya, iyan kadakel it mga raꞌyat ngayan nga egay uru-urut nira it mga kaꞌurdinan ta. Daꞌga baꞌ mga taw ngayan, siyumpaan it Ampuꞌang Diyus nga rigaen ya?”
JHN.7.50	Nadnganan nga duꞌun si Nicodemo, namasyar ngayti duꞌut ki Jesus it magpapuꞌun paꞌ si Jesus it manulduꞌ, ka kanya Pariseo naga. Iningkut ya i mga kaꞌibaan ya ngayti, maat ya, 
JHN.7.51	“Daꞌga baꞌ kuntraꞌ kat mga kaꞌurdinan tami nga ega basta-basta betanganan it ukuman i esang taw in ega paꞌ naꞌimbistigar nga napakaꞌrutan it magayen in unuy pagbuwaten yang kamaliꞌ?”
JHN.7.52	“Aa bilaꞌ,” maat i tubag it mga kaꞌibaan ya ngayti. “Unuytu? Unu, pati ikaw, esa nagat mga sisindiren ngayting taga Galilea? Saꞌup-saꞌupun mut masa i mga kasuratan tami, mamuyaan mu yan asan nga egay prupitaꞌ nga manggaring kat Galilea.”
JHN.7.53	Nagsigꞌuliꞌ nay natingped ngayting mga katataawan.
JHN.8.1	Temed si Jesus, timnungul kanya duꞌun it Mungsuꞌ it Olibo. 
JHN.8.2	Pagꞌeyag it aldaw, nagpaꞌuliꞌ naga kanya duꞌun it Templo. Minlep siꞌ duꞌut kanya i muꞌsang mga taw duꞌun. Miyadung si Jesus bawnga tiyulduꞌan ya siꞌ sira. 
JHN.8.3	Iyan magpanulduꞌ na si Jesus, may miyabut nga mga manigpaꞌyag it urdin baw mga Pariseo. May taban nira nga nadakep nira nga pagꞌaꞌasawaen nga babay nga may lalaki ya. Piyatindeg niray babay ngayti duꞌut adapan nira, 
JHN.8.4	baw maat nira it ki Jesus, “Manigtulduꞌ, babay ngaytu, nadakep nga may lalaki ya. 
JHN.8.5	Ta it ipiyagꞌurdin ni Moises duꞌut mga kaꞌurdinan nga buntalan it batu it seked matay i mga magbuwat it subung nat kanya ngaytung binwat, ta kayti, unuy masugid mu?” 
JHN.8.6	Atkayti i ingkut nira ka eget na nirat sigapul it ki Jesus ngayti, isaꞌun may makadimanda nira nga kuntraꞌ it kanya.
JHN.8.6	Temed ega timnubag si Jesus. Rimnungguk ga kanya bawnga simnurat duꞌun it lugtaꞌ it tutulduꞌ ya. 
JHN.8.7	Mga magꞌingkut ngaytit ki Jesus, sigi-sigi nga ingkut nira. Ta it atkayti, timnindeg si Jesus bawnga miyampang, nga magꞌaat, “In siyu manggid it imyu i egay kakasalaꞌan, iyan i mapakay nga muꞌna nga muntal it kanya it batu.” 
JHN.8.8	Pagkaꞌampang ya kayti, kimnantud kanya ka simnurat siꞌ duꞌut lugtaꞌ.
JHN.8.9	Pagkagneg it mga magꞌingkut ngaytit ki Jesus, namagtekas-tekas na sira. Uꞌnay mga magugurang, bawnga mga mangaꞌwaꞌen seked ega nay naꞌped it kanira duꞌun, si Jesus mana baw babay ngayti nga magtitindeg naga duꞌut adapan it katataawan. 
JHN.8.10	Lintegan kanya ni Jesus baw iningkut, “Namagpaꞌunu nayan sira? Unu, egay rimiga it imu?”
JHN.8.11	Katubag i babay ngayti, maat ya, “Ta ega, Agalen.”
JHN.8.11	“Ta maski aku,” maat ni Jesus, “ega rigaen ku ikaw. Mapanaw ka na baw pedkanan mu nay buwat it kasalaꞌan.”
JHN.8.12	Pagsaꞌup siꞌ ni Jesus it mampang duꞌun it mga taw, maat ya, “Aku ngaytu i bilang tidaw nga magbegay it eyag kat pikiran it mga taw situt sinirungat langit. Iyan sumunud it aken, ega na subung it magpanaw it delemen, sabap pagꞌeꞌyagan na kanyat tidaw ngaytu nga magbegay it kaꞌgenan nga egay kaskedan.”
JHN.8.13	Inaat kanya it mga Pariseo nga duꞌun mamagpagneg, “Sadi-sadili mu i pamatuud mu ngayat bilug mu. Ega mapakay yan nga pakimatuudun i pamatuud mu ngayan.”
JHN.8.14	Katubag si Jesus it kanira, maat ya, “Maski maat mi sadi-sadili ku i pamatuud ku it bilug ku, temed matuud tuy pagꞌaaten ku ngaytu, sabap urut ku in ari giyaringan ku baw in ari aduꞌunan ku. Temed kamu, ega magkaꞌrutan mi in ari giyaringan ku baw in ari aduꞌunan ku. 
JHN.8.15	Magꞌukuman kamu uyun kat pangukuman it taw, temed aku, egay pagꞌukumanan ku nga maski siyu. 
JHN.8.16	Temed maski mukuman aku, tamaꞌ naga i iꞌukuman ku, sabap ega lamang aku i magbetangan it ukuman, in daꞌga duwa kami nagat Amaꞌ ku nga nagtaꞌeg it aken it paꞌasitu. 
JHN.8.17	Magsusurat naga duꞌut siyubli-subli mi nga mga kaꞌurdinan nga magꞌaat duꞌun, in nagsubung i pamatuud it duwa na nga magpanistigu, kaꞌilangan pakimatuudun. 
JHN.8.18	Ta aku i esa, ka magpamatuud aku pasar it sadili ku. Yay ikadwa nga magpamatuud gasiꞌ, Amaꞌ ku nga nagtaꞌeg it aken.”
JHN.8.19	Pagkagneg it mga taw ngayti, miningkut sira nga magꞌaat, “Ay ari bayan i Amaꞌ mu ngayan? Ari pagꞌaꞌanuꞌan ya?”
JHN.8.19	Tumubag si Jesus, maat ya, “Yay matuud, it ega naga kilala mi aku, simpri ega naga kilala mi i Amaꞌ ku. In beteꞌ magkakilalaan mi na aku, simpri makilalaan mi naga gasiꞌ kanya.” 
JHN.8.20	Mga itu ngaytu, inampang ni Jesus iyan magpanulduꞌ kanya duꞌun it esang bagiꞌ it Templo nga duꞌun manggid it adeꞌdeng it mga berebtangan it bilang ipagbegay it mga taw duꞌun it Ampuꞌang Diyus. Temed ega naga diyakep kanya it maski siyu, ka ega paꞌ naꞌbut i ipiyabetang-betang nga timpu.
JHN.8.21	Saꞌup siꞌ nga inaat ni Jesus it mga katataawan, “Talagang limꞌid aku. Tulusun mi yan aku it temegel, temed matay kamu lamang it ega napasinsiya i kasalaꞌan mi. Daꞌkamu talaga kaꞌaduꞌun it aduꞌunan ku.”
JHN.8.22	Pagkagneg nira, namagrunding na sira, nga magꞌaat, “Barang sayan mangeget kanya. Yay paꞌaaten ya ngayang daꞌta kapaꞌaduꞌun it aduꞌunan ya ngayti.”
JHN.8.23	Maat paꞌ ni Jesus, “Kamu, taga denaꞌ. Aken, taga langit aku. Mamagtatakenaꞌ kamu situt banwa ngaytu. Aken, ega. Aypaꞌ ega surubung i kat nakem tami. 
JHN.8.24	Aypaꞌ matuud tuy ipagꞌaat ku ngaytut imyu, nga matay kamu it ega napasinsiya i kasalaꞌan mi. Basta ega pakimatuudun mi i pamatuud ku nga in siyu aku talaga, simpri matay kamu it ega napasinsiya i kasalaꞌan mi.”
JHN.8.25	“Tay, siyu ka baytu?” ingkut siꞌ it mga taw ngayti.
JHN.8.25	“Ta daꞌga baꞌ ipagsugid ku nat imyu it kaꞌlay ngaytu in siyu aku nga matuud?” tubag ni Jesus it kanira. 
JHN.8.26	“Talagang dakulay maꞌaat ku baw mabetanganan kut ukuman kuntraꞌ it imyu. Temed it matuud i pagꞌaaten it nagtaꞌeg it aken baw in unuy magkagnegan ku nga pagꞌaaten ya, iyan i ipagsugid ku situt banwa ngaytu.”
JHN.8.27	Ega nasepsepan it mga taw ngayti nga pagpaꞌiguꞌan ni Jesus, Amaꞌ ya. 
