MAT.1.1	Ибрайымның урпағы, Даўыттың урпағы Ийса Масихтың
ACT.11.14	Ол саған сени ҳәм пүткил хожалығыңды қутқаратуғын сөзлерди айтады», – депти. 
ACT.11.15	Мен сөйлей баслағаннан-ақ, ең баста бизлердиң үстимизге түскендей, олардың үстилерине де Мухаддес Руўх түсти. 
ACT.11.16	Сонда Ийемиздиң мына сөзлери ядыма түсти: «Яқыя суў менен шомылдырды, ал сизлер Мухаддес Руўх пенен шомылдырыласызлар». 
ACT.11.17	Солай етип, Қудай Ийемиз Ийса Масихқа исенетуғын бизлерге берген сыйын оларға да берсе, Қудайға қарсы шығатуғындай мен ким болыппан?
ACT.11.18	Бул сөзлерди еситип, олар тынышланды. Қудайды алғыслап былай деди:
ACT.11.18	– Демек, Қудай басқа миллетлерге де тәўбе етип, мәңгилик өмирге ийе болыў мүмкиншилигин берипти.
ACT.11.19	Степан өлтирилген күннен басланған қуўдалаў себепли тарқалған исениўшилер Феникия, Кипр ҳәм Антиохияға шекем барды. Олар Қудайдың сөзин тек яҳудийлерге жәриялайтуғын еди. 
ACT.11.20	Бирақ, олардың арасынан кипрлы ҳәм киренели айырым адамлар Антиохияға барып, греклерге де Ийемиз Ийса туўралы Хош Хабарды жәриялап жүрди. 
ACT.11.21	Ийемиздиң қүдирети
ACT.11.22	Бул ҳаққында хабар Ерусалимдеги исениўшилердиң жәмәәтине жетип барғанда, олар Барнабаны Антиохияға жиберди. 
ACT.11.23	Барнаба сол жерге келгенде, Қудайдың мийримин көрип қуўанды. Олардың ҳәммесине Ийемизге шын кеўилден садық болыңлар, деп ақыл-нәсият берди. 
ACT.11.24	Өйткени ол Мухаддес Руўхқа толған, исеними күшли, жақсы адам еди. Солай етип, көп адамлар Ийемизге алып келинди. 
ACT.11.25	Сонда Барнаба Саулды излеў ушын Тарсусқа кетти. 
ACT.11.26	Оны таўып, Антиохияға әкелди. Солай етип, Барнаба менен Саул толық бир жыл сол жердеги исениўшилер жәмәәти менен бирге жыйналып, көп адамларға тәлим берди. Усы Антиохия қаласындағы шәкиртлер биринши мәрте масихыйлар
ACT.11.27	Сол күнлери Ерусалимнен Антиохияға бир неше пайғамбарлар келди. 
ACT.11.28	Олардан Агабус атлы биреўи орнынан турып, пүткил жер жүзинде ашлық болатуғынын Мухаддес Руўхтан илҳамланып, болжап айтты. Бул ашлық Клавдий патшаның
ACT.11.29	Сонда шәкиртлер Яҳудияда жасайтуғын туўысқанларға қолларынан келгенинше ақшалай жәрдем бериўге қарар етти. 
ACT.11.30	Олар жыйналған ақшаларды исениўшилер жәмәәтиниң ақсақалларына Барнаба ҳәм Саул арқалы жиберип, усы қарарды орынлады.
ACT.12.1	Сол ўақытта патша Ҳирод исениўшилер жәмәәтиниң гейбир адамларын қуўдалаў ушын тутқынға алды. 
ACT.12.2	Ол Юханның туўысқаны Яқыпты қылыш пенен өлтиртти. 
ACT.12.3	Буның яҳудий басшыларына жаққанын көрип, изинен Петрди де услатпақшы болды. Ашытқысыз нан байрамы
ACT.12.4	Ҳирод Петрди услатып, қамаққа салдырды. Оны қараўыллаўды ҳәр бири төрт әскерден ибарат болған төрт әскерий топарға тапсырды. Себеби Қутқарылыў байрамынан соң, оны халықтың алдына шығарыў нийетинде еди.
ACT.12.5	Солай етип, Петр қамаққа алынды. Бирақ исениўшилер жәмәәти ол ушын Қудайға бар жигери менен дуўа етти.
ACT.12.6	Ҳиродтың Петрди халықтың алдына шығармақшы болған күнинен алдыңғы күни түнде, ол еки әскердиң ортасында қос шынжыр менен байлаўлы ҳалында уйықлап атыр еди. Қапының аўзында турған қараўыллар да қамақты қараўыллап тур еди. 
ACT.12.7	Тосаттан Ийемиздиң бир периштеси пайда болып, қамақтың иши жарқырап кетти.
ACT.12.7	Периште Петрдиң бүйиринен түртип, оны оятты да:
ACT.12.7	– Тез орныңнан тур, – дегенде, Петрдиң қолларындағы шынжырлар шешилип, түсип кетти. 
ACT.12.8	Периште оған:
ACT.12.8	– Белиңди буўып, аяқ кийимиңди кий, – деди. Петр усылай иследи. Периште оған:
ACT.12.8	– Шапаныңды кийип, мениң изиме ер, – деди.
ACT.12.9	Петр қамақхана бөлмесинен шығып, оның изине ерди. Бирақ, периштениң қылып атырған ислериниң оңында болып атырғанын билмей, аян көрип турман, деп ойлады. 
ACT.12.10	Олар биринши ҳәм екинши қараўыллардан өтип, қалаға шығатуғын темир дәрўазаға келди. Дәрўаза оларға өз-өзинен ашылды. Олар сыртқа шығып бир көше өткенде, периште бирден Петрдиң жанынан ғайып болды.
ACT.12.11	Сонда өзине келген Петр: «Ийемиздиң Өз периштесин жиберип, мени Ҳиродтың қолынан ҳәм яҳудий халқының мениң басыма түседи, деп күткен барлық бәлелерден қутқарғанын енди ҳақыйқаттан түсинип турман», – деди.
ACT.12.12	Петр буны түсингеннен соң, Марк деп аталатуғын Юханның анасы Мәриямның үйине кетти. Ол жерде көп адамлар жыйналып, дуўа етип отырған еди. 
ACT.12.13	Петр сыртқы қапыны қаққанда, Рода атлы бир хызметши қыз ким екенин билиў ушын қапыға келди. 
ACT.12.14	Ол Петрдиң даўысын танып, қатты қуўанғанынан қапыны ашпай, қайтадан ишке жуўырып: «Петр қапының алдында тур», – деп хабар берди.
ACT.12.15	«Есиң дурыс па?» – дести оған. Ал қыз сөзинде турып алғанлықтан, олар: «Бул оның периштеси», – деди.
ACT.12.16	Бирақ Петр қапыны қағыўды даўам етти. Олар қапыны ашып, оны көргенде ҳайран қалысты. 
ACT.12.17	Петр оларға үндемеўлерин қолы менен ымлап көрсетти де, Ийемиздиң оны қамақтан қалай шығарғанын айтып берди. Соңынан: «Бул хабарларды Яқыпқа ҳәм басқа туўысқанларымызға жеткизиңлер», – деп, сол жерден шығып, басқа жаққа кетти.
ACT.12.18	Таң атқанда, Петрге не болғанын түсинбей, әскерлер қатты албырасты. 
ACT.12.19	Ҳирод Петрди излетти. Таба алмағаннан соң, қараўылларды сораўға тутып, оларды өлтириўди буйырды.
ACT.12.19	Буннан соң, Ҳирод Яҳудиядан Кесарияға кетип, бир қанша ўақыт сол жерде қалды. 
ACT.12.20	Ол Тир ҳәм Сидон турғынларына қәҳәрли еди. Сонда олар өз ара келисип, Ҳиродқа келди. Патшаның исенимли хызметшиси
ACT.12.21	Белгиленген күнде патшалық липасларын кийген Ҳирод тахтына отырды да, халыққа сөз сөйледи. 
ACT.12.22	Сонда халық: «Бул адамның даўысы емес, қудайдың даўысы», – деп бақырысты. 
ACT.12.23	Сол ўақытта-ақ Ийемиздиң бир периштеси Ҳиродты урып жиберди. Себеби ол Қудайға бериў керек болған даңқты өзи алған еди. Сонда оның денесин қуртлар кемирип, ол жан тапсырды.
ACT.12.24	Ал Қудайдың сөзи жайылып, исениўшилердиң саны арта берди.
ACT.12.25	Тапсырманы орынлаған Барнаба менен Саул Марк деп аталатуғын Юханды өзлери менен бирге алып, Ерусалимнен қайтып келди.
ACT.13.1	Антиохиядағы исениўшилер жәмәәтинде пайғамбарлар ҳәм муғаллимлер бар еди. Олар: Барнаба, Негр деп аталатуғын Симон, киренели Лукий, үлке патшасы Ҳирод пенен бирге тәрбияланған Манаим ҳәм Саул. 
ACT.13.2	Олар Ийемизге сыйынып, ораза тутып отырғанда, Мухаддес Руўх былай деди: «Мен шақырған ис ушын, Маған Барнаба менен Саулды ажыратып бериңлер». 
ACT.13.3	Солай етип, олар ораза тутып, дуўа еткеннен соң, Барнаба менен Саулдың үстине қолларын қойды
ACT.13.4	Мухаддес Руўх тәрепинен жиберилген Барнаба менен Саул Селевкияға барып, сол жерден кеме менен Кипрға жүзип өтти. 
ACT.13.5	Олар атаўдағы Саламис деген қалаға келип, яҳудийлердиң мәжилисханаларында
ACT.13.6	Олар пүткил атаўды бастан-аяқ басып өтип, Папосқа келди. Сол жерде Барешу атлы сыйқыршы ҳәм жалған пайғамбар болған бир яҳудийди ушыратты. 
ACT.13.7	Ол ҳәким Сергий Павелдиң кеңесгөйи болып, оның менен бирге жүретуғын еди. Ҳәким ақыллы адам болғанлықтан, Барнаба менен Саулды шақыртып, Қудайдың сөзин тыңламақшы болды. 
ACT.13.8	Бирақ, грек тилинде аты Елимас болған жаңағы сыйқыршы оларға қарсылық көрсетип, ҳәкимниң исениўине тосқынлық етиўге тырысты. 
ACT.13.9	Сонда Мухаддес Руўхқа толған Саул, яғный Павел көзлерин Елимасқа тигип:
ACT.13.10	– Ҳәй, кеўли ҳәр қыйлы ҳийле менен жалғанға толы шайтанның баласы! Сен ҳәр қандай ҳақыйқатлықтың душпанысаң! Ийемиздиң туўры жолларын бурмалаўды қоясаң ба, жоқ па? 
ACT.13.11	Мине, енди Ийемиз саған қарсы қолын көтерди. Сен соқыр болып қалып, бир қанша ўақыт қуяш жақтысын көре алмайтуғын боласаң, – деди.
ACT.13.11	Сол ўақытта-ақ оның көзлерин қараңғы түнек қаплады ҳәм ол қолынан услап өзин жетелейтуғын адамды излеп, әтирапын сыйпалай баслады. 
ACT.13.12	Ҳәким болған ўақыяны көрип, исенди. Өйткени Ийемиз туўралы тәлийматқа ҳайран қалған еди.
ACT.13.13	Павел менен оның жолдаслары Папостан кемеге минип, Памфилияның Пергия қаласына келди. Ал Юхан оларды қалдырып, Ерусалимге қайтып кетти. 
ACT.13.14	Олар Пергиядан жолын даўам етип, Писидияның Антиохия қаласына барды. Дем алыс күни
ACT.13.15	Мухаддес Нызам ҳәм пайғамбарлардың Жазыўларынан оқылғаннан соң, мәжилисхананың басшылары оларға: «Туўысқанлар, халыққа айтатуғын нәсият сөзлериңиз болса, мәрҳәмат, айтыңлар», – деп хабар жиберди.
ACT.13.16	Павел орнынан турды да, қолы менен ишарат етип былай деди:
ACT.13.16	– Ҳәй, израиллылар ҳәм Қудайға сыйынатуғын басқа миллет адамлары, тыңлаңлар! 
ACT.13.17	Бул Израил халқының Қудайы бизиң ата-бабаларымызды таңлап, олар Мысыр елинде жат болып жасағанда, оларды үлкен халық қылды. Соңынан Өзиниң қүдиретли қолы менен оларды сол жерден алып шықты. 
ACT.13.18	Шөлде шама менен қырық жыл олардың қыңырлығына шыдады. 
ACT.13.19	Канан жеринде жети миллетти жоқ қылып, олардың жерин Өз халқына мийрас етип берди. 
ACT.13.20	Булардың ҳәммеси төрт жүз елиў жылдай даўам етти.
ACT.13.20	Соңынан Қудай Самуел пайғамбардың заманына дейин оларға бийлерди берди. 
ACT.13.21	Буннан кейин халық патша сорағанда, Қудай оларға Бенамин урыўынан болған Кистиң улы Саулды берди. Саул қырық жыл патшалық етти. 
ACT.13.22	Қудай оны тахттан түсиргеннен соң, олардың үстилеринен Даўытты патша етип қойды. Қудай ол туўралы мынадай гүўалық берди: 
ACT.13.23	Қудай Өз ўәдеси бойынша оның урпағынан Израилдың Қутқарыўшысы Ийсаны шығарды. 
ACT.13.24	Ийса келместен бурын Яқыя пүткил Израил халқына тәўбе етип суўға шомылдырылыўды жәриялады. 
ACT.13.25	Яқыя хызметин тамамлаўға шамаласқанда былай деген еди: «Мени ким деп ойлайсызлар? Мен Масих
ACT.13.26	Туўысқанларым, Ибрайымның урпақлары ҳәм Қудайға сыйынатуғын басқа миллет адамлары! Бул қутқарылыў сөзлери бизлерге жиберилген. 
ACT.13.27	Ерусалимде жасайтуғынлар ҳәм олардың басшылары Ийсаның ким екенин билмеди ҳәм ҳәр дем алыс күни оқылатуғын пайғамбарлардың Ол туўралы жазған сөзлерин түсинбеди. Сонлықтан олар Ийсаны ҳүким етип, пайғамбарлардың сөзлерин әмелге асырды. 
ACT.13.28	Оннан өлим жазасына ылайықлы ҳеш қандай айып таба алмаса да, Пилаттан Оны өлтириўди сорады. 
ACT.13.29	Ол ҳаққында жазылғанлардың ҳәммесин орынлағаннан соң, олар Оны атанақ ағаштан түсирип, қәбирге қойды. 
ACT.13.30	Бирақ, Қудай Оны өлимнен тирилтти. 
ACT.13.31	Ийса Өзи менен Галиладан Ерусалимге келгенлерге көп күнлер даўамында көринип жүрди. Енди бул адамлар халық алдында Оның гүўалары болды.
ACT.13.32	Бизлер де сизлерге Қудайдың ата-бабаларымызға ўәде еткен Хош Хабарын жәриялап атырмыз. 
ACT.13.33	Ол Ийсаны тирилтиўи арқалы олардың урпақлары болған бизлер ушын сол ўәдени әмелге асырды. Забурдың екинши жырында былай деп жазылған:
ACT.13.34	Ийсаны ҳеш қашан ширитпей, өлимнен қайта тирилтетуғыны ҳаққында Қудай былай деген:
ACT.13.35	Сонлықтан басқа бир жерде былай делинген:
ACT.13.36	Даўыт өз заманында Қудайдың ерки бойынша хызмет еткеннен соң көз жумып, өз ата-бабаларының қасына қойылды ҳәм денеси ширип кетти. 
ACT.13.37	Бирақ, Қудай тирилткен Адамның денеси ширимеди. 
ACT.13.38	Солай етип, туўысқанларым, мынаны билип алыңлар: гүналарыңыздың усы Ийса арқалы кеширилетуғыны сизлерге жәрияланып атыр. 
ACT.13.39	Муўсаның Нызамы менен сизлер ҳеш бир гүнадан ақлана алмас едиңиз. Бирақ Ийсаға исенген ҳәр бир адам Ол арқалы ақланады. 
ACT.13.40	Енди абайлы болыңлар! Пайғамбарлардың айтқан мына сөзлери басыңызға түспесин:
ACT.13.42	Павел менен Барнаба мәжилисханадан шығып баратырғанда, адамлар олардан келеси дем алыс күни де усылар ҳаққында айтыўын өтиниш етти. 
ACT.13.43	Мәжилисханадағы халық тарқағанда, яҳудийлер ҳәм яҳудий динине өткен Қудайға сыйынатуғынлардың көбиси Павел менен Барнабаға ерип жүрди. Павел менен Барнаба олар менен сөйлесип, Қудайдың мийримине сүйенип жасаўды үгит-нәсият етти.
ACT.13.44	Келеси дем алыс күни қала халқының дерлик ҳәммеси Қудайдың сөзин тыңлаў ушын жыйналды. 
ACT.13.45	Бирақ яҳудийлер сонша халықты көрип, қызғанышқа толды. Павелдиң сөзлерине қарсы шығып, оны мазақ етти.
ACT.13.46	Сонда Павел менен Барнаба батырлық пенен жуўап қайтарып былай деди:
ACT.13.46	– Қудайдың сөзин дәслеп сизлерге жәриялаўымыз керек еди. Сизлер оны қабыл алмағанлықтан ҳәм өзлериңизди мәңгилик өмирге ылайықлы көрмегенликтен, бизлер енди басқа миллетлерге кетемиз. 
ACT.13.47	Өйткени Ийемиз бизлерге былай деп буйырған еди:
ACT.13.48	Басқа миллет адамлары буны еситкенде қуўанып кетип, Ийемиздиң сөзин алғыслады. Мәңгилик өмир ушын таңланғанлардың ҳәммеси исенди. 
ACT.13.49	Солай етип, Ийемиздиң сөзи пүткил үлке бойлап жайылды. 
ACT.13.50	Бирақ яҳудийлер Қудайға сыйынатуғын ҳүрметли ҳаялларды ҳәм қала басшыларын үгитлеп, Павел менен Барнабаға қарсы қойды ҳәм оларды қуўдалатып, үлкеден қуўдырып жиберди. 
ACT.13.51	Сонда Павел менен Барнаба оларға қарсы ескертиў ретинде аяқларының шаңын қағып, Иконияға кетти. 
ACT.13.52	Ал шәкиртлер қуўанышқа ҳәм Мухаддес Руўхқа толып-таса берди.
ACT.14.1	Иконияда Павел менен Барнаба әдеттегидей яҳудийлердиң мәжилисханасына барып, сондай тәсирли ўаз айтқанлықтан, яҳудийлерден де, греклерден де көп адам исенди. 
ACT.14.2	Бирақ, исенбейтуғын яҳудийлер басқа миллет адамларын туўысқанларға қарсы өшегистирип, олардың ақыл-ойын уўлады. 
ACT.14.3	Сонлықтан ол жерде узақ ўақыт қалған Павел менен Барнаба Ийемизге сүйенип, Қудайдың сөзин батырлық пенен айтып жүрди. Ийемиз олар арқалы кәраматлы белгилер ҳәм таң қаларлық нәрселерди көрсетип, Өз мийрими ҳаққында сөзлерди тастыйықлады. 
ACT.14.4	Қала халқы екиге бөлинип, гейбиреўлери яҳудийлердиң, гейбиреўлери елшилердиң тәрепине өтти. 
ACT.14.5	Яҳудийлер менен басқа миллет адамлары өз басшылары менен бирликте елшилерге жәбир берип, оларды тас пенен урмақшы болды. 
ACT.14.6	Бирақ буны билип қойған Павел менен Барнаба Ликаонияның Листра, Дербе қалаларына ҳәм сол әтирапларға қашып барып, 
ACT.14.7	сол жерлерде де Хош Хабарды жәриялаўды даўам етти.
ACT.14.8	Листрада еки аяғы ләң бир адам бар еди. Ол иштен ләң болып туўылып, ҳеш қашан жүрмеген еди. 
ACT.14.9	Бул адам Павелдиң сөзлерин тыңлап отырғанда, Павел оған тигилип қарап, шыпа табатуғынына исеними бар екенин көрди де, 
ACT.14.10	қатты даўыслап:
ACT.14.10	– Аяқларыңда тик тур, – деди.
ACT.14.10	Сол адам орнынан ушып турды да, жүре баслады.
ACT.14.11	Халық Павелдиң ислеген исин көргенде, ликаония тилинде:
ACT.14.11	– Қудайлар адам пишинине енип, бизлерге келипти, – деп бақырысты.
ACT.14.12	Олар Барнабаны Зевс, Павелди сөз сөйлегени ушын Гермес деп атады. 
ACT.14.13	Қаланың сыртында жайласқан Зевс ибадатханасының руўханийи қала дәрўазасына өгизлерди ҳәм гүл шеңберлерин алып келди де, халық пенен бирликте елшилерге қурбанлық бермекши болды.
ACT.14.14	Бирақ елшилер – Барнаба менен Павел буны еситкенде кийимлерин жыртып, көпшиликтиң арасына өзлерин урды да, былай деп бақырды:
ACT.14.15	– Адамлар! Неге бундай ислеп атырсызлар? Бизлер де сизлер сыяқлы адамлармыз-ғо! Сизлердиң бул мәниссиз нәрселерди таслап, аспанды, жерди, теңизди ҳәм олардың ишиндегилердиң ҳәммесин жаратқан тири Қудайға қайтыўыңыз ушын Хош Хабарды жәриялап атырмыз. 
ACT.14.16	Қудай өткен әўладлардың ўақтында барлық миллетлерди өз өмир жоллары менен жүриўге қалдырды. 
ACT.14.17	Соған қарамастан, Өзи ҳаққында гүўалық бериўди тоқтатпай, сизлерге жақсылық ислеп келмекте: Ол аспаннан жаўын жаўдырып, жемислерге бай мәўсимлерди береди. Сизлерди азық пенен тойдырып, жүрегиңизди қуўанышқа толтырады.
ACT.14.18	Усы сөзлер менен, олар өзлерине қурбанлық бермеўге халықты зорға дегенде көндирди.
ACT.14.19	Бирақ Писидияның Антиохия ҳәм Икония қалаларынан келген айырым яҳудийлер халықты өз тәрепине аўдырып, Павелди тас пенен урды. Оны өлди деп ойлап, қаланың сыртына сүйреп шығарып таслады. 
ACT.14.20	Деген менен, шәкиртлер әтирапына жыйналғанда, Павел өзине келип орнынан турды да, қалаға қайтты. Ертеңине ол Барнаба менен бирге Дербеге кетти.
ACT.14.21	Олар Хош Хабарды Дербе қаласында жәриялап, көп шәкирт арттырғаннан соң, Писидиядағы Листра, Икония ҳәм Антиохия қалаларына қайтып келди. 
ACT.14.22	Жол-жөнекей шәкиртлердиң жанларына күш-қуўат берип, исенимде беккем турыўды үгит-нәсият етти де: «Қудайдың Патшалығына кириўимиз ушын, көп қыйыншылықлардан өтиўимиз тийис», – деди. 
ACT.14.23	Павел менен Барнаба ҳәр бир исениўши жәмәәтте ақсақалларды тайынлады. Ораза тутып, дуўа еткеннен соң, оларды өзлери бурыннан исенетуғын Ийемиз Ийсаның қолына тапсырды.
ACT.14.24	Соңынан олар Писидия үлкеси арқалы өтип, Памфилия үлкесине келди. 
ACT.14.25	Пергияда Қудайдың сөзин жәриялағаннан соң, Анталияға кетти. 
ACT.14.26	Сол жерден кеме менен Антиохияға қайтты. Бул қалада олар өзлерине тапсырылған ис ушын өзлерин Қудайдың мийримине бағышлаған еди. Олар сол исти енди орынлады. 
ACT.14.27	Ол жерге жеткенде, олар исениўшилер жәмәәтин бир жерге жыйнап, Қудайдың өзлери арқалы нелер ислегенин, басқа миллетлерге исеним қапысын қалай ашқанын билдирди. 
ACT.14.28	Олар сол жердеги шәкиртлер менен бирге узақ ўақыт қалды.
ACT.15.1	Яҳудиядан Антиохияға гейбир исениўшилер келип, туўысқанларға: «Егер Муўсаның үрп-әдети бойынша сүннет етилмесеңлер, қутқарыла алмайсызлар», – деп тәлим бере баслады. 
ACT.15.2	Павел ҳәм Барнаба олар менен айтысып, қатты тартысып қалды. Ақырында Павел ҳәм Барнабаға, және де олар менен бирге басқа бир неше туўысқанға Ерусалимдеги елшилер менен ақсақалларға барып, усы мәселени шешиў тапсырылды. 
ACT.15.3	Солай етип, олар исениўшилер жәмәәти тәрепинен жиберилип, Феникия ҳәм Самария үлкелеринен өтти. Жол-жөнекей басқа миллетлердиң Ийемиздиң жолына түскенин
ACT.15.4	Ерусалимге келгенде, олар исениўшилер жәмәәти, елшилер ҳәм ақсақаллар тәрепинен жақсы қабыл етилди. Қудайдың өзлери арқалы ислеген ҳәмме нәрсесин оларға билдирди.
ACT.15.5	Бирақ, парисейлер
ACT.15.5	– Исениўши болған басқа миллет адамлары да сүннет етилип, оларға Муўсаның Нызамын орынлаўды буйырыў тийис, – деди.
ACT.15.6	Елшилер менен ақсақаллар бул мәселе бойынша мәсләҳәтлесиў ушын жыйналды. 
ACT.15.7	Узақ талқылаўдан соң Петр орнынан турып, оларға былай деди:
ACT.15.7	– Туўысқанлар! Басқа миллетлердиң Хош Хабарды мениң аўзымнан еситип исениўи ушын, Қудай көп ўақыт бурын араңыздан мени таңлағанын билесизлер. 
ACT.15.8	Адамның кеўлин билетуғын Қудай Мухаддес Руўхты бизлерге бергени сыяқлы, басқа миллетлерге де берип, оларды қабыл еткенин көрсетти. 
ACT.15.9	Қудай олардың кеўиллерин исенимлери арқалы тазалап, бизлер менен олардың арасына айырмашылық қоймады. 
ACT.15.10	Олай болса, енди не ушын ата-бабаларымыз да, өзлеримиз де көтерип жүре алмаған мойынтырықты шәкиртлердиң мойнына салып, Қудайды сынап атырсызлар? 
ACT.15.11	Олардың Ийемиз Ийсаның мийрими менен қутқарылатуғынындай, бизлер де өзлеримиздиң солай қутқарылатуғынымызға исенемиз.
ACT.15.12	Сонда жыйналғанлардың ҳәммеси тынышланып, Барнаба менен Павелди тыңлай баслады. Олар өзлери арқалы Қудайдың басқа миллетлер арасында көрсеткен кәраматлы белгилери менен таң қаларлық нәрселери ҳаққында айтып берди. 
ACT.15.13	Олар сөзлерин таўысқаннан соң, Яқып сөз баслап былай деди:
ACT.15.13	– Туўысқанлар, маған қулақ салыңлар! 
ACT.15.14	Басқа миллетлерден Өзине тийисли
ACT.15.15	Пайғамбарлардың сөзлери де усыған туўры келеди. Былай деп жазылған:
ACT.15.19	Сонлықтан, мениң пикиримше, Қудайдың жолына түскен басқа миллет адамларын қыйнамаўымыз керек. 
ACT.15.20	Бирақ, бутларға сойылып ҳарамланған қурбанлық гөшинен, бузықшылықтан, буўындырылып өлтирилген ҳайўанлардың гөшинен ҳәм қаннан аўлақ болыўларын жазып жибериўимиз тийис. 
ACT.15.21	Өйткени әййемги ўақытлардан бери Муўсаның Нызамы ҳәр бир қалада жәрияланып киятыр ҳәм ҳәр дем алыс күни мәжилисханаларда
ACT.15.22	Солай етип, пүткил исениўшилер жәмәәти менен елшилер ҳәм ақсақаллар өзлериниң арасынан адамларды сайлап, оларды Павел ҳәм Барнаба менен бирге Антиохияға жибериўге қарар етти. Сайланғанлар: туўысқанлар арасында басшылық етип жүрген Барсаба деп аталатуғын Яҳуда менен Сила еди. 
ACT.15.23	Олар арқалы мына хатты жазып жиберди:
ACT.15.23	«Ҳүрметли туўысқанларымыз!
ACT.15.23	Туўысқанларыңыз болған биз, елшилер ҳәм ақсақаллардан, Антиохия, Сирия ҳәм Киликиядағы басқа миллет адамлары болған сиз, туўысқанларға сәлем!
ACT.15.24	Арамыздағы айырым адамлардың сизлерге барғанын ҳәм өз сөзлери менен сизлерди тәшиўишке салып, ақылыңызды ҳайран қылғанын еситтик. Бизлер оларға ҳеш қандай жол-жорық бермеген едик. 
ACT.15.25	Сонлықтан арамыздан бир неше адамды сайлап, сүйикли туўысқанларымыз Барнаба ҳәм Павел менен бирликте сизлерге жибериўди бир аўыздан мақул таптық. 
ACT.15.26	Булар екеўи Ийемиз Ийса Масихтың аты ушын өмирлерин бағышлаған адамлар. 
ACT.15.27	Сизлерге және де Яҳуда менен Силаны жиберип атырмыз. Олар бул жазғанларымызды аўызша айтып береди. 
ACT.15.28	Себеби Мухаддес Руўх ҳәм бизлер әҳмийетли болған бул қағыйдалардан тысқары сизлерге ҳеш нәрсени жүклемеўди мақул таптық: 
ACT.15.29	сизлер бутларға сойылған қурбанлық гөшинен, қаннан, буўындырылып өлтирилген ҳайўанлардың гөшинен ҳәм бузықшылықтан аўлақ болыңлар. Усылардан сақлансаңлар, жақсы ис қылған боласызлар. Аман болыңлар!»
ACT.15.30	Солай етип, жиберилгенлер жолға шығып, Антиохияға келди. Жәмәәтти бир жерге жыйнап, оларға хатты тапсырды. 
ACT.15.31	Исениўшилер хатты оқып, ондағы кеўил көтериўши сөзлерге қуўанды. 
ACT.15.32	Пайғамбаршылық сыйын алған Яҳуда менен Сила туўысқанларға көп сөзлер менен ақыл-нәсият айтып, руўхый күш-қуўат берди. 
ACT.15.33	Бир қанша ўақыт сол жерде болғаннан соң, туўысқанлар оларды аман-есен шығарып салып, жоллағанларға қайтарды. [
ACT.15.34	]
ACT.15.35	Ал Павел менен Барнаба Антиохияда болды. Олар көплеген адамлар менен бирликте Ийемиздиң сөзин үйретип, жәриялап жүрди.
ACT.15.36	Бир қанша ўақыттан соң, Павел Барнабаға:
ACT.15.36	– Енди изимизге қайтып, бизлер Ийемиздиң сөзин жәриялаған ҳәр бир қаладағы туўысқанларымызға барайық, олардың ҳал-жағдайын көрейик, – деди.
ACT.15.37	Барнаба Марк деп аталатуғын Юханды бирге алып жүрмекши болды. 
ACT.15.38	Бирақ Павел Памфилияда өзлерин таслап кетип, бирликте баслаған исти даўам етпеген Маркты өзлери менен бирге алып жүриўди мақул көрмеди. 
ACT.15.39	Солай етип, олардың арасында кескин түсинбеўшилик болып, бир-биринен бөлинди. Барнаба Маркты алып, кеме менен Кипрға кетти. 
ACT.15.40	Ал Павел Силаны таңлады ҳәм туўысқанлар тәрепинен Ийемиздиң мийримине тапсырылғаннан соң, жолға шықты. 
ACT.15.41	Ол Сирия ҳәм Киликия үлкелерин аралап, исениўши жәмәәтлерди беккемлеп жүрди.
ACT.16.1	Павел Дербеге, соңынан Листраға келди. Сол жерде анасы исениўши яҳудий, ал әкеси грек болған Тимофей атлы шәкирт бар еди. 
ACT.16.2	Листра ҳәм Икониядағы туўысқанлар ол ҳаққында жақсы пикирде еди. 
ACT.16.3	Тимофейди өзи менен бирге алып жүриўди қәлеген Павел сол жердеги яҳудийлер себепли, оны сүннет еттирди. Өйткени ҳәмме Тимофейдиң әкесиниң грек екенин билетуғын еди. 
ACT.16.4	Олар қаладан-қалаға өтип, Ерусалимдеги елшилер менен ақсақаллар белгилеген қағыйдаларды исениўшилерге орынлаў ушын тапсырды. 
ACT.16.5	Солай етип, исениўши жәмәәтлердиң исеними беккемленип, саны күннен-күнге арта берди.
ACT.16.6	Қудайдың сөзин Азия үлкесинде
ACT.16.7	Олар Мисияның шегарасына келгенде, Битинияға кирмекши болды, бирақ Ийсаның Руўхы оларға рухсат бермеди. 
ACT.16.8	Сонлықтан олар Мисиядан өтип, Троас қаласына келди. 
ACT.16.9	Сол күни түнде Павел аян көрди. Македониялы бир адам оның алдында турып: «Македонияға келип, бизлерге жәрдем бер», – деп өтинди. 
ACT.16.10	Павел бул аянды көргеннен соң, бизлер дәрриў Македонияға барыўдың ҳәрекетин иследик. Себеби Қудай бизлерди оларға Хош Хабарды жәриялаўға шақырып атыр, деген жуўмаққа келдик.
ACT.16.11	Бизлер Троастан кеме менен шығып, туўры Самотракияға, ертеңине Неаполиске жүзип бардық. 
ACT.16.12	Ол жерден Македония үлкесиниң ең баслы қаласы, Римниң қол астында болған Филипке жетип келдик. Бул қалада бир неше күн қалдық.
ACT.16.13	Бизлер бул жерде яҳудийлер дуўа ететуғын орын бар деп ойлап, дем алыс күни
