GEN.1.1	Yakapde hikngä Anätutä kepkät yekäpkät yawän yiwikin. 
GEN.30.23	Tiwänä tängene käyä tiwän, wawakngä dukngike, using yakut. “Anätutä mayäkngä nätäne täknga awahawän hopikaying. 
GEN.30.24	Ge wawaknga täpätuxäyä anamikge natäxat,” yang yake, umanä Josep
GEN.30.25	Reseldä Josewu dukngiwänä, Jekopdä Labanu using inikut. “Nä kantrinane yotnane kunggäwitde natäxat. Ge yawi kunggäwa. 
GEN.30.26	Mängätna enganga yangge natäke, puyä awahanggamit. Ge nami, päke kunggäwa, inale puyä bulämbam hikngä pahalu, gika änanduläk,” yang inikut.
GEN.30.27	Iniwän Labandä yäkwäle wamu using inikut. “Nä ilakngä nanduxaläkngä kakengu, manäpmake kuyo. Gäle tiwän, Yawetä bänip kwikwixu namixu, tuwängune apä andayitapmät. Ge maxuyo. 
GEN.30.28	Tike inaleka natäkengu, täke yäwiläk, tiwän inä using gamit,” yang inikut.
GEN.30.29	Iniwän Jekopdä using inikut. “Puyä bulämbam hikngä pahaxäwik, kälapda daying yiwixäwa, nomängän yiwiyingu, gika änanduläk. 
GEN.30.30	Nä ane doapuxäwa, kälapda mätekngä yiwikin. Tiwändeyä nätä ane apuke, kälapda sänesäneka päke tihikuxäwa, Yawetä bänip kwikwik gamixawän, kälapda meyä hikngä asakngälak. Ge äpmanu nä hängäläpä nihä yänggwätsimdäne daying yiwitnangäsä,” yang inikut.
GEN.30.31	Iniwän Labandä “Hängä ina bimä gamit?” yang inikut.
GEN.30.31	Iniwän Jekopdä yäkwäle using inikut. “Nä hängä täpätu manamiyo. Tike gätä täke yawi, hipdu sipsipda daying yiwitäke kuwit. 
GEN.30.32	Tewi nätä ku kälapda undä dayixäwik, sipsip mätexu dänggämnä kupilä äwä sipsip meme yangu dänggämnä tolokngä käyä yang dayike päke, ninale pewit. Puyä hipdu gäle u pahawitde bimä unin päpit. 
GEN.30.33	Hiyäkände yatnä kakengu, mahande yupsäng katapiläk. Puyä pahakumde hängä u namiläxunin dayipiläkge apukengu, u namiläkätanu meme tolokngä wenä gwendu bä sipsip mätexu dänggämnä kwaxu gwendu kakengu, ‘Kukäle täkut,’ yang natäpso,” yang inikut.
GEN.30.34	Iniwän Labandä “Täke. U yänggaläk using tahahim,” yang inikut.
GEN.30.35	Inike teyä, täpduxu inä unggwenunekän, Labandä meme wäwi tolokngä käyä, äwä meme mängälä tolokngä käyä, äwä sipsip mätexu dänggämnä kupilä yangu undä Jekopdä inäle päpikge yakutdeyä päke, wawakngätä daying yiwitningge yänikut. 
GEN.30.36	Tikengä unin päke, Jekowu une teke, kewu womdune kuxawä, täpduxu gwenalä gwendu apuxuwän, undan yiwikin. Tixawän sipsiwu notnä Labandäne peke kukinu, Jekopdä daying yiwikut.
GEN.30.37	Tixäwik Jekopdä pa gupnä kupilä däkätuyile kätaxu käluk matäke, gupnä matäwän amixawä, päpän enaxawä, gupnä käwutdu using pekut. Tiwän awäpän enakinu bäniyä kwak yiwikin. 
GEN.30.38	Tiwän pa uläpäläpä memetä yanggä tängokayingune apuke dayipningge yake, gehanune wäkngasim päkapu pekut, inale meme yanggä tängopningge apuxäwixu, wäwitä mängälä une yäwäxakin. 
GEN.30.39	Ge meme mängälä, meme wäwitä pa uläpäläpäle inälängän yäwäxakinde, mätekngä pexakinu tolokngä käyä.
GEN.30.40	Tiwän sipsip äwa meme yangu dayixäwik uhinggike, sipsiwu inätä peke, meme inätä petäke kukut. Tikengä meme dänggämnä kupilä äwä meme tolokngä käyä yangu uläkwäkge nomune sipsiwu pexawän, une tahakakin. Jekopdä meme sipsip yangu using pahanggäwän, meyä hikngä sakngälakakut. Tiwän kälawu inäle dayike pewän, inätä yiwä, Labande kälawu dayike, inätä pewän yiwikin.
GEN.30.41	Kälawu kitokngänä käyätä tahaxawä, Jekopdä pa uläpäläpä kälapde kayi tängän päkapu, gehanune wäkngasim pexawän, pa uläpäläpäle inälängän tahakakin. Ge engangä tolokngä käyä pexakin. 
GEN.30.42	Tiwän kälawu kitokngänä wenätä tahaxawä, pa uläpäläpä ile kayi tängänu dowexakut. Ge engangä tolokngä wenä pexakin. Ge engangä kitokngänä wenä u pexakinu Labandäne, tiwän kälawu kitokngänä käyä Jekopdäne. 
GEN.30.43	Jekowu using pahanggäwän, memenä sipsipnä yangu meyä tiwän, puyä äminä, kamelnä, äwä dongginä yangkäyä äwänggäwän, hängänämbamgän hikngä tikut.
GEN.31.1	Labande wawakgä Jekopde using yakin. “Naninde hängäläpä undä hikngä Jekopdä päke pahawän, hängänämbamgän hikngä alik,” yang yäxawä, Jekowu natäpgut. 
GEN.31.2	Natäke Jekopdä kaxawänu Labanu tupä ilakngäkän pahakut usingu, dolahawän kakut.
GEN.31.3	Tiwänä Yawetä Jekowu using inikut. “Awomu teke enake, hipdu notdambamde nanggale kewune kuyo. Tiwän nä gäxät kuhim,” yang inikut.
GEN.31.4	Tiwänä Jekopdä Reselkät Leaxälu sipsipnätä näkaying womune apät dayipikge natäke, wam täknga tewän kuwän, une apgumäläk. 
GEN.31.5	Une kuwät dayike, Jekopdä using yänikut. “Nansä tupä näle täke natäpgut deyä, äpmanu kawa, näle usingu donatäk. Tiwändeyä nanale Anätu näxät yiwixamäk. 
GEN.31.6	Nansäle puyä pahake, kitokngäna mumba kuwä, gihä anandumäläk. 
GEN.31.7	Tiwändeyä nansätä ‘Hängä usingusingu äpme gamit,’ yangu kem nanike, ayakulune hikngä donamikulu, täpduxu meyä. Tiwändeyä Anätutä dolewän tahawän malit. 
GEN.31.8	Nansätä ‘Kälawu tolokngä käyä gäle gamit,’ yang naniwänu, mätekngä tolokngä käyäkän pekin. Tiwän ‘Kälawu guläkngä kwaxu gäle,’ yang naniwänu, mätekngä inä usäkän pekin. 
GEN.31.9	Using tahake, nansäle kälawu Anätutä päxäwik, nälekän namikut.
GEN.31.10	“Kälawu wäwitä mängälä yäwäxaying täpduxune peke, dambu täkngatu using kakum. Meme mängälä, wäwi tolokngä käyätäkän yäwakin. 
GEN.31.11	Tixawän Anätule ängelatä dambu tängänekänu using yakut. ‘Jekop,’ yawän, ‘We!’ yäwa, using nanikut. 
GEN.31.12	‘Dayixäyo. Meme mängälä, wäwi tolokngä käyä gwenggwendäkän yäwäxaying. Nätä using tahaningge tahat, inale wäyi täkngaläknga Labandä gäle u pahanggaxu andayit. 
GEN.31.13	Nä Anätu, gäle Betel apgum täpänin. Uwomune huwu gwendu däm tängenake, olip yanggätä huwu unggwenu pingyapmike, näle gepbine yiwiläkge hiyäkän wam yakuläk. Ge kewu awomu teke, kewu alakuläk womune hipdu kuyo,’ yang nanikut,” yang yänikut.
GEN.31.14	Yäniwän Reselkät Leaxätdä using inikumäläk. “Nanitdä hängä täpätu nitde hikngä niminangäsändo, 
GEN.31.15	inale itä nindupänu, nilu malä nanä tinggaxunin. Nilu moningge pewän uhiwi, moningu u päkulu undä amumbän kukin. 
GEN.31.16	Hängä täpä undä nanitde kätaxune Anätutä päkulu, nit äwä engangit yangge hängä. Ge Anätutä dasingga ganikulu using tahayo,” yang inikumäläk.
GEN.31.17	Tiwän Jekowu tändäkngake, mängätnä engangä yangu päko kamel tängäne peke, 
GEN.31.18	kälapnä äminsak, hängänä Mesopotemia päkut yangu undä yäning yäpiwän kuxawä, nanä Aisakge, Kenan kuningge kukin.
GEN.31.19	Labanu sipsip dänggäm matäwikge kuxawän, Labandä ‘anätuna’ yake ämindäkän kwätäluke yotnä pexakut täpäläpä, Reseldä kukäle päkut. 
GEN.31.20	Jekopdä Laban Aram nanä uläpä axanghopike, “Using kukamäng” yangu doinixäwik, 
GEN.31.21	hängä täpänä undä wepdäkän päke, Labanu teke, datäkuhika, ku Yanggä Yupretis Dupi yayike, Gileadkätanu täwalnä käyä womune kuningge kukin.
GEN.31.22	Täpduxu gwenalä gwendu apuxuwän, “Jekowu using datäkukut,” yang iniwä natäke, 
GEN.31.23	Labandä notnämbam yapäpän, Jekowu täwäläke kukin. Kuxawä täpduxu 7 apuxuxawän, kungu Gileadkätanu täwalnä käyä uwomune kakin. 
GEN.31.24	Tiwän kupiläne Labanu petnä peke, dambu tike kaxawän, Anätutä apu using inikut. “Yäko. ‘Jekowu tokngä wamu mainiyo,” yang inikut.
GEN.31.25	Jekopdä selyotnä Gileadkätanu täwalnä käyä uwomune täpikutnä kake, Labande notnämbamkäyä uwomunekän päkapu, selyotnä tapike yiwikin. 
GEN.31.26	Tiwän kwepdätä Labandä ku, Jekowu using inikut. “Amäk ämindä amäk tahake, iwalnä kalabusde päke kukaying usingu, yäpana inale nandunghopike päkapguläk? 
GEN.31.27	Wepdäkänu inale datängapguläk? Ananikuläk gämu, gita hikwak yang päke tayike kuläkake, galak wamu ganinayä apim. 
GEN.31.28	Yäpana bapuna yangu kisu dolahangyämike, galak wamu doyänixäwa, päke apguläk. Wäyi täknga tahakuläk. 
GEN.31.29	Nätä meyä täknga andaminangäsä. Tiwändeyä kupiläne nanggale Anätutä using nanik. “Yäko. Jekowu tokngä wamu mainiyo,” yang nanik. 
GEN.31.30	‘Nanäle yolune kuwikge alahambänipdake kukut’, yangu anatät. Tike teyä anätuna kukäle inale päkapguläk?” yang inikut.
GEN.31.31	Iniwän Jekopdä yäkwäle wamu using inikut. “‘Yäpanä inäle päyäk,’ yake naxälake, päke apgum. 
GEN.31.32	Tike anätuka uläpäläpä imindäka päkutnä kakengu, uläpä axupik. Ge hängä gätäne näle hängä täpäxätan yiwixawä kakengu, notnitde kayine gikale päyo,” yang inikut. “Reseldä Labande anätu uläpäläpä awäkut,” yangu donatäxäwik yakut.
GEN.31.33	Tiwänä Labandä Jekopde selyot, Leale selyot, äwä mängälä puyä äminu uläpäyatde selyot yangune ko dengwäsike, yäwambän malikin. Tiwän Reselde selyolune kopgut. 
GEN.31.34+GEN.31.35	Nanä Reselde selyolune doxoxawän, Reselu pilo kamel tängäne teke puku yiwixakulu, yotnäne täko tekutnä, anätu uläpäläpä ile kematkätan peke, ulängäne puku yiwikut. Ge nanätä ko yäwambänu, Reseldä nanä using inikut. “Bulämbam täpäna, tokngä manatängamiyo. Nä yekäp iwat titde, kayikane däm hikngä enatnangäsändo,” yang inike, ulängäne puku yiwixawän, yäwambän maliwä, teke epuxukut.
GEN.31.36	Tiwänä Jekowu tokngä natäke, Labanu using inikut. “Ngä nä mämä wamu dasä täknganin upukum? Ngä wäyi ina tahakumde näwäläkapguläk? 
GEN.31.37	Gätä näle hängäläpä undä hikngä dengwäsike dayiläk. Tikengu, gäle hängä täpätu undanu, ina bima kake täläk? Using kakengu, ane gäxät nanä äwä näxät nanä yangge bänäkän täkapu teng. Tiwän itä yanguhinggixut.
GEN.31.38	“Nä gäxälu krismasu 20 yiwikumäk. U yiwikumkätanu sipsiwu mängälä meyä dowäke, engangä täkekän pekin. Memexäyä usäkän. Tiwän gäle sipsiwu wäwi gwendu donäpa tikut. 
GEN.31.39	Kälapda kälap tukgä sipginu, gäle dowäkapu tahawa dayipguläk. Tike ninane nanä päke ile tangge pekum. Tike kälapda kwakäpäne bä kupiläne päkindexäyä, usinggän yäxawi, tangäle gamikum. 
GEN.31.40	Using yiwikum. Kwakäpäne gusilu pälangä hikngä nahikakin. Tixawän kupiläne kwäman hikngä tixawä gäkäxäwik, petna dowekakum. 
GEN.31.41	Krismasu 20 gäxät yiwikumäxu using hikngä tahaxäwik yiwikum. Yäpaka päpitde, puyäka krismasu 14 pahanggamikum. Tikengä sipsip meme yang päpitde, krismasu 6 pahanggamikum. Tiwändeyä ‘Unin pahawi, usingusingu ämpe gamit,’ yang nanikuläxu, ayakuläxune donamikuläxu täpduxu meyä. 
GEN.31.42	Bapuna Abraham äwä nana Aisak yangge Anätu, Aisakgä änaxäläkakulu Anätu uläpä, näxälu doyiwixamäk gämu, gätä hängä täpätu donamixäwik, moyo anäwambi kuwam. Tiwändeyä tokngämbamu u päke, puyä kitokngä u pahakakumu, Anätutä andayipgut. Ge kupiläne ile tiwän, Anätutä ganinggämätak,” yang inikut, Jekopdän.
GEN.31.43	Tiwän Labandä Jekowu yäkwäle wamu using inikut. “Mängälä aläpäyalu, näle yäpa. Tiwän engangu aläkwäxu näle bapuna. Tiwän sipsip meme yangkäyä nätäne. Hängä andayixaläxu, undä nätänekän. Tiwändeyä yäpana, bapuna yangge, dasingga alahawa teyä, näxälu doyiwitnimnä tinggak. 
GEN.31.44	Using tiwänu kontrak tahahim. Ge mahande ile natäke, ‘Wamu kitokngä using yakumäk,’ yangu änatäpsim,” yang inikut.
GEN.31.45	Tiwän Jekopdä huwu gwendu täke, däm täpän enakut. 
GEN.31.46	Tiwän, notnä hup päkapningge yänikut. Yäniwän huwu päkapu unekändäkä pekin. Peke une yiwike, naxu unekän nakin. 
GEN.31.47	Huwu unekändäkä u pekinu, Labandä umanä Jegar Sahaduta yang iniwän, Jekopdä Galet yang inikut.
GEN.31.48	Labandä “Huwu aläkwäxunin dayixäwik, ‘Labankät Jekopkätdä wamu kitokngä yakumäläkgäne’ yang natäpna kuwik,” yang yakut. Ile tiwän umanä Galet yang inikin. 
GEN.31.49	Umanä täkngatuxäyä Mispa
GEN.31.50	Gä yäpana päke päku, kätaxu dondaying yiwiläk, bä mängätda käluk täpämbä täpiläkge natäpiläk. Tike ‘Kepämindä donanduying,’ yang natäpiläk. Tiwändeyä Anätutä anindupik,” yang inikut.
GEN.31.51	Tikengä unetäkänu using inikut. “Dayipso. Huwu däm yiwixak gwen äwä huwu nit bänäkängän pelu aläkwäk yang dayipso. 
GEN.31.52	Huwu anggwen äwä huwu aläkwäk yangu, wamu kitokngä yäkamäk täkngale tuwängge yiwitning. Nätä huwu aläkwäxu doyapmike, ku tahawa maliwiläk. Tiwän gätäxäyä usinggän. Huwu aläkwäxu doyapmike, apu tahawi maliwit. 
GEN.31.53	Abrahamde Anätu, Nahorde änätu, äwä ile nanäle anätu yanggäyä gäxat näxälu uhinggitning,”
GEN.31.53	Tiwänä Jekowu wamu kitokngä Anätu nanä Aisakgä naxälakakulu uläpäle umande yakut. 
GEN.31.54	Yake täwalu undäkäne kälap tänguke, käwutdu Anätule ofa tahake, käwutdu häke, notnämbamu yangyäwambän apä nakin. Tikengä täpduxu unggwenune däpmunä täwalu undäkäne pekin.
GEN.31.55	Tiwän kwepdätä gwäsi hikngä enake, Labandä yäpanä bapunä yangu kis tahangyämike, galak wam yänikengä, äminu unuxät kukinu hipdu päpän, yotnäle kukin.
GEN.32.1	Labanu yotnäle kuxawänu, Jekopkäyä äenake kukut. Kahit täpäne kuhikangu, Anätule ängela dayipgut. 
GEN.32.2	Dayike “Kewu awomu Anätule ämindä yotde äpmandähimdekän päkapu yiwixaying,” yang yake, kewu uwomu umanä Mahanaim
GEN.32.3	Tikengä Jekopdä puyä äminä kantri Idomkätanu kewu Seir uwomune ku, payänä Iso yawä natäpikge yänikut. 
GEN.32.4	Using yänikut. “Bulämbam täpäna Iso wamu using ininong. ‘Puyä äminda Jekopdä using yak. Labankät yiwihika aapunggat. 
GEN.32.5	Nä towiyä gämäna, donggina, sipsipna, memena äwä puyä ämina yangu käyä. Ge bulämbam täpäna, wamu aläknga gäle tewa apunggak, inale gätä bänip gwaläng natängamiläkge natät, yang ninik, tiwän apumäng,” yang ininong, Ison,” yang yänikut. Yänike yäning yäpiwän kukin.
GEN.32.6	Ku inike, Jekopde hipdu apgin. Apu using inikin. “Payäka Iso axu inikumäng. Tiwän änggandupikge, äminu 400 päpän ixät using apäyak.” yang inikin.
GEN.32.7	Tiwän änaxälake, meyä hikngä päxäwikgän, äminu ixät kukin, sipsipnä, memenä, towiyä gämänä äwä kamelnä yang upuke, täkwäkgu inätä päku peke, täkwäkguxäyä inätä päku pekut, 
GEN.32.8	inale using natäpgut. “Isotä apu yakap täkwäk sipänu, mahan yiwitning täkwäxu andatäkuwä, dosipik,” yang natäpgut.
GEN.32.9	Tikengä tumuk wamu using yakut. “O Anätu bapuna Abraham äwä nana Aisak yanggäne, O Yawe, gätä using nanikuläk. ‘Kantrika alakuläk womune kuwi, nätä gatänggama, täkekän yiwiläk,’ yang nanikuläk. 
GEN.32.10	Nä puyä äminda, tiwän umana wenä. Tiwändeyä gätä näle iwikge natäxäwik, gwälam hikngä tahanggaläxunin. Yanggä Jodan Dupi tupä yayike apgumkätanu, hängäna wenä; hiputnatäkän hanggike yayike apgum. Tiwändeyä äpmanu hangäna meyä hikngä tiwän, inäinä pet; täkwäkgu inätä peke, täkwäkgu inätä pet. 
GEN.32.11	Ge gatängamiyo. Gatängamike, payäna Isole kätaxune maleyo. ‘Itä apu mängätna, enganga, äwä nina yangu undä nihipän kumnäm,’ yake naxäläkgat. 
GEN.32.12	Wamu using nanikuläk. ‘Nätä äpme pahawa täkekän yiwiläk. Tikengä bapuka pahawa, meyä hikngä haluhalu bimä tiwä, kendetnangäsä doliwik,’ yang nanikuläk. Ge gatängamiyo, tiwän Isotä donihipik,” yang inikut.
GEN.32.13	Inike, kupilä uggwenune, une yiwikut. Une yiwixäwik, kälawu gwenduyi bänip gwalängge payänäle imikge tuwängukut. 
GEN.32.14	Using tuwängukut. Meme mängälä 200, meme wäwi 20, sipsiwu mängälä 200, sipsiwu wäwi 20, 
GEN.32.15	kamelu engangä käyä 30xät engangäxät, towiyä gämänu mängälä 40, towiyä gämänu wäwi 10, donggi mängälä 20, äwä donggi wäwi 10 yang imikge tuwängukut. 
GEN.32.16	Kälap tuwängukengu, inäinä upuke, puyä äminu täpätu täpätule kätaxune pekut. Peke puyä äminä using yänikut. “Gindä gämäk kunong. Axunanggengu, unekän hikngä maxunong. Täkwäkgutä gämäk kuwä, bänäkänu wangga äyiwiyok. Tiwänä täkwäkgu une. Tiwän une kuningkäyä, usinggän,” yang yänikut.
GEN.32.17	Tikengä puyä äminä yakäp kuwikge täpä using inikut. “Axuwi payäna Isotä ganduke, ‘Gä towikga imin? Kälawu imindäne yäwäxawi apukaying? Tiwän säne päke kunggaläk?’ yang bä ganiwän kayo. 
GEN.32.18	Tiwänu using iniyo. ‘Kälawu aläkwäxu puyä äminda Jekopdäne. Itä bulämbam täpänä Isole yake namän, bänip gwalängge gamikge päkapunggat. Tixäwixu inä Jekowu äpmäxälä apänak,’ yang iniyo,” yang inikut.
GEN.32.19	Tikengä puyä äminä kälawu yakap täpäle mehene päke kuwikge täpä, äwä uläpäle mehene päke kuwikge täpä, äwä une päke kuning ämin yangu usinggän yänikut. “Iso kakengu, 
GEN.32.20	wamu undaninggat usinggän ininong. Tikengu using ininong. ‘Puyä äminda inä Jekopkäyä mahaninkätan apänak,’ yang ininong,” yang yänikut, Jekopdän, inale using natäpgut. “Hängä bänip gwalängge imitde pewa kuwä kakengu, bänip kwikwixu äpmembä natängamik. Ge nina kuwa nandukengu, äläkuläkawik,” yang natäke, 
GEN.32.21	hängäläpä gämäk pewän päke kuxawä, kupilä unggwenu Jekowu yolu äpmandekän tahake yiwikut womune inäkän yiwikut.
GEN.32.22	Kupilä unggwenunekänu Jekopdä mängät täpäyatnä, mängälä puyä äminäle yiwixamäläxu uläpäyat, äwä wawakngä 11-u uläkwäk yang päpän, Yanggä Jabok Dupi ayayikaying womune yayike, käwutdu yänipäko pekut. 
GEN.32.23	Päko peke ako, hängä täpänäxäyä yawän, puyä äminä kukindä päke, atusikäwut päko pekin. 
GEN.32.24	Tixawänu Jekowu käwutdu inäkän yiwikut.
GEN.32.24	Tixawän äminu täpätutä apän, “Imindäka betake, kewune täpän pimapän?” yake usinggän pahaxawät, axwakawikge tikut. 
GEN.32.25	Using betäxäwik, äminu uläpätä kawänu, Jekowu yapmitnangäsä doliwän, yemiyiwilune tepän, golängä wakäwakälune dekut. 
GEN.32.26	Tiwän äminu uläpätä Jekowu “Tewi kunggäwa. Axwakäwikge alinggak,” yang iniwändeyä, Jekopdä “Wam gwaläng gämäk namiyä, tewa kuwiläk,” yang inikut.
GEN.32.27	Tiwän äminu uläpätä “Ngä gä umanda imin?” yang iniwän, “Nä umana Jekop,” yang inikut.
GEN.32.28	Iniwänu äminu uläpätä using inikut. “Gä umanda Jekop yangu dongganikaning. Tike umanda käluk täkgna Israel yang ganikaning, inale gä ämin äwä Anätu yangu amäke yapmiläk
GEN.32.29	Iniwän Jekopdä “Äwä gäle umanu täkembä naniwiläk?” yang iniwän, uläpätä “Umana ganiwitde inale hikngä yänggaläk?” yang inike, wam gwaläng imikut.
GEN.32.30	Tiwän Jekopdä “Anätule nomu axake teyä doxungwät,” yake, kewu uwomu umanä Peniel
GEN.32.31	Gusitdä akoxawänu, golängä andekutde, Peniel teke kukulu, amandotäke kukut. 
GEN.32.32	Jekopde yemiyiwilune tepän, golängä wakäwakälune dekutde, Israel nanä äpmandehimkäyä, kälap hakengu, hikngwämu goläng wakäwakälune nanä donäkayingunin.
GEN.33.1	Jekowu Peniel teke kuhika, kwayiwän enawänu, Iso äminä 400 päpän apunggäwä dayipgut. Dayike engangä upuke pekut. Leale engangu inä Leaxät peke, Reselde engangu inä Reselkät peke, puyä äminä uläpäyatde engangkäyä usinggän pahakut. 
GEN.33.2	Puyä äminä uläpäyatkät engangäxät gämäk pewän yiwä, ile mehene Leaxät engangäxät pewän yiwä, wäsekngä Reselkät wawakngä Josepkät pekut. 
GEN.33.3	Tikengä inä Jekopdä gämäk täku Isole kayine kuhilä kep däkäxätan täpu temgut. Tikengä usinggän pahanggäwän, 7 tikut.
GEN.33.4	Tixawän Isotä ihapmäke, apu Jekowu betake, kis tahangämike, kwänämnä initiwän, kwänämnä une tikumäläk. 
GEN.33.5	Tiwäl matäwän, Isotä hilakengu, mängälä engangä yang yiwikinä dayike, Isotä “Äminu aläkwäk yiwiyingu imindäne?” yang inikut.
GEN.33.5	Iniwän Jekopdä “Näle engang aläkwäxun, Anätutä puyä ämindale näle bänip gwaläng natäke namikulunin,” yang inikut.
GEN.33.6	Tiwän puyä äminä uläpäyatkät engangäxätdä Isotä yiwikulune hikngä päku sopäsopä puke, kuhilä kep däkäxätan täpu yamgin. 
GEN.33.7	Tiwän ile mehene Lea engangä yanggä päku, sopäsopä puke, kuhilä kep däkäxätan täpu yamgin. Tiwän wäsekngä Josepkät mingä Reselkätdä päku, usinggän pahakumäläk.
GEN.33.8	Tiwänä Isotä Jekowu using inikut. “Kälawu uläkwäxu dasingge päkapuläkngä dayit?” yang iniwän, Jekodpä using inikut. “Bulämbam täpäna, gätä ilakngä hikngä nandupiläkge, gäle tiwän päkaput,” yang inikut.
GEN.33.9	Tiwändeyä Isotä “Notna, nä usä käyä. Ge u gikale,” yang inikut.
GEN.33.10	Iniwändeyä Jekopdä yäkwäle wamu using inikut. “Bulämbam täpäna, usingu mayäyo. Gätä ilakngä nanduläkngä kakengu, hängäläpä bänip gwalängge gamilu äwayo. Nätä nomda gandulu, Anätule nomune bima kat, inale gätä näle bänip kwikwik natäläk. 
GEN.33.11	Anätutä bänip gwaläng natängamike namikut. Tiwän nä hängänambamgän hikngä tikut. Ge hängäläpä bänip gwalängge päkapulu awäyo,” yake kitokänggawän, Isotä “Hii, täke,” yang inikut.
GEN.33.12	Unetäkänu using inikut. “Nä ginkät kunim,” yang iniwändeyä, 
GEN.33.13	Jekopdä using inikut. “Bulämbam täpäna, enganga kälapna yangu andayiläk. Enganga yupsängu kitokake kunangäsändo. Tiwän sipsip towiyä gämän yangkäyä usäkän. Engangä mämnä näkayingu yupsängu kunangäsändo. Äyäwämba ihapmäke, täpduxu gwendunekänu malä hikngä kuhikangu, kälawu undä axumning. 
GEN.33.14	Ge bulämbam täpäna, gätä gämäk kunggayo. Tixawänä puyä äminda kälapkät engangkätdä wepdä älukukaying using kuxawä, apuhikangä, bulämbam täpänale, Seir uwomune apundopnim,” yang inikut.
GEN.33.15	Tiwänä Isotä using inikut. “Gäxät apningge äminu näxät apumängu täpätuyi yäniwa yiwixakut,” yang iniwändeyä, Jekopdä “Usingu inale tahawiläk? Gätä nä ilakngä nandupiläkgekän natät,” yang inikut.
GEN.33.16	Tiwänä täpduxu inä unggwenunekän, Iso hipdu täpän täkwämbän, Seirle kukut. 
GEN.33.17	Tiwändeyä Jekowu Iso doläwaläke kukut. Tike Sukot kukut. Täku yotnä tahake, kälapnäle gepmä pahakut. Ile tiwän kewu uwomu umanä Sukot
GEN.33.18	Jekopdä Mesopotemia teke apgulu, meyä dowäxäwik apuhika, kewu Kenan uwomune taunu Sekem apundopgut. Täkapu selyotnä taunde wäkngäsim tapikut. 
GEN.33.19	Tikengä kewu selyotnä tapikulu uwomde, moningu 100 silwa, Sekemde nanä Hamor yänggwätde yämikut. 
GEN.33.20	Kewu uwomune alta Anätule tahake, umanä El-Elohe-Israel
GEN.34.1	Gwendune Jekopkät Leaxätde yäpa Daina mängälä kewu uwomune nanä dayipikge kukut. 
GEN.34.2	Hamoru, Hiwi nanä uläpä kewu uwomune nanäle kuhiläle yiwixakut. Ile wawaxu Sekem. Uläpätä Daina kambutake, tänggänggänuke tahawän malikut. 
GEN.34.3	Tiwän Dainale natänggämätake, wamu ilakngäkän inikut. 
GEN.34.4	Tikengä Sekemdä nanä Hamoru using inikut. “Mängälä aläpä näle yängamiyo. Tiwän mängätnale täpit,” yang inikut.
GEN.34.5	Jekopde wawaxu kälawu äminsak daying yiwitningge songäne päku yiwikin. Tixawän Jekowu “Sekemdä yäpaka Daina tahawän malikut,” yawä natäpgut. Tikengu wamu täkngatu doyakut. Tike wawakngäle yiwixakut.
GEN.34.6	Tixawän Hamor äwä wawakngä Sekem yangu Jekopkät wam yäningge, taun teke, Jekopde kukumäläk.
GEN.34.7	“Hängä womdu using tahakin,” yangu yawä natäkengä, Jekopde wawaxu kewu uwom kukinu teke, hipdu yolune apgin. Sekemdä Daina tänggänggänuke tahawän malikulu, Israel
GEN.34.8	Ge yolune apä, Hamordä Jekowu using inikut. “Wawaknga Sekemu yäpakale hikngä natäxak. Täkembä mängätnäle imining? 
GEN.34.9	Tiwän mängälä ninkätan nanä damixätna, yäkwäle nimining? 
GEN.34.10	Tiwän ninkät gatäke using yiwitnim. Kewu sawomuneka yiwitningge natäkengu, gihä kake, kewu uwomune yiwitnong. Tixäwik kewu awomkätanu täkekän tihikuning. Tixäwik kewu nindäne womduyi täke päning,” yang inikut.
GEN.34.11	Tiwänä Sekemdä Dainale nanä äwä häminä yangu using yänikut. “Gindä wamu u yäwilu ‘Täke’ yaningä kakengu, inaleka naniningu äpme damit. 
GEN.34.12	Mängälä uläpäle moningu dasingdasingga damitde natäkengu, täke tuwängutning. Hängä gwälamu dasäka damitde natakengu, täke yäning, tiwänu äpme damit. Inale mängälä uläpä ahikngä naminingge natäxat,” yang yänikut.
GEN.34.13	Haminä tahawän malikutde natäke, Jekopde wawakgä Sekemkät nanä Hamorkälu yäkwäle wamu kem yäniningge natäke, using yakin. 
GEN.34.14	“Usingu dolahanim. Hamininu gupnä domatäkin äminde yäminangäsändo. Using tahakengu, mäyäkngä hikngä natäpnimunin. 
GEN.34.15	Tike hängä täkngatukän alahangäsän. Nindä gupnin matäkumäng usinggän, ginkäyä wäwi undä gupsä matänong. Tiwänä ‘Täke,’ yangu daninim. 
GEN.34.16	Tikengä mängälä mätexu damixätna, yäkwälexäyä nimining. Tiwän ninkät ginkälu u äminuninggän däkngake yiwitnim. 
GEN.34.17	Tike gupsä matäningge ‘Täke’ yangu doyawä, hamininu äläke kunim,” yang yänikin.
GEN.34.18	Tiwän Hamorkät Sekemkätdä natäpälu, wamu uläknga täke tikut. 
GEN.34.19	Tiwän wäwi mätexu uläpä Jekopde yäpale hikngä natäpgutde, wamu yänikin using yupsäng pahakut. Äminu taunune nanätä kawä, äminu Hamorde yolune yiwixayingkätanu, Sekemu bulämbam täpä tikakut. 
