GEN.1.1	Худа һәммидин бурун пүтүн аләмни яратти. 
LUK.15.32	Лекин сениң иниң өлүп тирилди, йоқилип тепилди. Уни зияпәт қилип күтүвелишимизға тегишлик», дәпту атиси униңға. 
LUK.16.1	Һәзрити Әйса шагиртлириға мундақ деди: 
LUK.16.1	— Бир байниң бир ғоҗидари бар екән. Бирси байға: «Бу ғоҗидариңиз мал-мүлкиңизни бузуп чачти», дәп шикайәт қипту. 
LUK.16.2	Бай ғоҗидарни чақирип, униңға: «Мениң аңлиғанлирим қандақ гәп? Әнди хизмәттин бошитилисән, һесап-китапни тапшур», дәпту. 
LUK.16.3	Һелиқи ғоҗидар ичидә: «Ғоҗайиним мени хизмәттин бошитивәтсә, буниңдин кейин қандақ қилармән? Етизда ишләшкә күчүм йоқ, тиләмчилик қилай десәм, номус қилимән... 
LUK.16.4	Һә, раст, ишсиз қалған вақтимда кишиләрниң мени өйлиридә турғузуши үчүн қандақ қилиш керәклигини билимән!» дәп ойлапту. 
LUK.16.5	Шуниң билән у ғоҗайиниға қәриздарларни бир-бирләп чақирип келип, биринчисидин: «Ғоҗайинимға қанчилик қәриз болдуң?» дәп сорапту. 
LUK.16.6	«Йүз туң зәйтун йеғи», дәп җавап берипту у. Ғоҗидар: «Мана бу сениң һесап дәптириң, дәрһал олтирип әлликкә өзгәртивәт!» дәпту. 
LUK.16.7	У йәнә биридин: «Сәнчу, қанчилик қәриз болдуң?» дәп сорапту. «Миң тағар буғдай», дәп җавап берипту у. Ғоҗидар униңға: «Мана бу сениң һесап дәптириң. Сәккиз йүзгә өзгәртивәт!» дәпту. 
LUK.16.8	Бай бу ишни билгәндин кейин, бу сәмимийәтсиз ғоҗидариниң зерәклигигә қайил бопту. Чүнки у өз кәлгүсини ойлап тәйярлиқ қилған екән. 
LUK.16.9	Шуңа өз байлиғиңлар билән ярдәмгә муһтаҗ болғанларға ярдәм берип, уларни дост тутуңлар. Ундақ қилсаңлар, байлиқ түгигәндә, бақий дунияда күтүвелинисиләр. 
LUK.16.10	Кичик ишларда ишәнчлик болған киши, чоң ишлардиму ишәнч­лик болиду. Кичик ишларда ишәнчсиз болған киши, чоң ишлардиму ишәнчсиз болиду. 
LUK.16.11	Әгәр силәр бу дуниядики байлиқларни бир тәрәп қилишта сәмимийәтсиз болсаңлар, Худа қандақму җәннәттики һәқи­қий байлиқни силәргә ата қилсун? 
LUK.16.12	Әгәр силәр башқиларниң нәрсилиригә садиқ болмисаңлар, өз несивиңларни силәргә ким бәрсун?! 
LUK.16.13	Икки ғоҗайинға хизмәт қилалайдиған һеч қандақ чакар йоқ. У яки буни яман көрүп, уни яхши көриду, яки буниңға етивар берип, униңға сәл қарайду. Шуниңға охшаш, силәрниң бирла вақитта һәм Худаниң вә мал-дунияниң қули болушуңлар мүмкин әмәс. 
LUK.16.14	Бу сөзләрни аңлиған пулға амрақ пәрисийләр һәзрити Әйсани мәсқирә қилишти. 
LUK.16.15	Һәзрити Әйса уларға мундақ деди: 
LUK.16.15	— Силәр кишиләрниң алдида өзәңларни алийҗанап қилип көрсити­силәр. Лекин Худа көңүллириңларни яхши билиду. Инсанларниң қәдирләйдиғини Худаниң нәзәридә жиркиничликтур. 
LUK.16.16	Йәһия пәйғәмбәрниң заманиғичә, Тәврат вә пәйғәмбәрләрниң тәлиматлири силәргә йетәкчи еди. Бирақ Йәһия кәлгәндин бери Худаниң Падишалиғи тоғрисидики Хуш Хәвәр тарқалмақта вә нурғун адәм тиришип-тирмишип Униңға кирмәктә. 
LUK.16.17	Һалбуки, бу Тәврат қануни инавәтсиз дегәнлик әмәс. Әксичә асман-зимин йоқалсиму, Тәврат қануниниң бир чекитиму бекар қилинмайду, — деди. 
LUK.16.18	Һәзрити Әйса йәнә: 
LUK.16.18	— Аялини талақ қилип, башқа бирини әмригә алған киши нека садиқлиғини бузған болиду. Талақ қилинған аялни әмригә елишму нека садиқлиғини бузғанлиқ болиду, — деди. 
LUK.16.19	Һәзрити Әйса мундақ деди: 
LUK.16.19	— Бурунларда дайим һашамәтлик кийимләрни кийип, әйш-ишрәтлик турмуш кәчүридиған бир бай өткән екән. 
LUK.16.20+LUK.16.21	Йәнә пүтүн әзайини җараһәт бесип кәткән Лазар исимлиқ бир тиләмчиму бар екән. Кишиләр уни байниң дәстихинидин ашқан нәрсиләрни терип йәп җан бақсун дәп, һемишәм уни байниң ишик алдиға әкелип қойидикән. У йәрдә ятқинида һәтта иштлар келип униң ярилирини ялайдикән. 
LUK.16.22	Кейин бу тиләмчи өлүп кетипту. Периштәләр уни җәннәткә елип кирип әҗдадимиз Ибраһимниң йениға апирипту. Униңдин кейин байму өлүп, йәрликкә қоюлупту. 
LUK.16.23	У йәр астида қаттиқ азап чекипту. У бешини көтирип, жирақ бир җайда әҗдадимиз Ибраһимни вә униң йенидики Лазарни көрүп: 
LUK.16.24	«Әй бовам Ибраһим, маңа рәһим қилғайсән! Лазарни әвәткәйсән. У бармиғиниң учи билән су темитип, тилимни нәмдәп қойғай, чүнки мән бу от ялқуниниң ичидә интайин азаплиниватимән!» дәп вақирапту. 
LUK.16.25	«Әй оғлум», дәпту әҗдадимиз Ибраһим, «Һаят вақтиңда һалавәтни йәткичә көрдүңғу! Лазар болса, һәммә җапани тартти. Әнди у бу йәрдә раһәт көрүватиду, сән болсаң азаплиниватисән. 
LUK.16.26	Униң үстигә, иккимизниң арисини теги йоқ һаң айрип туриду. Шуңа бу йәрдин сән турған йәргә беришму мүмкин әмәс. У йәрдин бу йәргә келишму мүмкин әмәс». 
LUK.16.27	Бай мундақ дәпту: «Әй бова, ундақ болса, Лазарни атамниң өйигә әвәтишиңизни өтүнимән. 
LUK.16.28	У йәрдә мениң бәш қериндишим бар. Уларниң бу азап-оқубәтлик йәргә кәлмәслиги үчүн, уларни агаһландуруп қойсун». 
LUK.16.29	«Қериндашлириңға Муса вә башқа пәйғәмбәрләрниң агаһландуруш­лири бар. Улар шуни аңлисун», дәпту әҗдадимиз Ибраһим. 
LUK.16.30	«Әй бовам Ибраһим», дәпту бай, «Бу купайә қилмайду, улар бәк тәрса. Әгәр өлгән бирәр адәм тирилип уларниң алдиға барса, улар товва қилип тоғра йолға маңатти». 
LUK.16.31	Лекин әҗдадимиз Ибраһим униңға: «Улар Муса вә башқа пәйғәмбәрләрниң сөзини аңлимиса, өлгән адәм тирилсиму, ишәнмәйду», дәпту. 
LUK.17.1	Һәзрити Әйса шагиртлириға мундақ деди: 
LUK.17.1	— Кишиләрни гуна қилдуридиған сәвәпләрниң болуши муқәррәр. Лекин бу сәвәпләрни пәйда қилғанларниң һалиға вай! 
LUK.17.2	Бундақ адәмниң бойниға йоған түгмән теши есилған һалда деңизға ташлаветилгини әвзәл. Чүнки бу җаза Маңа йеңидин ишәнгәнләрниң бирини аздурған кишигә берилидиған җазадин яхширақ. 
LUK.17.3	Шуңа силәрму немә қиливатқиниңларға пәхәс болуңлар! 
LUK.17.3	Бирақ қериндишиңлар гуна қилған болса, несиһәт қилиңлар. У товва қилса, уни кәчүрүм қилиңлар. 
LUK.17.4	Мабада у бир күн ичидә силәргә йәттә қетим гуна қилип, һәр қетим келип товва қилса, гуналириниң һәммисини кәчүрүм қилиңлар. 
LUK.17.5	Он икки шагирти һәзрити Әйсаға: 
LUK.17.5	— Ишәнчимизни күчәйткәйсиз, — дейишти. 
LUK.17.6	Һәзрити Әйса уларға мундақ деди: 
LUK.17.6	— Силәрдә қича уруғидәк чоңлуқта болсиму ишәнч болсиди, әву үҗмә дәриғигә: «Йилтизиңдин қомурулуп деңизға көч!» десәңлар, у силәргә бойсунуп, деңизға көчкән болатти. 
LUK.17.7	— Әгәр мәлум бириңларниң териқчилиқ қилидиған яки қой бақидиған қулуңлар болуп, у даладин қайтип кәлгәндә: «Тезирәк келип тамиғиңни йәвал», дәйсиләрму? 
LUK.17.8	Яқ! Бәлки униңға: «Пәртуқни тарт, авал кәчлик тамақ тәйярлап, мени ғизаландурғин, андин берип тамиғиңни йә», дәйсиләр. 
LUK.17.9	Қулуңлар буйруғуңларни бәҗа кәлтүрсә, униңға рәхмәт ейтамсиләр? Чоқум ейтмайсиләр. 
LUK.17.10	Силәрму шуниңға охшаш, Худа буйруған һәр қандақ бир ишни орунлиғиниңларда: «Биз әрзимәс қуллириң, пәқәт өз вәзипимизнила орунлидуқ», дәңлар. 
LUK.17.11	Һәзрити Әйса Йерусалимға бериш сәпиридә Самарийә билән Җәлилийә өлкилири чегарилинидиған районлардин өтүп кетиветип, 
LUK.17.12	бир йезиға киргинидә, Униң алдиға мохо кесилигә гириптар болған он адәм кәлди. Улар напак болғачқа, йеқин кәлмәй жирақта тохтап: 
LUK.17.13	— Әй Устазимиз Әйса, бизгә рәһим қилғайсиз! — дәп вақириди. 
LUK.17.14	Һәзрити Әйса уларни көрүп: 
LUK.17.14	— Роһанийларға берип көрүнүңлар. Силәрниң әнди пакланғанли­ғиңларни тәкшүрсун, — деди. 
LUK.17.14	Улар йолда кетиватқанда моходин сақайди. 
LUK.17.15	Уларниң ичидә бири өзиниң сақийип кәткәнлигини көрүп, дәрһал жуқури аваз билән Худаға мәдһийә ейтип, кәйнигә қайтти 
LUK.17.16	вә һәзрити Әйсаниң айиғиға жиқилип тәшәккүр ейтти. Бу адәм йәһудийлар яман көридиған самарийәликләрдин еди. 
LUK.17.17	Һәзрити Әйса буни көрүп турғанларға: 
LUK.17.17	— Сақайғанлар он адәм әмәсмиди? Қалған тоққузи қени? 
LUK.17.18	Йәһудий әмәс бу самарийәликтин башқа, Худаға шүкүр ейтидиған киши йоқму?! — деди. 
LUK.17.19	Андин һәзрити Әйса һелиқи адәмгә: 
LUK.17.19	— Орнуңдин тур, маңғин. Маңа ишәнгәнлигиң үчүн Худа сени сақайтти, — деди. 
LUK.17.20	Бәзи пәрисийләр һәзрити Әйсадин Худаниң Падишалиғиниң қачан намайән болидиғанлиғини сориди. Һәзрити Әйса уларға мундақ җавап бәрди: 
LUK.17.20	— Худаниң Падишалиғиниң намайән болуши көз билән көргили болидиған иш әмәс. 
LUK.17.21	«Қараңлар, у мана бу йәрдә!» яки «У йәрдә!» дәп һеч ким дәләлмәйду. Чүнки Худаниң Падишалиғи дилиңлардидур. 
LUK.17.22	Кейин шагиртлириға йәнә мундақ деди: 
LUK.17.22	— Шундақ күнләр келидуки, силәр Мениң, йәни Инсан Оғлиниң қайтип келип, һөкүм сүридиған күнлириниң бирәрсини көрүшкә тәшна болисиләр, амма көрәлмәйсиләр. 
LUK.17.23	Бәзиләр силәргә: «Қараңлар, Қутқазғучи у йәрдә!» яки «Қараңлар, У бу йәрдә!» десә, чиқип қаримаңлар вә уларниң кәйнидин жүгримәңлар. 
LUK.17.24	Чүнки чақмақ чеқип, асманни бу четидин у четигичә қандақ йорутқан болса, Инсан Оғлиниң йетип келидиған күниму шундақ болиду. 
LUK.17.25	Лекин У авал нурғун азап-оқубәтләрни тартиши вә бу әвлат йәһудийлар тәрипидин рәт қилиниши керәк. 
LUK.17.26	Нуһ пәйғәмбәрниң заманида қандақ болған болса, Инсан Оғли­ниң келидиған заманидиму шундақ болиду. 
LUK.17.27	У заманниң кишилири Нуһ пәйғәмбәр кемигә олтарған күнгичә, адәттикичә йәп-ичип, өйлүк-очақлиқ болуп кәлгән еди. Туюқсизла топан келип, кемигә чүшмигән­ләрниң һәммисини һалак қилди. 
LUK.17.28	Йәнә шуниңдәк, әҗдадимиз Ибраһим­ниң җийәни Лутниң заманидиму кишиләр адәт­тикичә йәп-ичип, сода-сетиқ қилип, териқчилиқ қилатти вә өйләрни ясатти. 
LUK.17.29	Лекин Лут Содом шәһиридин айрилған күни, асман­дин от билән гуңгут йеғип, Содом шәһиридикиләрниң һәмми­сини көйдүрүп һалак қилди. 
LUK.17.30	Инсан Оғлиниң қайтип келидиған күниму әйнә шундақ болиду! 
LUK.17.31	У күни өгүздикиләр өйидики нәрсә-керәклирини алмай қачсун. Етизларда ишләватқанларму мал-мүлүклирини еливелиш үчүн өйигә қайтмай қечип кәтсун. 
LUK.17.32	Лутниң аялиниң мал-мүлкигә көзи қиймай кәйнигә қарап, таш тузға айлинип қалғанлиғи есиңларда болсун! 
LUK.17.33	Чүнки өзи үчүнла яшайдиғанлар әксичә һаятидин мәһрум болиду. Бирақ өз хаһишидин ваз кечип, Мениң үчүн яшайдиғанлар һаятини сақлалайду. 
LUK.17.34	Билип қоюңларки, Мән қайтип келидиған кечә бир орунда ятқан икки кишиниң бири қалдурулуп, йәнә бири асманға елип кетилиду. 
LUK.17.35	Түгмән теши билән ун тартиватқан икки аялниң бири қалдурулуп, йәнә бири асманға елип кетилиду. 
LUK.17.36	Етиздики икки кишидин бири елип кетилип, йәнә бири қалдурулиду. 
LUK.17.37	— Әй Рәббимиз, бу вақиәләр қәйәрдә йүз бериду? — дәп сориди шагиртлар. 
LUK.17.37	— Җәсәт қәйәрдә болса, қузғунлар шу йәргә топлиниду, — дәп җавап бәрди һәзрити Әйса. 
LUK.18.1	Һәзрити Әйса шагиртлириға бошашмастин, һемишәм дуа қилип туруш керәклиги тоғрисида йәнә бир тәмсил сөзләп бәрди: 
LUK.18.2	— Мәлум шәһәрдә бир қази бар екән. У Худадинму қорқмай­дикән, адәмләрниму һөрмәт қилмайдикән. 
LUK.18.3	Шу шәһәрдики бир тул аял һемишәм униң алдиға берип: «Бирси маңа азап салди, сиз адил һөкүм чиқирип, маңа атидарчилиқ қилсиңиз», дәп тәләп қипту. 
LUK.18.4	Лекин қази бу ишни бәк кәйнигә сөрәветипту, бирақ кейин ичидә: «Мән Худадин қорқмаймән, адәмләрниму һөрмәт қилмаймән, 
LUK.18.5	лекин бу тул аял дайим ишигим алдидин кәтмәй мени зериктүрүвәтти. Униңдин қутулуш үчүн һал-дәрдини аңлап, дәрдигә йәткиним түзүк охшайду», дәп ойлапту. 
LUK.18.6	Рәббимиз Әйса тәмсилни чүшәндүрүп мундақ деди: 
LUK.18.6	— Бу адаләтсиз қазиниң сөзлиридин савақ елиңлар. 
LUK.18.7	Бир адаләтсиз қази шундақ қилған йәрдә, Худа Өзидин кечә-күндүз ярдәм тилигән бәндилириниң дәрдигә йәтмәсму? Уларға қилидиған шапаитини кечиктүрәрму? 
LUK.18.8	Яқ! Әксичә Худа җәзмән тездин уларниң һалиға йетиду. Дәрвәқә, Инсан Оғли асмандин қайтип кәлгәндә, йәр йүзидин Өзигә ишинидиғанларни тапаларму? 
LUK.18.9	Һәзрити Әйса өзлирини адаләтчи дәвелип, башқиларни көзигә илмайдиған кишиләргә қаритип, йәнә бир тәмсил ейтти: 
LUK.18.10	— Икки киши дуа қилиш үчүн мәркизий ибадәтханиға берипту. Уларниң бири пәрисий, йәнә бири баҗгир екән. 
LUK.18.11	Пәрисий хәлиқниң алдида өрә туруп мәғруранә һалда: «Әй Худа! Мениң башқилардәк алдамчи, гунакар, нека садиқлиғини бузғучилардин болуп қалмиғи­нимға, болупму бу баҗгирға охшимиғинимға шүкүр. 
LUK.18.12	Мән һәр һәптидә икки күн роза тутимән вә пүтүн иш һәққимниң ондин бир үлүшини Худа йолида сәдиқә қилимән», дәп дуа қипту. 
LUK.18.13	Бирақ һелиқи баҗгир башқилардин нери һалда ибадәтханиниң бир булуңида туруп, бешини көтирип асманға қарашқиму җүръәт қилалмай, мәйүсләнгән һалда мәйдисигә уруп: «Әй Худайим, мән гуна­кар. Маңа рәһим қилғайсән», дәпту. 
LUK.18.14	Аңлап қоюңларки, Худаниң нәзәридә бу иккисидин һелиқи пәрисий әмәс, бәлки баҗгир кәчүрүмгә еришип өйгә қайтипту, чүнки Худа өзини үстүн тутқанни төвән қилиду, өзини төвән тутқанни үстүн қилиду. 
LUK.18.15	Қолини тәккүзүп бәхит тилисун дәп, кишиләр кичик балили­рини һәзрити Әйсаниң алдиға елип кәлди. Буни көргән шагиртлар уларни әйиплиди. 
LUK.18.16	Лекин һәзрити Әйса балиларни чақирип: 
LUK.18.16	— Балилар алдимға кәлсун, уларни тосимаңлар. Чүнки Худаниң Падишалиғиға киридиғанлар мошуларға охшашлардур. 
LUK.18.17	Билип қоюңларки, кимду-ким Худаниң Падишалиғини сәби балилардәк қобул қилмиса, Униңға һәргиз кирәлмәйду, — деди. 
LUK.18.18	Йәһудийларниң башлиқлиридин болған бир бай һәзрити Әйсадин: 
LUK.18.18	— Яхши Устаз, мән қандақ қилсам мәңгүлүк һаятқа еришимән? — дәп сориди. 
LUK.18.19	— Мени немишкә яхши дәйсиз? — деди һәзрити Әйса, — ялғуз бир Худадин башқа яхши йоқ. 
LUK.18.20	Сиз Тәвратта буйрулған: «Нека садиқлиғини бузма, қатиллиқ қилма, оғрилиқ қилма, ялған гувалиқ бәрмә, ата-анаңни һөрмәт қил», дегән пәризләрни ада қилиң. 
LUK.18.21	— Буларға кичигимдин тартип әмәл қилип келиватимән, — дәп җавап бәрди һелиқи киши. 
LUK.18.22	Бу гәпни аңлиған һәзрити Әйса униңға йәнә мундақ деди: 
LUK.18.22	— Сиздә қилишқа тегишлик йәнә бир иш кам. Пүтүн мал-мүлкиңизни сетип, пулини кәмбәғәлләргә бериң. Шундақ қилсиңиз асманда ғәзниңиз болиду. Андин келип Маңа әгишиң. 
LUK.18.23	Һелиқи киши бу гәпни аңлап көңли интайин беарам болди, чүнки у наһайити бай еди. 
LUK.18.24	Бу һални көргән һәзрити Әйса: 
LUK.18.24	— Мал-дунияси көпләрниң Худаниң Падишалиғиға кириши немә дегән тәс һә! 
LUK.18.25	Уларниң Худаниң Падишалиғиға кириши төгиниң жиңнә төшүгидин өтүшидинму тәс екән! — деди. 
LUK.18.26	Буни аңлиғанлар: 
LUK.18.26	— Ундақта, ким қутқузушқа еришәләйду? — дейишти. 
LUK.18.27	— Инсанлар қадир болмиғанға Худа қадирдур, — деди һәзрити Әйса. 
LUK.18.28	Бу чағда Петрус: 
LUK.18.28	— Мана биз барлиғимизни ташлап Сизгә әгәштуқ. Сизчә биз қут­қузуламдуқ? — деди. 
LUK.18.29	— Билип қоюңларки, Худаниң Падишалиғини дәп, өйи, аяли, ака-укилири, ата-аниси яки пәрзәнтлиридин 
LUK.18.30	ваз кәчкәнләрниң һәммиси һәм бу дунияда һәссиләп көп байлиққа, һәм у дунияда мәңгүлүк һаятқа еришиду, — деди һәзрити Әйса җавап берип. 
LUK.18.31	Һәзрити Әйса он икки шагиртини бир янға тартип уларға: 
LUK.18.31	— Мана биз һазир Йерусалимға кетиватимиз. Пәйғәмбәрләрниң Инсан Оғли тоғрилиқ язғанлириниң һәммиси шу йәрдә әмәлгә ашурулиду. 
LUK.18.32	У римлиқларниң қолиға тапшурулиду. Улар Уни мәсқирә қилип, һақарәтләйду, йүзигә түкүриду 
LUK.18.33	вә Уни қамчилайду, өлтү­риду. Лекин У үчинчи күни қайта тирилиду, — деди. 
LUK.18.34	Бирақ шагиртлири һәзрити Әйсаниң сөзлиридин һеч немә чүши­нәлмиди. Чүнки бу сөзләрниң мәнаси қәстән йошурулған болуп, улар һәзрити Әйсаниң немә демәкчи болғинини биләлмиди. 
LUK.18.35	Һәзрити Әйса Ериха шәһиригә йеқин кәлгәндә, бир қарғу йол­ниң четидә олтирип тиләмчилик қиливататти. 
LUK.18.36	У бу йәрдин өтүп кетиватқан көпчиликниң авазини аңлап, немә вақиә болғанлиғини сүрүштүрди. 
LUK.18.37	Бири униңға: 
LUK.18.37	— Насирәлик Әйса бу йәрдин өтүп кетиватиду, — дәп уқтурди. 
LUK.18.38	— Әй падиша Давутниң Әвлади 
LUK.18.39	Һәзрити Әйсаниң алдида келиватқан кишиләр тиләмчини әйипләп, униң үн чиқармаслиғини ейтти. Лекин у: 
LUK.18.39	— Әй падиша Давутниң Әвлади, маңа рәһим қилғайсиз! — дәп техи­му қаттиқ вақириди. 
LUK.18.40	Һәзрити Әйса қәдимини тохтитип, қарғуни алдиға әкелишни буйриди. Қарғу йеқин кәлгәндә, һәзрити Әйса униңдин: 
LUK.18.41	— Мәндин немә тәләп қилисән? — дәп сориди. 
LUK.18.41	— Әй Рәббим, көзүмниң ечилишини тәләп қилимән! — деди қарғу. 
LUK.18.42	— Көзлириң ечилди! Маңа бағлиған ишәнчиң сени сақайтти, — деди һәзрити Әйса униңға. 
LUK.18.43	Қарғуниң көзи шу ан ечилип, һәзрити Әйсаға әгишип, йол бойи Худаға шүкүр ейтип маңди. Бу ишни көргән халайиқму Худани мәдһийиләп маңди. 
LUK.19.1	Һәзрити Әйса Ериха шәһиригә кирип өтүп кәтмәкчи болди. 
LUK.19.2	У йәрдә Закай исимлиқ бир баҗгирлар башлиғи болуп, у наһайити бай еди. 
LUK.19.3	У һәзрити Әйсаниң қандақ Адәм екәнлигини көрүшни арзу қилатти, лекин бойи пака болғачқа, кишиләр топи ичидин Уни көрәлмиди. 
LUK.19.4	Шуңа у жүгрәп, халайиқниң алдиға өтүп, бир түп үҗмә дәриғигә чиқивалди. Чүнки һәзрити Әйса бу йолдин өтәтти. 
LUK.19.5	Һәзрити Әйса у йәргә кәлгәндә, бешини көтирип Закайға қарап: 
LUK.19.5	— Закай, чапсан чүш! Бүгүн Мән чоқум сениң өйүңдә қонимән, — деди. 
LUK.19.6	Закай дәрһал чүшүп, интайин хошал болған һалда һәзрити Әйса­ни өйигә апирип меһман қилди. 
LUK.19.7	Буни көргән җамаәт: 
LUK.19.7	— Бу Адәм гунакарниң өйидә меһман болди! — дәп ғотулдишип кәтти. 
LUK.19.8	Закай орнидин туруп Рәббимиз Әйсаға: 
LUK.19.8	— Я Рәббим, мән мал-мүлкүмниң йеримини кәмбәғәлләргә бөлүп беримән. Әгәр мән бирәр кишини алдап һәққини алған болсам, униңға төрт һәссә қатлап қайтуримән, — деди. 
LUK.19.9	— Бүгүн бу адәм қутқузулди. Чүнки у ишәнч билән өзиниң Ибраһимниң пәрзәнди екәнлигини көрсәтти. 
LUK.19.10	Инсан Оғли униңға охшаш азған адәмләрни издәп қутқузғили кәлди, — деди һәзрити Әйса. 
LUK.19.11	У чағда һәзрити Әйса пайтәхт Йерусалимға йетип келишкә азла қалғанлиғи үчүн, җамаәт хата һалда Униң Худаниң Падишалиғини тиклишигә аз қалди, дәп қаратти. 
LUK.19.12	Бирақ һәзрити Әйса уларға мун­дақ бир тәмсилни ейтип бәрди: 
LUK.19.12	— Бир ақсүйәк падишалиқ тәхтигә егә болуп келиш үчүн жирақ бир йәргә қарап йолға чиқипту. 
LUK.19.13	Йолға чиқиштин илгири он чакирини алдиға чақирип, һәр биригә бирдин тилла берип: «Мән қайтип кәлгичә, буниң билән тиҗарәт қилиңлар, қени, қанчилик пул тапидикәнсиләр», дәпту. 
LUK.19.14	Бирақ жути­дикиләр бу ақсүйәккә өч болғачқа, кәйнидин адәм әвәтип: «Бу адәмниң бизгә падиша болушини халимаймиз», дәпту. 
LUK.19.15	Ақсүйәк падиша болуп қайтип кәлгәндин кейин, дәрһал һелиқи чакарлирини чақирип, һәр қайсисиниң оқәт қилип қанчилик пул тапқанлиғини билмәкчи болупту. 
LUK.19.16	Башта кәлгини: 
LUK.19.16	«Ғоҗайин, мән сиз бәргән тиллани ишлитип он тилла таптим», дәпту. 
LUK.19.17	«Наһайити яхши! Сән яхши чакар екәнсән. Мән саңа һавалә қилған кичиккинә ишта ишәнчлик болуп чиққанлиғиң үчүн, мән сени он шәһәрни башқурушқа тайинлаймән», дәпту ғоҗайин. 
LUK.19.18	Иккинчи чакар келип: «Ғоҗайин, мән сиз бәргән тиллани ишлитип бәш тилла таптим», дәпту. 
LUK.19.19	«Сәнму бәш шәһәрни башқурисән», дәпту ғоҗайин. 
LUK.19.20	Бирақ үчинчи чакар келип: «Ғоҗайин, бәргән тиллайиңиз мана турупту. Мән уни қол яғлиғимға йөгәп өйдә сақлидим. 
LUK.19.21	Мән сиздин қорқимән, чүнки сиз қаттиқ адәм, башқиларға аманәт қойсиңиз, униң көпийишини, өзиңиз теримисиңизму, униң һосулини күтисиз», дәпту. 
LUK.19.22	«Әй яман чакар, сени ағзиңдин чиққан сөзлириң бойичә җазалаймән. Сән мениң теримай туруп жиғивалидиған, өзәмниң болмиғанни еливалидиған қаттиқ адәм екәнлигимни билип туруп, 
LUK.19.23	йәнә немә үчүн пулумни ғәзничиләргә аманәт қоймидиң? Мән қайтип кәлгәндә өсүми билән алмасмидим?» дәпту ғоҗайин. 
LUK.19.24	Кейин у йенидикиләргә: «Униң­дики тиллани елип, он тилла тапқан чакарға бериңлар!» дәп буйруқ қипту. 
LUK.19.25	«Ғоҗайин, униң он тилласи турса!» дейишипту улар. 
LUK.19.26	«Шундақ», дәпту ғоҗайин, «Берилгәнни толуқ ишләткәнләргә техиму көп берили­дудә, буниң билән улардики техиму көпийиду. Лекин берилгәнни ишләтмигәнләргә кәлсәк, уларниң бариму елип кетилиду. 
LUK.19.27	Мениң падиша болушумни халимиған дүшмәнлиримгә кәлсәк, уларни алдимға елип келип, каллисини елиңлар!» 
LUK.19.28	Һәзрити Әйса бу сөзләрни қилғандин кейин, топниң алдида меңип, Йерусалимға қарап жүрүп кәтти. 
LUK.19.29	Зәйтун теғиниң етигидики Бәйтпаҗи вә Бәйтания дегән йезиларға йетип келәй дегәндә, икки шагиртини 
LUK.19.30	мундақ дәп алдин-ала әвәтти: 
LUK.19.30	— Силәр алдимиздики йезиға бериңлар. Йезиға киргиниңларда, техи минилип бақмиған бир тәхәйниң бағлақлиқ турғанлиғини көрисиләр. Уни йешип, бу йәргә йетиләп келиңлар. 
LUK.19.31	Әгәр бири силәрдин: «Тәхәйни немишкә йешисиләр?» дәп сорап қалса, «Рәббимизниң униңға еһтияҗи чүшти», дәңлар. 
LUK.19.32	Улар берип қариса, дәл һәзрити Әйсаниң ейтқинидәк болуп чиқти. 
LUK.19.33	Улар тәхәйни йешиватқанда, егилири: 
LUK.19.33	— Тәхәйни немишкә йешисиләр? — дәп сориди. 
LUK.19.34	— Рәббимизниң униңға еһтияҗи чүшти, — дәп җавап бәрди улар. 
LUK.19.35	Егилири мақул болғандин кейин, шагиртлар тәхәйни һәзрити Әйсаниң алдиға йетиләп келип, өз чапанлирини үстигә селип, һәзрити Әйсани йөләп миндүрди. 
LUK.19.36	Һәзрити Әйса маңғанда, хәлиқләр чапан­лирини йолға паяндаз қилип салди. 
LUK.19.37	Һәзрити Әйса Зәйтун теғидин чүшүп Йерусалимға йеқин қалған­да, Униң нурғун шагиртлири өз көзи билән көргән һәммә әҗайип мөҗүзиләр үчүн хурсәнлик билән вақирап, Худаға мәдһийә ейтишқа башлиди: 
LUK.19.38	«Пәрвәрдигаримизниң намида кәлгән Падишаға мубарәк болсун! 
LUK.19.38	Инсан Худа билән яраштурулғуси, әң бүйүктики Худаға шан-шәрәп болсун!» 
LUK.19.39	Топниң ичидә бәзи пәрисийләр һәзрити Әйсаға: 
LUK.19.39	— Устаз, шагиртлириңизниң ундақ гәп қилмай, җим болушини буйруғайсиз! — дейишти. 
LUK.19.40	— Улар җим турған тәғдирдиму, бу ташлар чеғида Худани мәдһийи­ләп чуқан селишқан болатти, — деди һәзрити Әйса уларға. 
LUK.19.41	Һәзрити Әйса Йерусалимға йетип кәлгәндә, шәһәрни көрүп, һәс­рәт­тә көз йеши қилип: 
LUK.19.42	— Әй йерусалимлиқлар! Неминиң силәргә аманлиқ кәлтүриди­ған­лиғини бүгүн билгән болсаңлар! Амма у һазир көзлириңлардин йошурундур. 
LUK.19.43	Шундақ күнләр келидуки, дүшмәнлириңлар шәһириң­ларниң әтрапиға қорған қуруп, силәрни төрт тәрәптин қоршавелип, 
