GEN.1.1	Wattunna napahandu' Puang Allataala umpadadi langi' anna lino, 
ACT.19.20	Napolalam pole' napahandu' eta too tiballa' kalua' Battakada Debata illaam botto ia too anna tuttuam buda tau tigaha' aka tandaam tongam kuasaanna Puang Allataala.
ACT.19.21	Tappana puha dadi ingganna kaha-kaha ia too, ma'pattujum Paulus la le'ba' längäm Yerusalem muola lako Makedonia anna Akhaya. Aka naua: “Puhai too kuola ingganna botto ia too la pahallupä' duka' lao lako Roma.” 
ACT.19.22	Iya ussuam dua änä'-änä'na isanga Timotius sola Erastus mendiolo lako Makedonia aka la tohhopi ia masäe-säe dio Asia.
ACT.19.23	Umbai' la etam too anna kende'i kahusasam kasalle illaam Efesus diona Lalanna Puang Yesus. 
ACT.19.24	Aka wattu eta too deem dio Efesus mesa tau isanga Demetrius mesa pa'tampa peha', si umpapia banua-nua peha' angga' ongeam pehumalasam lako debata baine Artemis. Illaam pengkähängam ia too buda tau napake. Ingganna pa'tampa peha' eta too tä' deem pada sabuda pallolonganna. 
ACT.19.25	Iam too anna untambaim ingganna solana pa'tampa peha' sola mentu' to mengkähäna ma'hempum. Tihempum asanni, iya ma'tula'um Demetrius naua: “Inggannakoa' solasubungku, tasi'dimmia' pada-pada umba susi kamasannangantaa' illaam inde pengkähänganta aka buda pallolongantaa'. 
ACT.19.26	Sapo' tentomai tahingnginna' anna taita diona pepa'guhuam napalao Paulus. Uhhuntu' anna umpabulim buda tau susi inde Efesus teem illaam lili'na propinsi Asia, aka si naua: ‘Indo panggahaga limanna hupatau tä' mala dipa'debatai.’ 
ACT.19.27	Dadi dako'i too inde pengkähängantaa' la mendadi petabaam tau, anna sulibanna ia too indo ongeam pehumalasanta lako debata Artemis to tapa'kasalleia' la bambannam dipa'pa'dei. Susi toi kalena Artemis to napenombai ingganna to Asia anna mentu' lino, la dadi matuna.”
ACT.19.28	Tappana nahingngi solana Demetrius tula' ia too, iya sangngim hede-hede aha'na lambi' sikaoli naua: “Matande Artemis, debatantaa' inde Efesus!” 
ACT.19.29	Nasuhum kende' pole' indo kahusasam kasalle anna mellala' illaam kota ia too sampe umpamesa kalena indo to keaha' anna uhhui'i Gayus sola Aristarkhus tama ongeam pa'hempungam, indo bassim to Makedonia, solana Paulus. 
ACT.19.30	Mohäe Paulus la mentama alla'na indo tau buda sapo' tä' napäbäi ingganna to matappa'. 
ACT.19.31	Susi duka' sanaka-naka to kasalle issanganna Paulus illaam propinsi Asia mepasam naua: “Tä' sugali'-gali' too la tamako indo ongeam pa'hempunganna tau buda.”
ACT.19.32	Ingganna to ma'hempum illaam indo ongeam pa'hempungam ma'ahhe-ahhe sikaoli sanda-sanda tanaua. Tuttuam mahusa' pa'hempungam ia too anna buda tanaissam aka indo napa'hempunni. 
ACT.19.33	Pissananna deem mesa to Yahudi isanga Aleksander uhhingngi katähängam dio mai buda tau diona kadadiam ia too. Nabussum solana to Yahudi lako olona tau buda anna mala ma'tula'. Iya muäkä'um limanna umpopengkamma' tau buda aka maelo' battuam la ma'tula' naua: “Taia solaki inde to sule umbaba pepa'guhuam bakahu.” 
ACT.19.34	Sapo' tappana naita indo tau buda to Yahudi hia, iya sikaoli siaham anna pada-pada naua: “Matande Artemis debatantaa' inde Efesus!” Umbai' deem dua tette' naolaam sikaoli napa'sule-sulei tula' ia too.
ACT.19.35	Tappa ke'de' siaham to ungkona indo kota muappa tau buda mane nauai: “O to Efesus, tä' deem tau illaam inde lino la tä' muissanni naua Efesus ongeanna to unjagai susi ongeam pehumalasam lako debata Artemis to dipomatande, teem duka' tau-taunna to honno' yabo mai langi'. 
ACT.19.36	Aka kaha-kaha ia too tä' mala la dibahoi. Dadi la malinokoa' anna tä'koa' la ma'palako sihha' umpogau' mesa kaha-kaha, 
ACT.19.37	anu' balingkoa' umbaba inde to dua solana Paulus sule eta inde, moi anna tä'i deem ungkadakei ongeam pehumalasanta, anna tä' deem untelle debatanta. 
ACT.19.38	Dadi maka' deem kaha-kahana Demetrius sola ingganna sababanganna lako inde tau, babai lako ongeam si diongei ungkattu kaha-kaha. Aka deem dia to si uhhotto' kaha-kaha, dadi pahallukoa' lako umbaba kaha-kahamu tessoladua. 
ACT.19.39	Anna maka' deempi pattuju penabammua', mala umbaba tama handangam pudu'na pa'botto anna dipapuha illaanni. 
ACT.19.40	Aka inde tentomai manete tondom pisokia' too aka malakia' ditanda' la umpakende' kakadakeam illaam kota. Anu' tä' deem mannassa la mala tapengnganda'ia' aka kasuhunganna ma'hempungkia' umpadeem inde kahusasam.” 
ACT.19.41	Puhai ma'tula' indo to ungkona indo kota, iya ussuam ingganna indo tau le'ba'.
ACT.20.1	Tappana malino sule to Efesus, iya uhhempummi ingganna to matappa' Paulus dio anna nabeenni kada pepanännä' anna mala tuttuam matoto' anna tigaha' liu. Puhai, iya ma'pasaha'um Paulus, aka la le'ba'um lako Makedonia. 
ACT.20.2	Landa'i lako, iya ullelei asammi tondä' illaam pa'lembängam ia too anna si nabeem liu kada pepakatoto' lako ingganna to matappa' dio. Puhai ia too, iya tahhu'um lako Yunani. 
ACT.20.3	Tallu bulanni dio Yunani, iya mohäem Paulus la ma'kappala' battuam lambam libam Siria. Sapo' pissananna naissam deem dia pattujunna to Yahudi eta, maelo' la umpatei Paulus. Nasuhum naeli' pattujunna la naola lako ohi sule Makedonia. 
ACT.20.4	Iya sola-solam mengkalao Sopater änä'na Pirus to Berea sola Aristarkhus anna Sekundus bassim to Tesalonika, anna Gayus to Derbe anna Timotius anna duapi solana bassim to Asia, isanga Tikhikus anna Trofimus. 
ACT.20.5	Sapo' mendioloim ia ma'kappala' lako Troas aka la naampai diokam. 
ACT.20.6	Iya lessu' dam allo kasalle Hoti Tä' Diboloi Bibi' Hoti mane längängkam kappala' dio Filipi. Lima benginna mane malakam landa' lako Troas, iya eta ham mane silambi'-lambi'kam indo solaki to mendiolo. Iya tohhopakam pitu benginna eta too.
ACT.20.7	Indo benginna allo Minggu ma'mesakam dio mesa ongeam umpiä'-piä' hoti. Iya ma'tula'-tula' oom Paulus sola ingganna to matappa' dio Troas, aka ma'pattuju oom la mengkalao ke masiäi. Masäe ma'tula' aka sule lako tängä bengi. 
ACT.20.8	Indo yabo lotem diongei ma'mesa buda lampu dipalekke'. 
ACT.20.9	Sapo' deem mesa änä' muane muokko' yabo ia suleba', isanga Eutikhus. Nataloim matanna aka masäe sugali' ma'tula' Paulus, toko mamma' bäbäm ia. Iya pissananna tau kilala, melläppä' ia dokko litä' metobä mengkalao yabo indo katadam katallunna banua. Le'ba' dilomba sapo' tä'um dilambi' dikutanai. 
ACT.20.10	Iya tuhum siaham Paulus nalomba anna nahopäi dokko indo to mate anna nakalapu'i mane ma'kadai naua: “Daa ummanangngaa' aka illaampi penaba.” 
ACT.20.11	Anna mane längäm sule indo tambim Paulus umpiä'-piä'um hoti nataba anna naandei pada-pada. Puhai mangngande napalaona oom ma'tula'-tula'. Iya tibukka'na baja mengkalaongkam. 
ACT.20.12	Le'ba' siaham duka' indo to ma'hempum muanta' indo to metobä lako banuanna aka nabelam. Iya sangngim losso' inabanna aka ussi'dim pepakahangaam kasalle.
ACT.20.13	Iya mendiolongkam kami' le'ba' mane längängkam kappala' lu lako Asos. La diopi mane solakam ma'kappala' aka lumingka ia mangngola galantangam situhu' pattujunna. 
ACT.20.14	Tappana silambi'kam Paulus dio Asos kipasolam pole' längäm indo kappala', iya solangkam tahhu' lako Metilene. 
ACT.20.15	Mengkalao dio Metilene tahhu' liu kappala'ki, iya masiänai sitingngajongkam mesa leutam isanga Khios. Masiä polei landa'ungkam lako Samos, iya sangngallo polepakam ma'kappala' mane landa'kam lako Miletus. 
ACT.20.16	Puham nakattu Paulus tä'um la lempä lako Efesus indana masäe sugali'i tohho dio Asia. Aka ma'lomba liu la lako Yerusalem anna mala diom ke lambi'um allo kasalle Pentakosta.
ACT.20.17	Iam too anna tappana dio Miletus ussuam tau Paulus lako Efesus untambai ingganna pebaba ada' illaam jumaa' dio sule untammui. 
ACT.20.18	Iya tappana sulei indo to napesuai napa'tula'im Paulus naua: “Puhanna' muita indo lessu' kuaka susi ma'palako illaam alla'-alla'mua', mengkalao dio allo pa'pahandusanna suleä' inde Asia. 
ACT.20.19	Sola kamahempoam penaba, mengkasabua'ä' lako Debata sitonda uwai mata muita sussana hupatau anna ussi'dinnä' ma'hupa-hupa kamasussaam napobua' pattujunna to Yahudi lako kaleku. 
ACT.20.20	Muissam toia' duka' muua tä'ä' mahea' umpa'tulasangkoa' indo la kegunanna tama kalemua'. Sapo' kupa'guhukoa' susi dio olona tau buda teem illaam pa'hempungam lako banuammua'. 
ACT.20.21	Kupalao liu kada pepanännä' anna pepakilalaam lako ingganna to Yahudi anna taianna to Yahudi umba ke malai untihokongam ingganna dosana anna tinanda lakoi Puang Allataala sitonda kamatappasam lako Debatanta Yesus Kristus.
ACT.20.22	Sapo' tentomai nadakka' bata' ulungku Penaba Maseho nahendennä' lako Yerusalem anna tä' kuissam aka la dadi lako kaleku ke diomä', 
ACT.20.23	sulibanna indo puha napalosaiä' illaam si mesa-mesa kota to puha kuolai naua: ‘Pandahhaam anna tahungkum iko muampaiko.’ 
ACT.20.24	Sapo' moi anna susi, tä' ia deem kupikki' diona kaleku moi la saidi'um. Assala'na hia mala kupasuppi' manappa inde pengkähängam puha napapassanniä' Puang Yesus la umpa'pakahebaam Kaheba Katilallasam diona pa'kamasena Puang Allataala.
ACT.20.25	Puhangkoa' kuola umpa'pakahebaam kapahentaanna Puang Allataala. Anna tentomai kutulasangkoa' matim aka kuissammi kuua anggannam to inde siitakia'. 
ACT.20.26	Iam too anna pahallum kunännä'koa' anna kupakilala allo temo kuua, yaboä' too tanahambui dioä' tanato'doi ke deengkoa' tä' ullambi' kasalamasam. 
ACT.20.27	Aka tä' deem lembeä' anna tä' malaja' untulasangkoa' ingganna pa'elo'na Puang Allataala tama kalemua'. 
ACT.20.28	Dadi jagai manappakoa' kalemu, anna kambi' manappaia' ingganna dombana. Aka ikonna' too to bali natuho Penaba Maseho mendadi to ma'kambi' la unjagai jumaa'na Puang Allataala, indo to puha naalli sola haha titollona Änä'na. 
ACT.20.29	Aka puha kuissam kuua lessu'ä' too la napentama alla'ikoa' to kadake gau' uhhusa' jumaa' sihhapam olo'-olo' to peande usseham ke'de' pa'kambi'mua'. 
ACT.20.30	Anna la kende' illaam siam liu mai alla'-alla'mua' to la umbaba pepa'guhuam sala la maelo' uhhuntu' to matappa' umpellei lalam kamaloloam anna natuhu'i lako lalam kakadakeanna. 
ACT.20.31	Iam too anna la majaga si'da-si'dangkoa'. Pengkilalaia', tallu taum too kuolaam tä' deem tohho allo bengi sitonda uwai mata unnännä' si mesa-mesakoa'.
ACT.20.32	Anna inde temo kubehokoa' lako Puang Allataala. Anna la muanda'i liua' Battakadanna Debata indo to umpomakalesoangkoa' diona indo pa'kamasena. Aka ia kuasa la umpakatoto'koa' illaam kapeimangam anna la umbeengkoa' mana' pa'tamba'na Puang Allataala indo inna puha natandaiam lako ingganna umma'na to puham nasehoi. 
ACT.20.33	Tä' mammipi too deem la kende' illaam penabangku mailu anna matinna lako kullena tau senga', peha'na haka, bulabanna haka, battu haka pohebana. 
ACT.20.34	Aka muitanna' kuaka susi muasai pala'ku mengkähä anna malaä' umpatubo kaleku sola ingganna sababangangku to si kupasola lelem. 
ACT.20.35	Puhangkoa' kupaitai tandengam illaam mentu'na kaha-kaha diaka susi mengkähä manappa, aka la pahallukia' umpamoloi to kakuhängam. Aka la taanda'i liua' indo tula'na Puang Yesus, ma'kale muuai: ‘Kehongko' puha ia to ma'pebeem anna la to dibeem.’ ”
ACT.20.36	Tappana teppu' tula'na Paulus, iya ma'balinguntu' asammi anna pada-padai ma'sambajam. 
ACT.20.37	Iya sisahho-sahhoammi indo eta too ussikalapu'-lapu'i Paulus napasindum nasiudum-udunni. 
ACT.20.38	Sangngim manabo inabanna la'bi-la'binna aka nauaam Paulus: “Anggantanna' la siita.” Iya le'ba'im naanta' sule lako kappala'.
ACT.21.1	Tappana sisähä'-sähä'kam iya ma'kappala'ungkam tahhu' lu lako Kos. Iya masiä pole ham mane sulekam lako Rodos. Mengkalaongkam eta, tahhu'kam lako Patara. 
ACT.21.2	Sulekam lako Patara siampu' duka' deem kappala' la mengkalao lako Fenisia. Längämmakam indo kappala', iya mengkalao siaham. 
ACT.21.3	Pissananna diitam Siprus dio tandai kaihi sapo' dipengkulio'i tahhu' lako Siria. Iya landa'kam lako Tirus tohhom indo kappala' kiongei aka eta la dipatuhum ingganna baham-baham nababa. 
ACT.21.4	Tohhopakam eta saminggu, iya le'ba'ungkam umpellambi'i ingganna to matappa' dio. Anna situhu' pa'palosainna Penaba Maseho lako to matappa' eta, ma'pakahi'di lako Paulus naua: “Dotam tä'ko lako Yerusalem.” 
ACT.21.5	Sapo' tappana teppu' wattunna tohhokam dio, iya kipatahhu' oom pa'laoangki. Le'ba'i naanta'kam to matappa' eta too sola bainena anna änä'na messubum illaam mai kota. Tappana kilambi' bihim le'bo', iya pada-padangkam ma'balinguntu' anna ma'sambajangkanni. 
ACT.21.6	Puhakam ma'sambajam, iya sisähä'-sähä'ungkam. Längämmakam kami' kappala' anna ma'pasulei ia lako banuanna si mesa-mesa.
ACT.21.7	Mengkalaokam dio Tirus kipatahhu' oom pa'laoangki sule lako Ptolemais. Silambi'ungkam duka' ingganna to matappa' dio, iya sisalama'-lama'ungkam anna tohhopakam eta sabengi. 
ACT.21.8	Makale'na mengkalao ongkam tahhu' lako Kaisarea. Iya sulekam lako, melolo lakokam banuanna Filipus mesa duka' to si umbebeham Kaheba Katilallasam anna mentama bilangam to pitu indo to dipilei si untaba kinande dio Yerusalem. Iya etam kiongei tohho. 
ACT.21.9	Indo Filipus appa' änä'na, änä' daha asam, sangngim nabi aka si umpalombum kada Debata.
ACT.21.10	Mane sanaka-naka benginna etakam, iya deemmi sule mesa nabi buttu yabo mai Yudea isanga Agabus. 
ACT.21.11	Tappa napellambi'ikam anna mualai beke'na Paulus anna umpungoi kalena, susi limanna teem bitti'na anna nauai: “Susim too situhu' kadanna Penaba Maseho naua: ‘La dipateemmi too inde puäna inde beke', la napungo to Yahudi yabo Yerusalem aka la nabeho tama pala' limanna taianna to Yahudi.’ ”
ACT.21.12	Tappana kihingngi tula' ia too, pada-padakam sola to matappa' dio melau lako Paulus anna tä'i lao längäm Yerusalem. 
ACT.21.13	Sapo' natimba' Paulus naua: “Daa ussahhoa' aka indana umpomanabokoa' penabangku. Aka kao ahu'mä' untahimai, tä' la angga mandi dipungo, moi matemä' duka' dio Yerusalem aka sanganna Debatanta Puang Yesus.” 
ACT.21.14	Sapo' aka tä' nabollim tula'ki, iya mengkatalokam angga ham kiua: “Iai too pa'elo'na Debata iam dadi.”
ACT.21.15	Tappana lessu' sanaka-naka benginna kiolaam tohho dio Kaisarea, iya ma'kalili'ungkam mengkalao la lako Yerusalem. 
ACT.21.16	Napasolakam sanaka-naka to matappa' dio Kaisarea. Naanta'kam lako banuanna mesa tau isanga Manason to Siprus. Masäem duka' mendadi to matappa'. Iya tohho diongkam banuanna.
ACT.21.17	Tappana sulekam längäm Yerusalem, iya tä' deem pada satilalla' ingganna to matappa' yabo sule natammuikam. 
ACT.21.18	Iya makale'i, le'ba'ungkam sola Paulus umpellambi'i Yakobus. Sulekam lako, iya dio asammi duka' heem pebaba ada' kilambi'. 
ACT.21.19	Nasalama'i asammi Paulus anna mane natula' nalise-lisesanni indo ingganna kaha-kaha puha napadadi Puang Allataala lako tau taianna to Yahudi anna mala ullambi' kasalamasam kahana pengkähänganna Paulus.
ACT.21.20	Tappana uhhingngi tula'na Paulus sangngim umpa'kasallei Puang Allataala anna mane umpa'tula'i Paulus naua: “O solasubungki, massa'bu-sa'bu duka' to Yahudi inde ungkatappa'i Puang Yesus anna sangngim bassa' illaam ungkambi' kada Pepaondonganna Musa. 
ACT.21.21	Sapo' napekaheba to inde Yerusalem diona pepa'guhuam umbeem to Yahudi lako botto senga' si muua: ‘Tä'koa' la untuhu'i Pepaondonganna Musa.’ Aka umpa'guhuko tau tä' la ussunna' änä'-änä'na anna tä' la untuhu' kabiasaanna to Yahudi. 
ACT.21.22	Dadi la taakaa' susi temo? Anu' la naissammi too inde kasuleammu. 
ACT.21.23	Dadi illaam kaha-kaha ia too deem inde tula'ki la umpehingngii anna umpogau', aka deem appa' solaki inde puha ma'samaja. 
ACT.21.24	Dadi iam la umpasola umpasule lako samaja ia too anna malakoa' maseho. Sapo' iko la umpendudunni ingganna kapahalluam illaam pa'palakoam ia too, anna mala silele ungkällu'i asam beluä'na. Aka la etam too pole' naongei tandaam tä' tappa' indo kaheba nahingngi to Yahudi inde. Aka tontäko iko duka' muanda'i kada Pepaondonganna Musa. 
ACT.21.25	Anna susinna lu lako taianna to Yahudi to ungkatappa'im duka' Puang Yesus, balim kipakatu suha' diona kattuantaa' tä' la muande ingganna kinande puha dipehumalasam lako debata senga', tä' la muande haha anna balena olo'-olo' mate ditekke, anna tä' la ma'gau' sessu'.”
ACT.21.26	Masiäi, napasolam Paulus indo to appa' umpalako situhu' kabiasaam ussehoi kalena. Puhai, tamaim Banua Debata la umpa'paissangam wattunna la mala diangga' maseho, anna wattunna la dipalako pemala'na si mesa-mesa.
ACT.21.27	Tappana la suppi' pitu benginna wattu pa'pomasehoam, deem sanaka-naka to Yahudi to buttu dio mai Asia muita Paulus illaam pa'hanteanna Banua Debata. Iya silelem naägä'i umpakeaha' tau buda solana to Yahudi anna mane ussakka Paulus. 
ACT.21.28	Sikaoli naua: “O inggannakoa' to Israel, pamoloikam kami'! Aka iam too inde to si lao ullelei botto umpa'guhu tau la umbalikia' anna umbali-bali kada Pepaondonganna Musa anna susi toi lako inde ongeam taongeia'. Anna deemmi umpasola sule to Yunani tama Banua Debata ussahupu'i inde ongeam maseho.” 
ACT.21.29	Aka puham muita Trofimus to Efesus sola Paulus illaam kota, dadi nasanga napasola tama Banua Debata.
ACT.21.30	Iya tiguhihi' siaham ingganna tau illaam Yerusalem sule ma'silullu' ullebo Paulus nasakka anna nahui'i illaam mai Banua Debata. Iya ditutu'i asam siaham ba'bana balana Banua Debata eta too. 
ACT.21.31	Mane mahassam ma'pattuju la umpatei Paulus, iya landa' siaham duka' kaheba lako pangngulunna sohodadu kahajaam Roma naua mahamba asam issinna Yerusalem. 
ACT.21.32	Nalambi'na kaheba, mengkalao siaham indo pangngulunna sohodadu sola sanaka-naka sababanganna umpasola sohodadunna le'ba' lako indo ongeam naongei tau buda. Naitanna indo tau buda sule sohodadu, iya mondai siaham untappai lima Paulus.
ACT.21.33	Sulena lako indo pangngulunna sohodadu tappa umpellambi'i Paulus anna naanda'i. Mane ussuai sohodadunna nahante bassii, dua indo hante bassi anna napekutanaanni naua: “Menna inde tau? Aka napogau'?” 
ACT.21.34	Sapo' aka heppe' bäbä mentimba' sikaoli sanda-sanda tanaua, dadi tä' deem ma'lesoam nahingngi indo pangngulunna sohodadu aka setonganna dadi. Napolalam napesuaam dibaba Paulus lako ongeam sohodadu. 
ACT.21.35	Tappana dilambi' eham, iya sibussum-bussum bäbä indo tau buda umpa'dallo'i Paulus nasuhum nasiapum-apunni sohodadu naäkä'. 
ACT.21.36	Iya massahussum liu siam indo tau buda napasindum sikaoli naua: “Pateia'!”
ACT.21.37	Tappana la tama ba'bana indo ongeam sohodadu Paulus, iya ma'kadam lako indo pangngulunna sohodadu naua: “Mala haka kupa'tula'iko, aka deem mohäe la kutula' matim.” Iya natimba'um naua: “Aka muissam ma'basa Yunani le! 
ACT.21.38	Dadi taiako indo to Mesir puha umpasola appa' sa'bu tau to salle inaba lako pohiallasam aka la umbali to ma'pahenta?”
ACT.21.39	Iya natimba'im Paulus naua: “To Yahudiä' dadi dioä' Tarsus, mesa kota kesanga dio Kilikia. Kupelau kela mala anna dipäbäiä' ma'tula' lako inde tau buda.”
ACT.21.40	Napatiolai indo pangngulunna sohodadu. Iya ke'de'um Paulus yabo eham anna muäkä'i limanna umpopengkamma' tau buda.
ACT.21.40	Tappana hapa'i naita, iya ma'tula'um ma'basa Ibrani naua:
ACT.22.1	“O inggannakoa' solasubungku anna mentu'na tomatua, pehingngiia' inde tula' la kupalanda' tama alla'-alla'mua' tentomai aka la mendadi kamakalesoanna diona kaleku.” 
ACT.22.2	Tappana nahingngi indo tau buda ma'tula' Paulus ma'basa Ibrani, iya tuttuam mattam pole'.
ACT.22.2	Ma'kadam Paulus naua: 
ACT.22.3	“Kao to Yahudiä', dadi dioä' Tarsus lembäna Kilikia. Sapo' lobo' indeä' Yerusalem dipanännä'ä' illaam pepa'guhuanna tuangguhu Gamaliel situhu' hettenna nene to taponene. Napolalam dadiä' duka' mesa to handam bassa' illaam pengkähänganna Puang Allataala susi umpogau'a' tentomai. 
ACT.22.4	Anna baliä' duka' undahha buda tau to untuhu' Lalanna Puang Yesus lambi' mate, susi muane teem baine kusakka anna kupopetahungkunni. 
ACT.22.5	Diona kaha-kaha ia too sando too' sola ingganna To Mahhotto' mala mendadi sa'bi. Aka ia umbeennä' indo suha' pahenta kubaba lao umpellambi'i battuam pebaba ada' dio Damsyik. Aka la kusakka ingganna pentuhu'na Puang Yesus kubaba sule inde Yerusalem aka la didahha.
ACT.22.6	Sapo' tappana illaannä' pangngola-lalangam katängäanna allo la umpenandai Damsyik, pissananna pangkähhä mesilo yabo mai langi' umpali'ä'. 
ACT.22.7	Iya tissämbä' siahamä' dokko litä' anna kuhingngi kamaha ma'kada naua: ‘Saulus, O Saulus, aka kasuhunganna anna undahhaä'?’
ACT.22.8	Kutimba'um kuua: ‘Aka mennako Debata?’ Nauaammä': ‘Kaom too inde Puang Yesus to Nazaret to undahha.’ 
ACT.22.9	Indo to kupasola naita duka' pangkähhäna, sapo' tä' ia naissam napekalembasam indo kamahanna to umpa'tula'iä'.
ACT.22.10	Iya ma'kadamä' kuua: ‘O Debata, aka la sipäto'na kupogau'?’ Iya nauaammä': ‘Bangommoko anna laoko lako Damsyik. Diopa mane dipaissanniko ingganna indo puha naäto' Puang Allataala la ungkähä.’ 
ACT.22.11	Sapo' wattu eta too, tä'um landa' kuita napobua' passilona indo pangkähhä kuita eta too. Dadi natetteä' pole' solaku tahhu' lako Damsyik.
ACT.22.12	Dioi Damsyik, deem mesa tau isanga Ananias, mesa duka' to meada' anna to meimam manuhu' muanda'i ingganna Pepaondonganna Musa. Anna napa'kasallei ingganna to Yahudi illaam kota ia too. 
ACT.22.13	Sule dio oloku anna ma'kadai naua: ‘O solasubungku Saulus, paitako sule!’ Iya paita siahamä' sule anna tappa ia kuita.
ACT.22.14	Mane ma'kada polei naua: ‘Puang Allataala to napenombai nene to taponene puha untuhoko la mendadi to muissam pattujunna. Anna la muitako To Malolo anna la uhhingngi kadanna messubum illaam mai pudu'na. 
ACT.22.15	Aka la mendadiko sa'binna lako ingganna hupatau diona indo kaha-kaha puha muita anna uhhingngi. 
ACT.22.16	Dadi akapi muampai? Simpannii umbeho kalemu ditedo' anna mengkaalako längäm Debata anna mala napa'dei ingganna dosamu.’
ACT.22.17	Tappana suleä' sule inde Yerusalem eta too, mahassam omä' ma'sambajam illaam Banua Debata, kusi'dim dilipiä'. 
ACT.22.18	Iya kuita siaham Debata ma'kada naua: ‘Pasihha'i le'ba' umpellei Yerusalem aka tä' deem tau illaam la untahima passa'biimmu diona kaleku.’ 
ACT.22.19	Sapo' kutimba'i hi kuua: ‘O Puang Yesus, sangngim naissam manappa tau eta inde indo anna kulelei ingganna pa'sambajangam ussakka to ungkatappa'iko kupatama tahungkum anna kutembe'i. 
ACT.22.20	Susi duka' indo wattunna anna dipatei Stefanus mesa sa'bimmu. Kukadioi heem anna kuakui duka' gau' ia too anna kaopi unjagai jubana ingganna to umpatei.’
ACT.22.21	Sapo' ma'kada Puang Yesus naua: ‘Laoko, aka la kusuako lako ongeam mambela umpellambi'i ingganna tau taianna to Yahudi.’
ACT.22.22	Tappana nahingngi indo tau buda tula'na Paulus naua la lako tau taianna to Yahudi, iya sikaoli ham moka umpehingngii tula'na anna nauai: ‘Pateia' inde tau! Daa umpäbäia' tubo!’ ”
ACT.22.23	Iya sikaolim indo tau buda napasindum umpempapisam jubana anna umpessembusam sobä' längäm lawwa. 
ACT.22.24	Napolalam napa'pahentaam indo pangngulunna sohodadu la dibaba Paulus tama ongeanna sohodadu anna napesuaanni dipahessa dipasindum dihabi' anna mala diissam aka kasuhunganna anna sikaolii tau buda ungkaali-alii. 
ACT.22.25	Mahassanni disäke' Paulus la dihabi', iya ma'kadam lako mesa punggabana sohodadu to ke'de' dio ampe'na naua: “Situhu' daka pahentana to ma'pahenta kahajaam Roma la tappa dihabi' bäbä mesa to Roma ke tä'pi deem dihotto' kaha-kahana?”
ACT.22.26	Nahingnginna indo punggabana sohodadu tula'na Paulus, iya le'ba' siaham umpa'tula'i pangngulunna sohodadu naua: “Akam la umpogau', anu' indo tau to Roma hia päläe'?”
ACT.22.27	Tappa le'ba' indo pangngulunna sohodadu umpellambi'i Paulus nauaam: “Tula' manappai, to Roma si'dako?” Natimba' Paulus naua: “Io, to Romaä'!”
ACT.22.28	Iya nauam indo pangngulunna sohodadu: “Masuli' kao kualliam mane malaä' mendadi to Roma.” Natimba' oom Paulus naua: “Abana inna to Roma kao undadiannä'.”
ACT.22.29	Ingganna indo to disua la uhhabi' Paulus soho' boko' asam aka mahea'. Susi duka' indo pangngulunna sohodadu aka mane naissam di naua to Roma hia indo napesuaam dipungo.
ACT.22.30	Sapo' moi anna susi, mohäe indo pangngulunna sohodadu la umpengissanni manappai aka kasuhunganna anna napassalai to Yahudi. Iya masiäi napesuaam siaham dilappa' Paulus illaam mai tahungkum, anna untambai ma'hempum ingganna kapala sando sola To Mahhotto'na to Yahudi. Tappana tihempum, iya umpasolam Paulus illaam mai ongeanna sohodadu anna le'ba'i napopengngolo tama indo pa'hempungam.
ACT.23.1	Iya ulläntu'-läntu'um indo To Mahhotto'na to Yahudi Paulus anna ma'kadai naua: “O inggannakoa' solasubungku, sule lako allo temo tontäpi mahändä penabangku dio olona Puang Allataala.” 
ACT.23.2	Iya ussua siaham tau sando too' Ananias to ke'de' dio ampe'na Paulus ussappaam sädäna Paulus. 
ACT.23.3	Puhai napateem ma'kadam Paulus lako naua: “Puang Allataala ham umpabala'i inde pa'pogausammu, aka si umpa'paitaangko kalemu mato-mato to maseho. Anna muokko'ko eta inde umpahessaä' situhu' Pepaondonganna Musa, sapo' setonganna tä' di situhu' Pepaondonganna Musa indo ussuako tau ussappa sädäku.”
ACT.23.4	Iya ingganna to dio heem eta too ma'kada lako naua: “Akanna untelleko sando too'na Puang Allataala?”
ACT.23.5	Natimba'im Paulus naua: “O inggannakoa' solasubungku, tä' kuissam kuua sando too'. Abana deem tisuha' illaam Battakada Debata naua: ‘Daa umpassubum kada tamendiada' lako to pebabammu.’ ”
ACT.23.6	Sapo' naissam Paulus naua inde lako To Mahhotto'na to Yahudi deem to illaam kakalebuanna Saduki anna deem to illaam kakalebuanna Parisi. Napolalam ma'kada Paulus napekasallei lako naua: “O inggannakoa' solasubungku, kao duka' to Parisiä' anna änä'naä' duka' to Parisi. Sapo' kao dihotto'ä' aka kukatappa'i kuua deem katibangonganna sule to mate.” 
ACT.23.7	Tappana ma'kada susi Paulus, iya kende' kasipengkaam illaam alla'-alla'na to illaam Saduki anna to illaam Parisi. Napolalam sipa'ampihingam indo to ma'hempum. 
ACT.23.8	Aka to illaam Saduki naua ia: “Tä' deem katibangonganna sule to mate, tä' deem malaika' anna anitu.” Sapo' nakatappa'i asam ia to illaam Parisi.
