GEN.1.1	Blŭng-a Kră Yang 'Bok Kei-Dei pơjing plĕnh păng teh. 
DEU.7.20	Na Kră Yang 'Bok Kei-Dei iĕm gô wơh ong năm druh sôch lu sư, dĭng mă lu bơngai kơdâu ôn, kư̆m pơlôch pơrăm đĭ lu sư. 
DEU.7.21	'Nĕ hli tơrơ kơ lu sư; yua kơ Kră Yang 'Bok Kei-Dei iĕm oei hơdai iĕm, noh jơ̆ Kră Yang 'Bok Kei-Dei mă pran kơtang hloh păng trŏ kơ hli. 
DEU.7.22	Kră Yang 'Bok Kei-Dei iĕm gô puh lê̆ adrĕch 'nâu 'bơ̆t anăp iĕm 'net 'net; iĕm ưh kơ gơh pơlôch lu sư minh 'măng tăm ôh, kơnh hli kơ sem bri rai lơ na pơrăm iĕm dơ̆ng; 
DEU.7.23	Mă-lei Kră Yang 'Bok Kei-Dei iĕm gô jao lu sư kơ iĕm păng gô pơm kơ lu sư đei tơdrong hli rŭng răng tih, dĭng truh layơ mă lu sư lôch hiong đĭ. 
DEU.7.24	Sư gô pơjao lu pơtao lăm tơpang ti iĕm, na iĕm gô sŭt đĭ anăn lu sư đơ̆ng ala teh âu; ưh kơ đei bơngai bu kĕ dơ̆ng 'bơ̆t anăp iĕm, dĭng truh tơ iĕm pơlôch đĭ lu sư. 
DEU.7.25	Iĕm athei soh pơđĭ lu rup yang lu sư. 'Nĕ kơ hưch ham, 'nĕ kơ iŏk kơdih hu dah maih đơ̆ng lăm lu sư man rup noh, kơnh hli kơ iĕm 'leh hơđong; yua kơ tơmam 'noh yua kơ tơmam noh Kră Yang 'Bok Kei-Dei areh dêh. 
DEU.7.26	'Nĕ kơ chĕp ba tơmơ̆t lăm hnam iĕm tơmam mă trŏ areh dêh noh, kơnh hli kơ iĕm wang dai lôch răm. Iĕm athei lăng areh krưp, yua kơ tơmam noh trŏ kơ wă pơrăm.
DEU.8.1	Lu iĕm athei kơchăng pơm kiơ̆ bĕ đĭ dôm nơ̆r tơtă mă đơ̆ng inh roi ăn kơ lu iĕm năr âu, wă kơ lu iĕm arih, gơh pơjing băl rai lơ, na mơ̆t iŏk dêh mă Kră Yang đei pơkă pơkăm hăm lu 'bok iĕm sơ̆. 
DEU.8.2	Athei 'blŏk kơ đĭ-đăng trong mă Kră Yang 'Bok Kei-Dei iĕm chông anhăk ba iĕm lăm puăn-jĭt sơnăm kơ 'nâu tơ lăm char glă pơmat-tat, wă pơlong iĕm, wă kơ băt iĕm hăm đei wei răk dôm nơ̆r Sư tơtă dah ưh. 
DEU.8.3	Sư ăn kơ iĕm pơngot 'me rong iĕm ăn kơ iĕm sa mana mă iĕm păng lu yă 'bok kư̆m tam mă biơh băt, wă bơtho iĕm băt, kon bơngai arih ưh kơ trŏ arih đơ̆ng tơmam sa đĕch ôh, mă-lei kon bơngai arih đơ̆ng nơ̆r Kră Yang. 
DEU.8.4	Lăm puăn-jĭt sơnăm hơbĕn iĕm ao ưh kơ hiah jơ̆ng iĕm kư̆m huay kơ pơ'ngeh. 
DEU.8.5	Iĕm athei băt kơdih, Kră Yang 'Bok Kei-Dei iĕm, teh bơtho kư̆m thoi 'Bă teh bơtho kon drŏ-nglo sư kơdih. 
DEU.8.6	Hli yom bĕ kơ Kră Yang 'Bok Kei-Dei iĕm, wei răk dôm nơ̆r Sư tơtă, yak năm kiơ̆ trong Sư; 
DEU.8.7	Yua kơ Kră Yang 'Bok Kei-Dei wă gô chông ba iĕm mơ̆t tơ dêh char 'lơ̆ng, đei lơ đak glung, đei đak krong, đak mơlĕch ro lăm thŭng thong păng tơ kơpal kông groi. 
DEU.8.8	Dêh noh đei 'ba mi, 'ba tơ'bâu, plei hơmu, 'long hơra, plei gărnăt, đak rơmă plei 'long ôliwơ păng đak sut; 
DEU.8.9	Dêh noh đei tơmam sa mah rơkah rơkai; ưh kơ đei kơ'bah kiơ. Dêh noh đei tơmo bơsei păng đơ̆ng lăm kông iĕm gô sir iŏk kong, 
DEU.8.10	Mưh iĕm sŏng sa phĭ mah rơkah rơkai, iĕm gô bơnê ư-ang kơ Kră Yang 'Bok Kei-Dei iĕm, yua kơ teh đak 'lơ̆ng mă đơ̆ng Sư ăn boih kơ iĕm.
DEU.8.11	Athei kơchăng bĕ, 'nĕ hiơt kơ Kră Yang 'Bok Kei-Dei, wei răk dôm nơ̆r Sư tơtă, nơ̆r Sư tơbăt păng khôi juăt Sư mă đơ̆ng inh bơtho lu iĕm năr 'nâu. 
DEU.8.12	Hli kơ gô sŏng sa phĭ mah rơkah rơkai boih, pơm hnam 'lơ̆ng rŏ, đei anih oei kơjăp boih, 
DEU.8.13	păng tơdah rơmo triu chek lar roi lơ, hu, maih păng mŭk tơmam rai tŏk boih, 
DEU.8.14	Athei kơchăng 'nĕ kơ pơang păng 'nĕ hiơt kơ Kră Yang 'Bok Kei-Dei iĕm, Tơ'ngla chông ba iĕm lĕch đơ̆ng dêh Êyiptơ, lĕch đơ̆ng pơm đĭch. 
DEU.8.15	Kră Yang chông ba iĕm rok char glă să pă băt krưp dêh, đei 'bih tang, hơguăt, teh hrĕng kro, ưh kơ đei đak ôh, Sư ăn đak lĕch đơ̆ng tơmo arăk tơpă. 
DEU.8.16	Lăm char glă Sư boih wei rong ăn kơ iĕm sa 'bĕng mana, mă lu 'bok iĕm tam lah băt, ăn kơ lu iĕm pơmat-tat wă pơlong lăng iĕm tuch-luch ăn pŭn hiôk kơ lu iĕm.
DEU.8.17	Kơchăng bĕ, 'nĕ chă pơma lăm jơhngơ̆m khan: Noh yua kơ đơ̆ng tơdrong hơgei păng pran kơtang tơpang ti inh na mă gơh đei dôm mŭk tơmam mơdrŏng 'nâu. 
DEU.8.18	Iĕm athei 'blŏk kơ Kră Yang 'Bok Kei-Dei iĕm, noh jơ̆ đơ̆ng Sư ăn kơ iĕm jing mơdrŏng; wă pơsĭt tơdrong pơgơ̆p Sư pơkă pơkăm hăm 'bok iĕm sơ̆. 
DEU.8.19	Tơdah iĕm hiơt kơ Kră Yang 'Bok Kei-Dei iĕm, na kiơ̆ lu yang nai, bơ̆jang păng drap kơkuh kơ lu yang ei, inh khan tơpă năr âu. Lu iĕm gô lôch hiong đĭ! 
DEU.8.20	Kră Yang pơlôch pơrăm đĭ lu adrĕch nai 'bơ̆t anăp lu iĕm thoi yơ. Sư kư̆m pơlôch pơrăm lu iĕm thoi noh mơ̆n yua kơ lu iĕm ưh kơ wă mơ̆ng kiơ̆ nơ̆r Kră Yang 'Bok Kei-Dei lu iĕm ôh.
DEU.9.1	Ơ kon pơlei Isơrael, mơ̆ng bĕ! Lu iĕm wă tŏk kơ Krong Jôrđăn, wă mơ̆t tơblah puh tơweh lu adrĕch tih păng pran hloh kơ iĕm pơlei tih đei dur kơjung kơjăp truh tơ plĕnh. 
DEU.9.2	Lu adrĕch bơngai tih kơjung, pran kon sâu Anakim, mă iĕm băt boih păng iĕm đei kơtơ̆ng đe roi khan: Bơngai bu gơh kĕ dơ̆ng 'bơ̆t anăp kon sâu Anak? 
DEU.9.3	Mă-lei iĕm athei băt tơpă: Kră Yang 'Bok Kei-Dei iĕm năm adrol kơ iĕm, nhen thoi pla ŭnh khơ̆ng dơhlông sa, Kră Yang boih Sư gô pơlôch pơrăm lu sư. Pơm kơ lu sư chu thuơ, lu iĕm gô pơlôch lu sư 'mônh đĕch, thoi Kră Yang đei pơkă hăm lu iĕm.
DEU.9.4	Kơplah Kră Yang 'Bok Kei-Dei, blah puh lê̆ lu sư 'bơ̆t anăp iĕm, iĕm 'nĕ kơ tơchĕng khan: Noh yua kơ đơ̆ng tơdrong 'lơ̆ng tơpăt bơ̆n na mă Kră Yang chông bơ̆n mơ̆t iŏk dêh noh mă tơpă yua kơ đơ̆ng tơdrong yoch kơnê̆ adrĕch âu, na Kră Yang blah puh lu sư đơ̆ng anăp iĕm. 
DEU.9.5	Iĕm mơ̆t iŏk dêh đơ̆ng lu adrĕch âu ưh kơ sĭ yua kơ đơ̆ng tơdrong iĕm pơm 'lơ̆ng tơpăt ôh, dah kiơ̆ tơnăp ưh ôh, mă-lei yua kơ đơ̆ng tơdrong yoch kơnê̆ lu sư, na Kră Yang 'Bok Kei-Dei blah puh lê̆ lu sư đơ̆ng anăp iĕm, wă pơsĭt kơ nơ̆r sư pơkă pơkăm hăm lu 'bok iĕm Abraham, Isăk păng Jakôp.
DEU.9.6	Thoi noh, iĕm athei băt; ưh kơ sĭ yua kơ đơ̆ng tơdrong 'lơ̆ng tơpăt iĕm, mă Kră Yang 'Bok Kei-Dei ăn kơ iĕm gơh iŏk teh đak 'lơ̆ng 'nâu; lu iĕm jơ̆ minh adrĕch arăng kơ̆l.
DEU.9.7	Iĕm athei 'blŏk, 'nĕ kơ hiơt lu iĕm hlôi tơblĕk Kră Yang 'Bok Kei-Dei tơ lăm char glă, đơ̆ng năr iĕm lĕch hlôi kơ dêh Êyiptơ truh tơ năr 'nâu, iĕm ling-lang blah pơm plơ̆ kơ Kră Yang. 
DEU.9.8	Tơ Hôrêp lu iĕm kư̆m hlôi tơblĕk Kră Yang; na Sư blĕk hil dĭng mah Sư wă pơlôch pơđĭ lu iĕm, 
DEU.9.9	Kơplah inh năm tŏk tơ kông iŏk 'bar hlak tơmo lat, 'bar hlak tơmo tơdrong pơgơ̆p mă Kră Yang hlôi pơgơ̆p hăm lu iĕm, inh oei tơ kơpal kông puăn-jĭt năr păng puăn-jĭt măng; ưh kơ sŏng sa kư̆m ưh kơ nhă đak; 
DEU.9.10	na Kră Yang pơjao ăn kơ inh 'bar hlak tơmo lat, đơ̆ng hơnglâu ti Kră Yang 'Bok Kei-Dei chih 'mơ̆i; đei tôm dôm lu nơ̆r mă Kră Yang pơma đơ̆ng lăm tŏk-bŏk ŭnh tơ kơpal kông, lăm năr iĕm oei akŭm.
DEU.9.11	Tôm puăn-jĭt năr păng puăn-jĭt măng boih, Kră Yang pơjao ăn kơ inh 'bar hlak tơmo lat, 'bar hlak tơmo tơdrong pơgơ̆p. 
DEU.9.12	Kră Yang khan kơ inh; iung bĕ iĕm, jur mă tĕnh tĕnh, yua kơ lu kon pơlei mă ih chông ba lu sư lĕch đơ̆ng dêh Êyiptơ pơm yoch răm boih; 'nao lăp 'biơ̆ đĕch weh achăng lê̆ trong đơ̆ng Inh bơtho tơtă kơ lu sư; lu sư tuh hling minh pôm rup yang!
DEU.9.13	Kră Yang khan kơ inh: Inh 'bôh boih kon pơlei 'nâu, jơ̆ minh adrĕch arăng kơ̆l. 
DEU.9.14	Lê̆ Inh pơlôch pơđĭ lu sư păng sŭt lê̆ anăn lu sư đơ̆ng lăm teh đak âu, đơ̆ng noh inh gô pơm ăn kơ ih jing minh adrĕch pran kơtang păng lơ kơdrâ̆m hloh kơ lu sư. 
DEU.9.15	Inh hăt hot jur đơ̆ng kông, kông ŭnh oei sa; 'bar pah tơpang ti inh chĕp 'bar hlak tơmo lat tơdrong pơgơ̆p. 
DEU.9.16	Inh lăng 'bôh lu iĕm pơm yoch blah Kră Yang 'Bok Kei-Dei lu iĕm, 'nao lăp 'biơ̆ đĕch lu iĕm weh achăng lê̆ trong Kră Yang bơtho pơkă, tuh man pơm kơdih iĕm minh pôm rup kon rơmo. 
DEU.9.17	Inh chĕp 'bar hlak tơmo lat noh, klơ̆m lê̆ 'bar hlak tơmo lat noh pơchah hĕch 'bơ̆t anăp lu iĕm. 
DEU.9.18	Yua kơ lu iĕm pơm kơnê̆, pơm tơdrong yoch tih 'bơ̆t anăp Kră Yang che bơle tơblĕk Sư, na inh drap kơkuh 'bơ̆t anăp Kră Yang lăm puăn-jĭt năr păng puăn-jĭt măng thoi adrol ki, ưh kơ đei sŏng sa păng ưh kơ đei nhă. 
DEU.9.19	Inh hli kơ Kră Yang blĕk hil mĭl dĭng mah Sư wă pơlôch pơgoh lu iĕm: Mă-lei Kră Yang oei mơ̆ng nơ̆r inh mơ̆n. 
DEU.9.20	Kră Yang kư̆m blĕk hil dêh kơ Arôn, mah truh kơ wă pơlôch sư; inh kư̆m krao khan ăn kơ Arôn lăm kơplah noh. 
DEU.9.21	Đơ̆ng noh inh iŏk tơmam, rup kon rơmo mă lu iĕm pơm păng soh lê̆ lăm ŭnh, teh pơhĕch lê̆, dĭng thoi 'mui teh; đơ̆ng noh inh tuh hŭt lê̆ 'mui noh lăm glung đak ro đơ̆ng kông.
DEU.9.22	Lu iĕm kư̆m đei pơm tơblĕk Kră Yang tơ Tabêra, tơ Masa păng tơ Kirôt, Hatawa. 
DEU.9.23	Kơplah Kră Yang athei lu iĕm weh đơ̆ng Kades Barnêa, pơkă khan: Năm iŏk bĕ dêh mă Inh ăn kơ lu iĕm, mă-lei lu iĕm blah plơ̆ Kră Yang 'Bok Kei-Dei lu iĕm tơtă, ưh kơ lui kơ Sư păng ưh kơ chu mơ̆ng kiơ̆ nơ̆r Sư ôh. 
DEU.9.24	Đơ̆ng năr inh băt kơ lu iĕm truh dang ei inh 'bôh lu iĕm ling-lang pơma blah Kră Yang.
DEU.9.25	Thoi noh Kră Yang khan Sư wă pơlôch đĭ lu iĕm. Na inh đei drap bon kơkuh 'bơ̆t anăp Kră Yang lăm puăn-jĭt năr păng puăn-jĭt măng boih. 
DEU.9.26	Inh krao khan apinh thoi âu: Ơ Kră Yang mơsêh mơyang, apinh Ih 'nĕ kơ pơlôch kon pơlei Ih, noh jơ̆ tơmam Ih, đei dŏng pơklaih lu sư chông ba lu sư lĕch hlôi boih đơ̆ng dêh Êyiptơ hăm tơpang ti mơsêh pran kơtang Ih. 
DEU.9.27	Apinh Ih 'blŏk kơ lu đĭch đam Ih, Abraham, Isăk păng Jakôp; păng 'nĕ pă jô̆ dôm tơdrong kơ chu arăng kơ̆l, tơdrong yoch kơnê̆ lu kon pơlei 'nâu. 
DEU.9.28	Tơdah ưh lei kon pơlei dêh Êyiptơ gô khan; Kră Yang ưh kơ chông ba lu kon pơlei noh wă mơ̆t tơ dêh Sư pơkă, yua kơ Sư areh kơ lu sư, na chông wă pơlôch lu sư tơ lăm char glă. 
DEU.9.29	Kon pơlei pơla âu jơ̆ kon pơlei Ih păng tơmam Ih, lu bơngai mă Ih hlôi yua tơdrong mơsêh pran kơtang tih chông tơlĕch lu sư đơ̆ng dêh Êyiptơ.
DEU.10.1	Kơplah noh Kră Yang khan kơ inh: Ih athei man 'bar hlak tơmo lat thoi 'bar hlak tơmo lat adrol ki păng năm tŏk tơ Inh tơ kơpal kông ti; ih kư̆m athei pơm minh pôm hom păng tơ̆r.
DEU.10.2	Inh gô chih tơ kơpal 'bar hlak tơmo lat noh dôm nơ̆r Inh đei chih tơ 'bar hlak tơmo lat adrol ki mă ih teh pơchah lê̆ boih, đơ̆ng noh tah 'bar hlak tơmo lat âu lăm hom. 
DEU.10.3	Thoi noh inh pơm minh pôm hom păng 'long keo pơm 'bar hlak tơmo lat thoi 'bar hlak tơmo lat adrol ki, đơ̆ng noh năm tŏk tơ kông, chĕp 'bar hlak tơmo lat noh,
DEU.10.4	Kră Yang sư chih tơ kơpal 'bar hlak tơmo noh nơ̆r sư đei chih thoi adrol ki, mă mơjĭt Khôi juăt tơtă mă Kră Yang pơma kơ lu iĕm đơ̆ng lăm ŭnh tơ kơpal kông, lăm năr iĕm akŭm. Đơ̆ng noh Kră Yang pơjao ăn tơmo lat kơ inh. 
DEU.10.5	Inh jur wih đơ̆ng kông, tah lê̆ 'bar hlak tơmo lat noh tơ lăm hom mă đêl inh pơm păng lê̆ 'bar hlak tơmo lat tơ noh truh dang ei, kiơ̆ thoi Kră Yang pơkă kơ inh boih.
DEU.10.6	Kon pơlei Isơrael năm đơ̆ng sơlŭng đak Jakan truh tơ Mêsêra; Arôn lôch păng 'bŭ tơ noh, Êlêasar kon drŏ-nglo sư, bơ̆jang pơm 'bok soi tơm tơplih kơ sư. 
DEU.10.7	Đơ̆ng noh kon pơlei Isơrael năm truh tơ Gutgôđa đơ̆ng Gutgôđa truh tơ Jôtbata, jơ̆ dêh mă đei lơ đak glung. 
DEU.10.8	Kơplah noh, Kră Yang klah lê̆ adrĕch Lêwi pha, wă tung hom pơgơ̆p Kră Yang dơ̆ng 'bơ̆t anăp Kră Yang wă bơ̆jang pơm 'bok soi kơ Sư păng yua anăn Kră Yang sơkat pŭn hiôk ăn kơ kon pơlei. Truh tơ dang ei, 
DEU.10.9	Thoi noh lu bơngai Lêwi ưh kơ đei teh jang sa hơdai hăm lu 'nhŏng oh lu sư, Kră Yang boih jơ̆ tơmam lu sư, kiơ̆ thoi Kră Yang đei khan boih hăm lu sư. 
DEU.10.10	Inh oei tơ kơpal kông lăm puăn-jĭt năr păng puăn-jĭt măng kư̆m thoi adrol ki, na Kră Yang mơ̆ng nơ̆r inh; lăp đon ưh pă wă pơlôch iĕm, 
DEU.10.11	Kră Yang khan kơ inh: Iung bĕ, năm adrol kơ kon pơlei, mơ̆t iŏk dêh mă Inh đei pơkă pơkăm hăm 'bok lu sư.
DEU.10.12	Ơ bơngai Isơrael, dang ei Kră Yang 'Bok Kei-Dei iĕm tơtă athei pơm kiơ? Athei băt hli yom kơ Kră Yang 'Bok Kei-Dei iĕm, yak kiơ̆ đĭ trong Sư, 'mêm kơ Sư păng bơ̆jang kơ Kră Yang 'Bok Kei-Dei iĕm hăm đĭ jơhngơ̆m, đĭ bơhngol iĕm, 
DEU.10.13	wei răk khôi juăt păng nơ̆r tơtă Kră Yang mă inh đei bơtho ăn kơ lu iĕm năr 'nâu, wă kơ lu iĕm đei pŭn hiôk? 
DEU.10.14	Lu plĕnh păng lu tăl plĕnh kơjung hloh, teh păng dôm tơmam kơpal teh noh jơ̆ đơ̆ng Kră Yang 'Bok Kei-Dei. 
DEU.10.15	Noh boih Kră Yang 'mêm kơ 'bok lu iĕm, Sư rơih iŏk iĕm đơ̆ng lăm lu kon pơlei nai. Thoi lu iĕm năr âu. 
DEU.10.16	Na lu iĕm, athei băt hli yom kơ Kră Yanga 'nĕ pă arăng kơ̆l dơ̆ng. 
DEU.10.17	Yua kơ Kră Yang 'Bok Kei-Dei lu iĕm jơ̆ Kră Yang 'Bok Kei-Dei kơ lu yang păng yŏng kơ đĭ-đăng lu yŏng, wă khan Kră Yang 'Bok Kei-Dei Tih Hloh, mơsêh mơyang păng trŏ kơ hli yom. Sư ưh kơ pơdê bơngai bu, kư̆m ưh kơ đei pơgâm sa bu. 
DEU.10.18	Sư tơgŭm lu bơngai mơti păng bơngai adro po, 'mêm mơnat kơ bơngai tơmoi, ăn tơmam sa păng hơbĕn ao kơ lu sư. 
DEU.10.19	Lu iĕm athei 'mêm mơnat kơ lu bơngai tơmoi yua kơ lu iĕm kư̆m jing bơngai tơmoi lăm dêh Êyiptơ. 
DEU.10.20	Iĕm athei băt hli yom kơ Kră Yang 'Bok Kei-Dei iĕm, bơ̆jang kơ Sư, oei kơjăp lăm Sư păng yua anăn Sư pơkă pơkăm. 
DEU.10.21	Sư boih mă Tơ'ngla lu iĕm hơri ư-ang păng Sư boih Kră Yang 'Bok Kei-Dei iĕm Tơ'ngla hlôi pơm dôm tơdrong pran kơtang tih păng krưp, mă măt lu iĕm 'bôh boih. 
DEU.10.22	Kơplah 'bok lu iĕm jur tơ dêh Êyiptơ, đei lăp tơpơh-jĭt 'nu đĕch; mă dang ei, Kră Yang 'Bok Kei-Dei ăn kơ iĕm lơ thoi sơnglŏng tơ kơpal plĕnh ti.
DEU.11.1	Iĕm athei băt 'mêm yom kơ Kră Yang 'Bok Kei-Dei ling-lang păng athei wei răk dôm tơdrong juăt Sư, nơ̆r Sư athei păng nơ̆r Sư tơtă. 
DEU.11.2	Năr 'nâu, lu iĕm athei băt inh ưh kơ đei pơma bơtho kơ lu kon hơ'lơ̆p iĕm ôh, yua kơ lu sư ưh kơ tam băt păng kư̆m ưh tam 'bôh. Tam mă kơtơ̆ng lu nơ̆r bơtho khan đơ̆ng Kră Yang 'Bok Kei-Dei lu iĕm, tơdrong 'lơ̆ng tơpăt Sư, ti mơsêh pran kơtang tih Sư. 
DEU.11.3	Dôm tơdrong mơsêh hlĭch păng tơdrong Sư pơm boih kơ dêh Êyiptơ, kơ Pharaôn, pơtao Êyiptơ păng đĭ kon pơlei lăm dêh sư; 
DEU.11.4	dôm tơdrong Sư pơm boih kơ linh Êyiptơ lu hao aseh păng gre aseh Êyiptơ, kơplah lu sư druh 'moi iĕm, na Kră Yang ăn kơ đak dơsĭ 'Brê lơ̆p pơrăm lê̆ lu sư. 
DEU.11.5	Kon sâu lu iĕm kư̆m ưh kơ 'bôh tơdrong Sư pơm boih kơ lu iĕm lăm char glă mă dĭng tơ lu iĕm truh tơ anih 'nâu. 
DEU.11.6	Mă tơdrong Sư pơm kơ Đathan păng Abiram, kon drŏ-nglo Êliap, sâu Rubên kơplah teh hơđang ha luăn bre sư păng hnam dơnŏ sư bơsŭn păng đĭ dôm tơmam kiơ gah lu sư kơplah lu sư oei hơdai lu kon pơlei Isơrael sơ̆. 
DEU.11.7	Mă-lei lu iĕm 'bôh păng măt dôm tơdrong tih mă Kră Yang hlôi pơm boih.
DEU.11.8	Thoi noh iĕm athei wei răk bĕ dôm nơ̆r tơtă mă inh bơtho ăn kơ lu iĕm năr 'nâu, wă kơ lu iĕm đei jơhngơ̆m pran, mơ̆t iŏk dêh mă lu iĕm wă iŏk tơ pah to Krong Jôrđăn. 
DEU.11.9	Wă kơ lu iĕm arih sot tơ teh đak mă Kră Yang pơkă boih wă ăn kơ lu 'bok iĕm păng ăn kơ adrĕch adrung lu sư, teh đak toh păng đak sut. 
DEU.11.10	Dêh mă lu iĕm gô mơ̆t iŏk noh ưh kơ sĭ thoi dêh Êyiptơ, mă anih lu iĕm lĕch sơ̆, yua kơ tơ Êyiptơ mưh iĕm rei adrĕch, iĕm bơ̆ đak 'mơ̆i bơwei nhen thoi pơgar. 
DEU.11.11	Mă-lei dêh lu iĕm gô năm mơ̆t iŏk noh, jơ̆ minh dêh đei kông groi păng teh dơnă 'lơ̆ng, yua đak 'mi đơ̆ng plĕnh ruh hngôm. 
DEU.11.12	'Noh jơ̆ minh pôm dêh mă măt Kră Yang 'Bok Kei-Dei iĕm bơwei, đơ̆ng sơnăm blŭng-a sơ̆ truh tơ tôch.
DEU.11.13	Tơdah lu iĕm chu mơ̆ng kiơ̆ dôm nơ̆r tơtă mă inh bơtho ăn kơ lu iĕm năr 'nâu, đĭ jơhngơ̆m klơm klak 'mêm kơ Kră Yang 'Bok Kei-Dei iĕm păng bơ̆jang kơ Sư. 
DEU.11.14	Na Sư gô ăn đak 'mi jur trŏ kơ bơyan mă bơyan nê̆-năm mă bơyan puih, lu iĕm gô đei 'ba hơ'bo, sik hơmu 'nao păng đak rơmă plei 'long ôliwơ. 
DEU.11.15	Sư kư̆m gô pơm ăn kơ mir tơmăn đei 'nhĕt chăt ăn kơ sem dơrong iĕm; iĕm gô đei sŏng sa phĭ mah rơkah rơkai. 
DEU.11.16	Athei kơchăng wă kơ lu iĕm huay lui kơ đe pơhlŭ pơlung, achăng lê̆ Kră Yang, na drap kơkuh kơ yang nai. 
DEU.11.17	Kơplah noh Kră Yang gô hil mĭl kơ lu iĕm, sư gô tang lê̆ plĕnh, na ưh pă đei đak 'mi dơ̆ng, teh pă đei plei sa: Lu iĕm gô lôch hiong đơ̆ng lăm dêh char 'lơ̆ng, mă đơ̆ng Kră Yang ăn kơ lu iĕm.
DEU.11.18	Lu iĕm, athei chih răk lăm jơhngơ̆m păng lăm kơ̆l 'ngok, dôm nơ̆r inh bơtho iĕm, 'bot sư tơ ti wă kơ iĕm 'blŏk păng pơ̆n sư tơ klĕng iĕm. 
DEU.11.19	Athei bơtho dơ̆ng kơ lu kon sâu iĕm, tơ'blŏk mă lu sư oei ngôi lăm hnam dah yak rok trong, kơplah oei tep dah iung đơ̆ng tep.
DEU.11.20	Athei chih răk dôm lu nơ̆r âu tơ jrăng 'măng hnam păng tơ 'măng jang iĕm. 
DEU.11.21	Thoi noh măng năr oei đei kơpal teh kơ lu iĕm păng kon sâu lu iĕm gơh oei đei đunh sot lăm dêh mă Kră Yang pơkă boih wă ăn kơ lu 'bok iĕm kư̆m thoi iĕm.
DEU.11.22	Tơdah lu iĕm kơchăng wei răk păng pơm kiơ̆ đĭ dôm nơ̆r tơtă, mă inh bơtho boih kơ lu iĕm athei, 'mêm kơ Kră Yang 'Bok Kei-Dei lu iĕm, yak kiơ̆ trong Sư păng oei pơgơ̆p kơjăp hăm Sư. 
DEU.11.23	Lei Kră Yang gô pơpuh lê̆ đĭ lu adrĕch adrung 'nâu đơ̆ng anăp lu iĕm, lu iĕm gô iŏk oei lăm teh đak adrĕch adrung tih păng pran hloh kơ iĕm. 
DEU.11.24	Tơ anih ayơ tơpang jơ̆ng lu iĕm juă, tơ noh jing anih lu iĕm. Teh hơdral lu iĕm đơ̆ng char glă truh tơ Liban đơ̆ng Krong Ơphrat truh tơ dơsĭ gah bơmơ̆t.a 
DEU.11.25	Ưh kơ đei bơngai bu kĕ iung dơ̆ng blah 'bơ̆t anăp lu iĕm; Kră Yang 'Bok Kei-Dei lu iĕm gô pơm ăn kơ đe hli tơrơ kơ lu iĕm lăm jơ̆p kơ dêh lu iĕm juă, thoi Sư đei pơkă khan boih kơ lu iĕm. 
DEU.11.26	Dang ei Inh ăn 'bơ̆t anăp lu iĕm rơih iŏk tơdrong pŭn hiôk păng tơdrong hiap pơtê̆. 
DEU.11.27	Tơdrong pŭn hiôk, tơdah lu iĕm mơ̆ng pơm kiơ̆ dôm nơ̆r tơtă đơ̆ng Kră Yang 'Bok Kei-Dei lu iĕm, mă inh roi ăn kơ iĕm năr 'nâu. 
DEU.11.28	Tơdrong hiap pơtê̆, tơdah lu iĕm kuă kơ mơ̆ng păng ưh kơ pơm kiơ̆ ôh dôm nơ̆r tơtă đơ̆ng Kră Yang 'Bok Kei-Dei lu iĕm, mă weh achăng lê̆ nơ̆r tơtă đơ̆ng Kră Yang 'Bok Kei-Dei iĕm, na yak kiơ̆ trong lu yang nai, mă lu iĕm ưh kơ băt. 
DEU.11.29	Kơplah Kră Yang 'Bok Kei-Dei chông ba iĕm mơ̆t iŏk dêh đêl pơkă na sơkat pŭn hiôk tơ kơpal kông Gêrasim păng tơdrong hiap pơtê̆ tơ kơpal kông Êbal. 
DEU.11.30	'Bar tŏ kông âu tơ pah to Krong Jôrđăn, gah to kơ trong tih, năm tơ gah măt 'năr mơ̆t jê̆ lu 'long kôih tơ Môre lăm tơring kon pơlei Kanaan oei tơ lăm thŭng Araba, tơ jê̆ pơlei Gilgal jê̆ lu 'long kôih tơ Môre? 
DEU.11.31	Lu iĕm tŏk kơ Krong Jôrđăn, wă mơ̆t iŏk dêh mă Kră Yang 'Bok Kei-Dei lu iĕm ăn kơ lu iĕm. Mưh lu iĕm đei iŏk dêh păng bơ̆jang sa păng oei hloi tơ noh, 
DEU.11.32	lu iĕm athei pơkă tơpă pơm kiơ̆ đĭ dôm tơdrong juăt păng nơ̆r tơtă mă inh đei bơtho tơ'bôh kơ lu iĕm năr 'nâu.
DEU.12.1	'Nâu bơih tơdrong juăt păng nơ̆r tơtă mă lu iĕm athei kơchăng wei răk păng pơm kiơ̆ đĭ chăl arih lu iĕm oei tơ lăm dêh mă Kră Yang 'Bok Kei-Dei 'bok iĕm ăn kơ lu iĕm iŏk oei. 
DEU.12.2	Pơrăm đĭ lu anih ayơ lu adrĕch adrung, mă lu iĕm gô blah puh lê̆, lu anih kơkuh kơ yang lu sư, tơ kơpal kông kơjung dah tơ kơpal groi dah tơ ala yơ̆p 'long, 
