GEN.1.1	Di katbuan, Dwata mimò langit na banwe. 
LUK.12.11	“Na ku nun to mebe gamu di muna i dad gumdatahla gal mukum di gal gusatdò, ku demen i dademe ganlal, du fukumla gamu mdà di ksasatuyu di deg, nangyu fsamuk nawayu gablà di ktimelyu dale, na i fye kmanyu dun, 
LUK.12.12	du i Mtiu Tulus fgadè di gamu i fye manyu di bang én.”
LUK.12.13	Na nun satu to mdà di dad to stifun déén, manan di ku Dyisas, “To Tamdò, manam di flanekgu, fye ku blén di deg i deg alel di knun tagak mà gami.”
LUK.12.14	Kabay man Dyisas, “Lew, landè labetgu musay ku demen samsalel i knun màyu.” 
LUK.12.15	Na man Dyisas di kdee dad to déén, manan, “Too gamu fgeye du fye landè klom nawayu. I klawil na kafye nawa satu to, ise mdà di kalbong knunan.”
LUK.12.16	Na tulen Dyisas dale satu fléd, manan, “Nun satu to bong knunan, nun tanaan too bong uléan. 
LUK.12.17	Na manan di kton, ‘Tan i fye kibògu? Talandè gusamtifungu i bong ulê i fulegu?’ 
LUK.12.18	Na manan, ‘Ani nimògu, lanbàgu i dad labi folgu na tanlasgu bong. Déén gumusekgu kdee ulê fulegu na i dademe kandeengu. 
LUK.12.19	Na kafnge én, fakaygu man di ktogu, “Tay, kafye kagkahgu nan. Là mti i bong knungu kel di file fali. Tatì agu nan ftud, kmaan, minum, na too flehew!” ’ ”
LUK.12.20	“Kabay man Dwata di to én, ‘Too kulang i fandamam! Kadang butang ani mati ge, na simto kè mfun i kdee knun tasantifunam? Taise ge.’ ”
LUK.12.21	Na man Dyisas, “Ani kagkah i kdee dad to samtifun knun dini di tah tanà, bay di kite Dwata landè knunla.”
LUK.12.22	Na manan di dad to gal mlalò kenen, “Taman ani mangu di gamu, nangyu fsamuk i nawayu gablà di dad klidùyu, i galyu knaan, na gablà di lawehyu ku tan klaweh galyu lsak. 
LUK.12.23	Tablé Dwata di gito i too mabtas, dunan i nawaito na lawehito, taman landè duenito fsamuk i nawaito gablà i knaan na klaweh. 
LUK.12.24	Fandamyu dad wak, là ale mla ku demen kamtu, landè lawig ku demen fol gusamtifunla knaanla, bay fankaan ale Dwata. Na gamu mabtas fa di dad anuk di bnas. 
LUK.12.25	Nun kè di gamu tmugad i klawilan balù tukay fagu di kafsamuk i nawan? Landè sa! 
LUK.12.26	Na ku làyu gagan mimò tukay ani, kan ku fsamukyu nawayu gablà di dademe dad klidùyu.
LUK.12.27	“Fandamyu dad bulek di bnas ku tan kibò ktabòla. Là ale faflayam meye klidùla na là ale mimò klawehla. Kabay ani mangu di gamu, balù Harì Solomon di too nun knunan, landè klawehan gasngad di kafye baweh i satu bulek. 
LUK.12.28	Na fandamyu, landè kabtas dad bulek di bnas mto duh ani bay fayah mlanas na bat di lifoh. Ku kanlaweh Dwata i dad bulek di kafye én, lumban i kablén gamu klaweh. Tay, too tukay i kafaglutyu! 
LUK.12.29	Nangyu alì fandam na fsamuk i nawayu gablà di gumwèyu i knaanyu na ninumyu. 
LUK.12.30	Hae, du én i too fanngabal i dad to là gmadè Dwata, bay i Màyu di langit gmadè i kdee klidùyu. 
LUK.12.31	Kabay ani i fye nimòyu, fdatahyu di nawayu i kagot Dwata, na blén di gamu i kdee dad klidùyu.”
LUK.12.32	Man Dyisas, “Gamu dad mlalò deg, nang gamu likò balù ku là gamu dee, du i Màyu di langit, too kenen lehew fagin gamu di kagotan. 
LUK.12.33	Fabliyu i dad knunyu, na banléyu i dad to landè. Na én kibòyu samtifun knunyu landè kalmo, dunan i knun landè ktin di langit. Na landè to gfusuk ditù du tmaku, na landè kanok gafalmo dun. 
LUK.12.34	Hae, du ku nè gumnè i knabasyu, én sa gumnè i nawayu.”
LUK.12.35+LUK.12.36	Fadlug Dyisas tamdò, manan, “Fatlagad gamu di kasfulêgu, salngad i dad salig fatan i kasfulê i amula fdu di kasdeme. Di laan fa kel, lsakla i fye klaweh na mtam i salò, du fye di kbalan fusuk gatlagad ale gasil mukà i takab. 
LUK.12.37	Too nun kafye gdawat i dad salig ku di kakel i amula, mukat ale. Na tulengu gamu i kaglutan, kiten dun tanlasan i klawehan, na fsudengan dad saligan, du kenen i fkaan dale. 
LUK.12.38	Na balù ku tngà butang ku demen too flafus kakelan, too nun kafye i dad salig i gatlagad di kakelan. 
LUK.12.39	Kabay tooyu fandam ani, ku tagadè i mfun gumnè i bang kakel i to tmaku, fatlagad kenen du fye là gfusuk i to tmaku di gumnean. 
LUK.12.40	Na salngad gamu, too gamu fatlagad, du agu, i dnagit Tingà To, kel di bang man nawayu ise fa bang kakelgu.”
LUK.12.41	Na smalek Fiter, manan, “Amu, alò di gami kè gutmulenam i fléd ani, ku demen di kdee dad to?”
LUK.12.42	Na man i Amuito Dyisas, “Simto i salig too gsalig na too fulung? Dunan i salig gufagot i amun i dademe dad saligan, du fye nalelan dale i knaanla ku tabang kablé dun. 
LUK.12.43	Too nun kafye i salig di kakel i amun ku teenan kenen mimò i fimò kenen. 
LUK.12.44	Tulengu gamu i kaglutan, ku ani teenan, fagotan i salig ani i kdee dad knunan. 
LUK.12.45	Kabay, ku man i saligan ani di kton, ‘A, mlo fa kulê i amugu,’ na tanbuan fatduk i dademen dad salig, lagi na libun, na too kenen kmaan, minum, na flangal. Na ku én nimoan, 
LUK.12.46	ani sa mkel di kenen. Samfulê i amun di bang i laan gadè dun, na laan fandam ku kel, na i kibò i amun kenen, toon fanlayam, du fakufan kenen di gaslok i dad to là faglut.
LUK.12.47	“Na nè i salig gmadè knayè i amun, bay laan fatlagad, na laan nimò knayè i amun, toon fatduk. 
LUK.12.48	Kabay i salig là gmadè knayè i amun, na gamsalà, fanlayam, bay là too blat i flayaman. Nè i to banlé dee, dee fni di kenen, na nè i to dee fagot di kenen, too dee i fni di kenen.”
LUK.12.49	Na man Dyisas, “Salu agu dini du nun nebegu salngad i lifoh dminè di tah tanà ani. Na kayègu moon ku dminè nan. 
LUK.12.50	Kabay nun bunyag dnawatgu, dunan i kaflayam fangu nagu. Na là manak i nawagu kel di kagdohò dun. 
LUK.12.51	Ken man nawayu, én duengu salu dini di tah tanà du mebe agu ksasatu nawa, bay ise. Tulengu gamu, én duengu salu dini du mebe agu i kasbalétyu. 
LUK.12.52	Hae, mdà di ksalugu dini, ku nun lime to di satu malay sbalét ale. Tlu mnang nawa i lwe, na lwe mnang nawa i tlu. 
LUK.12.53	Snang nawa i dad lagi na màla, na i dad libun na yêla, na dad libun gnè na i tewela libun.”
LUK.12.54	Na nun fa man Dyisas di dad to stifun déén, manan, “Ku nun teenyu labun fdu di gusdaf i duh, galyu man, ‘Tafan mulen,’ na glut, là mlo mulen sa. 
LUK.12.55	Na ku lyaloyu nus sabnal, manyu, ‘Too minit kadang,’ na glut sa. 
LUK.12.56	Tay, gamu dad to flingu! Fulung gamu meye i dad ilè di tanà na langit, kan ku là gamu fulung meye i dad ilè di bang ani gablà di deg?”
LUK.12.57	Fadlug Dyisas tamdò, manan, “Na kan ku làyu fandam ku tan i fye nimò? 
LUK.12.58	Kaflingenta dun, ku nun to dmuen ge, na neben ge di usay, funa gamu stulen du fye sulê di gusafyeyu di là gamu fa kel di ganlal, du fye laan ge fles blé di to mukum, du ken léan ge blé di fulis, na bnilanggùla ge. 
LUK.12.59	Tulenta ge ani, silang ge galwà ku tatoo sikof bayadam i salaam.”
LUK.13.1	Na di bang én, nun dad to tmulen ku Dyisas gablà di dad to di banwe Galili tafafati Filat di lamla damsù di Dwata. Na i litèla masbool di litè i dad lmanaf dsùla. 
LUK.13.2	Na man Dyisas di dale, “Man nawayu kè too blat fa i salà dad to én di salà i dademe dad to mdà di Galili, du bnanò ale di lamla damsù? 
LUK.13.3	Là sa! Kabay tulengu gamu, ku là gamu msal na tmagak i sasè nimòyu, mati gamu salngad dale. 
LUK.13.4	Na i dad sfalò walu dad to mati matkan i too mdatah gumnè di Silom, man nawayu kè too blat fa i salàla di salà i dademe dad to mnè di Dyérusalém? 
LUK.13.5	Là sa! Kabay tulengu gamu, ku là gamu msal na tmagak dad sasè nimòyu, mati gamu salngad dale.”
LUK.13.6	Na kafnge én, tulenan dale i fléd ani, manan, “Kaflingenta dun, nun satu to, nun kayu fig tafulen di tanà i galan gumule grép. Satu duh mngabal kenen bunge di kayu ani, bay landè teenan. 
LUK.13.7	Taman manan di to mifat i fulen, ‘Tatlu fali i klogu mngabal bunge i kayu ani, na landè teengu. Nbekam du aloan falmo i tanà.’ 
LUK.13.8	Kabay man i to mifat i fule, ‘Bayaam fa, balù alò fali ani, du funagu lanbud na fankahgu abunu. 
LUK.13.9	Ku munge kadang di fali ani, too fye, bay ku là, na fanlesam fbek.’ ”
LUK.13.10	Di satu Duh Kaftud i dad Dyu, tamdò Dyisas di satu gusatdòla. 
LUK.13.11	Na nun libun déén tasfalò walu fali nun tdukan mdà di busaw. Bakug kenen, na talaan beg gafatlu tadag. 
LUK.13.12	Na di kite Dyisas i libun ani, tlon kenen, na manan, “Tamgulê ge nan di tdukam.” 
LUK.13.13	Na nagotan kenen, na tatì gafatlu tadag, na dnayenan Dwata.
LUK.13.14	Kabay i ganlal mebe di gal gusatdò, too kenen flabè du tafangulê Dyisas i libun ani di Duh Kaftud, na manan di dad to déén, “Nun nam duh di satu simana fakay ito mimò. Salu gamu dini di dad duh én ku mayè gamu mgulê, bay ise ku di Duh Kaftud.”
LUK.13.15	Kabay tmimel Dyisas kenen, manan, “Gamu i dad to alò flingu mimen Dwata! Làyu kè nteh i ikat i dad bakayu na dongkiyu, du fninumyu ale di Duh Kaftud. 
LUK.13.16	Na i libun ani, kenen satu bel Abraham, na tasfalò walu fali taklo Satanas mikat kenen. Là kè fakay ku ntehgu ikatan di Duh Kaftud?”
LUK.13.17	Di kman Dyisas ani, too myà i dad to dmuen kenen, bay dademe dad to flinge, too ale lehew gablà di dad too fye galan nimò.
LUK.13.18	Na man Dyisas, “I tan gufasngadgu i kagot Dwata? Tan i fye guflingengu dun? 
LUK.13.19	Flingengu di too tukay bnê fule satu to di tanaan. Tmabò i bnê ani, na mbaling bong kayu. Na smalal dad anuk di bnas di dad fangan.”
LUK.13.20	Na lêman smalek Dyisas, manan, “I tan fa guflingengu i kagot Dwata? 
LUK.13.21	Flingengu di bulung falnok fan nwè i satu libun du bolan di tlu gantang arina, na too masbool na too lamnok.”
LUK.13.22	Na fles Dyisas magu salu di Dyérusalém, na slob kenen tamdò di dad malbang na dad malnak banwe di dalanan. 
LUK.13.23	Na nun to smalek kenen, manan, “Amu, là kè dee to galwà di salàla?”
LUK.13.23	Na man Dyisas di dale, 
LUK.13.24	“Too gamu fgal du fye gfusuk gamu di tukay bà takab salu di nawa landè sen du landè dademe dalan salu ditù. Na tulengu gamu, too dee to kadang tilew fusuk, bay là ale gfusuk. 
LUK.13.25	Ku fkahta di gumnè, ku tatnakab kadang i to mfun dun, gtagak gamu tadag di lwà, na fakdo gamu, manyu, ‘E Amu, begam nukà gami i takab!’
LUK.13.25	“Kabay én timelan gamu kadang, manan, ‘Làgu gamu dilè, na làgu gadè ku nè i gumdàyu!’
LUK.13.26	“Na manyu kenen, ‘Kabay tagnè gami sgalak di ge, du kmaan gami na minum di safédam, na gal ge tamdò di banwemi.’
LUK.13.27	“Kabay man mfun i gumnè, ‘Tulengu gamu, làgu gamu dilè, na làgu gadè ku nè i gumdàyu! Fawag gamu di deg kdeeyu dad to mimò sasè.’
LUK.13.28	“Na di bang én too gamu mngel na kminggat i kifanyu mdà di klidùyu di kiteyu dad gutambulyu Abraham, Isaak, na Dyékob, na i kdee dad tugad Dwata tagfusuk di kagot Dwata, bay gamu gtagak di lwà. 
LUK.13.29	Na nun fa dad to mdà di klamang banwe sudeng kmaan di bong fista di kagot Dwata, mdà di dad banwe di gusut i duh, na mdà di gusdafan, na mdà di gufdu i sabnal, na mdà di gufdu i timul. 
LUK.13.30	Too glut, nun dad to gfulé di mduh ani, tambaling guna kadang, na nun dademe guna di mduh ani, mbaling gfulé kadang.”
LUK.13.31	Na di bang én, nun dad Farisi salu di ku Dyisas, na manla, “Gasil ge mdà salu di dademe banwe du mayè Harì Hérod mati ge.”
LUK.13.32	Kabay man Dyisas, “Mdà gamu salu di ku Harì Hérod, én to gal mgaw, na tulenyu kenen, funagu falwà dad busaw na fgulê i dad to di mduh ani, na lêman fayah, bay lwe ani, kafnge i nimògu. 
LUK.13.33	Di mduh ani na fayah fadlug agu di kagugu, na kel di lwe ani, i kakelgu di Dyérusalém, du là fakay fnati i tugad Dwata ku ise déén di Dyérusalém.”
LUK.13.34	Na too mlidù nawa Dyisas gablà di dad to di Dyérusalém, na manan, “E gamu dad to di Dyérusalém, gamu dad to mati i dad tugad Dwata, na tmudà batu kel di kfati i dad saligan dekan di gamu! Tadee dulêgu mayè samtifun gamu di ifatgu gambet i anuk mliton santifunan i dad unsuyan di dungan fafakan, bay là gamu mayè. 
LUK.13.35	Na taman tnagak nan Dwata i banweyu, na silangyu agu lêman teen ku takel i bang kmanyu, ‘Nun kafye di to salu dini mebe i glal mdà di Amuito Dwata.’ ”
LUK.14.1	Di satu Duh Kaftud, salu Dyisas di gumnè satu Farisi nun glal, du nlak kenen kmaan ditù. Na too kenen tnanul i dad to. 
LUK.14.2	Na nun satu lagi déén, balak i lawehan. 
LUK.14.3	Na snalek Dyisas i dad Farisi na i dad gal mubad dad flalò blé Dwata fagu di ku Mosis, manan, “Fakay kè di dad flalò Dwata ku fgulê i to nun tduk di Duh Kaftud, ku là?”
LUK.14.4	Kabay tatì ale fanak. Na nagot Dyisas i to én, na fanguléan na fdaan mulê. 
LUK.14.5	Na snalek ale Dyisas, manan, “Ku nun tingàyu ku demen bakayu i mtatek di mngalam sol di Duh Kaftud gasilyu falwà ku là?”
LUK.14.6	Kabay là ale gamtimel.
LUK.14.7	Na nun teen Dyisas i dademe dad to nlak déén malék i dad gusudeng i gal tagà di dad to mdatah, taman nun tulenan satu fléd, manan, 
LUK.14.8	“Ku nun mlak ge di kasdeme, nangam nalék i fye gusudeng i gal tagà i dad mdatah to, du ken nun to kel, mdatah fa di ge. 
LUK.14.9	Du ku kel, ken salu di ge i to mlak, na manan, ‘Blém i gusudengam di to ani.’ Na baling ge myà du tabaling én tlas gusudengam i gusudeng i dad to mdanà. 
LUK.14.10	Kabay ku nun mlak ge, ani fye nimoam, nalékam i gusudeng i dad to mdanà du fye salu di ge i to mlak, na manan, ‘E Lew, mili ge kun di fye gusudeng.’ Na fiten di kdee dademem nlak, ge too mgafè. 
LUK.14.11	Du balù simto to fdatah i kton, fdanà sa kadang, na balù simto to fdanà i kton, fdatah sa kadang.”
LUK.14.12	Na man Dyisas di to mlak kenen, “Ku mimò ge kakaan ku nun to nlakam kmaan di safédam, nangam nlak i dademem sgalak, i dad flanekam, i dademe gakedam, ku demen i dademem saldan i nun knun, ken mlak ale ge na gbalas ge di klakam dale. 
LUK.14.13	Kabay ku mimò ge fista, i fye nlakam, dunan i dad to landè knun, i dad to là gmagan magu, i dad kimay, na i dad butè. 
LUK.14.14	Na nun kafye gdawatam, du balù làla ge gbalas, Dwata malas i kafye nimoam di kték i dad to tlu.”
LUK.14.15	Na nun satu to di gukmaanla mlinge i man Dyisas gine, na manan, “Too nun kafye i to kmaan di fista nimò Dwata kadang di kagotan di langit.”
LUK.14.16	Na tulen Dyisas fléd ani di to én, manan, “Nun satu to mimò i bong fista, na dee dad to nlakan. 
LUK.14.17	Di kakel i duh i fista, dekan i saligan du fye tnulen i dad to tanlakan, ‘Salu gamu dini, du tagatlagad i kdee.’
LUK.14.18	“Kabay i kdeela malibad i là ale gsalu ditù. Man i tnanin, ‘Nun tanà bnayadgu, na là fakay ku làgu nlauy. Begam nlifet i làgu kagsalu di fista.’
LUK.14.19	“Na man i satu, ‘Nun gbayadgu sfalò baka, na fan agu mdà du tilewgu ale fdaru. Begam nlifet i làgu kagsalu di fista.’
LUK.14.20	“Na man i satu, ‘Falami agu mwè yaan, taman là agu gsalu di fista.’
LUK.14.21	“Taman mulê i saligan, na tulenan i kdee ani di amun. Na too flabè i amun, na manan di saligan, ‘Faflal ge mdà salu di dad karsada na dademe dad dalan di syudad, na nebem dini i dad to landè knun, dad là gagu, dad butè, na dad kimay.’
LUK.14.22	“Na di là mlo, takel i saligan, na manan, ‘E Amu, tanimògu i kdee dekam, bay nun fa gdè gusudeng.’
LUK.14.23	“Na man i amu di saligan, ‘Lêman ge mdà salu di dad dalan di bulul, na toom fsalu dini i dad to, fye fnò i gumnègu. 
LUK.14.24	Kabay tulengu ge, landè balù satu di dad to munagu nlak gamkaan i bong knaan tafatlagadgu ani.’ ”
LUK.14.25	Nun dee dad to magin ku Dyisas magu, na meye kenen di dale, na manan, 
LUK.14.26	“Ku nun to mayè magin deg, na là too bong nawan deg, mdatah fa di kalbong nawan maan, yéan, yaanan, dad ngaan, dad flanekan, na balù kel di kton, là kenen fakay mgimò satu gal mlalò deg. 
LUK.14.27	Na balù simto to là mebe i krusan na mlalò deg, là kenen fakay mgimò satu gal mlalò deg.
LUK.14.28	“Kaflingenta dun, ku nun di gamu mayè fdak i bong gumnè, én nimoan, funan fanak na fandam ku file filak i btasan du fye gadean ku gablà filakan gafnge dun. 
LUK.14.29	Hae, du ku laan funa fandam, di kafngen fdak i lahanan, laan gafnge i gumnean, na baling snilo kenen i kdee mite dun. 
LUK.14.30	Na manla, ‘I to ani, tambù kenen fdak i gumnè, bay laan gafnge dun.’
LUK.14.31	“Salngad én, ku fkahta di harì fan samfati satu harì nun lwe falò libu sundalun, du funan fanak na fandam fye gadean ku gmagan kenen misan dun, balù ku alò sfalò libu i kenen sundalu. 
LUK.14.32	Na ku man nawan laan gmagan, dekan muna dad saligan smitong i satu harì di sawag ale fa, du fye stulen di gufyen fye là ale fles sfati. 
LUK.14.33	Salngad én, là gamu fakay mgimò to mlalò deg, ku làyu funa fandam na tnagak i kdee dademe mabtas di gamu.
LUK.14.34	“I dad mlalò deg, ku làla agu fabtas di kdee dademe knabasla, salngad ale di kahì landè nem, du balù ku fye kahì, bay ku talandè neman, landè kibò fahì dun lêman. 
LUK.14.35	Talandè gukmamu dun, balù bol di abunu i tanà, là fakay, tatì bat nan i dad to. Taman flinge gamu ku nun klingeyu!”
LUK.15.1	Na di satu duh, i dad to gal mwè bayad buhis na i dademe dad to gal mlafà i flalò Dwata, stifun ale du flinge i tdò Dyisas. 
LUK.15.2	Kabay i dad Farisi na i dad to gal tamdò i dad flalò Dwata, too ale mugak, manla, “I to ani, dnawatan i dad to gamsalà na kmaan kenen di safédla!”
LUK.15.3	Na én duen tulen Dyisas satu fléd, manan, 
LUK.15.4	“Ku nun satu to di gamu mfun mlatu bilibili, na baling lana i satu, tan i nimoan? Tnagakan i syem falò syem di gumtebla, du fanngabalan i lana kel di kiten dun. 
LUK.15.5	Na di kiten dun, too kenen lehew, na tniangan mulê. 
LUK.15.6	Di kakelan di gumnean, tlon i dademen sgalak na i dademen saldan, na manan dale, ‘Flehew gamu magin di deg, du tateengu i bilibiligu lana.’ 
LUK.15.7	Na tulengu gamu, salngad én di langit du bong klehew ditù mdà di satu to gamsalà msal na tmagak i salaan, di syem falò syem to matlu i landè kamula msal.”
LUK.15.8	“Na ku nun libun mfun sfalò batù filak too mabtas, na baling lana i satu, tan i nimoan? Laan kè gasil mtam i salò na fnune i gumnean na toon fanngabal kel di kiten dun? 
LUK.15.9	Na di kiten, tlon i dademen sgalak na i dademen saldan, na manan dale, ‘Flehew gamu magin di deg, du tateengu i filakgu lana.’ 
LUK.15.10	Na tulengu gamu, salngad én i klehew dad kasaligan Dwata di ksal satu to gamsalà di salaan.”
LUK.15.11	Na fadlug Dyisas talù, manan, “Nun satu to nun lwe tingaan lagi. 
LUK.15.12	Na man i twali di maan, ‘E Mà, blém deg nan deg alel di knunam.’ Taman nalelan i knunan di lwe dad ngaan.
LUK.15.13	“Di là file duh, fabli i twali kenen alel, na neben i kdee gwean di mawag banwe, na falmon di dee sasè nimò i landè gukmamu. 
LUK.15.14	Na di kti kdee, nun kel bong kbitil di klamang banwe gusalun, na too kenen malima ditù. 
LUK.15.15	Taman fusuk kenen di nimò di satu to mnè di banwe én. Na dekan kenen di nligon du fkaan dad sdean. 
LUK.15.16	Na mdà di too sè kbitilan, kayean moon kmaan i dad bunge kayu i galan fkaan di dad sdè, bay landè mlé kenen balù i tan.
LUK.15.17	“Kabay fandaman i kagkahan, na manan di kton, ‘I kdee dad tnaden Mà, mlukas fa knaanla, bay deg, tafan agu mati kbitilgu. 
LUK.15.18	Fye fa ku mdà agu mulê di ku Mà, na mangu di kenen, “Mà, tagamsalà agu di Dwata na lêman di ge. 
LUK.15.19	Talà agu gablà tlo tingaam. Nimoam agu alò satu to tnadenam.” ’
LUK.15.20	“Taman mdà kenen mulê di maan. Kabay di mawag fa kenen, teen i maan, na toon kenen kando. Na faflal kenen sadlu smitong i tingaan, na lkafan na nalakan.
LUK.15.21	“Na man i tingaan, ‘Mà, tagamsalà agu di Dwata na lêman di ge. Talà agu gablà tlo tingaam.’
LUK.15.22	“Kabay tlo i maan dad saligan, na manan, ‘Faflal gamu! Nebeyu dini i too fye klaweh, na falsakyu kenen. Fnalsakyu kenen tising na tnalumfàyu. 
LUK.15.23	Nwèyu i tingà baka tafabù, na tnatêyu. Mimò ito fista, na too ito flehew, 
LUK.15.24	du i tingàgu ani gambet mati, bay ani, talêman mto! Gambet talana, bay ani, talêmangu teen!’ Taman tambù ale too flehew.
LUK.15.25	“Na di slà ani, ditù fa i tingaan twege di nligola. Na di kuléan, di kagdadongan di gumnè, lingen i lingag, na teenan i dad to sayew. 
LUK.15.26	Taman tlon satu di dad saligla, du snalekan di kenen ku tan i nimòla. 
LUK.15.27	Na man i salig, ‘Tamulê i twalim, na taftatê maam i tingà baka tafabù, du tasamfulê i twalim na fye kagkahan.’
LUK.15.28	“Kabay baling kenen flabè, na laan mayè fusuk di gumnè. Taman lamwà i maan na fakdo di kenen fye fusuk. 
LUK.15.29	Kabay én timelan maan, ‘Fadé fandamam, tafile fali klogu mimò dini na di kdee dekam deg slamegu nimen, bay laam lmen mlé deg balù satu tingà kambing du tnatêgu fye nun klehewgu dmeme i dad demegu sgalak. 
LUK.15.30	Kabay kakel i satu tingaam tafalmo i knunam dmeme i dad sasè libun, balingam tnatê kenen i tingà baka tafabù.’
LUK.15.31	“Na man i maan, ‘E Tò, tagnè ge mnè dini di safédgu, na i kdee dad knungu slame ge mfun dun. 
LUK.15.32	Kabay too mabtas ku mimò ite fista na flehew ite du gambet tamati i twalim, bay talêman mto. Gambet talana, bay ani talêmanta teen.’ ”
LUK.16.1	Na lêman nun tulen Dyisas satu fléd di dad to mlalò kenen, manan, “Nun satu to too bong knunan, na nun saligan gufagotan dun. Na di satu duh, nun lingen na tabaling falmo saligan i knunan. 
LUK.16.2	Di kgadean dun, fatlon i saligan, na snalekan kenen, manan, ‘Tan i lingegu ani gablà di ge? Blém di deg i gugsulat gablà di kagotam i knungu, du làgu nan fagot ge.’
LUK.16.3	“Na man i salig di kton, ‘Tan i kibògu nan du falwà agu i amugu? Làgu gagan mimò i blat du mlungay agu na myà agu mni. 
LUK.16.4	A, tagadègu ku tan i fye nimògu du fye balù ku falwà agu, knean nun dad demegu sgalak fyak deg di gumnèla.’
LUK.16.5	“Én nimoan, katedan i kdee dad to gamguteng di amun man satu dale. Kakel i satu, snalekan kenen, manan, ‘File utengam di amugu?’
LUK.16.6	“Na man i to én, ‘Mlatu lata i fngalo.’
LUK.16.6	“Na man i salig, ‘Ani gugsulat i utengam. Gasil ge sudeng dini, na sulatam déén alò lime falò lata.’
LUK.16.7	“Na lêmanan snalek i satu, manan, ‘Na ge, file utengam?’
LUK.16.7	“Na man i to én, ‘Mlibu been mse.’
LUK.16.7	“Na man i salig, ‘Ani i gugsulat i utengam. Sulatam alò walu latu.’
LUK.16.8	“Di kaklinge i amun gablà di nimoan, dnayenan i salig mlangong di kfulungan meye kfagu i nimoan. Hae, du mdatah kfulung i dad to là faglut di Dwata di kibòla i dademela to mnè di tah tanà ani, di kfulung i dad to Dwata. 
LUK.16.9	Taman tulengu gamu ani, fandamyu i knèyu di fulé duh. Gnamityu i knunyu di ktabeng i dad to, fye nun kamdo gamu, na balù ku tamti i knunyu, dnawat gamu di gumnè landè gusenan.
LUK.16.10	“Balù simto to gsalig di tukay, lêman gsalig di bong. Na balù simto to là gsalig di tukay, là lêman gsalig di bong. 
LUK.16.11	Taman ku là gamu gsalig di kagotyu i knun di tah tanà, simto kè smalig di gamu i glut knun ditù di langit? 
LUK.16.12	Na ku là gamu gsalig magot i knun dademe to, simto mlé gamu knun di langit?
LUK.16.13	“Landè kibò flifan di lwe amu, du ku lwe amu satu to, knangan nawa i satu, na kandon i satu, ku demen nimenan i satu, na dnuenan i satu. Ku too bong nawayu knun, làyu gimen Dwata du landè kibò flifan di lwe.”
LUK.16.14	Na mlinge i dad Farisi i kdee man Dyisas ani, taman snilola kenen, du too bong nawala filak. 
LUK.16.15	Kabay manan di dale, “Gamu i dad to mayè mimò fye di kite i dad to, bay gadè Dwata i mnè di nawayu. Na i nimò too mabtas di dad to, baling too knang Dwata.
LUK.16.16	“Kel di bang Dyan Gal Munyag, én alò gal tdò, dunan i dad flalò blé Dwata fagu di ku Mosis na i sulat dad tugadan di muna fa. Kabay tambù Dyan tamdò i Fye Tulen gablà di kagot Dwata, na mdà di kaklinge dad to dun, too ale fgal du fye gfusuk ale. 
LUK.16.17	Kabay mlal fa magwè i langit na tanà, di kagwè balù tukay gsulat di dad flalò blé Dwata.
LUK.16.18	“Ku fkahta di lagi mkah i yaanan na lêman mwè satu libun, tagamsalà du nlafaan i muna yaanan. Na salngad i lagi mwè libun takah i yaanan, gamsalà kenen du nlafaan muna yaan i libun nwean.”
LUK.16.19	Na talù fa Dyisas, manan, “Nun satu to nun bong knun gal kamlaweh i too fye baweh na too mabtas, na too fye knaanan kat i duh. 
LUK.16.20	Na nun satu lagi landè knun dnagit ku Lasarus, gal filè mdadong di gufusuk i labat di gumnè i to nun bong knun ani. Nun dad seey klamang lawehan. Na milè kenen déén, 
LUK.16.21	du ken gamkaan kenen balù alò dad samel tatek mdà di lamisa gukmaan i to nun bong knun. Too sasè kagkahan du balù i dad ayem gal salu di kenen na dmilà i dad seeyan.
LUK.16.22	“Là mlo mati i to landè knun, na nebe kenen dad kasaligan Dwata ditù di langit saféd Abraham. Kafnge én, mati i to bong knun na lbang, 
LUK.16.23	bay én gukelan di banwe dad mati dnagit Hadis, na too maflayam kenen déén. Taman lngalà kenen na teenan Abraham di gumawagan, na ditù Lasarus di safédan. 
LUK.16.24	Na tlon Abraham, manan, ‘E Màgu Abraham, begam agu kando, na dekam Lasarus lamnab i tukè tnaloan di yéél, du fye fnatdakan i dilàgu, du fatno dun, du too sè kaflayamgu di lifoh ani.’
LUK.16.25	“Kabay man Abraham, ‘A Tò, fandamam kneam di tah tanà. Too malami nawam di kdee fye, bay Lasarus, too kenen maflayam di dee gnagun. Kabay ani, too maglala Lasarus, bay ge, too maflayam. 
LUK.16.26	Na ise alò én, bay nun bong kbe gableng gito, du fye landè gifal mdà dini salu déén di ge, na landè gifal mdà déén salu dini di gami.’
LUK.16.27	“Na man i to én, ‘Mà, ku én i kagkahan, begam dek Lasarus samfulê di gumnè màgu, 
LUK.16.28	du nun lime dad flanekgu lagi ditù. Fye ku began ale fanngewe du fye là ale gsalu di banwe gumaflayam ani.’
LUK.16.29	“Kabay man Abraham, ‘Tanun di dale i dad flalò blé Dwata fagu di ku Mosis na i sulat dad tugad Dwata, fye ku fanlingela i manla.’
LUK.16.30	“Na man i to én, ‘Là sa, Màgu Abraham, là gablà én! Kabay ku nun to mték mdà di fati tmulen dale, msal ale!’
