GEN.1.1	A tung in Pathian in lei leh van a siam.
JOB.40.17	Sidar sing bang in a mei a tangsak a: a pheite thaguite
JOB.40.17	phankhawm in a om hi.
JOB.40.18	A guhte dal lawng ahi a, a guh leh tangte sik tawn bang ahi.
JOB.40.19	“Pathian lampite a pipen ahi:
JOB.40.19	amah bawlpa kia in a namsau amah kiang lam naih ding in a bawl thei ding.
JOB.40.20	Chihtaktak in mualte’n amah an a puak ua; gamsate tengteng mawlna mun ah.
JOB.40.21	Singlimte nuai ah a lum a,
JOB.40.21	pumpeng mun dai leh gam nawng ah.
JOB.40.22	Tui lili singte’n a lim un a khuh ua; luigei singnah kaite’n a tuam kimvel uhi.
JOB.40.23	Ngai in, lui a dimlet leh,
JOB.40.23	a ling kei: a kam chiang pha hial in Jordan khang mahleh, a muang hi.
JOB.40.24	A kiven lai in kuapeuh in amah sikkawi in a man diam,
JOB.40.24	thang in a nak a vut pailet diam?”
JOB.41.1	“Ngakuai in
JOB.41.1	Ole na kai khe thei diam?
JOB.41.1	Ahihkeileh a khau in a lei na sawntum thei diam?
JOB.41.2	A nak sung ah khauhual na thun thei diam?
JOB.41.2	Ahihkeileh sikkawi in a haizek na vut pailet thei diam?
JOB.41.3	Na kiang ah thil nget tampi a bawl diam?
JOB.41.3	Ahihkeileh na kiang ah thu nemte a gen diam?
JOB.41.4	Tangtawn a ding in amah sikha dia na lak theihna ding in,
JOB.41.4	nang toh thukhun a bawl diam?
JOB.41.5	Vasa toh bang in amah toh
JOB.41.5	na mawl diam?
JOB.41.5	Ahihkeileh na sikhanute
JOB.41.5	ading in amah na hen diam?
JOB.41.6	Ngamanmite’n amah sumsinna
JOB.41.6	ding in a bawl ding uam?
JOB.41.6	Sumsinmite lak ah amah a zuak ding uam?
JOB.41.7	Siklen in a vun na dimsak
JOB.41.7	thei diam,
JOB.41.7	ahihkeileh a lu ngalingte in?
JOB.41.8	A tung ah na khut koih in;
JOB.41.8	kidouna theigige in, huchi in na hih nawn kei ding hi.
JOB.41.9	Ngai in, amah lametna
JOB.41.9	bangmahlou ahi: amah muh
JOB.41.9	mahmah in mi paihkhiak in a omkei dia hia?
JOB.41.10	Amah hihhalh ngam khop ding
JOB.41.10	in kuamah a hang kei:
JOB.41.10	ka ma ading kua ahia leh?
JOB.41.11	Amah ka dit ding, ka kiang
JOB.41.11	ah kuan a pe masa a leh?
JOB.41.11	Van nuai a om peuhmah kei a ahi.
JOB.41.12	“A guhlehtang thu ah ka dai kei ding, a hatna mahmah leh,
JOB.41.12	a pum kilawmna ah leng.
JOB.41.13	A puansilh tungnung kuan a suahsak thei dia?
JOB.41.13	A kamkaih thuah nih sung ah kua hongpai dia?
JOB.41.14	A mai kongkhakte kuan
JOB.41.14	a hong thei dia?
JOB.41.14	A ha kimvel ah lauhuaina a om.
JOB.41.15	A lip hattakte a kisaktheihna ahi,
JOB.41.15	Namkipsa bang in khakkhum ahi.
JOB.41.16	A kal ua huihzam a lut theihlouhna ding in,
JOB.41.16	khat in a dang a naih mahmah.
JOB.41.17	Khat leh a dang a kizom ua,
JOB.41.17	a kisoumat ua,
JOB.41.17	khentheihlouh in a om uh.
JOB.41.18	A hahchhiaute’n a vaksak a,
JOB.41.18	a mitte zingsang mitvunte bang ahi.
JOB.41.19	A kam apan meikuangte a pawtkhia,
JOB.41.19	meiekte a tawm khia hi.
JOB.41.20	A nakvangte a kipan in
JOB.41.20	meikhu a pawt a, halsiangna
JOB.41.20	bel leh chiklak loupa kang
JOB.41.20	a kipan bang in.
JOB.41.21	A hu in suang a kuangsak a,
JOB.41.21	a kam apan meikuang a pawtkhia hi.
JOB.41.22	A ngawng ah hatna a om gige a,
JOB.41.22	a ma ah lauhuaina a lam hi.
JOB.41.23	Asa thate a kizom khawm ua:
JOB.41.23	a tung ah a kip ua;
JOB.41.23	hihtat theih in a omkei uh.
JOB.41.24	A lungtang suang bang in a
JOB.41.24	kip a; ahi, buhgawina suang
JOB.41.24	nuainung bang ahi.
JOB.41.25	Amah a thoh chiang in,
JOB.41.25	mihatte a lau uh:
JOB.41.25	lauluatna ziak in omdan ding
JOB.41.25	a theikei uh.
JOB.41.26	Min amah namsau in sat leh,
JOB.41.26	a phatuam kei hi; teipi leng,
JOB.41.26	thal leng, sikmuk zum leng.
JOB.41.27	Buhpawl bang in sik a sim a,
JOB.41.27	sing muatsa bang in dal.
JOB.41.28	Thal in amah a taisak theikei ding:
JOB.41.28	amah lak ah vaisuanglot suangte buhpawl a suak hi.
JOB.41.29	Khetbukte buhpawl bang a sim ahi: Teipi ging a nuihsan hi.
JOB.41.30	A nuai lampangte belpei ahi:
JOB.41.30	buannawi tung ah buh khetna chiang bang in a kiphah.
JOB.41.31	Tuithuk belsou di’n a bawl a:
JOB.41.31	tuipi nuhtheih bawm in a bawl hi.
JOB.41.32	A nung ah lampi a vaksak a;
JOB.41.32	tuithuk samkang nei a sa uhi.
JOB.41.33	Leitung ah amah bang a lau neilou omkei a,
JOB.41.34	Thil sang chiteng a en a:
JOB.41.34	kisathei tapate tengteng tung ah kumpipa ahi.”
JOB.42.1	Job in 
JOB.42.2	“Thil bangkim na hihthei chih leh nang thiltup kham theih ahi kei chih ka thei hi.
JOB.42.3	Hiai thuhilhna theihna tellou a sel kua ahia?
JOB.42.3	Huaiziak in ka theihsiamlouh,
JOB.42.3	ka theihlouh, kei adia thillamdang luate ka genkhia hi.
JOB.42.4	Za in, k’on ngen hi, ka pau ding;
JOB.42.4	nang k’on phut ding, kei lam ah nang phuang in, n’on chi hi.
JOB.42.5	Ka bil zakna in nang k’on za a;
JOB.42.5	himahleh tuin ka mit in k’on mu a,
JOB.42.6	Huaiziak in ka kikih a, leivui leh meivu ah ka kisik hi.”
JOB.42.7	Huan hichi ahi a, huchi a 
JOB.42.8	Huaiziak in tuin, bawngtal sagih leh belamtal sagih la unla ka sikha Job kiang ah hoh unla, nou ading in haltum thillat lan un; huchi in ka sikha Job nou ading in a thum ding a; amah vang in ka sang dia, huchi in na haina uh dungzui in na tung uah ka hih kei ding; ka sikha Job bang in lah ka tanchin thildik na gen kei uhi, chi in. 
JOB.42.9	Huchi in Eliphaz, Teman mi leh Bildad, Suah mi leh Zophar, Naamathmi a kuanta ua, 
JOB.42.10	Job a lawmte adia a thumzoh in 
JOB.42.11	Huailai in a kiang ah, a unaute tengteng leh, a sanggamnute tengteng leh, tuma lam in a meltheih hisa tengteng leh, a insung a tanghou amah toh nete a hongpai ua: amah a nem ua, a tung a 
JOB.42.12	Huchi in 
JOB.42.13	Tapa sagih leh tanu thum leng a nei hi. 
JOB.42.14	A masapen, Jemima a chi a; a nihna min, Kezia; a thumna min, Keren happuk. 
JOB.42.15	Huchi in gamsung pumpi ah Job tanute bang a melhoih a omkei uhi: a pa un a unaute lak ah goutan amau a pia hi.
JOB.42.16	Huai nung in Job bel kum za leh sawmli a dam a, a tapate, leh a tapate’ tapate, khang lina tan a mu hi. 
JOB.42.17	Huchi in, Job a tek mahmah a, a Upat tak ziak in a sita hi.
PSA.1.1	Pathian limsakloute hoihsak
PSA.1.1	bang a om ngeilou a,
PSA.1.1	mikhialte lampi a leng ding lou a,
PSA.1.1	musitte tutphah a leng tu ngeilou mi a hampha hi;
PSA.1.2	A kipahna uh 
PSA.1.2	ahizaw a;
PSA.1.2	a danthu sun leh zan in a ngaihtuah ngitnget hi;
PSA.1.3	Amah zaw tui luang kiang a
PSA.1.3	sing suan, a hun a gahzel,
PSA.1.3	a nah leng kau ngeilou
PSA.1.3	bang ahi; a thilhih peuhmah
PSA.1.3	a lamzang zel ding hi.
PSA.1.4	Pathian limsakloute huchibang ahi kei ua;
PSA.1.4	buhsi huih in a mut lengmang bang ahizaw uhi;
PSA.1.5	Huaiziak in mi Pathian
PSA.1.5	limsakloute zaw vaihawmna
PSA.1.5	ma ah a ding theikei ding uh,
PSA.1.5	mikhialte leng mi diktatte
PSA.1.5	kikhopna ah ading thei sam
PSA.1.5	kei ding uhi;
PSA.1.6	a thei naknak ngal a; mikhialte lampi bel a mangthang ding hi.
PSA.2.1	Bang achia namchih heh uh ahia,
PSA.2.1	bang achia michih in thil
PSA.2.1	phatuamlou ngaihtuah uh ahia?
PSA.2.2	Leitung a kumpipate a kisa
PSA.2.2	duamduam ua, heutute’n
PSA.2.2	leng 
PSA.2.3	A gaknate uh hihtat in,
PSA.2.3	a khauhualte uh ei a kipan i
PSA.2.3	paimang ding uh, chi in.
PSA.2.4	Van a tupa a nui dia: 
PSA.2.4	amau a nuihsan ding;
PSA.2.5	Huaikhit chiang in heh in
PSA.2.5	a kiang uah thu a gen ding a,
PSA.2.5	thangpai tak in amau
PSA.2.5	a hih mangbangta ding hi:
PSA.2.6	Keimahmah in ka tang
PSA.2.6	siangthou Zion ah ka
PSA.2.6	kumpipa ka tusak hi, a chi hi.
PSA.2.7	Thusehsa ka gen ding hi: 
PSA.2.7	tuni in ka hon neikhia ahi;
PSA.2.8	Honngen in, huchi in na
PSA.2.8	gouluah ding in namchih k’on pedia,
PSA.2.8	kawlmong tawp tan in na gou ding in leng k’on pe ding hi;
PSA.2.9	Amaute sik chiang in na
PSA.2.9	hihkham dia; belvelte’n bel a paih khap bang un na pai kham ding a, A chi hi.
PSA.2.10	Huchi in kumpipate aw,
PSA.2.10	pilta unla:
PSA.2.10	leitung a vaihawmte aw,
PSA.2.10	thuzoh in omta un;
PSA.2.11	Laudan siam in 
PSA.2.11	nna sem unla,
PSA.2.11	ling kawm in kipak un;
PSA.2.12	Tapa tawp unla, huchi kei leh
PSA.2.12	a heh dia, lam lak ah na
PSA.2.12	mangthang kha ding uh,
PSA.2.12	a thangpai zok ding hi.
PSA.2.12	Amah a ginna koih tengteng
PSA.2.12	a hampha uhi.
PSA.3.1	hina mahmah u e!
PSA.3.1	Kei honsualte tampi ahi uhi;
PSA.3.2	Amah ading in Pathian ah
PSA.3.2	panpihna himhim a omkei, chi a,
PSA.3.2	ka hinna tungtang thugente
PSA.3.2	tampi a om uhi. 
PSA.3.3	Himahleh, 
PSA.3.3	thupina leh ka kim ka vel in
PSA.3.3	ka phaw na hi a;
PSA.3.3	ka lu dom kangpa na hi;
PSA.3.4	Ka aw in 
PSA.3.4	a tang siangthou a kipan in
PSA.3.4	a hon dawng zel hi. 
PSA.3.5	Kei ka lum ka na ihmuta a;
PSA.3.5	ka khanglou nawn a;
PSA.3.6	Hondou a, hon um suakte,
PSA.3.6	mi sing khat nangawn
PSA.3.6	ka kihta kei ding.
PSA.3.7	hon hondam in: kei hondoute teng a biang guh uah na khen pah a;
PSA.3.7	Pathian limsaklou mite
PSA.3.7	ha na kikhong sak a;
PSA.3.8	Hotdamna tuh 
PSA.3.8	Na vualzawlna na mite tung ah om hen. 
PSA.4.1	Ka diktanna Pathian aw,
PSA.4.1	k’on sap chiang in hon dawng in;
PSA.4.1	ka mangbat chiang in, nang n’on hih navak zel a: hon hehpih inla,
PSA.4.1	ka thumna hon ngaihkhiak sak in.
PSA.4.2	Mihing tate aw, ka thupina
PSA.4.2	bangtan ahia zahlakna a na
PSA.4.2	suahsak ding uh?
PSA.4.2	Bang tan ahia thil bangmahlou na thupi sak ua,
PSA.4.2	zuauthu na zon ding uh? 
PSA.4.3	amah ading in a koihtuam chih theizaw un: Amah ka sap peuhmah chiang in,
PSA.4.4	Kihta unla, thil hihkhial kei un:
PSA.4.4	na lupna tung uah na lungtang uah na lungtang un ngaihtuah unla,
PSA.4.4	dai sipsip un. 
PSA.4.5	Diktatna kithoihna lan unla,
PSA.4.6	Hoihna himhim kuan ahia hon musak ding chite tampi a om uhi.
PSA.4.7	A buh leh a uain uh a hong khan chiang a a kipahna sang ua,
PSA.4.7	kipahna thupizaw ka lungtang ah na omsak hi.
PSA.4.8	Khamuangtak in ka lum dia,
PSA.4.8	ka ihmu ding hi: 
PSA.4.8	nangmah mah na hi, kei kia a leng bittak a hon omsak gige.
PSA.5.1	ka ngaihtuahnate ngaihtuah in;
PSA.5.2	Ka kumpipa leh ka Pathian,
PSA.5.2	Ka kikou aw ngaikhia in:
PSA.5.2	na kiang a thum ka hi ngal a;
PSA.5.3	ka aw na naza zel ding a;
PSA.5.3	Zingsang in ka thumna na ma ah ka gel hoih dimdiam ding a,
PSA.5.3	k’on na hungaih zel ding hi.
PSA.5.4	Gilou salou kipahpih Pathian
PSA.5.4	na hi ngal kei a: mikhialte tuh
PSA.5.4	na kiang a tung kei ding hi;
PSA.5.5	Mi kiuangsakte na mitmuh in ading theikei ding ua:
PSA.5.5	gitlouhna na semte tengteng na hua hi;
PSA.5.6	Zuau genhatte na hihmang ding a:
PSA.5.7	Kei bel, na hoihna phatna in,
PSA.5.7	na inn ah ka honglut ding a:
PSA.5.7	laudansiam kawm in na biakin
PSA.5.7	siangthou lam nga in
PSA.5.7	k’on be zel ding hi;
PSA.5.8	na diktatna in honpi inla;
PSA.5.8	na lampi ka ma ah ki chiansak in.
PSA.5.9	A kam uah ginomna himhim
PSA.5.9	a omkei a; a sunglam uh
PSA.5.9	gitlouh satlouhna ngen ahi:
PSA.5.9	a gawl uh han kihong ahi a;
PSA.5.9	a lei un mi a phat khempeuh uhi;
PSA.5.10	Pathian aw, amaute siamlouh tangsak in amau hoihsaknate ngei pukna in zang uhen;
PSA.5.10	a tatlekna tampi ziak un sawnkhia in;
PSA.5.10	na tung ah a hel ngal ua.
PSA.5.11	Nangmah a ginna koihte
PSA.5.11	nangmah ah kipak uhenla,
PSA.5.11	na humbit zel ziak in nuam in
PSA.5.11	kikou nilouhlouh uhen;
PSA.5.11	na min itte leng nangmah ah
PSA.5.11	kipaktak in om uhen;
PSA.5.12	Mi diktat na vualzawl ding a;
PSA.5.12	Deihsakna in na umsuak ding hi.
PSA.6.1	thangpai in honsawi sam ken.
PSA.6.2	ka gim gawpta a:
PSA.6.2	ka guhte lah a na vekta ngal a;
PSA.6.3	Ka hinna leng nakpitak a
PSA.6.3	hihmangbat in a om hi:
PSA.6.3	ahia n’on etsim ding?
PSA.6.4	ka hinna hondam in:
PSA.6.4	na hoihna phatna ziak in
PSA.6.4	hon hondam in;
PSA.6.5	Sih nung in nang theihgigena
PSA.6.5	a om ngal kei a:
PSA.6.5	Sheol ah kuan ahia na tung a kipahthu gen ding?
PSA.6.6	Ka mauna lam ah ka bahta;
PSA.6.6	zan teng in ka lupna tui ah ka kilam sak a;
PSA.6.6	ka lupna ka khitui in ka kawt sak zel hi;
PSA.6.7	Ka mit lungkhamna ziak in a se hulhul a; hondoute ziak in a hongtek deuhdeuhta a.
PSA.6.8	Nou, na gilou sem tengteng aw,
PSA.6.8	hon paisan vek un; 
PSA.6.8	ka kah ging a zata ngal a;
PSA.6.9	a ngaikheta a; 
PSA.6.10	Hondoute tengteng a zahlak un a mangbang mahmah ding ua;
PSA.6.10	a kiknawn ding ua, thakhat in a hong zahlak ding uhi.
PSA.7.1	nangmah ah ka ginna ka nga a:
PSA.7.1	hondelh tengteng lak ah hon
PSA.7.1	hondam in hon humbit in:
PSA.7.2	Huchilou in zaw, humbitpa
PSA.7.2	omlou in humpinelkai bang in,
PSA.7.2	ka hinna a bot nen kha ding hi.
PSA.7.3	huchibang a hih ka na hih a,
PSA.7.3	ka khut a khelhna a om a,
PSA.7.4	Ka lawm khelhna a thuk ka
PSA.7.4	na hihleh,
PSA.7.4	Ahi, bangmahlou a hondou
PSA.7.4	ka humbit a na hi zaw:
PSA.7.5	Melma in ka hinna delh in,
PSA.7.5	delh pha mai hen aw; ahi,
PSA.7.5	ka hinna lei ah chilpuk in,
PSA.7.5	ka thupina leivui lak ah
PSA.7.5	koihmai hen. 
PSA.7.6	hondoute thangpaihna dou din kisa inla:
PSA.7.6	kei a ding in kihihhalh inla;
PSA.7.6	vaihawmna ding thu na peta hi;
PSA.7.7	Huchi in michih kikhawm
PSA.7.7	khawmte’n hon umsuak uhen:
PSA.7.7	huan, nang a tung uah
PSA.7.7	sangpi in kiknawn in;
PSA.7.8	a hawmsak hi: 
PSA.7.8	keimah a ka diktatna leh ka
PSA.7.8	lungsim hoihna om bangzel
PSA.7.8	in vai hon hawmsak in.
PSA.7.9	Giloute gitlouhna hong tawpta
PSA.7.9	leh aw, mi diktatte hihkip in:
PSA.7.9	Pathian diktat in lungtangte
PSA.7.9	leh lungsimte a enchian hi;
PSA.7.10	Ka phaw Pathian kiang ah a om,
PSA.7.10	amah zaw lungtang dikpu
PSA.7.10	hondampa ahi;
PSA.7.11	Pathian vaihawmpa diktat ahi,
PSA.7.11	ahi, ni teng in migiloute tung a lunghihlouhna nei Pathian ahi.
PSA.7.12	Mi a kihei kik kei leh aman
PSA.7.12	a namsau tat-hiam in;
PSA.7.12	thalpeu a lai a, a manta hi;
PSA.7.13	Sihna vanzatte amah thahna
PSA.7.13	ding in leng a bawl dimdiam a;
PSA.7.13	a thalte kuangthei in a bawl hi;
PSA.7.14	En in, gitlouhna a zinpih; ahi,
PSA.7.14	thilhihkhelhna a pai a,
PSA.7.14	zuauthu a piangsakta hi;
PSA.7.15	Kawkhuk a bawl a,
PSA.7.15	thukpi in a tou a,
PSA.7.15	amah khuk toh ah a keta hi;
PSA.7.16	A thilhihkhelhna amah lutung
PSA.7.16	mah ah a hongkik nawn ding,
PSA.7.16	hiamgam tak a a thilhih amah sipmah ah a ke ding hi.
PSA.7.17	a kiang ah kipahthu ka gen ding:
PSA.8.1	leitung tengteng ah na min hoih hina tel e! Na thupina thu vantungte ah na koih a;
PSA.8.2	Melma leh phulami daihsakna
PSA.8.2	ding in, Hondoute ziak in
PSA.8.2	naungek leh nawine laite kam
PSA.8.2	a pawt in hatna na hihkip hi.
PSA.8.3	Na van, na khutsuakte,
PSA.8.3	kha leh aksi na sehte,
PSA.8.3	ka ngaihtuah chiang in,
PSA.8.4	Mihing bang ahia,
PSA.8.4	huchitel a na limsak?
PSA.8.4	Mihing tapa leng bang ahia,
PSA.8.4	huchitel a na veh? ka chi hi.
PSA.8.5	Amah zaw Pathian sang a
PSA.8.5	nuaizaw phet in na bawl a,
PSA.8.5	thupina leh pahtawina na khusak hi.
PSA.8.6	Na khutsuak tungte ah thu na neisak a;
PSA.8.6	a khenuai ah bangpeuh na koih a:
PSA.8.7	Belam leh bawng tengteng toh,
PSA.8.7	ahi, gamsate toh leng;
PSA.8.8	Tung a leng vasa leh tuipi ngasate,
PSA.8.8	tuipi a lampi tawn peuhmahte toh.
PSA.8.9	leitung tengteng ah
PSA.8.9	Na min hoih hina tel e!
PSA.9.1	tengteng in kipahthu ka gen
PSA.9.1	ding a; na thillamdang hih
PSA.9.1	tengteng ka theisak ding hi;
PSA.9.2	Nangmah ah ka kipak in
PSA.9.2	ka nuam ding a:
PSA.9.2	Tungnungpen aw, na min phat in la ka sa ding hi.
PSA.9.3	Hondoute a taizak tak un,
PSA.9.3	na ma ah a kipalpuk ua,
PSA.9.3	a mangthang uhi;
PSA.9.4	Kei adia kilawm himahleh ka thu ah nang kei n’on gum ngal a;
PSA.9.4	diktak a vaihawm in mangtutphah ah na tu a.
PSA.9.5	Namchih na thuhilh a, gilou saloute na hih mangthang a,
PSA.9.5	a min uh leng Tangtawn tangtawn in na thaimangta hi;
PSA.9.6	Doumite a mangbang vek ua,
PSA.9.6	tangtawn a ding in bangmah neilou in a omta uhi;
PSA.9.6	na khaw sukgamsate amaute theihgigena nangawn toh a mangthang hi.
PSA.9.7	a mangtutphah vaihawmna in a bawlta hi;
PSA.9.8	Aman khovel kizentak in vai a hawmsak ding a,
PSA.9.8	khentuam neilou in michih vai a hawm ding hi.
PSA.9.9	Nuaisiahte adin 
PSA.9.9	buai hun chiang a bukna;
PSA.9.10	Huchi in na min theite’n a honmuang ding ua;
PSA.9.10	nang zaw 
PSA.9.12	Sisan suah thu dongtel zelpa’n amau lah a theigige ngal a;
PSA.9.12	mi genthei kikou aw a mangngilh ngeikei hi.
PSA.9.13	sihna kongkhak apan hon kaikhepa, hon hawte ziak a
PSA.9.13	ka mangbatna en in;
PSA.9.14	Nangmah phatna tengteng ka theih sak theihna ding in:
PSA.9.14	Zion tanu kongpi ah, n’on hotdamna ah ka nuam ding hi.
PSA.9.15	Namchih a kawkhuk bawl uah
PSA.9.15	a tum ua; a guk a a len zak uah amau khe mah a awkta hi.
PSA.9.16	vai a hawmta a: migilou salou amah khutsuak mah ah a awk hi. Higgaion. 
PSA.9.17	Migilou saloute Sheol ah a kiknawn ding uh.
PSA.9.17	Namchih Pathian mangngilh hatte tengteng toh;
PSA.9.18	Tagahte mangngilh in a om nilouh louh kei ding ua,
PSA.9.18	gentheite lametna tangtawn in a mang sam kei ding hi.
PSA.9.19	mihing peuhmah vualzou kei hen:
PSA.9.19	namchih na mitmuh ah vaihawm sak in om hen:
PSA.9.20	namchih in mihing lel ahi uh chih kithei uhen. 
PSA.10.1	gamlapi a ding nak na hia?
PSA.10.1	Bang achia
PSA.10.1	mangbat lai bang a kisel nak?
PSA.10.2	Migilou salou kisaktheihna ziak in mi gentheite delh in a om uhi,
PSA.10.2	a thil gilou ngaihtuah khiakte
PSA.10.2	uah amau mah awk uhen.
PSA.10.3	Migilou salou in a lungtang utlam a suang,
PSA.10.3	mi huaiham in Toupa a paikhia a, a musit hi.
PSA.10.4	Migilou salou in kisaktheih melpu in, A phut kei ding,
PSA.10.4	a chi hi.
PSA.10.4	A ngaihtuahna tengteng tuh, Pathian a omkei,
PSA.10.4	chih ngen ahi.
PSA.10.5	A omdante tuh chiklaipeuh in leng a kip a; na vaihawmnate tunglam gamlapi ah,
PSA.10.5	a muh bat louh ah, a om hi:
PSA.10.5	Amah doute tengteng lah a nuihsan maimah ngal a;
PSA.10.6	A lungsim in, Ka ling kei
PSA.10.6	ding; khang tengteng tan in mangbang in ka omkei ding, a chi hi.
PSA.10.7	A kam hamse lohnate, khemnate,
PSA.10.7	engbawlnate in a dim a;
PSA.10.7	a lei nuai ah thilhihkhelhna leh siatna a om hi.
PSA.10.8	Khawteng a guktanna munte ah a tu zel a; mun dai ah khelhna neilou mite a that zel hi:
PSA.10.8	a mit in genthei mite a guktan nak ahi;
PSA.10.9	Humpinelkai in a kua a a guktan bang in aman mundai ah a guktan zel hi; mi genthei man ding in a tang zel a:
PSA.10.9	mi genthei a man ngei a, huchin a len in a kaimang nak hi.
PSA.10.10	A khupboh a, a kun a,
PSA.10.10	bangmah hih theilou
PSA.10.10	A mihatte uh hihpuk in a om nak uhi;
PSA.10.11	A lungsim ah, Pathian in a mangngilh ahi: a mai a sel a,
PSA.10.11	chikmah chiang in a mu kei ding, a chi.
PSA.10.12	Pathian aw, na khutlik in:
PSA.10.12	mi gentheite mangngilh ken;
PSA.10.13	Bangziak in ahia migilou salou in Pathian a muhsit,
PSA.10.13	a lungsim a,
PSA.10.13	Na phut kei ding, a chih nak?
PSA.10.14	Muh zaw na mu khin tham a;
PSA.10.14	na khut a thuk ding thil hihkhial leh hihvuina na en a:
PSA.10.14	migentheite na kiang ah a ki kemsak ua;
PSA.10.14	Pa neilou panpihpa na hi hi.
PSA.10.15	Migilou salou ban sutan inla,
PSA.10.15	migilou, gitlouhna zongkhia in,
PSA.10.15	na muh het louh mateng;
PSA.10.16	adin Kumpipa ahi a: namte amah gam a pan in a mangthang uhi.
PSA.10.17	na ngaikhia a: a lungtang uh
PSA.10.17	na kisa sak ding a,
PSA.10.17	A bil un leng na za sak ding hi:
PSA.10.18	Pa neiloute leh engbawlte,
PSA.10.18	leitung min a engbawl nawnlouhna ding un,
PSA.10.18	a vai uh hawmsak in.
PSA.11.1	bangchidan ahia ka hinna kiang a,
PSA.11.1	Na mual ah vasa bang in
PSA.11.1	leng mang in chi na hi ua?
PSA.11.2	En dih ua, lungtang diktakpu mial nuai a a kap theihna ding un,
PSA.11.2	migilou saloute’n thalpeu a lai ua, a thal uah a khau ah a bulh chiat uhi;
PSA.11.3	Suangphumte hihsiat a om leh,
PSA.11.3	mi diktat in bang ahia a hih theih ding?
PSA.11.4	mihing tate a mit in a en a,
PSA.11.4	a mitvun in a enchian zel hi.
PSA.11.5	migilou salou leh hiamgamna deihte bel a hinna in a hua hi.
PSA.11.6	Migilou saloute tung ah thang a kesak ding a;
PSA.11.6	mei leh kat leh huih mulkimhuai tak a nou tan ding uh ahi ding hi.
PSA.11.7	diktatna a deih naknak hi;
PSA.11.7	mi diktatte’n a mel a mu ding uhi.
PSA.12.1	Pathian limsakmi lah a om nawnta ngal kei ua;
PSA.12.1	mihing tate lak a kipan mi ginom lah a mangta ngal ua.
PSA.12.2	Michih in a invengte kiang ah thu bangmahlou maimai a gengen uhi:
PSA.12.2	maitang phatna leh khemna lungtang pu in thu a gen nak uhi.
PSA.12.3	thu kisathei genna lei toh:
PSA.12.4	Amau, i lei in i zou ding ua;
PSA.12.4	i mukte eimah a ngei a ka,
PSA.12.4	kua ahia itunga lal om? a chi uhi.
PSA.12.5	ka thou pah dia; a nuihsan uh bittak in ka omsak ding, a chi hi.
PSA.12.6	dangka leitung a haltuina mei a etkhiak a,
PSA.12.6	sagihvei hihsiangthou zohsa bang ahi.
PSA.12.7	hiai khangte lak ah chiklaipeuh in leng na humbit ding.
PSA.12.8	Mihing tate lak ah khelhna pahtawi a a om in,
PSA.12.8	migilou salou a vialvak nak uhi.
PSA.13.1	mangngilh nilouh louh ding?
PSA.13.1	Bang tan ahia kei a kipan a na mai na sel ding?
PSA.13.2	Nitum in ka lungtang a
PSA.13.2	lungkhamna nei in bang tan ahia ka lungsim a ka gelgel ding?
PSA.13.2	Bang tan ka melma ka tung a tawisan hi ding ahia?
PSA.13.3	ngaihtuah inla, hon dawng in:
PSA.13.3	ka mit hon hihvak inla,
PSA.13.3	huchilou in zaw sihna ihmut in ka ihmu kha ding hi.
PSA.13.4	Ka melma in, Amah ka zouta,
PSA.13.4	a chi kha ding hi;
PSA.13.4	ka lin leh kei hondoute a kipak kha ding uhi.
PSA.13.5	Himahleh ken zaw na
PSA.13.5	zahngaihna ka muang ahi;
PSA.13.5	n’on hotdamna ah ka lungtang a kipak ding:
PSA.13.6	Ka tung a hoihtak a a hihtak ziak in: 
PSA.14.1	Mihai in a lungsim in,
PSA.14.1	Pathian a omkei, a chi a.
PSA.14.1	A kigawp khin ua, thil kihhuai tak a hih ua;
PSA.14.1	thil hoih hih a omkei uhi.
PSA.14.2	Theisiam a Pathian zong a om
PSA.14.2	u hiam, chi in 
PSA.14.2	kipan in mihing tate a ensuk hi.
PSA.14.3	A hiloulam ah a pial vekta ua,
PSA.14.3	nintak in a na om chiatta ua;
PSA.14.3	kuamah thil hoih hih a omkei ua,
PSA.14.3	khat lel leng a omkei hi.
PSA.14.4	Thil hihkhialte tengteng in
PSA.14.4	theihna himhim a neikei ua hia?
PSA.14.4	Tanghou a nek bang un ka mite a nezou vek ua,
PSA.14.5	Huai ah lau tuntun in a om ua;
PSA.14.5	Pathian, mi diktat suante lak a a om ziak in;
PSA.14.6	Mi genthei suangtuahnate na selphou ua, 
PSA.14.7	Israelte hotdamna Zion a kipan in hongpawt mahleh aw!
PSA.14.7	huai hun in Jakobte a nuam ding ua,
PSA.14.7	Israelte a kipakta ding uhi.
PSA.15.1	kua a hong zintung dia?
PSA.15.1	Na tang siangthou ah
PSA.15.1	kua hongom ding?
PSA.15.2	Diktak a om, kizen tak a hih a,
PSA.15.2	a lungtang a thutak gen mi pen.
PSA.15.3	A lei a mi gense ngeilou a,
PSA.15.3	a lawm tung a thil hihkhial ngeilou a, a invengte
PSA.15.3	min leng gense ngeilou mi pen.
PSA.15.4	Migilou muhsit in a om nak hi;
PSA.15.4	Amah ading a poi ding na ngawn kichiam khin a hih lamdang ngeilou mi.
PSA.15.5	A pung delh ding a a sum
PSA.15.5	leitawi saklou mi,
