MAT.1.1	Carte de generațiune a luĭ Iisusŭ Christosŭ hilĭlu alŭ Davidŭ hilĭlualŭ Avraamŭ.
MAT.11.30	și va s’aflațĭ arĕpausŭ tru sufletĕle a vóstre. Că jugŭlŭ a mĕu este bunŭ, și sarçina mea lișióră.
MAT.12.1	Tru açelŭ timpŭ, m̄érse Iisusŭ Săm bătă pe tru semĕnăturĭ; Iară discipulĭi a luĭ îlĭ luă fómea, și înçepură s’frécă schicurĭ și s’măcă. 
MAT.12.2	Ma Fariseilĭi cându veḑură ’lĭ ḑiseră: Éca discipulĭi a tĕĭ facŭ açea çe nu e lĭertată s’facă Sămbăta. 
MAT.12.3	Iară elŭ lĕ ḑise: Nu avețĭ aléptă, çe are faptă Davidŭ cându îlŭ luă fómea și elŭ, și açelĭ çe era cu nĕsŭ? 
MAT.12.4	Cumŭ întră în casa alŭ Dumneḑĕŭ și mâncă pân̄ĭle de propunere, carĭ nu era lĭertatŭ niçi a luĭ s’le năcă, niçi açelorŭ çe era cu nĕsŭ, ma mașĭ a prefțilorŭ. 
MAT.12.5	Ică n’avețĭ aléptă în lege că Sămbătĕle prefțilĭ în bisérică o aspargŭ Sămbăta, și nu sŭntu stepsițĭ? 
MAT.12.6	Ma eu vĕ ḑicŭ că aóçe éste ună cama mare de biserică. 
MAT.12.7	Ma s’avéțĭ sciută çe éste: „Milă voiŭ eŭ și nu sacrificiu“ nu era s’condamnațĭ pre nestepsițĭlĭi. 
MAT.12.8	Că hilĭlu a omŭluĭ éste Domnu și a Sămbătĕlĭeĭ.
MAT.12.9	Și cara porn̄i de acolo vine tru sinagóga lorŭ. 
MAT.12.10	Și écă acolo era unŭ omŭ care avea mâna uscată; și lŭ întrebară ḑicêndŭ: di‐se éste lĭertatŭ s’vindecă Sămbăta, tra s’pótă s’lŭ află stepsitŭ. 
MAT.12.11	Ma elŭ lĕ ḑise: care va s’hibă din voĭ omŭlu açelŭ çe s’aibă ună óe, și, s’fure că ea ’lĭ cade Sămbăta tru grópă, nu va s’o acață și va s’o scótă? 
MAT.12.12	Ma cu câtŭ cama multŭ este unŭ omŭ de câtŭ nă óe? Care va s’ḑică, este lĭertatŭ Sămbătĕle s’facă omŭlu ghine. 
MAT.12.13	Atunçea ḑise a omŭluĭ: Tinde‐țĭ mâna; și o tése; și îlĭ se féçe sănătósă ca alantă. 
MAT.12.14	Iară Fariseilĭi decară eșiră afóră, ’șĭ féçeră sborŭ contra luĭ tra s’lu chéră. 
MAT.12.15	Ma Iisusŭ cându duchi aeste, s’trapse de acolo și s’duse după nĕsŭ ghimtă multă, și lĭ vindecă pre tuțĭ. 
MAT.12.16	Și lĕ dimândă a lorŭ s’nu lŭ spună. Tra să se împlinéscă 
MAT.12.17	açea çe s’are ḑisă prin profetŭlu Isaia care ḑiçe: 
MAT.12.18	Écă feciorŭlu a m̄eu pre care lŭ alepșiu; Vrutŭlu a m̄eŭ în care ghine vru sufletŭlu a m̄eu; eŭ va s’bagŭ duhŭlu a m̄eu peste nĕsŭ, și elŭ va s’declară giudecata la națiunĭ. 
MAT.12.19	Elŭ nu va s’încace, niçi va să strigă, niçi va s’avdă çineva bóçea luĭ tru călĭurĭ. 
MAT.12.20	Călame plăsată nu va s’frângă, și mucŭ care afumegă, nu va s’astingă, până cându s’asvingă tru giudecată. 
MAT.12.21	Și în numa luĭ va să spéră națiunile;
MAT.12.22	Atunçea ’lĭ s’aduse un demonisatŭ, orbŭ și mutŭ; și lŭ vindecă, în câtŭ orbulŭ și mutŭlu sbura și vedea. 
MAT.12.23	Și s’mira tuțĭ din poporŭ, și ḑiçea: Na‐că aestu éste hilĭlu alŭ Davidŭ? 
MAT.12.24	Ma Fariseilĭi avḑîndaluĭ ḑiseră: Aestu nu scóte demon̄ĭ, de câtŭ cu Veelzevulŭ capŭlu a demon̄ĭlorŭ. 
MAT.12.25	Iară Iisusŭ cândŭ cunoscu minduirĭle a lorŭ, lĕ ḑise: Içi‐do amirărilĭe care s’împarte contra lĭeĭ, arĕmâne pontă; și orĭ çe çetate ică casă care s’împarte contra lĭeĭ, nu va s’pótă să sta. 
MAT.12.26	Și s’fure‐că Satana, scóte pre Satana s’împărți contra luĭ; cumŭ decara va să sta amirărilĭea luĭ? 
MAT.12.27	Și s’fure‐că eu scotŭ demon̄ĭ cu Veelzevulŭ, feciorĭlĭi a voștri cu çe vâ s’lĭ scótă? Tr’açeá elĭ va s’hibă giudecătorĭlĭi a voștri. 
MAT.12.28	Ma s’fure că eu cu duhŭlu alŭ Dumneḑĕŭ scotŭ demonĭlĭi, va‐s’ḑică, amirărĭlĭea alŭ Dumneḑéŭ agiunse la voĭ. 
MAT.12.29	Ică cumŭ póte çinevâ s’întră în casa a vĕrtosŭluĭ, și s’lĭ arăchiéscă lucrurĭle, până s’nu légă cama năinte pre vĕrtosŭlu, și apoia s’lĭ despólĭe casa? 
MAT.12.30	Açelŭ çe nu éste cu mine, contra mea este; și açelŭ çe nu adună cu mine, respăndésce. 
MAT.12.31	Tr’ aestă vĕ ḑicŭ: Içi‐do pĕcatŭ și blăstemŭ a ómen̄ĭlorŭ, va s’lĕ se lĭérta: ma blăstemarea contra Sântuluĭ Duhŭ, nu va s’lĕ se lĭérta. 
MAT.12.32	Și care‐çido va s’ḑică unŭ sborŭ, contra hilĭluĭ a omŭluĭ va s’lĭ se lĭértă; Ma açelŭ çe sburasce contra Sântuluĭ Duhŭ, nu va s’lĭ se lĭértă, niçi tru eta aestă, niçi tru açea çe va s’v̄ină. 
MAT.12.33	Orĭ façețĭ pomŭlu bunŭ, și póma luĭ va s’hibă bună, orĭ façețĭ pomŭlu putredŭ, și póma luĭ putredă. 
MAT.12.34	Că din pómă se cunósce pomulu. Pulĭ de nepărtică! cumŭ putețĭ să sburîțĭ bune, cându voĭ hițĭ rĕĭ? Că de açea çe éste pre‐ma‐’nsusŭ a inimĭlĭeĭ, sburasce gura. 
MAT.12.35	Omŭlu açelŭ bunŭ scóte bunele, de tru buna v̄istére a inimĭlĭeĭ; iară omŭlu rĕu scóte arélele, de tru v̄istérea 
MAT.12.36	Vĕ ḑicŭ decara că, și tră ici‐do sborŭ alĭuratŭ çe va să sburască omen̄ĭlĭi, va să ’șĭ da sborŭ tru ḑiua de giudecată. 
MAT.12.37	Că după sbórele a téle va s’eșĭ îndreptu, și după sbórele a téle, vă s’te condamnĭ.
MAT.12.38	Atunçea respunseră nescânțĭ cărturarĭ și Eariseĭ, și ḑiseră: Invețătorule, vremŭ s’ vedemŭ 
MAT.12.39	Ma elŭ respunse și lĕ ḑise; generațiune réuă și curvă, caftă semnŭ; ma altu semnŭ nu va s’lĕ se da, de câtŭ semnulŭ a profetŭluĭ Iona. 
MAT.12.40	Că, precumŭ Iona fu treĭ ḑile și treĭ nopțĭ în pânteca chitŭluĭ, ași și hilĭlŭ a omuluĭ va s’ hibă treĭ ḑile și treĭ nopțĭ, tru inima locŭluĭ. 
MAT.12.41	Omen̄ĭ Ninevițĭ va să scólă la giudecată cu aestă generație, și va s’o condamnă: că elĭ s’tunusiră de predicarea luĭ Iona. Și écă aóçe éste cama multŭ de câtu Iona. 
MAT.12.42	Amirărón̄ia de la m̄ieḑă‐ḑiuă va să se scólă la giudecată cu aestă generație, și va s’o condamnă; că ea vine de tru mărginĭle a locŭluĭ, tra s’avdă mintimenilĭea luĭ Solomonŭ; și écă açia este cama multu de câtŭ Solomonŭ.
MAT.12.43	Iară cându ése de tru omŭ duhŭlu necuratŭ, tréçe pe tru locurĭ fără de apă, căftândaluĭ rĕpasŭ și nŭ află. 
MAT.12.44	Atunçea ḑiçe; va s’ me tornu la casa mea, d’iu am eșită, și cându vine o află deșértă, meturată și mușețată. 
MAT.12.45	Atunçea s’ duçe și lĭa cu nĕsŭ alte șépte duhurĭ, cama réle de elŭ, și intrândaluĭ, locuescŭ acolo. Și açéle de pre urmă açeluĭ omŭ, s’ facŭ cama réle de açéle de ma năinte. Ași va s’lĭi hibă și aesteĭ réuă generațiune.
MAT.12.46	Și pe cându nĕsŭ nincă sbura cu poporulŭ, écă muma și frațĭlĭi a luĭ stătea afóră, și lŭ căfta s’lĭ sburască. 
MAT.12.47	Și unŭ îlĭ ḑise: écă muma și frațilĭi a tĕĭ sta afóră, și caftă să sburască cu tine. 
MAT.12.48	Ma elŭ respunse și ḑise açeluĭ çe ’lĭ avea ḑisă: care éste muma mea, și carĭ sŭntu frațĭlĭi a meĭ? 
MAT.12.49	Și tése mâna câtrĕ discipulĭi a luĭ, și ḑise: écă muma mea și frațĭlĭi a m̄eĭ. 
MAT.12.50	Și açelŭ çe va s’ facă vrérea Tată m̄euĭ din çerŭ, açelŭ m̄ĭ éste frate, și soră, și mumă.
MAT.13.1	In açea ḑiuă eși Iisusŭ din casă, și ședea ning’amare. Și se adunară la elŭ mulțime mare, 
MAT.13.2	în câtŭ elŭ întră în luntre să șédă; și tutŭ poporulŭ ședea la marginea ’marilĭeĭ. 
MAT.13.3	Și lĕ sburî multe în parabole și lĕ ḑise:
MAT.13.4	Écă eși sĕmĕnătorŭlu să sémenă. Și cându semena, semênța, nisçânte căḑură ningă cale, și veniră pulĭi asburătorĭ, și le mâncară. 
MAT.13.5	Alta căḑu tru locurĭ chetróse, iu nu era țéră multă, și de‐ună-oră arăsĕriră, că nu era afundŭ tru locŭ. 
MAT.13.6	Și decara arĕsĕri sórele, se păliră, și ne avêndaluĭ rădăçină, s’uscară. 
MAT.13.7	Iară altele căḑură tru schin̄ĭ și crescură schinĭlĭi, și le înecară. 
MAT.13.8	Și alte căḑură tru locŭ bunŭ, și déderă póme ună, ună sută, 
MAT.13.9	altă șéĭ‐ḑeçĭ, și alta treĭ‐ḑeçĭ, Açelŭ çe are ureclĭi tră avḑire s’avdă. 
MAT.13.10	Și s’aprochiară 
MAT.13.11	Ma elŭ respunse și lĕ ḑise: că a vóuĕ vĕ éste dată ș’ cunóscețĭ misterĕle a amirărilĭeĭ a çerŭluĭ; iară açelorŭ nu lĕ éste dată. 
MAT.13.12	Că açeluĭ çe are va s’lĭ se da, și va s’ lĭ se adavgă; ma açelŭ çe nu are și açea çe are va s’lĭ se lĭa de la nĕsŭ. 
MAT.13.13	De açea lĕ sburĕscŭ în parabole, că veḑêndŭ, nu vedŭ, și avḑîndŭ nŭ avdŭ, nici acăchisescŭ. 
MAT.13.14	Și ași s’implinésce la elĭ profeția luĭ Isaia care ḑiçe: Cu avḑirea va s’ avḑîțĭ, și nu va s’acăchisițĭ, și cu oclĭlĭ va s’mutrițĭ și nu va s’ vedețĭ. 
MAT.13.15	Că se îngrășe inima aestuĭ poporŭ și cu ureclĭile greŭ avḑiră, și ’șĭ ĭnclĭseră oclĭilĭ tra s’ nu védă ver‐nă oră cu oclĭilĭ, și cu ureclĭile s’nu avdă, și cu inima s’nu acăchiséscă, și s’tornă s’lĭ vindecŭ. 
MAT.13.16	Iară fericițĭ sŭntu oclĭilĭ a voștri că vedŭ, și ureclĭile a vóstre că avdŭ. 
MAT.13.17	Că dealihea vĕ ḑicŭ că mulțĭ profețĭ și drepțĭ avură dorŭ s’ védă câte vedețĭ voĭ, ma nu le veḑură; și s’ avdă câte avdîțĭ voĭ, ma nu le avḑiră.
MAT.13.18	Tr’ açea ascultațĭ parabola semĕnătorŭluĭ. 
MAT.13.19	Care‐çi‐do 
MAT.13.20	Iară açea çe este semĕnată tru locurĭ chetróse, açelŭ éste care avde sborulŭ, și de ună‐óră ’lŭ lĭa cu bucurie; 
MAT.13.21	Ma nu are rădăçină în elŭ, și éste tră puținŭ timpŭ; și çându s’façe strimtorare ică agonire tră sborŭlu, tru‐óră se scandalisésce. 
MAT.13.22	Iară açea çe se sémĕnă pe tru schin̄ĭ, açelŭ este care avde sborŭlu, ma minduirĭle tră aestă, etă și minciunarea avuțiilĭeĭ, înécă sborŭlu, și s’façe fâră pomŭ. 
MAT.13.23	Iară açea semenată tru locŭlu bunŭ, aestŭ este açelŭ care avde sborŭlu, și ’lŭ acăchisésce; și da póme și façe ună, ună sută, altă șésĭ ḑeçĭ, și altă treĭ‐ḑeçĭ.
MAT.13.24	Ună altă parabolă lĕ aduse înainte, și lĕ ḑise: Amirărilĭea çerŭluĭ unzésce cu unŭ omŭ, 
MAT.13.25	care semĕnă semĕnța bună tru agrulŭ a luĭ. Ma cându ómenĭlĭi dorm̄ia, s’duse neóspele a luĭ, și semĕnă chéniță pre tru grânŭ și fugi. 
MAT.13.26	Și cându crescu érba și déde pomŭ, atunçea s’veḑu chénița. 
MAT.13.27	Și s’duseră servitorĭlĭi la Domnulŭ a agruluĭ, și ’lĭ ḑiseră; Dómne, nu semĕnașĭ semênță bună tru agrulŭ a tĕu? d’iu eși decara chénița? 
MAT.13.28	Si elŭ lĕ ḑise: omŭ neóspe o are faptă aestă. Iară servitorĭlĭi ’lĭ ḑiseră: Vreĭ decara s’m̄érgemŭ, s’o alegemŭ? 
MAT.13.29	Ma elŭ lĕ ḑise: Nu! că, alegêndaluĭ chenița nu çeva de scótețĭ și grânŭlu cu ea. 
MAT.13.30	Alăsațĭ s’créscă deadunŭ amêndóuĕ până la seçerișŭ. Și tru timpulŭ a seçerișŭluĭ, va s’ḑicŭ a seçerătorĭlorŭ: Alégețĭ cama ’năinte chénița; și băgațĭ‐o mănuclĭe tr’ardere; și grânŭlu adunațĭ‐lu tru grănarŭlu a m̄eu. 
MAT.13.31	Altă parabolă lĕ spuse elŭ, șĭ lĕ ḑise: Amirărilĭea çerŭluĭ, unzésce cu unŭ grănuțŭ de sinape, 
MAT.13.32	care lŭ luă unŭ omŭ, și lŭ semĕnă tru agrulŭ a luĭ, care éste cama m̄icŭ de tute semênțele, ma cându crésce, este cama mare de tute verdețĭle, ș’ s’façe arbore, în câtŭ v̄inŭ pulĭi a çerŭluĭ și locuescŭ pre alumăçlĭe a luĭ.
MAT.13.33	Și altă parabolă lĕ ḑise a lorŭ: Amirărilĭea çerŭluĭ unzésce cu aluatŭlu, care îlŭ luă mulĭérea și ’lŭ ascunse în treĭ mesurĭ de fărină, pănă cându s’aluză tutŭ.
MAT.13.34	Aeste tute grăi Iisusŭ a poporuluĭ în parabole, și fără parabole nu lĕ sbura. 
MAT.13.35	Tra să s’împlinéscă açea çe s’ḑise prin profetŭlu care ḑiçe: Va s’m̄i desclĭidŭ gura în parabole, și va s’lĕ spunŭ açéle ascumte de la înçeputŭlu a lumelĭeĭ.
MAT.13.36	Atunçea Iisusŭ alasă ghimta și vine acasă; și s’aprochiară discipulĭi a luĭ și ’lĭ ḑiseră: 
MAT.13.37	Deslégă‐ne parabola chénițĕlĭeĭ a agruluĭ. Iară elŭ respunse și lĕ ḑise: açelŭ çe semĕnă semênța bună, este hilĭlu a omŭluĭ.
MAT.13.38	Și agrŭlu éste lumea; sĕmênța açea bună sŭntu hilĭi a amirărilĭeĭ, și chénița sŭntu hilĭi a rĕuluĭ. Iară neóspele care o semĕnă éste draculŭ. 
MAT.13.39	Și seçerișĭlu éste finirea etĕlĭeĭ.
MAT.13.40	Iară seçerătorĭlĭi sŭntu anghelĭi. Că precumŭ s’alége chénița, și s’arde în focŭ, ași va s’hibă și la finirea aesteĭ ete. 
MAT.13.41	Va s’petrécă hilĭlu a omuluĭ, anghelĭi a luĭ, și va s’alégă de tru amirărilĭea luĭ, tute 
MAT.13.42	scandalele și açelĭ çe facŭ nelegiurea. Și va s’lĭ aruncă tru cirépŭlu de focŭ: 
MAT.13.43	acolo va s’hibă plângérea și scărcicarea dințilorŭ. Atunçea açelĭ drepțĭ va s’luçéscă ca sórĕle, tru amirărilĭea Tatăluĭ lorŭ. Açelŭ çe are ureclĭi tră avḑire s’avdă.
MAT.13.44	Iară amirărilĭea çerŭluĭ unzésce cu ună vistére ascumtă tru agru, care cândŭ o află unŭ omŭ, o ascumse, și de bucuria ’lĭeĭ s’duçe, vinde tute câte are și acumperă agrulŭ açelŭ.
MAT.13.45	Iară unzésce amirărilĭea çeruluĭ, cu unŭ omŭ comerciantŭ, care căfta mărgăritale bune. 
MAT.13.46	Și care, cândŭ află unŭ mărgăritarŭ scumpŭ, s’duse, vindu tute câte avea, și’lŭ acumperă.
MAT.13.47	Iară Amirărilĭea çerŭluĭ unzésce cu ună mréje, care s’arucă tru amare, și adună de tute felurĭle: 
MAT.13.48	care după çe s’umplu, o scóseră la marginea de amare, și șeḑură și alépseră açéle bune, tru vase, și açéle réle, le arŭcară afóră.
MAT.13.49	Ași va s’hibă la finirea etĕlĭeĭ; 
MAT.13.50	va s’ésă anghel’i și va s’despartă pre açelĭ rĕĭ din nolgica drepțilorŭ. Și va s’lĭ arucă tru furnulŭ de focŭ; acolo va s ’hibăplăngérea și scărcicarea dinți orŭ.
MAT.13.51	Ḑise a lorŭ Iisusŭ: Acăchisitŭ aeste tute? Ḑiseră a luĭ: Da, Dómne. 
MAT.13.52	Și elŭ lĕ ḑise: De açea içi‐do cărturarŭ învețatŭ, tru amirărilĭea çerŭluĭ, unzésce cu unŭ domnŭ de casă, care scóte de tru v̄istérea luĭ 
MAT.13.53	Și după çe fini Iisusŭ aeste parabole, fugi d’acolo. 
MAT.13.54	Și cându vine în patria luĭ, ’lĭ ’nveța în sinagoga lorŭ, în câtŭ s’mira elĭ și ḑiçea: D’iu la aestu ahâtă mintimenilĭe, și ahâte ciudĭi? 
MAT.13.55	Nu éste elŭ hilĭlu a mastorŭluĭ? Nu s’clĭéma muma luĭ Maria, și frațĭlĭi a luĭ Iacovŭ, și Iosi, și Simon și Iuda? 
MAT.13.56	Și surorĭle a luĭ nu sŭntu tute la noĭ? D’iu decara aeste tóte la nĕsŭ? 
MAT.13.57	Și se scandalisa de elŭ. Ma Iisusŭ lĕ ḑise: Nu éste profetŭ fără tin̄ie, de câtŭ mașĭ în patria luĭ, și în casa luĭ. 
MAT.13.58	Și nu féçe acolo multe ciudĭi, de necredința lorŭ.
MAT.14.1	Tru açe’ŭ timpŭ avḑi Erodŭ Tetrarhulŭ, 
MAT.14.2	fama luĭ Iisusŭ, și ḑise a servitorĭlorŭ: Aestu éste Ioanŭ Botezătorŭlu; elŭ se sculă din morțĭ, și de‐açea s’facŭ ciudĭi prin nĕsŭ. 
MAT.14.3	Că Erodŭ acățândŭ pre Ioanŭ ’lŭ legă, și ’lŭ băgă tru înclĭsóre, 
MAT.14.4	tră Erodiada mu ĭérea frate‐suĭ Filipŭ. Că Ioanŭ lĭ ḑiçea: nu țĭ éste lĭertatŭ s’o aĭ pre ia. 
MAT.14.5	Și vrea s’lŭ móră, ma ’lĭ era frică de poporŭ, că lŭ avea ca unŭ profetŭ. 
MAT.14.6	Iară cându Erodŭ sĕrbătoria ḑiua luĭ de nascere, hilĭea a Erodiadĕlĭeĭ giucă nolgica luĭ, 
MAT.14.7	și ’lĭ plăcu a luĭ Erodŭ. Tr’açea déde sborŭ u cu giurămêntŭ ca s’lĭ da içe va s’caftă. 
MAT.14.8	Iară nĕsă învĕțată de muma sa, ḑise: Dă‐m̄ĭ açia tru unŭ phiatŭ capŭlu a luĭ Ioanŭ Botezătorŭlu. 
MAT.14.9	Și amirălu se învirină, ma de giuramêntele çe avea faptă, și de arŭșine câtrĕ açelĭ çe ședea cu elŭ, dimândă s’lĭ se da. 
MAT.14.10	Și petrecu de lĭ tălĭară capulŭ a luĭ Ioanŭ tru înclĭsóre. 
MAT.14.11	Și îlĭ s’aduse capŭlu a luĭ tru phiatŭ și îlĭ se déde a fétĕlĭeĭ, și ’lŭ duse a mă‐saĭ. 
MAT.14.12	Și viniră discipulĭi a luĭ, și sculară trupulŭ, ’lŭ îmmormêntară, și decara viniră îlĭ déderă tru scire a luĭ Iisusŭ. 
MAT.14.13	Și Iisusŭ cândŭ avḑi, s’depărtă de acolo cu ună luntre, singurŭ, la unŭ locŭ deșertŭ. Și de cara avḑî ghimta, s’duse de la çetățĭ după nĕsŭ pe pade.
MAT.14.14	Și cându eși Iisusŭ, veḑu mulțime mare și ’lĭ se féçe milă de elĭ, și vindecă lângețilĭi a lorŭ.
MAT.14.15	Iară cându întunecă, s’aprochiară de elŭ discipulĭi a luĭ, și ’lĭ ḑiseră: Deșertu éste locŭlu, și óra este trecută; sălăghia mulțimea s’ducă pre tru horĭ, să’șĭ acumpĕră mâncare. 
MAT.14.16	Ma Iisusŭ lĕ ḑise: nu lĕ lipséce s’ducă; dațĭ‐lĕ voĭ s’măcă. 
MAT.14.17	Ma elĭ ’lĭ ḑiseră: n’avemŭ aóçe afară de çinçi pân̄ĭ și doĭ pesci. 
MAT.14.18	Și elŭ lĕ ḑise: Aduçetĭ‐m̄ĭ le açia.
MAT.14.19	Și dimândă, a mulțimilĭeĭ s’șédă, pre érbă, și luă açele çinçi pânĭ și doilĭi pesci, și înălțândaluĭ oclĭi câtrĕ çerŭ, lĕ déde urăciune, și frâmse pânile, și le déde a discipulĭlorŭ a luĭ, iară discipulĭi a mulțimilĭeĭ.
MAT.14.20	Și mâncară tuțĭ și se săturară, și adunară armăsĕturĕle de bucățĭ dóuĕ‐sprĕ-ḑéçe cóșe ’mpline. 
MAT.14.21	Și açelĭ çe mâncară era vĕr‐nă çinçi m̄ilĭ de bărbațĭ, afară de mulĭerĭ și feciorĭ.
MAT.14.22	Și tru‐óră agum̄usi Iisusŭ discipulĭi a luĭ să întră în luntre, și sa m̄érgă ’nainte naparte, până cându 
MAT.14.23	Și după çe sălăghi mulțimea, s’alină pre munte singurŭ, să se înclĭnă, și cându întunecă, era singurŭ acolo. 
MAT.14.24	Și tora luntrea s’afla nolgica de amare, Și bătută de valurĭ, că vîntulŭ era contra. 
MAT.14.25	Și tru a patra viglă a nóptelĭeĭ, s’duse câtrĕ nĕșĭ Iisusŭ imnândŭ peste amare. 
MAT.14.26	Și cându lŭ veḑură discipulĭi imnândaluĭ preste amare, s’cutremburară, și ḑiseră, că éste aumbră, și de frică strigară. 
MAT.14.27	Ma tru‐óră Iisusŭ lĕ grăi și lĕ ḑise: Avețĭ curagiu, eŭ escŭ; nŭ avețĭ frică. 
MAT.14.28	Iară Petru respunse și ’li ḑise: Dómne s’fure că esci tine dimândă m̄ĭ s’v̄inŭ și eu la tine preste apă. 
MAT.14.29	Și elŭ ḑise: Vino! Și Petru s’depuse de tru luntre, și îmnă pre apă ca s’v̄ină la Iisusŭ. 
MAT.14.30	Ma cându veḑu vintulŭ vĕrtosŭ, s’aspĕrie, și cându înçepu să se afundă strigă, și ḑise: 
MAT.14.31	Dómne ascapă‐me. Și tru‐óra Iisusŭ tése mâna, ’lŭ acăță și lĭ ḑise: 
MAT.14.32	Tine cu puțină credință! de çe te îndoișĭ? 
MAT.14.33	Și după çe întrară elĭ în luntre, stătu vintulŭ. Iară açelĭ de tru luntre viniră și se înclĭnară la elŭ și lĭ ḑiseră: Cu dealihea hilĭlu alŭ Dumneḑĕu esci.
MAT.14.34	Și după ce străbătură, viniră tru locŭlu Ghenisaretŭ. 
MAT.14.35	Și cându lŭ cunoscură ómenĭlĭi de tru aestu locŭ, petrecură tru tute părțile de avĕrliga, 
MAT.14.36	și ’lĭ aduseră a luĭ pre tuțĭ lângețĭlĭi. Și lŭ ruga mași s’acață de pólele a stran̄ielorŭ a luĭ și câțĭ s’acățară 
MAT.15.1	Atunçea viniră la Iisusŭ de la Ierusa’imŭ cărturarilĭi și Fariseilĭi, și ḑiseră: 
MAT.15.2	De‐çe discipulĭi a tĕi calcă tradițiunea aușĭlorŭ? Că nu ’sĭ spélă mânĭle cându măcă păne. 
MAT.15.3	Ma elŭ respunse și lĕ ḑise: De çe și voĭ călcațĭ dimăndăciunea aluĭ Dumneḑĕŭ prin tradițiunea vóstră? 
MAT.15.4	Că Dumneḑĕŭ dimândă și ḑise: Tin̄isea tată‐tĕu și muma ta și: „Açelŭ care sburasce arĕu tră tată‐sĕŭ, ică tră mumă‐sa s’chéră cu mórte“. 
MAT.15.5	Ma voĭ ḑiçețĭ: Açelŭ çe va s’ḑică a tată‐sĕuĭ ică a mă‐săĭ, Dóră éste cu içe‐do çe va s’te agiuțĭ dĕ la mine, dure este; și póte s’nu tin̄iséscă tată‐sĕu ică mă‐sa. 
MAT.15.6	Și avețĭ călcată dimăndăciunea luĭ Dumneḑĕŭ, prin tradițiunea vóstră. 
MAT.15.7	Ipocrițĭ, ghine are profetisită tră voĭ Isaia, care ḑiçe: 
MAT.15.8	Aestu poporŭ s’aprochie de mine cu gura, și cu buzele me tin̄isésce, ma inima lorŭ éste multu departe de mine. 
MAT.15.9	Și cherută éste çe me tin̄isescu, învețândaluĭ învețăturĭ, care sŭntu dimăndaciunĭ omenesci.
MAT.15.10	Și clĭemă ghimta și lĕ ḑise: Ascultațĭ și acăchisițĭ: 
MAT.15.11	Nu pângănésce omulŭ açea çe întră în gură, ma açea çe ése din gură, açea pângănésce omŭlu. 
MAT.15.12	Atunçea s’aprochiară de elŭ discipulĭi a luĭ, și ’lĭ ḑiseră: Sciĭ că Fariseilĭi se scandalisiră, cându avḑiră aestu sborŭ? 
MAT.15.13	Ma elŭ respunse și ḑise: Içe‐do plantă çe nu éste plăntată de çeresculŭ a meu Tată, va să se desrădăçinéḑă. 
MAT.15.14	Alăsațĭ lĭ; elĭ suntŭ orghi conducĕtorĭ a orghilorŭ; și cându unŭ orbu conduçe altu orbŭ, amêndoĭ va s’cadă în grópă.
MAT.15.15	Iară Petru respunse și lĭ ḑise: Deslégă‐ne aestă parabolă. 
MAT.15.16	Și Iisusŭ ḑise: Și voĭ nu acăchisițĭ! 
MAT.15.17	Nu acăchisițĭ că içe‐do çe intră în gură, s’duçe în pântecă, și ése la eșitŭ? 
MAT.15.18	Ma açéle çe esŭ din inimă, açéle pângănescu omŭlu. 
MAT.15.19	Că din inimă esŭ urîte minduirĭ, vătămarĭ, adulterĭi, curvĭlĭ, furturĭ, mărturĭi minciunóse, blăstemurĭ.
MAT.15.20	Aeste sŭntu carĭ pângănescu omŭlu; ma s’măcă cu măn̄ĭle nespelate, nu lu pângănésce omŭlu. 
MAT.15.21	Și eși Iisusŭ de acolo și s’duse tru părțile a Tirŭluĭ și a Sidonŭluĭ. 
MAT.15.22	Și écă ună mulĭére hananeană, eși de tru sinorĭle açéle și strigă ḑicêndu‐lĭ: Milué‐me, Dómne, hilĭlu alŭ Davidŭ; că hilĭea‐mea éste rĕŭ demonisată. 
MAT.15.23	Iară elŭ nu ’lĭ déde niçi unŭ sborŭ. Și s’aprochiară discipulĭi a luĭ și îlŭ ruga, ḑicêndŭ: 
MAT.15.24	Dă lĭ cale, că strigă după noĭ. Ma elŭ respunse și lĕ ḑise: Nu escu petrecutŭ 
MAT.15.25	de câtŭ mașĭ la oile cherdute a casălĭeĭ luĭ Israilŭ. Iară ea vine, se înclĭnă la elŭ și ḑise: Dómne agiută‐m̄ĭ. 
MAT.15.26	Ma elŭ respunse și ḑise: Nu e ghine să s’lĭă pânea a feciorĭlorŭ, și să s’arucă la cățĕlĭ. 
MAT.15.27	Iară ea ḑise: Ași e Dómne, ma și cățĕlĭi măcă de sĕrmele çe cadŭ de pre mésa a Domnilorŭ a lorŭ. 
MAT.15.28	Atunçea respunse Iisusŭ și ’lĭ ḑise: O mulĭére! mare éste credința ta; la s’țĭ se facă cumŭ vreĭ. Și s’vindecă hilĭea a lĭeĭ de tru açea óră.
MAT.15.29	Și cara trecu d’acolo Iisusŭ, vine ningă amarea Galileilĭeĭ, și s’alină pe munte și ședea acolo. 
MAT.15.30	Și vine la elŭ ghimtă mare, și avea cu elĭ sclĭopĭ, orghĭ, surḑĭ, ologĭ și alțĭ mulțĭ, și lĭ aruncară la ciciórĭle a luĭ Iisusŭ, și îlĭ vindecă. 
