MAT.1.1	Rìfuu yì ɗi Yeesus Kiris man à Davit, man à Abiraham ɗi ri fɛlɛ: 
JHN.18.35	Pilat à ɓàg lɛ: Mɛ̀ ǹɗì muu Ɓɛ̀yudɛ̀n gìn? Ɓumɓɛ ɓi kìlɔ̀ŋ kɔɔ, rì ɓɛ̀pìrɛɛtìrɛ̀ ɓɛgwey ɓɔ yaa yùu rì wɔ̀ a lɔ̀ŋkɛm̀, nni kìɓan aɗi kɛɛ̀ki wɔ̀ɔ nkìi? 
JHN.18.36	Yeesus à ɓàg nyi lɛ: Kìlɔ̀ŋ kɛm̀ ki yin fɛ ɓi ziinɛ, i kaa rì ɓi ziinɛ, di ɓɛ̀kìì-ɓìsay ɓɛm ɓɛ nfaa rìbaŋì lɛ ɓɛ̀ kɛɛ̀ kɛ̀n ɗi mɛ̀ a mɛ̀fòm mɛ Ɓɛ̀yudɛ̀n. Wɔ̀lɛ kìlɔ̀ŋ kɛm̀ ki yin fɛ ɓi ziinɛ. 
JHN.18.37	Pilat à tɔg nyi lɛ: Yɛɛ lɔɔ lɛ ù rì rìfòm wa? Yeesus à ɓàg lɛ: Ù kpaa miì, ǹɗì rìfòm. Mɛ̀ ǹ-yalɛ̀ngà, ǹki yù ɓi ziinɛ lɛ ntɛɛ̀zag ɓum ɓìɓan ɓi saaɗ, fɔɔnnɛ mum ǹcèm ànɛ à rì ŋwaà saaɗ, à ti à wokì jɛ̀ɛ̀ yɛ̀m. 
JHN.18.38	Nni Pilat à tɔkà nyi lɛ: Saaɗ innɛ cɛ?
JHN.18.38	Yɛ̀ɛ à kpaaghà fɔlɔɔ, nni à kpaŋdìghà, à kɛ̀n jàŋ inɛ Ɓɛ̀yudɛ̀n ɓɛ ɓaghà, à kpaa ɓɔ lɛ: Mɛ̀ ǹghɛɛ ɓi kiɓan ki ɓeɓtɛn ki ŋwaànɛ à kìi. 
JHN.18.39	Nni yɛ̀ɛ ki ri mìni kìsyɔ̀ɔ̀ lɛ, ncaɗ mìni kìmbùŋ kìfog ɓi cààmɛ̀n à tìcàɓ ti Paskà, nni ki kɔni mìni lɛ rìfòm ɗi Ɓɛ̀yudɛ̀n ɗyɛɛ̀ɗi ncaɗ gìn? 
JHN.18.40	Fɔɔnnɛ ɓɛ tumɛ̀ngà tì rìkpaa jɛ̀ɛ̀ aɗyoo lɛ: Èe èe àa nyi, lɔŋ Ɓaraɓas innɛ u caɗ. Kɔlɛ Ɓaraɓas à ɓaghà zyaàzyaa.
JHN.19.1	Nni Pilat à yùghà min ɗi Yeesus à reɓsì lɛ ɓɛɛ nyi kìtòn. 
JHN.19.2	Fɔɔnnɛ ɓɛ̀sujàà ɓɛ togà min tàm à ɓìlɔ̀ɔ̀, ɓɛ saàgh Yeesus ɓi nto, ɓɛ waasì nyi kìlàà ki ɓàŋ. 
JHN.19.3	Ɓɛ tyɛɛ̀tɛ̀n nyi a nyoo di ɓɛɛ̀ kpaakpaa lɛ: Rìfòm ɗi Ɓɛ̀yudɛ̀n, tì tògsii wɔ̀, ɓɛ ɓoòɓòkì nyi mɛ̀ɓɛn.
JHN.19.4	Nni Pilat à kpaŋdìghày, à kpaa Ɓɛ̀yudɛ̀n lɛ: Ghɛɛna, ǹti lɛ, nkpaŋziì mìni nyi; ɓì ghɛ̀ɛ̀sɛɛ kì yiì lɛ, ǹghɛɛ ɓi kiɓan ki ɓeɓtɛn ki à kìi, ki ki ri lɛ ɓɛ sɔmɛ̀n nyi miì. 
JHN.19.5	Nni Yeesus à kpagày min. À ɓaghà rì tàm à ɓìlɔ̀ɔ̀ ɓi nto, rì kìlàà ki ɓàŋ ɓi nyoo, Pilat à kpaa ɓɔ lɛ: Ghɛɛna! mum innɛ̀n. 
JHN.19.6	Wɔ̀lɛ yɛ̀ɛ ɓɛ̀pìrɛɛtìrɛ̀ ɓɛgwey ɓɛ ghɛngà nyi, ɓɛ kpaa jɛ̀ɛ̀ aɗyoo lɛ: Kpana nyi ɓi kɔrɔs, kpana nyi ɓi kɔrɔs. Pilat à kpaa ɓɔ lɛ: Mìniìɓɔmiɗ terina nyi, ɓi kpaǹ nyi ɓi kɔrɔs. Ɓi ɓɛg wɛ̀m, mɛ̀ ǹghɛɛ ɓi kiɓan ki ɓeɓtɛn ki à kìi, ki ki ri lɛ ɓɛ sɔmɛ̀n nyi miì. 
JHN.19.7	Ɓɛ̀yudɛ̀n ɓɛ ɓaàg Pilat lɛ: Tì rì rì kìdɔ̀gsɛna, nni kìdɔ̀gsɛna kiǹ kɛɛ̀ kpaaghi lɛ à ghɛ̀ɛ̀sɛɛ kì wiì ɓisuulɛ àa nɗɛ̀ŋii kì kpaà lɛ, à rì Man à Bɛ̀ll. 
JHN.19.8	Yɛ̀ɛ Pilat à wokà tì jɛɛ ìnɛn, à risì tì lɛɛ̀gwey, 
JHN.19.9	fɔɔnnɛ à ɗiŋìghà tì ɓi kìkpanà ki ɓɛyɔ̀m, à tɔg Yeesus lɛ: Wɔ̀ɔ̀ fuu yì fe? Wɔ̀lɛ Yeesus à ɓàkà ɓi nyi, Pilat à kpaa min nyi lɛ: 
JHN.19.10	Mɛ̀ nnɛ ù mìnɛɛ? Ù yii ɓi lɛ ǹɗì rì ìtèɗ wulɛ, ǹcàɗ wɔ̀, nsoò lɛ ǹkpaǹ wɔ̀ ɓi kɔrɔs? 
JHN.19.11	Yeesus à ɓàg lɛ: Ù ɓaghà ɓi lɛ, ù ɓa rì ìtèɗ wulɛ, ù kì mɛ̀ com di Bɛ̀ll à faghà ɓi wɔ wɔ. Kìɓan kiǹ kɛɛ̀ki mum ànɛ à kàɓi mɛ̀ rì wɔ̀, à kìi kìɓe ki ki cee.
JHN.19.12	À tumɛ̀n ɓi cààmɛ̀n kiǹ, Pilat à kaakààghà bee inɛ lɛ a caɗ nyi, kìɓan kifog, Ɓɛ̀yudɛ̀n ɓɛ kpaakpààghà jɛ̀ɛ̀ aɗyoo lɛ: I ù càri ŋwaànɛ̀n di ù yin righan ɗi Kaaza, lɛ mum ǹcèm ànɛ à kalii lɛ à rì rìfòm, à rì ŋwaànɛ a ɗùùɗuu ri Kaaza. 
JHN.19.13	Yɛ̀ɛ Pilat à wokà fɔlɔɔ, nni à kpaŋzìghày Yeesus à kɔ̀rì ɓi-kɔ̀ɔ̀ wu riren ɗi ɓiɓan, ɓi jàŋ inɛ ɓɛ nɗegì lɛ pàveè, ɓi rì ebìreegh lɛ Gaɓata. 
JHN.19.14	Ŋwos anɛ̀n à ɓaghà ŋwos anɛ ɓɛ peèghpègsɛ̀ngà tìcàɓ ti Paskà di ki ti nunùg toroɓ, Pilat à kpaa Ɓɛ̀yudɛ̀n lɛ: Rìfòm ɗin ɗyɛɛ̀ɗi. 
JHN.19.15	Wɔ̀lɛ ɓɛ teŋzìghà jɛ̀ɛ̀ ɓɛ kpaa lɛ: A wu, a wu, kpana nyi ɓi kɔrɔs. Pilat à kpaa ɓɔ lɛ: Ɓi kɔ̀nkɔn lɛ, mɛ̀ɛ ǹkpaǹ rìfòm ɗin? Ɓɛ̀pìrɛɛtìrɛ̀ ɓɛgwey ɓɛ ɓàg nyi lɛ: Ɓìsii yin ɗi rìfòm ɗiɗɛŋ i ki yin lɛ Kaaza. 
JHN.19.16	Nni Pilat à faghà min ɓɔ Yeesus lɛ ɓɛɛ kpan ɓi kɔrɔs. Fɔɔnnɛ ɓɛ tekà nyi, ɓɛ kɛǹ ɗì nyi.
JHN.19.17	Yeesus à tɛ̀tɛ̀kà kɔrɔs wìì nyimiɗ ɓi ɗi lɛ ɓɛɛ pɛsɛn ɓi bàn, ɓɛɛ kɛǹ ɗì nyi ɓi jàŋ inɛ ɓɛ nɗegì lɛ kìtɛtɛg ki nto, yɛ̀ɛ ri ɓi rì ebìreegh lɛ Gɔlgɔta. 
JHN.19.18	Wɔɔ nnɛ ɓɛ kpangà nyi ɓi Kɔrɔs ǹɗaŋ ri ɓum ɓɛdɛŋ ɓɛɓɛɛ̀, lɛ roànɛ nyi ɓi kìmɛŋ, roàmbog nyi ɓi weèlem, Yeesus ɓi nyìinyìm wàà.
JHN.19.19	Pilat à kàngà girig ɓi kìɓoŋ, ɓɛ ɓaàtì kɔ ɓi kɔrɔs. Mɛ̀kànì mɛǹ mɛ ɓaghà lɛ: Yeesus ànɛ a Naazarɛt, rìfòm ɗi Ɓɛ̀yudɛ̀n. 
JHN.19.20	Ɓɛ̀yudɛ̀n lɛɛ̀gwey ɓɛ ɓalà kìɓoŋ kiǹ, lɛ jàŋ inɛ ɓɛ kpangà Yeesus ì ɓaghà jàŋbog rì bàn. Kìɓoŋ kiǹ ki ɓaghà kìkànɛn lɛ, rì ɓi rì ebìreegh, rì ɓi rìgìrɛg, rì ɓi rìlàtɛŋ. 
JHN.19.21	Ɓɛ̀pìrɛɛtìrɛ̀ ɓɛgwey ɓɛ Ɓɛ̀yudɛ̀n ɓɛ kpaaghà Pilat lɛ: Kɔ̀ɔ kàn lɛ rìfòm ɗi Ɓɛ̀yudɛ̀n, kàna lɛ, àa nkpaa lɛ, nyii ri rìfòm ɗi Ɓɛ̀yudɛ̀n. 
JHN.19.22	Nni Pilat à ɓàkà ɓɔ lɛ: Ki m̀mɛ kàn, ki ti kì kànɛn.
JHN.19.23	Ɓɛ̀sujàà ɓɛ ɓaghà lɛ, ɓɛ mɛ kpan Yeesus ɓi kɔrɔs, ɓɛ teɗ ɓìlàà ɓii, ɓɛ kaɓsì ɓyɔ gàɓ yinin, sujàà bimiɗ à teɗ gàɓ bog; ɓɛ tekà girig jɔmpàs wìì, àncèm à ɓaghà kɛ̀ɛ̀ jàŋ i ǹɗàrɛn, à ɓa ǹtoŋɛn lɛ ɗyɔɔg, à tumɛ̀n aɗyoo, à kpaŋ azi. 
JHN.19.24	Ɓɛ̀sujàà ɓɛǹ ɓɛ kpaaghà wɔɔ ɓɔmiɗ lɛ: Tyɛ̀ ki ghàski jɔmpàs ànɛ, ti ɓog ǹtɔ̀ŋ, di ti ghɛǹ ŋwaànɛ à rì nyi ɓiì terì. Ki kilɛ̀ngà fɔlɔɔ lɛ kɛɛ ɓa lɔŋ yɛ̀ɛ ki ɓaghà kìkànɛn lɛ: Ɓɛ kaɓɓàkà ɓìlàà ɓyɛm̀, ɓɛ ki ɓog ntɔ̀ŋ ɓi jɔmpàs wɛ̀m. Com ki ɓɛ̀sujàà ɓɛ kighà kɛɛ̀kìn.
JHN.19.25	Ɓɛ̀yiɓ ɓɛ lɛ: rì jɛɛ Yeesus, rì geni jɛɛ Yeesus, rì Marii à gili Kileyopas, rì Marii Madelɛn, ɓɛ rɛrɛ̀lìghà jàŋbog rì kɔrɔs à Yeesus. 
JHN.19.26	Yɛ̀ɛ Yeesus à ghɛngà jɛɛ, à ghɛɛ̀dì tì ǹ-yilàg ànɛ àa nkeesàg ǹɗɛrɛliyɛn jàŋbog rì jɛɛ wìì, nni à kpaaghà jɛɛ lɛ: Giɓ anɛ, man wɔɔ̀ nnɛ̀n lɔɔ. 
JHN.19.27	Fɔɔnnɛ à kpaaghà rì ǹ-yilàg ànɛ̀n lɛ: Gaa nnɛ̀n lɔɔ. À tumɛ̀n ɓi cààmɛ̀n kiǹ, ǹ-yilàg ànɛ̀n à tekà jɛɛ Yeesus a mɛɛ mii.
JHN.19.28	Ajɛ̀m ìnɛn, yɛ̀ɛ Yeesus à yighà lɛ ɓìɓan ɓìcèm ɓi mɛ kpaŋzɛ̀n, nni à kpaaghà lɛ: Kìnɔli kɛɛ̀ kìki mɛ, lɛ di ɓìɓan ɓi ɓi ri ɓìkànɛn ɓyɛɛ roǹ. 
JHN.19.29	Fɔlɔɔ nnɛ ɓɛ̀sujàà ɓɛ tekày dɛ̀ɓ ɓɛ nɔg ɓi ɓìkpamà ɓi mɛrɔ̀g ɓi ɓi ɓaghà wɔɔ ɓi kìbɔkɔ̀ kidɛŋ, ɓɛ ɓam̀ yɔ̀ ɓi kìgeŋ, ɓɛ namzì nyi a ŋwɔm. 
JHN.19.30	Yɛ̀ɛ Yeesus à syògà ɓìkpamà ɓi mɛrɔ̀g ɓiǹ, nni à kpaaghà lɛ: Ɓìɓan ɓìcèm ɓi roni. Fɔɔnnɛ à tuŋzìghà nto à maasì.
JHN.19.31	Ŋwos anɛ̀n à ɓaghà ŋwosi jumɓa, di Saɓàt à rì yɛ̀ɛ rìduri. Ɓɛ̀yudɛ̀n ɓɛ kɔngà ɓi lɛ ɓìloŋ ɓyɛɛ rɔɓ fɔlɔɔ ɓikpanɛn ɓi kɔrɔs à kpaŋ ɓi Saɓàt, lɛ Saɓàt ànɛn à ɓaghà coo gòn i kìcèlì. Fɔɔnnɛ ɓɛ tɔkà Pilat lɛ a fa ɓɔ ìtèɗ wulɛ ɓɛɛ ɓwingi ɓɔ mɛ̀kòò, ɓɛ ki kɔ̀sag yi ɓɔ ɓi ɓɛ̀kɔrɔs. 
JHN.19.32	Nni ɓɛsujàà ɓɛ yughà ɓɛ ɓungì mɛ̀kòò mɛ kibog ki ɓi ɓumɓɛ ɓɛ kpangà ǹɗaŋ ri Yeesus, ɓɛ ɓungì tì mɛ roàmbog. 
JHN.19.33	Yɛ̀ɛ ɓɛ kpagà ɓi Yeesus, ɓɛ tanɛ̀n lɛ à mɛ wu ɓɛ̀ kɛɛ̀ ɓwingi nyi mɛ̀kòò. 
JHN.19.34	Wɔ̀lɛ kìbog ki ɓi ɓɛ̀sujàà ki tuɓkà nyi bèn ɗì rìkɔ̀ŋ, mɛ̀nig rì bwaɓ ɓi ghas kì kpaŋì. 
JHN.19.35	Ŋwaànɛ a kpaakpaa ɓiɓan ɓi, à ghɛngà ɓyɔ (rì mis). Nni com ki a kpaakpàà ki ri saaɗ, nyimiɗ a yii lɛ, a kpaakpaa saaɗ lɛ, di mìni girig ɓi gherɛn. 
JHN.19.36	Ki kilɛ̀ngà fɔlɔɔ lɛ, kɛɛ ɓa yɛ̀ɛ ki ri kìkànɛn lɛ nsoò kìwoɓ kii kifog, ɓaa ɓun ɓi.
JHN.19.37	Ki ri tì kìkànɛn ɓi jàŋ idɛŋ lɛ ɓɛ ri pɛ̀ɛ̀zii gɛ mis rì roànɛ ɓɛ tuɓkà bèn.
JHN.19.38	Ajɛ̀m ìnɛn, Yoosɛɓ, ŋwaànɛ a Arimate, à ɓaghà ǹ-yilàg à Yeesus a rìnyam lɛ à rirìsìghà Ɓɛ̀yudɛ̀n. Nni à tɔkà Pilat ìtèɗ wulɛ a teɗ kìloŋ ki Yeesus, Pilat à gherɛ̀n. Fɔɔnnɛ à yùghà, à teɗ kìloŋ ki Yeesus. 
JHN.19.39	Nikodɛm ànɛ à lokà kì kɛ̀ɛ yɛ̀ɛ Yeesus ɗì ìru, à yùghày gìrig; à ɓanɛ̀n yì bùtag i ɓyom ɓi ɓi ɓaghà lɛ ɓi kpaŋ ɓɛ̀kilò rìtin ɗì ǹtɛ̀ɗ, ɓi ɓaghà mɛ̀kuu mɛ tirààre mɛ lɛ: rì miìr, rì àlòwɛs. 
JHN.19.40	Nni kìɓɛ̀ɛ̀ ki ɓum kìn ki tekà min kiloŋ ki Yeesus, ɓɛ kagì kɔ rì ɓɛ̀ɓandas, di ɓɛɛ̀ mìmisi tirààre miì yɛ̀ɛ Ɓɛ̀yudɛ̀n ɓɛ nkìlàg di ɓɛ ti ɓiì ɓòmi mum. 
JHN.19.41	Dɛm idɛŋ ì ɓaghà jàŋ inɛ ɓɛ kpangà Yeesus ɓi kɔrɔs, nni zɔ̀ŋ ì nyɔn ìnɛ ɓɛ ɓaghà di ɓɛ ka ɓom̀ ɓi mum miì, ì ɓaghà ɓi dɛm inɛ̀n. 
JHN.19.42	Miì nnɛ ɓɛ ɓomgà Yeesus, ɓisuulɛ Ɓɛ̀yudɛ̀n ɓɛ ɓaghà di ɓɛ ti ɓiì ɓùuɓuŋɛ̀n Saɓàt, rì tì lɛ, zɔ̀ŋ ì ɓaghà wɔɔ jàŋbog.
JHN.20.1	Ŋwosi sɔnɗì sariwa, Marii Madelɛn à pongà a zɔ̀ŋ rì tìrììriì, à ghɛn lɛ, gɔ̀g ìnɛ ì ɓaghà ɓi ŋwɔm wu zɔ̀ŋ ì ti m̀pisiyɛn. 
JHN.20.2	Fɔɔnnɛ à pɛ̀sɛ̀ngà rì mɛ̀ree, à kɛ̀n kì ghɛɛ̀ lɛ rì Simɔn Pyɛɛri, rì ǹ-yilàg àmbog ànɛ Yeesus àa nkeesàg, à kpaa ɓɔ lɛ: Ɓaa pisii Kan ɓi zɔ̀ŋ, nni tì yii ɓi fennɛ ɓaa foŋi nyi.
JHN.20.3	Nni Pyɛɛri ɓɛɛ̀ ǹ-yilàg àmbog ɓɛ pɛsɛ̀ngà ɓɛ kɛǹ a zɔ̀ŋ. 
JHN.20.4	Ɓɔɔ̀cèm ɓɛ kɛnkɛ̀ngà ɗì mɛ̀ree, kìɓan kifog, ǹ-yilàg àmbog à fyàgà Pyɛɛri ɓi mɛ̀ree, à log kì kpaŋì a zɔ̀ŋ ɗì nyi. 
JHN.20.5	Fɔɔnnɛ à laŋmɛ̀ngà lɛ a tɛg wɔɔ ɓi ɗùm, à ghɛn ɓɛ̀ɓanɗas ɓɛ̀ nɔ̀nɔŋiyɛn, wɔ̀lɛ à ɗiŋìghà ɓi ɓi zɔ̀ŋ. 
JHN.20.6	Nni Simɔn Pyɛɛri ànɛ à ɓaghày nyi ajɛ̀m à kpagà, à ɗiŋì ɓi zɔ̀ŋ, à ghɛn ɓɛ̀ɓanɗas ɓɛ̀nɔ̀nɔŋiyɛn, 
JHN.20.7	kìlàà ki ki ɓaghà Yeesus ɓi nto, kɛ̀ kɛɛ̀ ki ɓa jàŋbog rì ɓɛ̀ɓanɗas, kɔɔ ɓa kì takakɛn fɔlɔɔ ki nɔ̀ŋziyɛn yi kìpàs. 
JHN.20.8	Nni ǹ-yilàg àmbog ànɛ à lokà kìkpaŋì a zɔ̀ŋ, à ɗiŋìghà girig, à ghɛn à ki gherɛn. 
JHN.20.9	Lɛ ɓɛ̀yilàg ɓɛ ɓaghà di ɓɛ ka wog ɓi azi anɛ ɓi rìkàn ɗi ɗi kpaakpààghà lɛ ki ghɛɛ̀sɛ̀ngà lɛ Yeesus a ghemɓɛn yì a ɓìloŋ. 
JHN.20.10	Fɔɔnnɛ ɓɛ̀yilàg ɓɛ pɛsɛ̀ngà, ɓɛ sugtì a mɛɛ.
JHN.20.11	Marii à rɛrɛ̀lìghà ɓi dan, ǹwɔŋì rì zɔ̀ŋ, à renɗèn. Yɛ̀ɛ à rènɗengà, nni à laŋmɛ̀ngà lɛ a ghɛn zɔ̀ŋ ɓi ɗùm. 
JHN.20.12	Fɔɔnnɛ à ghɛngà ɓum ɓɛ titom ɓɛɓɛɛ̀, rì ɓìlàà ɓi puɓ, di ɓɛ kɔkɔrii ɓi jàŋ inɛ ɓɛ nɔŋzìghà kìloŋ ki Yeesus ɓɛ ki lɛ, roànɛ a nto, roàmbog a mɛ̀kòò. 
JHN.20.13	Ɓum ɓɛ titom ɓɛǹ ɓɛ tɔg nyi lɛ: Giɓ anɛ, cɛ u rènɗèn? Nyii ɓaàg ɓɔ lɛ: Ɓaa pisii Kan wɛ̀m nni mɛ̀ ǹ-yii ɓi jàŋ inɛ ɓaa foŋi nyi. 
JHN.20.14	Yɛ̀ɛ à kpaaghà fɔlɔɔ, nni à lɔ̀ɔ̀ghrɛ̀ngà, à ghɛn Yeesus ǹɗɛrɛriyɛn, kìɓan kifog, à yighà ɓi lɛ Yeesus yɛɛ ri. 
JHN.20.15	Nni Yeesus à tɔkà nyi lɛ: Giɓ anɛ, ɓi cɛnnɛ u rènɗèn? Ghɛn innɛ u kaakàà? Nyii fefèkà lɛ m̀ɓèŋì-dɛm yɛɛ ri. Fɔɔnnɛ à kpaaghà nyi lɛ: Kan! i wɔ̀ yaa pisii nyi fɛ, kali mɛ̀ jàŋ inɛ wàa foŋi nyi di mɛ̀ɛ nteɗ yì nyi. 
JHN.20.16	Yeesus à kpaa nyi lɛ: Marii! nni à lɔ̀ɔ̀ghrɛ̀ngà, à kpaa Yeesus ɓi rì ebìreegh lɛ: Ràɓunì! yɛɛlɔɔ lɛ ǹɗèsàg. 
JHN.20.17	Yeesus à kpaa nyi lɛ: Kɔ̀ɔ kòm mɛ, ɓisuulɛ ǹka ɓɔg ɓi yɛ̀ɛ Seŋi wɛ̀m; kìɓan kifog kɛ̀na a ɓɛ̀geni ɓɛ̀m, u kpaa ɓɔ lɛ m̀ɓɔɔgh yɛ̀ɛ Seŋi wɛ̀m, nnyɛɛ ri girig Seŋi wìn, yɛ̀ɛ Bɛ̀ll wɛ̀m, ànɛ à rì girig Bɛ̀ll wìn. 
JHN.20.18	Fɔɔnnɛ Marii madelɛn à kɛ̀ngà kì kpaà ɓɛ̀yilàg lɛ nyaa ghɛɛ Kan, ànɛ̀n à kpaa nyi ɓìɓan ɓi nyii kpaa ɓɛǹ ɓin.
JHN.20.19	Cɛŋkò ki ŋwosi sɔnɗì nyimiɗ anɛ̀n, mɛ̀suunaa mɛ ɓi naa ìnɛ ɓɛ̀yilàg ɓɛ ɓaghà wɔɔ ɓɛtaŋzɛn, mɛ ɓaghà mɛ̀rogakɛn lɛ, ɓɛ rirìsìghà Ɓɛ̀yudɛ̀n. Nni Yeesus à yùghà, à rɛlì ɓi nyìinyìm wàà, à kpaa ɓɔ lɛ: Fyòoog a ɓa rì mìni. 
JHN.20.20	Yɛ̀ɛ à kpaaghà fɔlɔɔ, nni à rèsìghà ɓɔ lɛ, rì ɓyàg ɓii, rì bèn yìì. Ɓɛ̀yilàg ɓɛ nyaàrɛ̀n yɛ̀ɛ ɓɛ ghɛngà Kan. 
JHN.20.21	Yeesus à ɓììtì ɓɔ kìkpaà lɛ: Fyòoog a ɓa rì mìni. Fɛlɛ yɛ̀ɛ Tààta à romgày mɛ̀, mɛ̀ ǹɗomi girig mìni. 
JHN.20.22	Lɔŋ yɛ̀ɛ à kpaaghà fɔlɔɔ, nni à fɛɓkà ɓɔ bɛ̀ɛ̀bɛ̀ɛ̀ ɓi nyoo, à kpaa ɓɔ lɛ: Terina Kìtɛntɛ̀ɛ̀n ki Nghay. 
JHN.20.23	Ɓum ɓɛ̀cèm ɓɛ ɓì ɓiì cenɛɛ ɓiɓe, ɓɛɛ̀ɓɛ ɓìɓe ɓyaa ɓi ri ɓiì ɓaà ɓì cenɛn, ɓɛ̀roɓɛ ɓì cenɛɛ ɓi ɓiɓe, ɓìɓe ɓyaa ɓi rɔɓ kɛ̀ɛ̀ rìcenɛ̀n.
JHN.20.24	Tomas ànɛ ɓɛ nɗegì lɛ Didim, kìbog ki ɓi ɓɛ̀yilàg ɓɛ Yeesus ntɛ̀ɗ rì ɓɛɓɛɛ̀, à ɓaghà ɓi wɔɔ cààmɛ̀n ki Yeesus à yùghày kiǹ. 
JHN.20.25	Nni ɓɛ̀yilàg ɓɛmbog ɓɛ kpaaghà nyi lɛ: Tyàa ghɛɛ Kan. Tomas à ɓàg ɓɔ lɛ: I ǹghɛɛ ɓi ɓifìlì ɓi tyɛmì ɓi ɓyàg ɓii, kɛ̀ɛ nki foŋ manàcàg wɛm̀ ɓi ɓìfìlì ɓi tyɛmì nsoò lɛ ǹfoŋ càg kɛm̀ ɓi bèn yìì, ǹ-yin lɛ ǹgherɛ̀n.
JHN.20.26	Ajɛ̀m ì mɛ̀ru taàraa, ɓɛ̀yilàg ɓɛ Yeesus ɓɛ ɓatìghà ɓɛ̀taŋzɛn ɓi naa, Tomas à ɓaghà wɔɔ ri ɓɔ. Mɛ̀suunaa mɛ ɓaghà mɛ̀rogakɛn, nni Yeesus à yùghày, à rɛlì ɓɔ ɓi nyìinyìm, à kpaa ɓɔ lɛ: Fyòoog a ɓa rì mìni. 
JHN.20.27	Fɔɔnnɛ à kpaaghà Tomas lɛ: Nàmay manàcàg wɔɔ̀ fɛ, ù ki ghɛn ɓyàg ɓyɛm̀; nàmay càg u kom̀ bèn yɛ̀m; kɔ̀ɔ teteɗ nyoey, gherɛn. 
JHN.20.28	Tomas à ɓàg nyi lɛ: Kan wɛ̀m, rì Bɛ̀ll wɛ̀m! 
JHN.20.29	Yeesus à kpaa nyi lɛ: Ù gherɛɛ ɓisuulɛ ù mɛ ghɛn mɛ? Mààgh rì ɓɛ̀roɓɛ ɓɛ gherɛ̀ngà ɓɛ̀ kɛɛ̀ ghɛn. 
JHN.20.30	Yeesus à kìtìghà dàm yi ɓiɓan yidɛŋ lɛɛ̀gwey ɓi mis mɛ ɓɛyilàg ɓii, yi yi yin fɛ yì kànɛn ɓi kaàtà ànɛ. 
JHN.20.31	Kìɓan kifog, gàɓ ìnɛ ì rì ǹkànɛn lɛ di ɓi gherɛn lɛ Yeesus à rì Kiris, Man à Bɛ̀ll, rì tì lɛ, i ɓì gherɛɛ, ɓì ɓa rì cɛɓ lɛ nyi.
JHN.21.1	Ajɛ̀m ìnɛn, Yeesus à rèsɛ̀ngà tì ɓɛ̀yilàg ɓii ɓi bèn ì rìɓày ànɛ a Tiɓeriyaadɛ.
JHN.21.2	Ɓɛ̀-Simɔn Pyɛɛri ɓɛɛ̀ Tomas ànɛ à rì ɗii lɛ, Didim, rì Natanayɛl ànɛ à rì ŋwaànɛ a Kana a Galile, rì ɓɔn ɓɛ Zeɓede, rì ɓɛ̀yilàg ɓɛ Yeesus ɓɛdɛŋ ɓɛ̀sɛ̀ɛ̀ ɓɛɓɛɛ̀ ɓɛ ɓaghà ǹɗaŋ. 
JHN.21.3	Simɔn Pyɛɛri à kpaa ɓɔ lɛ: Ǹkɛ̀ɛ kì pìigh dam. Ɓɛ̀roɓɛ̀n ɓɛ kpaa nyi lɛ: Ɓìsi girig, ti kɛ̀nkɛn nɗaŋ ɗi wɔ̀. Fɔɔnnɛ ɓɛ pɛsɛ̀ngà ɓɛ ɓɔg ɓi kìkɔm, wɔ̀lɛ ìru wìn, ɓɛ wolà ɓi com. 
JHN.21.4	Yɛ̀ɛ duri i tangà, nni Yeesus à rɛrɛ̀lìghà ɓi bèn ì rìɓày, kìɓan kifog ɓɛ̀yilàg ɓɛ̀ kɛɛ̀ yi lɛ Yeesus yɛɛ ri. 
JHN.21.5	Yeesus à kpaaghà ɓɔ lɛ: Ɓɔɓti ɓɛ! ɓì yin foo ri com ki ɗiyɛn? Ɓɛ ɓaàg nyi lɛ: Àg. 
JHN.21.6	À kpaa ɓɔ lɛ: Pìighna dam ɓi ɓɛg à kìkɔm à weèlem di fɔɔnnɛ ɓi ɓan ɓìzɛn. Nni ɓɛ pikà min dam, bee inɛ ɓɛɛ tug yì yɔ̀ yɛ̀ kɛɛ̀ ɓa ti, lɛ ɓìzɛn ɓi ɓaghà miì lɛɛ̀gwey. 
JHN.21.7	Fɔɔnnɛ ǹ-yilàg ànɛ Yeesus àa nkeesàg à kpaaghà Pyɛɛri lɛ: Kan yɛɛ ri. Lɔŋ yɛ̀ɛ Simɔn Pyɛɛri à wokà fɔlɔɔ, à pùrɛ̀n kìlàà, ɓisuulɛ à ɓaghà kìtòn zɛy, à kpì ɓi rìɓày. 
JHN.21.8	Nni ɓɛ̀yilàg ɓɛm̀bog ɓɛ yughày ɓi kìkɔm, di ɓɛɛ̀ syòŋsyoŋ yi dam ìnɛ ɓìzɛn ɓi ɓaghà miì lɛ pisa, ɓisuulɛ ɓɛ ɓiisɛ̀ngà ɓi ki ràɓsɛɛ ri ǹwɔŋì wu riɓày. Ǹwɔŋì wu riɓày wu ɓaghà di wu mɛ rɔ̀ɓ yi ɓɔ nunùg ɓɛ̀mità mɛ̀tin mɛtaǹ.
