MAT.1.1	Hên né dɔ̀gɔ̀tì bɔ̀ nùàr Yeésò *Kristò. À né *ndùté ndùtù Davîd; Davîd né ndùté ndùtù Abrahâm.
JHN.18.38	Pilátò ye bú a: «Gècên sâ né kei wa?»
JHN.18.38	Pilátò yeé bie gi aá bú mân, à yuo kela cuù ká cie, à nde ké yoòr bɔ̀ Jûf, ye bɔ́ a: «Njií mé béh nde né nùà hên teèn sie, mè dé mò ŋéné ŋgwéh. 
JHN.18.39	Dé tòù biì, faá bèh jomò nɔ, mè nde né bele. Né yeé cu dɔɔ́ŋ, mɔ Páskà nde aá feí, mè né yeé bí nùà gwà cibì cén déì yi njií. Sâ bí gwàn ŋgwéh ye mè a, yì njí bí mgbè bɔ̀ Jûf hên wa?» 
JHN.18.40	Bɔ́ ye bú a: «Hê ceè, té bú yì! Yì sér béh Barabâs!» Á sâ, Barabâs hèllè lé naá seêr nùà wúlá-feèh ndɔ.
JHN.19.1	Yeé baá môn, Pilátò ye bɔ́ wèh yùò mé Yeésò weèh, bɔ́ nde tegé bú núr. 
JHN.19.2	Bɔ̀ sɔ́jì nde fɔɔ́n wellê bɔ̀ ŋùàgà, bɔ́ beéh faá tàm nɔ, bɔ́ sulí kwaá bú felè, bɔ́ ye né tàm mgbè ma. Bɔ́ weh su kwaá bú cɔ̀gɔ̀ bèlè jùm mân yoòr faá cɔ̀gɔ̀ mgbè ndɔ. 
JHN.19.3	Bɔ́ né ká yoòr seèn cɔɔ́ ndeê, bɔ́ né bú mbaàn gbêg haá, bɔ́ ye bú a: «Sìè ŋgób, Mgbè bɔ̀ Jûf!» Bɔ́ né bú teèn bɔlé yií ndɔ.
JHN.19.4	Pilátò yuo kela cuù déì, ye cìlì nùàr a: «Bí ŋgwé: mè nde cuù né bí nùà hên ká cie weh haá njiî, te bí ŋene kɔ teèn, ye mè dé mò kwɔ̀m mé béh nde né bú teèn sie ŋéné ŋgwéh gùm dɔɔ́ŋ ma.» 
JHN.19.5	Yeésò yuo kelà ndɔ; à né ka mé tàm ŋùŋùàgà doô felè ménâ den den, à né mé cɔ̀gɔ̀ bèlè jùm doô yoòr ndɔ. Pilátò ye bɔ́ a: «À baá hên!»
JHN.19.6	Te bɔ̀ ŋgàŋ sèmè dé kokoô mé bɔ̀ sɔ́jì bɔɔ̀n yeé nde ŋene njií bú mân, bɔ́ bɔm su lom mé sòn cên dɔɔ́ŋ, ye: «Fágá njí lòm bú te toû dé fagâ! Fágá wúlá lòm bú fagà!» Pilátò ye bɔ́ a: «Bí ndé wèh fágá ká bú mé feh biì; mè dé mò kwɔ̀m nùà hên sieè ŋéné ŋgwéh gùm dɔɔ́ŋ.» 
JHN.19.7	Bɔ̀ Jûf ye bú a: «Béh né mé sóú teèn; kɔ à kuú faá sóú beèh tueé nê nɔ: à lé tueé naâ dé keì ye nyí né Ŋunà Càŋ wa?»
JHN.19.8	Te Pilátò yeé nde ŋgweé cu dé sâ mân, veéh sie ŋeí cu bú dé sieè. 
JHN.19.9	À yila nde cu ké lè bɔ̀gɔ̀, ye Yeésò a: «Wò yuoô he wa?» Mé njéh mene, Yeésò bú sòn kòmò ŋgwéh.
JHN.19.10	À den cuù, ye Yeésò a: «Wò mè sòn kòmò ŋgwéh wa? Wò kɔ́ ŋgwéh ye mè né mé terreb teèn wa? Mɔ mè ye yì njí wò, bɔ́ nde né wò yi; mɔ mè ye bɔ́ fágá wò fagà, bɔ́ nde né wò ter fagá njií ndɔ.» 
JHN.19.11	Yeésò ye bú a: «Mɔ Càŋ sé wò terreb felè mò há ná ŋgwêh, wò sé mé ndɔ̀gɔ̀ terrèb déì felè mò teèn ná ŋgwêh ndɔ. Mɔ né mân, sâ nuaá mé sie haá njií naâ mè beè yeè, veên dé seèn maga kela né kɔɔ́.»
JHN.19.12	Yeé baá môn, Pilátò lege lom aá ye te nyí yi njií bú yiì. Njèh cén, bɔ̀ Jûf né lom ké ter tueé lɔgɔ́ njií, ye bú a: «Mɔ wò yi njií nùà hên, sâ wò mbeí mgbè *Sesâr sam. Ŋgweéh wò né kɔɔ́, nuaá mé tì felè seèn lobo né mé be seèn dɔɔ́ŋ, né yeé nùà bùnò Sesâr wa?»
JHN.19.13	Te Pilátò yeé nde ŋgweé njií aá dé sâ mân, à ye bɔ́ ndé sɔ̀m kéh njî Yeésò ká cie; à nde den nde bèh ju tenâ. Bèh sâ bɔ́ te kwaá né bɔ̀ taá mbembalê mân doó; bɔ́ yilá né bèh sâ: Gàbátà, te ju *hebreêh. 
JHN.19.14	Lé naâ loù nàŋ
JHN.19.15	Bɔ́ yeé nde ŋene ménâ, bɔ́ tueé njií ké ter ye: «Wúwulà! Wúwulà! Fágá njí bú te toû!» Pilátò ye bɔ́ a: «Mè te toû fágá njí mgbè biì wa?» Bɔ̀ ŋgàŋ sèmè dé kokoô ye bú a: «Mgbè beèh gi lom né Sesâr.» 
JHN.19.16	Yeé baá môn, Pilátò haá njií bɔ́ Yeésò, te bɔ́ nde bú fagá sâ. Bɔ́ cab sie bú ndɔ, bɔ́ yuo mé bú.
JHN.19.17	Yeésò jɔgɔ sie toú mé bɔ́ nde né bú teèn fagá ndɔ, bɔ́ bɔ́ nde mé njéh ké bèh mé bɔ́ yilá né: Geba feèh. Te ju *hebreêh né Gɔ́lgɔ́tà. 
JHN.19.18	Wa ké teèn, bɔ̀ sɔ́jì faga njií Yeésò te toû ndɔ. Bɔ́ faga kwaá cu bɔ̀ nuaré déì kwarè seèn fà, dé kàn te toú seène, cén déì kèb déì, cén déì kèb déì ndɔ, Yeésò lètenè.
JHN.19.19	Pilátò ye, bɔ́ nyàgà fágá kwá njeré déì teèn; bɔ́ nyagá kwaá baá-re teèn ye: «Yeésò nùà Najarêt, Mgbè bɔ̀ Jûf.» 
JHN.19.20	Bɔ̀ Jûf kókoó mbaá jaŋé ŋene gi môn. Lòù sam, bèh mé bɔ́ lé fagà naâ Yeésò teèn sâ, lé naâ kwarè lɔɔ̂; bɔ́ lé nyagá naâ njií sâ mé ju hebreêh, ju latên, mé ju greêk. 
JHN.19.21	Bɔ̀ *ŋgàŋ sèmè dé kokoô yeé ŋene aá ménâ, bɔ́ ye Pilátò a: «Té bú mgbè bɔ̀ Jûf nyàgà kwá; nyàgà sér ye: nùà hên ye nyí né mgbè bɔ̀ Jûf ma.» 
JHN.19.22	Pilátò ye bɔ́ a: njií mé nyí nyagá baá, nyagá gi aá kèn.
JHN.19.23	Bɔ̀ sɔ́jì yeé faga sɔm aá Yeésò, bɔ́ weh bɔ̀ cɔ̀gɔ̀ seèn, bɔ́ geé bèh nèà, sɔ́jì dé kàn weh cén. À lé naâ mé cɔ̀gɔ̀ suù déì teèn, bɔ́ bú lòù sá ŋgwéh, bɔ́ dé sâ colo né lòù. 
JHN.19.24	Bɔ̀ sɔ́jì yila lètenè bɔɔ̀n tueé kuû ye: «Béh té bú lòù sìè ŋèrrè sɔ̀m, béh vú sér mé bèì, te nùà cén yieé weh lòù.» Sâ dɔɔ́ŋ bɔɔ́ gi né te yuo faá bɔ́ lé nyagá kwaá naâ te mvù Càŋe nɔ, ye:
JHN.19.24	«Bɔ́ geé weh gi aá cɔ̀gɔ̀ mò lètenè bɔɔ̀n,
JHN.19.24	bɔ́ vu yieé weh cu cɔ̀gɔ̀ mò déì mé bèì ndɔ.»
JHN.19.24	Hên né njií mé bɔ̀ sɔ́jì lé bɔɔ́ naâ.
JHN.19.25	Sâ meì Yeésò bɔ̂ bei mé Marî veèh Kelopâs, bɔ̂ Marî Magdalâ né ké kwarè toú fagâ doô njebá den. 
JHN.19.26	Yeésò ke njií meí ndɔ, à ŋene njií mbɔ̀ŋ dé mé temé seèn dɔɔ́ŋ né gi yoòr seèn doô yí kwarè meî, ye meí a: «Ma, ŋuna yeè baá sâ.» 
JHN.19.27	À tueé njií mé mbɔ̀ŋ doô ndɔ, ye bú a: «Meí yeè sâ ndɔ.» Sâ baá bèh mé mbɔ̀ŋ doô weh kwaá njií baá bú yoòr teèn.
JHN.19.29	Sâ sɔɔ̀ mbè tanê déì né kwarè sâ ndɔ. Bɔ̀ sɔ́jì déì yeé ŋene aá ménâ, bɔ́ weh fùlù, bɔ́ yií njií te mbè tanê doô, bɔ́ feéh kwaá te tapè, bɔ́ tiím cie njií bú ké sònò. 
JHN.19.30	À yeé naga ke aá, ye: «Jegé baá!» À doóm njií feh doó, à kuú yuo ndɔ.
JHN.19.31	Loù sâ lé naâ nàŋ
JHN.19.32	Pilátò yeé gwaán aá, bɔ̀ sɔ́jì nde ké teèn ndɔ. Bɔ́ jɔ̀gɔ̀ kwalé sɔm lɔgɔ̂ ŋgeéh nùà toò jɔ̀gɔ̀ mé bɔ́ faga kwaá naâ kwarè Yeésò doô, bɔ́ kwalé sɔm dé mbeî ndɔ. 
JHN.19.33	Bɔ́ yeé nde aá dé Yeésò kwalé, bɔ́ ŋene à kuú aá, bɔ́ dé seèn kwálé cú. 
JHN.19.34	Mé njéh mene, sɔ́jì cén déì lé naâ gwaga weh, à sie lɔgɔ́ bú kwar mé njéh. À yeé sie lɔgɔ́ aá, húɔ́m bɔ̂ nòmò kwaré yuo kelà teèn ndɔ. 
JHN.19.35	Hên tueé den né nuaá mé lé naá giì bɔ̀ njií sâ mé njolo ŋené, né ka nág faá bèh sâ nɔ. Nùà hên né kɔɔ́ ye nyí tueé lom né gècên; à tueé né bí ménâ te bí kwaá njií temé teèn, ye né lom môn ndɔ.
JHN.19.37	Beré déì né cu te mvù Càŋe nyagá den ndɔ, ye: «Nuaá mé bɔ́ lé sie lɔgɔ́ naâ kwar doô, bɔ́ nde né bú bilí ke.»
JHN.19.38	Jomo sâ Josêf nùà Arimatê déì nde Pilátò komó Yeésò dua. Josêf sâ lé naâ mbɔ̀ŋ Yeésò cén déì ndɔ. Njèh cén, à lé leér gɔ beéh dé seèn lòù, à né bɔ̀ Jûf veéh. À yeé dua baá ménâ, Pilátò gwaán. Josêf nde jɔgɔ weh baá-re komó doô, à nde mé njéh. 
JHN.19.39	Níkòdêm, nuaá mé lé nab ndeè naâ ké yoòr Yeésò cíbíteèn doô, waà kwa Josêf ndɔ. À waà dé seèn mé bɔ̀ toú lèh
JHN.19.40	À yeé waà baá, bɔ̂ Josêf bilí baá-re nùà fà, bɔ́ weh cɔ̀gɔ̀ wulésé mân, bɔ́ waga nyegé komó Yeésò mé njéh, bɔ́ né bɔ̀ lèh sâ teèn waá njií, faá bɔ̀ Jûf waá yeé nɔ. Mɔ bɔ́ nde aá nùàr furú, bɔ́ waá yeé ménâ.
JHN.19.41	Sâ ké bèh mé bɔ́ lé fagà naâ Yeésò teèn sâ, ŋueèh sɔgɔ̀ déì lé naâ teèn. Sà feésé mân lé naâ ké ŋueèh sâ ndɔ, bɔ́ lé née nuaré déì teèn fùrù lɔ́gɔ́ ŋgwéeh ye. 
JHN.19.42	Ŋueèh sâ né bèh dìdì mân. Bɔ́ yeé ke, cibí nde aá yilí, *Páskà bɔ̀ Jûf nde aá bɔ́ mé njéh beè kwa lɔɔ́, bɔ́ nde jɔgɔ furú njií Yeésò teèn.
JHN.20.1	Yeé baá mé sɔ́ndè toò cieê, Marî Magdalâ komo nde ké te sàa ndɔ. À wa, sâ taá mé bɔ́ lé colo kwaá naâ sònòbɔ̀ doô ŋgeré nde aá gè jomo. 
JHN.20.2	À ŋar cu cuù ká jomo mé doò, à nde kwa Simɔ̂ŋ Piêr bɔ̂ mbɔ̀ŋ dé mé temé Yeésò né lom yeé yoòr seèn doô, ye bɔ́ a: «Bɔ́ mé komó Fehtoò beèh sɔm nde aá kèn, ké te sà sam cuú. Béh kɔ́ cú bèh mé bɔ́ kwaá né teèn.»
JHN.20.3	Piêr bɔ̂ mbɔ̀ŋ doô nde ké te sà ndɔ; 
JHN.20.4	bɔ́ dula nde den ka teter ménâ, te wa ké toò déì dula kela keéh ye mbeí; dé sâ wa lɔgɔ̂ ké te sà kɔɔ́ mé Piêr. 
JHN.20.5	À wa ké teèn, à geér ke njií gè dòù, à ŋene njií bɔ̀ cɔ̀gɔ̀ wuwulê doô né doó gurú den, à gè teèn yílá ndé ŋgwéh.
JHN.20.6	Simɔ̂ŋ Piêr dula waà jomo, à yila kela nde lom dé seèn gè dòù dé yilâ, à wa, à ke bɔ̀ cɔ̀gɔ̀ wuwulê doô baá gi doó den den, 
JHN.20.7	mé mbán cɔ̀gɔ̀ dé mé bɔ́ lé vuɔb kwaá naâ Yeésò sònò doô mene. Sâ dé sâ né dé seèn hiín keéh den.
JHN.20.8	Jomo sâ mbɔ̀ŋ dé mé la dula wa lɔgɔ́ naâ ké te sà kɔɔ́ doô, yila bele ye bú. À yeé ŋene aá ménâ, à kwaá njií ye temé teèn, ye Yeésò komo yuo aá kèn. 
JHN.20.9	Sâ bɔ̀ mbɔ̀ŋ lé née bɔɔ̀n mvù Càŋ ŋgwé kòmò ŋgwéeh ndɔ, ye Yeésò nde cu né lè cio komo yuo. 
JHN.20.10	Jomo sâ bɔ̀ mbɔ̀ŋ fà doô cu cu ké lɔ bɔɔ̀n.
JHN.20.11	Marî né ka dé seèn ká cie sònò sà yueé den, à né yueé, á né gè dòù gimé ke njií. 
JHN.20.12	À yeé ke, bɔ̀ cìlì Càŋ déì fà, mé cɔ̀gɔ̀ wuwulê mân yoòr, né gè dòù den den; déì ké felè, déì ké gulè bèh mé komó Yeésò la cer deén naâ teèn doô. 
JHN.20.13	Bɔ̀ cìlì Càŋ doô bie njií ye bú a: «Dé vêh, wò yueé né kei wa?» Ye bɔ́ a: «Bɔ́ jɔgɔ weh aá Fehtoò mò, mè kɔ́ ŋgwéh bèh mé bɔ́ kwaá njií né bú teèn.»
JHN.20.14	À yeé tueé sɔm aá mân, à bele seér, à ŋene njií Yeésò ndɔ, sâ Yeésò baá doó sâ njebá den; njèh cén, Marî ŋéné kɔ́ cú ye né bú. 
JHN.20.15	Yeésò bie njií cu ye bú a: «Dé vêh, wò yueé né kei wa? Wò fɔɔ́n yeé neì ndɔ wa?» Ma doô ye merré déì né nùà ŋueèh, à tueé njií mé bú ndɔ, ye bú a: «Dé koô, mɔ wò jɔgɔ sɔɔ́m naâ bú kɔɔ́, fèh mè bèh sâ teèn, te mè nde jɔgɔ weh bú.» 
JHN.20.16	Yeésò ye bú a: «Marî.» À bele seér, à ke njií bú ndɔ, ye bú a: «Rabúnì!» Mé ju *hebreêh sâ tueé né ye: Njí ndêb.
JHN.20.17	Yeésò ye bú a: «Té mè sìè lɔ́; mè née ké yoòr Tele mò ŋá ŋgwéeh ye. Ndé júée bɔ̀ nùàr mò a: mè ŋaá nde aá ké yoòr Tele mò mé né Tele biì ndɔ ma, ké yoòr Càŋ mò mé né Càŋ biì ndɔ ma.» 
JHN.20.18	Marî Magdalâ nde lom baá-re bɔ̀ mbɔ̀ŋ ménâ tueé, ye bɔ́ a: «Mè ŋene aá Fehtoò beèh mé njolo!» Jomo sâ à tueé bele bɔ́ njií mé à tueé naâ bú ndɔ.
JHN.20.19	Né cu ka loù sɔ́ndè cên sâ liyilì mân, sâ bɔ̀ mbɔ̀ŋ né te gwà déì bilí den, bɔ́ ferá né hin lòù, bɔ́ né bɔ̀ Jûf veéh. Bɔ́ yeé baá gwò den den, Yeésò ŋené yuo kelà lètenè bɔɔ̀n ndɔ, ye bɔ̀ a: «Dɔlê a, dèn mé bí!» 
JHN.20.20	À yeé tueé sɔm aá dé sâ, à feh keéh bɔ́ be mé kwar seèn ndɔ. Bɔ̀ mbɔ̀ŋ yeé nde ŋene njií cu Fehtoò bɔɔ̀n mân, njií ye bɔ́ a, sàmè kú lòm mé vɔ́gɔ́-temé lòù. 
JHN.20.21	À den cuù, ye bɔ́ a: «Dɔlê a, dèn mé bí! Mè tema né bí faá Tele mò lé temà naâ mè nɔ.»
JHN.20.22	À yeé tueé gi aá ménâ, à fam njií bɔ́ cúcuí yoòr, ye bɔ́ a: «Bí wèh Cúcuí Ŋagâ. 
JHN.20.23	Bɔ̀ɔ́ mé bí nde né veên bɔɔ̀n doó kulú njií, Càŋ nde né bɔ́ mé njéh kulú sɔm gií. Mɔ bí veên bɔɔ̀n doó kúlú njí ŋgwéh, Càŋ bɔ́ mé njéh kúlú sɔ̀m ndé ŋgwéh ndɔ.»
JHN.20.24	Sâ cu mé Yeésò la waà naâ doô, cén déì lètenè bɔ̀ mbɔ̀ŋ la doó ná ŋgwêh. Naâ Tomâs mé bɔ́ yilá né Huaán feèh doô. 
JHN.20.25	Bɔ̀ mbɔ̀ŋ déì yeé baá tueé ye bú a: béh la naâ Fehtoò beèh ŋené mân, à saán seér cu lòù, ye bɔ́ a: «Mɔ mè bú mé bàŋ kusà beè ŋéné ŋgwéh, mè mé be kèmà ŋéné ŋgwéh, mè bú kwar kèmà ŋéné ŋgwéh ndɔ, sâ mè temé teèn kwá njí ndé ŋgwéh.»
JHN.20.26	Sɔ́ndè cén yeé kela baá, bɔ̀ mbɔ̀ŋ seèn baá cu ké gwò bilí den. Mé loù sâ Tomâs baá teèn. Bɔ́ ferá cu né ka hin lòù ndɔ. Bɔ́ yeé ke, Yeésò ŋené yuo kela cuù aá lètenè bɔɔ̀n, ye bɔ́ a: «Dɔlê a, dèn mé bí!» 
JHN.20.27	À tueé njií mé Tomâs ndɔ, ye bú a: «Kèmà njî nyɔ̀gɔ̀ beè yeè ká toò, kè be mò sâ hên; kèmà kè kwar mò sâ hên ndɔ. Kwá lɔ́ saân yeè doô ménâ, gwàn lòm dé gwaân!» 
JHN.20.28	Tomâs ye bú a: «Fehtoò mò, wò né Càŋ mò!» 
JHN.20.29	Yeésò ye bú a: «Ŋgweéh wò yeé ŋene aá mè, wò baá ye gwaán mà. Mè tueé wò, bɔ̀ɔ́ mé kwaá njií keéh né temé yoòr mò dé kwaâ, mé née mè ŋéné ŋgwéeh ye, bɔ̀ sâ bɔ̀ nde né samé.»
JHN.20.30	Sâ Yeésò lé naá cuù bɔ̀ fém déì toò bɔ̀ mbɔ̀ŋ seèn bɔɔ́ ndɔ; lé naá loôm ŋgún. Bɔ̀ sâ bɔ̀ te mvù hên nyàgà yùò kélá ŋgwêh lòù. 
JHN.20.31	Te mvù hên nyagá den lom né bɔ̀ hên bɔ̀, te bí kwaá njií temé teèn, ye *Nùà Cɔ̀ŋ né Yeésò, Ŋunà Càŋ né bú ndɔ; mɔ bí né temé ménâ kwaá njií, te bí kwa ye yɔ̀ŋ te yilí seèn ndɔ.
JHN.21.1	Yeé cer weh aá, Yeésò nde ŋené yuo kela cuù toò bɔ̀ mbɔ̀ŋ seèn; lé naâ ké sòn tub Tiberiâde.
JHN.21.2	Sâ Simɔ̂ŋ Piêr bɔ̂ Tomâs mé bɔ́ yilá né Huaán feèh doô né kɔɔ́. Bɔ́ bɔ̀ Natanaêl nùà Kánà ké Galilê, mé bɔ̀ ŋunà Jebedê, bɔ́ bɔ̀ mbɔ̀ŋ Yeésò fà déì né kɔɔ́ ndɔ. 
JHN.21.3	Simɔ̂ŋ Piêr ye bɔ́ a: nyí nde aá bèh ndoór vuû ma. Bɔ́ ye bú a: «Béh bí nde nde né kɔɔ́.» Bɔ́ yuo dɔɔ́ŋ, bɔ́ nde yila kɔm ndɔ. Njèh cén, bɔ́ nde koró ŋaga kuú mé ndoór dé lòù.
JHN.21.4	Cieé yeé baá kɔ ŋagá, Yeésò ŋené yuo kelà yí sòn nòmò; mé njéh mene bɔ̀ mbɔ̀ŋ ŋéné kɔ́ ŋgwéh ye né bú. 
JHN.21.5	À tueé njií mé bɔ́ ndɔ, ye bɔ́ a: «Bí naâ ŋgò sie kwa wa, bɔ̀ ndà?» Bɔ́ ye bú a: «Béh njeré déì sìè kwà ŋgwéh gùm dɔɔ́ŋ.» 
JHN.21.6	Ye bɔ́ a: «Bí vú njí sér ndoór sâ kwarè kɔɔ̀m, kèb be gaâ mân, te bí sie kwa bɔ́ teèn.» Bɔ́ vu njií môn ndɔ. Bɔ́ yeé tulu, dé tuluù sam cuú; sâ ŋgò yuú kela né lè lòù. 
JHN.21.7	Mbɔ̀ŋ dé mé temé Yeésò né gi yeé yoòr seèn doô, ye Piêr a: «Né Fehtoò beèh.»
JHN.21.7	Te Simɔ̂ŋ Piêr yeé nde ŋgweé njií, ye né Fehtoò bɔɔ̀n mân, à weh su njií lom cɔ̀gɔ̀ yoòr, à die lobo yila dùà. Sâ, à la naâ kèb déì luŋturu. 
JHN.21.8	Bɔ̀ mbeí tulu nde mé ndoór ŋgò deí doô yí te kɔme ndɔ; sâ le aá njèh métà yuií, te wa yí sòn ŋgɔ̀m.
JHN.21.9	Bɔ́ wa yí teèn, bɔ́ suaga die doó, bɔ́ ŋene we né ŋgie den, ŋgò né tuar, mé breêd teèn. 
JHN.21.10	Yeésò ye bɔ́ a: «Bí wèh ndê mé ŋgò mé bí la sieé naâ sâ kèb déì teèn.» 
JHN.21.11	Simɔ̂ŋ Piêr ŋaá yila te kɔme, à tulu kwaá njií ndoór ŋgò deí doô ká cie ndɔ: ŋgò né lom bɔ̀ ŋgò kokoô, kokoô mân. Ŋgò sâ dɔɔ́ŋ lé naâ yuií mé yulà tîn cùɔ̀b tagár. Bɔ́ né mene kókoó, mé njéh mene, ndoór doô beré déì téné nyì ŋgwéh. 
JHN.21.12	Yeésò ye bɔ́ a: «Bí ndê yáb yíé.» Mbɔ̀ŋ dé mé nde cu né bieé nyi, ye bú a: né wò neì wa, lé teèn ná cû. Nùà kàn lé baá giì lè seèn kɔɔ́ ye né Nùà Dueè. 
JHN.21.13	Yeésò njebá nde yí teèn, weh breêd doô, haá njií bɔ́; à haá bɔ́ ŋgò doô ndɔ.
JHN.21.14	Hên baá dé mbei tagâr mé Yeésò yeé komo yuo aá te cio, à ŋené yuo kela cuù toò bɔ̀ mbɔ̀ŋ seèn teèn.
JHN.21.15	Bɔ́ yeé yieé gi aá, Yeésò ye Simɔ̂ŋ Piêr a: «Simɔ̂ŋ, ŋunà Jâŋ, wò gwaán kela né mè kɔɔ́ mé bɔ̀ hên bɔ̀ wa?» Simɔ̂ŋ ye bú a: «Né môn Fehtoò mò, wò né gi kɔɔ́, ye mè né nyí gwaán.» Yeésò ye bú a: «Kó nyégé bɔ̀ huaán mbieè mò bagasé»
JHN.21.16	À den cuù, ye bú a: «Simɔ̂ŋ, ŋunà Jâŋ, wò né mè gwaán wa?» Simɔ̂ŋ ye bú a: «Né môn Fehtoò mò, wò né gi kɔɔ́, ye mè né nyí gwaán.» Yeésò ye bú a: «Kè nyégé bɔ̀ mbieè mò bagasé.»
JHN.21.17	À den cuù dé mbei tagâr, ye bú a: «Simɔ̂ŋ, ŋunà Jâŋ, wò né mè gwaán wa?» Piêr gwaán mierré seér aá mé dé mbei tagâr hên lòù, ye bú a: «Fehtoò mò, hên njèh dɔɔ́ŋ seèn kɔ gi né wò, wò yeè kɔ gi né kpɔ̂g, ye mè né nyí gwaán!» Yeésò ye bú a: «Kó nyégé bɔ̀ mbieè mò bagasé.»
JHN.21.18	Jomo sâ, ye bú a: «Mè né tueé ye wò a, cu mé wò lé naâ ndà, wò lé tene cam beéh mé be yeè, wò né bèh mé wò né gwaán keéh ndeé ndɔ. Mɔ wò ndeè kulí baá kèn, wò sɔm njií nde aá mbagá ter lòù, nuaré déì cam kwaá wò beè; à derré njií wò bèh mé wò kɔɔ́ gwàn ndé ŋgwéh, wò nde seér teèn.»
JHN.21.19	Sâ Yeésò ménâ tueé kwaá né bú gèh cio mé à ndeè nde né kuú, te terreb Càŋ ŋené yuo kelà cie teèn. Jomo sâ à ye bú a: «Bèlè mè ndɔ!»
JHN.21.21	Piêr yeé ŋene aá bú ménâ, à bie njií ndɔ, ye Yeésò a: «Á, dé mbɔ̀ŋ hên nɔ, Fehtoò mò, kei kwa nde né bú dé seèn kɔɔ́?» 
JHN.21.22	Yeésò ye bú a: «Mɔ mè gwaán mene ye bú a, dèn lè làŋ, kɔ mè ndeè cuù baá, dé sâ yulá né wò he wa? Bèlè lòm dé yeè mè!»
JHN.21.23	Njàgà hèllè ŋgulí ka nde seér baá-re lètenè bɔ̀ mbeî hiín mbaá, ye: mbɔ̀ŋ dé sâ dé seèn kú ndé cú. Á sâ, Yeésò lé túé ná ŋgwêh ye Piêr a: mbɔ̀ŋ sâ dé seèn kú ndé cú. À lé tueé seér naâ ye bú a: mɔ nyí gwaán mene ye bú a, dèn lè làŋ, kɔ nyí ndeè cuù baá, dé sâ yulá né wò he wa? 
JHN.21.24	Né mbɔ̀ŋ bú sâ tueé né bɔ̀ njií mé lé kelà naâ sâ kɔɔ́, à nyagá kwaá gi aá bɔ́ ter ndɔ. Béh kɔ né ye, à tueé lom né njèh gècên.
JHN.21.25	Bɔ̀ njií mé Yeésò lé bɔɔ́ giì naâ née cu kókoó mbaá ye. Mɔ bɔ́ sé ye bɔ́ nyagá kwaá gi te mvù cécéné cécéné dɔɔ́ŋ, mè tueé bí, mvù sé naâ wɔ́ŋ dɔɔ́ŋ beè yuú berré sie.
ACT.1.1	lè mvù mò dé toò jɔ̀gɔ̀ mè lé naâ dɔ̀gɔ̀tì seé Yeésò, mé bɔ̀ njèh feèh seèn dɔɔ́ŋ teèn tueé, yuoô ké bèh duɔɔ̂m, 
ACT.1.2+ACT.1.3	nde wa lè cieé mé à lé ŋaá cuù naâ ké te vulúu teèn. Cu mé à lé naâ ká lè wɔ́ŋe, à lé naâ kuú, à komo yuo cu. Jomo sâ à ŋené yuo kelà toò bɔ̀ mbɔ̀ŋ tebê mé à lé naâ balé kwaá. Te cieé yulà nèà à né toò bɔɔ̀n mé bèh hihiné ŋené yuo kelá bele, te bɔ́ kɔ nyegé bagasé ye nyí baá cu làŋ. À né bɔ́ ndéb mé terreb Cúcuí Ŋagâ leéb, à né bɔ́ felè *Lò Càŋ se.
ACT.1.5	Bí kɔ́ɔ ye, Jâŋ lé bɔ̀ nùàr koú naâ mé nòmò. Cieé màgà ndé cú, mè kou seér nde né bí mé Cúcuí Ŋagâ.»
ACT.1.6	Bɔ́ bɔ́ yeé baá cu bècénè, bɔ́ ye bú a: «Fehtoò beèh, hên baá cieé mé wò bɔɔ́ nde né te béh bɔ̀ *Iserálà den cu mé feh beèh teèn wa?» 
ACT.1.7	Yeésò ye bɔ́ a: «Dé sâ ju biì sam, né ju Tele mò; né mene cieé, né mene cu, dɔɔ́ŋ né gi beè Tele mò. 
ACT.1.8	Dé biì, Cúcuí Ŋagâ ndeè né ter suagâ, kema bí, te bí kwa ye terreb, bí nde tueé den sòn mò. Bí sòn mò tueé duɔɔ́m nde né ká Jerusalem, bí tueé nde mé njéh kukwarè te tàbè Judê dɔɔ́ŋ, bí né te tàbè *Samarî tueé, bí túé ndé mé njéh bèh mé tàbè bɔ̂ vulú né teèn kwaré dɔɔ́ŋ ndɔ.»
ACT.1.10	Bɔ́ né ké ter ke den. Bɔ̀ nuaré déì fà kar yuo kelà kwarè bɔɔ̀n mé cɔ̀gɔ̀ wuwulê yoòr, 
ACT.1.11	bɔ́ né sònò tueé ye: «Bí bɔ̀ Galilê bɔ̀, bí ké te vulúu njebá ke den né dé keì? Yeésò mé né ké te vulúu njolò biì komo ŋaá hên, suaga cuù nde né loù sâ, nág faá à la naâ njolò biì ŋaá nɔ.»
ACT.1.12	Jomo sâ bɔ̀ mbɔ̀ŋ tebê suaga yila cu ké Jerusalem ndɔ. Yuoô ké te tòr mé bɔ́ yilá né tòr Oliviê sâ nde ké lɔ, bɔɔ́ né njèh kílòmétà cén. 
