GEN.1.1	Sa ginsugoran gintuga sang Dios ang kalangitan kag ang duta.
2CH.7.11	Madinalag-on nga natapos ni Haring Solomon ang Templo kag ang palasyo suno sa iya tanan nga plano para sa sini. 
2CH.7.12	Dayon ang 
2CH.7.13	Kon indi ako magpadala sang ulan, ukon magpadala sang mga apan sa pagkaon sang mga patubas, ukon magpadala ako sing pamalatian sa akon mga tawo, 
2CH.7.14	nga akon gintawag nga akon, kon magpangamuyo sila sa akon kag maghinulsol, kag magbiya sa mga malauton nga ila ginahimo, dayon pamatian ko sila gikan sa langit, patawaron ko ang ila mga sala, kag himuon ko nga mapatubason liwat ang ila duta. 
2CH.7.15	Bantayan ko ini nga Templo kag manginhanda sa pagpamati sang tanan nila nga mga pangamuyo nga ginahimo diri. 
2CH.7.16	Ginpili ko ini nga templo kag ginpakabalaan subong isa ka lugar sa diin ako pagasimbahon sa wala sing katapusan. Bantayan kag apinan ko ini sa tanan nga tion. 
2CH.7.17	Kon mag-alagad ka sing matutom sa akon subong sang ginhimo sang imo amay nga si David, nga nagatuman sang akon mga kasugoan kag nagahimo sang tanan nga butang nga akon ginsugo sa imo, 
2CH.7.18	tumanon
2CH.7.19	Pero kon ikaw kag ang imo mga tawo indi magtuman sa akon mga sugo kag mga mando nga ginhatag ko sa imo, kag magsimba sa iban nga mga dios, 
2CH.7.20	dayon tabugon ko kamo sa duta nga ginhatag ko sa inyo, kag bayaan ko ini nga Templo nga akon ginpakabalaan subong lugar sa diin ako pagasimbahon. Ang mga tawo bisan diin magayaguta kag magatamay sini.
2CH.7.21	“Karon daku gid ang pagpasidungog sa Templo, pero sa ulihi ang tagsatagsa nga magaagi sini matingala kag magapamangkot, ‘Ngaa bala ginhimo ini sang 
2CH.7.22	Ang mga tawo magasabat, ‘Tungod kay ginsikway nila ang 
2CH.8.1	Ginpatindog ni Solomon ang Templo kag ang iya palasyo sa sulod sang baynte ka tuig. 
2CH.8.2	Ginpakaayo man niya ang mga siudad nga ginhatag sa iya ni Haring Hiram kag ginpaestaran niya ini sa mga taga-Israel. 
2CH.8.3	Gin-agaw niya ang mga kadutaan sang Hamat kag Soba, 
2CH.8.4	kag ginpamakuran ang siudad sang Palmira sa desierto. Ginpakaayo niya ang tanan nga mga siudad sang Hamat nga amo ang nabutangan sang mga bodega. 
2CH.8.5	Ginpakaayo man ni Solomon ang masunod nga mga siudad: ang Naibabaw kag ang Naubos nga Bet-horon nga napamakuran nga mga siudad nga may mga pwerta nga sarang mapintalan, 
2CH.8.6	ang siudad sang Baalat, tanan nga mga siudad nga nabutangan sang mga bodega, kag ang mga siudad sa diin ang iya mga kabayo kag mga karwahi ginabutang. Ginhimo niya ang tanan niya nga mga plano sa pagpatindog sa Jerusalem, sa Libano, kag sa bug-os nga kadutaan nga iya ginagamhan. 
2CH.8.7+2CH.8.8	Ginpilit ni Solomon sa pag-obra ang tanan nga mga kaliwatan sang mga tawo sang Canaan nga wala ginpamatay sang mga Israelinhon sang pag-agaw nila sang duta. Ini sila nagalakip sang mga Hethanon, Amornon, Peresnon, Hevhanon, kag sang mga Jebusnon nga ang ila mga kaliwat nagapadayon nga mga ulipon tubtob sini nga adlaw. 
2CH.8.9	Wala niya pagpilita ang mga Israelinhon sa pag-obra kundi ginhimo niya sila nga iya mga soldado, mga opisyales, mga pangulo sa mga karwahi, kag mga manugkabayo. 
2CH.8.10	Si Solomon may 250 ka mga opisyales nga gintugyanan agod piliton ang mga tawo sa pag-obra sa nagakalainlain nga mga bulohaton.
2CH.8.11	Gindala ni Solomon ang iya asawa, nga anak sang hari sang Ehipto halin sa Siudad ni David pakadto sa balay nga iya ginpatindog para sa iya. Nagsiling si Solomon “Indi sia dapat mag-estar sa palasyo ni Haring David sang Israel, tungod kay balaan ang kada lugar sa diin ginbutangan sang Kaban sang Kasugtanan.”
2CH.8.12	Si Solomon nagdulot sing mga halad sa 
2CH.8.13	Nagdulot
2CH.8.14	Sa pagtuman sang mga pagsulondan nga ginbilin sang iya amay nga si David, ginhatagan niya sing bulohaton ang mga pari adlaw-adlaw, kag ang mga Levita nga nagabulig sa mga pari sa pagkanta kag sa paghimo sang ila mga bulohaton. Amo man ang iya ginhimo sa mga gwardya sa Templo, sa pagtuman sang ila mga katungdanan adlaw-adlaw sa tagsa ka pwerta, suno sa mga sugo ni David, ang tawo sang Dios. 
2CH.8.15	Ang mga pagsulondan nga ginhatag ni David sa mga pari kag sa mga Levita nahanungod sa mga bodega kag sa iban nga mga bagay gintuman gid tanan.
2CH.8.16	Sa amo nga tion ang tanan nga mga bulohaton ni Solomon natapos. Halin sa pagpasad sang sadsaran sang Templo sang 
2CH.8.17	Dayon si Haring Solomon nagkadto sa Eziongeber kag sa Elat, ang mga pantalan sa Baybayon sang Aqaba, sa duta sang Edom. 
2CH.8.18	Si Haring Hiram nagpadala sa iya sang mga sakayan nga ginadumalahan sang iya kaugalingon nga mga opisyales kag ginadala sang mga batid nga mga sakayanon. Nagpanakayon sila upod sa mga opisyales ni Solomon pakadto sa duta sang Ofir kag sang pagbalik nila kay Solomon nagdala sila sang malapit sa desi-sais ka tonelada nga bulawan.
2CH.9.1	Ang
2CH.9.2	Ginsabat ini tanan ni Solomon, wala gid sing mabudlay nga pamangkot nga wala niya masabat. 
2CH.9.3	Nabatian sang rayna sang Seba ang kaalam ni Solomon kag nakita niya ang palasyo nga iya ginpatindog. 
2CH.9.4	Nakita niya ang pagkaon sa iya lamisa, ang mga ginaestaran sang iya mga opisyales, ang maayo nga pagdumala sang iya mga alagad sa palasyo kag ang mga uniporme nga ila ginasuksok, ang mga bayu sang mga suloguon nga nagaalagad sa iya sa mga piesta, kag ang mga halad nga iya ginadulot sa Templo. Nahalawhaw gid sia sang iya nakita.
2CH.9.5	Nagsiling sia sa hari, “Ang akon nabatian sa akon kaugalingon nga pungsod nahanungod sa imo
2CH.9.6	Wala ako magpati sang ila ginsugid tubtob nag-abot ako kag nakita ko gid. Bisan ang katunga sang imo kaalam wala ko pa mabatii, sobra pa ang imo kaalam sang sa ginsugid sang mga tawo. 
2CH.9.7	Daw ano ka malipayon ang mga tawo nga nagaalagad sa imo, nga yara pirme sa imo tupad, sa diin makapamati sila sang imo kaalam! 
2CH.9.8	Dayawon ang 
2CH.9.9	Dayon naghatag sia sing mga dulot kay Haring Solomon: malapit sa lima ka tonelada nga bulawan, kag madamo gid kaayo nga mga pahamot kag malahalon nga mga bato. Wala gid sing mga pahamot nga pareho sang ginhatag sang rayna sang Seba kay Haring Solomon.
2CH.9.10	Ang mga tinawo ni Haring Hiram kag ni Haring Solomon nga nagdala sang bulawan halin sa Ofir, nagdala man sang mga kahoy nga sandalo kag malahalon nga mga bato. 
2CH.9.11	Gingamit ni Solomon ang kahoy sa paghimo sang hagdanan sang Templo kag sang iya palasyo, kag sa paghimo sang mga arpa kag sang mga lira para sa mga musikero. Wala gid sang subong sini nga nakita sang una sa duta sang Juda.
2CH.9.12	Si Haring Solomon naghatag sa rayna sang Seba sang tanan nga iya ginpangayo. Wala labot ini sang mga ginhatag sa iya nga baylo sang mga dulot nga gindala niya para kay Solomon. Dayon sia kag ang iya mga alagad nagpauli sa duta sang Seba.
2CH.9.13	Sa tagsa ka tuig si Haring Solomon nagabaton sing sobra sa baynte-singko ka tonelada sang bulawan, 
2CH.9.14	wala labot sa mga buhis nga ginabayad sang mga negosyante kag mga manugpatikang. Ang mga hari sang Arabia kag ang mga gobernador sa mga distrito sang Israelinhon nagdala man sa iya sang pilak kag bulawan. 
2CH.9.15	Si Solomon nagpahimo sing 200 ka dalagku nga mga taming, ang kada-isa sini nahaklapan sang mga kinse ka libra nga pinapa nga bulawan, 
2CH.9.16	kag 300 ka magamay nga mga taming nga ang kada-isa sini nahaklapan sang walo ka libra nga pinapa nga bulawan. Ginbutang niya ini tanan sa Tilipunan sa Kagulangan sang Libano.
2CH.9.17	Ang hari nagpahimo man sang daku nga trono nga tiposo, nga nahaklapan sang puraw nga bulawan. 
2CH.9.18	May anom ka mga halintang pasaka sa trono, kag may palatungan nga nahaklapan sang bulawan nga natakod sa trono. May mga halambuyan sa tagsa ka kilid sang trono, kag may estatwa sang mga leon nga nagatindog sa tagsa ka kilid. 
2CH.9.19	May dose ka mga estatwa sang leon nga nagatindog sa mga halintang, isa ka leon sa tagsa ka punta sang halintang. Wala sing trono nga nahimo kaangay sini sa bisan diin nga ginharian.
2CH.9.20	Ang tanan nga ilimnan nga mga kupa ni Haring Solomon nahimo sa bulawan, kag ang tanan nga mga galamiton sa Tilipunan Sa Kagulangan Sang Libano puraw nga bulawan. Sa panahon ni Solomon ang pilak ginakabig nga daw wala sing bili. 
2CH.9.21	May mga sakayan sia nga nagabiyahe sa Tarsis upod sa mga sakayan ni Haring Hiram, kag makaisa sa tatlo ka tuig nagaabot ini. Ang mga sakayan nagadala pabalik sing bulawan, pilak, tiposo, mga dalagku kag magamay nga mga amo.
2CH.9.22	Si Haring Solomon mas manggaranon kag mas maalam sang sa bisan sin-o nga hari sa bug-os nga kalibutan. 
2CH.9.23	Tanan sila nagakadto sa iya, sa pagpamati sang kaalam nga ginhatag sang Dios sa iya. 
2CH.9.24	Ang tagsatagsa sa ila nagdala sang mga regalo sa iya—mga gamit nga nahimo sa pilak kag bulawan, mga bayu nga malaba, mga armas, mga pahamot, mga kabayo kag mga mula. Ini nagapadayon tuigtuig.
2CH.9.25	Si
2CH.9.26	Sia
2CH.9.27	Sa tion sang iya paggahom, ang pilak sa Jerusalem pareho lang ka ordinaryo sang bato, kag ang kahoy nga sedro pareho kadamo sang kahoy nga sikomoro sa mga kunsaran sang Juda. 
2CH.9.28	Si
2CH.9.29	Ang iban sang mga binuhatan ni Solomon halin sa ginsugoran tubtob sa katapusan nasulat sa 
2CH.9.30	Si Solomon naggahom sa Jerusalem para sa bug-os nga Israel sa sulod sang kwarenta ka tuig. 
2CH.9.31	Napatay sia kag ginlubong sa Siudad ni David nga iya amay, kag ang iya anak nga si Rehoboam nagbulos sa iya subong hari.
2CH.10.1	Si Rehoboam nagkadto sa Siquem, sa diin ang tanan nga mga tawo sang naaminhan nga Israel nagtipon sa paghimo sa iya nga hari. 
2CH.10.2	Si Jeroboam nga anak ni Nebat nagkadto sa Ehipto sa pagpalagyo kay Haring Solomon, pero sang nabatian niya ini nga balita nagbalik sia pauli. 
2CH.10.3	Ang mga tawo sang naaminhan nga mga tribo nagpatawag sa iya, kag nagkadto sila tanan sing tingob kay Rehoboam kag nagsiling sa iya, 
2CH.10.4	“Ang imo amay nagpabudlay gid sa amon. Kon imo pamag-anon ang amon kabudlayan, kag himuon mo nga magmahapos ang amon pangabuhi, kami magaunong sa imo.”
2CH.10.5	Nagsabat si Rehoboam, “Hatagi ako ninyo sing tatlo ka adlaw sa pagbinagbinag sini. Dayon balik kamo.” Gani ang mga tawo naglakat.
2CH.10.6	Si Haring Rehoboam nagpangayo sang laygay sa mga tigulang nga mga tawo nga nag-alagad subong palamangkutan sang iya amay nga si Solomon. Nagpamangkot sia, “Ano bala ang laygay nga inyo ihatag sa akon nga isabat ko sa sining mga tawo?”
2CH.10.7	Nagsabat sila, “Kon ikaw magmaayo sa sining mga tawo, kag magtinguha sa pagpaayon sa ila paagi sa paghatag sang maayo nga sabat, magaalagad sila sa gihapon sa imo.”
2CH.10.8	Pero wala niya ginsapak ang laygay sang mga tigulang, sa baylo nagkadto sia sa mga pamatan-on nga katubotubo niya kag iya na sila karon mga palamangkutan. 
2CH.10.9	Nagpamangkot sia, “Ano bala ang inyo mahatag nga laygay sa akon nga akon himuon? Ano ang isabat ko sa sini nga mga tawo nga nagapangayo nga ang ila kabudlayan pahaganhaganon?”
2CH.10.10	Nagsabat sila, “Amo ini ang isiling mo sa ila: ‘Ang akon kamalingking daku pa sang sa hawak sang akon amay!’ 
2CH.10.11	Singgana sila, ‘Ang akon amay nagbutang sa inyo sing mabug-at nga mga palas-anon, akon pa gid ini dugangan. Ginhanot niya kamo sing latigo, ako magaputik sa inyo!’”
2CH.10.12	Sa ikatlo nga adlaw, si Jeroboam kag ang tanan nga mga tawo nagbalik kay Haring Rehoboam suno sa iya ginsiling. 
2CH.10.13	Ang hari nagsikway sang laygay sang mga tigulang kag naghambal sa mga tawo sing masakit, 
2CH.10.14	suno sa laygay sang mga pamatan-on. Nagsiling sia, “Ang akon amay nagbutang sa inyo sang mabug-at nga palas-anon, akon pa gid ini dugangan. Ginhanot niya kamo sing latigo, ako magaputik sa inyo!” 
2CH.10.15	Ini kabubot-on sang Dios sa pagtuman sang ginsiling sang 
2CH.10.16	Sang
2CH.10.16	Gani ang tanan nga mga tawo sang Israel nagrebelde, 
2CH.10.17	nga ginbayaan si Rehoboam subong pangulo lamang sang mga tawo nga nagaestar sa kadutaan sang Juda.
2CH.10.18	Dayon ginpadala ni Haring Rehoboam si Adoniram nga amo ang gintugyanan sa pagpilit sa mga tawo sa pag-obra, sa pagkadto sa mga Israelinhon, pero ginbato nila sia tubtob mapatay. Sang pagkahibalo ni Rehoboam sini, nagdalidali sia sa pagsakay sa iya karwahi kag nagpalagyo sa Jerusalem. 
2CH.10.19	Gani halin sadto nga tion, ang mga tawo sang naaminhan nga ginharian sang Israel nagrebelde batok sa panimalay ni David.
2CH.11.1	Sang pag-abot ni Haring Rehoboam sa Jerusalem, ginpatawag niya sing tingob ang 180,000 ka labing maayo nga mga soldado sang mga tribo ni Benjamin kag ni Juda. Nagplano sia sa pagpakig-away agod magbalik sa iya ang paggahom sa naaminhan nga mga tribo sang Israel. 
2CH.11.2	Pero ang 
2CH.11.3	nga ihatag ini nga mensahe kay Haring Rehoboam, kag sa tanan nga mga tawo sang mga tribo ni Juda kag ni Benjamin: 
2CH.11.4	“Indi pagsalakaya ang inyo kaparientehan nga mga Israelinhon. Pauli kamo tanan. Ang natabo akon kabubot-on.” Gintuman nila ang sugo sang 
2CH.11.5	Nagpabilin si Rehoboam sa Jerusalem kag nagpatindog sia sang mga pamakod sa masunod nga mga siudad sang mga tribo ni Juda kag ni Benjamin: 
2CH.11.6	Betlehem, Etam, Tekoa, 
2CH.11.7	Betsur, Soco, Adulam, 
2CH.11.8	Gat, Maresa, Zif, 
2CH.11.9	Adoraim, Lakis, Aseka, 
2CH.11.10	Zora, Ayalon, kag Hebron. 
2CH.11.11	Ginpamakuran niya ini nga mga siudad sang malig-on kag nagbutang sang pangulo sa kada-isa sa ila. Sa tagsa ka siudad ginbutangan niya sang madamo nga mga kalan-on, lana sang olivo kag bino, 
2CH.11.12	kag subong man sang mga taming kag mga bangkaw, kag sa sini nga paagi ang Juda kag ang Benjamin yara gihapon sa idalom sang iya paggahom.
2CH.11.13	Halin sa tanan nga kadutaan sang Israel, ang mga pari kag ang mga Levita nagkadto sa bagatnan tubtob sa Juda. 
2CH.11.14	Ginbayaan sang mga Levita ang ila mga palahalban kag iban nga duta kag nagsaylo sa Juda kag Jerusalem, tungod kay si Haring Jeroboam sang Israel kag ang iya mga tal-os indi magpasugot nga mag-alagad sila subong mga pari sang 
2CH.11.15	Si
2CH.11.16	Gikan sa tanan nga mga tribo sang Israel, ang mga tawo nga maminatud-on sa pagsimba sa 
2CH.11.17	Ini nagpalig-on sang ginharian sang Juda, kag sa sulod sang tatlo ka tuig ginsakdag nila si Rehoboam nga anak ni Solomon kag nag-estar sila nga yara sa idalom sang paggahom ni Haring David kag ni Haring Solomon.
2CH.11.18	Si Rehoboam nagpangasawa kay Mahalat nga ang iya amay amo si Gerimot nga anak ni David, kag ang iya iloy amo si Abihail, anak ni Eliab kag apo ni Jesse. 
2CH.11.19	May tatlo sila ka mga anak nga amo sanday Jeus, Samarias, kag Zaham. 
2CH.11.20	Sang ulihi ginpangasawa ni Rehoboam si Maaca nga anak ni Absalom, kag nag-anak sila sing apat ka mga lalaki nga amo sanday Abias, Atai, Ziza kag Selomit. 
2CH.11.21	Tanantanan, si Rehoboam may desi-otso ka mga asawa kag sesenta ka mga babayi, kag may mga anak sia nga baynte otso ka lalaki kag sesenta ka babayi, pero sa tanan niya nga mga asawa kag mga babayi palangga gid niya si Maaca. 
2CH.11.22	Ginpalabi gid ni Rehoboam ang iya anak nga si Abias sa tanan niya nga mga kaanakan, kag ginpili niya sia nga magabulos sa iya subong hari. 
2CH.11.23	Si Rehoboam nagmaalamon sa paghatag sing mga katungdanan sa iya mga anak nga lalaki, kag ginbutang sila sa mga siudad sang Juda kag Benjamin nga napamakuran sang bug-os. Ginhatagan niya sila sing bugana para sa ila mga kinahanglanon kag ginpaasaw-an sila sing madamo.
2CH.12.1	Sang malig-on na ang paggahom ni Rehoboam subong hari, sia kag ang iya tanan nga mga tawo nagsikway sang Kasugoan sang 
2CH.12.2	Tungod sini si Haring Sisac sang Ehipto nagsalakay sa Jerusalem sa ikalima nga tuig sang paggahom ni Rehoboam subong silot sang 
2CH.12.3	Ginpangulohan niya ang 1,200 ka mga hangaway nga nagasakay sa karwahi, 60,000 ka mga manugkabayo, kag madamo nga mga soldado nga indi maisip, lakip ang mga taga-Libya, taga-Suk, kag mga taga-Etiopia.
2CH.12.4	Gin-agaw niya ang napamakuran nga mga siudad sang Juda kag nagpadayon tubtob sa Jerusalem.
2CH.12.5	Si Semaya nga propeta nagkadto kay Haring Rehoboam kag sa mga pangulo sang Juda nga nagatipon sa Jerusalem sa pagpalagyo gikan kay Sisac. Nagsiling sia sa ila, “Amo ini ang mensahe sang 
2CH.12.6	Ang hari kag ang mga pangulo nagkilala nga sila nakasala, kag nagsiling sila, “Ang ginahimo sang 
2CH.12.7	Sang makita ini sang 
2CH.12.8	Pero mangin-ulipon niya sila, kag mahibaluan nila ang kinatuhay sa pag-alagad sa akon kag sa pag-alagad sa dutan-on nga mga pangulo.”
2CH.12.9	Si
2CH.12.10	Sa pag-ilis sini, si Rehoboam nagpahimo sing mga taming nga bronsi kag gintugyan ini sa mga opisyales nga may katungdanan sa pagbantay sang mga pwerta sang palasyo. 
2CH.12.11	Sa tagsa ka tion nga ang hari magsulod sa Templo, ang mga gwardya nagadala sang mga taming, kag dayon iuli ini sa kwarto sang mga gwardya. 
2CH.12.12	Tungod kay nagpaubos sia sa 
2CH.12.13	Si Rehoboam naggahom sa Jerusalem kag naggamhanan subong hari. Nagaedad sia sing kwarentay uno ka tuig sang maghari sia, kag naggahom sia sa sulod sing desi-siete ka tuig sa Jerusalem, ang siudad nga ginpili sang 
2CH.12.14	Ginhimo niya ang malaut, tungod kay wala sia magtinguha sa pagpangita sang kabubot-on sang 
2CH.12.15	Ang mga hinimuan ni Rehoboam halin sa ginsugoran tubtob sa katapusan, kag ang mga lista sang iya panimalay makita sa 
2CH.12.16	Si Rehoboam napatay kag ginlubong sia sa lulobngan sang mga hari sa Siudad ni David, kag ang iya anak nga si Abias nagbulos sa iya subong hari.
2CH.13.1	Sa ika-18 nga tuig sang paggahom ni Haring Jeroboam sang Israel, si Abias nanginhari sang Juda, 
2CH.13.2	kag naggahom sia sa Jerusalem sing tatlo ka tuig. Ang iya iloy amo si Micaya nga anak ni Uriel, halin sa siudad sang Gebeat.
2CH.13.2	Ang inaway nagsugod sa tunga ni Abias kag ni Jeroboam. 
2CH.13.3	Si Abias nagtipon sing 400,000 ka mga hangaway, kag si Jeroboam nagbato sa iya nga may 800,000 ka mga hangaway.
2CH.13.4	Ang mga hangaway nagkitaay sa kabakuloran sang Efraim. Si Haring Abias nagsaka sa Bukid sang Zemaraim kag nagsinggit kay Jeroboam kag sa mga Israelinhon: “Pamati kamo sa akon! 
2CH.13.5	Wala bala kamo kahibalo nga ang 
2CH.13.6	Si Jeroboam nga anak ni Nebat nagrebelde kay Solomon nga iya hari. 
2CH.13.7	Sang ulihi nagtipon sia sang mga huroshuros nga mga tawo kag ginpilit nila ang ila luyag sa kay Rehoboam nga anak ni Solomon, nga lamharon pa kaayo kag indi makasarang sa pagpamatok sa ila. 
2CH.13.8	Karon nagahandom kamo sa pagpakig-away sa harianon nga awtoridad nga ginhatag sang 
2CH.13.9	Gintabog ninyo ang mga pari sang 
2CH.13.10	“Pero ginasimba namon gihapon ang 
2CH.13.11	Sa kada aga kag hapon nagadulot sila sang insyenso kag mga halad nga sapat nga ginasunog sing bug-os. Ginadulot nila ang mga halad nga tinapay sa lamisa nga matinlo, kag sa kada hapon ginasindihan nila ang mga suga sa bulawan nga kandelirohan. Ginatuman namon ang ginasugo sang 
2CH.13.12	Ang Dios mismo amo ang amon pangulo, kag ang iya mga pari yari diri nga handa sa pagpatunog sang mga trumpeta sa pagtawag sa amon sa pag-away batok sa inyo. Mga tawo sang Israel, indi kamo magpakig-away batok sa 
2CH.13.13	Walay sapayan sini si Jeroboam nagpadala sang iya mga hangaway sa pagsalakay sang mga hangaway sang Juda sa likod, samtang ang iban nag-atubang sa ila. 
2CH.13.14	Nagpanghulonghulong ang mga taga-Juda kag nakita nila nga nalibutan na sila. Nagpangayo sila sing tabang sa 
2CH.13.15	Ang mga taga-Juda nagsinggit kag ginpangulohan sila ni Abias sa pagsalakay. Ang Dios naglutos kay Jeroboam kag sang mga hangaway sang Israel. 
2CH.13.16	Ang mga Israelinhon nagpalagyo gikan sa mga taga-Juda, kag ang Dios nagpahanugot nga malutos sila sang mga taga-Juda. 
2CH.13.17	Si Abias kag ang iya mga hangaway naglutos sa mga Israelinhon—500,000 ka labing maayo nga mga soldado sang Israel ang nagkalamatay. 
2CH.13.18	Tungod kay ang mga tawo sang Juda nagsalig sa 
2CH.13.19	Si Abias naglagas sang mga hangaway ni Jeroboam kag gin-agaw ang iban sang iya mga siudad: nga amo ang Betel, Jesana, Efron, kag ang mga barangay malapit sa sining mga siudad. 
2CH.13.20	Si Jeroboam wala gid makabalik sa iya gahom sa panahon sang paggahom ni Abias. Sang ulihi ang 
2CH.13.21	Pero si Abias naggamhanan pa gid. May katorse sia ka mga asawa, kag may baynte dos ka mga anak nga lalaki kag desi-sais ka anak nga babayi. 
2CH.13.22	Ang iban sang maragtas ni Abias, ang iya ginsiling kag ang iya ginhimo, nasulat sa 
2CH.14.1	Si Haring Abias napatay kag ginlubong sia sa mga lulobngan sang mga hari sa Siudad ni David. Ang iya anak nga si Asa nagbulos sa iya subong hari, kag sa idalom sang paggahom ni Asa may paghidait sa duta sa sulod sang napulo ka tuig. 
2CH.14.2	Nalipay kay Asa ang 
2CH.14.3	Ginkuha niya ang mga altar sang mga dumoluong kag ang mga lugar nga ginasimbahan sang mga pagano, ginpanumba niya ang balaan nga mga haligi nga bato kag ginpang-utod ang mga simbulo sang diosa nga si Asera. 
2CH.14.4	Ginsugo niya ang mga tawo sang Juda sa pagtuman sang kabubot-on sang 
2CH.14.5	Tungod kay ginkuha niya ang mga lugar nga ginasimbahan sang mga pagano kag ang mga altar sang insyenso gikan sa tanan nga mga siudad sang Juda, ang ginharian may kalinong sa idalom sang iya paggahom. 
2CH.14.6	Nagpatindog sia sing mga pamakod sa mga siudad sang Juda sang iya paggahom kag sa sulod sang pila ka tuig wala sing inaway, tungod kay ang 
2CH.14.7	Nagsiling sia sa mga tawo sang Juda, “Pamakuran ta ang mga siudad paagi sa pagpatindog sang mga pader, kag mga tore, kag sang mga pwerta nga masirahan kag mapintalan. Kita ang nagagahom sa duta, kay gintuman naton ang kabubot-on sang 
2CH.14.8	Si Haring Asa may mga hangaway nga 300,000 ka mga tawo halin sa Juda, nga nasangkapan sang mga taming kag mga bangkaw, kag 280,000 ka mga tawo halin sa tribo ni Benjamin nga nasangkapan sing mga taming kag mga pana. Tanan sila maisog kag nahanas sing maayo nga mga lalaki.
2CH.14.9	Si Zera nga Etiopiahanon
2CH.14.10	Si Asa naggwa kag nagpakig-away sa iya, kag sila nga duha nagpahamtang sang ila mga hangaway sa magkatimbang nga bahin sa Kapatagan sang Zepata malapit sa Maresa. 
2CH.14.11	Si Asa nagpangamuyo sa 
2CH.14.12	Ang 
2CH.14.13	kag si Asa kag ang iya mga hangaway naglagas sa ila tubtob sa Gerar. Madamo kaayo sang mga Etiopiahanon nga nagkalamatay sa bagay nga indi na sila makabato sa pag-away.
2CH.14.14	Dayon natigayon nila ang pagpanglaglag sang mga siudad sa palibot sang Gerar, tungod kay ang mga pumoluyo didto hinadlukan gid sa 
2CH.14.15	Ginsalakay man nila ang mga kampo sang mga manugbantay sang mga kahayupan kag madamo ang ila naagaw nga mga karnero, mga kanding kag mga kamelyo. Dayon nagbalik sila sa Jerusalem.
2CH.15.1	Ang Espiritu sang Dios naggahom kay Azarias nga anak ni Oded, 
2CH.15.2	kag nagpakigkita sia kay Haring Asa. Nagsiling sia, “Haring Asa, pamati ka sa akon, kag tanan kamo nga mga pumoluyo sang Juda kag Benjamin! Ang 
2CH.15.3	Sa malawig nga panahon ang Israel nagkabuhi nga wala sing matuod nga Dios, wala sing mga pari sa pagtudlo sa ila, kag wala sing kasugoan. 
2CH.15.4	Pero sang pag-abot sang kagamo, nagbalik sila sa 
2CH.15.5	Sa sadto nga mga inadlaw wala sing isa nga nagapakadto-pakari nga hilway tungod kay may kagamo kag wala sing kalinong sa duta. 
2CH.15.6	Ang isa ka pungsod nagapigos sang isa ka pungsod, ang isa ka siudad nagapigos sang isa ka siudad, tungod kay ang Dios nagapadala sing kagamo kag kabudlayan sa ila. 
2CH.15.7	Pero magpakabakod ka kag indi magpakaluya. Ang imo pagpangabudlay pagabalusan.”
2CH.15.8	Sang mabatian ni Asa ang panagna ni Azarias nga anak ni Oded, nagpakaisog sia. Ginkuha niya ang tanan nga mga diosdios sa duta sang Juda kag Benjamin kag ang tanan nga mga diosdios sa mga siudad nga iya gin-agaw sa kabakuloran sang Efraim. Ginpakaayo man niya ang altar sang 
2CH.15.9	Si Asa nagmando sa tanan nga mga tawo sa pagtipon—ang mga tawo sang Juda kag Benjamin, kag ang madamo nga mga tawo nga nagdampig sa iya halin sa Efraim, Manases, kag Simeon nga nagaestar sa iya ginharian, tungod kay nakita nila nga ang 
2CH.15.10	Nagtipon sila sa Jerusalem sa ikatlo nga bulan sang ika-15 nga tuig sang paghari ni Asa. 
2CH.15.11	Sa sadto nga adlaw nagdulot sila sang mga halad sa 
2CH.15.12	Naghimo sila sing kasugtanan kag naghilisugot sila sa pagsimba sa 
2CH.15.13	Ang tagsatagsa, bata kag tigulang, lalaki ukon babayi, nga indi magsimba sa iya pagapatyon. 
2CH.15.14	Sa mabaskog nga tingog nagsumpa sila sa ngalan sang 
2CH.15.15	Ang tanan nga mga pumoluyo sang Juda nagkalipay, tungod kay naghimo sila sining kasugtanan sa ila bug-os nga tagipusoon. Nagkalipay sila sa pagsimba sa 
2CH.15.16	Ginkuha ni Haring Asa ang iya lola nga si Maaca sa iya palangakuan subong rayna nga iloy tungod kay naghimo sia sang makangilil-ad nga diosdios nga amo ang diosa nga si Asera. Ginpulod ni Asa ang diosdios, ginbis-ak kag gintutdan ini sa Kapatagan sang Kidron. 
2CH.15.17	Bisan nga wala ni Asa paglaglaga ang tanan nga mga lugar nga ginasimbahan sang mga pagano sa duta, nagpadayon sia nga matutom sa 
2CH.15.18	Ginbutang niya sa Templo ang tanan nga mga pagkabutang nga ginhalad sa Dios sang iya amay nga si Abias, lakip ang mga butang nga bulawan kag pilak nga iya mismo ginhalad. 
2CH.15.19	Wala na sing inaway tubtob sa ika-35 nga tuig sang iya paggahom.
2CH.16.1	Sa ika-36 nga tuig sang paggahom ni Haring Asa sang Juda, si Haring Baasa sang Israel naggubat sa Juda kag nagpatindog sang pamakod sa Rama, agod nga wala sing makaagi paggwa kag pasulod sa Juda. 
2CH.16.2	Gani si Asa nagkuha sing pilak kag bulawan gikan sa mga talaguan sang manggad sang Templo kag sang palasyo kag ginpadala ini sa Damasco, kay Haring Benhadad sang Siria upod sini nga mensahe: 
