GEN.1.1	Sang ginsuguran gintuga sang Dios ang kalangitan kag ang kalibutan. 
PRO.11.10	Nagahinugyaw sa kalipay ang mga pumuluyo sang isa ka siyudad kon nagauswag ang mga matarong kag amo man kon nagakalamatay ang mga malaot.
PRO.11.11	Nagauswag ang siyudad paagi sa pagbendisyon sang mga matarong, pero nagakalaglag ini paagi sa pagpakalain sang mga malaot.
PRO.11.12	Ang tawo nga wala sing pag-intiendi nagayaguta sa iya isigkatawo, pero ang tawo nga may pag-intiendi wala nagayaguta.
PRO.11.13	Ang palakutsokutso nagapanugid sang sekreto, pero ang masaligan nga tawo makatago sang sekreto.
PRO.11.14	Malaglag ang isa ka nasyon kon wala ini sing mga manuglaygay, pero kon may madamo ini nga mga manuglaygay, may kalig-on ini.
PRO.11.15	Delikado kon magpromisa ka nga magbayad sang utang sang iban. Gani kon indi mo gusto magkaproblema indi ina paghimua.
PRO.11.16	Ang mabuot nga babayi nagaani sang pagpadungog, pero ang mapintas nga tawo hasta lang sa pag-angkon sang manggad.
PRO.11.17	Kon maayo ka sa iban, makapaayo ini sa imo, pero kon mapintas ka, makahalit ini sa imo.
PRO.11.18	Ang malaot nga tawo indi makabaton sang matuod nga balos, pero ang nagahimo sang matarong makabaton sang matuod nga balos.
PRO.11.19	Ang tawo nga nagahimo sang matarong padayon nga magakabuhi, pero ang nagahimo sang malaot mapatay.
PRO.11.20	Ginakangil-aran sang 
PRO.11.21	Sigurado gid nga pagasilutan ang mga malaot, pero ang mga matarong iya indi.
PRO.11.22	Ang katahom sang babayi nga indi maalamon pareho lang sang bulawan nga singsing sa sungad sang baboy.
PRO.11.23	Ang mga ginahandom sang mga matarong makapaayo, pero ang mga ginahandom sang mga malaot makapaakig.
PRO.11.24	May mga tawo nga mahinatagon pero nagadugang pa gid ang ila manggad; may ara man nga mga dalok pero nagaimol pa gani.
PRO.11.25	Ang mahinatagon nga tawo magauswag. Ang tawo nga nagabulig sa iban pagabuligan man.
PRO.11.26	Ginapakamalaot sang mga tawo ang nagatago sang iya baligya 
PRO.11.27	Ang tawo nga nagahandom sang maayo pakitaan sang kaayo, pero ang tawo nga nagapangita sing gamo makita niya ini.
PRO.11.28	Mapaslawan ang tawo nga nagasalig sa manggad, pero ang matarong magauswag pareho sa nagalambo nga tanom.
PRO.11.29	Ang mga buang-buang nga nagadala sang gamo sa ila panimalay wala gid sing may mapanubli sa ulihi. Mangin ulipon lang sila sang mga maalamon.
PRO.11.30	Ang mga binuhatan sang matarong nga tawo makabulig sa iban nga mag-ayo kag maglawig ang ila kabuhi.
PRO.11.31	Kon ang mga matarong sa kalibutan nagabaton sang balos sa ila mga ginahimo, labi na gid nga balusan ang mga malaot kag mga makasasala.
PRO.12.1	Ang tawo nga gusto magpatadlong sang iya pamatasan gusto magmaalamon, pero ang tawo nga indi gusto sawayon balingag.
PRO.12.2	Ginakaluoyan sang 
PRO.12.3	Ang nagahimo sang kalautan wala gid sing kalig-unan, pero ang matarong nga tawo may kalig-unan pareho sa kahoy nga madalom ang gamot.
PRO.12.4	Ang maayo nga asawa bugal kag kalipay sang iya bana, pero ang makahuluya nga asawa pareho sa balatian nga nagaut-ot sa mga tul-an sang iya bana.
PRO.12.5	Ang ginahunahuna sang matarong nga tawo husto; ang ginalaygay sang malaot nga tawo 
PRO.12.6	Makapatay ang mga pulong sang mga malaot,
PRO.12.7	Pagalaglagon ang mga malaot kag madula sila, pero ang mga matarong kag ang ila mga kaliwat magapadayon sa gihapon.
PRO.12.8	Ginapadunggan ang maalamon nga tawo, pero ginahikayan ang tawo nga tiko ang panghunahuna.
PRO.12.9	Mas maayo pa ang tawo nga simple lang, nga makasarang magsagod sang kabulig, sang sa tawo nga nagapasin-o-sin-o nga wala man lang gali sang kalan-on.
PRO.12.10	Ang matarong nga tawo nagaatipan sing maayo sa iya mga sapat, pero ang malaot nga tawo mapintas kag wala sing kaluoy sa iya mga sapat.
PRO.12.11	Ang mapisan nga mangunguma may bugana nga pagkaon. Ang nagausik sang iya tiyempo sa wala sing pulos nga mga buluhaton wala sing husto nga pag-intiendi.
PRO.12.12	Ang gusto lang permi himuon sang mga malaot amo ang malain, 
PRO.12.13	Ang malaot nga ginahambal sang malaot nga tawo amo mismo ang nagahatag sa iya sang gamo, pero ang matarong nga tawo nagalikaw sa gamo.
PRO.12.14	Pagabalusan kita sang maayo nga mga butang suno sa aton ginapanghambal kag ginapanghimo.
PRO.12.15	Ang buang-buang nga tawo nagahunahuna nga husto siya permi, pero ang maalamon nga tawo nagapamati sang laygay.
PRO.12.16	Ginapakita gilayon sang buang-buang nga tawo ang iya kaakig 
PRO.12.17	Ang masaligan nga saksi nagasugid sing matuod, pero ang indi masaligan nagabutig.
PRO.12.18	Ang mga pulong nga wala ginhunahuna sing maayo antes ihambal makasakit pareho sa espada, pero ang mga pulong nga ginhunahuna sing maayo antes ihambal makapaayo.
PRO.12.19	Ang mga pulong nga matuod nagapadayon hasta san-o, pero ang mga pulong nga binutig indi magdugay.
PRO.12.20	Pagpangdaya ang ara sa tagipusuon sang tawo nga nagaplano sang malain, pero kalipay ang ara sa 
PRO.12.21	Wala sing may malain nga matabo
PRO.12.22	Ginakangil-aran sang 
PRO.12.23	Ang maalamon nga tawo wala nagapahambog sang iya nahibaluan, pero ang buang-buang nga tawo ginapakita gid niya ang iya pagkabuang-buang.
PRO.12.24	Ang mapisan nga tawo makaangkon sang mataas nga posisyon, pero ang matamad iya makaangkon sang manubo nga posisyon.
PRO.12.25	Ang pagpalibog makakuha sang kalipay sang tawo; ang maayo nga mga pulong makalipay sa iya.
PRO.12.26	Ang matarong nga tawo makatuytoy sa iya abyan, pero ang malaot nga tawo makapatalang.
PRO.12.27	Ang matamad nga tawo indi gid makalambot sang iya ginahandom, pero ang mapisan nga tawo nagamanggaranon.
PRO.12.28	Kon magkabuhi ka nga matarong, padayon ka nga magakabuhi, kag maluwas ka sa kamatayon.
PRO.13.1	Ang maalamon nga anak nagapamati kon ginatadlong sang iya amay ang iya pamatasan, pero ang nagayaguta nga anak wala nagapamati kon ginasaway.
PRO.13.2	Ang tawo nga maayo ang iya mga ginahambal balusan sing maayo nga mga butang, pero ang maluibon nga tawo balusan sing pagpamintas.
PRO.13.3	Ang nagabantay sa iya ginahambal nagahalong sang iya kabuhi, pero ang nagapataka lang kahambal ginalaglag niya ang iya kaugalingon.
PRO.13.4	Kon matamad ang isa ka tawo, bisan ano pa ang iya ginahandom, indi gid niya ini maangkon, pero kon mapisan siya, maangkon niya ang sobra pa sa iya ginahandom.
PRO.13.5	Ang matarong nga tawo indi gusto sang binutig, pero ang malaot nga tawo nagahimo sang makahuluya nga mga butang.
PRO.13.6	Ang tawo nga wala sing kasawayan indi maano tungod sang iya matarong nga pagkabuhi, pero ang makasasala nga tawo malaglag tungod sang iya kalautan.
PRO.13.7	May mga tawo nga nagapakuno-kuno nga manggaranon, pero imol gali. Kag may mga tawo man nga nagapakuno-kuno nga imol, pero manggaranon gali.
PRO.13.8	Ang manggaranon nagabayad agod magawad ang iya kabuhi 
PRO.13.9	Ang kabuhi sang matarong nga tawo pareho sa suga nga nagasiga gid sing masanag, pero ang kabuhi sang malaot nga tawo pareho sa suga nga napatay.
PRO.13.10	Sa sobra nga bugal, 
PRO.13.11	Ang manggad nga nakuha sa malain nga paagi madali lang madula, pero ang manggad nga ginpangabudlayan nagadugang pa gid.
PRO.13.12	Ang handom sang tawo nga wala matuman nagapaluya sa iya, pero ang iya handom nga natuman nagapabaskog kag nagapalipay sang iya kabuhi.
PRO.13.13	Ang tawo nga nagasikway sa mga ginatudlo kag ginasugo sa iya magaantos, pero ang tawo nga nagatuman sini hatagan sang balos.
PRO.13.14	Ang ginatudlo sang mga maalamon makapaayo kag makapalawig sang imo kabuhi,
PRO.13.15	Ginatahod ang tawo nga may maayo nga panghunahuna. Ang maluibon nga tawo nagapadulong sa kalaglagan.
PRO.13.16	Ang tawo nga nakahibalo magtimbang-timbang kon diin ang husto ukon indi nagahunahuna anay antes niya himuon ang isa ka butang, pero ang buang-buang 
PRO.13.17	Ang malaot nga mensahero nagapagamo sa mga tawo, pero ang masaligan nga mensahero nagapaayo sang ila relasyon.
PRO.13.18	Ang tawo nga indi magpatadlong sang iya pamatasan magaimol kag mahuy-an, pero ang nagapatadlong sang iya pamatasan padunggan.
PRO.13.19	Daw ano kanami ang mabatyagan sang tawo kon matuman ang iya ginahandom; amo gani nga ang mga buang-buang indi man mag-untat sa paghimo sang kalautan.
PRO.13.20	Kon mag-upod ka sa mga maalamon, mangin maalamon ka man, pero kon mag-upod ka sa mga buang-buang, magaantos ka.
PRO.13.21	Magaabot ang kalaglagan sa mga makasasala bisan diin man sila magkadto, pero ang mga matarong iya balusan sang maayo nga mga butang.
PRO.13.22	Ang manggad sang maayo nga tawo panublion sang iya mga kaapuhan, pero ang manggad sang makasasala panublion sang mga matarong.
PRO.13.23	Bisan makapatubas sing bugana ang duta sang mga imol, indi sila makapulos sini tungod sa indi matarong nga ginahimo sang iban.
PRO.13.24	Wala mo ginahigugma ang imo bata kon wala mo siya ginadisiplina. Kon ginahigugma mo siya, ginatadlong mo ang iya pamatasan.
PRO.13.25	Ang mga matarong magakaon nga busog gid, pero ang mga malaot gutumon.
PRO.14.1	Ang maalamon nga asawa nagapalig-on sang iya panimalay, pero ang buang-buang iya nagaguba sang iya panimalay.
PRO.14.2	Ang tawo nga nagakabuhi sing husto nagatahod sa 
PRO.14.3	Ang mga ginahambal sang buang-buang nga tawo makahalit sa iya, pero ang mga ginahambal sang maalamon nga tawo makatipig sa iya.
PRO.14.4	Kon wala ka sing sapat nga inug-arado wala ka sing anihon, pero kon may sapat ka, kag makusog pa, madamo ang imo anihon.
PRO.14.5	Ang masaligan nga saksi wala nagabutig, pero ang indi masaligan puro kabutigan ang iya ginahambal.
PRO.14.6	Ang tawo nga nagapangyaguta indi gid makaangkon sang kaalam bisan ano pa niya katinguha, pero ang tawo nga may pag-intiendi dali lang makatuon.
PRO.14.7	Likawi ang mga buang-buang kay wala ka sing may matun-an nga maayo sa ila.
PRO.14.8	Ang kaalam sang tawo nga nakahibalo magtimbang-timbang kon diin ang husto ukon indi amo ang nagahatag sa iya sang ihibalo kon ano ang iya himuon, pero ang kabuangan sang buang-buang nga tawo nagapatalang sa iya.
PRO.14.9	Daw sa wala lang sa mga buang-buang kon makasala sila, pero sa mga matarong nga tawo nga nagakabuhi sing husto, gusto nila nga batunon sila sang Dios.
PRO.14.10	Ikaw lang ang nakahibalo kon ano ka gid kamalipayon ukon kamasinulub-on.
PRO.14.11	Pagalaglagon ang panimalay sang mga malaot, pero pauswagon ang panimalay sang mga nagakabuhi sing husto.
PRO.14.12	Mahimo nga nagahunahuna ka nga ara ka sa husto nga dalan, pero gali ang padulungan sini amo ang kamatayon.
PRO.14.13	Puwede mo matago ang imo kasubo sa imo nga pagkadlaw, pero kon tapos ka na kadlaw ang kasubo ara man gihapon.
PRO.14.14	Ang tawo pagabalusan sang nagakabagay gid sa iya nga mga ginhimo, maayo man ukon malain.
PRO.14.15	Ang tawo nga wala sing alam nagapati sang bisan ano; ang tawo nga nakahibalo magtimbang-timbang kon diin ang husto ukon indi nagabantay gid sang iya mga tikang.
PRO.14.16	Ang maalamon nga tawo nagahalong sang iya kaugalingon kag nagalikaw sa gamo, pero ang buang-buang nga tawo wala nagahalong kundi nagapadasodaso.
PRO.14.17	Ang tawo nga dali lang maakig nagahimo sang kabuangan. Ang tawo nga nagapadihot 
PRO.14.18	Makita ang kabuangan sa tawo nga wala sing alam, pero makita ang kaalam sa tawo nga nakahibalo magtimbang-timbang kon diin ang husto ukon indi.
PRO.14.19	Magasaludo kag magapakitluoy ang mga malaot sa mga matarong.
PRO.14.20	Wala kaayo sing may nagapakig-abyan sa mga imol, bisan ang ila mga kaingod, pero ang mga manggaranon iya madamo sing mga abyan.
PRO.14.21	Makasasala ang tawo nga nagatamay sa iya isigkatawo 
PRO.14.22	Makasala ka lang kon magplano ka sing malain sa imo isigkatawo, pero kon magplano ka sing maayo, may mga tawo nga magahigugma kag magaunong sa imo.
PRO.14.23	Ang pagtrabaho sing tudo may pulos, pero ang pagsagi wakal magapaimol lang sa tawo.
PRO.14.24	Ang balos sa mga maalamon amo ang ila manggad, 
PRO.14.25	Ang saksi nga nagasugid sang matuod makaluwas sa kabuhi sang tawo. Traidor ang saksi nga nagabutig.
PRO.14.26	Ang pagtahod sa 
PRO.14.27	Ang pagtahod sa 
PRO.14.28	Ang pagkagamhanan sang hari nagadepende sa kadamuon sang iya katawhan; kon wala ang iya katawhan malaglag ang hari.
PRO.14.29	Ang mapinasensyahon nga tawo maalamon gid, pero ang tawo nga dali maakig nagapakita sang iya pagkabuang-buang.
PRO.14.30	Ang malinong nga panghunahuna makapaayo sa lawas, pero ang kahisa
PRO.14.31	Ang nagapigos sa mga imol nagainsulto sa Dios nga naghimo sa ila, pero ang nagakaluoy sa mga imol nagapadungog sa Dios.
PRO.14.32	Ginalaglag 
PRO.14.33	Ang kaalam ara sa hunahuna sang tawo nga may pag-intiendi, pero ang mga buang-buang wala sing
PRO.14.34	Magauswag ang isa ka nasyon kon ang mga pumuluyo sini magkabuhi sing matarong, pero kon magpakasala sila, mahuy-an ang ila nasyon.
PRO.14.35	Nagakalipay ang hari sa maalamon nga suluguon, pero ginakaugtan niya ang suluguon nga nagapakahuya sa iya.
PRO.15.1	Ang mahinay nga sabat makapahaganhagan sang kaakig, pero ang matigdas nga sabat makapaibwal sang kaakig.
PRO.15.2	Ang mga ginahambal sang maalamon nga tawo makahatag sing kaalam, pero ang mga ginahambal sang buang-buang nga tawo puro kabuangan.
PRO.15.3	Makita sang 
PRO.15.4	Ang malulo nga mga pulong makapaayo sa kabuhi sang tawo,
PRO.15.5	Ang buang-buang nga tawo wala nagasapak kon ginatadlong sang iya amay ang iya pamatasan, pero ang maalamon iya nagasapak.
PRO.15.6	Magadamo
PRO.15.7	Ginapalapnag sang mga maalamon ang kaalam; indi ini mahimo sang mga buang-buang.
PRO.15.8	Ginakangil-aran sang 
PRO.15.9	Ginakangil-aran sang 
PRO.15.10	Ang pagtadlong sa pamatasan ginakabig nga malain sang
PRO.15.11	Kon nahibaluan sang 
PRO.15.12	Ang tawo nga nagapangyaguta indi gusto sawayon; indi siya magpalaygay sa mga maalamon.
PRO.15.13	Kon malipayon ang tawo, nagayuhom-yuhom siya, pero kon nagakasubo siya, masinulub-on ang iya guya.
PRO.15.14	Ang tawo nga may pag-intiendi gusto gid nga magtuon, pero ang buang-buang nga tawo gusto pa gid sang kabuangan.
PRO.15.15	Mabudlay permi ang kabuhi sang mga imol, pero kon magkontento lang sila mangin malipayon gid sila permi.
PRO.15.16	Mas maayo pa ang imol nga nagatahod sa 
PRO.15.17	Mas maayo pa nga magsud-an lang sang utan nga may paghigugmaanay sang sa magsud-an sang karne nga may pagdinumtanay.
PRO.15.18	Ang pagkamainiton sang ulo nagapaumpisa sang inaway, pero ang pagkamapinasensyahon nagapauntat sang inaway.
PRO.15.19	Kon matamad ka, mabudlayan ka gid sa imo kabuhi, pero kon mapisan ka, matawhay ang imo kabuhi.
PRO.15.20	Ang maalamon nga anak nagahatag sang kalipay sa iya ginikanan. Buang-buang ang anak nga nagapakalain sa iya ginikanan.
PRO.15.21	Ang tawo nga wala sing pag-intiendi nagakalipay sa kabuangan, pero ang tawo nga may pag-intiendi nagakabuhi nga matarong.
PRO.15.22	Kon indi ka magpangayo sang laygay parte sa imo mga plano, indi ka magmadinalag-on, pero kon magpangayo ka sang madamo nga mga laygay, magmadinalag-on ang imo mga plano.
PRO.15.23	Nagakalipay ang tawo kon makahatag siya sang nagakabagay nga sabat. Daw ano pa gid kanami kon makasabat siya sa husto nga tion.
PRO.15.24	Ginasunod sang maalamon nga tawo ang dalan nga nagapadulong sa kabuhi agod malikawan niya ang kamatayon.
PRO.15.25	Gub-on sang 
PRO.15.26	Ginakangil-aran sang 
PRO.15.27	Ang tawo nga nagaangkon sang manggad sa malain nga paagi nagadala sang kalisod sa iya panimalay. Ang tawo nga wala nagabaton sang lagay padayon nga magakabuhi.
PRO.15.28	Ang matarong nga tawo nagahunahuna anay antes siya maghambal, pero ang malaot nga tawo nagapataka lang kahambal sing malain.
PRO.15.29	Malayo ang 
PRO.15.30	Makahatag kalipay ang manayanaya
PRO.15.31	Ang nagapamati sa pagsabdong nga makapaayo sang kabuhi mangin maalamon.
PRO.15.32	Ginapakalain sang tawo ang iya kaugalingon kon wala niya ginasapak ang pagsaway sa iya sa pagtadlong sa iya pamatasan, pero kon magpamati siya, makaangkon siya sang pag-intiendi.
PRO.15.33	Ang pagtahod sa 
PRO.16.1	Nagaplano ang tawo, pero ang 
PRO.16.2	Mahimo nga nagahunahuna kita nga husto na gid ang tanan ta nga ginahimo, pero ang 
PRO.16.3	Itugyan sa 
PRO.16.4	Ginhimo sang 
PRO.16.5	Ginakangil-aran sang 
PRO.16.6	Kon ginahigugma naton ang 
PRO.16.7	Kon nalipay ang 
PRO.16.8	Mas maayo pa ang gamay nga manggad nga ginpangabudlayan sing husto sang sa madamo nga manggad nga ginkuha sa malain nga paagi.
PRO.16.9	Nagaplano ang tawo, pero ang 
PRO.16.10	Kon maghukom ang hari nga ginatuytuyan sang Dios, husto permi ang iya paghukom.
PRO.16.11	Indi luyag sang 
PRO.16.12	Ginakangil-aran sang mga hari ang paghimo sang malain, kay ang ila pagdumala makapadayon lamang kon maghimo sila sing matarong.
PRO.16.13	Nalipay ang mga hari sa mga tawo nga wala nagabutig; palangga nila ang mga tawo nga nagasugid sing matuod.
PRO.16.14	Kon maakig ang hari mahimo nga may patyon siya, gani ang maalamon nga tawo nagatinguha gid nga indi maakig ang hari.
PRO.16.15	Kon nalipay ang hari sa isa ka tawo, indi niya siya pagpatyon; pakitaan niya siya sing kaayo nga pareho sa ulan sa tion sang tigtulubo sang mga tanom.
PRO.16.16	Mas labing maayo ang pag-angkon sang kaalam kag pag-intiendi sang sa pag-angkon sang bulawan kag pilak.
PRO.16.17	Ang tawo nga nagakabuhi sing husto nagalikaw sa malain, kag ang nagabantay sang iya kaugalingon layo sa katalagman.
PRO.16.18	Ang pagpabugal kag pagkamatinaas-taason sang tawo makalaglag sa iya.
PRO.16.19	Mas maayo pa nga magkabuhi nga mapainubuson kaupod sa mga imol sang sa magpartidahay sang mga inagaw kaupod sa mga bugalon.
PRO.16.20	Ang tawo nga nagapamati kon tudluan magauswag. Bulahan ang tawo nga nagasalig sa 
PRO.16.21	Ang maalamon nga tawo ginakilala nga may husto nga pag-intiendi, kag kon manami siya maghambal makatuon ang iban sa iya.
PRO.16.22	Kon may kaalam ka, makapaayo kag makapalawig ina sa imo kabuhi,
PRO.16.23	Ang maalamon nga tawo nagabantay gid sang iya ginahambal, gani makatuon ang iban sa iya.
PRO.16.24	Ang matam-is nga mga pulong pareho sa dugos; makapalipay kag makapabaskog ini sa kabuhi sang tawo.
PRO.16.25	Mahimo nga nagahunahuna ka nga ara ka sa husto nga dalan, pero gali ang padulungan sini amo ang kamatayon.
PRO.16.26	Ang kagutom nagatulod sa tawo nga mag-obra.
PRO.16.27	Ang malaot nga tawo nagaplano sing malain, kag ang iya mga ginahambal makahalit nga daw sa kalayo nga makapaso.
PRO.16.28	Ang manuglibak nga tawo nagapaumpisa sang inaway kag nagaguba sang pag-abyanay.
PRO.16.29	Ginahaylo sang mapintas nga tawo ang iya isigkatawo nga maghimo sang malain.
PRO.16.30	Mag-andam kamo sa mga tawo nga nagayuhom-yuhom kag nagapulupangilay kay basi may malain sila nga plano.
PRO.16.31	Ang katigulangon isa ka kadungganan
PRO.16.32	Mas maayo pa ang tawo nga mapinasensyahon sang sa tawo nga gamhanan. Mas maayo pa ang tawo nga makakontrolar sang iya kaugalingon sang sa tawo nga makakontrolar sang isa ka siyudad.
PRO.16.33	Nagagabot-gabot ang mga tawo 
PRO.17.1	Mas maayo pa nga magkaon sang tinapay lang nga may kalinong sa sulod sang balay sang sa magpunsyon nga may ilinaway.
PRO.17.2	Ang maalamon nga suluguon magagahom sa makahuluya nga anak sang iya agalon, kag hatagan siya sang palanublion kaupod sa iban pa nga mga anak sang iya agalon.
PRO.17.3	Ginatilawan sang 
PRO.17.4	Ang malaot nga tawo gusto magpamati sa kapareho niya nga malaot,
PRO.17.5	Ang nagayaguta sa imol nagainsulto sa 
PRO.17.6	Bugal sang mga tigulang ang ila mga apo, subong nga bugal man sang mga anak ang ila mga ginikanan.
PRO.17.7	Wala nagakabagay nga maghambal ang buang-buang sing maayo nga mga pulong, kag mas labi na gid nga wala nagakabagay nga magbinutig ang isa ka pangulo.
PRO.17.8	Nagapati ang iban nga ang lagay pareho sa madyik nga sarang makahimo sang bisan ano.
PRO.17.9	Kon patawaron mo ang imo abyan nga nakasala sa imo, magapabilin ang inyo pag-abyanay, pero kon liwat-liwaton mo kahambal ang iya sala, maguba ang inyo pag-abyanay.
PRO.17.10	Ang maalamon nga tawo makatuon sa isa lang ka pagsaway, pero ang buang-buang nga tawo indi gid makatuon bisan kapila pa siya hanuton.
PRO.17.11	Ang malaot nga tawo gusto lang permi magpangita sang gamo, gani padal-an siya sang mapintas nga tawo nga magsilot sa iya.
PRO.17.12	Mas delikado kon masugat-an mo ang buang-buang nga tawo nga nagabinuang sang sa 
PRO.17.13	Kon malain ka sa mga maayo sa imo, permi lang may malain nga magaabot sa imo panimalay.
PRO.17.14	Ang nagaumpisa pa lang nga binaisay pareho sa lusbot sa tangke sang tubig. Tapnaa ina sa wala pa magdako.
PRO.17.15	Ginakangil-aran sang 
PRO.17.16	Wala sing pulos ang paggasto sa pagpaeskwela sa buang-buang nga tawo kay wala man siya sing gana magtuon.
PRO.17.17	Ang isa ka abyan nagahigugma sa imo sa tanan nga tion, kag ang katuyuan nga may paryente ka amo nga agod may magbulig sa imo sa tion sang kalisod.
PRO.17.18	Wala sing pag-intiendi ang tawo nga nagapromisa nga magbayad sang utang sang iban.
PRO.17.19	Ang tawo nga luyag sang sala luyag sang gamo, kag ang bugalon nga tawo nagapangita lang sang iya kalaglagan.
PRO.17.20	Indi gid magmauswagon ang tawo nga tiko ang iya panghunahuna, kag ang butigon nga tawo makaangkon sang kalaglagan.
PRO.17.21	Kasubo kag kasakit ang mabatyagan sang isa ka ginikanan sa iya buang-buang nga anak.
PRO.17.22	Kon malipayon ka, makapaayo ini sa imo lawas, pero kon masinulub-on ka, makapalain ini sa imo.
PRO.17.23	Ang malaot nga tawo nagabaton sang lagay agod indi mahatag ang hustisya.
PRO.17.24	Ang tawo nga may pag-intiendi nagahunahuna permi kon paano pa gid siya magmaalamon, pero ang buang-buang nga tawo wala kahibalo kon ano ang iya himuon.
PRO.17.25	Nagahatag sang kasubo kag kasakit ang buang-buang nga anak sa iya ginikanan.
PRO.17.26	Indi maayo nga silutan ang inosente nga tawo ukon ang dungganon nga tawo nga nagahimo sing husto.
PRO.17.27	Ang tawo nga maalamon kag may pag-intiendi indi palawakal kag indi dasodaso.
PRO.17.28	Bisan ang buang-buang masal-an nga maalamon kag may pag-intiendi kon maghipos siya.
PRO.18.1	Ang tawo nga gusto lang permi mag-isahanon nagahunahuna lang sang iya kaugalingon, kag ginakontra niya ang husto nga ginaisip sang iban.
PRO.18.2	Ang buang-buang nga tawo wala gid sing handom nga makatuon; ang iya lang gusto amo ang pagpahayag sang iya kaugalingon nga opinyon.
PRO.18.3	Ang paghimo sang malain kag makahuluya nga butang makahatag sang kahuy-anan.
PRO.18.4	Ang pulong sang maalamon nga tawo makahatag sang kaalam sa iban; pareho ini sa nagailig nga tubig nga halin sa madalom nga tuburan.
PRO.18.5	Indi maayo ang pag-apin sa nakasala kag ang indi paghatag sang hustisya sa wala sing sala.
PRO.18.6	Ang mga ginahambal sang buang-buang nga tawo makapaumpisa sang inaway kag makahatag sa iya sang kasakitan.
PRO.18.7	Ang mga ginahambal sang buang-buang nga tawo makahalit sa iya mismo.
PRO.18.8	Ang kutsokutso daw pareho sa pagkaon nga namit usapon kag tunlon.
PRO.18.9	Ang matamad nga tawo pareho lang kalain sa tawo nga gusto magpanglaglag.
PRO.18.10	Ang 
PRO.18.11	Nagahunahuna ang mga manggaranon nga ang ila manggad makaprotektar sa ila pareho sa mataas nga mga pader nga nagapalibot sa siyudad.
PRO.18.12	Ang pagpabugal sang tawo makalaglag sa iya, pero ang pagpaubos makapadungog sa iya.
PRO.18.13	Balingag kag makahuluya ang tawo nga nagasabat nga wala anay nagapamati.
PRO.18.14	Ang determinasyon sang tawo nga mabuhi makapabakod sa iya kon nagamasakit siya, pero kon madula ini wala na sing may makabulig pa sa iya.
PRO.18.15	Ang tawo nga maalamon kag may pag-intiendi nagatinguha pa gid nga madugangan ang iya kaalam.
PRO.18.16	Madali ka nga makapakigkita sa isa ka dungganon nga tawo kon may dala ka nga regalo para sa iya.
PRO.18.17	Ang una nga magpamatuod sa korte daw amo na ang husto, hasta nga ang iya kontra naman ang mag-usisa sa iya.
PRO.18.18	Ang paggabot-gabot makapauntat sang binaisay, kag makahusay sang kaso sang duha ka gamhanan nga tawo.
PRO.18.19	Mabudlayan ka nga magpasag-uli sa imo utod
PRO.18.19	Subong nga mabudlay gub-on ang mga trangka sang puwertahan sang palasyo, mabudlay man untaton ang pag-inaway sang duha ka tawo.
PRO.18.20	Pagaanihon mo ang bunga sang imo mga ginahambal.
PRO.18.21	Ang imo mga ginahambal makaluwas sang kabuhi ukon makapatay. Gani kon palahambal ka, magbantay ka kay pagaanihon mo ang bunga sang imo mga ginahambal.
PRO.18.22	Kon nakapangasawa ka, nakabaton ka sing maayo nga butang, kag nagapakita ina nga maayo ang 
PRO.18.23	Nagapakitluoy ang imol, pero nagasabat sing matigdas ang manggaranon.
PRO.18.24	May pag-abyanay nga wala nagadugay, pero may pag-abyanay man nga mas mahirop pa sang sa mag-ulutod.
PRO.19.1	Mas maayo ang imol nga nagakabuhi sing matarong sang sa buang-buang nga butigon.
PRO.19.2	Indi maayo nga maukod ka nga wala ka sing may nahibaluan. Indi man maayo nga magpadasodaso ka kay dali ka makahimo sing sayop.
PRO.19.3	May mga tawo nga ginahalitan nila ang ila kaugalingon tungod sang ila kabuangan, kag ang 
PRO.19.4	Ang manggaranon madamo sing abyan, pero ang imol ginabayaan sang iya mga abyan.
PRO.19.5	Ang butigon nga saksi pagasilutan, kag ang bisan sin-o nga nagabutig indi makaluwas 
PRO.19.6	Madamo ang nagapakig-abyan sa mga kilala nga mga tawo agod ayuhan sila, kag ang tanan nagapakig-abyan sa mga mahinatagon.
PRO.19.7	Kon imol ka, wala ka ginasapak sang imo mga paryente, kag mas labi na gid sang imo mga abyan. Kon ginakinahanglan mo sila, indi mo sila makita.
PRO.19.8	Ang tawo nga nagatinguha nga magmaalamon nagakabalaka sa iya kaugalingon, kag ini nga tawo magauswag.
PRO.19.9	Ang butigon nga saksi pagasilutan, kag ang bisan sin-o nga nagabutig malaglag.
PRO.19.10	Indi bagay sa buang-buang nga tawo nga magkabuhi nga manggaranon, kag mas labi na gid nga indi bagay sa ulipon nga maggahom sa mga manugdumala.
PRO.19.11	Kon mapinasensyahon ka, nagapakita lang nga maalamon ka. Kag kon nagapatawad ka sa nakasala sa imo, makahatag ini sang kadungganan sa imo.
PRO.19.12	Ang kaakig sang hari pareho sa ngurob sang leon, pero ang iya kaayo pareho sa tun-og nga nagahatag sang tubig sa mga tanom.
PRO.19.13	Ang buang-buang nga anak makadala sang kalaglagan sa iya amay. Ang asawa nga permi lang nagabais sa iya bana 
PRO.19.14	Mapanubli sa ginikanan ang balay kag ang iban pa nga pagkabutang, pero ang 
PRO.19.15	Kon matamad ka kag sagi lang katulog, magutman ka.
PRO.19.16	Ang tawo nga nagatuman sa mga sugo 
