GEN.1.1	Tetenzük nung Tsüngremi anüng aser alima poktetdaktsü.
2SA.22.51	aser pa metsü dang teti asoshi yimlibilem sayur.
2SA.23.1	Itemi Dawid tatembang otem lir. Yesse chir Dawidi ashir, shiba Tsüngremi ajungket, Yakob Tsüngremi mezüja shimtetba Israel tenüngsang ken tajung atensang.
2SA.23.2	aser pa o kü meli nung liasü,
2SA.23.3	Israel Tsüngremi ashi,
2SA.23.3	Israel Lungi kü den jembi;
2SA.23.3	“Nisung madak ochi shia yimsüsürji Tsüngrem tsübuba nung yimsü asürji,
2SA.23.4	anü adokdang ama, pa anepdang sangwa ama alitsü,
2SA.23.4	mepet maliba anepdang anü sangwa yaloktsü ama,
2SA.23.4	ali nungi ai adokdaktsüba tzünglu mesüka alitsü.”
2SA.23.5	Kechiyong Tsüngrem den kü ki yangji mali no?
2SA.23.5	Kechiyong pai tatem maka tezüngzüktepba kü den yanglua lir,
2SA.23.5	kechisarena nung tatongi shia aser kümzüka yanglu;
2SA.23.5	kechiyong pai kü teyari aser kü tejangraba ajak matalokdaktsütsü no?
2SA.23.6	Kechiyong Tsüngrem metsübur nisung ajak endokadokba mesüka lir;
2SA.23.6	kechiyong parnok teka agi amtsü makok;
2SA.23.7	Saka parnok dak kongshiba nisung jagi pa sasa merang aser nüdong amer;
2SA.23.7	aser parnok talidak khenyongi parnok mi agi rongtoker.
2SA.23.8	Itemi Dawider nüngtugu temeranger tanishirtemji lir: Yosheb-basshebet Takemon nunger ashiba parnok asem rongnung ka tongtiba liasü; pai noklang ti anema pa nü mekang aser khenyongi tepset.
2SA.23.9	Ano temeranger nisung asem rongnung pa den atongbaji Ahohi chir Dodo, par chir Eleazar liasü. Tongbang raratsü Filistia nunger adenshia alidang aser Israel nunger atsünga aodang pa aser Dawidi parnok anema noktang. 
2SA.23.10	Pa arameso aser pa teka ania maküm tashi, aser nok nung pa teka menaloka maküm tashi pai Filistia nunger lepzüka yok; aser iba anogo 
2SA.23.11	Pa den atongbaji Harar nunger Agee chir Shamma liasü. Filistia nungeri Lehi nung luli agi sünga aliba linük ka nung külemi sentep, aser Israel purtemji Filistia nunger nungi jena ao. 
2SA.23.12	Saka pai ali tiyong nungji noktak, aser aji noktang, aser Filistia nunger tepset; aser 
2SA.23.13	Alu arutsü mapang anasa tongtipur semer rongnungi asem Adullam lungpoki alu, kong Dawid liasü, idangji Filistia nunger telok ka Refaim lenten nung anena liasü. 
2SA.23.14	Idangji Dawid mitsa nung liasü; aser Filistia nunger temeranger telokji Bethlehem nung liasü. 
2SA.23.15	Dawidi menungraseta ashi, “Oh kari danga Bethlehem tzü süngkhüm anasa alibato kü nem agütsülasang.” 
2SA.23.16	Idangji temeranger nisung asem jagi Filistia nunger tanendak nempoka ao, aser süngkhüm anasa aliba Bethlehem tzüji tatet, aser aji Dawid dangi bener aru. Saka pai ibaji majem; pai 
2SA.23.17	Pai ashi, “Oh, 
2SA.23.18	Zeruia chir Yoab tenu Abishai semer rongnungji tongtiba liasü. Aser pai pa nü noklang asem anema mekang aser parnokji tepset, aser asem dakji alema khonang ka bener aru. 
2SA.23.19	Semer rongnungji pa nüngtugutiba liasü, aser parnok tanishir aküm; saka pai asemjibo matong.
2SA.23.20	Yehoiada chir Benaia Kabzeel nungi, tasü tait nisung, mapa tulu inyaker ka liasü, pai Moab nung Ariel chirtem ana tepset. Pai ano alu aser rürjeb tsüka lia molusongzü ka ongken ka nung tepset. 
2SA.23.21	Aser pai Ijip nunger aso tajung ka tepset. Ijip nungbaji pa ket nung nü ka liasü, saka Benaia ajok ka amer alu, aser Ijip nungba ket nungi nüji rakzük, aser pai pei nü agi tsüngset. 
2SA.23.22	Itemji Yehoiada chir Benaiai inyak, aser temeranger asem dakji alema khonang bener aru. 
2SA.23.23	Semer dang nungi pa nüngtuguba liasü, saka pai asemjibo matong. Aser Dawidi paji pa tanüker kümdaktsü.
2SA.23.24	Temeranger semerji itemi liasü: Yoab tenu Asahel, Bethlehem nungi Dodo chir Elhanan; 
2SA.23.25	Harod nungi Shamma, Harod nungi Elika; 
2SA.23.26	Palti nunger Helez, Tekoa nungi Ikkesh chir Ira; 
2SA.23.27	Anathot nungi Abiezer, Hushat nunger Mebunnai; 
2SA.23.28	Ahoshi nunger Zalmon; 
2SA.23.29	Netofa nungi Banana chir Heleb, Benjamin nunger Gibea nungi Ribai chir Ittai; 
2SA.23.30	Pirathon nungi Benaia, Gaash ayong nungi Hiddai; 
2SA.23.31	Arbathi nunger Abialbon, Bahurim nungi Azmavet; 
2SA.23.32	Shaalban nungi Eliahba, Yashem, Yonathan chirtem, 
2SA.23.33	Harar nunger Shamma, Harar nunger Sharar chir Ahiam; 
2SA.23.34	Maaka nungi Ahasbai chir Elifelet, Gilo nungi Ahithofel chir Eliam; 
2SA.23.35	Karmel nungi Herzro, Arbi nunger Paarai; 
2SA.23.36	Zoba nungi Nathan chir Igal, Gad nunger Bani; 
2SA.23.37	Ammon nunger Zelek, Zeruia chir Yoab nok o nü abensang Beeroth nung Naharai; 
2SA.23.38	Ithri nunger Ira, Ithri nunger Gareb; 
2SA.23.39	Het nunger Uria: ajak agi semer tenet.
2SA.24.1	Ano Israel anema 
2SA.24.2	Anungji chubai Yoab aser pa den alir temeranger telok tanishirtem dang ashi, “Israel kidong ajak sema, Dan nungi Beersheba tashi oang, aser ni nisung yongzük metettsü asoshi züngdangang.”
2SA.24.3	Saka Yoabi chuba dang ashi, “Tang 
2SA.24.4	Saka Yoab aser temeranger telok tanishirtemi chuba ozüngji angatsüsa aküm. Anungji Yoab aser temeranger telok tanishirtemi chuba tsüngdang nungi Israel nütsüng züngdangtsü ao.
2SA.24.5	Parnoki Yordan ajanga Aroer nungi tenzük, aser lenten nung aliba nungi, Gad tsütsü aser Yazer leni ao. 
2SA.24.6	Parnoki Gileadi aru, aser yang nungjagi Het nunger lima Kadesi aru; aser parnok Dani aru, aser Dan nungi parnoki meketa Sidoni ao. 
2SA.24.7	Iba sülen Tur mitsa aser Hiv aser Kanan nunger yimtitemi aru; aser tesüba Beersheba nung Yihuda nung Negebi tugu. 
2SA.24.8	Yamaji linük ajak sema parnok ao, ita tuku aser anogo metsü nungang parnok Yirusalemi aru. 
2SA.24.9	Yoabi chuba nem nütsüng yongsük osang agütsü: Israel nung nok amer tasü tait meyi noklang ti liasü, aser Yihuda nungi meyi noklang pungu liasü.
2SA.24.10	Saka Dawidi nisungtemji züngdanger külen pa mulungjangi pa dak atsüng. Aser Dawidi 
2SA.24.11	Kodang Dawid anepdang shishi, 
2SA.24.12	“Oang aser Dawid dang shiang, Yamai 
2SA.24.13	Anungji Gad Dawid dangi aru aser pa dang metetdakja ashi, “Ne linük nung ayawara küm asem ne dangi arudaktsütsü asü? Mesüra na ne tsükchirtemi arishidang ita asem jena aotsü? Mesüra ne linük nung anogo asem tashitak wara adokdaktsütsü? Tang nai shisadangang aser ni yoksang dangi kechi telangzüba agütsütsü bilemdangang.”
2SA.24.14	Dawidi Gad dang ashi, “Ni timtem tulu nung lir, tang asenoki 
2SA.24.15	Anungji anepdang nungi mapang tatakzük tashiji 
2SA.24.16	Kodang tenyari Yirusalem tsütsü samatsütsü pa teka songtok, 
2SA.24.17	Idangji Dawidi 
2SA.24.18	Panüji Gad Dawid dangi arua pa dang ashi, “Tuang, Yebus nunger Aruana motsüngnem manung 
2SA.24.19	Gadi ashiba ama Dawidia 
2SA.24.20	Aser Araunai repranga yok, aser chuba aser pa tenzükertem pa tsütsüi aruya angu: aser Arauna tugua pai chuba madang pa tejak alilen shia apudak. 
2SA.24.21	Aser Araunai ashi, “Kü kibur chuba kechi atema aru” Aser Dawidi langzü, “
2SA.24.22	Araunai Dawid dang ashi, “Kü kibur chubai pa tsüngdang kechi ajung aji agiang aser tenla-ang: tarongba tenla asoshi nashi, aser tsük netzükba oset aser süng asoshi süngratem yangi lir: 
2SA.24.23	ya ajak, Oh chuba, Araunai chuba nem agütsür.” Aser Araunai chuba dang ashi, “
2SA.24.24	Saka chubai Arauna dang langzü, “Masü, saka ni aji na nungi jenjang ka agi alitsü: ni angati anguba agi kü 
2SA.24.25	Yangji Dawidi 
1KI.1.1	Tang Dawid chuba tambur, aser arishi küm nung tain liasü; aser parnoki pa nem sü abentsü, saka pai talem mangu. 
1KI.1.2	Anungji par kilirtemi pa dang ashi, “Kü Kibuba chuba asoshi tasüngtet aiür ka bushidakjang aser la chuba tsüngdang noktakdakjang aser pa anebaludakjang; kü Kibuba chubai talem ngutettsüsa ne teku nung la mangalokdakjang.” 
1KI.1.3	Anungji parnoki aiür tobur tajung ka Israel temeket ajak nung bushi, aser parnoki Shunam-tsür Abishag ngua la chuba dangi anir aru. 
1KI.1.4	Aser aiürlaji tobur kanga tajung liasü; aser lai chuba yaria mesü, saka chubai la memetet.
1KI.1.6	Tebui kecha südanga, “nai kechiba yamai inyak?” ta shia pa mejashidaktsü, aser pa aso-ajen kanga tajung liasü, shiba Absalom sülen aso. 
1KI.1.7	Aser pai Zuria chir Yoab aser putir Abiathar den sensak sema parnoki Adonija sülen anitaka pa yari. 
1KI.1.8	Saka putir Zadok, Yehoiada chir Benaia, ainkar Nathan, Shimei, Rei aser tamarenertem shir Dawid den liasü, parnokji Adonija den maliasü. 
1KI.1.9	Adonijai san, nashi aser tejebketba shirurutem Zoheleth lung, tzüpokdak lenmang anasa tetepsetba tenla agütsü. Pai pa adianutem ajak, chuba chirtem, Yihuda nüburtem aser chuba kilirtem ajak chiyungdaki jaok. 
1KI.1.10	Saka ainkar Nathan, Benaia aser tamarenertem aser pei adianu Solomonbo maja.
1KI.1.12	Anungji tang ni na aser ne jabaso Solomon taküm kümzüktsü asoshi tasa kar sayudi, 
1KI.1.13	Oang aser Dawid chuba dang shiang, ‘Kü kibur chuba, kü chir Solomon kü melen chubatsü ta nai kü dang azüngashia meshika ma? Ajangla kechiba Adonijai chubar? 
1KI.1.14	Ano Nathani ashi, Na pa den jembia alidangjisa nia ajagi arutsü aser nai ashibaji akangshidaktsütsü.’
1KI.1.15	Anungji Bathsheba chuba dangi oa kidangi ai. Pa kanga tambur aser Shunamtsür Abishagi pa anebalua liasü. 
1KI.1.16	Bathshebai apudaka chuba dang akhümtsübu sayu, aser chubai asüngdang, “Nai kechi aginür?”
1KI.1.17	Lai pa dang ashi, “Kü Kibuba, nai 
1KI.1.18	Tang ajiang, Adonijai yimsü asür, aser na kü Kibuba chubai aji memetet; 
1KI.1.19	aser pai nashi aser tejebketba shiruru aser san teperi tepseta chuba chir ajak, aser putir Abiathar aser temeranger tanishiba Yoab pai aja, saka pai ne tenzüker Solomonbo maja. 
1KI.1.20	Tang kü Kibuba chuba, Israel chirtemi kü Kibuba chuba sülen shiba chuba menden nung amentsü aji parnok dang shidaktsütsü ne dak repranga lir. 
1KI.1.21	Mesüra ya ataloktsü, kodang kü Kibuba chuba pei tetsü-teboutem den mejangdir, oda ni aser kü chir Solomon tamajung purtem rongnung züngsemtsü.”
1KI.1.22	Ajiang, kodang lai maneni chuba den jembia alidang, ainkar Nathan ait. 
1KI.1.23	Aser parnoki chuba dang, Ainkar Nathan arua lir ta ashi. Kodang pa chuba dangi aru, pa tejak alilen mechioker pai chuba tsüngdang apudak. 
1KI.1.24	Nathani ashi, “Oh chuba, kü Kibuba, Adonijai kü sülen chubatsü aser pa kü chuba menden nung amentsü ta nai ashi no? 
1KI.1.25	Kechiyong pa tanü luogo aser nashi aser tejebketba shiruru aser san teperi pai tepseta chubar chirtem, temeranger tanishirtem aser putir Abiathar pai aja; aser ajiang, parnoki pa tsüngdang chia jema ashir, Adonija chuba arishia liang.” 
1KI.1.26	Saka oda ne tenzüker, ne putir Zadok, aser Yehoiada chir Benaia aser ne jabaso Solomon pai maja. 
1KI.1.27	Ibai kü Kibuba chubai inyak asü, aser nai ne tenzükertem dang kü Kibuba chuba menden nungji pa sülen shiba amentsü ibaji memetetdaktsü asü?
1KI.1.28	Idangji Dawid chubai langzüa ashi, “Kü dangi Bathsheba jaang” aser la chuba alidaki arua pa tsüngdang noktak. 
1KI.1.29	Chubai azüngashia ashi, Lendong ajak nungi kü tanela kümzükba 
1KI.1.30	“atangji 
1KI.1.31	Idangji Bathshebai pei tejak alilen mechioka apudak aser chuba dang akhümtsübu sayua ashi, “Kü Kibuba chuba Dawid tatem makai liang.”
1KI.1.32	Dawid chubai ashi, “Putir Zadok, ainkar Nathan aser Yehoiada chir Benaia kü dangi jaang.” Aser parnok chuba tsüngdangi aru. 
1KI.1.33	Chubai parnok dang ashi, “Nenok den nenok 
1KI.1.34	Putir Zadok aser ainkar Nathani Israel madak chuba asütsü pa totzü mezüja shimtetang aser nenoki jangzü apua Solomon chuba talangka liang ta shiang. 
1KI.1.35	Idangji nenok pa sülen atutsü, aser pa arua kü chuba menden nung amentsü; kechiyong pai ni melena chubatsü aser pa Israel aser Yihuda madak tanishir asütsü shimtet.”
1KI.1.36	Yehoiada chir Benaiai chuba dang langzüa yamai ashi, “Amen, 
1KI.1.37	Koda kü kibur chuba den 
1KI.1.38	Anungji putir Zadok, ainkar Nathan aser Yehoiada chir Benaia, Kheret aser Pelet nunger alua Dawid chuba meyong gado nung Solomon mendaktsür Gihoni pa anir aru. 
1KI.1.39	Aser putir Zadoki süki nungi totzü pungdang agitet aser Solomon dak mezütsü aser parnoki jangzü apua nisungtemi ashi, “Solomon chuba talangka liang!” 
1KI.1.40	Aser nisung ajak pa sülen atua jemji apua tepela tulu agi pelatep, anungji parnok ola agi ali atenten.
1KI.1.41	Adonija aser pa den alirtem chia ajemba tema arudang parnoki aji angashi. Kodang Yoabi jangzü ola angashi, pai ashi, “Kechisünung iba nanüng tulu ya yimti nung adoker?” 
1KI.1.42	Pai tejembidak nung, ajiang, putir Abiathar chir Yonathan aru, aser Adonijai ashi, “Ajiang, kechiyong na tetemsü nisung aser osang tajung abensang.”
1KI.1.43	Yonathani Adonija dang ashi, “Atangji asen kibur Dawid chubai Solomon chuba kümdaktsüogo. 
1KI.1.44	Chubai putir Zadok, ainkar Nathan, Yehoiada chir Benaia, Kheret aser Pelet nunger pa den yok, aser parnoki chuba gado nung pa mendaktsü. 
1KI.1.45	Putir Zadok aser ainkar Nathani pa Gihon nung chuba asütsü totzü mezüja shimtet, aser parnok iba nungjagi pelashishia atu, anungji yimti nung tanaben ola adoker. Nenoki angashiba olaji iba nanüng olaji lir. 
1KI.1.46	Solomon chuba menden nung menogo. 
1KI.1.47	Aser talisa chuba tenzükertemi asen kibur Dawid moatsütsü arua ashi, Ne Tsüngremi Solomon ne tenüng dang nungi tajungba kümdakjang, aser ne chuba menden dang nungi pa chuba menden tuluba kümdakjang. Aser chubai pei sasa yipten manung apudak. 
1KI.1.48	Chubaia yamai ashi, Kü tenük agia nguteta tanü kü chuba menden nung amentsü shibai agütsü, iba Israel Tsüngrem 
1KI.1.49	Adonija tembar ajaki tsübua arameso aser nisung shia pei lenmangi ao. 
1KI.1.50	Aser Adonijai Solomon tsübu aser pai aramesoa noktaker oa tenladak tezü
1KI.1.51	Solomon dang ashi, “Ajiang, Solomon chuba Adonijai tsübur; kechiaser ajiang, pai tenladak tezü nung amer ashir, Solomoni nok agi pei lar melepsettsü ta kü dang tamasa azüngashiang.”
1KI.1.52	Solomoni ashi, “Pai pei sasa nisung tetemjen ka ta sayutetra, pa tekolak nungi ku jang kata ali nung metsüktsü; saka pa dak tamajungba ngura, pa asütsü.” 
1KI.1.53	Anungji Solomon chubai yok aser parnoki pa tenladak nungi anir alu. Aser pa arua Solomon chuba dang akhümtsübu sayu, aser Solomoni pa dang ashi, “Ne kidangi oang.”
1KI.2.1	Tang Dawid asütsü anogo tonga aru nung pai pei jabaso Solomon dang ashi, 
1KI.2.2	“Ni alima ajak yimya lenmangi odagi, anungji na tashi itang, aser ne sasa nisung ka ta sayuang. 
1KI.2.3	 ne Tsüngrem ne den yuang, pa lenmang nung jajaang aser pa tzüzüng ozüng, pa ozüng, pa telatet ozüng aser pa kuli, Mosa ozüng nung züluba amato nai kechisa inyaker, aser ne sasa nai kolenisa odir idakji renloktsü nai yuang. 
1KI.2.4	Kü indang jembiba 
1KI.2.6	Anungji ne shisatsü tangatetba ama inyakang, saka pa ku temesüngji tesünep nung leperi teyuok. 
1KI.2.7	Saka Gilead nunger Barzillai chirtem dang temeim sayuang, aser ne langbang nung chiyungba pur parnok südakjang, kechiyong ni ne adianu Absalom nungi ajen dang parnok kü dangi aru.”
1KI.2.9	Tang aji asü nung pa tai maka tabo tezüngshi, kechiyong na shisa taka nisung; aser nai pa dang kechi inyaktsü aji metettsü, aser nai pa ku temesüngji azü den leperi abentsü.”
1KI.2.10	Tang Dawid pei tebutem den mejang aser Dawid yimti nung arem. 
1KI.2.11	 Dawidi Israel madak chubabaji küm lir liasü. Hebron nung pai küm tenet chuba, aser Yirusalem nung pai küm semer-asem chuba. 
1KI.2.12	 Aser tebu Dawid menden nung Solomon amen aser pa yimli kanga ulua yanglu.
1KI.2.13	Idangji Haggith chir Adonija Solomon tetsü Bathsheba dangi aru. Aser lai asüngdang, “Na yimjung nung arur asü?” Pai langzü, “Yimjung nung.” 
1KI.2.14	Ano pai ashi, “Ne dang ni ashitsü langka lir.” Lai langzü, “Shiang.”
1KI.2.15	Pai ashi, “Yimliji kü meyong ta nai metet aser kü nem chubadaktsütsü Israel chir ajaki kü dak repranger, saka yimliji meyipogo aser künu meyong kümogo; kechiyong ibaji 
1KI.2.16	Tang ni ne dang langka mepishir, Kü dang ma ta teshi,” aser lai pa dang ashi, ‘Shiang.’ 
1KI.2.17	 Pai ashi, ‘Shunam tsür Abishagji kü kinungtsü asütsü agüjang ta nai Solomon dang ashitsü ni mepishir.’ 
1KI.2.18	Bathshebai langzü, ‘Hau, ni na asoshi chuba den jembitsüdi.’
1KI.2.19	Anungji Bathshebai Adonija asoshi Solomon den jembitsü ao. Aser chubai aramesoa la den ajuruteptsü noktak aser pa sasa la tsüngdang apudak aser pei chuba menden nung amen, aser pai tetsü amentsü asoshi menden ka agütsü aser lai pa tajichi len amen. 
1KI.2.20	Idangji lai ashi, “Ni ne dang langka mepishinür, kü dang ma ta teshi.” Chubai la dang ashi, “Oja, asüngdangang, ni ne dang ma ta mashitsü.” 
1KI.2.21	Lai ashi, “Shunamtsür Abishagji nedi Adonija kinungtsü asütsü agüjang.”
1KI.2.22	Solomon chubai langzüa tetsü dang ashi, “Adonija asoshi Shunamtsür Abishag kechiba nai asüngdanger? Pa asoshi yimlijia asüngdangang, kechiyong pa küdi, pa asoshi aser putir Abiathar asoshi, aser Zeruia chir Yoab asoshia asüngdangang.” 
1KI.2.23	Anungji Solomon chubai 
1KI.2.24	Anungji tang 
1KI.2.25	Anungji Solomon chubai Yehoiada chir Benaia nem ozüng agütsü, aser pai Adonija dak lepoktsü aser pa asü.
1KI.2.27	 Anungji Shilo nung Eli kibong asoshi kechi jembi, 
1KI.2.28	Iba osangji Yoab dangi aru, kechiyong Yoabi Absalom tsütsü memeyipaka, pai Adonija tsütsü meyip. Aser Yoabi 
1KI.2.29	Yoabi 
1KI.2.30	Benaia 
1KI.2.31	Chubai pa dang ashi, “Pai ashiba ama inyakang, aser kübu ki nungi aser ni nungi kecha kuli makai Yoabi pi zü tokshiba, tai bener aotsü asoshi pa tepsetang aser remang. 
1KI.2.32	i pa züji pa tekolak manung yutsütsü, kechiaser pai pa dang nungi tajungba aser temeshiba nisung ana pei nok agi tepset. Aser kübu Dawidi memeteti pai Ner chir Abner, Israel temeranger telok arkotong, aser Yether chir Amasa, Yihuda temeranger telok arkotong tepset. 
1KI.2.33	Anungji parnok zü Yoab kolak nung alitsü aser pa semchisemnur kolak nung teti alitsü saka Dawid aser pa semchisemnur dang aser pa kidong aser pa chuba menden nung 
1KI.2.34	Anungji Yehoiada chir Benaia atu aser pa dak pungloka pa tepset aser arem nung pei kidang paji arem. 
1KI.2.35	Chubai Yehoiada chir Benaia temeranger telok pa melena arkotong kümdaktsü. Aser chubai putir Abiathar melena putir Zadok pa menden nung mendaktsü.
1KI.2.36	Chubai Shimei tajai yoka pa dang ashi, “Nai Yirusalem nung na asoshi ki ka yangluang aser nai iba nungjagi tuo. 
1KI.2.37	Kechiyong koba anogo nung nai Kidron ayong ajanga odir, nai ya jungjunga metetang, na shitak asütsü aser ne züji ne kolak manung alitsü.”
1KI.2.38	Shimei chuba dang langzü, “Chubai Ashibaji junger; kü Kibuba chubai ashiba ama, ne tenzükeri benshitsü.” Aser anogo aika Shimei-i Yirusalem nung liasü.
1KI.2.39	Saka küm asem tema arudang, Gath chuba, Maaka chir Akhish dangi Shimei-er alar ana jena ao. Aser parnoki Shimei dang ashi, ‘Ajiang, ne tenzükertem Gath nung lir.’ 
1KI.2.40	Shimei aramesoa pa gado renemer Akhish dangi pei tenzüker bushitsü Gathi oa pai alartem Gath nungi anir aru.
1KI.2.41	Shimei Yirusalem nungi Gathi or tanaben meyipa aruogo ta Solomon dang ashi. 
1KI.2.42	Chubai nisung yoka Shimei jar ashi, “
1KI.2.43	Süra kechiba nai 
1KI.2.44	Chubai ano Shimei dang ashi, “Nai kübu Dawid tsüngdang inyakba, ne mulungjang nung miima yua aliba tamajung ajak ni metet, anungji chubai ne temenen mapatemji ne kolak nungsa enloktsütsü.” 
1KI.2.45	Saka Solomon chuba moatsütsü, aser Dawid chuba menden 
1KI.2.46	Anungji chubai Yehoiada chir Benaia dang ozüng agüja pai oa pa dak lepoktsü aser pa asü. Aser Solomon teka nung yimliji tashi ita yanglu.
1KI.3.1	Solomoni Ijip chuba Farao den temba ayim, aser pa jala agi, aser chuba ki, 
1KI.3.2	Iba mapang tashi nungji 
1KI.3.3	Solomoni 
1KI.3.4	Chubai külemtsü asoshi Gibeoni ao, kechiyong ibaji tenem talang liasü, aser iba tenla dakji Solomoni tarongba tenla meyirijang ben tashi tenlar liasü. 
1KI.3.5	Gibeon nung aonung pungmang ka nung Solomon dangi 
1KI.3.6	Solomoni ashi, “Dawidi ne jakdang ochiba aser temeshiba nung, aser ne den temulungsentsü temerük agi jajaba yari, nai ne tenzüker Dawid, kübu dang temeim tulu sayu, aser tanü anogo ama, nai pa nem jabaso ka pa chuba menden nung amentsü agütsü. 
1KI.3.7	Tang Oh 
1KI.3.8	Aser nai shimtetba kin tulu koba nisung jenti asüba yong züngdangtsü makok, parnok rongnung ne tenzüker lir. 
1KI.3.9	Anungji ne nübur telok tulu o bendangdang tajung-tamajung metettsü asoshi tangatetba mulungsentsü ne tenzüker nem kua, kechiyong ne nübur telok tulu ya shibai o bendangtsü akoktsü?”
1KI.3.10	Solomoni iba asüngdangba nung 
1KI.3.11	Tsüngremi pa dang ashi, “Kechiaser nai ya-ang asüngdang aser nai ne arishi talang asoshi mesüra na takar asütsü asoshi mesüra ne tsükchir taküm asoshi masüngdang, saka nai ochi obendangba angatettsüang asüngdang; 
1KI.3.12	ajiang, ne o ama ni inyakogo, oda ne jakdang na mesüka tangar shinga malitsü mesüra ne sülen na ama shinga madoktsü asoshi, ajiang, ni ne nem shisatsü aser tangatettsü mulungsentsü agütsüogo. 
1KI.3.13	Nai koba masüngdang ajia ne nem agütsüogo, oda chuba rongnung ne mapang nung na mesüka shinga malitsü asoshi ni rongsen aser tenüngsang ne nem agütsüogo. 
1KI.3.14	Aser nai nebu Dawidi jajaba ama kü telatet ozüng aser kü temelaba amshia jajara, idangji ni ne arishi talang kümdaktsütsü.” 
1KI.3.15	Aser Solomon sak, aser ajiang, ibai pungmang ka liasü, aser pai Yirusalemi arua 
1KI.3.16	Idangji nüktapangtatsür ana arua chuba tsüngdang noktak. 
1KI.3.17	Tetsür kati ashi, “Oh kü Kibuba, iba tetsür aser ni ki ka nung külemi alir, aser lai ngua ni tanur ka aso. 
1KI.3.18	Aser ya adok, ni tanur ka sor anogo asem lir, iba tetsüria tanur ka aso, aser onok külemi liasü, aser iba kidang küna dak alema tangar shinga maliasü. 
1KI.3.19	Iba tetsüri asoba tanurji aonung lai nenset. 
1KI.3.20	La ayatrem nung sak, aser ni mejanga lia lai ni nungi ozü chir tanur mangji bener oa pei teku manung yur, lar chir tasübaji kü teku manung yutsü. 
1KI.3.21	Kodang kü chir nem mama yongdaktsütsü ni sak, ajiang, tanurji tasü liasü, saka kodang ni anepdang iba indang bilem, ajiang, kü den aliba tanurji kü chir masü.”
1KI.3.22	Tangar tetsür jagi ashi, “Masü, taküm alibaji kü chir aser tasübaji ne chir.” Aser laia ashi, “Masü, tasübaji ne chir aser taküm alibaji kü chir;” yamaji chuba tsüngdang parnoki jembi.
1KI.3.23	Idangji chubai ashi, “Katia ashir, Taküm alibaji kü chir, aser tasübaji ne chir; ano katia ashir, Masü, saka tasübaji ne chir, aser taküm alibaji kü chir.” 
1KI.3.24	Chubai ashi, “Kü nem nok ka kua.” Aser parnoki chuba tsüngdangi nok ka bener aru. 
1KI.3.25	Aser chubai ashi, “Taküm aliba tanurji ana küma lepdanger, tesadang ka ka nem, aser tesadang ka la nem ta agüjang.”
1KI.3.26	Idangji tetsürla shiba taküm aliba tanur tetsü liasü, lai chuba dang ashi, kechiyong lai tanur asoshi pei shi agi shia bilema lai ayimten, “Oh kü kibuba, taküm aliba tanurji la nem agüjang, kodakang aji melepsetka.” Saka tangar tetsürjagi ashi, “Iba tanurji la indanga masütsü mesüra kü indanga masütsü, ibaji lepdangang.”
1KI.3.27	Idangji chubai langzüa ashi, “Taküm aliba tanurji la nem agüjang, tanurji tetepset ta ashilaji tanur tetsüji lir.”
1KI.3.28	Israel nunger ajaki chubai obendangbaji angashia parnoki süngmang, kechiaser obendangtsü, Tsüngrem shisatsü pa dak lir ta parnoki angu.
1KI.4.1	Solomon chubai Israel ajak madak yimsü asü, 
1KI.4.2	aser itemi pa tongtipurtemji liasü: Zadok chir Azaria putir; 
1KI.4.3	Shisha chirtem, Elihoref aser Ahija tezülurtem; Ahilud chir Yehoshafat tezüluba bendanga ayusang; 
1KI.4.4	Yehoiada chir Benaia temerangertem arkotong; Zadok aser Abiathar putirtem liasü; 
1KI.4.5	Nathan chir Azaria linük yimsüsürtem madak ketdangbuba; Nathan chir Zabud putir: aser chuba tembar; 
1KI.4.6	Ahishar chuba ki madak tanishir, Abda chir Adoniram: mapa inyakertem rongnung tanishir.
1KI.4.7	Solomoni ano Israel ajak nung chiyungtsü madak, aser chuba kidang ketdangsür terana ayu. Parnok nisung shiai ita ka ka atema chiyungtsü anebaludaktsü. 
1KI.4.8	Parnok tenüng yamai liasü: Efraim tenem linük nung Ben-hur; 
1KI.4.9	Makaz, Shaalbim, Beth-shemes, Elon aser Beth-Hanan, Ben-Deku; 
1KI.4.10	Arubboth nung Ben-hesed jabaso, pa linükji Sokoth nungi Hefer arrtsü tashi. 
1KI.4.11	Dor linük ajonga nung Ben-abinadod jabaso, Solomoner jala Tafat pa kinungtsü liasü, 
1KI.4.12	Taanak aser Megiddo, Zarethan anasa aliba Beth-shean ajak Yezreel kübok Beth-shean nungi Abel-mehola aser Yokmeam tashi nung Ahilud chir Baana liasü; 
1KI.4.13	Ramoth-Gilead nung Bengeber (pa den Yiar yimtem Manase chir Gilead nung aliba ano Argob linük koba Bashan nung lir, iba jara aser yongmenyin tasüdangtsüba yokba yimti tulu roker); 
1KI.4.14	Mahanaim linük nung Iddo chir Ahinabad; 
1KI.4.15	Naftali linük nung Ahimaz, pai Solomon jala Basemat agi; 
1KI.4.16	Asher aser Aloth nung Hushai chir Baaona; 
1KI.4.17	Issakar linük nung Parua chir Yihoshafat; 
1KI.4.18	Benjamin linük nung Ela chir Shimei; 
1KI.4.19	Gilead nung Amor chuba linük Sihon (aser Bashan chuba Og nung Uri chir Geber). Item madak paji dang yimsüsür liasü.
