LUK.1.1	Mullc ômënj ar llôtë pisuprë tas spunë aceli ci sënt fapti ku noj, 
LUK.8.24	Dishepujё i'j s'i apurqarё a Jezus, u zhdëpëtarё sh i'j xësërё: “Mvëcëtor, mvëcëtor ma n'i nёkёm.” Ell s'i zhdёpёtё, u vërji vimtu shi tallazu sert, sh ej di-unôrё qindurirё. 
LUK.8.25	Jezus ll'u xёsi a dishepujllu: “Ju esti pistusera a vôstё?” Ej ara aspёrac shi çudusic, sh xësërë un-di-allant: “Kaj esti aist ci faci timbii shi vimtu shi apa, sh'eli s'i apunё?”
LUK.8.26	Dapoja axhumsёrё tu biloku a gerasenёllor, ci ara di allantё marxënё a gjolu, qandra di Galilea. 
LUK.8.27	Kёnd dupunё tu marxёnё, all Jezus i'j ishё dininti un om di aca kasabai. Aist om ara umpllut ku sufulltu a djavollu, shi avja qëro ci nu s'vёshtja sh nu bёna akasё, ma pit mirëminc. 
LUK.8.28	Kёnd vёxu Jezus, ell sёlёgji unё aurrari, gёxu pёrdinc dininti a lluj shi aurrё ku bocia analltё: “Ci aj ku mini Jezus, Hjij a Dumёxё ma anallt? Ma c'fak rixhai, nu m'i sturnjupsja!”, 
LUK.8.29	kё Jezus i'j xesi a sufulltu urrut tas isha di acell om. Sufulltu urrut o-vja umpllutё acell mullt or, tiaca u lёga ku zinxhiri shi u cënia tu hjarrё, ma ell l'i fërnxja hjarrёli shi draku u pinxja tu errnjii (pustinjë). 
LUK.8.30	Dapoja Jezus u tёrbё “Kum ôj numa?” Ell j'u turrё “Legjion”, kё nunt lla nёs avja intratё mullc demonj. 
LUK.8.31	Shi djavollu i'j fëcja rixhai a Jezus tas s'nu ursja demonjjë s'i aminë tu rripë. 
LUK.8.32	Ako ara unё kupii mari di porrc, ci ma pёshtja tu munti shi draku i'j feci rixhai tas o llësa s'intra tu kupia di porrc. Jezus o-llёsё. 
LUK.8.33	Kit ishё di acell om sufulltu a djavollu, s'hjipsi tu porrc. Porrcjё kёrcёnirё tas arrsëra dit rripё tu gjol, shi s'nëkarё. 
LUK.8.34	Kёnd vëxurё ci unxi, acej ci pёshtja porrcjё, kërcënirё shi rrëspëndirё hëbara pit hor shi pit kasabai. 
LUK.8.35	Ômënjjё vinërё tas vjadё ci avja unxitё. Kёnd axhumsërё lla Jezus, afllarё omu ci avja skëpatё, shi di nёs ara dëpёrtac demonjjё. Ell ara apus tu çëçôrrё a Jezus, ara mvëskut sh ku mintja bunё. Ej j'akëcё frika. 
LUK.8.36	Acej ci avja vëxutё aca ci s'feci, ll'u spusërё kё kum ara vindёkat umpllutu di sufulltu a demonjllu. 
LUK.8.37	Dapoja tuc ômёnjjё a shtëlluj biloku i'j këftarё a Jezus tas s'i dëpërtjaxё di nёsh, kё avja mulltё frikё. Jezus s'alënё pi varkё shi s'turrё. 
LUK.8.38	Omu ci skëpё di djavollu i'j këftё a lluj tas sta ku nёs, ma Jezus u nqësi sh i'j xësi: 
LUK.8.39	“Tôrrёti lla kasa a ta, shi spunё ci ari faptё Dumёxë ti tini.” Ell s'dёpёrtё shi spusi tu tuti kasabaili ci avja faptë ti nёs Jezus.
LUK.8.40	Kёnd ma s'turra, a Jezus j'isharё dininti mullc ômënj ci ma o-shtëpta. 
LUK.8.41	Astumsëna s'apurqё un burbat ku numa Jair, ci ara ma marrё ali sinagogi, sh i'j gëxu pi çëçôri a Jezus. Ell i'j fece rixhai tas nёxja lla kasa a lluj 
LUK.8.42	kё fjata a lluj, singura, ci ara dojspërxaci di anj, ma mura. Kala ti lla kasa a lluj, ômënjjё di tuti pёrcli ma s'pinxja. 
LUK.8.43	Shi unё mujeri ci stërrxja di dojspërxaci di anj di llëngôra a sënxili, ku tutё ci avja harxhuitё tutë avera a je, içvërr nu avja pёtutë tas u vindëka. 
LUK.8.44	Ija s'apurqё di dinëpoj, akëcё ku mëna a je cepu ali manteli, shi di-unôrё i'j qinduri sënxili. 
LUK.8.45	Astumsëna Jezus xësi: “Kaj dedi pi mini?” Tuc u fecërё asha. Pjetru i'j xësi “Mvëcëtor, ômënjjё ma t'ja vërrtest shi ma ti ping” 
LUK.8.46	Ma Jezus xёsi: “Un om m'ja këcё ku mëna, shi aduqij ci nj'ishё fuqii di mini.” 
LUK.8.47	Astumsëna mujera, kёnd vëxu ci nu putja s'i askundё, vini sh trumbura. Gёxu pi çëçôrrё a lluj shi spusi dininti a tutëllor ti ci o-vja akëcatё ku mëna Jezus, sh kum ara vindёkatë di-unarё. 
LUK.8.48	Jezus i'j xësi: “Hjijё, pistusera a ta t'i ari skёpatё. Fux tu irini.” 
LUK.8.49	Kёnd ma gra, vini un di kasa a ma marrё ali sinagogi shi i'j xësi: “Hjijëta muri. Nu u stinahorsja ninga mvëcёtoru.” 
LUK.8.50	Kёnd o-vxё aistё Jezus i'j xёsi: “Nu t'ja spari, gollё pistusja shi ija us skapё.” 
LUK.8.51	Kёnd axhumsi akasё, nu allёsё içvёrr tas intrë ku nёs, gôllё Pjetru, Gjon, Jakob, mësa shi tatёsu a fetiji. 
LUK.8.52	Tuc pёllnxja ku kuji, ma Jezus xёsi: “Nu pëllnxec, ija nu e môrtё, ma, ma dôrmi.” 
LUK.8.53	Ma ej s'ja rrëdja, kё u shtja ci fjata avja muritё. 
LUK.8.54	Astumsëna Jezus u llo di mёnё sh i'j xësi: “Fjatё skôllë!” 
LUK.8.55	A je i'j s'i turrё sufulltu shi s'i skullё di-unôrё. Dapoja Jezus ll'u xësi s'i'j da ti mёkari. 
LUK.8.56	Përincjё a je s'hërësirё mullt, ma Ell ll'u xësi s'nu i'j spunia a içvërruj ci avja unxitë.
LUK.9.1	Jezus ll'u gri a dojspёrxacëllu shi ll'u dedi forcё shi fuqii pisti tuc djavujë, shi forcё ti vindëkari llёngôrrё. 
LUK.9.2	Dapoja i'j pëtёrku tas spunё ti kratu a Dumёxё, shi s'vindëkё llëndëcjё. 
LUK.9.3	Astumsëna ll'u xësi: “Nu lloc cёva ku voj ti kali, niki pulan, niki trast, niki pёni, niki prax sh nu cënec doj palltax. 
LUK.9.4	Tu aca kasё ci us intrac, ako stёtec pën kёnd s'fuxic. 
LUK.9.5	Ma kë vёrr nu v'i aprôqё, kёnd s'ishac di acell billok skuturac pullbёra di çëçôrrё a vôsti, tas ll'u spunec ci hjic kondra ku nёsh.” 
LUK.9.6	Dishepujё nqësirё shi nesёrё pit hor, ju spunia ti evanghelu shi jucёdo vindёka.
LUK.9.7	Herod tetrarku avxё ti tuti aisti ci avja unxitё shi s'i stinahorsi, kё ndoj xëcja ci Joan esti injjat di mort, 
LUK.9.8	ndoj allc xëcja ci ara funusit Elia, shi ndoj allc xëcja ci ara injjat un di profecje veq. 
LUK.9.9	Herod xësi: “All Joan j'am tëjatё kapu, ma kaj esti aist ci ma avd di ahtari llukëri?” Shi këfta tas u vёdja.
LUK.9.10	Kёnd s'turrarё, apostujё i'j spusërё a Jezus ti tuti llukërrë ci avja faptё. Ell i'j llo apostujё shi s'dёpёrtё singur ku nёsh tu unë kasabai ci s'akjёma Betsaid. 
LUK.9.11	Kёnd ômënjjё u llarё di hёbari aistё gjëji, nesёrё dupi nёs. Jezus j'ashtëptё gjini, shi ll'u spusi ti kratu a Dumёxё shi vindёka acej ci ara llёndëc. 
LUK.9.12	Xua ahurhji s'tunerëkë shi dojspërxacëjё i'j s'i apurqarë a Jezus, shi i'j xësërё: “Nqёsja ômënjjё s'nagё pit hor shi pit bilokërrё afigërra, tas s'i ndragё shi s'mëkё, kё aist bilok esti shkret.” 
LUK.9.13	Ma Jezus ll'u xësi: “Dëdecëllu voj cëva ti mëkari!” Ej j'u turrarё: “Noj avem gôllё cinci pёnj shi doj peshq. S'nëxem tas kupurёm pёni ti tuc aiç ômënj?” 
LUK.9.14	Ako ara aprôpja cincinjijё di burbac. Jezus ll'u xësi a dishepujllu: “Apunacij ômënjjё kiti cinxëc di ish!” 
LUK.9.15	Ej ashё fecërё sh j'apunarё tuc. 
LUK.9.16	Jezus llo cinci pënj shi doj peshq, anëllcё oqjё sus kiti cerl, këftё rucënjli a Lluj, l'i frrёmsi pënjli sh l'i dedi a dishepujllu tas ll'u dëdja a ômënjllu. 
LUK.9.17	Tuc mëkarё shi s'fënëtirё. Ci arrëmasi l'i adunarё shi s'i umpllurё dauspërxaci di shporti ku bukëc di pёni.
LUK.9.18	Unôrё kёnd Jezus ma i'j fëcja duvai a Dumёxё tu un bilok singur, shi dishepujё ara ku nës, ell i'j tërbё: “Kum xёk ômënjjё, kaj est mini?” 
LUK.9.19	Ej i'j xësërё: “Ndoj xëk kё esht Joan Pëtëxёtoru, allanc kё esht Elia, ndoj allc xëk kё esti injjat vërr di profecjë veq.” 
LUK.9.20	Dapoja ll'u xësi: “Ma voj kum xëcec, kaj est mini?” Pjetru i'j turrё xhuvapi: “Tini esht Hristollu a Dumёxё”.
LUK.9.21	Jezus i'j ursi ej tas nu i'j spunia a içvërruj ti aistё 
LUK.9.22	shi ll'u xësi kё Hjiju a Omu lipseshti s'i sturnjupsjastё mullt, kё nu us aprôqë aushje, prefcjë shi skribёnjjё. Dapoja us u vatёmë, ma dupi tre xëli us injjaxё. 
LUK.9.23	Dapoja ll'u xësi a tutёllor: “Kaj vra s'jinё dupi mini, as fakё asha sinia a lluj, s'ja kёrucja a lluj kathi xuё shi s'mja shtjarrё. 
LUK.9.24	Kajcёdo ci vra tas skapё bana a lluj, us'u qarё aca, shi kajcёdo ci u qeri bana a lluj ti sebepja a mja us'u skapё aca. 
LUK.9.25	Ci buniacё us avja omu ma s'llô tutё dunea shi s'qёra iti s'rrustuna sinia a lluj? 
LUK.9.26	Ma Hjiju a Omu, kёnd s'jinё ku tinjia a lluj shi ku tinjia a Dumёxё shi a ëngjёllu, us'i'j jinё arrushëni ti acej ci s'arrushuniaxë di sebepja a mja, iti di zbôrrёli a njeli. 
LUK.9.27	Shi ku tutё mintja us v'i xёk kё, ndoj di acej ci sënt aô, nu us u vjadё môrtja n'i vёxutё kratu a Dumёxё”.
LUK.9.28	Dupi optu xëli ci xësi aisti zbôrri, Jezus llo ku nёs Pjetru, Gjon shi Jakob, shi s'ja lënё tu munti tas allavdë Dumёxё. 
LUK.9.29	Kёnd ma zburra, prosupu a lluj s'ja llёksi shi stranjli s'fecërё albi skёpërôsi. 
LUK.9.30	Dapoja vëxurё doj burbac ci ma zburra ku Jezus. Ara Moisiu shi Elia, 
LUK.9.31	ci s'funusirё ku llunjinё shi ma gra ti aca ci us patë Hristollu ku kurrfusera a lluj tu Jerusalem. 
LUK.9.32	Pjetru shi acej ci ara ku nës, j'avja kёcatё somu, ma kёnd s'i zhdëpёtarё, vëxurё skëpërara a lluj shi a doj burbacëllu ci ara ku nёs. 
LUK.9.33	Kёnd ma s'përca Pjetru i'j xësi a Jezus: “Mvëcëtor, kit gjini ci hjim aô. S'skullëm tre tendi, unё ti tini, unё ti Moisiu shi unё ti Elia.” Pjetru nu shtja ci xëcja. 
LUK.9.34	Kёnd ma zburra, vini un vimt shi j'adunё. Kёnd intrarё tu nor dishepujё s'aspërarё. 
LUK.9.35	Dapoja dit nor s'avxё unё bôci: “Aist esti Hjiju a njell ma aleptu. Avxacu!” 
LUK.9.36	Kit s'avxё bôcja, Hristollu arrёmasi singur. Ej nu grirё, shi aca xuё nu i'j spusërё a içvёrruj ti tuti aceli ci avja vёxutё.
LUK.9.37	Allantё xuё, kёnd dupunarё dit munti, ll'u isharё dininti mullc ômёnj. 
LUK.9.38	Astumsëna un burbat i'j gri: “Mvëcëtor, c'fak rixhai, vex nihjamё ficorru a njell, kё ôm singur! 
LUK.9.39	Ell s'i umpllё ku sufulltu urrut ci u faci tas aurrё, u skutërё shi u pёskёneshti pënd s'i'j skôtё spllumё di n'gurё. U kurmё mullt shi s'dëpërtjaxё ku mulltё zori di nёs. 
LUK.9.40	Ll'u feç rixhai a dishepujllu a tëj tas u vindëka, ma nu pёturё.” 
LUK.9.41	Jezus ll'u xësi: “Ômёnj ci nu pistusic shi anapudh. Sh kit qёro us est ku voj? Pën kёnd us v'i arravd? Adu aô hjijёtu”. 
LUK.9.42	Kёnd ma o-ducja, djavollu u pёskёni mpadi fiçorru shi u përpёli. Ma Jezus u vërji sufulltu urrut, u vindëkë fiçorru, shi j'u turrë a tatësu. 
LUK.9.43	Tuc s'hërёsirё ku buniaca ci feci Dumёxё.
LUK.9.43	Kёnd tuc ma s'çudusja ku tuti aisti ci avja faptё, Jezus ll'u xësi a dishepujllu: 
LUK.9.44	“Bëgacij ureqja gjini a zbôrrёllu ci us v'i xëc: Hjiju a Omu us s'i parada tu mënjli a ômёnjllu.” 
LUK.9.45	Ma ej nu l'aduqirё aisti zbôrri. Ci vra s'xëkё aisti zbôrri, nu u llôrё di hёbari, shi avja frikё tas u tёrba.
LUK.9.46	Namёsa di dishepuj s'i zdifeci unё muhabeti, kё kaj di nёsh ara ma mari. 
LUK.9.47	Ma Jezus, ci u kunushtja mintja, sh inёma a llor, llo un cilëman shi u cёnu aprôpja. 
LUK.9.48	Dapoja ll'u xësi a dishepujllu: “Kaj o-prôqё aist cilёman tu numa a mja, m'jari apurqatё anjia, shi kaj m'i aprôqё anjia, aprôqё acell ci m'i ari petërkutё. Ma njiku di tuc voj, acell esti ma marrё”.
LUK.9.49	Astumsëna Gjon i'j xësi: “Mvëcëtor, vëxum un om ci aurra djavullu pi numa a ta, shi noj nu o-llësёm, kё nu t'ja shtjarrё dinёpoj dadun ku noj.” 
LUK.9.50	Ma Jezus ll'u xësi: “Nu u dëpёrtac, kё kaj nu esti kondra ku voj, esti ku voj”.
LUK.9.51	Kёnd ma s'apurqa xëlili ci us s'anëllca tu cerl, Jezus feci apofasi ti nëxeri tu Jerusalem, 
LUK.9.52	shi pëtёrku ma ninti acej ci us aducja hëbara. Kala, ej qindurirё tu unё hôrё di samaritanj tas i'j fëcja etёm ti Jezus 
LUK.9.53	ma ej nu j'apurqarё, kё Ell ara nqësit ti Jerusalem. 
LUK.9.54	Kёnd dishepujë a lluj, Jakob shi Gjon u vëxurё aistё gjёji, i'j xësërë: “Jezus, vre tas s'dëdem komandë s'dëpunё di cerl foku shi s'i'j sterqastё?” 
LUK.9.55	Ma Jezus s'turrё sh i'j vërji. “Nu shtic di ci duh hjic umplluc. Hjiju a Omu nu vini tas l'i qarё sufullcjë a ômёnjllu, ma tas l'i skapë” 
LUK.9.56	Dapoja nesërё tu unё hôrё alltё.
LUK.9.57	Kёnd ma imna kala, un di nёsh xësi: “Us t'ja shtjerr jucëdo ci us nex.” 
LUK.9.58	Ma Jezus llu xёsi: “Vulpja ari guvё shi pujё tu cerl ar kubajur, ma Hjiju a Omu nu ari bilok ju s'ndôpёrrё kapu”. 
LUK.9.59	A unuj allt i'j xёsi: “Hajdi dupi mini!” Ma ell ju turrё: “Jezus, allasёmi tas neg s'ngrop ma ninti tati a njell.” 
LUK.9.60	Jezus i'j xёsi: “Allasij morcjё s'ngrôpё morcjё a llor, sh'tini fux tas spunj ti kratu a Dumёxё”. 
LUK.9.61	Un allt i'j xёsi: “Mini us jin dupi tini, Jezus, ma allasёmi tas s'mi adun ma nunti ku ômënjjё ali kasi.” 
LUK.9.62	Jezus i'j xësi: “Kajcëdo ci bagё mёna pi parmёndё shi u tôrrё kapu dinipoj, nu pôti s'fakё llukёrru a Dumёxё”.
LUK.10.1	Dupi aisti llukёri, Jezus pёtёrku shaptixëx i doj allc. I'j pёtёrku dininti doj kiti doj tu kathi kasabai shi tu kathi bilok ju us nёxja ell ishish. 
LUK.10.2	Shi llu xёsi: “Gërru estan esti fapt mullt, ma ômënj t'i llukrari sёnt pucënj. Fëcecij rixhai a domёsu u agërru s'vi pёtrakё avau ti llukrari tu agërrë a-llor. 
LUK.10.3	Fuxic, ja ma vi pёtrek ka njejë namësa di lluq. 
LUK.10.4	Nu lloc içcëva ku voj, niki prax, niki trasti, niki pёpucё. Kala nu zburrac ku vёrr. 
LUK.10.5	Tu kajcëdo kasё ci us intrac, ma ninti xëcec: ‘Irini sh buniacё s'ajbё tu aistё kasё!’ 
LUK.10.6	Ma kё vёrr ako esti hjij di irini, ruçënjli a vôsti us kadё pi nёs, ma kё nu esti, us'i tôrrё lla voj. 
LUK.10.7	Qinduric tu aca kasё, mёkac shi bjec ci us vi bagё dininti, kё acell ci llukraxё ari ndrept tas s'i pulltjaxё. Nu tёrcec di lla unё kasё tu allantё. 
LUK.10.8	Tu cёdo bilok ci us intrac shi us v'ja shtjaptё, mёkac ci us vi bagё dininti, 
LUK.10.9	vindёkac llëndёcje ci sënt ako shi xëcec: ‘Kratu a Dumёxё esti ku voj.’ 
LUK.10.10	Ma kё intrac tu vёrrё kasabai shi nu us v'ja shtjaptё gjini, ishac tu padi sh xëcec: 
LUK.10.11	‘Sh'pullbëra a biloku a vost, ci esti alёqitё pi çëçôrrё a nosti ma u skuturёm s'arrëmënё ku voj. Ma gollё s'u shtic kё kratu a Dumёxё esti aprôpja.’ 
LUK.10.12	Mini us vi xëk, kё aca xuё Sodoma us o-jbё ma lëshôrё di aistё kasabai”.
LUK.10.13	“Kavaj di tini Korazin! Kavij di tini Betsaidё! Ma s'ara fapti tu Tir shi tu Sidon aceli bunec ci s'fecërё lla voj, ej us ara fapc pishmani ku qёro. Us'i mvështja ku sac shi us'i apuna tu qёnushё. 
LUK.10.14	Sh ku-tutё-aca, ti Tir shi Sidon us hjibё ma lёshôrё di voj tu xua ali ndreptjaci. 
LUK.10.15	Ma tini, Kafarnaum, naka vëhj us t'i anallc pënd tu cerl? Tu katrani us kax. 
LUK.10.16	Kaj vi askulltё avau, m'jari askulltatё anjia, shi kaj nu vi aprôqё avau, nu mi aprôqё niki anjia. Kaj nu mi aprôqё anjia, nu us aprôqё niki acell ci m'jari pёtёrkutё”.
LUK.10.17	Shaptixëc i doj dishepujё s'turrarё mullt hërёsic, shi i'j xësërё: “Jezus, shi djavujё s'apunarё di numa a ta.” 
LUK.10.18	Jezus ll'u xësi: “U vëxuj Satan kёnd ma këdja di sus ka rrufei. 
LUK.10.19	Ja, v'jam datё forcë tas kёllkac pisti nёpёrtic shi akrepënj, shi pisti fuqia a cёlluj ci nu v'i vra. Içvёrr nu us v'i fakё sёllbicё. 
LUK.10.20	Sh ku-tutё-aca, nu v'i hёrёsic kë s, i apunё sufëllcjë, ma hërёsicvё kë numëli a vôsti sёnt skërati ako nxjanё”.
LUK.10.21	Tu acell qёro Jezus s'i umpllu ku hërau, di Sëmtulu Duh sh xёsi: “Ti efharitisest, o Dumёxё, Domn a cerlu shi ali dunei, kё l'aj askumtë aisti llukёri ti acej ci sent mintimenj, shi l'aj zdiviliti ti acej ci sёnt njic. Ashë, o Dumёxë, kё ashё aj vrutë tini. 
LUK.10.22	Tuti nj'i sënt dati di Përintili a njell. Içvërr nu u kёnôshti Hjijёsu ka Përintili, shi içvërr nu u kёnôshti Përintili kum u kënôshti Hjijёsu a lluj, sh acell ci Hjiju vra tas si'j spunё”. 
LUK.10.23	Dapoja Jezus s'turrё kiti dishepuj sh ll'u xësi ahorja: “Hara di oqjё ci vёd aca ci vëdec voj! 
LUK.10.24	Us v'i xёk kё mullc profec sh vësëjë ar vrutё tas vjadё aca ci ma vëdec voj, ma nu l'i vёxurё dot; tas avdё ci ma avxac voj, ma nu l'i avxarё”.
LUK.10.25	Astumsëna un dhaskal a nomlu a Moisiu, si skullё tas u bagё tu provё Jezus sh i'j xësi: “Mvëcёtor, ci lipseshti s'fak tas hërёsest bana ningi Dumёxё?”
LUK.10.26	Jezus i'j xёsi: “Ci si skirё tu nomlu a Moisiu? Ci kёnc tini ako?” 
LUK.10.27	Ell i'j xësi:
LUK.10.27	“S, u vre Domnu, Dumёxёllu a tëll ku tutё inёma a ta, ku tut sufulltu a tёll, ku tutё putera a ta shi ku tutё mintja a ta, shi s'u vre allant ka kum vre sinia a ta.”
LUK.10.28	Jezus i'j xësi: “U xësesh ndrept. Ashё fё, shi us bёnex.” 
LUK.10.29	Ma ell, pedhis ci vra s'i'j dëdja ndreptjacё a sinia a lluj, i'j xësi a Jezus: “Kaj esti allant?” 
LUK.10.30	Jezus j'u turrё: “Un om ma dupuna dit Jerusalem pënd di Jeriko sh gëxu tu mënjli a furёllu ci u zdupujarё, u bёturё, dapoja fuxirё shi o-llёsarё disa mort. 
LUK.10.31	Ako ma tërcja un preft shi kёnd u vёxu, tërku pi alltё kali. 
LUK.10.32	Ashё feci shi un levit, kёnd axhumsi tu acell bilok u vëxu sh tërku di alltё parti. 
LUK.10.33	Ma un Samaritan ci ma tërcja ako, s'i apurqё sh kёnd u vёxu, i'j vini rrёu ti nёs. 
LUK.10.34	Nesi aprôpja di nёs, j'amёnë untulem sh jin pisti plagё, shi j'u lëgё. Dapoja o-lёnё pi kallu a lluj, o-dusi tu un han shi i'j feci ysmeti. 
LUK.10.35	Allantё xuё skôsi doj dinar, i'j l'i dedi a domёsu a hanu sh i'j xёsi: ‘Fëj ysmeti alluj sh kёnd s'mi torr us ti pulltest ti tuti ci aj faptë ma mullt.’ 
LUK.10.36	Kaj di aiç treje mintuesht tini kё s'feci ‘allant’ ti acell ci gëxu tu mënjli a furёllu?” 
LUK.10.37	Ell xёsi: “Acell ci s'i spusi dёrut” Jezus i'j xёsi: “Fux, fё shi tini ashё!”
LUK.10.38	Kёnd tërcja kala Jezus intrё tu unё hôrё, ju unё mujeri ku numa Marta o-kjëmё tu kasa a je. 
LUK.10.39	Ija avja unё sor ku numa Mari, ci stëtu tu çëçôrrё a Jezus shi avxa zbôrrëli a lluj. 
LUK.10.40	Ma, Marta ara akëcatё ku mullti llukёri, tjaca vini lla Jezus shi i'j xësi: “Domne, a nu aj bёgatё ôrё kë sormja nj'i l'ari allёsatë tuti llukёrrё anjia? Xëj tas jinё s'nja xhutё.” 
LUK.10.41	Ma Jezus j'u turrё: “Martё, Martё, tini esht stinahorsitё shi akёcatё ku mullti llukёri, 
LUK.10.42	ma gôllё un lluk esti bun. Maria alepsi acell ma bunu, ci nu us i'j fugё xhaba”.
LUK.11.1	Jezus ma fëcja duvai tu un bilok. Kёnd bitisi, un di dishepujё i'j xësi: “Jezus, mvjacёni tas fëcem duvai, ashё kum i'j mvëcё Joan dishepujё a lluj.” 
LUK.11.2	Ell ll'u xёsi: “Kënd s'fëcec duvai xëcec:
LUK.11.2	Dumёxё, s'i llunjinësjastё numa a ta,
LUK.11.2	S'jinё kratu a tёll!
LUK.11.3	Dëni pënia ti kathi xuё
LUK.11.4	S'ni hёrxesht amartiili a nôsti
LUK.11.4	Ka kum sh noj hёrxim amartiili
LUK.11.4	A cëllor ci fak ti noj.
LUK.11.4	Nu ni pinxi tu zilii.”
LUK.11.5	Dapoja ll'u xёsi: “O-kёcëm kё un di voj ari un ôspi. Nesi lla nёs namësa di nôpti shi i'j xësi: ‘Ôspe, dënj tre pёnj, 
LUK.11.6	kё nj'ari vinitё un ôspili a njell sh nu am cëva si'j bag dininti.’ 
LUK.11.7	Ell i'j tôrrё xhuvapi di nunt: ‘Nu nj'a sparxi rehatja! Tora am nkisё usha sh avem gëxutё ti durnjeri, sh mini sh çilëmanjjë. Nu pot s'mi skoll tas s'ic dau cëva.’ 
LUK.11.8	Mini us v'i xëk ci, sh ma s'nu vra s'i skôllё tas i'j da cёva kё ôri ôspi, us'i skôllё tas i'j da ahtёnt kit i'j lёpseshti di sebepja ci ell nu s'dëpërtjaxë, ma kaftë fërë-di-alltë napoj. 
LUK.11.9	Sh mini us v'i xёk: ‘Kёftac shi us v'i da, kёftac shi us afllac, dëdec pi ushё shi us u zhdikidё. 
LUK.11.10	Kё acell ci kaftё us ja, kaj kaftё us afllё, shi acell ci da pi ushё us i'j s'i zhdikidё. 
LUK.11.11	Ari namёsa di voj vërr përinti ci us i'j dëdja a çilëmanu ci kaftë peshk, unë nëpërtёkё tu biloku a peshtili? 
LUK.11.12	Iti, ma kë çilëmanu kaftё ou, us i'j dëdja un akrep? 
LUK.11.13	Ma kë voj ci hjic urruc, shtic tas i'j dёdec a cilёmanu a vost gjëji buni, ahtënt ma mullt Dumёxё us ll'u da di sus Sëmtul Duh a cёllor ci us j'u kaftё’”.
LUK.11.14	Jezus ma aurra un djavoll ci ara djavollu a cëllor ci nu gra. Kёnd o-urrarё djavollu, memecu gri shi ômënjjё s'hërёsirё. 
LUK.11.15	Ma ndoj di nёsh xёsërё: “Ell j'aurrё djavujё ku fuqia a Beelzebul, ma marrё di tuc djavujë.” 
LUK.11.16	Ndoj allc ti bёgari tu provё i'j kёftarё unё alltë çudii dit cerl. 
LUK.11.17	Ma Jezus ci kunushtja mintja a llor llu xёsi: “Kathi krat përcat s'asparxi, sh kasёli a lluj s'rrёstônё unё dupi allantё. 
LUK.11.18	Ma kё shi Satan esti përcat, kum pôti s'qindurastё kratu a lluj, pedhis ci voj xëcec kё mini j'aurr djavujё ku fuqia a Beelzebul? 
LUK.11.19	Ma kë mini j'aurr djavujё ku fuqia a Beelzebul, fumeja a vôstё ku ci fuqii j'aurrë? Ti aistё sebepi e'j us hjibё dhiqigor ti voj. 
LUK.11.20	Ma kë mini j'aurr djavujё ku fuqia a Dumёxё, astumsëna kratu a Dumёxё ari vinitё lla voj. 
LUK.11.21	Kёnd un om vërtos, ci ari shi armё, u vjagjё kasa a lluj, malla, avera shi gjёja a lluj nu pôti s'i kërtjastё di vёrr. 
LUK.11.22	Ma kë vёrr allt esti ma vërrtos di nёs, u rrёstônё shi ju ja arma. Plaçka a lluj u ja shi u parcё ku allc ômёnj. 
LUK.11.23	Kaj nu esti ku mini, esti kondra ku mini, sh kaj nu adunё ku mini rrёspёndeshti”.
LUK.11.24	“Kёnd esi di omu, sufulltu urrut jini afigёrra pit bilokёri fёrё apё, kaftё rehatja sh kёnd nu u afllё xëci: ‘Us mi torr lla kasa a mja di ju ishaj’. 
LUK.11.25	Kёnd jini u afllё omu pëstrit sh ndrept. 
LUK.11.26	Dapoja nexi, afllё shi aduci dupi nёs shapti sufёllti urruti allti ma sllagj di nёs, intrё sh bёniaxё ako. Ashё, acell om s'faci ma sllab di ma ninti”.
LUK.11.27	Kënd xëcja aisti zbôrri, unё mujeri ci ara namёsa di ômënj skullё bôcja shi xësi: “Hara di pёndёku ci t'i ari cënutё shi sinu ci t'i ari hërritё ku llapti”. 
LUK.11.28	Ma Jezus i'j xësi “Ma gjini esti, hara di acej ci u avd zbôrru a Dumёxё shi u vjagjё”.
LUK.11.29	Kёnd ômёnjjё ma s'aduna, Jezus ahurhji tas xёkё: “Aistё farё di ômёnj esti anapudhё. Ej kaftë un semn bun, ma allor nu us i'j s'i da içvërr semn ma mullt di semnu a profetu Jona. 
LUK.11.30	Ashё kum s'feci Jona semn ti ômёnjjё ali Ninivi, ashё us hjibё shi Hjiju a Omu semn ti aistё farё di ômёnj. 
LUK.11.31	Mujera vёsёjë di Sheba us injjaxё xua di ndreptjacё, dadun ku ômёnjjё a shtëlluj qёrollu, shi us l'i dunuastё, kё ija vini di marxëna a lloku tas askulltё zbôrrёli mintimeni a Solomon. Sh ja aô esti un ma mari di Solomon. 
LUK.11.32	Ômёnjjё di Ninivë us injjaxё xua ali ndreptjaci dadun ku aistё farё shi us u dunuastё, kё ej s'fecërё pishmani kёnd feci predikimja Jonai. Sh ja, aôci esti un ma mari di Jonai.
LUK.11.33	Içvërr nu o-prindi këndilla tas u bagё tu bilok askumt sum kёpёsteri. Aca s'bagё tu biloku a je, tas u vjadё llunjina acej ci intrё nunt. 
LUK.11.34	Llunjina a prosupu esti oqu. Ma kë oqu a tëll esti vërtos, tut prosupu a tell us hjibё llunjinёsit, ma kё oqu a tëll esti llёnxut, tut prosupu a tell us hjibё ka tu skutidhi. 
