GEN.1.1	Atankih ching Thrünpuhnü thüningbo tüsho alomi thrün. 
1CH.27.10	Athünepü, khinu thünepü thsungkheak, Ephraimrü Pelon chingnü Helez lakheah; api shihcham ching 24,000 lakheah. 
1CH.27.11	Atizheahpü, khinu tizheahpü thsungkheak, Zerarü Hushath chingnü Sibbekai lakheah; api shihcham ching 24,000 lakheah. 
1CH.27.12	Atukupü, khinu tukupü thsungkheak Benjaminrü Anathoth chingnü Abiezer lakheah; api shihcham ching 24,000 lakheah. 
1CH.27.13	Athürüpü, khinu thürüpü thsungkheak Zerarü Netopha chingnü Maharai lakheah; api shihcham ching 24,000 lakheah. 
1CH.27.14	Thürükheak khülangpü, khinu thürükheak khülangpü thsungkheak Ephraimrü Pirathon chingnü Benaia lakheah; api shihcham ching 24,000 lakheah. 
1CH.27.15	Thürükheak mahnepü, khinu thürükheak mahnepü thsungkheak Othnielrü Netopha chingnü Heldai lakheah; api shihcham ching 24,000 lakheah.
1CH.27.16	Israel trükbo kurungkheak, Reubenrü thsungkheak, Zikri tsührü Eliezer atobuh lakheah; Simeonrü thsungkheak, Maaka tsührü Shephatia; 
1CH.27.17	Levi thsungkheak, Kemuel tsührü Hashabia; Aron thsungkheak, Zadok; 
1CH.27.18	Juda thsungkheak, David keoniorü lungnü, Elihu; Issakar thsungkheak, Maikel tsührü Omri; 
1CH.27.19	Zebulun thsungkheak, Obadia tsührü Ishmaia; Naphtali thsungkheak, Azriel tsührü Jerimoth; 
1CH.27.20	Ephraimrü thsungkheak, Azazia tsührü Hoshea; Manase trük chamkhüh thsungkheak, Pedaia tsührü Joel; 
1CH.27.21	Gilead ching Manase trük chamkhüh thsungkheak, Zekaria tsührü Iddo; Benjamin thsungkheak, Abner tsührü Jaasiel; 
1CH.27.22	Dan thsungkheak, Jeroham tsührü Azarel. Harü ha Israel trükbo limberübo lakheah. 
1CH.27.23	Davidnü kam 20 abukkhüp a mükhe, tümüde Israel thüning ching chiningbo nangde hihde akamshihpü 
1CH.27.24	Zeruia tsührü Joabnü arü khepü tankih, tüshe müban; tütüshe ha thsungkheaknü Israel kheak bukakhiukkhi arü, tüsho ahihdakkhi kiulongthsüpuh David yukhean khekhi ching muyuk.
1CH.27.25	Kiulongthsüpuh rahpung kurungkheak, Adiel tsührü Azmaveth lakheah. Lomi ching, kiutobo ching, kiulongbo ching, tüsho aheangsadam ching zowupung kurungkheak Uzzia tsührü Jonathan lakheah. 
1CH.27.26	Thulu ching alo kiurü kurungkheak, Kelub tsührü Ezri lakheah. 
1CH.27.27	Kurungasolu kurungkheak, Ramathrü Shimei lakheah. Kurungaso chingnü akhiukkhi yukhu zopung kurungkheak Shipmirü Zabdi. 
1CH.27.28	Shephela ching oliv tüsho sangzhinasodungbo kurungkheak Gederrü Baal-hanan. Müdangke zopung kurungkheak Joash. 
1CH.27.29	Sharon ching akamkhi moshibo kurungkheak Sharonrü Shitrai. Jindükhünbo ching moshibo kurungkheak Adlai tsührü Shaphat. 
1CH.27.30	Kemelbo kurungkheak Ishmaelrü Obil. Donkibo kurungkheak Meronothrü Jedeia. Mihnubo kurungkheak Hagrü Jaziz. 
1CH.27.31	Harü alala kiulongthsüpuh David lakhit-kukruk kurungkheak atorübo lakheah.
1CH.27.32	Jonathan, David akü, lümthiyan-jihrü, anikhitkhi mihtsürü tüsho athrütrü lakheah; Hakmoni tsührü Jehielnü kiulongthsüpuh tsührübo küm. 
1CH.27.33	Ahithophel a kiulongthsüpuh lümthiyan-jihrü, tüsho Arkrü Hushai a kiulongthsüpuh müyambuh lakheah. 
1CH.27.34	Ahithophel dunglim Benaia tsührü Jehoiada, tüsho Abiathar arü. Joab a kiulongthsüpuh bonungrü wühkenobuh lakheah.
1CH.28.1	Davidnü Israel torübo alala, trükbo torübo, kiulongthsüpuh tankihpü chamnakkhi torübo, chithürübo tüsho chibo kurungkheak wühkenorübo, lakhit-kukruk alala tüsho kiulongthsüpuh le api tsührübo moshibo atoathüprü, ju lung kiulongthsüpuh yam torübo, athrungrü thirithsürübo, tüsho thirithsürü alala Jirusalem ching bemukhung. 
1CH.28.2	Judüki kiulongthsüpuh Davidnü wusubah arü miki zhip tüsho tha: “I ki aniang, I keoniorübo tüsho I mihtsürübo. 
1CH.28.3	Tüshe Thrünpuhnü I ki tha, ‘Nünü I mung thsungkheak thüyam müthsü, tümüde nü a thirithsürü ah tüsho thiyih bukdo.’ 
1CH.28.4	Tütüshe Israel kurungkheak lünnü kiulongthsürü thsüpü 
1CH.28.5	Tüsho I tsührübo lungnü (tümüde 
1CH.28.6	Apinü I ki tha, ‘Nü tsührü Solomonnü I yam tüsho I khikzhakpungbo thsübah, tümüde api I tsührü khülang thsüpü inü mokhit, tüsho I api abuh thsübah. 
1CH.28.7	Apinü khihni rhimokhi nangde, apinü I yakzanbo tüsho I yukhümbo kümkangde anisho, inü api kiulongthsü lünnü alashihbah.’ 
1CH.28.8	Kheakü jumonü Israel alala mikinü, 
1CH.28.9	“Tüsho nü, I tsührü Solomon, nü buh Thrünpuh mükheahang, tüsho lümkhi khülang tüsho akünkhi mulongnü api tankihang; tümüde 
1CH.28.10	Kheakü aniang, tümüde amüsüh dangpung yam khülang thsüpü 
1CH.28.11	Judüki Davidnü api tsührü Solomon kilim arüngyam mükü, thüyambo, rahpungbo, akube khiungshakbo, alungbe khiungshakbo, tüsho mihmüthsüm binkiu thsungkheak lümkhi jih; 
1CH.28.12	tüsho api lüm ching lakhi lümkhi alala: 
1CH.28.13	amükeamrübo le Levirü chamnak, tüsho 
1CH.28.14	arüngako abande pungphuru alala thsungkheak suna adünkhi, arüngako aban thsungkheak shotoyinchi pungphurubo adünkhi, 
1CH.28.15	suna tsünpung dubopungbo tüsho tsünpungbo adünkhi, tsünpung dubopung tüsho tsünpung aban thsungkheak suna adünkhi, arüngako ching yihnüpü lakhi yande, tsünpung dubopung tüsho tsünpung thsungkheak shotoyinchi adünkhi, 
1CH.28.16	yikhap rubo ching dükhüm thsungkheak suna adünkhi, shotoyinchi dükhümbo thsungkheak shotoyinchi, 
1CH.28.17	tüsho tsapdüthreang, müsühmüra-phuru, tüsho pungbo thsungkheak suna müthsün; suna phurusükbo thsungkheak tüsho ju aban adünkhi; shotoyinchi phurusükbo thsungkheak tüsho ju aban adünkhi; 
1CH.28.18	suna tsangkhitkhinü athsükhi rhümthüneabe kingaün sadam thsungkheak, tüsho ju adünkhi; kheaküshe arü ghidükeangbo chutreakbah 
1CH.28.19	“Ha alala 
1CH.28.20	Davidnü kheaküshe api tsührü Solomon ki tha, “Reangzahang, tüsho tsüde mulong toang, tüsho rhimoang. Dütre yungsho mulong dünini: tümüde 
1CH.28.21	Thrünpuh yam ching arüngako rhimo alala thsungkheaknü amükeamrü tüsho Levirü chamnakbo ha ching lah; tüsho arüngako rhimo amungthürü thsungkheak ayeanzamnü rhimo alala ching nü lung rungbah; kheaküshe atorübo tüsho mihtsürü alala nü yukhüm ching lang alabah.”
1CH.29.1	Kiulongthsüpuh Davidnü amukhungrü alala ki tha, “Thrünpuhnü amokhitkhi I tsührü Solomon athunu tüsho müyeanlamyi, tüshe rhimo tolah; tümüde arüngyam ha mihtsürü thsungkheak yung tüshe 
1CH.29.2	Jumonü inü I Thrünpuh yam thsungkheak jihdo, inü akukkhi thülün, suna kukrukbo thsungkheak suna, shotoyinchi kukrukbo thsungkheak shotoyinchi, tüsho müwayinchi kukrukbo thsungkheak müwayinchi, yinchi kukrukbo thsungkheak yinchi, tüsho sang kukrukbo thsungkheak sang, ju lung shihshihlung ahihdo tüsho akhimbe lungbo, athrathra lung, amujukhi lungbo, shotolungbo mungji alala, tüsho suhdahkhi lungbo. 
1CH.29.3	Ju lang yung, ju kheak khiode amüsüh yam thsungkheak inü I Thrünpuh yam thsungkheak shuhmülanga jihmonü, I yo suna tüsho shotoyinchi rahpung jih: 
1CH.29.4	Inü thüyam rhü lüpdopü thsüde Ophir suna khahngak chithürü 100 tüsho atsangkhitkhi shotoyinchi khahngak chithürü 240 jih, 
1CH.29.5	tüsho kizükidorünü arhimobe rhimobo thsungkheak alala, suna kukrukbo thsungkheak suna tüsho shotoyinchi kukrukbo thsungkheak shotoyinchi. Dale arü zangrü khihni 
1CH.29.6	Judüki jipürü yamkhün limberübonü mulongkhi jih, junangde Israel trükbo limberübo, chithürübo tüsho chibo wühkenorübo, kiulongthsüpuh rhimo kurungkheak atorübonü she jih. 
1CH.29.7	Arünü arüngyam rhimo thsungkheak suna khahngak chithürü 170 akumung, shotoyinchi khahngak chithürü 340 bande, müwayinchi khahngak chithürü 620 bande tüsho yinchi khahngak chithürü 3400 akumung jih. 
1CH.29.8	Shotolungbo larünü 
1CH.29.9	Judüki mihtsürübonü asühachih tümütüsho arünü künsahde jih, tümüde arü lümkhi khülangnü 
1CH.29.10	Judüki amukhungrü alala mikinü Davidnü 
1CH.29.11	O 
1CH.29.12	Lakhit tüsho wüntrepü nü kilimnü arüchoh, tüsho nünü alala kurungkheak yakzan shuhchoh. Nü khah ching wu-sühmüh tüsho wuto lah; tüsho alala kilim toshihpü tüsho sühmüh jihpü nü khah ching lah. 
1CH.29.13	Tüsho kheakü, isa Thrünpuh, isanü nü ki makshe jihchoh tüsho nü müretahkhi mung shichoh.
1CH.29.14	“Tüshe isanü ha akeangnü jihchungkhukkhi ha I tüsho I mihtsürübo she a? Tümüde kukruk alala nü kilimnü arüchoh, tüsho nü yo isanü nü jihdo. 
1CH.29.15	Tümüde isa le isa jipürübo nü miki khiungkerü tüsho nahde atsopü lah; alomi kheak isa nimungbo me khülang nangde lah, tüsho ju ching mulonglam müla. 
1CH.29.16	O 
1CH.29.17	I Thrünpuh, nünü mulong yimchoh tüsho thiyuro lungki ching reangkeamchoh de inü mükheahlah; I mulong alungki chingnü inü ha kukrukbo alala akeangnü jihdo, tüsho kheakü nü mihtsürübonü ha ching nü kilim akeangnü tüsho asühde ajihkhi inü ngüdo. 
1CH.29.18	O 
1CH.29.19	I tsührü Solomon kilim nü yukhümbo, nü kiuthsü yukhüm, nü yakzan thsükhibo alala yande, inü tsanglunga lakhi arüngyam thsüpü thiyuro lümkhi jihang.”
1CH.29.20	Judüki Davidnü amukhungrü alala ki tha, “
1CH.29.21	Ashidopü arünü laksah-a kingaünkhi tüsho taka kingaünkhi 
1CH.29.22	tüsho ju nimung arünü tode asühachihde 
1CH.29.22	Arünü mahnepü ching David tsührü Solomon kiulongthsürü kamshih; tüsho arünü 
1CH.29.23	Jushu, Solomonnü abuh David müthri kiulongthsürü kamde 
1CH.29.24	Limberü alala, amüzhak thirithsürübo tüsho kiulongthsüpuh David tsührübo alalanü kiulongthsüpuh Solomon ki thiyuronü alapü thiyuchihchim. 
1CH.29.25	 Israel alala miki Solomon changde shuhkih, tüsho Israel ching api müngüh kiulongthsürü she kheak mülakhi kiulongthsü wüntremüretah api kheak jih.
1CH.29.26	Hanangde Jesse tsührü Davidnü Israel alala kurungkheak kiulongthsü. 
1CH.29.27	Apinü Israel kurungkheak kiulongthsükhi kim ju kam yirü; apinü Hebron ching kam thüne tüsho Jirusalem ching kam samrükheak mahsam kiulongthsü. 
1CH.29.28	Api tsüde ashinkhi kim, nimungbo khiukdahbah, lakhitde tüsho wüntrede lade she; tüsho api tsührü Solomonnü api müthri. 
1CH.29.29	Kheakü kiulongthsüpuh David rhimobo, atankihnü akheam khiungde angürü Samuel hümbo, wukihbuh Nathan hümbo, tüsho angürü Gad hümbo ching thrüta lah, 
1CH.29.30	ju lung, api kiulongthsü khekhi, api sühmüh, tüsho api le Israel tüsho alomi kiulongthsübo kheak dünjikhi alala.
2CH.1.1	David tsührü Solomonnü api kiulongthsü düküngde kamshih; 
2CH.1.2	Solomonnü Israel alala, chithürübo tüsho chibo kurungkheak wühkenorü, mahkhaprübo, Israel limberü alala, guk ching akubo jimukhung. 
2CH.1.3	Judüki Solomon, tüsho api lung amukhungrü athrünkhi Gibeon ching lakhi achang dangpung ching yü; tümüde 
2CH.1.4	( Tüshe Davidnü Thrünpuh sangdan ju Kiriath-jearim ching lude apinü athsakhamkhi dangpung chingnü arü; tümüde apinü ju thsungkheak Jirusalem ching thsüa zo.) 
2CH.1.5	Tüshe Hur tsührü Uri tsührü Bezalelnü athsükhi müwayinchi kingaün sadam ju ching 
2CH.1.6	Solomonnü ashorupung khimyam ki lakhi 
2CH.1.7	Ju tsüngre Thrünpuhnü Solomon ki akhiuk, tüsho api ki tha, “Inü nü tümü jihbeanü kheangang.” 
2CH.1.8	Solomonnü Thrünpuh ki alo, “Nünü I buh David ki amuzhodakkhi ato huhdo, tüsho api müthri I kiulongthsürü kamshihdo. 
2CH.1.9	O 
2CH.1.10	Kheakü ha mihtsürübo limbepü I kilim lümlung tüsho mükheahmudu jihang, tümüde ha nü mihtsürü ato shenü yakzan shuhkhukpü?” 
2CH.1.11	Thrünpuhnü Solomon ki alo, “Tümütüsho ha nü mulong ching laa lah, tüsho nünü alakukruk, lakhit, wüntrepü, yungsho nünü athraneanrü rhangdung thsungkheak mükheang, tüsho kutsüp thsungkheak she mükheang, tüshe nünü I mihtsürü kurungkheak inü nü kiulongthsürü kamshihkhi yakzan shuhkhukpü thsüde lümlung tüsho mükheahmudu kheang, 
2CH.1.12	lümlung tüsho mükheahmudu nü kilim jihbah. Kheaküshe inü nü kilim lakhit, alakukruk, wüntrepü nü müngüh tüsho nü dunglim kiulongthsürübo lakhi kheaknü alü jihbah.”
2CH.1.13	Jumonü Solomonnü Gibeon ching achang dangpung, ashorupung khimyam chingnü Jirusalem lim arü. Tüsho apinü Israel kurungkheak kiulongthsü. 
2CH.1.14	Tüsho Solomonnü khora-lolungbe tüsho khorabo bemukhung; api khora-lolungbe 1400 tüsho khora 12,000 lakheah, ju apinü khora-lolungbe Jirusalem tüsho kiutobo ching zo. 
2CH.1.15	Kiulongthsüpuhnü shotoyinchi tüsho suna Jirusalem ching lung nangde bokhuh kamshih, tüsho apinü lokeamlo ching sangzhinasodung nangde cedar suhdahde kamshih. 
2CH.1.16	Solomon yo khorabo ju Ijip tüsho Kue chingnü handarü; kiulongthsüpuh shothsümolorünü jurübo ju kim yo adün jihbah thulo. 
2CH.1.17	Arünü Ijip chingnü handarü, tüsho mühah, khora-lolungbe khülang dün shotoyinchi 600, tüsho khora khülang dün shotoyinchi 150; junangde arü hode harübo Hit tüsho Siria kiulongthsürübo alala kilim mühah.
2CH.2.1	Solomonnü 
2CH.2.2	Solomon kukruk hanakhinrü 70,000 tüsho awung lomi ching lungkheanrü 80,000, ju lung arü kheahshihpü 3600 thrütde mokhit.
2CH.2.3	Solomonnü Tair kiulongthsüpuh Hiram kilim thiyu yüshih: “ Khülang ki nünü I buh David kheak tsüde lado tüsho api lapü thüyam thsüshihpü cedar sang mühahdo, junangde I ki rhimoang. 
2CH.2.4	Inü kheakü 
2CH.2.5	Inü athsüpü lakhi thüyam ju ato labah, tümüde isa Thrünpuh a püpürü thrünpuhbo kheaknü atobe ah. 
2CH.2.6	Tüshe shepünü api kilim thüyam khülang thsükhukba, tümüde yinmi, achangbe yinminü she api mülüngüm? Api miki kingaünpü dangpung kheak hode, api arüngyam khülang thsüpü I she a? 
2CH.2.7	Jumonü kheakü suna, shotoyinchi, müwayinchi, yinchi, mürümmuchu, neakrümkhi, biyi hingliu tüsho dozüdodo mükheahkhi ching rhimopü kizükidorü, I buh Davidnü I lung Juda tüsho Jirusalem ching ayeanzo rhimorü zojihkhi lung beshihpü I kilim arüshang. 
2CH.2.8	Kheaküshe I kilim cedar sang, saipress sang tüsho algum sangthulungbo Lebanon chingnü arüshang, tümüde nü yamlarübo Lebanon sangrhütpü ching ayeanzo ah de inü mükheahlah. I yamlarübonü nü yamlarübo lung rhimobah, 
2CH.2.9	I thsungkheak sang arhütbe suhdahde tsanglungpü lah, tümütüsho inü athsüpü lakhi yam ju ato tüsho amüyinsahbe labah. 
2CH.2.10	Inü nü yamlarübo sang rhütrü kilim wheat hi khahngak chithürü 2000, barli khahngak chithürü 2000, yukhu pungdüchi 400,000, tüsho oliv müdangke pungdüchi 400,000 mühahbah.”
2CH.2.11	Judüki Tair kiulongthsüpuh Hiramnü kihüm chingnü Solomon kilim alode mühah, “Tümütüsho 
2CH.2.12	Hiramnü kheaküshe tha, “
2CH.2.13	“Inü kizükido ayeanzo, anikhitkhi lakhi Huram thiyido, 
2CH.2.14	Dan liberü lung khülang tsührü, abuh a Tairrü ah. Api suna, shotoyinchi, müwayinchi, yinchi, lung tüsho sang, mürümmuchu, biyi, neakrümkhi hingliu tüsho khimthünak rhimopü, tüsho I tungpuh nü buh David yo kizükidorü lung shihshihthürü dozüdodopü api ki thiyikhi rhimokhukbah. 
2CH.2.15	Kheakü, wheat hi, barli, oliv müdangke tüsho yukhu thsungkheak a, küpü I tungpuhnü thadünü, anihbuh yamlarübo kilim mühahang. 
2CH.2.16	Lebanon ching nünü tümüpürü yihnüpü lanü isanü akiushakbah, tüsho thsünrubah nü kilim keto chingnü Joppa ching lude arübah; nünü ju Jirusalem ching lude awutubah.”
2CH.2.17	Judüki Solomonnü abuh Davidnü alukhi wühkhe dunglim, Israel lo ching lakhi khiungkerü alala wühkhe lu; tüsho ju ching 153,600 lakheah. 
2CH.2.18	Arü 70,000 rhimopü, 80,000 awung lomi ching lung kheanpü, tüsho 3600nü mihtsürü rhimokhi kheahpü thiyi.
2CH.3.1	Solomonnü abuh David ki 
2CH.3.2	Apinü anihbuh kiulongthsükhi phüyi kam khinu mahne nimung mahne nipü athsüpü tankih. 
2CH.3.3	Harü ha Solomonnü 
2CH.3.4	Mükü ju arüngyam apunglim dükhüh khahnap 20 tüsho achanglim khahnap 20 lakheah. Apinü alunglim suna müthsünnü lüpkih. 
2CH.3.5	Apinü mükü ju saipress sangnü kümdo, ju suna müthsünnü lüpdo, tüsho ju kheak ashisang tüsho wuhrünbo thsükih. 
2CH.3.6	Apinü thüyam kheak shotolungbonü züt thsüjih. Suna ju Parvim ching yo ah. 
2CH.3.7	Jumonü apinü thüyam kheak suna yihkih–abinkiu, ripit-limro, rhü, tüsho khimdopübo; tüsho apinü rhübo kheak cherubim dokih.
2CH.3.8	Apinü Khide Amüsüh Dangpung thsü; thüyam atolim yande ayunglim khahnap 20 tüsho apunglim 20; apinü ju kheak suna müthsün khahngak chithürü 20 yihkih. 
2CH.3.9	Yümruyinchi thsüpü suna dübüt 570 lu. Apinü achangbe khiungshak sunanü lüpdo.
2CH.3.10	Khide Amüsüh Dangpung ching apinü cherubim 2 thsüa zo tüsho ju kheak suna lüpkih. 
2CH.3.11	Cherubim ghidükeangbo müchinarünkhi khahnap 20: khülang ghidükeang khahnap 5nü thüyam rhü qiu, tüsho püpü ghidükeang khahnap 5nü püpü cherub ghidükeang qiu; 
2CH.3.12	junangde mahnepü cherub ghidükeang khahnap 5nü püpü cherub ghidükeang kheak qiu, tüsho püpü ghidükeang khahnap 5nü püpü cherub ghidükeang qiu. 
2CH.3.13	Harü cherubim ghidükeang müchinarünkhi ju khahnap 20; cherubimbo ju alunglim abinbah arü jingnü zhip. 
2CH.3.14	Tüsho Solomonnü biyi azhindobe, mürümmuchu, neakrümkhi hingliu tüsho atsüdak khimthünak thsü, tüsho ju ching cherubim thsü.
2CH.3.15	Thüyam mikhuh ching apinü dungjing 2 achanglim khahnap 35nü thsü, ane chido akudüdap ashanglim khahnap 5 lakheah. 
2CH.3.16	Apinü phuhpho wuhrünbo thsü tüsho dungjingbo ku kheak yihkih; tüsho apinü tsarümkiu 100 thsü tüsho wuhrünbo kheak yihkih. 
2CH.3.17	Apinü dungjingbo ju arüngyam mikhuh zhipshih, khülang tsülim, püpü huzulim; tsülim zokhi Jakin, tüsho huzulim yo ju Boaz de ji.
2CH.4.1	Apinü müwayinchinü kingaün sadam 1 thsü, ashanglim khahnap 20, atolim khahnap 20, tüsho achanglim khahnap 10. 
2CH.4.2	Jushu apinü azünkhi kekung thsü; ju thulungde alakheah, atolim khahnap 10, tüsho achanglim khahnap 5, tüsho mükamde khahnap 30. 
2CH.4.3	Ju bukkhüp moshipung jak nangde, ju aban khahnap 10nü kekung mükamdo; moshipungbo ju khülang khülangnü ru mahne thsüde kekung lung zhipshih. 
2CH.4.4	Ju moshipung 12 kheak zhipshih, 3 dukulim abin, 3 aniyüzahlim abin, 3 düjinglim abin, tüsho 3 aniakhiuklim abin; kekung ju arü kheak zo. Tüsho arü shahmo ju alunglim abin. 
2CH.4.5	Kekung akheahlim yingduk 5; tüsho amünküp ju thrilung sangbün pungkhi, pung münküp ruk lakheah; ju ching pungdüchi 60,000 bande yüzah. 
2CH.4.6	Apinü müsühmüra-phuru thsü, tüsho tsülim peang 5 zo, tüsho huzulim peang 5 zo. Harü ching arünü taka kingaünbe müsüh. Kekung ju amükeamrübo thsungkheak müsühmürapung lakheah.
2CH.4.7	Amülükhi yande apinü suna tsünpung dubopung 10 thsü tüsho arüngyam ching zo, abolim 5 tüsho akulim 5. 
2CH.4.8	Kheaküshe apinü dükhüm 10 thsü tüsho arüngyam ching zo, tsülim 5 tüsho huzulim 5. Tüsho apinü sunanü müsühmüra-phuru 100 thsü. 
2CH.4.9	Apinü amükeamrübo thsungkheak khikzhakpung, khikzhakpung ato, tüsho khikzhakpung khimdopübo thsü; apinü khimdopübo kheak müwayinchi lüpkih. 
2CH.4.10	Apinü kekung ju thüyam nuku yean abolim aniakhiuklim tsangde zo.
2CH.4.11	Tüsho Huramnü phühbo, thuwuhbeakbo, tüsho müsühmüraphurubo thsü. Hanangde Huramnü kiulongthsüpuh Solomon thsungkheak Thrünpuh yam kheak thsübebo rhimokham: 
2CH.4.12	dungjing 2, phurusükbo, dungjingbo kheak akudüdap 2; tüsho dungjingbo ku kheak akudüdap phurusük 2 lüpdopü keakruachihde arhimokhi 2; 
2CH.4.13	keakruachihde arhimokhi 2 thsungkheak tsarümkiu 400, dungjingbo ku kheak akudüdap phurusük 2 lüpdopü, keakruachihkhi abande tsarümkiu ru mahne. 
2CH.4.14	Apinü dubobo kheak müsühmüra-phurubo kihde thsü. 
2CH.4.15	Kekung 1 tüsho ju bukkhüp moshipung 12. 
2CH.4.16	Phühbo, thuwuhbeakbo, tsapdüthreangbo, tüsho kukruk alala 
2CH.4.17	Jordan dükhün ching jurübo kiulongthsüpuhnü Sukkoth tüsho Zereda dükeak dujung lonü thsü. 
2CH.4.18	Solomonnü harü alala hihdakde thsü, jumonü müwayinchi adünpü müyimkhitkhuk.
2CH.4.19	Jumonü Solomonnü Thrünpuh yam ching lakhi kukruk alala thsü: suna kingaün sadam, Thrünpuh kilim jihpü yikhap zopung dükhümbo, 
2CH.4.20	tsünpung dubopungbo tüsho amülükhi yande alunglim arüngakopung miki takpü suna müthsün tsünpungbo; 
2CH.4.21	sangbünbo, tsünpungbo, tüsho suna müthsün mokhihmüjipbe; 
2CH.4.22	mo yünbebo, müsühmüraphurubo, phühlungbo, suna müthsün motakphühbo. Arüngyam limro thsungkheak Khide Amüsüh Dangpung lim alungbe khimdopübo tüsho arüngyam khiunglün-yam khimdopübo suna lüpkih-a lakheah.
2CH.5.1	Hanangde Solomonnü 
2CH.5.2	Judüki Solomonnü Zion de ajikhi David kiuto chingnü 
2CH.5.3	Tüsho Israelrü alala khinu thünepü thünio ching kiulongthsüpuh miki mukhung. 
2CH.5.4	Jumonü Israel azothsürü alala arü, tüsho Levirünü sangdan shuh. 
2CH.5.5	Junangde arünü sangdan, ashorupung khimyam, tüsho khimyam ching lakhi amüsüh pungphurubo alala hande atu; amükeamrü tüsho Levirünü jurü hande atu. 
2CH.5.6	Kiulongthsüpuh Solomon tüsho api miki mukhunga larü Israel boto alala arünü müthrütbinkhi yungsho mükhebinkhi namfimihnu tüsho moshipungbo laksah-a kingaünde sangdan miki lakheah. 
2CH.5.7	Jushu amükeamrübonü 
2CH.5.8	Tümüde cherubim ghidükeangbonü sangdan zopung kumung chutreak, junangde cherubimnü sangdan tüsho akhrihbe sangbo alamdo. 
2CH.5.9	Akhrihbe sangbo khide ashangmonü amünkheambo ju alungbe arüngakopung mikhuh amüsüh dangpung chingnü ngü; tüshe wungdo chingnü jurü müngü; jurübo khihni khiungde lah. 
2CH.5.10	Israel mihtsürü Ijip chingnü akhiukshu 
2CH.5.11	Kheakü küyimki amükeamrübo amüsüh dangpung chingnü akhiukkhea (tümüde amükeamrübo ju ching larü alalanü arü chamnakkhi mülümde müsühkhit, 
2CH.5.12	tüsho khün thsürü Levirü alala, Asaph, Heman, tüsho Jeduthun, arü tsührübo tüsho buhtsührübo khimthünak atsüdak yihbah, hulipungpung mütrü amükeamrü 120 lung larüpbo, bingshangbo, bingkhungbo shuhbah kingaün sadam aniakhiuklim zhip). 
2CH.5.13	 kilim rüpde mungshipü tüsho makshe jihpü ju hulipungpung mütrü tüsho khün thsürü rhimo lakheah, tüsho küyimki hulipungpung, larüp tüsho püpü kingzükingdobe shuhbah 
2CH.5.13	“Tümüde api tsülah,
2CH.5.13	tümüde apinü düküngde muzhokhi lünnü lah,”
2CH.5.14	junangde amo lamonü amükeamrübonü tankihpü müzhipkhuk; tümüde 
2CH.6.1	Judüki Solomonnü tha, “
2CH.6.2	Inü nüsa kilim wüntre-müretah yam khülang, nüsa thsungkheak lünnü alapü dangpung thsüjihdo.”
2CH.6.3	Jushu kiulongthsüpuhnü rholo tüsho Israel amukhungrü alala zhipde alachoki arü alala müngühjih. 
2CH.6.4	Tüsho apinü tha, “
2CH.6.5	‘Inü I mihtsürübo Ijip lomi chingnü bekhit nimungnü I mung lashihpü thsungkheak thüyam khülang thsüpü Israel trükbo lung küchingnü she kiuto mumokhit, yungsho I mihtsürü Israel kurungkheak yakzanshuhrü inü mumokhit; 
2CH.6.6	tüshe ju ching I mung lashihpü thsüde inü Jirusalem mokhit, tüsho I mihtsürü Israel kurungkheak inü David mokhit.’ 
2CH.6.7	 Israel Thrünpuh thsungkheaknü thüyam khülang thsüpü I buh David lümkhi ching lakheah. 
2CH.6.8	Tüshe 
2CH.6.9	judüalalashe nünü thüyam müthsü, tüshe nü kilim zübejihpü lakhi nü tsührünü I mung thsungkheak thüyam thsübah.’ 
2CH.6.10	Kheakü apinü alokhikhi 
2CH.6.11	Ju ching apinü Israel mihtsürü kheak tangzüngkhi lakhi 
2CH.6.12	Judüki Solomonnü 
2CH.6.13	Solomonnü müwayinchi thsangyupung sadam ashanglim khahnap 5, atolim khahnap 5, tüsho achanglim khahnap 3nü thsü tüsho ju sadam kheak zo; tüsho ju kheak api zhip. Jushu apinü Israel amukhungrü athrünkhi miki amukhuknü khukning, tüsho api khahbo thüning lim chungkih. 
2CH.6.14	Apinü tha, “O 
2CH.6.15	nü yamlarü I buh David kheak nünü alokhikhi zo. Atsütsünü, nünü nü münnü alokhi tüsho khihni nü khahnü dünjishihdo. 
2CH.6.16	Jumonü, O 
2CH.6.17	Jumonü, O 
2CH.6.18	“Tüshe atsütsü Thrünpuhnü mihtsürübo lung alomi kheak lapü? Yinmibo, achangbe yinmibonü she nü mazüh, inü athsükhi thüyam ha küdükhüh she ninila! 
2CH.6.19	Nü yamlarü tamkhüntamnü tüsho apinü mushukhi lümakheahjang, O 
2CH.6.20	Nünü nü mung zopü alokhikhi dangpung ching, animung tüsho are ha yam lim nü mükbo rhakang, tüsho nünü nü yamlarünü ha yam lim tamkhüntamnükhi sojang. 
2CH.6.21	Tüsho nü yamlarü le nü mihtsürü Israelnü ha dangpung lim tamkhüntamnüchoki arünü mushukhi nü lapung yinmi chingnü sojang; sojang tüsho neak bahjang.
2CH.6.22	“ Khürünü yamhingrü azhihde neak yihbeakbah thiyuchihchim lupü yihnüpü lasho tüsho ha yam ching nü kingaün sadam miki arübah thiyuchihchimsho, 
