GEN.1.1	Mebineŋ tububihila Bepaŋdi kunum eŋ kwet yehitubumintaguk. 
ACT.13.6	Unduŋ tiŋa Salamis biŋa Saipalas kwet kambaŋgitneŋ yaudapmaaŋ wooŋ Pafos wosuwaaŋ Judaniŋ me niŋ wou Balayesu adi haki mebimebi behatiŋa kudi tuluguk kaŋ metamdi polofet yoŋa kaune hatiluguk u tubumintagiŋ. 
ACT.13.7	Kwet wondiniŋ kiyap wapum hatiluguk adi wou Sesiyas Polas. Adi me nadinadime eŋ Balayesu dut me not tiŋa hatiyagumuk. Ala kiyap adi Bepaŋ’walaŋ mede nadiwene Banabas dut Sol yenimbune yolineŋ ugumuk. 
ACT.13.8	Iŋgoŋ me haki mebimebi tuluguk wou Gilik mede gineŋ Elimas niyagiŋ, adi me kiyap nadisukilitiŋiŋ ulatifowe Banabas yakat kwanai u mu wooŋ titiŋdok yoŋa kamehep tiyemguk.
ACT.13.9	Kaŋ Sol, wou noli Pol, adi Uŋgoniŋ Munabulidi weleŋ maaneŋ fotokoguk doktiŋa me Elimas kahohoŋeeŋ niŋguk, 
ACT.13.10	“Sadaŋ mihiŋiŋ, du titiŋ didimeniŋdok mik timilaŋ, tiŋa welege maaneŋ tikamanda feedi fotokilak kaŋ helemahelemaŋ Wapum’walaŋ mede biyagoŋ u tubu-fambakaneune yalaŋ mintalak. 
ACT.13.11	Unduŋ doktiŋa Wapum’walaŋ saŋiniŋ mintagambek kaŋ helebufa noli dauge sipmakaŋ hatibaaŋ.”
ACT.13.11	Unduŋ nimbu nai uŋaniŋgoŋ dawi holiholiŋeŋ gouyeguk, kaŋ nediyeŋ nehimaneu udim yoŋa honediwediweye tuguk. 
ACT.13.12	Kaŋ kiyap adi Bepaŋ medeŋiŋ diniŋ saŋiniŋ eŋ kudi u kau uŋgoniŋ hinek tubune medeŋiŋ nadidakaleeŋ nadisukilitihinakaguk.
ACT.13.13	Pol adi me noliŋiyat dut Pafos uŋoŋ muwage foloŋ looŋ yokwet wapum niŋ Pamfiliya maaneŋ hatuguk wou Pega uŋoŋ wosuwagiŋ. Wosuwaaŋ Jon wou noli Mak adi uŋgoŋ biyabuŋa kotigoŋ Jelusalemde uguk. 
ACT.13.14	Kaŋ meyat nehi hogok Pega biŋa yauge yauge Antiyok noli Pisidia maaneŋ hatak uŋoŋ wosuwagumuk. Ala Sabat foloŋ Judahi’walaŋ bopyot maaneŋ fooŋ ilaŋa Moses’walaŋ Yodoko Mede eŋ polofet heki’walaŋ Youkudip Mede u kunakiŋ. 
ACT.13.15	U kunali mindaŋ me bopyot diniŋ talitimeŋ hekidi me niŋ niŋkulune wooŋ Pol dut Banabas indiŋ yeninadiguk, “Notniyat, hidi metam mede yeniŋkiliti nenobu tidene nadiŋa kedem yenindemek.”
ACT.13.16	Mede unduŋ kameyembu nadiŋa Poldi pilali yaliŋa kohowobu tiŋa indiŋ yoguk, “Isilaehi metam eŋ metam noli Bepaŋ niutumbaiŋ, hidi indiŋ nadineŋ. 
ACT.13.17	Koom Isilaehi’walaŋ Bepaŋdi mamani-papaniye yehidaneune Isip uŋoŋ buŋambu hatiŋa metam bop wapum hinek mintagiŋ. Kaŋ kotigoŋ Bepaŋ’walaŋ saŋiniŋdi Isip kwetneŋniŋ 
ACT.13.18	yanagila kwet fiileŋ uŋoŋ momooŋ hinek yabu-ulidokoune hatibu gulet 40 tuguk. 
ACT.13.19	Hatitabuŋa Kanahan kwetneŋ buŋa Bepaŋdi mebop 7 wendiniŋ metam yehitubu-liwedapmaaŋ kwet wapum u kibikoŋ metamŋiye Isilaehidok yemguk. 
ACT.13.20	Nemenemek u gulet 450 maaneŋ mintaguk. Mintadapmaune me talitimeŋ yehitubu-mintaune yabudoko hatitaulu wahiŋkade polofet Samuel tubumintaguk. 
ACT.13.21	Kaŋ me mapme yemdok niŋgiŋ kaŋ Kis mihiŋiŋ Sol yembu adi me mapmehik gulet 40 wondok tuwot ila yabudokoguk. Adi Benjamin’walaŋ yalaki. 
ACT.13.22	Gulet 40 dapmaune Bepaŋdi Sol kelekulaŋa Dewit me mapmehik tubumintaaŋ kameguk. Tubumintaaŋ kameeŋ Dewitdok indiŋ yoguk,
ACT.13.22	‘Nu me Dewit Jesi mihiŋiŋ adi undiniŋdi me wapum titiŋdok nadilat.
ACT.13.22	Adi nu nemek titiŋdok nadilat uŋakoŋ keleŋ tilak.’
ACT.13.23	“Ala koom Bepaŋdi Dewit’walaŋ yalaki niŋdi Isilaehi’walaŋ Tubuloda me mintawaak yoguk u adi Jesu kuyoŋ. 
ACT.13.24	Adi kwanaiŋiŋ mu tububihitune Jondi metam kadakaniŋhik sigilulum tiyemiŋa Imeyout tineŋ yeniluguk. 
ACT.13.25	Unduŋ yeniŋa kwanaiŋiŋ tubudapmandok nai dulaune indiŋ yeniŋguk, ‘Hidi Kilisto tutumbanik kwetfoloŋ mintawaak gigitŋiŋ u nadiŋa woomiiŋ. Nu hidi me woomiiŋ u moŋ, adi yadi kougoŋ mindaŋ bulak, kaŋ nu aindiniŋdi tipilapilaye timindok tuwot moŋ.’
ACT.13.26	“Judahi metam, Abalaham yalakiŋiye eŋ metam noli Bepaŋ niutumbaiŋ, hidi indiŋ nadineŋ. Bepaŋdi nihitubu-lodadok nadiŋa mede i kameguk. 
ACT.13.27	Metam be me talitimeŋ Jelusalem uŋoŋ hatiyagiŋ adi Tubuloda-menik u Sabat nai indigoŋ polofet hekidi mede youkiŋ u kunatabiiŋ, iŋgoŋ mu nadidakaleiŋ doktiŋa Jesu folooŋ mintaune mu kakiyondaaŋ uutdok mede yofafaŋe tigiŋ. Unduŋ tigiŋ kaŋ polofet hekidi mede youkiŋ u folooŋ tuguk. 
ACT.13.28	Tiŋa ulukumundok mede nemu tubumintagiŋ iŋgoŋ Jelusalemhidi Pailat niŋgigineeŋ ulukumundok yogiŋ. 
ACT.13.29	Unduŋ tiŋa nemenemek kigili mededi yolak undugoŋ hinek timiŋgiŋ. Tiŋa koloŋdabek foloŋ kibidalitifooŋ bom gineŋ kamegiŋ. 
ACT.13.30	Iŋgoŋ Bepaŋdi kotigoŋ tubupilalune 
ACT.13.31	metam nediyeŋ neet hinek Galiliniŋ tububihila hatitawooŋ Jelusalem wosuwagiŋ adi hogok mintayembu kagiŋ. Kaŋ adibo medeŋiŋ Isilaehi yenihautaiŋ.
ACT.13.32	“Unduŋ doktiŋa Wapumdi koom mamani-papaniye nemek yemdok yofafaŋe tuguk 
ACT.13.33	u folooŋ yalakihiye indi’walaŋ mintaguk, doktiŋa indi mede i tiŋa bu haniyam. Wondegoŋ Kap 2 gineŋ mede indiŋ youkiŋ hatak.
ACT.13.33	‘Du biyagoŋ hinek na’walaŋ mihine. Nu kamiŋ tububihila du’walaŋ baha tilat.’
ACT.13.34	Ala Bepaŋdi bom gineŋ hali bitakawaakneŋ yoŋa tubupilali indiŋ yoguk,
ACT.13.34	‘Nu kahaŋ be nemek momooŋ Dewitdok
ACT.13.34	mimiŋdok yofafaŋe tugut u hambaat.’
ACT.13.35	Tiŋa Kap niŋ gineŋ indiŋ yolak,
ACT.13.35	‘Du tipilapilaye-mege niŋkukuŋ u tuwot mu bikabune bitakawaak.’
ACT.13.36	“Bepaŋdi Dewit kwanai titiŋdok niŋguk u keleŋ tiŋa metamŋiye yehitubu-lodaaŋ kumuŋguk kaŋ beuye yehiwenegiŋneŋ uŋgoŋ weneune hali bitakaguk. 
ACT.13.37	Iŋgoŋ Bepaŋdi kumuŋ gineniŋ tubupilakuk adi yadi unduŋ mu tuguk.
ACT.13.38+ACT.13.39	“Unduŋ doktiŋa Isilaehi, me notniye, hidi indiŋ hinek nadineŋ. Indi Jesu wou gineŋ kadakaniŋ bibiŋdok mede i haniyam, eŋ metam hogohogok Jesu nadisukilitimiiŋ adi koom Moses’walaŋ Yodoko Mede gineŋ hatigiŋneŋ kadakaniŋhik mu biyemguk u kamiŋ nai yendok wanaŋ hogohogok biyemulak. 
ACT.13.40	Ale kikadoko tubune koom polofet heki youkiŋ u hidi mu mintahambaak.
ACT.13.41	‘Me mede yohihili tiiŋ hidi, mede i nadineeŋ.
ACT.13.41	Nu kwanai tibaat u hidi naihik foloŋ mu nadisukilitineeŋ.
ACT.13.41	Eŋ nebek niŋdi tuwot mu hanindakaleune nadisukilitineeŋ.
ACT.13.41	Hidi kwanai u kakabeleeŋ hatiŋa kumuŋ tineeŋ.’”
ACT.13.42	Poldi mede unduŋ yodapmaaŋ Banabas dut fooŋ uuŋdok ulune metamdi Sabat noli wondok foloŋ koti buŋa tomboyoula mede kotigoŋ yodok yeniŋgiŋ. 
ACT.13.43	Unduŋ yeniŋa metam bopyotneŋ hakiŋ mowoune Judahi eŋ metam noli Judahi’walaŋ titiŋhik keleyagiŋ adi Pol dut Banabas yehikeleti ugiŋ. Kaŋ meyat adi Bepaŋ’walaŋ welesiloŋ gineŋ hatiiŋ undugoŋ hatidok yoŋa yeniŋkilitigumuk.
ACT.13.44	Ala Sabat noli foloŋ metam fee yokwet uŋoŋ itowagiŋ Wapum diniŋ mede nadine bugiŋ. 
ACT.13.45	Buŋa bop wapum tigiŋ kaŋ Judame heki adi yabuŋa nadiune tuwot mu tubune Pol weleŋ tubukadakadok yoŋa mede yoguk u yokadaka tigiŋ. 
ACT.13.46	Unduŋ tigiŋ kaŋ Pol dut Banabas adi munta mu tugumuk, adi fafaŋe tiŋa yaliŋa indiŋ yeniŋgumuk, “Judame, hidi Mede Momooŋ timeŋ hanindok yoguk iŋgoŋ hidegoŋ kamehep tiŋa hatihati fafaŋeniŋ mu kahilene yoiŋ doktiŋa bihabuŋa metam noli Judahi’walaŋ feknit mokit adi’walaŋ udim. 
ACT.13.47	Wapum adi undudegoŋ tiŋa indiŋ niniŋguk, ‘Nu du metam Judahi’walaŋ feknit mokit aditok hauta gapmelat, doktiŋa Tubuloda-mehik hatitauyeeŋ kwet dikineŋ hatidapmawaaŋ.’”
ACT.13.48	Unduŋ yenimbu metam Judahi’walaŋ feknit mokit adi u nadiŋa nadifo tiŋa Wapum’walaŋ mede u yotiloloŋ tigiŋ. Tiŋa me hatihati fafaŋeniŋdok yehidaneguk adi nadisukiliti tigiŋ. 
ACT.13.49	Kaŋ Wapum’walaŋ Mede Momooŋdi Pisidia maaneŋ hautadapmaguk.
ACT.13.50	Iŋgoŋ Judame hekidi Pol dut Banabasdok nadiyembu tuwot mu tubune widihidok yoŋa me wapuhi eŋ tam muneeŋ bomboŋhinit Antiyokhi Bepaŋ niutumbayagiŋ weleyouyout tiyemgiŋ. Unduŋ tiŋa Pol yakat yeninto tiŋa mede kadakaniŋ yeniŋa Pisidia kwetneŋ uŋoŋ hatidok moŋ yeniŋa yeniŋkut tigiŋ. 
ACT.13.51	Unduŋ tiyembune Aposel yakat adi metam’walaŋ kadakaniŋ u adut mu tomboyoutdok yoŋa kwam kayohik foloŋ ulumakuyemiŋa Aikoniamde ugumuk. 
ACT.13.52	Kaŋ metam nadisukilitihinit adi Uŋgoniŋ Munabulidi welehik maaneŋ fotokoune nadifo kisaŋ tigiŋ.
ACT.14.1	Aikoniam uŋoŋ maaŋ Pol dut Banabas adi Judahi’walaŋ bopyotneŋ fooŋ mede galikit yobune Judame eŋ metam Judahi’walaŋ fekhinit mokit feedi nadisukiliti tigiŋ. 
ACT.14.2	Kaŋ Judame noli nadisukiliti mu tigiŋ adi me Judahi’walaŋ feknit mokit noli yeniŋgigine tigiŋ kaŋ nadisukilitihinit not mu tiyemgiŋ. 
ACT.14.3	Iŋgoŋ Aposel yakat adi Wapum dut galiŋa munta mu tiŋa uŋoŋ yagigi hatiŋa Mede Momooŋ yoyo tugumuk. Kaŋ Wapumdi mede u biyagoŋ adi’walaaniŋ u kadakaleneŋdok yoŋa saŋiniŋ yembu Bepaŋ kunumneniŋ’walaŋ kudi mebimebi tugumuk.
ACT.14.4	Kaŋ Aikoniam uŋoŋ metam hatiyagiŋ adi daneeŋ bop lufom tigiŋ. Noli daneeŋ Judame heki dut yakiŋ kaŋ noli daneeŋ Aposel yakat dut yakiŋ. 
ACT.14.5	Ala Judame eŋ metam noli adi talitimeŋhiye dut yali Aposel yakat kudi kadakaniŋ tiyemiŋa kawadedi widihidok yoŋa yohebet tigiŋ. 
ACT.14.6	Kaŋ meyat adi u kanadiŋa momoŋ Likoniya kwetneŋ yokwet wapuhi lufom ikumukneŋ ugumuk. Yokwet u wouhiyat Debi dut Listala. 
ACT.14.7	Uŋoŋ wooŋ tomboyoula Mede Momooŋ yoyo ti-hatigumuk.
ACT.14.8	Listala uŋoŋ me niŋ koom kuyanineŋ kayoŋ kadakaniŋ mintaguk doktiŋa talik mu yauluguk. 
ACT.14.9	Ala Pol dut Banabas adi wooŋ mede yobu ila nadiguk, kaŋ Pol adi me u nadisukilitiŋiŋ kanadiŋa kayoŋ kedem tubukedebadok nadiŋa uŋgoŋ kahohoŋe tiŋa 
ACT.14.10	mede wapum indiŋ niŋguk, “Pilali didimeŋgoŋ yaliŋa yaleŋ.”
ACT.14.10	Unduŋ nimbune me u pilali kayoŋdi yaliŋa yauyau tuguk. 
ACT.14.11	Kaŋ metamdi Pol kudi tuguk u kaŋ kakaliŋa nehi’walaŋ mede gineŋ indiŋ yogiŋ, “Bepaŋ heki agaŋ kamiŋ mehinek dabugoŋ yageleeŋ indi’walaŋ iŋoŋ foŋit.” 
ACT.14.12	Unduŋ yoŋa Banabas adi bepaŋ yalayalaŋhik niŋ wou Sus u niŋgiŋ, kaŋ Pol adi mede yoyo tuluguk doktiŋa Hemes
ACT.14.13	Ala bepaŋ yalayalaŋ Sus diniŋ me talitimeŋ adi siloŋyotŋiŋ yokwet wapum diniŋ gimbahaŋ gagayeŋ yamaiŋgoŋ uŋgoŋ yatuguk doktiŋa makau eŋ wowoŋgimiŋ moŋgo buŋa talik yeyemeŋ yali metam dut noŋgoŋ Aposel yakat siloŋ tiyemne tigiŋ.
ACT.14.14	Unduŋ tigiŋ kaŋ Pol dut Banabas adi nadiŋa tinahukuthik yehitubu-bulagineŋ kiyaneeŋ metam bopneeŋ yakiŋneŋ lekiŋgoŋhik gineŋ fooŋ mede wapum indiŋ yeniŋgumuk, 
ACT.14.15	“Indi adi mehinek fit, hidi dabugoŋ, ale maŋgoŋde indiŋ tiiŋ? Ai! Hidige! Indi adi Mede Momooŋ haninde nadiŋa bepaŋ yalayalaŋ hatihatihinit mokit u sigilulum tiyemiŋa Bepaŋ Hatihati Molom, kunumkwet be imeŋgwaŋ wapum be nemenemek uŋoŋ ikiiŋ yehitubu-mintaguk adi’walaŋkade udaneneŋ yoŋa haniyamut. 
ACT.14.16	Tiŋa adi koom hatitalabugiŋneŋ metam biyabune nehi nadinadi hatigiŋ. 
ACT.14.17	Iŋgoŋ kobuk hidi mebiŋiŋ kanadi titiŋdok yoŋa nemek momooŋ tihamuŋa gwi mele u naiŋiŋ foloŋgoŋ hambune nanaŋe duhuduhu tubumintaaŋ nanadifo foloŋ hatiiŋ.” 
ACT.14.18	Meyat u mede unduŋ yoŋa metamdi siloŋ mu tiyemdok gigineeŋ kamehep tiyemgumuk.
ACT.14.19	Unduŋ tiŋa hatilu Judame noli Aikoniam eŋ Antiyok yokwetneŋ bugiŋ, adi buŋa me noli yeniŋgigine tiŋa metam fee yanagila Pol kawadedi ulaŋa agaŋ kumulak yoŋa hamaneeŋ wooŋ yokwet wapum magineŋ kukiŋ. 
ACT.14.20	Kaŋ metam nadisukilitihinit noli adi kelemadiŋa kamadiyakiŋ kaŋ pilali kotigoŋ yokwet wapum maaneŋ fooŋ deikuk. Ala heleune Banabas dut Debide ugumuk.
ACT.14.21	Debi wooŋ Pol dut Banabas adi Mede Momooŋ yoyo tugumuk kaŋ metam feedi nadisukiliti tigiŋ, kaŋ meyat adi kotigoŋ udaneeŋ Listala, Aikoniam, eŋ Antiyokde ugumuk. 
ACT.14.22	Wooŋ metam Bepaŋ nadisukilitimiyagiŋ yehitubu-kilitiŋa nadisukiliti folooŋ titiŋdok yoŋa indiŋ yeniŋgumuk, “Hidi Bepaŋ’walaŋ Hatihati Uŋgoniŋ gineŋ fone nadiŋa timeŋ adi nadisukiliti gineŋ yali malabumuŋ mebimebi mintahambune fafaŋeŋ kelekufali foyaneeŋ.” 
ACT.14.23	Unduŋ yeniŋa kayoŋbop hatigiŋ indigoŋ wooŋ me talitimeŋhiye yehitubu-mintayemgumuk. Unduŋ tiŋa metam Bepaŋ nadisukiliti timiyagiŋ adi Wapumdi yabudokodok yoŋa nanaŋe kamehep tiŋa hali ninadi kwanai tugumuk.
ACT.14.24	Pisidia kwet wapum yaudapmaaŋ Pamfiliyade wooŋ 
ACT.14.25	Pega uŋoŋ Mede Momooŋ yoyo tiŋa Ataliyade fogumuk. 
ACT.14.26	Uŋoŋ muwage foloŋ looŋ Antiyokde
ACT.14.27	Antiyok wosuwaaŋ metam kayoŋbop tigiŋ yehibopneeŋ, Bepaŋdi dediŋ tiyemguk be me Judahi’walaŋ feknit mokit hekidok talik dilitomyembu nadisukiliti tigiŋ wondok yenimbu nadigiŋ. 
ACT.14.28	Unduŋ tiŋa kayoŋbop dut uŋgoŋ yagigi hatigiŋ.
ACT.15.1	Judiyahi noli Antiyokde wooŋ metam nohiye nadisukilitihinit Judahi’walaŋ feknit mokit uŋoŋ hatigiŋ indiŋ yeniyehitubu-didimegiŋ. “Hidi Judahi indi’walaŋ titiŋnik keleeŋ Mosesdi yodidimeguk unduŋ sigihik gitnem diki foloŋ fek mu tineeŋ adi Wapumdok gigit mu tineeŋ.”
ACT.15.2	Unduŋ yobune Pol dut Banabas adi nadiŋa siwe wapum tiŋa me noli Pol yakat dut Jelusalemde wooŋ Aposel heki eŋ me wapuhi dut bopnedok yogiŋ. 
ACT.15.3	Unduŋ tiŋa Pol dut Banabas adi Antiyokhi me noli kayoŋbopdi yenindapmaune noŋgoŋ ugiŋ. Wooŋ Fonisiya eŋ Samaliya maaneŋ yawooŋ me noli Judahi’walaŋ fekhinit mokit heki Bepaŋ’walaŋkade udanegiŋdok gigit yenintaune nadiŋa nohiye adi nadifo wapum hinek tigiŋ.
ACT.15.4	Unduŋ titawooŋ Jelusalem wosuwaune kayoŋbop hekidi yabuŋa nadifo tigiŋ. Kaŋ meyatdi kwanai tubune Bepaŋdi nemenemek tuguk wondok kahat tiyemgumuk. 
ACT.15.5	Kaŋ me nadisukilitihinit noli Falisi heki’walaŋ bophik gineŋ hatigiŋdi indiŋ yogiŋ, “Me nadisukilitihinit Judahi’walaŋ feknit mokit adi sigihik gitnem diki foloŋ fek tiŋa Moses’walaŋ Yodoko Mede keleneeŋ wondi kedem. Eŋ mu keleneeŋ wondi tuwot mu hinek tibaak.”
ACT.15.6	Unduŋ yogiŋ kaŋ Aposel heki me wapuhi dut noŋgoŋ bopneeŋ mede u yonadigiŋ. 
ACT.15.7	Yagigi hinek ila yonadigiŋ kaŋ Pitadi pilali indiŋ yoguk, “Hidi nu Bepaŋdi me noli Judahi’walaŋ feknit mokit Mede Momooŋ yenimbe nadiŋa nadisukilitineŋ yoŋa hidi’walaŋ lekiŋgoŋhik foloŋ naniŋguk u agaŋ nadiiŋ. 
ACT.15.8	Tiŋa Bepaŋ me welehik maaneŋ kadapmalakdi metam fekhinit mokitdok maaŋ nadiyemilak u mintadakaledok yoŋa Uŋgoniŋ Munabuli inditok kamenimguk undugoŋ hinek aditok maaŋ kameyemguk. 
ACT.15.9	Adi talik molomolom mu keleeŋ ninigikuk. Adi be indi, talik kubugoŋ gineŋ nihitubu-lodaaŋ ninigilune nadisukilitigumun doktiŋa welenik youtewalandaguk. 
ACT.15.10	Kaŋ hidi maŋgoŋde Bepaŋ tikamanda timiŋa nemek malabumuŋ u koom mamani-papaniyedi be inde tagimnedok tuwot moŋ, u me feknit mokit Imeyout tigiŋ adibo tagiyemne yoiŋ. 
ACT.15.11	Jesu Kilisto’walaŋ welesiloŋŋiŋdi indi be, be me feknit mokit heki maaŋ nihitubu-lodaaŋ ninigitak doktiŋa unduŋ mu titiŋdok.”
ACT.15.12	Me bop uŋoŋ hakiŋ adi kabup ila nadilune Pol dut Banabas adi Bepaŋdi saŋiniŋ yembune adi’walaŋ kudi tugumuk wendok kahat tiyembu nadigiŋ.
ACT.15.13	Pol yakat adi mede yodapmaune Jemsdibo indiŋ yoguk, “Me notneye, hidi mede i nadineŋ. 
ACT.15.14	Saimon adi kobuk tububihila Bepaŋdi me fekhinit mokit hekidok maaŋ nadiŋa yabudokooŋ netok yehikahileguk u ninindakaleune nadiyam. 
ACT.15.15	U polofet hekidi koom youkiŋ undugoŋ hinek mintalak. Koom indiŋ youkiŋ,
ACT.15.16	‘Mindaŋkade Wapumdi kotigoŋ udaneeŋ buŋa Dewit’walaŋ yot gologuk u kotigoŋ tubupilalaat yolak. Nemek kadakagiŋ u kotigoŋ tutumbaaŋ makambiyalaat. 
ACT.15.17	Kaŋ me Judahi’walaŋ feknit mokit yehikahile tugut heki adi maaŋ Wapum lohineeŋ. 
ACT.15.18	Mede i Wapumdi koomkwaha yobu nadigiŋ.’
ACT.15.19	“Nu’walaŋ nadinadine adi indiŋ. Me fekhinit mokit Bepaŋ’walaŋkade udaneiŋdok malabumuŋ mu yemnim. 
ACT.15.20	Adi tobo pepa hogok indiŋ youyemne kunali nadineeŋ. Nanaŋe bepaŋ yalayalaŋdok siloŋ tiyemiiŋ u mu nanaŋdok yeninim. Unduŋ tiŋa kefifile mu tiyaneeŋ. Tiŋa undugoŋ kale naŋgathinit mu nayaneeŋ, doktiŋa kale kodihik foloŋ ibikilitiune kumiiŋ u maaŋ undugoŋ mu nayaneeŋ. 
ACT.15.21	Moses’walaŋ Yodoko Mede u Judahi indi’walaŋ bopyot indigoŋ tuwot Sabat nai foloŋ hogohogok kunalu nadiiŋ, be medeŋiŋ yokwet wapuhi indigoŋ yohautaune nadiiŋ.”
ACT.15.22	Unduŋ yobune Aposel heki eŋ me wapuhi noli adi kayoŋbop dut noŋgoŋ bopneeŋ me neeŋ yehitubu-mintaaŋ yeniŋkulune Pol yakat dut Antiyokde uuŋdok yonadigiŋ. Yonadiŋa meyat lufom me wapuhi dabugoŋ yabunadiyagiŋ wohik Sailas dut Judas (wou noli Basabas niyagiŋ) yehitubu-mintaŋ 
ACT.15.23	pepa indiŋ youyembu tiŋa ugiŋ.
ACT.15.23	“O notniye, Judahi’walaŋ feknit mokit, Antiyok, Silisiya eŋ Siliya kwet hatiiŋ.
ACT.15.23	Aposel eŋ me wapuhi indi hiditok welemomooŋ mede kamehamam. 
ACT.15.24	Me noli indi’walaŋ bop gineŋ iŋoŋ ugiŋ wooŋ mede hanimbune hidi welemulap be nadilakata tigiŋ u indi’walaŋ manik mu tiŋa wooŋ yogiŋ. 
ACT.15.25	Unduŋ doktiŋa indi iŋoŋ me noli maaŋ medenik tiŋa wooŋ hanindok yoŋa Pol yakat dut yeniŋgumun. 
ACT.15.26	Meyat adikuyeŋ hatihatihik Wapumnik Jesu Kilistodok mindapmagumuk. 
ACT.15.27	Kaŋ indi me yehitubu-mintagumun Judas dut Sailas, ala adi mede pepa gineŋ youhamam u mahikdi maaŋ hanimbune nadineeŋ.
ACT.15.28	Indi Uŋgoniŋ Munabuli dut welekubugoŋ tiŋa malabumuŋ mu hamdok yoŋa mede indiŋ hogok keleeŋ hatidok yoyam. 
ACT.15.29	Hidi nanaŋe bepaŋ yalayalaŋ yemiyaneeŋ u mu nayaneeŋ, be kale naŋgathinit mu nayaneeŋ, be kale kodihik foloŋ ibikilitiu kumiiŋ u mu nayaneeŋ, tiŋa kefifile maaŋ undugoŋ mu tiyaneeŋ. Kadakaniŋ hogohogok indihi u sigilulum tiyemiŋa kedem hogok hatiyaneeŋ.
ACT.15.29	Unduŋ hogok.”
ACT.15.30	Pepa unduŋ youla yembu tiŋa Pol yakat dut Antiyokde wooŋ metam nadisukilitihinit yehibopneeŋ pepahik yemgiŋ. 
ACT.15.31	Kaŋ metamdi yeniŋkiliti mede pepa foloŋ kunali kaŋ nadifo wapum hinek tigiŋ. 
ACT.15.32	Sailas dut Judas adi nehi polofet doktiŋa metam yehitubu-kilitiŋa mede momohi noli yeniŋgumuk. 
ACT.15.33+ACT.15.34	Unduŋ tiŋa uŋoŋ muniniŋ hatigumuk kaŋ nohiyedi kotigoŋ welekulema foloŋ yapmeune me yeniŋkulu bugumuk’walaŋ udanedok yeniŋgiŋ.
ACT.15.35	Kaŋ Pol dut Banabas adi Antiyokhi’walaŋ talitimeŋ heki dut uŋoŋ hatiŋa metam Wapum’walaŋ Mede Momooŋ yeniŋa yenindidime kwanai tiŋa hatigiŋ.
ACT.15.36	Hatitauyeeŋ heleniŋ Poldi Banabas indiŋ niŋguk, “Kamiŋ yokwet wapuhi gineŋ Wapumnik Jesu Kilisto’walaŋ Mede yoyaugumutneŋ wooŋ me notniye debek hatiiŋ yabudim.”
ACT.15.37	Unduŋ yoguk kaŋ Banabas adi Jon wou noli Mak adi maaŋ noŋgoŋ nagila uuŋdok yoguk 
ACT.15.38	iŋgoŋ Pol adi koom talik nai niŋ yaugiŋneŋ mu yaudapmaaŋ Pamfiliya uŋoŋ wooŋ talik baniŋ yapmeeŋ uguk, doktiŋa nadiune tuwot mu tuguk. 
ACT.15.39	Unduŋ doktiŋa nehi uŋgoŋ siwe tugumuk tiŋa daneeŋ Banabas adi Mak nagila Saipalasde ugumuk. 
ACT.15.40	Kaŋ Pol adi Sailas kahileeŋ nagilune kayoŋbop nohiye adi Wapum’walaŋ kulema foloŋ yapmeune ugumuk. 
ACT.15.41	Wooŋ Siliya dut Silisiya maaneŋ yauŋa kayoŋbop yehitubu-kiliti tiyaugumuk.
ACT.16.1	Unduŋ tiŋa mowoŋa Pol dut Sailas adi Debi eŋ Listala kwetneŋ uŋa me niŋ Jesu’walaŋ mede nadiŋa tiloloŋ tuluguk wou Timoti tubumintagumuk. Timoti adi miŋ Juda niŋ ala nadisukilitinit kaŋ beu adi Gilik me. 
ACT.16.2	Ala Timoti adi me noliŋiye Listala eŋ Aikoniam uŋoŋ hatiyagiŋdi nadimimbu utumba tuluguk 
ACT.16.3	doktiŋa Poldi Timoti noŋgoŋ nagila yaudok yoŋa sigiŋ gitnem diki foloŋ Judame heki’walaŋ fek timiŋguk. Judame uŋoŋ hatiyagiŋ hogohogok adi Timoti beu Gilikniŋ u agaŋ nadiyagiŋ doktiŋa unduŋ timiŋguk. 
ACT.16.4	Fek unduŋ timiŋa nagila yokwet wapuhi maaneŋ yauŋa Aposel heki eŋ me wapuhidi Jelusalem uŋoŋ kayoŋbop hekidi talik dediŋ keledok yogiŋ u yeniyaugiŋ. 
ACT.16.5	Kaŋ kayoŋbop hogohogok adi nadisukilitihikdi kilitiune helemahelemaŋ kunakunathikdi loloŋ tuluguk.
ACT.16.6	Unduŋ titauŋa Pol heki Esiya maaneŋ Mede Momooŋ yoyo titiŋdok yobu Uŋgoniŋ Munabulidi kamehep tiyembu Filigia eŋ Galesiya kwet uŋoŋ hogok yaudapmagiŋ. 
ACT.16.7	Yaudapmaaŋ wooŋ Misia’walaŋ kwet diki kalakapmeeŋ Bitiniya kwetneŋ fonim yo tigiŋ kaŋ Jesu’walaŋ Munabulidi kamehep tiyemguk kaŋ 
ACT.16.8	Misia maaŋ hogok kalakapmeeŋ Tolowade ugiŋ. 
ACT.16.9	Uŋoŋ timiŋ Poldi damo gineŋ kaune Masedoniyaniŋ me niŋdi buŋa koloŋ yali indiŋ nimbulabulayeguk, “Masedoniyade buŋa indi nihitubu-lodaneŋ.”
ACT.16.10	Poldi damo gineŋ u kaune indi noŋgoŋ
ACT.16.11	Indi Tolowa yokwet biŋa muwage foloŋ looŋ wooŋ Samotala wosuwaaŋ deikumun, ala heleune Neapolide ugumun. 
