MAT.1.1	Ecitabo co bwiburwa bwa Yesu Kristo, Omwana wa Daudi, Omwana wa Iburaimu.
ACT.21.35	Wejire akinga ku birinyiro, abasirikare nibamubatura kurwo bururu bwe cise. 
ACT.21.36	Okuba ecise ca ba:nu bariga nibaru:ba inyuma, niba:nikirisya niba:ika ati, Mumumareo.
ACT.21.37	Paulo wejire endo:kwingisibwa mu rusonjo, nabu:sya Omukuru wa basirikare ati, ?Eni:kirisibwa okukubwira omusango? 
ACT.21.38	Na:ika ati, ?Awe umenyere Cigiriki? ?Tari na:we Omumisiri uriya mu siku jinu jaitiŋene asokanyisye aba:nu bisira bina abaku:ti ba ba:nu nabasira ibara? 
ACT.21.39	Nawe Paulo na:ika ati, Anye ndi Muyaudi owende Tariso ya Kilikia, ndi mwinengo wo musi gwo rukuma. Enikuremberesya unane omwanya na:ike na ba:nu banu. 
ACT.21.40	Wejire amwikirisya, Paulo nemereguru ku birinyiro, naungisya aba:nu no kuboko. Wejire aba:nu bajibira jibi, nasimura mu nyaika ye Cieburania, na:ika ati.
ACT.22.1	Emwe bamura ba:su na barata, mutegeresye ebyani binu enenda okwibagira kwimwe woryanu. 
ACT.22.2	Wejire bongwa na:ika mu nyaika ye Cieburania, nibajibira:ra.
ACT.22.3	Na:ika ati, Anye ndi Muyaudi, unu ne:buriywe Tariso ya Kirikia, nindererwa mu musi gunu ku maguru ga Gamalieli, niniigisibwa butamire mu biragiro bya basaja, ne:kome:syaga muno ku Nyamuanga, rwa kutyo emwe bo:ne muri rero kutya. 
ACT.22.4	Ninya:sya aba Injira inu nimbe:ta, nimbaboyaga, nimbataga mu maboyero barume na bagasi. 
ACT.22.5	Ka no mugabisi Omukuru, niwe kanyimako kwibyo, aamwi na bakaruka bo:ne. Abene nibanana jinyaruba jinu jandikirwe ku ba:su, banu bari Damasiko, ningenda okujira banu bari:yo, ba:je Yerusalemi baboyerwe korereki babone intambara.
ACT.22.6	Mbe anu nariga nicaribata okureberera Damasiko, uti mwiyangwe, ni:furwa obweru bwafu mbuso:ka mu rwire nibunse:ka:nira nibunsingira. 
ACT.22.7	Ningwa a:si, ninungwa oburaka nibwaika ati, ?Saulo, Saulo, niki cinu oukora nunya:sya anye? 
ACT.22.8	Anye niindura ati, ?Na:we:ga, Ratabugenyi? Nambwira ati, Nanye Yesu wa Najareti, unu awe ou:nya:sya. 
ACT.22.9	Banu bariga aamwi nanye nibarora obweru cimari, nawe batonguywe oburaka bwoyo ariga na:ika nanye, 
ACT.22.10	Nina:ika ati, ?Nje nikore kutiki, Ratabugenyi? Ratabugenyi nambwira ati, Imuka ugende Damasiko. Eyo niyo oujo:kubwirwa byone binu uragiriywe okukora. 
ACT.22.11	Nintamibwa okurora kurwa rikusyo ryo bweru buriya, nibangwata okuboko banu bariga aamwi nanye, ninkinga Damasiko.
ACT.22.12	Mbe ariga:rio omu:nu risi:na ryae Anania, unu ariga:ri mwiikanyibwa mu biragiro, nasimwa na Bayaudi bo:ne banu bariga be:kae eyo. 
ACT.22.13	Oyo nanyi:jako, nanyimereguruko nambwira ati, Mwana wa:su Saulo, niirore. Mu mwanya ogwo ao era ni:muraramira. 
ACT.22.14	Nambwira ati, Nyamuanga wa basaja akusorere umenye binu kenda, na ka umurore Omurenge:resi, no kungwa oburaka bunu obuso:ka mu kanwa kae. 
ACT.22.15	Okuba urabaga wo kumwimako ku ba:nu bo:ne ku binu wamarora no kungwa. 
ACT.22.16	?Kambe wori niki cinu cakuko:sya? Imuka ubatijibwe, wosye ebibi:bi byao, uririre risi:na rya Ratabugenyi.
ACT.22.17	Mbe wejire nasuba Yerusalemi, anu nariga ninsabwa mu yekaru, omwoyo gwani niguinduka nindora ebiroro. 
ACT.22.18	Nimurora nambwira ati, Yangua bwangwe, uso:ke mu Yerusalemi, okuba batari:kirisya ebyao ebyo kunyimako anye. 
ACT.22.19	Anye nina:ika ati, Ratabugenyi, bamenyere ati, nabataga banu bakwikirisyaga mwiboyero, nimbabuma mu mekofyanyisyo go:ne. 
ACT.22.20	Na ka manyinga ga Stefano unu ariga akwimireko, ao ge:tirwe, anye omwene nariga nimereguyu awo nini:kirisya e:twe, nindinda ebifwaro bya banu bamwitire. 
ACT.22.21	Omwene nambwira ati, So:ka:nu, okuba anye enija okukutuma kura ku bamaanga. 
ACT.22.22	Nibamutegeresya kukinga ku musango ogwo. Niwo niba:ikirira inguru niba:ika ati, Omu:nu wejabo unu aso:sibwe ku:si, okuba ate:ire kurama! 
ACT.22.23	Mbe anu ba:ikiriraga inguru no kwesa emyenda jebwe, no kutukumurira oruteri inguru, 
ACT.22.24	Niwo Omukuru wa basirikare naragirira okumwingisya mu rusonjo, na:ika ati, bamusanye na ji:sanyu, bamubu:sirisye korereki amenye cinu camwendera okukora nibamuyombeganira kutyo. 
ACT.22.25	Wejire bamuboya jikoba, Paulo nabu:sya Omukuru wa rigana unu ariga amwimereguyuko yei ati, ?Kutaganyisye emwe okubuma omu:nu unu ari Murumi, ke:nu acari kuramurwa? 
ACT.22.26	Omukuru wa rigana wejire ongwa ebyo, nagenda ku mukuru webwe, namubu:sya na:ika ati, ?Owenda kukora kutiki, okuba omu:nu unu ni Murumi. 
ACT.22.27	Omukuru uyo namuja:ko namubu:sya ati, Mbwira, ?awe uri Murumi? Na:ika ati, Yee. 
ACT.22.28	Omukuru uyo naindura ati, Anye Oburumi bunu nabugurire na mpirya nyafu. Paulo namubwira ati, Nawe anye nimwo ne:buriywe. 
ACT.22.29	Mbe aonao banu bariga nibenda okumubu:sirisya nibaso:kao nibamusiga. Omukuru uyo one no:baya ejire amenya ati, ni Murumi, okuba amuboyere. 
ACT.22.30	Mbe nawe mwejo, ariga endere okumenya kisi cinu camakora nibamubu:ra, namusurumura, naragirira abagabisi abakuru ne ci:na co:ne be:kofyanye, namutebesya Paulo namuta imbere yebwe.
ACT.23.1	Paulo nabarore:rera nekeneke abe ci:na, na:ika ati, Bamura ba:su, anye eni:rengereraga no mutima gwone ogwe kisi imbere ya Nyamuanga kukinga na rero kutya. 
ACT.23.2	Omugabisi Omukuru, niwe Anania, naragarira banu bariga bamwimereguyuko yei bamubume omunwa. 
ACT.23.3	Mbe niwo Paulo namubwira ati, Nyamuanga arikubuma, awe indugu inu iorerweko orura. ?Awe winyanjire okundamura rwe biragiro kutyo biri, ke:nu oubwira aba:nu okumbuma ke:nu ebira:giro biremere? 
ACT.23.4	Banu bariga bamwimereguyuko, niba:ika ati, ?Awe oufuma omugabisi omukuru wa Nyamuanga? 
ACT.23.5	Paulo na:ika ati, Ba:na ba:su, nari nitakumenya ati, niwe omugabisi Omukuru, okuba byandikirwe ati,
ACT.23.5	Utaja kwaikira kubi:bi Omukuru wa ba:nu bao.
ACT.23.6	Nawe Paulo wejire amenya ati, abandi abe ci:na ni Basadukayo na bandi ni Bafarisayo, na:ikirira inguru mu ci:na ati, Bamura ba:su, anye ndi Mufarisayo mwana wa Bafarisayo. Eniramurwa kurwo kwiikanya kwo busu:ko bwa bafu:ye. 
ACT.23.7	Wejire a:ika kutyo, ni:bao inyombo mu Bafarisayo na Basadukayo, ecise nica:ukana. 
ACT.23.8	Okuba Abasadukayo aba:ikaga ati kutario kusu:ka, nakabee ari maraika, nakabee guri mwoyo, nawe Abafarisayo aba:ika ati ebyo byone birio. 
ACT.23.9	Nikubao okuyomba kwafu. Abandiki abandi aba ku Bafarisayo nibe:mereguru, nibamubambarira niba:ika ati, Citakumubonako cikayo omu:nu unu. ?Ka jebibe kutiki, araba omwoyo gwaikire nage amwi maraika? Citaja kurwana na Nyamuanga. 
ACT.23.10	Wejire inyombo yafura, Omukuru wa basirikare no:bairisya Paulo ati, abajo:ku-mutaburana, naragirira abasirikare batebere bamunyugumbure mu maboko gebwe, bamusire mu rusonjo.
ACT.23.11	Mbe mu ngeta eyo Ratabugenyi namwimereguruko na:ika ati, Simbi:ra Omwoyo, Paulo, okuba rwa kutyo wanyimireko mu Yerusalemi, nikwo kutyo kukwiire okunyimako mu Rumi one.
ACT.23.12	Wejire bwaca, Abayaudi nibaragana, nibe:raira niba:ika ati, citakurya amwi kunywa tari cikamara okwita Paulo. 
ACT.23.13	Banu be:raiye kutyo bariga basagire makumi gana. 
ACT.23.14	Abo nibaja ku bagabisi abakuru na bakaruka, niba:ika ati, Ce:fumirisisye ne cirairo obutarabako ka:nu tari cikamara okwita Paulo. 
ACT.23.15	Mbe wori emwe na be ci:na jemubwire Omukuru wa basirikare amutebesye aje kwimwe muri ati omwenda kumubu:sirisya ebyae kisikisi. Neswe eciba cimaririye okumwita acari kufugera.
ACT.23.16	Nawe omwiwa wa Paulo nongwa ebyo kwiteganira okwo, naja nengira mu rusonjo, nabwira Paulo. 
ACT.23.17	Paulo nabirikirao umwi ku bakuru ba basirikare egana, na:ika ati, Numusire omumura unu ku mukuru, okuba ari ne byo kumubwira. 
ACT.23.18	Mbe oyo namusira namure:ta ku mukuru uyo, na:ika ati, Paulo omuboywa ambirikira, nenda nikure:tere omumura unu, ari ne byo kukubwira. 
ACT.23.19	Omukuru uyo namugwata okuboko namwicundya ku mbari, namubu:sya ati, ?Niki cinu unaco eco kumbwira? 
ACT.23.20	Na:ika ati, Abayaudi baromere gumwi okukusabwa utebesye Paulo mu ci:na mutondo, babe uti abenda kumubu:sya ebyae kisikisi. 
ACT.23.21	Mbe awe wasiga kube:kirisya, okuba aba:nu abo basagire makumi gana bamwiteganiye, banu be:fumirisisye obutarya amwi kunywa tari bamare okumwita. Woryanu abene bamaririye, barindiriye omurago kwawe. 
ACT.23.22	Mbe Omukuru uyo namukomeresya omumura ati, Wasiga kubwira mu:nu binu wambwira.
ACT.23.23	Nabirikirao bakuru babiri, na:ika ati, Mwira:be abasirikare magana gabiri, na ba ku farasi makumi gata:nu na gabiri, na ba macumu magana gabiri, abo kugenda Kaisaria mu saa esatu ja mu ngeta. 
ACT.23.24	Nababwira okwira:ba jisikiri, bari:nye:ko Paulo bamusire ku Feliki omusi:ba kwa bwanabwana.
ACT.23.25	Nandika inyaruba ati, 
ACT.23.26	Anye Kulaudio Lusia nakuke:sya awe Feliki omusi:ba owe cibaro muno. 
ACT.23.27	Omu:nu unu agwatirwe Abayaudi, mbe wejire benda okumwita, ningenda na basirikare ni:mukisya, wejire namenya ati, ni Murumi. 
ACT.23.28	Wejire nenda okumenya kisi cinu ecikora nibamubu:ra, ni:musira mu ci:na cebwe. 
ACT.23.29	Nindora ati abamubu:ra emisango ja mu biragiro byebwe, nawe baburirwe omusango gwone gunu gwiire e:twe nakabee kuri kuboywa. 
ACT.23.30	Wejire nabwirwa ati, bagutu-si:sye a:si, aonao ni:mutuma kwawe, nindagirira banu abamubu:ra baje bamubu:rire kwawe. Ubeo kwa bwana. 
ACT.23.31	Mbe abasirikare nibagega Paulo rwa kutyo baragiriywe, nibamusira mu ngeta kukinga Antipatiri. 
ACT.23.32	Nawe mwejo abandi nibasuba nibasiga aba ku farasi bagende nage, abene nibasuba mu rusonjo. 
ACT.23.33	Abo wejire bakinga Kaisaria, nibayana omusi:ba inyaruba, nibata Paulo imbere yae. 
ACT.23.34	Wejire amara okusoma inyaruba, nabu:sya ati, ni wende ca:ro ki. Nibamubwira ati, ni wa Kilikia. 
ACT.23.35	Na:ika ati, Nakakutegeresye byone, kabe baka:je banu abakubu:ra. Naragirira arindwe mwiromero rya Erode.
ACT.24.1	Wejire jaturao siku ita:nu, omugabisi Omukuru Anania natebera aamwi na bakaruka abandi no mwaiki risi:na ryae Teritulo. Abo nibe:resya omusi:ba ebyo abamubu:ra Paulo. 
ACT.24.2	Teritulo wejire abirikirwa, namba okumubuma, na:ika ati, Awe Feliki owe cibaro, eswe ecibona omurembe muno kwawe, ka binu byabiyaga mwiyanga ryeswe wabikoraga kisi kurwo kurinda kwao. 
ACT.24.3	Kwecikora nicikonderwa wo:ne wo:ne no kusi:ma kwafu kusiku. 
ACT.24.4	Nawe nitakwenda kukunya:sya muno, enikuremberesya ucungwe kurwo bwira bwao. 
ACT.24.5	Okuba cabwene omu:nu unu ni murangirangi, kasokanya mu Bayaudi bo:ne aba mu ca:ro co:ne, ka ni mutangasya mukuru wa banu abatogwa Abanajareti. 
ACT.24.6	Aregejere okujabiasya iyekaru, nicimugwata, [nicenda okumuramura rwe biragiro byeswe kutyo biri. 
ACT.24.7	Nawe Lusia Omukuru wa basirikare na:ja namuso:sya mu maboko geswe na managa ma:fu. 
ACT.24.8	Naragirira banu abamubu:ra baje kwawe.] Awe omwene ukamubu:siri-sya, outura okumenya binu byone ecimubu:ra eswe. 
ACT.24.9	Na Bayaudi one nibamubu:ra, niba:ika ati, nikwo kutyo biri.
ACT.24.10	Mbe omusi:ba ejire amusomeresya no kuboko ati a:ike, Paulo naindura ati, Eniroma kwawe no mwoyo gusi:ri:kire, okuba nimenyere ati, uri muramusi wa rianga rinu myaka myafu, 
ACT.24.11	Outura okumenya ati, jicari kuturao siku ikumi ne:biri kuso:ka anu narinyire Yerusalemi okuramya. 
ACT.24.12	Batansangire mu yekaru nimbambara na mu:nu amwi niyogya cise, nakabee ari mu mekofyanyisyo, nakabee ari mu musi. 
ACT.24.13	Amwi batakutura kukomeresya binu abambu:ra woryanu. 
ACT.24.14	Nawe eni:gamba kwawe ati, Enikorera Nyamuanga wa basaja mu Njira inu abatoga ya be:kotya, nini:kirisya byone binu byandikirwe mu bira:giro na mu baragi. 
ACT.24.15	Ndi no kwiikanya ku Nyamuanga, rwa bene one kutyo abe:ikanya, ati, kuribao okusu:ka kwa barenge:resi na banu batari barenge:resi. 
ACT.24.16	Eni:kome:sya mwibyo nibega no mutima gunu gutariko esoro imbere ya Nyamuanga na ba:nu siku jo:ne. 
ACT.24.17	Mbe emyaka wejire jaturao myafu, nini:ja okure:tera aba rianga ryasu ebiyanwa ne byo kuso:sya. 
ACT.24.18	Anu nariga nicakora ebyo, Abayaudi abandi banu baso:kere Asia nibansanga ne:si:bwe mu yekaru, nitari na cise nakabee iri njogere. 
ACT.24.19	Abo be:ire okubao anu bambu:re araba bari ne cigambo kwanye. 
ACT.24.20	Amwi aba:nu banu ba:ike abene ecikayo cinu babwene runu anye ne:mereguyu mu cirwaji, 
ACT.24.21	Tari kurwo buraka bunu na:ikiriye inguru nibe:mereguyumo ati, Kurwo kusu:ka kwa bafu:ye nikwo omundamura rero rinu.
ACT.24.22	Nawe Feliki nabako:syao okuba ariga amenyere kisikisi ebya Injira eyo, na:ika ati, Ariba atebera Lusia Omukuru wa basirikare, niwo ndibutura eci:na cemwe. 
ACT.24.23	Naragirira Omukuru wa basirikare egana amurinde, no kumuyana omwanya, asige kuingirira abasa:ni bae okumufurubendera amwi kumu:jako.
ACT.24.24	Nawe jisiku jejire jaturao, Feliki na:ja no mugasi wae Durusila, unu ariga:ri Muyaudigasi, nabirikira Paulo, namutegeresya ebyo kwikirisya Yesu Kristo. 
ACT.24.25	Wejire amutondera ebyo burengeresi, nebyo kwibaririra nebya intambara inu eyendo:ku:ja, mbe Feliki no:baya, naindura ati, Wori nugende. Ariba nabona omwanya ndikubirikira. 
ACT.24.26	Ariga e:ikanyisye Paulo amuyane jimpirya. Kwakorere namubirikiraga kwiya ka:fu ba:ikane nage. 
ACT.24.27	Nawe jejire jawa myaka ebiri, Porikio Fesito na:ja mu cibaro ca Feliki. Mbe Feliki nasiga Paulo aboyerwe, okuba ariga endere Abayaudi bamusi:me.
ACT.25.1	Mbe Fesito ejire akinga mu ca:ro, nijiturao siku isatu, niwo naso:ka mu Kaisaria narinya Yerusalemi. 
ACT.25.2	Abagabisi abakuru na ba:nu be cibaro mu Bayaudi, nibamweresya ebya Paulo, nibamuremberesya, 
ACT.25.3	Nibenda abajirire obwira, atume aba:nu bamure:te Paulo Yerusalemi, korereki bamwiteganire mu njira bamwite. 
ACT.25.4	Nawe Fesito naindura ati, Paulo karindirwa Kaisaria, nawe orwani one rwaiye okuja:yo. 
ACT.25.5	Na:ika ati, Mbe abakuru bemwe batebere aamwi nanye, bamubu:rire eyo, araba guriwo musango ku mumura oyo.
ACT.25.6	Wejire amarayo siku jitasagiriye eta:nu ne:satu amwi ikumi, natebera Kaisaria. Mwejo nenyanja ku citebe co kuramurirako, naragirira bare:te Paulo. 
ACT.25.7	Wejire akinga, Abayaudi banu baso:kere Yerusalemi nibe:mere-guru bamusingiye, nibamubu:ra Paulo byafu na bisito, binu byabatamisye okweresya ati, ni bya cimari. 
ACT.25.8	Nawe Paulo ne:bambarira ati, Nicariga kukaira ebiragiro bya Bayaudi, nakabee iri yekaru, nakabee ari Kaisari. 
ACT.25.9	Nawe Fesito, okuba ariga endere okukondisya Abayaudi, naindura Paulo na:ika ati, ?Owikirisya okugenda Yerusalemi uramurirweyo imbere yani ku bigambo binu?
ACT.25.10	Nawe Paulo na:ika ati, Anye nimereguyu imbere ye citebe ca Kaisari eco kuramurira, anu ni:ire okuramurirwa. Nicariga kukaira Abayaudi, rwawe kutyo umenyere kisiki:si. 
ACT.25.11	Araba nakaire, amwi nakorere cinu cinyiire okufwa, mbe nitakurema kufwa. Nawe araba binu abambu:ra bitari bya cimari, mbe atariwo mu:nu unu katura okuntu:ra mu maboko gebwe. Anye enenda biromwe rindi ku Kaisari. 
ACT.25.12	Mbe Fesito, ejire amara okurwaja na be ci:na, naindura ati, Okuba owenda okuramurwa na Kaisari mbe urigenda ku Kaisari.
ACT.25.13	Mbe wejire jaturao jisiku, omukama Agiripa nakinga Kaisaria aamwi na Bereniki, nibake:sya Fesito. 
ACT.25.14	Wejire bako:rao siku nyafu, Fesito namutondera omukama ebya Paulo, na:ika ati, Ariwo mu:nu anu unu Feliki asigire aboyerwe. 
ACT.25.15	Anu nariga niri mu Yerusalemi, Abagabisi abakuru na bakaruka ba Bayaudi nibambwira ebyae, nibenda nimuramure. 
ACT.25.16	Nimbaindura ati, Jitari ntungwa ja Barumi okuramura omu:nu, ke:nu unu abu:rirwe atende kubonana na banu bamubu:rire, abe no mwanya gwo kwibambarira mu binu abamubu:ra. 
ACT.25.17	Mbe wejire be:kofyanyisya anu, nitako:rere na katyari, nawe ku rusiku rwa kabiri niniyanja ku citebe co kuramurirako, nindagirira okure:ta omunu:yo. 
ACT.25.18	Wejire be:mereguru banu abamubu:ra, batamubu:rire musango gwone mubi:bi rwa kutyo nariga nini:ganirisya. 
ACT.25.19	Nawe bamubu:rire emisango ja mu dini yebwe, ne byo mu:nu undi Yesu, unu afu:ye, unu Paulo a:ikireko ati, ni muanga. 
ACT.25.20	Anye ne:tima:tire ku bigambo byejabo ebyo, ni:mubu:sya ati, ?Owikirisya okuja Yerusalemi okuramurirwa eyo ku bigambo binu? 
ACT.25.21	Nawe Paulo ejire enda okurindwa aramurwe na Augusito, nindagirira bamurinde kukinga runu ndimutuma ku Kaisari. 
ACT.25.22	Agiripa nabwira Fesito ati, Anye one enenda okutegeresya omunu:yo. Na:ika ati, Mutondo wakamutegeresye.
ACT.25.23	Mbe mwejo Agiripa na Bereniki niba:ja na makanyo bafwae cikama, nibengira anu abategeresisya ebi:na, aamwi na basirikare abakuru na beci:bure aba mu musi, niwo Fesito naragirira bare:te Paulo. 
ACT.25.24	Fesito na:ika ati, Awe omukama Agiripa nemwe bo:ne banu muri anu aamwi neswe, omurora omu:nu unu ecise co:ne eca Bayaudi bandemberesyaga mu Yerusalemi na anu, niba:ikirira inguru ati, Ate:ire kuba muanga. 
ACT.25.25	Nawe anye nitabwene musango gwone gunu akorere gunu gwiire okumwita. Nawe omwene ejire enda okuramurwa na Augusito, ninkararira okumutumayo. 
ACT.25.26	Nitakumubonako musango gwa kumasya gwo kumwandikira ratabugenyi. Kwenikora ni:mure:ta imbere yao awe omukama Agiripa, korereki nibe ne co kwandika, araba camara okumubu:sirisya ebyae. 
ACT.25.27	Okuba enirora ati, ni bumu:mu okutuma omuboywa, ke:nu ute:resisye cikayo cae cinu abamubu:ra.
ACT.26.1	Agiripa nabwira Paulo ati, We:kirisibwa obwaika ebyao. Mbe niwo Paulo nagorora okuboko na:ika ebyae ati, 
ACT.26.2	Awe omukama Agiripa, enikonderwa okuroma ebyani imbere yao rero ku bigambo binu byone Abayaudi abambu:ra. 
ACT.26.3	Enikonderwa muno okuba awe umenyere jintungwa na jimamba jo:ne jinu jiri mu Bayaudi. Kwenikora ninkuremberesya, wigumirisye okuntegeresya.
ACT.26.4	Mbe Abayaudi bo:ne bamenyere jintungwa jani kuso:ka mu buto:to bwani, kutyo nambire okukoraga mu Yerusalemi mwiyanga ryasu. 
ACT.26.5	Banu bakenda okwaika, bamenyere kuso:ka kara ati, nariga ndi Mufarisayo kurwo kuru:ba oruba:ra orukomee koco koco orwa idini yeswe. 
ACT.26.6	Woryanu nimereguyu okuramurwa kurwo kwiikanya kunu Nyamuanga aragire ku basaja. 
ACT.26.7	Nikwo okwiikanya kunu jiŋanda jeswe ekumi ne:biri abe:ikanyaga okukingako, nibakome:raga okukorera Nyamuanga mu mwisi na mu ngeta. Mbe kurwo kwiikanya okwo Abayaudi nikwo abambu:ra. Nikwo kutyo, omukama. 
ACT.26.8	?Niki cinu ecikora nimwiganirisya ati, ni cigambo cinu citakwikirisibwa Nyamuanga okusu:rura bafu:ye?
ACT.26.9	Ni cimari anye omwene ne:ganirisyaga ati, kunyiire okukoraga emisango myafu jinu ejiyajana na risi:na rya Yesu Munajareti, 
ACT.26.10	Ninkoraga kutyo mu Yerusalemi, nimboyaga abe:ru ba:fu mwiboyero okuba nariga nayabirwe amanaga ku bagabisi abakuru. Ka anu be:tirwe, anye nini:kirisya ati be:twe. 
ACT.26.11	Ka nimbatongeraga kwiya ka:fu mu mekofyanyisyo go:ne, nimbasinyirisyaga okufuma. Nimbabiirirwa muno muno, nimbanyasyaga nindobosya mu misi je bugenyi.
ACT.26.12	Mbe anu nariga nicakora ebyo, ningenda Damasiko, ndina managa ne bira:giro binu byaso:kere ku bagabisi abakuru. 
ACT.26.13	Mbe omukama, nariga mu njira mwiyangwe, nindora obweru bunu bwaso:kere mu rwire bukirire okuse:ka:na kwa risu:ba, niburabangirya nibusingira anye na banu bariga mbaribata nanye. 
ACT.26.14	Nicigwa a:si bo:ne, ninungwa oburaka nibwaika nanye mu nyaika ye Cieburania ati, Saulo, Saulo? niki cinu oukora nunya:sya anye? Ni kukomee awe okubara omugere ku migera. 
ACT.26.15	Anye nina:ika ati, ?Na:we:ga, Ratabugenyi? Ratabugenyi na:ika ati, Nanye Yesu unu awe ou:nya:sya. 
ACT.26.16	Nawe imuka wimereguru, okuba nikwo nakora ninkusoromokera korereki nikwaure ubega mukosi no wo kwimako ku binu warora, na kwibyo ndakusoromokeragamo. 
ACT.26.17	Ndakukisyaga mu ba:nu na mu bamaanga, eyo ndakutumaga. 
ACT.26.18	Korereki wigure ame:so gebwe, baso:ke mu cisu:te baindukire obweru, baso:ke mu managa ga Syetani baindukire Nyamuanga, korereki bayabwe okwiswaririrwa ebibi:bi no mwandu mu banu be:sibwe kurwo kunyikirisya anye.
ACT.26.19	Mbe omukama Agiripa, nitaremere kworobera ebiroro binu byaso:kere mu rwire. 
ACT.26.20	Nawe nambiye ku bende Damasiko, nimbasimurira na ba mu Yerusalemi, ne ca:ro co:ne eca Buyaudi, nindobosya ku bamaanga, ati, bate baindukire Nyamuanga, bakorega ebikorwa binu bi:ire okuta. 
ACT.26.21	Kwobakorere Abayaudi nibangwata mu yekaru, nibenda okunyita. 
ACT.26.22	Mbe okuba nasakirwaga na Nyamuanga na kukinga rero rinu, kwenikora nini:mereguru nimbabwira abato:to na bakuru, nitakwaika musango gundi, tari jinu abaragi na Musa baragire kutyo jiriba. 
ACT.26.23	Ati kumwiire Kristo okunya:sibwa, no kutangata okusu:ka mu bafu:ye korereki e:resye aba:nu na bamaanga obweru. 
ACT.26.24	Anu ariga aca:ika kutyo mbe Fesito na:ika na buraka bunene ati, Paulo, si wasara. Okusoma kwafu kwakusasi:sye. 
ACT.26.25	Nawe Paulo na:ika ati, Nitasarire, awe Fesito owe cibaro, nawe enaika ebye cimari nebyo bwenge buku:miye. 
ACT.26.26	Okuba omukama unu enaikira imbere yae no buba:si, niwe amenyere emisango jinu, okuba nimenyere ati, emisango ejo jitabisirwe ku mwene na gumwi, okuba ebyo bitakoreywe ku mbari. 
ACT.26.27	Mbe omukama Agiripa, ?Owikirisya abaragi? Nimenyere ati owikirisya. 
ACT.26.28	Agiripa nabwira Paulo ati, Mu bigambo bito:to owenda okunkora Mukristo. 
ACT.26.29	Paulo na:ika ati, Enisabwa Nyamuanga ati, mu bito:to amwi mu byafu, tari awe era, nawe na bo:ne banu abanyungwa rero babe rwanye, tari okuboywa kunu. 
ACT.26.30	Ejire amara okwaika ebyo, omukama ne:muka aamwi no musi:ba na Bereniki na banu bariga benyanjire aamwi nabo. 
ACT.26.31	Wejire be:yaura, niba:ikana abene:ra, niba:ika ati, Omu:nu unu atakorere cinu ci:ire okumwita nakabee kuri kumuboya. 
ACT.26.32	Agiripa nabwira Fesito ati, Omu:nu unu ari e:ire okusurumurwa, aja atendere okuramurwa na Kaisari.
ACT.27.1	Mbe wejire batema eci:na ati, cieme amatanga okuja Italia, nibatu:ra Paulo na baboywa abandi ku mukuru wa basirikare rigana, risi:na ryae Julio, wa rise:mu:ta rya Augusito. 
ACT.27.2	Nicisyabara mu ngaraba yende Aduramutio, inu yariga myenda okuja ku mbarama ja Asia, niciema amatanga. Cariga na Arisitariko wende Tesalonika ya Makedonia. 
ACT.27.3	Mwejo nicigoba Sidoni. Julio nakorera Paulo ebya kisi, namwikirisisya okugenda ku basa:ni bae bamwigane. 
ACT.27.4	Niciema amatanga nicibarama ku mbarama ja Kupuro, okuba omuyaga gwariga gwe butwe. 
ACT.27.5	Wejire caitiŋana mu nyanja ya Kilikia na Pamufulia, nicigoba Mura ya Lukia. 
ACT.27.6	Eyo niyo Omukuru abwene ingaraba eyende Alekisanderia, ni:genda Italia, nacisyabasya mwiyo. 
ACT.27.7	Mbe nicigenda maramara siku nyafu, nicisomekana Kinido kwa mamba. Omuyaga wejire gwaciingirira, nicibarama ku mbarama ya Kerete, nicirore:rera Salimone. 
ACT.27.8	Nicibaramirako mamba, nicikinga anu atogwaga Ebigobo byo bwana, yei no musi gwa Lasea. 
ACT.27.9	Wejire jaturao siku nyafu, orugendo rwa mu nyanja nimba rwa masika, okuba jisiku jo kusara:rira jariga jaoeo. Paulo nabakabusya, 
ACT.27.10	Nababwira ati, Emwe bamura, enirora ati, kuribamo okuuta:ra no kufwirwamo kwafu, kutari kwe bi:nu na ingaraba:ra, nawe no buanga bweswe one. 
ACT.27.11	Nawe Omukuru wa basirikare rigana ne:kirisya ebyo mugofi ne byo mwene ngaraba, kukira ebyo Paulo a:ikire. 
ACT.27.12	Abandi ba:fu nibarwaja ati, ciso:keo, okuba ecigobo cariga citakondere okwisigamo kukinga jisiku jo muyaga jiwe, nibe:ganirisya ati, ecikinga Foniki korereki si:sige:yo. Nico ecigobo ca Kerete cinu cirore:ree mu murungu na mu siaga. 
ACT.27.13	Omuyaga gwa marimbe wejire gwaemba maramara, nibe:ganirisya ati babona rwa kutyo bariga bendere, nibe:ya risikyo nibatura yei yei na Kerete.
ACT.27.14	Nawe mu mwanya muto:to niguyemba omuyaga gwe ciure gunu ogutogwa Ikomaji, nigubuma ingaraba. 
ACT.27.15	Ingaraba wejire yatabwa, nitamibwa okwima mu muyaga, niciisiga, niciyeywa. 
ACT.27.16	Nici:rukirisya ku mbari ya kasinga kanu akatogwa Kilauda, nicinyaka muno okuboya ipanja. 
ACT.27.17	Wejire bamara okubukurura, nibagega jingoye jo kusakira nibaboya emwaro ingaraba, nibo:baya bataja kuyarira ku senyi ya inoto, nibaemurura amatanga, nibayeywayeywa. 
